system,HSESOL/def2-QZVP/ORCA5.0.1
S22x5/09-2.0,-338.4472662192
S22x5/10-A,-231.1461999966
S22x5/10-B,-76.1496055998
S22x5/10-0.9,-307.2998176246
S22x5/10-1.0,-307.3001280923
S22x5/10-1.2,-307.299107364
S22x5/10-1.5,-307.2976629412
S22x5/10-2.0,-307.2965296448
S22x5/11-A,-231.1462349793
S22x5/11-B,-56.3123552556
S22x5/11-0.9,-287.4600749016
S22x5/11-1.0,-287.4606903997
S22x5/11-1.2,-287.4603159724
S22x5/11-1.5,-287.4595271796
S22x5/11-2.0,-287.4589180165
S22x5/12-A,-231.1462683289
S22x5/12-B,-40.2947249874
S22x5/12-0.9,-271.4405283657
S22x5/12-1.0,-271.4414093605
S22x5/12-1.2,-271.4415403715
S22x5/12-1.5,-271.4412557523
S22x5/12-2.0,-271.4410533278
S22x5/13-A,-231.1462498881
S22x5/13-B,-231.1462345531
S22x5/13-0.9,-462.2921998009
S22x5/13-1.0,-462.2935521602
S22x5/13-1.2,-462.2937668247
S22x5/13-1.5,-462.2932109593
S22x5/13-2.0,-462.2927385267
S22x5/14-A,-231.146267822
S22x5/14-B,-231.1462678218
S22x5/14-0.9,-462.2851121331
S22x5/14-1.0,-462.2905680809
S22x5/14-1.2,-462.292226893
S22x5/14-1.5,-462.2923714197
S22x5/14-2.0,-462.292464805
S22x5/15-A,-231.1461372285
S22x5/15-B,-362.1650820602
S22x5/15-0.9,-593.3144979033
S22x5/15-1.0,-593.3161545104
S22x5/15-1.2,-593.3158490509
S22x5/15-1.5,-593.3141160574
S22x5/15-2.0,-593.312486564
S22x5/16-A,-231.1462279274
S22x5/16-B,-362.1650518719
S22x5/16-0.9,-593.3034841212
S22x5/16-1.0,-593.3096974405
S22x5/16-1.2,-593.3110732237
S22x5/16-1.5,-593.3108547842
S22x5/16-2.0,-593.31096559
S22x5/17-A,-263.1531044289
S22x5/17-B,-263.1530896858
S22x5/17-0.9,-526.3007674849
S22x5/17-1.0,-526.3064042257
S22x5/17-1.2,-526.3073348763
S22x5/17-1.5,-526.3066532278
S22x5/17-2.0,-526.306281825
S22x5/18-A,-322.139759754
S22x5/18-B,-302.3049062377
S22x5/18-0.9,-624.4711110001
S22x5/18-1.0,-624.4718132723
S22x5/18-1.2,-624.4657588111
S22x5/18-1.5,-624.4565151223
S22x5/18-2.0,-624.4493913742
S22x5/19-A,-306.1202000888
S22x5/19-B,-306.1199758794
S22x5/19-0.9,-612.2472332092
S22x5/19-1.0,-612.2480017856
S22x5/19-1.2,-612.2464387321
S22x5/19-1.5,-612.2437997106
S22x5/19-2.0,-612.2416986029
S22x5/20-A,-413.1645447216
S22x5/20-B,-413.164544723
S22x5/20-0.9,-826.3298973668
S22x5/20-1.0,-826.3358689834
S22x5/20-1.2,-826.3344631725
S22x5/20-1.5,-826.3316274226
S22x5/20-2.0,-826.3299716196
S22x5/21-A,-413.1638990426
S22x5/21-B,-413.1638990415
S22x5/21-0.9,-826.3600901575
S22x5/21-1.0,-826.3608401389
S22x5/21-1.2,-826.3538465586
S22x5/21-1.5,-826.3431475942
S22x5/21-2.0,-826.334527603
S22x5/22-A,-231.1461663254
S22x5/22-B,-93.0117618914
S22x5/22-0.9,-324.1635278504
S22x5/22-1.0,-324.1640038075
S22x5/22-1.2,-324.1627638676
S22x5/22-1.5,-324.1607935766
S22x5/22-2.0,-324.1591853316
S66x8/01-A,-76.1496982069
S66x8/01-B,-76.1496901376
S66x8/01-090,-152.3080985994
S66x8/01-095,-152.3081918321
S66x8/01-100,-152.3079047689
S66x8/01-105,-152.3074092369
S66x8/01-110,-152.3068149802
S66x8/01-125,-152.3049983349
S66x8/01-150,-152.3027940964
S66x8/01-200,-152.3007900757
S66x8/02-A,-76.1497042688
S66x8/02-B,-115.2483410422
S66x8/02-090,-191.4070737708
S66x8/02-095,-191.4072653321
S66x8/02-100,-191.4070177855
S66x8/02-105,-191.4065236447
S66x8/02-110,-191.4059076928
S66x8/02-125,-191.4039702055
S66x8/02-150,-191.4015840767
S66x8/02-200,-191.3994420814
S66x8/03-A,-76.149710801
S66x8/03-B,-95.4173108997
S66x8/03-090,-171.5792578289
S66x8/03-095,-171.5793649724
S66x8/03-100,-171.5789694982
S66x8/03-105,-171.5782833196
S66x8/03-110,-171.577449779
S66x8/03-125,-171.574830801
S66x8/03-150,-171.5715657268
S66x8/03-200,-171.5686653818
S66x8/04-A,-76.1497104712
S66x8/04-B,-247.4652425399
S66x8/04-090,-323.6278016821
S66x8/04-095,-323.6280159041
S66x8/04-100,-323.6277060549
S66x8/04-105,-323.6270898424
S66x8/04-110,-323.6263136105
S66x8/04-125,-323.6237907592
S66x8/04-150,-323.6204975845
S66x8/04-200,-323.617010647
S66x8/05-A,-115.2485239353
S66x8/05-B,-115.2483725971
S66x8/05-090,-230.5058256282
S66x8/05-095,-230.5061165254
S66x8/05-100,-230.5059399401
S66x8/05-105,-230.5054945633
S66x8/05-110,-230.5049109838
S66x8/05-125,-230.5030052738
S66x8/05-150,-230.5005926118
S66x8/05-200,-230.4983952026
S66x8/06-A,-115.2483834612
S66x8/06-B,-95.4172974062
S66x8/06-090,-210.6779876518
S66x8/06-095,-210.6783567108
S66x8/06-100,-210.6781239913
S66x8/06-105,-210.6775263831
S66x8/06-110,-210.676741834
S66x8/06-125,-210.6741208105
S66x8/06-150,-210.6707043543
S66x8/06-200,-210.6676238178
S66x8/07-A,-115.2484604783
S66x8/07-B,-247.4647968432
S66x8/07-090,-362.7260224127
S66x8/07-095,-362.7263617338
S66x8/07-100,-362.7261325541
S66x8/07-105,-362.7255639492
S66x8/07-110,-362.7248118194
S66x8/07-125,-362.722278527
S66x8/07-150,-362.718483779
S66x8/07-200,-362.7148632162
S66x8/08-A,-115.2485407075
S66x8/08-B,-76.1496940967
S66x8/08-090,-191.406797017
S66x8/08-095,-191.4069804394
S66x8/08-100,-191.4067566007
S66x8/08-105,-191.4063045651
S66x8/08-110,-191.4057392194
S66x8/08-125,-191.4039552807
S66x8/08-150,-191.4017410199
S66x8/08-200,-191.399717397
S66x8/09-A,-95.4173462352
S66x8/09-B,-115.2484488627
S66x8/09-090,-210.6694191927
S66x8/09-095,-210.6697014463
S66x8/09-100,-210.6696829908
S66x8/09-105,-210.6695007742
S66x8/09-110,-210.6692371251
S66x8/09-125,-210.6683694834
S66x8/09-150,-210.6673113241
S66x8/09-200,-210.666407015
S66x8/10-A,-95.4174039921
S66x8/10-B,-95.4172919506
S66x8/10-090,-190.8398563614
S66x8/10-095,-190.8402297809
S66x8/10-100,-190.8401811622
S66x8/10-105,-190.8398954255
S66x8/10-110,-190.8394970362
S66x8/10-125,-190.8381957768
S66x8/10-150,-190.8363711873
S66x8/10-200,-190.8352079175
S66x8/11-A,-95.4172566042
S66x8/11-B,-247.4649453579
S66x8/11-090,-342.8881931473
S66x8/11-095,-342.8886897121
S66x8/11-100,-342.8887234349
S66x8/11-105,-342.8884824917
S66x8/11-110,-342.8881003145
S66x8/11-125,-342.8860491532
S66x8/11-150,-342.8840186883
S66x8/11-200,-342.8828866727
S66x8/12-A,-95.4172474299
S66x8/12-B,-76.1493239641
S66x8/12-090,-171.5791773542
S66x8/12-095,-171.5794178025
S66x8/12-100,-171.5790947552
S66x8/12-105,-171.5784408003
S66x8/12-110,-171.5776146098
S66x8/12-125,-171.5749553322
S66x8/12-150,-171.57160349
S66x8/12-200,-171.5686324186
S66x8/13-A,-247.4648481943
S66x8/13-B,-115.248388269
S66x8/13-090,-362.7211159022
S66x8/13-095,-362.7215937891
S66x8/13-100,-362.7216004073
S66x8/13-105,-362.7213252615
S66x8/13-110,-362.7208925107
S66x8/13-125,-362.7193360437
S66x8/13-150,-362.7172226382
S66x8/13-200,-362.715112168
S66x8/14-A,-247.4646816332
S66x8/14-B,-95.4172666206
S66x8/14-090,-342.8923800499
S66x8/14-095,-342.8929001166
S66x8/14-100,-342.8928496054
S66x8/14-105,-342.8924506218
S66x8/14-110,-342.8918539873
S66x8/14-125,-342.8897319498
S66x8/14-150,-342.8868530906
S66x8/14-200,-342.8840910245
S66x8/15-A,-247.4652119237
S66x8/15-B,-247.4651836263
S66x8/15-090,-494.9414460389
S66x8/15-095,-494.9420081266
S66x8/15-100,-494.9420054873
S66x8/15-105,-494.9416549525
S66x8/15-110,-494.9411051108
S66x8/15-125,-494.9390770487
S66x8/15-150,-494.9361887031
S66x8/15-200,-494.9328804762
S66x8/16-A,-247.4653603852
S66x8/16-B,-76.14969687
S66x8/16-090,-323.622696311
S66x8/16-095,-323.6230153908
S66x8/16-100,-323.6229356281
S66x8/16-105,-323.6226248626
S66x8/16-110,-323.622191351
S66x8/16-125,-323.6207242946
S66x8/16-150,-323.6187860174
S66x8/16-200,-323.6168542545
S66x8/17-A,-413.1641058432
S66x8/17-B,-413.1642673061
S66x8/17-090,-826.3556928952
S66x8/17-095,-826.3565273412
S66x8/17-100,-826.3561382909
S66x8/17-105,-826.3549941839
S66x8/17-110,-826.3534201434
S66x8/17-125,-826.3479492304
S66x8/17-150,-826.3404473235
S66x8/17-200,-826.3332472382
S66x8/18-A,-76.1497069612
S66x8/18-B,-247.1515979579
S66x8/18-090,-323.3127526616
S66x8/18-095,-323.3129389333
S66x8/18-100,-323.3126130092
S66x8/18-105,-323.311990335
S66x8/18-110,-323.3112162034
S66x8/18-125,-323.3087550996
S66x8/18-150,-323.3056744439
S66x8/18-200,-323.3029272099
S66x8/19-A,-115.2483776348
S66x8/19-B,-247.1515912576
S66x8/19-090,-362.4116334286
S66x8/19-095,-362.4120312907
S66x8/19-100,-362.411844075
S66x8/19-105,-362.4113058959
S66x8/19-110,-362.410303298
S66x8/19-125,-362.4081166458
S66x8/19-150,-362.4045574803
S66x8/19-200,-362.4015733487
S66x8/20-A,-228.1875973143
S66x8/20-B,-228.1875948227
S66x8/20-090,-456.4089245849
S66x8/20-095,-456.4097156415
S66x8/20-100,-456.4090655467
S66x8/20-105,-456.4075382462
S66x8/20-110,-456.4055238497
S66x8/20-125,-456.3986259557
S66x8/20-150,-456.3894041853
S66x8/20-200,-456.38070864
S66x8/21-A,-208.351617319
S66x8/21-B,-208.3516205453
S66x8/21-090,-416.7298208073
S66x8/21-095,-416.7305369113
S66x8/21-100,-416.7301023396
S66x8/21-105,-416.7289686052
S66x8/21-110,-416.727448212
S66x8/21-125,-416.7222679144
S66x8/21-150,-416.7152669538
S66x8/21-200,-416.7078912221
S66x8/22-A,-228.1874907708
S66x8/22-B,-413.1640100058
S66x8/22-090,-641.3841494794
S66x8/22-095,-641.3849860346
S66x8/22-100,-641.3844790631
S66x8/22-105,-641.3831393717
S66x8/22-110,-641.3813239775
S66x8/22-125,-641.3750392175
S66x8/22-150,-641.3663186422
S66x8/22-200,-641.3577543613
S66x8/23-A,-208.3515212577
S66x8/23-B,-413.1638639564
S66x8/23-090,-621.546518939
S66x8/23-095,-621.5473728137
S66x8/23-100,-621.5470152858
S66x8/23-105,-621.5458934533
S66x8/23-110,-621.5443237938
S66x8/23-125,-621.5387354117
S66x8/23-150,-621.5307326616
S66x8/23-200,-621.5224741526
S66x8/24-A,-231.1463228398
S66x8/24-B,-231.1462759988
S66x8/24-090,-462.2854522088
S66x8/24-095,-462.288848859
S66x8/24-100,-462.2905830009
S66x8/24-105,-462.291452144
S66x8/24-110,-462.2918662082
S66x8/24-125,-462.292233775
S66x8/24-150,-462.2923441451
S66x8/24-200,-462.2924609779
S66x8/25-A,-247.1515636991
S66x8/25-B,-247.1516110538
S66x8/25-090,-494.2978643171
S66x8/25-095,-494.3011493726
S66x8/25-100,-494.3028227462
S66x8/25-105,-494.3035823662
S66x8/25-110,-494.3039000818
S66x8/25-125,-494.3039343434
S66x8/25-150,-494.30360236
S66x8/25-200,-494.3033299043
S66x8/26-A,-413.1645447042
S66x8/26-B,-413.1645447068
S66x8/26-090,-826.331713568
S66x8/26-095,-826.3346890086
S66x8/26-100,-826.3358690085
S66x8/26-105,-826.3361109589
S66x8/26-110,-826.3358420612
S66x8/26-125,-826.3343091812
S66x8/26-150,-826.3321640056
S66x8/26-200,-826.3302700213
S66x8/27-A,-231.1463215711
S66x8/27-B,-247.151628206
S66x8/27-090,-478.2915965892
S66x8/27-095,-478.2951388974
S66x8/27-100,-478.2968540533
S66x8/27-105,-478.2976652186
S66x8/27-110,-478.2980006072
S66x8/27-125,-478.2981429647
S66x8/27-150,-478.2979909302
S66x8/27-200,-478.2978991653
S66x8/28-A,-231.146111628
S66x8/28-B,-413.1651509111
S66x8/28-090,-644.3077670184
S66x8/28-095,-644.310860145
S66x8/28-100,-644.3123018788
S66x8/28-105,-644.3129003969
S66x8/28-110,-644.3130030061
S66x8/28-125,-644.3125771168
S66x8/28-150,-644.3118145683
S66x8/28-200,-644.3113140348
S66x8/29-A,-247.1515165513
S66x8/29-B,-413.1651481024
S66x8/29-090,-660.3134381728
S66x8/29-095,-660.3176109452
S66x8/29-100,-660.3193498529
S66x8/29-105,-660.3199182283
S66x8/29-110,-660.3198782271
S66x8/29-125,-660.3190977587
S66x8/29-150,-660.3179800834
S66x8/29-200,-660.3170551555
S66x8/30-A,-231.1462989843
S66x8/30-B,-78.1899497014
S66x8/30-090,-309.3327883845
S66x8/30-095,-309.334295469
S66x8/30-100,-309.3350510496
S66x8/30-105,-309.3354132145
S66x8/30-110,-309.335582025
S66x8/30-125,-309.3357578925
S66x8/30-150,-309.3359253798
S66x8/30-200,-309.3361113832
S66x8/31-A,-413.1651923228
S66x8/31-B,-78.189964847
S66x8/31-090,-491.3546273234
S66x8/31-095,-491.3558775995
S66x8/31-100,-491.3564431758
S66x8/31-105,-491.3566319938
S66x8/31-110,-491.3566285163
S66x8/31-125,-491.3562831916
S66x8/31-150,-491.3557393958
S66x8/31-200,-491.3552549952
S66x8/32-A,-413.1652587076
S66x8/32-B,-76.9494753803
S66x8/32-090,-490.1151148035
S66x8/32-095,-490.1164111764
S66x8/32-100,-490.1169264032
S66x8/32-105,-490.1170264461
S66x8/32-110,-490.1169035943
S66x8/32-125,-490.1162464063
S66x8/32-150,-490.1153784044
S66x8/32-200,-490.1146907504
S66x8/33-A,-247.1516546669
S66x8/33-B,-78.1899063041
S66x8/33-090,-325.3391708839
S66x8/33-095,-325.3404359109
S66x8/33-100,-325.3410730222
S66x8/33-105,-325.3413634823
S66x8/33-110,-325.3414907793
S66x8/33-125,-325.3415194571
S66x8/33-150,-325.3414961087
S66x8/33-200,-325.3415258222
S66x8/34-A,-196.7746429099
S66x8/34-B,-196.7745262601
S66x8/34-090,-393.5469712156
S66x8/34-095,-393.5485474258
S66x8/34-100,-393.5492888357
S66x8/34-105,-393.5496608005
S66x8/34-110,-393.5498238567
S66x8/34-125,-393.5498197562
S66x8/34-150,-393.5496460427
S66x8/34-200,-393.5494350787
S66x8/35-A,-196.7745981686
S66x8/35-B,-196.7784763586
S66x8/35-090,-393.5514253933
S66x8/35-095,-393.5526842085
S66x8/35-100,-393.5532569754
S66x8/35-105,-393.553508684
S66x8/35-110,-393.5535900352
S66x8/35-125,-393.5535366375
S66x8/35-150,-393.5533728111
S66x8/35-200,-393.5532264979
S66x8/36-A,-196.7785401272
S66x8/36-B,-196.7785762552
S66x8/36-090,-393.5559237648
S66x8/36-095,-393.5566499777
S66x8/36-100,-393.5570231448
S66x8/36-105,-393.557216782
S66x8/36-110,-393.557291728
S66x8/36-125,-393.5573127347
S66x8/36-150,-393.5572356927
S66x8/36-200,-393.5571463237
S66x8/37-A,-195.5914378059
S66x8/37-B,-196.7785790796
S66x8/37-090,-392.3679653125
S66x8/37-095,-392.3692373727
S66x8/37-100,-392.3698549372
S66x8/37-105,-392.3701451114
S66x8/37-110,-392.3702695204
S66x8/37-125,-392.3702865862
S66x8/37-150,-392.3701363078
S66x8/37-200,-392.3699963414
S66x8/38-A,-195.5914247986
S66x8/38-B,-195.5914283229
S66x8/38-090,-391.1809994058
S66x8/38-095,-391.1821981934
S66x8/38-100,-391.1828574607
S66x8/38-105,-391.1831578334
S66x8/38-110,-391.1832707915
S66x8/38-125,-391.1832270003
S66x8/38-150,-391.1830344189
S66x8/38-200,-391.1828712699
S66x8/39-A,-231.1462817136
S66x8/39-B,-195.5914186876
S66x8/39-090,-426.7349748528
S66x8/39-095,-426.7369663527
S66x8/39-100,-426.7379559196
S66x8/39-105,-426.7383823211
S66x8/39-110,-426.7385047876
S66x8/39-125,-426.7383427138
S66x8/39-150,-426.7379776993
S66x8/39-200,-426.7377259524
S66x8/40-A,-231.1462636459
S66x8/40-B,-196.7786422512
S66x8/40-090,-427.9228546121
S66x8/40-095,-427.9244469579
S66x8/40-100,-427.9251981814
S66x8/40-105,-427.9255209701
S66x8/40-110,-427.9256062578
S66x8/40-125,-427.9254451542
S66x8/40-150,-427.9251114394
S66x8/40-200,-427.9248719107
S66x8/41-A,-413.1651301523
S66x8/41-B,-196.7746699712
S66x8/41-090,-609.93773823
S66x8/41-095,-609.9395365179
S66x8/41-100,-609.9404082157
S66x8/41-105,-609.9407593837
S66x8/41-110,-609.9408377493
S66x8/41-125,-609.9405452285
S66x8/41-150,-609.9401000822
S66x8/41-200,-609.9398108814
S66x8/42-A,-413.1651136964
S66x8/42-B,-195.5914032355
S66x8/42-090,-608.753779715
S66x8/42-095,-608.7557177145
S66x8/42-100,-608.7566505851
S66x8/42-105,-608.7570630287
S66x8/42-110,-608.7571970246
S66x8/42-125,-608.757122595
S66x8/42-150,-608.7568096343
S66x8/42-200,-608.7565634822
S66x8/43-A,-413.1651785446
S66x8/43-B,-196.7783395291
S66x8/43-090,-609.9421180747
S66x8/43-095,-609.9437023405
S66x8/43-100,-609.9444015632
S66x8/43-105,-609.9446700659
S66x8/43-110,-609.9447142578
S66x8/43-125,-609.944464338
S66x8/43-150,-609.9440226612
S66x8/43-200,-609.9436857613
S66x8/44-A,-78.189951259
S66x8/44-B,-196.7747171245
S66x8/44-090,-274.9639242322
S66x8/44-095,-274.9645843495
S66x8/44-100,-274.9648831463
S66x8/44-105,-274.9650092011
S66x8/44-110,-274.9650283246
S66x8/44-125,-274.9649511697
S66x8/44-150,-274.9647955902
S66x8/44-200,-274.9646585359
S66x8/45-A,-76.9494745875
S66x8/45-B,-196.7746538162
S66x8/45-090,-273.7228108598
S66x8/45-095,-273.7237817298
S66x8/45-100,-273.7242396285
S66x8/45-105,-273.724431004
S66x8/45-110,-273.7244911278
S66x8/45-125,-273.7244020283
S66x8/45-150,-273.7241818712
S66x8/45-200,-273.7239756562
S66x8/46-A,-247.4653409942
S66x8/46-B,-196.7745497119
S66x8/46-090,-444.2394848585
S66x8/46-095,-444.2405000757
S66x8/46-100,-444.2410001596
S66x8/46-105,-444.2412135008
S66x8/46-110,-444.2412530639
S66x8/46-125,-444.2410420225
S66x8/46-150,-444.2405464109
S66x8/46-200,-444.2401237294
S66x8/47-A,-231.1462377398
S66x8/47-B,-231.1460789424
S66x8/47-090,-462.2910922985
S66x8/47-095,-462.2927208264
S66x8/47-100,-462.2934636237
S66x8/47-105,-462.2937303521
S66x8/47-110,-462.2937733579
S66x8/47-125,-462.2934851669
S66x8/47-150,-462.293011758
S66x8/47-200,-462.2926398186
S66x8/48-A,-247.1515579332
S66x8/48-B,-247.1515125069
S66x8/48-090,-494.3033219762
S66x8/48-095,-494.3046135737
S66x8/48-100,-494.3051774318
S66x8/48-105,-494.3053429679
S66x8/48-110,-494.3053053304
S66x8/48-125,-494.3048314186
S66x8/48-150,-494.3041203217
S66x8/48-200,-494.3034849818
S66x8/49-A,-231.1462396004
S66x8/49-B,-247.1515680207
S66x8/49-090,-478.2973316231
S66x8/49-095,-478.2989386146
S66x8/49-100,-478.2996357523
S66x8/49-105,-478.2998451208
S66x8/49-110,-478.2998221772
S66x8/49-125,-478.2993655814
S66x8/49-150,-478.2987005307
S66x8/49-200,-478.2981370576
S66x8/50-A,-231.1462165428
S66x8/50-B,-76.9495608948
S66x8/50-090,-308.0970143997
S66x8/50-095,-308.0980484893
S66x8/50-100,-308.0983710103
S66x8/50-105,-308.0983393336
S66x8/50-110,-308.0981578549
S66x8/50-125,-308.0974282678
S66x8/50-150,-308.0965527632
S66x8/50-200,-308.0958638954
S66x8/51-A,-76.9494884023
S66x8/51-B,-76.9495690719
S66x8/51-090,-153.9007538773
S66x8/51-095,-153.9010326599
S66x8/51-100,-153.9010510969
S66x8/51-105,-153.9009384466
S66x8/51-110,-153.9007691007
S66x8/51-125,-153.900222502
S66x8/51-150,-153.8996077504
S66x8/51-200,-153.8991608159
S66x8/52-A,-231.1462132884
S66x8/52-B,-228.1892925128
S66x8/52-090,-459.3396974151
S66x8/52-095,-459.3405235656
S66x8/52-100,-459.3407050234
S66x8/52-105,-459.3405349292
S66x8/52-110,-459.3401944372
S66x8/52-125,-459.3389632345
S66x8/52-150,-459.337444082
S66x8/52-200,-459.3361343713
S66x8/53-A,-231.146218422
S66x8/53-B,-208.3524432451
S66x8/53-090,-439.5025948794
S66x8/53-095,-439.5032435285
S66x8/53-100,-439.5033988994
S66x8/53-105,-439.5032788925
S66x8/53-110,-439.5030025708
S66x8/53-125,-439.5019282175
S66x8/53-150,-439.5005099366
S66x8/53-200,-439.4991848633
S66x8/54-A,-231.1461961966
S66x8/54-B,-76.1496317318
S66x8/54-090,-307.2995980825
S66x8/54-095,-307.3000931037
S66x8/54-100,-307.3001296393
S66x8/54-105,-307.299933563
S66x8/54-110,-307.2996345124
S66x8/54-125,-307.2986523582
S66x8/54-150,-307.297470303
S66x8/54-200,-307.2964205109
S66x8/55-A,-231.146162837
S66x8/55-B,-115.2485515921
S66x8/55-090,-346.3977801988
S66x8/55-095,-346.3986468525
S66x8/55-100,-346.3989268979
S66x8/55-105,-346.3988649444
S66x8/55-110,-346.3986433354
S66x8/55-125,-346.3977189028
S66x8/55-150,-346.3965125789
S66x8/55-200,-346.3953943519
S66x8/56-A,-231.1462327383
S66x8/56-B,-95.4173375858
S66x8/56-090,-326.5643014958
S66x8/56-095,-326.5652831497
S66x8/56-100,-326.5657022402
S66x8/56-105,-326.5657978216
S66x8/56-110,-326.5657083501
S66x8/56-125,-326.5651700414
S66x8/56-150,-326.5644534792
S66x8/56-200,-326.5638556255
S66x8/57-A,-231.1461719089
S66x8/57-B,-247.4653305002
S66x8/57-090,-478.6128996154
S66x8/57-095,-478.6148767448
S66x8/57-100,-478.6156479463
S66x8/57-105,-478.6157967523
S66x8/57-110,-478.6156267996
S66x8/57-125,-478.6146712444
S66x8/57-150,-478.6133809241
S66x8/57-200,-478.6122444861
S66x8/58-A,-247.1515425063
S66x8/58-B,-247.151450062
S66x8/58-090,-494.3061888572
S66x8/58-095,-494.3073952895
S66x8/58-100,-494.3077084072
S66x8/58-105,-494.307348738
S66x8/58-110,-494.30681735
S66x8/58-125,-494.305411051
S66x8/58-150,-494.3041438045
S66x8/58-200,-494.3033139297
S66x8/59-A,-76.9496362695
S66x8/59-B,-76.1496894043
S66x8/59-090,-153.1037518695
S66x8/59-095,-153.1039231827
S66x8/59-100,-153.1038169922
S66x8/59-105,-153.1035604432
S66x8/59-110,-153.103234
S66x8/59-125,-153.1022017747
S66x8/59-150,-153.1009320455
S66x8/59-200,-153.0997833963
S66x8/60-A,-76.9494935465
S66x8/60-B,-228.1892694087
S66x8/60-090,-305.1463081744
S66x8/60-095,-305.1465874465
S66x8/60-100,-305.1463577975
S66x8/60-105,-305.1458532581
S66x8/60-110,-305.1452298925
S66x8/60-125,-305.1433282395
S66x8/60-150,-305.141179195
S66x8/60-200,-305.1394786756
S66x8/61-A,-196.7745931313
S66x8/61-B,-228.1893399847
S66x8/61-090,-424.9636051686
S66x8/61-095,-424.9642070207
S66x8/61-100,-424.9645263419
S66x8/61-105,-424.9646748501
S66x8/61-110,-424.9647268568
S66x8/61-125,-424.9646219832
S66x8/61-150,-424.9643004259
S66x8/61-200,-424.9640265736
S66x8/62-A,-196.7746592221
S66x8/62-B,-208.3524544744
S66x8/62-090,-405.127198417
S66x8/62-095,-405.1279881137
S66x8/62-100,-405.1283339722
S66x8/62-105,-405.1284449258
S66x8/62-110,-405.1284399191
S66x8/62-125,-405.1281407586
S66x8/62-150,-405.1276749957
S66x8/62-200,-405.1272491769
S66x8/63-A,-231.146283652
S66x8/63-B,-228.1892797807
S66x8/63-090,-459.3352993784
S66x8/63-095,-459.3368336756
S66x8/63-100,-459.3374608773
S66x8/63-105,-459.3376317124
S66x8/63-110,-459.3375869203
S66x8/63-125,-459.3370514556
S66x8/63-150,-459.3363047488
S66x8/63-200,-459.3357333847
S66x8/64-A,-247.4652519063
S66x8/64-B,-78.1900698206
S66x8/64-090,-325.6563438768
S66x8/64-095,-325.6569874192
S66x8/64-100,-325.6572403774
S66x8/64-105,-325.6572618288
S66x8/64-110,-325.657168772
S66x8/64-125,-325.6566798814
S66x8/64-150,-325.6559560053
S66x8/64-200,-325.6553477517
S66x8/65-A,-247.1516098886
S66x8/65-B,-76.9490154405
S66x8/65-090,-324.1072071265
S66x8/65-095,-324.1074354615
S66x8/65-100,-324.1073048332
S66x8/65-105,-324.1069715353
S66x8/65-110,-324.1065390925
S66x8/65-125,-324.1051567286
S66x8/65-150,-324.1034755785
S66x8/65-200,-324.1020391997
S66x8/66-A,-95.417297918
S66x8/66-B,-247.1515786954
S66x8/66-090,-342.5714992512
S66x8/66-095,-342.5721255075
S66x8/66-100,-342.572336174
S66x8/66-105,-342.5722978262
S66x8/66-110,-342.5721268537
S66x8/66-125,-342.5713858278
