system,PW86PBE/def2-QZVP/ORCA
S22x5/12-B,-40.5612744471
S22x5/12-0.9,-273.0654962266
S22x5/12-1.0,-273.0670514293
S22x5/12-1.2,-273.0676116045
S22x5/12-1.5,-273.067430695
S22x5/12-2.0,-273.0673313313
S22x5/13-A,-232.5060426343
S22x5/13-B,-232.5060500121
S22x5/13-0.9,-465.0094638455
S22x5/13-1.0,-465.0118757103
S22x5/13-1.2,-465.012889297
S22x5/13-1.5,-465.012570403
S22x5/13-2.0,-465.012254543
S22x5/14-A,-232.5059923107
S22x5/14-B,-232.5059923107
S22x5/14-0.9,-465.0008824762
S22x5/14-1.0,-465.0088207685
S22x5/14-1.2,-465.0116972644
S22x5/14-1.5,-465.0118577617
S22x5/14-2.0,-465.0119745364
S22x5/15-A,-232.506063431
S22x5/15-B,-364.2223908408
S22x5/15-0.9,-596.7280775761
S22x5/15-1.0,-596.7311099381
S22x5/15-1.2,-596.7320686563
S22x5/15-1.5,-596.7307937677
S22x5/15-2.0,-596.7294708105
S22x5/16-A,-232.5060113781
S22x5/16-B,-364.2222910099
S22x5/16-0.9,-596.7148720806
S22x5/16-1.0,-596.7247412044
S22x5/16-1.2,-596.7281473268
S22x5/16-1.5,-596.7280096628
S22x5/16-2.0,-596.7281097178
S22x5/17-A,-264.6071017959
S22x5/17-B,-264.6070816958
S22x5/17-0.9,-529.2043284689
S22x5/17-1.0,-529.2129115334
S22x5/17-1.2,-529.2151376743
S22x5/17-1.5,-529.2145555214
S22x5/17-2.0,-529.2142718668
S22x5/18-A,-323.8768050428
S22x5/18-B,-303.9885118504
S22x5/18-0.9,-627.8857938455
S22x5/18-1.0,-627.88892618
S22x5/18-1.2,-627.8854558421
S22x5/18-1.5,-627.8770763717
S22x5/18-2.0,-627.8699277042
S22x5/19-A,-307.8081699669
S22x5/19-B,-307.8082178116
S22x5/19-0.9,-615.6205701227
S22x5/19-1.0,-615.6224878147
S22x5/19-1.2,-615.6220753123
S22x5/19-1.5,-615.6197447338
S22x5/19-2.0,-615.6177706436
S22x5/20-A,-415.2739384565
S22x5/20-B,-415.2739384566
S22x5/20-0.9,-830.5416353988
S22x5/20-1.0,-830.5521204976
S22x5/20-1.2,-830.5526292031
S22x5/20-1.5,-830.5501147121
S22x5/20-2.0,-830.5487153521
S22x5/21-A,-415.2733398179
S22x5/21-B,-415.2733398179
S22x5/21-0.9,-830.5719789286
S22x5/21-1.0,-830.5755232992
S22x5/21-1.2,-830.5713383638
S22x5/21-1.5,-830.5616537312
S22x5/21-2.0,-830.5531143853
S22x5/22-A,-232.506069116
S22x5/22-B,-93.5301790472
S22x5/22-0.9,-326.038530622
S22x5/22-1.0,-326.0401821329
S22x5/22-1.2,-326.0400304945
S22x5/22-1.5,-326.0385260309
S22x5/22-2.0,-326.0372448956
S66x8/01-A,-76.5085068535
S66x8/01-B,-76.5085580686
S66x8/01-090,-153.0246025048
S66x8/01-095,-153.0251027495
S66x8/01-100,-153.0251152381
S66x8/01-105,-153.0248246528
S66x8/01-110,-153.0243594039
S66x8/01-125,-153.0227004671
S66x8/01-150,-153.0204851442
S66x8/01-200,-153.0185137114
S66x8/02-A,-76.5085105703
S66x8/02-B,-115.8450827841
S66x8/02-090,-192.361167295
S66x8/02-095,-192.3618442861
S66x8/02-100,-192.361952412
S66x8/02-105,-192.3617184115
S66x8/02-110,-192.3612708071
S66x8/02-125,-192.3595480671
S66x8/02-150,-192.3571696439
S66x8/02-200,-192.3550436541
S66x8/03-A,-76.5085074207
S66x8/03-B,-95.9632824154
S66x8/03-090,-172.4824250852
S66x8/03-095,-172.483065428
S66x8/03-100,-172.4830894586
S66x8/03-105,-172.4827249602
S66x8/03-110,-172.4821205238
S66x8/03-125,-172.4798461451
S66x8/03-150,-172.4766132448
S66x8/03-200,-172.4736167103
S66x8/04-A,-76.5085103328
S66x8/04-B,-248.7942715299
S66x8/04-090,-325.3133856523
S66x8/04-095,-325.3142260061
S66x8/04-100,-325.3143882435
S66x8/04-105,-325.3141306283
S66x8/04-110,-325.3136131593
S66x8/04-125,-325.3114713638
S66x8/04-150,-325.3083217221
S66x8/04-200,-325.3049039032
S66x8/05-A,-115.8449206467
S66x8/05-B,-115.845107525
S66x8/05-090,-231.6971907585
S66x8/05-095,-231.6980057485
S66x8/05-100,-231.6982112448
S66x8/05-105,-231.698049156
S66x8/05-110,-231.6976541957
S66x8/05-125,-231.6960006897
S66x8/05-150,-231.693620477
S66x8/05-200,-231.691433119
S66x8/06-A,-115.84477607
S66x8/06-B,-95.9632692165
S66x8/06-090,-211.8179505619
S66x8/06-095,-211.8189367439
S66x8/06-100,-211.8191999883
S66x8/06-105,-211.819005904
S66x8/06-110,-211.818519708
S66x8/06-125,-211.8163680109
S66x8/06-150,-211.8130855425
S66x8/06-200,-211.8099286406
S66x8/07-A,-115.8449071414
S66x8/07-B,-248.7939445578
S66x8/07-090,-364.6488780232
S66x8/07-095,-364.6499093187
S66x8/07-100,-364.6502040025
S66x8/07-105,-364.6500405355
S66x8/07-110,-364.6496007889
S66x8/07-125,-364.6475643958
S66x8/07-150,-364.6439424107
S66x8/07-200,-364.6403565802
S66x8/08-A,-115.8449071586
S66x8/08-B,-76.5085611442
S66x8/08-090,-192.3605689463
S66x8/08-095,-192.3611922242
S66x8/08-100,-192.361292809
S66x8/08-105,-192.3610694419
S66x8/08-110,-192.3606493768
S66x8/08-125,-192.3590528298
S66x8/08-150,-192.3568428899
S66x8/08-200,-192.3548460699
S66x8/09-A,-95.9632083099
S66x8/09-B,-115.845034681
S66x8/09-090,-211.8110682059
S66x8/09-095,-211.8116182674
S66x8/09-100,-211.8117831785
S66x8/09-105,-211.8117186773
S66x8/09-110,-211.8115200956
S66x8/09-125,-211.8107135128
S66x8/09-150,-211.8096587864
S66x8/09-200,-211.8088150128
S66x8/10-A,-95.9633190715
S66x8/10-B,-95.9632855514
S66x8/10-090,-191.9301982755
S66x8/10-095,-191.9310790191
S66x8/10-100,-191.9313968039
S66x8/10-105,-191.9313675555
S66x8/10-110,-191.9311239088
S66x8/10-125,-191.9300009372
S66x8/10-150,-191.9281791465
S66x8/10-200,-191.9270840297
S66x8/11-A,-95.9632016286
S66x8/11-B,-248.7941037172
S66x8/11-090,-344.7612606065
S66x8/11-095,-344.7623011165
S66x8/11-100,-344.7627415345
S66x8/11-105,-344.7627941401
S66x8/11-110,-344.7626109071
S66x8/11-125,-344.7608387548
S66x8/11-150,-344.7589064694
S66x8/11-200,-344.7579050635
S66x8/12-A,-95.9632398064
S66x8/12-B,-76.5086601968
S66x8/12-090,-172.4820377828
S66x8/12-095,-172.4828807086
S66x8/12-100,-172.4830269281
S66x8/12-105,-172.4827382081
S66x8/12-110,-172.4821755907
S66x8/12-125,-172.4799149142
S66x8/12-150,-172.4766409033
S66x8/12-200,-172.4736160895
S66x8/13-A,-248.7940290489
S66x8/13-B,-115.8450868676
S66x8/13-090,-364.645045236
S66x8/13-095,-364.6460107831
S66x8/13-100,-364.6463865398
S66x8/13-105,-364.6463696965
S66x8/13-110,-364.6461200506
S66x8/13-125,-364.6448437646
S66x8/13-150,-364.6428225955
S66x8/13-200,-364.6408380478
S66x8/14-A,-248.7938963473
S66x8/14-B,-95.9632784917
S66x8/14-090,-344.7650704481
S66x8/14-095,-344.7661999766
S66x8/14-100,-344.766640669
S66x8/14-105,-344.7666188473
S66x8/14-110,-344.7663121449
S66x8/14-125,-344.7646786283
S66x8/14-150,-344.7619502226
S66x8/14-200,-344.7591922663
S66x8/15-A,-248.794181577
S66x8/15-B,-248.794205763
S66x8/15-090,-497.5966661473
S66x8/15-095,-497.5978428888
S66x8/15-100,-497.5983225999
S66x8/15-105,-497.5983532047
S66x8/15-110,-497.5980886364
S66x8/15-125,-497.5965729775
S66x8/15-150,-497.5938650327
S66x8/15-200,-497.5906985665
S66x8/16-A,-248.7942925017
S66x8/16-B,-76.50855733
S66x8/16-090,-325.309053283
S66x8/16-095,-325.3097572599
S66x8/16-100,-325.3099460972
S66x8/16-105,-325.3098150838
S66x8/16-110,-325.3095095233
S66x8/16-125,-325.3082123291
S66x8/16-150,-325.3063271603
S66x8/16-200,-325.3045103195
S66x8/17-A,-415.2735987698
S66x8/17-B,-415.2736579478
S66x8/17-090,-830.5684259358
S66x8/17-095,-830.5706766153
S66x8/17-100,-830.5714053949
S66x8/17-105,-830.5711237077
S66x8/17-110,-830.5702338692
S66x8/17-125,-830.5660134924
S66x8/17-150,-830.5590898532
S66x8/17-200,-830.5519123783
S66x8/18-A,-76.5085134934
S66x8/18-B,-248.5581417782
S66x8/18-090,-325.0767735092
S66x8/18-095,-325.0774534411
S66x8/18-100,-325.0775108239
S66x8/18-105,-325.0771798112
S66x8/18-110,-325.076606967
S66x8/18-125,-325.0744223847
S66x8/18-150,-325.0713293381
S66x8/18-200,-325.0684835098
S66x8/19-A,-115.8447840423
S66x8/19-B,-248.5581370397
S66x8/19-090,-364.4123616476
S66x8/19-095,-364.4133197997
S66x8/19-100,-364.4135734338
S66x8/19-105,-364.4133800027
S66x8/19-110,-364.4130835316
S66x8/19-125,-364.4107956905
S66x8/19-150,-364.407800922
S66x8/19-200,-364.4047493744
S66x8/20-A,-229.3314982111
S66x8/20-B,-229.331504098
S66x8/20-090,-458.6886536867
S66x8/20-095,-458.6911802667
S66x8/20-100,-458.6919558498
S66x8/20-105,-458.6915916189
S66x8/20-110,-458.6904920057
S66x8/20-125,-458.685282873
S66x8/20-150,-458.6769375314
S66x8/20-200,-458.6683054096
S66x8/21-A,-209.4457339925
S66x8/21-B,-209.445735112
S66x8/21-090,-418.9124074872
S66x8/21-095,-418.9145020671
S66x8/21-100,-418.915124973
S66x8/21-105,-418.9147987405
S66x8/21-110,-418.9139020366
S66x8/21-125,-418.909740024
S66x8/21-150,-418.903208367
S66x8/21-200,-418.8959154447
S66x8/22-A,-229.3314467252
S66x8/22-B,-415.2733803764
S66x8/22-090,-644.6301109058
S66x8/22-095,-644.6325474993
S66x8/22-100,-644.6333549273
S66x8/22-105,-644.6330668482
S66x8/22-110,-644.6320698775
S66x8/22-125,-644.6272629234
S66x8/22-150,-644.6192897155
S66x8/22-200,-644.6107923613
S66x8/23-A,-209.4456010134
S66x8/23-B,-415.273344445
S66x8/23-090,-624.7434951956
S66x8/23-095,-624.7457600871
S66x8/23-100,-624.7465430214
S66x8/23-105,-624.7463435586
S66x8/23-110,-624.7454983751
S66x8/23-125,-624.74120886
S66x8/23-150,-624.7338405692
S66x8/23-200,-624.7256934076
S66x8/24-A,-232.5060011693
S66x8/24-B,-232.5060506941
S66x8/24-090,-465.0015386015
S66x8/24-095,-465.0063465905
S66x8/24-100,-465.0090284938
S66x8/24-105,-465.0104981228
S66x8/24-110,-465.011183246
S66x8/24-125,-465.0117725789
S66x8/24-150,-465.0118524854
S66x8/24-200,-465.0119884975
S66x8/25-A,-248.558182582
S66x8/25-B,-248.5581922597
S66x8/25-090,-497.1070144233
S66x8/25-095,-497.1118939382
S66x8/25-100,-497.1145465778
S66x8/25-105,-497.1159565664
S66x8/25-110,-497.1166270049
S66x8/25-125,-497.1169827835
S66x8/25-150,-497.1166997311
S66x8/25-200,-497.1164910926
S66x8/26-A,-415.2739396393
S66x8/26-B,-415.2739396393
S66x8/26-090,-830.5444554874
S66x8/26-095,-830.5495345099
S66x8/26-100,-830.5521230007
S66x8/26-105,-830.5532047121
S66x8/26-110,-830.5534504221
S66x8/26-125,-830.5524928573
S66x8/26-150,-830.5505583065
S66x8/26-200,-830.5489668791
S66x8/27-A,-232.5060259259
S66x8/27-B,-248.5581849445
S66x8/27-090,-481.0540513502
S66x8/27-095,-481.0591829797
S66x8/27-100,-481.0619186804
S66x8/27-105,-481.0633688531
S66x8/27-110,-481.0640372633
S66x8/27-125,-481.0644327846
S66x8/27-150,-481.0642884885
S66x8/27-200,-481.0642331056
S66x8/28-A,-232.5060665427
S66x8/28-B,-415.2743463146
S66x8/28-090,-647.7717170972
S66x8/28-095,-647.77667083
S66x8/28-100,-647.7793752485
S66x8/28-105,-647.7807703772
S66x8/28-110,-647.7813844597
S66x8/28-125,-647.7813744455
S66x8/28-150,-647.7807273367
S66x8/28-200,-647.7803459586
S66x8/29-A,-248.5581962566
S66x8/29-B,-415.2742736052
S66x8/29-090,-663.8235964281
S66x8/29-095,-663.8301437367
S66x8/29-100,-663.8333703154
S66x8/29-105,-663.8347694661
S66x8/29-110,-663.8352217218
S66x8/29-125,-663.8347891084
S66x8/29-150,-663.8337458608
S66x8/29-200,-663.8329492638
S66x8/30-A,-232.5060283711
S66x8/30-B,-78.6766128577
S66x8/30-090,-311.1774168643
S66x8/30-095,-311.1797823804
S66x8/30-100,-311.1810390927
S66x8/30-105,-311.181683108
S66x8/30-110,-311.182007139
S66x8/30-125,-311.182244437
S66x8/30-150,-311.1823398243
S66x8/30-200,-311.1825197067
S66x8/31-A,-415.2743256678
S66x8/31-B,-78.6767075901
S66x8/31-090,-493.9482145382
S66x8/31-095,-493.9503534352
S66x8/31-100,-493.9514639524
S66x8/31-105,-493.9520036132
S66x8/31-110,-493.9522076185
S66x8/31-125,-493.952042369
S66x8/31-150,-493.9515305131
S66x8/31-200,-493.9511567053
S66x8/32-A,-415.2742278964
S66x8/32-B,-77.4204937225
S66x8/32-090,-492.6930089084
S66x8/32-095,-492.6951846987
S66x8/32-100,-492.6962567238
S66x8/32-105,-492.6966895269
S66x8/32-110,-492.6967879508
S66x8/32-125,-492.6963028309
S66x8/32-150,-492.6954900434
S66x8/32-200,-492.6948996514
S66x8/33-A,-248.5581620728
S66x8/33-B,-78.6765623056
S66x8/33-090,-327.2305344767
S66x8/33-095,-327.2326207164
S66x8/33-100,-327.2337666319
S66x8/33-105,-327.2343628718
S66x8/33-110,-327.23463189
S66x8/33-125,-327.2347627704
S66x8/33-150,-327.2346820173
S66x8/33-200,-327.2347134983
S66x8/34-A,-197.9789357254
S66x8/34-B,-197.97874909
S66x8/34-090,-395.9523460393
S66x8/34-095,-395.9549121497
S66x8/34-100,-395.9562228638
S66x8/34-105,-395.957174771
S66x8/34-110,-395.9576919042
S66x8/34-125,-395.9578097974
S66x8/34-150,-395.9575839755
S66x8/34-200,-395.9575896007
S66x8/35-A,-197.9788632391
S66x8/35-B,-197.9805643517
S66x8/35-090,-395.9559576029
S66x8/35-095,-395.9581050747
S66x8/35-100,-395.9590671948
S66x8/35-105,-395.9593817441
S66x8/35-110,-395.959538799
S66x8/35-125,-395.9596321724
S66x8/35-150,-395.9595642392
S66x8/35-200,-395.9595522929
S66x8/36-A,-197.9805989601
S66x8/36-B,-197.9806942941
S66x8/36-090,-395.9592381553
S66x8/36-095,-395.9602928595
S66x8/36-100,-395.9608548649
S66x8/36-105,-395.9611058814
S66x8/36-110,-395.9612126164
S66x8/36-125,-395.9612720757
S66x8/36-150,-395.9612102397
S66x8/36-200,-395.961192196
S66x8/37-A,-196.7637433016
S66x8/37-B,-197.9803480132
S66x8/37-090,-394.7408300767
S66x8/37-095,-394.7427675232
S66x8/37-100,-394.7437438918
S66x8/37-105,-394.7442597025
S66x8/37-110,-394.74450957
S66x8/37-125,-394.7446050302
S66x8/37-150,-394.7445036949
S66x8/37-200,-394.7444666583
S66x8/38-A,-196.7636409041
S66x8/38-B,-196.7636428158
S66x8/38-090,-393.5237492845
S66x8/38-095,-393.5256844906
S66x8/38-100,-393.5267163383
S66x8/38-105,-393.5271924011
S66x8/38-110,-393.5275209422
S66x8/38-125,-393.5274586826
S66x8/38-150,-393.5273013384
S66x8/38-200,-393.5272907692
S66x8/39-A,-232.5060431338
S66x8/39-B,-196.7636752781
S66x8/39-090,-429.2638360994
S66x8/39-095,-429.26701709
S66x8/39-100,-429.268807605
S66x8/39-105,-429.2697039606
S66x8/39-110,-429.270087944
S66x8/39-125,-429.2701592403
S66x8/39-150,-429.2698745793
S66x8/39-200,-429.2697410577
S66x8/40-A,-232.5060539409
S66x8/40-B,-197.9807867724
S66x8/40-090,-430.482258983
S66x8/40-095,-430.4848030906
S66x8/40-100,-430.4861160131
S66x8/40-105,-430.4867749396
S66x8/40-110,-430.4871002956
S66x8/40-125,-430.4871422967
S66x8/40-150,-430.4868359534
S66x8/40-200,-430.4866850444
S66x8/41-A,-415.2744254385
S66x8/41-B,-197.9788782476
S66x8/41-090,-613.2477482735
S66x8/41-095,-613.2509012557
S66x8/41-100,-613.2525534935
S66x8/41-105,-613.2534110672
S66x8/41-110,-613.2538606576
S66x8/41-125,-613.2537462067
S66x8/41-150,-613.2534237438
S66x8/41-200,-613.2533064139
S66x8/42-A,-415.2744487686
S66x8/42-B,-196.7636787544
S66x8/42-090,-612.0323977039
S66x8/42-095,-612.0355528666
S66x8/42-100,-612.0372057392
S66x8/42-105,-612.0380581424
S66x8/42-110,-612.0384340054
S66x8/42-125,-612.0384900262
S66x8/42-150,-612.0382444175
S66x8/42-200,-612.0381350373
S66x8/43-A,-415.2743718562
S66x8/43-B,-197.9803435497
S66x8/43-090,-613.2512397332
S66x8/43-095,-613.25373259
S66x8/43-100,-613.2549597714
S66x8/43-105,-613.2555757507
S66x8/43-110,-613.2558035239
S66x8/43-125,-613.2556946274
S66x8/43-150,-613.2553205808
S66x8/43-200,-613.2551196863
S66x8/44-A,-78.6766225341
S66x8/44-B,-197.9790198594
S66x8/44-090,-276.6538538102
S66x8/44-095,-276.6549328575
S66x8/44-100,-276.6553654572
S66x8/44-105,-276.6556054285
S66x8/44-110,-276.6557004893
S66x8/44-125,-276.6557059191
S66x8/44-150,-276.6555954911
S66x8/44-200,-276.6555660658
S66x8/45-A,-77.4204836429
S66x8/45-B,-197.9788413231
S66x8/45-090,-275.3968532281
S66x8/45-095,-275.3982546366
S66x8/45-100,-275.3989747347
S66x8/45-105,-275.3992997639
S66x8/45-110,-275.3994369915
S66x8/45-125,-275.3994198785
S66x8/45-150,-275.3992333292
S66x8/45-200,-275.3991226982
S66x8/46-A,-248.7943099833
S66x8/46-B,-197.978691575
S66x8/46-090,-446.7703086161
S66x8/46-095,-446.7721494008
S66x8/46-100,-446.7731845826
S66x8/46-105,-446.7737683904
S66x8/46-110,-446.7740201371
S66x8/46-125,-446.7738837833
S66x8/46-150,-446.7734869308
S66x8/46-200,-446.7732589131
S66x8/47-A,-232.5060539829
S66x8/47-B,-232.506108418
S66x8/47-090,-465.0078258091
S66x8/47-095,-465.0104463361
S66x8/47-100,-465.0118520698
S66x8/47-105,-465.0125001214
S66x8/47-110,-465.0127590755
S66x8/47-125,-465.0127318497
S66x8/47-150,-465.012385405
S66x8/47-200,-465.0121583426
S66x8/48-A,-248.5582056616
S66x8/48-B,-248.5582045394
S66x8/48-090,-497.113841217
S66x8/48-095,-497.1160273266
S66x8/48-100,-497.1171943167
S66x8/48-105,-497.1177232827
S66x8/48-110,-497.1179112161
S66x8/48-125,-497.117690817
S66x8/48-150,-497.1170948809
S66x8/48-200,-497.1166380898
S66x8/49-A,-232.5060600143
S66x8/49-B,-248.5581695035
S66x8/49-090,-481.0606367011
S66x8/49-095,-481.0632596741
S66x8/49-100,-481.0646407912
S66x8/49-105,-481.065275368
S66x8/49-110,-481.0654970319
S66x8/49-125,-481.0653594974
S66x8/49-150,-481.0648430858
S66x8/49-200,-481.0644526084
S66x8/50-A,-232.5060499577
S66x8/50-B,-77.4205374395
S66x8/50-090,-309.9253485225
S66x8/50-095,-309.9272166998
S66x8/50-100,-309.9281410766
S66x8/50-105,-309.9284682207
S66x8/50-110,-309.928482486
S66x8/50-125,-309.9280532871
S66x8/50-150,-309.9273764169
S66x8/50-200,-309.9268717386
S66x8/51-A,-77.420490847
S66x8/51-B,-77.4205374181
S66x8/51-090,-154.8420614106
S66x8/51-095,-154.8425446904
S66x8/51-100,-154.8427008578
S66x8/51-105,-154.8426699958
S66x8/51-110,-154.8425465595
S66x8/51-125,-154.8420604941
S66x8/51-150,-154.8415106333
S66x8/51-200,-154.8411461211
S66x8/52-A,-232.5060451279
S66x8/52-B,-229.3332418743
S66x8/52-090,-461.8400689839
S66x8/52-095,-461.8417794177
S66x8/52-100,-461.842626337
S66x8/52-105,-461.8429155565
S66x8/52-110,-461.8429064148
S66x8/52-125,-461.8421573803
S66x8/52-150,-461.8408839927
S66x8/52-200,-461.8398180752
S66x8/53-A,-232.5060308042
S66x8/53-B,-209.4463952656
S66x8/53-090,-441.9540392098
S66x8/53-095,-441.9552951551
S66x8/53-100,-441.955879677
S66x8/53-105,-441.9560575672
S66x8/53-110,-441.9560018685
S66x8/53-125,-441.9552499235
S66x8/53-150,-441.9540226388
S66x8/53-200,-441.9529116138
S66x8/54-A,-232.5060602246
S66x8/54-B,-76.5084828348
S66x8/54-090,-309.0163993244
S66x8/54-095,-309.0174562886
S66x8/54-100,-309.0178748607
S66x8/54-105,-309.0179452195
S66x8/54-110,-309.0178026436
S66x8/54-125,-309.0170115801
S66x8/54-150,-309.0159410797
S66x8/54-200,-309.0150446945
S66x8/55-A,-232.5060695013
S66x8/55-B,-115.8449439357
S66x8/55-090,-348.351343869
S66x8/55-095,-348.3530011222
S66x8/55-100,-348.3537941092
S66x8/55-105,-348.3540804485
S66x8/55-110,-348.3540963827
S66x8/55-125,-348.3534840962
S66x8/55-150,-348.3524224428
S66x8/55-200,-348.3515182359
S66x8/56-A,-232.5060527354
S66x8/56-B,-95.963182951
S66x8/56-090,-328.4676347229
S66x8/56-095,-328.469369948
S66x8/56-100,-328.4703067082
S66x8/56-105,-328.4707287798
S66x8/56-110,-328.4708482404
S66x8/56-125,-328.4705437819
S66x8/56-150,-328.4699417186
S66x8/56-200,-328.4694942988
S66x8/57-A,-232.5060799568
S66x8/57-B,-248.7942440394
S66x8/57-090,-481.2974616798
S66x8/57-095,-481.3007723151
S66x8/57-100,-481.302453967
S66x8/57-105,-481.3032177818
S66x8/57-110,-481.3034134524
S66x8/57-125,-481.3029088787
S66x8/57-150,-481.301808289
S66x8/57-200,-481.300927039
S66x8/58-A,-248.5582047613
S66x8/58-B,-248.5581849678
S66x8/58-090,-497.1171118247
S66x8/58-095,-497.1191555638
S66x8/58-100,-497.1201952609
S66x8/58-105,-497.1201986075
S66x8/58-110,-497.1198445135
S66x8/58-125,-497.118560147
S66x8/58-150,-497.1173565125
S66x8/58-200,-497.1166380781
S66x8/59-A,-77.4205744792
S66x8/59-B,-76.5085423818
S66x8/59-090,-153.9323439386
S66x8/59-095,-153.9327582876
S66x8/59-100,-153.9328185697
S66x8/59-105,-153.9326744266
S66x8/59-110,-153.932413639
S66x8/59-125,-153.9314708853
S66x8/59-150,-153.9302628877
S66x8/59-200,-153.9292203912
S66x8/60-A,-77.4205077805
S66x8/60-B,-229.3332269062
S66x8/60-090,-306.7588368951
S66x8/60-095,-306.759785712
S66x8/60-100,-306.7600462511
S66x8/60-105,-306.7599141051
S66x8/60-110,-306.7595539125
S66x8/60-125,-306.7580369011
S66x8/60-150,-306.7560191959
S66x8/60-200,-306.7544498504
S66x8/61-A,-197.9787962862
S66x8/61-B,-229.3332748263
S66x8/61-090,-427.3104684505
S66x8/61-095,-427.3114679899
S66x8/61-100,-427.3120825003
S66x8/61-105,-427.3124170581
S66x8/61-110,-427.3125577628
S66x8/61-125,-427.312507201
S66x8/61-150,-427.3122624059
S66x8/61-200,-427.3121451545
S66x8/62-A,-197.9789111571
S66x8/62-B,-209.4463641686
S66x8/62-090,-407.4237486222
S66x8/62-095,-407.4251121651
S66x8/62-100,-407.4258582337
S66x8/62-105,-407.4262103542
S66x8/62-110,-407.4263098909
S66x8/62-125,-407.4260905968
S66x8/62-150,-407.4256571691
S66x8/62-200,-407.4253826229
S66x8/63-A,-232.5060225649
S66x8/63-B,-229.3332426832
S66x8/63-090,-461.8358620701
S66x8/63-095,-461.8385307219
S66x8/63-100,-461.8398603215
S66x8/63-105,-461.8404463633
S66x8/63-110,-461.8406885427
S66x8/63-125,-461.840459663
S66x8/63-150,-461.8398752397
S66x8/63-200,-461.8394627774
S66x8/64-A,-248.7942121068
S66x8/64-B,-78.6767034745
S66x8/64-090,-327.4705749371
S66x8/64-095,-327.471663568
S66x8/64-100,-327.4722004162
S66x8/64-105,-327.4724158438
S66x8/64-110,-327.4724226413
S66x8/64-125,-327.4720275305
S66x8/64-150,-327.4713850812
S66x8/64-200,-327.4709286619
S66x8/65-A,-248.5581719777
S66x8/65-B,-77.4202550018
S66x8/65-090,-325.983472773
S66x8/65-095,-325.9840604458
S66x8/65-100,-325.9841846301
S66x8/65-105,-325.9840388798
S66x8/65-110,-325.983730611
S66x8/65-125,-325.9824977555
S66x8/65-150,-325.9808255747
S66x8/65-200,-325.9793899132
S66x8/66-A,-95.9630966976
S66x8/66-B,-248.558170799
S66x8/66-090,-344.5223560581
S66x8/66-095,-344.523513131
S66x8/66-100,-344.5240932471
S66x8/66-105,-344.5243073891
S66x8/66-110,-344.5242944464
S66x8/66-125,-344.5237193171
S66x8/66-150,-344.5227270434
