system,PW6B95/def2-QZVP/TM
S66x8/21-A,-209.5653162352
S66x8/21-B,-209.5653197522
S66x8/21-090,-419.151663696
S66x8/21-095,-419.1535426534
S66x8/21-100,-419.1540847656
S66x8/21-105,-419.153759442
S66x8/21-110,-419.1528967423
S66x8/21-125,-419.1489817686
S66x8/21-150,-419.1427301917
S66x8/21-200,-419.1354146787
S66x8/22-A,-229.4627685891
S66x8/22-B,-415.5147146527
S66x8/22-090,-645.0035265818
S66x8/22-095,-645.0055963681
S66x8/22-100,-645.0061583616
S66x8/22-105,-645.0057318193
S66x8/22-110,-645.0046814443
S66x8/22-125,-644.9999587106
S66x8/22-150,-644.9922889598
S66x8/22-200,-644.9839241367
S66x8/23-A,-209.5652337668
S66x8/23-B,-415.5145213205
S66x8/23-090,-625.1048944513
S66x8/23-095,-625.1069077158
S66x8/23-100,-625.107544871
S66x8/23-105,-625.1072640996
S66x8/23-110,-625.1063938683
S66x8/23-125,-625.1022113524
S66x8/23-150,-625.0951311615
S66x8/23-200,-625.0870239529
S66x8/24-A,-232.6528428255
S66x8/24-B,-232.6527710814
S66x8/24-090,-465.2991278276
S66x8/24-095,-465.3031400382
S66x8/24-100,-465.3051025157
S66x8/24-105,-465.3059712824
S66x8/24-110,-465.306347821
S66x8/24-125,-465.3061442179
S66x8/24-150,-465.305695536
S66x8/24-200,-465.3055022861
S66x8/25-A,-248.7104698882
S66x8/25-B,-248.7104991817
S66x8/25-090,-497.4159707432
S66x8/25-095,-497.4199115403
S66x8/25-100,-497.4218967304
S66x8/25-105,-497.4227657968
S66x8/25-110,-497.423048747
S66x8/25-125,-497.4226629867
S66x8/25-150,-497.4216925996
S66x8/25-200,-497.4211455017
S66x8/26-A,-415.5154883935
S66x8/26-B,-415.5154883936
S66x8/26-090,-831.0341405844
S66x8/26-095,-831.0379496466
S66x8/26-100,-831.0395170091
S66x8/26-105,-831.0399394944
S66x8/26-110,-831.0396788068
S66x8/26-125,-831.0375774414
S66x8/26-150,-831.0346861144
S66x8/26-200,-831.032213594
S66x8/27-A,-232.6528188412
S66x8/27-B,-248.7105197462
S66x8/27-090,-481.3574562176
S66x8/27-095,-481.3616474299
S66x8/27-100,-481.3636502875
S66x8/27-105,-481.3645517598
S66x8/27-110,-481.3648097791
S66x8/27-125,-481.3644335617
S66x8/27-150,-481.363703603
S66x8/27-200,-481.3633293402
S66x8/28-A,-232.6526492663
S66x8/28-B,-415.516139002
S66x8/28-090,-648.1665997
S66x8/28-095,-648.1703317371
S66x8/28-100,-648.1720731966
S66x8/28-105,-648.1726809894
S66x8/28-110,-648.1727957268
S66x8/28-125,-648.1715199915
S66x8/28-150,-648.1699238081
S66x8/28-200,-648.1688746387
S66x8/29-A,-248.7104365836
S66x8/29-B,-415.5161422647
S66x8/29-090,-664.2241514903
S66x8/29-095,-664.2292550629
S66x8/29-100,-664.2314361005
S66x8/29-105,-664.2320522264
S66x8/29-110,-664.2319406823
S66x8/29-125,-664.2305386842
S66x8/29-150,-664.2285116446
S66x8/29-200,-664.2269946547
S66x8/30-A,-232.6528051785
S66x8/30-B,-78.7231372387
S66x8/30-090,-311.372724761
S66x8/30-095,-311.3746895317
S66x8/30-100,-311.3756988128
S66x8/30-105,-311.3761283486
S66x8/30-110,-311.3762699279
S66x8/30-125,-311.3762217339
S66x8/30-150,-311.3759043766
S66x8/30-200,-311.3758503153
S66x8/31-A,-415.5161809436
S66x8/31-B,-78.7230644235
S66x8/31-090,-494.2393265705
S66x8/31-095,-494.2409502682
S66x8/31-100,-494.2417217624
S66x8/31-105,-494.2419760867
S66x8/31-110,-494.2419335884
S66x8/31-125,-494.2412986918
S66x8/31-150,-494.2402514677
S66x8/31-200,-494.2394570726
S66x8/32-A,-415.5162467913
S66x8/32-B,-77.4654097776
S66x8/32-090,-492.9821634238
S66x8/32-095,-492.9839007172
S66x8/32-100,-492.9846605667
S66x8/32-105,-492.9848661833
S66x8/32-110,-492.9847715788
S66x8/32-125,-492.9838737936
S66x8/32-150,-492.9826580696
S66x8/32-200,-492.9816542516
S66x8/33-A,-248.7105532932
S66x8/33-B,-78.723117126
S66x8/33-090,-327.4313474445
S66x8/33-095,-327.4330849244
S66x8/33-100,-327.4339827894
S66x8/33-105,-327.4343681695
S66x8/33-110,-327.4344970432
S66x8/33-125,-327.4343572135
S66x8/33-150,-327.4339175571
S66x8/33-200,-327.4336518772
S66x8/34-A,-198.1036256636
S66x8/34-B,-198.1037327945
S66x8/34-090,-396.2071298732
S66x8/34-095,-396.2090170212
S66x8/34-100,-396.2098617833
S66x8/34-105,-396.2100867646
S66x8/34-110,-396.2101211693
S66x8/34-125,-396.2094114324
S66x8/34-150,-396.2085220435
S66x8/34-200,-396.2077641324
S66x8/35-A,-198.1036660647
S66x8/35-B,-198.1067949492
S66x8/35-090,-396.2093762072
S66x8/35-095,-396.2110870193
S66x8/35-100,-396.2118331388
S66x8/35-105,-396.2121150053
S66x8/35-110,-396.2121320584
S66x8/35-125,-396.2117522868
S66x8/35-150,-396.2111909636
S66x8/35-200,-396.2106419328
S66x8/36-A,-198.1067673595
S66x8/36-B,-198.1067430655
S66x8/36-090,-396.2126957734
S66x8/36-095,-396.2136486394
S66x8/36-100,-396.2140972535
S66x8/36-105,-396.2143365903
S66x8/36-110,-396.2143982124
S66x8/36-125,-396.2142120413
S66x8/36-150,-396.2138995577
S66x8/36-200,-396.2134631861
S66x8/37-A,-196.8924878683
S66x8/37-B,-198.1067738761
S66x8/37-090,-394.9975634977
S66x8/37-095,-394.99924802
S66x8/37-100,-395.0000391271
S66x8/37-105,-395.0003731178
S66x8/37-110,-395.0004809338
S66x8/37-125,-395.0002556295
S66x8/37-150,-394.9998047125
S66x8/37-200,-394.9993206132
S66x8/38-A,-196.8924624921
S66x8/38-B,-196.8924655508
S66x8/38-090,-393.7832169129
S66x8/38-095,-393.7849123369
S66x8/38-100,-393.7858820315
S66x8/38-105,-393.7862885909
S66x8/38-110,-393.7863942879
S66x8/38-125,-393.7861421796
S66x8/38-150,-393.7855215338
S66x8/38-200,-393.7850169243
S66x8/39-A,-232.6527816792
S66x8/39-B,-196.8924402947
S66x8/39-090,-429.5432931713
S66x8/39-095,-429.5458086758
S66x8/39-100,-429.5470571466
S66x8/39-105,-429.5475424938
S66x8/39-110,-429.5476077785
S66x8/39-125,-429.5468957406
S66x8/39-150,-429.5459838044
S66x8/39-200,-429.545293958
S66x8/40-A,-232.6527610275
S66x8/40-B,-198.1066094028
S66x8/40-090,-430.7579665801
S66x8/40-095,-430.7599807493
S66x8/40-100,-430.7609494685
S66x8/40-105,-430.7613169059
S66x8/40-110,-430.7614090904
S66x8/40-125,-430.7609895242
S66x8/40-150,-430.7602441204
S66x8/40-200,-430.7596688184
S66x8/41-A,-415.5161238287
S66x8/41-B,-198.1037426677
S66x8/41-090,-613.620002374
S66x8/41-095,-613.6221617909
S66x8/41-100,-613.6230839884
S66x8/41-105,-613.6233443363
S66x8/41-110,-613.6231869072
S66x8/41-125,-613.6220882856
S66x8/41-150,-613.620698495
S66x8/41-200,-613.6199188352
S66x8/42-A,-415.5161138261
S66x8/42-B,-196.892436945
S66x8/42-090,-612.407284222
S66x8/42-095,-612.4096778831
S66x8/42-100,-612.410742988
S66x8/42-105,-612.4111307521
S66x8/42-110,-612.4111096397
S66x8/42-125,-612.4104442814
S66x8/42-150,-612.4094280504
S66x8/42-200,-612.4086493964
S66x8/43-A,-415.5161698017
S66x8/43-B,-198.106848601
S66x8/43-090,-613.6223616024
S66x8/43-095,-613.6242699465
S66x8/43-100,-613.625081089
S66x8/43-105,-613.6253163557
S66x8/43-110,-613.6252570492
S66x8/43-125,-613.6245635673
S66x8/43-150,-613.6235700454
S66x8/43-200,-613.6228648068
S66x8/44-A,-78.7231288204
S66x8/44-B,-198.1036117298
S66x8/44-090,-276.8271626783
S66x8/44-095,-276.8280284844
S66x8/44-100,-276.828397667
S66x8/44-105,-276.8284645039
S66x8/44-110,-276.8284558921
S66x8/44-125,-276.8280101239
S66x8/44-150,-276.8275107202
S66x8/44-200,-276.8269853413
S66x8/45-A,-77.4654389351
S66x8/45-B,-198.1037523283
S66x8/45-090,-275.5682719731
S66x8/45-095,-275.5694822729
S66x8/45-100,-275.570077178
S66x8/45-105,-275.5702556804
S66x8/45-110,-275.5703010942
S66x8/45-125,-275.569960845
S66x8/45-150,-275.5694524014
S66x8/45-200,-275.5690135966
S66x8/46-A,-248.9397781892
S66x8/46-B,-198.1037151295
S66x8/46-090,-447.0452013679
S66x8/46-095,-447.0464185789
S66x8/46-100,-447.0469442995
S66x8/46-105,-447.0470553044
S66x8/46-110,-447.0469488164
S66x8/46-125,-447.0460722376
S66x8/46-150,-447.0447085346
S66x8/46-200,-447.0437173105
S66x8/47-A,-232.6527459976
S66x8/47-B,-232.6525823117
S66x8/47-090,-465.3039777228
S66x8/47-095,-465.3060695912
S66x8/47-100,-465.307082904
S66x8/47-105,-465.3074750309
S66x8/47-110,-465.3075399181
S66x8/47-125,-465.3071376322
S66x8/47-150,-465.3063185222
S66x8/47-200,-465.3056865657
S66x8/48-A,-248.7104663622
S66x8/48-B,-248.7103946996
S66x8/48-090,-497.4207918823
S66x8/48-095,-497.4225807245
S66x8/48-100,-497.4234518621
S66x8/48-105,-497.4237642252
S66x8/48-110,-497.4238085692
S66x8/48-125,-497.4232435053
S66x8/48-150,-497.4222394349
S66x8/48-200,-497.4213036877
S66x8/49-A,-232.6527411
S66x8/49-B,-248.7104694413
S66x8/49-090,-481.3624967011
S66x8/49-095,-481.3645770953
S66x8/49-100,-481.3655679839
S66x8/49-105,-481.3659218521
S66x8/49-110,-481.3659271607
S66x8/49-125,-481.3653893915
S66x8/49-150,-481.3643449215
S66x8/49-200,-481.36355959
S66x8/50-A,-232.652736964
S66x8/50-B,-77.4654779311
S66x8/50-090,-310.1188985562
S66x8/50-095,-310.1203813123
S66x8/50-100,-310.1209943923
S66x8/50-105,-310.1211191057
S66x8/50-110,-310.1209810688
S66x8/50-125,-310.1202132831
S66x8/50-150,-310.1192264152
S66x8/50-200,-310.1183029745
S66x8/51-A,-77.4654512639
S66x8/51-B,-77.4654998918
S66x8/51-090,-154.9319913163
S66x8/51-095,-154.9325498633
S66x8/51-100,-154.9327644888
S66x8/51-105,-154.9327823618
S66x8/51-110,-154.9326900862
S66x8/51-125,-154.9322307588
S66x8/51-150,-154.9315876673
S66x8/51-200,-154.9310675773
S66x8/52-A,-232.6527395724
S66x8/52-B,-229.4648341086
S66x8/52-090,-462.1206245977
S66x8/52-095,-462.1219114226
S66x8/52-100,-462.1224346779
S66x8/52-105,-462.122502114
S66x8/52-110,-462.1223170899
S66x8/52-125,-462.1212564009
S66x8/52-150,-462.1196794877
S66x8/52-200,-462.1182164457
S66x8/53-A,-232.6527563422
S66x8/53-B,-209.5663421185
S66x8/53-090,-442.2220780719
S66x8/53-095,-442.2232056486
S66x8/53-100,-442.2236642913
S66x8/53-105,-442.2237765274
S66x8/53-110,-442.2236320247
S66x8/53-125,-442.2226695696
S66x8/53-150,-442.2211641703
S66x8/53-200,-442.2196156887
S66x8/54-A,-232.6527139796
S66x8/54-B,-76.550060507
S66x8/54-090,-309.205958437
S66x8/54-095,-309.2067812587
S66x8/54-100,-309.2070397963
S66x8/54-105,-309.2069907852
S66x8/54-110,-309.2067640162
S66x8/54-125,-309.2058269838
S66x8/54-150,-309.2045281769
S66x8/54-200,-309.2033394196
S66x8/55-A,-232.6526826321
S66x8/55-B,-115.9116198109
S66x8/55-090,-348.5670825187
S66x8/55-095,-348.5683684773
S66x8/55-100,-348.5689089931
S66x8/55-105,-348.5690078262
S66x8/55-110,-348.5688657683
S66x8/55-125,-348.5678828743
S66x8/55-150,-348.5663965314
S66x8/55-200,-348.5650268759
S66x8/56-A,-232.6527442213
S66x8/56-B,-96.0182045263
S66x8/56-090,-328.6718572386
S66x8/56-095,-328.6731811886
S66x8/56-100,-328.6737908533
S66x8/56-105,-328.6739711386
S66x8/56-110,-328.6738951753
S66x8/56-125,-328.6731620932
S66x8/56-150,-328.6720701798
S66x8/56-200,-328.6712288462
S66x8/57-A,-232.6526782327
S66x8/57-B,-248.9397370884
S66x8/57-090,-481.5936105109
S66x8/57-095,-481.5961465834
S66x8/57-100,-481.5972606863
S66x8/57-105,-481.5975259772
S66x8/57-110,-481.5974143381
S66x8/57-125,-481.5963251037
S66x8/57-150,-481.5946455812
S66x8/57-200,-481.5931795856
S66x8/58-A,-248.7104231499
S66x8/58-B,-248.7103713702
S66x8/58-090,-497.4219238669
S66x8/58-095,-497.4239385041
S66x8/58-100,-497.4250069421
S66x8/58-105,-497.4250572655
S66x8/58-110,-497.4247314793
S66x8/58-125,-497.4234666874
S66x8/58-150,-497.4221017796
S66x8/58-200,-497.4211294327
S66x8/59-A,-77.4655098979
S66x8/59-B,-76.5501178783
S66x8/59-090,-154.0193312711
S66x8/59-095,-154.0198173036
S66x8/59-100,-154.0199410976
S66x8/59-105,-154.0198466847
S66x8/59-110,-154.0196347807
S66x8/59-125,-154.0187453428
S66x8/59-150,-154.0174925948
S66x8/59-200,-154.0162716943
S66x8/60-A,-77.4654085507
S66x8/60-B,-229.4648036558
S66x8/60-090,-306.9356768972
S66x8/60-095,-306.9365792947
S66x8/60-100,-306.936824873
S66x8/60-105,-306.936681734
S66x8/60-110,-306.9363141505
S66x8/60-125,-306.9348117698
S66x8/60-150,-306.9327524398
S66x8/60-200,-306.9309139563
S66x8/61-A,-198.1037129199
S66x8/61-B,-229.4649238169
S66x8/61-090,-427.5696595509
S66x8/61-095,-427.5703672362
S66x8/61-100,-427.5707511145
S66x8/61-105,-427.5708240555
S66x8/61-110,-427.5708201846
S66x8/61-125,-427.5703126965
S66x8/61-150,-427.5694403323
S66x8/61-200,-427.5687529983
S66x8/62-A,-198.1037414822
S66x8/62-B,-209.5663828436
S66x8/62-090,-407.671583481
S66x8/62-095,-407.6725867038
S66x8/62-100,-407.6730242541
S66x8/62-105,-407.6730935118
S66x8/62-110,-407.6730063285
S66x8/62-125,-407.6722645956
S66x8/62-150,-407.6712838682
S66x8/62-200,-407.6703531768
S66x8/63-A,-232.6528025346
S66x8/63-B,-229.4648549262
S66x8/63-090,-462.1178674837
S66x8/63-095,-462.1198045968
S66x8/63-100,-462.1206323124
S66x8/63-105,-462.1208902379
S66x8/63-110,-462.1207822785
S66x8/63-125,-462.1199470212
S66x8/63-150,-462.1187863716
S66x8/63-200,-462.1178518827
S66x8/64-A,-248.9397403554
S66x8/64-B,-78.7231530757
S66x8/64-090,-327.6640471141
S66x8/64-095,-327.6650362388
S66x8/64-100,-327.6654782403
S66x8/64-105,-327.6656254107
S66x8/64-110,-327.6655490401
S66x8/64-125,-327.6649840058
S66x8/64-150,-327.6639221722
S66x8/64-200,-327.6630053854
S66x8/65-A,-248.7105325391
S66x8/65-B,-77.4648920752
S66x8/65-090,-326.1803306282
S66x8/65-095,-326.1809992011
S66x8/65-100,-326.1812160586
S66x8/65-105,-326.1811541612
S66x8/65-110,-326.1809224827
S66x8/65-125,-326.1798744649
S66x8/65-150,-326.1783108381
S66x8/65-200,-326.1768213108
S66x8/66-A,-96.0182240761
S66x8/66-B,-248.7105088383
S66x8/66-090,-344.7306171633
S66x8/66-095,-344.7316416769
S66x8/66-100,-344.732144662
S66x8/66-105,-344.7323022136
S66x8/66-110,-344.7322362688
S66x8/66-125,-344.7315989526
