system,TASK/def2-QZVP/Turbomole
S66x8/18-090,-325.0274048927
S66x8/18-095,-325.0294135535
S66x8/18-100,-325.0307960279
S66x8/18-105,-325.0317651859
S66x8/18-110,-325.0324545814
S66x8/18-125,-325.0335890368
S66x8/18-150,-325.0340727556
S66x8/18-200,-325.0334362796
S66x8/19-A,-115.8525073243
S66x8/19-B,-248.5258036659
S66x8/19-090,-364.3724795305
S66x8/19-095,-364.3747304512
S66x8/19-100,-364.3762794054
S66x8/19-105,-364.3773600236
S66x8/19-110,-364.3786154588
S66x8/19-125,-364.3793635655
S66x8/19-150,-364.3804817315
S66x8/19-200,-364.3799399502
S66x8/20-A,-229.2743735442
S66x8/20-B,-229.2743783284
S66x8/20-090,-458.5482792163
S66x8/20-095,-458.5522105406
S66x8/20-100,-458.554581418
S66x8/20-105,-458.5559493856
S66x8/20-110,-458.5566768915
S66x8/20-125,-458.5569936972
S66x8/20-150,-458.5559247991
S66x8/20-200,-458.5531879725
S66x8/21-A,-209.4180961563
S66x8/21-B,-209.4180997046
S66x8/21-090,-418.8298318245
S66x8/21-095,-418.8341847487
S66x8/21-100,-418.8371798331
S66x8/21-105,-418.8392558347
S66x8/21-110,-418.8406926141
S66x8/21-125,-418.8428082397
S66x8/21-150,-418.8431211125
S66x8/21-200,-418.8403671003
S66x8/22-A,-229.2744026345
S66x8/22-B,-415.0972798063
S66x8/22-090,-644.3700748224
S66x8/22-095,-644.3742156175
S66x8/22-100,-644.3768769535
S66x8/22-105,-644.3785571329
S66x8/22-110,-644.3795827211
S66x8/22-125,-644.3806220041
S66x8/22-150,-644.3799688341
S66x8/22-200,-644.3769951738
S66x8/23-A,-209.4178835638
S66x8/23-B,-415.0972565211
S66x8/23-090,-624.5125613555
S66x8/23-095,-624.5168232955
S66x8/23-100,-624.5197075338
S66x8/23-105,-624.5216501071
S66x8/23-110,-624.522937557
S66x8/23-125,-624.5245962391
S66x8/23-150,-624.5243504754
S66x8/23-200,-624.5213149431
S66x8/24-A,-232.5116659487
S66x8/24-B,-232.5117608044
S66x8/24-090,-464.9887333016
S66x8/24-095,-464.9994748593
S66x8/24-100,-465.0068048841
S66x8/24-105,-465.0118739433
S66x8/24-110,-465.0154030215
S66x8/24-125,-465.0209024718
S66x8/24-150,-465.0230796109
S66x8/24-200,-465.0234021412
S66x8/25-A,-248.5258832633
S66x8/25-B,-248.5258892285
S66x8/25-090,-497.0173289615
S66x8/25-095,-497.0279175737
S66x8/25-100,-497.0353110012
S66x8/25-105,-497.0404631702
S66x8/25-110,-497.044070805
S66x8/25-125,-497.0495786179
S66x8/25-150,-497.0518154159
S66x8/25-200,-497.0519117003
S66x8/26-A,-415.0984754033
S66x8/26-B,-415.0984754033
S66x8/26-090,-830.1618608898
S66x8/26-095,-830.17359412
S66x8/26-100,-830.1817564716
S66x8/26-105,-830.1874859459
S66x8/26-110,-830.1915117625
S66x8/26-125,-830.1974881486
S66x8/26-150,-830.1992227529
S66x8/26-200,-830.1981636899
S66x8/27-A,-232.5116996306
S66x8/27-B,-248.525872393
S66x8/27-090,-481.0022456282
S66x8/27-095,-481.0135173534
S66x8/27-100,-481.0211110429
S66x8/27-105,-481.0263154883
S66x8/27-110,-481.0299072158
S66x8/27-125,-481.0353054073
S66x8/27-150,-481.0374709539
S66x8/27-200,-481.0376553949
S66x8/28-A,-232.5118790048
S66x8/28-B,-415.0990829544
S66x8/28-090,-647.5733358768
S66x8/28-095,-647.5846295574
S66x8/28-100,-647.592566766
S66x8/28-105,-647.5981749371
S66x8/28-110,-647.6021589624
S66x8/28-125,-647.6083363211
S66x8/28-150,-647.6107624896
S66x8/28-200,-647.6108398849
S66x8/29-A,-248.5259132245
S66x8/29-B,-415.0989522447
S66x8/29-090,-663.5847525474
S66x8/29-095,-663.5989387476
S66x8/29-100,-663.6082480084
S66x8/29-105,-663.6144721055
S66x8/29-110,-663.618606541
S66x8/29-125,-663.6243799431
S66x8/29-150,-663.6259122866
S66x8/29-200,-663.6253566661
S66x8/30-A,-232.5117170722
S66x8/30-B,-78.7260353126
S66x8/30-090,-311.2149214959
S66x8/30-095,-311.2214344691
S66x8/30-100,-311.2260605123
S66x8/30-105,-311.2293818891
S66x8/30-110,-311.2317602631
S66x8/30-125,-311.2355356891
S66x8/30-150,-311.2372436705
S66x8/30-200,-311.2376341852
S66x8/31-A,-415.0990424788
S66x8/31-B,-78.7261361862
S66x8/31-090,-493.8038174516
S66x8/31-095,-493.8099384064
S66x8/31-100,-493.8143748047
S66x8/31-105,-493.8175991205
S66x8/31-110,-493.8199449781
S66x8/31-125,-493.8237190125
S66x8/31-150,-493.8252978355
S66x8/31-200,-493.8252969214
S66x8/32-A,-415.09893389
S66x8/32-B,-77.446115979
S66x8/32-090,-492.5249315593
S66x8/32-095,-492.5310476324
S66x8/32-100,-492.5354004978
S66x8/32-105,-492.5385238636
S66x8/32-110,-492.5407520937
S66x8/32-125,-492.5442141189
S66x8/32-150,-492.545458761
S66x8/32-200,-492.5452004337
S66x8/33-A,-248.5258317112
S66x8/33-B,-78.7259877112
S66x8/33-090,-327.2300281628
S66x8/33-095,-327.2359775845
S66x8/33-100,-327.2403200954
S66x8/33-105,-327.2435071419
S66x8/33-110,-327.2458348195
S66x8/33-125,-327.2496703905
S66x8/33-150,-327.2514559587
S66x8/33-200,-327.251802857
S66x8/34-A,-198.0908438245
S66x8/34-B,-198.0907634135
S66x8/34-090,-396.1453271625
S66x8/34-095,-396.1544830041
S66x8/34-100,-396.1613236138
S66x8/34-105,-396.1664563206
S66x8/34-110,-396.1703577374
S66x8/34-125,-396.1772282333
S66x8/34-150,-396.180985711
S66x8/34-200,-396.1818644161
S66x8/35-A,-198.090818384
S66x8/35-B,-198.089352182
S66x8/35-090,-396.1529753564
S66x8/35-095,-396.1603057465
S66x8/35-100,-396.1655366239
S66x8/35-105,-396.1693512468
S66x8/35-110,-396.1721685644
S66x8/35-125,-396.1769872127
S66x8/35-150,-396.179511173
S66x8/35-200,-396.1800840529
S66x8/36-A,-198.0892693533
S66x8/36-B,-198.0894050992
S66x8/36-090,-396.1597987656
S66x8/36-095,-396.1643838173
S66x8/36-100,-396.1678127128
S66x8/36-105,-396.1703857684
S66x8/36-110,-396.1723516794
S66x8/36-125,-396.1757805599
S66x8/36-150,-396.177658341
S66x8/36-200,-396.1780753633
S66x8/37-A,-196.8362830516
S66x8/37-B,-198.0886537187
S66x8/37-090,-394.8983381225
S66x8/37-095,-394.9054863338
S66x8/37-100,-394.9105915472
S66x8/37-105,-394.9143414369
S66x8/37-110,-394.9171234891
S66x8/37-125,-394.9219938394
S66x8/37-150,-394.9247419584
S66x8/37-200,-394.9254760582
S66x8/38-A,-196.8361447502
S66x8/38-B,-196.8361550943
S66x8/38-090,-393.642825807
S66x8/38-095,-393.649674108
S66x8/38-100,-393.6554412972
S66x8/38-105,-393.6598568102
S66x8/38-110,-393.6630985785
S66x8/38-125,-393.6686753461
S66x8/38-150,-393.6716069296
S66x8/38-200,-393.6722734175
S66x8/39-A,-232.5117473116
S66x8/39-B,-196.8360734857
S66x8/39-090,-429.3172118339
S66x8/39-095,-429.3255622351
S66x8/39-100,-429.3317839146
S66x8/39-105,-429.3363875153
S66x8/39-110,-429.3396900059
S66x8/39-125,-429.3450203182
S66x8/39-150,-429.3474954344
S66x8/39-200,-429.3478832134
S66x8/40-A,-232.5117726815
S66x8/40-B,-198.0893013037
S66x8/40-090,-430.5764145858
S66x8/40-095,-430.5833130718
S66x8/40-100,-430.5882511642
S66x8/40-105,-430.5918141617
S66x8/40-110,-430.5944192974
S66x8/40-125,-430.5986725742
S66x8/40-150,-430.6006329819
S66x8/40-200,-430.6008969672
S66x8/41-A,-415.0991975564
S66x8/41-B,-198.0909351197
S66x8/41-090,-613.1549980159
S66x8/41-095,-613.1642141172
S66x8/41-100,-613.1710435042
S66x8/41-105,-613.1761795418
S66x8/41-110,-613.1806326908
S66x8/41-125,-613.1873331182
S66x8/41-150,-613.1898733479
S66x8/41-200,-613.1901363916
S66x8/42-A,-415.0992344032
S66x8/42-B,-196.8361925619
S66x8/42-090,-611.9031400034
S66x8/42-095,-611.912141899
S66x8/42-100,-611.9185947876
S66x8/42-105,-611.9233096143
S66x8/42-110,-611.9267293604
S66x8/42-125,-611.9323774751
S66x8/42-150,-611.9350221111
S66x8/42-200,-611.935446209
S66x8/43-A,-415.099122326
S66x8/43-B,-198.0892141316
S66x8/43-090,-613.1627373265
S66x8/43-095,-613.1702006405
S66x8/43-100,-613.1754944765
S66x8/43-105,-613.179268451
S66x8/43-110,-613.1819906326
S66x8/43-125,-613.1863023529
S66x8/43-150,-613.1881346235
S66x8/43-200,-613.1882849484
S66x8/44-A,-78.7260456608
S66x8/44-B,-198.0908655539
S66x8/44-090,-276.797558585
S66x8/44-095,-276.8025492821
S66x8/44-100,-276.8062612989
S66x8/44-105,-276.8090356999
S66x8/44-110,-276.8111366582
S66x8/44-125,-276.8147260982
S66x8/44-150,-276.8165789782
S66x8/44-200,-276.8169561896
S66x8/45-A,-77.4461128554
S66x8/45-B,-198.0907114502
S66x8/45-090,-275.5182122269
S66x8/45-095,-275.5234591079
S66x8/45-100,-275.5272526509
S66x8/45-105,-275.5300043291
S66x8/45-110,-275.5320042712
S66x8/45-125,-275.5352101322
S66x8/45-150,-275.5365985067
S66x8/45-200,-275.5367299332
S66x8/46-A,-248.7752723881
S66x8/46-B,-198.0907381668
S66x8/46-090,-446.8362393274
S66x8/46-095,-446.8431600401
S66x8/46-100,-446.8485312581
S66x8/46-105,-446.8527156465
S66x8/46-110,-446.8559641179
S66x8/46-125,-446.8619318523
S66x8/46-150,-446.8655822189
S66x8/46-200,-446.8661769696
S66x8/47-A,-232.5117885112
S66x8/47-B,-232.5119524883
S66x8/47-090,-465.0014503751
S66x8/47-095,-465.0077954875
S66x8/47-100,-465.0122674011
S66x8/47-105,-465.0154888105
S66x8/47-110,-465.01781345
S66x8/47-125,-465.0216400862
S66x8/47-150,-465.0234212287
S66x8/47-200,-465.023639326
S66x8/48-A,-248.5259227076
S66x8/48-B,-248.5259414175
S66x8/48-090,-497.0304157171
S66x8/48-095,-497.0361920363
S66x8/48-100,-497.0404201942
S66x8/48-105,-497.0435687187
S66x8/48-110,-497.0459090797
S66x8/48-125,-497.0499226822
S66x8/48-150,-497.0519034565
S66x8/48-200,-497.0520829807
S66x8/49-A,-232.5117953304
S66x8/49-B,-248.525859983
S66x8/49-090,-481.0159073089
S66x8/49-095,-481.0222974497
S66x8/49-100,-481.0267919461
S66x8/49-105,-481.0300200294
S66x8/49-110,-481.0323436176
S66x8/49-125,-481.0361328763
S66x8/49-150,-481.0378304798
S66x8/49-200,-481.0379154146
S66x8/50-A,-232.5117959283
S66x8/50-B,-77.446156879
S66x8/50-090,-309.942556698
S66x8/50-095,-309.9474228838
S66x8/50-100,-309.9508206024
S66x8/50-105,-309.9532386405
S66x8/50-110,-309.9549454897
S66x8/50-125,-309.9576097269
S66x8/50-150,-309.9585669755
S66x8/50-200,-309.9583494954
S66x8/51-A,-77.4461199454
S66x8/51-B,-77.4461601995
S66x8/51-090,-154.8845789898
S66x8/51-095,-154.8868541318
S66x8/51-100,-154.8885165743
S66x8/51-105,-154.8897348387
S66x8/51-110,-154.8906181421
S66x8/51-125,-154.8920302123
S66x8/51-150,-154.8925520574
S66x8/51-200,-154.8924062512
S66x8/52-A,-232.5117914718
S66x8/52-B,-229.2770441109
S66x8/52-090,-461.7742985548
S66x8/52-095,-461.7787027644
S66x8/52-100,-461.7818675389
S66x8/52-105,-461.7841755649
S66x8/52-110,-461.7858597217
S66x8/52-125,-461.7886444903
S66x8/52-150,-461.7897925661
S66x8/52-200,-461.7894103971
S66x8/53-A,-232.5117693825
S66x8/53-B,-209.4194224758
S66x8/53-090,-441.9166118231
S66x8/53-095,-441.9205539997
S66x8/53-100,-441.9235278795
S66x8/53-105,-441.9257850536
S66x8/53-110,-441.9275004257
S66x8/53-125,-441.9304817158
S66x8/53-150,-441.9319128334
S66x8/53-200,-441.9316747711
S66x8/54-A,-232.5118215824
S66x8/54-B,-76.5062826639
S66x8/54-090,-309.0078540301
S66x8/54-095,-309.0111685438
S66x8/54-100,-309.0135274387
S66x8/54-105,-309.0152321309
S66x8/54-110,-309.01645556
S66x8/54-125,-309.0183837976
S66x8/54-150,-309.019008349
S66x8/54-200,-309.0185440739
S66x8/55-A,-232.5118534033
S66x8/55-B,-115.8529408586
S66x8/55-090,-348.3481803461
S66x8/55-095,-348.3528834204
S66x8/55-100,-348.3563495259
S66x8/55-105,-348.3589347475
S66x8/55-110,-348.360850852
S66x8/55-125,-348.3640857879
S66x8/55-150,-348.3655289284
S66x8/55-200,-348.3652849327
S66x8/56-A,-232.5117898842
S66x8/56-B,-96.0019617168
S66x8/56-090,-328.4953766546
S66x8/56-095,-328.5003640782
S66x8/56-100,-328.5040458224
S66x8/56-105,-328.5069578586
S66x8/56-110,-328.5091155379
S66x8/56-125,-328.5125305099
S66x8/56-150,-328.5139771813
S66x8/56-200,-328.5139474691
S66x8/57-A,-232.5118618398
S66x8/57-B,-248.7751978393
S66x8/57-090,-481.2617835181
S66x8/57-095,-481.2697998632
S66x8/57-100,-481.2753421566
S66x8/57-105,-481.279232371
S66x8/57-110,-481.2819934133
S66x8/57-125,-481.2862927946
S66x8/57-150,-481.2879510249
S66x8/57-200,-481.2876443593
S66x8/58-A,-248.5259225326
S66x8/58-B,-248.5258751886
S66x8/58-090,-497.0315272776
S66x8/58-095,-497.0370700114
S66x8/58-100,-497.0424593714
S66x8/58-105,-497.0458107384
S66x8/58-110,-497.0479910191
S66x8/58-125,-497.0511090696
S66x8/58-150,-497.0522019562
S66x8/58-200,-497.0520327671
S66x8/59-A,-77.4461843657
S66x8/59-B,-76.5063132454
S66x8/59-090,-153.9458231571
S66x8/59-095,-153.9479654049
S66x8/59-100,-153.9495707731
S66x8/59-105,-153.950777592
S66x8/59-110,-153.9516739877
S66x8/59-125,-153.9531398822
S66x8/59-150,-153.9536377731
S66x8/59-200,-153.9531312403
S66x8/60-A,-77.4461257888
S66x8/60-B,-229.2769925247
S66x8/60-090,-306.711335063
S66x8/60-095,-306.714775767
S66x8/60-100,-306.7173097033
S66x8/60-105,-306.7192038685
S66x8/60-110,-306.720625676
S66x8/60-125,-306.7230863072
S66x8/60-150,-306.7242048563
S66x8/60-200,-306.723770291
S66x8/61-A,-198.0909143425
S66x8/61-B,-229.2771769777
S66x8/61-090,-427.3480813787
S66x8/61-095,-427.352480438
S66x8/61-100,-427.3559415234
S66x8/61-105,-427.3586925864
S66x8/61-110,-427.3608472187
S66x8/61-125,-427.3649099948
S66x8/61-150,-427.3676175797
S66x8/61-200,-427.3680996099
S66x8/62-A,-198.090865632
S66x8/62-B,-209.4194550446
S66x8/62-090,-407.4860154843
S66x8/62-095,-407.4918026544
S66x8/62-100,-407.4962355628
S66x8/62-105,-407.4996701359
S66x8/62-110,-407.5023235526
S66x8/62-125,-407.507112085
S66x8/62-150,-407.5098321348
S66x8/62-200,-407.5104105437
S66x8/63-A,-232.5117188824
S66x8/63-B,-229.2771140768
S66x8/63-090,-461.7655912135
S66x8/63-095,-461.7725370143
S66x8/63-100,-461.7774519256
S66x8/63-105,-461.7809647809
S66x8/63-110,-461.7834786421
S66x8/63-125,-461.7874797544
S66x8/63-150,-461.7891149155
S66x8/63-200,-461.7890804773
S66x8/64-A,-248.7753027905
S66x8/64-B,-78.7260933915
S66x8/64-090,-327.4844145937
S66x8/64-095,-327.4886531331
S66x8/64-100,-327.4918732129
S66x8/64-105,-327.4943341323
S66x8/64-110,-327.4962156597
S66x8/64-125,-327.4995335104
S66x8/64-150,-327.5013379185
S66x8/64-200,-327.5014428392
S66x8/65-A,-248.5258508746
S66x8/65-B,-77.4458539941
S66x8/65-090,-325.9646273433
S66x8/65-095,-325.9667221983
S66x8/65-100,-325.9682992433
S66x8/65-105,-325.9695046683
S66x8/65-110,-325.9704305359
S66x8/65-125,-325.9720931704
S66x8/65-150,-325.9728965616
S66x8/65-200,-325.9725476727
S66x8/66-A,-96.0019502034
S66x8/66-B,-248.5258673746
S66x8/66-090,-344.5108410541
S66x8/66-095,-344.5148344271
S66x8/66-100,-344.5179412416
S66x8/66-105,-344.5203828905
S66x8/66-110,-344.5222978131
S66x8/66-125,-344.5258611725
