system,RPW86PBE/def2-QZVP/ORCA
S66x8/30-200,-311.702027169
S66x8/31-A,-415.8722387594
S66x8/31-B,-78.8129888904
S66x8/31-090,-494.6825171049
S66x8/31-095,-494.6846633339
S66x8/31-100,-494.6857629518
S66x8/31-105,-494.6862985892
S66x8/31-110,-494.6864958542
S66x8/31-125,-494.6862991314
S66x8/31-150,-494.6857579363
S66x8/31-200,-494.6853670596
S66x8/32-A,-415.872144412
S66x8/32-B,-77.5496045515
S66x8/32-090,-493.4201199687
S66x8/32-095,-493.4223145079
S66x8/32-100,-493.4233747731
S66x8/32-105,-493.4237953276
S66x8/32-110,-493.4238904835
S66x8/32-125,-493.4233707748
S66x8/32-150,-493.4225296607
S66x8/32-200,-493.4219221449
S66x8/33-A,-248.9539865051
S66x8/33-B,-78.812872467
S66x8/33-090,-327.7627342613
S66x8/33-095,-327.7648249521
S66x8/33-100,-327.765978835
S66x8/33-105,-327.7665675971
S66x8/33-110,-327.7668245014
S66x8/33-125,-327.7669308762
S66x8/33-150,-327.7668260036
S66x8/33-200,-327.7668431012
S66x8/34-A,-198.3243411149
S66x8/34-B,-198.3242058338
S66x8/34-090,-396.6433941411
S66x8/34-095,-396.6459283806
S66x8/34-100,-396.6472189085
S66x8/34-105,-396.6481591975
S66x8/34-110,-396.6486592758
S66x8/34-125,-396.6487385856
S66x8/34-150,-396.6484692779
S66x8/34-200,-396.6484523231
S66x8/35-A,-198.3242880518
S66x8/35-B,-198.3258693738
S66x8/35-090,-396.6468243225
S66x8/35-095,-396.6489550244
S66x8/35-100,-396.6498951254
S66x8/35-105,-396.6502031354
S66x8/35-110,-396.650339638
S66x8/35-125,-396.6504003479
S66x8/35-150,-396.6503068771
S66x8/35-200,-396.6502809911
S66x8/36-A,-198.3258839956
S66x8/36-B,-198.3259651464
S66x8/36-090,-396.6499244278
S66x8/36-095,-396.6509430739
S66x8/36-100,-396.6514889173
S66x8/36-105,-396.6517259806
S66x8/36-110,-396.6518138974
S66x8/36-125,-396.6518489673
S66x8/36-150,-396.6517655033
S66x8/36-200,-396.6517364903
S66x8/37-A,-197.1005383078
S66x8/37-B,-198.3256321048
S66x8/37-090,-395.4230466096
S66x8/37-095,-395.4249760716
S66x8/37-100,-395.4259293235
S66x8/37-105,-395.4264263933
S66x8/37-110,-395.4266654611
S66x8/37-125,-395.4267259021
S66x8/37-150,-395.4265984646
S66x8/37-200,-395.4265464263
S66x8/38-A,-197.1004261875
S66x8/38-B,-197.1004279051
S66x8/38-090,-394.1974828892
S66x8/38-095,-394.1994029226
S66x8/38-100,-394.2004057049
S66x8/38-105,-394.2008663821
S66x8/38-110,-394.2011825427
S66x8/38-125,-394.2010817677
S66x8/38-150,-394.2008937489
S66x8/38-200,-394.2008666288
S66x8/39-A,-232.8892443097
S66x8/39-B,-197.1004581121
S66x8/39-090,-429.9838962002
S66x8/39-095,-429.9870951529
S66x8/39-100,-429.9888892412
S66x8/39-105,-429.9897685849
S66x8/39-110,-429.9901475615
S66x8/39-125,-429.9901862112
S66x8/39-150,-429.9898748133
S66x8/39-200,-429.9897253498
S66x8/40-A,-232.8892537243
S66x8/40-B,-198.3260109421
S66x8/40-090,-431.2108266031
S66x8/40-095,-431.2133871425
S66x8/40-100,-431.2146905469
S66x8/40-105,-431.2153343734
S66x8/40-110,-431.2156590335
S66x8/40-125,-431.2156713659
S66x8/40-150,-431.2153441221
S66x8/40-200,-431.2151876246
S66x8/41-A,-415.8723350564
S66x8/41-B,-198.3243044685
S66x8/41-090,-614.1912067642
S66x8/41-095,-614.1943723569
S66x8/41-100,-614.1960046729
S66x8/41-105,-614.1968544993
S66x8/41-110,-614.1972949262
S66x8/41-125,-614.1971329233
S66x8/41-150,-614.1967731785
S66x8/41-200,-614.1966410187
S66x8/42-A,-415.8723582529
S66x8/42-B,-197.1004653537
S66x8/42-090,-612.9672207148
S66x8/42-095,-612.9703803946
S66x8/42-100,-612.9720174475
S66x8/42-105,-612.9728595187
S66x8/42-110,-612.9732224424
S66x8/42-125,-612.9732379957
S66x8/42-150,-612.9729582474
S66x8/42-200,-612.9728316903
S66x8/43-A,-415.8722817993
S66x8/43-B,-198.3256936147
S66x8/43-090,-614.1945415502
S66x8/43-095,-614.1970363818
S66x8/43-100,-614.1982404445
S66x8/43-105,-614.1988480032
S66x8/43-110,-614.1990650375
S66x8/43-125,-614.1989208765
S66x8/43-150,-614.1985183244
S66x8/43-200,-614.1983037854
S66x8/44-A,-78.8129246183
S66x8/44-B,-198.3244049113
S66x8/44-090,-277.1356946726
S66x8/44-095,-277.1367525164
S66x8/44-100,-277.1371844783
S66x8/44-105,-277.137412736
S66x8/44-110,-277.137492113
S66x8/44-125,-277.1374760191
S66x8/44-150,-277.1373446156
S66x8/44-200,-277.1373029728
S66x8/45-A,-77.5496023122
S66x8/45-B,-198.3242748727
S66x8/45-090,-275.8714905713
S66x8/45-095,-275.8728846772
S66x8/45-100,-275.873596701
S66x8/45-105,-275.873906046
S66x8/45-110,-275.8740323245
S66x8/45-125,-275.8739895982
S66x8/45-150,-275.8737800068
S66x8/45-200,-275.8736558758
S66x8/46-A,-249.172823101
S66x8/46-B,-198.3241412042
S66x8/46-090,-447.4943868372
S66x8/46-095,-447.4962168256
S66x8/46-100,-447.4972496028
S66x8/46-105,-447.4978232101
S66x8/46-110,-447.4980577584
S66x8/46-125,-447.4978883722
S66x8/46-150,-447.497451614
S66x8/46-200,-447.4972027651
S66x8/47-A,-232.8892556078
S66x8/47-B,-232.8893031081
S66x8/47-090,-465.7742593273
S66x8/47-095,-465.7768881379
S66x8/47-100,-465.7783121676
S66x8/47-105,-465.7789534163
S66x8/47-110,-465.7792001226
S66x8/47-125,-465.7791563024
S66x8/47-150,-465.7787909651
S66x8/47-200,-465.7785547025
S66x8/48-A,-248.9540300043
S66x8/48-B,-248.9540202628
S66x8/48-090,-497.9055338149
S66x8/48-095,-497.9077388843
S66x8/48-100,-497.9089102848
S66x8/48-105,-497.9094264349
S66x8/48-110,-497.9096073462
S66x8/48-125,-497.9093647753
S66x8/48-150,-497.9087468108
S66x8/48-200,-497.9082784478
S66x8/49-A,-232.8892599424
S66x8/49-B,-248.9539924902
S66x8/49-090,-481.8396846935
S66x8/49-095,-481.8423185658
S66x8/49-100,-481.8437161302
S66x8/49-105,-481.8443503113
S66x8/49-110,-481.8445579247
S66x8/49-125,-481.8444053447
S66x8/49-150,-481.8438690877
S66x8/49-200,-481.8434699207
S66x8/50-A,-232.8892539664
S66x8/50-B,-77.5496463573
S66x8/50-090,-310.4376552903
S66x8/50-095,-310.4395341215
S66x8/50-100,-310.4404673928
S66x8/50-105,-310.4408023207
S66x8/50-110,-310.440807722
S66x8/50-125,-310.4403678844
S66x8/50-150,-310.4396792832
S66x8/50-200,-310.4391717993
S66x8/51-A,-77.5496095202
S66x8/51-B,-77.5496501635
S66x8/51-090,-155.1003504508
S66x8/51-095,-155.1008261443
S66x8/51-100,-155.1009737995
S66x8/51-105,-155.1009358255
S66x8/51-110,-155.1008056824
S66x8/51-125,-155.1003053025
S66x8/51-150,-155.0997452125
S66x8/51-200,-155.0993772004
S66x8/52-A,-232.8892505534
S66x8/52-B,-229.6591724321
S66x8/52-090,-462.5492180615
S66x8/52-095,-462.5509477147
S66x8/52-100,-462.5518024763
S66x8/52-105,-462.5520935157
S66x8/52-110,-462.5520805589
S66x8/52-125,-462.551315475
S66x8/52-150,-462.5500207713
S66x8/52-200,-462.5489463141
S66x8/53-A,-232.8892394867
S66x8/53-B,-209.7573000111
S66x8/53-090,-442.6482043535
S66x8/53-095,-442.6494691639
S66x8/53-100,-442.6500511308
S66x8/53-105,-442.6502186556
S66x8/53-110,-442.6501538287
S66x8/53-125,-442.64938241
S66x8/53-150,-442.6481339722
S66x8/53-200,-442.6470110975
S66x8/54-A,-232.8892627821
S66x8/54-B,-76.6115617515
S66x8/54-090,-309.5027145492
S66x8/54-095,-309.5037745404
S66x8/54-100,-309.5041947111
S66x8/54-105,-309.5042594987
S66x8/54-110,-309.5041112494
S66x8/54-125,-309.5033035291
S66x8/54-150,-309.5022180624
S66x8/54-200,-309.5013174143
S66x8/55-A,-232.8892713718
S66x8/55-B,-116.016005664
S66x8/55-090,-348.9056285318
S66x8/55-095,-348.9073057038
S66x8/55-100,-348.9081016344
S66x8/55-105,-348.9083882294
S66x8/55-110,-348.9084030771
S66x8/55-125,-348.907774449
S66x8/55-150,-348.906692941
S66x8/55-200,-348.9057793841
S66x8/56-A,-232.8892550139
S66x8/56-B,-96.1189819305
S66x8/56-090,-329.006659346
S66x8/56-095,-329.0084152243
S66x8/56-100,-329.0093517347
S66x8/56-105,-329.0097693251
S66x8/56-110,-329.0098849419
S66x8/56-125,-329.009562114
S66x8/56-150,-329.0089396766
S66x8/56-200,-329.0084839547
S66x8/57-A,-232.8892786315
S66x8/57-B,-249.1727469385
S66x8/57-090,-482.0591661904
S66x8/57-095,-482.0625182958
S66x8/57-100,-482.0642055673
S66x8/57-105,-482.0649708581
S66x8/57-110,-482.065168124
S66x8/57-125,-482.0646419534
S66x8/57-150,-482.0635157383
S66x8/57-200,-482.062623549
S66x8/58-A,-248.954024219
S66x8/58-B,-248.954011595
S66x8/58-090,-497.9088748222
S66x8/58-095,-497.9109103964
S66x8/58-100,-497.9119306001
S66x8/58-105,-497.9119126441
S66x8/58-110,-497.9115455251
S66x8/58-125,-497.9102296081
S66x8/58-150,-497.9090061605
S66x8/58-200,-497.9082803478
S66x8/59-A,-77.5496749612
S66x8/59-B,-76.6116234465
S66x8/59-090,-154.1646445706
S66x8/59-095,-154.1650466188
S66x8/59-100,-154.1650945758
S66x8/59-105,-154.1649409305
S66x8/59-110,-154.1646719476
S66x8/59-125,-154.163710174
S66x8/59-150,-154.162487254
S66x8/59-200,-154.1614388968
S66x8/60-A,-77.5496140975
S66x8/60-B,-229.6591561976
S66x8/60-090,-307.2139635683
S66x8/60-095,-307.2149077665
S66x8/60-100,-307.215160335
S66x8/60-105,-307.2150223149
S66x8/60-110,-307.2146509187
S66x8/60-125,-307.2131040884
S66x8/60-150,-307.2110570668
S66x8/60-200,-307.2094699644
S66x8/61-A,-198.324234066
S66x8/61-B,-229.6592135959
S66x8/61-090,-427.9819619846
S66x8/61-095,-427.9829511954
S66x8/61-100,-427.9835547655
S66x8/61-105,-427.9838761866
S66x8/61-110,-427.9840023679
S66x8/61-125,-427.9839276721
S66x8/61-150,-427.9836506802
S66x8/61-200,-427.9835177474
S66x8/62-A,-198.3243400146
S66x8/62-B,-209.7572742511
S66x8/62-090,-408.0802106523
S66x8/62-095,-408.0815678118
S66x8/62-100,-408.082308329
S66x8/62-105,-408.0826451165
S66x8/62-110,-408.0827269564
S66x8/62-125,-408.0824804806
S66x8/62-150,-408.0820161079
S66x8/62-200,-408.0817232425
S66x8/63-A,-232.8892287887
S66x8/63-B,-229.65917899
S66x8/63-090,-462.5450511692
S66x8/63-095,-462.5477385424
S66x8/63-100,-462.5490792915
S66x8/63-105,-462.5496509654
S66x8/63-110,-462.5498859819
S66x8/63-125,-462.5496317941
S66x8/63-150,-462.549023877
S66x8/63-200,-462.5485985062
S66x8/64-A,-249.1727298247
S66x8/64-B,-78.8129856378
S66x8/64-090,-327.9854924556
S66x8/64-095,-327.98657229
S66x8/64-100,-327.9870948805
S66x8/64-105,-327.9873031577
S66x8/64-110,-327.9873005629
S66x8/64-125,-327.9868785587
S66x8/64-150,-327.9862107582
S66x8/64-200,-327.9857411985
S66x8/65-A,-248.954003143
S66x8/65-B,-77.5493396752
S66x8/65-090,-326.5084846922
S66x8/65-095,-326.5090627912
S66x8/65-100,-326.5091778282
S66x8/65-105,-326.5090191923
S66x8/65-110,-326.5087008359
S66x8/65-125,-326.5074443959
S66x8/65-150,-326.5057525015
S66x8/65-200,-326.5043075875
S66x8/66-A,-96.1189100505
S66x8/66-B,-248.9540023895
S66x8/66-090,-345.0740687472
S66x8/66-095,-345.0752243523
S66x8/66-100,-345.0758003249
S66x8/66-105,-345.0760074009
S66x8/66-110,-345.075985561
S66x8/66-125,-345.0753854685
