system,PWP/def2-QZVP/ORCA
S22x5/15-B,-363.8830230009
S22x5/15-0.9,-596.1633877028
S22x5/15-1.0,-596.165550714
S22x5/15-1.2,-596.1654591496
S22x5/15-1.5,-596.1632963793
S22x5/15-2.0,-596.161124486
S22x5/16-A,-232.2767154836
S22x5/16-B,-363.882941258
S22x5/16-0.9,-596.1520324292
S22x5/16-1.0,-596.160043791
S22x5/16-1.2,-596.1616870909
S22x5/16-1.5,-596.1602526645
S22x5/16-2.0,-596.1594921715
S22x5/17-A,-264.369595628
S22x5/17-B,-264.3695971094
S22x5/17-0.9,-528.7343398384
S22x5/17-1.0,-528.7411754666
S22x5/17-1.2,-528.7419126316
S22x5/17-1.5,-528.7402132301
S22x5/17-2.0,-528.7393085024
S22x5/18-A,-323.5975633395
S22x5/18-B,-303.714808357
S22x5/18-0.9,-627.338935659
S22x5/18-1.0,-627.3405501936
S22x5/18-1.2,-627.3352112151
S22x5/18-1.5,-627.3256513933
S22x5/18-2.0,-627.3176530138
S22x5/19-A,-307.5334595517
S22x5/19-B,-307.5334205822
S22x5/19-0.9,-615.0750174738
S22x5/19-1.0,-615.0761951326
S22x5/19-1.2,-615.0746840779
S22x5/19-1.5,-615.0715446357
S22x5/19-2.0,-615.0687711192
S22x5/20-A,-414.9446952389
S22x5/20-B,-414.9446952389
S22x5/20-0.9,-829.8903771204
S22x5/20-1.0,-829.8982692697
S22x5/20-1.2,-829.8966504022
S22x5/20-1.5,-829.8925387098
S22x5/20-2.0,-829.8902575514
S22x5/21-A,-414.9441821385
S22x5/21-B,-414.9441821385
S22x5/21-0.9,-829.9198684897
S22x5/21-1.0,-829.9217718833
S22x5/21-1.2,-829.9156907781
S22x5/21-1.5,-829.9047999353
S22x5/21-2.0,-829.8954176517
S22x5/22-A,-232.2767250719
S22x5/22-B,-93.4410871882
S22x5/22-0.9,-325.7230629893
S22x5/22-1.0,-325.7240748961
S22x5/22-1.2,-325.723131982
S22x5/22-1.5,-325.7209380293
S22x5/22-2.0,-325.7190346377
S66x8/01-A,-76.4549929859
S66x8/01-B,-76.4550458542
S66x8/01-090,-152.9199519157
S66x8/01-095,-152.9201352892
S66x8/01-100,-152.9198830795
S66x8/01-105,-152.9193796069
S66x8/01-110,-152.918746552
S66x8/01-125,-152.9167107767
S66x8/01-150,-152.9141038987
S66x8/01-200,-152.9116867549
S66x8/02-A,-76.454997358
S66x8/02-B,-115.7527218572
S66x8/02-090,-192.2180760215
S66x8/02-095,-192.2183827505
S66x8/02-100,-192.2181884639
S66x8/02-105,-192.2176978427
S66x8/02-110,-192.2170487983
S66x8/02-125,-192.2148817284
S66x8/02-150,-192.2120388778
S66x8/02-200,-192.2093954014
S66x8/03-A,-76.4549956686
S66x8/03-B,-95.8759227068
S66x8/03-090,-172.3444212211
S66x8/03-095,-172.3446763183
S66x8/03-100,-172.344378094
S66x8/03-105,-172.3437436066
S66x8/03-110,-172.3429230021
S66x8/03-125,-172.340181055
S66x8/03-150,-172.3365051824
S66x8/03-200,-172.3330354913
S66x8/04-A,-76.4549983705
S66x8/04-B,-248.5848612071
S66x8/04-090,-325.0538343121
S66x8/04-095,-325.0542509345
S66x8/04-100,-325.0540730927
S66x8/04-105,-325.0535283015
S66x8/04-110,-325.0527755571
S66x8/04-125,-325.0501491651
S66x8/04-150,-325.0464605864
S66x8/04-200,-325.0423230236
S66x8/05-A,-115.7527066923
S66x8/05-B,-115.7527531339
S66x8/05-090,-231.5156182891
S66x8/05-095,-231.516033828
S66x8/05-100,-231.5159183804
S66x8/05-105,-231.5154827738
S66x8/05-110,-231.5148700767
S66x8/05-125,-231.5127375355
S66x8/05-150,-231.5098501917
S66x8/05-200,-231.5071077599
S66x8/06-A,-115.7526103792
S66x8/06-B,-95.8759275722
S66x8/06-090,-211.6420413763
S66x8/06-095,-211.642582202
S66x8/06-100,-211.6424645629
S66x8/06-105,-211.6419370459
S66x8/06-110,-211.6411715495
S66x8/06-125,-211.6384135233
S66x8/06-150,-211.6345268369
S66x8/06-200,-211.6307603781
S66x8/07-A,-115.7527004218
S66x8/07-B,-248.5844516698
S66x8/07-090,-364.3509679986
S66x8/07-095,-364.3515292878
S66x8/07-100,-364.3514496804
S66x8/07-105,-364.3509681801
S66x8/07-110,-364.3502512878
S66x8/07-125,-364.3476295453
S66x8/07-150,-364.3433427854
S66x8/07-200,-364.3389206544
S66x8/08-A,-115.7526983784
S66x8/08-B,-76.4550492501
S66x8/08-090,-192.2173975078
S66x8/08-095,-192.2176783887
S66x8/08-100,-192.217495637
S66x8/08-105,-192.2170398607
S66x8/08-110,-192.2164384183
S66x8/08-125,-192.2144337516
S66x8/08-150,-192.2117981675
S66x8/08-200,-192.2093255519
S66x8/09-A,-95.8758647164
S66x8/09-B,-115.7527165164
S66x8/09-090,-211.63388123
S66x8/09-095,-211.6341395313
S66x8/09-100,-211.6340538737
S66x8/09-105,-211.6337732497
S66x8/09-110,-211.6333960508
S66x8/09-125,-211.6321609451
S66x8/09-150,-211.6306246708
S66x8/09-200,-211.6293002437
S66x8/10-A,-95.8760050539
S66x8/10-B,-95.8759166061
S66x8/10-090,-191.7585544281
S66x8/10-095,-191.7590452831
S66x8/10-100,-191.7590334891
S66x8/10-105,-191.7587284626
S66x8/10-110,-191.7582687926
S66x8/10-125,-191.7566550509
S66x8/10-150,-191.7541687644
S66x8/10-200,-191.7524844977
S66x8/11-A,-95.8759133331
S66x8/11-B,-248.58461781
S66x8/11-090,-344.4679274368
S66x8/11-095,-344.4685695096
S66x8/11-100,-344.4686686105
S66x8/11-105,-344.4684327657
S66x8/11-110,-344.4680094155
S66x8/11-125,-344.465506421
S66x8/11-150,-344.4627739002
S66x8/11-200,-344.4611673203
S66x8/12-A,-95.8758893344
S66x8/12-B,-76.4551601267
S66x8/12-090,-172.3444005593
S66x8/12-095,-172.3448240358
S66x8/12-100,-172.344622801
S66x8/12-105,-172.3440374169
S66x8/12-110,-172.3432335422
S66x8/12-125,-172.3404503261
S66x8/12-150,-172.3366496868
S66x8/12-200,-172.3330535756
S66x8/13-A,-248.5845328621
S66x8/13-B,-115.7527400192
S66x8/13-090,-364.3464544218
S66x8/13-095,-364.3470482448
S66x8/13-100,-364.3471017682
S66x8/13-105,-364.346823493
S66x8/13-110,-364.3463552355
S66x8/13-125,-364.3445713543
S66x8/13-150,-364.341988491
S66x8/13-200,-364.3393164036
S66x8/14-A,-248.5844229447
S66x8/14-B,-95.8759470635
S66x8/14-090,-344.4719625244
S66x8/14-095,-344.472662608
S66x8/14-100,-344.4727256642
S66x8/14-105,-344.4723864588
S66x8/14-110,-344.471807891
S66x8/14-125,-344.4695581922
S66x8/14-150,-344.4662039653
S66x8/14-200,-344.4627600531
S66x8/15-A,-248.5848614719
S66x8/15-B,-248.5847933249
S66x8/15-090,-497.1817811321
S66x8/15-095,-497.1825362747
S66x8/15-100,-497.1826615901
S66x8/15-105,-497.182383933
S66x8/15-110,-497.1818619715
S66x8/15-125,-497.1797217498
S66x8/15-150,-497.1764123222
S66x8/15-200,-497.1723781699
S66x8/16-A,-248.5849361375
S66x8/16-B,-76.455045407
S66x8/16-090,-325.0487416133
S66x8/16-095,-325.0491286818
S66x8/16-100,-325.0490662894
S66x8/16-105,-325.0487347296
S66x8/16-110,-325.0482523769
S66x8/16-125,-325.0465524869
S66x8/16-150,-325.0442044577
S66x8/16-200,-325.0418514876
S66x8/17-A,-414.9444164278
S66x8/17-B,-414.944488626
S66x8/17-090,-829.9159633552
S66x8/17-095,-829.9173769716
S66x8/17-100,-829.9174245113
S66x8/17-105,-829.9165992603
S66x8/17-110,-829.9152466684
S66x8/17-125,-829.9100265207
S66x8/17-150,-829.9021861389
S66x8/17-200,-829.894205912
S66x8/18-A,-76.45500073
S66x8/18-B,-248.324789571
S66x8/18-090,-324.7927811719
S66x8/18-095,-324.7930770899
S66x8/18-100,-324.7928132343
S66x8/18-105,-324.7922099072
S66x8/18-110,-324.7914186549
S66x8/18-125,-324.7887622867
S66x8/18-150,-324.7852157134
S66x8/18-200,-324.7818896669
S66x8/19-A,-115.7526096745
S66x8/19-B,-248.3247846586
S66x8/19-090,-364.0902136268
S66x8/19-095,-364.0907386055
S66x8/19-100,-364.0906279817
S66x8/19-105,-364.0901219211
S66x8/19-110,-364.0894423994
S66x8/19-125,-364.0867350918
S66x8/19-150,-364.0830776349
S66x8/19-200,-364.0794721297
S66x8/20-A,-229.1553371291
S66x8/20-B,-229.1553401299
S66x8/20-090,-458.3431181142
S66x8/20-095,-458.3446909803
S66x8/20-100,-458.3446546632
S66x8/20-105,-458.3436007856
S66x8/20-110,-458.3419406863
S66x8/20-125,-458.3355050914
S66x8/20-150,-458.3261748146
S66x8/20-200,-458.316729418
S66x8/21-A,-209.2741847557
S66x8/21-B,-209.274186215
S66x8/21-090,-418.5747538432
S66x8/21-095,-418.5760162083
S66x8/21-100,-418.5759905754
S66x8/21-105,-418.5751500979
S66x8/21-110,-418.5738248129
S66x8/21-125,-418.568828115
S66x8/21-150,-418.5615070284
S66x8/21-200,-418.5533388589
S66x8/22-A,-229.1552626098
S66x8/22-B,-414.9442199959
S66x8/22-090,-644.1311645192
S66x8/22-095,-644.1326942952
S66x8/22-100,-644.1327307163
S66x8/22-105,-644.1318036066
S66x8/22-110,-644.130287647
S66x8/22-125,-644.124406808
S66x8/22-150,-644.1155009935
S66x8/22-200,-644.1061816146
S66x8/23-A,-209.2740634898
S66x8/23-B,-414.9441943991
S66x8/23-090,-624.2487386924
S66x8/23-095,-624.2501873918
S66x8/23-100,-624.2502906929
S66x8/23-105,-624.2495149932
S66x8/23-110,-624.2481927445
S66x8/23-125,-624.2429183453
S66x8/23-150,-624.2347012152
S66x8/23-200,-624.2257199154
S66x8/24-A,-232.2767020103
S66x8/24-B,-232.276736278
S66x8/24-090,-464.5471168542
S66x8/24-095,-464.5512439914
S66x8/24-100,-464.5533462065
S66x8/24-105,-464.5542862633
S66x8/24-110,-464.5546661308
S66x8/24-125,-464.5544905816
S66x8/24-150,-464.5537662839
S66x8/24-200,-464.5533869754
S66x8/25-A,-248.3248186501
S66x8/25-B,-248.3248371123
S66x8/25-090,-496.6449068157
S66x8/25-095,-496.6489193012
S66x8/25-100,-496.6509904337
S66x8/25-105,-496.6519056197
S66x8/25-110,-496.6522121402
S66x8/25-125,-496.6517897573
S66x8/25-150,-496.6506402933
S66x8/25-200,-496.6498338039
S66x8/26-A,-414.9446963343
S66x8/26-B,-414.9446963343
S66x8/26-090,-829.892685856
S66x8/26-095,-829.8965734036
S66x8/26-100,-829.898271617
S66x8/26-105,-829.8987295036
S66x8/26-110,-829.898533428
S66x8/26-125,-829.8964655738
S66x8/26-150,-829.8933517415
S66x8/26-200,-829.890625848
S66x8/27-A,-232.2767254053
S66x8/27-B,-248.3248337631
S66x8/27-090,-480.5958532171
S66x8/27-095,-480.6001585212
S66x8/27-100,-480.6023148616
S66x8/27-105,-480.6032314168
S66x8/27-110,-480.6035385606
S66x8/27-125,-480.6031861522
S66x8/27-150,-480.6022096363
S66x8/27-200,-480.6016070123
S66x8/28-A,-232.2767083492
S66x8/28-B,-414.9451156237
S66x8/28-090,-647.2186891676
S66x8/28-095,-647.2226759251
S66x8/28-100,-647.2246679785
S66x8/28-105,-647.2254859636
S66x8/28-110,-647.2256296982
S66x8/28-125,-647.2247557901
S66x8/28-150,-647.2231060085
S66x8/28-200,-647.2218826908
S66x8/29-A,-248.3248196796
S66x8/29-B,-414.9450419517
S66x8/29-090,-663.2669554354
S66x8/29-095,-663.2722529874
S66x8/29-100,-663.2745710008
S66x8/29-105,-663.275356808
S66x8/29-110,-663.2753507691
S66x8/29-125,-663.2739713354
S66x8/29-150,-663.2719147928
S66x8/29-200,-663.2703771942
S66x8/30-A,-232.2767212249
S66x8/30-B,-78.59281954
S66x8/30-090,-310.8672840136
S66x8/30-095,-310.86910425
S66x8/30-100,-310.8699773442
S66x8/30-105,-310.8703349506
S66x8/30-110,-310.8704102102
S66x8/30-125,-310.8701231675
S66x8/30-150,-310.8696604602
S66x8/30-200,-310.8694341219
S66x8/31-A,-414.9451059837
S66x8/31-B,-78.5929120768
S66x8/31-090,-493.5386529458
S66x8/31-095,-493.5402303008
S66x8/31-100,-493.5409533855
S66x8/31-105,-493.5411530105
S66x8/31-110,-493.5410779378
S66x8/31-125,-493.54031799
S66x8/31-150,-493.539148631
S66x8/31-200,-493.5381853254
S66x8/32-A,-414.9450296228
S66x8/32-B,-77.3367719536
S66x8/32-090,-492.2833364431
S66x8/32-095,-492.2849765734
S66x8/32-100,-492.2856592712
S66x8/32-105,-492.2858000373
S66x8/32-110,-492.2856322853
S66x8/32-125,-492.2846041439
S66x8/32-150,-492.2831407727
S66x8/32-200,-492.2819976961
S66x8/33-A,-248.3248185063
S66x8/33-B,-78.5927685583
S66x8/33-090,-326.9164364683
S66x8/33-095,-326.918000999
S66x8/33-100,-326.918760901
S66x8/33-105,-326.9190525119
S66x8/33-110,-326.9191023536
S66x8/33-125,-326.9187089552
S66x8/33-150,-326.9180478527
S66x8/33-200,-326.9176107967
S66x8/34-A,-197.7810481382
S66x8/34-B,-197.7808280856
S66x8/34-090,-395.5624695939
S66x8/34-095,-395.5643007226
S66x8/34-100,-395.5650939639
S66x8/34-105,-395.5653141325
S66x8/34-110,-395.5651816329
S66x8/34-125,-395.5645328978
S66x8/34-150,-395.5633025462
S66x8/34-200,-395.5622668372
S66x8/35-A,-197.7809625651
S66x8/35-B,-197.7843973975
S66x8/35-090,-395.565729927
S66x8/35-095,-395.567196102
S66x8/35-100,-395.5677780265
S66x8/35-105,-395.5678900184
S66x8/35-110,-395.5677442974
S66x8/35-125,-395.5671220747
S66x8/35-150,-395.5662279656
S66x8/35-200,-395.5655201105
S66x8/36-A,-197.7844582619
S66x8/36-B,-197.7845476893
S66x8/36-090,-395.5697834637
S66x8/36-095,-395.5704022875
S66x8/36-100,-395.5706741172
S66x8/36-105,-395.5706885083
S66x8/36-110,-395.5705877745
S66x8/36-125,-395.5701100783
S66x8/36-150,-395.5694551703
S66x8/36-200,-395.5689043418
S66x8/37-A,-196.5713490553
S66x8/37-B,-197.7842846392
S66x8/37-090,-394.355836369
S66x8/37-095,-394.3572883459
S66x8/37-100,-394.3578759439
S66x8/37-105,-394.3580390426
S66x8/37-110,-394.3579933054
S66x8/37-125,-394.3574622279
S66x8/37-150,-394.3566280992
S66x8/37-200,-394.3559198836
S66x8/38-A,-196.5712864727
S66x8/38-B,-196.5713015882
S66x8/38-090,-393.1431920283
S66x8/38-095,-393.1445397483
S66x8/38-100,-393.1451768674
S66x8/38-105,-393.1453035689
S66x8/38-110,-393.1451939144
S66x8/38-125,-393.1444835019
S66x8/38-150,-393.1434896208
S66x8/38-200,-393.1426857511
S66x8/39-A,-232.2767305671
S66x8/39-B,-196.571267622
S66x8/39-090,-428.8465024643
S66x8/39-095,-428.8489830796
S66x8/39-100,-428.8501845293
S66x8/39-105,-428.85066149
S66x8/39-110,-428.8507196257
S66x8/39-125,-428.8500525102
S66x8/39-150,-428.848956368
S66x8/39-200,-428.8481104115
S66x8/40-A,-232.2767359643
S66x8/40-B,-197.7846820439
S66x8/40-090,-430.0604462082
S66x8/40-095,-430.0623390262
S66x8/40-100,-430.0632060985
S66x8/40-105,-430.0635200562
S66x8/40-110,-430.0635078775
S66x8/40-125,-430.0629083055
S66x8/40-150,-430.0619524813
S66x8/40-200,-430.0611989833
S66x8/41-A,-414.9451792058
S66x8/41-B,-197.7810434514
S66x8/41-090,-612.7259785768
S66x8/41-095,-612.7282634422
S66x8/41-100,-612.7293753415
S66x8/41-105,-612.729787385
S66x8/41-110,-612.7297248988
S66x8/41-125,-612.7286434939
S66x8/41-150,-612.7272222494
S66x8/41-200,-612.7262871951
S66x8/42-A,-414.9451884998
S66x8/42-B,-196.571300629
S66x8/42-090,-611.5155906033
S66x8/42-095,-611.517989242
S66x8/42-100,-611.5190883634
S66x8/42-105,-611.5194515575
S66x8/42-110,-611.5194331464
S66x8/42-125,-611.518694292
S66x8/42-150,-611.517530768
S66x8/42-200,-611.5166029466
S66x8/43-A,-414.9451296851
S66x8/43-B,-197.7841561461
S66x8/43-090,-612.7296949076
S66x8/43-095,-612.7315565704
S66x8/43-100,-612.7323934629
S66x8/43-105,-612.7326171596
S66x8/43-110,-612.7325094897
S66x8/43-125,-612.7317068745
S66x8/43-150,-612.7305544723
S66x8/43-200,-612.7296587246
S66x8/44-A,-78.592829356
S66x8/44-B,-197.7811489226
S66x8/44-090,-276.3750337863
S66x8/44-095,-276.3757919775
S66x8/44-100,-276.3760571266
S66x8/44-105,-276.3760240182
S66x8/44-110,-276.3758906894
S66x8/44-125,-276.3753306097
S66x8/44-150,-276.3745596427
S66x8/44-200,-276.373946894
S66x8/45-A,-77.3367584254
S66x8/45-B,-197.7809619511
S66x8/45-090,-275.1181476157
S66x8/45-095,-275.1191903037
S66x8/45-100,-275.1195950464
S66x8/45-105,-275.1196733518
S66x8/45-110,-275.1195863978
S66x8/45-125,-275.1190268819
S66x8/45-150,-275.1182594177
S66x8/45-200,-275.1176916054
S66x8/46-A,-248.5849039094
S66x8/46-B,-197.7808541571
S66x8/46-090,-446.3677213553
S66x8/46-095,-446.3690381426
S66x8/46-100,-446.3696331298
S66x8/46-105,-446.369770581
S66x8/46-110,-446.369671137
S66x8/46-125,-446.3688648707
S66x8/46-150,-446.3673799558
S66x8/46-200,-446.3661282722
S66x8/47-A,-232.2767288735
S66x8/47-B,-232.2767410724
S66x8/47-090,-464.5526213443
S66x8/47-095,-464.5546839734
S66x8/47-100,-464.5556202313
S66x8/47-105,-464.5559516186
S66x8/47-110,-464.5559829203
S66x8/47-125,-464.5553842484
S66x8/47-150,-464.5544066815
S66x8/47-200,-464.5536295682
S66x8/48-A,-248.3248359208
S66x8/48-B,-248.3248295201
S66x8/48-090,-496.65057138
S66x8/48-095,-496.6522314441
S66x8/48-100,-496.6529738466
S66x8/48-105,-496.6532101293
S66x8/48-110,-496.6531553146
S66x8/48-125,-496.6523690279
S66x8/48-150,-496.6511465219
S66x8/48-200,-496.6500560998
S66x8/49-A,-232.2767352257
S66x8/49-B,-248.3248095457
S66x8/49-090,-480.6014696566
S66x8/49-095,-480.6035308432
S66x8/49-100,-480.6044580732
S66x8/49-105,-480.604749207
S66x8/49-110,-480.6047388367
S66x8/49-125,-480.6040022294
S66x8/49-150,-480.6028443629
S66x8/49-200,-480.6018909315
S66x8/50-A,-232.2767192765
S66x8/50-B,-77.3368229007
S66x8/50-090,-309.6151481034
S66x8/50-095,-309.6165413962
S66x8/50-100,-309.6170696735
S66x8/50-105,-309.6171174041
S66x8/50-110,-309.6169429958
S66x8/50-125,-309.6160202701
S66x8/50-150,-309.6147914405
S66x8/50-200,-309.6138330517
S66x8/51-A,-77.3367665802
S66x8/51-B,-77.3368217219
S66x8/51-090,-154.6761285594
S66x8/51-095,-154.6764146743
S66x8/51-100,-154.6764042307
S66x8/51-105,-154.6762380641
S66x8/51-110,-154.6760004017
S66x8/51-125,-154.6752344154
S66x8/51-150,-154.6743557316
S66x8/51-200,-154.6737284009
S66x8/52-A,-232.2767137568
S66x8/52-B,-229.1568992713
S66x8/52-090,-461.4379643431
S66x8/52-095,-461.4391548946
S66x8/52-100,-461.4395589997
S66x8/52-105,-461.4395230547
S66x8/52-110,-461.4392422592
S66x8/52-125,-461.4379079912
S66x8/52-150,-461.4360213649
S66x8/52-200,-461.4343238601
S66x8/53-A,-232.2767013713
S66x8/53-B,-209.2748011705
S66x8/53-090,-441.556261527
S66x8/53-095,-441.5570953132
S66x8/53-100,-441.5573508051
S66x8/53-105,-441.557262492
S66x8/53-110,-441.5569758589
S66x8/53-125,-441.5557213815
S66x8/53-150,-441.5539079233
S66x8/53-200,-441.5521506411
S66x8/54-A,-232.2767238033
S66x8/54-B,-76.4549669964
S66x8/54-090,-308.7361762363
S66x8/54-095,-308.7368702738
S66x8/54-100,-308.7370120453
S66x8/54-105,-308.7368377252
S66x8/54-110,-308.7365039928
S66x8/54-125,-308.7352845235
S66x8/54-150,-308.733704065
S66x8/54-200,-308.7323107408
S66x8/55-A,-232.2767241149
S66x8/55-B,-115.7527116964
S66x8/55-090,-348.0333908474
S66x8/55-095,-348.0344964729
S66x8/55-100,-348.0348828004
S66x8/55-105,-348.0348765593
S66x8/55-110,-348.0346313323
S66x8/55-125,-348.0334330903
S66x8/55-150,-348.031708058
S66x8/55-200,-348.0301105089
S66x8/56-A,-232.2767263111
S66x8/56-B,-95.8758440613
S66x8/56-090,-328.1543650565
S66x8/56-095,-328.1555989431
S66x8/56-100,-328.1561210448
S66x8/56-105,-328.1562488851
S66x8/56-110,-328.1561124663
S66x8/56-125,-328.1552149835
S66x8/56-150,-328.1539559173
S66x8/56-200,-328.1529245188
S66x8/57-A,-232.276736609
S66x8/57-B,-248.584896357
S66x8/57-090,-480.8632949999
S66x8/57-095,-480.8658519542
S66x8/57-100,-480.8669647254
S66x8/57-105,-480.8672580001
S66x8/57-110,-480.8671210544
S66x8/57-125,-480.8658918875
S66x8/57-150,-480.8640218349
S66x8/57-200,-480.8623782277
S66x8/58-A,-248.3248378224
S66x8/58-B,-248.3248044398
S66x8/58-090,-496.6536100042
S66x8/58-095,-496.6551138507
S66x8/58-100,-496.6556182566
S66x8/58-105,-496.6552641784
S66x8/58-110,-496.6546498441
S66x8/58-125,-496.6528569525
S66x8/58-150,-496.6511304022
S66x8/58-200,-496.6499716583
S66x8/59-A,-77.3368707466
S66x8/59-B,-76.4550294428
S66x8/59-090,-153.7969254448
S66x8/59-095,-153.7971093549
S66x8/59-100,-153.7969824218
S66x8/59-105,-153.7966801002
S66x8/59-110,-153.7962895631
S66x8/59-125,-153.7950348066
S66x8/59-150,-153.7934655367
S66x8/59-200,-153.7920578205
S66x8/60-A,-77.3367893712
S66x8/60-B,-229.1568895732
S66x8/60-090,-306.5017389383
S66x8/60-095,-306.502255082
S66x8/60-100,-306.5021821105
S66x8/60-105,-306.5017678715
S66x8/60-110,-306.5011749898
S66x8/60-125,-306.4991797021
S66x8/60-150,-306.4966746538
S66x8/60-200,-306.4945638999
S66x8/61-A,-197.7809675513
S66x8/61-B,-229.1569186971
S66x8/61-090,-426.9398536486
S66x8/61-095,-426.9405002111
S66x8/61-100,-426.940758701
S66x8/61-105,-426.9407816557
S66x8/61-110,-426.9406803358
S66x8/61-125,-426.9400779647
S66x8/61-150,-426.9389361311
S66x8/61-200,-426.9380308116
S66x8/62-A,-197.7810208766
S66x8/62-B,-209.2747536527
S66x8/62-090,-407.0581433116
S66x8/62-095,-407.0590746614
S66x8/62-100,-407.0594339949
S66x8/62-105,-407.0594451092
S66x8/62-110,-407.0592805433
S66x8/62-125,-407.0584253559
S66x8/62-150,-407.0571820007
S66x8/62-200,-407.0560307724
S66x8/63-A,-232.2767112981
S66x8/63-B,-229.1569020863
S66x8/63-090,-461.43412619
S66x8/63-095,-461.4360986925
S66x8/63-100,-461.4369603741
S66x8/63-105,-461.437226524
S66x8/63-110,-461.4371381939
S66x8/63-125,-461.4362481883
S66x8/63-150,-461.4348963544
S66x8/63-200,-461.4338653508
S66x8/64-A,-248.5847983665
S66x8/64-B,-78.5929302099
S66x8/64-090,-327.1803863677
S66x8/64-095,-327.1811302697
S66x8/64-100,-327.1813806231
S66x8/64-105,-327.1813328652
S66x8/64-110,-327.1811295676
S66x8/64-125,-327.1802461594
S66x8/64-150,-327.1789184491
S66x8/64-200,-327.1777937941
S66x8/65-A,-248.3248172512
S66x8/65-B,-77.3365176983
S66x8/65-090,-325.6685835904
S66x8/65-095,-325.6688725408
S66x8/65-100,-325.6687639733
S66x8/65-105,-325.6684207811
S66x8/65-110,-325.6679525209
S66x8/65-125,-325.666376822
S66x8/65-150,-325.6643409447
S66x8/65-200,-325.6625109371
S66x8/66-A,-95.875758254
S66x8/66-B,-248.3248084225
S66x8/66-090,-344.2049553329
S66x8/66-095,-344.2057001943
S66x8/66-100,-344.205947163
S66x8/66-105,-344.2058858512
S66x8/66-110,-344.2056459089
S66x8/66-125,-344.204554096
S66x8/66-150,-344.2029553195
