system,Lh12ct-SsirPW92/def2-QZVP/TM
S66x8/20-090,-456.7283511954
S66x8/20-095,-456.7308383838
S66x8/20-100,-456.7317113272
S66x8/20-105,-456.7315501669
S66x8/20-110,-456.7307531418
S66x8/20-125,-456.7268037902
S66x8/20-150,-456.720456717
S66x8/20-200,-456.7139858698
S66x8/21-A,-208.5227786383
S66x8/21-B,-208.5227819587
S66x8/21-090,-417.0584749312
S66x8/21-095,-417.0609396364
S66x8/21-100,-417.062059045
S66x8/21-105,-417.0623014693
S66x8/21-110,-417.0619866091
S66x8/21-125,-417.0595694047
S66x8/21-150,-417.055184897
S66x8/21-200,-417.0498304615
S66x8/22-A,-228.3546034718
S66x8/22-B,-413.4401755213
S66x8/22-090,-641.8132147697
S66x8/22-095,-641.8157426144
S66x8/22-100,-641.8167576241
S66x8/22-105,-641.8167818025
S66x8/22-110,-641.8161767755
S66x8/22-125,-641.8127289205
S66x8/22-150,-641.8068167477
S66x8/22-200,-641.800379144
S66x8/23-A,-208.522631348
S66x8/23-B,-413.4400573965
S66x8/23-090,-621.9799216892
S66x8/23-095,-621.9824433868
S66x8/23-100,-621.9835851488
S66x8/23-105,-621.9838058804
S66x8/23-110,-621.9834267331
S66x8/23-125,-621.9806286941
S66x8/23-150,-621.9753780602
S66x8/23-200,-621.969195263
S66x8/24-A,-231.3756283098
S66x8/24-B,-231.3756566652
S66x8/24-090,-462.7307698789
S66x8/24-095,-462.7373183231
S66x8/24-100,-462.7414446158
S66x8/24-105,-462.7441205656
S66x8/24-110,-462.7459142929
S66x8/24-125,-462.7487789031
S66x8/24-150,-462.7504798573
S66x8/24-200,-462.7511672587
S66x8/25-A,-247.3744077207
S66x8/25-B,-247.3744383127
S66x8/25-090,-494.7295887646
S66x8/25-095,-494.7359822371
S66x8/25-100,-494.7400738941
S66x8/25-105,-494.74271351
S66x8/25-110,-494.744455261
S66x8/25-125,-494.7470779027
S66x8/25-150,-494.7485290574
S66x8/25-200,-494.7489482761
S66x8/26-A,-413.4408730081
S66x8/26-B,-413.440873008
S66x8/26-090,-826.8658613171
S66x8/26-095,-826.8726572058
S66x8/26-100,-826.8768668321
S66x8/26-105,-826.8794791286
S66x8/26-110,-826.8810854422
S66x8/26-125,-826.8830562357
S66x8/26-150,-826.8834497352
S66x8/26-200,-826.8828251272
S66x8/27-A,-231.3756424619
S66x8/27-B,-247.3744367674
S66x8/27-090,-478.7298076311
S66x8/27-095,-478.7366451892
S66x8/27-100,-478.7408724942
S66x8/27-105,-478.7435585911
S66x8/27-110,-478.745324341
S66x8/27-125,-478.7479904024
S66x8/27-150,-478.7495335651
S66x8/27-200,-478.7500609383
S66x8/28-A,-231.3756593845
S66x8/28-B,-413.4414867048
S66x8/28-090,-644.7969075928
S66x8/28-095,-644.8035732159
S66x8/28-100,-644.807840189
S66x8/28-105,-644.8105986654
S66x8/28-110,-644.8124159336
S66x8/28-125,-644.8151137214
S66x8/28-150,-644.8165177949
S66x8/28-200,-644.8170024742
S66x8/29-A,-247.3744173471
S66x8/29-B,-413.4414209367
S66x8/29-090,-660.7948841697
S66x8/29-095,-660.803429022
S66x8/29-100,-660.8084362544
S66x8/29-105,-660.8114206117
S66x8/29-110,-660.813237928
S66x8/29-125,-660.8155855659
S66x8/29-150,-660.8164070751
S66x8/29-200,-660.816242252
S66x8/30-A,-231.3756441358
S66x8/30-B,-78.2955836641
S66x8/30-090,-309.6583334029
S66x8/30-095,-309.6619669293
S66x8/30-100,-309.664362504
S66x8/30-105,-309.6659925608
S66x8/30-110,-309.6671371508
S66x8/30-125,-309.6690770208
S66x8/30-150,-309.6703704373
S66x8/30-200,-309.6710523325
S66x8/31-A,-413.4414974761
S66x8/31-B,-78.2956219446
S66x8/31-090,-491.7263544889
S66x8/31-095,-491.7297026427
S66x8/31-100,-491.7319226589
S66x8/31-105,-491.733423913
S66x8/31-110,-491.7344568132
S66x8/31-125,-491.7360857426
S66x8/31-150,-491.736962541
S66x8/31-200,-491.7371809365
S66x8/32-A,-413.441492175
S66x8/32-B,-77.0453839076
S66x8/32-090,-490.4774931247
S66x8/32-095,-490.4808100635
S66x8/32-100,-490.482920581
S66x8/32-105,-490.484277225
S66x8/32-110,-490.4851567899
S66x8/32-125,-490.4863845659
S66x8/32-150,-490.4868698099
S66x8/32-200,-490.486839097
S66x8/33-A,-247.3744263224
S66x8/33-B,-78.2955507764
S66x8/33-090,-325.6581922401
S66x8/33-095,-325.6614356952
S66x8/33-100,-325.6636292615
S66x8/33-105,-325.6651480404
S66x8/33-110,-325.6662250032
S66x8/33-125,-325.668055825
S66x8/33-150,-325.6692617496
S66x8/33-200,-325.6698745178
S66x8/34-A,-197.0155942421
S66x8/34-B,-197.0155303652
S66x8/34-090,-394.0130542327
S66x8/34-095,-394.0178002087
S66x8/34-100,-394.0210862548
S66x8/34-105,-394.0234209925
S66x8/34-110,-394.0251175035
S66x8/34-125,-394.0281365044
S66x8/34-150,-394.0302376141
S66x8/34-200,-394.0312386818
S66x8/35-A,-197.0155788772
S66x8/35-B,-197.017581575
S66x8/35-090,-394.0196893877
S66x8/35-095,-394.0234960396
S66x8/35-100,-394.0259878668
S66x8/35-105,-394.0276980293
S66x8/35-110,-394.0289035353
S66x8/35-125,-394.0310079829
S66x8/35-150,-394.0324129953
S66x8/35-200,-394.0330745072
S66x8/36-A,-197.0175683794
S66x8/36-B,-197.0176137941
S66x8/36-090,-394.0257965021
S66x8/36-095,-394.028076116
S66x8/36-100,-394.0296711052
S66x8/36-105,-394.0308264584
S66x8/36-110,-394.0316852798
S66x8/36-125,-394.0332358184
S66x8/36-150,-394.0343104176
S66x8/36-200,-394.0348117161
S66x8/37-A,-195.8101078409
S66x8/37-B,-197.017309326
S66x8/37-090,-392.8141458758
S66x8/37-095,-392.8178806699
S66x8/37-100,-392.8203456821
S66x8/37-105,-392.8220392284
S66x8/37-110,-392.823255717
S66x8/37-125,-392.8253775585
S66x8/37-150,-392.8268063366
S66x8/37-200,-392.8275144005
S66x8/38-A,-195.8100471087
S66x8/38-B,-195.8100554022
S66x8/38-090,-391.6058947185
S66x8/38-095,-391.6094120452
S66x8/38-100,-391.6121163196
S66x8/38-105,-391.614026182
S66x8/38-110,-391.6153766733
S66x8/38-125,-391.6177000779
S66x8/38-150,-391.6192505213
S66x8/38-200,-391.6199833023
S66x8/39-A,-231.3756524746
S66x8/39-B,-195.8100313448
S66x8/39-090,-427.1698159969
S66x8/39-095,-427.1745191143
S66x8/39-100,-427.1777070694
S66x8/39-105,-427.1798856551
S66x8/39-110,-427.181351449
S66x8/39-125,-427.1836833487
S66x8/39-150,-427.1850735716
S66x8/39-200,-427.1856589731
S66x8/40-A,-231.3756584032
S66x8/40-B,-197.0176173704
S66x8/40-090,-428.3805275444
S66x8/40-095,-428.384343968
S66x8/40-100,-428.3868409562
S66x8/40-105,-428.3885194219
S66x8/40-110,-428.3896755753
S66x8/40-125,-428.3915491066
S66x8/40-150,-428.3926604469
S66x8/40-200,-428.3931123306
S66x8/41-A,-413.4415370002
S66x8/41-B,-197.0156417867
S66x8/41-090,-610.4390411327
S66x8/41-095,-610.444051154
S66x8/41-100,-610.4474649416
S66x8/41-105,-610.449856639
S66x8/41-110,-610.4518483244
S66x8/41-125,-610.454886351
S66x8/41-150,-610.4565420565
S66x8/41-200,-610.4571217565
S66x8/42-A,-413.4415440535
S66x8/42-B,-195.8100502602
S66x8/42-090,-609.2347289277
S66x8/42-095,-609.2396752366
S66x8/42-100,-609.2429261034
S66x8/42-105,-609.2451354624
S66x8/42-110,-609.2466771131
S66x8/42-125,-609.2492472652
S66x8/42-150,-609.2508559983
S66x8/42-200,-609.2515347512
S66x8/43-A,-413.4415291111
S66x8/43-B,-197.0174609414
S66x8/43-090,-610.4456544212
S66x8/43-095,-610.4497503748
S66x8/43-100,-610.4524026529
S66x8/43-105,-610.4541755171
S66x8/43-110,-610.4554010333
S66x8/43-125,-610.4573766908
S66x8/43-150,-610.4585282561
S66x8/43-200,-610.4589446431
S66x8/44-A,-78.2955882994
S66x8/44-B,-197.0156460171
S66x8/44-090,-275.3016136293
S66x8/44-095,-275.3040905709
S66x8/44-100,-275.3057996124
S66x8/44-105,-275.3070196242
S66x8/44-110,-275.3079190943
S66x8/44-125,-275.3095457235
S66x8/44-150,-275.3106742609
S66x8/44-200,-275.3111987553
S66x8/45-A,-77.0453805213
S66x8/45-B,-197.0155821453
S66x8/45-090,-274.0513618431
S66x8/45-095,-274.0540874026
S66x8/45-100,-274.0559082476
S66x8/45-105,-274.0571672761
S66x8/45-110,-274.0580601952
S66x8/45-125,-274.0595528757
S66x8/45-150,-274.0604506854
S66x8/45-200,-274.0607606599
S66x8/46-A,-247.676880871
S66x8/46-B,-197.01549988
S66x8/46-090,-444.6777876568
S66x8/46-095,-444.6813169319
S66x8/46-100,-444.6838650995
S66x8/46-105,-444.6857423751
S66x8/46-110,-444.6871487844
S66x8/46-125,-444.6897279337
S66x8/46-150,-444.6916916229
S66x8/46-200,-444.6924829094
S66x8/47-A,-231.3756580634
S66x8/47-B,-231.3756800215
S66x8/47-090,-462.7401382109
S66x8/47-095,-462.7437743325
S66x8/47-100,-462.7460844
S66x8/47-105,-462.7475945547
S66x8/47-110,-462.7486092461
S66x8/47-125,-462.7501767929
S66x8/47-150,-462.7510531364
S66x8/47-200,-462.7513634355
S66x8/48-A,-247.3744376675
S66x8/48-B,-247.374404857
S66x8/48-090,-494.7390732303
S66x8/48-095,-494.7422573885
S66x8/48-100,-494.7443424887
S66x8/48-105,-494.745734257
S66x8/48-110,-494.7466758273
S66x8/48-125,-494.7481268427
S66x8/48-150,-494.7489024097
S66x8/48-200,-494.7490876772
S66x8/49-A,-231.3756614454
S66x8/49-B,-247.3743998923
S66x8/49-090,-478.7395880859
S66x8/49-095,-478.74323372
S66x8/49-100,-478.7455312904
S66x8/49-105,-478.747012575
S66x8/49-110,-478.7479900559
S66x8/49-125,-478.7494383756
S66x8/49-150,-478.7501598636
S66x8/49-200,-478.7503024385
S66x8/50-A,-231.3756552696
S66x8/50-B,-77.0454624056
S66x8/50-090,-308.4144373839
S66x8/50-095,-308.4170913833
S66x8/50-100,-308.4187099036
S66x8/50-105,-308.4197079903
S66x8/50-110,-308.4203344421
S66x8/50-125,-308.4211692927
S66x8/50-150,-308.4214465579
S66x8/50-200,-308.4213178927
S66x8/51-A,-77.0453932025
S66x8/51-B,-77.0454686999
S66x8/51-090,-154.0881673462
S66x8/51-095,-154.0892427004
S66x8/51-100,-154.0899150397
S66x8/51-105,-154.090337155
S66x8/51-110,-154.0906025365
S66x8/51-125,-154.0909435955
S66x8/51-150,-154.0910280321
S66x8/51-200,-154.09092973
S66x8/52-A,-231.3756524368
S66x8/52-B,-228.3566472913
S66x8/52-090,-459.7274845406
S66x8/52-095,-459.7298797103
S66x8/52-100,-459.7313518615
S66x8/52-105,-459.7322493567
S66x8/52-110,-459.7327837672
S66x8/52-125,-459.7333359355
S66x8/52-150,-459.7332574832
S66x8/52-200,-459.7328137646
S66x8/53-A,-231.375644415
S66x8/53-B,-208.5237907343
S66x8/53-090,-439.8948343519
S66x8/53-095,-439.8968359021
S66x8/53-100,-439.8981326259
S66x8/53-105,-439.8989682324
S66x8/53-110,-439.8994997979
S66x8/53-125,-439.9001560682
S66x8/53-150,-439.9002158735
S66x8/53-200,-439.8998366587
S66x8/54-A,-231.3756603341
S66x8/54-B,-76.2120029245
S66x8/54-090,-307.5848204088
S66x8/54-095,-307.5865029232
S66x8/54-100,-307.5875079847
S66x8/54-105,-307.5880991137
S66x8/54-110,-307.5884375517
S66x8/54-125,-307.588746625
S66x8/54-150,-307.588599079
S66x8/54-200,-307.5881363115
S66x8/55-A,-231.3756640457
S66x8/55-B,-115.3537444987
S66x8/55-090,-346.7231424872
S66x8/55-095,-346.7256411935
S66x8/55-100,-346.7272560757
S66x8/55-105,-346.7283057233
S66x8/55-110,-346.7289844228
S66x8/55-125,-346.7298947756
S66x8/55-150,-346.7301547723
S66x8/55-200,-346.729906238
S66x8/56-A,-231.3756572594
S66x8/56-B,-95.5258142833
S66x8/56-090,-326.8930629814
S66x8/56-095,-326.8957387513
S66x8/56-100,-326.8975279832
S66x8/56-105,-326.8988152595
S66x8/56-110,-326.8996879682
S66x8/56-125,-326.9009669782
S66x8/56-150,-326.9015826869
S66x8/56-200,-326.9016662335
S66x8/57-A,-231.3756702372
S66x8/57-B,-247.6768504469
S66x8/57-090,-479.0412855659
S66x8/57-095,-479.0458567896
S66x8/57-100,-479.0486586075
S66x8/57-105,-479.050397335
S66x8/57-110,-479.0514827073
S66x8/57-125,-479.0529002408
S66x8/57-150,-479.0533384215
S66x8/57-200,-479.0531108884
S66x8/58-A,-247.3744444548
S66x8/58-B,-247.3743544382
S66x8/58-090,-494.7421499573
S66x8/58-095,-494.7451655513
S66x8/58-100,-494.7475033015
S66x8/58-105,-494.7485715938
S66x8/58-110,-494.7490729684
S66x8/58-125,-494.7494476722
S66x8/58-150,-494.7493448099
S66x8/58-200,-494.7490492679
S66x8/59-A,-77.0455319296
S66x8/59-B,-76.2121020065
S66x8/59-090,-153.2571989999
S66x8/59-095,-153.2581745639
S66x8/59-100,-153.2587493221
S66x8/59-105,-153.2590668674
S66x8/59-110,-153.2592200204
S66x8/59-125,-153.2592096938
S66x8/59-150,-153.2588078083
S66x8/59-200,-153.2581725444
S66x8/60-A,-77.0454019169
S66x8/60-B,-228.3566274963
S66x8/60-090,-305.4010916419
S66x8/60-095,-305.4027094036
S66x8/60-100,-305.4036135903
S66x8/60-105,-305.4040698206
S66x8/60-110,-305.40424942
S66x8/60-125,-305.4040615812
S66x8/60-150,-305.40334939
S66x8/60-200,-305.4025532932
S66x8/61-A,-197.0156161837
S66x8/61-B,-228.3566991997
S66x8/61-090,-425.3620630074
S66x8/61-095,-425.3642784231
S66x8/61-100,-425.3659375265
S66x8/61-105,-425.3672022793
S66x8/61-110,-425.3681783286
S66x8/61-125,-425.3700460802
S66x8/61-150,-425.3716200797
S66x8/61-200,-425.3722837468
S66x8/62-A,-197.0156337141
S66x8/62-B,-208.523776793
S66x8/62-090,-405.5277506044
S66x8/62-095,-405.5306403227
S66x8/62-100,-405.5327007467
S66x8/62-105,-405.5342021978
S66x8/62-110,-405.5353185796
S66x8/62-125,-405.537327686
S66x8/62-150,-405.5387201194
S66x8/62-200,-405.539390877
S66x8/63-A,-231.3756408603
S66x8/63-B,-228.3566270284
S66x8/63-090,-459.7206947543
S66x8/63-095,-459.7245759569
S66x8/63-100,-459.7270635456
S66x8/63-105,-459.7286920407
S66x8/63-110,-459.7297759772
S66x8/63-125,-459.7314151629
S66x8/63-150,-459.7322589653
S66x8/63-200,-459.732429486
S66x8/64-A,-247.6768605899
S66x8/64-B,-78.2956346304
S66x8/64-090,-325.9649400992
S66x8/64-095,-325.9670691714
S66x8/64-100,-325.9685371632
S66x8/64-105,-325.9695675929
S66x8/64-110,-325.9703021385
S66x8/64-125,-325.9715327803
S66x8/64-150,-325.9723165865
S66x8/64-200,-325.9725285924
S66x8/65-A,-247.3744304659
S66x8/65-B,-77.0449644294
S66x8/65-090,-324.4197070003
S66x8/65-095,-324.420841936
S66x8/65-100,-324.4214973814
S66x8/65-105,-324.4218414897
S66x8/65-110,-324.421986019
S66x8/65-125,-324.4218609779
S66x8/65-150,-324.421272408
S66x8/65-200,-324.4205043115
S66x8/66-A,-95.5258131546
S66x8/66-B,-247.3744275909
S66x8/66-090,-342.8937804542
S66x8/66-095,-342.8958405607
S66x8/66-100,-342.8972545019
S66x8/66-105,-342.8982316866
S66x8/66-110,-342.8989091684
S66x8/66-125,-342.8999665442
S66x8/66-150,-342.9005039117
