system,B97-D/def2-QZVP/Turbomole
S22x5/13-1.0,-464.3145611016
S22x5/13-1.2,-464.3171667761
S22x5/13-1.5,-464.3177697119
S22x5/13-2.0,-464.3175484122
S22x5/14-A,-232.1586499624
S22x5/14-B,-232.1586499624
S22x5/14-0.9,-464.2988355463
S22x5/14-1.0,-464.3100214583
S22x5/14-1.2,-464.3161136305
S22x5/14-1.5,-464.3172076242
S22x5/14-2.0,-464.317263639
S22x5/15-A,-232.1586826425
S22x5/15-B,-363.6808170788
S22x5/15-0.9,-595.8340232575
S22x5/15-1.0,-595.8384951058
S22x5/15-1.2,-595.8415686885
S22x5/15-1.5,-595.8416978418
S22x5/15-2.0,-595.840608219
S22x5/16-A,-232.1586503861
S22x5/16-B,-363.6807631411
S22x5/16-0.9,-595.8161199899
S22x5/16-1.0,-595.8296947337
S22x5/16-1.2,-595.8374783537
S22x5/16-1.5,-595.8390997939
S22x5/16-2.0,-595.8392054351
S22x5/17-A,-264.2306677808
S22x5/17-B,-264.230670173
S22x5/17-0.9,-528.4435361828
S22x5/17-1.0,-528.455315152
S22x5/17-1.2,-528.4612201081
S22x5/17-1.5,-528.4617897361
S22x5/17-2.0,-528.4614338908
S22x5/18-A,-323.4299406373
S22x5/18-B,-303.5536188675
S22x5/18-0.9,-626.9986956258
S22x5/18-1.0,-627.0022130072
S22x5/18-1.2,-627.0002121871
S22x5/18-1.5,-626.9939969816
S22x5/18-2.0,-626.9881399936
S22x5/19-A,-307.376483642
S22x5/19-B,-307.3765137951
S22x5/19-0.9,-614.7517993465
S22x5/19-1.0,-614.7547726367
S22x5/19-1.2,-614.7562109562
S22x5/19-1.5,-614.7556703168
S22x5/19-2.0,-614.7544059228
S22x5/20-A,-414.7288056529
S22x5/20-B,-414.7288056529
S22x5/20-0.9,-829.4401420286
S22x5/20-1.0,-829.4550599499
S22x5/20-1.2,-829.4609669119
S22x5/20-1.5,-829.4600152739
S22x5/20-2.0,-829.4584672714
S22x5/21-A,-414.7280204936
S22x5/21-B,-414.7280204936
S22x5/21-0.9,-829.4762380335
S22x5/21-1.0,-829.4799490419
S22x5/21-1.2,-829.4771954285
S22x5/21-1.5,-829.4696970509
S22x5/21-2.0,-829.4624712615
S22x5/22-A,-232.158679961
S22x5/22-B,-93.4036966172
S22x5/22-0.9,-325.561191813
S22x5/22-1.0,-325.5638237624
S22x5/22-1.2,-325.5651814691
S22x5/22-1.5,-325.5646216411
S22x5/22-2.0,-325.5634421394
S66x8/01-A,-76.4312709512
S66x8/01-B,-76.4312931553
S66x8/01-090,-152.8675293657
S66x8/01-095,-152.8682609771
S66x8/01-100,-152.86852508
S66x8/01-105,-152.8685042178
S66x8/01-110,-152.8683104643
S66x8/01-125,-152.86734576
S66x8/01-150,-152.8657828547
S66x8/01-200,-152.8640056545
S66x8/02-A,-76.4312737335
S66x8/02-B,-115.7115673404
S66x8/02-090,-192.1474043063
S66x8/02-095,-192.1483334289
S66x8/02-100,-192.1487286108
S66x8/02-105,-192.1487836041
S66x8/02-110,-192.148639818
S66x8/02-125,-192.1477099663
S66x8/02-150,-192.1461095726
S66x8/02-200,-192.1442702736
S66x8/03-A,-76.4312705978
S66x8/03-B,-95.8411479327
S66x8/03-090,-172.2802553299
S66x8/03-095,-172.2810498583
S66x8/03-100,-172.281266122
S66x8/03-105,-172.2811117509
S66x8/03-110,-172.2807423049
S66x8/03-125,-172.2791398563
S66x8/03-150,-172.2767121898
S66x8/03-200,-172.2741612372
S66x8/04-A,-76.4312727137
S66x8/04-B,-248.4704221688
S66x8/04-090,-324.9083639013
S66x8/04-095,-324.9094610398
S66x8/04-100,-324.9099365023
S66x8/04-105,-324.9100174214
S66x8/04-110,-324.9098508712
S66x8/04-125,-324.9087081859
S66x8/04-150,-324.9066396939
S66x8/04-200,-324.9037861375
S66x8/05-A,-115.7114454416
S66x8/05-B,-115.7115925021
S66x8/05-090,-231.4272168452
S66x8/05-095,-231.428272821
S66x8/05-100,-231.4287626027
S66x8/05-105,-231.4288885407
S66x8/05-110,-231.4287972745
S66x8/05-125,-231.4279452341
S66x8/05-150,-231.4263641159
S66x8/05-200,-231.4244956224
S66x8/06-A,-115.7112668203
S66x8/06-B,-95.8411530314
S66x8/06-090,-211.5590132698
S66x8/06-095,-211.5602780604
S66x8/06-100,-211.5608246716
S66x8/06-105,-211.5609070304
S66x8/06-110,-211.5607071625
S66x8/06-125,-211.5593474834
S66x8/06-150,-211.5569630976
S66x8/06-200,-211.5543267426
S66x8/07-A,-115.7113765881
S66x8/07-B,-248.4702158992
S66x8/07-090,-364.187705306
S66x8/07-095,-364.1889740757
S66x8/07-100,-364.1895727806
S66x8/07-105,-364.1897406962
S66x8/07-110,-364.1896282927
S66x8/07-125,-364.1885655743
S66x8/07-150,-364.1862050645
S66x8/07-200,-364.1831757806
S66x8/08-A,-115.7114550239
S66x8/08-B,-76.4312956181
S66x8/08-090,-192.1472651765
S66x8/08-095,-192.1481172156
S66x8/08-100,-192.1484746088
S66x8/08-105,-192.1485201867
S66x8/08-110,-192.1483777732
S66x8/08-125,-192.1474951477
S66x8/08-150,-192.1459650571
S66x8/08-200,-192.1441928621
S66x8/09-A,-95.8410806831
S66x8/09-B,-115.7115497943
S66x8/09-090,-211.552678372
S66x8/09-095,-211.5537019582
S66x8/09-100,-211.5542959184
S66x8/09-105,-211.554611685
S66x8/09-110,-211.5547486766
S66x8/09-125,-211.5546448856
S66x8/09-150,-211.5540480018
S66x8/09-200,-211.5532392491
S66x8/10-A,-95.8411588606
S66x8/10-B,-95.8411365156
S66x8/10-090,-191.6819211557
S66x8/10-095,-191.6833546635
S66x8/10-100,-191.6841999772
S66x8/10-105,-191.6846571813
S66x8/10-110,-191.684861254
S66x8/10-125,-191.6847694977
S66x8/10-150,-191.6838250117
S66x8/10-200,-191.682793875
S66x8/11-A,-95.8410228986
S66x8/11-B,-248.4703950717
S66x8/11-090,-344.3105319659
S66x8/11-095,-344.3121980269
S66x8/11-100,-344.3132409687
S66x8/11-105,-344.3138573143
S66x8/11-110,-344.3141957782
S66x8/11-125,-344.3141677766
S66x8/11-150,-344.3130804668
S66x8/11-200,-344.3120632612
S66x8/12-A,-95.8411189301
S66x8/12-B,-76.4311682753
S66x8/12-090,-172.27927742
S66x8/12-095,-172.2803535916
S66x8/12-100,-172.2807652469
S66x8/12-105,-172.2807551817
S66x8/12-110,-172.2804859471
S66x8/12-125,-172.2790455374
S66x8/12-150,-172.2766968819
S66x8/12-200,-172.2741547254
S66x8/13-A,-248.4703196874
S66x8/13-B,-115.7115844654
S66x8/13-090,-364.1839230801
S66x8/13-095,-364.1853337623
S66x8/13-100,-364.1861465398
S66x8/13-105,-364.1865737475
S66x8/13-110,-364.1867402945
S66x8/13-125,-364.1864819417
S66x8/13-150,-364.1853886853
S66x8/13-200,-364.1836975818
S66x8/14-A,-248.4701373114
S66x8/14-B,-95.8411546948
S66x8/14-090,-344.3153626889
S66x8/14-095,-344.3168654628
S66x8/14-100,-344.3176807995
S66x8/14-105,-344.3180344107
S66x8/14-110,-344.3180800006
S66x8/14-125,-344.3173780114
S66x8/14-150,-344.3156344398
S66x8/14-200,-344.3133606931
S66x8/15-A,-248.4703368432
S66x8/15-B,-248.4703848365
S66x8/15-090,-496.9444594522
S66x8/15-095,-496.9460748451
S66x8/15-100,-496.9470077413
S66x8/15-105,-496.9474785399
S66x8/15-110,-496.9476434839
S66x8/15-125,-496.9472266757
S66x8/15-150,-496.9457239919
S66x8/15-200,-496.943123708
S66x8/16-A,-248.470465873
S66x8/16-B,-76.4312945691
S66x8/16-090,-324.9051065398
S66x8/16-095,-324.9061477395
S66x8/16-100,-324.9066924626
S66x8/16-105,-324.9069084228
S66x8/16-110,-324.9069236977
S66x8/16-125,-324.906404916
S66x8/16-150,-324.9051623434
S66x8/16-200,-324.9034851363
S66x8/17-A,-414.7282843378
S66x8/17-B,-414.7283528447
S66x8/17-090,-829.472629264
S66x8/17-095,-829.4749613952
S66x8/17-100,-829.4759233139
S66x8/17-105,-829.475989384
S66x8/17-110,-829.4754902596
S66x8/17-125,-829.4725062265
S66x8/17-150,-829.4672777605
S66x8/17-200,-829.4613320377
S66x8/18-A,-76.4312752944
S66x8/18-B,-248.1963365371
S66x8/18-090,-324.634865651
S66x8/18-095,-324.6357231474
S66x8/18-100,-324.6359925076
S66x8/18-105,-324.6358892148
S66x8/18-110,-324.6355665773
S66x8/18-125,-324.6340891219
S66x8/18-150,-324.631809274
S66x8/18-200,-324.6293705012
S66x8/19-A,-115.7112772155
S66x8/19-B,-248.1963315701
S66x8/19-090,-363.914092967
S66x8/19-095,-363.9152321694
S66x8/19-100,-363.9156973552
S66x8/19-105,-363.9157367345
S66x8/19-110,-363.9156530601
S66x8/19-125,-363.9141394928
S66x8/19-150,-363.9119912606
S66x8/19-200,-363.9094354624
S66x8/20-A,-229.0543072622
S66x8/20-B,-229.0543090258
S66x8/20-090,-458.1296915409
S66x8/20-095,-458.132025913
S66x8/20-100,-458.1327823731
S66x8/20-105,-458.132522061
S66x8/20-110,-458.1316510632
S66x8/20-125,-458.1274744998
S66x8/20-150,-458.1208892636
S66x8/20-200,-458.1138509278
S66x8/21-A,-209.1795791509
S66x8/21-B,-209.1795814542
S66x8/21-090,-418.3749986541
S66x8/21-095,-418.3771752681
S66x8/21-100,-418.3780536848
S66x8/21-105,-418.3780935213
S66x8/21-110,-418.3775960755
S66x8/21-125,-418.3747725518
S66x8/21-150,-418.3698861224
S66x8/21-200,-418.3636729255
S66x8/22-A,-229.0542642735
S66x8/22-B,-414.7280497353
S66x8/22-090,-643.8028142306
S66x8/22-095,-643.805160207
S66x8/22-100,-643.8060257
S66x8/22-105,-643.8059237954
S66x8/22-110,-643.8052160879
S66x8/22-125,-643.801529091
S66x8/22-150,-643.7953130542
S66x8/22-200,-643.7882757001
S66x8/23-A,-209.1794463945
S66x8/23-B,-414.7280029523
S66x8/23-090,-623.9270242481
S66x8/23-095,-623.9293372516
S66x8/23-100,-623.9302947406
S66x8/23-105,-623.9303639488
S66x8/23-110,-623.9298461103
S66x8/23-125,-623.9267308272
S66x8/23-150,-623.9210775752
S66x8/23-200,-623.9142147733
S66x8/24-A,-232.158639817
S66x8/24-B,-232.1586727912
S66x8/24-090,-464.2995916918
S66x8/24-095,-464.3061851345
S66x8/24-100,-464.3102313562
S66x8/24-105,-464.312763874
S66x8/24-110,-464.3143576541
S66x8/24-125,-464.3164812645
S66x8/24-150,-464.3171783948
S66x8/24-200,-464.3172481603
S66x8/25-A,-248.1963607827
S66x8/25-B,-248.1963772923
S66x8/25-090,-496.3759571126
S66x8/25-095,-496.3824496832
S66x8/25-100,-496.3865335569
S66x8/25-105,-496.3890834694
S66x8/25-110,-496.3906746452
S66x8/25-125,-496.3926966242
S66x8/25-150,-496.3931480675
S66x8/25-200,-496.3928898287
S66x8/26-A,-414.7288065077
S66x8/26-B,-414.7288065077
S66x8/26-090,-829.4437668376
S66x8/26-095,-829.4507323499
S66x8/26-100,-829.4550619325
S66x8/26-105,-829.4577376474
S66x8/26-110,-829.4593034502
S66x8/26-125,-829.4609490702
S66x8/26-150,-829.4603859773
S66x8/26-200,-829.4587542302
S66x8/27-A,-232.1586570717
S66x8/27-B,-248.1963739766
S66x8/27-090,-480.3373713974
S66x8/27-095,-480.3442967504
S66x8/27-100,-480.3484858154
S66x8/27-105,-480.3510600919
S66x8/27-110,-480.3526468095
S66x8/27-125,-480.3546466059
S66x8/27-150,-480.3551816888
S66x8/27-200,-480.3550701135
S66x8/28-A,-232.1586746478
S66x8/28-B,-414.7292884394
S66x8/28-090,-646.8699148596
S66x8/28-095,-646.8768030939
S66x8/28-100,-646.8811603394
S66x8/28-105,-646.8839309637
S66x8/28-110,-646.8856788385
S66x8/28-125,-646.8879063957
S66x8/28-150,-646.8883415356
S66x8/28-200,-646.887937935
S66x8/29-A,-248.1963658448
S66x8/29-B,-414.7292138265
S66x8/29-090,-662.9067709638
S66x8/29-095,-662.9155226857
S66x8/29-100,-662.920620319
S66x8/29-105,-662.923576203
S66x8/29-110,-662.9253228457
S66x8/29-125,-662.9271174793
S66x8/29-150,-662.9269276048
S66x8/29-200,-662.9260499332
S66x8/30-A,-232.1586581324
S66x8/30-B,-78.5676921666
S66x8/30-090,-310.7163979282
S66x8/30-095,-310.7198576786
S66x8/30-100,-310.7220470968
S66x8/30-105,-310.7234404347
S66x8/30-110,-310.7243402195
S66x8/30-125,-310.7256012682
S66x8/30-150,-310.7260897325
S66x8/30-200,-310.7262318501
S66x8/31-A,-414.7292799326
S66x8/31-B,-78.5677639608
S66x8/31-090,-493.2888531053
S66x8/31-095,-493.2921151251
S66x8/31-100,-493.294205142
S66x8/31-105,-493.2955677677
S66x8/31-110,-493.2964327092
S66x8/31-125,-493.2975127137
S66x8/31-150,-493.2975997561
S66x8/31-200,-493.2971821515
S66x8/32-A,-414.7292169532
S66x8/32-B,-77.3094004018
S66x8/32-090,-492.0318278364
S66x8/32-095,-492.0350118008
S66x8/32-100,-492.0369847816
S66x8/32-105,-492.0381814311
S66x8/32-110,-492.0389025479
S66x8/32-125,-492.0396174838
S66x8/32-150,-492.0393714344
S66x8/32-200,-492.0387493917
S66x8/33-A,-248.1963598321
S66x8/33-B,-78.5676457886
S66x8/33-090,-326.7550509427
S66x8/33-095,-326.7581615729
S66x8/33-100,-326.7601817115
S66x8/33-105,-326.7614974308
S66x8/33-110,-326.7623701697
S66x8/33-125,-326.7635764959
S66x8/33-150,-326.7639929844
S66x8/33-200,-326.7639982395
S66x8/34-A,-197.6976384624
S66x8/34-B,-197.697509239
S66x8/34-090,-395.381753257
S66x8/34-095,-395.3862331721
S66x8/34-100,-395.389210359
S66x8/34-105,-395.391266687
S66x8/34-110,-395.3926478284
S66x8/34-125,-395.3947215625
S66x8/34-150,-395.3955439768
S66x8/34-200,-395.3954433555
S66x8/35-A,-197.6975904777
S66x8/35-B,-197.6976587451
S66x8/35-090,-395.3856818549
S66x8/35-095,-395.3891793566
S66x8/35-100,-395.3913646911
S66x8/35-105,-395.3927771579
S66x8/35-110,-395.3936954382
S66x8/35-125,-395.3949937636
S66x8/35-150,-395.3954208962
S66x8/35-200,-395.3953269193
S66x8/36-A,-197.6976641021
S66x8/36-B,-197.697762004
S66x8/36-090,-395.38953734
S66x8/36-095,-395.3914808263
S66x8/36-100,-395.3927371643
S66x8/36-105,-395.3936083537
S66x8/36-110,-395.394173904
S66x8/36-125,-395.3950099518
S66x8/36-150,-395.3952728113
S66x8/36-200,-395.3951821161
S66x8/37-A,-196.4779037764
S66x8/37-B,-197.69738756
S66x8/37-090,-394.1658488979
S66x8/37-095,-394.1692745956
S66x8/37-100,-394.1714529081
S66x8/37-105,-394.1728528267
S66x8/37-110,-394.173801081
S66x8/37-125,-394.1751676251
S66x8/37-150,-394.1756516108
S66x8/37-200,-394.1755878953
S66x8/38-A,-196.4777809417
S66x8/38-B,-196.4777911358
S66x8/38-090,-392.9453354534
S66x8/38-095,-392.9485820419
S66x8/38-100,-392.9510093634
S66x8/38-105,-392.9526097021
S66x8/38-110,-392.9536985327
S66x8/38-125,-392.9551951523
S66x8/38-150,-392.9556936196
S66x8/38-200,-392.9555866964
S66x8/39-A,-232.1586677817
S66x8/39-B,-196.4777456043
S66x8/39-090,-428.6235387989
S66x8/39-095,-428.6281930827
S66x8/39-100,-428.6312448577
S66x8/39-105,-428.6332696961
S66x8/39-110,-428.63453076
S66x8/39-125,-428.6362061024
S66x8/39-150,-428.6366548402
S66x8/39-200,-428.6364762158
S66x8/40-A,-232.1586745596
S66x8/40-B,-197.6977705255
S66x8/40-090,-429.8466160781
S66x8/40-095,-429.8502975801
S66x8/40-100,-429.8526077757
S66x8/40-105,-429.8540976186
S66x8/40-110,-429.8550341045
S66x8/40-125,-429.85625584
S66x8/40-150,-429.8565014562
S66x8/40-200,-429.8563030158
S66x8/41-A,-414.7293539439
S66x8/41-B,-197.6976791421
S66x8/41-090,-612.4123712184
S66x8/41-095,-612.4173438334
S66x8/41-100,-612.4206666941
S66x8/41-105,-612.4229071253
S66x8/41-110,-612.4247042004
S66x8/41-125,-612.4268801046
S66x8/41-150,-612.4273008551
S66x8/41-200,-612.4270581696
S66x8/42-A,-414.7293627148
S66x8/42-B,-196.4778044911
S66x8/42-090,-611.1935154809
S66x8/42-095,-611.1983895185
S66x8/42-100,-611.2015390209
S66x8/42-105,-611.2035822315
S66x8/42-110,-611.2049542712
S66x8/42-125,-611.2068500643
S66x8/42-150,-611.2073992431
S66x8/42-200,-611.2072208682
S66x8/43-A,-414.7293085322
S66x8/43-B,-197.6974945746
S66x8/43-090,-612.4166801366
S66x8/43-095,-612.4206296251
S66x8/43-100,-612.4230988126
S66x8/43-105,-612.4246909595
S66x8/43-110,-612.4257025941
S66x8/43-125,-612.427020619
S66x8/43-150,-612.4272407968
S66x8/43-200,-612.4269567148
S66x8/44-A,-78.5676992213
S66x8/44-B,-197.6976957475
S66x8/44-090,-276.2589450612
S66x8/44-095,-276.261179268
S66x8/44-100,-276.2626316327
S66x8/44-105,-276.2636263866
S66x8/44-110,-276.2642689012
S66x8/44-125,-276.2652298487
S66x8/44-150,-276.2655175986
S66x8/44-200,-276.265408116
S66x8/45-A,-77.3093976742
S66x8/45-B,-197.6975631101
S66x8/45-090,-275.0006435658
S66x8/45-095,-275.0030634817
S66x8/45-100,-275.0045794724
S66x8/45-105,-275.0055600312
S66x8/45-110,-275.0061792214
S66x8/45-125,-275.0069649415
S66x8/45-150,-275.0070762492
S66x8/45-200,-275.0068884911
S66x8/46-A,-248.4705436833
S66x8/46-B,-197.6975181157
S66x8/46-090,-446.1573944092
S66x8/46-095,-446.1607578756
S66x8/46-100,-446.1631179154
S66x8/46-105,-446.1647970813
S66x8/46-110,-446.1660027044
S66x8/46-125,-446.1678812027
S66x8/46-150,-446.1685890194
S66x8/46-200,-446.1682985595
S66x8/47-A,-232.158673479
S66x8/47-B,-232.1587009634
S66x8/47-090,-464.3084136682
S66x8/47-095,-464.312000942
S66x8/47-100,-464.3142286142
S66x8/47-105,-464.3156093753
S66x8/47-110,-464.3164866013
S66x8/47-125,-464.3175609176
S66x8/47-150,-464.3177280013
S66x8/47-200,-464.3174615407
S66x8/48-A,-248.1963815369
S66x8/48-B,-248.1963712115
S66x8/48-090,-496.3853701918
S66x8/48-095,-496.3884395668
S66x8/48-100,-496.3904160161
S66x8/48-105,-496.3916728851
S66x8/48-110,-496.3924744215
S66x8/48-125,-496.393464287
S66x8/48-150,-496.3935289859
S66x8/48-200,-496.3930587794
S66x8/49-A,-232.1586777235
S66x8/49-B,-248.1963510119
S66x8/49-090,-480.3466937511
S66x8/49-095,-480.3503057219
S66x8/49-100,-480.3525362937
S66x8/49-105,-480.3538993833
S66x8/49-110,-480.3547501242
S66x8/49-125,-480.3557227928
S66x8/49-150,-480.3557433211
S66x8/49-200,-480.3553158771
S66x8/50-A,-232.1586696544
S66x8/50-B,-77.3094442047
S66x8/50-090,-309.4633545215
S66x8/50-095,-309.4659094786
S66x8/50-100,-309.4674635222
S66x8/50-105,-309.4683327199
S66x8/50-110,-309.468844625
S66x8/50-125,-309.4692646909
S66x8/50-150,-309.4689514682
S66x8/50-200,-309.4683858431
S66x8/51-A,-77.309405174
S66x8/51-B,-77.3094479348
S66x8/51-090,-154.6182714876
S66x8/51-095,-154.6191083043
S66x8/51-100,-154.6195671596
S66x8/51-105,-154.6197964194
S66x8/51-110,-154.6198872923
S66x8/51-125,-154.6197895994
S66x8/51-150,-154.6193908882
S66x8/51-200,-154.6189816712
S66x8/52-A,-232.1586661255
S66x8/52-B,-229.0562119231
S66x8/52-090,-461.2113325372
S66x8/52-095,-461.2137999296
S66x8/52-100,-461.2153007761
S66x8/52-105,-461.216199835
S66x8/52-110,-461.2167081929
S66x8/52-125,-461.2170445043
S66x8/52-150,-461.2164737067
S66x8/52-200,-461.2154670273
S66x8/53-A,-232.1586563858
S66x8/53-B,-209.1804272149
S66x8/53-090,-441.3366554641
S66x8/53-095,-441.3385472384
S66x8/53-100,-441.3397462071
S66x8/53-105,-441.3404745925
S66x8/53-110,-441.3408903601
S66x8/53-125,-441.3411759297
S66x8/53-150,-441.3406360622
S66x8/53-200,-441.3396030829
S66x8/54-A,-232.158675675
S66x8/54-B,-76.4312365041
S66x8/54-090,-308.5885377321
S66x8/54-095,-308.5902149076
S66x8/54-100,-308.5911976852
S66x8/54-105,-308.5917287183
S66x8/54-110,-308.5919976156
S66x8/54-125,-308.5920163093
S66x8/54-150,-308.5913667318
S66x8/54-200,-308.59044279
S66x8/55-A,-232.1586801219
S66x8/55-B,-115.7114961507
S66x8/55-090,-347.8657620341
S66x8/55-095,-347.8682363202
S66x8/55-100,-347.8698077034
S66x8/55-105,-347.8707901525
S66x8/55-110,-347.8713879703
S66x8/55-125,-347.8719726736
S66x8/55-150,-347.8716315433
S66x8/55-200,-347.8707415679
S66x8/56-A,-232.1586723825
S66x8/56-B,-95.8410751601
S66x8/56-090,-327.9934628704
S66x8/56-095,-327.9960796793
S66x8/56-100,-327.9977935912
S66x8/56-105,-327.9989781578
S66x8/56-110,-327.9997182301
S66x8/56-125,-328.0005629342
S66x8/56-150,-328.00050225
S66x8/56-200,-328.0000136447
S66x8/57-A,-232.1586878594
S66x8/57-B,-248.4705067728
S66x8/57-090,-480.6199732345
S66x8/57-095,-480.6246009123
S66x8/57-100,-480.6273913876
S66x8/57-105,-480.6290850265
S66x8/57-110,-480.6300689796
S66x8/57-125,-480.6310684232
S66x8/57-150,-480.6307531641
S66x8/57-200,-480.6298357929
S66x8/58-A,-248.196375231
S66x8/58-B,-248.1963353057
S66x8/58-090,-496.3891802215
S66x8/58-095,-496.3918555831
S66x8/58-100,-496.3937878317
S66x8/58-105,-496.3945335869
S66x8/58-110,-496.3947726479
S66x8/58-125,-496.3945261113
S66x8/58-150,-496.3937487551
S66x8/58-200,-496.392998388
S66x8/59-A,-77.3094752898
S66x8/59-B,-76.4312857199
S66x8/59-090,-153.7421722961
S66x8/59-095,-153.7428953462
S66x8/59-100,-153.7432569441
S66x8/59-105,-153.7433878892
S66x8/59-110,-153.7433794554
S66x8/59-125,-153.742979122
S66x8/59-150,-153.7421154292
S66x8/59-200,-153.7410815115
S66x8/60-A,-77.3094106285
S66x8/60-B,-229.056187942
S66x8/60-090,-306.3669720618
S66x8/60-095,-306.3684262147
S66x8/60-100,-306.3691827846
S66x8/60-105,-306.3695031432
S66x8/60-110,-306.3695517048
S66x8/60-125,-306.368996061
S66x8/60-150,-306.3677325059
S66x8/60-200,-306.3663210942
S66x8/61-A,-197.6976298262
S66x8/61-B,-229.0562686792
S66x8/61-090,-426.7471140572
S66x8/61-095,-426.7491236283
S66x8/61-100,-426.75057919
S66x8/61-105,-426.7516287353
S66x8/61-110,-426.7524090376
S66x8/61-125,-426.7536520795
S66x8/61-150,-426.7541567924
S66x8/61-200,-426.7539714028
S66x8/62-A,-197.6976418736
S66x8/62-B,-209.180424817
S66x8/62-090,-406.8701477659
S66x8/62-095,-406.8728150981
S66x8/62-100,-406.8746647285
S66x8/62-105,-406.8759382033
S66x8/62-110,-406.8768187815
S66x8/62-125,-406.8781372847
S66x8/62-150,-406.878522245
S66x8/62-200,-406.8782196044
S66x8/63-A,-232.1586535563
S66x8/63-B,-229.0562316191
S66x8/63-090,-461.2057101074
S66x8/63-095,-461.2095753466
S66x8/63-100,-461.2119769168
S66x8/63-105,-461.2134917859
S66x8/63-110,-461.2144275436
S66x8/63-125,-461.215528727
S66x8/63-150,-461.2155618235
S66x8/63-200,-461.215099225
S66x8/64-A,-248.4704673961
S66x8/64-B,-78.5677669295
S66x8/64-090,-327.0336086606
S66x8/64-095,-327.0355192214
S66x8/64-100,-327.0367859294
S66x8/64-105,-327.0376233977
S66x8/64-110,-327.0381650999
S66x8/64-125,-327.038849166
S66x8/64-150,-327.0387943679
S66x8/64-200,-327.038286739
S66x8/65-A,-248.1963620774
S66x8/65-B,-77.3091286139
S66x8/65-090,-325.5084021673
S66x8/65-095,-325.5092277453
S66x8/65-100,-325.5096076535
S66x8/65-105,-325.5097144801
S66x8/65-110,-325.5096471044
S66x8/65-125,-325.5090174171
S66x8/65-150,-325.5078572716
S66x8/65-200,-325.5065416221
S66x8/66-A,-95.8410211837
S66x8/66-B,-248.1963590686
S66x8/66-090,-344.0337617972
S66x8/66-095,-344.0356259731
S66x8/66-100,-344.0368693033
S66x8/66-105,-344.0376783853
S66x8/66-110,-344.0381935084
S66x8/66-125,-344.0388095194
S66x8/66-150,-344.0386846542
