system,Lh14t-calPBE/def2-QZVP/TM
S22x5/10-1.0,-308.2477150824
S22x5/10-1.2,-308.2471382912
S22x5/10-1.5,-308.2457789301
S22x5/10-2.0,-308.2448374593
S22x5/11-A,-231.8983197472
S22x5/11-B,-56.4910111036
S22x5/11-0.9,-288.3895146034
S22x5/11-1.0,-288.3907097381
S22x5/11-1.2,-288.3906957273
S22x5/11-1.5,-288.3899739789
S22x5/11-2.0,-288.3895815556
S22x5/12-A,-231.89832951
S22x5/12-B,-40.4621775
S22x5/12-0.9,-272.358676191
S22x5/12-1.0,-272.360174154
S22x5/12-1.2,-272.3606952662
S22x5/12-1.5,-272.3604647381
S22x5/12-2.0,-272.3604794073
S22x5/13-A,-231.8983203037
S22x5/13-B,-231.8983207512
S22x5/13-0.9,-463.7943785483
S22x5/13-1.0,-463.7965751843
S22x5/13-1.2,-463.7974330678
S22x5/13-1.5,-463.7970366612
S22x5/13-2.0,-463.7967632029
S22x5/14-A,-231.8983241027
S22x5/14-B,-231.8983241027
S22x5/14-0.9,-463.7861710474
S22x5/14-1.0,-463.7937563234
S22x5/14-1.2,-463.7961618959
S22x5/14-1.5,-463.7962721334
S22x5/14-2.0,-463.7965280829
S22x5/15-A,-231.8983072502
S22x5/15-B,-363.2809783555
S22x5/15-0.9,-595.179731283
S22x5/15-1.0,-595.1825050435
S22x5/15-1.2,-595.1831457016
S22x5/15-1.5,-595.181646403
S22x5/15-2.0,-595.1802703169
S22x5/16-A,-231.8983088134
S22x5/16-B,-363.2809177314
S22x5/16-0.9,-595.1671085998
S22x5/16-1.0,-595.1762113856
S22x5/16-1.2,-595.1790177403
S22x5/16-1.5,-595.1785408535
S22x5/16-2.0,-595.1788672185
S22x5/17-A,-263.9327458312
S22x5/17-B,-263.9327379625
S22x5/17-0.9,-527.8567768957
S22x5/17-1.0,-527.8646749212
S22x5/17-1.2,-527.8664637796
S22x5/17-1.5,-527.8656733026
S22x5/17-2.0,-527.8655613006
S22x5/18-A,-323.0691809145
S22x5/18-B,-303.215960932
S22x5/18-0.9,-626.3056194168
S22x5/18-1.0,-626.3084396368
S22x5/18-1.2,-626.3047887306
S22x5/18-1.5,-626.2966367721
S22x5/18-2.0,-626.2896678604
S22x5/19-A,-307.0363669657
S22x5/19-B,-307.0363825564
S22x5/19-0.9,-614.0772443027
S22x5/19-1.0,-614.0790740016
S22x5/19-1.2,-614.078453825
S22x5/19-1.5,-614.076059553
S22x5/19-2.0,-614.0739993758
S22x5/20-A,-414.270771401
S22x5/20-B,-414.2707714011
S22x5/20-0.9,-828.5375643176
S22x5/20-1.0,-828.5468855617
S22x5/20-1.2,-828.546623019
S22x5/20-1.5,-828.5437552212
S22x5/20-2.0,-828.5424225695
S22x5/21-A,-414.2700691145
S22x5/21-B,-414.2700691145
S22x5/21-0.9,-828.5668986024
S22x5/21-1.0,-828.5698374158
S22x5/21-1.2,-828.5651920975
S22x5/21-1.5,-828.555412638
S22x5/21-2.0,-828.5468182011
S22x5/22-A,-231.8983038631
S22x5/22-B,-93.2881763003
S22x5/22-0.9,-325.1895285072
S22x5/22-1.0,-325.1909771958
S22x5/22-1.2,-325.1906039515
S22x5/22-1.5,-325.1888945333
S22x5/22-2.0,-325.187579863
S66x8/01-A,-76.3460628669
S66x8/01-B,-76.346044343
S66x8/01-090,-152.699084007
S66x8/01-095,-152.6995834174
S66x8/01-100,-152.6996094005
S66x8/01-105,-152.6993512693
S66x8/01-110,-152.6989343369
S66x8/01-125,-152.6974079089
S66x8/01-150,-152.6953290835
S66x8/01-200,-152.6934361117
S66x8/02-A,-76.346077311
S66x8/02-B,-115.582961829
S66x8/02-090,-191.9361791179
S66x8/02-095,-191.9368109693
S66x8/02-100,-191.9369062129
S66x8/02-105,-191.9366748238
S66x8/02-110,-191.9362550184
S66x8/02-125,-191.9346310785
S66x8/02-150,-191.9323799681
S66x8/02-200,-191.9303488227
S66x8/03-A,-76.3461033256
S66x8/03-B,-95.732639138
S66x8/03-090,-172.0884126068
S66x8/03-095,-172.0890303716
S66x8/03-100,-172.0890545381
S66x8/03-105,-172.0887086188
S66x8/03-110,-172.0881467694
S66x8/03-125,-172.0860344738
S66x8/03-150,-172.0830526104
S66x8/03-200,-172.0802454541
S66x8/04-A,-76.3460994775
S66x8/04-B,-248.1951728878
S66x8/04-090,-324.5516882282
S66x8/04-095,-324.5524269266
S66x8/04-100,-324.5525339243
S66x8/04-105,-324.5522426562
S66x8/04-110,-324.5517168081
S66x8/04-125,-324.5496366979
S66x8/04-150,-324.5465460045
S66x8/04-200,-324.5431788059
S66x8/05-A,-115.5827739712
S66x8/05-B,-115.5829815141
S66x8/05-090,0
S66x8/05-095,-231.1734838444
S66x8/05-100,-231.1736648684
S66x8/05-105,-231.1734938732
S66x8/05-110,-231.1731142872
S66x8/05-125,-231.1715468289
S66x8/05-150,-231.1692851553
S66x8/05-200,-231.1671858173
S66x8/06-A,-115.582508426
S66x8/06-B,-95.7326500369
S66x8/06-090,-211.3245822785
S66x8/06-095,-211.3255053424
S66x8/06-100,-211.3257324761
S66x8/06-105,-211.3255449184
S66x8/06-110,-211.3250609496
S66x8/06-125,-211.3230284442
S66x8/06-150,0
S66x8/06-200,-211.3169903077
S66x8/07-A,-115.5826313763
S66x8/07-B,-248.1950891976
S66x8/07-090,-363.7877814159
S66x8/07-095,-363.7886910904
S66x8/07-100,-363.7889186422
S66x8/07-105,-363.7887141624
S66x8/07-110,0
S66x8/07-125,-363.786226113
S66x8/07-150,-363.7827175362
S66x8/07-200,-363.7792564584
S66x8/08-A,-115.5828011732
S66x8/08-B,-76.3460525002
S66x8/08-090,-191.9356244331
S66x8/08-095,-191.9362346172
S66x8/08-100,-191.9363415641
S66x8/08-105,-191.9361391928
S66x8/08-110,-191.9357571714
S66x8/08-125,-191.9342743331
S66x8/08-150,-191.932201753
S66x8/08-200,-191.9302820138
S66x8/09-A,-95.7325311109
S66x8/09-B,-115.5829466858
S66x8/09-090,0
S66x8/09-095,-211.3182987181
S66x8/09-100,-211.3185178602
S66x8/09-105,-211.3184959752
S66x8/09-110,-211.3183631329
S66x8/09-125,-211.3176754543
S66x8/09-150,-211.3167254762
S66x8/09-200,-211.3160312826
S66x8/10-A,-95.7325693326
S66x8/10-B,-95.7326148597
S66x8/10-090,-191.4680208114
S66x8/10-095,-191.4689690105
S66x8/10-100,-191.4693477918
S66x8/10-105,-191.4693787373
S66x8/10-110,-191.4692112946
S66x8/10-125,-191.4682531176
S66x8/10-150,-191.4665946518
S66x8/10-200,-191.4656536655
S66x8/11-A,-95.7324077117
S66x8/11-B,-248.1952601857
S66x8/11-090,-343.9313324056
S66x8/11-095,-343.9323883838
S66x8/11-100,-343.9328532861
S66x8/11-105,-343.932942461
S66x8/11-110,-343.9327917549
S66x8/11-125,-343.9311599021
S66x8/11-150,-343.9292409218
S66x8/11-200,-343.9283645673
S66x8/12-A,-95.7326273517
S66x8/12-B,-76.3456183075
S66x8/12-090,-172.0882244838
S66x8/12-095,0
S66x8/12-100,-172.0891431672
S66x8/12-105,0
S66x8/12-110,-172.0883118683
S66x8/12-125,-172.0861854621
S66x8/12-150,-172.0831181059
S66x8/12-200,-172.08025902
S66x8/13-A,-248.1952348474
S66x8/13-B,-115.5829930198
S66x8/13-090,-363.7840286
S66x8/13-095,-363.7849931981
S66x8/13-100,-363.7853701803
S66x8/13-105,-363.7853780103
S66x8/13-110,-363.7851576581
S66x8/13-125,-363.7839425161
S66x8/13-150,-363.7819447346
S66x8/13-200,-363.7800128016
S66x8/14-A,-248.1950192907
S66x8/14-B,-95.7326121468
S66x8/14-090,0
S66x8/14-095,-343.9363009861
S66x8/14-100,-343.9367341343
S66x8/14-105,-343.9367117969
S66x8/14-110,-343.9364163402
S66x8/14-125,-343.9348382938
S66x8/14-150,-343.9322689774
S66x8/14-200,-343.9296566639
S66x8/15-A,-248.1950755024
S66x8/15-B,-248.1951422468
S66x8/15-090,-496.3986383841
S66x8/15-095,-496.3997598172
S66x8/15-100,-496.4002174054
S66x8/15-105,-496.4002373888
S66x8/15-110,-496.3999577279
S66x8/15-125,-496.3983683257
S66x8/15-150,-496.3957124147
S66x8/15-200,-496.3925534919
S66x8/16-A,-248.1952360443
S66x8/16-B,-76.3460581562
S66x8/16-090,-324.547224758
S66x8/16-095,-324.5479496625
S66x8/16-100,-324.5481739047
S66x8/16-105,-324.5480903622
S66x8/16-110,-324.5478259784
S66x8/16-125,-324.5466243394
S66x8/16-150,-324.544797448
S66x8/16-200,-324.5430151794
S66x8/17-A,-414.2702829989
S66x8/17-B,-414.2704104202
S66x8/17-090,-828.5628512376
S66x8/17-095,-828.564796134
S66x8/17-100,-828.5653141455
S66x8/17-105,-828.5649074896
S66x8/17-110,-828.5639269777
S66x8/17-125,-828.559563136
S66x8/17-150,-828.5525726262
S66x8/17-200,-828.5454226889
S66x8/18-A,-76.3460846935
S66x8/18-B,-247.9174853529
S66x8/18-090,-324.2727529785
S66x8/18-095,-324.2734241561
S66x8/18-100,-324.273493144
S66x8/18-105,0
S66x8/18-110,-324.2726618847
S66x8/18-125,-324.2706425136
S66x8/18-150,-324.2677766893
S66x8/18-200,-324.2650971378
S66x8/19-A,-115.5825211319
S66x8/19-B,-247.9174818649
S66x8/19-090,-363.5089285671
S66x8/19-095,-363.5098504277
S66x8/19-100,-363.5100973188
S66x8/19-105,-363.5099125913
S66x8/19-110,-363.5095567286
S66x8/19-125,-363.5074707407
S66x8/19-150,-363.5045889511
S66x8/19-200,-363.5017151761
S66x8/20-A,-228.7998284761
S66x8/20-B,-228.7998367278
S66x8/20-090,-457.6272124214
S66x8/20-095,-457.6292208036
S66x8/20-100,-457.6295852433
S66x8/20-105,0
S66x8/20-110,-457.6275656318
S66x8/20-125,-457.6220798458
S66x8/20-150,-457.6136361647
S66x8/20-200,-457.6050178664
S66x8/21-A,-208.9460831858
S66x8/21-B,-208.9460862803
S66x8/21-090,-417.9136111904
S66x8/21-095,-417.9154512389
S66x8/21-100,-417.9159296137
S66x8/21-105,-417.9155286604
S66x8/21-110,-417.9145843787
S66x8/21-125,-417.9104502174
S66x8/21-150,-417.903973778
S66x8/21-200,-417.8967050885
S66x8/22-A,-228.7997889848
S66x8/22-B,-414.2701486243
S66x8/22-090,-643.0968962013
S66x8/22-095,0
S66x8/22-100,-643.0993843171
S66x8/22-105,-643.0988501758
S66x8/22-110,-643.0976837086
S66x8/22-125,-643.0926270372
S66x8/22-150,-643.0845949797
S66x8/22-200,-643.076069006
S66x8/23-A,-208.9459632452
S66x8/23-B,-414.2700073573
S66x8/23-090,-623.2417300011
S66x8/23-095,-623.2436981219
S66x8/23-100,-623.24426234
S66x8/23-105,-623.2438954238
S66x8/23-110,-623.2429337276
S66x8/23-125,-623.238498408
S66x8/23-150,-623.2311384464
S66x8/23-200,-623.2229556455
S66x8/24-A,-231.8983365721
S66x8/24-B,-231.8983311019
S66x8/24-090,-463.7867287473
S66x8/24-095,-463.791351924
S66x8/24-100,-463.7938461954
S66x8/24-105,-463.7951256004
S66x8/24-110,-463.7957686779
S66x8/24-125,-463.7962251071
S66x8/24-150,-463.7962995781
S66x8/24-200,-463.7965525722
S66x8/25-A,-247.9174516518
S66x8/25-B,-247.9174811475
S66x8/25-090,-495.8265718154
S66x8/25-095,-495.8310901978
S66x8/25-100,-495.8335472948
S66x8/25-105,-495.8347907804
S66x8/25-110,0
S66x8/25-125,-495.8354851731
S66x8/25-150,-495.8350727455
S66x8/25-200,-495.835039956
S66x8/26-A,-414.270771613
S66x8/26-B,-414.270771613
S66x8/26-090,-828.5401729985
S66x8/26-095,-828.5446901371
S66x8/26-100,-828.5468861026
S66x8/26-105,-828.5477489259
S66x8/26-110,-828.5478426429
S66x8/26-125,-828.5464498639
S66x8/26-150,-828.5441517313
S66x8/26-200,-828.5426695061
S66x8/27-A,-231.8983384142
S66x8/27-B,-247.9174865293
S66x8/27-090,-479.8064486723
S66x8/27-095,-479.8112983426
S66x8/27-100,-479.8138401512
S66x8/27-105,-479.815096713
S66x8/27-110,-479.8156700171
S66x8/27-125,-479.8159088392
S66x8/27-150,0
S66x8/27-200,-479.8158007398
S66x8/28-A,-231.8982886488
S66x8/28-B,-414.2713580233
S66x8/28-090,-646.1623405804
S66x8/28-095,-646.1668998664
S66x8/28-100,-646.1693343329
S66x8/28-105,-646.1704818973
S66x8/28-110,-646.1709258193
S66x8/28-125,-646.1706957818
S66x8/28-150,-646.1698387341
S66x8/28-200,-646.1695668204
S66x8/29-A,-247.9174502796
S66x8/29-B,-414.2713192639
S66x8/29-090,-662.1814015876
S66x8/29-095,-662.1874429503
S66x8/29-100,-662.1903104219
S66x8/29-105,-662.191503926
S66x8/29-110,-662.1917874875
S66x8/29-125,-662.1910546276
S66x8/29-150,-662.1898294233
S66x8/29-200,-662.1891727694
S66x8/30-A,-231.8983343465
S66x8/30-B,-78.4739583583
S66x8/30-090,-310.3668326561
S66x8/30-095,-310.3691350847
S66x8/30-100,-310.3703833186
S66x8/30-105,-310.3710435612
S66x8/30-110,-310.3713759324
S66x8/30-125,-310.3716418083
S66x8/30-150,-310.3718478205
S66x8/30-200,0
S66x8/31-A,-414.2713782079
S66x8/31-B,-78.4739589878
S66x8/31-090,0
S66x8/31-095,-492.7447336496
S66x8/31-100,-492.7457959476
S66x8/31-105,-492.7462842238
S66x8/31-110,-492.7464562029
S66x8/31-125,-492.746231627
S66x8/31-150,-492.7457082109
S66x8/31-200,-492.7454407139
S66x8/32-A,-414.2713859865
S66x8/32-B,-77.2131739352
S66x8/32-090,-491.4828606263
S66x8/32-095,-491.4849364871
S66x8/32-100,-491.4859528229
S66x8/32-105,-491.4863600989
S66x8/32-110,-491.4864239079
S66x8/32-125,-491.4858888008
S66x8/32-150,-491.485040418
S66x8/32-200,-491.4845465958
S66x8/33-A,-247.9174892643
S66x8/33-B,-78.4739297733
S66x8/33-090,-326.387049132
S66x8/33-095,-326.3890558128
S66x8/33-100,0
S66x8/33-105,-326.3907572016
S66x8/33-110,-326.3910393746
S66x8/33-125,-326.3911931338
S66x8/33-150,-326.391125315
S66x8/33-200,-326.3913319299
S66x8/34-A,-197.4824679343
S66x8/34-B,-197.4824240575
S66x8/34-090,-394.9599769182
S66x8/34-095,-394.9625305646
S66x8/34-100,-394.9639699763
S66x8/34-105,-394.9646611263
S66x8/34-110,-394.9649710023
S66x8/34-125,-394.9650832116
S66x8/34-150,-394.9646590209
S66x8/34-200,-394.965180036
S66x8/35-A,-197.4824580289
S66x8/35-B,-197.4861793048
S66x8/35-090,-394.9645810253
S66x8/35-095,-394.9666865715
S66x8/35-100,-394.9677529208
S66x8/35-105,0
S66x8/35-110,-394.9684534459
S66x8/35-125,-394.9685051871
S66x8/35-150,-394.9683660924
S66x8/35-200,-394.9685328556
S66x8/36-A,-197.48618046
S66x8/36-B,-197.4861926495
S66x8/36-090,-394.9696338433
S66x8/36-095,-394.9707239939
S66x8/36-100,-394.9713170644
S66x8/36-105,-394.9716201918
S66x8/36-110,-394.9717925558
S66x8/36-125,-394.9718396227
S66x8/36-150,-394.9718358796
S66x8/36-200,-394.9719059426
S66x8/37-A,-196.2689705061
S66x8/37-B,-197.4860436569
S66x8/37-090,-393.7508103574
S66x8/37-095,-393.7529040369
S66x8/37-100,-393.753997868
S66x8/37-105,-393.7545407347
S66x8/37-110,-393.7547863215
S66x8/37-125,-393.7549076883
S66x8/37-150,-393.7548033829
S66x8/37-200,-393.7549568607
S66x8/38-A,-196.2689327512
S66x8/38-B,-196.2689395954
S66x8/38-090,-392.5338234539
S66x8/38-095,-392.5358217306
S66x8/38-100,-392.5370142925
S66x8/38-105,0
S66x8/38-110,-392.5378074822
S66x8/38-125,-392.5378260031
S66x8/38-150,-392.5375144175
S66x8/38-200,-392.5378404453
S66x8/39-A,-231.8983318542
S66x8/39-B,-196.2689277823
S66x8/39-090,-428.1617443361
S66x8/39-095,0
S66x8/39-100,-428.1664693833
S66x8/39-105,-428.1673046217
S66x8/39-110,-428.1676472206
S66x8/39-125,-428.1676397302
S66x8/39-150,-428.1672921234
S66x8/39-200,-428.1672593449
S66x8/40-A,-231.8983286294
S66x8/40-B,-197.4862050243
S66x8/40-090,-429.3802307507
S66x8/40-095,-429.3825997376
S66x8/40-100,-429.3838598025
S66x8/40-105,-429.3844638723
S66x8/40-110,-429.3847271562
S66x8/40-125,-429.3846756254
S66x8/40-150,-429.3844370663
S66x8/40-200,-429.3843568726
S66x8/41-A,-414.2713903872
S66x8/41-B,-197.4825032238
S66x8/41-090,-611.7486331508
S66x8/41-095,-611.751599556
S66x8/41-100,-611.7531973941
S66x8/41-105,-611.7540141232
S66x8/41-110,-611.7543360942
S66x8/41-125,-611.7541905417
S66x8/41-150,-611.7537407514
S66x8/41-200,-611.7538623918
S66x8/42-A,0
S66x8/42-B,-196.2689170083
S66x8/42-090,-610.5348667086
S66x8/42-095,-610.5378913492
S66x8/42-100,-610.5394569225
S66x8/42-105,-610.540231039
S66x8/42-110,-610.5405299935
S66x8/42-125,-610.540480687
S66x8/42-150,-610.540278283
S66x8/42-200,-610.5402714252
S66x8/43-A,-414.2714085269
S66x8/43-B,-197.4860876557
S66x8/43-090,-611.753576804
S66x8/43-095,0
S66x8/43-100,-611.7572304279
S66x8/43-105,-611.7577595204
S66x8/43-110,-611.7579708501
S66x8/43-125,-611.7577940141
S66x8/43-150,-611.7574728986
S66x8/43-200,-611.7573533369
S66x8/44-A,-78.4739586349
S66x8/44-B,-197.4825192421
S66x8/44-090,-275.9542155086
S66x8/44-095,-275.9554369371
S66x8/44-100,-275.9560680867
S66x8/44-105,-275.9563422623
S66x8/44-110,-275.9564604518
S66x8/44-125,-275.9564361875
S66x8/44-150,-275.9563829656
S66x8/44-200,-275.956488085
S66x8/45-A,-77.2131819847
S66x8/45-B,-197.4825024448
S66x8/45-090,-274.6927961359
S66x8/45-095,-274.6942796426
S66x8/45-100,-274.695053579
S66x8/45-105,-274.6954266529
S66x8/45-110,-274.6955814035
S66x8/45-125,-274.6955808804
S66x8/45-150,-274.695528494
S66x8/45-200,-274.6954624507
S66x8/46-A,-248.1952941788
S66x8/46-B,-197.4823967035
S66x8/46-090,-445.6747307182
S66x8/46-095,-445.6765857677
S66x8/46-100,-445.6776347972
S66x8/46-105,-445.6781671498
S66x8/46-110,-445.6783829372
S66x8/46-125,-445.6782955784
S66x8/46-150,-445.6778091255
S66x8/46-200,-445.6778460195
S66x8/47-A,-231.8983226997
S66x8/47-B,0
S66x8/47-090,-463.7928122354
S66x8/47-095,-463.7952732619
S66x8/47-100,-463.7965397688
S66x8/47-105,-463.7971521206
S66x8/47-110,-463.7973855405
S66x8/47-125,-463.7972748258
S66x8/47-150,-463.7968589109
S66x8/47-200,-463.7967381882
S66x8/48-A,-247.9174724119
S66x8/48-B,-247.917424491
S66x8/48-090,-495.8326645174
S66x8/48-095,-495.8347423024
S66x8/48-100,-495.8358391819
S66x8/48-105,-495.8363576137
S66x8/48-110,0
S66x8/48-125,-495.8362351434
S66x8/48-150,-495.8355586968
S66x8/48-200,-495.8352018911
S66x8/49-A,-231.8983234892
S66x8/49-B,-247.9174477331
S66x8/49-090,-479.8126936166
S66x8/49-095,-479.8151651544
S66x8/49-100,-479.8164161705
S66x8/49-105,-479.8169991609
S66x8/49-110,0
S66x8/49-125,-479.8169333324
S66x8/49-150,-479.8163370387
S66x8/49-200,-479.8160435225
S66x8/50-A,-231.8983172095
S66x8/50-B,-77.2132510264
S66x8/50-090,-309.1105490752
S66x8/50-095,-309.1123029347
S66x8/50-100,-309.1131118216
S66x8/50-105,-309.1134000474
S66x8/50-110,-309.1134015576
S66x8/50-125,-309.1128970029
S66x8/50-150,-309.1121340773
S66x8/50-200,-309.1117080583
S66x8/51-A,-77.2131948682
S66x8/51-B,-77.2132630047
S66x8/51-090,-154.4269617674
S66x8/51-095,-154.4275307099
S66x8/51-100,-154.4277516658
S66x8/51-105,-154.4277778724
S66x8/51-110,-154.427698716
S66x8/51-125,-154.4272975356
S66x8/51-150,-154.4268104756
S66x8/51-200,-154.4265367514
S66x8/52-A,-231.8983160208
S66x8/52-B,-228.8017113949
S66x8/52-090,-460.7017494239
S66x8/52-095,-460.7032489366
S66x8/52-100,-460.7039177245
S66x8/52-105,-460.7040996221
S66x8/52-110,-460.7039949019
S66x8/52-125,-460.7030565508
S66x8/52-150,-460.7016549787
S66x8/52-200,-460.7005729526
S66x8/53-A,-231.8983161351
S66x8/53-B,-208.9469892732
S66x8/53-090,-440.8470829955
S66x8/53-095,-440.8482793551
S66x8/53-100,-440.8488281549
S66x8/53-105,-440.8489744808
S66x8/53-110,-440.848888602
S66x8/53-125,-440.8480886251
S66x8/53-150,-440.846825532
S66x8/53-200,-440.8457419137
S66x8/54-A,-231.8983126205
S66x8/54-B,-76.3459476344
S66x8/54-090,0
S66x8/54-095,-308.2473526255
S66x8/54-100,-308.2477117796
S66x8/54-105,-308.2477317477
S66x8/54-110,-308.2475601473
S66x8/54-125,-308.2467213079
S66x8/54-150,-308.2456111316
S66x8/54-200,-308.2447709514
S66x8/55-A,-231.8983040448
S66x8/55-B,-115.5828694132
S66x8/55-090,-347.4819890189
S66x8/55-095,-347.483505098
S66x8/55-100,-347.4842308677
S66x8/55-105,0
S66x8/55-110,0
S66x8/55-125,-347.4837415132
S66x8/55-150,-347.4826183137
S66x8/55-200,-347.4817045434
S66x8/56-A,-231.8983214182
S66x8/56-B,-95.7325173526
S66x8/56-090,-327.6295594102
S66x8/56-095,-327.6311820069
S66x8/56-100,-327.6320271401
S66x8/56-105,-327.6324277783
S66x8/56-110,-327.6325122107
S66x8/56-125,0
S66x8/56-150,-327.6314203983
S66x8/56-200,-327.6310735143
S66x8/57-A,0
S66x8/57-B,-248.1952730708
S66x8/57-090,0
S66x8/57-095,0
S66x8/57-100,-480.0963121419
S66x8/57-105,-480.0969174251
S66x8/57-110,-480.0970269137
S66x8/57-125,0
S66x8/57-150,-480.0950726545
S66x8/57-200,0
S66x8/58-A,-247.9174664284
S66x8/58-B,-247.9173964472
S66x8/58-090,-495.8350628303
S66x8/58-095,-495.8371503157
S66x8/58-100,0
S66x8/58-105,0
S66x8/58-110,-495.8380969265
S66x8/58-125,-495.8369179733
S66x8/58-150,-495.8357751592
S66x8/58-200,-495.8351289952
S66x8/59-A,-77.2133099372
S66x8/59-B,-76.3460425337
S66x8/59-090,-153.5623627639
S66x8/59-095,-153.5628711291
S66x8/59-100,-153.5630137343
S66x8/59-105,-153.5629384873
S66x8/59-110,-153.5627402808
S66x8/59-125,-153.5619132911
S66x8/59-150,-153.5607861962
S66x8/59-200,-153.5598245156
S66x8/60-A,-77.2131856638
S66x8/60-B,-228.8016950009
S66x8/60-090,-306.0198226611
S66x8/60-095,-306.0207412866
S66x8/60-100,-306.0209941968
S66x8/60-105,-306.0208505197
S66x8/60-110,-306.0204841593
S66x8/60-125,-306.0189828588
S66x8/60-150,-306.0169939536
S66x8/60-200,-306.0154589205
S66x8/61-A,-197.482485493
S66x8/61-B,-228.8017586654
S66x8/61-090,-426.2822493813
S66x8/61-095,-426.2833109606
S66x8/61-100,-426.283916139
S66x8/61-105,-426.2842576714
S66x8/61-110,-426.2844106135
S66x8/61-125,-426.284401475
S66x8/61-150,-426.2842045017
S66x8/61-200,-426.2842399518
S66x8/62-A,-197.4825187625
S66x8/62-B,-208.9469721516
S66x8/62-090,-406.4274297826
S66x8/62-095,-406.4288917246
S66x8/62-100,-406.4296648336
S66x8/62-105,-406.4300439459
S66x8/62-110,-406.4302034953
S66x8/62-125,-406.4300437194
S66x8/62-150,-406.4295980944
S66x8/62-200,-406.4295100223
S66x8/63-A,-231.8983307382
S66x8/63-B,-228.8016995086
S66x8/63-090,0
S66x8/63-095,-460.6996086148
S66x8/63-100,-460.7008390324
S66x8/63-105,-460.7013734303
S66x8/63-110,-460.7015254208
S66x8/63-125,-460.701185799
S66x8/63-150,-460.7005110792
S66x8/63-200,-460.7001764297
S66x8/64-A,-248.1952573513
S66x8/64-B,-78.4740000947
S66x8/64-090,-326.668589872
S66x8/64-095,-326.6697333979
S66x8/64-100,-326.6703139
S66x8/64-105,-326.6705436917
S66x8/64-110,-326.6705869013
S66x8/64-125,-326.6702236948
S66x8/64-150,-326.6695992661
S66x8/64-200,-326.6692993654
S66x8/65-A,-247.9174918335
S66x8/65-B,-77.2127111823
S66x8/65-090,-325.1346189835
S66x8/65-095,-325.1353022015
S66x8/65-100,-325.1355285624
S66x8/65-105,-325.1354695662
S66x8/65-110,-325.1352437171
S66x8/65-125,-325.1342082285
S66x8/65-150,-325.1327015503
S66x8/65-200,-325.1314048271
S66x8/66-A,-95.7325041394
S66x8/66-B,-247.917480878
S66x8/66-090,-343.6506680926
S66x8/66-095,-343.6518407549
S66x8/66-100,-343.6524370583
S66x8/66-105,-343.6526745864
S66x8/66-110,-343.6526904503
S66x8/66-125,-343.6521686286
S66x8/66-150,-343.6511750129
S66x8/66-200,-343.6504098345
NCIBLIND10/01-A,-231.8967664443
NCIBLIND10/01-B,-40.4618713587
NCIBLIND10/01-1,-272.3545513007
NCIBLIND10/01-2,-272.3585320757
NCIBLIND10/01-3,-272.3587307824
NCIBLIND10/01-4,-272.35863817
NCIBLIND10/01-5,-272.3586378551
NCIBLIND10/01-6,-272.3586442471
