system,BPBE/def2-QZVP/ORCA
S22x5/20-A,-414.8431867921
S22x5/20-B,-414.843186792
S22x5/20-0.9,-829.6720374552
S22x5/20-1.0,-829.6835056221
S22x5/20-1.2,-829.6878391877
S22x5/20-1.5,-829.6879865963
S22x5/20-2.0,-829.6871811152
S22x5/21-A,-414.8425981457
S22x5/21-B,-414.8425981456
S22x5/21-0.9,-829.707388711
S22x5/21-1.0,-829.7101977639
S22x5/21-1.2,-829.7061276112
S22x5/21-1.5,-829.6979064633
S22x5/21-2.0,-829.6910226277
S22x5/22-A,-232.2221727663
S22x5/22-B,-93.4243195837
S22x5/22-0.9,-325.6461604196
S22x5/22-1.0,-325.6479692485
S22x5/22-1.2,-325.6486041554
S22x5/22-1.5,-325.6481515454
S22x5/22-2.0,-325.6474304641
S66x8/01-A,-76.4399879555
S66x8/01-B,-76.4400349223
S66x8/01-090,-152.8852662785
S66x8/01-095,-152.8858167619
S66x8/01-100,-152.8859230014
S66x8/01-105,-152.8857666289
S66x8/01-110,-152.8854658447
S66x8/01-125,-152.8843232476
S66x8/01-150,-152.8827988748
S66x8/01-200,-152.881362586
S66x8/02-A,-76.4399903956
S66x8/02-B,-115.7275407124
S66x8/02-090,-192.172402179
S66x8/02-095,-192.1731287344
S66x8/02-100,-192.1733459647
S66x8/02-105,-192.1732549877
S66x8/02-110,-192.1729879845
S66x8/02-125,-192.1718522853
S66x8/02-150,-192.170286651
S66x8/02-200,-192.1688285886
S66x8/03-A,-76.4399847265
S66x8/03-B,-95.8547800999
S66x8/03-090,-172.3032809013
S66x8/03-095,-172.3038574805
S66x8/03-100,-172.3038746094
S66x8/03-105,-172.3035497378
S66x8/03-110,-172.3030322984
S66x8/03-125,-172.3011404469
S66x8/03-150,-172.2986118635
S66x8/03-200,-172.2963672498
S66x8/04-A,-76.4399879379
S66x8/04-B,-248.5240812534
S66x8/04-090,-324.9713918175
S66x8/04-095,-324.972224996
S66x8/04-100,-324.9724603655
S66x8/04-105,-324.9723241675
S66x8/04-110,-324.9719700176
S66x8/04-125,-324.9704642776
S66x8/04-150,-324.9682992685
S66x8/04-200,-324.9659477428
S66x8/05-A,-115.7274893969
S66x8/05-B,-115.7275679042
S66x8/05-090,-231.4594418004
S66x8/05-095,-231.4602950813
S66x8/05-100,-231.4606068604
S66x8/05-105,-231.4605844811
S66x8/05-110,-231.4603664524
S66x8/05-125,-231.4593064947
S66x8/05-150,-231.4577649768
S66x8/05-200,-231.4562929444
S66x8/06-A,-115.727370616
S66x8/06-B,-95.8547660927
S66x8/06-090,-211.5892376863
S66x8/06-095,-211.5902246224
S66x8/06-100,-211.5905345212
S66x8/06-105,-211.5904285874
S66x8/06-110,-211.590077116
S66x8/06-125,-211.5884335557
S66x8/06-150,-211.5860072365
S66x8/06-200,-211.583753597
S66x8/07-A,-115.7274892085
S66x8/07-B,-248.523637209
S66x8/07-090,-364.2577813123
S66x8/07-095,-364.2587820642
S66x8/07-100,-364.2591343086
S66x8/07-105,-364.2590810505
S66x8/07-110,-364.2587868404
S66x8/07-125,-364.2573609588
S66x8/07-150,-364.2548906529
S66x8/07-200,-364.2524642277
S66x8/08-A,-115.727475502
S66x8/08-B,-76.4400373248
S66x8/08-090,-192.1722468422
S66x8/08-095,-192.1729128819
S66x8/08-100,-192.1731056138
S66x8/08-105,-192.1730131114
S66x8/08-110,-192.1727589417
S66x8/08-125,-192.1716901569
S66x8/08-150,-192.1701995178
S66x8/08-200,-192.1687759348
S66x8/09-A,-95.8547356907
S66x8/09-B,-115.7275321305
S66x8/09-090,-211.5819379048
S66x8/09-095,-211.5827742
S66x8/09-100,-211.583232606
S66x8/09-105,-211.5834571402
S66x8/09-110,-211.5835507159
S66x8/09-125,-211.5834810737
S66x8/09-150,-211.5831790473
S66x8/09-200,-211.5827774305
S66x8/10-A,-95.8548494562
S66x8/10-B,-95.8547857421
S66x8/10-090,-191.7095931193
S66x8/10-095,-191.710646962
S66x8/10-100,-191.7112007446
S66x8/10-105,-191.711443239
S66x8/10-110,-191.711495181
S66x8/10-125,-191.7112245474
S66x8/10-150,-191.7105770944
S66x8/10-200,-191.7100431282
S66x8/11-A,-95.8547478619
S66x8/11-B,-248.5237883867
S66x8/11-090,-344.3779970317
S66x8/11-095,-344.3792446344
S66x8/11-100,-344.3799443075
S66x8/11-105,-344.3803129737
S66x8/11-110,-344.3804727926
S66x8/11-125,-344.3801632066
S66x8/11-150,-344.3795555076
S66x8/11-200,-344.379057995
S66x8/12-A,-95.8547308015
S66x8/12-B,-76.4400983136
S66x8/12-090,-172.3024217151
S66x8/12-095,-172.3032239647
S66x8/12-100,-172.303394522
S66x8/12-105,-172.303174257
S66x8/12-110,-172.3027280269
S66x8/12-125,-172.3009522054
S66x8/12-150,-172.2985120152
S66x8/12-200,-172.2963354854
S66x8/13-A,-248.5236842816
S66x8/13-B,-115.7275490087
S66x8/13-090,-364.253425736
S66x8/13-095,-364.2545348978
S66x8/13-100,-364.2551034691
S66x8/13-105,-364.2553352604
S66x8/13-110,-364.2553557724
S66x8/13-125,-364.2548820684
S66x8/13-150,-364.2539069076
S66x8/13-200,-364.2527607188
S66x8/14-A,-248.5235592498
S66x8/14-B,-95.8547796682
S66x8/14-090,-344.3828362707
S66x8/14-095,-344.3840025399
S66x8/14-100,-344.3845373724
S66x8/14-105,-344.3846705066
S66x8/14-110,-344.3845544938
S66x8/14-125,-344.3835660721
S66x8/14-150,-344.3818538617
S66x8/14-200,-344.3800829467
S66x8/15-A,-248.5240187542
S66x8/15-B,-248.5240168029
S66x8/15-090,-497.0521491661
S66x8/15-095,-497.0534192126
S66x8/15-100,-497.0540523536
S66x8/15-105,-497.0542856632
S66x8/15-110,-497.0542697462
S66x8/15-125,-497.0535361669
S66x8/15-150,-497.0520163385
S66x8/15-200,-497.0500801173
S66x8/16-A,-248.5241268441
S66x8/16-B,-76.4400336711
S66x8/16-090,-324.9675435558
S66x8/16-095,-324.9683670876
S66x8/16-100,-324.9687291728
S66x8/16-105,-324.9688070727
S66x8/16-110,-324.9687159775
S66x8/16-125,-324.9680626736
S66x8/16-150,-324.9669630151
S66x8/16-200,-324.965718791
S66x8/17-A,-414.8428256724
S66x8/17-B,-414.8429252935
S66x8/17-090,-829.7035903721
S66x8/17-095,-829.705456187
S66x8/17-100,-829.7059672544
S66x8/17-105,-829.7056266343
S66x8/17-110,-829.7047779698
S66x8/17-125,-829.7010904541
S66x8/17-150,-829.6954401898
S66x8/17-200,-829.6898522593
S66x8/18-A,-76.4399924457
S66x8/18-B,-248.2662876676
S66x8/18-090,-324.7140500077
S66x8/18-095,-324.7146946215
S66x8/18-100,-324.7147756562
S66x8/18-105,-324.7145112936
S66x8/18-110,-324.7140512221
S66x8/18-125,-324.7123177516
S66x8/18-150,-324.7099840377
S66x8/18-200,-324.707891412
S66x8/19-A,-115.7273756282
S66x8/19-B,-248.2662817492
S66x8/19-090,-364.000632886
S66x8/19-095,-364.0015428586
S66x8/19-100,-364.0018135832
S66x8/19-105,-364.0016800807
S66x8/19-110,-364.0013965927
S66x8/19-125,-363.9996651095
S66x8/19-150,-363.9973842066
S66x8/19-200,-363.9951850567
S66x8/20-A,-229.1018484466
S66x8/20-B,-229.1018554509
S66x8/20-090,-458.2271365739
S66x8/20-095,-458.2291039584
S66x8/20-100,-458.229483401
S66x8/20-105,-458.2288593233
S66x8/20-110,-458.227636252
S66x8/20-125,-458.2225494125
S66x8/20-150,-458.2152257649
S66x8/20-200,-458.2082611574
S66x8/21-A,-209.2245086893
S66x8/21-B,-209.2245101611
S66x8/21-090,-418.4666886571
S66x8/21-095,-418.4684364608
S66x8/21-100,-418.4688952526
S66x8/21-105,-418.4685385694
S66x8/21-110,-418.4676937366
S66x8/21-125,-418.4641026362
S66x8/21-150,-418.4588150376
S66x8/21-200,-418.4530809625
S66x8/22-A,-229.1017793592
S66x8/22-B,-414.8426435613
S66x8/22-090,-643.9669519616
S66x8/22-095,-643.9689070646
S66x8/22-100,-643.9693886563
S66x8/22-105,-643.9689227394
S66x8/22-110,-643.9678750055
S66x8/22-125,-643.9633728377
S66x8/22-150,-643.9565311136
S66x8/22-200,-643.9496988091
S66x8/23-A,-209.224371081
S66x8/23-B,-414.8426139412
S66x8/23-090,-624.0884117737
S66x8/23-095,-624.0902965849
S66x8/23-100,-624.0908566922
S66x8/23-105,-624.0905562941
S66x8/23-110,-624.0897179819
S66x8/23-125,-624.085852273
S66x8/23-150,-624.0796588478
S66x8/23-200,-624.0731008895
S66x8/24-A,-232.222134882
S66x8/24-B,-232.2221750799
S66x8/24-090,-464.4282509587
S66x8/24-095,-464.4333416023
S66x8/24-100,-464.4365632792
S66x8/24-105,-464.438654433
S66x8/24-110,-464.4399909737
S66x8/24-125,-464.4422427938
S66x8/24-150,-464.4436546743
S66x8/24-200,-464.4442050891
S66x8/25-A,-248.2663325773
S66x8/25-B,-248.2663473188
S66x8/25-090,-496.5177261526
S66x8/25-095,-496.5228441054
S66x8/25-100,-496.526004421
S66x8/25-105,-496.5279939911
S66x8/25-110,-496.5293146439
S66x8/25-125,-496.5313139095
S66x8/25-150,-496.5324874152
S66x8/25-200,-496.5327723163
S66x8/26-A,-414.8431878546
S66x8/26-B,-414.8431878546
S66x8/26-090,-829.6748756911
S66x8/26-095,-829.6802932439
S66x8/26-100,-829.6835079487
S66x8/26-105,-829.6853995225
S66x8/26-110,-829.686504128
S66x8/26-125,-829.6878424408
S66x8/26-150,-829.6880380413
S66x8/26-200,-829.6873822254
S66x8/27-A,-232.2221593164
S66x8/27-B,-248.266342773
S66x8/27-090,-480.4727600336
S66x8/27-095,-480.4781479643
S66x8/27-100,-480.4813921652
S66x8/27-105,-480.4834782572
S66x8/27-110,-480.4848034326
S66x8/27-125,-480.4868428537
S66x8/27-150,-480.4880977491
S66x8/27-200,-480.488488281
S66x8/28-A,-232.2221612879
S66x8/28-B,-414.8436073745
S66x8/28-090,-647.0502821391
S66x8/28-095,-647.0554997144
S66x8/28-100,-647.0587090216
S66x8/28-105,-647.0608277133
S66x8/28-110,-647.0621737182
S66x8/28-125,-647.0641618203
S66x8/28-150,-647.0652950313
S66x8/28-200,-647.0656629501
S66x8/29-A,-248.2663320296
S66x8/29-B,-414.8435451179
S66x8/29-090,-663.0940689147
S66x8/29-095,-663.1008177967
S66x8/29-100,-663.104636157
S66x8/29-105,-663.1068669342
S66x8/29-110,-663.1081339058
S66x8/29-125,-663.1098652082
S66x8/29-150,-663.1105200438
S66x8/29-200,-663.1103027188
S66x8/30-A,-232.2221572208
S66x8/30-B,-78.5775502946
S66x8/30-090,-310.7902467536
S66x8/30-095,-310.7929343345
S66x8/30-100,-310.7946432977
S66x8/30-105,-310.7957813087
S66x8/30-110,-310.796567273
S66x8/30-125,-310.7979847894
S66x8/30-150,-310.7990237984
S66x8/30-200,-310.7995524185
S66x8/31-A,-414.8435955904
S66x8/31-B,-78.5776493371
S66x8/31-090,-493.4135626532
S66x8/31-095,-493.4160685631
S66x8/31-100,-493.4176596566
S66x8/31-105,-493.4187094028
S66x8/31-110,-493.4194180592
S66x8/31-125,-493.4205594084
S66x8/31-150,-493.4211831666
S66x8/31-200,-493.421307176
S66x8/32-A,-414.8435141262
S66x8/32-B,-77.3230867887
S66x8/32-090,-492.1603868147
S66x8/32-095,-492.1628478537
S66x8/32-100,-492.1643355305
S66x8/32-105,-492.1652418304
S66x8/32-110,-492.1657951948
S66x8/32-125,-492.166540841
S66x8/32-150,-492.1668143376
S66x8/32-200,-492.1667084346
S66x8/33-A,-248.2663257425
S66x8/33-B,-78.5774972597
S66x8/33-090,-326.8353608783
S66x8/33-095,-326.8377447588
S66x8/33-100,-326.8393061877
S66x8/33-105,-326.8403613442
S66x8/33-110,-326.8410995722
S66x8/33-125,-326.8423942401
S66x8/33-150,-326.8433195931
S66x8/33-200,-326.8437746876
S66x8/34-A,-197.7311386243
S66x8/34-B,-197.7309414813
S66x8/34-090,-395.4483556846
S66x8/34-095,-395.451868629
S66x8/34-100,-395.4541694127
S66x8/34-105,-395.4559551731
S66x8/34-110,-395.4573088512
S66x8/34-125,-395.4594578605
S66x8/34-150,-395.4610729869
S66x8/34-200,-395.461910645
S66x8/35-A,-197.7310637996
S66x8/35-B,-197.7317858476
S66x8/35-090,-395.4532956417
S66x8/35-095,-395.4561364296
S66x8/35-100,-395.4578324632
S66x8/35-105,-395.4588279267
S66x8/35-110,-395.4596563008
S66x8/35-125,-395.461209573
S66x8/35-150,-395.462333775
S66x8/35-200,-395.4628650131
S66x8/36-A,-197.7318292568
S66x8/36-B,-197.7319272267
S66x8/36-090,-395.4570294235
S66x8/36-095,-395.4587170409
S66x8/36-100,-395.459834355
S66x8/36-105,-395.4605931592
S66x8/36-110,-395.4612076921
S66x8/36-125,-395.462321861
S66x8/36-150,-395.4631399964
S66x8/36-200,-395.4635355089
S66x8/37-A,-196.5229251922
S66x8/37-B,-197.7316033501
S66x8/37-090,-394.245336998
S66x8/37-095,-394.247934012
S66x8/37-100,-394.2496064748
S66x8/37-105,-394.2507796114
S66x8/37-110,-394.2516154199
S66x8/37-125,-394.2531146561
S66x8/37-150,-394.2542044466
S66x8/37-200,-394.254758737
S66x8/38-A,-196.5228334859
S66x8/38-B,-196.5228368231
S66x8/38-090,-393.0355926794
S66x8/38-095,-393.0381226618
S66x8/38-100,-393.0399208024
S66x8/38-105,-393.0411575146
S66x8/38-110,-393.0421816417
S66x8/38-125,-393.0437812083
S66x8/38-150,-393.0449797043
S66x8/38-200,-393.0455803841
S66x8/39-A,-232.2221686041
S66x8/39-B,-196.5228512213
S66x8/39-090,-428.733275511
S66x8/39-095,-428.736844683
S66x8/39-100,-428.7391939571
S66x8/39-105,-428.7407590715
S66x8/39-110,-428.7417899908
S66x8/39-125,-428.7434568663
S66x8/39-150,-428.744532257
S66x8/39-200,-428.7449899142
S66x8/40-A,-232.2221759478
S66x8/40-B,-197.732027999
S66x8/40-090,-429.9446359666
S66x8/40-095,-429.9476159972
S66x8/40-100,-429.9494409297
S66x8/40-105,-429.9506520714
S66x8/40-110,-429.9514889654
S66x8/40-125,-429.9528331465
S66x8/40-150,-429.9536475598
S66x8/40-200,-429.9539657722
S66x8/41-A,-414.8436760908
S66x8/41-B,-197.7310672293
S66x8/41-090,-612.5613813289
S66x8/41-095,-612.5651305341
S66x8/41-100,-612.5675741972
S66x8/41-105,-612.5692800038
S66x8/41-110,-612.5707020721
S66x8/41-125,-612.5729126705
S66x8/41-150,-612.5742660757
S66x8/41-200,-612.5747076282
S66x8/42-A,-414.843689255
S66x8/42-B,-196.5228545472
S66x8/42-090,-611.3538125364
S66x8/42-095,-611.3575617338
S66x8/42-100,-611.3599751729
S66x8/42-105,-611.3616120023
S66x8/42-110,-611.362743607
S66x8/42-125,-611.3646672935
S66x8/42-150,-611.3659628115
S66x8/42-200,-611.3664949353
S66x8/43-A,-414.8436298733
S66x8/43-B,-197.7315586137
S66x8/43-090,-612.5657624739
S66x8/43-095,-612.5688183866
S66x8/43-100,-612.5707295168
S66x8/43-105,-612.5720201276
S66x8/43-110,-612.5728841627
S66x8/43-125,-612.5743270315
S66x8/43-150,-612.5752120371
S66x8/43-200,-612.5755229796
S66x8/44-A,-78.5775605259
S66x8/44-B,-197.7312290509
S66x8/44-090,-276.3021381451
S66x8/44-095,-276.3037895965
S66x8/44-100,-276.3048011295
S66x8/44-105,-276.305586627
S66x8/44-110,-276.3062197051
S66x8/44-125,-276.3073790715
S66x8/44-150,-276.3082399206
S66x8/44-200,-276.3086385537
S66x8/45-A,-77.3230732134
S66x8/45-B,-197.7310396301
S66x8/45-090,-275.0473542118
S66x8/45-095,-275.0492525222
S66x8/45-100,-275.0504909348
S66x8/45-105,-275.0513562876
S66x8/45-110,-275.0519771496
S66x8/45-125,-275.0530254771
S66x8/45-150,-275.0536761475
S66x8/45-200,-275.0538923577
S66x8/46-A,-248.5241411483
S66x8/46-B,-197.7308820407
S66x8/46-090,-446.2448283318
S66x8/46-095,-446.2473056602
S66x8/46-100,-446.2490574898
S66x8/46-105,-446.2503725057
S66x8/46-110,-446.2513569801
S66x8/46-125,-446.2530681469
S66x8/46-150,-446.2545800935
S66x8/46-200,-446.2551909763
S66x8/47-A,-232.2221710652
S66x8/47-B,-232.2221980432
S66x8/47-090,-464.4361606647
S66x8/47-095,-464.4389922106
S66x8/47-100,-464.4407455404
S66x8/47-105,-464.4417983593
S66x8/47-110,-464.4424865357
S66x8/47-125,-464.4435477714
S66x8/47-150,-464.4441710979
S66x8/47-200,-464.4443657417
S66x8/48-A,-248.2663481454
S66x8/48-B,-248.2663514195
S66x8/48-090,-496.5260015229
S66x8/48-095,-496.5284211793
S66x8/48-100,-496.5299094901
S66x8/48-105,-496.5308386996
S66x8/48-110,-496.5314497305
S66x8/48-125,-496.5323524857
S66x8/48-150,-496.5328291819
S66x8/48-200,-496.5328878906
S66x8/49-A,-232.2221774744
S66x8/49-B,-248.2663224127
S66x8/49-090,-480.4810627867
S66x8/49-095,-480.4838566592
S66x8/49-100,-480.4855750007
S66x8/49-105,-480.4866014178
S66x8/49-110,-480.4872411042
S66x8/49-125,-480.4881857052
S66x8/49-150,-480.4886553149
S66x8/49-200,-480.4886902764
S66x8/50-A,-232.2221631001
S66x8/50-B,-77.3231342111
S66x8/50-090,-309.5412138912
S66x8/50-095,-309.5431958028
S66x8/50-100,-309.544327454
S66x8/50-105,-309.544957244
S66x8/50-110,-309.5452943778
S66x8/50-125,-309.5456894586
S66x8/50-150,-309.5457516867
S66x8/50-200,-309.5455396553
S66x8/51-A,-77.3230808446
S66x8/51-B,-77.3231327217
S66x8/51-090,-154.6453680435
S66x8/51-095,-154.6460355934
S66x8/51-100,-154.6463885808
S66x8/51-105,-154.6465660534
S66x8/51-110,-154.6466441535
S66x8/51-125,-154.6466417397
S66x8/51-150,-154.6465056754
S66x8/51-200,-154.6463160562
S66x8/52-A,-232.2221576736
S66x8/52-B,-229.1035702699
S66x8/52-090,-461.3232293807
S66x8/52-095,-461.3250343858
S66x8/52-100,-461.3260722143
S66x8/52-105,-461.3266184714
S66x8/52-110,-461.3268906993
S66x8/52-125,-461.3270049196
S66x8/52-150,-461.3267074819
S66x8/52-200,-461.3262035926
S66x8/53-A,-232.2221443232
S66x8/53-B,-209.2251816447
S66x8/53-090,-441.4453356204
S66x8/53-095,-441.4467675355
S66x8/53-100,-441.4476047465
S66x8/53-105,-441.4480821938
S66x8/53-110,-441.4483394151
S66x8/53-125,-441.4484750496
S66x8/53-150,-441.4482294088
S66x8/53-200,-441.4477341712
S66x8/54-A,-232.222169687
S66x8/54-B,-76.4399684335
S66x8/54-090,-308.6611923432
S66x8/54-095,-308.6623997465
S66x8/54-100,-308.6630438589
S66x8/54-105,-308.6633724948
S66x8/54-110,-308.6635085596
S66x8/54-125,-308.6634762407
S66x8/54-150,-308.6631536509
S66x8/54-200,-308.6626228902
S66x8/55-A,-232.2221730598
S66x8/55-B,-115.7274992294
S66x8/55-090,-347.9460702451
S66x8/55-095,-347.9479102563
S66x8/55-100,-347.9490129383
S66x8/55-105,-347.9496455013
S66x8/55-110,-347.9500143627
S66x8/55-125,-347.9504427472
S66x8/55-150,-347.9504630633
S66x8/55-200,-347.9501342853
S66x8/56-A,-232.2221688791
S66x8/56-B,-95.8547128256
S66x8/56-090,-328.0711586839
S66x8/56-095,-328.0731563622
S66x8/56-100,-328.074450822
S66x8/56-105,-328.0753128996
S66x8/56-110,-328.0758709722
S66x8/56-125,-328.0767038587
S66x8/56-150,-328.0771167665
S66x8/56-200,-328.0771097858
S66x8/57-A,-232.2221851835
S66x8/57-B,-248.5240683088
S66x8/57-090,-480.7385351246
S66x8/57-095,-480.7420530933
S66x8/57-100,-480.7441440207
S66x8/57-105,-480.7453844319
S66x8/57-110,-480.7460633989
S66x8/57-125,-480.7469146168
S66x8/57-150,-480.7470955228
S66x8/57-200,-480.7468048064
S66x8/58-A,-248.2663427318
S66x8/58-B,-248.2663158398
S66x8/58-090,-496.529962713
S66x8/58-095,-496.5320642232
S66x8/58-100,-496.5334268573
S66x8/58-105,-496.5338495822
S66x8/58-110,-496.5339119543
S66x8/58-125,-496.5336480743
S66x8/58-150,-496.5332572174
S66x8/58-200,-496.5328809548
S66x8/59-A,-77.3231781199
S66x8/59-B,-76.4400209858
S66x8/59-090,-153.7643668935
S66x8/59-095,-153.764931197
S66x8/59-100,-153.7651667771
S66x8/59-105,-153.7652079778
S66x8/59-110,-153.765142785
S66x8/59-125,-153.764711859
S66x8/59-150,-153.7640377776
S66x8/59-200,-153.7632929552
S66x8/60-A,-77.3231034725
S66x8/60-B,-229.1035494838
S66x8/60-090,-306.4288964724
S66x8/60-095,-306.429876097
S66x8/60-100,-306.4302605303
S66x8/60-105,-306.4302960921
S66x8/60-110,-306.4301450283
S66x8/60-125,-306.4293252023
S66x8/60-150,-306.4282065836
S66x8/60-200,-306.4272666285
S66x8/61-A,-197.7309804986
S66x8/61-B,-229.1036071991
S66x8/61-090,-426.8273022195
S66x8/61-095,-426.8288690614
S66x8/61-100,-426.8300525131
S66x8/61-105,-426.830956404
S66x8/61-110,-426.8316417293
S66x8/61-125,-426.8329150031
S66x8/61-150,-426.8341115047
S66x8/61-200,-426.8346112988
S66x8/62-A,-197.7310999634
S66x8/62-B,-209.2251599457
S66x8/62-090,-406.9484193018
S66x8/62-095,-406.9503802216
S66x8/62-100,-406.9517550732
S66x8/62-105,-406.9527634271
S66x8/62-110,-406.9534961592
S66x8/62-125,-406.9547961523
S66x8/62-150,-406.9557996498
S66x8/62-200,-406.9562751599
S66x8/63-A,-232.2221484113
S66x8/63-B,-229.1035742996
S66x8/63-090,-461.3174550961
S66x8/63-095,-461.320447883
S66x8/63-100,-461.3222208106
S66x8/63-105,-461.3233431395
S66x8/63-110,-461.3241083137
S66x8/63-125,-461.3252179605
S66x8/63-150,-461.3258098804
S66x8/63-200,-461.325878968
S66x8/64-A,-248.524018759
S66x8/64-B,-78.5776574372
S66x8/64-090,-327.0968429687
S66x8/64-095,-327.0983230409
S66x8/64-100,-327.0993056209
S66x8/64-105,-327.0999574166
S66x8/64-110,-327.1003927121
S66x8/64-125,-327.1011072819
S66x8/64-150,-327.1015745784
S66x8/64-200,-327.101646734
S66x8/65-A,-248.2663207411
S66x8/65-B,-77.3228473914
S66x8/65-090,-325.5921847052
S66x8/65-095,-325.5928130369
S66x8/65-100,-325.5930375778
S66x8/65-105,-325.5930187187
S66x8/65-110,-325.5928610195
S66x8/65-125,-325.5921181025
S66x8/65-150,-325.5910736685
S66x8/65-200,-325.5900944993
S66x8/66-A,-95.8546212121
S66x8/66-B,-248.2663153828
S66x8/66-090,-344.1176946741
S66x8/66-095,-344.119087897
S66x8/66-100,-344.1199756535
S66x8/66-105,-344.1205358112
S66x8/66-110,-344.1208856287
S66x8/66-125,-344.1213543951
