system,DSDSVWN/def2-QZVP/ORCA
S66x8/04-125,-323.8275253251
S66x8/04-150,-323.8241144235
S66x8/04-200,-323.820402091
S66x8/05-A,-115.3268569236
S66x8/05-B,-115.3269379859
S66x8/05-090,-230.6624393511
S66x8/05-095,-230.6630068016
S66x8/05-100,-230.6630276768
S66x8/05-105,-230.6627150624
S66x8/05-110,-230.6622125274
S66x8/05-125,-230.6603519064
S66x8/05-150,-230.6577764031
S66x8/05-200,-230.6553866678
S66x8/06-A,-115.3266373477
S66x8/06-B,-95.4863268652
S66x8/06-090,-210.8240777866
S66x8/06-095,-210.8248294517
S66x8/06-100,-210.8249060252
S66x8/06-105,-210.8245578164
S66x8/06-110,-210.8239570194
S66x8/06-125,-210.8216222212
S66x8/06-150,-210.8182318406
S66x8/06-200,-210.8149831162
S66x8/07-A,-115.3267370295
S66x8/07-B,-247.6162501266
S66x8/07-090,-362.9550083797
S66x8/07-095,-362.9557472957
S66x8/07-100,-362.9558226664
S66x8/07-105,-362.9554763194
S66x8/07-110,-362.9548766832
S66x8/07-125,-362.9525265336
S66x8/07-150,-362.9485850198
S66x8/07-200,-362.9446786613
S66x8/08-A,-115.3268820583
S66x8/08-B,-76.2020273387
S66x8/08-090,-191.5368062955
S66x8/08-095,-191.5372807285
S66x8/08-100,-191.5372687645
S66x8/08-105,-191.5369644217
S66x8/08-110,-191.5364969116
S66x8/08-125,-191.5348117236
S66x8/08-150,-191.5325230071
S66x8/08-200,-191.5304113035
S66x8/09-A,-95.4862694923
S66x8/09-B,-115.3269493686
S66x8/09-090,-210.8173080015
S66x8/09-095,-210.8176853104
S66x8/09-100,-210.8177002907
S66x8/09-105,-210.8175083059
S66x8/09-110,-210.8172085332
S66x8/09-125,-210.8161693301
S66x8/09-150,-210.8148910379
S66x8/09-200,-210.8138627004
S66x8/10-A,-95.4863002759
S66x8/10-B,-95.4863034613
S66x8/10-090,-190.9778554737
S66x8/10-095,-190.9785184094
S66x8/10-100,-190.978647528
S66x8/10-105,-190.9784565814
S66x8/10-110,-190.9780891704
S66x8/10-125,-190.976687124
S66x8/10-150,-190.9745209703
S66x8/10-200,-190.9731857148
S66x8/11-A,-95.4861364363
S66x8/11-B,-247.6163932959
S66x8/11-090,-343.1093341748
S66x8/11-095,-343.1100557509
S66x8/11-100,-343.1102117059
S66x8/11-105,-343.1100184315
S66x8/11-110,-343.1096233046
S66x8/11-125,-343.1071924793
S66x8/11-150,-343.1046451822
S66x8/11-200,-343.1033193263
S66x8/12-A,-95.4862920359
S66x8/12-B,-76.2016606777
S66x8/12-090,-171.6993321629
S66x8/12-095,-171.6999694348
S66x8/12-100,-171.6999632328
S66x8/12-105,-171.6995567271
S66x8/12-110,-171.6989168981
S66x8/12-125,-171.6965436379
S66x8/12-150,-171.6932099681
S66x8/12-200,-171.6900840637
S66x8/13-A,-247.6163531474
S66x8/13-B,-115.3269503391
S66x8/13-090,-362.9518225491
S66x8/13-095,-362.9525057828
S66x8/13-100,-362.9526269312
S66x8/13-105,-362.9523988884
S66x8/13-110,-362.951966144
S66x8/13-125,-362.9502453565
S66x8/13-150,-362.9477555535
S66x8/13-200,-362.9453171002
S66x8/14-A,-247.6161598295
S66x8/14-B,-95.4862938756
S66x8/14-090,-343.1126406019
S66x8/14-095,-343.1134948196
S66x8/14-100,-343.1136896217
S66x8/14-105,-343.1134629498
S66x8/14-110,-343.1129798718
S66x8/14-125,-343.1109457341
S66x8/14-150,-343.1078499428
S66x8/14-200,-343.1047563533
S66x8/15-A,-247.6161412511
S66x8/15-B,-247.6162331039
S66x8/15-090,-495.2439556662
S66x8/15-095,-495.244798965
S66x8/15-100,-495.2449838617
S66x8/15-105,-495.2447452336
S66x8/15-110,-495.2442462905
S66x8/15-125,-495.2421327054
S66x8/15-150,-495.2388483871
S66x8/15-200,-495.2350304149
S66x8/16-A,-247.6162990042
S66x8/16-B,-76.2020299155
S66x8/16-090,-323.8259531011
S66x8/16-095,-323.8264830359
S66x8/16-100,-323.8265351486
S66x8/16-105,-323.8262969123
S66x8/16-110,-323.8258931745
S66x8/16-125,-323.8243691033
S66x8/16-150,-323.8222350937
S66x8/16-200,-323.820165562
S66x8/17-A,-413.3805735487
S66x8/17-B,-413.3807162216
S66x8/17-090,-826.7858918547
S66x8/17-095,-826.7876419842
S66x8/17-100,-826.7879762509
S66x8/17-105,-826.7873908721
S66x8/17-110,-826.7862355402
S66x8/17-125,-826.7814148588
S66x8/17-150,-826.7739391407
S66x8/17-200,-826.7663288954
S66x8/18-A,-76.2020390449
S66x8/18-B,-247.2904962899
S66x8/18-090,-323.5030600529
S66x8/18-095,-323.5036099792
S66x8/18-100,-323.5035702045
S66x8/18-105,-323.5031656284
S66x8/18-110,-323.5025505964
S66x8/18-125,-323.5003075801
S66x8/18-150,-323.4971863556
S66x8/18-200,-323.4942683111
S66x8/19-A,-115.3266474087
S66x8/19-B,-247.2904902553
S66x8/19-090,-362.627890248
S66x8/19-095,-362.6286502271
S66x8/19-100,-362.628746467
S66x8/19-105,-362.6284224157
S66x8/19-110,-362.6278656018
S66x8/19-125,-362.6255804936
S66x8/19-150,-362.6222659844
S66x8/19-200,-362.6190451134
S66x8/20-A,-228.3227620552
S66x8/20-B,-228.3227612699
S66x8/20-090,-456.6745069343
S66x8/20-095,-456.6763283154
S66x8/20-100,-456.6765525706
S66x8/20-105,-456.6757523956
S66x8/20-110,-456.6743274597
S66x8/20-125,-456.6686430934
S66x8/20-150,-456.6599608355
S66x8/20-200,-456.6511179123
S66x8/21-A,-208.4771458892
S66x8/21-B,-208.4771491798
S66x8/21-090,-416.978171924
S66x8/21-095,-416.9797570828
S66x8/21-100,-416.9800062033
S66x8/21-105,-416.9793972908
S66x8/21-110,-416.9782656426
S66x8/21-125,-416.9736708601
S66x8/21-150,-416.9667085634
S66x8/21-200,-416.9590139738
S66x8/22-A,-228.3226829621
S66x8/22-B,-413.3804561198
S66x8/22-090,-641.7320531603
S66x8/22-095,-641.7338657628
S66x8/22-100,-641.7341650983
S66x8/22-105,-641.7334780487
S66x8/22-110,-641.7321769801
S66x8/22-125,-641.7267943408
S66x8/22-150,-641.7183828025
S66x8/22-200,-641.7095263084
S66x8/23-A,-208.4770537355
S66x8/23-B,-413.3803084674
S66x8/23-090,-621.8854803754
S66x8/23-095,-621.887217189
S66x8/23-100,-621.8875727674
S66x8/23-105,-621.8870154958
S66x8/23-110,-621.8858793917
S66x8/23-125,-621.8810060609
S66x8/23-150,-621.8731594364
S66x8/23-200,-621.8645788496
S66x8/24-A,-231.2797298513
S66x8/24-B,-231.2797099111
S66x8/24-090,-462.5567535334
S66x8/24-095,-462.5601510507
S66x8/24-100,-462.5616115107
S66x8/24-105,-462.5620341034
S66x8/24-110,-462.5619605844
S66x8/24-125,-462.5609250396
S66x8/24-150,-462.559804217
S66x8/24-200,-462.5594247732
S66x8/25-A,-247.2904752032
S66x8/25-B,-247.2905020576
S66x8/25-090,-494.5801376389
S66x8/25-095,-494.5834595909
S66x8/25-100,-494.584888332
S66x8/25-105,-494.5852637014
S66x8/25-110,-494.5851040972
S66x8/25-125,-494.5837643788
S66x8/25-150,-494.582104804
S66x8/25-200,-494.5812531829
S66x8/26-A,-413.3810800808
S66x8/26-B,-413.3810800814
S66x8/26-090,-826.7699063598
S66x8/26-095,-826.7731008921
S66x8/26-100,-826.7741415666
S66x8/26-105,-826.7739895219
S66x8/26-110,-826.7732349988
S66x8/26-125,-826.7700386635
S66x8/26-150,-826.7662376717
S66x8/26-200,-826.7635184491
S66x8/27-A,-231.2797285281
S66x8/27-B,-247.2905108944
S66x8/27-090,-478.5683422602
S66x8/27-095,-478.5719162097
S66x8/27-100,-478.5734011288
S66x8/27-105,-478.5737745579
S66x8/27-110,-478.5736217742
S66x8/27-125,-478.5723880257
S66x8/27-150,-478.5709607587
S66x8/27-200,-478.570338811
S66x8/28-A,-231.2796363622
S66x8/28-B,-413.3816237066
S66x8/28-090,-644.6627878491
S66x8/28-095,-644.6660066838
S66x8/28-100,-644.6672717986
S66x8/28-105,-644.6674398266
S66x8/28-110,-644.6670446335
S66x8/28-125,-644.6650282067
S66x8/28-150,-644.6627304092
S66x8/28-200,-644.6614475126
S66x8/29-A,-247.2904605834
S66x8/29-B,-413.3816033553
S66x8/29-090,-660.6737832782
S66x8/29-095,-660.6782579324
S66x8/29-100,-660.6797997459
S66x8/29-105,-660.6798835633
S66x8/29-110,-660.6793027809
S66x8/29-125,-660.6768032531
S66x8/29-150,-660.6742030587
S66x8/29-200,-660.672638329
S66x8/30-A,-231.2797199803
S66x8/30-B,-78.2505028358
S66x8/30-090,-309.528830007
S66x8/30-095,-309.5304562581
S66x8/30-100,-309.5311355523
S66x8/30-105,-309.5313166903
S66x8/30-110,-309.5312535717
S66x8/30-125,-309.5307256585
S66x8/30-150,-309.5302301477
S66x8/30-200,-309.5301400525
S66x8/31-A,-413.3816565224
S66x8/31-B,-78.2504971516
S66x8/31-090,-491.6339974456
S66x8/31-095,-491.6353318326
S66x8/31-100,-491.6358056148
S66x8/31-105,-491.6358014725
S66x8/31-110,-491.6355562458
S66x8/31-125,-491.6344688802
S66x8/31-150,-491.6331942421
S66x8/31-200,-491.6323758535
S66x8/32-A,-413.38168777
S66x8/32-B,-77.0097675197
S66x8/32-090,-490.3938565375
S66x8/32-095,-490.3952932911
S66x8/32-100,-490.3957645155
S66x8/32-105,-490.3957077734
S66x8/32-110,-490.3953850653
S66x8/32-125,-490.3940588257
S66x8/32-150,-490.3925290157
S66x8/32-200,-490.3915447904
S66x8/33-A,-247.2905210115
S66x8/33-B,-78.25047999
S66x8/33-090,-325.5406839025
S66x8/33-095,-325.542073066
S66x8/33-100,-325.5426529653
S66x8/33-105,-325.5427836412
S66x8/33-110,-325.542685913
S66x8/33-125,-325.5420274211
S66x8/33-150,-325.5413116927
S66x8/33-200,-325.5410153134
S66x8/34-A,-196.9156576318
S66x8/34-B,-196.9156036423
S66x8/34-090,-393.832338052
S66x8/34-095,-393.8340205311
S66x8/34-100,-393.8346703176
S66x8/34-105,-393.8347705441
S66x8/34-110,-393.8345773301
S66x8/34-125,-393.8336260104
S66x8/34-150,-393.8324248535
S66x8/34-200,-393.8317142958
S66x8/35-A,-196.9156378137
S66x8/35-B,-196.9207506082
S66x8/35-090,-393.8367927478
S66x8/35-095,-393.8381820452
S66x8/35-100,-393.8386812107
S66x8/35-105,-393.8387394731
S66x8/35-110,-393.8385855771
S66x8/35-125,-393.8378923802
S66x8/35-150,-393.8370964444
S66x8/35-200,-393.836631399
S66x8/36-A,-196.9207729178
S66x8/36-B,-196.9207931297
S66x8/36-090,-393.841955449
S66x8/36-095,-393.8426328197
S66x8/36-100,-393.8429029132
S66x8/36-105,-393.8429392454
S66x8/36-110,-393.8428581901
S66x8/36-125,-393.8424376621
S66x8/36-150,-393.8419240199
S66x8/36-200,-393.8415962046
S66x8/37-A,-195.7183515359
S66x8/37-B,-196.9207279406
S66x8/37-090,-392.6391157146
S66x8/37-095,-392.6404955948
S66x8/37-100,-392.6410345196
S66x8/37-105,-392.6411549762
S66x8/37-110,-392.6410735331
S66x8/37-125,-392.6404865575
S66x8/37-150,-392.6397369187
S66x8/37-200,-392.6392595852
S66x8/38-A,-195.718336483
S66x8/38-B,-195.7183406438
S66x8/38-090,-391.4373108766
S66x8/38-095,-391.4386158654
S66x8/38-100,-391.4391940437
S66x8/38-105,-391.4392697158
S66x8/38-110,-391.4391097997
S66x8/38-125,-391.4382881712
S66x8/38-150,-391.4373662299
S66x8/38-200,-391.4368294866
S66x8/39-A,-231.2797125859
S66x8/39-B,-195.7183225382
S66x8/39-090,-426.9984843471
S66x8/39-095,-427.0006109683
S66x8/39-100,-427.0014893264
S66x8/39-105,-427.0016521271
S66x8/39-110,-427.0014441496
S66x8/39-125,-427.0002915627
S66x8/39-150,-426.9989729669
S66x8/39-200,-426.998206548
S66x8/40-A,-231.2797048037
S66x8/40-B,-196.920800689
S66x8/40-090,-428.2010618065
S66x8/40-095,-428.2026817318
S66x8/40-100,-428.2033121789
S66x8/40-105,-428.2034130989
S66x8/40-110,-428.2032453322
S66x8/40-125,-428.2023386667
S66x8/40-150,-428.2012746381
S66x8/40-200,-428.2006440917
S66x8/41-A,-413.3816376627
S66x8/41-B,-196.915708946
S66x8/41-090,-610.2994512989
S66x8/41-095,-610.3013131061
S66x8/41-100,-610.3019900601
S66x8/41-105,-610.3020104176
S66x8/41-110,-610.3015937454
S66x8/41-125,-610.2998775963
S66x8/41-150,-610.2982801978
S66x8/41-200,-610.2975054744
S66x8/42-A,-413.3816329918
S66x8/42-B,-195.7183198043
S66x8/42-090,-609.1011968023
S66x8/42-095,-609.1031401046
S66x8/42-100,-609.1038226525
S66x8/42-105,-609.1038465212
S66x8/42-110,-609.1035586409
S66x8/42-125,-609.1023002429
S66x8/42-150,-609.1009368839
S66x8/42-200,-609.1001609544
S66x8/43-A,-413.3816580155
S66x8/43-B,-196.9206626519
S66x8/43-090,-610.3039567902
S66x8/43-095,-610.3055073943
S66x8/43-100,-610.3060195102
S66x8/43-105,-610.3059843581
S66x8/43-110,-610.3056885342
S66x8/43-125,-610.304519938
S66x8/43-150,-610.3032658892
S66x8/43-200,-610.3025269193
S66x8/44-A,-78.2505030714
S66x8/44-B,-196.915706895
S66x8/44-090,-275.1671447514
S66x8/44-095,-275.1678692444
S66x8/44-100,-275.1680931473
S66x8/44-105,-275.1680554676
S66x8/44-110,-275.167903337
S66x8/44-125,-275.1673211797
S66x8/44-150,-275.166693308
S66x8/44-200,-275.16634278
S66x8/45-A,-77.0097722055
S66x8/45-B,-196.9156974106
S66x8/45-090,-273.9257518711
S66x8/45-095,-273.9267416408
S66x8/45-100,-273.927101191
S66x8/45-105,-273.927134493
S66x8/45-110,-273.9270103281
S66x8/45-125,-273.9264345197
S66x8/45-150,-273.9258027879
S66x8/45-200,-273.9254320396
S66x8/46-A,-247.616362238
S66x8/46-B,-196.9156024899
S66x8/46-090,-444.5347743254
S66x8/46-095,-444.5358596257
S66x8/46-100,-444.5362475878
S66x8/46-105,-444.5362241897
S66x8/46-110,-444.5359779331
S66x8/46-125,-444.5348566435
S66x8/46-150,-444.5332895865
S66x8/46-200,-444.532344309
S66x8/47-A,-231.2796941659
S66x8/47-B,-231.2796175755
S66x8/47-090,-462.5601721173
S66x8/47-095,-462.5619059219
S66x8/47-100,-462.5625693556
S66x8/47-105,-462.5626704633
S66x8/47-110,-462.562495084
S66x8/47-125,-462.5615284914
S66x8/47-150,-462.5603770801
S66x8/47-200,-462.5596514399
S66x8/48-A,-247.2904828454
S66x8/48-B,-247.2904380934
S66x8/48-090,-494.5832579261
S66x8/48-095,-494.5846917552
S66x8/48-100,-494.5852230592
S66x8/48-105,-494.5852572809
S66x8/48-110,-494.5850276112
S66x8/48-125,-494.5838970688
S66x8/48-150,-494.5824731701
S66x8/48-200,-494.5814452746
S66x8/49-A,-231.2796945957
S66x8/49-B,-247.2904716648
S66x8/49-090,-478.5717035395
S66x8/49-095,-478.5734580169
S66x8/49-100,-478.5741117609
S66x8/49-105,-478.5741787486
S66x8/49-110,-478.5739621549
S66x8/49-125,-478.5728543966
S66x8/49-150,-478.5715208449
S66x8/49-200,-478.5706105371
S66x8/50-A,-231.2796853319
S66x8/50-B,-77.0098104382
S66x8/50-090,-308.2915626105
S66x8/50-095,-308.2928610699
S66x8/50-100,-308.2932755179
S66x8/50-105,-308.2932226753
S66x8/50-110,-308.292951836
S66x8/50-125,-308.2918572003
S66x8/50-150,-308.2906116423
S66x8/50-200,-308.2897533617
S66x8/51-A,-77.0097798664
S66x8/51-B,-77.0098179237
S66x8/51-090,-154.021271234
S66x8/51-095,-154.0216920658
S66x8/51-100,-154.0217820315
S66x8/51-105,-154.0216933738
S66x8/51-110,-154.0215183188
S66x8/51-125,-154.0209028307
S66x8/51-150,-154.0202170646
S66x8/51-200,-154.0197477854
S66x8/52-A,-231.2796841266
S66x8/52-B,-228.3246211813
S66x8/52-090,-459.6093365616
S66x8/52-095,-459.6104342313
S66x8/52-100,-459.6107441655
S66x8/52-105,-459.6106058256
S66x8/52-110,-459.6102262924
S66x8/52-125,-459.6086785759
S66x8/52-150,-459.6066744257
S66x8/52-200,-459.6050553865
S66x8/53-A,-231.2796868507
S66x8/53-B,-208.4780464673
S66x8/53-090,-439.7625173823
S66x8/53-095,-439.7633767789
S66x8/53-100,-439.7636224587
S66x8/53-105,-439.7635030912
S66x8/53-110,-439.763179505
S66x8/53-125,-439.7618336987
S66x8/53-150,-439.7599889013
S66x8/53-200,-439.758353167
S66x8/54-A,-231.2796759173
S66x8/54-B,-76.201968459
S66x8/54-090,-307.4857727511
S66x8/54-095,-307.4864808348
S66x8/54-100,-307.4866177102
S66x8/54-105,-307.4864382838
S66x8/54-110,-307.4861014717
S66x8/54-125,-307.4849001271
S66x8/54-150,-307.4834454634
S66x8/54-200,-307.4822688529
S66x8/55-A,-231.2796603632
S66x8/55-B,-115.3269283928
S66x8/55-090,-346.6107669632
S66x8/55-095,-346.6118701618
S66x8/55-100,-346.6122281073
S66x8/55-105,-346.6121613908
S66x8/55-110,-346.6118588533
S66x8/55-125,-346.6105266872
S66x8/55-150,-346.6087753686
S66x8/55-200,-346.6073456877
S66x8/56-A,-231.2796921282
S66x8/56-B,-95.4862687954
S66x8/56-090,-326.7683392684
S66x8/56-095,-326.7694582842
S66x8/56-100,-326.7698626589
S66x8/56-105,-326.7698536128
S66x8/56-110,-326.7695994721
S66x8/56-125,-326.7684944796
S66x8/56-150,-326.7672046003
S66x8/56-200,-326.7663225015
S66x8/57-A,-231.2796638449
S66x8/57-B,-247.6163457635
S66x8/57-090,-478.8995904226
S66x8/57-095,-478.9018272991
S66x8/57-100,-478.9026237534
S66x8/57-105,-478.9026421373
S66x8/57-110,-478.9022761341
S66x8/57-125,-478.9005804058
S66x8/57-150,-478.8984691549
S66x8/57-200,-478.8968837999
S66x8/58-A,-247.2904570546
S66x8/58-B,-247.2904145762
S66x8/58-090,-494.5844944292
S66x8/58-095,-494.5861252027
S66x8/58-100,-494.5867026328
S66x8/58-105,-494.586362413
S66x8/58-110,-494.5857425387
S66x8/58-125,-494.5839431779
S66x8/58-150,-494.5822938634
S66x8/58-200,-494.5812708706
S66x8/59-A,-77.009834144
S66x8/59-B,-76.2020232949
S66x8/59-090,-153.2160447344
S66x8/59-095,-153.2164133923
S66x8/59-100,-153.2164311491
S66x8/59-105,-153.216244099
S66x8/59-110,-153.2159474741
S66x8/59-125,-153.214896624
S66x8/59-150,-153.2135570636
S66x8/59-200,-153.2123955327
S66x8/60-A,-77.0097736543
S66x8/60-B,-228.32459804
S66x8/60-090,-305.3408202704
S66x8/60-095,-305.3415799209
S66x8/60-100,-305.3416906697
S66x8/60-105,-305.3414201146
S66x8/60-110,-305.3409423806
S66x8/60-125,-305.3391796557
S66x8/60-150,-305.336921993
S66x8/60-200,-305.3351161958
S66x8/61-A,-196.9156568507
S66x8/61-B,-228.324680294
S66x8/61-090,-425.2424561656
S66x8/61-095,-425.2430090523
S66x8/61-100,-425.2431859551
S66x8/61-105,-425.2431384857
S66x8/61-110,-425.2429677654
S66x8/61-125,-425.2422349961
S66x8/61-150,-425.2411478187
S66x8/61-200,-425.2405258454
S66x8/62-A,-196.9157072122
S66x8/62-B,-208.4780816337
S66x8/62-090,-405.3962940138
S66x8/62-095,-405.39713061
S66x8/62-100,-405.3973968624
S66x8/62-105,-405.3973301171
S66x8/62-110,-405.3970898012
S66x8/62-125,-405.3961027659
S66x8/62-150,-405.3948946074
S66x8/62-200,-405.3940599761
S66x8/63-A,-231.2797142357
S66x8/63-B,-228.3246235869
S66x8/63-090,-459.606421649
S66x8/63-095,-459.6080898337
S66x8/63-100,-459.6086679091
S66x8/63-105,-459.6086679136
S66x8/63-110,-459.6083686183
S66x8/63-125,-459.6070750583
S66x8/63-150,-459.6055667126
S66x8/63-200,-459.6046277759
S66x8/64-A,-247.6163575422
S66x8/64-B,-78.2505374245
S66x8/64-090,-325.869457837
S66x8/64-095,-325.8701695528
S66x8/64-100,-325.8703784679
S66x8/64-105,-325.8702979357
S66x8/64-110,-325.8700660154
S66x8/64-125,-325.8691348652
S66x8/64-150,-325.8679071922
S66x8/64-200,-325.8670564938
S66x8/65-A,-247.2905081391
S66x8/65-B,-77.0094662983
S66x8/65-090,-324.3058814135
S66x8/65-095,-324.3064142154
S66x8/65-100,-324.3064967799
S66x8/65-105,-324.306303672
S66x8/65-110,-324.3059531311
S66x8/65-125,-324.3046109279
S66x8/65-150,-324.3027938185
S66x8/65-200,-324.3012043238
S66x8/66-A,-95.4862429579
S66x8/66-B,-247.2904940636
S66x8/66-090,-342.7808867499
S66x8/66-095,-342.7816795328
S66x8/66-100,-342.7819300096
S66x8/66-105,-342.7818505167
S66x8/66-110,-342.7815820475
S66x8/66-125,-342.7804070818
