system,ωB97X/def2-QZVP/ORCA
S22x5/14-A,-232.2747211942
S22x5/14-B,-232.2747210194
S22x5/14-0.9,-464.5450540021
S22x5/14-1.0,-464.5517100434
S22x5/14-1.2,-464.5511413781
S22x5/14-1.5,-464.5493374555
S22x5/14-2.0,-464.5492005313
S22x5/15-A,-232.2746075612
S22x5/15-B,-363.8674720885
S22x5/15-0.9,-596.1469062302
S22x5/15-1.0,-596.1490470093
S22x5/15-1.2,-596.148170704
S22x5/15-1.5,-596.1453197085
S22x5/15-2.0,-596.1431988451
S22x5/16-A,-232.2746441242
S22x5/16-B,-363.8674024885
S22x5/16-0.9,-596.1373881941
S22x5/16-1.0,-596.1458490761
S22x5/16-1.2,-596.1454175255
S22x5/16-1.5,-596.1422586408
S22x5/16-2.0,-596.1417627374
S22x5/17-A,-264.3508216261
S22x5/17-B,-264.3507790377
S22x5/17-0.9,-528.6990033984
S22x5/17-1.0,-528.7061954573
S22x5/17-1.2,-528.7049564681
S22x5/17-1.5,-528.702270961
S22x5/17-2.0,-528.7016857955
S22x5/18-A,-323.5738547813
S22x5/18-B,-303.6978692186
S22x5/18-0.9,-627.294922793
S22x5/18-1.0,-627.2979286593
S22x5/18-1.2,-627.2938911074
S22x5/18-1.5,-627.2845506342
S22x5/18-2.0,-627.2765897816
S22x5/19-A,-307.5194939467
S22x5/19-B,-307.5194063455
S22x5/19-0.9,-615.0480997781
S22x5/19-1.0,-615.0492326028
S22x5/19-1.2,-615.0474971647
S22x5/19-1.5,-615.0436689993
S22x5/19-2.0,-615.0406673505
S22x5/20-A,-414.9072463422
S22x5/20-B,-414.9072462205
S22x5/20-0.9,-829.81944435
S22x5/20-1.0,-829.8270682026
S22x5/20-1.2,-829.8223781734
S22x5/20-1.5,-829.8171794776
S22x5/20-2.0,-829.8153739276
S22x5/21-A,-414.9064406423
S22x5/21-B,-414.9064406267
S22x5/21-0.9,-829.8420025467
S22x5/21-1.0,-829.8452956461
S22x5/21-1.2,-829.8403378204
S22x5/21-1.5,-829.8293563798
S22x5/21-2.0,-829.8198854365
S22x5/22-A,-232.2745903845
S22x5/22-B,-93.4365392668
S22x5/22-0.9,-325.7172831067
S22x5/22-1.0,-325.7183284935
S22x5/22-1.2,-325.7169002244
S22x5/22-1.5,-325.7142190998
S22x5/22-2.0,-325.7123437788
S66x8/01-A,-76.4487225379
S66x8/01-B,-76.4486991485
S66x8/01-090,-152.9060716997
S66x8/01-095,-152.90642863
S66x8/01-100,-152.9063213668
S66x8/01-105,-152.9059110656
S66x8/01-110,-152.9053164285
S66x8/01-125,-152.9033689595
S66x8/01-150,-152.900891951
S66x8/01-200,-152.8987523
S66x8/02-A,-76.4487313814
S66x8/02-B,-115.7488172144
S66x8/02-090,-192.206807173
S66x8/02-095,-192.2072807397
S66x8/02-100,-192.2071995268
S66x8/02-105,-192.206804114
S66x8/02-110,-192.2061847715
S66x8/02-125,-192.2040551202
S66x8/02-150,-192.20127709
S66x8/02-200,-192.1989160948
S66x8/03-A,-76.4487452078
S66x8/03-B,-95.8770564055
S66x8/03-090,-172.3370883376
S66x8/03-095,-172.3376557533
S66x8/03-100,-172.3376199023
S66x8/03-105,-172.3371888244
S66x8/03-110,-172.3365077896
S66x8/03-125,-172.3340357817
S66x8/03-150,-172.330548395
S66x8/03-200,-172.3273746383
S66x8/04-A,-76.4487432551
S66x8/04-B,-248.5766868802
S66x8/04-090,-325.0386597584
S66x8/04-095,-325.0392652006
S66x8/04-100,-325.0391944824
S66x8/04-105,-325.0387232309
S66x8/04-110,-325.0380070137
S66x8/04-125,-325.0352828692
S66x8/04-150,-325.0314321706
S66x8/04-200,-325.0274263165
S66x8/05-A,-115.7487165195
S66x8/05-B,-115.7488299744
S66x8/05-090,-231.5066750375
S66x8/05-095,-231.5072818438
S66x8/05-100,-231.5072884038
S66x8/05-105,-231.506960668
S66x8/05-110,-231.5063956959
S66x8/05-125,-231.5043161742
S66x8/05-150,-231.5015057445
S66x8/05-200,-231.4990750561
S66x8/06-A,-115.7484583585
S66x8/06-B,-95.8770432295
S66x8/06-090,-211.6373066139
S66x8/06-095,-211.6381014497
S66x8/06-100,-211.638196671
S66x8/06-105,-211.6378347268
S66x8/06-110,-211.637184992
S66x8/06-125,-211.6346495073
S66x8/06-150,-211.630894043
S66x8/06-200,-211.6274529932
S66x8/07-A,-115.7485728317
S66x8/07-B,-248.5766876191
S66x8/07-090,-364.3382694306
S66x8/07-095,-364.3390791839
S66x8/07-100,-364.3391458544
S66x8/07-105,-364.3387566151
S66x8/07-110,-364.3381095032
S66x8/07-125,-364.3354524418
S66x8/07-150,-364.3310156235
S66x8/07-200,-364.3268990049
S66x8/08-A,-115.748749262
S66x8/08-B,-76.4487044603
S66x8/08-090,-192.2059438088
S66x8/08-095,-192.2064227039
S66x8/08-100,-192.2063943258
S66x8/08-105,-192.2060521301
S66x8/08-110,-192.2055008395
S66x8/08-125,-192.2035926376
S66x8/08-150,-192.2010933768
S66x8/08-200,-192.1989226038
S66x8/09-A,-95.877017539
S66x8/09-B,-115.7488505795
S66x8/09-090,-211.6307863596
S66x8/09-095,-211.6310444239
S66x8/09-100,-211.6309434136
S66x8/09-105,-211.6306348215
S66x8/09-110,-211.630198234
S66x8/09-125,-211.6289016255
S66x8/09-150,-211.6274634712
S66x8/09-200,-211.6264664192
S66x8/10-A,-95.8770754203
S66x8/10-B,-95.8770239603
S66x8/10-090,-191.760463527
S66x8/10-095,-191.7610776664
S66x8/10-100,-191.7611317312
S66x8/10-105,-191.7608467838
S66x8/10-110,-191.7603325717
S66x8/10-125,-191.758529549
S66x8/10-150,-191.7559601679
S66x8/10-200,-191.754611436
S66x8/11-A,-95.8767992708
S66x8/11-B,-248.5768708754
S66x8/11-090,-344.4619041893
S66x8/11-095,-344.4625956572
S66x8/11-100,-344.4626850218
S66x8/11-105,-344.4623530579
S66x8/11-110,-344.461794417
S66x8/11-125,-344.4586867409
S66x8/11-150,-344.4557636898
S66x8/11-200,-344.4544719505
S66x8/12-A,-95.877008346
S66x8/12-B,-76.448220049
S66x8/12-090,-172.3374150773
S66x8/12-095,-172.3381172532
S66x8/12-100,-172.338139703
S66x8/12-105,-172.3377298889
S66x8/12-110,-172.3370393594
S66x8/12-125,-172.3344376993
S66x8/12-150,-172.3307390803
S66x8/12-200,-172.3274142758
S66x8/13-A,-248.5768402303
S66x8/13-B,-115.748865509
S66x8/13-090,-364.3349140962
S66x8/13-095,-364.3356122606
S66x8/13-100,-364.3357320314
S66x8/13-105,-364.3354297438
S66x8/13-110,-364.334894134
S66x8/13-125,-364.3328789606
S66x8/13-150,-364.3300785558
S66x8/13-200,-364.3275808442
S66x8/14-A,-248.576629012
S66x8/14-B,-95.8770221671
S66x8/14-090,-344.4643912963
S66x8/14-095,-344.4653623887
S66x8/14-100,-344.4656251162
S66x8/14-105,-344.4653907896
S66x8/14-110,-344.4648585643
S66x8/14-125,-344.462601534
S66x8/14-150,-344.4591181853
S66x8/14-200,-344.4558320198
S66x8/15-A,-248.5765473572
S66x8/15-B,-248.5766892198
S66x8/15-090,-497.1656438229
S66x8/15-095,-497.1665379134
S66x8/15-100,-497.1667478454
S66x8/15-105,-497.1664987037
S66x8/15-110,-497.1659178836
S66x8/15-125,-497.1635167197
S66x8/15-150,-497.1598068189
S66x8/15-200,-497.1557620927
S66x8/16-A,-248.5767300156
S66x8/16-B,-76.4487093328
S66x8/16-090,-325.0336867529
S66x8/16-095,-325.0342292662
S66x8/16-100,-325.0342436535
S66x8/16-105,-325.0339260512
S66x8/16-110,-325.033453341
S66x8/16-125,-325.0316836309
S66x8/16-150,-325.0293473261
S66x8/16-200,-325.0272239626
S66x8/17-A,-414.9066794512
S66x8/17-B,-414.9068096292
S66x8/17-090,-829.838229939
S66x8/17-095,-829.8403777428
S66x8/17-100,-829.8409640691
S66x8/17-105,-829.8404980852
S66x8/17-110,-829.8394094308
S66x8/17-125,-829.834446917
S66x8/17-150,-829.8264927293
S66x8/17-200,-829.8185022655
S66x8/18-A,-76.448735305
S66x8/18-B,-248.3148263231
S66x8/18-090,-324.7744501312
S66x8/18-095,-324.7750592247
S66x8/18-100,-324.7750553558
S66x8/18-105,-324.7746539754
S66x8/18-110,-324.7739955057
S66x8/18-125,-324.7715842323
S66x8/18-150,-324.7681949125
S66x8/18-200,-324.7651385778
S66x8/19-A,-115.7484690821
S66x8/19-B,-248.3148210468
S66x8/19-090,-364.0742702994
S66x8/19-095,-364.0751331197
S66x8/19-100,-364.0753009163
S66x8/19-105,-364.0750220047
S66x8/19-110,-364.0743450802
S66x8/19-125,-364.0720580644
S66x8/19-150,-364.0683519552
S66x8/19-200,-364.0650143586
S66x8/20-A,-229.1398851339
S66x8/20-B,-229.1398920357
S66x8/20-090,-458.3096877256
S66x8/20-095,-458.311844222
S66x8/20-100,-458.312336309
S66x8/20-105,-458.3117135646
S66x8/20-110,-458.3103402844
S66x8/20-125,-458.3045451209
S66x8/20-150,-458.2951838834
S66x8/20-200,-458.2855481971
S66x8/21-A,-209.2632915791
S66x8/21-B,-209.2632938203
S66x8/21-090,-418.5511506094
S66x8/21-095,-418.5530759325
S66x8/21-100,-418.5535020022
S66x8/21-105,-418.5529764866
S66x8/21-110,-418.5519048357
S66x8/21-125,-418.5470493336
S66x8/21-150,-418.5394991756
S66x8/21-200,-418.531313654
S66x8/22-A,-229.1398224593
S66x8/22-B,-414.9065448403
S66x8/22-090,-644.075753155
S66x8/22-095,-644.0779462985
S66x8/22-100,-644.0785368505
S66x8/22-105,-644.0780193762
S66x8/22-110,-644.0767862342
S66x8/22-125,-644.0713176714
S66x8/22-150,-644.0623304099
S66x8/22-200,-644.0528621508
S66x8/23-A,-209.2631945631
S66x8/23-B,-414.9063501098
S66x8/23-090,-624.1980108351
S66x8/23-095,-624.2000973434
S66x8/23-100,-624.2006977788
S66x8/23-105,-624.2002937747
S66x8/23-110,-624.1992358994
S66x8/23-125,-624.1942689854
S66x8/23-150,-624.1859152263
S66x8/23-200,-624.1768283479
S66x8/24-A,-232.2747119074
S66x8/24-B,-232.2746677886
S66x8/24-090,-464.5457818849
S66x8/24-095,-464.5499625657
S66x8/24-100,-464.5517990906
S66x8/24-105,-464.5523995333
S66x8/24-110,-464.55226609
S66x8/24-125,-464.5507751906
S66x8/24-150,-464.5494494608
S66x8/24-200,-464.5493694496
S66x8/25-A,-248.3147753555
S66x8/25-B,-248.3148106893
S66x8/25-090,-496.6273746359
S66x8/25-095,-496.6316733101
S66x8/25-100,-496.6334853997
S66x8/25-105,-496.634015618
S66x8/25-110,-496.6338723055
S66x8/25-125,-496.6321368762
S66x8/25-150,-496.6302738554
S66x8/25-200,-496.6297289835
S66x8/26-A,-414.9072448297
S66x8/26-B,-414.9072449537
S66x8/26-090,-829.8218941512
S66x8/26-095,-829.8258047271
S66x8/26-100,-829.8270654371
S66x8/26-105,-829.8268667588
S66x8/26-110,-829.8259481517
S66x8/26-125,-829.8220849085
S66x8/26-150,-829.8179779353
S66x8/26-200,-829.8156467254
S66x8/27-A,-232.2747034687
S66x8/27-B,-248.3148259224
S66x8/27-090,-480.5864204169
S66x8/27-095,-480.590854748
S66x8/27-100,-480.5927534419
S66x8/27-105,-480.5933089208
S66x8/27-110,-480.5931015789
S66x8/27-125,-480.5914582233
S66x8/27-150,-480.589826527
S66x8/27-200,-480.5895079063
S66x8/28-A,-232.2745521728
S66x8/28-B,-414.907874756
S66x8/28-090,-647.1830161957
S66x8/28-095,-647.1869783341
S66x8/28-100,-647.1886744842
S66x8/28-105,-647.1890380396
S66x8/28-110,-647.1885107405
S66x8/28-125,-647.1859951182
S66x8/28-150,-647.1833734219
S66x8/28-200,-647.1824302162
S66x8/29-A,-248.3147469228
S66x8/29-B,-414.9078613928
S66x8/29-090,-663.2230725071
S66x8/29-095,-663.2286018577
S66x8/29-100,-663.2307054024
S66x8/29-105,-663.2308590011
S66x8/29-110,-663.2301300301
S66x8/29-125,-663.2270413087
S66x8/29-150,-663.2242256985
S66x8/29-200,-663.2230410433
S66x8/30-A,-232.2746891954
S66x8/30-B,-78.5966887046
S66x8/30-090,-310.8706725496
S66x8/30-095,-310.8725445435
S66x8/30-100,-310.8732700312
S66x8/30-105,-310.8733770615
S66x8/30-110,-310.8731418381
S66x8/30-125,-310.8721003324
S66x8/30-150,-310.8712805344
S66x8/30-200,-310.8713098099
S66x8/31-A,-414.9079292726
S66x8/31-B,-78.596661765
S66x8/31-090,-493.5073058621
S66x8/31-095,-493.5087688038
S66x8/31-100,-493.5092386924
S66x8/31-105,-493.5090884164
S66x8/31-110,-493.5086454075
S66x8/31-125,-493.5070211527
S66x8/31-150,-493.50541427
S66x8/31-200,-493.5046959752
S66x8/32-A,-414.9079815307
S66x8/32-B,-77.3376978604
S66x8/32-090,-492.2489319454
S66x8/32-095,-492.2504974709
S66x8/32-100,-492.2509860468
S66x8/32-105,-492.2508074134
S66x8/32-110,-492.2502877624
S66x8/32-125,-492.2484201765
S66x8/32-150,-492.2465299558
S66x8/32-200,-492.2456069445
S66x8/33-A,-248.3148478164
S66x8/33-B,-78.596655913
S66x8/33-090,-326.9117423964
S66x8/33-095,-326.913435803
S66x8/33-100,-326.914013082
S66x8/33-105,-326.9140789774
S66x8/33-110,-326.9138458839
S66x8/33-125,-326.9126928061
S66x8/33-150,-326.9116544636
S66x8/33-200,-326.911462594
S66x8/34-A,-197.8007451258
S66x8/34-B,-197.8007222329
S66x8/34-090,-395.6051851389
S66x8/34-095,-395.6065788737
S66x8/34-100,-395.6067018936
S66x8/34-105,-395.6064003301
S66x8/34-110,-395.6057745309
S66x8/34-125,-395.6037851076
S66x8/34-150,-395.60204048
S66x8/34-200,-395.6015011274
S66x8/35-A,-197.8007361118
S66x8/35-B,-197.8049010698
S66x8/35-090,-395.607952449
S66x8/35-095,-395.6090670132
S66x8/35-100,-395.6092075782
S66x8/35-105,-395.6088631062
S66x8/35-110,-395.6083759274
S66x8/35-125,-395.6070193487
S66x8/35-150,-395.6059256473
S66x8/35-200,-395.6055890765
S66x8/36-A,-197.804907249
S66x8/36-B,-197.804926117
S66x8/36-090,-395.6116101133
S66x8/36-095,-395.6119939879
S66x8/36-100,-395.6119718513
S66x8/36-105,-395.611748929
S66x8/36-110,-395.6114268881
S66x8/36-125,-395.6105214927
S66x8/36-150,-395.6098016786
S66x8/36-200,-395.6095747782
S66x8/37-A,-196.5881280714
S66x8/37-B,-197.8048422954
S66x8/37-090,-394.3949774609
S66x8/37-095,-394.3960355207
S66x8/37-100,-394.3962366756
S66x8/37-105,-394.3960449857
S66x8/37-110,-394.3956781892
S66x8/37-125,-394.3944703288
S66x8/37-150,-394.3933726802
S66x8/37-200,-394.3930028014
S66x8/38-A,-196.5880339303
S66x8/38-B,-196.5880288175
S66x8/38-090,-393.178579474
S66x8/38-095,-393.1796928341
S66x8/38-100,-393.1799448481
S66x8/38-105,-393.1796501516
S66x8/38-110,-393.1791701338
S66x8/38-125,-393.1776237213
S66x8/38-150,-393.1763908672
S66x8/38-200,-393.1760356191
S66x8/39-A,-232.2746738353
S66x8/39-B,-196.5880358174
S66x8/39-090,-428.8637214254
S66x8/39-095,-428.8661132729
S66x8/39-100,-428.8670456931
S66x8/39-105,-428.867110309
S66x8/39-110,-428.8666673409
S66x8/39-125,-428.8649515794
S66x8/39-150,-428.8632982149
S66x8/39-200,-428.8627519346
S66x8/40-A,-232.2746589679
S66x8/40-B,-197.8048982048
S66x8/40-090,-430.0809401315
S66x8/40-095,-430.0826001908
S66x8/40-100,-430.0831980518
S66x8/40-105,-430.0831707547
S66x8/40-110,-430.0827883262
S66x8/40-125,-430.0813895702
S66x8/40-150,-430.0799962415
S66x8/40-200,-430.0795853167
S66x8/41-A,-414.9079086201
S66x8/41-B,-197.8007793051
S66x8/41-090,-612.7121457262
S66x8/41-095,-612.7141064251
S66x8/41-100,-612.7146478396
S66x8/41-105,-612.7143294184
S66x8/41-110,-612.7135286723
S66x8/41-125,-612.7109346695
S66x8/41-150,-612.7090977575
S66x8/41-200,-612.7086709686
S66x8/42-A,-414.9078943212
S66x8/42-B,-196.5880533606
S66x8/42-090,-611.4981705929
S66x8/42-095,-611.5002009683
S66x8/42-100,-611.5007594604
S66x8/42-105,-611.5005285868
S66x8/42-110,-611.4999779442
S66x8/42-125,-611.4980690466
S66x8/42-150,-611.4964612291
S66x8/42-200,-611.495983503
S66x8/43-A,-414.9079337456
S66x8/43-B,-197.804839095
S66x8/43-090,-612.7154565901
S66x8/43-095,-612.7169658854
S66x8/43-100,-612.7173118616
S66x8/43-105,-612.717007585
S66x8/43-110,-612.7164543824
S66x8/43-125,-612.7147146913
S66x8/43-150,-612.7132341222
S66x8/43-200,-612.7127435432
S66x8/44-A,-78.5966854944
S66x8/44-B,-197.8007812785
S66x8/44-090,-276.4000746662
S66x8/44-095,-276.400544171
S66x8/44-100,-276.400382044
S66x8/44-105,-276.4000694487
S66x8/44-110,-276.3996396038
S66x8/44-125,-276.398521687
S66x8/44-150,-276.3976195377
S66x8/44-200,-276.3973543243
S66x8/45-A,-77.3377116491
S66x8/45-B,-197.8007751102
S66x8/45-090,-275.1400641546
S66x8/45-095,-275.1409024937
S66x8/45-100,-275.1410331985
S66x8/45-105,-275.1408157289
S66x8/45-110,-275.140445959
S66x8/45-125,-275.1393694261
S66x8/45-150,-275.1384904188
S66x8/45-200,-275.1381881901
S66x8/46-A,-248.5767559878
S66x8/46-B,-197.8005399496
S66x8/46-090,-446.3824898869
S66x8/46-095,-446.3833587383
S66x8/46-100,-446.3833716787
S66x8/46-105,-446.3829944094
S66x8/46-110,-446.3824051832
S66x8/46-125,-446.3804054424
S66x8/46-150,-446.3782930314
S66x8/46-200,-446.3775471182
S66x8/47-A,-232.274642468
S66x8/47-B,-232.2745140527
S66x8/47-090,-464.5500271856
S66x8/47-095,-464.5521004848
S66x8/47-100,-464.5527880643
S66x8/47-105,-464.5528797998
S66x8/47-110,-464.5526169785
S66x8/47-125,-464.5513221461
S66x8/47-150,-464.550019985
S66x8/47-200,-464.549490885
S66x8/48-A,-248.3147787122
S66x8/48-B,-248.3147215337
S66x8/48-090,-496.6320683752
S66x8/48-095,-496.6336667111
S66x8/48-100,-496.634243252
S66x8/48-105,-496.6342477651
S66x8/48-110,-496.6338889128
S66x8/48-125,-496.6323965981
S66x8/48-150,-496.6307860248
S66x8/48-200,-496.6299237067
S66x8/49-A,-232.274641633
S66x8/49-B,-248.3147740068
S66x8/49-090,-480.5908490638
S66x8/49-095,-480.5929676022
S66x8/49-100,-480.5936537718
S66x8/49-105,-480.5936913011
S66x8/49-110,-480.5934165786
S66x8/49-125,-480.5919807522
S66x8/49-150,-480.5904991577
S66x8/49-200,-480.5897659486
S66x8/50-A,-232.2746299512
S66x8/50-B,-77.3377880514
S66x8/50-090,-309.6146357878
S66x8/50-095,-309.616100085
S66x8/50-100,-309.6165434571
S66x8/50-105,-309.6163688766
S66x8/50-110,-309.615991474
S66x8/50-125,-309.6146320552
S66x8/50-150,-309.6132490638
S66x8/50-200,-309.6124954741
S66x8/51-A,-77.3377266736
S66x8/51-B,-77.3378039975
S66x8/51-090,-154.6778089239
S66x8/51-095,-154.67813748
S66x8/51-100,-154.6781426875
S66x8/51-105,-154.6779519199
S66x8/51-110,-154.6776780597
S66x8/51-125,-154.6768687487
S66x8/51-150,-154.6760683912
S66x8/51-200,-154.6756163614
S66x8/52-A,-232.2746293527
S66x8/52-B,-229.1418657238
S66x8/52-090,-461.4215698169
S66x8/52-095,-461.4228537281
S66x8/52-100,-461.4232457466
S66x8/52-105,-461.4230944344
S66x8/52-110,-461.422673425
S66x8/52-125,-461.4208894296
S66x8/52-150,-461.4186612475
S66x8/52-200,-461.4171014322
S66x8/53-A,-232.2746372256
S66x8/53-B,-209.2642866213
S66x8/53-090,-441.5442419629
S66x8/53-095,-441.5451590205
S66x8/53-100,-441.5453926906
S66x8/53-105,-441.5452270327
S66x8/53-110,-441.5448298211
S66x8/53-125,-441.5431655599
S66x8/53-150,-441.541027135
S66x8/53-200,-441.5394029508
S66x8/54-A,-232.2746130245
S66x8/54-B,-76.4486334593
S66x8/54-090,-308.7280670773
S66x8/54-095,-308.7287991094
S66x8/54-100,-308.7288537239
S66x8/54-105,-308.7285925798
S66x8/54-110,-308.7281368357
S66x8/54-125,-308.7266181794
S66x8/54-150,-308.7249458909
S66x8/54-200,-308.7238086732
S66x8/55-A,-232.2745871437
S66x8/55-B,-115.7488105855
S66x8/55-090,-348.0281261881
S66x8/55-095,-348.0293558504
S66x8/55-100,-348.0296994277
S66x8/55-105,-348.0295489437
S66x8/55-110,-348.0291404739
S66x8/55-125,-348.0274439095
S66x8/55-150,-348.0254202022
S66x8/55-200,-348.0240738417
S66x8/56-A,-232.2746396474
S66x8/56-B,-95.8770206023
S66x8/56-090,-328.154742497
S66x8/56-095,-328.1559144037
S66x8/56-100,-328.1563217401
S66x8/56-105,-328.1561919794
S66x8/56-110,-328.1557699449
S66x8/56-125,-328.1542444692
S66x8/56-150,-328.1527075361
S66x8/56-200,-328.151956496
S66x8/57-A,-232.2745897684
S66x8/57-B,-248.5768060777
S66x8/57-090,-480.855184013
S66x8/57-095,-480.8577193272
S66x8/57-100,-480.8586175528
S66x8/57-105,-480.8586110838
S66x8/57-110,-480.8580970889
S66x8/57-125,-480.8559506136
S66x8/57-150,-480.8535594994
S66x8/57-200,-480.8521842856
S66x8/58-A,-248.3147547759
S66x8/58-B,-248.3146894205
S66x8/58-090,-496.6335154654
S66x8/58-095,-496.6353021703
S66x8/58-100,-496.6358676518
S66x8/58-105,-496.6354096564
S66x8/58-110,-496.6346168656
S66x8/58-125,-496.6324694727
S66x8/58-150,-496.6307072659
S66x8/58-200,-496.6297924991
S66x8/59-A,-77.3378568594
S66x8/59-B,-76.4487011757
S66x8/59-090,-153.7914439739
S66x8/59-095,-153.7917252645
S66x8/59-100,-153.7916494853
S66x8/59-105,-153.7913708304
S66x8/59-110,-153.7909676793
S66x8/59-125,-153.7897310176
S66x8/59-150,-153.7882673292
S66x8/59-200,-153.7870815187
S66x8/60-A,-77.3377094199
S66x8/60-B,-229.1418226057
S66x8/60-090,-306.48719003
S66x8/60-095,-306.4879711053
S66x8/60-100,-306.4880198375
S66x8/60-105,-306.4876530759
S66x8/60-110,-306.4870605128
S66x8/60-125,-306.484890101
S66x8/60-150,-306.4821800384
S66x8/60-200,-306.480192413
S66x8/61-A,-197.8005922465
S66x8/61-B,-229.1419391955
S66x8/61-090,-426.9464165939
S66x8/61-095,-426.9466884539
S66x8/61-100,-426.9466015253
S66x8/61-105,-426.9462940948
S66x8/61-110,-426.945876908
S66x8/61-125,-426.9445548177
S66x8/61-150,-426.943105783
S66x8/61-200,-426.9426369402
S66x8/62-A,-197.8007335022
S66x8/62-B,-209.2643709103
S66x8/62-090,-407.0697031988
S66x8/62-095,-407.0702668854
S66x8/62-100,-407.0702008419
S66x8/62-105,-407.0698152983
S66x8/62-110,-407.0692731263
S66x8/62-125,-407.0675750538
S66x8/62-150,-407.0659336179
S66x8/62-200,-407.0652126893
S66x8/63-A,-232.2746816337
S66x8/63-B,-229.1418559896
S66x8/63-090,-461.4192579629
S66x8/63-095,-461.4211499471
S66x8/63-100,-461.4217041804
S66x8/63-105,-461.4216029324
S66x8/63-110,-461.4211342694
S66x8/63-125,-461.4193196698
S66x8/63-150,-461.4175114696
S66x8/63-200,-461.4167357566
S66x8/64-A,-248.5768074095
S66x8/64-B,-78.5967608916
S66x8/64-090,-327.1775346995
S66x8/64-095,-327.1781003253
S66x8/64-100,-327.1781193059
S66x8/64-105,-327.1778167625
S66x8/64-110,-327.1773776589
S66x8/64-125,-327.1759364066
S66x8/64-150,-327.1743813456
S66x8/64-200,-327.173614454
S66x8/65-A,-248.3148292279
S66x8/65-B,-77.3371532373
S66x8/65-090,-325.6585490578
S66x8/65-095,-325.6590982426
S66x8/65-100,-325.6591423788
S66x8/65-105,-325.6589211478
S66x8/65-110,-325.6585138138
S66x8/65-125,-325.6569714095
S66x8/65-150,-325.6549823532
S66x8/65-200,-325.653388647
S66x8/66-A,-95.8769747529
S66x8/66-B,-248.3148053986
S66x8/66-090,-344.196737942
S66x8/66-095,-344.1975875974
S66x8/66-100,-344.1978035873
S66x8/66-105,-344.1976378778
S66x8/66-110,-344.1972427299
S66x8/66-125,-344.1956562129
S66x8/66-150,-344.1936887811
