system,M11/def2-QZVP/Turbomole7.5.1
S22x5/16-A,-232.2052916644
S22x5/16-B,-363.7756883051
S22x5/16-0.9,-595.982270346
S22x5/16-1.0,-595.9866847312
S22x5/16-1.2,-595.9835261817
S22x5/16-1.5,-595.9808047031
S22x5/16-2.0,-595.9806814933
S22x5/17-A,-264.2969848066
S22x5/17-B,-264.2969610953
S22x5/17-0.9,-528.5953868486
S22x5/17-1.0,-528.599281423
S22x5/17-1.2,-528.5965646292
S22x5/17-1.5,-528.5945313271
S22x5/17-2.0,-528.5940215205
S22x5/18-A,-323.5148641996
S22x5/18-B,-303.632062012
S22x5/18-0.9,-627.168070811
S22x5/18-1.0,-627.1711650043
S22x5/18-1.2,-627.1673478499
S22x5/18-1.5,-627.1585478549
S22x5/18-2.0,-627.1516939068
S22x5/19-A,-307.4535964329
S22x5/19-B,-307.4536296242
S22x5/19-0.9,-614.9161676104
S22x5/19-1.0,-614.9172438588
S22x5/19-1.2,-614.9150109338
S22x5/19-1.5,-614.9114858125
S22x5/19-2.0,-614.9089224598
S22x5/20-A,-414.8567955313
S22x5/20-B,-414.8567955313
S22x5/20-0.9,-829.7247456877
S22x5/20-1.0,-829.7279050256
S22x5/20-1.2,-829.7211523004
S22x5/20-1.5,-829.7164828368
S22x5/20-2.0,-829.7145025778
S22x5/21-A,-414.856098498
S22x5/21-B,-414.856098498
S22x5/21-0.9,-829.73962009
S22x5/21-1.0,-829.7431564313
S22x5/21-1.2,-829.738306041
S22x5/21-1.5,-829.7277559678
S22x5/21-2.0,-829.719308024
S22x5/22-A,-232.2052247213
S22x5/22-B,-93.4252976319
S22x5/22-0.9,-325.637833217
S22x5/22-1.0,-325.6382761752
S22x5/22-1.2,-325.6364126963
S22x5/22-1.5,-325.6337674549
S22x5/22-2.0,-325.6319246481
S66x8/01-A,-76.4511671708
S66x8/01-B,-76.4511382897
S66x8/01-090,-152.9097913122
S66x8/01-095,-152.9102882098
S66x8/01-100,-152.910249422
S66x8/01-105,-152.9098971207
S66x8/01-110,-152.909386851
S66x8/01-125,-152.9077269324
S66x8/01-150,-152.9056980302
S66x8/01-200,-152.9037812735
S66x8/02-A,-76.4511853786
S66x8/02-B,-115.7346577782
S66x8/02-090,-192.1938517909
S66x8/02-095,-192.1944461942
S66x8/02-100,-192.1944446364
S66x8/02-105,-192.1940821
S66x8/02-110,-192.1935254426
S66x8/02-125,-192.1916466012
S66x8/02-150,-192.1893836711
S66x8/02-200,-192.1873266467
S66x8/03-A,-76.4512210907
S66x8/03-B,-95.8546352384
S66x8/03-090,-172.3153025382
S66x8/03-095,-172.3160343114
S66x8/03-100,-172.3161497976
S66x8/03-105,-172.3158558893
S66x8/03-110,-172.3153080069
S66x8/03-125,-172.3131206104
S66x8/03-150,-172.3101533006
S66x8/03-200,-172.3074723149
S66x8/04-A,-76.4512152845
S66x8/04-B,-248.530635996
S66x8/04-090,-324.9943435115
S66x8/04-095,-324.9950088908
S66x8/04-100,-324.9949740708
S66x8/04-105,-324.9944848597
S66x8/04-110,-324.9937308243
S66x8/04-125,-324.9910660382
S66x8/04-150,-324.9875747275
S66x8/04-200,-324.9839746002
S66x8/05-A,-115.734530353
S66x8/05-B,-115.7346760523
S66x8/05-090,-231.4768895803
S66x8/05-095,-231.4776293395
S66x8/05-100,-231.4777418662
S66x8/05-105,-231.4774650668
S66x8/05-110,-231.47696912
S66x8/05-125,-231.4751624361
S66x8/05-150,-231.4729114878
S66x8/05-200,-231.4708358374
S66x8/06-A,-115.7342683388
S66x8/06-B,-95.8546399189
S66x8/06-090,-211.5989664302
S66x8/06-095,-211.5998098969
S66x8/06-100,-211.5999918112
S66x8/06-105,-211.5997717921
S66x8/06-110,-211.5992190832
S66x8/06-125,-211.5969378751
S66x8/06-150,-211.5937136749
S66x8/06-200,-211.5908785925
S66x8/07-A,-115.7343768444
S66x8/07-B,-248.5305307091
S66x8/07-090,-364.2767582343
S66x8/07-095,-364.2775881565
S66x8/07-100,-364.2776811226
S66x8/07-105,-364.2773004868
S66x8/07-110,-364.276631534
S66x8/07-125,-364.2740415234
S66x8/07-150,-364.2701948631
S66x8/07-200,-364.2666176927
S66x8/08-A,-115.7345547616
S66x8/08-B,-76.451148219
S66x8/08-090,-192.1928951913
S66x8/08-095,-192.1935236865
S66x8/08-100,-192.1935829113
S66x8/08-105,-192.1932999078
S66x8/08-110,-192.1928338121
S66x8/08-125,-192.1912232418
S66x8/08-150,-192.189214011
S66x8/08-200,-192.187299037
S66x8/09-A,-95.8545460728
S66x8/09-B,-115.7346659698
S66x8/09-090,-211.5928081987
S66x8/09-095,-211.5931463682
S66x8/09-100,-211.5931177231
S66x8/09-105,-211.5928818814
S66x8/09-110,-211.5926101486
S66x8/09-125,-211.5917296562
S66x8/09-150,-211.5907462025
S66x8/09-200,-211.5898858067
S66x8/10-A,-95.8546062936
S66x8/10-B,-95.8545947281
S66x8/10-090,-191.714584866
S66x8/10-095,-191.7151697131
S66x8/10-100,-191.7151694926
S66x8/10-105,-191.7148414418
S66x8/10-110,-191.7143784208
S66x8/10-125,-191.7128446486
S66x8/10-150,-191.7108976442
S66x8/10-200,-191.709741605
S66x8/11-A,-95.8543855159
S66x8/11-B,-248.5306690206
S66x8/11-090,-344.3929644988
S66x8/11-095,-344.3934234574
S66x8/11-100,-344.3933112596
S66x8/11-105,-344.3928761622
S66x8/11-110,-344.3922819431
S66x8/11-125,-344.389495166
S66x8/11-150,-344.3870872331
S66x8/11-200,-344.3858707248
S66x8/12-A,-95.8546168012
S66x8/12-B,-76.4506442946
S66x8/12-090,-172.3159013136
S66x8/12-095,-172.3166955451
S66x8/12-100,-172.3168189037
S66x8/12-105,-172.3164923966
S66x8/12-110,-172.3158907131
S66x8/12-125,-172.3135079621
S66x8/12-150,-172.310304854
S66x8/12-200,-172.3074954388
S66x8/13-A,-248.530661892
S66x8/13-B,-115.7347191896
S66x8/13-090,-364.2736370046
S66x8/13-095,-364.2743849514
S66x8/13-100,-364.2744855491
S66x8/13-105,-364.2741983421
S66x8/13-110,-364.2737056448
S66x8/13-125,-364.2719195136
S66x8/13-150,-364.2695951221
S66x8/13-200,-364.2674158391
S66x8/14-A,-248.5304420967
S66x8/14-B,-95.8545788989
S66x8/14-090,-344.3943011391
S66x8/14-095,-344.3953185462
S66x8/14-100,-344.3956217308
S66x8/14-105,-344.3954433066
S66x8/14-110,-344.3949770115
S66x8/14-125,-344.3928826943
S66x8/14-150,-344.3899759225
S66x8/14-200,-344.3872759317
S66x8/15-A,-248.5305245226
S66x8/15-B,-248.5305996453
S66x8/15-090,-497.0728827207
S66x8/15-095,-497.0737883617
S66x8/15-100,-497.073963363
S66x8/15-105,-497.0736587509
S66x8/15-110,-497.0730491286
S66x8/15-125,-497.0706074379
S66x8/15-150,-497.0673167583
S66x8/15-200,-497.063771974
S66x8/16-A,-248.5306931672
S66x8/16-B,-76.4511557246
S66x8/16-090,-324.9889702828
S66x8/16-095,-324.9896067611
S66x8/16-100,-324.9896924499
S66x8/16-105,-324.9894630573
S66x8/16-110,-324.9890704026
S66x8/16-125,-324.9876241851
S66x8/16-150,-324.9857222699
S66x8/16-200,-324.9837999106
S66x8/17-A,-414.8563138768
S66x8/17-B,-414.8564597519
S66x8/17-090,-829.7357680572
S66x8/17-095,-829.7380153372
S66x8/17-100,-829.7387227261
S66x8/17-105,-829.738359622
S66x8/17-110,-829.7372881287
S66x8/17-125,-829.732295191
S66x8/17-150,-829.7248356055
S66x8/17-200,-829.7178322207
S66x8/18-A,-76.451194766
S66x8/18-B,-248.2532483156
S66x8/18-090,-324.7135195488
S66x8/18-095,-324.7142971962
S66x8/18-100,-324.7144401653
S66x8/18-105,-324.7141620856
S66x8/18-110,-324.7136248057
S66x8/18-125,-324.7114779792
S66x8/18-150,-324.7086276991
S66x8/18-200,-324.7060737033
S66x8/19-A,-115.7342683853
S66x8/19-B,-248.2532480252
S66x8/19-090,-363.9965252836
S66x8/19-095,-363.9975200525
S66x8/19-100,-363.9978303878
S66x8/19-105,-363.9976758167
S66x8/19-110,-363.9970695716
S66x8/19-125,-363.995126239
S66x8/19-150,-363.991946426
S66x8/19-200,-363.9892367964
S66x8/20-A,-229.115821298
S66x8/20-B,-229.1158339633
S66x8/20-090,-458.2602925975
S66x8/20-095,-458.2624482038
S66x8/20-100,-458.2629629871
S66x8/20-105,-458.2623608758
S66x8/20-110,-458.2610124214
S66x8/20-125,-458.2549551416
S66x8/20-150,-458.2457460279
S66x8/20-200,-458.2372441645
S66x8/21-A,-209.2323389031
S66x8/21-B,-209.2323449644
S66x8/21-090,-418.4872145748
S66x8/21-095,-418.4893018454
S66x8/21-100,-418.4898891083
S66x8/21-105,-418.4894495771
S66x8/21-110,-418.4883505984
S66x8/21-125,-418.4835323529
S66x8/21-150,-418.4766308381
S66x8/21-200,-418.4694962075
S66x8/22-A,-229.11579541
S66x8/22-B,-414.8562240132
S66x8/22-090,-643.9998112213
S66x8/22-095,-644.0020767196
S66x8/22-100,-644.0027499569
S66x8/22-105,-644.0023115292
S66x8/22-110,-644.001120374
S66x8/22-125,-643.9955252544
S66x8/22-150,-643.9868413662
S66x8/22-200,-643.978452009
S66x8/23-A,-209.2322244257
S66x8/23-B,-414.8560045069
S66x8/23-090,-624.1149565003
S66x8/23-095,-624.1171631254
S66x8/23-100,-624.1178816404
S66x8/23-105,-624.117557706
S66x8/23-110,-624.1165304866
S66x8/23-125,-624.1115543232
S66x8/23-150,-624.1036459988
S66x8/23-200,-624.0955944339
S66x8/24-A,-232.2053509326
S66x8/24-B,-232.2053105092
S66x8/24-090,-464.4103665759
S66x8/24-095,-464.4128706375
S66x8/24-100,-464.4135030148
S66x8/24-105,-464.4132848963
S66x8/24-110,-464.4127357222
S66x8/24-125,-464.4112245414
S66x8/24-150,-464.4105633965
S66x8/24-200,-464.4105634242
S66x8/25-A,-248.2531555083
S66x8/25-B,-248.2532019225
S66x8/25-090,-496.5078702848
S66x8/25-095,-496.5104034945
S66x8/25-100,-496.511053391
S66x8/25-105,-496.5107776964
S66x8/25-110,-496.5101537675
S66x8/25-125,-496.508174824
S66x8/25-150,-496.5069358712
S66x8/25-200,-496.5065737608
S66x8/26-A,-414.8567954375
S66x8/26-B,-414.8567954375
S66x8/26-090,-829.7263178935
S66x8/26-095,-829.7281496005
S66x8/26-100,-829.7279047617
S66x8/26-105,-829.7267277969
S66x8/26-110,-829.7251949649
S66x8/26-125,-829.7208755565
S66x8/26-150,-829.7171259624
S66x8/26-200,-829.7148610983
S66x8/27-A,-232.2053473496
S66x8/27-B,-248.2532169619
S66x8/27-090,-480.4591379302
S66x8/27-095,-480.4618398597
S66x8/27-100,-480.462482242
S66x8/27-105,-480.4621928669
S66x8/27-110,-480.4615461449
S66x8/27-125,-480.4597623105
S66x8/27-150,-480.458756734
S66x8/27-200,-480.4585742507
S66x8/28-A,-232.2051807262
S66x8/28-B,-414.8574739238
S66x8/28-090,-647.0685946031
S66x8/28-095,-647.0706472318
S66x8/28-100,-647.0708177708
S66x8/28-105,-647.0700294791
S66x8/28-110,-647.0689421575
S66x8/28-125,-647.0658537246
S66x8/28-150,-647.0635777257
S66x8/28-200,-647.0627338351
S66x8/29-A,-248.2531378461
S66x8/29-B,-414.857431227
S66x8/29-090,-663.1166488854
S66x8/29-095,-663.119865704
S66x8/29-100,-663.1201616394
S66x8/29-105,-663.1192867258
S66x8/29-110,-663.1179010508
S66x8/29-125,-663.1144983173
S66x8/29-150,-663.112210649
S66x8/29-200,-663.1110025809
S66x8/30-A,-232.2053303251
S66x8/30-B,-78.5703656531
S66x8/30-090,-310.7757296835
S66x8/30-095,-310.7767903819
S66x8/30-100,-310.7769741473
S66x8/30-105,-310.7767905255
S66x8/30-110,-310.7764784885
S66x8/30-125,-310.7756515024
S66x8/30-150,-310.7754879975
S66x8/30-200,-310.7755902532
S66x8/31-A,-414.857497372
S66x8/31-B,-78.5703522415
S66x8/31-090,-493.4318630025
S66x8/31-095,-493.4325259762
S66x8/31-100,-493.4324393788
S66x8/31-105,-493.4319729108
S66x8/31-110,-493.4314098265
S66x8/31-125,-493.4298619065
S66x8/31-150,-493.4286677067
S66x8/31-200,-493.4280312401
S66x8/32-A,-414.8575404452
S66x8/32-B,-77.3197861304
S66x8/32-090,-492.1815064574
S66x8/32-095,-492.1824096874
S66x8/32-100,-492.1823731458
S66x8/32-105,-492.1819318035
S66x8/32-110,-492.1813072071
S66x8/32-125,-492.179582602
S66x8/32-150,-492.1781715551
S66x8/32-200,-492.1773248539
S66x8/33-A,-248.2532362017
S66x8/33-B,-78.5703305986
S66x8/33-090,-326.8245467908
S66x8/33-095,-326.825417181
S66x8/33-100,-326.8255348568
S66x8/33-105,-326.8253242969
S66x8/33-110,-326.8249821334
S66x8/33-125,-326.8240526897
S66x8/33-150,-326.8235616376
S66x8/33-200,-326.8235466948
S66x8/34-A,-197.7216247519
S66x8/34-B,-197.7215499964
S66x8/34-090,-395.4495330612
S66x8/34-095,-395.4496004255
S66x8/34-100,-395.4490924088
S66x8/34-105,-395.4482044253
S66x8/34-110,-395.4472892188
S66x8/34-125,-395.4452406441
S66x8/34-150,-395.4437950053
S66x8/34-200,-395.4435360709
S66x8/35-A,-197.7215944588
S66x8/35-B,-197.727198332
S66x8/35-090,-395.4516069719
S66x8/35-095,-395.45206817
S66x8/35-100,-395.4519059915
S66x8/35-105,-395.4514256434
S66x8/35-110,-395.4509291754
S66x8/35-125,-395.449747336
S66x8/35-150,-395.4490450722
S66x8/35-200,-395.4488219024
S66x8/36-A,-197.7272275025
S66x8/36-B,-197.7272456089
S66x8/36-090,-395.4556185878
S66x8/36-095,-395.4558470251
S66x8/36-100,-395.4558232494
S66x8/36-105,-395.4556332202
S66x8/36-110,-395.4554555632
S66x8/36-125,-395.4548775407
S66x8/36-150,-395.4544887319
S66x8/36-200,-395.4543110898
S66x8/37-A,-196.5136079639
S66x8/37-B,-197.7271543536
S66x8/37-090,-394.2432301041
S66x8/37-095,-394.2436923886
S66x8/37-100,-394.243535697
S66x8/37-105,-394.2431539388
S66x8/37-110,-394.2426973275
S66x8/37-125,-394.2416498509
S66x8/37-150,-394.2410237351
S66x8/37-200,-394.2408049638
S66x8/38-A,-196.5135865125
S66x8/38-B,-196.5135745604
S66x8/38-090,-393.0297651484
S66x8/38-095,-393.0302772681
S66x8/38-100,-393.0301518216
S66x8/38-105,-393.0297216299
S66x8/38-110,-393.0291753902
S66x8/38-125,-393.0280684924
S66x8/38-150,-393.027350015
S66x8/38-200,-393.0272171022
S66x8/39-A,-232.2053157062
S66x8/39-B,-196.5135811675
S66x8/39-090,-428.7225130384
S66x8/39-095,-428.7237295133
S66x8/39-100,-428.7238016634
S66x8/39-105,-428.7232793644
S66x8/39-110,-428.7225651603
S66x8/39-125,-428.7207345482
S66x8/39-150,-428.7194268007
S66x8/39-200,-428.7189727933
S66x8/40-A,-232.2053007976
S66x8/40-B,-197.7273000206
S66x8/40-090,-429.9349857794
S66x8/40-095,-429.9359084571
S66x8/40-100,-429.935982127
S66x8/40-105,-429.9356232953
S66x8/40-110,-429.9351670477
S66x8/40-125,-429.93377084
S66x8/40-150,-429.9329752044
S66x8/40-200,-429.9325625976
S66x8/41-A,-414.8574843808
S66x8/41-B,-197.7216791048
S66x8/41-090,-612.5860174131
S66x8/41-095,-612.5865361279
S66x8/41-100,-612.5860612244
S66x8/41-105,-612.5851728146
S66x8/41-110,-612.5838845992
S66x8/41-125,-612.5811700241
S66x8/41-150,-612.5796807021
S66x8/41-200,-612.579204796
S66x8/42-A,-414.8575030102
S66x8/42-B,-196.5135733805
S66x8/42-090,-611.3756016662
S66x8/42-095,-611.3764388692
S66x8/42-100,-611.3761891485
S66x8/42-105,-611.3755551411
S66x8/42-110,-611.3747144543
S66x8/42-125,-611.3727591846
S66x8/42-150,-611.3716212289
S66x8/42-200,-611.3711355623
S66x8/43-A,-414.8575209563
S66x8/43-B,-197.7270772194
S66x8/43-090,-612.5887475046
S66x8/43-095,-612.5894010158
S66x8/43-100,-612.5892031613
S66x8/43-105,-612.5885737379
S66x8/43-110,-612.5879245778
S66x8/43-125,-612.5862557077
S66x8/43-150,-612.5851916822
S66x8/43-200,-612.584659466
S66x8/44-A,-78.5703644782
S66x8/44-B,-197.7216790651
S66x8/44-090,-276.294975124
S66x8/44-095,-276.2949926919
S66x8/44-100,-276.2946714321
S66x8/44-105,-276.2942298898
S66x8/44-110,-276.293807532
S66x8/44-125,-276.2928395467
S66x8/44-150,-276.2923005288
S66x8/44-200,-276.2920637968
S66x8/45-A,-77.3197914507
S66x8/45-B,-197.7216493677
S66x8/45-090,-275.0431923805
S66x8/45-095,-275.0435594226
S66x8/45-100,-275.0434567713
S66x8/45-105,-275.0431712981
S66x8/45-110,-275.0428245502
S66x8/45-125,-275.0420221021
S66x8/45-150,-275.0415717356
S66x8/45-200,-275.041264722
S66x8/46-A,-248.5307682366
S66x8/46-B,-197.7215008982
S66x8/46-090,-446.2595470297
S66x8/46-095,-446.2594853487
S66x8/46-100,-446.258931841
S66x8/46-105,-446.2581123934
S66x8/46-110,-446.2572327312
S66x8/46-125,-446.255011291
S66x8/46-150,-446.2532420931
S66x8/46-200,-446.2525928798
S66x8/47-A,-232.2052810705
S66x8/47-B,-232.2051492112
S66x8/47-090,-464.4124144943
S66x8/47-095,-464.4137615936
S66x8/47-100,-464.4140281172
S66x8/47-105,-464.4138444269
S66x8/47-110,-464.413425395
S66x8/47-125,-464.4122354193
S66x8/47-150,-464.4112777023
S66x8/47-200,-464.4107975203
S66x8/48-A,-248.2531723932
S66x8/48-B,-248.2530980821
S66x8/48-090,-496.5097409749
S66x8/48-095,-496.5107515057
S66x8/48-100,-496.5108893362
S66x8/48-105,-496.5106428458
S66x8/48-110,-496.5101646516
S66x8/48-125,-496.5087966193
S66x8/48-150,-496.5075664035
S66x8/48-200,-496.5068073729
S66x8/49-A,-232.2052817716
S66x8/49-B,-248.2531567866
S66x8/49-090,-480.4612007951
S66x8/49-095,-480.4625766576
S66x8/49-100,-480.4628178771
S66x8/49-105,-480.4625923094
S66x8/49-110,-480.462115469
S66x8/49-125,-480.4607302068
S66x8/49-150,-480.459555078
S66x8/49-200,-480.4588722431
S66x8/50-A,-232.2052652237
S66x8/50-B,-77.3198873663
S66x8/50-090,-309.5280930349
S66x8/50-095,-309.5291135478
S66x8/50-100,-309.5292514653
S66x8/50-105,-309.5289799179
S66x8/50-110,-309.5285576213
S66x8/50-125,-309.5273100063
S66x8/50-150,-309.5260502546
S66x8/50-200,-309.5252795377
S66x8/51-A,-77.3198078201
S66x8/51-B,-77.3198999188
S66x8/51-090,-154.6410644252
S66x8/51-095,-154.6414542004
S66x8/51-100,-154.6415244831
S66x8/51-105,-154.6414398547
S66x8/51-110,-154.6412940672
S66x8/51-125,-154.6408192802
S66x8/51-150,-154.6402644545
S66x8/51-200,-154.6398158639
S66x8/52-A,-232.2052632461
S66x8/52-B,-229.1177541424
S66x8/52-090,-461.3294855706
S66x8/52-095,-461.3302225436
S66x8/52-100,-461.3301758446
S66x8/52-105,-461.3297302303
S66x8/52-110,-461.3290977635
S66x8/52-125,-461.3271904999
S66x8/52-150,-461.3252122085
S66x8/52-200,-461.3237479029
S66x8/53-A,-232.2052687574
S66x8/53-B,-209.2332832434
S66x8/53-090,-441.4441779054
S66x8/53-095,-441.444812809
S66x8/53-100,-441.4448161171
S66x8/53-105,-441.4444719548
S66x8/53-110,-441.4439897458
S66x8/53-125,-441.4424019854
S66x8/53-150,-441.4406349047
S66x8/53-200,-441.4391461878
S66x8/54-A,-232.2052482515
S66x8/54-B,-76.4510294825
S66x8/54-090,-308.6616470743
S66x8/54-095,-308.6620184139
S66x8/54-100,-308.6618586796
S66x8/54-105,-308.6614619185
S66x8/54-110,-308.6609649237
S66x8/54-125,-308.6595612797
S66x8/54-150,-308.6581060221
S66x8/54-200,-308.6569402107
S66x8/55-A,-232.2052210353
S66x8/55-B,-115.7346069117
S66x8/55-090,-347.9458475758
S66x8/55-095,-347.9465207567
S66x8/55-100,-347.9464803279
S66x8/55-105,-347.9460940246
S66x8/55-110,-347.9455021022
S66x8/55-125,-347.9437326823
S66x8/55-150,-347.9419432253
S66x8/55-200,-347.9405937375
S66x8/56-A,-232.205277382
S66x8/56-B,-95.8545159841
S66x8/56-090,-328.0638718714
S66x8/56-095,-328.0645191388
S66x8/56-100,-328.0644951905
S66x8/56-105,-328.0641378674
S66x8/56-110,-328.0636072379
S66x8/56-125,-328.0621132734
S66x8/56-150,-328.060856919
S66x8/56-200,-328.0601409195
S66x8/57-A,-232.2052268767
S66x8/57-B,-248.5306911246
S66x8/57-090,-480.7421193303
S66x8/57-095,-480.7436425768
S66x8/57-100,-480.7437743093
S66x8/57-105,-480.7432526056
S66x8/57-110,-480.7424672081
S66x8/57-125,-480.7401408737
S66x8/57-150,-480.738097322
S66x8/57-200,-480.7367557894
S66x8/58-A,-248.2531893523
S66x8/58-B,-248.2530782495
S66x8/58-090,-496.5096073679
S66x8/58-095,-496.5111923362
S66x8/58-100,-496.5115899515
S66x8/58-105,-496.5111339118
S66x8/58-110,-496.5104753527
S66x8/58-125,-496.5088487165
S66x8/58-150,-496.5075363034
S66x8/58-200,-496.5066667921
S66x8/59-A,-77.3199755254
S66x8/59-B,-76.4511375997
S66x8/59-090,-153.7751085605
S66x8/59-095,-153.7754827466
S66x8/59-100,-153.7754826979
S66x8/59-105,-153.7752892763
S66x8/59-110,-153.7750026438
S66x8/59-125,-153.7740519967
S66x8/59-150,-153.7728715022
S66x8/59-200,-153.77171857
S66x8/60-A,-77.3198044866
S66x8/60-B,-229.1177306634
S66x8/60-090,-306.4446119994
S66x8/60-095,-306.4452811225
S66x8/60-100,-306.4452357767
S66x8/60-105,-306.4447928824
S66x8/60-110,-306.4441589591
S66x8/60-125,-306.4421627953
S66x8/60-150,-306.4399810823
S66x8/60-200,-306.4382657439
S66x8/61-A,-197.7215867877
S66x8/61-B,-229.1178176826
S66x8/61-090,-426.8436118267
S66x8/61-095,-426.8435371469
S66x8/61-100,-426.8431793195
S66x8/61-105,-426.8427377163
S66x8/61-110,-426.8422437428
S66x8/61-125,-426.8409957741
S66x8/61-150,-426.8399512416
S66x8/61-200,-426.8395193849
S66x8/62-A,-197.7216544542
S66x8/62-B,-209.2332686337
S66x8/62-090,-406.9602587847
S66x8/62-095,-406.9602425568
S66x8/62-100,-406.9597806455
S66x8/62-105,-406.9591707917
S66x8/62-110,-406.9585626009
S66x8/62-125,-406.9569281689
S66x8/62-150,-406.9557045662
S66x8/62-200,-406.9551049537
S66x8/63-A,-232.2053194623
S66x8/63-B,-229.1177622453
S66x8/63-090,-461.3279763855
S66x8/63-095,-461.3288624448
S66x8/63-100,-461.3287505031
S66x8/63-105,-461.3281970426
S66x8/63-110,-461.3274706768
S66x8/63-125,-461.3256308196
S66x8/63-150,-461.3240983091
S66x8/63-200,-461.3233179062
S66x8/64-A,-248.5307323898
S66x8/64-B,-78.5704658688
S66x8/64-090,-327.1048578915
S66x8/64-095,-327.1051635737
S66x8/64-100,-327.1050446041
S66x8/64-105,-327.1047013329
S66x8/64-110,-327.1043066949
S66x8/64-125,-327.1031285643
S66x8/64-150,-327.1019994208
S66x8/64-200,-327.1012647642
S66x8/65-A,-248.2532361786
S66x8/65-B,-77.3192335396
S66x8/65-090,-325.577804381
S66x8/65-095,-325.5784637891
S66x8/65-100,-325.5786134404
S66x8/65-105,-325.5784481844
S66x8/65-110,-325.5781145065
S66x8/65-125,-325.5768839019
S66x8/65-150,-325.5753594548
S66x8/65-200,-325.5739977891
S66x8/66-A,-95.8545432026
S66x8/66-B,-248.253203674
S66x8/66-090,-344.1126931841
S66x8/66-095,-344.1131922921
S66x8/66-100,-344.1131354525
S66x8/66-105,-344.1127988078
S66x8/66-110,-344.1123319689
S66x8/66-125,-344.110901105
