system,SCAN/def2-QZVP/TM
S66x8/06-150,-211.5914625972
S66x8/06-200,-211.5882205151
S66x8/07-A,-115.7305182043
S66x8/07-B,-248.5376151361
S66x8/07-090,-364.2815018105
S66x8/07-095,-364.2820142101
S66x8/07-100,-364.2819021582
S66x8/07-105,-364.2813995025
S66x8/07-110,-364.2806671582
S66x8/07-125,-364.2780074497
S66x8/07-150,-364.2737456867
S66x8/07-200,-364.2697409498
S66x8/08-A,-115.7306490162
S66x8/08-B,-76.4384459719
S66x8/08-090,-192.1775868004
S66x8/08-095,-192.177925585
S66x8/08-100,-192.1778053474
S66x8/08-105,-192.1774127131
S66x8/08-110,-192.1768724872
S66x8/08-125,-192.175039779
S66x8/08-150,-192.1726553759
S66x8/08-200,-192.1705360565
S66x8/09-A,-95.8558522012
S66x8/09-B,-115.7307296286
S66x8/09-090,-211.5908797133
S66x8/09-095,-211.5911591341
S66x8/09-100,-211.5910982095
S66x8/09-105,-211.590847347
S66x8/09-110,-211.5905030577
S66x8/09-125,-211.5893912357
S66x8/09-150,-211.588106378
S66x8/09-200,-211.5871498834
S66x8/10-A,-95.855875014
S66x8/10-B,-95.8558746457
S66x8/10-090,-191.7174842416
S66x8/10-095,-191.7179833093
S66x8/10-100,-191.7179829829
S66x8/10-105,-191.7176899533
S66x8/10-110,-191.7172419398
S66x8/10-125,-191.7156944081
S66x8/10-150,-191.7134919234
S66x8/10-200,-191.7122663722
S66x8/11-A,-95.8557110624
S66x8/11-B,-248.5377755677
S66x8/11-090,-344.401046754
S66x8/11-095,-344.4015878707
S66x8/11-100,-344.4015907847
S66x8/11-105,-344.4012670039
S66x8/11-110,-344.40076021
S66x8/11-125,-344.3980206808
S66x8/11-150,-344.3954133949
S66x8/11-200,-344.3942046612
S66x8/12-A,-95.8558554604
S66x8/12-B,-76.4381227396
S66x8/12-090,-172.3065427865
S66x8/12-095,-172.3069250599
S66x8/12-100,-172.3067094295
S66x8/12-105,-172.3061293976
S66x8/12-110,-172.3053463687
S66x8/12-125,-172.3026736261
S66x8/12-150,-172.2991256185
S66x8/12-200,-172.2959825537
S66x8/13-A,-248.5377224698
S66x8/13-B,-115.7307159026
S66x8/13-090,-364.2770644634
S66x8/13-095,-364.2776533577
S66x8/13-100,-364.2777047108
S66x8/13-105,-364.2774231475
S66x8/13-110,-364.2769482229
S66x8/13-125,-364.2751470495
S66x8/13-150,-364.2726247627
S66x8/13-200,-364.2702780209
S66x8/14-A,-248.5375184981
S66x8/14-B,-95.8558723885
S66x8/14-090,-344.4040867244
S66x8/14-095,-344.4047457577
S66x8/14-100,-344.4047916755
S66x8/14-105,-344.4044497592
S66x8/14-110,-344.4038763726
S66x8/14-125,-344.4016715753
S66x8/14-150,-344.3984994755
S66x8/14-200,-344.3955009561
S66x8/15-A,-248.5376529829
S66x8/15-B,-248.5377300327
S66x8/15-090,-497.0874415859
S66x8/15-095,-497.0881405193
S66x8/15-100,-497.0882149182
S66x8/15-105,-497.0878882284
S66x8/15-110,-497.0873158414
S66x8/15-125,-497.0850461372
S66x8/15-150,-497.0816377036
S66x8/15-200,-497.0778620909
S66x8/16-A,-248.537809401
S66x8/16-B,-76.438447276
S66x8/16-090,-324.9839251164
S66x8/16-095,-324.9843948104
S66x8/16-100,-324.9844045919
S66x8/16-105,-324.984135431
S66x8/16-110,-324.983709311
S66x8/16-125,-324.9821530245
S66x8/16-150,-324.9800178259
S66x8/16-200,-324.9780023194
S66x8/17-A,-414.8625955044
S66x8/17-B,-414.8626799029
S66x8/17-090,-829.751676788
S66x8/17-095,-829.7530202039
S66x8/17-100,-829.7530495885
S66x8/17-105,-829.7522324737
S66x8/17-110,-829.7508964474
S66x8/17-125,-829.7457057041
S66x8/17-150,-829.7379488292
S66x8/17-200,-829.7302322184
S66x8/18-A,-76.4384485711
S66x8/18-B,-248.2766522728
S66x8/18-090,-324.7262963468
S66x8/18-095,-324.7266370452
S66x8/18-100,-324.7264351818
S66x8/18-105,-324.7259053725
S66x8/18-110,-324.7251947601
S66x8/18-125,-324.7227836053
S66x8/18-150,-324.7195907243
S66x8/18-200,-324.7167329144
S66x8/19-A,-115.7304439343
S66x8/19-B,-248.2766454505
S66x8/19-090,-364.0185689802
S66x8/19-095,-364.0190986821
S66x8/19-100,-364.0190169864
S66x8/19-105,-364.0185549704
S66x8/19-110,-364.0178269414
S66x8/19-125,-364.0154210648
S66x8/19-150,-364.0119505725
S66x8/19-200,-364.0088067342
S66x8/20-A,-229.1115394064
S66x8/20-B,-229.1115336968
S66x8/20-090,-458.2559503224
S66x8/20-095,-458.2571935365
S66x8/20-100,-458.2569495326
S66x8/20-105,-458.2557637365
S66x8/20-110,-458.2540168659
S66x8/20-125,-458.247622097
S66x8/20-150,-458.2382183427
S66x8/20-200,-458.2288012028
S66x8/21-A,-209.2327966691
S66x8/21-B,-209.232799331
S66x8/21-090,-418.4911831925
S66x8/21-095,-418.4924116278
S66x8/21-100,-418.492387508
S66x8/21-105,-418.4915663765
S66x8/21-110,-418.4902670494
S66x8/21-125,-418.4853360123
S66x8/21-150,-418.4780930342
S66x8/21-200,-418.4702634281
S66x8/22-A,-229.1114572805
S66x8/22-B,-414.8624249876
S66x8/22-090,-644.0055163
S66x8/22-095,-644.0068506455
S66x8/22-100,-644.0067726596
S66x8/22-105,-644.0057836573
S66x8/22-110,-644.0042382528
S66x8/22-125,-643.9983366536
S66x8/22-150,-643.9894415339
S66x8/22-200,-643.9802697833
S66x8/23-A,-209.232711389
S66x8/23-B,-414.8622729185
S66x8/23-090,-624.1250066333
S66x8/23-095,-624.1263544972
S66x8/23-100,-624.1264101246
S66x8/23-105,-624.1256174984
S66x8/23-110,-624.1242949966
S66x8/23-125,-624.1190469459
S66x8/23-150,-624.1108838295
S66x8/23-200,-624.102138932
S66x8/24-A,-232.2351924294
S66x8/24-B,-232.2351597509
S66x8/24-090,-464.4674640416
S66x8/24-095,-464.4707584808
S66x8/24-100,-464.4721158669
S66x8/24-105,-464.4724717252
S66x8/24-110,-464.4723480717
S66x8/24-125,-464.4712903326
S66x8/24-150,-464.4703547457
S66x8/24-200,-464.4702478833
S66x8/25-A,-248.2766314223
S66x8/25-B,-248.2766561837
S66x8/25-090,-496.5522562082
S66x8/25-095,-496.5555128815
S66x8/25-100,-496.5568194865
S66x8/25-105,-496.5570937224
S66x8/25-110,-496.5568632295
S66x8/25-125,-496.5554642335
S66x8/25-150,-496.5539789401
S66x8/25-200,-496.5534457959
S66x8/26-A,-414.8631171275
S66x8/26-B,-414.8631171275
S66x8/26-090,-829.7358396919
S66x8/26-095,-829.7385741925
S66x8/26-100,-829.7391898865
S66x8/26-105,-829.7386644124
S66x8/26-110,-829.7375897425
S66x8/26-125,-829.7338260584
S66x8/26-150,-829.729848986
S66x8/26-200,-829.7274323716
S66x8/27-A,-232.2351863737
S66x8/27-B,-248.2766675054
S66x8/27-090,-480.5097910219
S66x8/27-095,-480.513259461
S66x8/27-100,-480.5146190419
S66x8/27-105,-480.5149073229
S66x8/27-110,-480.5146945245
S66x8/27-125,-480.5134203625
S66x8/27-150,-480.512174849
S66x8/27-200,-480.5118478778
S66x8/28-A,-232.2350698458
S66x8/28-B,-414.8636770197
S66x8/28-090,-647.1008109934
S66x8/28-095,-647.1037904795
S66x8/28-100,-647.1048131978
S66x8/28-105,-647.1047774894
S66x8/28-110,-647.1042240297
S66x8/28-125,-647.1019458706
S66x8/28-150,-647.0996880325
S66x8/28-200,-647.0987666959
S66x8/29-A,-248.2766063092
S66x8/29-B,-414.8636619985
S66x8/29-090,-663.1427081722
S66x8/29-095,-663.1468632774
S66x8/29-100,-663.1481141148
S66x8/29-105,-663.1479502184
S66x8/29-110,-663.147176084
S66x8/29-125,-663.1444147037
S66x8/29-150,-663.1419183642
S66x8/29-200,-663.1407051609
S66x8/30-A,-232.2351757522
S66x8/30-B,-78.5774151092
S66x8/30-090,-310.8118255185
S66x8/30-095,-310.8132646377
S66x8/30-100,-310.813781473
S66x8/30-105,-310.8138290155
S66x8/30-110,-310.8136634509
S66x8/30-125,-310.8129710966
S66x8/30-150,-310.8124623986
S66x8/30-200,-310.8124750248
S66x8/31-A,-414.863704639
S66x8/31-B,-78.5773977834
S66x8/31-090,-493.4437493015
S66x8/31-095,-493.4448715779
S66x8/31-100,-493.4451562621
S66x8/31-105,-493.44499388
S66x8/31-110,-493.4446192122
S66x8/31-125,-493.4432964236
S66x8/31-150,-493.4419590971
S66x8/31-200,-493.4412672195
S66x8/32-A,-414.863721744
S66x8/32-B,-77.3196418563
S66x8/32-090,-492.1866232405
S66x8/32-095,-492.1878845938
S66x8/32-100,-492.1881909679
S66x8/32-105,-492.1879860958
S66x8/32-110,-492.1875369342
S66x8/32-125,-492.1859545541
S66x8/32-150,-492.1843182922
S66x8/32-200,-492.1834114282
S66x8/33-A,-248.2766824107
S66x8/33-B,-78.5773840862
S66x8/33-090,-326.8544059283
S66x8/33-095,-326.8555988833
S66x8/33-100,-326.8560124231
S66x8/33-105,-326.8560090031
S66x8/33-110,-326.855804856
S66x8/33-125,-326.8549719914
S66x8/33-150,-326.8542193894
S66x8/33-200,-326.8540336585
S66x8/34-A,-197.7508418303
S66x8/34-B,-197.7508173704
S66x8/34-090,-395.5030446804
S66x8/34-095,-395.5044381456
S66x8/34-100,-395.5048514292
S66x8/34-105,-395.5047760411
S66x8/34-110,-395.5044896321
S66x8/34-125,-395.503386955
S66x8/34-150,-395.502347735
S66x8/34-200,-395.5019545322
S66x8/35-A,-197.7508341018
S66x8/35-B,-197.7560587557
S66x8/35-090,-395.5072517106
S66x8/35-095,-395.5084408984
S66x8/35-100,-395.508804786
S66x8/35-105,-395.5087792087
S66x8/35-110,-395.5085899468
S66x8/35-125,-395.5078843706
S66x8/35-150,-395.5072524371
S66x8/35-200,-395.5070217038
S66x8/36-A,-197.756069098
S66x8/36-B,-197.7560803504
S66x8/36-090,-395.5122751009
S66x8/36-095,-395.5128802638
S66x8/36-100,-395.5130787224
S66x8/36-105,-395.5130721287
S66x8/36-110,-395.5129912093
S66x8/36-125,-395.5126196266
S66x8/36-150,-395.5122616299
S66x8/36-200,-395.5121183178
S66x8/37-A,-196.5416167679
S66x8/37-B,-197.756035382
S66x8/37-090,-394.2975820827
S66x8/37-095,-394.2987834428
S66x8/37-100,-394.2991983393
S66x8/37-105,-394.2992392524
S66x8/37-110,-394.2991089912
S66x8/37-125,-394.2985186066
S66x8/37-150,-394.2979267306
S66x8/37-200,-394.2976890987
S66x8/38-A,-196.5416074972
S66x8/38-B,-196.541607892
S66x8/38-090,-393.0835147998
S66x8/38-095,-393.0846707184
S66x8/38-100,-393.0851365753
S66x8/38-105,-393.0851478177
S66x8/38-110,-393.0849505842
S66x8/38-125,-393.084175226
S66x8/38-150,-393.0834771625
S66x8/38-200,-393.083229492
S66x8/39-A,-232.2351642949
S66x8/39-B,-196.5415847603
S66x8/39-090,-428.7770683472
S66x8/39-095,-428.7790554737
S66x8/39-100,-428.7798190269
S66x8/39-105,-428.7798904071
S66x8/39-110,-428.7796225264
S66x8/39-125,-428.7784175437
S66x8/39-150,-428.7772420227
S66x8/39-200,-428.7767906061
S66x8/40-A,-232.2351530963
S66x8/40-B,-197.7560530555
S66x8/40-090,-429.9915695673
S66x8/40-095,-429.9931086091
S66x8/40-100,-429.9936657316
S66x8/40-105,-429.9937076714
S66x8/40-110,-429.9935033877
S66x8/40-125,-429.9925744597
S66x8/40-150,-429.9916460935
S66x8/40-200,-429.9912782949
S66x8/41-A,-414.8636910655
S66x8/41-B,-197.7509159285
S66x8/41-090,-612.6172514196
S66x8/41-095,-612.6188452112
S66x8/41-100,-612.619270783
S66x8/41-105,-612.6190746088
S66x8/41-110,-612.6184696354
S66x8/41-125,-612.6165261933
S66x8/41-150,-612.6150706095
S66x8/41-200,-612.6146290386
S66x8/42-A,-414.8637017239
S66x8/42-B,-196.5415832923
S66x8/42-090,-611.4067502396
S66x8/42-095,-611.4084667286
S66x8/42-100,-611.4089565398
S66x8/42-105,-611.4088321579
S66x8/42-110,-611.4084359084
S66x8/42-125,-611.4070374164
S66x8/42-150,-611.4057825984
S66x8/42-200,-611.4053202565
S66x8/43-A,-414.8637033564
S66x8/43-B,-197.7560046715
S66x8/43-090,-612.6216460331
S66x8/43-095,-612.6230122141
S66x8/43-100,-612.6233459663
S66x8/43-105,-612.6231704638
S66x8/43-110,-612.6227739701
S66x8/43-125,-612.621448377
S66x8/43-150,-612.6202389527
S66x8/43-200,-612.6197320758
S66x8/44-A,-78.577412908
S66x8/44-B,-197.7508792003
S66x8/44-090,-276.3294373807
S66x8/44-095,-276.3299900145
S66x8/44-100,-276.3300843759
S66x8/44-105,-276.3299661162
S66x8/44-110,-276.3297597104
S66x8/44-125,-276.3291239946
S66x8/44-150,-276.3285841145
S66x8/44-200,-276.3283856658
S66x8/45-A,-77.3196580645
S66x8/45-B,-197.7508954849
S66x8/45-090,-275.0710929528
S66x8/45-095,-275.0719515257
S66x8/45-100,-275.0722047314
S66x8/45-105,-275.0721507203
S66x8/45-110,-275.0719607473
S66x8/45-125,-275.0712897311
S66x8/45-150,-275.0706758957
S66x8/45-200,-275.0703987358
S66x8/46-A,-248.5378434805
S66x8/46-B,-197.7508290715
S66x8/46-090,-446.2920993463
S66x8/46-095,-446.2929177576
S66x8/46-100,-446.2930772285
S66x8/46-105,-446.2928685852
S66x8/46-110,-446.2924765725
S66x8/46-125,-446.2911080767
S66x8/46-150,-446.2895363508
S66x8/46-200,-446.2888702214
S66x8/47-A,-232.2351404676
S66x8/47-B,-232.2350400439
S66x8/47-090,-464.4704380402
S66x8/47-095,-464.4721702603
S66x8/47-100,-464.4728332369
S66x8/47-105,-464.4729329081
S66x8/47-110,-464.4727578703
S66x8/47-125,-464.4718484192
S66x8/47-150,-464.4708796123
S66x8/47-200,-464.4704242644
S66x8/48-A,-248.2766321348
S66x8/48-B,-248.276592566
S66x8/48-090,-496.5549551683
S66x8/48-095,-496.5563562499
S66x8/48-100,-496.5568635547
S66x8/48-105,-496.5568794266
S66x8/48-110,-496.5566425063
S66x8/48-125,-496.5555568788
S66x8/48-150,-496.5543127832
S66x8/48-200,-496.5535784834
S66x8/49-A,-232.2351398859
S66x8/49-B,-248.2766288401
S66x8/49-090,-480.5127019791
S66x8/49-095,-480.5144419332
S66x8/49-100,-480.5150786839
S66x8/49-105,-480.5151349599
S66x8/49-110,-480.5149095196
S66x8/49-125,-480.5138489023
S66x8/49-150,-480.512699133
S66x8/49-200,-480.5120683331
S66x8/50-A,-232.2351307334
S66x8/50-B,-77.3197036804
S66x8/50-090,-309.556752228
S66x8/50-095,-309.5579629068
S66x8/50-100,-309.558311593
S66x8/50-105,-309.5582130798
S66x8/50-110,-309.5579095436
S66x8/50-125,-309.5568036747
S66x8/50-150,-309.5556576137
S66x8/50-200,-309.5549650485
S66x8/51-A,-77.319668963
S66x8/51-B,-77.3197185459
S66x8/51-090,-154.6411642452
S66x8/51-095,-154.6415028346
S66x8/51-100,-154.6415366998
S66x8/51-105,-154.6414110985
S66x8/51-110,-154.6412130001
S66x8/51-125,-154.6405784195
S66x8/51-150,-154.6399241669
S66x8/51-200,-154.6395045316
S66x8/52-A,-232.2351301845
S66x8/52-B,-229.1134357003
S66x8/52-090,-461.3544623898
S66x8/52-095,-461.3553399251
S66x8/52-100,-461.3554639862
S66x8/52-105,-461.3551656512
S66x8/52-110,-461.3546509197
S66x8/52-125,-461.3528334113
S66x8/52-150,-461.350691367
S66x8/52-200,-461.3491695637
S66x8/53-A,-232.2351360179
S66x8/53-B,-209.2336770132
S66x8/53-090,-441.4739861406
S66x8/53-095,-441.4746898891
S66x8/53-100,-441.4748117215
S66x8/53-105,-441.4745937827
S66x8/53-110,-441.4741934022
S66x8/53-125,-441.472710214
S66x8/53-150,-441.4708298757
S66x8/53-200,-441.4693109725
S66x8/54-A,-232.2351177271
S66x8/54-B,-76.4384014661
S66x8/54-090,-308.6786463511
S66x8/54-095,-308.6791285646
S66x8/54-100,-308.6790686318
S66x8/54-105,-308.6787257325
S66x8/54-110,-308.6782551121
S66x8/54-125,-308.6767884164
S66x8/54-150,-308.6751899431
S66x8/54-200,-308.6740660766
S66x8/55-A,-232.2350976458
S66x8/55-B,-115.7306899775
S66x8/55-090,-347.9709479042
S66x8/55-095,-347.9717911925
S66x8/55-100,-347.9719371398
S66x8/55-105,-347.971686776
S66x8/55-110,-347.9712327256
S66x8/55-125,-347.9696142735
S66x8/55-150,-347.9677293391
S66x8/55-200,-347.9664204548
S66x8/56-A,-232.2351382788
S66x8/56-B,-95.8558553841
S66x8/56-090,-328.0938581363
S66x8/56-095,-328.0948097018
S66x8/56-100,-328.095076331
S66x8/56-105,-328.0949402304
S66x8/56-110,-328.0945795106
S66x8/56-125,-328.0932980991
S66x8/56-150,-328.0919886251
S66x8/56-200,-328.0912651268
S66x8/57-A,-232.2350998628
S66x8/57-B,-248.5378256462
S66x8/57-090,-480.7766036189
S66x8/57-095,-480.7787208502
S66x8/57-100,-480.7793943566
S66x8/57-105,-480.7793066368
S66x8/57-110,-480.7788489715
S66x8/57-125,-480.7770040113
S66x8/57-150,-480.7749327007
S66x8/57-200,-480.7736181115
S66x8/58-A,-248.2765922495
S66x8/58-B,-248.2765663491
S66x8/58-090,-496.5558209773
S66x8/58-095,-496.55743566
S66x8/58-100,-496.5580456939
S66x8/58-105,-496.5577647527
S66x8/58-110,-496.5572120486
S66x8/58-125,-496.5556162325
S66x8/58-150,-496.5542356177
S66x8/58-200,-496.5534428882
S66x8/59-A,-77.3197391161
S66x8/59-B,-76.4384433111
S66x8/59-090,-153.7623747367
S66x8/59-095,-153.7626670327
S66x8/59-100,-153.7626362542
S66x8/59-105,-153.7624203522
S66x8/59-110,-153.7621088638
S66x8/59-125,-153.7610577367
S66x8/59-150,-153.759751217
S66x8/59-200,-153.7586356348
S66x8/60-A,-77.3196460492
S66x8/60-B,-229.1134193308
S66x8/60-090,-306.4409563526
S66x8/60-095,-306.4414526245
S66x8/60-100,-306.4413487236
S66x8/60-105,-306.4408985398
S66x8/60-110,-306.4402692931
S66x8/60-125,-306.4381804056
S66x8/60-150,-306.4356659319
S66x8/60-200,-306.4337653207
S66x8/61-A,-197.7508678657
S66x8/61-B,-229.1135214822
S66x8/61-090,-426.8669740496
S66x8/61-095,-426.8673180565
S66x8/61-100,-426.8673266307
S66x8/61-105,-426.8671469927
S66x8/61-110,-426.8668733316
S66x8/61-125,-426.8659679207
S66x8/61-150,-426.8648877297
S66x8/61-200,-426.8644625283
S66x8/62-A,-197.7509112998
S66x8/62-B,-209.2336887366
S66x8/62-090,-406.987739782
S66x8/62-095,-406.9883173916
S66x8/62-100,-406.9883646507
S66x8/62-105,-406.9881269868
S66x8/62-110,-406.9877579306
S66x8/62-125,-406.9865687873
S66x8/62-150,-406.9853601652
S66x8/62-200,-406.9847307777
S66x8/63-A,-232.2351699798
S66x8/63-B,-229.1134658056
S66x8/63-090,-461.3512401969
S66x8/63-095,-461.3526999372
S66x8/63-100,-461.3530945532
S66x8/63-105,-461.3529341443
S66x8/63-110,-461.3525160215
S66x8/63-125,-461.3510334984
S66x8/63-150,-461.3495411738
S66x8/63-200,-461.3488167924
S66x8/64-A,-248.5378044371
S66x8/64-B,-78.5774683864
S66x8/64-090,-327.1182341175
S66x8/64-095,-327.1187863106
S66x8/64-100,-327.1188615561
S66x8/64-105,-327.1186736499
S66x8/64-110,-327.1183565211
S66x8/64-125,-327.1172798026
S66x8/64-150,-327.1160425064
S66x8/64-200,-327.115338592
S66x8/65-A,-248.2766641278
S66x8/65-B,-77.3192084253
S66x8/65-090,-325.6018311921
S66x8/65-095,-325.6022099878
S66x8/65-100,-325.6021945085
S66x8/65-105,-325.6019431213
S66x8/65-110,-325.6015630727
S66x8/65-125,-325.600231426
S66x8/65-150,-325.5985324186
S66x8/65-200,-325.5971204241
S66x8/66-A,-95.855821711
S66x8/66-B,-248.2766475214
S66x8/66-090,-344.1370749506
S66x8/66-095,-344.1376755348
S66x8/66-100,-344.1377770508
S66x8/66-105,-344.1375797749
S66x8/66-110,-344.137218693
S66x8/66-125,-344.1358792991
