system,revPBE0/def2-QZVP/ORCA
S22x5/19-0.9,-614.9361234338
S22x5/19-1.0,-614.9384717146
S22x5/19-1.2,-614.9392946154
S22x5/19-1.5,-614.9381578607
S22x5/19-2.0,-614.9366183173
S22x5/20-A,-414.8173320072
S22x5/20-B,-414.8173319712
S22x5/20-0.9,-829.6227217461
S22x5/20-1.0,-829.6349304539
S22x5/20-1.2,-829.6386760115
S22x5/20-1.5,-829.6371147174
S22x5/20-2.0,-829.6355441507
S22x5/21-A,-414.8165292984
S22x5/21-B,-414.8165293147
S22x5/21-0.9,-829.6561824224
S22x5/21-1.0,-829.659263087
S22x5/21-1.2,-829.655671079
S22x5/21-1.5,-829.6474327444
S22x5/21-2.0,-829.6397307382
S22x5/22-A,-232.2439440032
S22x5/22-B,-93.4189395545
S22x5/22-0.9,-325.6641349179
S22x5/22-1.0,-325.6660157368
S22x5/22-1.2,-325.6664774923
S22x5/22-1.5,-325.6654428554
S22x5/22-2.0,-325.6640660152
S66x8/01-A,-76.4317286399
S66x8/01-B,-76.4317152679
S66x8/01-090,-152.8689984821
S66x8/01-095,-152.869632384
S66x8/01-100,-152.8698129414
S66x8/01-105,-152.8697149262
S66x8/01-110,-152.8694503705
S66x8/01-125,-152.8683116586
S66x8/01-150,-152.8665996517
S66x8/01-200,-152.8647633669
S66x8/02-A,-76.4317326241
S66x8/02-B,-115.725601293
S66x8/02-090,-192.1626865627
S66x8/02-095,-192.1634925285
S66x8/02-100,-192.1637781798
S66x8/02-105,-192.1637436666
S66x8/02-110,-192.1635126866
S66x8/02-125,-192.1623856648
S66x8/02-150,-192.1606013405
S66x8/02-200,-192.1586767584
S66x8/03-A,-76.431734663
S66x8/03-B,-95.8621728209
S66x8/03-090,-172.3021663724
S66x8/03-095,-172.3028451692
S66x8/03-100,-172.3029601943
S66x8/03-105,-172.3027254081
S66x8/03-110,-172.3022860004
S66x8/03-125,-172.3005387328
S66x8/03-150,-172.2980008071
S66x8/03-200,-172.2954455288
S66x8/04-A,-76.4317349626
S66x8/04-B,-248.5254635585
S66x8/04-090,-324.9652337626
S66x8/04-095,-324.9661527832
S66x8/04-100,-324.9664603183
S66x8/04-105,-324.9663874205
S66x8/04-110,-324.9660844711
S66x8/04-125,-324.9646193059
S66x8/04-150,-324.9622303508
S66x8/04-200,-324.9591752686
S66x8/05-A,-115.7255654567
S66x8/05-B,-115.7256295079
S66x8/05-090,-231.456317115
S66x8/05-095,-231.4572462801
S66x8/05-100,-231.4576217371
S66x8/05-105,-231.4576526647
S66x8/05-110,-231.4574703687
S66x8/05-125,-231.4564102206
S66x8/05-150,-231.4546377549
S66x8/05-200,-231.4526794092
S66x8/06-A,-115.7253409334
S66x8/06-B,-95.8621396646
S66x8/06-090,-211.5950018898
S66x8/06-095,-211.5960804162
S66x8/06-100,-211.5964668077
S66x8/06-105,-211.5964279994
S66x8/06-110,-211.5961295438
S66x8/06-125,-211.5945605675
S66x8/06-150,-211.5920200999
S66x8/06-200,-211.5893594835
S66x8/07-A,-115.7254320009
S66x8/07-B,-248.5253107867
S66x8/07-090,-364.2583089519
S66x8/07-095,-364.2594039415
S66x8/07-100,-364.2598355138
S66x8/07-105,-364.2598469079
S66x8/07-110,-364.2596013078
S66x8/07-125,-364.2582162774
S66x8/07-150,-364.2555097207
S66x8/07-200,-364.2523484869
S66x8/08-A,-115.7255839115
S66x8/08-B,-76.431718192
S66x8/08-090,-192.16257101
S66x8/08-095,-192.1633212576
S66x8/08-100,-192.1635872886
S66x8/08-105,-192.1635541145
S66x8/08-110,-192.1633373371
S66x8/08-125,-192.1622688825
S66x8/08-150,-192.1605796588
S66x8/08-200,-192.1587441145
S66x8/09-A,-95.8621641345
S66x8/09-B,-115.7256357479
S66x8/09-090,-211.5886513958
S66x8/09-095,-211.5895346398
S66x8/09-100,-211.590000833
S66x8/09-105,-211.5901999456
S66x8/09-110,-211.5902444538
S66x8/09-125,-211.5899430134
S66x8/09-150,-211.5892170591
S66x8/09-200,-211.588401477
S66x8/10-A,-95.8622083286
S66x8/10-B,-95.8621491059
S66x8/10-090,-191.725200844
S66x8/10-095,-191.726400982
S66x8/10-100,-191.7270578859
S66x8/10-105,-191.7273664101
S66x8/10-110,-191.7274415519
S66x8/10-125,-191.7270677364
S66x8/10-150,-191.7259045881
S66x8/10-200,-191.7248667624
S66x8/11-A,-95.8619884372
S66x8/11-B,-248.5254745392
S66x8/11-090,-344.3884252448
S66x8/11-095,-344.3898100163
S66x8/11-100,-344.3906003455
S66x8/11-105,-344.3910170717
S66x8/11-110,-344.3911902764
S66x8/11-125,-344.3906073351
S66x8/11-150,-344.389247284
S66x8/11-200,-344.3882102799
S66x8/12-A,-95.8621069135
S66x8/12-B,-76.4313040731
S66x8/12-090,-172.3015924331
S66x8/12-095,-172.3025026363
S66x8/12-100,-172.3027692393
S66x8/12-105,-172.3026313718
S66x8/12-110,-172.3022517456
S66x8/12-125,-172.3005867844
S66x8/12-150,-172.2980627142
S66x8/12-200,-172.2954784686
S66x8/13-A,-248.5253885509
S66x8/13-B,-115.7256442106
S66x8/13-090,-364.2545742688
S66x8/13-095,-364.2557770531
S66x8/13-100,-364.2564132887
S66x8/13-105,-364.2566813227
S66x8/13-110,-364.2567079739
S66x8/13-125,-364.2561053659
S66x8/13-150,-364.2546934942
S66x8/13-200,-364.2528567643
S66x8/14-A,-248.525183883
S66x8/14-B,-95.8621087604
S66x8/14-090,-344.3927061667
S66x8/14-095,-344.3939852754
S66x8/14-100,-344.3946118251
S66x8/14-105,-344.394810283
S66x8/14-110,-344.394732539
S66x8/14-125,-344.3937329544
S66x8/14-150,-344.3917548753
S66x8/14-200,-344.3893971491
S66x8/15-A,-248.5253671717
S66x8/15-B,-248.5254795222
S66x8/15-090,-497.0564876738
S66x8/15-095,-497.0578500474
S66x8/15-100,-497.0585553118
S66x8/15-105,-497.0588346736
S66x8/15-110,-497.0588322186
S66x8/15-125,-497.0580007847
S66x8/15-150,-497.0560945762
S66x8/15-200,-497.0532812947
S66x8/16-A,-248.5255464817
S66x8/16-B,-76.4317210452
S66x8/16-090,-324.9617080917
S66x8/16-095,-324.9626064321
S66x8/16-100,-324.9630210231
S66x8/16-105,-324.9631253503
S66x8/16-110,-324.9630348629
S66x8/16-125,-324.9622568833
S66x8/16-150,-324.9607967914
S66x8/16-200,-324.9590319024
S66x8/17-A,-414.8167739415
S66x8/17-B,-414.8169086386
S66x8/17-090,-829.652248552
S66x8/17-095,-829.6542724541
S66x8/17-100,-829.6549435454
S66x8/17-105,-829.654751953
S66x8/17-110,-829.6540348179
S66x8/17-125,-829.6505722619
S66x8/17-150,-829.6448158846
S66x8/17-200,-829.6384490519
S66x8/18-A,-76.4317339115
S66x8/18-B,-248.2773466978
S66x8/18-090,-324.7166701633
S66x8/18-095,-324.7174295851
S66x8/18-100,-324.7176150541
S66x8/18-105,-324.7174434221
S66x8/18-110,-324.7170604307
S66x8/18-125,-324.7154616026
S66x8/18-150,-324.713079696
S66x8/18-200,-324.7106251833
S66x8/19-A,-115.7253518038
S66x8/19-B,-248.277339843
S66x8/19-090,-364.0098737709
S66x8/19-095,-364.0108982661
S66x8/19-100,-364.0112722362
S66x8/19-105,-364.0112298592
S66x8/19-110,-364.0109269694
S66x8/19-125,-364.0094354733
S66x8/19-150,-364.0069873549
S66x8/19-200,-364.0043809895
S66x8/20-A,-229.0874769875
S66x8/20-B,-229.0874935372
S66x8/20-090,-458.1986082903
S66x8/20-095,-458.2006179856
S66x8/20-100,-458.2010860503
S66x8/20-105,-458.2005768185
S66x8/20-110,-458.1994763967
S66x8/20-125,-458.1948224506
S66x8/20-150,-458.1877090372
S66x8/20-200,-458.1802540577
S66x8/21-A,-209.2192389197
S66x8/21-B,-209.2192429452
S66x8/21-090,-418.4566447877
S66x8/21-095,-418.4585651408
S66x8/21-100,-418.4591946573
S66x8/21-105,-418.4589993743
S66x8/21-110,-418.4583030163
S66x8/21-125,-418.4549696021
S66x8/21-150,-418.4495905272
S66x8/21-200,-418.4430326327
S66x8/22-A,-229.0874326381
S66x8/22-B,-414.8166206794
S66x8/22-090,-643.9271616074
S66x8/22-095,-643.9292089065
S66x8/22-100,-643.9298075822
S66x8/22-105,-643.9294674846
S66x8/22-110,-643.9285447642
S66x8/22-125,-643.9243485948
S66x8/22-150,-643.9175796519
S66x8/22-200,-643.9100982877
S66x8/23-A,-209.2191168306
S66x8/23-B,-414.8164820393
S66x8/23-090,-624.0578490535
S66x8/23-095,-624.0598622406
S66x8/23-100,-624.060555213
S66x8/23-105,-624.0603836072
S66x8/23-110,-624.0596612247
S66x8/23-125,-624.0560312245
S66x8/23-150,-624.0498047816
S66x8/23-200,-624.0425142909
S66x8/24-A,-232.2440053242
S66x8/24-B,-232.2439901516
S66x8/24-090,-464.4730004276
S66x8/24-095,-464.4784702435
S66x8/24-100,-464.481866888
S66x8/24-105,-464.4840006807
S66x8/24-110,-464.4852942446
S66x8/24-125,-464.4870798643
S66x8/24-150,-464.4877090002
S66x8/24-200,-464.4878589752
S66x8/25-A,-248.2773395507
S66x8/25-B,-248.2773678243
S66x8/25-090,-496.5409642381
S66x8/25-095,-496.5464578022
S66x8/25-100,-496.5498113448
S66x8/25-105,-496.5518525058
S66x8/25-110,-496.5531446006
S66x8/25-125,-496.5547055874
S66x8/25-150,-496.5550479936
S66x8/25-200,-496.554840488
S66x8/26-A,-414.8173318128
S66x8/26-B,-414.817331838
S66x8/26-090,-829.6257576969
S66x8/26-095,-829.6315463203
S66x8/26-100,-829.6349302492
S66x8/26-105,-829.6368725519
S66x8/26-110,-829.6379288756
S66x8/26-125,-829.6386228702
S66x8/26-150,-829.6375334759
S66x8/26-200,-829.635832737
S66x8/27-A,-232.2440059088
S66x8/27-B,-248.2773766612
S66x8/27-090,-480.5067174536
S66x8/27-095,-480.5124926667
S66x8/27-100,-480.515932853
S66x8/27-105,-480.5180670298
S66x8/27-110,-480.5193423667
S66x8/27-125,-480.5209333706
S66x8/27-150,-480.5213728287
S66x8/27-200,-480.5213228148
S66x8/28-A,-232.2439219549
S66x8/28-B,-414.8179356914
S66x8/28-090,-647.0482079682
S66x8/28-095,-647.0537702165
S66x8/28-100,-647.0571728972
S66x8/28-105,-647.0593772505
S66x8/28-110,-647.0606513849
S66x8/28-125,-647.0621259783
S66x8/28-150,-647.0622225467
S66x8/28-200,-647.0618308904
S66x8/29-A,-248.2773172462
S66x8/29-B,-414.8179187187
S66x8/29-090,-663.0810246332
S66x8/29-095,-663.0882678322
S66x8/29-100,-663.0923569604
S66x8/29-105,-663.094672581
S66x8/29-110,-663.0958529092
S66x8/29-125,-663.0969445574
S66x8/29-150,-663.0965008333
S66x8/29-200,-663.095627705
S66x8/30-A,-232.2439980049
S66x8/30-B,-78.5882245133
S66x8/30-090,-310.8237041695
S66x8/30-095,-310.8265948569
S66x8/30-100,-310.828404342
S66x8/30-105,-310.8295557859
S66x8/30-110,-310.8302828723
S66x8/30-125,-310.8313749112
S66x8/30-150,-310.8318904848
S66x8/30-200,-310.8321032197
S66x8/31-A,-414.817975494
S66x8/31-B,-78.5882365728
S66x8/31-090,-493.4001548582
S66x8/31-095,-493.4027985012
S66x8/31-100,-493.4044553567
S66x8/31-105,-493.4054763077
S66x8/31-110,-493.4060954057
S66x8/31-125,-493.4068128944
S66x8/31-150,-493.4067265682
S66x8/31-200,-493.4063195908
S66x8/32-A,-414.8180003169
S66x8/32-B,-77.3272215912
S66x8/32-090,-492.1403505126
S66x8/32-095,-492.1429475325
S66x8/32-100,-492.1445027539
S66x8/32-105,-492.1453989265
S66x8/32-110,-492.1458707101
S66x8/32-125,-492.1462244626
S66x8/32-150,-492.145807109
S66x8/32-200,-492.1451825039
S66x8/33-A,-248.2773872835
S66x8/33-B,-78.5881876834
S66x8/33-090,-326.858068772
S66x8/33-095,-326.8606553508
S66x8/33-100,-326.8622998868
S66x8/33-105,-326.8633729856
S66x8/33-110,-326.864076958
S66x8/33-125,-326.8650632548
S66x8/33-150,-326.8654574608
S66x8/33-200,-326.8655351882
S66x8/34-A,-197.7707988304
S66x8/34-B,-197.770749511
S66x8/34-090,-395.5307085067
S66x8/34-095,-395.5344910229
S66x8/34-100,-395.5368971813
S66x8/34-105,-395.5385563178
S66x8/34-110,-395.5397288017
S66x8/34-125,-395.5412517353
S66x8/34-150,-395.5417717912
S66x8/34-200,-395.5417214998
S66x8/35-A,-197.7707802626
S66x8/35-B,-197.7719355917
S66x8/35-090,-395.5351703454
S66x8/35-095,-395.5381554739
S66x8/35-100,-395.539935974
S66x8/35-105,-395.5409335469
S66x8/35-110,-395.5416656544
S66x8/35-125,-395.5426591978
S66x8/35-150,-395.5429789823
S66x8/35-200,-395.5429254336
S66x8/36-A,-197.7719402384
S66x8/36-B,-197.7719873128
S66x8/36-090,-395.5390918965
S66x8/36-095,-395.540809054
S66x8/36-100,-395.5419059576
S66x8/36-105,-395.542610665
S66x8/36-110,-395.5431282122
S66x8/36-125,-395.5437840545
S66x8/36-150,-395.544003295
S66x8/36-200,-395.5439799062
S66x8/37-A,-196.558830948
S66x8/37-B,-197.7718071286
S66x8/37-090,-394.3231287087
S66x8/37-095,-394.3259085133
S66x8/37-100,-394.3276462947
S66x8/37-105,-394.3288009726
S66x8/37-110,-394.3295576898
S66x8/37-125,-394.330611732
S66x8/37-150,-394.3309738835
S66x8/37-200,-394.330958814
S66x8/38-A,-196.558600053
S66x8/38-B,-196.5586588849
S66x8/38-090,-393.1089982122
S66x8/38-095,-393.1117484293
S66x8/38-100,-393.1137106019
S66x8/38-105,-393.1149765385
S66x8/38-110,-393.1158897437
S66x8/38-125,-393.1169458074
S66x8/38-150,-393.1172830942
S66x8/38-200,-393.1172397071
S66x8/39-A,-232.2439921146
S66x8/39-B,-196.5586541214
S66x8/39-090,-428.7924763016
S66x8/39-095,-428.7962986048
S66x8/39-100,-428.7987644808
S66x8/39-105,-428.8003581811
S66x8/39-110,-428.8013113629
S66x8/39-125,-428.8025193723
S66x8/39-150,-428.8027773837
S66x8/39-200,-428.8026262584
S66x8/40-A,-232.2439855565
S66x8/40-B,-197.7719612
S66x8/40-090,-430.0083332945
S66x8/40-095,-430.0114073011
S66x8/40-100,-430.013284051
S66x8/40-105,-430.0144795378
S66x8/40-110,-430.0152090131
S66x8/40-125,-430.0161317491
S66x8/40-150,-430.0162644454
S66x8/40-200,-430.0161074245
S66x8/41-A,-414.8179686248
S66x8/41-B,-197.7709162025
S66x8/41-090,-612.5778965722
S66x8/41-095,-612.5818832494
S66x8/41-100,-612.5844807597
S66x8/41-105,-612.5861867036
S66x8/41-110,-612.5874677692
S66x8/41-125,-612.5889046197
S66x8/41-150,-612.5890832972
S66x8/41-200,-612.5888695773
S66x8/42-A,-414.8179507696
S66x8/42-B,-196.5586727984
S66x8/42-090,-611.3660261598
S66x8/42-095,-611.3700281034
S66x8/42-100,-611.3725529852
S66x8/42-105,-611.3741558212
S66x8/42-110,-611.3751776418
S66x8/42-125,-611.3765094659
S66x8/42-150,-611.3768160708
S66x8/42-200,-611.3766624574
S66x8/43-A,-414.8179729183
S66x8/43-B,-197.7718453005
S66x8/43-090,-612.5823211323
S66x8/43-095,-612.5855217375
S66x8/43-100,-612.5874907359
S66x8/43-105,-612.5887033184
S66x8/43-110,-612.5894276296
S66x8/43-125,-612.5902957995
S66x8/43-150,-612.5903224836
S66x8/43-200,-612.5900595818
S66x8/44-A,-78.5882254328
S66x8/44-B,-197.7708413008
S66x8/44-090,-276.3542139154
S66x8/44-095,-276.3560235006
S66x8/44-100,-276.357083364
S66x8/44-105,-276.3578201812
S66x8/44-110,-276.3583476016
S66x8/44-125,-276.3590230132
S66x8/44-150,-276.3591977075
S66x8/44-200,-276.3591126013
S66x8/45-A,-77.3272296529
S66x8/45-B,-197.7708021492
S66x8/45-090,-275.0928533122
S66x8/45-095,-275.0948619213
S66x8/45-100,-275.096107985
S66x8/45-105,-275.0969176559
S66x8/45-110,-275.0974230344
S66x8/45-125,-275.0980233549
S66x8/45-150,-275.0980745075
S66x8/45-200,-275.0979035738
S66x8/46-A,-248.5255895225
S66x8/46-B,-197.7707168504
S66x8/46-090,-446.2885786331
S66x8/46-095,-446.2912525366
S66x8/46-100,-446.2930701237
S66x8/46-105,-446.2943534926
S66x8/46-110,-446.2952505288
S66x8/46-125,-446.2964516173
S66x8/46-150,-446.2968199218
S66x8/46-200,-446.2965468515
S66x8/47-A,-232.2439755172
S66x8/47-B,-232.2439073107
S66x8/47-090,-464.4811510056
S66x8/47-095,-464.4841109298
S66x8/47-100,-464.4858827864
S66x8/47-105,-464.486929517
S66x8/47-110,-464.4875677608
S66x8/47-125,-464.4882768339
S66x8/47-150,-464.4882720754
S66x8/47-200,-464.4879900198
S66x8/48-A,-248.2773450245
S66x8/48-B,-248.277311392
S66x8/48-090,-496.5494257494
S66x8/48-095,-496.5519987026
S66x8/48-100,-496.5535630449
S66x8/48-105,-496.5545204107
S66x8/48-110,-496.555094696
S66x8/48-125,-496.5556789033
S66x8/48-150,-496.5554999218
S66x8/48-200,-496.5549798165
S66x8/49-A,-232.2439763681
S66x8/49-B,-248.2773343668
S66x8/49-090,-480.5153478248
S66x8/49-095,-480.5182807115
S66x8/49-100,-480.5200283977
S66x8/49-105,-480.5210412232
S66x8/49-110,-480.5216367385
S66x8/49-125,-480.5222219008
S66x8/49-150,-480.5220495287
S66x8/49-200,-480.5215809597
S66x8/50-A,-232.2439668938
S66x8/50-B,-77.3272868663
S66x8/50-090,-309.5683686508
S66x8/50-095,-309.5704450125
S66x8/50-100,-309.5715943376
S66x8/50-105,-309.5721922967
S66x8/50-110,-309.5724717613
S66x8/50-125,-309.5725394628
S66x8/50-150,-309.5720433875
S66x8/50-200,-309.5714274325
S66x8/51-A,-77.3272407706
S66x8/51-B,-77.3272978781
S66x8/51-090,-154.6545256111
S66x8/51-095,-154.655229022
S66x8/51-100,-154.6555804002
S66x8/51-105,-154.6557285593
S66x8/51-110,-154.6557544553
S66x8/51-125,-154.6555341522
S66x8/51-150,-154.6550711889
S66x8/51-200,-154.6546548238
S66x8/52-A,-232.2439654043
S66x8/52-B,-229.0894799868
S66x8/52-090,-461.3324050732
S66x8/52-095,-461.3343059608
S66x8/52-100,-461.33537844
S66x8/52-105,-461.3359176199
S66x8/52-110,-461.3361467461
S66x8/52-125,-461.3360026593
S66x8/52-150,-461.3351493713
S66x8/52-200,-461.3340396793
S66x8/53-A,-232.2439669218
S66x8/53-B,-209.2201940679
S66x8/53-090,-441.4635373092
S66x8/53-095,-441.4650792744
S66x8/53-100,-441.465973119
S66x8/53-105,-441.4664629332
S66x8/53-110,-441.4666883809
S66x8/53-125,-441.4665633587
S66x8/53-150,-441.4657559262
S66x8/53-200,-441.4646316184
S66x8/54-A,-232.2439587679
S66x8/54-B,-76.4316689787
S66x8/54-090,-308.6757073904
S66x8/54-095,-308.6770110561
S66x8/54-100,-308.6776896272
S66x8/54-105,-308.6780126397
S66x8/54-110,-308.6781141043
S66x8/54-125,-308.6778453783
S66x8/54-150,-308.6770575486
S66x8/54-200,-308.676108691
S66x8/55-A,-232.2439447493
S66x8/55-B,-115.7256246712
S66x8/55-090,-347.9673007829
S66x8/55-095,-347.9693068598
S66x8/55-100,-347.9705098191
S66x8/55-105,-347.9711777043
S66x8/55-110,-347.9715276298
S66x8/55-125,-347.9717129216
S66x8/55-150,-347.9711361935
S66x8/55-200,-347.9701903607
S66x8/56-A,-232.2439735037
S66x8/56-B,-95.8621808824
S66x8/56-090,-328.1018290159
S66x8/56-095,-328.1039414161
S66x8/56-100,-328.1052919634
S66x8/56-105,-328.1061568388
S66x8/56-110,-328.1066556414
S66x8/56-125,-328.1071349444
S66x8/56-150,-328.1069061887
S66x8/56-200,-328.1064037305
S66x8/57-A,-232.243948793
S66x8/57-B,-248.5255799037
S66x8/57-090,-480.7636219213
S66x8/57-095,-480.7673245617
S66x8/57-100,-480.7695032071
S66x8/57-105,-480.7707403895
S66x8/57-110,-480.771353548
S66x8/57-125,-480.7718032393
S66x8/57-150,-480.771194047
S66x8/57-200,-480.7702217423
S66x8/58-A,-248.2773187173
S66x8/58-B,-248.2772576555
S66x8/58-090,-496.5528230371
S66x8/58-095,-496.5551355203
S66x8/58-100,-496.5566742804
S66x8/58-105,-496.5571492008
S66x8/58-110,-496.5571777319
S66x8/58-125,-496.5566084637
S66x8/58-150,-496.5556751776
S66x8/58-200,-496.5549200349
S66x8/59-A,-77.3273325557
S66x8/59-B,-76.4317168637
S66x8/59-090,-153.7614689092
S66x8/59-095,-153.7620785337
S66x8/59-100,-153.7623301386
S66x8/59-105,-153.7623575916
S66x8/59-110,-153.7622569315
S66x8/59-125,-153.761653415
S66x8/59-150,-153.7606422575
S66x8/59-200,-153.7595648928
S66x8/60-A,-77.3272307812
S66x8/60-B,-229.089450409
S66x8/60-090,-306.4197892222
S66x8/60-095,-306.4209135789
S66x8/60-100,-306.4213911117
S66x8/60-105,-306.4214695664
S66x8/60-110,-306.4213318247
S66x8/60-125,-306.4204049539
S66x8/60-150,-306.418895997
S66x8/60-200,-306.4174001541
S66x8/61-A,-197.7707871629
S66x8/61-B,-229.089546539
S66x8/61-090,-426.8553243662
S66x8/61-095,-426.8569404352
S66x8/61-100,-426.8580988615
S66x8/61-105,-426.8589335314
S66x8/61-110,-426.8595176273
S66x8/61-125,-426.860332973
S66x8/61-150,-426.8606013364
S66x8/61-200,-426.8604294897
S66x8/62-A,-197.7708444725
S66x8/62-B,-209.2202751073
S66x8/62-090,-406.9854080064
S66x8/62-095,-406.9875208688
S66x8/62-100,-406.9889366751
S66x8/62-105,-406.9899205403
S66x8/62-110,-406.990576589
S66x8/62-125,-406.9914053807
S66x8/62-150,-406.9915521455
S66x8/62-200,-406.9912584957
S66x8/63-A,-232.2439921521
S66x8/63-B,-229.0894720907
S66x8/63-090,-461.327007373
S66x8/63-095,-461.3301180829
S66x8/63-100,-461.3319273487
S66x8/63-105,-461.3330302277
S66x8/63-110,-461.3336927533
S66x8/63-125,-461.3343336635
S66x8/63-150,-461.3341274215
S66x8/63-200,-461.3336370282
S66x8/64-A,-248.5255969958
S66x8/64-B,-78.5882902916
S66x8/64-090,-327.110839358
S66x8/64-095,-327.1124006913
S66x8/64-100,-327.1134036697
S66x8/64-105,-327.11401151
S66x8/64-110,-327.1143678056
S66x8/64-125,-327.1147101496
S66x8/64-150,-327.114466154
S66x8/64-200,-327.1139513126
S66x8/65-A,-248.2773643949
S66x8/65-B,-77.3268082958
S66x8/65-090,-325.6079573135
S66x8/65-095,-325.6086705983
S66x8/65-100,-325.6089515405
S66x8/65-105,-325.6089710121
S66x8/65-110,-325.6088263075
S66x8/65-125,-325.6080223369
S66x8/65-150,-325.6067231082
S66x8/65-200,-325.6053897886
S66x8/66-A,-95.862105912
S66x8/66-B,-248.2773509524
S66x8/66-090,-344.1371543181
S66x8/66-095,-344.1387553658
S66x8/66-100,-344.1397718669
S66x8/66-105,-344.1403982941
S66x8/66-110,-344.1407653223
S66x8/66-125,-344.1410747078
