system,Lh07s-SVWN/def2-QZVP/TM
S22x5/09-B,-169.2577728049
S22x5/09-0.9,-338.5303524119
S22x5/09-1.0,-338.5334349457
S22x5/09-1.2,-338.5311496261
S22x5/09-1.5,-338.5255207508
S22x5/09-2.0,-338.5206343901
S22x5/10-A,-231.2312082526
S22x5/10-B,-76.1733743422
S22x5/10-0.9,-307.4026628407
S22x5/10-1.0,-307.4045859649
S22x5/10-1.2,-307.4057063978
S22x5/10-1.5,-307.4057713078
S22x5/10-2.0,-307.4052320252
S22x5/11-A,-231.2312175525
S22x5/11-B,-56.3505335493
S22x5/11-0.9,-287.5775850543
S22x5/11-1.0,-287.5797834341
S22x5/11-1.2,-287.5814649162
S22x5/11-1.5,-287.5820961124
S22x5/11-2.0,-287.5820245105
S22x5/12-A,-231.2312276608
S22x5/12-B,-40.3503304301
S22x5/12-0.9,-271.5754372026
S22x5/12-1.0,-271.5779428141
S22x5/12-1.2,-271.5801573759
S22x5/12-1.5,-271.5812610691
S22x5/12-2.0,-271.581580144
S22x5/13-A,-231.2312239555
S22x5/13-B,-231.2312207648
S22x5/13-0.9,-462.4544614404
S22x5/13-1.0,-462.4578849703
S22x5/13-1.2,-462.4608188821
S22x5/13-1.5,-462.4622070896
S22x5/13-2.0,-462.4625870767
S22x5/14-A,-231.2312269081
S22x5/14-B,-231.2312269084
S22x5/14-0.9,-462.4414990677
S22x5/14-1.0,-462.4522259316
S22x5/14-1.2,-462.4592549558
S22x5/14-1.5,-462.4618391914
S22x5/14-2.0,-462.4623727845
S22x5/15-A,-231.2311912159
S22x5/15-B,-362.2524362333
S22x5/15-0.9,-593.476545818
S22x5/15-1.0,-593.4807192539
S22x5/15-1.2,-593.4839134632
S22x5/15-1.5,-593.4848816769
S22x5/15-2.0,-593.48462867
S22x5/16-A,-231.2312130999
S22x5/16-B,-362.2523754825
S22x5/16-0.9,-593.4578155091
S22x5/16-1.0,-593.4703533534
S22x5/16-1.2,-593.4787644782
S22x5/16-1.5,-593.4822740967
S22x5/16-2.0,-593.4832985375
S22x5/17-A,-263.2087522448
S22x5/17-B,-263.2087455597
S22x5/17-0.9,-526.3975861633
S22x5/17-1.0,-526.4086571297
S22x5/17-1.2,-526.4153307977
S22x5/17-1.5,-526.4174338961
S22x5/17-2.0,-526.4175838734
S22x5/18-A,-322.2014957511
S22x5/18-B,-302.3793411243
S22x5/18-0.9,-624.5954978926
S22x5/18-1.0,-624.5984504644
S22x5/18-1.2,-624.5958563683
S22x5/18-1.5,-624.5898183527
S22x5/18-2.0,-624.5849434951
S22x5/19-A,-306.1962815617
S22x5/19-B,-306.1962272919
S22x5/19-0.9,-612.3897882767
S22x5/19-1.0,-612.3925007719
S22x5/19-1.2,-612.3938656597
S22x5/19-1.5,-612.3938960001
S22x5/19-2.0,-612.3935901925
S22x5/20-A,-413.2024854689
S22x5/20-B,-413.2024854689
S22x5/20-0.9,-826.3850019296
S22x5/20-1.0,-826.3988742962
S22x5/20-1.2,-826.4057562547
S22x5/20-1.5,-826.4068394637
S22x5/20-2.0,-826.4058577191
S22x5/21-A,-413.2017825526
S22x5/21-B,-413.2017825528
S22x5/21-0.9,-826.4242756347
S22x5/21-1.0,-826.4272817995
S22x5/21-1.2,-826.4237042406
S22x5/21-1.5,-826.416174722
S22x5/21-2.0,-826.4097515018
S22x5/22-A,-231.2311982271
S22x5/22-B,-93.0408485786
S22x5/22-0.9,-324.2700745001
S22x5/22-1.0,-324.2724040695
S22x5/22-1.2,-324.2737546465
S22x5/22-1.5,-324.2737795985
S22x5/22-2.0,-324.2731162109
S66x8/01-A,-76.1734813487
S66x8/01-B,-76.1734779942
S66x8/01-090,-152.3511734651
S66x8/01-095,-152.3518374343
S66x8/01-100,-152.3520590461
S66x8/01-105,-152.3520160616
S66x8/01-110,-152.3518269681
S66x8/01-125,-152.3509673975
S66x8/01-150,-152.3497211801
S66x8/01-200,-152.3483382499
S66x8/02-A,-76.1734914684
S66x8/02-B,-115.296942534
S66x8/02-090,-191.4740818556
S66x8/02-095,-191.4749351655
S66x8/02-100,-191.4752797901
S66x8/02-105,-191.4753150225
S66x8/02-110,-191.4751708733
S66x8/02-125,-191.4743581018
S66x8/02-150,-191.4731168478
S66x8/02-200,-191.4717591775
S66x8/03-A,-76.1735067511
S66x8/03-B,-95.4792054754
S66x8/03-090,-171.6596543073
S66x8/03-095,-171.6603457944
S66x8/03-100,-171.6604794023
S66x8/03-105,-171.6602739228
S66x8/03-110,-171.6598741658
S66x8/03-125,-171.6583195783
S66x8/03-150,-171.6562073078
S66x8/03-200,-171.6542187041
S66x8/04-A,-76.1735050947
S66x8/04-B,-247.54565638
S66x8/04-090,-323.7248192852
S66x8/04-095,-323.7257856906
S66x8/04-100,-323.7261632221
S66x8/04-105,-323.7261759443
S66x8/04-110,-323.7259693241
S66x8/04-125,-323.7248661228
S66x8/04-150,-323.7231578553
S66x8/04-200,-323.7210667101
S66x8/05-A,-115.2969129933
S66x8/05-B,-115.2969720413
S66x8/05-090,-230.5972274445
S66x8/05-095,-230.5982029737
S66x8/05-100,-230.5986374483
S66x8/05-105,-230.5987382417
S66x8/05-110,-230.5986394345
S66x8/05-125,-230.5978910839
S66x8/05-150,-230.5966584194
S66x8/05-200,-230.5952899816
S66x8/06-A,-115.2967207634
S66x8/06-B,-95.4792079091
S66x8/06-090,-210.7812607939
S66x8/06-095,-210.7824395508
S66x8/06-100,-210.7829359061
S66x8/06-105,-210.7829937871
S66x8/06-110,-210.7827954031
S66x8/06-125,-210.7815699567
S66x8/06-150,-210.7796173036
S66x8/06-200,-210.7776606591
S66x8/07-A,-115.2968241694
S66x8/07-B,-247.5454381543
S66x8/07-090,-362.8473893199
S66x8/07-095,-362.8485208294
S66x8/07-100,-362.8490148912
S66x8/07-105,-362.849105238
S66x8/07-110,-362.8489494854
S66x8/07-125,-362.8479050078
S66x8/07-150,-362.8459646074
S66x8/07-200,-362.8437877191
S66x8/08-A,-115.2969293635
S66x8/08-B,-76.1734840266
S66x8/08-090,-191.4742698327
S66x8/08-095,-191.4750482133
S66x8/08-100,-191.4753541095
S66x8/08-105,-191.4753729356
S66x8/08-110,-191.4752275622
S66x8/08-125,-191.4744357982
S66x8/08-150,-191.4732147136
S66x8/08-200,-191.4718522574
S66x8/09-A,-95.4791607922
S66x8/09-B,-115.2969703687
S66x8/09-090,-210.7744128087
S66x8/09-095,-210.7754918295
S66x8/09-100,-210.7761681217
S66x8/09-105,-210.7765922033
S66x8/09-110,-210.7768497957
S66x8/09-125,-210.7771484544
S66x8/09-150,-210.7771141754
S66x8/09-200,-210.7767225607
S66x8/10-A,-95.4792291679
S66x8/10-B,-95.4791822161
S66x8/10-090,-190.9561250426
S66x8/10-095,-190.9575163535
S66x8/10-100,-190.9583698588
S66x8/10-105,-190.9588779442
S66x8/10-110,-190.9591676411
S66x8/10-125,-190.9594577205
S66x8/10-150,-190.9593596628
S66x8/10-200,-190.9588895493
S66x8/11-A,-95.47906889
S66x8/11-B,-247.5456068159
S66x8/11-090,-343.0217777956
S66x8/11-095,-343.0233792234
S66x8/11-100,-343.0244000701
S66x8/11-105,-343.025042346
S66x8/11-110,-343.0254406481
S66x8/11-125,-343.0259814278
S66x8/11-150,-343.025873948
S66x8/11-200,-343.0253456382
S66x8/12-A,-95.4791701357
S66x8/12-B,-76.1731609816
S66x8/12-090,-171.6584835257
S66x8/12-095,-171.6594500726
S66x8/12-100,-171.6597834359
S66x8/12-105,-171.6597236338
S66x8/12-110,-171.6594326037
S66x8/12-125,-171.6580714021
S66x8/12-150,-171.6560990636
S66x8/12-200,-171.6541859198
S66x8/13-A,-247.5455357455
S66x8/13-B,-115.2969809364
S66x8/13-090,-362.8431138622
S66x8/13-095,-362.8444612603
S66x8/13-100,-362.8452484396
S66x8/13-105,-362.8456741199
S66x8/13-110,-362.845869925
S66x8/13-125,-362.8458213927
S66x8/13-150,-362.8452566034
S66x8/13-200,-362.8442465655
S66x8/14-A,-247.5453467797
S66x8/14-B,-95.4791847878
S66x8/14-090,-343.0270266744
S66x8/14-095,-343.028448789
S66x8/14-100,-343.0292145116
S66x8/14-105,-343.0295526765
S66x8/14-110,-343.0296186512
S66x8/14-125,-343.0291060958
S66x8/14-150,-343.0279130429
S66x8/14-200,-343.0264424034
S66x8/15-A,-247.5455892909
S66x8/15-B,-247.5456271972
S66x8/15-090,-495.0933463666
S66x8/15-095,-495.0948554986
S66x8/15-100,-495.0957157346
S66x8/15-105,-495.0961525455
S66x8/15-110,-495.0963170439
S66x8/15-125,-495.0960536278
S66x8/15-150,-495.0950962995
S66x8/15-200,-495.093481299
S66x8/16-A,-247.5457342023
S66x8/16-B,-76.1734871906
S66x8/16-090,-323.7215758386
S66x8/16-095,-323.722570582
S66x8/16-100,-323.723092131
S66x8/16-105,-323.7233171621
S66x8/16-110,-323.7233599144
S66x8/16-125,-323.7230234334
S66x8/16-150,-323.7221940037
S66x8/16-200,-323.7209731201
S66x8/17-A,-413.2019941236
S66x8/17-B,-413.2021318784
S66x8/17-090,-826.42023306
S66x8/17-095,-826.4222160717
S66x8/17-100,-826.4228745332
S66x8/17-105,-826.4226887571
S66x8/17-110,-826.4219882485
S66x8/17-125,-826.4186814279
S66x8/17-150,-826.4135837486
S66x8/17-200,-826.4084857579
S66x8/18-A,-76.1734967044
S66x8/18-B,-247.2218947276
S66x8/18-090,-323.4016970027
S66x8/18-095,-323.4024696454
S66x8/18-100,-323.4026746081
S66x8/18-105,-323.402532614
S66x8/18-110,-323.4021909865
S66x8/18-125,-323.4007816556
S66x8/18-150,-323.398823018
S66x8/18-200,-323.3969285697
S66x8/19-A,-115.296721429
S66x8/19-B,-247.2218900207
S66x8/19-090,-362.5242446436
S66x8/19-095,-362.525296163
S66x8/19-100,-362.5256999388
S66x8/19-105,-362.5256944633
S66x8/19-110,-362.5254426805
S66x8/19-125,-362.5241465008
S66x8/19-150,-362.5221531224
S66x8/19-200,-362.5201930875
S66x8/20-A,-228.2326787727
S66x8/20-B,-228.232677744
S66x8/20-090,-456.4875671401
S66x8/20-095,-456.4894790978
S66x8/20-100,-456.4898421618
S66x8/20-105,-456.4892384824
S66x8/20-110,-456.4880656618
S66x8/20-125,-456.4833175823
S66x8/20-150,-456.4765241114
S66x8/20-200,-456.4701435066
S66x8/21-A,-208.4102279092
S66x8/21-B,-208.4102310738
S66x8/21-090,-416.8361037367
S66x8/21-095,-416.8379724126
S66x8/21-100,-416.8385839271
S66x8/21-105,-416.8384033067
S66x8/21-110,-416.837745492
S66x8/21-125,-416.8346898137
S66x8/21-150,-416.830035799
S66x8/21-200,-416.8247842746
S66x8/22-A,-228.2326327894
S66x8/22-B,-413.2018434203
S66x8/22-090,-641.4557198182
S66x8/22-095,-641.457682064
S66x8/22-100,-641.4582021033
S66x8/22-105,-641.4578002726
S66x8/22-110,-641.4568374916
S66x8/22-125,-641.4526759574
S66x8/22-150,-641.4463852263
S66x8/22-200,-641.4400740827
S66x8/23-A,-208.4100954334
S66x8/23-B,-413.2017541628
S66x8/23-090,-621.6317002053
S66x8/23-095,-621.6336750707
S66x8/23-100,-621.6343420101
S66x8/23-105,-621.6341566997
S66x8/23-110,-621.6334396177
S66x8/23-125,-621.6299775273
S66x8/23-150,-621.6243943164
S66x8/23-200,-621.6183289198
S66x8/24-A,-231.2312389251
S66x8/24-B,-231.2312403375
S66x8/24-090,-462.4422236504
S66x8/24-095,-462.4484434041
S66x8/24-100,-462.4524126005
S66x8/24-105,-462.4550508223
S66x8/24-110,-462.456875827
S66x8/24-125,-462.4599684645
S66x8/24-150,-462.4618545334
S66x8/24-200,-462.4623853815
S66x8/25-A,-247.2218835079
S66x8/25-B,-247.2219157706
S66x8/25-090,-494.4247456512
S66x8/25-095,-494.4308113013
S66x8/25-100,-494.4347488049
S66x8/25-105,-494.4373439513
S66x8/25-110,-494.4391215448
S66x8/25-125,-494.4419945156
S66x8/25-150,-494.4436751211
S66x8/25-200,-494.4439443484
S66x8/26-A,-413.2024857624
S66x8/26-B,-413.2024857626
S66x8/26-090,-826.3883277321
S66x8/26-095,-826.3947907387
S66x8/26-100,-826.3988751624
S66x8/26-105,-826.4015269583
S66x8/26-110,-826.4032486197
S66x8/26-125,-826.4058071975
S66x8/26-150,-826.406808681
S66x8/26-200,-826.4061111768
S66x8/27-A,-231.2312497858
S66x8/27-B,-247.221920832
S66x8/27-090,-478.4331334629
S66x8/27-095,-478.4396220868
S66x8/27-100,-478.4436793179
S66x8/27-105,-478.4463316253
S66x8/27-110,-478.4481313812
S66x8/27-125,-478.4510412201
S66x8/27-150,-478.4527938413
S66x8/27-200,-478.4531652109
S66x8/28-A,-231.2311710424
S66x8/28-B,-413.2030551071
S66x8/28-090,-644.4136889842
S66x8/28-095,-644.420041608
S66x8/28-100,-644.4241866204
S66x8/28-105,-644.4269460774
S66x8/28-110,-644.4288571239
S66x8/28-125,-644.4319858058
S66x8/28-150,-644.4338316502
S66x8/28-200,-644.4342120856
S66x8/29-A,-247.2218695262
S66x8/29-B,-413.2030013267
S66x8/29-090,-660.4037293509
S66x8/29-095,-660.4118156441
S66x8/29-100,-660.4166454754
S66x8/29-105,-660.4196242819
S66x8/29-110,-660.4215653722
S66x8/29-125,-660.4244066045
S66x8/29-150,-660.4256116618
S66x8/29-200,-660.4253113303
S66x8/30-A,-231.2312406058
S66x8/30-B,-78.2508663442
S66x8/30-090,-309.4697762112
S66x8/30-095,-309.4731214115
S66x8/30-100,-309.4753643742
S66x8/30-105,-309.4769240893
S66x8/30-110,-309.4780530069
S66x8/30-125,-309.4800783135
S66x8/30-150,-309.4814343411
S66x8/30-200,-309.481980665
S66x8/31-A,-413.2030708545
S66x8/31-B,-78.2509120391
S66x8/31-090,-491.4433862177
S66x8/31-095,-491.446518248
S66x8/31-100,-491.4486192336
S66x8/31-105,-491.4500961082
S66x8/31-110,-491.4511470484
S66x8/31-125,-491.4529458033
S66x8/31-150,-491.4539854527
S66x8/31-200,-491.454085078
S66x8/32-A,-413.2030665874
S66x8/32-B,-76.9928065427
S66x8/32-090,-490.1868631283
S66x8/32-095,-490.1899144249
S66x8/32-100,-490.191881174
S66x8/32-105,-490.1931743327
S66x8/32-110,-490.1940517195
S66x8/32-125,-490.1954050965
S66x8/32-150,-490.1960336533
S66x8/32-200,-490.195896495
S66x8/33-A,-247.2219224882
S66x8/33-B,-78.2508194137
S66x8/33-090,-325.4614717629
S66x8/33-095,-325.4644483846
S66x8/33-100,-325.4664997941
S66x8/33-105,-325.4679457445
S66x8/33-110,-325.4690121295
S66x8/33-125,-325.4709177029
S66x8/33-150,-325.4722256725
S66x8/33-200,-325.4727099869
S66x8/34-A,-196.9186079661
S66x8/34-B,-196.9185068562
S66x8/34-090,-393.8191698094
S66x8/34-095,-393.8235505563
S66x8/34-100,-393.8266464597
S66x8/34-105,-393.8289520146
S66x8/34-110,-393.8306832193
S66x8/34-125,-393.8339868175
S66x8/34-150,-393.8364626592
S66x8/34-200,-393.8373160296
S66x8/35-A,-196.918573604
S66x8/35-B,-196.9189859306
S66x8/35-090,-393.8246796764
S66x8/35-095,-393.8281266532
S66x8/35-100,-393.8304342487
S66x8/35-105,-393.8320708889
S66x8/35-110,-393.8332711169
S66x8/35-125,-393.8354980541
S66x8/35-150,-393.8370547836
S66x8/35-200,-393.8375917407
S66x8/36-A,-196.9189971466
S66x8/36-B,-196.9190739765
S66x8/36-090,-393.8292595478
S66x8/36-095,-393.8313230765
S66x8/36-100,-393.8327807955
S66x8/36-105,-393.8338773981
S66x8/36-110,-393.8347081828
S66x8/36-125,-393.8363020612
S66x8/36-150,-393.8374338442
S66x8/36-200,-393.8378369579
S66x8/37-A,-195.7073139655
S66x8/37-B,-196.9188008397
S66x8/37-090,-392.6134220677
S66x8/37-095,-392.61681126
S66x8/37-100,-392.6190925725
S66x8/37-105,-392.6206972013
S66x8/37-110,-392.6218928577
S66x8/37-125,-392.6240963096
S66x8/37-150,-392.6256463642
S66x8/37-200,-392.626260157
S66x8/38-A,-195.7072197142
S66x8/38-B,-195.7072293298
S66x8/38-090,-391.4008512704
S66x8/38-095,-391.4040140612
S66x8/38-100,-391.4065015527
S66x8/38-105,-391.4082995132
S66x8/38-110,-391.4096427028
S66x8/38-125,-391.4120934442
S66x8/38-150,-391.4138248905
S66x8/38-200,-391.4144102551
S66x8/39-A,-231.2312394876
S66x8/39-B,-195.7071960329
S66x8/39-090,-426.9228523887
S66x8/39-095,-426.9272257715
S66x8/39-100,-426.9302325595
S66x8/39-105,-426.9323526735
S66x8/39-110,-426.9338238674
S66x8/39-125,-426.9363668995
S66x8/39-150,-426.9379873261
S66x8/39-200,-426.9384628111
S66x8/40-A,-231.2312361487
S66x8/40-B,-196.9190729724
S66x8/40-090,-428.1379720491
S66x8/40-095,-428.1415229832
S66x8/40-100,-428.1438678541
S66x8/40-105,-428.1454887316
S66x8/40-110,-428.1466369178
S66x8/40-125,-428.1486307265
S66x8/40-150,-428.1498657659
S66x8/40-200,-428.1502172964
S66x8/41-A,-413.2030925445
S66x8/41-B,-196.9186458279
S66x8/41-090,-610.1033013952
S66x8/41-095,-610.1080312637
S66x8/41-100,-610.111336927
S66x8/41-105,-610.1137361989
S66x8/41-110,-610.1158607918
S66x8/41-125,-610.1193777128
S66x8/41-150,-610.1213600709
S66x8/41-200,-610.1217425347
S66x8/42-A,-413.2030952256
S66x8/42-B,-195.707231826
S66x8/42-090,-608.8933486814
S66x8/42-095,-608.8980018565
S66x8/42-100,-608.901150184
S66x8/42-105,-608.9033594231
S66x8/42-110,-608.9049894201
S66x8/42-125,-608.90790896
S66x8/42-150,-608.9098023076
S66x8/42-200,-608.9103412646
S66x8/43-A,-413.2030880189
S66x8/43-B,-196.9188492322
S66x8/43-090,-610.1086679031
S66x8/43-095,-610.1125268288
S66x8/43-100,-610.1150786894
S66x8/43-105,-610.1168625092
S66x8/43-110,-610.1181434967
S66x8/43-125,-610.1203875311
S66x8/43-150,-610.1217367227
S66x8/43-200,-610.122015661
S66x8/44-A,-78.2508707704
S66x8/44-B,-196.9186643624
S66x8/44-090,-275.1601766012
S66x8/44-095,-275.1624420717
S66x8/44-100,-275.1640424688
S66x8/44-105,-275.1652422479
S66x8/44-110,-275.1661458099
S66x8/44-125,-275.1679078637
S66x8/44-150,-275.1691412396
S66x8/44-200,-275.1695281875
S66x8/45-A,-76.9928031199
S66x8/45-B,-196.9185664082
S66x8/45-090,-273.9022409907
S66x8/45-095,-273.9047409585
S66x8/45-100,-273.9064397771
S66x8/45-105,-273.9076541695
S66x8/45-110,-273.9085433973
S66x8/45-125,-273.9101115196
S66x8/45-150,-273.9110428787
S66x8/45-200,-273.9112202681
S66x8/46-A,-247.545803789
S66x8/46-B,-196.9185015424
S66x8/46-090,-444.4495624382
S66x8/46-095,-444.4528520752
S66x8/46-100,-444.4552895276
S66x8/46-105,-444.4571522845
S66x8/46-110,-444.4586130467
S66x8/46-125,-444.4614923068
S66x8/46-150,-444.4638394272
S66x8/46-200,-444.4644906653
S66x8/47-A,-231.2312242117
S66x8/47-B,-231.2311748058
S66x8/47-090,-462.4517923387
S66x8/47-095,-462.4551650311
S66x8/47-100,-462.4573275158
S66x8/47-105,-462.4587583002
S66x8/47-110,-462.4597562994
S66x8/47-125,-462.461392697
S66x8/47-150,-462.4623705941
S66x8/47-200,-462.4625626445
S66x8/48-A,-247.2218971096
S66x8/48-B,-247.2218676456
S66x8/48-090,-494.4346107298
S66x8/48-095,-494.4375012591
S66x8/48-100,-494.4393967493
S66x8/48-105,-494.4406896577
S66x8/48-110,-494.4415902134
S66x8/48-125,-494.4430935956
S66x8/48-150,-494.4440046193
S66x8/48-200,-494.4440879904
S66x8/49-A,-231.2312278437
S66x8/49-B,-247.2218801542
S66x8/49-090,-478.443158884
S66x8/49-095,-478.4465284912
S66x8/49-100,-478.4486732513
S66x8/49-105,-478.4500656856
S66x8/49-110,-478.4510253781
S66x8/49-125,-478.4525371553
S66x8/49-150,-478.4533631265
S66x8/49-200,-478.4533910632
S66x8/50-A,-231.2312125314
S66x8/50-B,-76.9928858581
S66x8/50-090,-308.2180205859
S66x8/50-095,-308.2204149302
S66x8/50-100,-308.2218602096
S66x8/50-105,-308.2227712273
S66x8/50-110,-308.2233502173
S66x8/50-125,-308.2242038699
S66x8/50-150,-308.2245185905
S66x8/50-200,-308.2242617142
S66x8/51-A,-76.992815908
S66x8/51-B,-76.9928921809
S66x8/51-090,-153.9839131368
S66x8/51-095,-153.984775288
S66x8/51-100,-153.9852954383
S66x8/51-105,-153.9856103843
S66x8/51-110,-153.9858024868
S66x8/51-125,-153.98603216
S66x8/51-150,-153.9860273127
S66x8/51-200,-153.9858046235
S66x8/52-A,-231.2312087901
S66x8/52-B,-228.2345128823
S66x8/52-090,-459.4611258996
S66x8/52-095,-459.4633443729
S66x8/52-100,-459.4647087131
S66x8/52-105,-459.4655511038
S66x8/52-110,-459.4660742498
S66x8/52-125,-459.4667030185
S66x8/52-150,-459.4667714233
S66x8/52-200,-459.4662825524
S66x8/53-A,-231.2312045517
S66x8/53-B,-208.4111188408
S66x8/53-090,-439.6382545151
S66x8/53-095,-439.6400282756
S66x8/53-100,-439.6411756504
S66x8/53-105,-439.641921566
S66x8/53-110,-439.6424016849
S66x8/53-125,-439.6430631481
S66x8/53-150,-439.6432188259
S66x8/53-200,-439.6427920897
S66x8/54-A,-231.2312077905
S66x8/54-B,-76.173396504
S66x8/54-090,-307.4020908335
S66x8/54-095,-307.4036423234
S66x8/54-100,-307.4045731047
S66x8/54-105,-307.4051304217
S66x8/54-110,-307.4054645039
S66x8/54-125,-307.4058311475
S66x8/54-150,-307.4057341323
S66x8/54-200,-307.4051420617
S66x8/55-A,-231.2311964737
S66x8/55-B,-115.2969639876
S66x8/55-090,-346.5221309147
S66x8/55-095,-346.5244316211
S66x8/55-100,-346.5259319644
S66x8/55-105,-346.5269303659
S66x8/55-110,-346.5276021537
S66x8/55-125,-346.5286238274
S66x8/55-150,-346.5290562032
S66x8/55-200,-346.5287410309
S66x8/56-A,-231.2312213229
S66x8/56-B,-95.4791448242
S66x8/56-090,-326.7021526668
S66x8/56-095,-326.7046422023
S66x8/56-100,-326.7063307396
S66x8/56-105,-326.7075834729
S66x8/56-110,-326.7084641065
S66x8/56-125,-326.7098907558
S66x8/56-150,-326.7106493421
S66x8/56-200,-326.7106202943
S66x8/57-A,-231.2312055145
S66x8/57-B,-247.5457720487
S66x8/57-090,-478.7660043659
S66x8/57-095,-478.7702648088
S66x8/57-100,-478.7729025846
S66x8/57-105,-478.7745795352
S66x8/57-110,-478.7756685846
S66x8/57-125,-478.7772707264
S66x8/57-150,-478.7779404039
S66x8/57-200,-478.7776310925
S66x8/58-A,-247.2218942735
S66x8/58-B,-247.2218246058
S66x8/58-090,-494.4388078772
S66x8/58-095,-494.4412977787
S66x8/58-100,-494.4431258385
S66x8/58-105,-494.443909255
S66x8/58-110,-494.4442645981
S66x8/58-125,-494.4445292972
S66x8/58-150,-494.4444230063
S66x8/58-200,-494.4440136983
S66x8/59-A,-76.9929565908
S66x8/59-B,-76.1734741029
S66x8/59-090,-153.1669841034
S66x8/59-095,-153.167704513
S66x8/59-100,-153.1680844094
S66x8/59-105,-153.1682563988
S66x8/59-110,-153.1683017762
S66x8/59-125,-153.1681208719
S66x8/59-150,-153.1676144662
S66x8/59-200,-153.166844837
S66x8/60-A,-76.9928247567
S66x8/60-B,-228.2344959936
S66x8/60-090,-305.2277032883
S66x8/60-095,-305.2289645121
S66x8/60-100,-305.2296013847
S66x8/60-105,-305.2298614346
S66x8/60-110,-305.2299027249
S66x8/60-125,-305.2295303766
S66x8/60-150,-305.2287982655
S66x8/60-200,-305.2279500607
S66x8/61-A,-196.9185954368
S66x8/61-B,-228.2345552865
S66x8/61-090,-425.142873439
S66x8/61-095,-425.1449706834
S66x8/61-100,-425.1465831337
S66x8/61-105,-425.1478459352
S66x8/61-110,-425.14886667
S66x8/61-125,-425.1509197646
S66x8/61-150,-425.1526999304
S66x8/61-200,-425.1532040636
S66x8/62-A,-196.918620571
S66x8/62-B,-208.41111963
S66x8/62-090,-405.3182310707
S66x8/62-095,-405.3208954312
S66x8/62-100,-405.3228555632
S66x8/62-105,-405.3243256984
S66x8/62-110,-405.3254609999
S66x8/62-125,-405.32766476
S66x8/62-150,-405.3292885091
S66x8/62-200,-405.329834059
S66x8/63-A,-231.2312308936
S66x8/63-B,-228.234495705
S66x8/63-090,-459.4543225821
S66x8/63-095,-459.4579697333
S66x8/63-100,-459.4603406715
S66x8/63-105,-459.4619397445
S66x8/63-110,-459.4630457938
S66x8/63-125,-459.4648575596
S66x8/63-150,-459.4658777818
S66x8/63-200,-459.4659143633
S66x8/64-A,-247.5457393811
S66x8/64-B,-78.2509683168
S66x8/64-090,-325.7895410604
S66x8/64-095,-325.7914566157
S66x8/64-100,-325.7927971203
S66x8/64-105,-325.7937638012
S66x8/64-110,-325.7944778967
S66x8/64-125,-325.7957781685
S66x8/64-150,-325.7966718482
S66x8/64-200,-325.7967259033
S66x8/65-A,-247.2219108155
S66x8/65-B,-76.9923852283
S66x8/65-090,-324.2162747839
S66x8/65-095,-324.2170752206
S66x8/65-100,-324.2174593233
S66x8/65-105,-324.2175867032
S66x8/65-110,-324.2175639465
S66x8/65-125,-324.2171435525
S66x8/65-150,-324.2164033002
S66x8/65-200,-324.2155319044
S66x8/66-A,-95.4791108926
S66x8/66-B,-247.2218944467
S66x8/66-090,-342.6951296252
S66x8/66-095,-342.6969545051
S66x8/66-100,-342.698213272
S66x8/66-105,-342.6990905877
S66x8/66-110,-342.6997139041
