system,BPW/def2-QZVP/ORCA
S22x5/12-1.5,-272.8423978928
S22x5/12-2.0,-272.8426904288
S22x5/13-A,-232.3146910753
S22x5/13-B,-232.3146948299
S22x5/13-0.9,-464.6233555448
S22x5/13-1.0,-464.6262024441
S22x5/13-1.2,-464.6283160175
S22x5/13-1.5,-464.6291618408
S22x5/13-2.0,-464.6294578971
S22x5/14-A,-232.3146449503
S22x5/14-B,-232.3146449503
S22x5/14-0.9,-464.6127476551
S22x5/14-1.0,-464.6215119147
S22x5/14-1.2,-464.6267954243
S22x5/14-1.5,-464.6287160347
S22x5/14-2.0,-464.6292651655
S22x5/15-A,-232.314696127
S22x5/15-B,-363.9335515015
S22x5/15-0.9,-596.2437779035
S22x5/15-1.0,-596.2472450661
S22x5/15-1.2,-596.249363902
S22x5/15-1.5,-596.2495537921
S22x5/15-2.0,-596.2491129671
S22x5/16-A,-232.3146611925
S22x5/16-B,-363.9334602712
S22x5/16-0.9,-596.2280491453
S22x5/16-1.0,-596.2384640313
S22x5/16-1.2,-596.2445228539
S22x5/16-1.5,-596.2469072247
S22x5/16-2.0,-596.2478349372
S22x5/17-A,-264.4047451636
S22x5/17-B,-264.4047293629
S22x5/17-0.9,-528.793948298
S22x5/17-1.0,-528.8032424082
S22x5/17-1.2,-528.8080171842
S22x5/17-1.5,-528.809345131
S22x5/17-2.0,-528.8095336593
S22x5/18-A,-323.6362541585
S22x5/18-B,-303.7539496803
S22x5/18-0.9,-627.4075398749
S22x5/18-1.0,-627.4101590572
S22x5/18-1.2,-627.4068608954
S22x5/18-1.5,-627.3997940302
S22x5/18-2.0,-627.3942084616
S22x5/19-A,-307.5734707516
S22x5/19-B,-307.5734373611
S22x5/19-0.9,-615.1466391453
S22x5/19-1.0,-615.1488071612
S22x5/19-1.2,-615.1494236098
S22x5/19-1.5,-615.1486111968
S22x5/19-2.0,-615.1478899282
S22x5/20-A,-414.9845175368
S22x5/20-B,-414.9845175368
S22x5/20-0.9,-829.9548287594
S22x5/20-1.0,-829.966355476
S22x5/20-1.2,-829.9705534806
S22x5/20-1.5,-829.9706485799
S22x5/20-2.0,-829.9698433121
S22x5/21-A,-414.9839122078
S22x5/21-B,-414.9839122078
S22x5/21-0.9,-829.9900482391
S22x5/21-1.0,-829.9929391759
S22x5/21-1.2,-829.9888956245
S22x5/21-1.5,-829.9806051502
S22x5/21-2.0,-829.973663438
S22x5/22-A,-232.3147006562
S22x5/22-B,-93.4583761752
S22x5/22-0.9,-325.7727453961
S22x5/22-1.0,-325.7745783543
S22x5/22-1.2,-325.7752051317
S22x5/22-1.5,-325.7747300955
S22x5/22-2.0,-325.7740095846
S66x8/01-A,-76.46421006
S66x8/01-B,-76.4642549744
S66x8/01-090,-152.9337697809
S66x8/01-095,-152.9343235676
S66x8/01-100,-152.9344286922
S66x8/01-105,-152.9342676351
S66x8/01-110,-152.9339598741
S66x8/01-125,-152.932794029
S66x8/01-150,-152.931244566
S66x8/01-200,-152.9297996727
S66x8/02-A,-76.4642128136
S66x8/02-B,-115.7682436012
S66x8/02-090,-192.2374013492
S66x8/02-095,-192.238132651
S66x8/02-100,-192.2383493999
S66x8/02-105,-192.2382543199
S66x8/02-110,-192.2379801763
S66x8/02-125,-192.2368184647
S66x8/02-150,-192.2352216005
S66x8/02-200,-192.233750578
S66x8/03-A,-76.4642079944
S66x8/03-B,-95.8922783888
S66x8/03-090,-172.365027643
S66x8/03-095,-172.3656173665
S66x8/03-100,-172.3656426424
S66x8/03-105,-172.3653215613
S66x8/03-110,-172.3648040116
S66x8/03-125,-172.3628999536
S66x8/03-150,-172.3603434282
S66x8/03-200,-172.3580804342
S66x8/04-A,-76.4642110083
S66x8/04-B,-248.6144125194
S66x8/04-090,-325.08602943
S66x8/04-095,-325.0868708589
S66x8/04-100,-325.0871087682
S66x8/04-105,-325.0869707456
S66x8/04-110,-325.0866109633
S66x8/04-125,-325.085076729
S66x8/04-150,-325.0828714421
S66x8/04-200,-325.0804962007
S66x8/05-A,-115.7681725748
S66x8/05-B,-115.7682692944
S66x8/05-090,-231.540897346
S66x8/05-095,-231.5417578696
S66x8/05-100,-231.5420711065
S66x8/05-105,-231.5420463939
S66x8/05-110,-231.5418226897
S66x8/05-125,-231.5407390571
S66x8/05-150,-231.5391666604
S66x8/05-200,-231.5376808256
S66x8/06-A,-115.7680441644
S66x8/06-B,-95.8922648149
S66x8/06-090,-211.6674417954
S66x8/06-095,-211.6684416528
S66x8/06-100,-211.6687608929
S66x8/06-105,-211.6686600198
S66x8/06-110,-211.6683091119
S66x8/06-125,-211.6666548397
S66x8/06-150,-211.6642002925
S66x8/06-200,-211.6619259534
S66x8/07-A,-115.7681637647
S66x8/07-B,-248.6139817004
S66x8/07-090,-364.3888771345
S66x8/07-095,-364.3898907214
S66x8/07-100,-364.3902488963
S66x8/07-105,-364.3901966048
S66x8/07-110,-364.3898996811
S66x8/07-125,-364.3884507561
S66x8/07-150,-364.3859360846
S66x8/07-200,-364.383487522
S66x8/08-A,-115.7681602472
S66x8/08-B,-76.4642575258
S66x8/08-090,-192.2372115351
S66x8/08-095,-192.2378831297
S66x8/08-100,-192.2380764651
S66x8/08-105,-192.2379807885
S66x8/08-110,-192.2377206119
S66x8/08-125,-192.2366301547
S66x8/08-150,-192.2351143835
S66x8/08-200,-192.2336817184
S66x8/09-A,-95.8922292101
S66x8/09-B,-115.7682305175
S66x8/09-090,-211.6602120683
S66x8/09-095,-211.6610397477
S66x8/09-100,-211.6614880768
S66x8/09-105,-211.6617025306
S66x8/09-110,-211.6617852394
S66x8/09-125,-211.66169063
S66x8/09-150,-211.6613706304
S66x8/09-200,-211.6609656411
S66x8/10-A,-95.8923358654
S66x8/10-B,-95.8922824821
S66x8/10-090,-191.7846580649
S66x8/10-095,-191.7857160977
S66x8/10-100,-191.7862672731
S66x8/10-105,-191.7865026931
S66x8/10-110,-191.7865451147
S66x8/10-125,-191.7862450677
S66x8/10-150,-191.7855673153
S66x8/10-200,-191.785029481
S66x8/11-A,-95.8922260464
S66x8/11-B,-248.6141319253
S66x8/11-090,-344.5059451382
S66x8/11-095,-344.5071940124
S66x8/11-100,-344.507889271
S66x8/11-105,-344.5082476449
S66x8/11-110,-344.5083938732
S66x8/11-125,-344.5080288786
S66x8/11-150,-344.5073916728
S66x8/11-200,-344.5068920277
S66x8/12-A,-95.8922307459
S66x8/12-B,-76.464303637
S66x8/12-090,-172.3641777185
S66x8/12-095,-172.3649934673
S66x8/12-100,-172.36517208
S66x8/12-105,-172.3649555695
S66x8/12-110,-172.3645090259
S66x8/12-125,-172.3627186038
S66x8/12-150,-172.3602470995
S66x8/12-200,-172.3580506243
S66x8/13-A,-248.6140276798
S66x8/13-B,-115.7682518035
S66x8/13-090,-364.3845719857
S66x8/13-095,-364.3856836409
S66x8/13-100,-364.3862491503
S66x8/13-105,-364.3864728563
S66x8/13-110,-364.386483069
S66x8/13-125,-364.3859772006
S66x8/13-150,-364.384967091
S66x8/13-200,-364.3838083587
S66x8/14-A,-248.6138957437
S66x8/14-B,-95.8922753293
S66x8/14-090,-344.5107176096
S66x8/14-095,-344.5118974385
S66x8/14-100,-344.5124397185
S66x8/14-105,-344.5125746834
S66x8/14-110,-344.5124568225
S66x8/14-125,-344.511451715
S66x8/14-150,-344.5097068686
S66x8/14-200,-344.5079173737
S66x8/15-A,-248.6143363
S66x8/15-B,-248.6143483136
S66x8/15-090,-497.2328966264
S66x8/15-095,-497.2341740915
S66x8/15-100,-497.2348085999
S66x8/15-105,-497.2350383452
S66x8/15-110,-497.2350150954
S66x8/15-125,-497.2342531391
S66x8/15-150,-497.2326900173
S66x8/15-200,-497.2307310509
S66x8/16-A,-248.6144499526
S66x8/16-B,-76.4642541492
S66x8/16-090,-325.0821633828
S66x8/16-095,-325.0829873624
S66x8/16-100,-325.0833448686
S66x8/16-105,-325.0834150734
S66x8/16-110,-325.0833155346
S66x8/16-125,-325.0826364739
S66x8/16-150,-325.0815133377
S66x8/16-200,-325.0802624523
S66x8/17-A,-414.9841451764
S66x8/17-B,-414.9842392887
S66x8/17-090,-829.9862688908
S66x8/17-095,-829.9881764428
S66x8/17-100,-829.988715398
S66x8/17-105,-829.9883902306
S66x8/17-110,-829.9875478185
S66x8/17-125,-829.983843069
S66x8/17-150,-829.9781322777
S66x8/17-200,-829.9724926428
S66x8/18-A,-76.4642149928
S66x8/18-B,-248.3613259227
S66x8/18-090,-324.8333549775
S66x8/18-095,-324.8340105551
S66x8/18-100,-324.8340975676
S66x8/18-105,-324.8338350227
S66x8/18-110,-324.8333729494
S66x8/18-125,-324.8316225307
S66x8/18-150,-324.8292575552
S66x8/18-200,-324.8271460189
S66x8/19-A,-115.7680498723
S66x8/19-B,-248.3613202424
S66x8/19-090,-364.13637823
S66x8/19-095,-364.1373028687
S66x8/19-100,-364.1375827057
S66x8/19-105,-364.1374538672
S66x8/19-110,-364.1371810527
S66x8/19-125,-364.1354262242
S66x8/19-150,-364.133125395
S66x8/19-200,-364.1309053804
S66x8/20-A,-229.1788944626
S66x8/20-B,-229.1789009979
S66x8/20-090,-458.381193675
S66x8/20-095,-458.3832102351
S66x8/20-100,-458.3836273387
S66x8/20-105,-458.3830301651
S66x8/20-110,-458.3818237167
S66x8/20-125,-458.3767624904
S66x8/20-150,-458.3693901654
S66x8/20-200,-458.3623613112
S66x8/21-A,-209.2984696489
S66x8/21-B,-209.2984710994
S66x8/21-090,-418.6146632712
S66x8/21-095,-418.6164486543
S66x8/21-100,-418.6169308332
S66x8/21-105,-418.6165861279
S66x8/21-110,-418.6157453594
S66x8/21-125,-418.6121323548
S66x8/21-150,-418.6067859147
S66x8/21-200,-418.6010062482
S66x8/22-A,-229.1788286604
S66x8/22-B,-414.983957344
S66x8/22-090,-644.1853310434
S66x8/22-095,-644.1873325533
S66x8/22-100,-644.1878482672
S66x8/22-105,-644.1874048375
S66x8/22-110,-644.1863694707
S66x8/22-125,-644.18186429
S66x8/22-150,-644.1749670849
S66x8/22-200,-644.1680729066
S66x8/23-A,-209.298334438
S66x8/23-B,-414.9839231274
S66x8/23-090,-624.3037202716
S66x8/23-095,-624.305645543
S66x8/23-100,-624.3062336379
S66x8/23-105,-624.3059507217
S66x8/23-110,-624.3051208552
S66x8/23-125,-624.3012450353
S66x8/23-150,-624.2949961573
S66x8/23-200,-624.2883835813
S66x8/24-A,-232.3146648168
S66x8/24-B,-232.3147022197
S66x8/24-090,-464.6133847377
S66x8/24-095,-464.6185147873
S66x8/24-100,-464.6217403256
S66x8/24-105,-464.6238183438
S66x8/24-110,-464.6251334553
S66x8/24-125,-464.6273311702
S66x8/24-150,-464.6287173088
S66x8/24-200,-464.6292648643
S66x8/25-A,-248.3613659008
S66x8/25-B,-248.3613798221
S66x8/25-090,-496.7078622934
S66x8/25-095,-496.7130203912
S66x8/25-100,-496.7161872815
S66x8/25-105,-496.7181677174
S66x8/25-110,-496.7194675804
S66x8/25-125,-496.7214126672
S66x8/25-150,-496.7225556174
S66x8/25-200,-496.7228374747
S66x8/26-A,-414.9845186096
S66x8/26-B,-414.9845186096
S66x8/26-090,-829.957693822
S66x8/26-095,-829.9631445304
S66x8/26-100,-829.9663578179
S66x8/26-105,-829.9682249033
S66x8/26-110,-829.9692967952
S66x8/26-125,-829.9705512378
S66x8/26-150,-829.9707014788
S66x8/26-200,-829.9700433076
S66x8/27-A,-232.3146872498
S66x8/27-B,-248.3613757375
S66x8/27-090,-480.6603879495
S66x8/27-095,-480.6658203527
S66x8/27-100,-480.6690722911
S66x8/27-105,-480.671145496
S66x8/27-110,-480.6724495399
S66x8/27-125,-480.6744353954
S66x8/27-150,-480.6756623701
S66x8/27-200,-480.6760501056
S66x8/28-A,-232.3146901566
S66x8/28-B,-414.9849427453
S66x8/28-090,-647.2842377711
S66x8/28-095,-647.2895022246
S66x8/28-100,-647.2927240404
S66x8/28-105,-647.2948252481
S66x8/28-110,-647.2961481017
S66x8/28-125,-647.2980672351
S66x8/28-150,-647.2991627892
S66x8/28-200,-647.2995263052
S66x8/29-A,-248.3613665294
S66x8/29-B,-414.9848813359
S66x8/29-090,-663.3305268116
S66x8/29-095,-663.3373409489
S66x8/29-100,-663.3411705222
S66x8/29-105,-663.343378563
S66x8/29-110,-663.3446193928
S66x8/29-125,-663.3462744366
S66x8/29-150,-663.346895726
S66x8/29-200,-663.3466742658
S66x8/30-A,-232.3146856281
S66x8/30-B,-78.6108480483
S66x8/30-090,-310.9161572952
S66x8/30-095,-310.9188592097
S66x8/30-100,-310.92056391
S66x8/30-105,-310.9216883162
S66x8/30-110,-310.9224596017
S66x8/30-125,-310.9238375424
S66x8/30-150,-310.9248562744
S66x8/30-200,-310.9253815523
S66x8/31-A,-414.9849311167
S66x8/31-B,-78.6109395135
S66x8/31-090,-493.5883003121
S66x8/31-095,-493.5908134178
S66x8/31-100,-493.5923955845
S66x8/31-105,-493.5934303513
S66x8/31-110,-493.5941213803
S66x8/31-125,-493.5952179543
S66x8/31-150,-493.5958176863
S66x8/31-200,-493.5959378043
S66x8/32-A,-414.9848509281
S66x8/32-B,-77.3546024697
S66x8/32-090,-492.3333334518
S66x8/32-095,-492.3358062943
S66x8/32-100,-492.3372884068
S66x8/32-105,-492.3381799132
S66x8/32-110,-492.3387178787
S66x8/32-125,-492.3394195479
S66x8/32-150,-492.3396693587
S66x8/32-200,-492.3395591482
S66x8/33-A,-248.361359574
S66x8/33-B,-78.6107966545
S66x8/33-090,-326.9637771613
S66x8/33-095,-326.9661747835
S66x8/33-100,-326.9677329731
S66x8/33-105,-326.9687759868
S66x8/33-110,-326.9694981219
S66x8/33-125,-326.9707529018
S66x8/33-150,-326.971656032
S66x8/33-200,-326.9721070943
S66x8/34-A,-197.8151011038
S66x8/34-B,-197.8149217394
S66x8/34-090,-395.6165399065
S66x8/34-095,-395.6200210803
S66x8/34-100,-395.622279316
S66x8/34-105,-395.6240339993
S66x8/34-110,-395.6253560148
S66x8/34-125,-395.6274387619
S66x8/34-150,-395.6290163702
S66x8/34-200,-395.6298493103
S66x8/35-A,-197.8150329708
S66x8/35-B,-197.8157080406
S66x8/35-090,-395.6213455853
S66x8/35-095,-395.6241690657
S66x8/35-100,-395.6258381067
S66x8/35-105,-395.6268091546
S66x8/35-110,-395.6276111506
S66x8/35-125,-395.6291195205
S66x8/35-150,-395.6302232564
S66x8/35-200,-395.6307513458
S66x8/36-A,-197.8157444326
S66x8/36-B,-197.8158381391
S66x8/36-090,-395.6249795937
S66x8/36-095,-395.6266407245
S66x8/36-100,-395.6277353589
S66x8/36-105,-395.6284757377
S66x8/36-110,-395.6290695475
S66x8/36-125,-395.6301534235
S66x8/36-150,-395.6309562643
S66x8/36-200,-395.631348776
S66x8/37-A,-196.604363711
S66x8/37-B,-197.8155175257
S66x8/37-090,-394.4108474406
S66x8/37-095,-394.4134289468
S66x8/37-100,-394.4150764297
S66x8/37-105,-394.4162241176
S66x8/37-110,-394.4170383446
S66x8/37-125,-394.4184914569
S66x8/37-150,-394.4195580866
S66x8/37-200,-394.420107968
S66x8/38-A,-196.6042694046
S66x8/38-B,-196.6042714792
S66x8/38-090,-393.1986520199
S66x8/38-095,-393.2011664416
S66x8/38-100,-393.2029344146
S66x8/38-105,-393.2041402962
S66x8/38-110,-393.2051367218
S66x8/38-125,-393.2066820697
S66x8/38-150,-393.2078555147
S66x8/38-200,-393.2084526766
S66x8/39-A,-232.3146962417
S66x8/39-B,-196.6042856786
S66x8/39-090,-428.9073505006
S66x8/39-095,-428.9109359178
S66x8/39-100,-428.9132804043
S66x8/39-105,-428.9148255645
S66x8/39-110,-428.9158342803
S66x8/39-125,-428.9174494443
S66x8/39-150,-428.9184988973
S66x8/39-200,-428.9189536952
S66x8/40-A,-232.3147031288
S66x8/40-B,-197.8159219725
S66x8/40-090,-430.1211762638
S66x8/40-095,-430.1241609925
S66x8/40-100,-430.1259767831
S66x8/40-105,-430.1271708932
S66x8/40-110,-430.1279917813
S66x8/40-125,-430.1292953639
S66x8/40-150,-430.1300904572
S66x8/40-200,-430.1304094012
S66x8/41-A,-414.9850106929
S66x8/41-B,-197.8150355536
S66x8/41-090,-612.7868706147
S66x8/41-095,-612.7906222677
S66x8/41-100,-612.7930440806
S66x8/41-105,-612.7947184212
S66x8/41-110,-612.7961052253
S66x8/41-125,-612.7982412835
S66x8/41-150,-612.7995693799
S66x8/41-200,-612.800010586
S66x8/42-A,-414.9850250045
S66x8/42-B,-196.6042908329
S66x8/42-090,-611.5767571167
S66x8/42-095,-611.5805055221
S66x8/42-100,-611.5828962045
S66x8/42-105,-611.5845038482
S66x8/42-110,-611.5856066904
S66x8/42-125,-611.5874680502
S66x8/42-150,-611.58873661
S66x8/42-200,-611.5892665761
S66x8/43-A,-414.9849659622
S66x8/43-B,-197.8154963874
S66x8/43-090,-612.7911512277
S66x8/43-095,-612.7942023026
S66x8/43-100,-612.7960913369
S66x8/43-105,-612.7973572558
S66x8/43-110,-612.798198681
S66x8/43-125,-612.7995919552
S66x8/43-150,-612.8004558735
S66x8/43-200,-612.8007651294
S66x8/44-A,-78.6108574011
S66x8/44-B,-197.815184336
S66x8/44-090,-276.4195361349
S66x8/44-095,-276.4211709634
S66x8/44-100,-276.422160257
S66x8/44-105,-276.4229256967
S66x8/44-110,-276.4235374599
S66x8/44-125,-276.4246641573
S66x8/44-150,-276.4255097264
S66x8/44-200,-276.4259063294
S66x8/45-A,-77.3545914445
S66x8/45-B,-197.8150109545
S66x8/45-090,-275.1629465898
S66x8/45-095,-275.1648347218
S66x8/45-100,-275.1660577134
S66x8/45-105,-275.1669023999
S66x8/45-110,-275.1675052841
S66x8/45-125,-275.1685231456
S66x8/45-150,-275.1691598832
S66x8/45-200,-275.1693733665
S66x8/46-A,-248.614470027
S66x8/46-B,-197.8148568217
S66x8/46-090,-446.4193289611
S66x8/46-095,-446.421791787
S66x8/46-100,-446.4235189704
S66x8/46-105,-446.4248057811
S66x8/46-110,-446.4257604868
S66x8/46-125,-446.4274081128
S66x8/46-150,-446.4288818803
S66x8/46-200,-446.4294889768
S66x8/47-A,-232.3146988646
S66x8/47-B,-232.3147235844
S66x8/47-090,-464.6212664135
S66x8/47-095,-464.6241172791
S66x8/47-100,-464.6258724479
S66x8/47-105,-464.6269175918
S66x8/47-110,-464.6275926814
S66x8/47-125,-464.6286217602
S66x8/47-150,-464.6292283934
S66x8/47-200,-464.6294228929
S66x8/48-A,-248.3613819711
S66x8/48-B,-248.3613820896
S66x8/48-090,-496.716142233
S66x8/48-095,-496.7185746051
S66x8/48-100,-496.7200613924
S66x8/48-105,-496.7209794911
S66x8/48-110,-496.721575737
S66x8/48-125,-496.7224404264
S66x8/48-150,-496.722895863
S66x8/48-200,-496.7229536593
S66x8/49-A,-232.3147047102
S66x8/49-B,-248.3613556504
S66x8/49-090,-480.6686635985
S66x8/49-095,-480.671480332
S66x8/49-100,-480.6732018737
S66x8/49-105,-480.6742218201
S66x8/49-110,-480.6748495493
S66x8/49-125,-480.6757625748
S66x8/49-150,-480.6762150992
S66x8/49-200,-480.6762503471
S66x8/50-A,-232.3146916962
S66x8/50-B,-77.3546493436
S66x8/50-090,-309.6652675555
S66x8/50-095,-309.667267397
S66x8/50-100,-309.6684051027
S66x8/50-105,-309.6690306536
S66x8/50-110,-309.6693592158
S66x8/50-125,-309.6697334845
S66x8/50-150,-309.6697868242
S66x8/50-200,-309.6695778398
S66x8/51-A,-77.3545990877
S66x8/51-B,-77.3546491052
S66x8/51-090,-154.7084425637
S66x8/51-095,-154.7091069365
S66x8/51-100,-154.7094548027
S66x8/51-105,-154.7096253318
S66x8/51-110,-154.7096965948
S66x8/51-125,-154.7096809529
S66x8/51-150,-154.7095392571
S66x8/51-200,-154.7093501006
S66x8/52-A,-232.3146867406
S66x8/52-B,-229.1806338563
S66x8/52-090,-461.4928328908
S66x8/52-095,-461.4946577937
S66x8/52-100,-461.4957044412
S66x8/52-105,-461.4962516234
S66x8/52-110,-461.4965204299
S66x8/52-125,-461.4966128686
S66x8/52-150,-461.4962955999
S66x8/52-200,-461.495792361
S66x8/53-A,-232.3146744692
S66x8/53-B,-209.2991552272
S66x8/53-090,-441.6118996007
S66x8/53-095,-441.6133382004
S66x8/53-100,-441.6141740387
S66x8/53-105,-441.614644398
S66x8/53-110,-441.6148918931
S66x8/53-125,-441.6149990302
S66x8/53-150,-441.6147308754
S66x8/53-200,-441.6142330603
S66x8/54-A,-232.3146978074
S66x8/54-B,-76.464187842
S66x8/54-090,-308.7779719341
S66x8/54-095,-308.7791882984
S66x8/54-100,-308.7798325804
S66x8/54-105,-308.7801569114
S66x8/54-110,-308.7802852529
S66x8/54-125,-308.7802311769
S66x8/54-150,-308.7798961571
S66x8/54-200,-308.7793675305
S66x8/55-A,-232.3147009613
S66x8/55-B,-115.7681869632
S66x8/55-090,-348.0793304838
S66x8/55-095,-348.0811860607
S66x8/55-100,-348.0822899407
S66x8/55-105,-348.0829176626
S66x8/55-110,-348.0832791425
S66x8/55-125,-348.083677763
S66x8/55-150,-348.0836768182
S66x8/55-200,-348.0833485896
S66x8/56-A,-232.3146968967
S66x8/56-B,-95.8922063624
S66x8/56-090,-328.201241002
S66x8/56-095,-328.2032496061
S66x8/56-100,-328.204541768
S66x8/56-105,-328.205393545
S66x8/56-110,-328.2059394829
S66x8/56-125,-328.2067392706
S66x8/56-150,-328.2071343302
S66x8/56-200,-328.2071277255
S66x8/57-A,-232.3147120223
S66x8/57-B,-248.6143957462
S66x8/57-090,-480.9214344722
S66x8/57-095,-480.9249826885
S66x8/57-100,-480.9270781755
S66x8/57-105,-480.928311771
S66x8/57-110,-480.9289798963
S66x8/57-125,-480.929791562
S66x8/57-150,-480.9299487522
S66x8/57-200,-480.9296587191
S66x8/58-A,-248.3613753844
S66x8/58-B,-248.3613501361
S66x8/58-090,-496.720105691
S66x8/58-095,-496.7222213263
S66x8/58-100,-496.7235803251
S66x8/58-105,-496.7239869468
S66x8/58-110,-496.7240320659
S66x8/58-125,-496.7237311994
S66x8/58-150,-496.723324237
S66x8/58-200,-496.7229466912
S66x8/59-A,-77.3546905914
S66x8/59-B,-76.4642414444
S66x8/59-090,-153.8201700949
S66x8/59-095,-153.820730305
S66x8/59-100,-153.8209593986
S66x8/59-105,-153.8209930113
S66x8/59-110,-153.8209194847
S66x8/59-125,-153.8204701693
S66x8/59-150,-153.8197841064
S66x8/59-200,-153.8190385326
S66x8/60-A,-77.3546177014
S66x8/60-B,-229.180613143
S66x8/60-090,-306.5375145895
S66x8/60-095,-306.5385077174
S66x8/60-100,-306.5388965175
S66x8/60-105,-306.5389313618
S66x8/60-110,-306.5387756711
S66x8/60-125,-306.5379318306
S66x8/60-150,-306.5367856755
S66x8/60-200,-306.5358378029
S66x8/61-A,-197.8149512808
S66x8/61-B,-229.1806729135
S66x8/61-090,-426.9884930165
S66x8/61-095,-426.9900398117
S66x8/61-100,-426.9912012952
S66x8/61-105,-426.9920826064
S66x8/61-110,-426.9927466562
S66x8/61-125,-426.9939789562
S66x8/61-150,-426.995149138
S66x8/61-200,-426.9956466007
S66x8/62-A,-197.8150694361
S66x8/62-B,-209.2991351312
S66x8/62-090,-407.1065372787
S66x8/62-095,-407.1084814674
S66x8/62-100,-407.1098334925
S66x8/62-105,-407.1108153885
S66x8/62-110,-407.1115224008
S66x8/62-125,-407.1127726286
S66x8/62-150,-407.1137477863
S66x8/62-200,-407.1142197811
S66x8/63-A,-232.314677723
S66x8/63-B,-229.180638618
S66x8/63-090,-461.4871274743
S66x8/63-095,-461.490135912
S66x8/63-100,-461.4919074842
S66x8/63-105,-461.4930158004
S66x8/63-110,-461.4937640415
S66x8/63-125,-461.494832157
S66x8/63-150,-461.4954037191
S66x8/63-200,-461.4954719504
S66x8/64-A,-248.6143505837
S66x8/64-B,-78.6109478615
S66x8/64-090,-327.220589483
S66x8/64-095,-327.2220593231
S66x8/64-100,-327.2230253746
S66x8/64-105,-327.2236602997
S66x8/64-110,-327.2240794749
S66x8/64-125,-327.2247564959
S66x8/64-150,-327.2252025116
S66x8/64-200,-327.2252729395
S66x8/65-A,-248.3613569827
S66x8/65-B,-77.3543542507
S66x8/65-090,-325.7187712335
S66x8/65-095,-325.7194054796
S66x8/65-100,-325.7196306913
S66x8/65-105,-325.7196094498
S66x8/65-110,-325.7194470106
S66x8/65-125,-325.7186857884
S66x8/65-150,-325.7176225949
S66x8/65-200,-325.7166386308
S66x8/66-A,-95.8921199119
S66x8/66-B,-248.3613517183
S66x8/66-090,-344.250322491
S66x8/66-095,-344.2517192408
S66x8/66-100,-344.2526019751
S66x8/66-105,-344.2531522952
S66x8/66-110,-344.2534895843
S66x8/66-125,-344.2539196045
S66x8/66-150,-344.2540665538
