system,revTPSSh/def2-QZVP/ORCA
S22x5/22-1.2,-325.7348413342
S22x5/22-1.5,-325.7333443925
S22x5/22-2.0,-325.7319232516
S66x8/01-A,-76.4311221741
S66x8/01-B,-76.4311482534
S66x8/01-090,-152.8694414927
S66x8/01-095,-152.8698909084
S66x8/01-100,-152.8698710695
S66x8/01-105,-152.869574113
S66x8/01-110,-152.8691353363
S66x8/01-125,-152.8676094895
S66x8/01-150,-152.8656200339
S66x8/01-200,-152.8637065828
S66x8/02-A,-76.4311247623
S66x8/02-B,-115.7394834768
S66x8/02-090,-192.1777143754
S66x8/02-095,-192.1783362673
S66x8/02-100,-192.1784186824
S66x8/02-105,-192.178173723
S66x8/02-110,-192.177748151
S66x8/02-125,-192.1761757748
S66x8/02-150,-192.1740609684
S66x8/02-200,-192.1720388822
S66x8/03-A,-76.4311205968
S66x8/03-B,-95.8740456518
S66x8/03-090,-172.3151166622
S66x8/03-095,-172.315751317
S66x8/03-100,-172.3157628321
S66x8/03-105,-172.3153882714
S66x8/03-110,-172.3147953843
S66x8/03-125,-172.3126142802
S66x8/03-150,-172.3096503437
S66x8/03-200,-172.3069000763
S66x8/04-A,-76.4311230291
S66x8/04-B,-248.5658972303
S66x8/04-090,-325.0072728478
S66x8/04-095,-325.0079892949
S66x8/04-100,-325.0080751401
S66x8/04-105,-325.0077764111
S66x8/04-110,-325.0072495769
S66x8/04-125,-325.0052070517
S66x8/04-150,-325.0023383479
S66x8/04-200,-324.9991156817
S66x8/05-A,-115.7393692779
S66x8/05-B,-115.7395006812
S66x8/05-090,-231.4856581827
S66x8/05-095,-231.4864112809
S66x8/05-100,-231.4865884943
S66x8/05-105,-231.4864136097
S66x8/05-110,-231.4860355955
S66x8/05-125,-231.4845222432
S66x8/05-150,-231.482393753
S66x8/05-200,-231.4803242419
S66x8/06-A,-115.7391909244
S66x8/06-B,-95.8740490703
S66x8/06-090,-211.6225737639
S66x8/06-095,-211.623559387
S66x8/06-100,-211.6238269105
S66x8/06-105,-211.6236268472
S66x8/06-110,-211.6231368188
S66x8/06-125,-211.6210670962
S66x8/06-150,-211.6180252357
S66x8/06-200,-211.6151240353
S66x8/07-A,-115.7393004389
S66x8/07-B,-248.5655883673
S66x8/07-090,-364.3146495741
S66x8/07-095,-364.3155574226
S66x8/07-100,-364.3157713498
S66x8/07-105,-364.3155550123
S66x8/07-110,-364.3150807765
S66x8/07-125,-364.3131058188
S66x8/07-150,-364.3098244812
S66x8/07-200,-364.3064584573
S66x8/08-A,-115.7393808298
S66x8/08-B,-76.4311506864
S66x8/08-090,-192.1773501562
S66x8/08-095,-192.1779157755
S66x8/08-100,-192.1779816141
S66x8/08-105,-192.1777460465
S66x8/08-110,-192.1773472121
S66x8/08-125,-192.175876989
S66x8/08-150,-192.1738895831
S66x8/08-200,-192.1719570975
S66x8/09-A,-95.8739563309
S66x8/09-B,-115.73946981
S66x8/09-090,-211.6157461508
S66x8/09-095,-211.6163279589
S66x8/09-100,-211.6165448694
S66x8/09-105,-211.6165514996
S66x8/09-110,-211.6164236997
S66x8/09-125,-211.6158055534
S66x8/09-150,-211.6148986188
S66x8/09-200,-211.6140366689
S66x8/10-A,-95.8740280533
S66x8/10-B,-95.8740428456
S66x8/10-090,-191.7510910398
S66x8/10-095,-191.7519323588
S66x8/10-100,-191.7522506118
S66x8/10-105,-191.7522336963
S66x8/10-110,-191.7520452783
S66x8/10-125,-191.7511836486
S66x8/10-150,-191.7496775452
S66x8/10-200,-191.7485796613
S66x8/11-A,-95.8739492177
S66x8/11-B,-248.5657354317
S66x8/11-090,-344.4431981465
S66x8/11-095,-344.4441155826
S66x8/11-100,-344.4444963387
S66x8/11-105,-344.4445511681
S66x8/11-110,-344.4444074083
S66x8/11-125,-344.4430569579
S66x8/11-150,-344.4413755122
S66x8/11-200,-344.4403087912
S66x8/12-A,-95.8740151501
S66x8/12-B,-76.43104561
S66x8/12-090,-172.31472166
S66x8/12-095,-172.3155482022
S66x8/12-100,-172.3156836484
S66x8/12-105,-172.3153868224
S66x8/12-110,-172.314838243
S66x8/12-125,-172.3126939491
S66x8/12-150,-172.3097042914
S66x8/12-200,-172.3069067258
S66x8/13-A,-248.5656230182
S66x8/13-B,-115.7394943755
S66x8/13-090,-364.3106709144
S66x8/13-095,-364.3115917463
S66x8/13-100,-364.3119432042
S66x8/13-105,-364.311936771
S66x8/13-110,-364.3117155484
S66x8/13-125,-364.3106109258
S66x8/13-150,-364.3088620488
S66x8/13-200,-364.3069186619
S66x8/14-A,-248.5654457324
S66x8/14-B,-95.8740521547
S66x8/14-090,-344.4469541266
S66x8/14-095,-344.4480739671
S66x8/14-100,-344.4484916875
S66x8/14-105,-344.4484561633
S66x8/14-110,-344.4481448814
S66x8/14-125,-344.4465863302
S66x8/14-150,-344.4441233499
S66x8/14-200,-344.441559073
S66x8/15-A,-248.5658158725
S66x8/15-B,-248.5658482079
S66x8/15-090,-497.139749543
S66x8/15-095,-497.1408537053
S66x8/15-100,-497.1412787297
S66x8/15-105,-497.1412630343
S66x8/15-110,-497.1409765586
S66x8/15-125,-497.1395010978
S66x8/15-150,-497.1370992173
S66x8/15-200,-497.1340690933
S66x8/16-A,-248.5659438852
S66x8/16-B,-76.4311492216
S66x8/16-090,-325.0030588146
S66x8/16-095,-325.0037157101
S66x8/16-100,-325.0038889428
S66x8/16-105,-325.0037726705
S66x8/16-110,-325.0034992209
S66x8/16-125,-325.0023510227
S66x8/16-150,-325.0006494741
S66x8/16-200,-324.9988219883
S66x8/17-A,-414.8831725385
S66x8/17-B,-414.8833382604
S66x8/17-090,-829.7878209282
S66x8/17-095,-829.7898959835
S66x8/17-100,-829.790457813
S66x8/17-105,-829.7900478962
S66x8/17-110,-829.7890464094
S66x8/17-125,-829.784673057
S66x8/17-150,-829.7779892842
S66x8/17-200,-829.7712620844
S66x8/18-A,-76.4311262868
S66x8/18-B,-248.3298675896
S66x8/18-090,-324.7703238814
S66x8/18-095,-324.7710215824
S66x8/18-100,-324.7710862441
S66x8/18-105,-324.7707585318
S66x8/18-110,-324.7702093068
S66x8/18-125,-324.7681492273
S66x8/18-150,-324.7653466672
S66x8/18-200,-324.7627282528
S66x8/19-A,-115.7392082806
S66x8/19-B,-248.3298603101
S66x8/19-090,-364.0779206955
S66x8/19-095,-364.0788998176
S66x8/19-100,-364.0791615613
S66x8/19-105,-364.078968039
S66x8/19-110,-364.0784974094
S66x8/19-125,-364.0765127298
S66x8/19-150,-364.0735946265
S66x8/19-200,-364.0707925028
S66x8/20-A,-229.1177589221
S66x8/20-B,-229.117761878
S66x8/20-090,-458.2620390468
S66x8/20-095,-458.2642614889
S66x8/20-100,-458.2647377715
S66x8/20-105,-458.2640909404
S66x8/20-110,-458.2627598414
S66x8/20-125,-458.2572036135
S66x8/20-150,-458.2489154658
S66x8/20-200,-458.240849009
S66x8/21-A,-209.2477577279
S66x8/21-B,-209.2477599624
S66x8/21-090,-418.5165335362
S66x8/21-095,-418.5184042219
S66x8/21-100,-418.5188477723
S66x8/21-105,-418.5183921624
S66x8/21-110,-418.5173901847
S66x8/21-125,-418.5132006905
S66x8/21-150,-418.5069664573
S66x8/21-200,-418.500061853
S66x8/22-A,-229.117679146
S66x8/22-B,-414.8830841932
S66x8/22-090,-644.0266961601
S66x8/22-095,-644.0288742424
S66x8/22-100,-644.0294175321
S66x8/22-105,-644.0288939124
S66x8/22-110,-644.0277127135
S66x8/22-125,-644.0226222576
S66x8/22-150,-644.0148068479
S66x8/22-200,-644.0068248595
S66x8/23-A,-209.2476536408
S66x8/23-B,-414.8829816635
S66x8/23-090,-624.1554922371
S66x8/23-095,-624.1575742906
S66x8/23-100,-624.1581758647
S66x8/23-105,-624.1578037171
S66x8/23-110,-624.1568178747
S66x8/23-125,-624.1523533272
S66x8/23-150,-624.1452258802
S66x8/23-200,-624.1375153271
S66x8/24-A,-232.2936865438
S66x8/24-B,-232.2936792244
S66x8/24-090,-464.5778096912
S66x8/24-095,-464.5819218866
S66x8/24-100,-464.584177661
S66x8/24-105,-464.5853958926
S66x8/24-110,-464.5860666634
S66x8/24-125,-464.5869216905
S66x8/24-150,-464.5872137662
S66x8/24-200,-464.5872865923
S66x8/25-A,-248.3298757834
S66x8/25-B,-248.3298956442
S66x8/25-090,-496.6517407237
S66x8/25-095,-496.6557240142
S66x8/25-100,-496.6578803555
S66x8/25-105,-496.659095634
S66x8/25-110,-496.6597006028
S66x8/25-125,-496.6602936788
S66x8/25-150,-496.660206099
S66x8/25-200,-496.6599280719
S66x8/26-A,-414.8836518188
S66x8/26-B,-414.8836518164
S66x8/26-090,-829.7657735844
S66x8/26-095,-829.7696164662
S66x8/26-100,-829.7715098003
S66x8/26-105,-829.772321884
S66x8/26-110,-829.7725376519
S66x8/26-125,-829.7719052184
S66x8/26-150,-829.7702545351
S66x8/26-200,-829.7684500244
S66x8/27-A,-232.2936901581
S66x8/27-B,-248.3299010749
S66x8/27-090,-480.6146541871
S66x8/27-095,-480.6188875706
S66x8/27-100,-480.6211957432
S66x8/27-105,-480.6223694217
S66x8/27-110,-480.6229889227
S66x8/27-125,-480.6236563897
S66x8/27-150,-480.6237228248
S66x8/27-200,-480.623604171
S66x8/28-A,-232.2936209184
S66x8/28-B,-414.8841472081
S66x8/28-090,-647.1709406298
S66x8/28-095,-647.1747409075
S66x8/28-100,-647.1768742334
S66x8/28-105,-647.1778544479
S66x8/28-110,-647.1783339455
S66x8/28-125,-647.1786247469
S66x8/28-150,-647.1782698684
S66x8/28-200,-647.1777715906
S66x8/29-A,-248.3298577848
S66x8/29-B,-414.8841197505
S66x8/29-090,-663.2073084461
S66x8/29-095,-663.2123731615
S66x8/29-100,-663.2147935316
S66x8/29-105,-663.2158217576
S66x8/29-110,-663.2163222447
S66x8/29-125,-663.216250236
S66x8/29-150,-663.2153423156
S66x8/29-200,-663.2144268002
S66x8/30-A,-232.2936834129
S66x8/30-B,-78.604485944
S66x8/30-090,-310.8931191097
S66x8/30-095,-310.8950996582
S66x8/30-100,-310.8961939952
S66x8/30-105,-310.8968081123
S66x8/30-110,-310.8971935122
S66x8/30-125,-310.8976774457
S66x8/30-150,-310.8979030562
S66x8/30-200,-310.8980534734
S66x8/31-A,-414.8841620169
S66x8/31-B,-78.6045077003
S66x8/31-090,-493.4861953601
S66x8/31-095,-493.4879169243
S66x8/31-100,-493.4888217962
S66x8/31-105,-493.4893198824
S66x8/31-110,-493.4895604304
S66x8/31-125,-493.489627402
S66x8/31-150,-493.4892693103
S66x8/31-200,-493.4888094273
S66x8/32-A,-414.8841446484
S66x8/32-B,-77.3435068331
S66x8/32-090,-492.2261737914
S66x8/32-095,-492.2279562408
S66x8/32-100,-492.228835162
S66x8/32-105,-492.2291952601
S66x8/32-110,-492.2293324135
S66x8/32-125,-492.2290753592
S66x8/32-150,-492.2284001286
S66x8/32-200,-492.2277268259
S66x8/33-A,-248.3299046228
S66x8/33-B,-78.6044484082
S66x8/33-090,-326.9303086886
S66x8/33-095,-326.9320015352
S66x8/33-100,-326.9329727971
S66x8/33-105,-326.9335455034
S66x8/33-110,-326.9338495181
S66x8/33-125,-326.9342243178
S66x8/33-150,-326.9343226597
S66x8/33-200,-326.9343229435
S66x8/34-A,-197.8091907339
S66x8/34-B,-197.8090848065
S66x8/34-090,-395.6133020032
S66x8/34-095,-395.6155086264
S66x8/34-100,-395.6167864747
S66x8/34-105,-395.617592066
S66x8/34-110,-395.6180643107
S66x8/34-125,-395.6187723931
S66x8/34-150,-395.6187336746
S66x8/34-200,-395.6185548948
S66x8/35-A,-197.809155798
S66x8/35-B,-197.8120900467
S66x8/35-090,-395.617334504
S66x8/35-095,-395.6192302592
S66x8/35-100,-395.6202296192
S66x8/35-105,-395.6208078231
S66x8/35-110,-395.6211024953
S66x8/35-125,-395.6214833137
S66x8/35-150,-395.6214339154
S66x8/35-200,-395.6213049059
S66x8/36-A,-197.812121553
S66x8/36-B,-197.8121430382
S66x8/36-090,-395.6217221726
S66x8/36-095,-395.6227461585
S66x8/36-100,-395.6233659091
S66x8/36-105,-395.6237761814
S66x8/36-110,-395.6239736329
S66x8/36-125,-395.6242259639
S66x8/36-150,-395.6242031196
S66x8/36-200,-395.624100263
S66x8/37-A,-196.5975838351
S66x8/37-B,-197.81203083
S66x8/37-090,-394.4055132848
S66x8/37-095,-394.4073947388
S66x8/37-100,-394.4084220654
S66x8/37-105,-394.4089892352
S66x8/37-110,-394.40937573
S66x8/37-125,-394.4097929
S66x8/37-150,-394.409810506
S66x8/37-200,-394.4096757229
S66x8/38-A,-196.5975805571
S66x8/38-B,-196.597590066
S66x8/38-090,0
S66x8/38-095,-393.1927982494
S66x8/38-100,-393.1939071787
S66x8/38-105,-393.194524951
S66x8/38-110,-393.1949784023
S66x8/38-125,-393.1953926366
S66x8/38-150,-393.1953327982
S66x8/38-200,-393.1951770938
S66x8/39-A,-232.2936800273
S66x8/39-B,-196.5975764682
S66x8/39-090,-428.8860374251
S66x8/39-095,-428.8886408513
S66x8/39-100,-428.8901201033
S66x8/39-105,-428.8909167609
S66x8/39-110,-428.8913062291
S66x8/39-125,-428.8916432373
S66x8/39-150,-428.8915564038
S66x8/39-200,-428.8913096216
S66x8/40-A,-232.2936755629
S66x8/40-B,-197.8122129415
S66x8/40-090,-430.1018219446
S66x8/40-095,-430.1038960232
S66x8/40-100,-430.1050386293
S66x8/40-105,-430.1055978614
S66x8/40-110,-430.1059271263
S66x8/40-125,-430.1061756234
S66x8/40-150,-430.106027596
S66x8/40-200,-430.105795074
S66x8/41-A,-414.884178934
S66x8/41-B,-197.809215561
S66x8/41-090,-612.6883059377
S66x8/41-095,-612.6907524006
S66x8/41-100,-612.6921317261
S66x8/41-105,-612.692955933
S66x8/41-110,-612.6935333159
S66x8/41-125,-612.6939318095
S66x8/41-150,-612.6936853048
S66x8/41-200,-612.6934130916
S66x8/42-A,-414.8841853161
S66x8/42-B,-196.5975641502
S66x8/42-090,-611.4763558612
S66x8/42-095,-611.478985217
S66x8/42-100,-611.4803933634
S66x8/42-105,-611.4811776844
S66x8/42-110,-611.4816635715
S66x8/42-125,-611.4821246725
S66x8/42-150,-611.4820300133
S66x8/42-200,-611.4817890422
S66x8/43-A,-414.8841735537
S66x8/43-B,-197.8119532341
S66x8/43-090,-612.6924863333
S66x8/43-095,-612.6945625885
S66x8/43-100,-612.6957045847
S66x8/43-105,-612.6962987835
S66x8/43-110,-612.6966223942
S66x8/43-125,-612.6968264423
S66x8/43-150,-612.6965719361
S66x8/43-200,-612.6962509555
S66x8/44-A,-78.6044879363
S66x8/44-B,-197.8092689602
S66x8/44-090,-276.4114690745
S66x8/44-095,-276.412537934
S66x8/44-100,-276.4131329821
S66x8/44-105,-276.4135179912
S66x8/44-110,-276.4137139043
S66x8/44-125,-276.4139641758
S66x8/44-150,-276.413896561
S66x8/44-200,-276.4137648272
S66x8/45-A,-77.3435147861
S66x8/45-B,-197.809206269
S66x8/45-090,-275.1499476631
S66x8/45-095,-275.151297493
S66x8/45-100,-275.1520814112
S66x8/45-105,-275.1524994667
S66x8/45-110,-275.1527125739
S66x8/45-125,-275.152919693
S66x8/45-150,-275.1527857031
S66x8/45-200,-275.1525844085
S66x8/46-A,-248.5659624376
S66x8/46-B,-197.8090826634
S66x8/46-090,-446.3719886507
S66x8/46-095,-446.3735452302
S66x8/46-100,-446.3745017294
S66x8/46-105,-446.3751178589
S66x8/46-110,-446.3754462201
S66x8/46-125,-446.3758587793
S66x8/46-150,-446.3756786986
S66x8/46-200,-446.3752931763
S66x8/47-A,-232.2936666549
S66x8/47-B,-232.2936133325
S66x8/47-090,-464.5839447819
S66x8/47-095,-464.5860699715
S66x8/47-100,-464.5871440569
S66x8/47-105,-464.5877114679
S66x8/47-110,-464.5879595001
S66x8/47-125,-464.5880713473
S66x8/47-150,-464.5878096085
S66x8/47-200,-464.5874789739
S66x8/48-A,-248.3298803097
S66x8/48-B,-248.3298579604
S66x8/48-090,-496.6577891547
S66x8/48-095,-496.6595430663
S66x8/48-100,-496.6604689903
S66x8/48-105,-496.6609368438
S66x8/48-110,-496.6611215391
S66x8/48-125,-496.6610980379
S66x8/48-150,-496.6606522633
S66x8/48-200,-496.6600875055
S66x8/49-A,-232.2936681706
S66x8/49-B,-248.3298707891
S66x8/49-090,-480.6209160353
S66x8/49-095,-480.6230465037
S66x8/49-100,-480.6240918068
S66x8/49-105,-480.6246109041
S66x8/49-110,-480.6248259082
S66x8/49-125,-480.6247876461
S66x8/49-150,-480.624347805
S66x8/49-200,-480.6238473387
S66x8/50-A,-232.2936585036
S66x8/50-B,-77.3435677241
S66x8/50-090,-309.6368267917
S66x8/50-095,-309.6382580822
S66x8/50-100,-309.6388914403
S66x8/50-105,-309.6390985881
S66x8/50-110,-309.6391001172
S66x8/50-125,-309.6387203834
S66x8/50-150,-309.6380349761
S66x8/50-200,-309.6374082427
S66x8/51-A,-77.3435252367
S66x8/51-B,-77.3435783129
S66x8/51-090,-154.6879524569
S66x8/51-095,-154.6884475807
S66x8/51-100,-154.6886328565
S66x8/51-105,-154.6886440012
S66x8/51-110,-154.6885608358
S66x8/51-125,-154.6881751185
S66x8/51-150,-154.6876420885
S66x8/51-200,-154.6872188557
S66x8/52-A,-232.2936565672
S66x8/52-B,-229.1195498807
S66x8/52-090,-461.4152546379
S66x8/52-095,-461.4165073444
S66x8/52-100,-461.4170115637
S66x8/52-105,-461.4171045994
S66x8/52-110,-461.4169824445
S66x8/52-125,-461.4161856108
S66x8/52-150,-461.4149918063
S66x8/52-200,-461.4138154543
S66x8/53-A,-232.2936561205
S66x8/53-B,-209.2485264317
S66x8/53-090,-441.5439678916
S66x8/53-095,-441.5450355498
S66x8/53-100,0
S66x8/53-105,-441.5456596997
S66x8/53-110,-441.5455912848
S66x8/53-125,-441.5449927604
S66x8/53-150,-441.5438947396
S66x8/53-200,-441.5426925666
S66x8/54-A,-232.2936525994
S66x8/54-B,-76.4310894149
S66x8/54-090,-308.7270394643
S66x8/54-095,-308.7278360283
S66x8/54-100,-308.7281112643
S66x8/54-105,-308.728106663
S66x8/54-110,-308.7279579215
S66x8/54-125,-308.727277869
S66x8/54-150,-308.7262903628
S66x8/54-200,-308.7253166921
S66x8/55-A,-232.2936414215
S66x8/55-B,-115.7394334092
S66x8/55-090,-348.034108239
S66x8/55-095,-348.0353865182
S66x8/55-100,-348.0359464448
S66x8/55-105,-348.036143638
S66x8/55-110,-348.0361540234
S66x8/55-125,-348.0356392394
S66x8/55-150,-348.0347039114
S66x8/55-200,-348.0336866465
S66x8/56-A,-232.2936647043
S66x8/56-B,-95.8739678992
S66x8/56-090,-328.1665675093
S66x8/56-095,-328.167957801
S66x8/56-100,-328.1686693124
S66x8/56-105,-328.1690190008
S66x8/56-110,-328.1691585836
S66x8/56-125,-328.1690051034
S66x8/56-150,-328.1684936924
S66x8/56-200,-328.1679429367
S66x8/57-A,-232.2936463201
S66x8/57-B,-248.5659465395
S66x8/57-090,-480.858212376
S66x8/57-095,-480.8608248481
S66x8/57-100,-480.8620590449
S66x8/57-105,-480.8625380806
S66x8/57-110,-480.8626992691
S66x8/57-125,-480.862290926
S66x8/57-150,-480.8613309874
S66x8/57-200,-480.8602824712
S66x8/58-A,-248.3298446795
S66x8/58-B,-248.329825407
S66x8/58-090,-496.6602987373
S66x8/58-095,-496.6621416488
S66x8/58-100,-496.663068197
S66x8/58-105,-496.6630932342
S66x8/58-110,-496.6628282421
S66x8/58-125,-496.6618275169
S66x8/58-150,-496.6607425642
S66x8/58-200,-496.6599646269
S66x8/59-A,-77.3436088737
S66x8/59-B,-76.4311398362
S66x8/59-090,-153.7779364321
S66x8/59-095,-153.7783432785
S66x8/59-100,-153.7784142909
S66x8/59-105,-153.7782983633
S66x8/59-110,-153.7780761762
S66x8/59-125,-153.7772504873
S66x8/59-150,-153.7761128241
S66x8/59-200,-153.7750137575
S66x8/60-A,-77.3435151408
S66x8/60-B,-229.1195262847
S66x8/60-090,-306.4683085889
S66x8/60-095,-306.4690913941
S66x8/60-100,-306.4692310438
S66x8/60-105,-306.469018505
S66x8/60-110,-306.4686308094
S66x8/60-125,-306.4671631056
S66x8/60-150,-306.4653228314
S66x8/60-200,-306.4637391314
S66x8/61-A,-197.8091708271
S66x8/61-B,-229.1196055279
S66x8/61-090,-426.9266390672
S66x8/61-095,-426.9276225933
S66x8/61-100,-426.9282574773
S66x8/61-105,-426.928658345
S66x8/61-110,-426.9288954955
S66x8/61-125,-426.9292269615
S66x8/61-150,-426.9290978475
S66x8/61-200,-426.9288546833
S66x8/62-A,-197.8092194755
S66x8/62-B,-209.2485285142
S66x8/62-090,-407.055606973
S66x8/62-095,-407.0568549791
S66x8/62-100,-407.0576405393
S66x8/62-105,-407.0580726608
S66x8/62-110,-407.0582796193
S66x8/62-125,-407.0585046295
S66x8/62-150,-407.058266357
S66x8/62-200,-407.0578810139
S66x8/63-A,-232.2936774737
S66x8/63-B,-229.1195754076
S66x8/63-090,-461.410774017
S66x8/63-095,-461.4127718649
S66x8/63-100,-461.4138294502
S66x8/63-105,-461.4143327079
S66x8/63-110,-461.4145069003
S66x8/63-125,-461.4144533051
S66x8/63-150,-461.4139778942
S66x8/63-200,-461.4134473505
S66x8/64-A,-248.5658847038
S66x8/64-B,-78.6045491899
S66x8/64-090,-327.1697066266
S66x8/64-095,-327.1707374822
S66x8/64-100,-327.1712731077
S66x8/64-105,-327.1715463289
S66x8/64-110,-327.1716694162
S66x8/64-125,-327.1715568366
S66x8/64-150,-327.1710464478
S66x8/64-200,-327.1704877905
S66x8/65-A,-248.3298884227
S66x8/65-B,-77.3431138673
S66x8/65-090,-325.6778960942
S66x8/65-095,-325.6784823421
S66x8/65-100,-325.6786189498
S66x8/65-105,-325.6784817391
S66x8/65-110,-325.6781950689
S66x8/65-125,-325.6770855641
S66x8/65-150,-325.6755898459
S66x8/65-200,-325.6741971832
S66x8/66-A,-95.8738935878
S66x8/66-B,-248.3298788325
S66x8/66-090,-344.204471627
S66x8/66-095,-344.2054814848
S66x8/66-100,-344.2059967365
S66x8/66-105,-344.2062289667
S66x8/66-110,-344.2062775082
S66x8/66-125,-344.2059648493
S66x8/66-150,-344.2052561948
