system,CAM-B3LYP/def2-QZVP/ORCA
S22x5/19-2.0,-614.9067765056
S22x5/20-A,-414.8442529538
S22x5/20-B,-414.8442528746
S22x5/20-0.9,-829.6850075191
S22x5/20-1.0,-829.6942835024
S22x5/20-1.2,-829.6936814291
S22x5/20-1.5,-829.6907919171
S22x5/20-2.0,-829.689385485
S22x5/21-A,-414.8435289656
S22x5/21-B,-414.8435289737
S22x5/21-0.9,-829.7158424099
S22x5/21-1.0,-829.7184389274
S22x5/21-1.2,-829.713245111
S22x5/21-1.5,-829.7028965842
S22x5/21-2.0,-829.6939444811
S22x5/22-A,-232.2105836508
S22x5/22-B,-93.4209124133
S22x5/22-0.9,-325.6348371662
S22x5/22-1.0,-325.6362933535
S22x5/22-1.2,-325.6358370758
S22x5/22-1.5,-325.6340639948
S22x5/22-2.0,-325.6326298381
S66x8/01-A,-76.4449486269
S66x8/01-B,-76.4449353058
S66x8/01-090,-152.8981318172
S66x8/01-095,-152.8984535797
S66x8/01-100,-152.8983213877
S66x8/01-105,-152.897925116
S66x8/01-110,-152.8973895025
S66x8/01-125,-152.8955851146
S66x8/01-150,-152.8932724503
S66x8/01-200,-152.8912295886
S66x8/02-A,-76.4449607756
S66x8/02-B,-115.7331106202
S66x8/02-090,-192.1867165624
S66x8/02-095,-192.1871528372
S66x8/02-100,-192.1870739126
S66x8/02-105,-192.1866857456
S66x8/02-110,-192.186130292
S66x8/02-125,-192.1842011117
S66x8/02-150,-192.1816687906
S66x8/02-200,-192.1794458832
S66x8/03-A,-76.4449813427
S66x8/03-B,-95.8550682742
S66x8/03-090,-172.3108108493
S66x8/03-095,-172.3112820012
S66x8/03-100,-172.3111769676
S66x8/03-105,-172.310719539
S66x8/03-110,-172.3100612438
S66x8/03-125,-172.3077223209
S66x8/03-150,-172.3045306601
S66x8/03-200,-172.3016132359
S66x8/04-A,-76.4449785355
S66x8/04-B,-248.5283180446
S66x8/04-090,-324.9854818481
S66x8/04-095,-324.9860098321
S66x8/04-100,-324.9859316295
S66x8/04-105,-324.9854725366
S66x8/04-110,-324.9847927402
S66x8/04-125,-324.9823429004
S66x8/04-150,-324.9789223421
S66x8/04-200,-324.9753029949
S66x8/05-A,-115.7330138667
S66x8/05-B,-115.7331350665
S66x8/05-090,-231.4745511327
S66x8/05-095,-231.4751244693
S66x8/05-100,-231.4751477936
S66x8/05-105,-231.4748334304
S66x8/05-110,-231.4743299295
S66x8/05-125,-231.4724706723
S66x8/05-150,-231.4699345811
S66x8/05-200,-231.4676589604
S66x8/06-A,-115.7327712824
S66x8/06-B,-95.8550478067
S66x8/06-090,-211.5982468209
S66x8/06-095,-211.5990422274
S66x8/06-100,-211.5991590121
S66x8/06-105,-211.5988496853
S66x8/06-110,-211.5982819946
S66x8/06-125,-211.5960219397
S66x8/06-150,-211.5927476577
S66x8/06-200,-211.5896920738
S66x8/07-A,-115.7328516526
S66x8/07-B,-248.5283054072
S66x8/07-090,-364.2727878853
S66x8/07-095,-364.2735232543
S66x8/07-100,-364.2735923115
S66x8/07-105,-364.2732392232
S66x8/07-110,-364.2726355356
S66x8/07-125,-364.2702928727
S66x8/07-150,-364.2664370644
S66x8/07-200,-364.2627725726
S66x8/08-A,-115.7330374211
S66x8/08-B,-76.4449423262
S66x8/08-090,-192.1859614432
S66x8/08-095,-192.1864089718
S66x8/08-100,-192.1863683932
S66x8/08-105,-192.1860364703
S66x8/08-110,-192.1855458662
S66x8/08-125,-192.1838012348
S66x8/08-150,-192.1814892557
S66x8/08-200,-192.179428848
S66x8/09-A,-95.8550112685
S66x8/09-B,-115.7331260632
S66x8/09-090,-211.591473052
S66x8/09-095,-211.5919138699
S66x8/09-100,-211.5919865959
S66x8/09-105,-211.59184823
S66x8/09-110,-211.5915944775
S66x8/09-125,-211.5906713548
S66x8/09-150,-211.5895509172
S66x8/09-200,-211.5887202164
S66x8/10-A,-95.8550441291
S66x8/10-B,-95.8550225206
S66x8/10-090,-191.7140015354
S66x8/10-095,-191.7147995095
S66x8/10-100,-191.7150504735
S66x8/10-105,-191.7149634616
S66x8/10-110,-191.7146857996
S66x8/10-125,-191.713490986
S66x8/10-150,-191.7116254284
S66x8/10-200,-191.7105628202
S66x8/11-A,-95.8547825587
S66x8/11-B,-248.5284661247
S66x8/11-090,-344.3883106058
S66x8/11-095,-344.3892005089
S66x8/11-100,-344.3895087013
S66x8/11-105,-344.3894565845
S66x8/11-110,-344.3891856232
S66x8/11-125,-344.387160845
S66x8/11-150,-344.3850581416
S66x8/11-200,-344.3840383309
S66x8/12-A,-95.8550208626
S66x8/12-B,-76.444545782
S66x8/12-090,-172.3108367966
S66x8/12-095,-172.3114670686
S66x8/12-100,-172.3114474391
S66x8/12-105,-172.3110255285
S66x8/12-110,-172.3103718473
S66x8/12-125,-172.3079684267
S66x8/12-150,-172.3046568892
S66x8/12-200,-172.3016534542
S66x8/13-A,-248.5284316445
S66x8/13-B,-115.7331628202
S66x8/13-090,-364.2688445158
S66x8/13-095,-364.2696420399
S66x8/13-100,-364.2698622141
S66x8/13-105,-364.2697218272
S66x8/13-110,-364.2693678573
S66x8/13-125,-364.2678345526
S66x8/13-150,-364.265556173
S66x8/13-200,-364.2634239295
S66x8/14-A,-248.5282133569
S66x8/14-B,-95.85498904
S66x8/14-090,-344.3915924299
S66x8/14-095,-344.3926133064
S66x8/14-100,-344.3929585644
S66x8/14-105,-344.3928694904
S66x8/14-110,-344.3925125514
S66x8/14-125,-344.3907754805
S66x8/14-150,-344.3880097438
S66x8/14-200,-344.3852938617
S66x8/15-A,-248.5281776971
S66x8/15-B,-248.5283227803
S66x8/15-090,-497.0661607344
S66x8/15-095,-497.0671435908
S66x8/15-100,-497.0674543416
S66x8/15-105,-497.0673339055
S66x8/15-110,-497.0669523848
S66x8/15-125,-497.0651496883
S66x8/15-150,-497.0622123142
S66x8/15-200,-497.0589155567
S66x8/16-A,-248.5283683257
S66x8/16-B,-76.4449468948
S66x8/16-090,-324.9804857583
S66x8/16-095,-324.9810512167
S66x8/16-100,-324.9811309205
S66x8/16-105,-324.9809168852
S66x8/16-110,-324.9805329895
S66x8/16-125,-324.9790593691
S66x8/16-150,-324.9770071086
S66x8/16-200,-324.9750847022
S66x8/17-A,-414.8437788156
S66x8/17-B,-414.8439024714
S66x8/17-090,-829.7117669962
S66x8/17-095,-829.7135463522
S66x8/17-100,-829.7138914507
S66x8/17-105,-829.713316155
S66x8/17-110,-829.7121701417
S66x8/17-125,-829.7074022212
S66x8/17-150,-829.7000013175
S66x8/17-200,-829.6925235391
S66x8/18-A,-76.4449669493
S66x8/18-B,-248.2553086856
S66x8/18-090,-324.7106734983
S66x8/18-095,-324.7111895329
S66x8/18-100,-324.7111198572
S66x8/18-105,-324.7106909189
S66x8/18-110,-324.71005773
S66x8/18-125,-324.7077872141
S66x8/18-150,-324.7046890572
S66x8/18-200,-324.7018577203
S66x8/19-A,-115.7327708341
S66x8/19-B,-248.2553060335
S66x8/19-090,-363.9982306629
S66x8/19-095,-363.9990261179
S66x8/19-100,-363.9991549201
S66x8/19-105,-363.9988604253
S66x8/19-110,-363.9981810239
S66x8/19-125,-363.9961343315
S66x8/19-150,-363.9927770568
S66x8/19-200,-363.9897372443
S66x8/20-A,-229.1103122911
S66x8/20-B,-229.1103241777
S66x8/20-090,-458.2503957504
S66x8/20-095,-458.2521321382
S66x8/20-100,-458.2522587418
S66x8/20-105,-458.2513565963
S66x8/20-110,-458.2498332018
S66x8/20-125,-458.2439341392
S66x8/20-150,-458.2350303125
S66x8/20-200,-458.2260965816
S66x8/21-A,-209.2281599387
S66x8/21-B,-209.2281643457
S66x8/21-090,-418.4798247385
S66x8/21-095,-418.4814437039
S66x8/21-100,-418.4817129745
S66x8/21-105,-418.4811120035
S66x8/21-110,-418.479982424
S66x8/21-125,-418.4754019113
S66x8/21-150,-418.4684806757
S66x8/21-200,-418.460926595
S66x8/22-A,-229.1102790869
S66x8/22-B,-414.843635873
S66x8/22-090,-643.9829685798
S66x8/22-095,-643.9847729006
S66x8/22-100,-643.9850505346
S66x8/22-105,-643.984334684
S66x8/22-110,-643.9830009945
S66x8/22-125,-643.9775196227
S66x8/22-150,-643.9690201523
S66x8/22-200,-643.9601593702
S66x8/23-A,-209.2280585912
S66x8/23-B,-414.8434576599
S66x8/23-090,-624.0992454387
S66x8/23-095,-624.1010274379
S66x8/23-100,-624.1014170538
S66x8/23-105,-624.1008869804
S66x8/23-110,-624.099771405
S66x8/23-125,-624.0949425362
S66x8/23-150,-624.087130072
S66x8/23-200,-624.0786307495
S66x8/24-A,-232.2107354159
S66x8/24-B,-232.2106754586
S66x8/24-090,-464.4100425655
S66x8/24-095,-464.4150265658
S66x8/24-100,-464.417794962
S66x8/24-105,-464.4192923266
S66x8/24-110,-464.4200399744
S66x8/24-125,-464.4207225598
S66x8/24-150,-464.420960413
S66x8/24-200,-464.4212264176
S66x8/25-A,-248.2552200031
S66x8/25-B,-248.2552574229
S66x8/25-090,-496.5008335117
S66x8/25-095,-496.5057458877
S66x8/25-100,-496.5084516673
S66x8/25-105,-496.5098712073
S66x8/25-110,-496.5105476268
S66x8/25-125,-496.5109205819
S66x8/25-150,-496.510701896
S66x8/25-200,-496.5105956562
S66x8/26-A,-414.8442521865
S66x8/26-B,-414.8442522525
S66x8/26-090,-829.6876102277
S66x8/26-095,-829.6921301511
S66x8/26-100,-829.6942822434
S66x8/26-105,-829.695034434
S66x8/26-110,-829.6950120941
S66x8/26-125,-829.6935002906
S66x8/26-150,-829.6912391493
S66x8/26-200,-829.6896257403
S66x8/27-A,-232.2107198735
S66x8/27-B,-248.2552758511
S66x8/27-090,-480.4552107104
S66x8/27-095,-480.4604573281
S66x8/27-100,-480.4632515158
S66x8/27-105,-480.4647100234
S66x8/27-110,-480.4654011881
S66x8/27-125,-480.4658569616
S66x8/27-150,-480.4658276045
S66x8/27-200,-480.465891081
S66x8/28-A,-232.210546213
S66x8/28-B,-414.8449097528
S66x8/28-090,-647.0476340388
S66x8/28-095,-647.0524294025
S66x8/28-100,-647.0549647057
S66x8/28-105,-647.056189605
S66x8/28-110,-647.0566941769
S66x8/28-125,-647.056476329
S66x8/28-150,-647.0557430111
S66x8/28-200,-647.0554365705
S66x8/29-A,-248.2551967946
S66x8/29-B,-414.844887759
S66x8/29-090,-663.0922278466
S66x8/29-095,-663.0985815989
S66x8/29-100,-663.1015827188
S66x8/29-105,-663.102807955
S66x8/29-110,-663.1031381743
S66x8/29-125,-663.1024265298
S66x8/29-150,-663.1012542373
S66x8/29-200,-663.1004713722
S66x8/30-A,-232.2107042065
S66x8/30-B,-78.5747681461
S66x8/30-090,-310.7795387838
S66x8/30-095,-310.7819991081
S66x8/30-100,-310.7833381773
S66x8/30-105,-310.7840497023
S66x8/30-110,-310.7844298003
S66x8/30-125,-310.7847938167
S66x8/30-150,-310.7850322046
S66x8/30-200,-310.785333631
S66x8/31-A,-414.8449761462
S66x8/31-B,-78.5747215648
S66x8/31-090,-493.41734245
S66x8/31-095,-493.4193547811
S66x8/31-100,-493.4203661477
S66x8/31-105,-493.4208285646
S66x8/31-110,-493.4209686467
S66x8/31-125,-493.420686408
S66x8/31-150,-493.4201396507
S66x8/31-200,-493.4197953719
S66x8/32-A,-414.8450342263
S66x8/32-B,-77.3192235346
S66x8/32-090,-492.1628087341
S66x8/32-095,-492.1648843724
S66x8/32-100,-492.1658574829
S66x8/32-105,-492.166211341
S66x8/32-110,-492.1662411749
S66x8/32-125,-492.1656156334
S66x8/32-150,-492.1647231851
S66x8/32-200,-492.1641437218
S66x8/33-A,-248.2553029879
S66x8/33-B,-78.5747382726
S66x8/33-090,-326.8252972463
S66x8/33-095,-326.8274232491
S66x8/33-100,-326.8286198487
S66x8/33-105,-326.829252824
S66x8/33-110,-326.8295617736
S66x8/33-125,-326.8297687683
S66x8/33-150,-326.829810192
S66x8/33-200,-326.8299661416
S66x8/34-A,-197.7319551116
S66x8/34-B,-197.7319850649
S66x8/34-090,-395.4597920998
S66x8/34-095,-395.4621798606
S66x8/34-100,-395.4633859674
S66x8/34-105,-395.4640387025
S66x8/34-110,-395.4643372802
S66x8/34-125,-395.4642968091
S66x8/34-150,-395.4640360246
S66x8/34-200,-395.4641148905
S66x8/35-A,-197.7319651111
S66x8/35-B,-197.7348012379
S66x8/35-090,-395.4636274957
S66x8/35-095,-395.4655994022
S66x8/35-100,-395.4665165607
S66x8/35-105,-395.4668882576
S66x8/35-110,-395.4670237894
S66x8/35-125,-395.4669904626
S66x8/35-150,-395.466897787
S66x8/35-200,-395.4669567708
S66x8/36-A,-197.7347911339
S66x8/36-B,-197.7348025268
S66x8/36-090,-395.4676149146
S66x8/36-095,-395.4686101253
S66x8/36-100,-395.4691617734
S66x8/36-105,-395.4694339006
S66x8/36-110,-395.4695536888
S66x8/36-125,-395.4696001205
S66x8/36-150,-395.4695963224
S66x8/36-200,-395.4696807324
S66x8/37-A,-196.520754962
S66x8/37-B,-197.7347354928
S66x8/37-090,-394.2521605243
S66x8/37-095,-394.2540268017
S66x8/37-100,-394.2549431071
S66x8/37-105,-394.2554184279
S66x8/37-110,-394.2556455219
S66x8/37-125,-394.2556957334
S66x8/37-150,-394.2556085414
S66x8/37-200,-394.2556677292
S66x8/38-A,-196.5205595342
S66x8/38-B,-196.5206022111
S66x8/38-090,-393.0378779807
S66x8/38-095,-393.0396936153
S66x8/38-100,-393.0406992142
S66x8/38-105,-393.0411644698
S66x8/38-110,-393.0413856874
S66x8/38-125,-393.0412313803
S66x8/38-150,-393.0410417483
S66x8/38-200,-393.0411032541
S66x8/39-A,-232.2106839487
S66x8/39-B,-196.5205881013
S66x8/39-090,-428.7255030054
S66x8/39-095,-428.7285994422
S66x8/39-100,-428.7303190378
S66x8/39-105,-428.7311634617
S66x8/39-110,-428.731516026
S66x8/39-125,-428.7315338341
S66x8/39-150,-428.7312660374
S66x8/39-200,-428.7312219518
S66x8/40-A,-232.210665208
S66x8/40-B,-197.7347224777
S66x8/40-090,-429.9412386687
S66x8/40-095,-429.9436791841
S66x8/40-100,-429.9449410407
S66x8/40-105,-429.9455732266
S66x8/40-110,-429.9458748627
S66x8/40-125,-429.9459066041
S66x8/40-150,-429.9456798419
S66x8/40-200,-429.9456560557
S66x8/41-A,-414.8449358858
S66x8/41-B,-197.7321042373
S66x8/41-090,-612.5726138228
S66x8/41-095,-612.5754394898
S66x8/41-100,-612.5768620251
S66x8/41-105,-612.5775406361
S66x8/41-110,-612.5778124435
S66x8/41-125,-612.5774326438
S66x8/41-150,-612.5770300392
S66x8/41-200,-612.5769897374
S66x8/42-A,-414.8449094612
S66x8/42-B,-196.5206088829
S66x8/42-090,-611.3607955965
S66x8/42-095,-611.3636769805
S66x8/42-100,-611.3651116377
S66x8/42-105,-611.3657812256
S66x8/42-110,-611.366026523
S66x8/42-125,-611.365864637
S66x8/42-150,-611.365545668
S66x8/42-200,-611.365520143
S66x8/43-A,-414.8449492965
S66x8/43-B,-197.7347838877
S66x8/43-090,-612.5767292647
S66x8/43-095,-612.5790189993
S66x8/43-100,-612.5800867274
S66x8/43-105,-612.5805523766
S66x8/43-110,-612.5806734973
S66x8/43-125,-612.5803782637
S66x8/43-150,-612.5799539785
S66x8/43-200,-612.5798068545
S66x8/44-A,-78.5747625667
S66x8/44-B,-197.7319713278
S66x8/44-090,-276.3052522816
S66x8/44-095,-276.3063028065
S66x8/44-100,-276.3067661873
S66x8/44-105,-276.3069706581
S66x8/44-110,-276.3070178211
S66x8/44-125,-276.3069126727
S66x8/44-150,-276.3067851247
S66x8/44-200,-276.3068103475
S66x8/45-A,-77.3192450029
S66x8/45-B,-197.7320233992
S66x8/45-090,-275.0487718919
S66x8/45-095,-275.0501691346
S66x8/45-100,-275.0508857599
S66x8/45-105,-275.051209265
S66x8/45-110,-275.0513292731
S66x8/45-125,-275.0512864317
S66x8/45-150,-275.0511287166
S66x8/45-200,-275.051046326
S66x8/46-A,-248.5284170724
S66x8/46-B,-197.7319566076
S66x8/46-090,-446.2585301223
S66x8/46-095,-446.2601578647
S66x8/46-100,-446.2610263053
S66x8/46-105,-446.2614401813
S66x8/46-110,-446.2615603574
S66x8/46-125,-446.2612428107
S66x8/46-150,-446.2606909161
S66x8/46-200,-446.2605267381
S66x8/47-A,-232.210647561
S66x8/47-B,-232.2104932253
S66x8/47-090,-464.4173569729
S66x8/47-095,-464.4198485504
S66x8/47-100,-464.4211711833
S66x8/47-105,-464.4217692971
S66x8/47-110,-464.4219886726
S66x8/47-125,-464.421893981
S66x8/47-150,-464.4215053572
S66x8/47-200,-464.4213169347
S66x8/48-A,-248.2552275891
S66x8/48-B,-248.2551500869
S66x8/48-090,-496.5084934373
S66x8/48-095,-496.5105847599
S66x8/48-100,-496.5116516308
S66x8/48-105,-496.5121015418
S66x8/48-110,-496.5122239607
S66x8/48-125,-496.5118637278
S66x8/48-150,-496.5111605712
S66x8/48-200,-496.5107030815
S66x8/49-A,-232.2106450398
S66x8/49-B,-248.2552209497
S66x8/49-090,-480.4628083834
S66x8/49-095,-480.4652934626
S66x8/49-100,-480.4665824572
S66x8/49-105,-480.467149869
S66x8/49-110,-480.4673206799
S66x8/49-125,-480.4670789423
S66x8/49-150,-480.4664990859
S66x8/49-200,-480.4661151013
S66x8/50-A,-232.2106351714
S66x8/50-B,-77.3193144275
S66x8/50-090,-309.5289920542
S66x8/50-095,-309.5307616747
S66x8/50-100,-309.5315766441
S66x8/50-105,-309.5318453801
S66x8/50-110,-309.5318123024
S66x8/50-125,-309.5312548712
S66x8/50-150,-309.530491444
S66x8/50-200,-309.529971475
S66x8/51-A,-77.3192604181
S66x8/51-B,-77.3193343413
S66x8/51-090,-154.6395284758
S66x8/51-095,-154.6400407572
S66x8/51-100,-154.6402119245
S66x8/51-105,-154.6401917496
S66x8/51-110,-154.6400747073
S66x8/51-125,-154.6395867194
S66x8/51-150,-154.6390296872
S66x8/51-200,-154.6386711319
S66x8/52-A,-232.2106357974
S66x8/52-B,-229.112173963
S66x8/52-090,-461.3245074047
S66x8/52-095,-461.3260181252
S66x8/52-100,-461.3266897831
S66x8/52-105,-461.3268569018
S66x8/52-110,-461.3267445364
S66x8/52-125,-461.3258089521
S66x8/52-150,-461.324422612
S66x8/52-200,-461.323324696
S66x8/53-A,-232.2106480283
S66x8/53-B,-209.229098908
S66x8/53-090,-441.4418832765
S66x8/53-095,-441.4430499682
S66x8/53-100,-441.443553482
S66x8/53-105,-441.4436559399
S66x8/53-110,-441.4435265342
S66x8/53-125,-441.4426273515
S66x8/53-150,-441.4412823615
S66x8/53-200,-441.4401341836
S66x8/54-A,-232.2106141756
S66x8/54-B,-76.4448481209
S66x8/54-090,-308.6576768141
S66x8/54-095,-308.6586368656
S66x8/54-100,-308.65898898
S66x8/54-105,-308.6589973491
S66x8/54-110,-308.6588135255
S66x8/54-125,-308.6579533468
S66x8/54-150,-308.6568424817
S66x8/54-200,-308.6559404669
S66x8/55-A,-232.2105836594
S66x8/55-B,-115.7330793864
S66x8/55-090,-347.9444361646
S66x8/55-095,-347.9460071049
S66x8/55-100,-347.9467489527
S66x8/55-105,-347.9469988665
S66x8/55-110,-347.9469755086
S66x8/55-125,-347.9462865209
S66x8/55-150,-347.9451614987
S66x8/55-200,-347.9442488504
S66x8/56-A,-232.2106448678
S66x8/56-B,-95.8550086133
S66x8/56-090,-328.0643006633
S66x8/56-095,-328.0659654786
S66x8/56-100,-328.0668287886
S66x8/56-105,-328.0672108485
S66x8/56-110,-328.0672977522
S66x8/56-125,-328.0669240594
S66x8/56-150,-328.066283283
S66x8/56-200,-328.0658656665
S66x8/57-A,-232.2105837311
S66x8/57-B,-248.5284115276
S66x8/57-090,-480.7369139991
S66x8/57-095,-480.7400549615
S66x8/57-100,-480.7415883588
S66x8/57-105,-480.7422288607
S66x8/57-110,-480.7423552683
S66x8/57-125,-480.7417114053
S66x8/57-150,-480.7405328749
S66x8/57-200,-480.7396445153
S66x8/58-A,-248.2552129892
S66x8/58-B,-248.2551400098
S66x8/58-090,-496.5119519456
S66x8/58-095,-496.5138413418
S66x8/58-100,-496.5147204571
S66x8/58-105,-496.5146056633
S66x8/58-110,-496.5141603311
S66x8/58-125,-496.5127128877
S66x8/58-150,-496.5114064041
S66x8/58-200,-496.5106856385
S66x8/59-A,-77.3193779573
S66x8/59-B,-76.4449331077
S66x8/59-090,-153.7684886095
S66x8/59-095,-153.7688198144
S66x8/59-100,-153.7688072536
S66x8/59-105,-153.7685937591
S66x8/59-110,-153.768275003
S66x8/59-125,-153.7671942444
S66x8/59-150,-153.7658559637
S66x8/59-200,-153.7647541188
S66x8/60-A,-77.3192312242
S66x8/60-B,-229.1121592885
S66x8/60-090,-306.4370497575
S66x8/60-095,-306.4378602586
S66x8/60-100,-306.4380163567
S66x8/60-105,-306.4377919862
S66x8/60-110,-306.4373559641
S66x8/60-125,-306.4357006507
S66x8/60-150,-306.4336003575
S66x8/60-200,-306.4319980635
S66x8/61-A,-197.7319923066
S66x8/61-B,-229.1122257875
S66x8/61-090,-426.8432287878
S66x8/61-095,-426.8440991241
S66x8/61-100,-426.844580689
S66x8/61-105,-426.8448096959
S66x8/61-110,-426.8448708759
S66x8/61-125,-426.8446894203
S66x8/61-150,-426.8443381436
S66x8/61-200,-426.8442717058
S66x8/62-A,-197.7320409385
S66x8/62-B,-209.22915438
S66x8/62-090,-406.9602034389
S66x8/62-095,-406.9614411802
S66x8/62-100,-406.9620693367
S66x8/62-105,-406.9623228776
S66x8/62-110,-406.962346887
S66x8/62-125,-406.9619958135
S66x8/62-150,-406.9614881461
S66x8/62-200,-406.9612754331
S66x8/63-A,-232.2106977528
S66x8/63-B,-229.1121537365
S66x8/63-090,-461.3201303087
S66x8/63-095,-461.3226055423
S66x8/63-100,-461.3238101294
S66x8/63-105,-461.3242992573
S66x8/63-110,-461.3244440253
S66x8/63-125,-461.3240482362
S66x8/63-150,-461.3233670486
S66x8/63-200,-461.3229665598
S66x8/64-A,-248.5284573994
S66x8/64-B,-78.5748270328
S66x8/64-090,-327.1035344315
S66x8/64-095,-327.1045097152
S66x8/64-100,-327.1049481769
S66x8/64-105,-327.105077712
S66x8/64-110,-327.1050197623
S66x8/64-125,-327.1044872978
S66x8/64-150,-327.1037534947
S66x8/64-200,-327.1033232036
S66x8/65-A,-248.2552976694
S66x8/65-B,-77.318643443
S66x8/65-090,-325.5794890464
S66x8/65-095,-325.5800463379
S66x8/65-100,-325.5801558538
S66x8/65-105,-325.5799902951
S66x8/65-110,-325.5796694805
S66x8/65-125,-325.5784134827
S66x8/65-150,-325.5767291393
S66x8/65-200,-325.57532712
S66x8/66-A,-95.8549727141
S66x8/66-B,-248.255268235
S66x8/66-090,-344.1114360958
S66x8/66-095,-344.1125752431
S66x8/66-100,-344.1131273237
S66x8/66-105,-344.113309625
S66x8/66-110,-344.1132669824
S66x8/66-125,-344.1126083586
