system,revTPSS/def2-QZVP/ORCA
S66x8/27-100,-480.6516853445
S66x8/27-105,-480.653001654
S66x8/27-110,-480.6537066371
S66x8/27-125,-480.6544165877
S66x8/27-150,-480.6544529236
S66x8/27-200,-480.6543078653
S66x8/28-A,-232.3074076812
S66x8/28-B,-414.9153063668
S66x8/28-090,-647.2156550256
S66x8/28-095,-647.2193680688
S66x8/28-100,-647.221355273
S66x8/28-105,-647.2226466169
S66x8/28-110,-647.2232046857
S66x8/28-125,-647.2235945188
S66x8/28-150,-647.223198558
S66x8/28-200,-647.2226969763
S66x8/29-A,-248.3468476905
S66x8/29-B,-414.9152784395
S66x8/29-090,-663.25523179
S66x8/29-095,-663.2601736245
S66x8/29-100,-663.2626460081
S66x8/29-105,-663.2638923671
S66x8/29-110,-663.2642572765
S66x8/29-125,-663.2643388692
S66x8/29-150,-663.2635221054
S66x8/29-200,-663.2625909263
S66x8/30-A,-232.3074210328
S66x8/30-B,-78.6086414258
S66x8/30-090,-310.9109876218
S66x8/30-095,-310.9129402027
S66x8/30-100,-310.914058783
S66x8/30-105,-310.9147122982
S66x8/30-110,-310.9150543579
S66x8/30-125,-310.9155897071
S66x8/30-150,-310.9158268238
S66x8/30-200,-310.9159462518
S66x8/31-A,-414.9153154824
S66x8/31-B,-78.6087045711
S66x8/31-090,-493.5212855993
S66x8/31-095,-493.5230432957
S66x8/31-100,-493.52403734
S66x8/31-105,-493.5245361782
S66x8/31-110,-493.5247905465
S66x8/31-125,-493.5249572894
S66x8/31-150,-493.5246181282
S66x8/31-200,-493.5241627313
S66x8/32-A,-414.9152475048
S66x8/32-B,-77.3497603673
S66x8/32-090,-492.2634272897
S66x8/32-095,-492.2651623793
S66x8/32-100,-492.2660982155
S66x8/32-105,-492.266540353
S66x8/32-110,-492.2666437355
S66x8/32-125,-492.2664899951
S66x8/32-150,-492.2658322399
S66x8/32-200,-492.2651618872
S66x8/33-A,-248.3468536865
S66x8/33-B,-78.6085970781
S66x8/33-090,-326.9513439943
S66x8/33-095,-326.9530731005
S66x8/33-100,-326.9540410553
S66x8/33-105,-326.9546225575
S66x8/33-110,-326.954974587
S66x8/33-125,-326.9553780947
S66x8/33-150,-326.9554643209
S66x8/33-200,-326.9554393824
S66x8/34-A,-197.8141419287
S66x8/34-B,-197.8139654669
S66x8/34-090,-395.6217437726
S66x8/34-095,-395.6243513048
S66x8/34-100,-395.625850821
S66x8/34-105,-395.6268170985
S66x8/34-110,-395.6275221502
S66x8/34-125,-395.6281600661
S66x8/34-150,-395.6282946877
S66x8/34-200,-395.6281220594
S66x8/35-A,-197.8140798093
S66x8/35-B,-197.816842795
S66x8/35-090,-395.6267243858
S66x8/35-095,-395.628756582
S66x8/35-100,-395.629810294
S66x8/35-105,-395.6301824073
S66x8/35-110,-395.6305836547
S66x8/35-125,-395.6310748235
S66x8/35-150,-395.6311343972
S66x8/35-200,-395.6310018353
S66x8/36-A,-197.81689282
S66x8/36-B,-197.8169325565
S66x8/36-090,-395.630944262
S66x8/36-095,-395.632170554
S66x8/36-100,-395.6328096157
S66x8/36-105,-395.633146339
S66x8/36-110,-395.6334722982
S66x8/36-125,-395.6337653458
S66x8/36-150,-395.6337907984
S66x8/36-200,-395.6336823155
S66x8/37-A,-196.603259041
S66x8/37-B,-197.8167526965
S66x8/37-090,-394.4158838554
S66x8/37-095,-394.4176850774
S66x8/37-100,-394.4187558062
S66x8/37-105,-394.4194113332
S66x8/37-110,-394.4197781471
S66x8/37-125,-394.4202831752
S66x8/37-150,-394.4203573109
S66x8/37-200,-394.4202303878
S66x8/38-A,-196.6032505434
S66x8/38-B,-196.6032549657
S66x8/38-090,-393.2019766678
S66x8/38-095,-393.2038263598
S66x8/38-100,-393.2050217423
S66x8/38-105,-393.2056522821
S66x8/38-110,-393.2061610729
S66x8/38-125,-393.2066131181
S66x8/38-150,-393.2066575321
S66x8/38-200,-393.2065149465
S66x8/39-A,-232.3074270447
S66x8/39-B,-196.6032865894
S66x8/39-090,-428.9051894279
S66x8/39-095,-428.907799182
S66x8/39-100,-428.9092998665
S66x8/39-105,-428.9102201664
S66x8/39-110,-428.9106663111
S66x8/39-125,-428.9110969415
S66x8/39-150,-428.9109790775
S66x8/39-200,-428.9107378482
S66x8/40-A,-232.3074303654
S66x8/40-B,-197.817075051
S66x8/40-090,-430.1200622471
S66x8/40-095,-430.1221938529
S66x8/40-100,-430.1233537379
S66x8/40-105,-430.1240430092
S66x8/40-110,-430.1243694387
S66x8/40-125,-430.1247245548
S66x8/40-150,-430.1245790155
S66x8/40-200,-430.1243411766
S66x8/41-A,-414.9153766865
S66x8/41-B,-197.8140779377
S66x8/41-090,-612.7240377997
S66x8/41-095,-612.7265006625
S66x8/41-100,-612.727987557
S66x8/41-105,-612.7288650152
S66x8/41-110,-612.7294130449
S66x8/41-125,-612.729925779
S66x8/41-150,-612.7297624289
S66x8/41-200,-612.7294751972
S66x8/42-A,-414.9153869894
S66x8/42-B,-196.6032440745
S66x8/42-090,-611.512921519
S66x8/42-095,-611.5155225104
S66x8/42-100,-611.5170480711
S66x8/42-105,-611.517923302
S66x8/42-110,-611.5184163723
S66x8/42-125,-611.5189808288
S66x8/42-150,-611.5189218931
S66x8/42-200,-611.5186663921
S66x8/43-A,-414.9153426616
S66x8/43-B,-197.8166365123
S66x8/43-090,-612.7282988091
S66x8/43-095,-612.7303783346
S66x8/43-100,-612.7315834262
S66x8/43-105,-612.7322350782
S66x8/43-110,-612.7325546152
S66x8/43-125,-612.7328639598
S66x8/43-150,-612.7326414374
S66x8/43-200,-612.7323243794
S66x8/44-A,-78.6086478754
S66x8/44-B,-197.8142475043
S66x8/44-090,-276.4204021551
S66x8/44-095,-276.4215223466
S66x8/44-100,-276.4220242622
S66x8/44-105,-276.4223853385
S66x8/44-110,-276.4227025607
S66x8/44-125,-276.4229783411
S66x8/44-150,-276.4229537522
S66x8/44-200,-276.4228153582
S66x8/45-A,-77.349758899
S66x8/45-B,-197.8141056649
S66x8/45-090,-275.1608842328
S66x8/45-095,-275.1622241431
S66x8/45-100,-275.1629596903
S66x8/45-105,-275.1634556426
S66x8/45-110,-275.1637429703
S66x8/45-125,-275.1639775577
S66x8/45-150,-275.1638610456
S66x8/45-200,-275.1636569503
S66x8/46-A,-248.5808706679
S66x8/46-B,-197.8138894931
S66x8/46-090,-446.3914816415
S66x8/46-095,-446.3930791844
S66x8/46-100,-446.3940429758
S66x8/46-105,-446.3946934784
S66x8/46-110,-446.3951518923
S66x8/46-125,-446.3955344517
S66x8/46-150,-446.3954625094
S66x8/46-200,-446.3950732955
S66x8/47-A,-232.307425459
S66x8/47-B,-232.3074265012
S66x8/47-090,-464.6111095081
S66x8/47-095,-464.6132863134
S66x8/47-100,-464.614423831
S66x8/47-105,-464.6150006694
S66x8/47-110,-464.6153247251
S66x8/47-125,-464.6154946055
S66x8/47-150,-464.615261178
S66x8/47-200,-464.614934672
S66x8/48-A,-248.3468640986
S66x8/48-B,-248.3468613369
S66x8/48-090,-496.6913900185
S66x8/48-095,-496.6932007955
S66x8/48-100,-496.6941537653
S66x8/48-105,-496.6946692966
S66x8/48-110,-496.6949193122
S66x8/48-125,-496.6949719447
S66x8/48-150,-496.6945553901
S66x8/48-200,-496.6939938709
S66x8/49-A,-232.3074295509
S66x8/49-B,-248.3468461663
S66x8/49-090,-480.6513075912
S66x8/49-095,-480.6534350989
S66x8/49-100,-480.6545532986
S66x8/49-105,-480.6550870991
S66x8/49-110,-480.6553629166
S66x8/49-125,-480.6554102432
S66x8/49-150,-480.6550191741
S66x8/49-200,-480.6545254095
S66x8/50-A,-232.3074188277
S66x8/50-B,-77.349811208
S66x8/50-090,-309.6565419049
S66x8/50-095,-309.6580512256
S66x8/50-100,-309.6587305653
S66x8/50-105,-309.658976171
S66x8/50-110,-309.6590246822
S66x8/50-125,-309.6587137375
S66x8/50-150,-309.6580809475
S66x8/50-200,-309.6574707016
S66x8/51-A,-77.3497674942
S66x8/51-B,-77.3498161605
S66x8/51-090,-154.7003608871
S66x8/51-095,-154.7008779503
S66x8/51-100,-154.7010647928
S66x8/51-105,-154.7010905567
S66x8/51-110,-154.7010249976
S66x8/51-125,-154.7006538346
S66x8/51-150,-154.7001274075
S66x8/51-200,-154.6997063296
S66x8/52-A,-232.3074151739
S66x8/52-B,-229.1349814026
S66x8/52-090,-461.4440839334
S66x8/52-095,-461.4453580262
S66x8/52-100,-461.4459228844
S66x8/52-105,-461.4460534276
S66x8/52-110,-461.4459608334
S66x8/52-125,-461.4452584694
S66x8/52-150,-461.4441301695
S66x8/52-200,-461.4429788665
S66x8/53-A,-232.3074072313
S66x8/53-B,-209.2616934789
S66x8/53-090,-441.5706302902
S66x8/53-095,-441.5716927227
S66x8/53-100,-441.5721928233
S66x8/53-105,-441.5723766995
S66x8/53-110,-441.5723630138
S66x8/53-125,-441.571795921
S66x8/53-150,-441.5707619622
S66x8/53-200,-441.5696059211
S66x8/54-A,-232.3074211652
S66x8/54-B,-76.4350568704
S66x8/54-090,-308.7445721842
S66x8/54-095,-308.745385808
S66x8/54-100,-308.7456777579
S66x8/54-105,-308.7457010934
S66x8/54-110,-308.7455816327
S66x8/54-125,-308.7449441958
S66x8/54-150,-308.7439777097
S66x8/54-200,-308.7430070259
S66x8/55-A,-232.3074201783
S66x8/55-B,-115.7455469952
S66x8/55-090,-348.0537304795
S66x8/55-095,-348.0550103683
S66x8/55-100,-348.0556588632
S66x8/55-105,-348.055866234
S66x8/55-110,-348.05584742
S66x8/55-125,-348.0554233672
S66x8/55-150,-348.0545337554
S66x8/55-200,-348.0535315033
S66x8/56-A,-232.3074237193
S66x8/56-B,-95.8778910422
S66x8/56-090,-328.1840453853
S66x8/56-095,-328.1854041106
S66x8/56-100,-328.186193901
S66x8/56-105,-328.1865955571
S66x8/56-110,-328.1867298604
S66x8/56-125,-328.1866448474
S66x8/56-150,-328.1861756432
S66x8/56-200,-328.1856271768
S66x8/57-A,-232.3074284785
S66x8/57-B,-248.5808272029
S66x8/57-090,-480.8864676627
S66x8/57-095,-480.889009331
S66x8/57-100,-480.8903756278
S66x8/57-105,-480.8909845159
S66x8/57-110,-480.8911045205
S66x8/57-125,-480.890818306
S66x8/57-150,-480.8899075266
S66x8/57-200,-480.8889006743
S66x8/58-A,-248.3468359895
S66x8/58-B,-248.3468349087
S66x8/58-090,-496.6940156112
S66x8/58-095,-496.6958876406
S66x8/58-100,-496.6968742074
S66x8/58-105,-496.6969615209
S66x8/58-110,-496.6967126019
S66x8/58-125,-496.6957785018
S66x8/58-150,-496.6947287353
S66x8/58-200,-496.693950134
S66x8/59-A,-77.3498489767
S66x8/59-B,-76.4351064173
S66x8/59-090,-153.7878643644
S66x8/59-095,-153.7882983666
S66x8/59-100,-153.7883862111
S66x8/59-105,-153.788275046
S66x8/59-110,-153.7880711231
S66x8/59-125,-153.7872690112
S66x8/59-150,-153.7861611445
S66x8/59-200,-153.785067125
S66x8/60-A,-77.3497714542
S66x8/60-B,-229.134956382
S66x8/60-090,-306.4898384138
S66x8/60-095,-306.4906437041
S66x8/60-100,-306.4908215205
S66x8/60-105,-306.4906124078
S66x8/60-110,-306.4902361946
S66x8/60-125,-306.4888383787
S66x8/60-150,-306.4870385152
S66x8/60-200,-306.4854747221
S66x8/61-A,-197.8139919341
S66x8/61-B,-229.1350234581
S66x8/61-090,-426.9466679151
S66x8/61-095,-426.9476674019
S66x8/61-100,-426.9483472695
S66x8/61-105,-426.9488239285
S66x8/61-110,-426.9491413209
S66x8/61-125,-426.9494162104
S66x8/61-150,-426.9493778049
S66x8/61-200,-426.9491245993
S66x8/62-A,-197.8141247075
S66x8/62-B,-209.2616836712
S66x8/62-090,-407.0735490235
S66x8/62-095,-407.0747855679
S66x8/62-100,-407.0755208626
S66x8/62-105,-407.0760245902
S66x8/62-110,-407.0763350679
S66x8/62-125,-407.076526885
S66x8/62-150,-407.0763532725
S66x8/62-200,-407.0759531128
S66x8/63-A,-232.3074145851
S66x8/63-B,-229.1350011629
S66x8/63-090,-461.4395982783
S66x8/63-095,-461.4417129922
S66x8/63-100,-461.4427220251
S66x8/63-105,-461.4432943292
S66x8/63-110,-461.4435764842
S66x8/63-125,-461.4436142997
S66x8/63-150,-461.4431399878
S66x8/63-200,-461.4426159495
S66x8/64-A,-248.5807729279
S66x8/64-B,-78.6087185156
S66x8/64-090,-327.1885453053
S66x8/64-095,-327.189586816
S66x8/64-100,-327.1902031631
S66x8/64-105,-327.1904897559
S66x8/64-110,-327.1906008113
S66x8/64-125,-327.1905535434
S66x8/64-150,-327.1900927405
S66x8/64-200,-327.1895312566
S66x8/65-A,-248.3468462444
S66x8/65-B,-77.3494522603
S66x8/65-090,-325.7009735054
S66x8/65-095,-325.7015836911
S66x8/65-100,-325.7017331558
S66x8/65-105,-325.7016171487
S66x8/65-110,-325.7013449745
S66x8/65-125,-325.7002653786
S66x8/65-150,-325.6987722461
S66x8/65-200,-325.6973666866
S66x8/66-A,-95.8777754702
S66x8/66-B,-248.3468427065
S66x8/66-090,-344.225273745
S66x8/66-095,-344.2263061562
S66x8/66-100,-344.226841645
S66x8/66-105,-344.227073136
S66x8/66-110,-344.2271246173
S66x8/66-125,-344.2268612134
S66x8/66-150,-344.2261769331
