system,Lrc-wPBEh/def2-QZVP/Turbomole
S22x5/21-1.5,-829.2290028209
S22x5/21-2.0,-829.2206983948
S22x5/22-A,-232.0983369377
S22x5/22-B,-93.3632462854
S22x5/22-0.9,-325.46543171
S22x5/22-1.0,-325.4665753443
S22x5/22-1.2,-325.4660181453
S22x5/22-1.5,-325.4642954801
S22x5/22-2.0,-325.4627816811
S66x8/01-A,-76.3965639553
S66x8/01-B,-76.3965524757
S66x8/01-090,-152.8003721027
S66x8/01-095,-152.8007554949
S66x8/01-100,-152.800707565
S66x8/01-105,-152.80040698
S66x8/01-110,-152.7999698409
S66x8/01-125,-152.7984484811
S66x8/01-150,-152.7964149097
S66x8/01-200,-152.7944836531
S66x8/02-A,-76.396570193
S66x8/02-B,-115.6659021602
S66x8/02-090,-192.0698816759
S66x8/02-095,-192.0703902891
S66x8/02-100,-192.0704066561
S66x8/02-105,-192.0701295972
S66x8/02-110,-192.0696895887
S66x8/02-125,-192.0680882077
S66x8/02-150,-192.0659031528
S66x8/02-200,-192.0638381256
S66x8/03-A,-76.3965772959
S66x8/03-B,-95.8061700343
S66x8/03-090,-172.2129867868
S66x8/03-095,-172.2134106766
S66x8/03-100,-172.2132901676
S66x8/03-105,-172.212840537
S66x8/03-110,-172.2122088327
S66x8/03-125,-172.2100204926
S66x8/03-150,-172.2070843718
S66x8/03-200,-172.204331121
S66x8/04-A,-76.3965767858
S66x8/04-B,-248.3930978004
S66x8/04-090,-324.8004741692
S66x8/04-095,-324.801058863
S66x8/04-100,-324.8010626311
S66x8/04-105,-324.8007088374
S66x8/04-110,-324.800149251
S66x8/04-125,-324.7980665281
S66x8/04-150,-324.7950594168
S66x8/04-200,-324.7916801283
S66x8/05-A,-115.6659272207
S66x8/05-B,-115.6659248426
S66x8/05-090,-231.3390506644
S66x8/05-095,-231.3396766911
S66x8/05-100,-231.3397789831
S66x8/05-105,-231.3395635574
S66x8/05-110,-231.3391667352
S66x8/05-125,-231.337623316
S66x8/05-150,-231.3354357073
S66x8/05-200,-231.3333281386
S66x8/06-A,-115.6657303715
S66x8/06-B,-95.8061641006
S66x8/06-090,-211.4818902855
S66x8/06-095,-211.4826210973
S66x8/06-100,-211.4827051531
S66x8/06-105,-211.4823927044
S66x8/06-110,-211.4818371266
S66x8/06-125,-211.479702306
S66x8/06-150,-211.4766659282
S66x8/06-200,-211.473774146
S66x8/07-A,-115.6658238033
S66x8/07-B,-248.3929089722
S66x8/07-090,-364.0691307856
S66x8/07-095,-364.0698775255
S66x8/07-100,-364.0699971175
S66x8/07-105,-364.0697250002
S66x8/07-110,-364.0692201359
S66x8/07-125,-364.0671953385
S66x8/07-150,-364.0637917504
S66x8/07-200,-364.0603175019
S66x8/08-A,-115.6659511922
S66x8/08-B,-76.3965565188
S66x8/08-090,-192.0695134331
S66x8/08-095,-192.0700058158
S66x8/08-100,-192.0700367805
S66x8/08-105,-192.0697925412
S66x8/08-110,-192.0693946727
S66x8/08-125,-192.067928439
S66x8/08-150,-192.0659047656
S66x8/08-200,-192.0639618769
S66x8/09-A,-95.8061547705
S66x8/09-B,-115.6659620935
S66x8/09-090,-211.4746339323
S66x8/09-095,-211.475180407
S66x8/09-100,-211.4753646854
S66x8/09-105,-211.4753319954
S66x8/09-110,-211.4751833589
S66x8/09-125,-211.4744982422
S66x8/09-150,-211.473538224
S66x8/09-200,-211.4727009122
S66x8/10-A,-95.8061877453
S66x8/10-B,-95.8061465734
S66x8/10-090,-191.6156743321
S66x8/10-095,-191.6164620688
S66x8/10-100,-191.6167405134
S66x8/10-105,-191.6167132168
S66x8/10-110,-191.6165150026
S66x8/10-125,-191.6155595557
S66x8/10-150,-191.6139237547
S66x8/10-200,-191.6128397681
S66x8/11-A,-95.8060207539
S66x8/11-B,-248.393062656
S66x8/11-090,-344.2031154891
S66x8/11-095,-344.2040469964
S66x8/11-100,-344.2044348182
S66x8/11-105,-344.2044817393
S66x8/11-110,-344.2043200831
S66x8/11-125,-344.2027593427
S66x8/11-150,-344.2008601815
S66x8/11-200,-344.1997943733
S66x8/12-A,-95.806125597
S66x8/12-B,-76.3961613238
S66x8/12-090,-172.2127563536
S66x8/12-095,-172.213354102
S66x8/12-100,-172.2133383831
S66x8/12-105,-172.2129466004
S66x8/12-110,-172.2123423001
S66x8/12-125,-172.2101490206
S66x8/12-150,-172.2071397527
S66x8/12-200,-172.2043159767
S66x8/13-A,-248.3930040587
S66x8/13-B,-115.6659379397
S66x8/13-090,-364.0650590402
S66x8/13-095,-364.0659128205
S66x8/13-100,-364.0662222979
S66x8/13-105,-364.0661914447
S66x8/13-110,-364.0659548841
S66x8/13-125,-364.0647542729
S66x8/13-150,-364.0628250743
S66x8/13-200,-364.0607875218
S66x8/14-A,-248.392798814
S66x8/14-B,-95.8061282352
S66x8/14-090,-344.2070322746
S66x8/14-095,-344.20796244
S66x8/14-100,-344.2082577286
S66x8/14-105,-344.2081496605
S66x8/14-110,-344.2077984286
S66x8/14-125,-344.2061702543
S66x8/14-150,-344.2036412844
S66x8/14-200,-344.2010296458
S66x8/15-A,-248.3930008218
S66x8/15-B,-248.3930615798
S66x8/15-090,-496.7948473845
S66x8/15-095,-496.7958314272
S66x8/15-100,-496.7961871385
S66x8/15-105,-496.7961376466
S66x8/15-110,-496.795831888
S66x8/15-125,-496.7942718068
S66x8/15-150,-496.791687515
S66x8/15-200,-496.788502586
S66x8/16-A,-248.3931719053
S66x8/16-B,-76.3965596802
S66x8/16-090,-324.7959790442
S66x8/16-095,-324.7966038624
S66x8/16-100,-324.7967696345
S66x8/16-105,-324.7966544156
S66x8/16-110,-324.7963742118
S66x8/16-125,-324.7951745449
S66x8/16-150,-324.793373277
S66x8/16-200,-324.7915040386
S66x8/17-A,-414.6071956997
S66x8/17-B,-414.6073645449
S66x8/17-090,-829.2372336604
S66x8/17-095,-829.2388388235
S66x8/17-100,-829.2391159245
S66x8/17-105,-829.2385441894
S66x8/17-110,-829.2374563767
S66x8/17-125,-829.2330179288
S66x8/17-150,-829.2262704613
S66x8/17-200,-829.2193554126
S66x8/18-A,-76.3965728871
S66x8/18-B,-248.1288262063
S66x8/18-090,-324.535006803
S66x8/18-095,-324.5355050826
S66x8/18-100,-324.5354480557
S66x8/18-105,-324.5350547303
S66x8/18-110,-324.5344740438
S66x8/18-125,-324.5324152697
S66x8/18-150,-324.5296199909
S66x8/18-200,-324.526983263
S66x8/19-A,-115.6657359813
S66x8/19-B,-248.128819368
S66x8/19-090,-363.804034462
S66x8/19-095,-363.8047792376
S66x8/19-100,-363.8048915938
S66x8/19-105,-363.8046100967
S66x8/19-110,-363.8039344486
S66x8/19-125,-363.8020932545
S66x8/19-150,-363.7990025233
S66x8/19-200,-363.7961745425
S66x8/20-A,-228.9751132282
S66x8/20-B,-228.975112296
S66x8/20-090,-457.9787422881
S66x8/20-095,-457.9802747329
S66x8/20-100,-457.9802850195
S66x8/20-105,-457.9793415066
S66x8/20-110,-457.9778366082
S66x8/20-125,-457.972158427
S66x8/20-150,-457.9639019873
S66x8/20-200,-457.9556359354
S66x8/21-A,-209.1103792387
S66x8/21-B,-209.1103825642
S66x8/21-090,-418.2430206883
S66x8/21-095,-418.244470061
S66x8/21-100,-418.2446668844
S66x8/21-105,-418.2440726903
S66x8/21-110,-418.2430061376
S66x8/21-125,-418.2387727214
S66x8/21-150,-418.232449072
S66x8/21-200,-418.2253507508
S66x8/22-A,-228.9750250476
S66x8/22-B,-414.6071031946
S66x8/22-090,-643.6098257465
S66x8/22-095,-643.6114182328
S66x8/22-100,-643.6115777749
S66x8/22-105,-643.6108213341
S66x8/22-110,-643.6095092973
S66x8/22-125,-643.6043263494
S66x8/22-150,-643.5964967472
S66x8/22-200,-643.5882984316
S66x8/23-A,-209.1102782931
S66x8/23-B,-414.60693979
S66x8/23-090,-623.743682265
S66x8/23-095,-623.7452724144
S66x8/23-100,-623.7455578033
S66x8/23-105,-623.7449936589
S66x8/23-110,-623.7439010931
S66x8/23-125,-623.7393426803
S66x8/23-150,-623.7321471963
S66x8/23-200,-623.7242263937
S66x8/24-A,-232.0984676885
S66x8/24-B,-232.0984246606
S66x8/24-090,-464.1870147437
S66x8/24-095,-464.1913839607
S66x8/24-100,-464.1937788677
S66x8/24-105,-464.1950712152
S66x8/24-110,-464.1957595066
S66x8/24-125,-464.1964293321
S66x8/24-150,-464.1965947909
S66x8/24-200,-464.1967655629
S66x8/25-A,-248.1287954496
S66x8/25-B,-248.1288326842
S66x8/25-090,-496.2493253346
S66x8/25-095,-496.2536142422
S66x8/25-100,-496.2559816727
S66x8/25-105,-496.2572302685
S66x8/25-110,-496.2578538872
S66x8/25-125,-496.2582324452
S66x8/25-150,-496.2579841187
S66x8/25-200,-496.2577796055
S66x8/26-A,-414.6077421207
S66x8/26-B,-414.6077421208
S66x8/26-090,-829.2142630282
S66x8/26-095,-829.2184599841
S66x8/26-100,-829.220532237
S66x8/26-105,-829.2213818282
S66x8/26-110,-829.2215501013
S66x8/26-125,-829.220489019
S66x8/26-150,-829.2184176902
S66x8/26-200,-829.2166332222
S66x8/27-A,-232.0984626304
S66x8/27-B,-248.1288481181
S66x8/27-090,-480.2180137633
S66x8/27-095,-480.222592791
S66x8/27-100,-480.2250295059
S66x8/27-105,-480.2262944289
S66x8/27-110,-480.2269258668
S66x8/27-125,-480.2273872888
S66x8/27-150,-480.2273060604
S66x8/27-200,-480.2272760444
S66x8/28-A,-232.0982940938
S66x8/28-B,-414.6083458416
S66x8/28-090,-646.6997966126
S66x8/28-095,-646.7040019902
S66x8/28-100,-646.7062537472
S66x8/28-105,-646.7073671197
S66x8/28-110,-646.7078458304
S66x8/28-125,-646.7078128365
S66x8/28-150,-646.7071079211
S66x8/28-200,-646.7066642639
S66x8/29-A,-248.1287579859
S66x8/29-B,-414.6083288386
S66x8/29-090,-662.7300253569
S66x8/29-095,-662.7356469871
S66x8/29-100,-662.738346842
S66x8/29-105,-662.7395270965
S66x8/29-110,-662.7399000557
S66x8/29-125,-662.7394738203
S66x8/29-150,-662.7383550296
S66x8/29-200,-662.7374842114
S66x8/30-A,-232.0984456802
S66x8/30-B,-78.5348486848
S66x8/30-090,-310.6279943131
S66x8/30-095,-310.6301226355
S66x8/30-100,-310.6313059398
S66x8/30-105,-310.6319631572
S66x8/30-110,-310.6323235923
S66x8/30-125,-310.6327151701
S66x8/30-150,-310.6329307784
S66x8/30-200,-310.6331598445
S66x8/31-A,-414.6083836218
S66x8/31-B,-78.5348426726
S66x8/31-090,-493.140869987
S66x8/31-095,-493.1427167005
S66x8/31-100,-493.143706461
S66x8/31-105,-493.1441879956
S66x8/31-110,-493.1443814038
S66x8/31-125,-493.1442619373
S66x8/31-150,-493.1437599066
S66x8/31-200,-493.1433429265
S66x8/32-A,-414.6084360021
S66x8/32-B,-77.2748264986
S66x8/32-090,-491.8818207659
S66x8/32-095,-491.8837086604
S66x8/32-100,-491.8846415077
S66x8/32-105,-491.8850305282
S66x8/32-110,-491.8851111254
S66x8/32-125,-491.8846821633
S66x8/32-150,-491.8838640832
S66x8/32-200,-491.8832301072
S66x8/33-A,-248.1288712463
S66x8/33-B,-78.5348128183
S66x8/33-090,-326.6594135024
S66x8/33-095,-326.6612723002
S66x8/33-100,-326.6623311026
S66x8/33-105,-326.6629230535
S66x8/33-110,-326.6632408322
S66x8/33-125,-326.663515734
S66x8/33-150,-326.6635513757
S66x8/33-200,-326.6636349184
S66x8/34-A,-197.6473710211
S66x8/34-B,-197.647320522
S66x8/34-090,-395.2900416909
S66x8/34-095,-395.292438803
S66x8/34-100,-395.2938102901
S66x8/34-105,-395.2945503141
S66x8/34-110,-395.2949394884
S66x8/34-125,-395.2952198156
S66x8/34-150,-395.295029449
S66x8/34-200,-395.2949392197
S66x8/35-A,-197.6473527258
S66x8/35-B,-197.6503406912
S66x8/35-090,-395.2940938037
S66x8/35-095,-395.2960337523
S66x8/35-100,-395.2970548213
S66x8/35-105,-395.2975788766
S66x8/35-110,-395.2978330179
S66x8/35-125,-395.2979825749
S66x8/35-150,-395.2978529764
S66x8/35-200,-395.2977900474
S66x8/36-A,-197.6503639319
S66x8/36-B,-197.6503913911
S66x8/36-090,-395.2983518178
S66x8/36-095,-395.299430181
S66x8/36-100,-395.3000493756
S66x8/36-105,-395.3003927792
S66x8/36-110,-395.3005863841
S66x8/36-125,-395.3007335891
S66x8/36-150,-395.3006865923
S66x8/36-200,-395.3006561185
S66x8/37-A,-196.4393484308
S66x8/37-B,-197.6503254143
S66x8/37-090,-394.0857605894
S66x8/37-095,-394.0876878632
S66x8/37-100,-394.0887368014
S66x8/37-105,-394.0893040466
S66x8/37-110,-394.0895993119
S66x8/37-125,-394.0898341103
S66x8/37-150,-394.089755414
S66x8/37-200,-394.0896895356
S66x8/38-A,-196.4392998557
S66x8/38-B,-196.4393060834
S66x8/38-090,-392.8746639378
S66x8/38-095,-392.8765019971
S66x8/38-100,-392.8776700009
S66x8/38-105,-392.8783062626
S66x8/38-110,-392.8786112011
S66x8/38-125,-392.8788082151
S66x8/38-150,-392.8786631914
S66x8/38-200,-392.8785985928
S66x8/39-A,-232.0984302908
S66x8/39-B,-196.4392859341
S66x8/39-090,-428.5325227197
S66x8/39-095,-428.5353062269
S66x8/39-100,-428.5368794565
S66x8/39-105,-428.5377033008
S66x8/39-110,-428.5380829383
S66x8/39-125,-428.5382190284
S66x8/39-150,-428.5379177262
S66x8/39-200,-428.5377359193
S66x8/40-A,-232.0984148284
S66x8/40-B,-197.6503875182
S66x8/40-090,-429.7449284209
S66x8/40-095,-429.7471181334
S66x8/40-100,-429.7483036316
S66x8/40-105,-429.7489068001
S66x8/40-110,-429.7491926859
S66x8/40-125,-429.7492612408
S66x8/40-150,-429.7489955838
S66x8/40-200,-429.7488271896
S66x8/41-A,-414.6083474052
S66x8/41-B,-197.6474262802
S66x8/41-090,-612.2510401424
S66x8/41-095,-612.2537347114
S66x8/41-100,-612.2552291044
S66x8/41-105,-612.2560252265
S66x8/41-110,-612.256425212
S66x8/41-125,-612.2564220425
S66x8/41-150,-612.2559746337
S66x8/41-200,-612.2557759035
S66x8/42-A,-414.6083423561
S66x8/42-B,-196.4392885008
S66x8/42-090,-611.0424823962
S66x8/42-095,-611.0452796213
S66x8/42-100,-611.0467860165
S66x8/42-105,-611.0475789631
S66x8/42-110,-611.0479497383
S66x8/42-125,-611.0481088448
S66x8/42-150,-611.0478325886
S66x8/42-200,-611.0476567547
S66x8/43-A,-414.6083845937
S66x8/43-B,-197.6502557037
S66x8/43-090,-612.2552461941
S66x8/43-095,-612.2574811719
S66x8/43-100,-612.2586434746
S66x8/43-105,-612.2591931854
S66x8/43-110,-612.2594257236
S66x8/43-125,-612.2593614434
S66x8/43-150,-612.2589491694
S66x8/43-200,-612.2586757449
S66x8/44-A,-78.5348479578
S66x8/44-B,-197.6474177749
S66x8/44-090,-276.1802657445
S66x8/44-095,-276.1813876313
S66x8/44-100,-276.1819949369
S66x8/44-105,-276.1823034668
S66x8/44-110,-276.1824557258
S66x8/44-125,-276.1825035126
S66x8/44-150,-276.1823762793
S66x8/44-200,-276.1823103636
S66x8/45-A,-77.274833482
S66x8/45-B,-197.6474034908
S66x8/45-090,-274.9196459793
S66x8/45-095,-274.9210349014
S66x8/45-100,-274.9217815299
S66x8/45-105,-274.922163023
S66x8/45-110,-274.9223376285
S66x8/45-125,-274.9223788696
S66x8/45-150,-274.9222050128
S66x8/45-200,-274.9220524114
S66x8/46-A,-248.3932206983
S66x8/46-B,-197.6473279621
S66x8/46-090,-446.0379860349
S66x8/46-095,-446.0396703743
S66x8/46-100,-446.0406550125
S66x8/46-105,-446.0411943551
S66x8/46-110,-446.0414565652
S66x8/46-125,-446.0415123112
S66x8/46-150,-446.0410601899
S66x8/46-200,-446.0407325723
S66x8/47-A,-232.0983952351
S66x8/47-B,-232.0982597263
S66x8/47-090,-464.1935105578
S66x8/47-095,-464.1957243334
S66x8/47-100,-464.1968731731
S66x8/47-105,-464.1974382461
S66x8/47-110,-464.1976715599
S66x8/47-125,-464.1976355964
S66x8/47-150,-464.1972358184
S66x8/47-200,-464.19693907
S66x8/48-A,-248.1287922313
S66x8/48-B,-248.1287450393
S66x8/48-090,-496.2557796277
S66x8/48-095,-496.2576607113
S66x8/48-100,-496.2586537205
S66x8/48-105,-496.259131921
S66x8/48-110,-496.2593053681
S66x8/48-125,-496.2591123119
S66x8/48-150,-496.2584794581
S66x8/48-200,-496.2579245598
S66x8/49-A,-232.0983955471
S66x8/49-B,-248.1287952597
S66x8/49-090,-480.2247388917
S66x8/49-095,-480.226950089
S66x8/49-100,-480.228067578
S66x8/49-105,-480.2285871084
S66x8/49-110,-480.2287683758
S66x8/49-125,-480.2285769757
S66x8/49-150,-480.2279896774
S66x8/49-200,-480.2275060167
S66x8/50-A,-232.0983797083
S66x8/50-B,-77.2749099094
S66x8/50-090,-309.372884114
S66x8/50-095,-309.374410844
S66x8/50-100,-309.3750891937
S66x8/50-105,-309.3753114098
S66x8/50-110,-309.3752926879
S66x8/50-125,-309.3747854528
S66x8/50-150,-309.373988275
S66x8/50-200,-309.3733766423
S66x8/51-A,-77.2748472684
S66x8/51-B,-77.274921859
S66x8/51-090,-154.5506309445
S66x8/51-095,-154.55112153
S66x8/51-100,-154.5512986057
S66x8/51-105,-154.5513019209
S66x8/51-110,-154.5512133698
S66x8/51-125,-154.5507961938
S66x8/51-150,-154.5502569529
S66x8/51-200,-154.5498641355
S66x8/52-A,-232.098378035
S66x8/52-B,-228.9770000555
S66x8/52-090,-461.0776670801
S66x8/52-095,-461.0789562782
S66x8/52-100,-461.0794950446
S66x8/52-105,-461.0796009359
S66x8/52-110,-461.0794635544
S66x8/52-125,-461.0785637574
S66x8/52-150,-461.077194835
S66x8/52-200,-461.0759778345
S66x8/53-A,-232.0983843985
S66x8/53-B,-209.1113030253
S66x8/53-090,-441.211821915
S66x8/53-095,-441.212903212
S66x8/53-100,-441.2133893647
S66x8/53-105,-441.2135123618
S66x8/53-110,-441.2134258353
S66x8/53-125,-441.212671929
S66x8/53-150,-441.2114092446
S66x8/53-200,-441.2101755296
S66x8/54-A,-232.0983621358
S66x8/54-B,-76.3964944614
S66x8/54-090,-308.4973371428
S66x8/54-095,-308.498167807
S66x8/54-100,-308.4984571241
S66x8/54-105,-308.4984491867
S66x8/54-110,-308.4982815332
S66x8/54-125,-308.4974987725
S66x8/54-150,-308.4964017359
S66x8/54-200,-308.4954244275
S66x8/55-A,-232.098334342
S66x8/55-B,-115.6659853979
S66x8/55-090,-347.7655170016
S66x8/55-095,-347.7668700206
S66x8/55-100,-347.7675115307
S66x8/55-105,-347.7677351584
S66x8/55-110,-347.7677081619
S66x8/55-125,-347.7670846111
S66x8/55-150,-347.7659892052
S66x8/55-200,-347.7649605916
S66x8/56-A,-232.0983916445
S66x8/56-B,-95.8061513953
S66x8/56-090,-327.9035570135
S66x8/56-095,-327.9050237487
S66x8/56-100,-327.9057931444
S66x8/56-105,-327.9061638557
S66x8/56-110,-327.9062660123
S66x8/56-125,-327.9059647839
S66x8/56-150,-327.9053226497
S66x8/56-200,-327.9048050685
S66x8/57-A,-232.0983395204
S66x8/57-B,-248.3931949073
S66x8/57-090,-480.4904007592
S66x8/57-095,-480.4931379108
S66x8/57-100,-480.4944501635
S66x8/57-105,-480.4949737552
S66x8/57-110,-480.4950744499
S66x8/57-125,-480.4944663614
S66x8/57-150,-480.4932812883
S66x8/57-200,-480.4922457851
S66x8/58-A,-248.128765399
S66x8/58-B,-248.1286974134
S66x8/58-090,-496.2584326425
S66x8/58-095,-496.2602450704
S66x8/58-100,-496.261174356
S66x8/58-105,-496.2611930553
S66x8/58-110,-496.2608883994
S66x8/58-125,-496.2597400563
S66x8/58-150,-496.2585515775
S66x8/58-200,-496.2577765883
S66x8/59-A,-77.2749766829
S66x8/59-B,-76.3965525661
S66x8/59-090,-153.6749986499
S66x8/59-095,-153.6754053163
S66x8/59-100,-153.6754818239
S66x8/59-105,-153.6753643951
S66x8/59-110,-153.675139511
S66x8/59-125,-153.6742729246
S66x8/59-150,-153.6730881272
S66x8/59-200,-153.6719947827
S66x8/60-A,-77.2748401456
S66x8/60-B,-228.9769728973
S66x8/60-090,-306.257260191
S66x8/60-095,-306.257983134
S66x8/60-100,-306.2581102777
S66x8/60-105,-306.2578934997
S66x8/60-110,-306.257491815
S66x8/60-125,-306.2559982011
S66x8/60-150,-306.2540707525
S66x8/60-200,-306.2524703273
S66x8/61-A,-197.6473744645
S66x8/61-B,-228.9770738737
S66x8/61-090,-426.6228395555
S66x8/61-095,-426.6238265671
S66x8/61-100,-426.6244166384
S66x8/61-105,-426.6247604311
S66x8/61-110,-426.6249318503
S66x8/61-125,-426.6249944284
S66x8/61-150,-426.624707972
S66x8/61-200,-426.6245147086
S66x8/62-A,-197.6474168047
S66x8/62-B,-209.1113282394
S66x8/62-090,-406.7570653185
S66x8/62-095,-406.7584015947
S66x8/62-100,-406.7591417067
S66x8/62-105,-406.7595263587
S66x8/62-110,-406.7596967002
S66x8/62-125,-406.7596253083
S66x8/62-150,-406.7591997849
S66x8/62-200,-406.7588568213
S66x8/63-A,-232.0984352926
S66x8/63-B,-228.9770171394
S66x8/63-090,-461.0731718381
S66x8/63-095,-461.0753492774
S66x8/63-100,-461.0764477019
S66x8/63-105,-461.076937633
S66x8/63-110,-461.0770884382
S66x8/63-125,-461.0768127767
S66x8/63-150,-461.0761239786
S66x8/63-200,-461.075619218
S66x8/64-A,-248.3931789909
S66x8/64-B,-78.5349342993
S66x8/64-090,-326.9277575646
S66x8/64-095,-326.9288032104
S66x8/64-100,-326.9293432975
S66x8/64-105,-326.9295732005
S66x8/64-110,-326.9296263126
S66x8/64-125,-326.9293317042
S66x8/64-150,-326.9286784111
S66x8/64-200,-326.9281528809
S66x8/65-A,-248.1288373807
S66x8/65-B,-77.2743410469
S66x8/65-090,-325.4083230113
S66x8/65-095,-325.4088426052
S66x8/65-100,-325.4089509906
S66x8/65-105,-325.408811359
S66x8/65-110,-325.4085321088
S66x8/65-125,-325.4074340147
S66x8/65-150,-325.405913742
S66x8/65-200,-325.4045508785
S66x8/66-A,-95.8061315137
S66x8/66-B,-248.1288125711
S66x8/66-090,-343.9356771201
S66x8/66-095,-343.9367703678
S66x8/66-100,-343.937337107
S66x8/66-105,-343.9375756068
S66x8/66-110,-343.9376116304
S66x8/66-125,-343.9371967692
S66x8/66-150,-343.9363140501
