system,SCC-DFTB2/matsci-0-3/dftb+
S22x5/18-1.0,-32.2469118687
S22x5/18-1.2,-32.2424770427
S22x5/18-1.5,-32.2385548844
S22x5/18-2.0,-32.2362516862
S22x5/19-A,-15.7514253231
S22x5/19-B,-15.7525128377
S22x5/19-0.9,-31.5049072404
S22x5/19-1.0,-31.5060598382
S22x5/19-1.2,-31.5054724603
S22x5/19-1.5,-31.5047419158
S22x5/19-2.0,-31.5042970982
S22x5/20-A,-20.1874088918
S22x5/20-B,-20.1874088918
S22x5/20-0.9,-40.377541809
S22x5/20-1.0,-40.3794471064
S22x5/20-1.2,-40.3778658126
S22x5/20-1.5,-40.3764324165
S22x5/20-2.0,-40.3755298845
S22x5/21-A,-20.1898056231
S22x5/21-B,-20.1898056231
S22x5/21-0.9,-40.3973863083
S22x5/21-1.0,-40.3992563621
S22x5/21-1.2,-40.3938993002
S22x5/21-1.5,-40.3878683894
S22x5/21-2.0,-40.3837004083
S22x5/22-A,-12.4205434736
S22x5/22-B,-4.5708624041
S22x5/22-0.9,-16.9932173963
S22x5/22-1.0,-16.9929094169
S22x5/22-1.2,-16.9923634616
S22x5/22-1.5,-16.9919875863
S22x5/22-2.0,-16.9916775098
S66x8/01-A,-4.0844522565
S66x8/01-B,-4.0845316745
S66x8/01-090,-8.1714909925
S66x8/01-095,-8.1718932791
S66x8/01-100,-8.1718869148
S66x8/01-105,-8.1716971742
S66x8/01-110,-8.1714479073
S66x8/01-125,-8.170789278
S66x8/01-150,-8.1701969668
S66x8/01-200,-8.1696603751
S66x8/02-A,-4.0844191645
S66x8/02-B,-6.4944549063
S66x8/02-090,-10.5809698756
S66x8/02-095,-10.5816330496
S66x8/02-100,-10.581770582
S66x8/02-105,-10.5816490299
S66x8/02-110,-10.5814228375
S66x8/02-125,-10.5807381399
S66x8/02-150,-10.5801032181
S66x8/02-200,-10.5795506337
S66x8/03-A,-4.0843285781
S66x8/03-B,-6.1136429815
S66x8/03-090,-10.2007847033
S66x8/03-095,-10.201144164
S66x8/03-100,-10.2010254945
S66x8/03-105,-10.2007069779
S66x8/03-110,-10.2003433745
S66x8/03-125,-10.1995088958
S66x8/03-150,-10.1989524165
S66x8/03-200,-10.1985619234
S66x8/04-A,-4.0843471785
S66x8/04-B,-13.6203376222
S66x8/04-090,-17.7095555867
S66x8/04-095,-17.7101501224
S66x8/04-100,-17.7101612478
S66x8/04-105,-17.7098803365
S66x8/04-110,-17.7094825506
S66x8/04-125,-17.7083180279
S66x8/04-150,-17.7071426244
S66x8/04-200,-17.7059224212
S66x8/05-A,-6.4941736688
S66x8/05-B,-6.4944656263
S66x8/05-090,-12.9900894494
S66x8/05-095,-12.9909157735
S66x8/05-100,-12.9911547822
S66x8/05-105,-12.9910923803
S66x8/05-110,-12.9908979392
S66x8/05-125,-12.9902380104
S66x8/05-150,-12.9896107119
S66x8/05-200,-12.9890754871
S66x8/06-A,-6.4940684351
S66x8/06-B,-6.1133390975
S66x8/06-090,-12.6095733499
S66x8/06-095,-12.6102126051
S66x8/06-100,-12.6102447444
S66x8/06-105,-12.6099929817
S66x8/06-110,-12.6096461872
S66x8/06-125,-12.6087641771
S66x8/06-150,-12.6081623651
S66x8/06-200,-12.6077737242
S66x8/07-A,-6.4943413271
S66x8/07-B,-13.6194006923
S66x8/07-090,-20.1176133995
S66x8/07-095,-20.1183518892
S66x8/07-100,-20.1184568468
S66x8/07-105,-20.1182335013
S66x8/07-110,-20.1178689269
S66x8/07-125,-20.1167440474
S66x8/07-150,-20.1154971579
S66x8/07-200,-20.1143381107
S66x8/08-A,-6.4941743684
S66x8/08-B,-4.0845168641
S66x8/08-090,-10.5805394883
S66x8/08-095,-10.5811065293
S66x8/08-100,-10.5812016077
S66x8/08-105,-10.5810710248
S66x8/08-110,-10.5808544307
S66x8/08-125,-10.5802286068
S66x8/08-150,-10.5796577101
S66x8/08-200,-10.5791500095
S66x8/09-A,-6.1151758414
S66x8/09-B,-6.4943100257
S66x8/09-090,-12.6106346357
S66x8/09-095,-12.6106887337
S66x8/09-100,-12.6106064664
S66x8/09-105,-12.6104879684
S66x8/09-110,-12.6103755086
S66x8/09-125,-12.6101491936
S66x8/09-150,-12.6099728702
S66x8/09-200,-12.6098163372
S66x8/10-A,-6.1154728582
S66x8/10-B,-6.1136244187
S66x8/10-090,-12.2295897128
S66x8/10-095,-12.2297746783
S66x8/10-100,-12.2297406618
S66x8/10-105,-12.2296350267
S66x8/10-110,-12.22952409
S66x8/10-125,-12.2293070106
S66x8/10-150,-12.2291449865
S66x8/10-200,-12.2290413973
S66x8/11-A,-6.1159220043
S66x8/11-B,-13.6194604665
S66x8/11-090,-19.7363189632
S66x8/11-095,-19.7364740504
S66x8/11-100,-19.7364019138
S66x8/11-105,-19.7362454949
S66x8/11-110,-19.7360738709
S66x8/11-125,-19.7355047705
S66x8/11-150,-19.7350782852
S66x8/11-200,-19.7348220262
S66x8/12-A,-6.1128028896
S66x8/12-B,-4.0847380423
S66x8/12-090,-10.1989852564
S66x8/12-095,-10.1997797249
S66x8/12-100,-10.199931379
S66x8/12-105,-10.1997694249
S66x8/12-110,-10.1994879794
S66x8/12-125,-10.1987045217
S66x8/12-150,-10.1981311004
S66x8/12-200,-10.1977412257
S66x8/13-A,-13.6198757897
S66x8/13-B,-6.4943277563
S66x8/13-090,-20.116735822
S66x8/13-095,-20.1173763169
S66x8/13-100,-20.117514337
S66x8/13-105,-20.1174046417
S66x8/13-110,-20.1171926325
S66x8/13-125,-20.1165205582
S66x8/13-150,-20.1158069326
S66x8/13-200,-20.1150819046
S66x8/14-A,-13.620537492
S66x8/14-B,-6.113357987
S66x8/14-090,-19.7366985219
S66x8/14-095,-19.7370084006
S66x8/14-100,-19.736876204
S66x8/14-105,-19.7365662318
S66x8/14-110,-19.7362209653
S66x8/14-125,-19.7354297192
S66x8/14-150,-19.7348422796
S66x8/14-200,-19.7343451212
S66x8/15-A,-13.6217297393
S66x8/15-B,-13.6202596437
S66x8/15-090,-27.2478854522
S66x8/15-095,-27.248213366
S66x8/15-100,-27.2480605417
S66x8/15-105,-27.2476869316
S66x8/15-110,-27.2472416229
S66x8/15-125,-27.2460404894
S66x8/15-150,-27.2448131898
S66x8/15-200,-27.2434314627
S66x8/16-A,-13.6212663527
S66x8/16-B,-4.0845023967
S66x8/16-090,-17.7087072865
S66x8/16-095,-17.7090372745
S66x8/16-100,-17.7090050324
S66x8/16-105,-17.7088144895
S66x8/16-110,-17.7085744622
S66x8/16-125,-17.7079311807
S66x8/16-150,-17.7072770194
S66x8/16-200,-17.7065967203
S66x8/17-A,-20.1899838702
S66x8/17-B,-20.1898421015
S66x8/17-090,-40.3939019479
S66x8/17-095,-40.3954474822
S66x8/17-100,-40.3954046593
S66x8/17-105,-40.3945778698
S66x8/17-110,-40.3933926599
S66x8/17-125,-40.3897330859
S66x8/17-150,-40.38590229
S66x8/17-200,-40.382647952
S66x8/18-A,-4.0844006951
S66x8/18-B,-12.9666414287
S66x8/18-090,-17.0532770845
S66x8/18-095,-17.0538105379
S66x8/18-100,-17.0538134719
S66x8/18-105,-17.0535759212
S66x8/18-110,-17.0532635708
S66x8/18-125,-17.0524901543
S66x8/18-150,-17.0519548404
S66x8/18-200,-17.0515781613
S66x8/19-A,-6.4942006309
S66x8/19-B,-12.9666101121
S66x8/19-090,-19.4625818895
S66x8/19-095,-19.46342504
S66x8/19-100,-19.4636079521
S66x8/19-105,-19.4634630786
S66x8/19-110,-19.4625077829
S66x8/19-125,-19.4624120219
S66x8/19-150,-19.4610315042
S66x8/19-200,-19.4605482105
S66x8/20-A,-11.5092784433
S66x8/20-B,-11.5092934334
S66x8/20-090,-23.0243620805
S66x8/20-095,-23.0346425233
S66x8/20-100,-23.0354059513
S66x8/20-105,-23.0349240551
S66x8/20-110,-23.0338441134
S66x8/20-125,-23.0295512802
S66x8/20-150,-23.0250719115
S66x8/20-200,-23.021543481
S66x8/21-A,-11.1409482794
S66x8/21-B,-11.1409484384
S66x8/21-090,-22.2975948923
S66x8/21-095,-22.2981772123
S66x8/21-100,-22.2976271295
S66x8/21-105,-22.2965233777
S66x8/21-110,-22.2952261332
S66x8/21-125,-22.2916967052
S66x8/21-150,-22.2882190158
S66x8/21-200,-22.2847807112
S66x8/22-A,-11.5092026696
S66x8/22-B,-20.18983076
S66x8/22-090,-31.71135777
S66x8/22-095,-31.7165673105
S66x8/22-100,-31.716816443
S66x8/22-105,-31.7161318553
S66x8/22-110,-31.7149541388
S66x8/22-125,-31.7109329442
S66x8/22-150,-31.7064743199
S66x8/22-200,-31.7026701872
S66x8/23-A,-11.1407463753
S66x8/23-B,-20.1901154826
S66x8/23-090,-31.3472328612
S66x8/23-095,-31.3497312328
S66x8/23-100,-31.3494563543
S66x8/23-105,-31.3484842086
S66x8/23-110,-31.3471819134
S66x8/23-125,-31.3432187556
S66x8/23-150,-31.3389612774
S66x8/23-200,-31.3350913532
S66x8/24-A,-12.4206045001
S66x8/24-B,-12.4206340388
S66x8/24-090,-24.8403674914
S66x8/24-095,-24.840787041
S66x8/24-100,-24.8409263172
S66x8/24-105,-24.8409845758
S66x8/24-110,-24.8410209861
S66x8/24-125,-24.8410990362
S66x8/24-150,-24.8411672868
S66x8/24-200,-24.8412084514
S66x8/25-A,-12.9669060994
S66x8/25-B,-12.9669631413
S66x8/25-090,-25.9333796954
S66x8/25-095,-25.9338363063
S66x8/25-100,-25.9339520677
S66x8/25-105,-25.933965103
S66x8/25-110,-25.9339572136
S66x8/25-125,-25.9339388723
S66x8/25-150,-25.933918086
S66x8/25-200,-25.9338887832
S66x8/26-A,-20.1873971519
S66x8/26-B,-20.1873971519
S66x8/26-090,-40.378429428
S66x8/26-095,-40.3793645321
S66x8/26-100,-40.3794235066
S66x8/26-105,-40.3791354455
S66x8/26-110,-40.3787423523
S66x8/26-125,-40.3776553526
S66x8/26-150,-40.3765462994
S66x8/26-200,-40.3756004872
S66x8/27-A,-12.4206470618
S66x8/27-B,-12.9669707778
S66x8/27-090,-25.3868654981
S66x8/27-095,-25.3873354568
S66x8/27-100,-25.3874595407
S66x8/27-105,-25.3874902593
S66x8/27-110,-25.3875014006
S66x8/27-125,-25.3875255813
S66x8/27-150,-25.3875454001
S66x8/27-200,-25.3875495727
S66x8/28-A,-12.4204798632
S66x8/28-B,-20.187070297
S66x8/28-090,-32.6079890366
S66x8/28-095,-32.6086231996
S66x8/28-100,-32.6087354702
S66x8/28-105,-32.6086643323
S66x8/28-110,-32.608545198
S66x8/28-125,-32.6082261714
S66x8/28-150,-32.6079211914
S66x8/28-200,-32.6076987642
S66x8/29-A,-12.9667870954
S66x8/29-B,-20.1872928558
S66x8/29-090,-33.1558649153
S66x8/29-095,-33.1566828125
S66x8/29-100,-33.1566796079
S66x8/29-105,-33.1564472119
S66x8/29-110,-33.1561846383
S66x8/29-125,-33.1555630136
S66x8/29-150,-33.1549703471
S66x8/29-200,-33.1544893036
S66x8/30-A,-12.4206221282
S66x8/30-B,-4.8335772609
S66x8/30-090,-17.2539719869
S66x8/30-095,-17.2539775336
S66x8/30-100,-17.2539666081
S66x8/30-105,-17.2539717922
S66x8/30-110,-17.2539896822
S66x8/30-125,-17.2540551846
S66x8/30-150,-17.2541217838
S66x8/30-200,-17.2541713298
S66x8/31-A,-20.1868874499
S66x8/31-B,-4.833754488
S66x8/31-090,-25.0214418105
S66x8/31-095,-25.0214145705
S66x8/31-100,-25.0213098713
S66x8/31-105,-25.0212004358
S66x8/31-110,-25.0211051076
S66x8/31-125,-25.0208974198
S66x8/31-150,-25.0206947013
S66x8/31-200,-25.0205215714
S66x8/32-A,-20.1874302961
S66x8/32-B,-4.0467650342
S66x8/32-090,-24.2358939257
S66x8/32-095,-24.2359579953
S66x8/32-100,-24.2358147785
S66x8/32-105,-24.2356187636
S66x8/32-110,-24.2354277948
S66x8/32-125,-24.2349862914
S66x8/32-150,-24.2345648266
S66x8/32-200,-24.234227644
S66x8/33-A,-12.9669952295
S66x8/33-B,-4.8334705345
S66x8/33-090,-17.8005149999
S66x8/33-095,-17.8004803556
S66x8/33-100,-17.800441644
S66x8/33-105,-17.8004247992
S66x8/33-110,-17.8004259548
S66x8/33-125,-17.8004554146
S66x8/33-150,-17.8005121083
S66x8/33-200,-17.8005504103
S66x8/34-A,-12.9683845368
S66x8/34-B,-12.9678205305
S66x8/34-090,-25.9367184885
S66x8/34-095,-25.9365230977
S66x8/34-100,-25.9364518866
S66x8/34-105,-25.9364403291
S66x8/34-110,-25.9364468539
S66x8/34-125,-25.9364542638
S66x8/34-150,-25.9364491298
S66x8/34-200,-25.936450752
S66x8/35-A,-12.9682021512
S66x8/35-B,-12.9604720379
S66x8/35-090,-25.9291657404
S66x8/35-095,-25.928920801
S66x8/35-100,-25.9288339599
S66x8/35-105,-25.9288141074
S66x8/35-110,-25.9288133101
S66x8/35-125,-25.9288081732
S66x8/35-150,-25.9287992435
S66x8/35-200,-25.9287967312
S66x8/36-A,-12.9606194214
S66x8/36-B,-12.9607595059
S66x8/36-090,-25.9216925981
S66x8/36-095,-25.921553156
S66x8/36-100,-25.9215100463
S66x8/36-105,-25.9215012207
S66x8/36-110,-25.9214997079
S66x8/36-125,-25.9214881036
S66x8/36-150,-25.9214733525
S66x8/36-200,-25.9214535427
S66x8/37-A,-12.2319450918
S66x8/37-B,-12.9604135756
S66x8/37-090,-25.1931396977
S66x8/37-095,-25.1928393576
S66x8/37-100,-25.1927147101
S66x8/37-105,-25.1926744974
S66x8/37-110,-25.1926658951
S66x8/37-125,-25.1926613785
S66x8/37-150,-25.1926508915
S66x8/37-200,-25.1926477574
S66x8/38-A,-12.2315829314
S66x8/38-B,-12.2316071565
S66x8/38-090,-24.4635175063
S66x8/38-095,-24.4632827285
S66x8/38-100,-24.4631734522
S66x8/38-105,-24.4631483141
S66x8/38-110,-24.4631525484
S66x8/38-125,-24.4631633243
S66x8/38-150,-24.4631614554
S66x8/38-200,-24.4631644841
S66x8/39-A,-12.4206272136
S66x8/39-B,-12.2316531369
S66x8/39-090,-24.6523175231
S66x8/39-095,-24.6522944137
S66x8/39-100,-24.6522474331
S66x8/39-105,-24.6522244026
S66x8/39-110,-24.6522214016
S66x8/39-125,-24.6522375996
S66x8/39-150,-24.6522501364
S66x8/39-200,-24.6522573846
S66x8/40-A,-12.4206247719
S66x8/40-B,-12.9611344735
S66x8/40-090,-25.3814794796
S66x8/40-095,-25.381365102
S66x8/40-100,-25.3812900051
S66x8/40-105,-25.3812554917
S66x8/40-110,-25.3812427619
S66x8/40-125,-25.3812311075
S66x8/40-150,-25.3812121926
S66x8/40-200,-25.3811820516
S66x8/41-A,-20.1864244238
S66x8/41-B,-12.9682023948
S66x8/41-090,-33.1554518978
S66x8/41-095,-33.155407334
S66x8/41-100,-33.1552986417
S66x8/41-105,-33.1551944626
S66x8/41-110,-33.1550932754
S66x8/41-125,-33.1548978629
S66x8/41-150,-33.1547438506
S66x8/41-200,-33.1546560164
S66x8/42-A,-20.1861650079
S66x8/42-B,-12.2316630628
S66x8/42-090,-32.4185486586
S66x8/42-095,-32.418467153
S66x8/42-100,-32.4183399386
S66x8/42-105,-32.4182373973
S66x8/42-110,-32.4181633634
S66x8/42-125,-32.4180280249
S66x8/42-150,-32.4179158637
S66x8/42-200,-32.4178474625
S66x8/43-A,-20.1867065546
S66x8/43-B,-12.9600161388
S66x8/43-090,-33.1477844274
S66x8/43-095,-33.1477811606
S66x8/43-100,-33.1477249643
S66x8/43-105,-33.1476713353
S66x8/43-110,-33.1476283633
S66x8/43-125,-33.1475412948
S66x8/43-150,-33.1474679959
S66x8/43-200,-33.1474230308
S66x8/44-A,-4.8335939699
S66x8/44-B,-12.9686581368
S66x8/44-090,-17.8018631613
S66x8/44-095,-17.8018178941
S66x8/44-100,-17.8018038069
S66x8/44-105,-17.8018030783
S66x8/44-110,-17.8018041005
S66x8/44-125,-17.8017963137
S66x8/44-150,-17.8017874067
S66x8/44-200,-17.8017836859
S66x8/45-A,-4.0467186878
S66x8/45-B,-12.9681457504
S66x8/45-090,-17.0148173697
S66x8/45-095,-17.0148106757
S66x8/45-100,-17.0147949896
S66x8/45-105,-17.0147866977
S66x8/45-110,-17.0147839107
S66x8/45-125,-17.0147822363
S66x8/45-150,-17.0147752865
S66x8/45-200,-17.014752392
S66x8/46-A,-13.6202547309
S66x8/46-B,-12.9678807754
S66x8/46-090,-26.589103945
S66x8/46-095,-26.5889720487
S66x8/46-100,-26.5888687199
S66x8/46-105,-26.5887940706
S66x8/46-110,-26.5887393068
S66x8/46-125,-26.5886301142
S66x8/46-150,-26.5885213333
S66x8/46-200,-26.5884563039
S66x8/47-A,-12.4205937204
S66x8/47-B,-12.420524921
S66x8/47-090,-24.8413470672
S66x8/47-095,-24.8414259969
S66x8/47-100,-24.8413923822
S66x8/47-105,-24.8413517633
S66x8/47-110,-24.8413245626
S66x8/47-125,-24.8412858629
S66x8/47-150,-24.8412468342
S66x8/47-200,-24.8412125373
S66x8/48-A,-12.9668490109
S66x8/48-B,-12.9669374892
S66x8/48-090,-25.9341828132
S66x8/48-095,-25.9342692807
S66x8/48-100,-25.9342319286
S66x8/48-105,-25.9341748215
S66x8/48-110,-25.9341262473
S66x8/48-125,-25.9340330545
S66x8/48-150,-25.9339411067
S66x8/48-200,-25.933858956
S66x8/49-A,-12.4206070374
S66x8/49-B,-12.9669366388
S66x8/49-090,-25.3878100818
S66x8/49-095,-25.3879015712
S66x8/49-100,-25.3878590171
S66x8/49-105,-25.3878049319
S66x8/49-110,-25.3877654242
S66x8/49-125,-25.3877009784
S66x8/49-150,-25.3876351405
S66x8/49-200,-25.3875730337
S66x8/50-A,-12.4205618922
S66x8/50-B,-4.0468637864
S66x8/50-090,-16.4682510845
S66x8/50-095,-16.4681452676
S66x8/50-100,-16.4679833925
S66x8/50-105,-16.4678537775
S66x8/50-110,-16.4677634985
S66x8/50-125,-16.4676086486
S66x8/50-150,-16.467462027
S66x8/50-200,-16.4673398916
S66x8/51-A,-4.0467327307
S66x8/51-B,-4.0468494304
S66x8/51-090,-8.0943835274
S66x8/51-095,-8.0941588411
S66x8/51-100,-8.0939997346
S66x8/51-105,-8.0938963892
S66x8/51-110,-8.0938294786
S66x8/51-125,-8.0937185177
S66x8/51-150,-8.0936183455
S66x8/51-200,-8.0935354882
S66x8/52-A,-12.4205495465
S66x8/52-B,-11.5124814254
S66x8/52-090,-23.9354012335
S66x8/52-095,-23.9351402082
S66x8/52-100,-23.9347967149
S66x8/52-105,-23.9344902808
S66x8/52-110,-23.9342517043
S66x8/52-125,-23.9338352221
S66x8/52-150,-23.9334957105
S66x8/52-200,-23.9331823726
S66x8/53-A,-12.420530048
S66x8/53-B,-11.1400399546
S66x8/53-090,-23.5626766885
S66x8/53-095,-23.5624541804
S66x8/53-100,-23.5621954093
S66x8/53-105,-23.5619701986
S66x8/53-110,-23.5617912784
S66x8/53-125,-23.5614389629
S66x8/53-150,-23.5610927033
S66x8/53-200,-23.5607507725
S66x8/54-A,-12.4205576076
S66x8/54-B,-4.084618598
S66x8/54-090,-16.5066760061
S66x8/54-095,-16.506482193
S66x8/54-100,-16.5062789723
S66x8/54-105,-16.5061169289
S66x8/54-110,-16.5059984876
S66x8/54-125,-16.5057883392
S66x8/54-150,-16.5055860625
S66x8/54-200,-16.5053856574
S66x8/55-A,-12.420538158
S66x8/55-B,-6.4942972886
S66x8/55-090,-18.9161147747
S66x8/55-095,-18.916015856
S66x8/55-100,-18.9158403941
S66x8/55-105,-18.9156795038
S66x8/55-110,-18.9155565746
S66x8/55-125,-18.9153499757
S66x8/55-150,-18.9151674971
S66x8/55-200,-18.9149760651
S66x8/56-A,-12.4205855839
S66x8/56-B,-6.1152221305
S66x8/56-090,-18.5364987424
S66x8/56-095,-18.5364677815
S66x8/56-100,-18.5363965287
S66x8/56-105,-18.5363328723
S66x8/56-110,-18.5362907984
S66x8/56-125,-18.5362314201
S66x8/56-150,-18.5361678894
S66x8/56-200,-18.5361012536
S66x8/57-A,-12.4205672531
S66x8/57-B,-13.621394469
S66x8/57-090,-26.0434246184
S66x8/57-095,-26.0434260945
S66x8/57-100,-26.0432562168
S66x8/57-105,-26.0430818264
S66x8/57-110,-26.0429424613
S66x8/57-125,-26.0426788493
S66x8/57-150,-26.0424198753
S66x8/57-200,-26.0421680464
S66x8/58-A,-12.9667926711
S66x8/58-B,-12.9665991858
S66x8/58-090,-25.9341365409
S66x8/58-095,-25.934361432
S66x8/58-100,-25.9341890916
S66x8/58-105,-25.9339840705
S66x8/58-110,-25.9338490718
S66x8/58-125,-25.9336655674
S66x8/58-150,-25.9335410248
S66x8/58-200,-25.9334572198
S66x8/59-A,-4.046991043
S66x8/59-B,-4.0845249948
S66x8/59-090,-8.132853015
S66x8/59-095,-8.1327332521
S66x8/59-100,-8.1325129598
S66x8/59-105,-8.1322827198
S66x8/59-110,-8.1320789017
S66x8/59-125,-8.1316584054
S66x8/59-150,-8.1312921995
S66x8/59-200,-8.1309476695
S66x8/60-A,-4.0468101236
S66x8/60-B,-11.5125047243
S66x8/60-090,-15.5631300366
S66x8/60-095,-15.5627656197
S66x8/60-100,-15.5622712704
S66x8/60-105,-15.5618002353
S66x8/60-110,-15.5614074524
S66x8/60-125,-15.5606664976
S66x8/60-150,-15.5600993876
S66x8/60-200,-15.559642584
S66x8/61-A,-12.9681337281
S66x8/61-B,-11.5127622978
S66x8/61-090,-24.4814065486
S66x8/61-095,-24.4813122569
S66x8/61-100,-24.4812460581
S66x8/61-105,-24.4812007031
S66x8/61-110,-24.4811682943
S66x8/61-125,-24.4811038889
S66x8/61-150,-24.4810336981
S66x8/61-200,-24.4809904704
S66x8/62-A,-12.9681739586
S66x8/62-B,-11.1402130079
S66x8/62-090,-24.1091779223
S66x8/62-095,-24.1090232
S66x8/62-100,-24.1089009331
S66x8/62-105,-24.1088103284
S66x8/62-110,-24.10874254
S66x8/62-125,-24.1086091271
S66x8/62-150,-24.1084935739
S66x8/62-200,-24.1084155158
S66x8/63-A,-12.4205924825
S66x8/63-B,-11.5128529005
S66x8/63-090,-23.9342000386
S66x8/63-095,-23.9342103338
S66x8/63-100,-23.9341206794
S66x8/63-105,-23.9340255612
S66x8/63-110,-23.9339463403
S66x8/63-125,-23.9337829093
S66x8/63-150,-23.9336223211
S66x8/63-200,-23.9334932121
S66x8/64-A,-13.6201112435
S66x8/64-B,-4.8338898259
S66x8/64-090,-18.4543909391
S66x8/64-095,-18.4543340318
S66x8/64-100,-18.4542404029
S66x8/64-105,-18.4541509141
S66x8/64-110,-18.4540760917
S66x8/64-125,-18.45392412
S66x8/64-150,-18.4537853174
S66x8/64-200,-18.4536887391
S66x8/65-A,-12.966778459
S66x8/65-B,-4.046428385
S66x8/65-090,-17.0160956846
S66x8/65-095,-17.0157325297
S66x8/65-100,-17.0153411117
S66x8/65-105,-17.0150046207
S66x8/65-110,-17.0147458924
S66x8/65-125,-17.014328868
S66x8/65-150,-17.0140927688
S66x8/65-200,-17.0139232593
S66x8/66-A,-6.1145383038
S66x8/66-B,-12.9667762463
S66x8/66-090,-19.0823042512
S66x8/66-095,-19.0824939229
S66x8/66-100,-19.0825032156
S66x8/66-105,-19.0824495447
S66x8/66-110,-19.0823852492
