system,mPWB1K/def2-QZVP/ORCA
S22x5/10-A,-232.2147093841
S22x5/10-B,-76.4301990338
S22x5/10-0.9,-308.6486857535
S22x5/10-1.0,-308.6492431103
S22x5/10-1.2,-308.6483397962
S22x5/10-1.5,-308.6467867027
S22x5/10-2.0,-308.6456221672
S22x5/11-A,-232.2147495306
S22x5/11-B,-56.5508317253
S22x5/11-0.9,-288.767108133
S22x5/11-1.0,-288.7679790143
S22x5/11-1.2,-288.767480447
S22x5/11-1.5,-288.7666752072
S22x5/11-2.0,-288.7659212067
S22x5/12-A,-232.2147819658
S22x5/12-B,-40.5005514724
S22x5/12-0.9,-272.7150787319
S22x5/12-1.0,-272.716406253
S22x5/12-1.2,-272.7164702018
S22x5/12-1.5,-272.7156438003
S22x5/12-2.0,-272.7154268073
S22x5/13-A,-232.2147283854
S22x5/13-B,-232.2147102366
S22x5/13-0.9,-464.4294381931
S22x5/13-1.0,-464.4307344317
S22x5/13-1.2,-464.4308634162
S22x5/13-1.5,-464.4306037369
S22x5/13-2.0,-464.4297310353
S22x5/14-A,-232.2147824294
S22x5/14-B,-232.2147824277
S22x5/14-0.9,-464.4230898029
S22x5/14-1.0,-464.4289568735
S22x5/14-1.2,-464.4300670148
S22x5/14-1.5,-464.4295229395
S22x5/14-2.0,-464.429495551
S22x5/15-A,-232.2146159455
S22x5/15-B,-363.7852413456
S22x5/15-0.9,-596.0031453715
S22x5/15-1.0,-596.0049873236
S22x5/15-1.2,-596.0046126845
S22x5/15-1.5,-596.0030510756
S22x5/15-2.0,-596.0011278927
S22x5/16-A,-232.2147262244
S22x5/16-B,-363.7852812358
S22x5/16-0.9,-595.9941371763
S22x5/16-1.0,-596.000451121
S22x5/16-1.2,-596.0014067267
S22x5/16-1.5,-595.9998984284
S22x5/16-2.0,-595.9997070671
S22x5/17-A,-264.2893502185
S22x5/17-B,-264.2893299457
S22x5/17-0.9,-528.5741791077
S22x5/17-1.0,-528.5802994701
S22x5/17-1.2,-528.5803454204
S22x5/17-1.5,-528.5792109837
S22x5/17-2.0,-528.5788139448
S22x5/18-A,-323.4993425011
S22x5/18-B,-303.623267588
S22x5/18-0.9,-627.1434005146
S22x5/18-1.0,-627.1459313465
S22x5/18-1.2,-627.142062291
S22x5/18-1.5,-627.1340449774
S22x5/18-2.0,-627.1272796462
S22x5/19-A,-307.4478869159
S22x5/19-B,-307.4478081134
S22x5/19-0.9,-614.9019380716
S22x5/19-1.0,-614.9036363057
S22x5/19-1.2,-614.902203574
S22x5/19-1.5,-614.8995333635
S22x5/19-2.0,-614.8972255622
S22x5/20-A,-414.8187505291
S22x5/20-B,-414.8187505335
S22x5/20-0.9,-829.6399455792
S22x5/20-1.0,-829.6463197535
S22x5/20-1.2,-829.6438220076
S22x5/20-1.5,-829.6401458578
S22x5/20-2.0,-829.6383987106
S22x5/21-A,-414.8177746178
S22x5/21-B,-414.8177746235
S22x5/21-0.9,-829.6632425673
S22x5/21-1.0,-829.6657106125
S22x5/21-1.2,-829.6607056993
S22x5/21-1.5,-829.651040957
S22x5/21-2.0,-829.6424927268
S22x5/22-A,-232.2146139274
S22x5/22-B,-93.4116643654
S22x5/22-0.9,-325.6320668823
S22x5/22-1.0,-325.6327173679
S22x5/22-1.2,-325.6315844564
S22x5/22-1.5,-325.6293139587
S22x5/22-2.0,-325.6275997018
S66x8/01-A,-76.4303898549
S66x8/01-B,-76.4303245303
S66x8/01-090,-152.8678018634
S66x8/01-095,-152.8682488591
S66x8/01-100,-152.8682442339
S66x8/01-105,-152.8679670283
S66x8/01-110,-152.8675210899
S66x8/01-125,-152.8659843831
S66x8/01-150,-152.8639853989
S66x8/01-200,-152.8619939986
S66x8/02-A,-76.4303980965
S66x8/02-B,-115.7157778558
S66x8/02-090,-192.1534196648
S66x8/02-095,-192.1539841132
S66x8/02-100,-192.1540465641
S66x8/02-105,-192.1538011265
S66x8/02-110,-192.1533631835
S66x8/02-125,-192.1517609173
S66x8/02-150,-192.1495654602
S66x8/02-200,-192.147471674
S66x8/03-A,-76.4304135713
S66x8/03-B,-95.8415816537
S66x8/03-090,-172.2814627748
S66x8/03-095,-172.2820357487
S66x8/03-100,-172.2820220244
S66x8/03-105,-172.2816607799
S66x8/03-110,-172.2811229911
S66x8/03-125,-172.2790528307
S66x8/03-150,-172.2761344581
S66x8/03-200,-172.2733870909
S66x8/04-A,-76.4304101998
S66x8/04-B,-248.5052742725
S66x8/04-090,-324.9468725844
S66x8/04-095,-324.9473796057
S66x8/04-100,-324.9473656224
S66x8/04-105,-324.9470281255
S66x8/04-110,-324.9464928961
S66x8/04-125,-324.9441993205
S66x8/04-150,-324.9410735808
S66x8/04-200,-324.9375931723
S66x8/05-A,-115.7157793788
S66x8/05-B,-115.7157858511
S66x8/05-090,-231.4386826161
S66x8/05-095,-231.4393700551
S66x8/05-100,-231.4395262783
S66x8/05-105,-231.4393570638
S66x8/05-110,-231.4389781037
S66x8/05-125,-231.4374646093
S66x8/05-150,-231.4352528162
S66x8/05-200,-231.4331340754
S66x8/06-A,-115.7154809574
S66x8/06-B,-95.8415652258
S66x8/06-090,-211.5667214845
S66x8/06-095,-211.5674860785
S66x8/06-100,-211.5676718819
S66x8/06-105,-211.5674466094
S66x8/06-110,-211.5669314616
S66x8/06-125,-211.5648778776
S66x8/06-150,-211.561861831
S66x8/06-200,-211.5589662875
S66x8/07-A,-115.7155637164
S66x8/07-B,-248.5050479454
S66x8/07-090,-364.2313660606
S66x8/07-095,-364.2321119637
S66x8/07-100,-364.2322351897
S66x8/07-105,-364.2319670687
S66x8/07-110,-364.2314765046
S66x8/07-125,-364.2293925057
S66x8/07-150,-364.2258778952
S66x8/07-200,-364.2223176923
S66x8/08-A,-115.7158315172
S66x8/08-B,-76.4303293353
S66x8/08-090,-192.1530840145
S66x8/08-095,-192.153645852
S66x8/08-100,-192.1537277106
S66x8/08-105,-192.1535249627
S66x8/08-110,-192.1531198112
S66x8/08-125,-192.1516590422
S66x8/08-150,-192.1496712223
S66x8/08-200,-192.147680055
S66x8/09-A,-95.8415884371
S66x8/09-B,-115.7158778132
S66x8/09-090,-211.5602668445
S66x8/09-095,-211.5606336038
S66x8/09-100,-211.5608611545
S66x8/09-105,-211.5609013674
S66x8/09-110,-211.5606964039
S66x8/09-125,-211.5599173273
S66x8/09-150,-211.5589414831
S66x8/09-200,-211.5580268166
S66x8/10-A,-95.8415023045
S66x8/10-B,-95.8415410825
S66x8/10-090,-191.6868705101
S66x8/10-095,-191.6876532762
S66x8/10-100,-191.6879984735
S66x8/10-105,-191.6878137029
S66x8/10-110,-191.687473675
S66x8/10-125,-191.6864791272
S66x8/10-150,-191.68475977
S66x8/10-200,-191.6836227043
S66x8/11-A,-95.8412466463
S66x8/11-B,-248.5051823932
S66x8/11-090,-344.3518212511
S66x8/11-095,-344.3524982834
S66x8/11-100,-344.3528390816
S66x8/11-105,-344.3528112993
S66x8/11-110,-344.3524937704
S66x8/11-125,-344.3506498353
S66x8/11-150,-344.3485036355
S66x8/11-200,-344.3473235419
S66x8/12-A,-95.841528345
S66x8/12-B,-76.4295175715
S66x8/12-090,-172.2813388956
S66x8/12-095,-172.28204731
S66x8/12-100,-172.2821243017
S66x8/12-105,-172.2817978179
S66x8/12-110,-172.2812753296
S66x8/12-125,-172.2791820585
S66x8/12-150,-172.2761958764
S66x8/12-200,-172.2733646583
S66x8/13-A,-248.5051006371
S66x8/13-B,-115.7158283107
S66x8/13-090,-364.2275639275
S66x8/13-095,-364.2283956187
S66x8/13-100,-364.2287399731
S66x8/13-105,-364.2286816124
S66x8/13-110,-364.2283311935
S66x8/13-125,-364.2270025606
S66x8/13-150,-364.2249903046
S66x8/13-200,-364.2228928237
S66x8/14-A,-248.5047967798
S66x8/14-B,-95.8414770746
S66x8/14-090,-344.3545016972
S66x8/14-095,-344.3554601206
S66x8/14-100,-344.3557827975
S66x8/14-105,-344.3556895989
S66x8/14-110,-344.355310755
S66x8/14-125,-344.3536865689
S66x8/14-150,-344.351150069
S66x8/14-200,-344.348464555
S66x8/15-A,-248.5050530601
S66x8/15-B,-248.5052376742
S66x8/15-090,-497.0200856713
S66x8/15-095,-497.0210508348
S66x8/15-100,-497.0213742885
S66x8/15-105,-497.0212387112
S66x8/15-110,-497.0207834026
S66x8/15-125,-497.0190529234
S66x8/15-150,-497.0162367736
S66x8/15-200,-497.012868322
S66x8/16-A,-248.5053098908
S66x8/16-B,-76.4303384453
S66x8/16-090,-324.9421422579
S66x8/16-095,-324.9428024536
S66x8/16-100,-324.9429609831
S66x8/16-105,-324.9427667913
S66x8/16-110,-324.9425196031
S66x8/16-125,-324.9412784147
S66x8/16-150,-324.9394125905
S66x8/16-200,-324.9375082831
S66x8/17-A,-414.8179648615
S66x8/17-B,-414.818160477
S66x8/17-090,-829.6589818635
S66x8/17-095,-829.6606803745
S66x8/17-100,-829.6610138571
S66x8/17-105,-829.6604976136
S66x8/17-110,-829.659442017
S66x8/17-125,-829.6550055638
S66x8/17-150,-829.6481791789
S66x8/17-200,-829.6410896509
S66x8/18-A,-76.4304004867
S66x8/18-B,-248.2541558798
S66x8/18-090,-324.6933341541
S66x8/18-095,-324.6939926054
S66x8/18-100,-324.6940545956
S66x8/18-105,-324.6937471411
S66x8/18-110,-324.6932646966
S66x8/18-125,-324.6913204804
S66x8/18-150,-324.6885709714
S66x8/18-200,-324.6859536072
S66x8/19-A,-115.7154887644
S66x8/19-B,-248.2541494508
S66x8/19-090,-363.9784493137
S66x8/19-095,-363.9793541584
S66x8/19-100,-363.9796097814
S66x8/19-105,-363.9794228246
S66x8/19-110,-363.9787572527
S66x8/19-125,-363.9771726082
S66x8/19-150,-363.9740322101
S66x8/19-200,-363.9712409618
S66x8/20-A,-229.0847655938
S66x8/20-B,-229.0847622145
S66x8/20-090,-458.1975834388
S66x8/20-095,-458.1992458193
S66x8/20-100,-458.1993990977
S66x8/20-105,-458.1985501068
S66x8/20-110,-458.1971266028
S66x8/20-125,-458.1917523197
S66x8/20-150,-458.1833704763
S66x8/20-200,-458.1750946189
S66x8/21-A,-209.2061433254
S66x8/21-B,-209.2061473972
S66x8/21-090,-418.4345680153
S66x8/21-095,-418.4361272848
S66x8/21-100,-418.4364172405
S66x8/21-105,-418.4358843189
S66x8/21-110,-418.4348546253
S66x8/21-125,-418.4306760007
S66x8/21-150,-418.4241570355
S66x8/21-200,-418.4170281599
S66x8/22-A,-229.0846871515
S66x8/22-B,-414.8179135212
S66x8/22-090,-643.9303215689
S66x8/22-095,-643.9320447703
S66x8/22-100,-643.9323076333
S66x8/22-105,-643.9316268305
S66x8/22-110,-643.9303773384
S66x8/22-125,-643.9252304263
S66x8/22-150,-643.9172781522
S66x8/22-200,-643.9089949899
S66x8/23-A,-209.2060730019
S66x8/23-B,-414.8176380547
S66x8/23-090,-624.0503817592
S66x8/23-095,-624.052071937
S66x8/23-100,-624.0524366746
S66x8/23-105,-624.0519223319
S66x8/23-110,-624.0508793102
S66x8/23-125,-624.0463444612
S66x8/23-150,-624.0390001867
S66x8/23-200,-624.0309551838
S66x8/24-A,-232.2148656813
S66x8/24-B,-232.2147495392
S66x8/24-090,-464.4234183963
S66x8/24-095,-464.42716694
S66x8/24-100,-464.4290958054
S66x8/24-105,-464.4297253279
S66x8/24-110,-464.4295403964
S66x8/24-125,-464.4294185706
S66x8/24-150,-464.4295451964
S66x8/24-200,-464.4295027076
S66x8/25-A,-248.2540516582
S66x8/25-B,-248.2540972465
S66x8/25-090,-496.5039645489
S66x8/25-095,-496.5076080499
S66x8/25-100,-496.5089120459
S66x8/25-105,-496.5100276883
S66x8/25-110,-496.5098315859
S66x8/25-125,-496.50935874
S66x8/25-150,-496.5087301723
S66x8/25-200,-496.5083513747
S66x8/26-A,-414.8187501041
S66x8/26-B,-414.8187501035
S66x8/26-090,-829.6420457495
S66x8/26-095,-829.6450986885
S66x8/26-100,-829.6463185606
S66x8/26-105,-829.6464942812
S66x8/26-110,-829.6456775724
S66x8/26-125,-829.6435729138
S66x8/26-150,-829.6407077973
S66x8/26-200,-829.6387288382
S66x8/27-A,-232.2148271766
S66x8/27-B,-248.2541287163
S66x8/27-090,-480.4635985952
S66x8/27-095,-480.4673893752
S66x8/27-100,-480.4694531076
S66x8/27-105,-480.4697791137
S66x8/27-110,-480.4698112514
S66x8/27-125,-480.4694127913
S66x8/27-150,-480.4691229675
S66x8/27-200,-480.4689284536
S66x8/28-A,-232.2145586528
S66x8/28-B,-414.8194634044
S66x8/28-090,-647.0329319246
S66x8/28-095,-647.0360239978
S66x8/28-100,-647.0380389624
S66x8/28-105,-647.0374084675
S66x8/28-110,-647.0373857327
S66x8/28-125,-647.0358064387
S66x8/28-150,-647.0350104581
S66x8/28-200,-647.0341435825
S66x8/29-A,-248.253994222
S66x8/29-B,-414.8195310695
S66x8/29-090,-663.0722612273
S66x8/29-095,-663.0769111523
S66x8/29-100,-663.0785854471
S66x8/29-105,-663.0783802499
S66x8/29-110,-663.0789059434
S66x8/29-125,-663.0767507614
S66x8/29-150,-663.0749299045
S66x8/29-200,-663.0738828904
S66x8/30-A,-232.2148044177
S66x8/30-B,-78.5678614981
S66x8/30-090,-310.7794708111
S66x8/30-095,-310.7813793707
S66x8/30-100,-310.7821321082
S66x8/30-105,-310.782334845
S66x8/30-110,-310.782772607
S66x8/30-125,-310.782661787
S66x8/30-150,-310.7824369239
S66x8/30-200,-310.7825630613
S66x8/31-A,-414.8195328663
S66x8/31-B,-78.5677393248
S66x8/31-090,-493.3876792556
S66x8/31-095,-493.389194074
S66x8/31-100,-493.3895394102
S66x8/31-105,-493.3896006119
S66x8/31-110,-493.389800528
S66x8/31-125,-493.3889822947
S66x8/31-150,-493.3881415553
S66x8/31-200,-493.3874440104
S66x8/32-A,-414.8196756727
S66x8/32-B,-77.3143068744
S66x8/32-090,-492.1346431993
S66x8/32-095,-492.1363600273
S66x8/32-100,-492.1368844905
S66x8/32-105,-492.1367481537
S66x8/32-110,-492.1367563366
S66x8/32-125,-492.1357606483
S66x8/32-150,-492.1347420165
S66x8/32-200,-492.1338684784
S66x8/33-A,-248.2541844481
S66x8/33-B,-78.5678472449
S66x8/33-090,-326.8200259867
S66x8/33-095,-326.8212642046
S66x8/33-100,-326.8220139122
S66x8/33-105,-326.822584675
S66x8/33-110,-326.8223943548
S66x8/33-125,-326.8222149366
S66x8/33-150,-326.8221051414
S66x8/33-200,-326.8219662793
S66x8/34-A,-197.7199144629
S66x8/34-B,-197.720088493
S66x8/34-090,-395.4402486131
S66x8/34-095,-395.441458113
S66x8/34-100,-395.4416011404
S66x8/34-105,-395.4422466237
S66x8/34-110,-395.4421847817
S66x8/34-125,-395.4421008188
S66x8/34-150,-395.4405476526
S66x8/34-200,-395.4403103311
S66x8/35-A,-197.7199806868
S66x8/35-B,-197.7236069597
S66x8/35-090,-395.442228901
S66x8/35-095,-395.4441061045
S66x8/35-100,-395.4444555788
S66x8/35-105,0
S66x8/35-110,-395.4447890804
S66x8/35-125,-395.4445381631
S66x8/35-150,-395.4438516802
S66x8/35-200,-395.4436379104
S66x8/36-A,-197.7235772168
S66x8/36-B,-197.7235220584
S66x8/36-090,-395.445895616
S66x8/36-095,-395.4467059048
S66x8/36-100,-395.4469694051
S66x8/36-105,-395.4475068264
S66x8/36-110,-395.4473518671
S66x8/36-125,-395.4473152729
S66x8/36-150,-395.4470061128
S66x8/36-200,-395.4469072488
S66x8/37-A,-196.5178444161
S66x8/37-B,-197.7237001235
S66x8/37-090,-394.2395496131
S66x8/37-095,-394.2412306858
S66x8/37-100,-394.2418179563
S66x8/37-105,-394.2418849154
S66x8/37-110,-394.2421850137
S66x8/37-125,-394.2420259707
S66x8/37-150,-394.2416661181
S66x8/37-200,-394.2413362353
S66x8/38-A,-196.5178467613
S66x8/38-B,-196.5178576571
S66x8/38-090,-393.0338457751
S66x8/38-095,-393.0356945471
S66x8/38-100,-393.0361965249
S66x8/38-105,-393.0362981903
S66x8/38-110,-393.0370525828
S66x8/38-125,-393.0367464799
S66x8/38-150,-393.0359512107
S66x8/38-200,-393.0357299455
S66x8/39-A,-232.2147664859
S66x8/39-B,-196.5178311743
S66x8/39-090,-428.731115401
S66x8/39-095,-428.7333418931
S66x8/39-100,-428.7345112127
S66x8/39-105,-428.7345906108
S66x8/39-110,-428.7342730397
S66x8/39-125,-428.7334334839
S66x8/39-150,-428.7331818116
S66x8/39-200,0
S66x8/40-A,-232.2147332953
S66x8/40-B,-197.7233408743
S66x8/40-090,-429.9369496144
S66x8/40-095,-429.9387189153
S66x8/40-100,-429.9398154579
S66x8/40-105,-429.939576723
S66x8/40-110,-429.9397787334
S66x8/40-125,-429.9394187628
S66x8/40-150,-429.9387986896
S66x8/40-200,-429.9384216379
S66x8/41-A,-414.8194135344
S66x8/41-B,-197.720036615
S66x8/41-090,-612.5401391953
S66x8/41-095,-612.5420455125
S66x8/41-100,-612.5420761809
S66x8/41-105,-612.5423012157
S66x8/41-110,-612.5426091595
S66x8/41-125,-612.5414403215
S66x8/41-150,-612.5398553292
S66x8/41-200,-612.5394525364
S66x8/42-A,-414.8194180068
S66x8/42-B,-196.5177967954
S66x8/42-090,-611.3361463772
S66x8/42-095,-611.3385894704
S66x8/42-100,-611.3389785576
S66x8/42-105,-611.3391883745
S66x8/42-110,-611.3394531194
S66x8/42-125,-611.3386746475
S66x8/42-150,-611.3376648618
S66x8/42-200,-611.3372369388
S66x8/43-A,-414.8195409866
S66x8/43-B,-197.7237263584
S66x8/43-090,-612.542582787
S66x8/43-095,-612.5442636392
S66x8/43-100,-612.5448229247
S66x8/43-105,-612.544897194
S66x8/43-110,-612.5449964277
S66x8/43-125,-612.5441770059
S66x8/43-150,-612.5434163827
S66x8/43-200,-612.5428653517
S66x8/44-A,-78.5678478157
S66x8/44-B,-197.7198823739
S66x8/44-090,-276.2883406835
S66x8/44-095,-276.2887901589
S66x8/44-100,-276.2888233435
S66x8/44-105,-276.2894031429
S66x8/44-110,-276.2889071118
S66x8/44-125,-276.2887695984
S66x8/44-150,-276.2882519915
S66x8/44-200,-276.2880005778
S66x8/45-A,-77.3143452689
S66x8/45-B,-197.7201027618
S66x8/45-090,-275.0334447989
S66x8/45-095,-275.0343986082
S66x8/45-100,-275.03497842
S66x8/45-105,-275.0351597402
S66x8/45-110,-275.0350233399
S66x8/45-125,-275.0349105968
S66x8/45-150,-275.0344535185
S66x8/45-200,-275.0341872479
S66x8/46-A,-248.5053995478
S66x8/46-B,-197.7200657904
S66x8/46-090,-446.2275387351
S66x8/46-095,-446.2280507606
S66x8/46-100,-446.2283653047
S66x8/46-105,-446.2288006603
S66x8/46-110,-446.2282805727
S66x8/46-125,-446.2275851946
S66x8/46-150,-446.2261899633
S66x8/46-200,-446.225602157
S66x8/47-A,-232.2147090777
S66x8/47-B,-232.2144549003
S66x8/47-090,-464.4285849229
S66x8/47-095,-464.4303200887
S66x8/47-100,-464.4309687219
S66x8/47-105,-464.4315600018
S66x8/47-110,-464.4312394232
S66x8/47-125,-464.4307131306
S66x8/47-150,-464.4301177325
S66x8/47-200,-464.4296446353
S66x8/48-A,-248.2540372595
S66x8/48-B,-248.2539431336
S66x8/48-090,-496.5085830704
S66x8/48-095,-496.5099715071
S66x8/48-100,-496.5107780224
S66x8/48-105,-496.5109807493
S66x8/48-110,-496.5106864729
S66x8/48-125,-496.5100756715
S66x8/48-150,-496.5092294228
S66x8/48-200,-496.5085204028
S66x8/49-A,-232.2147013642
S66x8/49-B,-248.25405752
S66x8/49-090,-480.4687076789
S66x8/49-095,-480.4706171241
S66x8/49-100,-480.4711098586
S66x8/49-105,-480.4716061551
S66x8/49-110,-480.4714172926
S66x8/49-125,-480.4706735873
S66x8/49-150,-480.4697672587
S66x8/49-200,-480.4691636955
S66x8/50-A,-232.2146947511
S66x8/50-B,-77.3143944888
S66x8/50-090,-309.5302695272
S66x8/50-095,-309.5314873502
S66x8/50-100,-309.5320593107
S66x8/50-105,-309.5315999149
S66x8/50-110,-309.5318002419
S66x8/50-125,-309.5309866349
S66x8/50-150,-309.5298386114
S66x8/50-200,-309.5290572989
S66x8/51-A,-77.3143608451
S66x8/51-B,-77.3144227759
S66x8/51-090,-154.6297924055
S66x8/51-095,-154.6302467684
S66x8/51-100,-154.6304885964
S66x8/51-105,-154.6304528972
S66x8/51-110,-154.630340894
S66x8/51-125,-154.6299036666
S66x8/51-150,-154.6293546261
S66x8/51-200,-154.6288836263
S66x8/52-A,-232.2146989425
S66x8/52-B,-229.0868567847
S66x8/52-090,-461.3053612555
S66x8/52-095,-461.3064369075
S66x8/52-100,-461.3067752683
S66x8/52-105,-461.3066190396
S66x8/52-110,-461.3063884715
S66x8/52-125,-461.3051342404
S66x8/52-150,-461.3035687846
S66x8/52-200,-461.3022124603
S66x8/53-A,-232.214725732
S66x8/53-B,-209.2073008108
S66x8/53-090,-441.4252683126
S66x8/53-095,-441.4263978352
S66x8/53-100,-441.4268423244
S66x8/53-105,-441.4266988148
S66x8/53-110,-441.4264043204
S66x8/53-125,-441.4256055924
S66x8/53-150,-441.4240341464
S66x8/53-200,-441.4225388775
S66x8/54-A,-232.2146584768
S66x8/54-B,-76.4302817282
S66x8/54-090,-308.6485020461
S66x8/54-095,-308.649161127
S66x8/54-100,-308.6492448835
S66x8/54-105,-308.6491834764
S66x8/54-110,-308.6488538188
S66x8/54-125,-308.6478637289
S66x8/54-150,-308.6466167194
S66x8/54-200,-308.6455479515
S66x8/55-A,-232.2146095151
S66x8/55-B,-115.7158852276
S66x8/55-090,-347.9337100198
S66x8/55-095,-347.9349498459
S66x8/55-100,-347.9351162849
S66x8/55-105,-347.9350666712
S66x8/55-110,-347.9350800639
S66x8/55-125,-347.933912522
S66x8/55-150,-347.9323999091
S66x8/55-200,-347.9312479835
S66x8/56-A,-232.2147062338
S66x8/56-B,-95.8415949477
S66x8/56-090,-328.0574200759
S66x8/56-095,-328.0587437459
S66x8/56-100,-328.0592072201
S66x8/56-105,-328.0590602574
S66x8/56-110,-328.059061174
S66x8/56-125,-328.0582219062
S66x8/56-150,-328.0572510216
S66x8/56-200,-328.05657896
S66x8/57-A,-232.2146024086
S66x8/57-B,-248.5053533936
S66x8/57-090,-480.7219229612
S66x8/57-095,-480.7244111309
S66x8/57-100,-480.7250660818
S66x8/57-105,-480.7249511721
S66x8/57-110,-480.724983095
S66x8/57-125,-480.7235691669
S66x8/57-150,-480.7220937157
S66x8/57-200,-480.7207666961
S66x8/58-A,-248.2539829149
S66x8/58-B,-248.2538983985
S66x8/58-090,-496.5094779715
S66x8/58-095,-496.511309425
S66x8/58-100,-496.5121042827
S66x8/58-105,-496.5120961982
S66x8/58-110,-496.5116207475
S66x8/58-125,-496.5103509769
S66x8/58-150,-496.5091099358
S66x8/58-200,-496.5082499519
S66x8/59-A,-77.3144403278
S66x8/59-B,-76.430338208
S66x8/59-090,-153.7487294338
S66x8/59-095,-153.7491255631
S66x8/59-100,-153.7491976929
S66x8/59-105,-153.7491154561
S66x8/59-110,-153.7488365207
S66x8/59-125,-153.747958227
S66x8/59-150,-153.7467526497
S66x8/59-200,-153.7456030889
S66x8/60-A,-77.3143049943
S66x8/60-B,-229.0868190564
S66x8/60-090,-306.4069982273
S66x8/60-095,-306.4077860298
S66x8/60-100,-306.4078059544
S66x8/60-105,-306.4075927809
S66x8/60-110,-306.4072256956
S66x8/60-125,-306.4055345698
S66x8/60-150,-306.4034706531
S66x8/60-200,-306.4017585807
S66x8/61-A,-197.7200217643
S66x8/61-B,-229.0869643668
S66x8/61-090,-426.8077319473
S66x8/61-095,-426.8083296086
S66x8/61-100,-426.8087682273
S66x8/61-105,-426.8089019808
S66x8/61-110,-426.8085365059
S66x8/61-125,-426.8085636886
S66x8/61-150,-426.8074574402
S66x8/61-200,-426.8070795104
S66x8/62-A,-197.7200562745
S66x8/62-B,-209.2073754414
S66x8/62-090,-406.9288110984
S66x8/62-095,-406.9293984415
S66x8/62-100,-406.9300471573
S66x8/62-105,-406.9300534851
S66x8/62-110,-406.9294413286
S66x8/62-125,-406.9291448858
S66x8/62-150,-406.9280850922
S66x8/62-200,-406.9276058135
S66x8/63-A,-232.2147997824
S66x8/63-B,-229.0868731608
S66x8/63-090,-461.3024312397
S66x8/63-095,-461.3040319528
S66x8/63-100,-461.3048221203
S66x8/63-105,-461.3047118568
S66x8/63-110,-461.3043687415
S66x8/63-125,-461.3033589894
S66x8/63-150,-461.3026684522
S66x8/63-200,-461.3018286602
S66x8/64-A,-248.5053681193
S66x8/64-B,-78.5678765407
S66x8/64-090,-327.0745529067
S66x8/64-095,-327.0752999901
S66x8/64-100,-327.0754835891
S66x8/64-105,-327.0756966581
S66x8/64-110,-327.0757218519
S66x8/64-125,-327.0750443139
S66x8/64-150,-327.0741102474
S66x8/64-200,-327.0733366138
S66x8/65-A,-248.2541422472
S66x8/65-B,-77.3136644001
S66x8/65-090,-325.5729084612
S66x8/65-095,-325.5735166845
S66x8/65-100,-325.5736905707
S66x8/65-105,-325.5735992554
S66x8/65-110,-325.5733210386
S66x8/65-125,-325.572233453
S66x8/65-150,-325.5707407787
S66x8/65-200,-325.5693811935
S66x8/66-A,-95.8416427325
S66x8/66-B,-248.2541073468
S66x8/66-090,-344.0977083636
S66x8/66-095,-344.0985339901
S66x8/66-100,-344.0989035179
S66x8/66-105,-344.0990147286
S66x8/66-110,-344.0989224042
S66x8/66-125,-344.0981867034
