system,TPSS0/def2-QZVP/ORCA
S66x8/01-090,-152.9113801853
S66x8/01-095,-152.9117477459
S66x8/01-100,-152.9116883948
S66x8/01-105,-152.9113772491
S66x8/01-110,-152.9109427715
S66x8/01-125,-152.9094627575
S66x8/01-150,-152.9075038631
S66x8/01-200,-152.9055575901
S66x8/02-A,-76.4521214347
S66x8/02-B,-115.764938882
S66x8/02-090,-192.2242490426
S66x8/02-095,-192.2247688766
S66x8/02-100,-192.2247956083
S66x8/02-105,-192.2245255338
S66x8/02-110,-192.2240946433
S66x8/02-125,-192.2225604001
S66x8/02-150,-192.2204775
S66x8/02-200,-192.2184139447
S66x8/03-A,-76.4521287773
S66x8/03-B,-95.8956730637
S66x8/03-090,-172.3578667491
S66x8/03-095,-172.3583395284
S66x8/03-100,-172.358238331
S66x8/03-105,-172.3577920545
S66x8/03-110,-172.3571605127
S66x8/03-125,-172.3549743005
S66x8/03-150,-172.3520848061
S66x8/03-200,-172.349350807
S66x8/04-A,-76.4521279936
S66x8/04-B,-248.6110925997
S66x8/04-090,-325.0735772619
S66x8/04-095,-325.0741713882
S66x8/04-100,-325.0741850117
S66x8/04-105,-325.0738528479
S66x8/04-110,-325.0733163437
S66x8/04-125,-325.0713126838
S66x8/04-150,-325.0684953402
S66x8/04-200,-325.0652026177
S66x8/05-A,-115.7648329727
S66x8/05-B,-115.7649516613
S66x8/05-090,-231.5367631937
S66x8/05-095,-231.537412356
S66x8/05-100,-231.5375311726
S66x8/05-105,-231.5373303105
S66x8/05-110,-231.5369454638
S66x8/05-125,-231.5354725039
S66x8/05-150,-231.533388454
S66x8/05-200,-231.5312887826
S66x8/06-A,-115.764576574
S66x8/06-B,-95.8956700888
S66x8/06-090,-211.6698340544
S66x8/06-095,-211.6706717627
S66x8/06-100,-211.6708359667
S66x8/06-105,-211.6705673748
S66x8/06-110,-211.6700393294
S66x8/06-125,-211.6679635664
S66x8/06-150,-211.6650073613
S66x8/06-200,-211.6621396715
S66x8/07-A,-115.7646794505
S66x8/07-B,-248.6107957252
S66x8/07-090,-364.3854536957
S66x8/07-095,-364.3862330674
S66x8/07-100,-364.3863672904
S66x8/07-105,-364.3861124865
S66x8/07-110,-364.3856267645
S66x8/07-125,-364.383697033
S66x8/07-150,-364.3805032003
S66x8/07-200,-364.3770943653
S66x8/08-A,-115.764866284
S66x8/08-B,-76.4520981368
S66x8/08-090,-192.2238758653
S66x8/08-095,-192.2243607428
S66x8/08-100,-192.2243884338
S66x8/08-105,-192.2241405132
S66x8/08-110,-192.2237461879
S66x8/08-125,-192.2223292292
S66x8/08-150,-192.2203868724
S66x8/08-200,-192.2184332687
S66x8/09-A,-95.8956146708
S66x8/09-B,-115.7649659873
S66x8/09-090,-211.6627722871
S66x8/09-095,-211.6633566107
S66x8/09-100,-211.6635955349
S66x8/09-105,-211.6636262396
S66x8/09-110,-211.6635198709
S66x8/09-125,-211.6629459602
S66x8/09-150,-211.6620356713
S66x8/09-200,-211.6611555923
S66x8/10-A,-95.8956065296
S66x8/10-B,-95.8956489622
S66x8/10-090,-191.7940286751
S66x8/10-095,-191.7948821523
S66x8/10-100,-191.795240179
S66x8/10-105,-191.795267029
S66x8/10-110,-191.7951234902
S66x8/10-125,-191.7943712239
S66x8/10-150,-191.7929037513
S66x8/10-200,-191.7917886665
S66x8/11-A,-95.8954245341
S66x8/11-B,-248.6109302312
S66x8/11-090,-344.5096503056
S66x8/11-095,-344.5106144475
S66x8/11-100,-344.5110629212
S66x8/11-105,-344.5111902056
S66x8/11-110,-344.5111114986
S66x8/11-125,-344.5099320733
S66x8/11-150,-344.5082214918
S66x8/11-200,-344.5071175366
S66x8/12-A,-95.8956376189
S66x8/12-B,-76.4516288405
S66x8/12-090,-172.3574177662
S66x8/12-095,-172.3580992048
S66x8/12-100,-172.3581353509
S66x8/12-105,-172.3577760028
S66x8/12-110,-172.3571956159
S66x8/12-125,-172.3550578914
S66x8/12-150,-172.352144266
S66x8/12-200,-172.3493513779
S66x8/13-A,-248.6107948411
S66x8/13-B,-115.7649693482
S66x8/13-090,-364.3813666697
S66x8/13-095,-364.3822496294
S66x8/13-100,-364.3825998024
S66x8/13-105,-364.3826079634
S66x8/13-110,-364.3824115511
S66x8/13-125,-364.3813836813
S66x8/13-150,-364.3796509978
S66x8/13-200,-364.3776317513
S66x8/14-A,-248.6105432018
S66x8/14-B,-95.8956257904
S66x8/14-090,-344.5137520558
S66x8/14-095,-344.514767768
S66x8/14-100,-344.5151227031
S66x8/14-105,-344.5150564805
S66x8/14-110,-344.5147397267
S66x8/14-125,-344.5132337157
S66x8/14-150,-344.5108624749
S66x8/14-200,-344.5082930883
S66x8/15-A,-248.610914714
S66x8/15-B,-248.6110480227
S66x8/15-090,-497.2301383483
S66x8/15-095,-497.2311650967
S66x8/15-100,-497.2315577789
S66x8/15-105,-497.2315374708
S66x8/15-110,-497.2312628925
S66x8/15-125,-497.2298731499
S66x8/15-150,-497.2275393041
S66x8/15-200,-497.2244324018
S66x8/16-A,-248.6111158353
S66x8/16-B,-76.4521022762
S66x8/16-090,-325.0692523702
S66x8/16-095,-325.0698725003
S66x8/16-100,-325.0700368177
S66x8/16-105,-325.0699287904
S66x8/16-110,-325.069677562
S66x8/16-125,-325.0685847046
S66x8/16-150,-325.0668832023
S66x8/16-200,-325.0650001885
S66x8/17-A,-414.9482473408
S66x8/17-B,-414.948425097
S66x8/17-090,-829.9194004188
S66x8/17-095,-829.9210229655
S66x8/17-100,-829.9212563892
S66x8/17-105,-829.9206200345
S66x8/17-110,-829.9194758769
S66x8/17-125,-829.9149693232
S66x8/17-150,-829.9083561889
S66x8/17-200,-829.9015477555
S66x8/18-A,-76.4521237794
S66x8/18-B,-248.3638226899
S66x8/18-090,-324.8253700057
S66x8/18-095,-324.8259146105
S66x8/18-100,-324.8258752981
S66x8/18-105,-324.8254833387
S66x8/18-110,-324.8249024
S66x8/18-125,-324.8228499774
S66x8/18-150,-324.820119812
S66x8/18-200,-324.8175042848
S66x8/19-A,-115.7645900826
S66x8/19-B,-248.3638168802
S66x8/19-090,-364.1375401839
S66x8/19-095,-364.1383636872
S66x8/19-100,-364.138519394
S66x8/19-105,-364.1382586595
S66x8/19-110,-364.1377049941
S66x8/19-125,-364.1357781709
S66x8/19-150,-364.1328864557
S66x8/19-200,-364.1300969239
S66x8/20-A,-229.1606003056
S66x8/20-B,-229.1605992366
S66x8/20-090,-458.3494157345
S66x8/20-095,-458.3510602915
S66x8/20-100,-458.3510965393
S66x8/20-105,-458.3501255504
S66x8/20-110,-458.3485685449
S66x8/20-125,-458.3428608452
S66x8/20-150,-458.3346589699
S66x8/20-200,-458.3266416095
S66x8/21-A,-209.2870754609
S66x8/21-B,-209.2870787434
S66x8/21-090,-418.5963323892
S66x8/21-095,-418.5977880624
S66x8/21-100,-418.5979395241
S66x8/21-105,-418.5972952556
S66x8/21-110,-418.5961802476
S66x8/21-125,-418.5919160353
S66x8/21-150,-418.5857612431
S66x8/21-200,-418.5787819991
S66x8/22-A,-229.1605389151
S66x8/22-B,-414.9481619146
S66x8/22-090,-644.1363402353
S66x8/22-095,-644.1380037848
S66x8/22-100,-644.1381607663
S66x8/22-105,-644.1373578135
S66x8/22-110,-644.1359888918
S66x8/22-125,-644.1306875569
S66x8/22-150,-644.1229462428
S66x8/22-200,-644.1149348963
S66x8/23-A,-209.2869820692
S66x8/23-B,-414.9479808564
S66x8/23-090,-624.2614077323
S66x8/23-095,-624.2630356029
S66x8/23-100,-624.2633023261
S66x8/23-105,-624.2626939584
S66x8/23-110,-624.2615502804
S66x8/23-125,-624.2569132194
S66x8/23-150,-624.2498292186
S66x8/23-200,-624.2420463995
S66x8/24-A,-232.3277329326
S66x8/24-B,-232.3276825638
S66x8/24-090,-464.6441023623
S66x8/24-095,-464.6486829066
S66x8/24-100,-464.6513051866
S66x8/24-105,-464.652814378
S66x8/24-110,-464.6536872809
S66x8/24-125,-464.6548601828
S66x8/24-150,-464.6552137486
S66x8/24-200,-464.6553050851
S66x8/25-A,-248.3637721654
S66x8/25-B,-248.3638036034
S66x8/25-090,-496.7178295034
S66x8/25-095,-496.7222882459
S66x8/25-100,-496.7248042611
S66x8/25-105,-496.7263221311
S66x8/25-110,-496.7271360672
S66x8/25-125,-496.7280486262
S66x8/25-150,-496.7280175826
S66x8/25-200,-496.7277357655
S66x8/26-A,-414.9488881548
S66x8/26-B,-414.9488881523
S66x8/26-090,-829.8943559262
S66x8/26-095,-829.8987399109
S66x8/26-100,-829.9010881745
S66x8/26-105,-829.9022728891
S66x8/26-110,-829.9027520389
S66x8/26-125,-829.9025034994
S66x8/26-150,-829.9008290943
S66x8/26-200,-829.8989496251
S66x8/27-A,-232.3277175623
S66x8/27-B,-248.3638191733
S66x8/27-090,-480.680816038
S66x8/27-095,-480.6855428542
S66x8/27-100,-480.6882312959
S66x8/27-105,-480.6896987094
S66x8/27-110,-480.6905321778
S66x8/27-125,-480.691509462
S66x8/27-150,-480.6916327233
S66x8/27-200,-480.6915215017
S66x8/28-A,-232.327584638
S66x8/28-B,-414.9495154668
S66x8/28-090,-647.2683205011
S66x8/28-095,-647.2726540771
S66x8/28-100,-647.2752382081
S66x8/28-105,-647.2765401606
S66x8/28-110,-647.2772910224
S66x8/28-125,-647.277963024
S66x8/28-150,-647.2776412676
S66x8/28-200,-647.2771127638
S66x8/29-A,-248.3637442475
S66x8/29-B,-414.949517507
S66x8/29-090,-663.3043955817
S66x8/29-095,-663.3101349094
S66x8/29-100,-663.3130790455
S66x8/29-105,-663.314491101
S66x8/29-110,-663.3152851558
S66x8/29-125,-663.3155434032
S66x8/29-150,-663.3146127735
S66x8/29-200,-663.3136590687
S66x8/30-A,-232.3277067224
S66x8/30-B,-78.6182670147
S66x8/30-090,-310.9398455134
S66x8/30-095,-310.942095164
S66x8/30-100,-310.9434054632
S66x8/30-105,-310.9441887441
S66x8/30-110,-310.9447143988
S66x8/30-125,-310.9454012639
S66x8/30-150,-310.9456778963
S66x8/30-200,-310.9458488224
S66x8/31-A,-414.9495571453
S66x8/31-B,-78.6182234008
S66x8/31-090,-493.5644419825
S66x8/31-095,-493.5664163905
S66x8/31-100,-493.5675235225
S66x8/31-105,-493.5681852987
S66x8/31-110,-493.5685541274
S66x8/31-125,-493.56878248
S66x8/31-150,-493.5684215934
S66x8/31-200,-493.5679334532
S66x8/32-A,-414.9496121648
S66x8/32-B,-77.3535650177
S66x8/32-090,-492.3008338619
S66x8/32-095,-492.3028399161
S66x8/32-100,-492.303896685
S66x8/32-105,-492.3043995349
S66x8/32-110,-492.3046537511
S66x8/32-125,-492.3045445559
S66x8/32-150,-492.3038546776
S66x8/32-200,-492.303148486
S66x8/33-A,-248.3638428309
S66x8/33-B,-78.6182399376
S66x8/33-090,-326.9769905531
S66x8/33-095,-326.9789261581
S66x8/33-100,-326.9801005741
S66x8/33-105,-326.9808479742
S66x8/33-110,-326.981275381
S66x8/33-125,-326.9818546818
S66x8/33-150,-326.9820140537
S66x8/33-200,-326.9820291222
S66x8/34-A,-197.8501858312
S66x8/34-B,-197.8502293013
S66x8/34-090,-395.6939214988
S66x8/34-095,-395.6965748454
S66x8/34-100,-395.6982126543
S66x8/34-105,-395.6993028119
S66x8/34-110,-395.6999845472
S66x8/34-125,-395.7009120585
S66x8/34-150,-395.7008873854
S66x8/34-200,-395.7006921406
S66x8/35-A,-197.8502050615
S66x8/35-B,-197.8521362
S66x8/35-090,-395.6974618287
S66x8/35-095,-395.6996408735
S66x8/35-100,-395.7008727325
S66x8/35-105,-395.7016307052
S66x8/35-110,-395.7020585499
S66x8/35-125,-395.7025797289
S66x8/35-150,-395.7025327533
S66x8/35-200,-395.7023962293
S66x8/36-A,-197.8521195323
S66x8/36-B,-197.8521201412
S66x8/36-090,-395.701052225
S66x8/36-095,-395.7022552707
S66x8/36-100,-395.7030057929
S66x8/36-105,-395.7035318664
S66x8/36-110,-395.7037976092
S66x8/36-125,-395.7041409993
S66x8/36-150,-395.7041291925
S66x8/36-200,-395.7040305689
S66x8/37-A,-196.6353572318
S66x8/37-B,-197.8520649185
S66x8/37-090,-394.4822920834
S66x8/37-095,-394.4844489977
S66x8/37-100,-394.4857034765
S66x8/37-105,-394.4864403216
S66x8/37-110,-394.486955627
S66x8/37-125,-394.4875312702
S66x8/37-150,-394.4875666118
S66x8/37-200,-394.4874270572
S66x8/38-A,-196.635314303
S66x8/38-B,-196.6353249646
S66x8/38-090,-393.2654221221
S66x8/38-095,-393.2674738265
S66x8/38-100,-393.2688445316
S66x8/38-105,-393.2696721143
S66x8/38-110,-393.2702834767
S66x8/38-125,-393.2708613652
S66x8/38-150,-393.2708027794
S66x8/38-200,-393.2706403698
S66x8/39-A,-232.3276899655
S66x8/39-B,-196.6352942834
S66x8/39-090,-428.9564305825
S66x8/39-095,-428.9593657657
S66x8/39-100,-428.9611478335
S66x8/39-105,-428.9621830098
S66x8/39-110,-428.9627528445
S66x8/39-125,-428.9633463882
S66x8/39-150,-428.9632914501
S66x8/39-200,-428.9630286065
S66x8/40-A,-232.3276748421
S66x8/40-B,-197.8520307514
S66x8/40-090,-430.1748877136
S66x8/40-095,-430.1772177957
S66x8/40-100,-430.1785769586
S66x8/40-105,-430.1793045034
S66x8/40-110,-430.1797713186
S66x8/40-125,-430.1802054745
S66x8/40-150,-430.1800732752
S66x8/40-200,-430.1798483567
S66x8/41-A,-414.949515624
S66x8/41-B,-197.8502745886
S66x8/41-090,-612.7930675757
S66x8/41-095,-612.7959816433
S66x8/41-100,-612.7977304416
S66x8/41-105,-612.7988591042
S66x8/41-110,-612.7997055442
S66x8/41-125,-612.8003591501
S66x8/41-150,-612.8000791497
S66x8/41-200,-612.7997961788
S66x8/42-A,-414.9495139289
S66x8/42-B,-196.6352987235
S66x8/42-090,-611.5779563475
S66x8/42-095,-611.5810163375
S66x8/42-100,-611.5827615449
S66x8/42-105,-611.5838243126
S66x8/42-110,-611.5845093244
S66x8/42-125,-611.585199498
S66x8/42-150,-611.5850976395
S66x8/42-200,-611.5848466307
S66x8/43-A,-414.949556872
S66x8/43-B,-197.8521329751
S66x8/43-090,-612.7967838545
S66x8/43-095,-612.7991854629
S66x8/43-100,-612.8005751286
S66x8/43-105,-612.8013621739
S66x8/43-110,-612.8018277353
S66x8/43-125,-612.8021713862
S66x8/43-150,-612.8018864474
S66x8/43-200,-612.8015444601
S66x8/44-A,-78.6182616733
S66x8/44-B,-197.8501995538
S66x8/44-090,-276.4656115383
S66x8/44-095,-276.4669035229
S66x8/44-100,-276.4676723249
S66x8/44-105,-276.4682032996
S66x8/44-110,-276.468480205
S66x8/44-125,-276.468820105
S66x8/44-150,-276.4687435379
S66x8/44-200,-276.4686056898
S66x8/45-A,-77.3535892144
S66x8/45-B,-197.8502723206
S66x8/45-090,-275.2004450923
S66x8/45-095,-275.2019824079
S66x8/45-100,-275.2029189437
S66x8/45-105,-275.2034494042
S66x8/45-110,-275.2037407112
S66x8/45-125,-275.2040299143
S66x8/45-150,-275.2038805402
S66x8/45-200,-275.2036590544
S66x8/46-A,-248.611188959
S66x8/46-B,-197.8502161324
S66x8/46-090,-446.4570227207
S66x8/46-095,-446.4589069184
S66x8/46-100,-446.4601542332
S66x8/46-105,-446.4610148476
S66x8/46-110,-446.4615110739
S66x8/46-125,-446.462157666
S66x8/46-150,-446.4619792977
S66x8/46-200,-446.4615697688
S66x8/47-A,-232.3276624237
S66x8/47-B,-232.3275367915
S66x8/47-090,-464.6512318062
S66x8/47-095,-464.653541019
S66x8/47-100,-464.6547829023
S66x8/47-105,-464.6554927431
S66x8/47-110,-464.6558417262
S66x8/47-125,-464.6561059733
S66x8/47-150,-464.6558446886
S66x8/47-200,-464.6554873042
S66x8/48-A,-248.3637749169
S66x8/48-B,-248.3637169044
S66x8/48-090,-496.7249224583
S66x8/48-095,-496.7268468677
S66x8/48-100,-496.7279319869
S66x8/48-105,-496.7285379451
S66x8/48-110,-496.7288264969
S66x8/48-125,-496.728957613
S66x8/48-150,-496.7285001968
S66x8/48-200,-496.7278912334
S66x8/49-A,-232.3276594638
S66x8/49-B,-248.3637717656
S66x8/49-090,-480.6881489632
S66x8/49-095,-480.6904613884
S66x8/49-100,-480.6916653377
S66x8/49-105,-480.6923237549
S66x8/49-110,-480.6926391728
S66x8/49-125,-480.6927478681
S66x8/49-150,-480.69229924
S66x8/49-200,-480.6917601815
S66x8/50-A,-232.3276542301
S66x8/50-B,-77.3536375368
S66x8/50-090,-309.6804289908
S66x8/50-095,-309.681970446
S66x8/50-100,-309.6827160867
S66x8/50-105,-309.6830056812
S66x8/50-110,-309.6830773168
S66x8/50-125,-309.6827788684
S66x8/50-150,-309.6820579999
S66x8/50-200,-309.6813948097
S66x8/51-A,-77.353602011
S66x8/51-B,-77.3536573593
S66x8/51-090,-154.7080785633
S66x8/51-095,-154.7085791757
S66x8/51-100,-154.7087827959
S66x8/51-105,-154.7088088159
S66x8/51-110,-154.7087385323
S66x8/51-125,-154.7083623335
S66x8/51-150,-154.7078062764
S66x8/51-200,-154.7073673452
S66x8/52-A,-232.3276555071
S66x8/52-B,-229.1625834022
S66x8/52-090,-461.4916706807
S66x8/52-095,-461.493083347
S66x8/52-100,-461.4937246869
S66x8/52-105,-461.4939292389
S66x8/52-110,-461.4939024698
S66x8/52-125,-461.4932646628
S66x8/52-150,-461.4920919686
S66x8/52-200,-461.4908579442
S66x8/53-A,-232.3276667946
S66x8/53-B,-209.2880666362
S66x8/53-090,-441.6171383178
S66x8/53-095,-441.6183124018
S66x8/53-100,-441.6189021255
S66x8/53-105,-441.6191016779
S66x8/53-110,-441.6190952487
S66x8/53-125,-441.6186019657
S66x8/53-150,-441.6174893025
S66x8/53-200,-441.6162251546
S66x8/54-A,-232.3276370639
S66x8/54-B,-76.4520399844
S66x8/54-090,-308.7815070366
S66x8/54-095,-308.7824281162
S66x8/54-100,-308.7828092931
S66x8/54-105,-308.7828972502
S66x8/54-110,-308.7828148284
S66x8/54-125,-308.7822373864
S66x8/54-150,-308.7812479864
S66x8/54-200,-308.7802432645
S66x8/55-A,-232.327612805
S66x8/55-B,-115.7649261143
S66x8/55-090,-348.092754537
S66x8/55-095,-348.0942563623
S66x8/55-100,-348.0949990999
S66x8/55-105,-348.0953462211
S66x8/55-110,-348.0954801104
S66x8/55-125,-348.0951587917
S66x8/55-150,-348.0942533475
S66x8/55-200,-348.09319399
S66x8/56-A,-232.3276607267
S66x8/56-B,-95.895621459
S66x8/56-090,-328.2213604098
S66x8/56-095,-328.2229666766
S66x8/56-100,-328.2238582286
S66x8/56-105,-328.2243568058
S66x8/56-110,-328.224618651
S66x8/56-125,-328.2246341776
S66x8/56-150,-328.2241326773
S66x8/56-200,-328.2235567781
S66x8/57-A,-232.3276110573
S66x8/57-B,-248.611140855
S66x8/57-090,-480.9363289693
S66x8/57-095,-480.9392504801
S66x8/57-100,-480.9407288021
S66x8/57-105,-480.9414070733
S66x8/57-110,-480.9417252914
S66x8/57-125,-480.9415388507
S66x8/57-150,-480.9405869165
S66x8/57-200,-480.9394835359
S66x8/58-A,-248.3637362975
S66x8/58-B,-248.3636805985
S66x8/58-090,-496.7280384566
S66x8/58-095,-496.7298134754
S66x8/58-100,-496.7307489125
S66x8/58-105,-496.7308360958
S66x8/58-110,-496.730619819
S66x8/58-125,-496.729670234
S66x8/58-150,-496.7285393115
S66x8/58-200,-496.7277296414
S66x8/59-A,-77.3536782106
S66x8/59-B,-76.4520968358
S66x8/59-090,-153.8093387466
S66x8/59-095,-153.8097113281
S66x8/59-100,-153.8097743035
S66x8/59-105,-153.8096631257
S66x8/59-110,-153.8094463724
S66x8/59-125,-153.8086282767
S66x8/59-150,-153.8074601374
S66x8/59-200,-153.8063303885
S66x8/60-A,-77.3535673207
S66x8/60-B,-229.1625548919
S66x8/60-090,-306.5212517556
S66x8/60-095,-306.5220211252
S66x8/60-100,-306.522166429
S66x8/60-105,-306.5219796131
S66x8/60-110,-306.5216257611
S66x8/60-125,-306.5202404112
S66x8/60-150,-306.5184224066
S66x8/60-200,-306.5167828999
S66x8/61-A,-197.8502475292
S66x8/61-B,-229.1626616064
S66x8/61-090,-427.0100641819
S66x8/61-095,-427.011251246
S66x8/61-100,-427.0120579536
S66x8/61-105,-427.0125939432
S66x8/61-110,-427.0129223498
S66x8/61-125,-427.0133761828
S66x8/61-150,-427.0132339233
S66x8/61-200,-427.0129756574
S66x8/62-A,-197.8502740542
S66x8/62-B,-209.2881029441
S66x8/62-090,-407.1352806978
S66x8/62-095,-407.1367951484
S66x8/62-100,-407.1378131947
S66x8/62-105,-407.1384260205
S66x8/62-110,-407.1387568028
S66x8/62-125,-407.1391520705
S66x8/62-150,-407.1389139771
S66x8/62-200,-407.138506626
S66x8/63-A,-232.3277034982
S66x8/63-B,-229.1625963339
S66x8/63-090,-461.4869135681
S66x8/63-095,-461.4891781479
S66x8/63-100,-461.4904612641
S66x8/63-105,-461.4911257995
S66x8/63-110,-461.4914305165
S66x8/63-125,-461.4915426223
S66x8/63-150,-461.4910503931
S66x8/63-200,-461.4904810528
S66x8/64-A,-248.6111245178
S66x8/64-B,-78.6182996112
S66x8/64-090,-327.2282801016
S66x8/64-095,-327.2294394558
S66x8/64-100,-327.2300861677
S66x8/64-105,-327.2304608469
S66x8/64-110,-327.2306591243
S66x8/64-125,-327.2306292061
S66x8/64-150,-327.2300894526
S66x8/64-200,-327.2294970227
S66x8/65-A,-248.3638245386
S66x8/65-B,-77.353049939
S66x8/65-090,-325.7221259749
S66x8/65-095,-325.7226037557
S66x8/65-100,-325.7226797602
S66x8/65-105,-325.7225122675
S66x8/65-110,-325.7222139214
S66x8/65-125,-325.7211174575
S66x8/65-150,-325.7196270342
S66x8/65-200,-325.7182216094
S66x8/66-A,-95.8956135598
S66x8/66-B,-248.3638061933
S66x8/66-090,-344.2593024739
S66x8/66-095,-344.2604518108
S66x8/66-100,-344.261100547
S66x8/66-105,-344.2614516793
S66x8/66-110,-344.261599688
S66x8/66-125,-344.26146926
