system,revTPSS0/def2-QZVP/ORCA
S22x5/19-0.9,-614.9982622976
S22x5/19-1.0,-614.9998533314
S22x5/19-1.2,-614.9990693072
S22x5/19-1.5,-614.9969506658
S22x5/19-2.0,-614.9950592707
S22x5/20-A,-414.8405361761
S22x5/20-B,-414.840536181
S22x5/20-0.9,-829.6781909208
S22x5/20-1.0,-829.6859356423
S22x5/20-1.2,-829.6859885337
S22x5/20-1.5,-829.6835734146
S22x5/20-2.0,-829.6819527251
S22x5/21-A,-414.8397668948
S22x5/21-B,-414.8397669035
S22x5/21-0.9,-829.7064501916
S22x5/21-1.0,0
S22x5/21-1.2,-829.7041829147
S22x5/21-1.5,-829.6944880163
S22x5/21-2.0,-829.6862407227
S22x5/22-A,-232.2748962971
S22x5/22-B,-93.4240498609
S22x5/22-0.9,-325.7030158009
S22x5/22-1.0,-325.703992323
S22x5/22-1.2,-325.7033047996
S22x5/22-1.5,-325.7016513861
S22x5/22-2.0,-325.7001465382
S66x8/01-A,-76.4257807709
S66x8/01-B,-76.4257676182
S66x8/01-090,-152.8587494414
S66x8/01-095,-152.8591617495
S66x8/01-100,-152.8591173548
S66x8/01-105,-152.8588040237
S66x8/01-110,-152.8583540548
S66x8/01-125,-152.8568095618
S66x8/01-150,-152.8548081049
S66x8/01-200,-152.8528966577
S66x8/02-A,-76.4257852517
S66x8/02-B,-115.7311249717
S66x8/02-090,-192.1641160193
S66x8/02-095,-192.1646856986
S66x8/02-100,-192.1647318328
S66x8/02-105,-192.1644617571
S66x8/02-110,-192.1640184727
S66x8/02-125,-192.1624159678
S66x8/02-150,-192.1602809452
S66x8/02-200,-192.1582581595
S66x8/03-A,-76.4257881957
S66x8/03-B,-95.8689509288
S66x8/03-090,-172.3045861078
S66x8/03-095,-172.3051730494
S66x8/03-100,-172.3051530317
S66x8/03-105,-172.3047593319
S66x8/03-110,-172.304155689
S66x8/03-125,-172.3019702025
S66x8/03-150,-172.2990217524
S66x8/03-200,-172.2962985275
S66x8/04-A,-76.4257883718
S66x8/04-B,-248.5457282731
S66x8/04-090,-324.9820517234
S66x8/04-095,-324.9826948631
S66x8/04-100,-324.9827246578
S66x8/04-105,-324.9823822516
S66x8/04-110,-324.9818209874
S66x8/04-125,-324.9797077628
S66x8/04-150,-324.9767685057
S66x8/04-200,-324.9734987733
S66x8/05-A,-115.7310457935
S66x8/05-B,-115.7311383664
S66x8/05-090,-231.4691685543
S66x8/05-095,-231.4698679614
S66x8/05-100,-231.4700078838
S66x8/05-105,-231.4698072991
S66x8/05-110,-231.4694112958
S66x8/05-125,-231.4678694334
S66x8/05-150,-231.4657249412
S66x8/05-200,-231.4636594418
S66x8/06-A,-115.7308104429
S66x8/06-B,-95.8689473333
S66x8/06-090,-211.6092244545
S66x8/06-095,-211.6101444983
S66x8/06-100,-211.6103649685
S66x8/06-105,-211.6101330457
S66x8/06-110,-211.6096230241
S66x8/06-125,-211.6075326198
S66x8/06-150,-211.6045012288
S66x8/06-200,-211.6016291128
S66x8/07-A,-115.7309161868
S66x8/07-B,-248.5454791024
S66x8/07-090,-364.2865354084
S66x8/07-095,-364.2873671535
S66x8/07-100,-364.2875239312
S66x8/07-105,-364.2872641111
S66x8/07-110,-364.2867562804
S66x8/07-125,-364.2847150646
S66x8/07-150,-364.28136986
S66x8/07-200,-364.2779888441
S66x8/08-A,-115.7310756596
S66x8/08-B,-76.4257708185
S66x8/08-090,-192.1637918341
S66x8/08-095,-192.1643201736
S66x8/08-100,-192.1643613978
S66x8/08-105,-192.1641096355
S66x8/08-110,-192.1637000151
S66x8/08-125,-192.1622135086
S66x8/08-150,-192.1602185657
S66x8/08-200,-192.1582935308
S66x8/09-A,-95.8688933288
S66x8/09-B,-115.7311544152
S66x8/09-090,-211.6024410225
S66x8/09-095,-211.6029926905
S66x8/09-100,-211.6031867295
S66x8/09-105,-211.6031748342
S66x8/09-110,-211.6030330739
S66x8/09-125,-211.6023899393
S66x8/09-150,-211.601475015
S66x8/09-200,-211.6006277183
S66x8/10-A,-95.8689007223
S66x8/10-B,-95.8689355264
S66x8/10-090,-191.7410090759
S66x8/10-095,-191.7418199277
S66x8/10-100,-191.7421135703
S66x8/10-105,-191.7420770064
S66x8/10-110,-191.7418714244
S66x8/10-125,-191.7409710404
S66x8/10-150,-191.7394420141
S66x8/10-200,-191.7383624467
S66x8/11-A,-95.8687630535
S66x8/11-B,-248.5456216966
S66x8/11-090,-344.4183271533
S66x8/11-095,-344.4192041677
S66x8/11-100,-344.4195472288
S66x8/11-105,-344.4195658014
S66x8/11-110,-344.4193875045
S66x8/11-125,-344.4179160816
S66x8/11-150,-344.4161685527
S66x8/11-200,-344.4151029244
S66x8/12-A,-95.8689121612
S66x8/12-B,-76.4253596868
S66x8/12-090,-172.3042679811
S66x8/12-095,-172.3050349459
S66x8/12-100,-172.3051284704
S66x8/12-105,-172.3048032536
S66x8/12-110,-172.3042362355
S66x8/12-125,-172.3020694732
S66x8/12-150,-172.2990779612
S66x8/12-200,-172.2962955244
S66x8/13-A,-248.5455107795
S66x8/13-B,-115.7311506492
S66x8/13-090,-364.2825788589
S66x8/13-095,-364.2834490997
S66x8/13-100,-364.2837597894
S66x8/13-105,-364.2837186024
S66x8/13-110,-364.2834678372
S66x8/13-125,-364.2822914662
S66x8/13-150,-364.2804732007
S66x8/13-200,-364.2784970259
S66x8/14-A,-248.5452801583
S66x8/14-B,-95.868915018
S66x8/14-090,-344.4219184648
S66x8/14-095,-344.4229798158
S66x8/14-100,-344.4233538158
S66x8/14-105,-344.4232856419
S66x8/14-110,-344.4229494422
S66x8/14-125,-344.4213438419
S66x8/14-150,-344.4188498731
S66x8/14-200,-344.4162847873
S66x8/15-A,-248.545587712
S66x8/15-B,-248.545685716
S66x8/15-090,-497.0998724753
S66x8/15-095,-497.1009060984
S66x8/15-100,-497.1012736025
S66x8/15-105,-497.1012097579
S66x8/15-110,-497.1008819124
S66x8/15-125,-497.0993099222
S66x8/15-150,-497.0968076445
S66x8/15-200,-497.0937131801
S66x8/16-A,-248.5457717289
S66x8/16-B,-76.4257737841
S66x8/16-090,-324.9777497082
S66x8/16-095,-324.9783720571
S66x8/16-100,-324.9785177999
S66x8/16-105,-324.9783787687
S66x8/16-110,-324.9780861538
S66x8/16-125,-324.9768928637
S66x8/16-150,-324.9751519203
S66x8/16-200,-324.9733068047
S66x8/17-A,-414.8399258105
S66x8/17-B,0
S66x8/17-090,-829.702356055
S66x8/17-095,-829.7042421506
S66x8/17-100,-829.7046616672
S66x8/17-105,-829.7041431606
S66x8/17-110,-829.7030578726
S66x8/17-125,-829.6985209564
S66x8/17-150,-829.6916961688
S66x8/17-200,-829.684856122
S66x8/18-A,-76.4257868176
S66x8/18-B,-248.3064648729
S66x8/18-090,-324.7414479115
S66x8/18-095,-324.7421075146
S66x8/18-100,-324.7421481799
S66x8/18-105,-324.7418071494
S66x8/18-110,-324.7412516674
S66x8/18-125,-324.7391938914
S66x8/18-150,-324.7364067146
S66x8/18-200,-324.7338136093
S66x8/19-A,-115.7308270263
S66x8/19-B,-248.3064575805
S66x8/19-090,-364.0462308006
S66x8/19-095,-364.0471662275
S66x8/19-100,-364.047399829
S66x8/19-105,-364.0471899022
S66x8/19-110,-364.0466128162
S66x8/19-125,-364.0447316836
S66x8/19-150,-364.0417128999
S66x8/19-200,-364.0389273158
S66x8/20-A,-229.0964363601
S66x8/20-B,-229.0964359058
S66x8/20-090,-458.2205151476
S66x8/20-095,-458.2224616045
S66x8/20-100,-458.2227317324
S66x8/20-105,-458.2219314548
S66x8/20-110,-458.2204869742
S66x8/20-125,-458.2148247824
S66x8/20-150,-458.2064184195
S66x8/20-200,-458.1982534618
S66x8/21-A,-209.2296630617
S66x8/21-B,-209.2296661722
S66x8/21-090,-418.4812288962
S66x8/21-095,-418.4829284026
S66x8/21-100,0
S66x8/21-105,-418.482692107
S66x8/21-110,-418.481616434
S66x8/21-125,-418.4772830098
S66x8/21-150,-418.4709192592
S66x8/21-200,-418.4639163096
S66x8/22-A,-229.0963562603
S66x8/22-B,-414.8398631881
S66x8/22-090,-643.9633354718
S66x8/22-095,-643.9652819319
S66x8/22-100,-643.9656501975
S66x8/22-105,-643.9649947991
S66x8/22-110,-643.963714595
S66x8/22-125,-643.9584450099
S66x8/22-150,-643.9504905951
S66x8/22-200,-643.9423821713
S66x8/23-A,-209.2295729901
S66x8/23-B,-414.8396847929
S66x8/23-090,-624.0952591141
S66x8/23-095,-624.0971449603
S66x8/23-100,-624.0975961229
S66x8/23-105,-624.0971079965
S66x8/23-110,-624.0960319978
S66x8/23-125,-624.0913911144
S66x8/23-150,-624.0841093916
S66x8/23-200,-624.0762668856
S66x8/24-A,-232.2750206429
S66x8/24-B,-232.2749706441
S66x8/24-090,-464.5405721084
S66x8/24-095,-464.5446992368
S66x8/24-100,-464.5469302166
S66x8/24-105,0
S66x8/24-110,-464.5487331271
S66x8/24-125,-464.549488223
S66x8/24-150,-464.5497692979
S66x8/24-200,-464.5498788364
S66x8/25-A,-248.3064296126
S66x8/25-B,-248.3064606647
S66x8/25-090,-496.6051093052
S66x8/25-095,-496.6091105061
S66x8/25-100,-496.6112421724
S66x8/25-105,-496.6124079584
S66x8/25-110,-496.612961701
S66x8/25-125,-496.6134335038
S66x8/25-150,-496.6133030366
S66x8/25-200,-496.613046838
S66x8/26-A,-414.8405364704
S66x8/26-B,-414.8405364689
S66x8/26-090,-829.6803818276
S66x8/26-095,-829.6841468945
S66x8/26-100,-829.6859362501
S66x8/26-105,-829.686635686
S66x8/26-110,-829.6867403316
S66x8/26-125,-829.6858592095
S66x8/26-150,-829.6840620721
S66x8/26-200,-829.6822406311
S66x8/27-A,-232.2750073762
S66x8/27-B,-248.3064764059
S66x8/27-090,-480.5727308458
S66x8/27-095,-480.576986005
S66x8/27-100,-480.5792619445
S66x8/27-105,-480.5803909169
S66x8/27-110,-480.5809592592
S66x8/27-125,-480.5815144963
S66x8/27-150,-480.5815534307
S66x8/27-200,-480.5814639954
S66x8/28-A,-232.2748622581
S66x8/28-B,-414.841137661
S66x8/28-090,-647.1096881178
S66x8/28-095,-647.113471075
S66x8/28-100,-647.1155421867
S66x8/28-105,-647.1164488579
S66x8/28-110,-647.1168484301
S66x8/28-125,-647.1169513651
S66x8/28-150,-647.1165057058
S66x8/28-200,-647.116017809
S66x8/29-A,-248.3063952065
S66x8/29-B,-414.8411419811
S66x8/29-090,-663.1413096774
S66x8/29-095,-663.1463839103
S66x8/29-100,-663.1487481361
S66x8/29-105,-663.1496929255
S66x8/29-110,-663.1500985703
S66x8/29-125,-663.1498342297
S66x8/29-150,-663.1488513612
S66x8/29-200,-663.1479376763
S66x8/30-A,-232.2749947034
S66x8/30-B,-78.5989007399
S66x8/30-090,-310.8688947986
S66x8/30-095,-310.8708819111
S66x8/30-100,-310.8719614228
S66x8/30-105,-310.8725537622
S66x8/30-110,-310.8729137303
S66x8/30-125,-310.8733524496
S66x8/30-150,-310.8735840446
S66x8/30-200,-310.8737706553
S66x8/31-A,-414.8411800181
S66x8/31-B,-78.5988634633
S66x8/31-090,-493.4379182569
S66x8/31-095,-493.439596007
S66x8/31-100,-493.4404519996
S66x8/31-105,-493.4408962749
S66x8/31-110,-493.4410884969
S66x8/31-125,-493.4410533774
S66x8/31-150,-493.4406456902
S66x8/31-200,-493.4401885047
S66x8/32-A,-414.8412355737
S66x8/32-B,-77.3346453207
S66x8/32-090,-492.1746612846
S66x8/32-095,-492.1764075442
S66x8/32-100,-492.1772369433
S66x8/32-105,-492.1775472293
S66x8/32-110,-492.1776331852
S66x8/32-125,-492.1772672483
S66x8/32-150,-492.1765337037
S66x8/32-200,-492.1758569934
S66x8/33-A,-248.3065008089
S66x8/33-B,-78.598872732
S66x8/33-090,-326.9013973716
S66x8/33-095,-326.9030915527
S66x8/33-100,-326.9040458442
S66x8/33-105,-326.904592401
S66x8/33-110,-326.9048720522
S66x8/33-125,0
S66x8/33-150,-326.9052860239
S66x8/33-200,-326.9053213759
S66x8/34-A,-197.80352551
S66x8/34-B,-197.8035222223
S66x8/34-090,-395.6024653826
S66x8/34-095,-395.6046020957
S66x8/34-100,-395.6058098471
S66x8/34-105,-395.6065476164
S66x8/34-110,-395.6069659477
S66x8/34-125,-395.6075475209
S66x8/34-150,-395.6074722366
S66x8/34-200,-395.6073211705
S66x8/35-A,-197.8035291591
S66x8/35-B,-197.8065879114
S66x8/35-090,-395.60647178
S66x8/35-095,-395.6083063684
S66x8/35-100,-395.609253184
S66x8/35-105,-395.609784058
S66x8/35-110,-395.6100453095
S66x8/35-125,-395.6103544034
S66x8/35-150,-395.6102880809
S66x8/35-200,-395.6101802772
S66x8/36-A,-197.8065960739
S66x8/36-B,-197.8065856437
S66x8/36-090,-395.6107477903
S66x8/36-095,-395.6117455338
S66x8/36-100,-395.6123373779
S66x8/36-105,-395.6127231078
S66x8/36-110,-395.6129046528
S66x8/36-125,-395.6131270411
S66x8/36-150,-395.6131038476
S66x8/36-200,-395.6130284101
S66x8/37-A,-196.590792046
S66x8/37-B,-197.806584914
S66x8/37-090,-394.3934229258
S66x8/37-095,-394.3952460469
S66x8/37-100,-394.396225523
S66x8/37-105,-394.3967532779
S66x8/37-110,-394.3971024905
S66x8/37-125,-394.3974552191
S66x8/37-150,-394.3974531408
S66x8/37-200,-394.3973391793
S66x8/38-A,-196.5907907133
S66x8/38-B,-196.5907988266
S66x8/38-090,-393.1776936169
S66x8/38-095,-393.17941453
S66x8/38-100,-393.1804749818
S66x8/38-105,-393.1810484958
S66x8/38-110,-393.1814565617
S66x8/38-125,-393.1817963088
S66x8/38-150,-393.1817205636
S66x8/38-200,-393.1815909919
S66x8/39-A,-232.2749778133
S66x8/39-B,-196.590784543
S66x8/39-090,-428.860850604
S66x8/39-095,-428.8634229009
S66x8/39-100,-428.8648557865
S66x8/39-105,0
S66x8/39-110,-428.8659362049
S66x8/39-125,-428.8661665165
S66x8/39-150,-428.8660331643
S66x8/39-200,-428.8658014305
S66x8/40-A,-232.274962189
S66x8/40-B,-197.8065642059
S66x8/40-090,-430.0778744606
S66x8/40-095,-430.0799113682
S66x8/40-100,-430.0810082054
S66x8/40-105,-430.0815258582
S66x8/40-110,-430.0818152929
S66x8/40-125,-430.0819841612
S66x8/40-150,-430.0818101774
S66x8/40-200,-430.0816079482
S66x8/41-A,-414.8411341442
S66x8/41-B,-197.8035857493
S66x8/41-090,-612.6401261417
S66x8/41-095,-612.6425040668
S66x8/41-100,-612.6437999557
S66x8/41-105,-612.6445388989
S66x8/41-110,-612.6450252421
S66x8/41-125,-612.6452638324
S66x8/41-150,-612.6449739032
S66x8/41-200,-612.6447263432
S66x8/42-A,-414.8411305335
S66x8/42-B,-196.5907625314
S66x8/42-090,-611.4269008094
S66x8/42-095,-611.4294614293
S66x8/42-100,-611.4307965003
S66x8/42-105,-611.4315110572
S66x8/42-110,-611.4319340691
S66x8/42-125,-611.4322761249
S66x8/42-150,-611.4321423636
S66x8/42-200,-611.4319261211
S66x8/43-A,-414.8411764259
S66x8/43-B,-197.8065470833
S66x8/43-090,-612.6442908293
S66x8/43-095,-612.646303598
S66x8/43-100,-612.6473717945
S66x8/43-105,-612.6478994127
S66x8/43-110,-612.6481660386
S66x8/43-125,-612.6482629524
S66x8/43-150,-612.6479695612
S66x8/43-200,-612.647664106
S66x8/44-A,-78.5988963323
S66x8/44-B,-197.803566707
S66x8/44-090,-276.4004623921
S66x8/44-095,-276.4014890922
S66x8/44-100,-276.4020421877
S66x8/44-105,-276.4023888382
S66x8/44-110,-276.40255558
S66x8/44-125,-276.4027478548
S66x8/44-150,-276.4026690891
S66x8/44-200,-276.4025567408
S66x8/45-A,-77.334667009
S66x8/45-B,-197.8036082335
S66x8/45-090,-275.13562744
S66x8/45-095,-275.1369458091
S66x8/45-100,-275.1376930379
S66x8/45-105,-275.1380773691
S66x8/45-110,-275.1382626347
S66x8/45-125,-275.1384184938
S66x8/45-150,-275.1382723593
S66x8/45-200,-275.1380741826
S66x8/46-A,-248.5458260464
S66x8/46-B,-197.8035107411
S66x8/46-090,-446.3466615955
S66x8/46-095,-446.3481487257
S66x8/46-100,-446.3490341607
S66x8/46-105,-446.3495828317
S66x8/46-110,-446.3498537476
S66x8/46-125,-446.3501370243
S66x8/46-150,-446.3498917229
S66x8/46-200,-446.3495315527
S66x8/47-A,-232.2749476687
S66x8/47-B,-232.2748165663
S66x8/47-090,-464.5468433152
S66x8/47-095,-464.5489267808
S66x8/47-100,-464.5499573722
S66x8/47-105,-464.5504768026
S66x8/47-110,-464.5506824221
S66x8/47-125,-464.5507016285
S66x8/47-150,-464.5503898959
S66x8/47-200,-464.5500560917
S66x8/48-A,-248.3064267684
S66x8/48-B,-248.3063760643
S66x8/48-090,-496.6112647998
S66x8/48-095,-496.6129807472
S66x8/48-100,-496.6138596377
S66x8/48-105,-496.6142778122
S66x8/48-110,-496.6144164729
S66x8/48-125,-496.6142875184
S66x8/48-150,-496.6137732113
S66x8/48-200,-496.613195415
S66x8/49-A,-232.2749454353
S66x8/49-B,-248.3064291269
S66x8/49-090,-480.5791344293
S66x8/49-095,-480.581219715
S66x8/49-100,-480.582217219
S66x8/49-105,-480.5826853742
S66x8/49-110,-480.5828530368
S66x8/49-125,-480.5827131965
S66x8/49-150,-480.5822122574
S66x8/49-200,-480.5816976514
S66x8/50-A,-232.2749374634
S66x8/50-B,-77.334719775
S66x8/50-090,-309.6095127965
S66x8/50-095,-309.6109060929
S66x8/50-100,-309.6114958455
S66x8/50-105,-309.6116565531
S66x8/50-110,-309.6116153703
S66x8/50-125,-309.6111413408
S66x8/50-150,-309.6103993752
S66x8/50-200,-309.6097530702
S66x8/51-A,-77.3346800016
S66x8/51-B,-77.3347384806
S66x8/51-090,-154.6703667921
S66x8/51-095,-154.6708451576
S66x8/51-100,-154.6710138549
S66x8/51-105,-154.6710084027
S66x8/51-110,-154.6709114407
S66x8/51-125,-154.6704966368
S66x8/51-150,-154.6699498273
S66x8/51-200,-154.6695238825
S66x8/52-A,-232.2749380525
S66x8/52-B,-229.0983720681
S66x8/52-090,-461.3757356142
S66x8/52-095,-461.3769554027
S66x8/52-100,-461.3774238542
S66x8/52-105,-461.377477667
S66x8/52-110,-461.3773176799
S66x8/52-125,-461.3764225067
S66x8/52-150,-461.3751401847
S66x8/52-200,-461.3739236384
S66x8/53-A,-232.2749484397
S66x8/53-B,-209.2306017544
S66x8/53-090,-441.5076729445
S66x8/53-095,-441.5087121149
S66x8/53-100,-441.5091739438
S66x8/53-105,-441.5092636058
S66x8/53-110,-441.5091582758
S66x8/53-125,-441.5084628271
S66x8/53-150,-441.5072772032
S66x8/53-200,-441.5060382441
S66x8/54-A,-232.2749197549
S66x8/54-B,-76.4257178622
S66x8/54-090,-308.7031174551
S66x8/54-095,-308.7038951088
S66x8/54-100,-308.7041472797
S66x8/54-105,-308.7041193699
S66x8/54-110,-308.7039459381
S66x8/54-125,-308.7032088917
S66x8/54-150,-308.7021843743
S66x8/54-200,-308.70120578
S66x8/55-A,-232.2748940285
S66x8/55-B,-115.7311355951
S66x8/55-090,-348.0072989185
S66x8/55-095,-348.0085783348
S66x8/55-100,-348.0091293867
S66x8/55-105,-348.0093078733
S66x8/55-110,-348.0092925396
S66x8/55-125,-348.0087087318
S66x8/55-150,-348.0077137406
S66x8/55-200,-348.0066810242
S66x8/56-A,-232.2749454614
S66x8/56-B,-95.8689086207
S66x8/56-090,-328.1430024261
S66x8/56-095,-328.1443743065
S66x8/56-100,-328.1450594096
S66x8/56-105,-328.145375124
S66x8/56-110,0
S66x8/56-125,-328.1452461912
S66x8/56-150,-328.144691476
S66x8/56-200,-328.144139893
S66x8/57-A,-232.2748939257
S66x8/57-B,-248.5457993551
S66x8/57-090,-480.8197960744
S66x8/57-095,-480.822367141
S66x8/57-100,-480.823546904
S66x8/57-105,-480.8239716229
S66x8/57-110,-480.8240758804
S66x8/57-125,-480.8235389089
S66x8/57-150,-480.8224923598
S66x8/57-200,0
S66x8/58-A,-248.3063812016
S66x8/58-B,-248.3063343093
S66x8/58-090,-496.6137239001
S66x8/58-095,-496.615502412
S66x8/58-100,-496.6163525719
S66x8/58-105,-496.6163199852
S66x8/58-110,-496.6160081529
S66x8/58-125,-496.6149257622
S66x8/58-150,-496.6138047938
S66x8/58-200,-496.6130231496
S66x8/59-A,-77.3347646169
S66x8/59-B,-76.425768918
S66x8/59-090,-153.7641127405
S66x8/59-095,-153.7644912393
S66x8/59-100,-153.7645388868
S66x8/59-105,-153.7644023843
S66x8/59-110,-153.7641621851
S66x8/59-125,-153.7632975777
S66x8/59-150,-153.7621329912
S66x8/59-200,-153.7610299642
S66x8/60-A,-77.3346493522
S66x8/60-B,-229.0983411909
S66x8/60-090,-306.4385441044
S66x8/60-095,-306.4392848673
S66x8/60-100,-306.4393874789
S66x8/60-105,-306.4391417272
S66x8/60-110,-306.4387228521
S66x8/60-125,-306.4371814545
S66x8/60-150,-306.435269918
S66x8/60-200,-306.4336524215
S66x8/61-A,-197.8035534494
S66x8/61-B,-229.0984476792
S66x8/61-090,-426.900139454
S66x8/61-095,-426.9010723095
S66x8/61-100,-426.9016581612
S66x8/61-105,-426.9020157094
S66x8/61-110,-426.9022151301
S66x8/61-125,-426.9024633135
S66x8/61-150,-426.9022968371
S66x8/61-200,-426.9020748604
S66x8/62-A,-197.803597149
S66x8/62-B,-209.2306411768
S66x8/62-090,-407.0323967464
S66x8/62-095,-407.0335930189
S66x8/62-100,-407.0343221632
S66x8/62-105,-407.0347053342
S66x8/62-110,-407.034869744
S66x8/62-125,-407.0350018148
S66x8/62-150,-407.0347236438
S66x8/62-200,-407.0343623225
S66x8/63-A,-232.2749896187
S66x8/63-B,-229.098388917
S66x8/63-090,-461.3713254946
S66x8/63-095,-461.3732751937
S66x8/63-100,-461.3742687548
S66x8/63-105,-461.3747044348
S66x8/63-110,-461.3748225721
S66x8/63-125,-461.3746403197
S66x8/63-150,-461.374094035
S66x8/63-200,0
S66x8/64-A,-248.5457715048
S66x8/64-B,-78.5989436931
S66x8/64-090,-327.1443077539
S66x8/64-095,-327.145289853
S66x8/64-100,-327.1457787558
S66x8/64-105,-327.1460077943
S66x8/64-110,-327.1460903738
S66x8/64-125,-327.1458943043
S66x8/64-150,-327.1453365239
S66x8/64-200,-327.1447806889
S66x8/65-A,-248.3064726976
S66x8/65-B,-77.3341329053
S66x8/65-090,-325.6457611535
S66x8/65-095,0
S66x8/65-100,-325.6464348745
S66x8/65-105,-325.646280688
S66x8/65-110,-325.6459801998
S66x8/65-125,-325.6448409001
S66x8/65-150,-325.6433265325
S66x8/65-200,-325.6419515543
S66x8/66-A,-95.8688780028
S66x8/66-B,-248.3064541838
S66x8/66-090,-344.1760841026
S66x8/66-095,-344.1770948233
S66x8/66-100,-344.1775999591
S66x8/66-105,-344.1778135359
S66x8/66-110,-344.1778406531
S66x8/66-125,-344.1774683573
S66x8/66-150,-344.1767129858
S66x8/66-200,-344.1758736007
NCIBLIND10/01-A,-232.2723409744
