system,PWRB95/def2-QZVP/Turbomole
S22x5/11-B,-56.66914
S22x5/11-0.9,-289.3316619162
S22x5/11-1.0,-289.332383561
S22x5/11-1.2,-289.3318149671
S22x5/11-1.5,-289.3306734195
S22x5/11-2.0,-289.3298182979
S22x5/12-A,-232.66033
S22x5/12-B,-40.60737
S22x5/12-0.9,-273.2683645204
S22x5/12-1.0,-273.2691698773
S22x5/12-1.2,-273.2688315161
S22x5/12-1.5,-273.2682488003
S22x5/12-2.0,-273.2678151747
S22x5/13-A,-232.66031
S22x5/13-B,-232.66031
S22x5/13-0.9,-465.3217808816
S22x5/13-1.0,-465.3231689228
S22x5/13-1.2,-465.3231700903
S22x5/13-1.5,-465.321996432
S22x5/13-2.0,-465.3210180582
S22x5/14-A,-232.66032
S22x5/14-B,-232.66032
S22x5/14-0.9,-465.3169899533
S22x5/14-1.0,-465.3221658795
S22x5/14-1.2,-465.3221482919
S22x5/14-1.5,-465.3210251368
S22x5/14-2.0,-465.3206346244
S22x5/15-A,-232.66027
S22x5/15-B,-364.45077
S22x5/15-0.9,-597.1159096845
S22x5/15-1.0,-597.1176806992
S22x5/15-1.2,-597.1170254847
S22x5/15-1.5,-597.1145769485
S22x5/15-2.0,-597.1124324323
S22x5/16-A,-232.6603
S22x5/16-B,-364.45076
S22x5/16-0.9,-597.1082856878
S22x5/16-1.0,-597.1145139853
S22x5/16-1.2,-597.1142306015
S22x5/16-1.5,-597.1118577516
S22x5/16-2.0,-593.9518203607
S22x5/17-A,-264.76062
S22x5/17-B,-264.76061
S22x5/17-0.9,-529.5192573299
S22x5/17-1.0,-529.524950513
S22x5/17-1.2,-529.5244568489
S22x5/17-1.5,-529.5223118844
S22x5/17-2.0,-529.5213980104
S22x5/18-A,-324.06322
S22x5/18-B,-304.17535
S22x5/18-0.9,-628.2604761095
S22x5/18-1.0,-628.2630292899
S22x5/18-1.2,-628.2590981968
S22x5/18-1.5,-628.2507295282
S22x5/18-2.0,-628.2435043692
S22x5/19-A,-307.99858
S22x5/19-B,-307.99861
S22x5/19-0.9,-616.0048327899
S22x5/19-1.0,-616.0062561334
S22x5/19-1.2,-616.0048982676
S22x5/19-1.5,-616.001848062
S22x5/19-2.0,-615.9990668553
S22x5/20-A,-415.49659
S22x5/20-B,-415.49659
S22x5/20-0.9,-830.9988907983
S22x5/20-1.0,-831.0049568334
S22x5/20-1.2,-831.001370987
S22x5/20-1.5,-830.9965753304
S22x5/20-2.0,-827.4495480159
S22x5/21-A,-415.4958
S22x5/21-B,-415.4958
S22x5/21-0.9,-831.0190349653
S22x5/21-1.0,-831.0218212789
S22x5/21-1.2,-831.0170526419
S22x5/21-1.5,-831.0072195785
S22x5/21-2.0,-830.998494874
S22x5/22-A,-232.66027
S22x5/22-B,-93.58011
S22x5/22-0.9,-326.2458182059
S22x5/22-1.0,-326.2467823084
S22x5/22-1.2,-326.2456965856
S22x5/22-1.5,-326.2435034212
S22x5/22-2.0,-326.2416818893
S66x8/01-A,-76.558751901
S66x8/01-B,-76.5587443879
S66x8/01-090,-153.1245433336
S66x8/01-095,-153.125042163
S66x8/01-100,-153.1250799681
S66x8/01-105,-153.1248342342
S66x8/01-110,-153.1244272321
S66x8/01-125,-153.1229318939
S66x8/01-150,-153.1208682994
S66x8/01-200,-153.1188682707
S66x8/02-A,-76.5587544807
S66x8/02-B,-115.9286567507
S66x8/02-090,-192.4949095481
S66x8/02-095,-192.4955127107
S66x8/02-100,-192.4955995043
S66x8/02-105,-192.4953640782
S66x8/02-110,-192.4949403498
S66x8/02-125,-192.4933197356
S66x8/02-150,-192.4910574685
S66x8/02-200,-192.4888427648
S66x8/03-A,-76.5587529662
S66x8/03-B,-96.0440248389
S66x8/03-090,-172.6124641101
S66x8/03-095,-172.6130591072
S66x8/03-100,-172.6130879609
S66x8/03-105,-172.6127494022
S66x8/03-110,-172.6121919772
S66x8/03-125,-172.6101503512
S66x8/03-150,-172.6072267934
S66x8/03-200,-172.6044110679
S66x8/04-A,-76.5587540111
S66x8/04-B,-248.9611117346
S66x8/04-090,-325.5310493087
S66x8/04-095,-325.5317355384
S66x8/04-100,-325.5318118083
S66x8/04-105,-325.5314883292
S66x8/04-110,-325.5309341263
S66x8/04-125,-325.5287727838
S66x8/04-150,-325.5255841831
S66x8/04-200,-325.5219683309
S66x8/05-A,-115.9285444766
S66x8/05-B,-115.9286654693
S66x8/05-090,-231.8646946643
S66x8/05-095,-231.8654077229
S66x8/05-100,-231.865569217
S66x8/05-105,-231.8653864573
S66x8/05-110,-231.8649992441
S66x8/05-125,-231.8634064194
S66x8/05-150,-231.861082611
S66x8/05-200,-231.8587764176
S66x8/06-A,-115.9283121452
S66x8/06-B,-96.0440245614
S66x8/06-090,-211.9824435303
S66x8/06-095,-211.9832151535
S66x8/06-100,-211.9833809155
S66x8/06-105,-211.9831909619
S66x8/06-110,-211.98263345
S66x8/06-125,-211.9805260812
S66x8/06-150,-211.9773775201
S66x8/06-200,-211.9742986496
S66x8/07-A,-115.9284101557
S66x8/07-B,-248.961033735
S66x8/07-090,-364.900398631
S66x8/07-095,-364.901249315
S66x8/07-100,-364.9014314665
S66x8/07-105,-364.9012029429
S66x8/07-110,-364.9007176057
S66x8/07-125,-364.8986010898
S66x8/07-150,-364.8949557699
S66x8/07-200,-364.8911298001
S66x8/08-A,-115.9285722198
S66x8/08-B,-76.5587466207
S66x8/08-090,-192.4942557248
S66x8/08-095,-192.4948565768
S66x8/08-100,-192.4949662699
S66x8/08-105,-192.4947697275
S66x8/08-110,-192.4943965727
S66x8/08-125,-192.4929290631
S66x8/08-150,-192.4908458532
S66x8/08-200,-192.4887817037
S66x8/09-A,-96.043963828
S66x8/09-B,-115.9286726952
S66x8/09-090,-211.9761499718
S66x8/09-095,-211.9766581613
S66x8/09-100,-211.9767839266
S66x8/09-105,-211.9766218721
S66x8/09-110,-211.9764271341
S66x8/09-125,-211.9755162232
S66x8/09-150,-211.9743189406
S66x8/09-200,-211.9732555873
S66x8/10-A,-96.0439670513
S66x8/10-B,-96.0440056461
S66x8/10-090,-192.0925412175
S66x8/10-095,-192.0933301002
S66x8/10-100,-192.0935109664
S66x8/10-105,-192.0933916223
S66x8/10-110,-192.093138847
S66x8/10-125,-192.0919111492
S66x8/10-150,-192.0899132744
S66x8/10-200,-192.0885451375
S66x8/11-A,-96.043805149
S66x8/11-B,-248.9611597184
S66x8/11-090,-345.0110845069
S66x8/11-095,-345.0118979297
S66x8/11-100,-345.0121510447
S66x8/11-105,-345.0120541415
S66x8/11-110,-345.0117698135
S66x8/11-125,-345.0096171894
S66x8/11-150,-345.0071475868
S66x8/11-200,-345.0057602758
S66x8/12-A,-96.0439951984
S66x8/12-B,-76.5583809692
S66x8/12-090,-172.6124790366
S66x8/12-095,-172.6132226882
S66x8/12-100,-172.6133326164
S66x8/12-105,-172.6130380445
S66x8/12-110,-172.6124911903
S66x8/12-125,-172.6104083705
S66x8/12-150,-172.6073732869
S66x8/12-200,-172.6044453622
S66x8/13-A,-248.9610682278
S66x8/13-B,-115.9286751984
S66x8/13-090,-364.8971990881
S66x8/13-095,-364.8980387427
S66x8/13-100,-364.8982841004
S66x8/13-105,-364.8981615845
S66x8/13-110,-364.8978459211
S66x8/13-125,-364.8963796407
S66x8/13-150,-364.8941205739
S66x8/13-200,-364.8917356772
S66x8/14-A,-248.9608496236
S66x8/14-B,-96.0439940944
S66x8/14-090,-345.0140006863
S66x8/14-095,-345.0149529909
S66x8/14-100,-345.0152297967
S66x8/14-105,-345.0150789284
S66x8/14-110,-345.0146998917
S66x8/14-125,-345.0128693873
S66x8/14-150,-345.0100624718
S66x8/14-200,-345.0071082835
S66x8/15-A,-248.960974966
S66x8/15-B,-248.9611008706
S66x8/15-090,-497.9328216436
S66x8/15-095,-497.933742458
S66x8/15-100,-497.9340452318
S66x8/15-105,-497.9339078135
S66x8/15-110,-497.9334991779
S66x8/15-125,-497.9315331275
S66x8/15-150,-497.9284750186
S66x8/15-200,-497.9247220346
S66x8/16-A,-248.9611545637
S66x8/16-B,-76.5587485826
S66x8/16-090,-325.5266942735
S66x8/16-095,-325.5273284825
S66x8/16-100,-325.5274752679
S66x8/16-105,-325.5273634459
S66x8/16-110,-325.5270717652
S66x8/16-125,-325.5257298324
S66x8/16-150,-325.5237651319
S66x8/16-200,-325.5217085219
S66x8/17-A,-415.495985049
S66x8/17-B,-415.4961291079
S66x8/17-090,-831.0151213967
S66x8/17-095,-831.0169896154
S66x8/17-100,-831.0174572378
S66x8/17-105,-831.0170229351
S66x8/17-110,-831.0160281019
S66x8/17-125,-831.0115791054
S66x8/17-150,-831.0045386631
S66x8/17-200,-830.9971896064
S66x8/18-A,-76.5587550909
S66x8/18-B,-248.7122204467
S66x8/18-090,-325.2802313602
S66x8/18-095,-325.2808924934
S66x8/18-100,-325.2809745891
S66x8/18-105,-325.2806848475
S66x8/18-110,-325.2801655389
S66x8/18-125,-325.2782117732
S66x8/18-150,-325.2753783314
S66x8/18-200,-325.2726486519
S66x8/19-A,-115.9283300276
S66x8/19-B,-248.7122124095
S66x8/19-090,-364.64987573
S66x8/19-095,-364.6507675123
S66x8/19-100,-364.6509948323
S66x8/19-105,-364.650805865
S66x8/19-110,-364.6503626111
S66x8/19-125,-364.6483823165
S66x8/19-150,-364.6453932641
S66x8/19-200,-364.6423840733
S66x8/20-A,-229.4669293989
S66x8/20-B,-229.4669294382
S66x8/20-090,-458.9610734427
S66x8/20-095,-458.9630214511
S66x8/20-100,-458.9633937169
S66x8/20-105,-458.9627400011
S66x8/20-110,-458.9614395098
S66x8/20-125,-458.9561732127
S66x8/20-150,-458.9479309169
S66x8/20-200,-458.9394359653
S66x8/21-A,-209.5776156839
S66x8/21-B,-209.5776188588
S66x8/21-090,-419.1776513302
S66x8/21-095,-419.1793528136
S66x8/21-100,-419.1797254694
S66x8/21-105,-419.1792673536
S66x8/21-110,-419.1782773766
S66x8/21-125,-419.1740415688
S66x8/21-150,-419.1674284691
S66x8/21-200,-419.1599807136
S66x8/22-A,-229.466843893
S66x8/22-B,-415.4958680208
S66x8/22-090,-644.9898954374
S66x8/22-095,-644.9918295344
S66x8/22-100,-644.9922677187
S66x8/22-105,-644.9917198395
S66x8/22-110,-644.9905560167
S66x8/22-125,-644.985545834
S66x8/22-150,-644.9776027985
S66x8/22-200,-644.9690691887
S66x8/23-A,-209.5775293335
S66x8/23-B,-415.4957173142
S66x8/23-090,-625.0997249725
S66x8/23-095,-625.101572806
S66x8/23-100,-625.1020590706
S66x8/23-105,-625.1016387864
S66x8/23-110,-625.1006382152
S66x8/23-125,-625.0961400713
S66x8/23-150,-625.0887130543
S66x8/23-200,-625.0804313258
S66x8/24-A,-232.6603571817
S66x8/24-B,-232.6603229978
S66x8/24-090,-465.3173627322
S66x8/24-095,-465.3207443222
S66x8/24-100,-465.3222615938
S66x8/24-105,-465.3227162669
S66x8/24-110,-465.3226860849
S66x8/24-125,-465.3219773672
S66x8/24-150,-465.3209942644
S66x8/24-200,-465.3206294811
S66x8/25-A,-248.7122114481
S66x8/25-B,-248.7122276096
S66x8/25-090,-497.4227187
S66x8/25-095,-497.4259826735
S66x8/25-100,-497.4275144944
S66x8/25-105,-497.4280473623
S66x8/25-110,-497.4278962229
S66x8/25-125,-497.4268046708
S66x8/25-150,-497.4254279492
S66x8/25-200,-497.4246674787
S66x8/26-A,-415.4965931947
S66x8/26-B,-415.4965931947
S66x8/26-090,-831.0007554915
S66x8/26-095,-831.0039145187
S66x8/26-100,-831.0049573804
S66x8/26-105,-831.004714252
S66x8/26-110,-831.0040848498
S66x8/26-125,-831.0010651831
S66x8/26-150,-830.9972494627
S66x8/26-200,-830.9945432633
S66x8/27-A,-232.6603466175
S66x8/27-B,-248.712239272
S66x8/27-090,-481.3699858336
S66x8/27-095,-481.3734538085
S66x8/27-100,-481.3750378971
S66x8/27-105,-481.3754716148
S66x8/27-110,-481.375383199
S66x8/27-125,-481.3744372825
S66x8/27-150,-481.3732106022
S66x8/27-200,-481.3726479006
S66x8/28-A,-232.6602530104
S66x8/28-B,-415.4971223972
S66x8/28-090,-648.1589592512
S66x8/28-095,-648.1621164161
S66x8/28-100,-648.1632218776
S66x8/28-105,-648.1633223422
S66x8/28-110,-648.1630103051
S66x8/28-125,-648.1611192782
S66x8/28-150,-648.158918926
S66x8/28-200,-648.1575197004
S66x8/29-A,-248.7121887783
S66x8/29-B,-415.4971307784
S66x8/29-090,-664.2109005901
S66x8/29-095,-664.2152768462
S66x8/29-100,-664.2166740046
S66x8/29-105,-664.2168194018
S66x8/29-110,-664.2162632576
S66x8/29-125,-664.2140412657
S66x8/29-150,-664.2114432231
S66x8/29-200,-661.1725204415
S66x8/30-A,-232.6603395598
S66x8/30-B,-78.7406397696
S66x8/30-090,-311.3993359886
S66x8/30-095,-311.4009546787
S66x8/30-100,-311.4016975542
S66x8/30-105,-311.4019633997
S66x8/30-110,-311.4019636398
S66x8/30-125,-311.4014838695
S66x8/30-150,-311.4010935253
S66x8/30-200,-311.4008940928
S66x8/31-A,-415.4971549147
S66x8/31-B,-78.7406105698
S66x8/31-090,-494.2396705946
S66x8/31-095,-494.2408691852
S66x8/31-100,-494.2414184521
S66x8/31-105,-494.2414048292
S66x8/31-110,-494.2412248397
S66x8/31-125,-494.2402334115
S66x8/31-150,-494.2389205517
S66x8/31-200,-494.237993531
S66x8/32-A,-415.4971789414
S66x8/32-B,-77.4693083922
S66x8/32-090,-492.9685831363
S66x8/32-095,-492.9700865529
S66x8/32-100,-492.970558453
S66x8/32-105,-492.9706009408
S66x8/32-110,-492.9702901072
S66x8/32-125,-492.9691261177
S66x8/32-150,-492.967648211
S66x8/32-200,-492.9665857524
S66x8/33-A,-248.71225609
S66x8/33-B,-78.7406199621
S66x8/33-090,-327.4521401842
S66x8/33-095,-327.4536007596
S66x8/33-100,-327.454209181
S66x8/33-105,-327.4544733392
S66x8/33-110,-327.4543815668
S66x8/33-125,-327.4539047061
S66x8/33-150,-327.4532267897
S66x8/33-200,-327.4528456385
S66x8/34-A,-198.1636365832
S66x8/34-B,-198.1636597045
S66x8/34-090,-396.329251846
S66x8/34-095,-396.3306683435
S66x8/34-100,-396.3313553003
S66x8/34-105,-396.3312252291
S66x8/34-110,-396.3311119578
S66x8/34-125,-396.3303119359
S66x8/34-150,-396.3287150181
S66x8/34-200,-396.3277511993
S66x8/35-A,-198.163645968
S66x8/35-B,-198.1679533066
S66x8/35-090,-396.3321918817
S66x8/35-095,-396.3334757857
S66x8/35-100,-396.3340334833
S66x8/35-105,-396.3341406845
S66x8/35-110,-396.3339438813
S66x8/35-125,-396.3334062699
S66x8/35-150,-396.3324282512
S66x8/35-200,-396.3317906332
S66x8/36-A,-198.1679495555
S66x8/36-B,-198.1679430887
S66x8/36-090,-396.3362279568
S66x8/36-095,-396.336880258
S66x8/36-100,-396.3372508012
S66x8/36-105,-396.3372566945
S66x8/36-110,-396.3373068324
S66x8/36-125,-396.3369527166
S66x8/36-150,-396.3363378107
S66x8/36-200,-396.335820544
S66x8/37-A,-196.9383269229
S66x8/37-B,-198.1679196811
S66x8/37-090,-395.1062137535
S66x8/37-095,-395.1076169272
S66x8/37-100,-395.1081895022
S66x8/37-105,-395.1083475336
S66x8/37-110,-395.1082384338
S66x8/37-125,-395.1077154006
S66x8/37-150,-395.1069616413
S66x8/37-200,-395.1063717537
S66x8/38-A,-196.9383127162
S66x8/38-B,-196.9383156939
S66x8/38-090,-393.8769658759
S66x8/38-095,-393.8783830694
S66x8/38-100,-393.8790051393
S66x8/38-105,-393.8792516174
S66x8/38-110,-393.8789510793
S66x8/38-125,-393.8784578061
S66x8/38-150,-393.8774088639
S66x8/38-200,-393.8767820275
S66x8/39-A,-232.6603281232
S66x8/39-B,-196.9382963994
S66x8/39-090,-429.5991924671
S66x8/39-095,-429.6012095368
S66x8/39-100,-429.6020896919
S66x8/39-105,-429.6022361063
S66x8/39-110,-429.6021407124
S66x8/39-125,-429.6010851179
S66x8/39-150,-429.5996461286
S66x8/39-200,-429.5987524106
S66x8/40-A,-232.6603177215
S66x8/40-B,-198.1678907515
S66x8/40-090,-430.8287752336
S66x8/40-095,-430.8302038351
S66x8/40-100,-430.8309904761
S66x8/40-105,-430.8310853038
S66x8/40-110,-430.8309379342
S66x8/40-125,-430.8301246388
S66x8/40-150,-430.8291839223
S66x8/40-200,-430.8283923771
S66x8/41-A,-415.4971399922
S66x8/41-B,-198.1637187332
S66x8/41-090,-613.6640208303
S66x8/41-095,-613.6655065843
S66x8/41-100,-613.6661205552
S66x8/41-105,-613.6661078573
S66x8/41-110,-613.6654618231
S66x8/41-125,-613.6638837625
S66x8/41-150,-613.6619724564
S66x8/41-200,-613.6609485679
S66x8/42-A,-415.4971512849
S66x8/42-B,-196.9382825196
S66x8/42-090,-612.4370264032
S66x8/42-095,-612.4389623979
S66x8/42-100,-612.4395231512
S66x8/42-105,-612.4396532414
S66x8/42-110,-612.4392073148
S66x8/42-125,-612.4380681521
S66x8/42-150,-612.4365987383
S66x8/42-200,-612.4355955083
S66x8/43-A,-415.4971756614
S66x8/43-B,-198.167931795
S66x8/43-090,-613.6669746277
S66x8/43-095,-613.6683362249
S66x8/43-100,-613.6688808658
S66x8/43-105,-613.6687626801
S66x8/43-110,-613.6684854837
S66x8/43-125,-613.6673879763
S66x8/43-150,-613.6659665043
S66x8/43-200,-613.6651083668
S66x8/44-A,-78.7406368314
S66x8/44-B,-198.1636567522
S66x8/44-090,-276.905654615
S66x8/44-095,-276.9062862419
S66x8/44-100,-276.9065982916
S66x8/44-105,-276.9064190934
S66x8/44-110,-276.9063923614
S66x8/44-125,-276.905710249
S66x8/44-150,-276.904964107
S66x8/44-200,-276.9044968426
S66x8/45-A,-77.4693239872
S66x8/45-B,-198.1637219645
S66x8/45-090,-275.63324058
S66x8/45-095,-275.6342067157
S66x8/45-100,-275.634635336
S66x8/45-105,-275.634698656
S66x8/45-110,-275.6346215475
S66x8/45-125,-275.6340429645
S66x8/45-150,-275.6334371992
S66x8/45-200,-273.9558011177
S66x8/46-A,-248.9612302029
S66x8/46-B,-198.1636631803
S66x8/46-090,-447.1286777159
S66x8/46-095,-447.1295394286
S66x8/46-100,-447.1298346832
S66x8/46-105,-447.1297716077
S66x8/46-110,-447.1293631142
S66x8/46-125,-447.1281487123
S66x8/46-150,-447.1263127371
S66x8/46-200,-447.1252088054
S66x8/47-A,-232.6603091881
S66x8/47-B,-232.6602181699
S66x8/47-090,-465.3209790022
S66x8/47-095,-465.3227898194
S66x8/47-100,-465.3233400715
S66x8/47-105,-465.3235883089
S66x8/47-110,-465.3234503593
S66x8/47-125,-465.3226970809
S66x8/47-150,-465.3216053508
S66x8/47-200,-465.3208373129
S66x8/48-A,-248.7122089503
S66x8/48-B,-248.712165931
S66x8/48-090,-497.4260788939
S66x8/48-095,-497.4275323594
S66x8/48-100,-497.4280671588
S66x8/48-105,-497.4283402801
S66x8/48-110,-497.4281039214
S66x8/48-125,-497.4272615193
S66x8/48-150,-497.4259398165
S66x8/48-200,-497.424846705
S66x8/49-A,-232.6603070858
S66x8/49-B,-248.7122049477
S66x8/49-090,-481.3735881867
S66x8/49-095,-481.3754482579
S66x8/49-100,-481.3760074744
S66x8/49-105,-481.3761635065
S66x8/49-110,-481.375991093
S66x8/49-125,-481.375033446
S66x8/49-150,-481.3738476111
S66x8/49-200,-481.3729009795
S66x8/50-A,-232.6603034304
S66x8/50-B,-77.4693556138
S66x8/50-090,-310.1313416685
S66x8/50-095,-310.1327260633
S66x8/50-100,-310.1331839569
S66x8/50-105,-310.1330996945
S66x8/50-110,-310.1328924486
S66x8/50-125,-310.1319146609
S66x8/50-150,-310.1306836673
S66x8/50-200,-310.1298449722
S66x8/51-A,-77.4693326828
S66x8/51-B,-77.4693689608
S66x8/51-090,-154.9400249315
S66x8/51-095,-154.9405295799
S66x8/51-100,-154.9406887142
S66x8/51-105,-154.9406519027
S66x8/51-110,-154.9405283658
S66x8/51-125,-154.9400054364
S66x8/51-150,-154.9393403854
S66x8/51-200,-154.9388370655
S66x8/52-A,-232.6603043018
S66x8/52-B,-229.4688990547
S66x8/52-090,-462.1338795851
S66x8/52-095,-462.1349344546
S66x8/52-100,-462.1352355507
S66x8/52-105,-462.1351227487
S66x8/52-110,-462.1347719279
S66x8/52-125,-462.1333708892
S66x8/52-150,-462.1314954194
S66x8/52-200,-462.129917787
S66x8/53-A,-232.6603121332
S66x8/53-B,-209.5785651656
S66x8/53-090,-442.2431996207
S66x8/53-095,-442.2441417101
S66x8/53-100,-442.2444214205
S66x8/53-105,-442.2443531211
S66x8/53-110,-442.2441094178
S66x8/53-125,-442.2428831462
S66x8/53-150,-442.2411451543
S66x8/53-200,-442.2394676683
S66x8/54-A,-232.6602912845
S66x8/54-B,-76.5587026084
S66x8/54-090,-309.2229376296
S66x8/54-095,-309.2236156929
S66x8/54-100,-309.2237279141
S66x8/54-105,-309.2236157076
S66x8/54-110,-309.2232814618
S66x8/54-125,-309.2221818406
S66x8/54-150,-309.2207787562
S66x8/54-200,-309.2195834077
S66x8/55-A,-232.6602738533
S66x8/55-B,-115.928626025
S66x8/55-090,-348.592955742
S66x8/55-095,-348.5940043969
S66x8/55-100,-348.5943877571
S66x8/55-105,-348.5943324455
S66x8/55-110,-348.5940843108
S66x8/55-125,-348.5927954487
S66x8/55-150,-348.5911066987
S66x8/55-200,-348.5895939163
S66x8/56-A,-232.6603080138
S66x8/56-B,-96.0439770386
S66x8/56-090,-328.7066238872
S66x8/56-095,-328.7076932793
S66x8/56-100,-328.7081148919
S66x8/56-105,-328.708067325
S66x8/56-110,-328.7078907889
S66x8/56-125,-328.7067404732
S66x8/56-150,-328.7055035989
S66x8/56-200,-328.7046071089
S66x8/57-A,-232.6602726946
S66x8/57-B,-248.9611936024
S66x8/57-090,-481.6250427317
S66x8/57-095,-481.6270724554
S66x8/57-100,-481.6279197883
S66x8/57-105,-481.6279065219
S66x8/57-110,-481.6275158186
S66x8/57-125,-481.6259447578
S66x8/57-150,-481.6239112404
S66x8/57-200,-481.6222754402
S66x8/58-A,-248.7121587161
S66x8/58-B,-248.7121424747
S66x8/58-090,-497.4267527234
S66x8/58-095,-497.4285416209
S66x8/58-100,-497.4293592948
S66x8/58-105,-497.4292485676
S66x8/58-110,-497.4287321504
S66x8/58-125,-497.4272185243
S66x8/58-150,-497.4257179116
S66x8/58-200,-497.4246648345
S66x8/59-A,-77.4693754113
S66x8/59-B,-76.5587450658
S66x8/59-090,-154.031765946
S66x8/59-095,-154.0322326836
S66x8/59-100,-154.0323452455
S66x8/59-105,-154.0322240938
S66x8/59-110,-154.0319998056
S66x8/59-125,-154.0310760264
S66x8/59-150,-154.0298276429
S66x8/59-200,-154.0286357659
S66x8/60-A,-77.4693097644
S66x8/60-B,-229.4688677871
S66x8/60-090,-306.9441024998
S66x8/60-095,-306.9449212116
S66x8/60-100,-306.9451023122
S66x8/60-105,-306.9448990321
S66x8/60-110,-306.944488418
S66x8/60-125,-306.9428584791
S66x8/60-150,-306.9407382324
S66x8/60-200,-306.938901533
S66x8/61-A,-198.1636921148
S66x8/61-B,-229.4689922423
S66x8/61-090,-427.6351789026
S66x8/61-095,-427.6356901382
S66x8/61-100,-427.6358398988
S66x8/61-105,-427.6359086813
S66x8/61-110,-427.6355989832
S66x8/61-125,-427.6348736108
S66x8/61-150,-427.6336685412
S66x8/61-200,-427.6328447581
S66x8/62-A,-198.1637230997
S66x8/62-B,-209.578615247
S66x8/62-090,-407.7454020869
S66x8/62-095,-407.7461739725
S66x8/62-100,-407.746351689
S66x8/62-105,-407.7462763434
S66x8/62-110,-407.7460646246
S66x8/62-125,-407.7449609743
S66x8/62-150,-407.7436209988
S66x8/62-200,-407.7426259795
S66x8/63-A,-232.6603375197
S66x8/63-B,-229.4689461938
S66x8/63-090,-462.1314963586
S66x8/63-095,-462.1330077019
S66x8/63-100,-462.1334543872
S66x8/63-105,-462.1335468366
S66x8/63-110,-462.1332840418
S66x8/63-125,-462.1321433744
S66x8/63-150,-462.1305630894
S66x8/63-200,-462.129477691
S66x8/64-A,-248.9612050115
S66x8/64-B,-78.7406504541
S66x8/64-090,-327.7041959907
S66x8/64-095,-327.704956556
S66x8/64-100,-327.7052474762
S66x8/64-105,-327.7052472469
S66x8/64-110,-327.7050554665
S66x8/64-125,-327.7042205457
S66x8/64-150,-327.7029291718
S66x8/64-200,-327.7019925762
S66x8/65-A,-248.7122351505
S66x8/65-B,-77.4689401205
S66x8/65-090,-326.1863168795
S66x8/65-095,-326.1869336738
S66x8/65-100,-326.1871025882
S66x8/65-105,-326.1870022197
S66x8/65-110,-326.1867260625
S66x8/65-125,-326.1855883644
S66x8/65-150,-326.1839366268
S66x8/65-200,-326.1824064055
S66x8/66-A,-96.0439607384
S66x8/66-B,-248.7122239888
S66x8/66-090,-344.7594539483
S66x8/66-095,-344.7603378318
S66x8/66-100,-344.7606260537
S66x8/66-105,-344.7606759765
S66x8/66-110,-344.7605370911
S66x8/66-125,-344.7596123995
S66x8/66-150,-344.7581812455
S66x8/66-200,-344.756799674
NCIBLIND10/01-A,-232.658007226
NCIBLIND10/01-B,-40.6068900748
