system,DODSVWN/def2-QZVP/ORCA
S66x8/07-125,-362.8018035041
S66x8/07-150,-362.7979047874
S66x8/07-200,-362.7940363125
S66x8/08-A,-115.2805870509
S66x8/08-B,-76.1741611496
S66x8/08-090,-191.4625568643
S66x8/08-095,-191.4630478212
S66x8/08-100,-191.463048758
S66x8/08-105,-191.462754443
S66x8/08-110,-191.4622947435
S66x8/08-125,-191.4606240809
S66x8/08-150,-191.4583465449
S66x8/08-200,-191.4562436646
S66x8/09-A,-95.4434385715
S66x8/09-B,-115.2806496657
S66x8/09-090,-210.7280340652
S66x8/09-095,-210.7284347085
S66x8/09-100,-210.7284686032
S66x8/09-105,-210.7282920884
S66x8/09-110,-210.7280049696
S66x8/09-125,-210.7269922477
S66x8/09-150,-210.7257375805
S66x8/09-200,-210.7247277631
S66x8/10-A,-95.4434805783
S66x8/10-B,-95.4434751737
S66x8/10-090,-190.8919691646
S66x8/10-095,-190.8926704857
S66x8/10-100,-190.8928307566
S66x8/10-105,-190.8926644804
S66x8/10-110,-190.8923176508
S66x8/10-125,-190.8909583644
S66x8/10-150,-190.8888345402
S66x8/10-200,-190.8875235652
S66x8/11-A,-95.443324562
S66x8/11-B,-247.5120580023
S66x8/11-090,-342.9618413277
S66x8/11-095,-342.9626082583
S66x8/11-100,-342.9628024261
S66x8/11-105,-342.9626414844
S66x8/11-110,-342.9622739669
S66x8/11-125,-342.9599279851
S66x8/11-150,-342.9574419355
S66x8/11-200,-342.956147519
S66x8/12-A,-95.4434627897
S66x8/12-B,-76.1738198805
S66x8/12-090,-171.6284862919
S66x8/12-095,-171.6291519077
S66x8/12-100,-171.6291687362
S66x8/12-105,-171.6287808707
S66x8/12-110,-171.6281560164
S66x8/12-125,-171.6258120559
S66x8/12-150,-171.6225005166
S66x8/12-200,-171.6193904985
S66x8/13-A,-247.5120234653
S66x8/13-B,-115.2806536921
S66x8/13-090,-362.8009394265
S66x8/13-095,-362.801658387
S66x8/13-100,-362.8018091266
S66x8/13-105,-362.8016057953
S66x8/13-110,-362.8011937958
S66x8/13-125,-362.7995184836
S66x8/13-150,-362.7970717023
S66x8/13-200,-362.7946697116
S66x8/14-A,-247.5118354932
S66x8/14-B,-95.4434693993
S66x8/14-090,-342.9651690428
S66x8/14-095,-342.9660702516
S66x8/14-100,-342.9663042281
S66x8/14-105,-342.9661103387
S66x8/14-110,-342.9656546572
S66x8/14-125,-342.9636793681
S66x8/14-150,-342.9606357067
S66x8/14-200,-342.9575825982
S66x8/15-A,-247.5118156815
S66x8/15-B,-247.5118964412
S66x8/15-090,-495.0349322339
S66x8/15-095,-495.0358200393
S66x8/15-100,-495.0360430741
S66x8/15-105,-495.0358372499
S66x8/15-110,-495.0353660078
S66x8/15-125,-495.0333160369
S66x8/15-150,-495.0300956836
S66x8/15-200,-495.0263391223
S66x8/16-A,-247.5119676875
S66x8/16-B,-76.1741635147
S66x8/16-090,-323.6936295096
S66x8/16-095,-323.6941799812
S66x8/16-100,-323.6942486404
S66x8/16-105,-323.6940239404
S66x8/16-110,-323.6936308856
S66x8/16-125,-323.6921287417
S66x8/16-150,-323.6900139467
S66x8/16-200,-323.6879599067
S66x8/17-A,-413.2150785446
S66x8/17-B,-413.2152211235
S66x8/17-090,-826.4543845675
S66x8/17-095,-826.4562078514
S66x8/17-100,-826.4566032092
S66x8/17-105,-826.4560690523
S66x8/17-110,-826.4549569091
S66x8/17-125,-826.450228013
S66x8/17-150,-826.4428345666
S66x8/17-200,-826.435291726
S66x8/18-A,-76.1741703513
S66x8/18-B,-247.1790852145
S66x8/18-090,-323.363659209
S66x8/18-095,-323.3642318057
S66x8/18-100,-323.3642102223
S66x8/18-105,-323.3638202813
S66x8/18-110,-323.3632169519
S66x8/18-125,-323.3609972238
S66x8/18-150,-323.3578944116
S66x8/18-200,-323.3549907714
S66x8/19-A,-115.2803601193
S66x8/19-B,-247.1790792125
S66x8/19-090,-362.4699675696
S66x8/19-095,-362.4707616724
S66x8/19-100,-362.470886326
S66x8/19-105,-362.4705862474
S66x8/19-110,-362.4700388902
S66x8/19-125,-362.4678050602
S66x8/19-150,-362.4645153161
S66x8/19-200,-362.4613221981
S66x8/20-A,-228.2337642219
S66x8/20-B,-228.2337635943
S66x8/20-090,-456.4962092606
S66x8/20-095,-456.4980816603
S66x8/20-100,-456.4983479292
S66x8/20-105,-456.4975825438
S66x8/20-110,-456.4961864593
S66x8/20-125,-456.490539548
S66x8/20-150,-456.4819045811
S66x8/20-200,-456.4730974005
S66x8/21-A,-208.3916554595
S66x8/21-B,-208.391658763
S66x8/21-090,-416.8068728295
S66x8/21-095,-416.8085093475
S66x8/21-100,-416.8088005399
S66x8/21-105,-416.8082262887
S66x8/21-110,-416.8071229201
S66x8/21-125,-416.8025878105
S66x8/21-150,-416.7956728083
S66x8/21-200,-416.7880169922
S66x8/22-A,-228.2336890759
S66x8/22-B,-413.2149592782
S66x8/22-090,-641.4771448835
S66x8/22-095,-641.4790194803
S66x8/22-100,-641.4793704486
S66x8/22-105,-641.4787264646
S66x8/22-110,-641.4774611803
S66x8/22-125,-641.4721542066
S66x8/22-150,-641.4638079679
S66x8/22-200,-641.4550024637
S66x8/23-A,-208.3915558631
S66x8/23-B,-413.2148165443
S66x8/23-090,-621.6340545926
S66x8/23-095,-621.6358549491
S66x8/23-100,-621.6362637084
S66x8/23-105,-621.6357510426
S66x8/23-110,-621.6346522425
S66x8/23-125,-621.6298587602
S66x8/23-150,-621.6220825414
S66x8/23-200,-621.6135561987
S66x8/24-A,-231.1715492465
S66x8/24-B,-231.1715335949
S66x8/24-090,-462.3392376854
S66x8/24-095,-462.3428756801
S66x8/24-100,-462.344523111
S66x8/24-105,-462.3450908801
S66x8/24-110,-462.3451321674
S66x8/24-125,-462.3443211533
S66x8/24-150,-462.3433605061
S66x8/24-200,-462.3430533911
S66x8/25-A,-247.1790672134
S66x8/25-B,-247.1790955097
S66x8/25-090,-494.3561260273
S66x8/25-095,-494.359683522
S66x8/25-100,-494.3612997764
S66x8/25-105,-494.3618241715
S66x8/25-110,-494.3617820852
S66x8/25-125,-494.3606719542
S66x8/25-150,-494.3591865337
S66x8/25-200,-494.3584188765
S66x8/26-A,-413.2155793032
S66x8/26-B,-413.2155793033
S66x8/26-090,-826.4375820139
S66x8/26-095,-826.4409984564
S66x8/26-100,-826.4422185201
S66x8/26-105,-826.4422155356
S66x8/26-110,-826.4415854826
S66x8/26-125,-826.4386439813
S66x8/26-150,-826.4350551662
S66x8/26-200,-826.4324711587
S66x8/27-A,-231.1715503785
S66x8/27-B,-247.1791035824
S66x8/27-090,-478.3475646639
S66x8/27-095,-478.3513870403
S66x8/27-100,-478.3530650179
S66x8/27-105,-478.3535874024
S66x8/27-110,-478.3535514768
S66x8/27-125,-478.352541843
S66x8/27-150,-478.3512813191
S66x8/27-200,-478.3507363693
S66x8/28-A,-231.1714608522
S66x8/28-B,-413.216119996
S66x8/28-090,-644.3878141969
S66x8/28-095,-644.3912707238
S66x8/28-100,-644.3927286208
S66x8/28-105,-644.3930516585
S66x8/28-110,-644.3927815326
S66x8/28-125,-644.3910184253
S66x8/28-150,-644.3889130293
S66x8/28-200,-644.3877388168
S66x8/29-A,-247.1790529964
S66x8/29-B,-413.2160924431
S66x8/29-090,-660.3955104362
S66x8/29-095,-660.4002704513
S66x8/29-100,-660.4020318346
S66x8/29-105,-660.4022863011
S66x8/29-110,-660.4018391202
S66x8/29-125,-660.3995926842
S66x8/29-150,-660.3971706243
S66x8/29-200,-660.3956984669
S66x8/30-A,-231.1715416958
S66x8/30-B,-78.2133297222
S66x8/30-090,-309.3828850802
S66x8/30-095,-309.3846363014
S66x8/30-100,-309.3854127152
S66x8/30-105,-309.3856697369
S66x8/30-110,-309.3856658146
S66x8/30-125,-309.3852496509
S66x8/30-150,-309.3848315795
S66x8/30-200,-309.3847796706
S66x8/31-A,-413.2161524447
S66x8/31-B,-78.2133355048
S66x8/31-090,-491.430752161
S66x8/31-095,-491.4321902906
S66x8/31-100,-491.4327477381
S66x8/31-105,-491.4328109254
S66x8/31-110,-491.432620068
S66x8/31-125,-491.4316428936
S66x8/31-150,-491.4304554137
S66x8/31-200,-491.4296883367
S66x8/32-A,-413.2161821106
S66x8/32-B,-76.9743247486
S66x8/32-090,-490.1923781829
S66x8/32-095,-490.1939155345
S66x8/32-100,-490.1944668734
S66x8/32-105,-490.1944741872
S66x8/32-110,-490.1942026339
S66x8/32-125,-490.1929777922
S66x8/32-150,-490.1915253831
S66x8/32-200,-490.1905852548
S66x8/33-A,-247.1791121357
S66x8/33-B,-78.2133034136
S66x8/33-090,-325.3915123964
S66x8/33-095,-325.3930175717
S66x8/33-100,-325.3936887366
S66x8/33-105,-325.3938923276
S66x8/33-110,-325.3938527286
S66x8/33-125,-325.3933076558
S66x8/33-150,-325.3926744427
S66x8/33-200,-325.3924221501
S66x8/34-A,-196.8193952678
S66x8/34-B,-196.8193174873
S66x8/34-090,-393.6391059202
S66x8/34-095,-393.6409051959
S66x8/34-100,-393.6416472237
S66x8/34-105,-393.6418213749
S66x8/34-110,-393.641686739
S66x8/34-125,-393.6408635817
S66x8/34-150,-393.6397685449
S66x8/34-200,-393.6391339701
S66x8/35-A,-196.8193667254
S66x8/35-B,-196.8241184277
S66x8/35-090,-393.6434041403
S66x8/35-095,-393.6448854853
S66x8/35-100,-393.6454540959
S66x8/35-105,-393.6455659576
S66x8/35-110,-393.6454531734
S66x8/35-125,-393.6448451951
S66x8/35-150,-393.6441196333
S66x8/35-200,-393.6437045054
S66x8/36-A,-196.8241458708
S66x8/36-B,-196.8241753543
S66x8/36-090,-393.6484020903
S66x8/36-095,-393.6491299612
S66x8/36-100,-393.6494411044
S66x8/36-105,-393.6495099329
S66x8/36-110,-393.6494550388
S66x8/36-125,-393.6490895392
S66x8/36-150,-393.6486237454
S66x8/36-200,-393.648330311
S66x8/37-A,-195.6238039722
S66x8/37-B,-196.8240826475
S66x8/37-090,-392.4474622685
S66x8/37-095,-392.448934763
S66x8/37-100,-392.4495423195
S66x8/37-105,-392.4497155586
S66x8/37-110,-392.4496760765
S66x8/37-125,-392.4491733607
S66x8/37-150,-392.44849373
S66x8/37-200,-392.4480658786
S66x8/38-A,-195.6237834515
S66x8/38-B,-195.623788184
S66x8/38-090,-391.247659255
S66x8/38-095,-391.2490540173
S66x8/38-100,-391.2497110311
S66x8/38-105,-391.2498497639
S66x8/38-110,-391.2497399762
S66x8/38-125,-391.24901974
S66x8/38-150,-391.2481788472
S66x8/38-200,-391.2476992189
S66x8/39-A,-231.1715355619
S66x8/39-B,-195.6237694432
S66x8/39-090,-426.7949245084
S66x8/39-095,-426.7972024068
S66x8/39-100,-426.7982044393
S66x8/39-105,-426.7984686397
S66x8/39-110,-426.798340695
S66x8/39-125,-426.7973442944
S66x8/39-150,-426.7961473011
S66x8/39-200,-426.7954553951
S66x8/40-A,-231.1715286682
S66x8/40-B,-196.824200236
S66x8/40-090,-427.9956310776
S66x8/40-095,-427.9973666362
S66x8/40-100,-427.9980884028
S66x8/40-105,-427.9982619435
S66x8/40-110,-427.9981520724
S66x8/40-125,-427.9973615731
S66x8/40-150,-427.9963894753
S66x8/40-200,-427.9958144842
S66x8/41-A,-413.2161388021
S66x8/41-B,-196.8194384222
S66x8/41-090,-610.0367896244
S66x8/41-095,-610.0388002716
S66x8/41-100,-610.0395995534
S66x8/41-105,-610.0397209748
S66x8/41-110,-610.0394013801
S66x8/41-125,-610.037870209
S66x8/41-150,-610.0364086821
S66x8/41-200,-610.0357115302
S66x8/42-A,-413.2161351997
S66x8/42-B,-195.6237702447
S66x8/42-090,-608.840330628
S66x8/42-095,-608.8424230932
S66x8/42-100,-608.8432234346
S66x8/42-105,-608.8433408433
S66x8/42-110,-608.8431281605
S66x8/42-125,-608.842022014
S66x8/42-150,-608.8407824591
S66x8/42-200,-608.8400856429
S66x8/43-A,-413.2161570695
S66x8/43-B,-196.8240094278
S66x8/43-090,-610.0412052949
S66x8/43-095,-610.0428676307
S66x8/43-100,-610.0434697177
S66x8/43-105,-610.0435060513
S66x8/43-110,-610.0432674028
S66x8/43-125,-610.0422162275
S66x8/43-150,-610.0410585854
S66x8/43-200,-610.0403815115
S66x8/44-A,-78.2133310995
S66x8/44-B,-196.8194534453
S66x8/44-090,-275.0333630177
S66x8/44-095,-275.0341478985
S66x8/44-100,-275.0344188939
S66x8/44-105,-275.0344177209
S66x8/44-110,-275.0342951947
S66x8/44-125,-275.0337744131
S66x8/44-150,-275.0331976881
S66x8/44-200,-275.0328822721
S66x8/45-A,-76.9743273482
S66x8/45-B,-196.8194184357
S66x8/45-090,-273.7936819706
S66x8/45-095,-273.7947383983
S66x8/45-100,-273.795149757
S66x8/45-105,-273.7952238471
S66x8/45-110,-273.7951319874
S66x8/45-125,-273.7946202645
S66x8/45-150,-273.7940379566
S66x8/45-200,-273.7936960256
S66x8/46-A,-247.512032013
S66x8/46-B,-196.8193194992
S66x8/46-090,-444.333529911
S66x8/46-095,-444.3347105375
S66x8/46-100,-444.3351770725
S66x8/46-105,-444.3352193688
S66x8/46-110,-444.3350276619
S66x8/46-125,-444.3340270917
S66x8/46-150,-444.3325791441
S66x8/46-200,-444.3317120561
S66x8/47-A,-231.1715177599
S66x8/47-B,-231.1714465974
S66x8/47-090,-462.3432030573
S66x8/47-095,-462.3450536348
S66x8/47-100,-462.3458078927
S66x8/47-105,-462.3459811888
S66x8/47-110,-462.3458636762
S66x8/47-125,-462.3450110894
S66x8/47-150,-462.3439489451
S66x8/47-200,-462.3432785648
S66x8/48-A,-247.1790757436
S66x8/48-B,-247.1790334154
S66x8/48-090,-494.3598663718
S66x8/48-095,-494.3614004291
S66x8/48-100,-494.3620118972
S66x8/48-105,-494.3621111584
S66x8/48-110,-494.3619340853
S66x8/48-125,-494.3609108633
S66x8/48-150,-494.3595765287
S66x8/48-200,-494.3586087548
S66x8/49-A,-231.1715188361
S66x8/49-B,-247.1790634174
S66x8/49-090,-478.3515102396
S66x8/49-095,-478.353380073
S66x8/49-100,-478.3541240586
S66x8/49-105,-478.3542624672
S66x8/49-110,-478.3541033475
S66x8/49-125,-478.3531081917
S66x8/49-150,-478.3518625496
S66x8/49-200,-478.3510070499
S66x8/50-A,-231.1715083467
S66x8/50-B,-76.9743717396
S66x8/50-090,-308.1475660653
S66x8/50-095,-308.1489398643
S66x8/50-100,-308.1494130378
S66x8/50-105,-308.1494060411
S66x8/50-110,-308.149171536
S66x8/50-125,-308.1481474052
S66x8/50-150,-308.1469551167
S66x8/50-200,-308.1461290978
S66x8/51-A,-76.9743355361
S66x8/51-B,-76.974378494
S66x8/51-090,-153.9502793186
S66x8/51-095,-153.9507194947
S66x8/51-100,-153.9508247336
S66x8/51-105,-153.9507482199
S66x8/51-110,-153.9505828533
S66x8/51-125,-153.9499864901
S66x8/51-150,-153.9493157902
S66x8/51-200,-153.9488567776
S66x8/52-A,-231.1715066292
S66x8/52-B,-228.2356111886
S66x8/52-090,-459.4116995202
S66x8/52-095,-459.4128714184
S66x8/52-100,-459.4132413957
S66x8/52-105,-459.4131524757
S66x8/52-110,-459.4128136892
S66x8/52-125,-459.4113506865
S66x8/52-150,-459.4094182866
S66x8/52-200,-459.4078489372
S66x8/53-A,-231.1715079531
S66x8/53-B,-208.3925520786
S66x8/53-090,-439.5684805378
S66x8/53-095,-439.5693961855
S66x8/53-100,-439.5696882727
S66x8/53-105,-439.5696073622
S66x8/53-110,-439.5693156742
S66x8/53-125,-439.5680380354
S66x8/53-150,-439.5662542636
S66x8/53-200,-439.5646657575
S66x8/54-A,-231.1714998671
S66x8/54-B,-76.1740979619
S66x8/54-090,-307.3494802086
S66x8/54-095,-307.3502334685
S66x8/54-100,-307.3504063292
S66x8/54-105,-307.3502556464
S66x8/54-110,-307.3499417085
S66x8/54-125,-307.3487865562
S66x8/54-150,-307.3473684648
S66x8/54-200,-307.3462156358
S66x8/55-A,-231.1714851564
S66x8/55-B,-115.2806322563
S66x8/55-090,-346.4558278321
S66x8/55-095,-346.4570088967
S66x8/55-100,-346.4574298268
S66x8/55-105,-346.4574153862
S66x8/55-110,-346.4571557894
S66x8/55-125,-346.4559120871
S66x8/55-150,-346.4542342683
S66x8/55-200,-346.4528541563
S66x8/56-A,-231.1715155502
S66x8/56-B,-95.4434361173
S66x8/56-090,-326.6168498934
S66x8/56-095,-326.6180520985
S66x8/56-100,-326.6185237643
S66x8/56-105,-326.6185737973
S66x8/56-110,-326.6183683307
S66x8/56-125,-326.6173581009
S66x8/56-150,-326.6161410709
S66x8/56-200,-326.6153034085
S66x8/57-A,-231.1714897608
S66x8/57-B,-247.5120161456
S66x8/57-090,-478.6863393241
S66x8/57-095,-478.6887146453
S66x8/57-100,-478.6896203636
S66x8/57-105,-478.6897252859
S66x8/57-110,-478.6894288403
S66x8/57-125,-478.6878716583
S66x8/57-150,-478.6858700666
S66x8/57-200,-478.6843541662
S66x8/58-A,-247.1790530783
S66x8/58-B,-247.1790062757
S66x8/58-090,-494.3613442416
S66x8/58-095,-494.3630351354
S66x8/58-100,-494.363676777
S66x8/58-105,-494.3633804592
S66x8/58-110,-494.3627920806
S66x8/58-125,-494.3610483302
S66x8/58-150,-494.3594404159
S66x8/58-200,-494.3584454336
S66x8/59-A,-76.9744016973
S66x8/59-B,-76.1741557689
S66x8/59-090,-153.1526601493
S66x8/59-095,-153.1530390277
S66x8/59-100,-153.1530645521
S66x8/59-105,-153.1528834925
S66x8/59-110,-153.1525915594
S66x8/59-125,-153.151550046
S66x8/59-150,-153.1502182319
S66x8/59-200,-153.1490627439
S66x8/60-A,-76.9743328519
S66x8/60-B,-228.2355895294
S66x8/60-090,-305.2161678284
S66x8/60-095,-305.2169633895
S66x8/60-100,-305.2171026736
S66x8/60-105,-305.2168549797
S66x8/60-110,-305.2163956435
S66x8/60-125,-305.2146700759
S66x8/60-150,-305.2124438569
S66x8/60-200,-305.2106614782
S66x8/61-A,-196.8193836604
S66x8/61-B,-228.2356646424
S66x8/61-090,-425.0567497311
S66x8/61-095,-425.057359886
S66x8/61-100,-425.0575849306
S66x8/61-105,-425.0575782817
S66x8/61-110,-425.0574425498
S66x8/61-125,-425.0567886808
S66x8/61-150,-425.0557855231
S66x8/61-200,-425.0552184547
S66x8/62-A,-196.8194341365
S66x8/62-B,-208.3925851678
S66x8/62-090,-405.2140299355
S66x8/62-095,-405.214942959
S66x8/62-100,-405.2152720763
S66x8/62-105,-405.2152571815
S66x8/62-110,-405.2150596899
S66x8/62-125,-405.2141647463
S66x8/62-150,-405.2130391925
S66x8/62-200,-405.212265431
S66x8/63-A,-231.1715351477
S66x8/63-B,-228.2356064391
S66x8/63-090,-459.4085914239
S66x8/63-095,-459.4103772089
S66x8/63-100,-459.4110492687
S66x8/63-105,-459.4111251108
S66x8/63-110,-459.4108859469
S66x8/63-125,-459.4097130383
S66x8/63-150,-459.4083002336
S66x8/63-200,-459.4074173215
S66x8/64-A,-247.5120251002
S66x8/64-B,-78.2133745989
S66x8/64-090,-325.7276231722
S66x8/64-095,-325.728386379
S66x8/64-100,-325.7286375982
S66x8/64-105,-325.7285919042
S66x8/64-110,-325.7283890166
S66x8/64-125,-325.7275200687
S66x8/64-150,-325.726351103
S66x8/64-200,-325.7255417735
S66x8/65-A,-247.179098472
S66x8/65-B,-76.9740154518
S66x8/65-090,-324.158884444
S66x8/65-095,-324.1594403133
S66x8/65-100,-324.1595415535
S66x8/65-105,-324.1593636769
S66x8/65-110,-324.1590256032
S66x8/65-125,-324.1577093541
S66x8/65-150,-324.1559147549
S66x8/65-200,-324.1543434076
S66x8/66-A,-95.4434039316
S66x8/66-B,-247.1790843581
S66x8/66-090,-342.6262209581
S66x8/66-095,-342.6270781222
S66x8/66-100,-342.6273822043
S66x8/66-105,-342.6273476122
S66x8/66-110,-342.627116734
