system,B1LYP/def2-QZVP/ORCA
S66x8/01-150,-152.8858819665
S66x8/01-200,-152.8840222467
S66x8/02-A,-76.4413905959
S66x8/02-B,-115.7277178028
S66x8/02-090,-192.1759001675
S66x8/02-095,-192.1765926707
S66x8/02-100,-192.1767366419
S66x8/02-105,-192.1765398253
S66x8/02-110,-192.1761494875
S66x8/02-125,-192.1745829104
S66x8/02-150,-192.1723817979
S66x8/02-200,-192.1703942012
S66x8/03-A,-76.4414041075
S66x8/03-B,-95.8488598603
S66x8/03-090,-172.2993835422
S66x8/03-095,-172.3000704077
S66x8/03-100,-172.3001558849
S66x8/03-105,-172.2998660019
S66x8/03-110,-172.2993528062
S66x8/03-125,-172.2973315195
S66x8/03-150,-172.2944287095
S66x8/03-200,-172.2917315376
S66x8/04-A,-76.441402569
S66x8/04-B,-248.5200983061
S66x8/04-090,-324.9712453827
S66x8/04-095,-324.9720592088
S66x8/04-100,-324.9722401619
S66x8/04-105,-324.972010701
S66x8/04-110,-324.9715306628
S66x8/04-125,-324.9695424976
S66x8/04-150,-324.9665942153
S66x8/04-200,-324.9633781043
S66x8/05-A,-115.7275476972
S66x8/05-B,-115.7277426819
S66x8/05-090,-231.4617601985
S66x8/05-095,-231.4625954635
S66x8/05-100,-231.4628487184
S66x8/05-105,-231.4627328096
S66x8/05-110,-231.4624001803
S66x8/05-125,-231.4609211734
S66x8/05-150,-231.4587359645
S66x8/05-200,-231.4567065999
S66x8/06-A,-115.7272834534
S66x8/06-B,-95.8488332291
S66x8/06-090,-211.584419069
S66x8/06-095,-211.5854844696
S66x8/06-100,-211.585849435
S66x8/06-105,-211.5857626634
S66x8/06-110,-211.5853839494
S66x8/06-125,-211.5835374493
S66x8/06-150,-211.5806504028
S66x8/06-200,-211.5778769277
S66x8/07-A,-115.7273744001
S66x8/07-B,-248.5200714932
S66x8/07-090,-364.2565474035
S66x8/07-095,-364.2575771244
S66x8/07-100,-364.2579104797
S66x8/07-105,-364.2577928964
S66x8/07-110,-364.2573970927
S66x8/07-125,-364.2555403735
S66x8/07-150,-364.2522278457
S66x8/07-200,-364.2489751541
S66x8/08-A,-115.7275671663
S66x8/08-B,-76.4413764708
S66x8/08-090,-192.1753720494
S66x8/08-095,-192.1760360314
S66x8/08-100,-192.1761827601
S66x8/08-105,-192.1760119302
S66x8/08-110,-192.1756602818
S66x8/08-125,-192.1742170801
S66x8/08-150,-192.1721815195
S66x8/08-200,-192.1703159152
S66x8/09-A,-95.8487915709
S66x8/09-B,-115.7277045693
S66x8/09-090,-211.5783023411
S66x8/09-095,-211.5789809364
S66x8/09-100,-211.579256227
S66x8/09-105,-211.5792933747
S66x8/09-110,-211.5791860575
S66x8/09-125,-211.5785685329
S66x8/09-150,-211.5777057742
S66x8/09-200,-211.5770356408
S66x8/10-A,-95.8488218351
S66x8/10-B,-95.8488207622
S66x8/10-090,-191.6995046147
S66x8/10-095,-191.7006075466
S66x8/10-100,-191.7011218551
S66x8/10-105,-191.7012584688
S66x8/10-110,-191.701173965
S66x8/10-125,-191.700399621
S66x8/10-150,-191.6989600786
S66x8/10-200,-191.6981074792
S66x8/11-A,-95.8485592393
S66x8/11-B,-248.5202348149
S66x8/11-090,-344.3712131521
S66x8/11-095,-344.3724524105
S66x8/11-100,-344.3730693144
S66x8/11-105,-344.373287073
S66x8/11-110,-344.3732465838
S66x8/11-125,-344.3719396031
S66x8/11-150,-344.3703524528
S66x8/11-200,-344.3695457748
S66x8/12-A,-95.8488100642
S66x8/12-B,-76.4409984057
S66x8/12-090,-172.2990295818
S66x8/12-095,-172.2999213866
S66x8/12-100,-172.3001322971
S66x8/12-105,-172.299913472
S66x8/12-110,-172.2994374761
S66x8/12-125,-172.2974327032
S66x8/12-150,-172.294494073
S66x8/12-200,-172.2917709683
S66x8/13-A,-248.5201737956
S66x8/13-B,-115.7277666022
S66x8/13-090,-364.2528853773
S66x8/13-095,-364.2539670305
S66x8/13-100,-364.2544386748
S66x8/13-105,-364.2545210042
S66x8/13-110,-364.2543631757
S66x8/13-125,-364.253282628
S66x8/13-150,-364.2514345824
S66x8/13-200,-364.2496351242
S66x8/14-A,-248.5199486739
S66x8/14-B,-95.8487859391
S66x8/14-090,-344.374842767
S66x8/14-095,-344.3761326796
S66x8/14-100,-344.3767212193
S66x8/14-105,-344.3768512038
S66x8/14-110,-344.3766892291
S66x8/14-125,-344.3754018839
S66x8/14-150,-344.3730656639
S66x8/14-200,-344.3706873286
S66x8/15-A,-248.519942998
S66x8/15-B,-248.5201171734
S66x8/15-090,-497.0470076564
S66x8/15-095,-497.0482926741
S66x8/15-100,-497.048874504
S66x8/15-105,-497.0489983428
S66x8/15-110,-497.0488391644
S66x8/15-125,-497.0475728962
S66x8/15-150,-497.0451476944
S66x8/15-200,-497.0423226733
S66x8/16-A,-248.5201330304
S66x8/16-B,-76.4413801428
S66x8/16-090,-324.9670770222
S66x8/16-095,-324.9678488594
S66x8/16-100,-324.9681092933
S66x8/16-105,-324.9680537199
S66x8/16-110,-324.9678075713
S66x8/16-125,-324.9666475056
S66x8/16-150,-324.9648931758
S66x8/16-200,-324.9631955272
S66x8/17-A,-414.8440247903
S66x8/17-B,-414.8441148865
S66x8/17-090,-829.7087585606
S66x8/17-095,-829.7109116157
S66x8/17-100,-829.711598957
S66x8/17-105,-829.7113380589
S66x8/17-110,-829.7104786422
S66x8/17-125,-829.7064135709
S66x8/17-150,-829.6997081951
S66x8/17-200,-829.6927490504
S66x8/18-A,-76.441395052
S66x8/18-B,-248.2628233888
S66x8/18-090,-324.7129089898
S66x8/18-095,-324.7136442777
S66x8/18-100,-324.7137692197
S66x8/18-105,-324.7135130003
S66x8/18-110,-324.7130311162
S66x8/18-125,-324.7110975181
S66x8/18-150,-324.7083118996
S66x8/18-200,-324.7057132404
S66x8/19-A,-115.7272900883
S66x8/19-B,-248.2628205183
S66x8/19-090,-363.9982166988
S66x8/19-095,-363.9992492038
S66x8/19-100,-363.9995893553
S66x8/19-105,-363.9994816469
S66x8/19-110,-363.9991627339
S66x8/19-125,-363.9972957062
S66x8/19-150,-363.9945158318
S66x8/19-200,-363.9917546508
S66x8/20-A,-229.1053813834
S66x8/20-B,-229.1053961725
S66x8/20-090,-458.2362039059
S66x8/20-095,-458.238409592
S66x8/20-100,-458.2389660974
S66x8/20-105,-458.2384559747
S66x8/20-110,-458.2372872836
S66x8/20-125,-458.2322359399
S66x8/20-150,-458.2241821997
S66x8/20-200,-458.2159145782
S66x8/21-A,-209.2226991101
S66x8/21-B,-209.222703113
S66x8/21-090,-418.4654843598
S66x8/21-095,-418.4674967533
S66x8/21-100,-418.4681204071
S66x8/21-105,-418.4678357377
S66x8/21-110,-418.4669831202
S66x8/21-125,-418.4630601755
S66x8/21-150,-418.4568036712
S66x8/21-200,-418.449800703
S66x8/22-A,-229.1053726485
S66x8/22-B,-414.8438258454
S66x8/22-090,-643.9743187595
S66x8/22-095,-643.9765434701
S66x8/22-100,-643.9772077832
S66x8/22-105,-643.9768460122
S66x8/22-110,-643.9758316322
S66x8/22-125,-643.9711096198
S66x8/22-150,-643.9633812675
S66x8/22-200,-643.9551309806
S66x8/23-A,-209.2225809281
S66x8/23-B,-414.8436859614
S66x8/23-090,-624.0904281941
S66x8/23-095,-624.0925828098
S66x8/23-100,-624.093316746
S66x8/23-105,-624.093101671
S66x8/23-110,-624.0922723948
S66x8/23-125,-624.0881263446
S66x8/23-150,-624.0810045713
S66x8/23-200,-624.0730715982
S66x8/24-A,-232.2183107072
S66x8/24-B,-232.2182854311
S66x8/24-090,-464.421202633
S66x8/24-095,-464.4270408667
S66x8/24-100,-464.4305064815
S66x8/24-105,-464.4325545049
S66x8/24-110,-464.4337132114
S66x8/24-125,-464.4352213134
S66x8/24-150,-464.4359866205
S66x8/24-200,-464.4364135099
S66x8/25-A,-248.2627673913
S66x8/25-B,-248.2627930596
S66x8/25-090,-496.5116221082
S66x8/25-095,-496.5173963852
S66x8/25-100,-496.5208136585
S66x8/25-105,-496.5228111388
S66x8/25-110,-496.5239288272
S66x8/25-125,-496.5251678061
S66x8/25-150,-496.5255436924
S66x8/25-200,-496.5256491706
S66x8/26-A,-414.8445522836
S66x8/26-B,-414.8445523148
S66x8/26-090,-829.6819867746
S66x8/26-095,-829.6876925682
S66x8/26-100,-829.6908267979
S66x8/26-105,-829.6923625214
S66x8/26-110,-829.6929659871
S66x8/26-125,-829.6927263972
S66x8/26-150,-829.6913629944
S66x8/26-200,-829.6901747047
S66x8/27-A,-232.218302392
S66x8/27-B,-248.2628028097
S66x8/27-090,-480.4660891874
S66x8/27-095,-480.4722514613
S66x8/27-100,-480.4757744946
S66x8/27-105,-480.4778092212
S66x8/27-110,-480.4789405964
S66x8/27-125,-480.480230808
S66x8/27-150,-480.4807608653
S66x8/27-200,-480.4810052118
S66x8/28-A,-232.2182328851
S66x8/28-B,-414.8451745251
S66x8/28-090,-647.0501047975
S66x8/28-095,-647.055975477
S66x8/28-100,-647.0593900603
S66x8/28-105,-647.0612973178
S66x8/28-110,-647.0623795621
S66x8/28-125,-647.0632487637
S66x8/28-150,-647.063289245
S66x8/28-200,-647.0633029334
S66x8/29-A,-248.2627640392
S66x8/29-B,-414.8451352001
S66x8/29-090,-663.0943139823
S66x8/29-095,-663.1019412554
S66x8/29-100,-663.1059408977
S66x8/29-105,-663.1079318779
S66x8/29-110,-663.1088832959
S66x8/29-125,-663.1092701813
S66x8/29-150,-663.1088048509
S66x8/29-200,-663.1082807834
S66x8/30-A,-232.2182978011
S66x8/30-B,-78.5757401721
S66x8/30-090,-310.7855459976
S66x8/30-095,-310.7885462289
S66x8/30-100,-310.7903101706
S66x8/30-105,-310.7913553599
S66x8/30-110,-310.7920095262
S66x8/30-125,-310.7928781567
S66x8/30-150,-310.7934608173
S66x8/30-200,-310.7938887304
S66x8/31-A,-414.845215639
S66x8/31-B,-78.575717378
S66x8/31-090,-493.4155655298
S66x8/31-095,-493.4181529107
S66x8/31-100,-493.4196249848
S66x8/31-105,-493.420478429
S66x8/31-110,-493.4209328815
S66x8/31-125,-493.4212635788
S66x8/31-150,-493.4211583021
S66x8/31-200,-493.4210174074
S66x8/32-A,-414.845234291
S66x8/32-B,-77.325588795
S66x8/32-090,-492.1665693274
S66x8/32-095,-492.1691912435
S66x8/32-100,-492.1705962739
S66x8/32-105,-492.1713032454
S66x8/32-110,-492.1716355582
S66x8/32-125,-492.1715825533
S66x8/32-150,-492.1711223543
S66x8/32-200,-492.1707391376
S66x8/33-A,-248.2628136819
S66x8/33-B,-78.5757103915
S66x8/33-090,-326.8312060549
S66x8/33-095,-326.833831156
S66x8/33-100,-326.8354485465
S66x8/33-105,-326.8364130229
S66x8/33-110,-326.8369834802
S66x8/33-125,-326.8377160008
S66x8/33-150,-326.8381257312
S66x8/33-200,-326.8384377198
S66x8/34-A,-197.7172540846
S66x8/34-B,-197.7172776624
S66x8/34-090,-395.4258330867
S66x8/34-095,-395.4290554108
S66x8/34-100,-395.4309091168
S66x8/34-105,-395.4321614083
S66x8/34-110,-395.4329470081
S66x8/34-125,-395.4338077622
S66x8/34-150,-395.4341845637
S66x8/34-200,-395.4346155922
S66x8/35-A,-197.7172616831
S66x8/35-B,-197.7185169735
S66x8/35-090,-395.4295243598
S66x8/35-095,-395.4321599327
S66x8/35-100,-395.4335602036
S66x8/35-105,-395.4343120191
S66x8/35-110,-395.4347397812
S66x8/35-125,-395.4353132969
S66x8/35-150,-395.4356714131
S66x8/35-200,-395.4359544932
S66x8/36-A,-197.718488599
S66x8/36-B,-197.7185206793
S66x8/36-090,-395.4330452106
S66x8/36-095,-395.4344035402
S66x8/36-100,-395.4352616931
S66x8/36-105,-395.4357853966
S66x8/36-110,-395.4360794149
S66x8/36-125,-395.4365278674
S66x8/36-150,-395.4368172112
S66x8/36-200,-395.4370603652
S66x8/37-A,-196.508284989
S66x8/37-B,-197.718327933
S66x8/37-090,-394.2204277694
S66x8/37-095,-394.2229064367
S66x8/37-100,-394.2242876985
S66x8/37-105,-394.2251347666
S66x8/37-110,-394.22566502
S66x8/37-125,-394.2262791589
S66x8/37-150,-394.2266253886
S66x8/37-200,-394.2269135381
S66x8/38-A,-196.5080234722
S66x8/38-B,-196.50807543
S66x8/38-090,-393.009538096
S66x8/38-095,-393.0119440949
S66x8/38-100,-393.0134530149
S66x8/38-105,-393.0143489872
S66x8/38-110,-393.0149368409
S66x8/38-125,-393.0154182993
S66x8/38-150,-393.0157093883
S66x8/38-200,-393.0160228446
S66x8/39-A,-232.2182893431
S66x8/39-B,-196.5080674533
S66x8/39-090,-428.7167439013
S66x8/39-095,-428.7205815075
S66x8/39-100,-428.7229276992
S66x8/39-105,-428.7242630042
S66x8/39-110,-428.7250136514
S66x8/39-125,-428.7257931857
S66x8/39-150,-428.7260819129
S66x8/39-200,-428.7262850834
S66x8/40-A,-232.2182816476
S66x8/40-B,-197.7184244411
S66x8/40-090,-429.9295061402
S66x8/40-095,-429.9325804044
S66x8/40-100,-429.9343228127
S66x8/40-105,-429.93533181
S66x8/40-110,-429.9359619235
S66x8/40-125,-429.9365866678
S66x8/40-150,-429.9367935176
S66x8/40-200,-429.9369539924
S66x8/41-A,-414.8452152692
S66x8/41-B,-197.7174201104
S66x8/41-090,-612.5533025725
S66x8/41-095,-612.557064971
S66x8/41-100,-612.5592253126
S66x8/41-105,-612.560527754
S66x8/41-110,-612.5614157576
S66x8/41-125,-612.5620913474
S66x8/41-150,-612.562361293
S66x8/41-200,-612.5625701035
S66x8/42-A,-414.8452014175
S66x8/42-B,-196.5081082727
S66x8/42-090,-611.3442599716
S66x8/42-095,-611.3480168564
S66x8/42-100,-611.3501410803
S66x8/42-105,-611.351376078
S66x8/42-110,-611.3520691057
S66x8/42-125,-611.3527454395
S66x8/42-150,-611.3530348864
S66x8/42-200,-611.3532796571
S66x8/43-A,-414.8452047843
S66x8/43-B,-197.7184878641
S66x8/43-090,-612.5572647137
S66x8/43-095,-612.5602652639
S66x8/43-100,-612.5618751272
S66x8/43-105,-612.5627983196
S66x8/43-110,-612.5632872388
S66x8/43-125,-612.5636752153
S66x8/43-150,-612.5637421591
S66x8/43-200,-612.5638142902
S66x8/44-A,-78.5757369492
S66x8/44-B,-197.717265879
S66x8/44-090,-276.2891941922
S66x8/44-095,-276.2906824937
S66x8/44-100,-276.2914908384
S66x8/44-105,-276.2919883121
S66x8/44-110,-276.2922585387
S66x8/44-125,-276.2926345945
S66x8/44-150,-276.2928672269
S66x8/44-200,-276.2930693441
S66x8/45-A,-77.3256105958
S66x8/45-B,-197.7172926118
S66x8/45-090,-275.0382664556
S66x8/45-095,-275.04009491
S66x8/45-100,-275.0411704128
S66x8/45-105,-275.0417678457
S66x8/45-110,-275.0421042503
S66x8/45-125,-275.0425003393
S66x8/45-150,-275.0426475741
S66x8/45-200,-275.0427068144
S66x8/46-A,-248.5202031797
S66x8/46-B,-197.7172416637
S66x8/46-090,-446.2314862598
S66x8/46-095,-446.2337959616
S66x8/46-100,-446.2352537402
S66x8/46-105,-446.2361669039
S66x8/46-110,-446.236683936
S66x8/46-125,-446.2371901839
S66x8/46-150,-446.2373888153
S66x8/46-200,-446.2375744193
S66x8/47-A,-232.2182756821
S66x8/47-B,-232.2182046838
S66x8/47-090,-464.429782613
S66x8/47-095,-464.4328116678
S66x8/47-100,-464.4345936661
S66x8/47-105,-464.4355422005
S66x8/47-110,-464.4360329359
S66x8/47-125,-464.4364926167
S66x8/47-150,-464.4365089267
S66x8/47-200,-464.4365093683
S66x8/48-A,-248.2627852107
S66x8/48-B,-248.2627245872
S66x8/48-090,-496.5207737014
S66x8/48-095,-496.5233728961
S66x8/48-100,-496.5248603424
S66x8/48-105,-496.5256410413
S66x8/48-110,-496.5260428374
S66x8/48-125,-496.5262464796
S66x8/48-150,-496.5259771714
S66x8/48-200,-496.5257579892
S66x8/49-A,-232.2182739042
S66x8/49-B,-248.2627626003
S66x8/49-090,-480.4750915222
S66x8/49-095,-480.4781173368
S66x8/49-100,-480.4798682337
S66x8/49-105,-480.4808016291
S66x8/49-110,-480.4812493041
S66x8/49-125,-480.4815828991
S66x8/49-150,-480.4814156741
S66x8/49-200,-480.4812340695
S66x8/50-A,-232.2182716794
S66x8/50-B,-77.3256548222
S66x8/50-090,-309.5409240426
S66x8/50-095,-309.5430864789
S66x8/50-100,-309.5442424877
S66x8/50-105,-309.5447929845
S66x8/50-110,-309.5449684644
S66x8/50-125,-309.5448518956
S66x8/50-150,-309.544408932
S66x8/50-200,-309.5440382394
S66x8/51-A,-77.3256223204
S66x8/51-B,-77.3256728636
S66x8/51-090,-154.6514398654
S66x8/51-095,-154.6520930018
S66x8/51-100,-154.6523829812
S66x8/51-105,-154.6524597126
S66x8/51-110,-154.6524211549
S66x8/51-125,-154.6520973906
S66x8/51-150,-154.6516738184
S66x8/51-200,-154.6513852962
S66x8/52-A,-232.218272463
S66x8/52-B,-229.1073476798
S66x8/52-090,-461.3245261336
S66x8/52-095,-461.3265049724
S66x8/52-100,-461.3275696951
S66x8/52-105,-461.3280603276
S66x8/52-110,-461.3282200192
S66x8/52-125,-461.3278496707
S66x8/52-150,-461.3269174704
S66x8/52-200,-461.3260860675
S66x8/53-A,-232.2182785689
S66x8/53-B,-209.2236608974
S66x8/53-090,-441.441804489
S66x8/53-095,-441.4433170039
S66x8/53-100,-441.4441153725
S66x8/53-105,-441.4444646445
S66x8/53-110,-441.4445452381
S66x8/53-125,-441.4441117762
S66x8/53-150,-441.4431735429
S66x8/53-200,-441.4422874459
S66x8/54-A,-232.2182623959
S66x8/54-B,-76.4412969341
S66x8/54-090,-308.6597797355
S66x8/54-095,-308.6610859117
S66x8/54-100,-308.6617252512
S66x8/54-105,-308.6619708505
S66x8/54-110,-308.6619766383
S66x8/54-125,-308.6615070069
S66x8/54-150,-308.660706999
S66x8/54-200,-308.659977915
S66x8/55-A,-232.2182489704
S66x8/55-B,-115.7276192385
S66x8/55-090,-347.9438204071
S66x8/55-095,-347.9458624926
S66x8/55-100,-347.9469875077
S66x8/55-105,-347.9475600328
S66x8/55-110,-347.9478119789
S66x8/55-125,-347.9476949532
S66x8/55-150,-347.947030817
S66x8/55-200,-347.946382316
S66x8/56-A,-232.2182748966
S66x8/56-B,-95.8487942595
S66x8/56-090,-328.0629896221
S66x8/56-095,-328.0651380802
S66x8/56-100,-328.0663944961
S66x8/56-105,-328.0671172589
S66x8/56-110,-328.0674950197
S66x8/56-125,-328.0676918215
S66x8/56-150,-328.0674671067
S66x8/56-200,-328.0672490277
S66x8/57-A,-232.2182477981
S66x8/57-B,-248.5201868944
S66x8/57-090,-480.7324894985
S66x8/57-095,-480.7363812193
S66x8/57-100,-480.7385020901
S66x8/57-105,-480.7396284315
S66x8/57-110,-480.7401460797
S66x8/57-125,-480.7402628977
S66x8/57-150,-480.7396315205
S66x8/57-200,-480.7390200533
S66x8/58-A,-248.2627703551
S66x8/58-B,-248.2627110225
S66x8/58-090,-496.5247911519
S66x8/58-095,-496.5270594007
S66x8/58-100,-496.5283767828
S66x8/58-105,-496.5285754152
S66x8/58-110,-496.5283737594
S66x8/58-125,-496.5273608627
S66x8/58-150,-496.5263504095
S66x8/58-200,-496.5257839275
S66x8/59-A,-77.325690458
S66x8/59-B,-76.4413693419
S66x8/59-090,-153.7702756079
S66x8/59-095,-153.7707487495
S66x8/59-100,-153.7708578629
S66x8/59-105,-153.770749655
S66x8/59-110,-153.7705203835
S66x8/59-125,-153.769641273
S66x8/59-150,-153.7684879992
S66x8/59-200,-153.7675070699
S66x8/60-A,-77.3255909651
S66x8/60-B,-229.1073271705
S66x8/60-090,-306.4366101882
S66x8/60-095,-306.4377246328
S66x8/60-100,-306.4381394726
S66x8/60-105,-306.4381409051
S66x8/60-110,-306.4378944735
S66x8/60-125,-306.4366398748
S66x8/60-150,-306.4348839242
S66x8/60-200,-306.4335049953
S66x8/61-A,-197.7173020697
S66x8/61-B,-229.10739546
S66x8/61-090,-426.8208796312
S66x8/61-095,-426.8221882179
S66x8/61-100,-426.8230512626
S66x8/61-105,-426.8235987401
S66x8/61-110,-426.8239202626
S66x8/61-125,-426.8243218463
S66x8/61-150,-426.8245278126
S66x8/61-200,-426.8247204196
S66x8/62-A,-197.7173383491
S66x8/62-B,-209.2237314954
S66x8/62-090,-406.9368095303
S66x8/62-095,-406.9386064844
S66x8/62-100,-406.9397111637
S66x8/62-105,-406.9403520271
S66x8/62-110,-406.9406847005
S66x8/62-125,-406.9409954315
S66x8/62-150,-406.9410241384
S66x8/62-200,-406.941112544
S66x8/63-A,-232.2182967963
S66x8/63-B,-229.1073146612
S66x8/63-090,-461.3194887562
S66x8/63-095,-461.3226354732
S66x8/63-100,-461.3243820972
S66x8/63-105,-461.3252885581
S66x8/63-110,-461.3257850834
S66x8/63-125,-461.3260703838
S66x8/63-150,-461.3259013531
S66x8/63-200,-461.3257204205
S66x8/64-A,-248.5202384597
S66x8/64-B,-78.5757720755
S66x8/64-090,-327.0939741832
S66x8/64-095,-327.0953217483
S66x8/64-100,-327.0960737887
S66x8/64-105,-327.0964748282
S66x8/64-110,-327.0966418961
S66x8/64-125,-327.0965743313
S66x8/64-150,-327.0962580246
S66x8/64-200,-327.0960483519
S66x8/65-A,-248.2628215055
S66x8/65-B,-77.3251129736
S66x8/65-090,-325.5922967625
S66x8/65-095,-325.592983947
S66x8/65-100,-325.5932104559
S66x8/65-105,-325.5931472327
S66x8/65-110,-325.5929159772
S66x8/65-125,-325.5918658454
S66x8/65-150,-325.5903739193
S66x8/65-200,-325.5891007933
S66x8/66-A,-95.8487415663
S66x8/66-B,-248.2628067742
S66x8/66-090,-344.1102297102
S66x8/66-095,-344.1117273203
S66x8/66-100,-344.1125948032
S66x8/66-105,-344.1130535998
S66x8/66-110,-344.1132480435
S66x8/66-125,-344.113107825
