system,DODPBEB95/def2-QZVP/ORCA
S22x5/08-1.2,-379.2228916145
S22x5/08-1.5,-379.2132919083
S22x5/08-2.0,-379.2047275225
S22x5/09-A,-169.7314026909
S22x5/09-B,-169.7314026939
S22x5/09-0.9,-339.4828202447
S22x5/09-1.0,-339.486033894
S22x5/09-1.2,-339.4829643266
S22x5/09-1.5,-339.4752826696
S22x5/09-2.0,-339.4683310147
S22x5/10-A,-231.9403285615
S22x5/10-B,-76.3684198553
S22x5/10-0.9,-308.3127563199
S22x5/10-1.0,-308.3134433549
S22x5/10-1.2,-308.312489
S22x5/10-1.5,-308.3107322257
S22x5/10-2.0,-308.3094675165
S22x5/11-A,-231.9403384497
S22x5/11-B,-56.4975327328
S22x5/11-0.9,-288.4399093093
S22x5/11-1.0,-288.4407783169
S22x5/11-1.2,-288.4401601895
S22x5/11-1.5,-288.4390545702
S22x5/11-2.0,-288.43822305
S22x5/12-A,-231.9403448452
S22x5/12-B,-40.4534859164
S22x5/12-0.9,-272.394181726
S22x5/12-1.0,-272.3953508316
S22x5/12-1.2,-272.3952332796
S22x5/12-1.5,-272.3943130017
S22x5/12-2.0,-272.3939356151
S22x5/13-A,-231.9403219558
S22x5/13-B,-231.9403182068
S22x5/13-0.9,-463.8817994134
S22x5/13-1.0,-463.8831239518
S22x5/13-1.2,-463.8829574953
S22x5/13-1.5,-463.8820315714
S22x5/13-2.0,-463.8810084344
S22x5/14-A,-231.9403388833
S22x5/14-B,-231.9403388829
S22x5/14-0.9,-463.8767009978
S22x5/14-1.0,-463.8823053601
S22x5/14-1.2,-463.8824223352
S22x5/14-1.5,-463.8810132481
S22x5/14-2.0,-463.880671357
S22x5/15-A,-231.9402948536
S22x5/15-B,-363.3647906222
S22x5/15-0.9,-595.3098440731
S22x5/15-1.0,-595.3116606088
S22x5/15-1.2,-595.3110512417
S22x5/15-1.5,-595.3088262195
S22x5/15-2.0,-595.3065169616
S22x5/16-A,-231.9403214551
S22x5/16-B,-363.3647770953
S22x5/16-0.9,-595.302295655
S22x5/16-1.0,-595.3086615789
S22x5/16-1.2,-595.3084950347
S22x5/16-1.5,-595.3058513652
S22x5/16-2.0,-595.3049628998
S22x5/17-A,-264.0038591338
S22x5/17-B,-264.0038504669
S22x5/17-0.9,-528.0058192083
S22x5/17-1.0,-528.0116931944
S22x5/17-1.2,-528.0108866728
S22x5/17-1.5,-528.0086840348
S22x5/17-2.0,-528.0079029256
S22x5/18-A,-323.1576415232
S22x5/18-B,-303.2883261225
S22x5/18-0.9,-626.4665693876
S22x5/18-1.0,-626.4696016179
S22x5/18-1.2,-626.4661725378
S22x5/18-1.5,-626.4580376776
S22x5/18-2.0,-626.4508344914
S22x5/19-A,-307.1105665352
S22x5/19-B,-307.1105877574
S22x5/19-0.9,-614.2284029667
S22x5/19-1.0,-614.2301204624
S22x5/19-1.2,-614.2287627753
S22x5/19-1.5,-614.2256900356
S22x5/19-2.0,-614.2229250959
S22x5/20-A,-414.4071899016
S22x5/20-B,-414.4071899042
S22x5/20-0.9,-828.8186912372
S22x5/20-1.0,-828.8255040626
S22x5/20-1.2,-828.8222515579
S22x5/20-1.5,-828.8174285935
S22x5/20-2.0,0
S22x5/21-A,-414.4063793995
S22x5/21-B,-414.4063794026
S22x5/21-0.9,-828.838797559
S22x5/21-1.0,-828.8420787136
S22x5/21-1.2,-828.8378676244
S22x5/21-1.5,-828.8283431159
S22x5/21-2.0,-828.819604544
S22x5/22-A,-231.9402830185
S22x5/22-B,-93.3250974167
S22x5/22-0.9,-325.2708462202
S22x5/22-1.0,-325.2718858861
S22x5/22-1.2,-325.2709096425
S22x5/22-1.5,-325.2685019932
S22x5/22-2.0,-325.2666532281
S66x8/01-A,-76.3685198082
S66x8/01-B,-76.3685003932
S66x8/01-090,-152.7439796748
S66x8/01-095,-152.744541654
S66x8/01-100,-152.7446181602
S66x8/01-105,-152.7443977949
S66x8/01-110,-152.7440007612
S66x8/01-125,-152.7424967522
S66x8/01-150,-152.7404139864
S66x8/01-200,-152.7383774875
S66x8/02-A,-76.3685237515
S66x8/02-B,-115.6069553294
S66x8/02-090,-191.9828374565
S66x8/02-095,-191.9835067265
S66x8/02-100,-191.9836408598
S66x8/02-105,-191.9834356407
S66x8/02-110,-191.9830287982
S66x8/02-125,-191.9814159449
S66x8/02-150,-191.979098128
S66x8/02-200,-191.9768795615
S66x8/03-A,-76.3685261174
S66x8/03-B,-95.7412278376
S66x8/03-090,-172.1191587738
S66x8/03-095,-172.1198543495
S66x8/03-100,-172.1199472808
S66x8/03-105,-172.1196684546
S66x8/03-110,-172.119175768
S66x8/03-125,-172.1171869691
S66x8/03-150,-172.1142334218
S66x8/03-200,-172.1113563787
S66x8/04-A,-76.3685261967
S66x8/04-B,-248.2514053912
S66x8/04-090,-324.6307968732
S66x8/04-095,-324.6315251002
S66x8/04-100,-324.6316562419
S66x8/04-105,-324.6314086176
S66x8/04-110,-324.6309222673
S66x8/04-125,-324.6287677203
S66x8/04-150,-324.6255905012
S66x8/04-200,-324.621963641
S66x8/05-A,-115.6068534042
S66x8/05-B,-115.6069652499
S66x8/05-090,-231.2210797216
S66x8/05-095,-231.2218627345
S66x8/05-100,-231.222081282
S66x8/05-105,-231.2219398715
S66x8/05-110,-231.2215770615
S66x8/05-125,-231.2200218653
S66x8/05-150,-231.217665776
S66x8/05-200,-231.2153801101
S66x8/06-A,-115.606602571
S66x8/06-B,-95.7412242956
S66x8/06-090,-211.3574830543
S66x8/06-095,-211.3583898737
S66x8/06-100,-211.3586537855
S66x8/06-105,-211.3584946391
S66x8/06-110,-211.3580235166
S66x8/06-125,-211.3560045768
S66x8/06-150,-211.3528852236
S66x8/06-200,-211.3497901779
S66x8/07-A,-115.606703896
S66x8/07-B,-248.2513772612
S66x8/07-090,-363.8685615935
S66x8/07-095,-363.8695063171
S66x8/07-100,-363.8697731338
S66x8/07-105,-363.8696061163
S66x8/07-110,-363.8691715437
S66x8/07-125,-363.8671699447
S66x8/07-150,-363.8635398842
S66x8/07-200,-363.8597538878
S66x8/08-A,-115.6068865872
S66x8/08-B,-76.3685032618
S66x8/08-090,-191.9821786226
S66x8/08-095,-191.9828472061
S66x8/08-100,-191.9830040104
S66x8/08-105,-191.9828436393
S66x8/08-110,-191.982482238
S66x8/08-125,-191.9810295722
S66x8/08-150,-191.9789366305
S66x8/08-200,-191.9768670556
S66x8/09-A,-95.7411722965
S66x8/09-B,-115.6069834149
S66x8/09-090,-211.3514720063
S66x8/09-095,-211.3519301223
S66x8/09-100,-211.3521140618
S66x8/09-105,-211.3520761842
S66x8/09-110,-211.3518447672
S66x8/09-125,-211.3509361947
S66x8/09-150,-211.3497620292
S66x8/09-200,-211.3487602218
S66x8/10-A,-95.7411670251
S66x8/10-B,-95.741202818
S66x8/10-090,-191.4865920538
S66x8/10-095,-191.4874627142
S66x8/10-100,-191.4878158361
S66x8/10-105,-191.4876913003
S66x8/10-110,-191.4873775848
S66x8/10-125,-191.4862348012
S66x8/10-150,-191.4842238168
S66x8/10-200,-191.4829408526
S66x8/11-A,-95.7409903235
S66x8/11-B,-248.2515187016
S66x8/11-090,-343.9982517797
S66x8/11-095,-343.9990887461
S66x8/11-100,-343.9994579256
S66x8/11-105,-343.9994319883
S66x8/11-110,-343.9991301737
S66x8/11-125,-343.9970618185
S66x8/11-150,-343.9946009006
S66x8/11-200,-343.9933050403
S66x8/12-A,-95.7411923386
S66x8/12-B,-76.3680448613
S66x8/12-090,-172.1191872631
S66x8/12-095,-172.1200275369
S66x8/12-100,-172.120205397
S66x8/12-105,-172.1199610756
S66x8/12-110,-172.119478095
S66x8/12-125,-172.1174371634
S66x8/12-150,-172.1143680033
S66x8/12-200,-172.1113712483
S66x8/13-A,-248.2514711101
S66x8/13-B,-115.6069803774
S66x8/13-090,-363.8656279018
S66x8/13-095,-363.8665325169
S66x8/13-100,-363.8668766713
S66x8/13-105,-363.8668173596
S66x8/13-110,-363.8664866295
S66x8/13-125,-363.8650350482
S66x8/13-150,-363.8627659795
S66x8/13-200,-363.8604178022
S66x8/14-A,-248.2512367065
S66x8/14-B,-95.7411838119
S66x8/14-090,-344.0011213177
S66x8/14-095,-344.0021667588
S66x8/14-100,-344.0025453727
S66x8/14-105,-344.0024815352
S66x8/14-110,-344.0021259865
S66x8/14-125,-344.0004206226
S66x8/14-150,-343.9976269017
S66x8/14-200,-343.9946587016
S66x8/15-A,-248.251255059
S66x8/15-B,-248.251392009
S66x8/15-090,-496.512811685
S66x8/15-095,-496.5138919789
S66x8/15-100,-496.5142771718
S66x8/15-105,-496.5141833346
S66x8/15-110,-496.5137852587
S66x8/15-125,-496.5119970013
S66x8/15-150,-496.508953399
S66x8/15-200,-496.5052521343
S66x8/16-A,-248.2514365538
S66x8/16-B,-76.3685067412
S66x8/16-090,-324.6265802937
S66x8/16-095,-324.6273011943
S66x8/16-100,-324.6274980793
S66x8/16-105,-324.6273538764
S66x8/16-110,-324.62708542
S66x8/16-125,-324.625778402
S66x8/16-150,-324.6237640635
S66x8/16-200,-324.6217540379
S66x8/17-A,-414.4065626484
S66x8/17-B,-414.4067189284
S66x8/17-090,-828.8348033191
S66x8/17-095,-828.8369364947
S66x8/17-100,-828.8376161063
S66x8/17-105,-828.8373622197
S66x8/17-110,-828.8365063187
S66x8/17-125,-828.8323841524
S66x8/17-150,-828.8255527309
S66x8/17-200,-828.8182274907
S66x8/18-A,-76.36852484
S66x8/18-B,-247.9739792273
S66x8/18-090,-324.3515451895
S66x8/18-095,-324.3523005171
S66x8/18-100,-324.3524407988
S66x8/18-105,-324.3521944875
S66x8/18-110,-324.3517321485
S66x8/18-125,-324.3498050815
S66x8/18-150,-324.346938744
S66x8/18-200,-324.3441428794
S66x8/19-A,-115.6066194087
S66x8/19-B,-247.9739717686
S66x8/19-090,-363.5896217864
S66x8/19-095,-363.5906062233
S66x8/19-100,-363.5909091964
S66x8/19-105,-363.5907625533
S66x8/19-110,-363.5903793366
S66x8/19-125,-363.5884666694
S66x8/19-150,-363.5854700085
S66x8/19-200,-363.5824330538
S66x8/20-A,-228.8700789987
S66x8/20-B,-228.8700799296
S66x8/20-090,-457.7658284057
S66x8/20-095,-457.7680321327
S66x8/20-100,-457.7686321148
S66x8/20-105,-457.7681690649
S66x8/20-110,-457.7670415199
S66x8/20-125,-457.762144099
S66x8/20-150,-457.7541057067
S66x8/20-200,-457.7456843919
S66x8/21-A,-208.9993569765
S66x8/21-B,-208.9993603301
S66x8/21-090,-418.0198490993
S66x8/21-095,-418.0217992397
S66x8/21-100,-418.0223866367
S66x8/21-105,-418.0220861139
S66x8/21-110,-418.0212198904
S66x8/21-125,-418.0172863251
S66x8/21-150,-418.0107903776
S66x8/21-200,-418.0033937543
S66x8/22-A,-228.8699997334
S66x8/22-B,-414.4064598612
S66x8/22-090,-643.302172555
S66x8/22-095,-643.3043719114
S66x8/22-100,-643.3050295036
S66x8/22-105,-643.3046708607
S66x8/22-110,-643.3036721593
S66x8/22-125,-643.2989953871
S66x8/22-150,-643.2912393606
S66x8/22-200,-643.2827726187
S66x8/23-A,-208.9992700995
S66x8/23-B,-414.4062898414
S66x8/23-090,-623.4306778816
S66x8/23-095,-623.432775789
S66x8/23-100,-623.4334717213
S66x8/23-105,-623.4332213149
S66x8/23-110,-623.4323713938
S66x8/23-125,-623.4281763573
S66x8/23-150,-623.4209261173
S66x8/23-200,-623.4126856549
S66x8/24-A,-231.9403695076
S66x8/24-B,-231.9403346407
S66x8/24-090,-463.877104735
S66x8/24-095,-463.8806998284
S66x8/24-100,-463.8824073488
S66x8/24-105,-463.8828607089
S66x8/24-110,-463.8826524838
S66x8/24-125,-463.8818037398
S66x8/24-150,-463.8810052439
S66x8/24-200,-463.8806747177
S66x8/25-A,-247.9739599805
S66x8/25-B,-247.9739827574
S66x8/25-090,-495.946188788
S66x8/25-095,-495.9497116283
S66x8/25-100,-495.951023751
S66x8/25-105,-495.9518036478
S66x8/25-110,-495.9515512193
S66x8/25-125,-495.9504166932
S66x8/25-150,-495.9489401349
S66x8/25-200,-495.9482008446
S66x8/26-A,-414.4071898197
S66x8/26-B,-414.4071898199
S66x8/26-090,-828.8208893002
S66x8/26-095,-828.8242073919
S66x8/26-100,-828.8255036851
S66x8/26-105,-828.8256123576
S66x8/26-110,-828.8247899449
S66x8/26-125,-828.8219784219
S66x8/26-150,-828.818230218
S66x8/26-200,-828.8156654374
S66x8/27-A,-231.940359689
S66x8/27-B,-247.9739946784
S66x8/27-090,-479.9115334941
S66x8/27-095,-479.9152530204
S66x8/27-100,-479.9170112393
S66x8/27-105,-479.917336199
S66x8/27-110,-479.9172097522
S66x8/27-125,-479.9161438625
S66x8/27-150,-479.9149814875
S66x8/27-200,-479.9144355466
S66x8/28-A,-231.9402580348
S66x8/28-B,-414.4077382304
S66x8/28-090,-646.3489392368
S66x8/28-095,-646.3522348608
S66x8/28-100,-646.3540192408
S66x8/28-105,-646.3535984623
S66x8/28-110,-646.3533980593
S66x8/28-125,-646.3513220046
S66x8/28-150,-646.349402271
S66x8/28-200,-646.3481409755
S66x8/29-A,-247.9739378779
S66x8/29-B,-414.4077410278
S66x8/29-090,-662.3825641565
S66x8/29-095,-662.3872922741
S66x8/29-100,-662.3890167302
S66x8/29-105,-662.3888714099
S66x8/29-110,-662.3888691335
S66x8/29-125,-662.3863624675
S66x8/29-150,-662.3836773104
S66x8/29-200,-662.3822003714
S66x8/30-A,-231.9403515619
S66x8/30-B,-78.4780909714
S66x8/30-090,-310.4164983589
S66x8/30-095,-310.4183469222
S66x8/30-100,-310.4190624303
S66x8/30-105,-310.4192578472
S66x8/30-110,-310.4194295071
S66x8/30-125,-310.4189723582
S66x8/30-150,-310.4184167154
S66x8/30-200,-310.4183585336
S66x8/31-A,-414.4077682111
S66x8/31-B,-78.4780586581
S66x8/31-090,-492.8871907032
S66x8/31-095,-492.8887713238
S66x8/31-100,-492.889212313
S66x8/31-105,-492.8891922536
S66x8/31-110,-492.8892163144
S66x8/31-125,-492.8880961431
S66x8/31-150,-492.8868712859
S66x8/31-200,-492.8860400247
S66x8/32-A,-414.4078092908
S66x8/32-B,-77.2313207174
S66x8/32-090,-491.6408479943
S66x8/32-095,-491.6425278384
S66x8/32-100,-491.643097069
S66x8/32-105,-491.6430290411
S66x8/32-110,-491.6428415662
S66x8/32-125,-491.6416049921
S66x8/32-150,-491.6401733739
S66x8/32-200,-491.6391947603
S66x8/33-A,-247.9740117323
S66x8/33-B,-78.4780732538
S66x8/33-090,-326.4512523882
S66x8/33-095,-326.4526309236
S66x8/33-100,-326.4533100816
S66x8/33-105,-326.4536832218
S66x8/33-110,-326.4535148266
S66x8/33-125,-326.4529798896
S66x8/33-150,-326.4523904057
S66x8/33-200,-326.4520806834
S66x8/34-A,-197.4861582986
S66x8/34-B,-197.486176667
S66x8/34-090,-394.9734290129
S66x8/34-095,-394.9750210115
S66x8/34-100,-394.9755569245
S66x8/34-105,-394.9759344207
S66x8/34-110,-394.9758091412
S66x8/34-125,-394.9750725184
S66x8/34-150,-394.9733639947
S66x8/34-200,-394.9727428117
S66x8/35-A,-197.4861665348
S66x8/35-B,-197.4906297361
S66x8/35-090,-394.9765340714
S66x8/35-095,-394.9783453144
S66x8/35-100,-394.9788102944
S66x8/35-105,-394.9789205614
S66x8/35-110,-394.9789450183
S66x8/35-125,-394.9783301933
S66x8/35-150,-394.9773705259
S66x8/35-200,-394.9769422506
S66x8/36-A,-197.4906287718
S66x8/36-B,-197.490625237
S66x8/36-090,-394.9810876756
S66x8/36-095,-394.9819039139
S66x8/36-100,-394.9821733403
S66x8/36-105,-394.9824962243
S66x8/36-110,-394.9823365001
S66x8/36-125,-394.9820073642
S66x8/36-150,-394.981444374
S66x8/36-200,-394.9811608797
S66x8/37-A,-196.2835010234
S66x8/37-B,-197.4906039859
S66x8/37-090,-393.7733790305
S66x8/37-095,-393.775053749
S66x8/37-100,-393.7756888451
S66x8/37-105,-393.7757881174
S66x8/37-110,-393.7759021117
S66x8/37-125,-393.7754164983
S66x8/37-150,-393.7746810341
S66x8/37-200,-393.774173605
S66x8/38-A,-196.2834935965
S66x8/38-B,-196.2835002848
S66x8/38-090,-392.566625913
S66x8/38-095,-392.5683842309
S66x8/38-100,-392.5689851777
S66x8/38-105,-392.569093565
S66x8/38-110,-392.5694313699
S66x8/38-125,-392.5686900387
S66x8/38-150,-392.5675730496
S66x8/38-200,-392.5670965291
S66x8/39-A,-231.9403397795
S66x8/39-B,-196.2834787146
S66x8/39-090,-428.2237403186
S66x8/39-095,-428.2260669298
S66x8/39-100,-428.2271339267
S66x8/39-105,-428.2272491193
S66x8/39-110,-428.226972767
S66x8/39-125,-428.2258098709
S66x8/39-150,-428.2247364032
S66x8/39-200,-428.2239559634
S66x8/40-A,-231.9403288851
S66x8/40-B,-197.4905736877
S66x8/40-090,-429.4309109494
S66x8/40-095,-429.4326746868
S66x8/40-100,-429.4336111251
S66x8/40-105,-429.4335061791
S66x8/40-110,-429.4335066567
S66x8/40-125,-429.4327415653
S66x8/40-150,-429.4316884962
S66x8/40-200,-429.4310725011
S66x8/41-A,-414.4077445834
S66x8/41-B,-197.4862329937
S66x8/41-090,-611.8960769511
S66x8/41-095,-611.8980533605
S66x8/41-100,-611.8984466385
S66x8/41-105,-611.8986381032
S66x8/41-110,-611.8985276494
S66x8/41-125,-611.8967586168
S66x8/41-150,-611.8948078353
S66x8/41-200,-611.8940853763
S66x8/42-A,-414.4077533834
S66x8/42-B,-196.2834667469
S66x8/42-090,-610.6918658595
S66x8/42-095,-610.6942354551
S66x8/42-100,-610.6947826716
S66x8/42-105,-610.6949349322
S66x8/42-110,-610.6948873269
S66x8/42-125,-610.6936513899
S66x8/42-150,-610.6921526244
S66x8/42-200,-610.6913638972
S66x8/43-A,-414.4077888217
S66x8/43-B,-197.4906048267
S66x8/43-090,-611.8994006448
S66x8/43-095,-611.9011322982
S66x8/43-100,-611.9017043587
S66x8/43-105,-611.9016984805
S66x8/43-110,-611.9016027586
S66x8/43-125,-611.9004155119
S66x8/43-150,-611.8991181795
S66x8/43-200,-611.8983907026
S66x8/44-A,-78.4780880447
S66x8/44-B,-197.4861813845
S66x8/44-090,-275.9652771621
S66x8/44-095,-275.9659245715
S66x8/44-100,-275.9660734446
S66x8/44-105,-275.9663856051
S66x8/44-110,-275.9660324732
S66x8/44-125,-275.9655405442
S66x8/44-150,-275.9648020852
S66x8/44-200,-275.9644324213
S66x8/45-A,-77.2313342781
S66x8/45-B,-197.486241981
S66x8/45-090,-274.7174847583
S66x8/45-095,-274.718523062
S66x8/45-100,-274.7190100399
S66x8/45-105,-274.7191375795
S66x8/45-110,-274.7189618961
S66x8/45-125,-274.7185090355
S66x8/45-150,-274.7178519841
S66x8/45-200,-274.7174938377
S66x8/46-A,-248.251520656
S66x8/46-B,-197.4861645104
S66x8/46-090,-445.7406913571
S66x8/46-095,-445.7415633427
S66x8/46-100,-445.7419713134
S66x8/46-105,-445.7422570398
S66x8/46-110,-445.7418469205
S66x8/46-125,-445.7407552401
S66x8/46-150,-445.7388876069
S66x8/46-200,-445.7379830555
S66x8/47-A,-231.9403191342
S66x8/47-B,-231.940223489
S66x8/47-090,-463.8808673365
S66x8/47-095,-463.882670999
S66x8/47-100,-463.8833279442
S66x8/47-105,-463.8837432423
S66x8/47-110,-463.8834745867
S66x8/47-125,-463.8826327291
S66x8/47-150,-463.8815696672
S66x8/47-200,-463.8808902189
S66x8/48-A,-247.9739605027
S66x8/48-B,-247.9739138073
S66x8/48-090,-495.9494960339
S66x8/48-095,-495.9509418044
S66x8/48-100,-495.9517021428
S66x8/48-105,-495.9519436569
S66x8/48-110,-495.9515891108
S66x8/48-125,-495.9506906545
S66x8/48-150,-495.9493634565
S66x8/48-200,-495.9484016236
S66x8/49-A,-231.9403173328
S66x8/49-B,-247.9739546145
S66x8/49-090,-479.9152225474
S66x8/49-095,-479.9171398673
S66x8/49-100,-479.9177151076
S66x8/49-105,-479.9180738174
S66x8/49-110,-479.9178811774
S66x8/49-125,-479.9168763901
S66x8/49-150,-479.9155427245
S66x8/49-200,-479.9147099157
S66x8/50-A,-231.9403122751
S66x8/50-B,-77.2313631554
S66x8/50-090,-309.1732888943
S66x8/50-095,-309.1747147703
S66x8/50-100,-309.175302186
S66x8/50-105,-309.1749669961
S66x8/50-110,-309.1750883363
S66x8/50-125,-309.1740261368
S66x8/50-150,-309.1727374443
S66x8/50-200,-309.1718826793
S66x8/51-A,-77.2313421963
S66x8/51-B,-77.2313751077
S66x8/51-090,-154.4639294585
S66x8/51-095,-154.4644299334
S66x8/51-100,-154.4646507212
S66x8/51-105,-154.4645993334
S66x8/51-110,-154.4644787987
S66x8/51-125,-154.4639532949
S66x8/51-150,-154.4633229207
S66x8/51-200,-154.4628593493
S66x8/52-A,-231.9403128339
S66x8/52-B,-228.8720653381
S66x8/52-090,-460.8166929217
S66x8/52-095,-460.8179112827
S66x8/52-100,-460.8182999209
S66x8/52-105,-460.8181787179
S66x8/52-110,-460.8179294855
S66x8/52-125,-460.8165142351
S66x8/52-150,-460.8146673759
S66x8/52-200,-460.8130968254
S66x8/53-A,-231.9403204205
S66x8/53-B,-209.0003349839
S66x8/53-090,-440.9445562549
S66x8/53-095,-440.9456774559
S66x8/53-100,-440.946100292
S66x8/53-105,-440.9460142614
S66x8/53-110,-440.9457265087
S66x8/53-125,-440.9446909456
S66x8/53-150,-440.9428741257
S66x8/53-200,-440.9412429185
S66x8/54-A,-231.9402995839
S66x8/54-B,-76.3684571398
S66x8/54-090,-308.3125087426
S66x8/54-095,-308.3132772481
S66x8/54-100,-308.3134425816
S66x8/54-105,-308.3133874414
S66x8/54-110,-308.3130380839
S66x8/54-125,-308.3119528297
S66x8/54-150,-308.3105137672
S66x8/54-200,-308.3093739912
S66x8/55-A,-231.9402810582
S66x8/55-B,-115.6069430384
S66x8/55-090,-347.5509696272
S66x8/55-095,-347.552210882
S66x8/55-100,-347.5525364607
S66x8/55-105,-347.5525489527
S66x8/55-110,-347.5524071497
S66x8/55-125,-347.5511234058
S66x8/55-150,-347.5493448786
S66x8/55-200,-347.5479555925
S66x8/56-A,-231.9403176836
S66x8/56-B,-95.7411813756
S66x8/56-090,-327.6834557672
S66x8/56-095,-327.684741994
S66x8/56-100,-327.6852255391
S66x8/56-105,-327.6851828252
S66x8/56-110,-327.6850475486
S66x8/56-125,-327.6839868748
S66x8/56-150,-327.6826787214
S66x8/56-200,-327.6818268166
S66x8/57-A,-231.9402806643
S66x8/57-B,-248.251494072
S66x8/57-090,-480.1947476712
S66x8/57-095,-480.1972401679
S66x8/57-100,-480.198006079
S66x8/57-105,-480.1980141471
S66x8/57-110,-480.19782196
S66x8/57-125,-480.1961798204
S66x8/57-150,-480.1941696723
S66x8/57-200,-480.192615108
S66x8/58-A,-247.9739149813
S66x8/58-B,-247.9738851098
S66x8/58-090,-495.9500003171
S66x8/58-095,-495.9519495682
S66x8/58-100,-495.9528227013
S66x8/58-105,-495.9527653094
S66x8/58-110,-495.9522469538
S66x8/58-125,-495.950698866
S66x8/58-150,-495.9491673879
S66x8/58-200,-495.9481897504
S66x8/59-A,-77.2313791274
S66x8/59-B,-76.3685036517
S66x8/59-090,-153.6035160486
S66x8/59-095,-153.6040049929
S66x8/59-100,-153.6041381881
S66x8/59-105,-153.6040603583
S66x8/59-110,-153.6038104697
S66x8/59-125,-153.6028999938
S66x8/59-150,-153.6016310582
S66x8/59-200,-153.6004838181
S66x8/60-A,-77.2313221098
S66x8/60-B,-228.8720346577
S66x8/60-090,-306.1088372
S66x8/60-095,-306.1098004545
S66x8/60-100,-306.1100107636
S66x8/60-105,-306.1098934879
S66x8/60-110,-306.1095612957
S66x8/60-125,-306.1079579099
S66x8/60-150,-306.1058230507
S66x8/60-200,-306.1040626577
S66x8/61-A,-197.4861977119
S66x8/61-B,-228.8721507699
S66x8/61-090,-426.3601935056
S66x8/61-095,-426.360835106
S66x8/61-100,-426.3611795323
S66x8/61-105,-426.3612396696
S66x8/61-110,-426.3609339264
S66x8/61-125,-426.3604443348
S66x8/61-150,-426.3590923342
S66x8/61-200,-426.3584968191
S66x8/62-A,-197.4862380207
S66x8/62-B,-209.0003852556
S66x8/62-090,-406.4889118791
S66x8/62-095,-406.4897245
S66x8/62-100,-406.4902624173
S66x8/62-105,-406.4902614002
S66x8/62-110,-406.4898011469
S66x8/62-125,-406.4890267789
S66x8/62-150,-406.4876481935
S66x8/62-200,-406.4868585343
S66x8/63-A,-231.9403485719
S66x8/63-B,-228.8720932084
S66x8/63-090,-460.8141071548
S66x8/63-095,-460.8159036407
S66x8/63-100,-460.8165912081
S66x8/63-105,-460.8165406326
S66x8/63-110,-460.8162479383
S66x8/63-125,-460.8149483157
S66x8/63-150,-460.8136762947
S66x8/63-200,-460.8126848755
S66x8/64-A,-248.2515127282
S66x8/64-B,-78.4781014198
S66x8/64-090,-326.7316527802
S66x8/64-095,-326.7324542055
S66x8/64-100,-326.7326964011
S66x8/64-105,-326.7328349049
S66x8/64-110,-326.7327279236
S66x8/64-125,-326.731860882
S66x8/64-150,-326.7306335502
S66x8/64-200,-326.7297671996
S66x8/65-A,-247.9739914477
S66x8/65-B,-77.2309819328
S66x8/65-090,-325.2099057843
S66x8/65-095,-325.2106016009
S66x8/65-100,-325.2108298046
S66x8/65-105,-325.2107625642
S66x8/65-110,-325.2105043235
S66x8/65-125,-325.2093719806
S66x8/65-150,-325.207722902
S66x8/65-200,-325.2062059612
S66x8/66-A,-95.7411727572
S66x8/66-B,-247.9739785856
S66x8/66-090,-343.7182853865
S66x8/66-095,-343.719196673
S66x8/66-100,-343.7195657799
S66x8/66-105,-343.7196172089
S66x8/66-110,-343.7194765418
S66x8/66-125,-343.7184923152
