system,DFTB3/3ob-3-1/dftb+
S66x8/06-095,-12.5099610661
S66x8/06-100,-12.5108274859
S66x8/06-105,-12.5110007211
S66x8/06-110,-12.5107951476
S66x8/06-125,-12.5095946209
S66x8/06-150,-12.5082839458
S66x8/06-200,-12.5074491429
S66x8/07-A,-6.5190331321
S66x8/07-B,-13.486437322
S66x8/07-090,-20.011992561
S66x8/07-095,-20.0131665363
S66x8/07-100,-20.0135082564
S66x8/07-105,-20.013340378
S66x8/07-110,-20.0128908478
S66x8/07-125,-20.011101751
S66x8/07-150,-20.0086845893
S66x8/07-200,-20.006618533
S66x8/08-A,-6.51896389
S66x8/08-B,-4.0635853113
S66x8/08-090,-10.5860565013
S66x8/08-095,-10.5870153925
S66x8/08-100,-10.5873089279
S66x8/08-105,-10.5872192822
S66x8/08-110,-10.586932752
S66x8/08-125,-10.5858266521
S66x8/08-150,-10.5845858557
S66x8/08-200,-10.5835492256
S66x8/09-A,-5.987786416
S66x8/09-B,-6.5187618544
S66x8/09-090,-12.5078181678
S66x8/09-095,-12.508219732
S66x8/09-100,-12.5082720252
S66x8/09-105,-12.5081614211
S66x8/09-110,-12.5079919925
S66x8/09-125,-12.5075218305
S66x8/09-150,-12.5071185761
S66x8/09-200,-12.5068096018
S66x8/10-A,-5.9878566214
S66x8/10-B,-5.9877083294
S66x8/10-090,-11.9745344799
S66x8/10-095,-11.9757783664
S66x8/10-100,-11.9763389707
S66x8/10-105,-11.9765336305
S66x8/10-110,-11.976542387
S66x8/10-125,-11.9762602415
S66x8/10-150,-11.9758692573
S66x8/10-200,-11.9756513927
S66x8/11-A,-5.9877593513
S66x8/11-B,-13.4863752388
S66x8/11-090,-19.4760497743
S66x8/11-095,-19.4767943873
S66x8/11-100,-19.4770194597
S66x8/11-105,-19.4769666178
S66x8/11-110,-19.4767819756
S66x8/11-125,-19.4757764878
S66x8/11-150,-19.4749501475
S66x8/11-200,-19.4744827847
S66x8/12-A,-5.9876834005
S66x8/12-B,-4.0631025888
S66x8/12-090,-10.0519691712
S66x8/12-095,-10.0540252693
S66x8/12-100,-10.0549564462
S66x8/12-105,-10.055195886
S66x8/12-110,-10.055050572
S66x8/12-125,-10.0539672511
S66x8/12-150,-10.0526937057
S66x8/12-200,-10.0518339455
S66x8/13-A,-13.4859239709
S66x8/13-B,-6.5187569142
S66x8/13-090,-20.0070751475
S66x8/13-095,-20.0086334494
S66x8/13-100,-20.0093363262
S66x8/13-105,-20.0095238575
S66x8/13-110,-20.0094210879
S66x8/13-125,-20.0085470664
S66x8/13-150,-20.0073023283
S66x8/13-200,-20.0060988708
S66x8/14-A,-13.4858299402
S66x8/14-B,-5.9877126279
S66x8/14-090,-19.4742374947
S66x8/14-095,-19.4762851225
S66x8/14-100,-19.4772106249
S66x8/14-105,-19.4774729819
S66x8/14-110,-19.4773799023
S66x8/14-125,-19.4764952721
S66x8/14-150,-19.4753857534
S66x8/14-200,-19.4744990841
S66x8/15-A,-13.4872859428
S66x8/15-B,-13.4873788694
S66x8/15-090,-26.9808760263
S66x8/15-095,-26.9822281141
S66x8/15-100,-26.9826905374
S66x8/15-105,-26.9826204618
S66x8/15-110,-26.9822589632
S66x8/15-125,-26.9806998456
S66x8/15-150,-26.9787276414
S66x8/15-200,-26.9766780115
S66x8/16-A,-13.4873627626
S66x8/16-B,-4.063595899
S66x8/16-090,-17.5544508038
S66x8/16-095,-17.5555245322
S66x8/16-100,-17.5559049892
S66x8/16-105,-17.5558910969
S66x8/16-110,-17.5556728326
S66x8/16-125,-17.5547157713
S66x8/16-150,-17.5535237614
S66x8/16-200,-17.5523536971
S66x8/17-A,-19.7722606918
S66x8/17-B,-19.7722265314
S66x8/17-090,-39.5574536131
S66x8/17-095,-39.5613699547
S66x8/17-100,-39.5630913412
S66x8/17-105,-39.5633478197
S66x8/17-110,-39.5626987899
S66x8/17-125,-39.5587431242
S66x8/17-150,-39.5530468262
S66x8/17-200,-39.5482504586
S66x8/18-A,-4.063649604
S66x8/18-B,-12.810326875
S66x8/18-090,-16.8762753431
S66x8/18-095,-16.8776717555
S66x8/18-100,-16.8781188602
S66x8/18-105,-16.8780202418
S66x8/18-110,-16.8776526119
S66x8/18-125,-16.8763201607
S66x8/18-150,-16.8750875496
S66x8/18-200,-16.87435372
S66x8/19-A,-6.5189341311
S66x8/19-B,-12.8103323816
S66x8/19-090,-19.3303201741
S66x8/19-095,-19.3322849917
S66x8/19-100,-19.3331306053
S66x8/19-105,-19.3332858213
S66x8/19-110,-19.3331513598
S66x8/19-125,-19.3318158135
S66x8/19-150,-19.3306332049
S66x8/19-200,-19.3298612637
S66x8/20-A,-11.5650895688
S66x8/20-B,-11.565094123
S66x8/20-090,-23.1485201017
S66x8/20-095,-23.1520409753
S66x8/20-100,-23.1534637325
S66x8/20-105,-23.1534094097
S66x8/20-110,-23.1523948149
S66x8/20-125,-23.1473021407
S66x8/20-150,-23.139981359
S66x8/20-200,-23.1342625039
S66x8/21-A,-11.0258208334
S66x8/21-B,-11.0258238048
S66x8/21-090,-22.0672375273
S66x8/21-095,-22.070068147
S66x8/21-100,-22.0709702911
S66x8/21-105,-22.0706640169
S66x8/21-110,-22.069669706
S66x8/21-125,-22.065499947
S66x8/21-150,-22.0602611012
S66x8/21-200,-22.0554043767
S66x8/22-A,-11.5650614249
S66x8/22-B,-19.7720888454
S66x8/22-090,-31.3544368021
S66x8/22-095,-31.358314146
S66x8/22-100,-31.3600165534
S66x8/22-105,-31.360210735
S66x8/22-110,-31.3594343463
S66x8/22-125,-31.3548202855
S66x8/22-150,-31.3479941371
S66x8/22-200,-31.3421487085
S66x8/23-A,-11.0256847709
S66x8/23-B,-19.7720818714
S66x8/23-090,-30.8151349058
S66x8/23-095,-30.8187211433
S66x8/23-100,-30.8202537909
S66x8/23-105,-30.8203976661
S66x8/23-110,-30.8196666357
S66x8/23-125,-30.8154647959
S66x8/23-150,-30.8092454659
S66x8/23-200,-30.8035617737
S66x8/24-A,-12.512276153
S66x8/24-B,-12.5123068187
S66x8/24-090,-25.0209757054
S66x8/24-095,-25.0228540045
S66x8/24-100,-25.0236501754
S66x8/24-105,-25.0239942597
S66x8/24-110,-25.0241557048
S66x8/24-125,-25.0243497231
S66x8/24-150,-25.0244782648
S66x8/24-200,-25.0245540537
S66x8/25-A,-12.8103124337
S66x8/25-B,-12.8102790281
S66x8/25-090,-25.6175604492
S66x8/25-095,-25.6194632588
S66x8/25-100,-25.6202553622
S66x8/25-105,-25.6205568869
S66x8/25-110,-25.6206629721
S66x8/25-125,-25.6207058539
S66x8/25-150,-25.6206840756
S66x8/25-200,-25.6206398954
S66x8/26-A,-19.7717227282
S66x8/26-B,-19.7717227282
S66x8/26-090,-39.5478438182
S66x8/26-095,-39.5497750801
S66x8/26-100,-39.5501973362
S66x8/26-105,-39.5499360485
S66x8/26-110,-39.5494138833
S66x8/26-125,-39.5477693342
S66x8/26-150,-39.5460296926
S66x8/26-200,-39.5445566297
S66x8/27-A,-12.512295196
S66x8/27-B,-12.8102765865
S66x8/27-090,-25.3190649686
S66x8/27-095,-25.321120329
S66x8/27-100,-25.3219477691
S66x8/27-105,-25.3222742851
S66x8/27-110,-25.3224058206
S66x8/27-125,-25.3225163701
S66x8/27-150,-25.3225661271
S66x8/27-200,-25.3225813894
S66x8/28-A,-12.5122886532
S66x8/28-B,-19.771897254
S66x8/28-090,-32.2823451418
S66x8/28-095,-32.2843733478
S66x8/28-100,-32.2851254015
S66x8/28-105,-32.2853079005
S66x8/28-110,-32.2852626536
S66x8/28-125,-32.2848912719
S66x8/28-150,-32.284487475
S66x8/28-200,-32.2842022681
S66x8/29-A,-12.8103514788
S66x8/29-B,-19.7717850882
S66x8/29-090,-32.5818307936
S66x8/29-095,-32.5844363166
S66x8/29-100,-32.5851425487
S66x8/29-105,-32.5851204662
S66x8/29-110,-32.5848642461
S66x8/29-125,-32.5840319209
S66x8/29-150,-32.5831960273
S66x8/29-200,-32.5825206283
S66x8/30-A,-12.5122934262
S66x8/30-B,-4.8990205481
S66x8/30-090,-17.4096662657
S66x8/30-095,-17.4104052115
S66x8/30-100,-17.4107039407
S66x8/30-105,-17.4108362852
S66x8/30-110,-17.4109100267
S66x8/30-125,-17.4110452337
S66x8/30-150,-17.4111708514
S66x8/30-200,-17.4112636633
S66x8/31-A,-19.7718558583
S66x8/31-B,-4.8990357636
S66x8/31-090,-24.6709358519
S66x8/31-095,-24.6717197011
S66x8/31-100,-24.67195102
S66x8/31-105,-24.6719476748
S66x8/31-110,-24.6718607906
S66x8/31-125,-24.6715665279
S66x8/31-150,-24.671267802
S66x8/31-200,-24.6710150104
S66x8/32-A,-19.7718481032
S66x8/32-B,-4.0944492907
S66x8/32-090,-23.8672336953
S66x8/32-095,-23.8680489086
S66x8/32-100,-23.8682383285
S66x8/32-105,-23.8681584717
S66x8/32-110,-23.8679829461
S66x8/32-125,-23.8674443032
S66x8/32-150,-23.8669003926
S66x8/32-200,-23.8664725654
S66x8/33-A,-12.8102542242
S66x8/33-B,-4.8989835181
S66x8/33-090,-17.7079493982
S66x8/33-095,-17.7085822323
S66x8/33-100,-17.7088294294
S66x8/33-105,-17.7089266907
S66x8/33-110,-17.708972981
S66x8/33-125,-17.7090581098
S66x8/33-150,-17.7091507837
S66x8/33-200,-17.7092227452
S66x8/34-A,-13.1090431036
S66x8/34-B,-13.1089322577
S66x8/34-090,-26.2162388699
S66x8/34-095,-26.2178440048
S66x8/34-100,-26.2184268212
S66x8/34-105,-26.2185515059
S66x8/34-110,-26.2185030186
S66x8/34-125,-26.2182730745
S66x8/34-150,-26.21820231
S66x8/34-200,-26.2182070944
S66x8/35-A,-13.1090236798
S66x8/35-B,-13.1078332103
S66x8/35-090,-26.215860549
S66x8/35-095,-26.216999963
S66x8/35-100,-26.2172947909
S66x8/35-105,-26.2172722468
S66x8/35-110,-26.2171634476
S66x8/35-125,-26.2169270173
S66x8/35-150,-26.2168635169
S66x8/35-200,-26.2168577554
S66x8/36-A,-13.1077793995
S66x8/36-B,-13.1077990638
S66x8/36-090,-26.2159694305
S66x8/36-095,-26.2160865936
S66x8/36-100,-26.2159713298
S66x8/36-105,-26.2158026867
S66x8/36-110,-26.2156548876
S66x8/36-125,-26.2154308877
S66x8/36-150,-26.2153712457
S66x8/36-200,-26.215342589
S66x8/37-A,-12.341529014
S66x8/37-B,-13.1075356046
S66x8/37-090,-25.4483138462
S66x8/37-095,-25.4494663971
S66x8/37-100,-25.4497906229
S66x8/37-105,-25.4497855118
S66x8/37-110,-25.4496767482
S66x8/37-125,-25.4493957839
S66x8/37-150,-25.4492979646
S66x8/37-200,-25.4492889777
S66x8/38-A,-12.3413050203
S66x8/38-B,-12.3413193069
S66x8/38-090,-24.6811139863
S66x8/38-095,-24.682423166
S66x8/38-100,-24.6829445129
S66x8/38-105,-24.6830157615
S66x8/38-110,-24.6829274572
S66x8/38-125,-24.6826654649
S66x8/38-150,-24.682599036
S66x8/38-200,-24.6826063142
S66x8/39-A,-12.5123019586
S66x8/39-B,-12.3413030578
S66x8/39-090,-24.850961339
S66x8/39-095,-24.8526450484
S66x8/39-100,-24.853335894
S66x8/39-105,-24.8535618937
S66x8/39-110,-24.8536049919
S66x8/39-125,-24.8535748671
S66x8/39-150,-24.8535836047
S66x8/39-200,-24.8535992526
S66x8/40-A,-12.5123071945
S66x8/40-B,-13.1076981951
S66x8/40-090,-25.6187841139
S66x8/40-095,-25.6198158552
S66x8/40-100,-25.6201473441
S66x8/40-105,-25.6202027773
S66x8/40-110,-25.6201726427
S66x8/40-125,-25.6200802816
S66x8/40-150,-25.6200530021
S66x8/40-200,-25.6200383235
S66x8/41-A,-19.7719657865
S66x8/41-B,-13.1090784064
S66x8/41-090,-32.8799834852
S66x8/41-095,-32.8813991523
S66x8/41-100,-32.8818977679
S66x8/41-105,-32.8819792019
S66x8/41-110,-32.8818738497
S66x8/41-125,-32.8814902063
S66x8/41-150,-32.8812258743
S66x8/41-200,-32.8810860385
S66x8/42-A,-19.771923132
S66x8/42-B,-12.3413378976
S66x8/42-090,-32.1117116777
S66x8/42-095,-32.1132583281
S66x8/42-100,-32.113782346
S66x8/42-105,-32.113875347
S66x8/42-110,-32.1138150132
S66x8/42-125,-32.1135609142
S66x8/42-150,-32.1133843949
S66x8/42-200,-32.1132897011
S66x8/43-A,-19.7718787004
S66x8/43-B,-13.1078178485
S66x8/43-090,-32.8782884072
S66x8/43-095,-32.8795051935
S66x8/43-100,-32.8799257164
S66x8/43-105,-32.8800146245
S66x8/43-110,-32.8799844448
S66x8/43-125,-32.8798172508
S66x8/43-150,-32.8796868918
S66x8/43-200,-32.8796111878
S66x8/44-A,-4.8990216253
S66x8/44-B,-13.1090949265
S66x8/44-090,-18.0073635336
S66x8/44-095,-18.0080528485
S66x8/44-100,-18.0082768325
S66x8/44-105,-18.0083059442
S66x8/44-110,-18.0082695148
S66x8/44-125,-18.0081580359
S66x8/44-150,-18.0081210188
S66x8/44-200,-18.0081146175
S66x8/45-A,-4.0944543569
S66x8/45-B,-13.1090213047
S66x8/45-090,-17.2025744716
S66x8/45-095,-17.2031741357
S66x8/45-100,-17.2033692194
S66x8/45-105,-17.2034111801
S66x8/45-110,-17.2034063845
S66x8/45-125,-17.2033796512
S66x8/45-150,-17.2033735472
S66x8/45-200,-17.2033551568
S66x8/46-A,-13.4874344948
S66x8/46-B,-13.1089643772
S66x8/46-090,-26.5958447356
S66x8/46-095,-26.5967368841
S66x8/46-100,-26.597073867
S66x8/46-105,-26.5971383003
S66x8/46-110,-26.5970858796
S66x8/46-125,-26.5968289834
S66x8/46-150,-26.5966084568
S66x8/46-200,-26.5965022595
S66x8/47-A,-12.512302692
S66x8/47-B,-12.5123134481
S66x8/47-090,-25.0220631962
S66x8/47-095,-25.0238123434
S66x8/47-100,-25.0245527628
S66x8/47-105,-25.0248150559
S66x8/47-110,-25.0248720773
S66x8/47-125,-25.0247852201
S66x8/47-150,-25.0246948583
S66x8/47-200,-25.0246323035
S66x8/48-A,-12.8103406631
S66x8/48-B,-12.8103202598
S66x8/48-090,-25.6192817854
S66x8/48-095,-25.6206045735
S66x8/48-100,-25.621140861
S66x8/48-105,-25.6212998129
S66x8/48-110,-25.6212963652
S66x8/48-125,-25.6211017048
S66x8/48-150,-25.6209105041
S66x8/48-200,-25.6207596916
S66x8/49-A,-12.5123076423
S66x8/49-B,-12.8102935081
S66x8/49-090,-25.3200463421
S66x8/49-095,-25.3219251299
S66x8/49-100,-25.3227244862
S66x8/49-105,-25.3230048903
S66x8/49-110,-25.323059141
S66x8/49-125,-25.322932634
S66x8/49-150,-25.322792546
S66x8/49-200,-25.3226817326
S66x8/50-A,-12.5122958363
S66x8/50-B,-4.094480369
S66x8/50-090,-16.6059791327
S66x8/50-095,-16.6072650295
S66x8/50-100,-16.607715412
S66x8/50-105,-16.6077786994
S66x8/50-110,-16.6076911082
S66x8/50-125,-16.60734722
S66x8/50-150,-16.6070696011
S66x8/50-200,-16.6068659107
S66x8/51-A,-4.0944601128
S66x8/51-B,-4.0944866113
S66x8/51-090,-8.1895321373
S66x8/51-095,-8.1897470885
S66x8/51-100,-8.1897282048
S66x8/51-105,-8.1896245014
S66x8/51-110,-8.1895072191
S66x8/51-125,-8.1892595381
S66x8/51-150,-8.1890938317
S66x8/51-200,-8.1889763908
S66x8/52-A,-12.5122915676
S66x8/52-B,-11.5659784759
S66x8/52-090,-24.0798293092
S66x8/52-095,-24.0807427479
S66x8/52-100,-24.0809834331
S66x8/52-105,-24.0808797576
S66x8/52-110,-24.0806288365
S66x8/52-125,-24.0798269145
S66x8/52-150,-24.0791141754
S66x8/52-200,-24.0785801214
S66x8/53-A,-12.5122815526
S66x8/53-B,-11.0266451933
S66x8/53-090,-23.5401836694
S66x8/53-095,-23.5409748691
S66x8/53-100,-23.5411959532
S66x8/53-105,-23.5411316953
S66x8/53-110,-23.5409468807
S66x8/53-125,-23.5403325126
S66x8/53-150,-23.5397205792
S66x8/53-200,-23.5391833053
S66x8/54-A,-12.5122999623
S66x8/54-B,-4.0634023588
S66x8/54-090,-16.5771456557
S66x8/54-095,-16.5776071073
S66x8/54-100,-16.577649321
S66x8/54-105,-16.5775060725
S66x8/54-110,-16.577303526
S66x8/54-125,-16.5767756422
S66x8/54-150,-16.5763242551
S66x8/54-200,-16.5759390555
S66x8/55-A,-12.5123007695
S66x8/55-B,-6.5189282584
S66x8/55-090,-19.0313898187
S66x8/55-095,-19.0324052946
S66x8/55-100,-19.0327828614
S66x8/55-105,-19.0328302837
S66x8/55-110,-19.0327279189
S66x8/55-125,-19.0322775831
S66x8/55-150,-19.0318449922
S66x8/55-200,-19.0314850099
S66x8/56-A,-12.5123008512
S66x8/56-B,-5.9876973217
S66x8/56-090,-18.4990076182
S66x8/56-095,-18.5000098581
S66x8/56-100,-18.5004355853
S66x8/56-105,-18.5005736212
S66x8/56-110,-18.5005665633
S66x8/56-125,-18.5003943226
S66x8/56-150,-18.5002384194
S66x8/56-200,-18.5001096119
S66x8/57-A,-12.5123104083
S66x8/57-B,-13.4873024499
S66x8/57-090,-25.9984319771
S66x8/57-095,-26.0003934724
S66x8/57-100,-26.0011427071
S66x8/57-105,-26.001317222
S66x8/57-110,-26.0012479324
S66x8/57-125,-26.0007907268
S66x8/57-150,-26.0003300601
S66x8/57-200,-25.9999355692
S66x8/58-A,-12.8103939019
S66x8/58-B,-12.8104217331
S66x8/58-090,-25.6183825853
S66x8/58-095,-25.6205272946
S66x8/58-100,-25.6215998489
S66x8/58-105,-25.6217504208
S66x8/58-110,-25.6216548458
S66x8/58-125,-25.6213040091
S66x8/58-150,-25.6210543329
S66x8/58-200,-25.6208987975
S66x8/59-A,-4.0944931119
S66x8/59-B,-4.06356372
S66x8/59-090,-8.1608314672
S66x8/59-095,-8.1610649143
S66x8/59-100,-8.1609667186
S66x8/59-105,-8.160720008
S66x8/59-110,-8.1604283846
S66x8/59-125,-8.1596685423
S66x8/59-150,-8.1589747024
S66x8/59-200,-8.1584022998
S66x8/60-A,-4.0944529246
S66x8/60-B,-11.5660740517
S66x8/60-090,-15.6632467256
S66x8/60-095,-15.6640781662
S66x8/60-100,-15.6642312461
S66x8/60-105,-15.6640302846
S66x8/60-110,-15.663675533
S66x8/60-125,-15.6625751951
S66x8/60-150,-15.6615650226
S66x8/60-200,-15.660860241
S66x8/61-A,-13.1090749219
S66x8/61-B,-11.56597936
S66x8/61-090,-24.6751664605
S66x8/61-095,-24.6754975052
S66x8/61-100,-24.6755906761
S66x8/61-105,-24.6755720213
S66x8/61-110,-24.6755102452
S66x8/61-125,-24.6753220738
S66x8/61-150,-24.6751689651
S66x8/61-200,-24.6750957187
S66x8/62-A,-13.1090426912
S66x8/62-B,-11.0267125287
S66x8/62-090,-24.1361961682
S66x8/62-095,-24.1366348068
S66x8/62-100,-24.1367039809
S66x8/62-105,-24.1366174408
S66x8/62-110,-24.1364838063
S66x8/62-125,-24.1361512129
S66x8/62-150,-24.1359241605
S66x8/62-200,-24.1357968773
S66x8/63-A,-12.512286408
S66x8/63-B,-11.5659621635
S66x8/63-090,-24.0773571921
S66x8/63-095,-24.0785875001
S66x8/63-100,-24.079035002
S66x8/63-105,-24.0791297492
S66x8/63-110,-24.0790842206
S66x8/63-125,-24.0788234185
S66x8/63-150,-24.078559933
S66x8/63-200,-24.0783586915
S66x8/64-A,-13.4872624038
S66x8/64-B,-4.8990943988
S66x8/64-090,-18.3867498984
S66x8/64-095,-18.3871395851
S66x8/64-100,-18.3872087689
S66x8/64-105,-18.3871397118
S66x8/64-110,-18.3870257985
S66x8/64-125,-18.3867231201
S66x8/64-150,-18.3864686197
S66x8/64-200,-18.3862994083
S66x8/65-A,-12.8103323795
S66x8/65-B,-4.094196159
S66x8/65-090,-16.9072305877
S66x8/65-095,-16.9074477707
S66x8/65-100,-16.9072654911
S66x8/65-105,-16.9069315817
S66x8/65-110,-16.9065731309
S66x8/65-125,-16.9057541441
S66x8/65-150,-16.9051908692
S66x8/65-200,-16.9048228569
S66x8/66-A,-5.9876475443
S66x8/66-B,-12.8102997067
S66x8/66-090,-18.7970303187
S66x8/66-095,-18.7980980255
S66x8/66-100,-18.7985978658
S66x8/66-105,-18.7987882372
S66x8/66-110,-18.7988184673
S66x8/66-125,-18.7986354346
S66x8/66-150,-18.7983999413
