system,OPBE/def2-QZVP/ORCA
S22x5/19-A,-307.4670515931
S22x5/19-B,-307.4668518633
S22x5/19-0.9,-614.9272394467
S22x5/19-1.0,-614.9309100059
S22x5/19-1.2,-614.9344187982
S22x5/19-1.5,-614.935714555
S22x5/19-2.0,-614.9352709658
S22x5/20-A,-414.8268037573
S22x5/20-B,-414.8268037573
S22x5/20-0.9,-829.6263620116
S22x5/20-1.0,-829.6439845408
S22x5/20-1.2,-829.6552116751
S22x5/20-1.5,-829.6558755538
S22x5/20-2.0,-829.6544449922
S22x5/21-A,-414.8260460508
S22x5/21-B,-414.8260460508
S22x5/21-0.9,-829.6672833073
S22x5/21-1.0,-829.6703962708
S22x5/21-1.2,-829.6688203123
S22x5/21-1.5,-829.6638756023
S22x5/21-2.0,-829.6581790008
S22x5/22-A,-232.2412612116
S22x5/22-B,-93.4191608072
S22x5/22-0.9,-325.6568679662
S22x5/22-1.0,-325.6597352357
S22x5/22-1.2,-325.6621648077
S22x5/22-1.5,-325.6625388513
S22x5/22-2.0,-325.6615298655
S66x8/01-A,-76.4342913561
S66x8/01-B,-76.4343057794
S66x8/01-090,-152.8708126808
S66x8/01-095,-152.87174578
S66x8/01-100,-152.8722775996
S66x8/01-105,-152.8725462459
S66x8/01-110,-152.8726356396
S66x8/01-125,-152.8724143228
S66x8/01-150,-152.8715060692
S66x8/01-200,-152.8699828083
S66x8/02-A,-76.434286418
S66x8/02-B,-115.7261705019
S66x8/02-090,-192.1617419416
S66x8/02-095,-192.1628909591
S66x8/02-100,-192.1635714848
S66x8/02-105,-192.1639591087
S66x8/02-110,-192.1641395554
S66x8/02-125,-192.1640863742
S66x8/02-150,-192.1633126828
S66x8/02-200,-192.1618216767
S66x8/03-A,-76.4342664793
S66x8/03-B,-95.8643604925
S66x8/03-090,-172.3038295036
S66x8/03-095,-172.3045914727
S66x8/03-100,-172.3048753526
S66x8/03-105,-172.3048664463
S66x8/03-110,-172.3046888115
S66x8/03-125,-172.3037867483
S66x8/03-150,-172.302261659
S66x8/03-200,-172.3002646509
S66x8/04-A,-76.4342711861
S66x8/04-B,-248.5271710781
S66x8/04-090,-324.9639873932
S66x8/04-095,-324.9652725229
S66x8/04-100,-324.9660065321
S66x8/04-105,-324.9664113842
S66x8/04-110,-324.9666067749
S66x8/04-125,-324.9665120143
S66x8/04-150,-324.9655991695
S66x8/04-200,-324.9634184309
S66x8/05-A,-115.7262892813
S66x8/05-B,-115.7261935283
S66x8/05-090,-231.4534871172
S66x8/05-095,-231.454727768
S66x8/05-100,-231.4554695887
S66x8/05-105,-231.4559005541
S66x8/05-110,-231.4561166872
S66x8/05-125,-231.456115601
S66x8/05-150,-231.4553813876
S66x8/05-200,-231.4538944378
S66x8/06-A,-115.7261696582
S66x8/06-B,-95.864329223
S66x8/06-090,-211.594079248
S66x8/06-095,-211.5953535944
S66x8/06-100,-211.5959922801
S66x8/06-105,-211.5962574483
S66x8/06-110,-211.5962831929
S66x8/06-125,-211.5956858714
S66x8/06-150,-211.5943244271
S66x8/06-200,-211.592336818
S66x8/07-A,-115.7262802478
S66x8/07-B,-248.5267823754
S66x8/07-090,-364.2550338596
S66x8/07-095,-364.2564469238
S66x8/07-100,-364.2572696157
S66x8/07-105,-364.2577266434
S66x8/07-110,-364.2579566676
S66x8/07-125,-364.2579420545
S66x8/07-150,-364.256940753
S66x8/07-200,-364.2545998632
S66x8/08-A,-115.7262903454
S66x8/08-B,-76.4343043127
S66x8/08-090,-192.1624366979
S66x8/08-095,-192.1634598216
S66x8/08-100,-192.1640556591
S66x8/08-105,-192.1643778888
S66x8/08-110,-192.1645088821
S66x8/08-125,-192.1643590121
S66x8/08-150,-192.1635070911
S66x8/08-200,-192.1620170679
S66x8/09-A,-95.8644130392
S66x8/09-B,-115.7262502676
S66x8/09-090,-211.5877387807
S66x8/09-095,-211.5892234176
S66x8/09-100,-211.5902421561
S66x8/09-105,-211.5909370678
S66x8/09-110,-211.5914256504
S66x8/09-125,-211.5920377661
S66x8/09-150,-211.5919394981
S66x8/09-200,-211.5912632715
S66x8/10-A,-95.8644805846
S66x8/10-B,-95.8643858279
S66x8/10-090,-191.7246706937
S66x8/10-095,-191.7264619704
S66x8/10-100,-191.7277426608
S66x8/10-105,-191.7286690691
S66x8/10-110,-191.7293057736
S66x8/10-125,-191.7302528425
S66x8/10-150,-191.7302215651
S66x8/10-200,-191.729381729
S66x8/11-A,-95.8643826658
S66x8/11-B,-248.5269323734
S66x8/11-090,-344.3854289587
S66x8/11-095,-344.3875954466
S66x8/11-100,-344.3891835331
S66x8/11-105,-344.3903726802
S66x8/11-110,-344.3912649194
S66x8/11-125,-344.3929864959
S66x8/11-150,-344.3928010921
S66x8/11-200,-344.3919309881
S66x8/12-A,-95.864280592
S66x8/12-B,-76.4340937185
S66x8/12-090,-172.3023760762
S66x8/12-095,-172.3034639181
S66x8/12-100,-172.3039896402
S66x8/12-105,-172.3041644263
S66x8/12-110,-172.3041244704
S66x8/12-125,-172.3034931567
S66x8/12-150,-172.3021562077
S66x8/12-200,-172.3002120298
S66x8/13-A,-248.5268081341
S66x8/13-B,-115.7261782304
S66x8/13-090,-364.2509927735
S66x8/13-095,-364.2527174872
S66x8/13-100,-364.2539319613
S66x8/13-105,-364.2547899574
S66x8/13-110,-364.2553807376
S66x8/13-125,-364.2561679099
S66x8/13-150,-364.2560280948
S66x8/13-200,-364.2547447681
S66x8/14-A,-248.5266508535
S66x8/14-B,-95.8643365176
S66x8/14-090,-344.3915483865
S66x8/14-095,-344.3931082598
S66x8/14-100,-344.3940969545
S66x8/14-105,-344.3947015208
S66x8/14-110,-344.3950437763
S66x8/14-125,-344.395267937
S66x8/14-150,-344.3946540024
S66x8/14-200,-344.3930059305
S66x8/15-A,-248.527083881
S66x8/15-B,-248.5271115498
S66x8/15-090,-497.0533312404
S66x8/15-095,-497.055172254
S66x8/15-100,-497.0564321958
S66x8/15-105,-497.0573082131
S66x8/15-110,-497.0578939
S66x8/15-125,-497.0586331933
S66x8/15-150,-497.0583843769
S66x8/15-200,-497.0565265913
S66x8/16-A,-248.5272351675
S66x8/16-B,-76.4343024047
S66x8/16-090,-324.9619833104
S66x8/16-095,-324.963299375
S66x8/16-100,-324.9641666209
S66x8/16-105,-324.9647210916
S66x8/16-110,-324.9650567771
S66x8/16-125,-324.9653071997
S66x8/16-150,-324.9646928157
S66x8/16-200,-324.9632534306
S66x8/17-A,-414.8262527461
S66x8/17-B,-414.8264052051
S66x8/17-090,-829.6635265218
S66x8/17-095,-829.6655375679
S66x8/17-100,-829.6664303139
S66x8/17-105,-829.6666369395
S66x8/17-110,-829.6664510377
S66x8/17-125,-829.6648585084
S66x8/17-150,-829.6616676976
S66x8/17-200,-829.6570873697
S66x8/18-A,-76.4342831664
S66x8/18-B,-248.2781506543
S66x8/18-090,-324.7167206024
S66x8/18-095,-324.7175976162
S66x8/18-100,-324.7179890762
S66x8/18-105,-324.7180812963
S66x8/18-110,-324.7179934657
S66x8/18-125,-324.7173109407
S66x8/18-150,-324.7159699073
S66x8/18-200,-324.7140639788
S66x8/19-A,-115.7261825044
S66x8/19-B,-248.2781392253
S66x8/19-090,-364.007986743
S66x8/19-095,-364.0090941301
S66x8/19-100,-364.0096424049
S66x8/19-105,-364.0098424344
S66x8/19-110,-364.0097764263
S66x8/19-125,-364.0092594482
S66x8/19-150,-364.0079009824
S66x8/19-200,-364.0059499871
S66x8/20-A,-229.0906390007
S66x8/20-B,-229.0906431502
S66x8/20-090,-458.197642816
S66x8/20-095,-458.199470451
S66x8/20-100,-458.1999758066
S66x8/20-105,-458.1996878885
S66x8/20-110,-458.1989493843
S66x8/20-125,-458.1957912408
S66x8/20-150,-458.1912797359
S66x8/20-200,-458.1861223339
S66x8/21-A,-209.2229498405
S66x8/21-B,-209.2229515875
S66x8/21-090,-418.4565934739
S66x8/21-095,-418.4585951261
S66x8/21-100,-418.459514385
S66x8/21-105,-418.459768434
S66x8/21-110,-418.4596293429
S66x8/21-125,-418.4581260894
S66x8/21-150,-418.4551500298
S66x8/21-200,-418.4502459417
S66x8/22-A,-229.0905345806
S66x8/22-B,-414.8261236552
S66x8/22-090,-643.9320889231
S66x8/22-095,-643.9340201202
S66x8/22-100,-643.9347303155
S66x8/22-105,-643.9346818961
S66x8/22-110,-643.9341854753
S66x8/22-125,-643.9316778819
S66x8/22-150,-643.9275322907
S66x8/22-200,-643.9222087973
S66x8/23-A,-209.2228330011
S66x8/23-B,-414.8260414826
S66x8/23-090,-624.0634605781
S66x8/23-095,-624.0654570587
S66x8/23-100,-624.0663429651
S66x8/23-105,-624.0665312096
S66x8/23-110,-624.0662865828
S66x8/23-125,-624.0643692882
S66x8/23-150,-624.0606267241
S66x8/23-200,-624.0552826244
S66x8/24-A,-232.2412806893
S66x8/24-B,-232.2412975343
S66x8/24-090,-464.4586004228
S66x8/24-095,-464.4656386455
S66x8/24-100,-464.4706829571
S66x8/24-105,-464.4743241319
S66x8/24-110,-464.4768370161
S66x8/24-125,-464.480792471
S66x8/24-150,-464.4823207505
S66x8/24-200,-464.4825122226
S66x8/25-A,-248.2782286576
S66x8/25-B,-248.2782484632
S66x8/25-090,-496.5332129443
S66x8/25-095,-496.5402817564
S66x8/25-100,-496.5452705181
S66x8/25-105,-496.5488027232
S66x8/25-110,-496.5514142516
S66x8/25-125,-496.555282777
S66x8/25-150,-496.5567203144
S66x8/25-200,-496.5566225832
S66x8/26-A,-414.8268043343
S66x8/26-B,-414.8268043343
S66x8/26-090,-829.6301959702
S66x8/26-095,-829.638289298
S66x8/26-100,-829.6439859734
S66x8/26-105,-829.6481231874
S66x8/26-110,-829.6510773163
S66x8/26-125,-829.6553323405
S66x8/26-150,-829.6561079258
S66x8/26-200,-829.6547467665
S66x8/27-A,-232.2412995619
S66x8/27-B,-248.2782508672
S66x8/27-090,-480.4955493693
S66x8/27-095,-480.5029081555
S66x8/27-100,-480.5080454706
S66x8/27-105,-480.5117518708
S66x8/27-110,-480.5143010503
S66x8/27-125,-480.51811258
S66x8/27-150,-480.5195479727
S66x8/27-200,-480.5195693967
S66x8/28-A,-232.2412357937
S66x8/28-B,-414.8272656346
S66x8/28-090,-647.0427927695
S66x8/28-095,-647.050168995
S66x8/28-100,-647.0555882571
S66x8/28-105,-647.0597499305
S66x8/28-110,-647.0625537221
S66x8/28-125,-647.0670671131
S66x8/28-150,-647.0686650417
S66x8/28-200,-647.0685037881
S66x8/29-A,-248.2781913564
S66x8/29-B,-414.8272596666
S66x8/29-090,-663.0784989592
S66x8/29-095,-663.087769705
S66x8/29-100,-663.0942378941
S66x8/29-105,-663.0987025089
S66x8/29-110,-663.1015923882
S66x8/29-125,-663.1057209644
S66x8/29-150,-663.1065798557
S66x8/29-200,-663.1058691602
S66x8/30-A,-232.2412906834
S66x8/30-B,-78.586731328
S66x8/30-090,-310.8132392587
S66x8/30-095,-310.8172864507
S66x8/30-100,-310.8202709555
S66x8/30-105,-310.8224569828
S66x8/30-110,-310.8239752831
S66x8/30-125,-310.8265174253
S66x8/30-150,-310.8276745524
S66x8/30-200,-310.8279199607
S66x8/31-A,-414.8272584311
S66x8/31-B,-78.58682187
S66x8/31-090,-493.4004502882
S66x8/31-095,-493.404448997
S66x8/31-100,-493.4074447017
S66x8/31-105,-493.4095900013
S66x8/31-110,-493.4111361274
S66x8/31-125,-493.4136207317
S66x8/31-150,-493.4144378706
S66x8/31-200,-493.4142013608
S66x8/32-A,-414.8272287895
S66x8/32-B,-77.324495366
S66x8/32-090,-492.1398688612
S66x8/32-095,-492.1435999317
S66x8/32-100,-492.1463763794
S66x8/32-105,-492.1483623299
S66x8/32-110,-492.1497067558
S66x8/32-125,-492.1517974307
S66x8/32-150,-492.1522912238
S66x8/32-200,-492.1518479569
S66x8/33-A,-248.2782502181
S66x8/33-B,-78.5866798232
S66x8/33-090,-326.8510328148
S66x8/33-095,-326.8547877785
S66x8/33-100,-326.8575240548
S66x8/33-105,-326.8595971877
S66x8/33-110,-326.8611455526
S66x8/33-125,-326.863641795
S66x8/33-150,-326.8647732374
S66x8/33-200,-326.8649350178
S66x8/34-A,-197.7668395036
S66x8/34-B,-197.7666914065
S66x8/34-090,-395.5100981536
S66x8/34-095,-395.5166023862
S66x8/34-100,-395.5212162919
S66x8/34-105,-395.5246409243
S66x8/34-110,-395.5272836025
S66x8/34-125,-395.5314330516
S66x8/34-150,-395.533377397
S66x8/34-200,-395.5335841567
S66x8/35-A,-197.7667886882
S66x8/35-B,-197.7656090281
S66x8/35-090,-395.5161414501
S66x8/35-095,-395.5210536616
S66x8/35-100,-395.5244523125
S66x8/35-105,-395.5266796896
S66x8/35-110,-395.5284429062
S66x8/35-125,-395.5312001125
S66x8/35-150,-395.5324118937
S66x8/35-200,-395.5325180717
S66x8/36-A,-197.7656441641
S66x8/36-B,-197.7657354862
S66x8/36-090,-395.520612881
S66x8/36-095,-395.5236946431
S66x8/36-100,-395.5257887747
S66x8/36-105,-395.5272878312
S66x8/36-110,-395.5284836835
S66x8/36-125,-395.5303420702
S66x8/36-150,-395.5311824425
S66x8/36-200,-395.5312640192
S66x8/37-A,-196.5586956882
S66x8/37-B,-197.7654796002
S66x8/37-090,-394.3081771143
S66x8/37-095,-394.3127800067
S66x8/37-100,-394.3160932802
S66x8/37-105,-394.3184827067
S66x8/37-110,-394.3201650351
S66x8/37-125,-394.322961671
S66x8/37-150,-394.3242906066
S66x8/37-200,-394.3244553991
S66x8/38-A,-196.5585952738
S66x8/38-B,-196.5586101392
S66x8/38-090,-393.0996914803
S66x8/38-095,-393.1042093326
S66x8/38-100,-393.1079457982
S66x8/38-105,-393.1106523792
S66x8/38-110,-393.1126794308
S66x8/38-125,-393.1157627268
S66x8/38-150,-393.1171214654
S66x8/38-200,-393.1172296385
S66x8/39-A,-232.2412942087
S66x8/39-B,-196.5586408144
S66x8/39-090,-428.7804116766
S66x8/39-095,-428.785873663
S66x8/39-100,-428.7899795922
S66x8/39-105,-428.7930941948
S66x8/39-110,-428.795231186
S66x8/39-125,-428.7986171167
S66x8/39-150,-428.7999528659
S66x8/39-200,-428.7999692932
S66x8/40-A,-232.2412943241
S66x8/40-B,-197.7657732467
S66x8/40-090,-429.9917748112
S66x8/40-095,-429.9962472889
S66x8/40-100,-429.9994635455
S66x8/40-105,-430.0018123367
S66x8/40-110,-430.003441005
S66x8/40-125,-430.0060617651
S66x8/40-150,-430.007058291
S66x8/40-200,-430.0069990148
S66x8/41-A,-414.8272873087
S66x8/41-B,-197.7667891722
S66x8/41-090,-612.5708209143
S66x8/41-095,-612.5771045348
S66x8/41-100,-612.58193386
S66x8/41-105,-612.585489333
S66x8/41-110,-612.5885386185
S66x8/41-125,-612.5929117342
S66x8/41-150,-612.5942404519
S66x8/41-200,-612.594109263
S66x8/42-A,-414.8272853135
S66x8/42-B,-196.558606369
S66x8/42-090,-611.3643973028
S66x8/42-095,-611.3705727689
S66x8/42-100,-611.3751379524
S66x8/42-105,-611.3784156588
S66x8/42-110,-611.38078999
S66x8/42-125,-611.3845098038
S66x8/42-150,-611.385961325
S66x8/42-200,-611.3859460908
S66x8/43-A,-414.8272856106
S66x8/43-B,-197.7654356956
S66x8/43-090,-612.5764012031
S66x8/43-095,-612.5814104717
S66x8/43-100,-612.5850807101
S66x8/43-105,-612.5876418104
S66x8/43-110,-612.5894578703
S66x8/43-125,-612.5922583899
S66x8/43-150,-612.5931947433
S66x8/43-200,-612.593041761
S66x8/44-A,-78.5867408219
S66x8/44-B,-197.7669163666
S66x8/44-090,-276.3422979932
S66x8/44-095,-276.3456072155
S66x8/44-100,-276.3478069998
S66x8/44-105,-276.349501972
S66x8/44-110,-276.3508084283
S66x8/44-125,-276.3527838361
S66x8/44-150,-276.3536199472
S66x8/44-200,-276.3536304266
S66x8/45-A,-77.3244785796
S66x8/45-B,-197.7667591955
S66x8/45-090,-275.080428318
S66x8/45-095,-275.0836800458
S66x8/45-100,-275.086007128
S66x8/45-105,-275.0877173192
S66x8/45-110,-275.0888891744
S66x8/45-125,-275.0906370432
S66x8/45-150,-275.0912207875
S66x8/45-200,-275.0911229032
S66x8/46-A,-248.5272729813
S66x8/46-B,-197.7666254961
S66x8/46-090,-446.2752987011
S66x8/46-095,-446.2799804016
S66x8/46-100,-446.28357211
S66x8/46-105,-446.2864036001
S66x8/46-110,-446.2885987931
S66x8/46-125,-446.2922767756
S66x8/46-150,-446.2942165428
S66x8/46-200,-446.2941757877
S66x8/47-A,-232.2412823238
S66x8/47-B,-232.241255179
S66x8/47-090,-464.469635052
S66x8/47-095,-464.4736417207
S66x8/47-100,-464.4764065677
S66x8/47-105,-464.4784135911
S66x8/47-110,-464.4798734806
S66x8/47-125,-464.4820706677
S66x8/47-150,-464.4828514914
S66x8/47-200,-464.4826902812
S66x8/48-A,-248.2782204509
S66x8/48-B,-248.278238357
S66x8/48-090,-496.544541865
S66x8/48-095,-496.5481227042
S66x8/48-100,-496.5507221574
S66x8/48-105,-496.5526820167
S66x8/48-110,-496.5541028702
S66x8/48-125,-496.5563308826
S66x8/48-150,-496.5570807565
S66x8/48-200,-496.5567594615
S66x8/49-A,-232.2412879897
S66x8/49-B,-248.278220612
S66x8/49-090,-480.5072621257
S66x8/49-095,-480.5112055356
S66x8/49-100,-480.513952083
S66x8/49-105,-480.5159092604
S66x8/49-110,-480.5173394171
S66x8/49-125,-480.5194519523
S66x8/49-150,-480.5201030257
S66x8/49-200,-480.5197797312
S66x8/50-A,-232.2412694092
S66x8/50-B,-77.3245382823
S66x8/50-090,-309.5583573566
S66x8/50-095,-309.5611463869
S66x8/50-100,-309.563057195
S66x8/50-105,-309.5643579578
S66x8/50-110,-309.5652610565
S66x8/50-125,-309.5664964413
S66x8/50-150,-309.5665842593
S66x8/50-200,-309.5660548481
S66x8/51-A,-77.3244854418
S66x8/51-B,-77.3245348192
S66x8/51-090,-154.6467625995
S66x8/51-095,-154.6478613179
S66x8/51-100,-154.6485943956
S66x8/51-105,-154.649085136
S66x8/51-110,-154.6493984124
S66x8/51-125,-154.6497209504
S66x8/51-150,-154.649538155
S66x8/51-200,-154.649159235
S66x8/52-A,-232.2412641056
S66x8/52-B,-229.0925579544
S66x8/52-090,-461.3273227032
S66x8/52-095,-461.3298504024
S66x8/52-100,-461.3316280739
S66x8/52-105,-461.3328608626
S66x8/52-110,-461.3337461754
S66x8/52-125,-461.335088684
S66x8/52-150,-461.3352734925
S66x8/52-200,-461.3344323702
S66x8/53-A,-232.2412551585
S66x8/53-B,-209.223766334
S66x8/53-090,-441.458940117
S66x8/53-095,-441.4611490752
S66x8/53-100,-441.4627706013
S66x8/53-105,-441.4639828511
S66x8/53-110,-441.4648575894
S66x8/53-125,-441.4661467655
S66x8/53-150,-441.4663646043
S66x8/53-200,-441.4655653134
S66x8/54-A,-232.2412683225
S66x8/54-B,-76.434292211
S66x8/54-090,-308.6715288637
S66x8/54-095,-308.6734558134
S66x8/54-100,-308.6747528753
S66x8/54-105,-308.67568169
S66x8/54-110,-308.6763171328
S66x8/54-125,-308.677127679
S66x8/54-150,-308.6769640313
S66x8/54-200,-308.6760985022
S66x8/55-A,-232.2412607318
S66x8/55-B,-115.7263069548
S66x8/55-090,-347.9593884431
S66x8/55-095,-347.9621945488
S66x8/55-100,-347.964262621
S66x8/55-105,-347.9657300348
S66x8/55-110,-347.9667868738
S66x8/55-125,-347.9685101394
S66x8/55-150,-347.9689154613
S66x8/55-200,-347.9681768132
S66x8/56-A,-232.2412790305
S66x8/56-B,-95.8644234835
S66x8/56-090,-328.0953187176
S66x8/56-095,-328.098372269
S66x8/56-100,-328.1007011213
S66x8/56-105,-328.102508862
S66x8/56-110,-328.1037974004
S66x8/56-125,-328.1057976758
S66x8/56-150,-328.1063768715
S66x8/56-200,-328.1059927586
S66x8/57-A,-232.2412731463
S66x8/57-B,-248.5272152367
S66x8/57-090,-480.7544649547
S66x8/57-095,-480.7593641255
S66x8/57-100,-480.7628580495
S66x8/57-105,-480.7652878906
S66x8/57-110,-480.7669076755
S66x8/57-125,-480.7693937677
S66x8/57-150,-480.7699260626
S66x8/57-200,-480.7691725257
S66x8/58-A,-248.2781830377
S66x8/58-B,-248.2781507314
S66x8/58-090,-496.5486722396
S66x8/58-095,-496.5516582126
S66x8/58-100,-496.5543430142
S66x8/58-105,-496.5558492862
S66x8/58-110,-496.5566902067
S66x8/58-125,-496.5575500841
S66x8/58-150,-496.5572805603
S66x8/58-200,-496.5566301163
S66x8/59-A,-77.3245793972
S66x8/59-B,-76.4343040308
S66x8/59-090,-153.7583226845
S66x8/59-095,-153.7593396984
S66x8/59-100,-153.7599957799
S66x8/59-105,-153.7603974635
S66x8/59-110,-153.7606368514
S66x8/59-125,-153.7607458209
S66x8/59-150,-153.7602220403
S66x8/59-200,-153.7592719687
S66x8/60-A,-77.3245127517
S66x8/60-B,-229.0925107657
S66x8/60-090,-306.4152511811
S66x8/60-095,-306.4168074486
S66x8/60-100,-306.4178079261
S66x8/60-105,-306.4184234084
S66x8/60-110,-306.4188340197
S66x8/60-125,-306.419265823
S66x8/60-150,-306.4188842583
S66x8/60-200,-306.4177928975
S66x8/61-A,-197.7667020092
S66x8/61-B,-229.0926375907
S66x8/61-090,-426.8471507577
S66x8/61-095,-426.8501214687
S66x8/61-100,-426.8524464782
S66x8/61-105,-426.8542789791
S66x8/61-110,-426.8556945542
S66x8/61-125,-426.8581250289
S66x8/61-150,-426.8594880261
S66x8/61-200,-426.8594649203
S66x8/62-A,-197.7668051498
S66x8/62-B,-209.2238017971
S66x8/62-090,-406.9762481322
S66x8/62-095,-406.9800132877
S66x8/62-100,-406.9828704035
S66x8/62-105,-406.9851126085
S66x8/62-110,-406.9868034594
S66x8/62-125,-406.9895570132
S66x8/62-150,-406.9908483257
S66x8/62-200,-406.9907715875
S66x8/63-A,-232.2412788566
S66x8/63-B,-229.0925946669
S66x8/63-090,-461.3196346273
S66x8/63-095,-461.3240928805
S66x8/63-100,-461.3272095671
S66x8/63-105,-461.3295468252
S66x8/63-110,-461.3311863988
S66x8/63-125,-461.3336776068
S66x8/63-150,-461.334427918
S66x8/63-200,-461.334083143
S66x8/64-A,-248.5271631966
S66x8/64-B,-78.5868410928
S66x8/64-090,-327.1048119143
S66x8/64-095,-327.1074592497
S66x8/64-100,-327.1094741396
S66x8/64-105,-327.1109216377
S66x8/64-110,-327.1120020129
S66x8/64-125,-327.1137709675
S66x8/64-150,-327.1144067177
S66x8/64-200,-327.1140346467
S66x8/65-A,-248.2781988955
S66x8/65-B,-77.3242873752
S66x8/65-090,-325.6031662404
S66x8/65-095,-325.6041169216
S66x8/65-100,-325.6046931917
S66x8/65-105,-325.6050434369
S66x8/65-110,-325.6052249081
S66x8/65-125,-325.6052489959
S66x8/65-150,-325.6046514697
S66x8/65-200,-325.6035652964
S66x8/66-A,-95.8643350977
S66x8/66-B,-248.2781906172
S66x8/66-090,-344.1341201646
S66x8/66-095,-344.1365274605
S66x8/66-100,-344.1383626076
S66x8/66-105,-344.1397701112
S66x8/66-110,-344.1408506327
S66x8/66-125,-344.1427463151
S66x8/66-150,-344.1435486558
