system,TPSSh/def2-QZVP/TM
S66x8/04-090,-325.1251218661
S66x8/04-095,-325.1257914941
S66x8/04-100,-325.1258572297
S66x8/04-105,-325.1255562851
S66x8/04-110,-325.1250491731
S66x8/04-125,-325.1231555802
S66x8/04-150,-325.1204350122
S66x8/04-200,-325.1171782785
S66x8/05-A,-115.7828360325
S66x8/05-B,-115.7830010865
S66x8/05-090,-231.5726411743
S66x8/05-095,-231.573332636
S66x8/05-100,-231.5734768465
S66x8/05-105,-231.5732945239
S66x8/05-110,-231.5729293562
S66x8/05-125,-231.5714926879
S66x8/05-150,-231.5694430838
S66x8/05-200,-231.5673287629
S66x8/06-A,-115.7826318539
S66x8/06-B,-95.9090721305
S66x8/06-090,-211.7012108962
S66x8/06-095,-211.7020960211
S66x8/06-100,-211.7022812463
S66x8/06-105,-211.7020357178
S66x8/06-110,-211.7015208057
S66x8/06-125,-211.6994582938
S66x8/06-150,-211.6965072066
S66x8/06-200,-211.6936190125
S66x8/07-A,-115.7827384962
S66x8/07-B,-248.6502940089
S66x8/07-090,-364.4426262722
S66x8/07-095,-364.443470829
S66x8/07-100,-364.4436593303
S66x8/07-105,-364.4434440856
S66x8/07-110,-364.4429921565
S66x8/07-125,-364.4411421168
S66x8/07-150,-364.4380470282
S66x8/07-200,-364.434635636
S66x8/08-A,-115.7828516931
S66x8/08-B,-76.4644451018
S66x8/08-090,-192.2540828949
S66x8/08-095,-192.2545931041
S66x8/08-100,-192.2546336576
S66x8/08-105,-192.254400419
S66x8/08-110,-192.2540196183
S66x8/08-125,-192.252632956
S66x8/08-150,-192.2507134957
S66x8/08-200,-192.2487499222
S66x8/09-A,-95.9089753776
S66x8/09-B,-115.7829666355
S66x8/09-090,-211.694040486
S66x8/09-095,-211.6946704942
S66x8/09-100,-211.6949327743
S66x8/09-105,-211.6949731621
S66x8/09-110,-211.6948924615
S66x8/09-125,-211.6943551905
S66x8/09-150,-211.6934545101
S66x8/09-200,-211.6925484531
S66x8/10-A,-95.909028892
S66x8/10-B,-95.9090544122
S66x8/10-090,-191.820666258
S66x8/10-095,-191.8215484242
S66x8/10-100,-191.8219191082
S66x8/10-105,-191.8219877432
S66x8/10-110,-191.8218888297
S66x8/10-125,-191.8211874994
S66x8/10-150,-191.8197465525
S66x8/10-200,-191.8186014078
S66x8/11-A,-95.9088973567
S66x8/11-B,-248.6504309995
S66x8/11-090,-344.5620945488
S66x8/11-095,-344.5631278214
S66x8/11-100,-344.5636337225
S66x8/11-105,-344.5638126267
S66x8/11-110,-344.563788583
S66x8/11-125,-344.562776081
S66x8/11-150,-344.5611253106
S66x8/11-200,-344.560007049
S66x8/12-A,-95.9090416138
S66x8/12-B,-76.464269401
S66x8/12-090,-172.3831525697
S66x8/12-095,-172.3838758119
S66x8/12-100,-172.3839385413
S66x8/12-105,-172.3835964932
S66x8/12-110,-172.3830270498
S66x8/12-125,-172.3809160613
S66x8/12-150,-172.378031938
S66x8/12-200,-172.3752353997
S66x8/13-A,-248.650284069
S66x8/13-B,-115.7830010809
S66x8/13-090,-364.4384840299
S66x8/13-095,-364.4394143893
S66x8/13-100,-364.4397996893
S66x8/13-105,-364.4398494905
S66x8/13-110,-364.4397004795
S66x8/13-125,-364.4387681003
S66x8/13-150,-364.4371184235
S66x8/13-200,-364.4351198994
S66x8/14-A,-248.6500836997
S66x8/14-B,-95.9090604833
S66x8/14-090,-344.566449332
S66x8/14-095,-344.5675123315
S66x8/14-100,-344.5679005549
S66x8/14-105,-344.5678662643
S66x8/14-110,-344.5675796827
S66x8/14-125,-344.5661212281
S66x8/14-150,-344.5638092837
S66x8/14-200,-344.5612462831
S66x8/15-A,-248.6505196498
S66x8/15-B,-248.6505965245
S66x8/15-090,-497.3087247277
S66x8/15-095,-497.3098107171
S66x8/15-100,-497.3102558256
S66x8/15-105,-497.3102931945
S66x8/15-110,-497.3100771687
S66x8/15-125,-497.3088013473
S66x8/15-150,-497.3065986707
S66x8/15-200,-497.3035561153
S66x8/16-A,-248.6506698795
S66x8/16-B,-76.4644450659
S66x8/16-090,-325.1208792489
S66x8/16-095,-325.1215228883
S66x8/16-100,-325.1217166235
S66x8/16-105,-325.1216436826
S66x8/16-110,-325.1214154049
S66x8/16-125,-325.1203815
S66x8/16-150,-325.1187350428
S66x8/16-200,-325.11686303
S66x8/17-A,-415.0221176137
S66x8/17-B,-415.0222623314
S66x8/17-090,-830.0662099899
S66x8/17-095,-830.0679745772
S66x8/17-100,-830.0683214721
S66x8/17-105,-830.0677745906
S66x8/17-110,-830.0666966256
S66x8/17-125,-830.0623286346
S66x8/17-150,-830.0558903333
S66x8/17-200,-830.0492084175
S66x8/18-A,-76.464432442
S66x8/18-B,-248.4052340148
S66x8/18-090,-324.8792701801
S66x8/18-095,-324.8798285066
S66x8/18-100,-324.8797939177
S66x8/18-105,-324.8794041699
S66x8/18-110,-324.8788204658
S66x8/18-125,-324.8767695864
S66x8/18-150,-324.874041963
S66x8/18-200,-324.8713981046
S66x8/19-A,-115.7826454756
S66x8/19-B,-248.4052286995
S66x8/19-090,-364.196977307
S66x8/19-095,-364.1978217497
S66x8/19-100,-364.197985767
S66x8/19-105,-364.1977269006
S66x8/19-110,-364.1972800808
S66x8/19-125,-364.1952333029
S66x8/19-150,-364.1924694288
S66x8/19-200,-364.1896581601
S66x8/20-A,-229.1997679519
S66x8/20-B,-229.1997699287
S66x8/20-090,-458.4267547519
S66x8/20-095,-458.4286280543
S66x8/20-100,-458.4288297654
S66x8/20-105,-458.4279803072
S66x8/20-110,-458.4265141888
S66x8/20-125,-458.4208834349
S66x8/20-150,-458.4128433413
S66x8/20-200,-458.4049408534
S66x8/21-A,-209.3216931319
S66x8/21-B,-209.3216956906
S66x8/21-090,-418.6647825678
S66x8/21-095,-418.6663612345
S66x8/21-100,-418.6666101923
S66x8/21-105,-418.6660347357
S66x8/21-110,-418.6649800073
S66x8/21-125,-418.660851434
S66x8/21-150,-418.6548644537
S66x8/21-200,-418.647984595
S66x8/22-A,-229.1997115696
S66x8/22-B,-415.0219965558
S66x8/22-090,-644.2482919696
S66x8/22-095,-644.2501337086
S66x8/22-100,-644.2504240044
S66x8/22-105,-644.2497253707
S66x8/22-110,-644.2484335731
S66x8/22-125,-644.2432888851
S66x8/22-150,-644.2357239398
S66x8/22-200,-644.2278561798
S66x8/23-A,-209.3215844582
S66x8/23-B,-415.0218923894
S66x8/23-090,-624.3688908448
S66x8/23-095,-624.3706690438
S66x8/23-100,-624.3710505224
S66x8/23-105,-624.3705308084
S66x8/23-110,-624.369459905
S66x8/23-125,-624.36498174
S66x8/23-150,-624.3580836899
S66x8/23-200,-624.3504448957
S66x8/24-A,-232.363479131
S66x8/24-B,-232.3634717943
S66x8/24-090,-464.7152306909
S66x8/24-095,-464.7198371311
S66x8/24-100,-464.7225398039
S66x8/24-105,-464.7241617036
S66x8/24-110,-464.7251651939
S66x8/24-125,-464.726498762
S66x8/24-150,-464.7268230639
S66x8/24-200,-464.7268698217
S66x8/25-A,-248.4052225979
S66x8/25-B,-248.405243142
S66x8/25-090,-496.8001499635
S66x8/25-095,-496.8046535396
S66x8/25-100,-496.8073184282
S66x8/25-105,-496.8088962949
S66x8/25-110,-496.809842987
S66x8/25-125,-496.8109160831
S66x8/25-150,-496.8109333245
S66x8/25-200,-496.8106226424
S66x8/26-A,-415.0226341527
S66x8/26-B,-415.0226341527
S66x8/26-090,-830.0405268693
S66x8/26-095,-830.0451232624
S66x8/26-100,-830.0476792273
S66x8/26-105,-830.0490585511
S66x8/26-110,-830.0497531652
S66x8/26-125,-830.0498461097
S66x8/26-150,-830.0483063254
S66x8/26-200,-830.0464237223
S66x8/27-A,-232.3634803356
S66x8/27-B,-248.4052482078
S66x8/27-090,-480.7575115241
S66x8/27-095,-480.7623187463
S66x8/27-100,-480.7650640516
S66x8/27-105,-480.7666667686
S66x8/27-110,-480.7676245186
S66x8/27-125,-480.7687628379
S66x8/27-150,-480.7688920544
S66x8/27-200,-480.7687457425
S66x8/28-A,-232.3634268559
S66x8/28-B,-415.0231585923
S66x8/28-090,-647.3768605101
S66x8/28-095,-647.3813570598
S66x8/28-100,-647.384003935
S66x8/28-105,-647.385548001
S66x8/28-110,-647.3864606087
S66x8/28-125,-647.387402455
S66x8/28-150,-647.3871285586
S66x8/28-200,-647.3865831991
S66x8/29-A,-248.4052134344
S66x8/29-B,-415.0231301584
S66x8/29-090,-663.4185759322
S66x8/29-095,-663.4244317003
S66x8/29-100,-663.4275289421
S66x8/29-105,-663.4291912641
S66x8/29-110,-663.4300294835
S66x8/29-125,-663.4305805197
S66x8/29-150,-663.4297535738
S66x8/29-200,-663.4287846022
S66x8/30-A,-232.363475904
S66x8/30-B,-78.6303010786
S66x8/30-090,-310.9874404607
S66x8/30-095,-310.9897198938
S66x8/30-100,-310.9910875239
S66x8/30-105,-310.9919420143
S66x8/30-110,-310.9924883566
S66x8/30-125,-310.9932469888
S66x8/30-150,-310.9935391417
S66x8/30-200,-310.9936611427
S66x8/31-A,-415.0231710726
S66x8/31-B,-78.6303161708
S66x8/31-090,-493.6496113843
S66x8/31-095,-493.6516692826
S66x8/31-100,-493.6529082578
S66x8/31-105,-493.6536417948
S66x8/31-110,-493.6540756253
S66x8/31-125,-493.6544515668
S66x8/31-150,-493.6541379329
S66x8/31-200,-493.6536393901
S66x8/32-A,-415.0231522145
S66x8/32-B,-77.3684364509
S66x8/32-090,-492.3888438369
S66x8/32-095,-492.3909051008
S66x8/32-100,-492.3920488244
S66x8/32-105,-492.3926670802
S66x8/32-110,-492.3929653416
S66x8/32-125,-492.3930077115
S66x8/32-150,-492.3923729717
S66x8/32-200,-492.3916611963
S66x8/33-A,-248.4052505404
S66x8/33-B,-78.6302647105
S66x8/33-090,-327.0301806982
S66x8/33-095,-327.0321789806
S66x8/33-100,-327.0334130492
S66x8/33-105,-327.0341931107
S66x8/33-110,-327.034690428
S66x8/33-125,-327.0353574344
S66x8/33-150,-327.0355108502
S66x8/33-200,-327.0354849618
S66x8/34-A,-197.871807497
S66x8/34-B,-197.8717546263
S66x8/34-090,-395.7363395696
S66x8/34-095,-395.739146113
S66x8/34-100,-395.740997681
S66x8/34-105,-395.7421883385
S66x8/34-110,-395.7429805561
S66x8/34-125,-395.7440068934
S66x8/34-150,-395.7440924414
S66x8/34-200,-395.7438499277
S66x8/35-A,-197.8717901989
S66x8/35-B,-197.8734157768
S66x8/35-090,-395.7399380833
S66x8/35-095,-395.7421748478
S66x8/35-100,-395.7435204461
S66x8/35-105,-395.744344234
S66x8/35-110,-395.7448490935
S66x8/35-125,-395.7454500874
S66x8/35-150,-395.7454389969
S66x8/35-200,-395.7452685105
S66x8/36-A,-197.873418178
S66x8/36-B,-197.8734528686
S66x8/36-090,-395.7434973239
S66x8/36-095,-395.744764225
S66x8/36-100,-395.745575854
S66x8/36-105,-395.7460804097
S66x8/36-110,-395.746419762
S66x8/36-125,-395.746799308
S66x8/36-150,-395.746787492
S66x8/36-200,-395.7466565578
S66x8/37-A,-196.657340945
S66x8/37-B,-197.873272897
S66x8/37-090,-394.5251885328
S66x8/37-095,-394.5274210832
S66x8/37-100,-394.5287768246
S66x8/37-105,-394.5296253143
S66x8/37-110,-394.5301556497
S66x8/37-125,-394.530828646
S66x8/37-150,-394.5308975629
S66x8/37-200,-394.5307346779
S66x8/38-A,-196.6572854871
S66x8/38-B,-196.6572935229
S66x8/38-090,-393.3089122921
S66x8/38-095,-393.3110291831
S66x8/38-100,-393.3125326871
S66x8/38-105,-393.3135081903
S66x8/38-110,-393.3140894707
S66x8/38-125,-393.3148000272
S66x8/38-150,-393.3147855694
S66x8/38-200,-393.314590052
S66x8/39-A,-232.3634728118
S66x8/39-B,-196.6572631231
S66x8/39-090,-429.0135808078
S66x8/39-095,-429.0166196463
S66x8/39-100,-429.0185082207
S66x8/39-105,-429.019663145
S66x8/39-110,-429.0203539569
S66x8/39-125,-429.0211231999
S66x8/39-150,-429.0210664706
S66x8/39-200,-429.0207878324
S66x8/40-A,-232.3634690774
S66x8/40-B,-197.8734452372
S66x8/40-090,-430.231489604
S66x8/40-095,-430.2339004656
S66x8/40-100,-430.2353373304
S66x8/40-105,-430.2361878077
S66x8/40-110,-430.2367076989
S66x8/40-125,-430.2372467492
S66x8/40-150,-430.2371442909
S66x8/40-200,-430.23688501
S66x8/41-A,-415.0231942564
S66x8/41-B,-197.8718678804
S66x8/41-090,-612.8874986505
S66x8/41-095,-612.8905747303
S66x8/41-100,-612.8925242713
S66x8/41-105,-612.8938001885
S66x8/41-110,-612.8947154122
S66x8/41-125,-612.8956434035
S66x8/41-150,-612.8954020779
S66x8/41-200,-612.8950843863
S66x8/42-A,-415.0232045904
S66x8/42-B,-196.6572822151
S66x8/42-090,-611.6729432423
S66x8/42-095,-611.6761040571
S66x8/42-100,-611.6780253527
S66x8/42-105,-611.6792488738
S66x8/42-110,-611.6799907719
S66x8/42-125,-611.6808699911
S66x8/42-150,-611.6808129324
S66x8/42-200,-611.6805269068
S66x8/43-A,-415.0231910373
S66x8/43-B,-197.8733210807
S66x8/43-090,-612.8911764483
S66x8/43-095,-612.8937154931
S66x8/43-100,-612.8952293174
S66x8/43-105,-612.8961172092
S66x8/43-110,-612.8966596039
S66x8/43-125,-612.8971611418
S66x8/43-150,-612.8969066655
S66x8/43-200,-612.8965437452
S66x8/44-A,-78.6303020693
S66x8/44-B,-197.8718538167
S66x8/44-090,-276.4988883405
S66x8/44-095,-276.5002667073
S66x8/44-100,-276.5011447076
S66x8/44-105,-276.5016919042
S66x8/44-110,-276.502055636
S66x8/44-125,-276.5024455101
S66x8/44-150,-276.5023843508
S66x8/44-200,-276.5022217642
S66x8/45-A,-77.3684474371
S66x8/45-B,-197.8718250024
S66x8/45-090,-275.236622171
S66x8/45-095,-275.238240546
S66x8/45-100,-275.2392231971
S66x8/45-105,-275.2398156499
S66x8/45-110,-275.2401704742
S66x8/45-125,-275.2405025352
S66x8/45-150,-275.2403622499
S66x8/45-200,-275.2401310691
S66x8/46-A,-248.6507122239
S66x8/46-B,-197.8717533979
S66x8/46-090,-446.5174478516
S66x8/46-095,-446.5194849099
S66x8/46-100,-446.5208646785
S66x8/46-105,-446.5217958778
S66x8/46-110,-446.522414728
S66x8/46-125,-446.5232229159
S66x8/46-150,-446.5231324872
S66x8/46-200,-446.5226822011
S66x8/47-A,-232.3634628099
S66x8/47-B,-232.3634170054
S66x8/47-090,-464.7222806523
S66x8/47-095,-464.7246725004
S66x8/47-100,-464.7260212773
S66x8/47-105,-464.726801088
S66x8/47-110,-464.727233946
S66x8/47-125,-464.7276368968
S66x8/47-150,-464.7274190963
S66x8/47-200,-464.7270619589
S66x8/48-A,-248.4052345902
S66x8/48-B,-248.4052026737
S66x8/48-090,-496.8072634903
S66x8/48-095,-496.8092699409
S66x8/48-100,-496.8104392091
S66x8/48-105,-496.811127517
S66x8/48-110,-496.8115058032
S66x8/48-125,-496.8117879361
S66x8/48-150,-496.8113879565
S66x8/48-200,-496.8107867313
S66x8/49-A,-232.3634634709
S66x8/49-B,-248.4052180518
S66x8/49-090,-480.7648078605
S66x8/49-095,-480.7671955236
S66x8/49-100,-480.768514128
S66x8/49-105,-480.7692516006
S66x8/49-110,-480.7696366049
S66x8/49-125,-480.769899358
S66x8/49-150,-480.7695160054
S66x8/49-200,-480.7689886867
S66x8/50-A,-232.3634571504
S66x8/50-B,-77.3684950218
S66x8/50-090,-309.7306662919
S66x8/50-095,-309.7322950944
S66x8/50-100,-309.7331071831
S66x8/50-105,-309.7334864383
S66x8/50-110,-309.7336165399
S66x8/50-125,-309.7334437627
S66x8/50-150,-309.7327826803
S66x8/50-200,-309.7321401538
S66x8/51-A,-77.3684576608
S66x8/51-B,-77.3685069571
S66x8/51-090,-154.737675353
S66x8/51-095,-154.7382021423
S66x8/51-100,-154.7384207004
S66x8/51-105,-154.7384678738
S66x8/51-110,-154.7384187261
S66x8/51-125,-154.7380726248
S66x8/51-150,-154.7375226522
S66x8/51-200,-154.7370821108
S66x8/52-A,-232.363456043
S66x8/52-B,-229.2016165355
S66x8/52-090,-461.5658768195
S66x8/52-095,-461.567358953
S66x8/52-100,-461.568084166
S66x8/52-105,-461.5683726873
S66x8/52-110,-461.5684075215
S66x8/52-125,-461.5679355228
S66x8/52-150,-461.5668742086
S66x8/52-200,-461.5656771522
S66x8/53-A,-232.3634565872
S66x8/53-B,-209.3225254836
S66x8/53-090,-441.6869307606
S66x8/53-095,-441.688149445
S66x8/53-100,-441.688780092
S66x8/53-105,-441.6890513948
S66x8/53-110,-441.6891139519
S66x8/53-125,-441.6887217965
S66x8/53-150,-441.6877171229
S66x8/53-200,-441.6864891384
S66x8/54-A,-232.3634520416
S66x8/54-B,-76.4643774919
S66x8/54-090,-308.8292934995
S66x8/54-095,-308.8302745624
S66x8/54-100,-308.8307111651
S66x8/54-105,-308.8308495551
S66x8/54-110,-308.8308165324
S66x8/54-125,-308.8303357211
S66x8/54-150,-308.8293921252
S66x8/54-200,-308.8283887737
S66x8/55-A,-232.3634428094
S66x8/55-B,-115.7829044204
S66x8/55-090,-348.1460825163
S66x8/55-095,-348.1476115015
S66x8/55-100,-348.1484383527
S66x8/55-105,-348.148855524
S66x8/55-110,-348.1490123327
S66x8/55-125,-348.148827692
S66x8/55-150,-348.1480027
S66x8/55-200,-348.146951956
S66x8/56-A,-232.3634614957
S66x8/56-B,-95.9089782787
S66x8/56-090,-328.2700988531
S66x8/56-095,-328.2717459379
S66x8/56-100,-328.2727139352
S66x8/56-105,-328.2733049059
S66x8/56-110,-328.2736176723
S66x8/56-125,-328.2737568448
S66x8/56-150,-328.27330182
S66x8/56-200,-328.2727265212
S66x8/57-A,-232.3634457349
S66x8/57-B,-248.6506703159
S66x8/57-090,-481.0109155388
S66x8/57-095,-481.013917094
S66x8/57-100,-481.0155228527
S66x8/57-105,-481.0163419697
S66x8/57-110,-481.0167254008
S66x8/57-125,-481.0167398333
S66x8/57-150,-481.0158720575
S66x8/57-200,-481.0147967471
S66x8/58-A,-248.4052087058
S66x8/58-B,-248.4051779949
S66x8/58-090,-496.8105842577
S66x8/58-095,-496.8124172777
S66x8/58-100,-496.8134400723
S66x8/58-105,-496.8136039508
S66x8/58-110,-496.8134493637
S66x8/58-125,-496.8126052325
S66x8/58-150,-496.8115037138
S66x8/58-200,-496.8106881861
S66x8/59-A,-77.3685311363
S66x8/59-B,-76.4644349777
S66x8/59-090,-153.8361469481
S66x8/59-095,-153.8365445545
S66x8/59-100,-153.8366301008
S66x8/59-105,-153.8365380157
S66x8/59-110,-153.8363455439
S66x8/59-125,-153.8355728588
S66x8/59-150,-153.8344337128
S66x8/59-200,-153.8333012401
S66x8/60-A,-77.3684426701
S66x8/60-B,-229.2015973651
S66x8/60-090,-306.574827806
S66x8/60-095,-306.5756351104
S66x8/60-100,-306.5758351618
S66x8/60-105,-306.5756914152
S66x8/60-110,-306.5753641169
S66x8/60-125,-306.5740841263
S66x8/60-150,-306.572350419
S66x8/60-200,-306.5707360276
S66x8/61-A,-197.8718298121
S66x8/61-B,-229.2016754574
S66x8/61-090,-427.0702581634
S66x8/61-095,-427.0715274181
S66x8/61-100,-427.0723998229
S66x8/61-105,-427.0730157402
S66x8/61-110,-427.0734153648
S66x8/61-125,-427.0739464188
S66x8/61-150,-427.0738704909
S66x8/61-200,-427.0735763485
S66x8/62-A,-197.8718554063
S66x8/62-B,-209.3225250895
S66x8/62-090,-407.1908215854
S66x8/62-095,-407.1924654484
S66x8/62-100,-407.1935266815
S66x8/62-105,-407.1942277641
S66x8/62-110,-407.1946823048
S66x8/62-125,-407.1951695102
S66x8/62-150,-407.1949733967
S66x8/62-200,-407.1945226373
S66x8/63-A,-232.3634722396
S66x8/63-B,-229.2016360262
S66x8/63-090,-461.5610256513
S66x8/63-095,-461.5634454507
S66x8/63-100,-461.5648245636
S66x8/63-105,-461.565604337
S66x8/63-110,-461.5660242276
S66x8/63-125,-461.5663210836
S66x8/63-150,-461.5658699049
S66x8/63-200,-461.5653047877
S66x8/64-A,-248.650624579
S66x8/64-B,-78.6303516444
S66x8/64-090,-327.2793971109
S66x8/64-095,-327.2806347122
S66x8/64-100,-327.2813793489
S66x8/64-105,-327.281811809
S66x8/64-110,-327.2820514715
S66x8/64-125,-327.2821347277
S66x8/64-150,-327.281645458
S66x8/64-200,-327.2810404561
S66x8/65-A,-248.4052471956
S66x8/65-B,-77.3680401771
S66x8/65-090,-325.7783238514
S66x8/65-095,-325.7788112501
S66x8/65-100,-325.7788916785
S66x8/65-105,-325.7787349215
S66x8/65-110,-325.7784521121
S66x8/65-125,-325.7773917094
S66x8/65-150,-325.7759131258
S66x8/65-200,-325.7744813407
S66x8/66-A,-95.9089304742
S66x8/66-B,-248.4052378231
S66x8/66-090,-344.3138623878
S66x8/66-095,-344.3150459887
S66x8/66-100,-344.3157328374
S66x8/66-105,-344.3161149162
S66x8/66-110,-344.3163025293
S66x8/66-125,-344.3162767523
S66x8/66-150,-344.3156611826
