system,DSDPBEP86/def2-QZVP/ORCA
S22x5/10-B,-76.4474450714
S22x5/10-0.9,-308.7147156512
S22x5/10-1.0,-308.7152493142
S22x5/10-1.2,-308.7140588062
S22x5/10-1.5,-308.7122149072
S22x5/10-2.0,-308.7109258303
S22x5/11-A,-232.2627305638
S22x5/11-B,-56.578136615
S22x5/11-0.9,-288.8434596193
S22x5/11-1.0,-288.8440964071
S22x5/11-1.2,-288.8433314161
S22x5/11-1.5,-288.842056587
S22x5/11-2.0,-288.8412551826
S22x5/12-A,-232.2627430208
S22x5/12-B,-40.5339966234
S22x5/12-0.9,-272.7975971415
S22x5/12-1.0,-272.798434215
S22x5/12-1.2,-272.7981019327
S22x5/12-1.5,-272.7972859256
S22x5/12-2.0,-272.7968657386
S22x5/13-A,-232.2627304378
S22x5/13-B,-232.2627294919
S22x5/13-0.9,-464.5276095322
S22x5/13-1.0,-464.5288245137
S22x5/13-1.2,-464.5283274253
S22x5/13-1.5,-464.526863726
S22x5/13-2.0,-464.5258905474
S22x5/14-A,-232.2627326762
S22x5/14-B,-232.2627326767
S22x5/14-0.9,-464.5231665368
S22x5/14-1.0,-464.5281704871
S22x5/14-1.2,-464.5276163734
S22x5/14-1.5,-464.5259558613
S22x5/14-2.0,-464.5255023537
S22x5/15-A,-232.2626925961
S22x5/15-B,-363.8392489563
S22x5/15-0.9,-596.108099429
S22x5/15-1.0,-596.1097024201
S22x5/15-1.2,-596.1087038428
S22x5/15-1.5,-596.1058454775
S22x5/15-2.0,-596.1034833041
S22x5/16-A,-232.2627132439
S22x5/16-B,-363.8392215992
S22x5/16-0.9,-596.101127389
S22x5/16-1.0,-596.107084461
S22x5/16-1.2,-596.1059009044
S22x5/16-1.5,-596.1028955642
S22x5/16-2.0,-596.1018926812
S22x5/17-A,-264.324524822
S22x5/17-B,-264.324519024
S22x5/17-0.9,-528.6490564309
S22x5/17-1.0,-528.6542900764
S22x5/17-1.2,-528.6528620548
S22x5/17-1.5,-528.6502238367
S22x5/17-2.0,-528.6492600113
S22x5/18-A,-323.5394502121
S22x5/18-B,-303.6728226708
S22x5/18-0.9,-627.2363790517
S22x5/18-1.0,-627.2385702474
S22x5/18-1.2,-627.2339858173
S22x5/18-1.5,-627.2249222748
S22x5/18-2.0,-627.2172670508
S22x5/19-A,-307.4937217532
S22x5/19-B,-307.4937252747
S22x5/19-0.9,-614.9964230346
S22x5/19-1.0,-614.9975164047
S22x5/19-1.2,-614.9957759471
S22x5/19-1.5,-614.9922945796
S22x5/19-2.0,-614.9893720432
S22x5/20-A,-414.848275687
S22x5/20-B,-414.8482756878
S22x5/20-0.9,-829.7029189828
S22x5/20-1.0,-829.7090696302
S22x5/20-1.2,-829.7049450809
S22x5/20-1.5,-829.6998151278
S22x5/20-2.0,-829.6975390521
S22x5/21-A,-414.8475282863
S22x5/21-B,-414.8475282862
S22x5/21-0.9,-829.7243542576
S22x5/21-1.0,-829.7268275359
S22x5/21-1.2,-829.7215014243
S22x5/21-1.5,-829.7110670327
S22x5/21-2.0,-829.7019838103
S22x5/22-A,-232.262705455
S22x5/22-B,-93.4299036087
S22x5/22-0.9,-325.6985825767
S22x5/22-1.0,-325.6994636518
S22x5/22-1.2,-325.6982218885
S22x5/22-1.5,-325.6957912472
S22x5/22-2.0,-325.6939198862
S66x8/01-A,-76.44752703
S66x8/01-B,-76.4475157132
S66x8/01-090,-152.9028765431
S66x8/01-095,-152.9032779611
S66x8/01-100,-152.9032188839
S66x8/01-105,-152.9028857353
S66x8/01-110,-152.9024019266
S66x8/01-125,-152.9007115802
S66x8/01-150,-152.8984613672
S66x8/01-200,-152.8964181751
S66x8/02-A,-76.4475298728
S66x8/02-B,-115.7480373717
S66x8/02-090,-192.2040564794
S66x8/02-095,-192.2045455422
S66x8/02-100,-192.2045155961
S66x8/02-105,-192.2041719604
S66x8/02-110,-192.2036528304
S66x8/02-125,-192.2017936401
S66x8/02-150,-192.1992780459
S66x8/02-200,-192.1969972133
S66x8/03-A,-76.44752917
S66x8/03-B,-95.8844076195
S66x8/03-090,-172.3426577755
S66x8/03-095,-172.3431615997
S66x8/03-100,-172.3430906164
S66x8/03-105,-172.3426643802
S66x8/03-110,-172.3420335488
S66x8/03-125,-172.339754664
S66x8/03-150,-172.3365743252
S66x8/03-200,-172.3335865214
S66x8/04-A,-76.4475299827
S66x8/04-B,-248.5623731774
S66x8/04-090,-325.0218829566
S66x8/04-095,-325.0224855595
S66x8/04-100,-325.0224701717
S66x8/04-105,-325.0220678152
S66x8/04-110,-325.0214382547
S66x8/04-125,-325.0190845204
S66x8/04-150,-325.0156802265
S66x8/04-200,-325.0119734134
S66x8/05-A,-115.747932085
S66x8/05-B,-115.7480474501
S66x8/05-090,-231.5045016978
S66x8/05-095,-231.5050901861
S66x8/05-100,-231.5051305942
S66x8/05-105,-231.5048357029
S66x8/05-110,-231.504346106
S66x8/05-125,-231.5025071913
S66x8/05-150,-231.4999359188
S66x8/05-200,-231.4975540384
S66x8/06-A,-115.7476938123
S66x8/06-B,-95.8844060114
S66x8/06-090,-211.6432474361
S66x8/06-095,-211.6439881304
S66x8/06-100,-211.6440573527
S66x8/06-105,-211.6437037182
S66x8/06-110,-211.6430995467
S66x8/06-125,-211.640756031
S66x8/06-150,-211.6373518628
S66x8/06-200,-211.6340954383
S66x8/07-A,-115.7477947225
S66x8/07-B,-248.5623577107
S66x8/07-090,-364.3220832343
S66x8/07-095,-364.3228431517
S66x8/07-100,-364.3229368162
S66x8/07-105,-364.3226071793
S66x8/07-110,-364.3220218249
S66x8/07-125,-364.3196946834
S66x8/07-150,-364.3157472522
S66x8/07-200,-364.3118352352
S66x8/08-A,-115.7479616607
S66x8/08-B,-76.4475180642
S66x8/08-090,-192.2032426924
S66x8/08-095,-192.2037387253
S66x8/08-100,-192.2037457274
S66x8/08-105,-192.2034571711
S66x8/08-110,-192.2030019264
S66x8/08-125,-192.2013376014
S66x8/08-150,-192.199055605
S66x8/08-200,-192.1969582571
S66x8/09-A,-95.8843446115
S66x8/09-B,-115.7480580001
S66x8/09-090,-211.6365181002
S66x8/09-095,-211.6368949641
S66x8/09-100,-211.6369079513
S66x8/09-105,-211.6367117347
S66x8/09-110,-211.6364064565
S66x8/09-125,-211.6353492845
S66x8/09-150,-211.6340534962
S66x8/09-200,-211.6330322291
S66x8/10-A,-95.8843540742
S66x8/10-B,-95.8843843457
S66x8/10-090,-191.774096358
S66x8/10-095,-191.7747513567
S66x8/10-100,-191.7748729448
S66x8/10-105,-191.7746735872
S66x8/10-110,-191.7742969865
S66x8/10-125,-191.7728646675
S66x8/10-150,-191.7706554323
S66x8/10-200,-191.769324707
S66x8/11-A,-95.8841845471
S66x8/11-B,-248.562495181
S66x8/11-090,-344.4536086873
S66x8/11-095,-344.4543304258
S66x8/11-100,-344.4544848404
S66x8/11-105,-344.4542869432
S66x8/11-110,-344.4538850383
S66x8/11-125,-344.4514047486
S66x8/11-150,-344.4488035831
S66x8/11-200,-344.4474859539
S66x8/12-A,-95.8843742019
S66x8/12-B,-76.447119771
S66x8/12-090,-172.3428311401
S66x8/12-095,-172.3434717857
S66x8/12-100,-172.3434706788
S66x8/12-105,-172.3430694394
S66x8/12-110,-172.3424349705
S66x8/12-125,-172.3400715416
S66x8/12-150,-172.3367371508
S66x8/12-200,-172.3336130704
S66x8/13-A,-248.5624304486
S66x8/13-B,-115.748058828
S66x8/13-090,-364.3189902845
S66x8/13-095,-364.3196810031
S66x8/13-100,-364.3198092309
S66x8/13-105,-364.3195860689
S66x8/13-110,-364.3191560471
S66x8/13-125,-364.31743209
S66x8/13-150,-364.3149198598
S66x8/13-200,-364.3124779505
S66x8/14-A,-248.5622201044
S66x8/14-B,-95.8843715973
S66x8/14-090,-344.4569304627
S66x8/14-095,-344.4577600445
S66x8/14-100,-344.4579352728
S66x8/14-105,-344.4576930303
S66x8/14-110,-344.4571970675
S66x8/14-125,-344.4551320669
S66x8/14-150,-344.4519952904
S66x8/14-200,-344.4488774294
S66x8/15-A,-248.5622322309
S66x8/15-B,-248.5623530777
S66x8/15-090,-497.136240159
S66x8/15-095,-497.1370816381
S66x8/15-100,-497.1372657533
S66x8/15-105,-497.1370261885
S66x8/15-110,-497.1365251108
S66x8/15-125,-497.1343972371
S66x8/15-150,-497.1310740954
S66x8/15-200,-497.1272214224
S66x8/16-A,-248.5624011048
S66x8/16-B,-76.4475204774
S66x8/16-090,-325.0174794775
S66x8/16-095,-325.0180190138
S66x8/16-100,-325.0180798737
S66x8/16-105,-325.0178481062
S66x8/16-110,-325.0174493618
S66x8/16-125,-325.0159285346
S66x8/16-150,-325.0137874066
S66x8/16-200,-325.0117318163
S66x8/17-A,-414.8477307906
S66x8/17-B,-414.8478681784
S66x8/17-090,-829.7202250044
S66x8/17-095,-829.7219641506
S66x8/17-100,-829.7222964784
S66x8/17-105,-829.7217140677
S66x8/17-110,-829.7205664542
S66x8/17-125,-829.7157654112
S66x8/17-150,-829.7082818282
S66x8/17-200,-829.7006264243
S66x8/18-A,-76.4475305293
S66x8/18-B,-248.2954748758
S66x8/18-090,-324.753448145
S66x8/18-095,-324.7540029064
S66x8/18-100,-324.7539695229
S66x8/18-105,-324.7535717262
S66x8/18-110,-324.7529632826
S66x8/18-125,-324.7507332756
S66x8/18-150,-324.7476148232
S66x8/18-200,-324.7447012445
S66x8/19-A,-115.7477111566
S66x8/19-B,-248.2954678729
S66x8/19-090,-364.0538853657
S66x8/19-095,-364.0546398249
S66x8/19-100,-364.0547339674
S66x8/19-105,-364.0544100349
S66x8/19-110,-364.0539236544
S66x8/19-125,-364.0515681169
S66x8/19-150,-364.0483240465
S66x8/19-200,-364.0451006019
S66x8/20-A,-229.1161518298
S66x8/20-B,-229.1161513609
S66x8/20-090,-458.2609029151
S66x8/20-095,-458.2627565542
S66x8/20-100,-458.2630174979
S66x8/20-105,-458.262255115
S66x8/20-110,-458.2608672959
S66x8/20-125,-458.2553228545
S66x8/20-150,-458.2467106906
S66x8/20-200,-458.2378663095
S66x8/21-A,-209.2473959696
S66x8/21-B,-209.2473990826
S66x8/21-090,-418.518532552
S66x8/21-095,-418.5201297306
S66x8/21-100,-418.5203956159
S66x8/21-105,-418.519805727
S66x8/21-110,-418.5186915725
S66x8/21-125,-418.5141356023
S66x8/21-150,-418.5071826756
S66x8/21-200,-418.4994710118
S66x8/22-A,-229.1160665038
S66x8/22-B,-414.8476070573
S66x8/22-090,-643.9924038593
S66x8/22-095,-643.9942271354
S66x8/22-100,-643.9945443195
S66x8/22-105,-643.9938786844
S66x8/22-110,-643.9926001522
S66x8/22-125,-643.9872748452
S66x8/22-150,-643.9788989113
S66x8/22-200,-643.9700241127
S66x8/23-A,-209.2473159969
S66x8/23-B,-414.8474557345
S66x8/23-090,-624.1228188321
S66x8/23-095,-624.1245514699
S66x8/23-100,-624.1249107618
S66x8/23-105,-624.1243615161
S66x8/23-110,-624.123235696
S66x8/23-125,-624.118389605
S66x8/23-150,-624.1105498919
S66x8/23-200,-624.1019416237
S66x8/24-A,-232.262760089
S66x8/24-B,-232.2627412116
S66x8/24-090,-464.5235793355
S66x8/24-095,-464.526848794
S66x8/24-100,-464.52820515
S66x8/24-105,-464.5285361964
S66x8/24-110,-464.5283856594
S66x8/24-125,-464.5271704892
S66x8/24-150,-464.5259103451
S66x8/24-200,-464.5254987466
S66x8/25-A,-248.2954657112
S66x8/25-B,-248.2954840023
S66x8/25-090,-496.5908498745
S66x8/25-095,-496.5940525893
S66x8/25-100,-496.5953810966
S66x8/25-105,-496.5956727352
S66x8/25-110,-496.5954385149
S66x8/25-125,-496.593926172
S66x8/25-150,-496.5921199969
S66x8/25-200,-496.591233717
S66x8/26-A,-414.8482757364
S66x8/26-B,-414.8482757365
S66x8/26-090,-829.7049329642
S66x8/26-095,-829.7080806026
S66x8/26-100,-829.7090697044
S66x8/26-105,-829.7088665264
S66x8/26-110,-829.708059249
S66x8/26-125,-829.7046898991
S66x8/26-150,-829.7007025857
S66x8/26-200,-829.6979317826
S66x8/27-A,-232.2627557964
S66x8/27-B,-248.2954920647
S66x8/27-090,-480.5571132388
S66x8/27-095,-480.5605582275
S66x8/27-100,-480.5619422983
S66x8/27-105,-480.5622252168
S66x8/27-110,-480.5619957132
S66x8/27-125,-480.5605886832
S66x8/27-150,-480.559019652
S66x8/27-200,-480.5583652551
S66x8/28-A,-232.2626876972
S66x8/28-B,-414.8488085202
S66x8/28-090,-647.1137194678
S66x8/28-095,-647.1168445002
S66x8/28-100,-647.1180342213
S66x8/28-105,-647.1181284026
S66x8/28-110,-647.1176652454
S66x8/28-125,-647.1154742143
S66x8/28-150,-647.1130063363
S66x8/28-200,-647.1116816116
S66x8/29-A,-248.2954527573
S66x8/29-B,-414.8487950438
S66x8/29-090,-663.1466768142
S66x8/29-095,-663.1510448051
S66x8/29-100,-663.1525003182
S66x8/29-105,-663.1525070575
S66x8/29-110,-663.1518539197
S66x8/29-125,-663.1491683257
S66x8/29-150,-663.1464211934
S66x8/29-200,-663.1448337071
S66x8/30-A,-232.2627506622
S66x8/30-B,-78.6019013679
S66x8/30-090,-310.8636922412
S66x8/30-095,-310.8652472208
S66x8/30-100,-310.8658666746
S66x8/30-105,-310.8659960011
S66x8/30-110,-310.8658878237
S66x8/30-125,-310.8652552376
S66x8/30-150,-310.8646800049
S66x8/30-200,-310.8645732523
S66x8/31-A,-414.8488352376
S66x8/31-B,-78.6018802949
S66x8/31-090,-493.4529270454
S66x8/31-095,-493.4542217464
S66x8/31-100,-493.4546581769
S66x8/31-105,-493.4546160823
S66x8/31-110,-493.4543350123
S66x8/31-125,-493.4531531187
S66x8/31-150,-493.4517959744
S66x8/31-200,-493.4509610492
S66x8/32-A,-414.8488565223
S66x8/32-B,-77.3364509567
S66x8/32-090,-492.1880436265
S66x8/32-095,-492.189440671
S66x8/32-100,-492.1898766314
S66x8/32-105,-492.1897866536
S66x8/32-110,-492.1894311656
S66x8/32-125,-492.1880203335
S66x8/32-150,-492.1864148047
S66x8/32-200,-492.1854198151
S66x8/33-A,-248.2955011283
S66x8/33-B,-78.60188481
S66x8/33-090,-326.8974797206
S66x8/33-095,-326.8988034256
S66x8/33-100,-326.899329758
S66x8/33-105,-326.8994140389
S66x8/33-110,-326.8992738692
S66x8/33-125,-326.8985153482
S66x8/33-150,-326.8977136099
S66x8/33-200,-326.897397126
S66x8/34-A,-197.819732482
S66x8/34-B,-197.819723984
S66x8/34-090,-395.6410521701
S66x8/34-095,-395.6426835806
S66x8/34-100,-395.643277511
S66x8/34-105,-395.6433208954
S66x8/34-110,-395.6430666753
S66x8/34-125,-395.6419761414
S66x8/34-150,-395.6406521116
S66x8/34-200,-395.6399234001
S66x8/35-A,-197.8197298645
S66x8/35-B,-197.8249186288
S66x8/35-090,-395.6454253196
S66x8/35-095,-395.6467711469
S66x8/35-100,-395.6472251714
S66x8/35-105,-395.6472359046
S66x8/35-110,-395.6470349149
S66x8/35-125,-395.6462360164
S66x8/35-150,-395.645362345
S66x8/35-200,-395.6448867658
S66x8/36-A,-197.8249243911
S66x8/36-B,-197.82493116
S66x8/36-090,-395.6505287756
S66x8/36-095,-395.6511592061
S66x8/36-100,-395.651388044
S66x8/36-105,-395.6513844732
S66x8/36-110,-395.6512669843
S66x8/36-125,-395.6507649856
S66x8/36-150,-395.6501962455
S66x8/36-200,-395.649859548
S66x8/37-A,-196.5981562241
S66x8/37-B,-197.8248826993
S66x8/37-090,-394.4234514873
S66x8/37-095,-394.4247842523
S66x8/37-100,-394.4252749774
S66x8/37-105,-394.4253492165
S66x8/37-110,-394.4252255977
S66x8/37-125,-394.4245365096
S66x8/37-150,-394.4237050073
S66x8/37-200,-394.4232104841
S66x8/38-A,-196.5981387341
S66x8/38-B,-196.5981436549
S66x8/38-090,-393.1973447961
S66x8/38-095,-393.198607899
S66x8/38-100,-393.1991351709
S66x8/38-105,-393.1991574492
S66x8/38-110,-393.1989494277
S66x8/38-125,-393.1980057523
S66x8/38-150,-393.1969934154
S66x8/38-200,-393.1964433932
S66x8/39-A,-232.262744036
S66x8/39-B,-196.5981223699
S66x8/39-090,-428.8618643947
S66x8/39-095,-428.8639199613
S66x8/39-100,-428.8647311017
S66x8/39-105,-428.864832756
S66x8/39-110,-428.8645685329
S66x8/39-125,-428.8632790874
S66x8/39-150,-428.8618452067
S66x8/39-200,-428.861050297
S66x8/40-A,-232.2627375624
S66x8/40-B,-197.8248993928
S66x8/40-090,-430.0886888429
S66x8/40-095,-430.0902466989
S66x8/40-100,-430.090822651
S66x8/40-105,-430.0908726463
S66x8/40-110,-430.0906560838
S66x8/40-125,-430.0896374872
S66x8/40-150,-430.0884830431
S66x8/40-200,-430.0878322819
S66x8/41-A,-414.8488214392
S66x8/41-B,-197.8198015738
S66x8/41-090,-612.6712581428
S66x8/41-095,-612.67307296
S66x8/41-100,-612.6737026089
S66x8/41-105,-612.6736730275
S66x8/41-110,-612.673189651
S66x8/41-125,-612.6712985008
S66x8/41-150,-612.6695841965
S66x8/41-200,-612.6687947638
S66x8/42-A,-414.8488190953
S66x8/42-B,-196.5981205815
S66x8/42-090,-611.4486695691
S66x8/42-095,-611.4505686818
S66x8/42-100,-611.4512031805
S66x8/42-105,-611.4511755508
S66x8/42-110,-611.4508337148
S66x8/42-125,-611.4494340116
S66x8/42-150,-611.4479572503
S66x8/42-200,-611.4471602302
S66x8/43-A,-414.8488369575
S66x8/43-B,-197.8248698921
S66x8/43-090,-612.6756657331
S66x8/43-095,-612.6771733709
S66x8/43-100,-612.6776456023
S66x8/43-105,-612.6775675005
S66x8/43-110,-612.6772267827
S66x8/43-125,-612.6759449391
S66x8/43-150,-612.6746055517
S66x8/43-200,-612.6738527371
S66x8/44-A,-78.6019000206
S66x8/44-B,-197.8197633344
S66x8/44-090,-276.4229099474
S66x8/44-095,-276.4236042585
S66x8/44-100,-276.4237960616
S66x8/44-105,-276.4237238581
S66x8/44-110,-276.4235388488
S66x8/44-125,-276.4228800696
S66x8/44-150,-276.4221976225
S66x8/44-200,-276.4218448964
S66x8/45-A,-77.3364601784
S66x8/45-B,-197.8197977206
S66x8/45-090,-275.156821137
S66x8/45-095,-275.1577728234
S66x8/45-100,-275.1580939414
S66x8/45-105,-275.1580924934
S66x8/45-110,-275.1579365508
S66x8/45-125,-275.1572857381
S66x8/45-150,-275.1566066035
S66x8/45-200,-275.1562340389
S66x8/46-A,-248.5624701342
S66x8/46-B,-197.819716129
S66x8/46-090,-446.3853901289
S66x8/46-095,-446.3864477925
S66x8/46-100,-446.3868029545
S66x8/46-105,-446.3867407817
S66x8/46-110,-446.3864527676
S66x8/46-125,-446.3852125021
S66x8/46-150,-446.3835209787
S66x8/46-200,-446.3825572191
S66x8/47-A,-232.2627307833
S66x8/47-B,-232.2626666471
S66x8/47-090,-464.5266326406
S66x8/47-095,-464.5283101981
S66x8/47-100,-464.5289238851
S66x8/47-105,-464.5289823334
S66x8/47-110,-464.528768627
S66x8/47-125,-464.5277064617
S66x8/47-150,-464.5264739483
S66x8/47-200,-464.5257304237
S66x8/48-A,-248.2954712868
S66x8/48-B,-248.2954307824
S66x8/48-090,-496.5935692956
S66x8/48-095,-496.5949618863
S66x8/48-100,-496.5954577018
S66x8/48-105,-496.5954601639
S66x8/48-110,-496.5951977829
S66x8/48-125,-496.5939796652
S66x8/48-150,-496.5924723236
S66x8/48-200,-496.5914267428
S66x8/49-A,-232.2627301033
S66x8/49-B,-248.2954592362
S66x8/49-090,-480.5600982073
S66x8/49-095,-480.5617981907
S66x8/49-100,-480.5624045684
S66x8/49-105,-480.5624305223
S66x8/49-110,-480.5621777287
S66x8/49-125,-480.5609773985
S66x8/49-150,-480.5595656165
S66x8/49-200,-480.5586404808
S66x8/50-A,-232.2627255094
S66x8/50-B,-77.3364821081
S66x8/50-090,-309.6015437171
S66x8/50-095,-309.6028020286
S66x8/50-100,-309.6031852103
S66x8/50-105,-309.6031010865
S66x8/50-110,-309.6028062093
S66x8/50-125,-309.6016474748
S66x8/50-150,-309.6003526961
S66x8/50-200,-309.5994913476
S66x8/51-A,-77.3364662588
S66x8/51-B,-77.3364909384
S66x8/51-090,-154.6747609836
S66x8/51-095,-154.6751598085
S66x8/51-100,-154.6752317585
S66x8/51-105,-154.6751266507
S66x8/51-110,-154.674937322
S66x8/51-125,-154.6742899793
S66x8/51-150,-154.6735856439
S66x8/51-200,-154.6731189685
S66x8/52-A,-232.2627253953
S66x8/52-B,-229.1180819601
S66x8/52-090,-461.3860698004
S66x8/52-095,-461.3871411519
S66x8/52-100,-461.3874272952
S66x8/52-105,-461.3872672553
S66x8/52-110,-461.3868679207
S66x8/52-125,-461.3852633703
S66x8/52-150,-461.3831970114
S66x8/52-200,-461.3815614998
S66x8/53-A,-232.2627292509
S66x8/53-B,-209.2483124601
S66x8/53-090,-441.5160408275
S66x8/53-095,-441.5168751616
S66x8/53-100,-441.5170986328
S66x8/53-105,-441.5169588384
S66x8/53-110,-441.5166159465
S66x8/53-125,-441.5152163067
S66x8/53-150,-441.5133134452
S66x8/53-200,-441.5116605644
S66x8/54-A,-232.2627174948
S66x8/54-B,-76.4474742024
S66x8/54-090,-308.7144341385
S66x8/54-095,-308.7151273182
S66x8/54-100,-308.7152502855
S66x8/54-105,-308.7150572374
S66x8/54-110,-308.7147060637
S66x8/54-125,-308.713465951
S66x8/54-150,-308.7119792607
S66x8/54-200,-308.7108090869
S66x8/55-A,-232.2627050416
S66x8/55-B,-115.7480153957
S66x8/55-090,-348.0151645818
S66x8/55-095,-348.0162330933
S66x8/55-100,-348.0165584581
S66x8/55-105,-348.0164640766
S66x8/55-110,-348.0161360105
S66x8/55-125,-348.014734142
S66x8/55-150,-348.0129148286
S66x8/55-200,-348.0114745905
S66x8/56-A,-232.2627296392
S66x8/56-B,-95.8843524118
S66x8/56-090,-328.1497549576
S66x8/56-095,-328.1508355467
S66x8/56-100,-328.1512050068
S66x8/56-105,-328.1511615701
S66x8/56-110,-328.1508752669
S66x8/56-125,-328.1496882651
S66x8/56-150,-328.1483306948
S66x8/56-200,-328.1474404328
S66x8/57-A,-232.2627058748
S66x8/57-B,-248.5624474716
S66x8/57-090,-480.8291707417
S66x8/57-095,-480.8313454017
S66x8/57-100,-480.8320902665
S66x8/57-105,-480.8320613887
S66x8/57-110,-480.8316513347
S66x8/57-125,-480.829845661
S66x8/57-150,-480.8276358611
S66x8/57-200,-480.8260310936
S66x8/58-A,-248.2954322485
S66x8/58-B,-248.2954106836
S66x8/58-090,-496.594625575
S66x8/58-095,-496.5962375939
S66x8/58-100,-496.5967942595
S66x8/58-105,-496.5964365249
S66x8/58-110,-496.5957974375
S66x8/58-125,-496.5939468478
S66x8/58-150,-496.5922615864
S66x8/58-200,-496.5912439633
S66x8/59-A,-77.3364889903
S66x8/59-B,-76.4475172997
S66x8/59-090,-153.7882251429
S66x8/59-095,-153.7885964486
S66x8/59-100,-153.7886164025
S66x8/59-105,-153.7884305014
S66x8/59-110,-153.7881334492
S66x8/59-125,-153.7870776209
S66x8/59-150,-153.7857337345
S66x8/59-200,-153.7845882467
S66x8/60-A,-77.336452187
S66x8/60-B,-229.1180536777
S66x8/60-090,-306.4610674881
S66x8/60-095,-306.4618158253
S66x8/60-100,-306.4619169296
S66x8/60-105,-306.4616380208
S66x8/60-110,-306.4611514989
S66x8/60-125,-306.4593596623
S66x8/60-150,-306.4570599838
S66x8/60-200,-306.4552392045
S66x8/61-A,-197.8197585166
S66x8/61-B,-229.1181591066
S66x8/61-090,-426.9403302734
S66x8/61-095,-426.9408593261
S66x8/61-100,-426.9410085485
S66x8/61-105,-426.940930851
S66x8/61-110,-426.94072957
S66x8/61-125,-426.9399129525
S66x8/61-150,-426.9387404198
S66x8/61-200,-426.938110204
S66x8/62-A,-197.8198025927
S66x8/62-B,-209.2483544071
S66x8/62-090,-407.0710066331
S66x8/62-095,-407.0718139574
S66x8/62-100,-407.0720496369
S66x8/62-105,-407.0719486866
S66x8/62-110,-407.0716726807
S66x8/62-125,-407.0705850234
S66x8/62-150,-407.0692859286
S66x8/62-200,-407.0684355138
S66x8/63-A,-232.2627481058
S66x8/63-B,-229.1181093044
S66x8/63-090,-461.383313121
S66x8/63-095,-461.3849335764
S66x8/63-100,-461.3854688949
S66x8/63-105,-461.3854303311
S66x8/63-110,-461.3850921626
S66x8/63-125,-461.3837011939
S66x8/63-150,-461.3821070128
S66x8/63-200,-461.3811567168
S66x8/64-A,-248.5624630512
S66x8/64-B,-78.6019094148
S66x8/64-090,-327.1671751378
S66x8/64-095,-327.1678691265
S66x8/64-100,-327.1680578661
S66x8/64-105,-327.167955008
S66x8/64-110,-327.1676996075
S66x8/64-125,-327.1667033073
S66x8/64-150,-327.1654131683
S66x8/64-200,-327.1645597374
S66x8/65-A,-248.2954895689
S66x8/65-B,-77.336179413
S66x8/65-090,-325.637638687
S66x8/65-095,-325.6381504915
S66x8/65-100,-325.6382167225
S66x8/65-105,-325.6380109058
S66x8/65-110,-325.6376498282
S66x8/65-125,-325.6362815955
S66x8/65-150,-325.6344351225
S66x8/65-200,-325.6328378209
S66x8/66-A,-95.8843360984
S66x8/66-B,-248.2954803735
S66x8/66-090,-344.1841650307
S66x8/66-095,-344.1849365111
S66x8/66-100,-344.1851689916
S66x8/66-105,-344.1850697015
S66x8/66-110,-344.1847825912
S66x8/66-125,-344.1835524698
