system,B3P86/def2-QZVP/ORCA
S66x8/16-150,-325.0317298751
S66x8/16-200,-325.0301961252
S66x8/17-A,-414.8936111142
S66x8/17-B,-414.8937328554
S66x8/17-090,-829.8102356914
S66x8/17-095,-829.8117721215
S66x8/17-100,-829.8119603501
S66x8/17-105,-829.8112884327
S66x8/17-110,-829.8100973594
S66x8/17-125,-829.8053870146
S66x8/17-150,-829.7984098604
S66x8/17-200,-829.7917711994
S66x8/18-A,-76.4506917056
S66x8/18-B,-248.3171140572
S66x8/18-090,-324.7773539481
S66x8/18-095,-324.7778398777
S66x8/18-100,-324.7777608478
S66x8/18-105,-324.7773379972
S66x8/18-110,-324.7767227538
S66x8/18-125,-324.7745633573
S66x8/18-150,-324.7717223225
S66x8/18-200,-324.7692935697
S66x8/19-A,-115.7527675914
S66x8/19-B,-248.3171089169
S66x8/19-090,-364.0790684485
S66x8/19-095,-364.0798137799
S66x8/19-100,-364.0799166737
S66x8/19-105,-364.0796176344
S66x8/19-110,-364.0790247693
S66x8/19-125,-364.0769975153
S66x8/19-150,-364.073989078
S66x8/19-200,-364.0713829407
S66x8/20-A,-229.1350611707
S66x8/20-B,-229.1350599396
S66x8/20-090,-458.2986884529
S66x8/20-095,-458.3002472929
S66x8/20-100,-458.3002472276
S66x8/20-105,-458.2992653834
S66x8/20-110,-458.2977032781
S66x8/20-125,-458.2917995218
S66x8/20-150,-458.2832367952
S66x8/20-200,-458.2750884341
S66x8/21-A,-209.2627654551
S66x8/21-B,-209.2627683751
S66x8/21-090,-418.5479504108
S66x8/21-095,-418.5493358139
S66x8/21-100,-418.5494481081
S66x8/21-105,-418.5487562958
S66x8/21-110,-418.5475871296
S66x8/21-125,-418.543081652
S66x8/21-150,-418.536575799
S66x8/21-200,-418.5298227525
S66x8/22-A,-229.1349932726
S66x8/22-B,-414.893461476
S66x8/22-090,-644.0563115115
S66x8/22-095,-644.057890254
S66x8/22-100,-644.0580074744
S66x8/22-105,-644.0571855178
S66x8/22-110,-644.0557927369
S66x8/22-125,-644.050344484
S66x8/22-150,-644.042223117
S66x8/22-200,-644.0341955781
S66x8/23-A,-209.2626603947
S66x8/23-B,-414.8933320828
S66x8/23-090,-624.1826140346
S66x8/23-095,-624.1841564027
S66x8/23-100,-624.1843727397
S66x8/23-105,-624.1837246961
S66x8/23-110,-624.18254058
S66x8/23-125,-624.1777164213
S66x8/23-150,-624.1702803622
S66x8/23-200,-624.1625778047
S66x8/24-A,-232.2802257138
S66x8/24-B,-232.2802010719
S66x8/24-090,-464.548515094
S66x8/24-095,-464.5532580132
S66x8/24-100,-464.5558902457
S66x8/24-105,-464.5573131301
S66x8/24-110,-464.5581276015
S66x8/24-125,-464.559126896
S66x8/24-150,-464.5598214572
S66x8/24-200,-464.5602929323
S66x8/25-A,-248.3170844113
S66x8/25-B,-248.3171157107
S66x8/25-090,-496.6238546961
S66x8/25-095,-496.6284654658
S66x8/25-100,-496.631051444
S66x8/25-105,-496.6324376313
S66x8/25-110,-496.6331709287
S66x8/25-125,-496.6338734123
S66x8/25-150,-496.6341682952
S66x8/25-200,-496.6343188192
S66x8/26-A,-414.8941086845
S66x8/26-B,-414.8941086845
S66x8/26-090,-829.7845331573
S66x8/26-095,-829.7889444586
S66x8/26-100,-829.7911331351
S66x8/26-105,-829.7920602885
S66x8/26-110,-829.7923157943
S66x8/26-125,-829.7915743274
S66x8/26-150,-829.7903167744
S66x8/26-200,-829.789280191
S66x8/27-A,-232.280224375
S66x8/27-B,-248.3171262639
S66x8/27-090,-480.585991189
S66x8/27-095,-480.5909261175
S66x8/27-100,-480.5936174059
S66x8/27-105,-480.5950161703
S66x8/27-110,-480.595762751
S66x8/27-125,-480.5965536429
S66x8/27-150,-480.5970193126
S66x8/27-200,-480.5973104999
S66x8/28-A,-232.2801119614
S66x8/28-B,-414.8946836238
S66x8/28-090,-647.165327758
S66x8/28-095,-647.1698903906
S66x8/28-100,-647.1723973969
S66x8/28-105,-647.1736859791
S66x8/28-110,-647.1742824332
S66x8/28-125,-647.1746404351
S66x8/28-150,-647.1746172199
S66x8/28-200,-647.1747386326
S66x8/29-A,-248.3170634428
S66x8/29-B,-414.8946550963
S66x8/29-090,-663.2022114739
S66x8/29-095,-663.2082049156
S66x8/29-100,-663.2111172704
S66x8/29-105,-663.2124333463
S66x8/29-110,-663.2129315264
S66x8/29-125,-663.2128968353
S66x8/29-150,-663.2125013631
S66x8/29-200,-663.2121040629
S66x8/30-A,-232.280213394
S66x8/30-B,-78.6034836499
S66x8/30-090,-310.8772194919
S66x8/30-095,-310.8795040512
S66x8/30-100,-310.8807892218
S66x8/30-105,-310.8815197812
S66x8/30-110,-310.8819410011
S66x8/30-125,-310.8825350621
S66x8/30-150,-310.8830706549
S66x8/30-200,-310.8835415413
S66x8/31-A,-414.8947105646
S66x8/31-B,-78.6034904201
S66x8/31-090,-493.4944631202
S66x8/31-095,-493.4964185335
S66x8/31-100,-493.4974906275
S66x8/31-105,-493.4980301783
S66x8/31-110,-493.4982797355
S66x8/31-125,-493.4984000284
S66x8/31-150,-493.4983425311
S66x8/31-200,-493.4982837957
S66x8/32-A,-414.8947319172
S66x8/32-B,-77.3384568935
S66x8/32-090,-492.2305271491
S66x8/32-095,-492.2325196499
S66x8/32-100,-492.2335238514
S66x8/32-105,-492.233965179
S66x8/32-110,-492.234090475
S66x8/32-125,-492.2338601447
S66x8/32-150,-492.2334365836
S66x8/32-200,-492.2331520645
S66x8/33-A,-248.3171392747
S66x8/33-B,-78.6034460258
S66x8/33-090,-326.9151927
S66x8/33-095,-326.9171800211
S66x8/33-100,-326.9183218388
S66x8/33-105,-326.9189665856
S66x8/33-110,-326.919339278
S66x8/33-125,-326.9197885592
S66x8/33-150,-326.920149104
S66x8/33-200,-326.9205066462
S66x8/34-A,-197.814193861
S66x8/34-B,-197.8141360834
S66x8/34-090,-395.6218753571
S66x8/34-095,-395.6242643257
S66x8/34-100,-395.625594575
S66x8/34-105,-395.6263372913
S66x8/34-110,-395.6267197118
S66x8/34-125,-395.6274090242
S66x8/34-150,-395.6279435294
S66x8/34-200,-395.6284804575
S66x8/35-A,-197.8141717784
S66x8/35-B,-197.8164099151
S66x8/35-090,-395.6256084113
S66x8/35-095,-395.6275732829
S66x8/35-100,-395.6286114075
S66x8/35-105,-395.6291567694
S66x8/35-110,-395.6294253529
S66x8/35-125,-395.6298553682
S66x8/35-150,-395.6302375548
S66x8/35-200,-395.6305910111
S66x8/36-A,-197.8164250932
S66x8/36-B,-197.8164687754
S66x8/36-090,-395.6294474134
S66x8/36-095,-395.6304764695
S66x8/36-100,-395.6311140964
S66x8/36-105,-395.6314802946
S66x8/36-110,-395.63170634
S66x8/36-125,-395.6320706757
S66x8/36-150,-395.6324079276
S66x8/36-200,-395.6326745191
S66x8/37-A,-196.5971936808
S66x8/37-B,-197.8163328978
S66x8/37-090,-394.4084560824
S66x8/37-095,-394.4103929294
S66x8/37-100,-394.4114282097
S66x8/37-105,-394.4120043188
S66x8/37-110,-394.4123432912
S66x8/37-125,-394.4128064525
S66x8/37-150,-394.4131718764
S66x8/37-200,-394.4135150809
S66x8/38-A,-196.5971287979
S66x8/38-B,-196.5971412696
S66x8/38-090,-393.1891684303
S66x8/38-095,-393.1909570733
S66x8/38-100,-393.1920629781
S66x8/38-105,-393.192649815
S66x8/38-110,-393.1929739103
S66x8/38-125,-393.1933998855
S66x8/38-150,-393.1938049675
S66x8/38-200,-393.1941900044
S66x8/39-A,-232.2802042802
S66x8/39-B,-196.5971058327
S66x8/39-090,-428.8703693966
S66x8/39-095,-428.8733337551
S66x8/39-100,-428.8749990033
S66x8/39-105,-428.8759138031
S66x8/39-110,-428.8763788949
S66x8/39-125,-428.8768000252
S66x8/39-150,-428.8770481706
S66x8/39-200,-428.8772985012
S66x8/40-A,-232.2801947103
S66x8/40-B,-197.8164539973
S66x8/40-090,-430.0912809049
S66x8/40-095,-430.0936074501
S66x8/40-100,-430.0948744121
S66x8/40-105,-430.095555645
S66x8/40-110,-430.0958966167
S66x8/40-125,-430.0962265769
S66x8/40-150,-430.0964129765
S66x8/40-200,-430.0965989107
S66x8/41-A,-414.8947001022
S66x8/41-B,-197.8142488512
S66x8/41-090,-612.7020141749
S66x8/41-095,-612.7047966868
S66x8/41-100,-612.7063797555
S66x8/41-105,-612.7072585635
S66x8/41-110,-612.7077632764
S66x8/41-125,-612.7082180452
S66x8/41-150,-612.70862542
S66x8/41-200,-612.7089166635
S66x8/42-A,-414.8946981552
S66x8/42-B,-196.5971284203
S66x8/42-090,-611.4848445058
S66x8/42-095,-611.487735342
S66x8/42-100,-611.4893002362
S66x8/42-105,-611.4901207428
S66x8/42-110,-611.4905508735
S66x8/42-125,-611.4910449212
S66x8/42-150,-611.4914555478
S66x8/42-200,-611.4918016528
S66x8/43-A,-414.8947153448
S66x8/43-B,-197.8163169685
S66x8/43-090,-612.7059860798
S66x8/43-095,-612.7082821218
S66x8/43-100,-612.7095214269
S66x8/43-105,-612.7101408365
S66x8/43-110,-612.7104248344
S66x8/43-125,-612.710686211
S66x8/43-150,-612.7108703279
S66x8/43-200,-612.711017082
S66x8/44-A,-78.6034839391
S66x8/44-B,-197.8142367713
S66x8/44-090,-276.4145755086
S66x8/44-095,-276.4157003781
S66x8/44-100,-276.4163144104
S66x8/44-105,-276.4166276813
S66x8/44-110,-276.4168180297
S66x8/44-125,-276.4171280894
S66x8/44-150,-276.4174492215
S66x8/44-200,-276.4177252015
S66x8/45-A,-77.3384655422
S66x8/45-B,-197.8142069111
S66x8/45-090,-275.1490041862
S66x8/45-095,-275.1504426867
S66x8/45-100,-275.1512195502
S66x8/45-105,-275.1516429506
S66x8/45-110,-275.1518768476
S66x8/45-125,-275.1521643274
S66x8/45-150,-275.1523771029
S66x8/45-200,-275.1524854254
S66x8/46-A,-248.5779006053
S66x8/46-B,-197.8141420544
S66x8/46-090,-446.3875494719
S66x8/46-095,-446.3892796297
S66x8/46-100,-446.390287559
S66x8/46-105,-446.3908438223
S66x8/46-110,-446.3911527601
S66x8/46-125,-446.3915103156
S66x8/46-150,-446.3918235126
S66x8/46-200,-446.3921486295
S66x8/47-A,-232.2801814444
S66x8/47-B,-232.2800907318
S66x8/47-090,-464.5556806875
S66x8/47-095,-464.5580761856
S66x8/47-100,-464.5593224314
S66x8/47-105,-464.5599487651
S66x8/47-110,-464.5602551682
S66x8/47-125,-464.56042512
S66x8/47-150,-464.560424435
S66x8/47-200,-464.5604621922
S66x8/48-A,-248.3170915622
S66x8/48-B,-248.3170475826
S66x8/48-090,-496.6312189741
S66x8/48-095,-496.6331751672
S66x8/48-100,-496.6341962618
S66x8/48-105,-496.6346957054
S66x8/48-110,-496.6348954729
S66x8/48-125,-496.6348357466
S66x8/48-150,-496.634603613
S66x8/48-200,-496.6344497072
S66x8/49-A,-232.2801821132
S66x8/49-B,-248.3170819512
S66x8/49-090,-480.5933665108
S66x8/49-095,-480.5957588267
S66x8/49-100,-480.5969889934
S66x8/49-105,-480.5975711279
S66x8/49-110,-480.5978316822
S66x8/49-125,-480.5978501602
S66x8/49-150,-480.5976700826
S66x8/49-200,-480.5975323566
S66x8/50-A,-232.2801704962
S66x8/50-B,-77.338526992
S66x8/50-090,-309.6172540928
S66x8/50-095,-309.6188827001
S66x8/50-100,-309.6196290127
S66x8/50-105,-309.6198902989
S66x8/50-110,-309.6199213985
S66x8/50-125,-309.6195892013
S66x8/50-150,-309.6191540406
S66x8/50-200,-309.618813785
S66x8/51-A,-77.3384773902
S66x8/51-B,-77.3385386909
S66x8/51-090,-154.6775022551
S66x8/51-095,-154.6779773406
S66x8/51-100,-154.6781429337
S66x8/51-105,-154.6781427459
S66x8/51-110,-154.6780618633
S66x8/51-125,-154.6777184446
S66x8/51-150,-154.6773588242
S66x8/51-200,-154.6771075419
S66x8/52-A,-232.2801689479
S66x8/52-B,-229.1368858625
S66x8/52-090,-461.4178389888
S66x8/52-095,-461.4192995184
S66x8/52-100,-461.41995568
S66x8/52-105,-461.4201560899
S66x8/52-110,-461.4201005067
S66x8/52-125,-461.4193949437
S66x8/52-150,-461.4183762739
S66x8/52-200,-461.4175768885
S66x8/53-A,-232.2801721088
S66x8/53-B,-209.2636441195
S66x8/53-090,-441.5449884485
S66x8/53-095,-441.5460843873
S66x8/53-100,-441.546582527
S66x8/53-105,-441.5467224471
S66x8/53-110,-441.5466545313
S66x8/53-125,-441.5460149553
S66x8/53-150,-441.545053577
S66x8/53-200,-441.5442295203
S66x8/54-A,-232.2801591945
S66x8/54-B,-76.4506173868
S66x8/54-090,-308.7321858608
S66x8/54-095,-308.7331150744
S66x8/54-100,-308.7334785118
S66x8/54-105,-308.7335196312
S66x8/54-110,-308.7333952127
S66x8/54-125,-308.7327626136
S66x8/54-150,-308.7319759898
S66x8/54-200,-308.7313041928
S66x8/55-A,-232.280140584
S66x8/55-B,-115.7530089971
S66x8/55-090,-348.032903596
S66x8/55-095,-348.0343700963
S66x8/55-100,-348.0350833503
S66x8/55-105,-348.0353762673
S66x8/55-110,-348.0354155077
S66x8/55-125,-348.0349838059
S66x8/55-150,-348.0342851717
S66x8/55-200,-348.0337020769
S66x8/56-A,-232.2801789006
S66x8/56-B,-95.8850079752
S66x8/56-090,-328.1628281317
S66x8/56-095,-328.1644096964
S66x8/56-100,-328.1652537856
S66x8/56-105,-328.1657013048
S66x8/56-110,-328.1658767175
S66x8/56-125,-328.1658092296
S66x8/56-150,-328.1655905568
S66x8/56-200,-328.1654198965
S66x8/57-A,-232.2801450027
S66x8/57-B,-248.5778669989
S66x8/57-090,-480.8548761314
S66x8/57-095,-480.8578569223
S66x8/57-100,-480.8593485764
S66x8/57-105,-480.8599956308
S66x8/57-110,-480.8601972159
S66x8/57-125,-480.8598841242
S66x8/57-150,-480.8592161434
S66x8/57-200,-480.8586465587
S66x8/58-A,-248.3170741412
S66x8/58-B,-248.3170113963
S66x8/58-090,-496.634658057
S66x8/58-095,-496.6364010966
S66x8/58-100,-496.6372264118
S66x8/58-105,-496.6371641922
S66x8/58-110,-496.6368217412
S66x8/58-125,-496.6357422443
S66x8/58-150,-496.6348627386
S66x8/58-200,-496.6343558583
S66x8/59-A,-77.3385777858
S66x8/59-B,-76.4506785658
S66x8/59-090,-153.7923985099
S66x8/59-095,-153.7927431416
S66x8/59-100,-153.7927701807
S66x8/59-105,-153.7926168554
S66x8/59-110,-153.7923718317
S66x8/59-125,-153.7915259511
S66x8/59-150,-153.7905090611
S66x8/59-200,-153.7896363863
S66x8/60-A,-77.3384668165
S66x8/60-B,-229.1368638742
S66x8/60-090,-306.4802265725
S66x8/60-095,-306.4809602712
S66x8/60-100,-306.4810872636
S66x8/60-105,-306.4808630327
S66x8/60-110,-306.4804528493
S66x8/60-125,-306.4789667126
S66x8/60-150,-306.4771833177
S66x8/60-200,-306.4759037878
S66x8/61-A,-197.8141980724
S66x8/61-B,-229.136939359
S66x8/61-090,-426.947974859
S66x8/61-095,-426.9489738187
S66x8/61-100,-426.9495805165
S66x8/61-105,-426.9499461473
S66x8/61-110,-426.9501758273
S66x8/61-125,-426.950507613
S66x8/61-150,-426.9508430547
S66x8/61-200,-426.9511485529
S66x8/62-A,-197.8142349154
S66x8/62-B,-209.2636544102
S66x8/62-090,-407.0746786141
S66x8/62-095,-407.0760143129
S66x8/62-100,-407.076767917
S66x8/62-105,-407.0771637118
S66x8/62-110,-407.0773680873
S66x8/62-125,-407.0775501546
S66x8/62-150,-407.0776906779
S66x8/62-200,-407.0779162885
S66x8/63-A,-232.2802060034
S66x8/63-B,-229.1368828263
S66x8/63-090,-461.4130539928
S66x8/63-095,-461.4154167241
S66x8/63-100,-461.4166427842
S66x8/63-105,-461.4172503807
S66x8/63-110,-461.4174903037
S66x8/63-125,-461.4175049983
S66x8/63-150,-461.4173389742
S66x8/63-200,-461.4172325475
S66x8/64-A,-248.5778272334
S66x8/64-B,-78.6035579434
S66x8/64-090,-327.180008844
S66x8/64-095,-327.1810377287
S66x8/64-100,-327.1815643565
S66x8/64-105,-327.1817903566
S66x8/64-110,-327.1818553346
S66x8/64-125,-327.181726669
S66x8/64-150,-327.181510421
S66x8/64-200,-327.181398545
S66x8/65-A,-248.317123586
S66x8/65-B,-77.3380216695
S66x8/65-090,-325.660082135
S66x8/65-095,-325.6605518868
S66x8/65-100,-325.6606117335
S66x8/65-105,-325.6604278703
S66x8/65-110,-325.660111057
S66x8/65-125,-325.6589542239
S66x8/65-150,-325.6575018652
S66x8/65-200,-325.656349441
S66x8/66-A,-95.8849813199
S66x8/66-B,-248.3171045529
S66x8/66-090,-344.2020018461
S66x8/66-095,-344.2030775477
S66x8/66-100,-344.2036255688
S66x8/66-105,-344.2038465855
S66x8/66-110,-344.2038736539
S66x8/66-125,-344.2035112955
S66x8/66-150,-344.2029176635
S66x8/66-200,-344.2025192397
