system,revPBE/def2-QZVP/ORCA
S66x8/10-A,-95.8751284397
S66x8/10-B,-95.875051952
S66x8/10-090,-191.7500405512
S66x8/10-095,-191.7514203071
S66x8/10-100,-191.7522190374
S66x8/10-105,-191.7526433636
S66x8/10-110,-191.7528291809
S66x8/10-125,-191.752692874
S66x8/10-150,-191.751703249
S66x8/10-200,-191.7506571393
S66x8/11-A,-95.8750547428
S66x8/11-B,-248.5675473815
S66x8/11-090,-344.4417986823
S66x8/11-095,-344.4434340371
S66x8/11-100,-344.4444508301
S66x8/11-105,-344.4450537034
S66x8/11-110,-344.4453776958
S66x8/11-125,-344.4453069011
S66x8/11-150,-344.4441757062
S66x8/11-200,-344.4431519548
S66x8/12-A,-95.8750233722
S66x8/12-B,-76.446916473
S66x8/12-090,-172.3288661402
S66x8/12-095,-172.3299364404
S66x8/12-100,-172.3303417257
S66x8/12-105,-172.3303232249
S66x8/12-110,-172.3300454903
S66x8/12-125,-172.3285900913
S66x8/12-150,-172.326222727
S66x8/12-200,-172.3236648655
S66x8/13-A,-248.5674634311
S66x8/13-B,-115.7445883979
S66x8/13-090,-364.3141450449
S66x8/13-095,-364.3155619378
S66x8/13-100,-364.3163782988
S66x8/13-105,-364.3167992314
S66x8/13-110,-364.316960657
S66x8/13-125,-364.3166715447
S66x8/13-150,-364.3155364441
S66x8/13-200,-364.3138260531
S66x8/14-A,-248.5673386529
S66x8/14-B,-95.8750947115
S66x8/14-090,-344.4466472035
S66x8/14-095,-344.4481101398
S66x8/14-100,-344.4488870974
S66x8/14-105,-344.4492115949
S66x8/14-110,-344.4492426211
S66x8/14-125,-344.4484985812
S66x8/14-150,-344.4467526376
S66x8/14-200,-344.4444809953
S66x8/15-A,-248.567660855
S66x8/15-B,-248.5676218456
S66x8/15-090,-497.1390444739
S66x8/15-095,-497.1406559925
S66x8/15-100,-497.1415830663
S66x8/15-105,-497.1420508908
S66x8/15-110,-497.1422108018
S66x8/15-125,-497.1417650803
S66x8/15-150,-497.1402539227
S66x8/15-200,-497.1376642954
S66x8/16-A,-248.5677343677
S66x8/16-B,-76.4467966375
S66x8/16-090,-325.0180101426
S66x8/16-095,-325.0190497087
S66x8/16-100,-325.0195853254
S66x8/16-105,-325.0197968079
S66x8/16-110,-325.0198010706
S66x8/16-125,-325.0192348729
S66x8/16-150,-325.0179391859
S66x8/16-200,-325.0162423714
S66x8/17-A,-414.9042938655
S66x8/17-B,-414.9043761273
S66x8/17-090,-829.8242716741
S66x8/17-095,-829.8267079134
S66x8/17-100,-829.8277460216
S66x8/17-105,-829.8278705422
S66x8/17-110,-829.8274130229
S66x8/17-125,-829.8244895767
S66x8/17-150,-829.8192745217
S66x8/17-200,-829.8133232462
S66x8/18-A,-76.4467474677
S66x8/18-B,-248.3224118271
S66x8/18-090,-324.7765697407
S66x8/18-095,-324.7774317088
S66x8/18-100,-324.7777014121
S66x8/18-105,-324.7775990188
S66x8/18-110,-324.7772736134
S66x8/18-125,-324.7757934444
S66x8/18-150,-324.7735002017
S66x8/18-200,-324.7710481471
S66x8/19-A,-115.7443996059
S66x8/19-B,-248.3224052355
S66x8/19-090,-364.0733198509
S66x8/19-095,-364.0744536682
S66x8/19-100,-364.0749163694
S66x8/19-105,-364.0749474794
S66x8/19-110,-364.0749129499
S66x8/19-125,-364.0733301027
S66x8/19-150,-364.0712325263
S66x8/19-200,-364.0686667402
S66x8/20-A,-229.1329010617
S66x8/20-B,-229.1329058891
S66x8/20-090,-458.2860919592
S66x8/20-095,-458.2886317933
S66x8/20-100,-458.28953939
S66x8/20-105,-458.2893993556
S66x8/20-110,-458.2886131825
S66x8/20-125,-458.2844825555
S66x8/20-150,-458.2779778435
S66x8/20-200,-458.2709878105
S66x8/21-A,-209.2585470566
S66x8/21-B,-209.2585488573
S66x8/21-090,-418.5325364661
S66x8/21-095,-418.5348117866
S66x8/21-100,-418.5357594139
S66x8/21-105,-418.5358464441
S66x8/21-110,-418.5353918818
S66x8/21-125,-418.5326219325
S66x8/21-150,-418.527754758
S66x8/21-200,-418.5215695483
S66x8/22-A,-229.1328444303
S66x8/22-B,-414.9040843652
S66x8/22-090,-644.0567554632
S66x8/22-095,-644.0592508773
S66x8/22-100,-644.0602286124
S66x8/22-105,-644.0602134325
S66x8/22-110,-644.0595679936
S66x8/22-125,-644.0559929196
S66x8/22-150,-644.0498318766
S66x8/22-200,-644.0428208049
S66x8/23-A,-209.2584011088
S66x8/23-B,-414.9040920118
S66x8/23-090,-624.181601997
S66x8/23-095,-624.1840146209
S66x8/23-100,-624.1850513287
S66x8/23-105,-624.1851724185
S66x8/23-110,-624.1846999103
S66x8/23-125,-624.1816517729
S66x8/23-150,-624.1760271305
S66x8/23-200,-624.1691823764
S66x8/24-A,-232.2801847309
S66x8/24-B,-232.280255504
S66x8/24-090,-464.5433842969
S66x8/24-095,-464.5494907612
S66x8/24-100,-464.5533091539
S66x8/24-105,-464.5557387135
S66x8/24-110,-464.5573117399
S66x8/24-125,-464.5595428379
S66x8/24-150,-464.5603134957
S66x8/24-200,-464.5604033071
S66x8/25-A,-248.3224895508
S66x8/25-B,-248.3224984051
S66x8/25-090,-496.6289121999
S66x8/25-095,-496.6349299199
S66x8/25-100,-496.6387608585
S66x8/25-105,-496.6411983463
S66x8/25-110,-496.6427593065
S66x8/25-125,-496.6448296429
S66x8/25-150,-496.6453720752
S66x8/25-200,-496.6451433729
S66x8/26-A,-414.9046739608
S66x8/26-B,-414.9046739608
S66x8/26-090,-829.7962334955
S66x8/26-095,-829.8028310857
S66x8/26-100,-829.8069417561
S66x8/26-105,-829.8094933057
S66x8/26-110,-829.8110451537
S66x8/26-125,-829.8126572097
S66x8/26-150,-829.8120815758
S66x8/26-200,-829.8104762147
S66x8/27-A,-232.2802192961
S66x8/27-B,-248.3224868235
S66x8/27-090,-480.5858013545
S66x8/27-095,-480.5922061091
S66x8/27-100,-480.5961422991
S66x8/27-105,-480.5986008026
S66x8/27-110,-480.6001634463
S66x8/27-125,-480.6022397705
S66x8/27-150,-480.6028557933
S66x8/27-200,-480.6027680095
S66x8/28-A,-232.2802882186
S66x8/28-B,-414.9050658581
S66x8/28-090,-647.1683631997
S66x8/28-095,-647.1746920772
S66x8/28-100,-647.178745081
S66x8/28-105,-647.1813461066
S66x8/28-110,-647.1830239272
S66x8/28-125,-647.1852421394
S66x8/28-150,-647.1857048839
S66x8/28-200,-647.1853229921
S66x8/29-A,-248.3225009034
S66x8/29-B,-414.9049698647
S66x8/29-090,-663.2098328844
S66x8/29-095,-663.2179250632
S66x8/29-100,-663.2226778673
S66x8/29-105,-663.2254984853
S66x8/29-110,-663.2271660306
S66x8/29-125,-663.2289841314
S66x8/29-150,-663.2288219719
S66x8/29-200,-663.2279760714
S66x8/30-A,-232.2802233482
S66x8/30-B,-78.6000097953
S66x8/30-090,-310.8705316164
S66x8/30-095,-310.8737396923
S66x8/30-100,-310.8758046259
S66x8/30-105,-310.8771616531
S66x8/30-110,-310.8780660724
S66x8/30-125,-310.8793952182
S66x8/30-150,-310.8799625132
S66x8/30-200,-310.8801201392
S66x8/31-A,-414.9050329591
S66x8/31-B,-78.6001412941
S66x8/31-090,-493.4972982775
S66x8/31-095,-493.5003474517
S66x8/31-100,-493.5023352361
S66x8/31-105,-493.5036336389
S66x8/31-110,-493.5044811478
S66x8/31-125,-493.5055759651
S66x8/31-150,-493.5056927209
S66x8/31-200,-493.5052991174
S66x8/32-A,-414.9049209769
S66x8/32-B,-77.3452207702
S66x8/32-090,-492.2436930872
S66x8/32-095,-492.24668434
S66x8/32-100,-492.2485507711
S66x8/32-105,-492.2497107957
S66x8/32-110,-492.2504158192
S66x8/32-125,-492.2511607598
S66x8/32-150,-492.2509504728
S66x8/32-200,-492.2503502289
S66x8/33-A,-248.3224563385
S66x8/33-B,-78.5999537428
S66x8/33-090,-326.9137149454
S66x8/33-095,-326.9165958608
S66x8/33-100,-326.9185034029
S66x8/33-105,-326.9197830162
S66x8/33-110,-326.9206454701
S66x8/33-125,-326.9219186124
S66x8/33-150,-326.9223889656
S66x8/33-200,-326.9224157103
S66x8/34-A,-197.7841233658
S66x8/34-B,-197.7838786909
S66x8/34-090,-395.5550264297
S66x8/34-095,-395.5592898873
S66x8/34-100,-395.5621812543
S66x8/34-105,-395.5641557213
S66x8/34-110,-395.5655178899
S66x8/34-125,-395.5675751313
S66x8/34-150,-395.5683662067
S66x8/34-200,-395.5682879101
S66x8/35-A,-197.7840321706
S66x8/35-B,-197.7844375285
S66x8/35-090,-395.5591762773
S66x8/35-095,-395.5625119901
S66x8/35-100,-395.5646217639
S66x8/35-105,-395.5659971121
S66x8/35-110,-395.5668982981
S66x8/35-125,-395.5681946822
S66x8/35-150,-395.568622243
S66x8/35-200,-395.5685471134
S66x8/36-A,-197.7844792968
S66x8/36-B,-197.7846041448
S66x8/36-090,-395.5632305085
S66x8/36-095,-395.565114508
S66x8/36-100,-395.5663705623
S66x8/36-105,-395.5672189228
S66x8/36-110,-395.5678046427
S66x8/36-125,-395.5686548299
S66x8/36-150,-395.568940893
S66x8/36-200,-395.5688667426
S66x8/37-A,-196.5732982956
S66x8/37-B,-197.7841625752
S66x8/37-090,-394.3483021822
S66x8/37-095,-394.3515910079
S66x8/37-100,-394.3536907617
S66x8/37-105,-394.3550667907
S66x8/37-110,-394.3559914763
S66x8/37-125,-394.3573529868
S66x8/37-150,-394.3578563517
S66x8/37-200,-394.3578136077
S66x8/38-A,-196.573192551
S66x8/38-B,-196.5732035707
S66x8/38-090,-393.136478508
S66x8/38-095,-393.1396009398
S66x8/38-100,-393.1419359725
S66x8/38-105,-393.1435155516
S66x8/38-110,-393.1445541479
S66x8/38-125,-393.1460344228
S66x8/38-150,-393.1465089774
S66x8/38-200,-393.1464158111
S66x8/39-A,-232.2802446473
S66x8/39-B,-196.5731643735
S66x8/39-090,-428.8411386284
S66x8/39-095,-428.8454594704
S66x8/39-100,-428.8483472172
S66x8/39-105,-428.8502648835
S66x8/39-110,-428.8514971217
S66x8/39-125,-428.8531709813
S66x8/39-150,-428.8536421927
S66x8/39-200,-428.853483224
S66x8/40-A,-232.2802605742
S66x8/40-B,-197.7847256328
S66x8/40-090,-430.0553323612
S66x8/40-095,-430.0587831069
S66x8/40-100,-430.0609892135
S66x8/40-105,-430.0624130616
S66x8/40-110,-430.0633405328
S66x8/40-125,-430.0645784293
S66x8/40-150,-430.0648628058
S66x8/40-200,-430.0646609964
S66x8/41-A,-414.9051510145
S66x8/41-B,-197.784121126
S66x8/41-090,-612.6753454639
S66x8/41-095,-612.680012327
S66x8/41-100,-612.6831555923
S66x8/41-105,-612.6853109645
S66x8/41-110,-612.6870128646
S66x8/41-125,-612.6891558804
S66x8/41-150,-612.6895469958
S66x8/41-200,-612.689311609
S66x8/42-A,-414.9051702217
S66x8/42-B,-196.5732242495
S66x8/42-090,-611.4653006935
S66x8/42-095,-611.4699300141
S66x8/42-100,-611.4729293164
S66x8/42-105,-611.4749195962
S66x8/42-110,-611.4762361667
S66x8/42-125,-611.4780921211
S66x8/42-150,-611.4786187786
S66x8/42-200,-611.4784492285
S66x8/43-A,-414.9050779895
S66x8/43-B,-197.7841672685
S66x8/43-090,-612.679717718
S66x8/43-095,-612.683463565
S66x8/43-100,-612.6858433689
S66x8/43-105,-612.687371808
S66x8/43-110,-612.6883690631
S66x8/43-125,-612.6896685452
S66x8/43-150,-612.6898832583
S66x8/43-200,-612.6896074261
S66x8/44-A,-78.600023698
S66x8/44-B,-197.7842267886
S66x8/44-090,-276.3779276755
S66x8/44-095,-276.3800511809
S66x8/44-100,-276.381462234
S66x8/44-105,-276.3824077828
S66x8/44-110,-276.3830549187
S66x8/44-125,-276.3839818271
S66x8/44-150,-276.3842562596
S66x8/44-200,-276.3841565186
S66x8/45-A,-77.3452006085
S66x8/45-B,-197.7839847003
S66x8/45-090,-275.1229940016
S66x8/45-095,-275.1253110268
S66x8/45-100,-275.1267969999
S66x8/45-105,-275.1277610882
S66x8/45-110,-275.1283872903
S66x8/45-125,-275.1291975405
S66x8/45-150,-275.1293342628
S66x8/45-200,-275.1291700292
S66x8/46-A,-248.5677606
S66x8/46-B,-197.7838985941
S66x8/46-090,-446.3415566127
S66x8/46-095,-446.344743852
S66x8/46-100,-446.3470021731
S66x8/46-105,-446.3486135834
S66x8/46-110,-446.3497615657
S66x8/46-125,-446.3515715094
S66x8/46-150,-446.3522386706
S66x8/46-200,-446.3519547805
S66x8/47-A,-232.2802618467
S66x8/47-B,-232.280350296
S66x8/47-090,-464.5521141216
S66x8/47-095,-464.555449938
S66x8/47-100,-464.5575230551
S66x8/47-105,-464.5588351405
S66x8/47-110,-464.559666235
S66x8/47-125,-464.560728252
S66x8/47-150,-464.5608989504
S66x8/47-200,-464.5606390688
S66x8/48-A,-248.3225111539
S66x8/48-B,-248.3225311344
S66x8/48-090,-496.6380230066
S66x8/48-095,-496.6409222065
S66x8/48-100,-496.6427867085
S66x8/48-105,-496.6439950356
S66x8/48-110,-496.644769396
S66x8/48-125,-496.6457420103
S66x8/48-150,-496.6457964238
S66x8/48-200,-496.6453336364
S66x8/49-A,-232.2802702478
S66x8/49-B,-248.3224744475
S66x8/49-090,-480.5949969465
S66x8/49-095,-480.5983434601
S66x8/49-100,-480.6004045005
S66x8/49-105,-480.6016896882
S66x8/49-110,-480.6024861617
S66x8/49-125,-480.6034348173
S66x8/49-150,-480.6034579405
S66x8/49-200,-480.603039824
S66x8/50-A,-232.2802573671
S66x8/50-B,-77.3452598617
S66x8/50-090,-309.6213891949
S66x8/50-095,-309.6237578306
S66x8/50-100,-309.6251484323
S66x8/50-105,-309.6259557948
S66x8/50-110,-309.626409052
S66x8/50-125,-309.6267785012
S66x8/50-150,-309.6264391688
S66x8/50-200,-309.6258707767
S66x8/51-A,-77.3452067626
S66x8/51-B,-77.3452543405
S66x8/51-090,-154.6899959774
S66x8/51-095,-154.6907913938
S66x8/51-100,-154.6912262412
S66x8/51-105,-154.6914423105
S66x8/51-110,-154.6915242551
S66x8/51-125,-154.6914149299
S66x8/51-150,-154.6910082247
S66x8/51-200,-154.6905983568
S66x8/52-A,-232.2802507956
S66x8/52-B,-229.1346413584
S66x8/52-090,-461.4120318395
S66x8/52-095,-461.4142420131
S66x8/52-100,-461.4155733253
S66x8/52-105,-461.4163555122
S66x8/52-110,-461.4167871128
S66x8/52-125,-461.4170552454
S66x8/52-150,-461.4164972352
S66x8/52-200,-461.4155038825
S66x8/53-A,-232.2802305003
S66x8/53-B,-209.2592365441
S66x8/53-090,-441.5373914289
S66x8/53-095,-441.5391671392
S66x8/53-100,-441.5402749544
S66x8/53-105,-441.5409451188
S66x8/53-110,-441.5413278009
S66x8/53-125,-441.5415744332
S66x8/53-150,-441.5410424688
S66x8/53-200,-441.5400268054
S66x8/54-A,-232.2802730193
S66x8/54-B,-76.4467378286
S66x8/54-090,-308.7260361758
S66x8/54-095,-308.7275653393
S66x8/54-100,-308.7284427524
S66x8/54-105,-308.7289221549
S66x8/54-110,-308.7291545001
S66x8/54-125,-308.7291505702
S66x8/54-150,-308.7285053353
S66x8/54-200,-308.7275733055
S66x8/55-A,-232.28028834
S66x8/55-B,-115.7445204393
S66x8/55-090,-348.0210450241
S66x8/55-095,-348.0232853654
S66x8/55-100,-348.0246989514
S66x8/55-105,-348.0255819219
S66x8/55-110,-348.0261126335
S66x8/55-125,-348.0266208401
S66x8/55-150,-348.0262607902
S66x8/55-200,-348.0253677608
S66x8/56-A,-232.280260356
S66x8/56-B,-95.8749733694
S66x8/56-090,-328.1494860153
S66x8/56-095,-328.1518994459
S66x8/56-100,-328.1534799493
S66x8/56-105,-328.1545761716
S66x8/56-110,-328.1552755074
S66x8/56-125,-328.1560786149
S66x8/56-150,-328.1560156489
S66x8/56-200,-328.1555337715
S66x8/57-A,-232.2803024495
S66x8/57-B,-248.5677414695
S66x8/57-090,-480.8396888263
S66x8/57-095,-480.8439282065
S66x8/57-100,-480.846489035
S66x8/57-105,-480.848032704
S66x8/57-110,-480.8489506816
S66x8/57-125,-480.8498924385
S66x8/57-150,-480.8495863355
S66x8/57-200,-480.8486832942
S66x8/58-A,-248.3225089064
S66x8/58-B,-248.3224891946
S66x8/58-090,-496.641662597
S66x8/58-095,-496.6442652321
S66x8/58-100,-496.6461430758
S66x8/58-105,-496.6468698664
S66x8/58-110,-496.6470935866
S66x8/58-125,-496.6468262055
S66x8/58-150,-496.646035483
S66x8/58-200,-496.6452880129
S66x8/59-A,-77.3452997768
S66x8/59-B,-76.4467845991
S66x8/59-090,-153.7934781953
S66x8/59-095,-153.7941950945
S66x8/59-100,-153.7945437872
S66x8/59-105,-153.7946614312
S66x8/59-110,-153.7946358373
S66x8/59-125,-153.7941817793
S66x8/59-150,-153.7932656062
S66x8/59-200,-153.7922104215
S66x8/60-A,-77.3452391059
S66x8/60-B,-229.1346250983
S66x8/60-090,-306.4815650383
S66x8/60-095,-306.4829015806
S66x8/60-100,-306.4835748175
S66x8/60-105,-306.4838371632
S66x8/60-110,-306.4838494578
S66x8/60-125,-306.4832533341
S66x8/60-150,-306.4820114046
S66x8/60-200,-306.4806275474
S66x8/61-A,-197.7840508774
S66x8/61-B,-229.1346730782
S66x8/61-090,-426.9122144659
S66x8/61-095,-426.914148853
S66x8/61-100,-426.9155523683
S66x8/61-105,-426.9165801156
S66x8/61-110,-426.9173220036
S66x8/61-125,-426.9185200724
S66x8/61-150,-426.9189893398
S66x8/61-200,-426.9188058964
S66x8/62-A,-197.7840785468
S66x8/62-B,-209.2592049647
S66x8/62-090,-407.0357121624
S66x8/62-095,-407.0382638958
S66x8/62-100,-407.040027412
S66x8/62-105,-407.0412594467
S66x8/62-110,-407.042119205
S66x8/62-125,-407.0433886415
S66x8/62-150,-407.0437403652
S66x8/62-200,-407.0434419531
S66x8/63-A,-232.2802157811
S66x8/63-B,-229.1346561778
S66x8/63-090,-461.4063013915
S66x8/63-095,-461.409864146
S66x8/63-100,-461.4121094072
S66x8/63-105,-461.4135335511
S66x8/63-110,-461.414429101
S66x8/63-125,-461.4155256356
S66x8/63-150,-461.4155636101
S66x8/63-200,-461.415112751
S66x8/64-A,-248.5676674753
S66x8/64-B,-78.6001179761
S66x8/64-090,-327.1633169982
S66x8/64-095,-327.1651701556
S66x8/64-100,-327.1663991909
S66x8/64-105,-327.1672122005
S66x8/64-110,-327.167743998
S66x8/64-125,-327.1683985619
S66x8/64-150,-327.1683288677
S66x8/64-200,-327.1678265149
S66x8/65-A,-248.3224555571
S66x8/65-B,-77.345045252
S66x8/65-090,-325.6704738476
S66x8/65-095,-325.6712725492
S66x8/65-100,-325.6716367858
S66x8/65-105,-325.6717272797
S66x8/65-110,-325.6716502438
S66x8/65-125,-325.6709986072
S66x8/65-150,-325.669807027
S66x8/65-200,-325.668464911
S66x8/66-A,-95.8748776941
S66x8/66-B,-248.3224595357
S66x8/66-090,-344.1940058832
S66x8/66-095,-344.1957868934
S66x8/66-100,-344.1969752517
S66x8/66-105,-344.1977633888
S66x8/66-110,-344.1982742197
S66x8/66-125,-344.1988813208
