system,MN15/def2-QZVP/Turbomole7.5.1
S66x8/05-110,-231.4169355834
S66x8/05-125,-231.4153151415
S66x8/05-150,-231.412816495
S66x8/05-200,-231.4103838407
S66x8/06-A,-115.7042379326
S66x8/06-B,-95.8281991116
S66x8/06-090,-211.542880303
S66x8/06-095,-211.5437549004
S66x8/06-100,-211.5439432927
S66x8/06-105,-211.5437185732
S66x8/06-110,-211.5431965359
S66x8/06-125,-211.5410264314
S66x8/06-150,-211.5376825864
S66x8/06-200,-211.5343403503
S66x8/07-A,-115.7043076122
S66x8/07-B,-248.4725047402
S66x8/07-090,-364.1887266453
S66x8/07-095,-364.1895912657
S66x8/07-100,-364.1897794429
S66x8/07-105,-364.1895342313
S66x8/07-110,-364.1890183619
S66x8/07-125,-364.1867681914
S66x8/07-150,-364.182643783
S66x8/07-200,-364.1784071539
S66x8/08-A,-115.7044494352
S66x8/08-B,-76.424706648
S66x8/08-090,-192.1362989481
S66x8/08-095,-192.1369727842
S66x8/08-100,-192.13713169
S66x8/08-105,-192.1369703243
S66x8/08-110,-192.1366156534
S66x8/08-125,-192.135117991
S66x8/08-150,-192.1328251363
S66x8/08-200,-192.1306121973
S66x8/09-A,-95.8281277608
S66x8/09-B,-115.7044721409
S66x8/09-090,-211.5366837881
S66x8/09-095,-211.5371245306
S66x8/09-100,-211.5371760774
S66x8/09-105,-211.5369865868
S66x8/09-110,-211.5366928686
S66x8/09-125,-211.5355752909
S66x8/09-150,-211.534162605
S66x8/09-200,-211.5331675619
S66x8/10-A,-95.8281720842
S66x8/10-B,-95.828156394
S66x8/10-090,-191.6620521929
S66x8/10-095,-191.6627760758
S66x8/10-100,-191.6629293676
S66x8/10-105,-191.6627336919
S66x8/10-110,-191.6623457803
S66x8/10-125,-191.6607513346
S66x8/10-150,-191.6581604018
S66x8/10-200,-191.6568152555
S66x8/11-A,-95.8279689817
S66x8/11-B,-248.4726499487
S66x8/11-090,-344.3086043526
S66x8/11-095,-344.3093316456
S66x8/11-100,-344.3094813778
S66x8/11-105,-344.3092622163
S66x8/11-110,-344.3088118244
S66x8/11-125,-344.3058700146
S66x8/11-150,-344.3026479512
S66x8/11-200,-344.3013578447
S66x8/12-A,-95.8281651753
S66x8/12-B,-76.4243818403
S66x8/12-090,-172.2630526737
S66x8/12-095,-172.2638775619
S66x8/12-100,-172.2640377907
S66x8/12-105,-172.2637723497
S66x8/12-110,-172.2632513261
S66x8/12-125,-172.2611060648
S66x8/12-150,-172.2578236392
S66x8/12-200,-172.2545712593
S66x8/13-A,-248.4726635974
S66x8/13-B,-115.7044810252
S66x8/13-090,-364.1853478864
S66x8/13-095,-364.1861931998
S66x8/13-100,-364.1864446826
S66x8/13-105,-364.1863211842
S66x8/13-110,-364.1859628239
S66x8/13-125,-364.1842847934
S66x8/13-150,-364.1815752064
S66x8/13-200,-364.1789946847
S66x8/14-A,-248.4724900846
S66x8/14-B,-95.8281530077
S66x8/14-090,-344.3102193118
S66x8/14-095,-344.311256256
S66x8/14-100,-344.3116008436
S66x8/14-105,-344.3114888652
S66x8/14-110,-344.3110967169
S66x8/14-125,-344.3091725422
S66x8/14-150,-344.3059919288
S66x8/14-200,-344.3027253635
S66x8/15-A,-248.4725706106
S66x8/15-B,-248.4725942854
S66x8/15-090,-496.957001923
S66x8/15-095,-496.9580002067
S66x8/15-100,-496.9583202963
S66x8/15-105,-496.9581875515
S66x8/15-110,-496.9577462564
S66x8/15-125,-496.9555829179
S66x8/15-150,-496.9519124431
S66x8/15-200,-496.9476047661
S66x8/16-A,-248.472717916
S66x8/16-B,-76.4247109896
S66x8/16-090,-324.9043791106
S66x8/16-095,-324.905137417
S66x8/16-100,-324.9053793352
S66x8/16-105,-324.9052921958
S66x8/16-110,-324.9049985002
S66x8/16-125,-324.9035895629
S66x8/16-150,-324.9013394948
S66x8/16-200,-324.8991797614
S66x8/17-A,-414.7640214056
S66x8/17-B,-414.7641696966
S66x8/17-090,-829.5504579563
S66x8/17-095,-829.5526405598
S66x8/17-100,-829.553387994
S66x8/17-105,-829.55318436
S66x8/17-110,-829.552367872
S66x8/17-125,-829.5482668469
S66x8/17-150,-829.5411304407
S66x8/17-200,-829.5331461378
S66x8/18-A,-76.4247256492
S66x8/18-B,-248.2143389836
S66x8/18-090,-324.6481361654
S66x8/18-095,-324.6489431633
S66x8/18-100,-324.6491338309
S66x8/18-105,-324.6489314259
S66x8/18-110,-324.6484906509
S66x8/18-125,-324.6466081521
S66x8/18-150,-324.6436588684
S66x8/18-200,-324.640677261
S66x8/19-A,-115.7042247185
S66x8/19-B,-248.2143375192
S66x8/19-090,-363.927561351
S66x8/19-095,-363.9285803963
S66x8/19-100,-363.9289137451
S66x8/19-105,-363.9288031445
S66x8/19-110,-363.9284462183
S66x8/19-125,-363.926548963
S66x8/19-150,-363.9235105881
S66x8/19-200,-363.9202960174
S66x8/20-A,-229.0600072474
S66x8/20-B,-229.060011951
S66x8/20-090,-458.1475741915
S66x8/20-095,-458.1497882211
S66x8/20-100,-458.1503733148
S66x8/20-105,-458.1498982154
S66x8/20-110,-458.1487590224
S66x8/20-125,-458.1437003612
S66x8/20-150,-458.135264427
S66x8/20-200,-458.1257573581
S66x8/21-A,-209.1796154439
S66x8/21-B,-209.1796186524
S66x8/21-090,-418.3811011791
S66x8/21-095,-418.3831504116
S66x8/21-100,-418.3838267461
S66x8/21-105,-418.3835978976
S66x8/21-110,-418.3827932654
S66x8/21-125,-418.3788510199
S66x8/21-150,-418.3720709864
S66x8/21-200,-418.363864323
S66x8/22-A,-229.0599611455
S66x8/22-B,-414.7639207601
S66x8/22-090,-643.8508659451
S66x8/22-095,-643.8531022641
S66x8/22-100,-643.8537996096
S66x8/22-105,-643.8534759944
S66x8/22-110,-643.8524943334
S66x8/22-125,-643.8477958397
S66x8/22-150,-643.8397194433
S66x8/22-200,-643.8303359633
S66x8/23-A,-209.1794967174
S66x8/23-B,-414.7637736642
S66x8/23-090,-623.9691174407
S66x8/23-095,-623.9712990183
S66x8/23-100,-623.9720755107
S66x8/23-105,-623.9719035142
S66x8/23-110,-623.9711084311
S66x8/23-125,-623.9669689733
S66x8/23-150,-623.9594914705
S66x8/23-200,-623.9504860548
S66x8/24-A,-232.174704392
S66x8/24-B,-232.1746733465
S66x8/24-090,-464.349948974
S66x8/24-095,-464.3531528167
S66x8/24-100,-464.3543249864
S66x8/24-105,-464.3543842796
S66x8/24-110,-464.3538721077
S66x8/24-125,-464.3514969678
S66x8/24-150,-464.3494670677
S66x8/24-200,-464.349288212
S66x8/25-A,-248.2142685411
S66x8/25-B,-248.2143013478
S66x8/25-090,-496.4304865983
S66x8/25-095,-496.4336920826
S66x8/25-100,-496.4349083793
S66x8/25-105,-496.4349763429
S66x8/25-110,-496.4344509846
S66x8/25-125,-496.4319108325
S66x8/25-150,-496.4292949007
S66x8/25-200,-496.4287280218
S66x8/26-A,-414.7644743721
S66x8/26-B,-414.7644743721
S66x8/26-090,-829.5412044159
S66x8/26-095,-829.5438341539
S66x8/26-100,-829.5443159154
S66x8/26-105,-829.5436281189
S66x8/26-110,-829.5423161618
S66x8/26-125,-829.5375503601
S66x8/26-150,-829.5324634335
S66x8/26-200,-829.5300773523
S66x8/27-A,-232.1746975324
S66x8/27-B,-248.2143126193
S66x8/27-090,-480.3901550763
S66x8/27-095,-480.3935667267
S66x8/27-100,-480.3947856707
S66x8/27-105,-480.3948105317
S66x8/27-110,-480.394238845
S66x8/27-125,-480.391737579
S66x8/27-150,-480.3893663751
S66x8/27-200,-480.3890061652
S66x8/28-A,-232.1745931244
S66x8/28-B,-414.765054442
S66x8/28-090,-646.9455263968
S66x8/28-095,-646.9483103158
S66x8/28-100,-646.9491391036
S66x8/28-105,-646.9488087212
S66x8/28-110,-646.9479102587
S66x8/28-125,-646.9443737982
S66x8/28-150,-646.9407275918
S66x8/28-200,-646.9396744877
S66x8/29-A,-248.2142652491
S66x8/29-B,-414.7650240266
S66x8/29-090,-662.9850294567
S66x8/29-095,-662.9890596196
S66x8/29-100,-662.9901443756
S66x8/29-105,-662.9897402579
S66x8/29-110,-662.9885653029
S66x8/29-125,-662.9844842004
S66x8/29-150,-662.9809319311
S66x8/29-200,-662.9796962715
S66x8/30-A,-232.1746885475
S66x8/30-B,-78.5569104034
S66x8/30-090,-310.7329478124
S66x8/30-095,-310.7343817793
S66x8/30-100,-310.7348122208
S66x8/30-105,-310.7346993179
S66x8/30-110,-310.7343056149
S66x8/30-125,-310.7327957098
S66x8/30-150,-310.7315758902
S66x8/30-200,-310.7314843659
S66x8/31-A,-414.7650848423
S66x8/31-B,-78.5568886078
S66x8/31-090,-493.3265141264
S66x8/31-095,-493.3275932453
S66x8/31-100,-493.3277974291
S66x8/31-105,-493.327488829
S66x8/31-110,-493.3269314637
S66x8/31-125,-493.3249258583
S66x8/31-150,-493.3228862904
S66x8/31-200,-493.3221159408
S66x8/32-A,-414.765106557
S66x8/32-B,-77.3080152723
S66x8/32-090,-492.0777982109
S66x8/32-095,-492.0790577403
S66x8/32-100,-492.079311586
S66x8/32-105,-492.0790210201
S66x8/32-110,-492.0784311221
S66x8/32-125,-492.0763042613
S66x8/32-150,-492.0740833225
S66x8/32-200,-492.0731241129
S66x8/33-A,-248.2143262259
S66x8/33-B,-78.5568832594
S66x8/33-090,-326.7733806533
S66x8/33-095,-326.7745978542
S66x8/33-100,-326.7749600415
S66x8/33-105,-326.7748374593
S66x8/33-110,-326.7744544791
S66x8/33-125,-326.7729328574
S66x8/33-150,-326.7714296701
S66x8/33-200,-326.7711584769
S66x8/34-A,-197.6852881897
S66x8/34-B,-197.685271882
S66x8/34-090,-395.3786239019
S66x8/34-095,-395.3794431372
S66x8/34-100,-395.3793137251
S66x8/34-105,-395.3785436508
S66x8/34-110,-395.377509207
S66x8/34-125,-395.3743991465
S66x8/34-150,-395.3714403858
S66x8/34-200,-395.3708546193
S66x8/35-A,-197.6852768995
S66x8/35-B,-197.6917078042
S66x8/35-090,-395.381523616
S66x8/35-095,-395.3825279838
S66x8/35-100,-395.3825778054
S66x8/35-105,-395.3821018565
S66x8/35-110,-395.3814148449
S66x8/35-125,-395.3792979945
S66x8/35-150,-395.3774335187
S66x8/35-200,-395.3770228096
S66x8/36-A,-197.6917306058
S66x8/36-B,-197.6917189233
S66x8/36-090,-395.3867574609
S66x8/36-095,-395.3871951685
S66x8/36-100,-395.3871438829
S66x8/36-105,-395.3868072987
S66x8/36-110,-395.3863546485
S66x8/36-125,-395.3848760681
S66x8/36-150,-395.3835361728
S66x8/36-200,-395.3832110969
S66x8/37-A,-196.4810005863
S66x8/37-B,-197.6917380655
S66x8/37-090,-394.1766037628
S66x8/37-095,-394.1776074133
S66x8/37-100,-394.1777196837
S66x8/37-105,-394.1773752731
S66x8/37-110,-394.1768097201
S66x8/37-125,-394.1749690368
S66x8/37-150,-394.1731613642
S66x8/37-200,-394.1726215933
S66x8/38-A,-196.4810463158
S66x8/38-B,-196.4810488877
S66x8/38-090,-392.9663308662
S66x8/38-095,-392.9673784255
S66x8/38-100,-392.9675818757
S66x8/38-105,-392.9672129288
S66x8/38-110,-392.9665533826
S66x8/38-125,-392.9644518706
S66x8/38-150,-392.962479379
S66x8/38-200,-392.9620993403
S66x8/39-A,-232.1746777845
S66x8/39-B,-196.4810273994
S66x8/39-090,-428.6601703061
S66x8/39-095,-428.6619716364
S66x8/39-100,-428.6624787396
S66x8/39-105,-428.6621875488
S66x8/39-110,-428.6614766982
S66x8/39-125,-428.658936711
S66x8/39-150,-428.6564160337
S66x8/39-200,-428.6557362642
S66x8/40-A,-232.1746674455
S66x8/40-B,-197.6917362583
S66x8/40-090,-429.8700354121
S66x8/40-095,-429.8714322697
S66x8/40-100,-429.8717925596
S66x8/40-105,-429.8715325145
S66x8/40-110,-429.8709946632
S66x8/40-125,-429.868908986
S66x8/40-150,-429.8669264688
S66x8/40-200,-429.8663511462
S66x8/41-A,-414.7650785998
S66x8/41-B,-197.6853667044
S66x8/41-090,-612.4583616516
S66x8/41-095,-612.4595599455
S66x8/41-100,-612.4595210357
S66x8/41-105,-612.4588228078
S66x8/41-110,-612.4574761912
S66x8/41-125,-612.4536382871
S66x8/41-150,-612.4509128916
S66x8/41-200,-612.4504530809
S66x8/42-A,-414.7650966695
S66x8/42-B,-196.4810067094
S66x8/42-090,-611.2516277781
S66x8/42-095,-611.2531002882
S66x8/42-100,-611.2532591634
S66x8/42-105,-611.2527503839
S66x8/42-110,-611.2518775604
S66x8/42-125,-611.2490798091
S66x8/42-150,-611.2467214935
S66x8/42-200,-611.2461186137
S66x8/43-A,-414.7651158392
S66x8/43-B,-197.6916420098
S66x8/43-090,-612.4617164632
S66x8/43-095,-612.4628642383
S66x8/43-100,-612.4629447852
S66x8/43-105,-612.4624093153
S66x8/43-110,-612.4616592214
S66x8/43-125,-612.4592466399
S66x8/43-150,-612.4572488121
S66x8/43-200,-612.4566851662
S66x8/44-A,-78.5569080226
S66x8/44-B,-197.685318485
S66x8/44-090,-276.24671662
S66x8/44-095,-276.2470187354
S66x8/44-100,-276.2467963188
S66x8/44-105,-276.2463001156
S66x8/44-110,-276.2457057146
S66x8/44-125,-276.2440014519
S66x8/44-150,-276.2426361089
S66x8/44-200,-276.2423309473
S66x8/45-A,-77.3080278633
S66x8/45-B,-197.6853689868
S66x8/45-090,-274.9964116419
S66x8/45-095,-274.9970561961
S66x8/45-100,-274.9970543284
S66x8/45-105,-274.9967231988
S66x8/45-110,-274.9962247044
S66x8/45-125,-274.9947267091
S66x8/45-150,-274.9935485389
S66x8/45-200,-274.9932128293
S66x8/46-A,-248.4727554908
S66x8/46-B,-197.6853019174
S66x8/46-090,-446.1665114945
S66x8/46-095,-446.1669838679
S66x8/46-100,-446.1667452637
S66x8/46-105,-446.1660606083
S66x8/46-110,-446.1651505038
S66x8/46-125,-446.1622568054
S66x8/46-150,-446.1590867942
S66x8/46-200,-446.1582248315
S66x8/47-A,-232.1746566072
S66x8/47-B,-232.1745632897
S66x8/47-090,-464.3517358016
S66x8/47-095,-464.353378185
S66x8/47-100,-464.353908307
S66x8/47-105,-464.3538526846
S66x8/47-110,-464.3534555302
S66x8/47-125,-464.3518022927
S66x8/47-150,-464.3500477575
S66x8/47-200,-464.3494631786
S66x8/48-A,-248.2142865916
S66x8/48-B,-248.2142172336
S66x8/48-090,-496.432153149
S66x8/48-095,-496.4335708612
S66x8/48-100,-496.434039932
S66x8/48-105,-496.43397773
S66x8/48-110,-496.4335723367
S66x8/48-125,-496.4318439519
S66x8/48-150,-496.4297886552
S66x8/48-200,-496.4288855794
S66x8/49-A,-232.1746556512
S66x8/49-B,-248.2142660384
S66x8/49-090,-480.3920599428
S66x8/49-095,-480.3937280936
S66x8/49-100,-480.3942514983
S66x8/49-105,-480.3941694427
S66x8/49-110,-480.3937375957
S66x8/49-125,-480.3919430806
S66x8/49-150,-480.3900009172
S66x8/49-200,-480.3892374008
S66x8/50-A,-232.1746484295
S66x8/50-B,-77.3080878153
S66x8/50-090,-309.4858852109
S66x8/50-095,-309.4871321491
S66x8/50-100,-309.4874680974
S66x8/50-105,-309.4873040765
S66x8/50-110,-309.4868832072
S66x8/50-125,-309.4852908389
S66x8/50-150,-309.4835817145
S66x8/50-200,-309.4828481303
S66x8/51-A,-77.3080402423
S66x8/51-B,-77.3081017431
S66x8/51-090,-154.6176886357
S66x8/51-095,-154.6182458652
S66x8/51-100,-154.6184191018
S66x8/51-105,-154.6183703124
S66x8/51-110,-154.6181960816
S66x8/51-125,-154.6174808726
S66x8/51-150,-154.6166559717
S66x8/51-200,-154.6162320853
S66x8/52-A,-232.1746482724
S66x8/52-B,-229.0616543688
S66x8/52-090,-461.2428027269
S66x8/52-095,-461.2438086032
S66x8/52-100,-461.2440153109
S66x8/52-105,-461.2437531489
S66x8/52-110,-461.2432214092
S66x8/52-125,-461.2411626944
S66x8/52-150,-461.2385474597
S66x8/52-200,-461.2369020315
S66x8/53-A,-232.1746542934
S66x8/53-B,-209.1805110616
S66x8/53-090,-441.3607744681
S66x8/53-095,-441.3617268017
S66x8/53-100,-441.3620076704
S66x8/53-105,-441.361861014
S66x8/53-110,-441.3614731526
S66x8/53-125,-441.3597684372
S66x8/53-150,-441.3573851247
S66x8/53-200,-441.3556476847
S66x8/54-A,-232.1746363128
S66x8/54-B,-76.4245918898
S66x8/54-090,-308.6048874716
S66x8/54-095,-308.6054599887
S66x8/54-100,-308.6054408171
S66x8/54-105,-308.6050998708
S66x8/54-110,-308.6045863589
S66x8/54-125,-308.6028629113
S66x8/54-150,-308.6009356472
S66x8/54-200,-308.5997917961
S66x8/55-A,-232.1746178959
S66x8/55-B,-115.7044679725
S66x8/55-090,-347.8855116582
S66x8/55-095,-347.8864378108
S66x8/55-100,-347.8866016669
S66x8/55-105,-347.8863255564
S66x8/55-110,-347.885770705
S66x8/55-125,-347.8836884095
S66x8/55-150,-347.8811756522
S66x8/55-200,-347.87970127
S66x8/56-A,-232.1746548017
S66x8/56-B,-95.8280948775
S66x8/56-090,-328.0076031237
S66x8/56-095,-328.0085063911
S66x8/56-100,-328.0086687451
S66x8/56-105,-328.0083789916
S66x8/56-110,-328.0078069684
S66x8/56-125,-328.0058049276
S66x8/56-150,-328.0038114466
S66x8/56-200,-328.0030270949
S66x8/57-A,-232.1746191299
S66x8/57-B,-248.4727086929
S66x8/57-090,-480.6538290955
S66x8/57-095,-480.6557958512
S66x8/57-100,-480.6562974123
S66x8/57-105,-480.6559845851
S66x8/57-110,-480.6552609545
S66x8/57-125,-480.6524946496
S66x8/57-150,-480.6494790451
S66x8/57-200,-480.6480100587
S66x8/58-A,-248.2142852311
S66x8/58-B,-248.2142083756
S66x8/58-090,-496.4312071258
S66x8/58-095,-496.4331883436
S66x8/58-100,-496.4341336202
S66x8/58-105,-496.4339991
S66x8/58-110,-496.4334453845
S66x8/58-125,-496.4315107827
S66x8/58-150,-496.4296658116
S66x8/58-200,-496.4287906467
S66x8/59-A,-77.3081379073
S66x8/59-B,-76.4246920116
S66x8/59-090,-153.7363737011
S66x8/59-095,-153.7369342834
S66x8/59-100,-153.7371033723
S66x8/59-105,-153.7370322159
S66x8/59-110,-153.7368144687
S66x8/59-125,-153.7358330082
S66x8/59-150,-153.7344109178
S66x8/59-200,-153.7332208046
S66x8/60-A,-77.3080236391
S66x8/60-B,-229.0616600939
S66x8/60-090,-306.3765000125
S66x8/60-095,-306.3774452872
S66x8/60-100,-306.377680159
S66x8/60-105,-306.377481199
S66x8/60-110,-306.3770225641
S66x8/60-125,-306.3751022316
S66x8/60-150,-306.3723771613
S66x8/60-200,-306.3703078814
S66x8/61-A,-197.6853324519
S66x8/61-B,-229.0616812301
S66x8/61-090,-426.752617734
S66x8/61-095,-426.7527944314
S66x8/61-100,-426.7525591517
S66x8/61-105,-426.75210236
S66x8/61-110,-426.7515112678
S66x8/61-125,-426.7496673555
S66x8/61-150,-426.7475969484
S66x8/61-200,-426.7470599238
S66x8/62-A,-197.6853734358
S66x8/62-B,-209.180499418
S66x8/62-090,-406.8726304905
S66x8/62-095,-406.8730315829
S66x8/62-100,-406.8727998557
S66x8/62-105,-406.8722339675
S66x8/62-110,-406.8715190718
S66x8/62-125,-406.8691737204
S66x8/62-150,-406.8668236384
S66x8/62-200,-406.8659744676
S66x8/63-A,-232.1746841131
S66x8/63-B,-229.061616599
S66x8/63-090,-461.2413873151
S66x8/63-095,-461.2427460444
S66x8/63-100,-461.242993266
S66x8/63-105,-461.2426398063
S66x8/63-110,-461.2419585421
S66x8/63-125,-461.2396613136
S66x8/63-150,-461.2373066739
S66x8/63-200,-461.236477927
S66x8/64-A,-248.4727244475
S66x8/64-B,-78.556953788
S66x8/64-090,-327.034093583
S66x8/64-095,-327.0347169698
S66x8/64-100,-327.0347913652
S66x8/64-105,-327.0345226665
S66x8/64-110,-327.0340904488
S66x8/64-125,-327.0324772832
S66x8/64-150,-327.0305573198
S66x8/64-200,-327.029747229
S66x8/65-A,-248.2143325017
S66x8/65-B,-77.3075517243
S66x8/65-090,-325.5266573669
S66x8/65-095,-325.5274518615
S66x8/65-100,-325.5277593461
S66x8/65-105,-325.5277531758
S66x8/65-110,-325.5275532734
S66x8/65-125,-325.5264690041
S66x8/65-150,-325.5246904842
S66x8/65-200,-325.5231355459
S66x8/66-A,-95.8280811779
S66x8/66-B,-248.2143120369
S66x8/66-090,-344.0479451017
S66x8/66-095,-344.0486417994
S66x8/66-100,-344.0487770401
S66x8/66-105,-344.0485770906
S66x8/66-110,-344.048175554
S66x8/66-125,-344.0465565679
