system,PBE/def2-QZVP/TM
S22x5/12-A,-232.0361157009
S22x5/12-B,-40.4674139816
S22x5/12-0.9,-272.5021718438
S22x5/12-1.0,-272.5036376803
S22x5/12-1.2,-272.5041805618
S22x5/12-1.5,-272.5038689801
S22x5/12-2.0,-272.5035911495
S22x5/13-A,-232.036124315
S22x5/13-B,-232.0361268817
S22x5/13-0.9,-464.0703413132
S22x5/13-1.0,-464.0725267502
S22x5/13-1.2,-464.0734807776
S22x5/13-1.5,-464.0730366207
S22x5/13-2.0,-464.0724842593
S22x5/14-A,-232.0361156507
S22x5/14-B,-232.0361156507
S22x5/14-0.9,-464.0617439574
S22x5/14-1.0,-464.0694073695
S22x5/14-1.2,-464.0722723888
S22x5/14-1.5,-464.0722339127
S22x5/14-2.0,-464.0721714775
S22x5/15-A,-232.0361406926
S22x5/15-B,-363.5157561653
S22x5/15-0.9,-595.5526243909
S22x5/15-1.0,-595.5553533163
S22x5/15-1.2,-595.5561331944
S22x5/15-1.5,-595.5547124401
S22x5/15-2.0,-595.553053652
S22x5/16-A,-232.0361211372
S22x5/16-B,-363.5156710097
S22x5/16-0.9,-595.5393412152
S22x5/16-1.0,-595.5485563
S22x5/16-1.2,-595.5520394181
S22x5/16-1.5,-595.5517555286
S22x5/16-2.0,-595.5515638217
S22x5/17-A,-264.1105304276
S22x5/17-B,-264.1105332967
S22x5/17-0.9,-528.2120787965
S22x5/17-1.0,-528.2201078047
S22x5/17-1.2,-528.2224752499
S22x5/17-1.5,-528.221662733
S22x5/17-2.0,-528.2211611287
S22x5/18-A,-323.2840160831
S22x5/18-B,-303.4117133127
S22x5/18-0.9,-626.7182573456
S22x5/18-1.0,-626.7204516864
S22x5/18-1.2,-626.7162028786
S22x5/18-1.5,-626.7077942263
S22x5/18-2.0,-626.7005825918
S22x5/19-A,-307.2289962167
S22x5/19-B,-307.228956614
S22x5/19-0.9,-614.462638591
S22x5/19-1.0,-614.4644273185
S22x5/19-1.2,-614.4639256935
S22x5/19-1.5,-614.4616724617
S22x5/19-2.0,-614.4594867771
S22x5/20-A,-414.5583347048
S22x5/20-B,-414.5583347048
S22x5/20-0.9,-829.111606497
S22x5/20-1.0,-829.1213930453
S22x5/20-1.2,-829.1221748611
S22x5/20-1.5,-829.1192468024
S22x5/20-2.0,-829.1175169578
S22x5/21-A,-414.5577965643
S22x5/21-B,-414.5577965643
S22x5/21-0.9,-829.1427622033
S22x5/21-1.0,-829.145317632
S22x5/21-1.2,-829.1404498987
S22x5/21-1.5,-829.1307735358
S22x5/21-2.0,-829.1221985577
S22x5/22-A,-232.0361311149
S22x5/22-B,-93.3532927801
S22x5/22-0.9,-325.3926249394
S22x5/22-1.0,-325.3940084668
S22x5/22-1.2,-325.393711849
S22x5/22-1.5,-325.3920609017
S22x5/22-2.0,-325.3905230819
S66x8/01-A,-76.3868120864
S66x8/01-B,-76.3868629088
S66x8/01-090,-152.7816709604
S66x8/01-095,-152.7820619679
S66x8/01-100,-152.7820038853
S66x8/01-105,-152.7816795535
S66x8/01-110,-152.7812092118
S66x8/01-125,-152.7795634497
S66x8/01-150,-152.7773382455
S66x8/01-200,-152.7752133364
S66x8/02-A,-76.3868149683
S66x8/02-B,-115.640654545
S66x8/02-090,-192.0355657793
S66x8/02-095,-192.0361077735
S66x8/02-100,-192.0361346382
S66x8/02-105,-192.0358496793
S66x8/02-110,-192.0353881097
S66x8/02-125,-192.0336777455
S66x8/02-150,-192.0312939261
S66x8/02-200,-192.0290068875
S66x8/03-A,-76.3868100502
S66x8/03-B,-95.7746846309
S66x8/03-090,-172.1729160106
S66x8/03-095,-172.1733472719
S66x8/03-100,-172.1732188518
S66x8/03-105,-172.172747236
S66x8/03-110,-172.1720813207
S66x8/03-125,-172.1697435853
S66x8/03-150,-172.1665280429
S66x8/03-200,-172.163437586
S66x8/04-A,-76.3868132393
S66x8/04-B,-248.338922684
S66x8/04-090,-324.7369748344
S66x8/04-095,-324.7376357161
S66x8/04-100,-324.7376931207
S66x8/04-105,-324.7373730684
S66x8/04-110,-324.7368304989
S66x8/04-125,-324.7347296797
S66x8/04-150,-324.7316047308
S66x8/04-200,-324.7279911336
S66x8/05-A,-115.6406492119
S66x8/05-B,-115.6406858549
S66x8/05-090,-231.289138532
S66x8/05-095,-231.2897908208
S66x8/05-100,-231.2898986047
S66x8/05-105,-231.2896715679
S66x8/05-110,-231.289250127
S66x8/05-125,-231.287588823
S66x8/05-150,-231.285185294
S66x8/05-200,-231.2828290327
S66x8/06-A,-115.6405534225
S66x8/06-B,-95.7746888057
S66x8/06-090,-211.4262077763
S66x8/06-095,-211.426966275
S66x8/06-100,-211.4270577371
S66x8/06-105,-211.4267300433
S66x8/06-110,-211.426148842
S66x8/06-125,-211.4238713578
S66x8/06-150,-211.4205366628
S66x8/06-200,-211.4172533088
S66x8/07-A,-115.6406469342
S66x8/07-B,-248.3385251533
S66x8/07-090,-363.9900545202
S66x8/07-095,-363.9908648607
S66x8/07-100,-363.9910263221
S66x8/07-105,-363.9907762936
S66x8/07-110,-363.9902771713
S66x8/07-125,-363.9882078501
S66x8/07-150,-363.9846067556
S66x8/07-200,-363.9807758556
S66x8/08-A,-115.6406418217
S66x8/08-B,-76.3868655475
S66x8/08-090,-192.035152582
S66x8/08-095,-192.0356455405
S66x8/08-100,-192.0356614605
S66x8/08-105,-192.0353897161
S66x8/08-110,-192.0349555711
S66x8/08-125,-192.0333559387
S66x8/08-150,-192.031124419
S66x8/08-200,-192.0289669424
S66x8/09-A,-95.7746373327
S66x8/09-B,-115.6406537452
S66x8/09-090,-211.4185723852
S66x8/09-095,-211.4190932194
S66x8/09-100,-211.4192413095
S66x8/09-105,-211.4191669042
S66x8/09-110,-211.418968815
S66x8/09-125,-211.4181334145
S66x8/09-150,-211.4169640407
S66x8/09-200,-211.4159408819
S66x8/10-A,-95.7747770064
S66x8/10-B,-95.7746807312
S66x8/10-090,-191.55355395
S66x8/10-095,-191.5543334442
S66x8/10-100,-191.5545921864
S66x8/10-105,-191.554533907
S66x8/10-110,-191.5542936361
S66x8/10-125,-191.5531904788
S66x8/10-150,-191.5512622791
S66x8/10-200,-191.549948897
S66x8/11-A,-95.774690314
S66x8/11-B,-248.3386912799
S66x8/11-090,-344.1177123928
S66x8/11-095,-344.1186838984
S66x8/11-100,-344.1190963972
S66x8/11-105,-344.1191523607
S66x8/11-110,-344.1189874008
S66x8/11-125,-344.117321634
S66x8/11-150,-344.1151913864
S66x8/11-200,-344.1139549993
S66x8/12-A,-95.7746489647
S66x8/12-B,-76.3869570373
S66x8/12-090,-172.1725569815
S66x8/12-095,-172.1731869702
S66x8/12-100,-172.1731839118
S66x8/12-105,-172.1727877407
S66x8/12-110,-172.1721637544
S66x8/12-125,-172.1698501438
S66x8/12-150,-172.1665836565
S66x8/12-200,-172.1634326273
S66x8/13-A,-248.3386021158
S66x8/13-B,-115.6406710842
S66x8/13-090,-363.9857252359
S66x8/13-095,-363.9866034046
S66x8/13-100,-363.9869256546
S66x8/13-105,-363.9868959926
S66x8/13-110,-363.9866511962
S66x8/13-125,-363.9853941216
S66x8/13-150,-363.9833325772
S66x8/13-200,-363.9811071327
S66x8/14-A,-248.3384876479
S66x8/14-B,-95.7747103363
S66x8/14-090,-344.122038844
S66x8/14-095,-344.1229812546
S66x8/14-100,-344.1232777421
S66x8/14-105,-344.1231595308
S66x8/14-110,-344.1227862757
S66x8/14-125,-344.1210513828
S66x8/14-150,-344.1182814181
S66x8/14-200,-344.1153426288
S66x8/15-A,-248.3389299546
S66x8/15-B,-248.3388646388
S66x8/15-090,-496.6867945968
S66x8/15-095,-496.6878342114
S66x8/15-100,-496.6882301593
S66x8/15-105,-496.6882066712
S66x8/15-110,-496.6879164657
S66x8/15-125,-496.6863588949
S66x8/15-150,-496.6836825047
S66x8/15-200,-496.6802587192
S66x8/16-A,-248.3390065268
S66x8/16-B,-76.3868615943
S66x8/16-090,-324.7325513476
S66x8/16-095,-324.7331673492
S66x8/16-100,-324.7333168357
S66x8/16-105,-324.733178639
S66x8/16-110,-324.7328708122
S66x8/16-125,-324.7315790923
S66x8/16-150,-324.7296286442
S66x8/16-200,-324.7276088035
S66x8/17-A,-414.5580238897
S66x8/17-B,-414.5581018194
S66x8/17-090,-829.1389885337
S66x8/17-095,-829.1407316954
S66x8/17-100,-829.1411118867
S66x8/17-105,-829.1406141436
S66x8/17-110,-829.1395743726
S66x8/17-125,-829.1351534817
S66x8/17-150,-829.1282461397
S66x8/17-200,-829.1210169999
S66x8/18-A,-76.3868173934
S66x8/18-B,-248.074920852
S66x8/18-090,-324.4725636092
S66x8/18-095,-324.4730476421
S66x8/18-100,-324.4729658267
S66x8/18-105,-324.4725373559
S66x8/18-110,-324.4719123512
S66x8/18-125,-324.469688302
S66x8/18-150,-324.4666185489
S66x8/18-200,-324.4636682631
S66x8/19-A,-115.6405554799
S66x8/19-B,-248.0749149674
S66x8/19-090,-363.7258952974
S66x8/19-095,-363.7266196218
S66x8/19-100,-363.7267024599
S66x8/19-105,-363.7263816172
S66x8/19-110,-363.7258866176
S66x8/19-125,-363.7236341871
S66x8/19-150,-363.7205154411
S66x8/19-200,-363.7173486845
S66x8/20-A,-228.9427946989
S66x8/20-B,-228.9427982338
S66x8/20-090,-457.9136755372
S66x8/20-095,-457.9155503402
S66x8/20-100,-457.9158215118
S66x8/20-105,-457.915073539
S66x8/20-110,-457.913712069
S66x8/20-125,-457.9080756296
S66x8/20-150,-457.8997522889
S66x8/20-200,-457.89117257
S66x8/21-A,-209.0722555062
S66x8/21-B,-209.0722573203
S66x8/21-090,-418.1669408636
S66x8/21-095,-418.1685293753
S66x8/21-100,-418.1688272227
S66x8/21-105,-418.1683021452
S66x8/21-110,-418.1672773082
S66x8/21-125,-418.1630550346
S66x8/21-150,-418.156584262
S66x8/21-200,-418.1491542586
S66x8/22-A,-228.9427196526
S66x8/22-B,-414.5578281674
S66x8/22-090,-643.5279350121
S66x8/22-095,-643.529765565
S66x8/22-100,-643.5301081097
S66x8/22-105,-643.5294874995
S66x8/22-110,-643.5282706962
S66x8/22-125,-643.5231973296
S66x8/22-150,-643.5152704588
S66x8/22-200,-643.5067819401
S66x8/23-A,-209.0721295108
S66x8/23-B,-414.557808241
S66x8/23-090,-623.6562934209
S66x8/23-095,-623.6580465438
S66x8/23-100,-623.6584558596
S66x8/23-105,-623.6579817514
S66x8/23-110,-623.6569502816
S66x8/23-125,-623.6524509898
S66x8/23-150,-623.6451477548
S66x8/23-200,-623.6369419206
S66x8/24-A,-232.0360976265
S66x8/24-B,-232.036137946
S66x8/24-090,-464.0622774561
S66x8/24-095,-464.0669177554
S66x8/24-100,-464.0695082791
S66x8/24-105,-464.0709252295
S66x8/24-110,-464.0716796419
S66x8/24-125,-464.072320253
S66x8/24-150,-464.0722149852
S66x8/24-200,-464.0721761322
S66x8/25-A,-248.0749653531
S66x8/25-B,-248.0749826842
S66x8/25-090,-496.1413592077
S66x8/25-095,-496.1459152748
S66x8/25-100,-496.1484926625
S66x8/25-105,-496.1498832159
S66x8/25-110,-496.150586432
S66x8/25-125,-496.1509950029
S66x8/25-150,-496.1505171879
S66x8/25-200,-496.1501043882
S66x8/26-A,-414.5583357464
S66x8/26-B,-414.5583357464
S66x8/26-090,-829.1142314369
S66x8/26-095,-829.1189344697
S66x8/26-100,-829.121395315
S66x8/26-105,-829.1225305425
S66x8/26-110,-829.122884067
S66x8/26-125,-829.1220435677
S66x8/26-150,-829.1198438843
S66x8/26-200,-829.1178114143
S66x8/27-A,-232.0361236955
S66x8/27-B,-248.0749782071
S66x8/27-090,-480.1016087841
S66x8/27-095,-480.1064771979
S66x8/27-100,-480.1091307552
S66x8/27-105,-480.1105335726
S66x8/27-110,-480.1112438351
S66x8/27-125,-480.1117071296
S66x8/27-150,-480.1113754085
S66x8/27-200,-480.1111368411
S66x8/28-A,-232.0361154295
S66x8/28-B,-414.5587517195
S66x8/28-090,-646.5870300711
S66x8/28-095,-646.5916718973
S66x8/28-100,-646.594268446
S66x8/28-105,-646.5956285553
S66x8/28-110,-646.5962698388
S66x8/28-125,-646.5964070349
S66x8/28-150,-646.5955552939
S66x8/28-200,-646.5948686691
S66x8/29-A,-248.0749641524
S66x8/29-B,-414.5586790017
S66x8/29-090,-662.625721153
S66x8/29-095,-662.6317947198
S66x8/29-100,-662.6348512339
S66x8/29-105,-662.6362674094
S66x8/29-110,-662.6368018758
S66x8/29-125,-662.6364917088
S66x8/29-150,-662.6351787548
S66x8/29-200,-662.6341299934
S66x8/30-A,-232.0361200916
S66x8/30-B,-78.5071966588
S66x8/30-090,-310.5384258472
S66x8/30-095,-310.5406492775
S66x8/30-100,-310.5418873439
S66x8/30-105,-310.5425603911
S66x8/30-110,-310.542910821
S66x8/30-125,-310.5431880967
S66x8/30-150,-310.5431558241
S66x8/30-200,-310.5432015737
S66x8/31-A,-414.5587352972
S66x8/31-B,-78.5073013674
S66x8/31-090,-493.0635925751
S66x8/31-095,-493.0656273903
S66x8/31-100,-493.0667417554
S66x8/31-105,-493.0673025591
S66x8/31-110,-493.0675371249
S66x8/31-125,-493.0674095177
S66x8/31-150,-493.066747269
S66x8/31-200,-493.0661598856
S66x8/32-A,-414.5586550974
S66x8/32-B,-77.2575843191
S66x8/32-090,-491.814871918
S66x8/32-095,-491.8169232532
S66x8/32-100,-491.8179771408
S66x8/32-105,-491.8184443658
S66x8/32-110,-491.8185712598
S66x8/32-125,-491.8181505911
S66x8/32-150,-491.8171888956
S66x8/32-200,-491.8164026318
S66x8/33-A,-248.0749612099
S66x8/33-B,-78.5071431119
S66x8/33-090,-326.5782684535
S66x8/33-095,-326.5802166133
S66x8/33-100,-326.5813292025
S66x8/33-105,-326.5819402611
S66x8/33-110,-326.5822522133
S66x8/33-125,-326.5824353008
S66x8/33-150,-326.582233561
S66x8/33-200,-326.5821053392
S66x8/34-A,-197.5582294041
S66x8/34-B,-197.5580024176
S66x8/34-090,-395.1119877166
S66x8/34-095,-395.1145774282
S66x8/34-100,-395.1160606309
S66x8/34-105,-395.1168615971
S66x8/34-110,-395.1172565845
S66x8/34-125,-395.1174007311
S66x8/34-150,-395.1169428095
S66x8/34-200,-395.116519552
S66x8/35-A,-197.5581425943
S66x8/35-B,-197.560571897
S66x8/35-090,-395.1156609456
S66x8/35-095,-395.1176970355
S66x8/35-100,-395.1187527406
S66x8/35-105,-395.1192768704
S66x8/35-110,-395.1194943756
S66x8/35-125,-395.1194895512
S66x8/35-150,-395.1191100718
S66x8/35-200,-395.1188207267
S66x8/36-A,-197.5606311941
S66x8/36-B,-197.5607290592
S66x8/36-090,-395.1197299099
S66x8/36-095,-395.1207743302
S66x8/36-100,-395.1213398013
S66x8/36-105,-395.1216268133
S66x8/36-110,-395.1217569992
S66x8/36-125,-395.1217241329
S66x8/36-150,-395.1214466979
S66x8/36-200,-395.1212231134
S66x8/37-A,-196.3557709078
S66x8/37-B,-197.5604345883
S66x8/37-090,-393.9130332125
S66x8/37-095,-393.9150608661
S66x8/37-100,-393.9161475138
S66x8/37-105,-393.9167050128
S66x8/37-110,-393.9169744225
S66x8/37-125,-393.9170669421
S66x8/37-150,-393.9167392892
S66x8/37-200,-393.9164377872
S66x8/38-A,-196.3556993132
S66x8/38-B,-196.3557085918
S66x8/38-090,-392.7081889107
S66x8/38-095,-392.7101177208
S66x8/38-100,-392.7113176172
S66x8/38-105,-392.7119321091
S66x8/38-110,-392.7122000319
S66x8/38-125,-392.7122039872
S66x8/38-150,-392.7117650975
S66x8/38-200,-392.7114331873
S66x8/39-A,-232.0361313062
S66x8/39-B,-196.3556791593
S66x8/39-090,-428.3865400874
S66x8/39-095,-428.3895575636
S66x8/39-100,-428.3912951796
S66x8/39-105,-428.3922262054
S66x8/39-110,-428.3926546907
S66x8/39-125,-428.3927720353
S66x8/39-150,-428.3922723789
S66x8/39-200,-428.3918727353
S66x8/40-A,-232.0361381986
S66x8/40-B,-197.5608623719
S66x8/40-090,-429.5929491184
S66x8/40-095,-429.5953123052
S66x8/40-100,-429.5966037248
S66x8/40-105,-429.5972673611
S66x8/40-110,-429.5975701881
S66x8/40-125,-429.5975841109
S66x8/40-150,-429.597105085
S66x8/40-200,-429.5967229344
S66x8/41-A,-414.5588137858
S66x8/41-B,-197.5582267427
S66x8/41-090,-612.1119897199
S66x8/41-095,-612.1150321991
S66x8/41-100,-612.116768123
S66x8/41-105,-612.1177176516
S66x8/41-110,-612.1182321422
S66x8/41-125,-612.11821852
S66x8/41-150,-612.1175019654
S66x8/41-200,-612.1170760173
S66x8/42-A,-414.5588251644
S66x8/42-B,-196.3557141352
S66x8/42-090,-610.9092988088
S66x8/42-095,-610.9123870951
S66x8/42-100,-610.9140849566
S66x8/42-105,-610.9149875647
S66x8/42-110,-610.9154164698
S66x8/42-125,-610.9155404018
S66x8/42-150,-610.9150114698
S66x8/42-200,-610.9145944122
S66x8/43-A,-414.5587645731
S66x8/43-B,-197.560322871
S66x8/43-090,-612.115923702
S66x8/43-095,-612.1183962951
S66x8/43-100,-612.1197038789
S66x8/43-105,-612.1203445622
S66x8/43-110,-612.1206184015
S66x8/43-125,-612.120522711
S66x8/43-150,-612.1199015939
S66x8/43-200,-612.1194374174
S66x8/44-A,-78.5072077301
S66x8/44-B,-197.5583316623
S66x8/44-090,-276.063891234
S66x8/44-095,-276.0650761972
S66x8/44-100,-276.0657033478
S66x8/44-105,-276.0660043692
S66x8/44-110,-276.0661269852
S66x8/44-125,-276.0660479908
S66x8/44-150,-276.0657055567
S66x8/44-200,-276.0654571628
S66x8/45-A,-77.2575676148
S66x8/45-B,-197.55813043
S66x8/45-090,-274.8136853264
S66x8/45-095,-274.8151180473
S66x8/45-100,-274.8158716039
S66x8/45-105,-274.816240125
S66x8/45-110,-274.8163891961
S66x8/45-125,-274.8163040889
S66x8/45-150,-274.8159286709
S66x8/45-200,-274.8156556793
S66x8/46-A,-248.3389862753
S66x8/46-B,-197.5580297102
S66x8/46-090,-445.894686399
S66x8/46-095,-445.8965689603
S66x8/46-100,-445.8976842051
S66x8/46-105,-445.8983065205
S66x8/46-110,-445.8986134263
S66x8/46-125,-445.8986505539
S66x8/46-150,-445.8979405947
S66x8/46-200,-445.8973083832
S66x8/47-A,-232.0361315839
S66x8/47-B,-232.0361537747
S66x8/47-090,-464.068742171
S66x8/47-095,-464.0711612557
S66x8/47-100,-464.0724535051
S66x8/47-105,-464.0731062257
S66x8/47-110,-464.0733915569
S66x8/47-125,-464.0733590044
S66x8/47-150,-464.0728272572
S66x8/47-200,-464.0723914962
S66x8/48-A,-248.0749807289
S66x8/48-B,-248.0749827621
S66x8/48-090,-496.148027202
S66x8/48-095,-496.1500572384
S66x8/48-100,-496.1511617229
S66x8/48-105,-496.1517131187
S66x8/48-110,-496.1519297716
S66x8/48-125,-496.1517393772
S66x8/48-150,-496.150985401
S66x8/48-200,-496.1502846234
S66x8/49-A,-232.03613857
S66x8/49-B,-248.0749555822
S66x8/49-090,-480.1083072262
S66x8/49-095,-480.1107315124
S66x8/49-100,-480.1120052285
S66x8/49-105,-480.1126232484
S66x8/49-110,-480.1128659617
S66x8/49-125,-480.1126985778
S66x8/49-150,-480.1119981402
S66x8/49-200,-480.1113937267
S66x8/50-A,-232.0361219776
S66x8/50-B,-77.2576335584
S66x8/50-090,-309.29330354
S66x8/50-095,-309.2949742978
S66x8/50-100,-309.2957616146
S66x8/50-105,-309.2960543065
S66x8/50-110,-309.2960788983
S66x8/50-125,-309.2955902036
S66x8/50-150,-309.2947190351
S66x8/50-200,-309.2940336034
S66x8/51-A,-77.2575754074
S66x8/51-B,-77.2576306284
S66x8/51-090,-154.5165612995
S66x8/51-095,-154.5170139925
S66x8/51-100,-154.5171531762
S66x8/51-105,-154.5171178948
S66x8/51-110,-154.516990799
S66x8/51-125,-154.5164642867
S66x8/51-150,-154.5157994264
S66x8/51-200,-154.5153335143
S66x8/52-A,-232.0361160005
S66x8/52-B,-228.9444117282
S66x8/52-090,-460.9823706963
S66x8/52-095,-460.9838408268
S66x8/52-100,-460.9845227558
S66x8/52-105,-460.9847378094
S66x8/52-110,-460.984679721
S66x8/52-125,-460.9838724648
S66x8/52-150,-460.9824637615
S66x8/52-200,-460.9811435719
S66x8/53-A,-232.0361019624
S66x8/53-B,-209.0728908437
S66x8/53-090,-441.1112814632
S66x8/53-095,-441.1124070036
S66x8/53-100,-441.1129330004
S66x8/53-105,-441.1130814984
S66x8/53-110,-441.1130184448
S66x8/53-125,-441.1122633822
S66x8/53-150,-441.1109160817
S66x8/53-200,-441.1095510455
S66x8/54-A,-232.0361280694
S66x8/54-B,-76.3867924839
S66x8/54-090,-308.4254099995
S66x8/54-095,-308.4263531136
S66x8/54-100,-308.4267189174
S66x8/54-105,-308.4267551123
S66x8/54-110,-308.4266101778
S66x8/54-125,-308.4258091411
S66x8/54-150,-308.424593781
S66x8/54-200,-308.4234973534
S66x8/55-A,-232.036130187
S66x8/55-B,-115.6406557479
S66x8/55-090,-347.6779855819
S66x8/55-095,-347.6794269811
S66x8/55-100,-347.680137411
S66x8/55-105,-347.6804071278
S66x8/55-110,-347.6804097535
S66x8/55-125,-347.6797786611
S66x8/55-150,-347.6785577598
S66x8/55-200,-347.6773734993
S66x8/56-A,-232.0361289817
S66x8/56-B,-95.7746219662
S66x8/56-090,-327.8098268763
S66x8/56-095,-327.8114127485
S66x8/56-100,-327.8122725371
S66x8/56-105,-327.8127066239
S66x8/56-110,-327.8128392755
S66x8/56-125,-327.8125176584
S66x8/56-150,-327.8117262023
S66x8/56-200,-327.8110561799
S66x8/57-A,-232.0361436258
S66x8/57-B,-248.3389760032
S66x8/57-090,-480.373339524
S66x8/57-095,-480.3763722321
S66x8/57-100,-480.377908696
S66x8/57-105,-480.3785894358
S66x8/57-110,-480.3787868627
S66x8/57-125,-480.3782631406
S66x8/57-150,-480.3769676549
S66x8/57-200,-480.3757796017
S66x8/58-A,-248.0749795281
S66x8/58-B,-248.074947829
S66x8/58-090,-496.1512239538
S66x8/58-095,-496.1530837029
S66x8/58-100,-496.1540463181
S66x8/58-105,-496.154061173
S66x8/58-110,-496.1537335148
S66x8/58-125,-496.1524669436
S66x8/58-150,-496.1511112885
S66x8/58-200,-496.1502250503
S66x8/59-A,-77.2576819917
S66x8/59-B,-76.3868477331
S66x8/59-090,-153.6480994417
S66x8/59-095,-153.6484759779
S66x8/59-100,-153.6485212746
S66x8/59-105,-153.6483715332
S66x8/59-110,-153.6481143748
S66x8/59-125,-153.6471564839
S66x8/59-150,-153.6458522388
S66x8/59-200,-153.6446615687
S66x8/60-A,-77.2576030268
S66x8/60-B,-228.9443990102
S66x8/60-090,-306.2077916206
S66x8/60-095,-306.2085559384
S66x8/60-100,-306.208714488
S66x8/60-105,-306.2085162369
S66x8/60-110,-306.2081212243
S66x8/60-125,-306.2065916462
S66x8/60-150,-306.2045337332
S66x8/60-200,-306.2027722387
S66x8/61-A,-197.5581508043
S66x8/61-B,-228.944438252
S66x8/61-090,-426.501415652
S66x8/61-095,-426.5024695809
S66x8/61-100,-426.5031042357
S66x8/61-105,-426.503465038
S66x8/61-110,-426.5036399399
S66x8/61-125,-426.5036300357
S66x8/61-150,-426.5031057058
S66x8/61-200,-426.5026796913
S66x8/62-A,-197.5581966408
S66x8/62-B,-209.0728490235
S66x8/62-090,-406.6298247904
S66x8/62-095,-406.6312649007
S66x8/62-100,-406.6320698857
S66x8/62-105,-406.6324820209
S66x8/62-110,-406.6326523991
S66x8/62-125,-406.6324928849
S66x8/62-150,-406.6318281732
S66x8/62-200,-406.6312051557
S66x8/63-A,-232.0361097728
S66x8/63-B,-228.9444213148
S66x8/63-090,-460.9778152465
S66x8/63-095,-460.9802659547
S66x8/63-100,-460.981561004
S66x8/63-105,-460.9821849103
S66x8/63-110,-460.9824176273
S66x8/63-125,-460.982196606
S66x8/63-150,-460.9813927527
S66x8/63-200,-460.9807503068
S66x8/64-A,-248.3388799656
S66x8/64-B,-78.5073122349
S66x8/64-090,-326.8461715383
S66x8/64-095,-326.8472767568
S66x8/64-100,-326.8478498491
S66x8/64-105,-326.8480944207
S66x8/64-110,-326.8481416753
S66x8/64-125,-326.8477762608
S66x8/64-150,-326.8469356285
S66x8/64-200,-326.8462259397
S66x8/65-A,-248.0749542793
S66x8/65-B,-77.2573508441
S66x8/65-090,-325.3378963921
S66x8/65-095,-325.338359897
S66x8/65-100,-325.3384168943
S66x8/65-105,-325.3382281116
S66x8/65-110,-325.3379007644
S66x8/65-125,-325.336664348
S66x8/65-150,-325.3349531452
S66x8/65-200,-325.3333817711
S66x8/66-A,-95.7745341677
S66x8/66-B,-248.0749473812
S66x8/66-090,-343.8510068286
S66x8/66-095,-343.8520786437
S66x8/66-100,-343.8526307401
S66x8/66-105,-343.8528521083
S66x8/66-110,-343.8528652349
S66x8/66-125,-343.8523555052
S66x8/66-150,-343.8512844223
