system,PBE0-DH/def2-QZVP/ORCA
S22x5/21-2.0,-829.1275753862
S22x5/22-A,-232.0722801501
S22x5/22-B,-93.3514719656
S22x5/22-0.9,-325.4291735518
S22x5/22-1.0,-325.4300160246
S22x5/22-1.2,-325.4289524093
S22x5/22-1.5,-325.4268196069
S22x5/22-2.0,-325.4250641365
S66x8/01-A,-76.3887945338
S66x8/01-B,-76.3887513389
S66x8/01-090,-152.785421852
S66x8/01-095,-152.7857257079
S66x8/01-100,-152.7856032157
S66x8/01-105,-152.7852314852
S66x8/01-110,-152.7847297547
S66x8/01-125,-152.7830498889
S66x8/01-150,-152.7808714727
S66x8/01-200,-152.7788531458
S66x8/02-A,-76.3888000124
S66x8/02-B,-115.652707883
S66x8/02-090,-192.0497540439
S66x8/02-095,-192.0501626271
S66x8/02-100,-192.0500873273
S66x8/02-105,-192.0497235049
S66x8/02-110,-192.0492028638
S66x8/02-125,-192.0474048439
S66x8/02-150,-192.0450279852
S66x8/02-200,-192.0428390544
S66x8/03-A,-76.3888076037
S66x8/03-B,-95.793921889
S66x8/03-090,-172.1935886407
S66x8/03-095,-172.1939524328
S66x8/03-100,-172.1937738947
S66x8/03-105,-172.193268184
S66x8/03-110,-172.1925820964
S66x8/03-125,-172.190237822
S66x8/03-150,-172.1871073852
S66x8/03-200,-172.1842151119
S66x8/04-A,-76.3888061586
S66x8/04-B,-248.3638985742
S66x8/04-090,-324.7645609633
S66x8/04-095,-324.7650311117
S66x8/04-100,-324.7649298531
S66x8/04-105,-324.7644790589
S66x8/04-110,-324.7638275545
S66x8/04-125,-324.761494426
S66x8/04-150,-324.7582341398
S66x8/04-200,-324.754658676
S66x8/05-A,-115.6527210092
S66x8/05-B,-115.6527213863
S66x8/05-090,-231.313670756
S66x8/05-095,-231.3141870195
S66x8/05-100,-231.3141891229
S66x8/05-105,-231.3138805954
S66x8/05-110,-231.3133969902
S66x8/05-125,-231.3116409313
S66x8/05-150,-231.3092390972
S66x8/05-200,-231.3069864917
S66x8/06-A,-115.6524656571
S66x8/06-B,-95.7939104097
S66x8/06-090,-211.457460212
S66x8/06-095,-211.4580879913
S66x8/06-100,-211.4580823541
S66x8/06-105,-211.4576793882
S66x8/06-110,-211.4570431171
S66x8/06-125,-211.4546982183
S66x8/06-150,-211.4514120277
S66x8/06-200,-211.4483174037
S66x8/07-A,-115.6525557778
S66x8/07-B,-248.3636921525
S66x8/07-090,-364.0280318327
S66x8/07-095,-364.0286538892
S66x8/07-100,-364.0286545723
S66x8/07-105,-364.0282694433
S66x8/07-110,-364.0276578926
S66x8/07-125,-364.0253613033
S66x8/07-150,-364.0216207095
S66x8/07-200,-364.0179095157
S66x8/08-A,-115.6527619948
S66x8/08-B,-76.3887548624
S66x8/08-090,-192.0493066528
S66x8/08-095,-192.0497105278
S66x8/08-100,-192.0496604124
S66x8/08-105,-192.0493399039
S66x8/08-110,-192.0488721664
S66x8/08-125,-192.0472364958
S66x8/08-150,-192.0450524728
S66x8/08-200,-192.0430094399
S66x8/09-A,-95.7939208097
S66x8/09-B,-115.6527920532
S66x8/09-090,-211.4501472508
S66x8/09-095,-211.4505547601
S66x8/09-100,-211.4506211686
S66x8/09-105,-211.4504910218
S66x8/09-110,-211.4502490631
S66x8/09-125,-211.4493664174
S66x8/09-150,-211.4482382863
S66x8/09-200,-211.4472949067
S66x8/10-A,-95.7938874239
S66x8/10-B,-95.7938911234
S66x8/10-090,-191.5923835268
S66x8/10-095,-191.5930217648
S66x8/10-100,-191.5931651187
S66x8/10-105,-191.5930042281
S66x8/10-110,-191.5926826645
S66x8/10-125,-191.5914630638
S66x8/10-150,-191.5895539674
S66x8/10-200,-191.5883382204
S66x8/11-A,-95.793677566
S66x8/11-B,-248.363831734
S66x8/11-090,-344.1633235446
S66x8/11-095,-344.1640542221
S66x8/11-100,-344.1642564578
S66x8/11-105,-344.1641321909
S66x8/11-110,-344.1638151102
S66x8/11-125,-344.1617632859
S66x8/11-150,-344.1595405243
S66x8/11-200,-344.1583329397
S66x8/12-A,-95.7938714352
S66x8/12-B,-76.3881092362
S66x8/12-090,-172.1935322759
S66x8/12-095,-172.1940473956
S66x8/12-100,-172.1939548465
S66x8/12-105,-172.1934908938
S66x8/12-110,-172.1928180399
S66x8/12-125,-172.1904342348
S66x8/12-150,-172.1871988841
S66x8/12-200,-172.1842048915
S66x8/13-A,-248.3637349254
S66x8/13-B,-115.6527491639
S66x8/13-090,-364.0240874197
S66x8/13-095,-364.0247723959
S66x8/13-100,-364.0249284637
S66x8/13-105,-364.0247530821
S66x8/13-110,-364.0243833546
S66x8/13-125,-364.0228802584
S66x8/13-150,-364.0206683384
S66x8/13-200,-364.0184226155
S66x8/14-A,-248.3634844437
S66x8/14-B,-95.7938475632
S66x8/14-090,-344.1670023223
S66x8/14-095,-344.1677767497
S66x8/14-100,-344.1679290433
S66x8/14-105,-344.16768796
S66x8/14-110,-344.167210948
S66x8/14-125,-344.1652796354
S66x8/14-150,-344.1624119071
S66x8/14-200,-344.1595464337
S66x8/15-A,-248.3637339008
S66x8/15-B,-248.3638594404
S66x8/15-090,-496.7382888767
S66x8/15-095,-496.739090361
S66x8/15-100,-496.7392713864
S66x8/15-105,-496.7390537628
S66x8/15-110,-496.7385928539
S66x8/15-125,-496.7366624632
S66x8/15-150,-496.7336843919
S66x8/15-200,-496.7301580479
S66x8/16-A,-248.363948468
S66x8/16-B,-76.3887611129
S66x8/16-090,-324.7599593747
S66x8/16-095,-324.7604609829
S66x8/16-100,-324.7605116192
S66x8/16-105,-324.7602896609
S66x8/16-110,-324.7599175268
S66x8/16-125,-324.7585089663
S66x8/16-150,-324.7565202707
S66x8/16-200,-324.7545286933
S66x8/17-A,-414.5605306231
S66x8/17-B,-414.5606962914
S66x8/17-090,-829.1465514945
S66x8/17-095,-829.1479110679
S66x8/17-100,-829.1479575653
S66x8/17-105,-829.1471699732
S66x8/17-110,-829.1458820184
S66x8/17-125,-829.1409343427
S66x8/17-150,-829.1336003036
S66x8/17-200,-829.1262246196
S66x8/18-A,-76.388801363
S66x8/18-B,-248.1002248998
S66x8/18-090,-324.4992903672
S66x8/18-095,-324.4997298671
S66x8/18-100,-324.4996138525
S66x8/18-105,-324.4991611154
S66x8/18-110,-324.4985217566
S66x8/18-125,-324.4962927259
S66x8/18-150,-324.4932973786
S66x8/18-200,-324.4905245132
S66x8/19-A,-115.652475626
S66x8/19-B,-248.1002177665
S66x8/19-090,-363.7631961986
S66x8/19-095,-363.7638559155
S66x8/19-100,-363.7638873254
S66x8/19-105,-363.763527501
S66x8/19-110,-363.7628070985
S66x8/19-125,-363.7607291642
S66x8/19-150,-363.7574138247
S66x8/19-200,-363.754389544
S66x8/20-A,-228.9492360288
S66x8/20-B,-228.9492325864
S66x8/20-090,-457.9289872404
S66x8/20-095,-457.9303184572
S66x8/20-100,-457.9301540242
S66x8/20-105,-457.9290520271
S66x8/20-110,-457.9274018919
S66x8/20-125,-457.9214494488
S66x8/20-150,-457.9127083085
S66x8/20-200,-457.9040398957
S66x8/21-A,-209.0855511435
S66x8/21-B,-209.0855548097
S66x8/21-090,-418.1955653119
S66x8/21-095,-418.1968081058
S66x8/21-100,-418.1968093787
S66x8/21-105,-418.1960306626
S66x8/21-110,-418.1947886037
S66x8/21-125,-418.1901028289
S66x8/21-150,-418.1832819711
S66x8/21-200,-418.1757970426
S66x8/22-A,-228.9491459165
S66x8/22-B,-414.5604367019
S66x8/22-090,-643.5397041394
S66x8/22-095,-643.5410798281
S66x8/22-100,-643.5410422334
S66x8/22-105,-643.5401015834
S66x8/22-110,-643.5386181676
S66x8/22-125,-643.5329825904
S66x8/22-150,-643.5246054943
S66x8/22-200,-643.5159559192
S66x8/23-A,-209.0854782889
S66x8/23-B,-414.560221579
S66x8/23-090,-623.6747217332
S66x8/23-095,-623.6760824961
S66x8/23-100,-623.6761546418
S66x8/23-105,-623.6753903236
S66x8/23-110,-623.6741102271
S66x8/23-125,-623.6690630499
S66x8/23-150,-623.6613006845
S66x8/23-200,-623.6529214737
S66x8/24-A,-232.0724446642
S66x8/24-B,-232.0723756965
S66x8/24-090,-464.1382773528
S66x8/24-095,-464.1421062568
S66x8/24-100,-464.1440147912
S66x8/24-105,-464.1448633882
S66x8/24-110,-464.1451794813
S66x8/24-125,-464.1451118339
S66x8/24-150,-464.144778018
S66x8/24-200,-464.1447157712
S66x8/25-A,-248.1001704984
S66x8/25-B,-248.1002071014
S66x8/25-090,-496.1956375376
S66x8/25-095,-496.1993655576
S66x8/25-100,-496.2012069301
S66x8/25-105,-496.2020254029
S66x8/25-110,-496.2022594736
S66x8/25-125,-496.2018900432
S66x8/25-150,-496.2010638303
S66x8/25-200,-496.2005770303
S66x8/26-A,-414.5611722548
S66x8/26-B,-414.5611722549
S66x8/26-090,-829.1258125438
S66x8/26-095,-829.1293168156
S66x8/26-100,-829.1307588755
S66x8/26-105,-829.1310524677
S66x8/26-110,-829.130734042
S66x8/26-125,-829.1286779012
S66x8/26-150,-829.1258605106
S66x8/26-200,-829.1236155795
S66x8/27-A,-232.0724249396
S66x8/27-B,-248.1002280321
S66x8/27-090,-480.1668576983
S66x8/27-095,-480.1708418312
S66x8/27-100,-480.1727835645
S66x8/27-105,-480.1735839873
S66x8/27-110,-480.1738296548
S66x8/27-125,-480.1735560561
S66x8/27-150,-480.1729383509
S66x8/27-200,-480.1726514653
S66x8/28-A,-232.072239215
S66x8/28-B,-414.5618232443
S66x8/28-090,-646.631306311
S66x8/28-095,-646.6348794055
S66x8/28-100,-646.6366087545
S66x8/28-105,-646.6371917935
S66x8/28-110,-646.6372286038
S66x8/28-125,-646.6363112287
S66x8/28-150,-646.6349803306
S66x8/28-200,-646.6341581857
S66x8/29-A,-248.1001282798
S66x8/29-B,-414.5618431268
S66x8/29-090,-662.659249926
S66x8/29-095,-662.6641202023
S66x8/29-100,-662.666153558
S66x8/29-105,-662.6667279922
S66x8/29-110,-662.6666736148
S66x8/29-125,-662.6653324457
S66x8/29-150,-662.6635820765
S66x8/29-200,-662.6623987077
S66x8/30-A,-232.0724086261
S66x8/30-B,-78.5241493394
S66x8/30-090,-310.5931874509
S66x8/30-095,-310.5949984083
S66x8/30-100,-310.5958903444
S66x8/30-105,-310.5962923952
S66x8/30-110,-310.5964515049
S66x8/30-125,-310.5964335801
S66x8/30-150,-310.5963412931
S66x8/30-200,-310.5964376882
S66x8/31-A,-414.5618758161
S66x8/31-B,-78.524086494
S66x8/31-090,-493.0858271421
S66x8/31-095,-493.087332807
S66x8/31-100,-493.0880034827
S66x8/31-105,-493.0882206407
S66x8/31-110,-493.0881923847
S66x8/31-125,-493.0876137242
S66x8/31-150,-493.0867654731
S66x8/31-200,-493.0861422619
S66x8/32-A,-414.5619703527
S66x8/32-B,-77.2645765882
S66x8/32-090,-491.8271168109
S66x8/32-095,-491.8286947473
S66x8/32-100,-491.8293394851
S66x8/32-105,-491.8294647684
S66x8/32-110,-491.8293383572
S66x8/32-125,-491.8284698615
S66x8/32-150,-491.8273227445
S66x8/32-200,-491.8265028053
S66x8/33-A,-248.100262714
S66x8/33-B,-78.5241290713
S66x8/33-090,-326.6220840332
S66x8/33-095,-326.6236272433
S66x8/33-100,-326.6244053625
S66x8/33-105,-326.6247556661
S66x8/33-110,-326.6248586504
S66x8/33-125,-326.6247050234
S66x8/33-150,-326.6244324263
S66x8/33-200,-326.624348515
S66x8/34-A,-197.6237302991
S66x8/34-B,-197.6237882988
S66x8/34-090,-395.2457933238
S66x8/34-095,-395.2477037802
S66x8/34-100,-395.2486305559
S66x8/34-105,-395.2490390259
S66x8/34-110,-395.249133418
S66x8/34-125,-395.2489106108
S66x8/34-150,-395.2482518302
S66x8/34-200,-395.2478532611
S66x8/35-A,-197.6237528905
S66x8/35-B,-197.6276232632
S66x8/35-090,-395.249876221
S66x8/35-095,-395.2514568843
S66x8/35-100,-395.2521620524
S66x8/35-105,-395.2524354464
S66x8/35-110,-395.2524685099
S66x8/35-125,-395.2522355138
S66x8/35-150,-395.251786942
S66x8/35-200,-395.2515219206
S66x8/36-A,-197.6276203886
S66x8/36-B,-197.6276086854
S66x8/36-090,-395.2542734645
S66x8/36-095,-395.2550867164
S66x8/36-100,-395.255503509
S66x8/36-105,-395.2556971843
S66x8/36-110,-395.2557350433
S66x8/36-125,-395.2556099723
S66x8/36-150,-395.2553349602
S66x8/36-200,-395.2551582034
S66x8/37-A,-196.4158438198
S66x8/37-B,-197.6276621455
S66x8/37-090,-394.0415944471
S66x8/37-095,-394.0431561206
S66x8/37-100,-394.043889083
S66x8/37-105,-394.0441942004
S66x8/37-110,-394.0443083175
S66x8/37-125,-394.044153409
S66x8/37-150,-394.0437588766
S66x8/37-200,-394.0434801674
S66x8/38-A,-196.4158188954
S66x8/38-B,-196.4158261825
S66x8/38-090,-392.8301015019
S66x8/38-095,-392.83158482
S66x8/38-100,-392.8323837635
S66x8/38-105,-392.8326918788
S66x8/38-110,-392.8327970932
S66x8/38-125,-392.8325221049
S66x8/38-150,-392.8320101067
S66x8/38-200,-392.8317028506
S66x8/39-A,-232.0723855956
S66x8/39-B,-196.4158033375
S66x8/39-090,-428.4858425591
S66x8/39-095,-428.4882001213
S66x8/39-100,-428.4893677199
S66x8/39-105,-428.4898317094
S66x8/39-110,-428.4899074588
S66x8/39-125,-428.4894458158
S66x8/39-150,-428.4887304688
S66x8/39-200,-428.4882690874
S66x8/40-A,-232.072364693
S66x8/40-B,-197.627514085
S66x8/40-090,-429.6984300187
S66x8/40-095,-429.7002586945
S66x8/40-100,-429.7011235889
S66x8/40-105,-429.7014378333
S66x8/40-110,-429.7014958528
S66x8/40-125,-429.7011148586
S66x8/40-150,-429.7004981395
S66x8/40-200,-429.7001208819
S66x8/41-A,-414.5617951927
S66x8/41-B,-197.6238181386
S66x8/41-090,-612.1842510828
S66x8/41-095,-612.1864060509
S66x8/41-100,-612.1874170527
S66x8/41-105,-612.187813167
S66x8/41-110,-612.1878467534
S66x8/41-125,-612.1870833286
S66x8/41-150,-612.1861429544
S66x8/41-200,-612.1856729269
S66x8/42-A,-414.5617823613
S66x8/42-B,-196.4157919243
S66x8/42-090,-610.9755360249
S66x8/42-095,-610.9778249142
S66x8/42-100,-610.9788641654
S66x8/42-105,-610.9792538544
S66x8/42-110,-610.9793271094
S66x8/42-125,-610.9788668817
S66x8/42-150,-610.9781289897
S66x8/42-200,-610.9776746307
S66x8/43-A,-414.5618615049
S66x8/43-B,-197.6276397965
S66x8/43-090,-612.1884295079
S66x8/43-095,-612.1902252754
S66x8/43-100,-612.191024107
S66x8/43-105,-612.1912725323
S66x8/43-110,-612.1912509233
S66x8/43-125,-612.1906913691
S66x8/43-150,-612.1899101575
S66x8/43-200,-612.1894109693
S66x8/44-A,-78.5241426581
S66x8/44-B,-197.6237384952
S66x8/44-090,-276.1475176418
S66x8/44-095,-276.1483764225
S66x8/44-100,-276.1487507265
S66x8/44-105,-276.1488859331
S66x8/44-110,-276.1488787583
S66x8/44-125,-276.1486494426
S66x8/44-150,-276.1482803025
S66x8/44-200,-276.1480625855
S66x8/45-A,-77.2645981061
S66x8/45-B,-197.6238386603
S66x8/45-090,-274.8873031593
S66x8/45-095,-274.8884366831
S66x8/45-100,-274.888972743
S66x8/45-105,-274.8891679732
S66x8/45-110,-274.8891867705
S66x8/45-125,-274.8889502075
S66x8/45-150,-274.8885512427
S66x8/45-200,-274.8882727954
S66x8/46-A,-248.3640140098
S66x8/46-B,-197.6237792015
S66x8/46-090,-445.9878453742
S66x8/46-095,-445.9891396156
S66x8/46-100,-445.9897785985
S66x8/46-105,-445.990032646
S66x8/46-110,-445.9900347847
S66x8/46-125,-445.9895730094
S66x8/46-150,-445.9886357459
S66x8/46-200,-445.9880099408
S66x8/47-A,-232.0723465279
S66x8/47-B,-232.0721775953
S66x8/47-090,-464.1436063329
S66x8/47-095,-464.1454974963
S66x8/47-100,-464.1463399758
S66x8/47-105,-464.1466454247
S66x8/47-110,-464.1466586572
S66x8/47-125,-464.1461668436
S66x8/47-150,-464.1454232657
S66x8/47-200,-464.144906348
S66x8/48-A,-248.1001637272
S66x8/48-B,-248.1000992814
S66x8/48-090,-496.2007804099
S66x8/48-095,-496.2023347851
S66x8/48-100,-496.2030304621
S66x8/48-105,-496.2032497334
S66x8/48-110,-496.2031961522
S66x8/48-125,-496.2025358663
S66x8/48-150,-496.201540699
S66x8/48-200,-496.2007415856
S66x8/49-A,-232.0723430016
S66x8/49-B,-248.1001706842
S66x8/49-090,-480.1722741557
S66x8/49-095,-480.1741640067
S66x8/49-100,-480.174977328
S66x8/49-105,-480.1752338212
S66x8/49-110,-480.1752016249
S66x8/49-125,-480.1745484812
S66x8/49-150,-480.17360741
S66x8/49-200,-480.1728979345
S66x8/50-A,-232.0723343201
S66x8/50-B,-77.2646445887
S66x8/50-090,-309.3381264117
S66x8/50-095,-309.3394199342
S66x8/50-100,-309.3398899985
S66x8/50-105,-309.3399134
S66x8/50-110,-309.3397371805
S66x8/50-125,-309.3388934437
S66x8/50-150,-309.3378526615
S66x8/50-200,-309.3370840971
S66x8/51-A,-77.2646101391
S66x8/51-B,-77.2646626985
S66x8/51-090,-154.5308326008
S66x8/51-095,-154.5312220917
S66x8/51-100,-154.5313093277
S66x8/51-105,-154.531230094
S66x8/51-110,-154.5310703619
S66x8/51-125,-154.5305054327
S66x8/51-150,-154.5298542133
S66x8/51-200,-154.5293948974
S66x8/52-A,-232.07233568
S66x8/52-B,-228.9512276247
S66x8/52-090,-461.0276132608
S66x8/52-095,-461.0287122523
S66x8/52-100,-461.0290584609
S66x8/52-105,-461.0289829683
S66x8/52-110,-461.0286875468
S66x8/52-125,-461.0274004506
S66x8/52-150,-461.025691962
S66x8/52-200,-461.0242412742
S66x8/53-A,-232.0723504433
S66x8/53-B,-209.0865809892
S66x8/53-090,-441.1627464913
S66x8/53-095,-441.1636280252
S66x8/53-100,-441.1639294083
S66x8/53-105,-441.1638755835
S66x8/53-110,-441.1636279186
S66x8/53-125,-441.1625285134
S66x8/53-150,-441.1609378991
S66x8/53-200,-441.1594658934
S66x8/54-A,-232.0723110276
S66x8/54-B,-76.3887118255
S66x8/54-090,-308.4645624723
S66x8/54-095,-308.4652627097
S66x8/54-100,-308.4654267487
S66x8/54-105,-308.4652988639
S66x8/54-110,-308.4650200745
S66x8/54-125,-308.4639972924
S66x8/54-150,-308.4627092939
S66x8/54-200,-308.4616108655
S66x8/55-A,-232.0722779799
S66x8/55-B,-115.6528092941
S66x8/55-090,-347.7280131986
S66x8/55-095,-347.7291739322
S66x8/55-100,-347.7296098959
S66x8/55-105,-347.7296529946
S66x8/55-110,-347.7294790957
S66x8/55-125,-347.7284807997
S66x8/55-150,-347.7270622354
S66x8/55-200,-347.7258157026
S66x8/56-A,-232.0723439371
S66x8/56-B,-95.7939272176
S66x8/56-090,-327.8670687111
S66x8/56-095,-327.8683026576
S66x8/56-100,-327.8688428129
S66x8/56-105,-327.8689919055
S66x8/56-110,-327.8689107147
S66x8/56-125,-327.8682166912
S66x8/56-150,-327.8672729178
S66x8/56-200,-327.8665607079
S66x8/57-A,-232.0722765162
S66x8/57-B,-248.3639816623
S66x8/57-090,-480.4377532678
S66x8/57-095,-480.440130722
S66x8/57-100,-480.4411081935
S66x8/57-105,-480.4413229287
S66x8/57-110,-480.4411785226
S66x8/57-125,-480.4400218566
S66x8/57-150,-480.4384063135
S66x8/57-200,-480.4370737382
S66x8/58-A,-248.1001189454
S66x8/58-B,-248.1000523486
S66x8/58-090,-496.2029974469
S66x8/58-095,-496.2045446413
S66x8/58-100,-496.2051319449
S66x8/58-105,-496.2048800225
S66x8/58-110,-496.2043705359
S66x8/58-125,-496.202855355
S66x8/58-150,-496.2014330364
S66x8/58-200,-496.2005281413
S66x8/59-A,-77.2646822549
S66x8/59-B,-76.3887603216
S66x8/59-090,-153.6578153747
S66x8/59-095,-153.6581256381
S66x8/59-100,-153.6581148205
S66x8/59-105,-153.6579201109
S66x8/59-110,-153.6576259683
S66x8/59-125,-153.6566136566
S66x8/59-150,-153.6553135808
S66x8/59-200,-153.6541600421
S66x8/60-A,-77.2645793111
S66x8/60-B,-228.9511937829
S66x8/60-090,-306.2224062905
S66x8/60-095,-306.2230070112
S66x8/60-100,-306.2230081667
S66x8/60-105,-306.2226742332
S66x8/60-110,-306.2221672806
S66x8/60-125,-306.2204039247
S66x8/60-150,-306.2182230301
S66x8/60-200,-306.2164544316
S66x8/61-A,-197.6237811372
S66x8/61-B,-228.9513169482
S66x8/61-090,-426.5753136082
S66x8/61-095,-426.5760442673
S66x8/61-100,-426.5764123822
S66x8/61-105,-426.5765541534
S66x8/61-110,-426.5765555164
S66x8/61-125,-426.5762746046
S66x8/61-150,-426.5756214977
S66x8/61-200,-426.5752165914
S66x8/62-A,-197.6238232498
S66x8/62-B,-209.0866379858
S66x8/62-090,-406.7109041667
S66x8/62-095,-406.7119065884
S66x8/62-100,-406.7123878848
S66x8/62-105,-406.7125291351
S66x8/62-110,-406.712474618
S66x8/62-125,-406.7119985745
S66x8/62-150,-406.7112237242
S66x8/62-200,-406.7106415526
S66x8/63-A,-232.0724029288
S66x8/63-B,-228.9512420964
S66x8/63-090,-461.0237104314
S66x8/63-095,-461.0255141961
S66x8/63-100,-461.0262910663
S66x8/63-105,-461.0265018334
S66x8/63-110,-461.0264056136
S66x8/63-125,-461.0256327638
S66x8/63-150,-461.0245827757
S66x8/63-200,-461.0238513189
S66x8/64-A,-248.3639772728
S66x8/64-B,-78.5241810743
S66x8/64-090,-326.8894641014
S66x8/64-095,-326.8902721719
S66x8/64-100,-326.8905922629
S66x8/64-105,-326.8906409134
S66x8/64-110,-326.8905411937
S66x8/64-125,-326.8899199091
S66x8/64-150,-326.888979601
S66x8/64-200,-326.8882699865
S66x8/65-A,-248.1002276109
S66x8/65-B,-77.2640923616
S66x8/65-090,-325.3703953512
S66x8/65-095,-325.3708143164
S66x8/65-100,-325.3708257042
S66x8/65-105,-325.3705921247
S66x8/65-110,-325.3702245633
S66x8/65-125,-325.3689125747
S66x8/65-150,-325.3672013993
S66x8/65-200,-325.3657174558
S66x8/66-A,-95.7939411624
S66x8/66-B,-248.100202777
S66x8/66-090,-343.8965856623
S66x8/66-095,-343.8974597639
S66x8/66-100,-343.8978233033
S66x8/66-105,-343.8978796806
S66x8/66-110,-343.8977518253
S66x8/66-125,-343.8969573338
