system,mPW2PLYP/def2-QZVP/ORCA
S66x8/01-095,-152.8539491326
S66x8/01-100,-152.8538672682
S66x8/01-105,-152.8535073114
S66x8/01-110,-152.8529945805
S66x8/01-125,-152.8512187672
S66x8/01-150,-152.8488584013
S66x8/01-200,-152.8467006927
S66x8/02-A,-76.4226597859
S66x8/02-B,-115.6967914537
S66x8/02-090,-192.1282668441
S66x8/02-095,-192.1287613031
S66x8/02-100,-192.128726062
S66x8/02-105,-192.1283706784
S66x8/02-110,-192.1278355423
S66x8/02-125,-192.1259156413
S66x8/02-150,-192.1233080575
S66x8/02-200,-192.1209179939
S66x8/03-A,-76.4226681322
S66x8/03-B,-95.8228639697
S66x8/03-090,-172.256447541
S66x8/03-095,-172.2569664413
S66x8/03-100,-172.2569021696
S66x8/03-105,-172.2564748706
S66x8/03-110,-172.25583663
S66x8/03-125,-172.2535203407
S66x8/03-150,-172.2502743005
S66x8/03-200,-172.2472028464
S66x8/04-A,-76.4226672191
S66x8/04-B,-248.4534666639
S66x8/04-090,-324.8883672954
S66x8/04-095,-324.8889852281
S66x8/04-100,-324.8889740433
S66x8/04-105,-324.8885675876
S66x8/04-110,-324.8879291309
S66x8/04-125,-324.8855413881
S66x8/04-150,-324.8820706077
S66x8/04-200,-324.8782546998
S66x8/05-A,-115.6966362608
S66x8/05-B,-115.6967996913
S66x8/05-090,-231.4022252683
S66x8/05-095,-231.4028351868
S66x8/05-100,-231.4028838424
S66x8/05-105,-231.4025865813
S66x8/05-110,-231.4020899533
S66x8/05-125,-231.4002087334
S66x8/05-150,-231.397559607
S66x8/05-200,-231.3950746736
S66x8/06-A,-115.6963682528
S66x8/06-B,-95.8228635529
S66x8/06-090,-211.5303039866
S66x8/06-095,-211.5311112652
S66x8/06-100,-211.5312277836
S66x8/06-105,-211.5309085038
S66x8/06-110,-211.5303292453
S66x8/06-125,-211.5280133888
S66x8/06-150,-211.5245940675
S66x8/06-200,-211.5212800105
S66x8/07-A,-115.6964666816
S66x8/07-B,-248.4534436084
S66x8/07-090,-364.1619766165
S66x8/07-095,-364.1627684702
S66x8/07-100,-364.1628832697
S66x8/07-105,-364.1625656015
S66x8/07-110,-364.1619858305
S66x8/07-125,-364.1596539151
S66x8/07-150,-364.1556719658
S66x8/07-200,-364.1516666593
S66x8/08-A,-115.6966697653
S66x8/08-B,-76.4226382983
S66x8/08-090,-192.1274721206
S66x8/08-095,-192.127964875
S66x8/08-100,-192.1279593953
S66x8/08-105,-192.1276522723
S66x8/08-110,-192.1271748946
S66x8/08-125,-192.1254371117
S66x8/08-150,-192.1230542092
S66x8/08-200,-192.1208480609
S66x8/09-A,-95.8227881119
S66x8/09-B,-115.6968017518
S66x8/09-090,-211.5237201179
S66x8/09-095,-211.5241342333
S66x8/09-100,-211.5241688884
S66x8/09-105,-211.5239832972
S66x8/09-110,-211.5236854525
S66x8/09-125,-211.5226300075
S66x8/09-150,-211.5213078771
S66x8/09-200,-211.5202277528
S66x8/10-A,-95.8227751845
S66x8/10-B,-95.822830773
S66x8/10-090,-191.6506156721
S66x8/10-095,-191.6513661813
S66x8/10-100,-191.6515595094
S66x8/10-105,-191.6514204219
S66x8/10-110,-191.6510914666
S66x8/10-125,-191.6497388165
S66x8/10-150,-191.6475812871
S66x8/10-200,-191.64621526
S66x8/11-A,-95.8225649169
S66x8/11-B,-248.4535854882
S66x8/11-090,-344.2825705997
S66x8/11-095,-344.2834128855
S66x8/11-100,-344.2836598753
S66x8/11-105,-344.2835357289
S66x8/11-110,-344.283195395
S66x8/11-125,-344.2808832607
S66x8/11-150,-344.2783690821
S66x8/11-200,-344.2770140769
S66x8/12-A,-95.8228352403
S66x8/12-B,-76.422187915
S66x8/12-090,-172.2565085065
S66x8/12-095,-172.2571869977
S66x8/12-100,-172.2572110031
S66x8/12-105,-172.2568244855
S66x8/12-110,-172.2561950818
S66x8/12-125,-172.2538187207
S66x8/12-150,-172.2504331537
S66x8/12-200,-172.2472323616
S66x8/13-A,-248.453510994
S66x8/13-B,-115.6968194236
S66x8/13-090,-364.158636408
S66x8/13-095,-364.1593969318
S66x8/13-100,-364.159575566
S66x8/13-105,-364.1593914869
S66x8/13-110,-364.158992566
S66x8/13-125,-364.1573223441
S66x8/13-150,-364.1548357684
S66x8/13-200,-364.1523684876
S66x8/14-A,-248.4532733475
S66x8/14-B,-95.822813101
S66x8/14-090,-344.285870186
S66x8/14-095,-344.2868133399
S66x8/14-100,-344.2870808174
S66x8/14-105,-344.2869129627
S66x8/14-110,-344.2864781801
S66x8/14-125,-344.2845344446
S66x8/14-150,-344.2814936279
S66x8/14-200,-344.2784110678
S66x8/15-A,-248.4532699624
S66x8/15-B,-248.4534337813
S66x8/15-090,-496.917828771
S66x8/15-095,-496.9187635048
S66x8/15-100,-496.9190246183
S66x8/15-105,-496.9188501774
S66x8/15-110,-496.9184054004
S66x8/15-125,-496.9163949837
S66x8/15-150,-496.9131791718
S66x8/15-200,-496.909385509
S66x8/16-A,-248.4534636188
S66x8/16-B,-76.4226423155
S66x8/16-090,-324.8838418634
S66x8/16-095,-324.8843990519
S66x8/16-100,-324.8844678522
S66x8/16-105,-324.8842380876
S66x8/16-110,-324.8838339534
S66x8/16-125,-324.8822878826
S66x8/16-150,-324.8800962002
S66x8/16-200,-324.8779652729
S66x8/17-A,-414.7305508193
S66x8/17-B,-414.7306669342
S66x8/17-090,-829.4860877665
S66x8/17-095,-829.4878981987
S66x8/17-100,-829.4882774016
S66x8/17-105,-829.4877219828
S66x8/17-110,-829.4865839831
S66x8/17-125,-829.4817614813
S66x8/17-150,-829.4741880084
S66x8/17-200,-829.4664003918
S66x8/18-A,-76.4226624678
S66x8/18-B,-248.189840967
S66x8/18-090,-324.6231532071
S66x8/18-095,-324.6237188669
S66x8/18-100,-324.6236885055
S66x8/18-105,-324.6232871067
S66x8/18-110,-324.6226691709
S66x8/18-125,-324.620399725
S66x8/18-150,-324.6172159471
S66x8/18-200,-324.6142189904
S66x8/19-A,-115.696381007
S66x8/19-B,-248.1898362544
S66x8/19-090,-363.8969243
S66x8/19-095,-363.8977238163
S66x8/19-100,-363.897850804
S66x8/19-105,-363.897550174
S66x8/19-110,-363.8970720405
S66x8/19-125,-363.8947319713
S66x8/19-150,-363.8914588149
S66x8/19-200,-363.8881818137
S66x8/20-A,-229.0444138733
S66x8/20-B,-229.044411651
S66x8/20-090,-458.1177603478
S66x8/20-095,-458.1196711448
S66x8/20-100,-458.1199642993
S66x8/20-105,-458.1192164718
S66x8/20-110,-458.1178283471
S66x8/20-125,-458.1122829998
S66x8/20-150,-458.1035357581
S66x8/20-200,-458.094541932
S66x8/21-A,-209.166048233
S66x8/21-B,-209.1660512388
S66x8/21-090,-418.3558921954
S66x8/21-095,-418.3575716811
S66x8/21-100,-418.3578934112
S66x8/21-105,-418.3573380058
S66x8/21-110,-418.3562433322
S66x8/21-125,-418.3516914851
S66x8/21-150,-418.3446977809
S66x8/21-200,-418.3368899208
S66x8/22-A,-229.0443537636
S66x8/22-B,-414.730403689
S66x8/22-090,-643.8038306391
S66x8/22-095,-643.8057239375
S66x8/22-100,-643.8060867964
S66x8/22-105,-643.8054469592
S66x8/22-110,-643.8041767464
S66x8/22-125,-643.7988158802
S66x8/22-150,-643.7903218215
S66x8/22-200,-643.7812919358
S66x8/23-A,-209.165971202
S66x8/23-B,-414.7302349454
S66x8/23-090,-623.9244318486
S66x8/23-095,-623.9262502575
S66x8/23-100,-623.9266695389
S66x8/23-105,-623.9261598369
S66x8/23-110,-623.9250564784
S66x8/23-125,-623.9202153206
S66x8/23-150,-623.9123101267
S66x8/23-200,-623.9035740895
S66x8/24-A,-232.1491639532
S66x8/24-B,-232.149128299
S66x8/24-090,-464.2922157869
S66x8/24-095,-464.2964262197
S66x8/24-100,-464.2984994558
S66x8/24-105,-464.299386051
S66x8/24-110,-464.2996792664
S66x8/24-125,-464.2992961543
S66x8/24-150,-464.2985526026
S66x8/24-200,-464.2982618885
S66x8/25-A,-248.1897948112
S66x8/25-B,-248.1898148796
S66x8/25-090,-496.3752927989
S66x8/25-095,-496.3794113482
S66x8/25-100,-496.3814680122
S66x8/25-105,-496.3823039911
S66x8/25-110,-496.3825137369
S66x8/25-125,-496.3818358043
S66x8/25-150,-496.3806033588
S66x8/25-200,-496.3798661823
S66x8/26-A,-414.7311146691
S66x8/26-B,-414.7311146695
S66x8/26-090,-829.4668267992
S66x8/26-095,-829.4707541048
S66x8/26-100,-829.4723536254
S66x8/26-105,-829.4726341914
S66x8/26-110,-829.4722285216
S66x8/26-125,-829.4696382449
S66x8/26-150,-829.466217454
S66x8/26-200,-829.4636058901
S66x8/27-A,-232.1491506467
S66x8/27-B,-248.1898264482
S66x8/27-090,-480.333590038
S66x8/27-095,-480.3380132965
S66x8/27-100,-480.3401334815
S66x8/27-105,-480.3409860478
S66x8/27-110,-480.3412020401
S66x8/27-125,-480.34061623
S66x8/27-150,-480.3395897015
S66x8/27-200,-480.3390661361
S66x8/28-A,-232.1490685085
S66x8/28-B,-414.731689264
S66x8/28-090,-646.878580868
S66x8/28-095,-646.882631583
S66x8/28-100,-646.8845253819
S66x8/28-105,-646.8852221123
S66x8/28-110,-646.8852174529
S66x8/28-125,-646.8839233933
S66x8/28-150,-646.8820508846
S66x8/28-200,-646.8809159683
S66x8/29-A,-248.1897856401
S66x8/29-B,-414.7316781983
S66x8/29-090,-662.9194072349
S66x8/29-095,-662.9248642758
S66x8/29-100,-662.9271285626
S66x8/29-105,-662.9277687898
S66x8/29-110,-662.9275650176
S66x8/29-125,-662.9257360291
S66x8/29-150,-662.9235070176
S66x8/29-200,-662.9220195963
S66x8/30-A,-232.1491454693
S66x8/30-B,-78.549987544
S66x8/30-090,-310.696035819
S66x8/30-095,-310.6980713148
S66x8/30-100,-310.6990666332
S66x8/30-105,-310.6994888262
S66x8/30-110,-310.699603386
S66x8/30-125,-310.6994006498
S66x8/30-150,-310.6991014954
S66x8/30-200,-310.6990505301
S66x8/31-A,-414.7317230095
S66x8/31-B,-78.5499374369
S66x8/31-090,-493.2820600954
S66x8/31-095,-493.283746595
S66x8/31-100,-493.2845042518
S66x8/31-105,-493.2847070827
S66x8/31-110,-493.2846160215
S66x8/31-125,-493.2838164025
S66x8/31-150,-493.2827146792
S66x8/31-200,-493.2819209519
S66x8/32-A,-414.7317532279
S66x8/32-B,-77.3001262255
S66x8/32-090,-492.0329643195
S66x8/32-095,-492.0347288161
S66x8/32-100,-492.0354572969
S66x8/32-105,-492.0356017288
S66x8/32-110,-492.0354201486
S66x8/32-125,-492.0343481369
S66x8/32-150,-492.032948865
S66x8/32-200,-492.0319722922
S66x8/33-A,-248.1898415611
S66x8/33-B,-78.5499724827
S66x8/33-090,-326.7378478293
S66x8/33-095,-326.7396156336
S66x8/33-100,-326.7404864969
S66x8/33-105,-326.7408379913
S66x8/33-110,-326.7409195006
S66x8/33-125,-326.7405787726
S66x8/33-150,-326.7400618081
S66x8/33-200,-326.7398172472
S66x8/34-A,-197.6664453035
S66x8/34-B,-197.6665067323
S66x8/34-090,-395.3323813342
S66x8/34-095,-395.3344675765
S66x8/34-100,-395.3354132247
S66x8/34-105,-395.3357220354
S66x8/34-110,-395.3356765057
S66x8/34-125,-395.3350316762
S66x8/34-150,-395.3340640835
S66x8/34-200,-395.3334045009
S66x8/35-A,-197.6664686217
S66x8/35-B,-197.6705746198
S66x8/35-090,-395.3363325241
S66x8/35-095,-395.3380020506
S66x8/35-100,-395.3387081824
S66x8/35-105,-395.3389046963
S66x8/35-110,-395.3388491838
S66x8/35-125,-395.3383438389
S66x8/35-150,-395.3376894133
S66x8/35-200,-395.3372521057
S66x8/36-A,-197.6705509103
S66x8/36-B,-197.6705481261
S66x8/36-090,-395.3408308702
S66x8/36-095,-395.3416296624
S66x8/36-100,-395.3420001983
S66x8/36-105,-395.3420988386
S66x8/36-110,-395.3420774147
S66x8/36-125,-395.341767853
S66x8/36-150,-395.3413516624
S66x8/36-200,-395.3410372443
S66x8/37-A,-196.4581384331
S66x8/37-B,-197.6704927007
S66x8/37-090,-394.12760919
S66x8/37-095,-394.1292595899
S66x8/37-100,-394.129985511
S66x8/37-105,-394.1302458463
S66x8/37-110,-394.1302585368
S66x8/37-125,-394.1298536463
S66x8/37-150,-394.1292319214
S66x8/37-200,-394.128796017
S66x8/38-A,-196.4580886359
S66x8/38-B,-196.4580968224
S66x8/38-090,-392.9157503614
S66x8/38-095,-392.9173053421
S66x8/38-100,-392.918094551
S66x8/38-105,-392.9183240349
S66x8/38-110,-392.9182574917
S66x8/38-125,-392.9176264866
S66x8/38-150,-392.9168418787
S66x8/38-200,-392.9163308321
S66x8/39-A,-232.1491338415
S66x8/39-B,-196.4580626033
S66x8/39-090,-428.6053728315
S66x8/39-095,-428.6080094934
S66x8/39-100,-428.6092824289
S66x8/39-105,-428.6097659418
S66x8/39-110,-428.6098034766
S66x8/39-125,-428.6090787493
S66x8/39-150,-428.6080306161
S66x8/39-200,-428.607357127
S66x8/40-A,-232.149123711
S66x8/40-B,-197.6704423278
S66x8/40-090,-429.8185043697
S66x8/40-095,-429.8205203051
S66x8/40-100,-429.8214457521
S66x8/40-105,-429.8217902247
S66x8/40-110,-429.8217907436
S66x8/40-125,-429.8212173226
S66x8/40-150,-429.8203844562
S66x8/40-200,-429.8198449023
S66x8/41-A,-414.7317015407
S66x8/41-B,-197.6665415077
S66x8/41-090,-612.3980405771
S66x8/41-095,-612.4004107896
S66x8/41-100,-612.4015020085
S66x8/41-105,-612.4018356146
S66x8/41-110,-612.4016816981
S66x8/41-125,-612.4004281674
S66x8/41-150,-612.3991101708
S66x8/41-200,-612.398381943
S66x8/42-A,-414.7316981979
S66x8/42-B,-196.4580768574
S66x8/42-090,-611.1889795499
S66x8/42-095,-611.1914166381
S66x8/42-100,-611.1924827756
S66x8/42-105,-611.192785682
S66x8/42-110,-611.1926928073
S66x8/42-125,-611.1918004604
S66x8/42-150,-611.1906774193
S66x8/42-200,-611.1899673488
S66x8/43-A,-414.7317205069
S66x8/43-B,-197.6705859906
S66x8/43-090,-612.4021855578
S66x8/43-095,-612.4041164323
S66x8/43-100,-612.4049217854
S66x8/43-105,-612.405103675
S66x8/43-110,-612.4049579544
S66x8/43-125,-612.4040747187
S66x8/43-150,-612.4030058007
S66x8/43-200,-612.4023040523
S66x8/44-A,-78.5499824071
S66x8/44-B,-197.6664465758
S66x8/44-090,-276.2167457516
S66x8/44-095,-276.2176724027
S66x8/44-100,-276.218044264
S66x8/44-105,-276.2180955844
S66x8/44-110,-276.2180198255
S66x8/44-125,-276.2175696693
S66x8/44-150,-276.21702702
S66x8/44-200,-276.2166700885
S66x8/45-A,-77.3001475389
S66x8/45-B,-197.6665370587
S66x8/45-090,-274.9661101254
S66x8/45-095,-274.9673232242
S66x8/45-100,-274.9678351948
S66x8/45-105,-274.9679867511
S66x8/45-110,-274.9679573438
S66x8/45-125,-274.9675331614
S66x8/45-150,-274.9669860984
S66x8/45-200,-274.9666018901
S66x8/46-A,-248.4535487477
S66x8/46-B,-197.6664858552
S66x8/46-090,-446.1212772815
S66x8/46-095,-446.1227009918
S66x8/46-100,-446.1233466979
S66x8/46-105,-446.123509179
S66x8/46-110,-446.1234207386
S66x8/46-125,-446.1225888561
S66x8/46-150,-446.1212548818
S66x8/46-200,-446.1203572873
S66x8/47-A,-232.1491173528
S66x8/47-B,-232.1490302854
S66x8/47-090,-464.297313527
S66x8/47-095,-464.2994593757
S66x8/47-100,-464.3004310983
S66x8/47-105,-464.3007546054
S66x8/47-110,-464.3007600154
S66x8/47-125,-464.3001014292
S66x8/47-150,-464.2991428564
S66x8/47-200,-464.2984786356
S66x8/48-A,-248.1898046089
S66x8/48-B,-248.1897444776
S66x8/48-090,-496.380401239
S66x8/48-095,-496.3821741306
S66x8/48-100,-496.3829579309
S66x8/48-105,-496.3831878871
S66x8/48-110,-496.3831149856
S66x8/48-125,-496.3822541273
S66x8/48-150,-496.3810168603
S66x8/48-200,-496.3800540444
S66x8/49-A,-232.1491143535
S66x8/49-B,-248.1897887452
S66x8/49-090,-480.3387423468
S66x8/49-095,-480.3409036955
S66x8/49-100,-480.3418699041
S66x8/49-105,-480.3421583865
S66x8/49-110,-480.3421188725
S66x8/49-125,-480.341317376
S66x8/49-150,-480.3401757473
S66x8/49-200,-480.3393271075
S66x8/50-A,-232.1491137568
S66x8/50-B,-77.3001676893
S66x8/50-090,-309.4502689399
S66x8/50-095,-309.4518414969
S66x8/50-100,-309.4524612553
S66x8/50-105,-309.4525629843
S66x8/50-110,-309.4524036577
S66x8/50-125,-309.4514982041
S66x8/50-150,-309.4503479284
S66x8/50-200,-309.4495087933
S66x8/51-A,-77.3001555979
S66x8/51-B,-77.3001835023
S66x8/51-090,-154.6019938698
S66x8/51-095,-154.6024497735
S66x8/51-100,-154.6025619547
S66x8/51-105,-154.6024888036
S66x8/51-110,-154.6023220992
S66x8/51-125,-154.6017058713
S66x8/51-150,-154.6009942597
S66x8/51-200,-154.6004931698
S66x8/52-A,-232.1491154493
S66x8/52-B,-229.0463535022
S66x8/52-090,-461.1992122919
S66x8/52-095,-461.2005691124
S66x8/52-100,-461.2010840307
S66x8/52-105,-461.2011122535
S66x8/52-110,-461.2008627149
S66x8/52-125,-461.1995627834
S66x8/52-150,-461.1977330097
S66x8/52-200,-461.1961928779
S66x8/53-A,-232.1491245459
S66x8/53-B,-209.167002941
S66x8/53-090,-441.3201032415
S66x8/53-095,-441.3211183245
S66x8/53-100,-441.321487919
S66x8/53-105,-441.3214719626
S66x8/53-110,-441.3212306203
S66x8/53-125,-441.3200290925
S66x8/53-150,-441.3182943736
S66x8/53-200,-441.3167197279
S66x8/54-A,-232.149101901
S66x8/54-B,-76.4225773226
S66x8/54-090,-308.575119597
S66x8/54-095,-308.5760009096
S66x8/54-100,-308.5762724115
S66x8/54-105,-308.5761914976
S66x8/54-110,-308.5759303208
S66x8/54-125,-308.5748537952
S66x8/54-150,-308.5734635416
S66x8/54-200,-308.5722806606
S66x8/55-A,-232.1490857016
S66x8/55-B,-115.696727239
S66x8/55-090,-347.8487560716
S66x8/55-095,-347.8501238524
S66x8/55-100,-347.8506949721
S66x8/55-105,-347.8507958125
S66x8/55-110,-347.8506210816
S66x8/55-125,-347.8495327692
S66x8/55-150,-347.8479398065
S66x8/55-200,-347.8465581559
S66x8/56-A,-232.1491167342
S66x8/56-B,-95.8227859967
S66x8/56-090,-327.9729292661
S66x8/56-095,-327.9743393491
S66x8/56-100,-327.9749740904
S66x8/56-105,-327.9751623246
S66x8/56-110,-327.9750580443
S66x8/56-125,-327.9742155441
S66x8/56-150,-327.9730828903
S66x8/56-200,-327.9722381752
S66x8/57-A,-232.1490826057
S66x8/57-B,-248.4535180699
S66x8/57-090,-480.6039498321
S66x8/57-095,-480.6066923493
S66x8/57-100,-480.6078873923
S66x8/57-105,-480.6082091456
S66x8/57-110,-480.6080648506
S66x8/57-125,-480.6067844617
S66x8/57-150,-480.6049398955
S66x8/57-200,-480.6034493297
S66x8/58-A,-248.1897700697
S66x8/58-B,-248.1897373807
S66x8/58-090,-496.3826045659
S66x8/58-095,-496.3843743709
S66x8/58-100,-496.3850942026
S66x8/58-105,-496.3848403178
S66x8/58-110,-496.3842732393
S66x8/58-125,-496.3825405259
S66x8/58-150,-496.3809214374
S66x8/58-200,-496.3798973523
S66x8/59-A,-77.3001763104
S66x8/59-B,-76.4226360459
S66x8/59-090,-153.7274091116
S66x8/59-095,-153.7277573751
S66x8/59-100,-153.727751257
S66x8/59-105,-153.7275378955
S66x8/59-110,-153.7272159762
S66x8/59-125,-153.7260922975
S66x8/59-150,-153.7246677824
S66x8/59-200,-153.7234398586
S66x8/60-A,-77.3001233528
S66x8/60-B,-229.0463310676
S66x8/60-090,-306.3527030127
S66x8/60-095,-306.3535367576
S66x8/60-100,-306.3537057366
S66x8/60-105,-306.3534746172
S66x8/60-110,-306.3530223699
S66x8/60-125,-306.3512971674
S66x8/60-150,-306.3490319864
S66x8/60-200,-306.3471880649
S66x8/61-A,-197.6665106151
S66x8/61-B,-229.0464261906
S66x8/61-090,-426.7142383866
S66x8/61-095,-426.7149617983
S66x8/61-100,-426.7152696148
S66x8/61-105,-426.7153257101
S66x8/61-110,-426.7152437385
S66x8/61-125,-426.7146701187
S66x8/61-150,-426.7137224605
S66x8/61-200,-426.7131126053
S66x8/62-A,-197.6665413831
S66x8/62-B,-209.1670381586
S66x8/62-090,-406.8350603433
S66x8/62-095,-406.8361394323
S66x8/62-100,-406.8365794518
S66x8/62-105,-406.8366486518
S66x8/62-110,-406.8365224107
S66x8/62-125,-406.8357238096
S66x8/62-150,-406.8346624462
S66x8/62-200,-406.8338569861
S66x8/63-A,-232.1491455045
S66x8/63-B,-229.0463659744
S66x8/63-090,-461.1958076228
S66x8/63-095,-461.1979031565
S66x8/63-100,-461.1988019004
S66x8/63-105,-461.1990546297
S66x8/63-110,-461.198944926
S66x8/63-125,-461.1979860543
S66x8/63-150,-461.1966754407
S66x8/63-200,-461.1957898124
S66x8/64-A,-248.4535422549
S66x8/64-B,-78.5499829218
S66x8/64-090,-327.0055306258
S66x8/64-095,-327.0063919701
S66x8/64-100,-327.0067177212
S66x8/64-105,-327.0067186459
S66x8/64-110,-327.0065454264
S66x8/64-125,-327.0057260891
S66x8/64-150,-327.0045699374
S66x8/64-200,-327.0037063887
S66x8/65-A,-248.1898420816
S66x8/65-B,-77.2997575137
S66x8/65-090,-325.4956654233
S66x8/65-095,-325.4961917305
S66x8/65-100,-325.496267111
S66x8/65-105,-325.496066785
S66x8/65-110,-325.4957090811
S66x8/65-125,-325.494342792
S66x8/65-150,-325.4924847232
S66x8/65-200,-325.4908572854
S66x8/66-A,-95.8227928208
S66x8/66-B,-248.1898288467
S66x8/66-090,-344.0157940567
S66x8/66-095,-344.016781173
S66x8/66-100,-344.0171888153
S66x8/66-105,-344.0172323763
S66x8/66-110,-344.0170607377
S66x8/66-125,-344.016072574
