system,mPWPW/def2-QZVP/ORCA
S66x8/47-200,-464.6219449183
S66x8/48-A,-248.3582762547
S66x8/48-B,-248.3582725421
S66x8/48-090,-496.7125841868
S66x8/48-095,-496.7147755027
S66x8/48-100,-496.7160400591
S66x8/48-105,-496.7167733053
S66x8/48-110,-496.7171792303
S66x8/48-125,-496.7175434773
S66x8/48-150,-496.7174202699
S66x8/48-200,-496.7169151257
S66x8/49-A,-232.3108969306
S66x8/49-B,-248.3582506134
S66x8/49-090,-480.6643713217
S66x8/49-095,-480.6669964409
S66x8/49-100,-480.6684570693
S66x8/49-105,-480.6692599725
S66x8/49-110,-480.669713174
S66x8/49-125,-480.670096494
S66x8/49-150,-480.669953705
S66x8/49-200,-480.6694830149
S66x8/50-A,-232.3108836101
S66x8/50-B,-77.3515320986
S66x8/50-090,-309.6604320452
S66x8/50-095,-309.6622417721
S66x8/50-100,-309.6631795027
S66x8/50-105,-309.6636211248
S66x8/50-110,-309.6638081503
S66x8/50-125,-309.6637692579
S66x8/50-150,-309.6633288523
S66x8/50-200,-309.662707097
S66x8/51-A,-77.3514817033
S66x8/51-B,-77.3515324107
S66x8/51-090,-154.7034963526
S66x8/51-095,-154.7040442125
S66x8/51-100,-154.7042824639
S66x8/51-105,-154.7043475262
S66x8/51-110,-154.7043177737
S66x8/51-125,-154.7040459111
S66x8/51-150,-154.7035998352
S66x8/51-200,-154.7031568286
S66x8/52-A,-232.3108788094
S66x8/52-B,-229.1790652554
S66x8/52-090,-461.4899664041
S66x8/52-095,-461.49160202
S66x8/52-100,-461.4924309931
S66x8/52-105,-461.4927972792
S66x8/52-110,-461.4928938748
S66x8/52-125,-461.492522698
S66x8/52-150,-461.4916562732
S66x8/52-200,-461.4906010008
S66x8/53-A,-232.3108675754
S66x8/53-B,-209.2969593047
S66x8/53-090,-441.6082738855
S66x8/53-095,-441.6095357841
S66x8/53-100,-441.6102088543
S66x8/53-105,-441.6105131281
S66x8/53-110,-441.6105965113
S66x8/53-125,-441.6102999058
S66x8/53-150,-441.6094937197
S66x8/53-200,-441.6084109167
S66x8/54-A,-232.3108883163
S66x8/54-B,-76.4623928903
S66x8/54-090,-308.7743899
S66x8/54-095,-308.7754506136
S66x8/54-100,-308.7759459025
S66x8/54-105,-308.7761106303
S66x8/54-110,-308.7760946784
S66x8/54-125,-308.7756692718
S66x8/54-150,-308.7748688078
S66x8/54-200,-308.7738826502
S66x8/55-A,-232.3108895987
S66x8/55-B,-115.7655947893
S66x8/55-090,-348.0756645757
S66x8/55-095,-348.077278799
S66x8/55-100,-348.0781470061
S66x8/55-105,-348.0785978303
S66x8/55-110,-348.0787915069
S66x8/55-125,-348.0786795098
S66x8/55-150,-348.078066868
S66x8/55-200,-348.0771223807
S66x8/56-A,-232.3108892801
S66x8/56-B,-95.888837774
S66x8/56-090,-328.1967403843
S66x8/56-095,-328.1985181168
S66x8/56-100,-328.1995579769
S66x8/56-105,-328.2002020116
S66x8/56-110,-328.200559294
S66x8/56-125,-328.2008195978
S66x8/56-150,-328.200598966
S66x8/56-200,-328.2000617423
S66x8/57-A,-232.3109004025
S66x8/57-B,-248.6116814671
S66x8/57-090,-480.918203666
S66x8/57-095,-480.9214815953
S66x8/57-100,-480.9232691242
S66x8/57-105,-480.9241857653
S66x8/57-110,-480.9246386714
S66x8/57-125,-480.9248127958
S66x8/57-150,-480.9242609715
S66x8/57-200,-480.9232965659
S66x8/58-A,-248.3582695546
S66x8/58-B,-248.3582430545
S66x8/58-090,-496.7161618712
S66x8/58-095,-496.7181067125
S66x8/58-100,-496.7192261294
S66x8/58-105,-496.7194162316
S66x8/58-110,-496.7192767956
S66x8/58-125,-496.7185191339
S66x8/58-150,-496.717620429
S66x8/58-200,-496.7168362668
S66x8/59-A,-77.3515740054
S66x8/59-B,-76.4624485643
S66x8/59-090,-153.816720929
S66x8/59-095,-153.8171682916
S66x8/59-100,-153.817291813
S66x8/59-105,-153.8172249047
S66x8/59-110,-153.8170534916
S66x8/59-125,-153.8163401705
S66x8/59-150,-153.8153138352
S66x8/59-200,-153.814226098
S66x8/60-A,-77.3514990259
S66x8/60-B,-229.1790501141
S66x8/60-090,-306.5348335494
S66x8/60-095,-306.5356928337
S66x8/60-100,-306.5359495841
S66x8/60-105,-306.5358547594
S66x8/60-110,-306.5355692922
S66x8/60-125,-306.5343722985
S66x8/60-150,-306.5327777406
S66x8/60-200,-306.5313309583
S66x8/61-A,-197.8094383418
S66x8/61-B,-229.1791014944
S66x8/61-090,-426.9846137511
S66x8/61-095,-426.9859298132
S66x8/61-100,-426.986823976
S66x8/61-105,-426.98744059
S66x8/61-110,-426.9878761878
S66x8/61-125,-426.9885969624
S66x8/61-150,-426.9888974347
S66x8/61-200,-426.9886691383
S66x8/62-A,-197.8094760169
S66x8/62-B,-209.296924554
S66x8/62-090,-407.1021178733
S66x8/62-095,-407.1038300792
S66x8/62-100,-407.1049383595
S66x8/62-105,-407.1056393275
S66x8/62-110,-407.1060920143
S66x8/62-125,-407.1067555533
S66x8/62-150,-407.1069343773
S66x8/62-200,-407.1066177141
S66x8/63-A,-232.3108738345
S66x8/63-B,-229.1790815951
S66x8/63-090,-461.48482737
S66x8/63-095,-461.4874902829
S66x8/63-100,-461.4890236412
S66x8/63-105,-461.4899090064
S66x8/63-110,-461.4903837588
S66x8/63-125,-461.4908415589
S66x8/63-150,-461.4907107085
S66x8/63-200,-461.4902020065
S66x8/64-A,-248.6115955391
S66x8/64-B,-78.6072780527
S66x8/64-090,-327.2167460165
S66x8/64-095,-327.2180333361
S66x8/64-100,-327.2187968111
S66x8/64-105,-327.2192396263
S66x8/64-110,-327.2194933275
S66x8/64-125,-327.219705023
S66x8/64-150,-327.2194989777
S66x8/64-200,-327.2189429681
S66x8/65-A,-248.3582557008
S66x8/65-B,-77.3512267113
S66x8/65-090,-325.7141023864
S66x8/65-095,-325.7146275007
S66x8/65-100,-325.7147491888
S66x8/65-105,-325.7146274116
S66x8/65-110,-325.7143696043
S66x8/65-125,-325.7133497586
S66x8/65-150,-325.7119508379
S66x8/65-200,-325.7105885881
S66x8/66-A,-95.8887634951
S66x8/66-B,-248.3582489656
S66x8/66-090,-344.2464348847
S66x8/66-095,-344.2476521462
S66x8/66-100,-344.2483577714
S66x8/66-105,-344.2487434328
S66x8/66-110,-344.24892552
S66x8/66-125,-344.2489124622
