system,B2GPPLYP/def2-QZVP/ORCA
S22x5/12-B,-40.4861465164
S22x5/12-0.9,-272.5936147132
S22x5/12-1.0,-272.5946875493
S22x5/12-1.2,-272.5946713277
S22x5/12-1.5,-272.5941175296
S22x5/12-2.0,-272.5938391694
S22x5/13-A,-232.1075762719
S22x5/13-B,-232.1075746043
S22x5/13-0.9,-464.2158365037
S22x5/13-1.0,-464.2174104673
S22x5/13-1.2,-464.2173700577
S22x5/13-1.5,-464.2162687759
S22x5/13-2.0,-464.2155224282
S22x5/14-A,-232.1075812727
S22x5/14-B,-232.1075812732
S22x5/14-0.9,-464.209860715
S22x5/14-1.0,-464.2158841753
S22x5/14-1.2,-464.216432106
S22x5/14-1.5,-464.2154315819
S22x5/14-2.0,-464.2151857563
S22x5/15-A,-232.1075227892
S22x5/15-B,-363.6169766604
S22x5/15-0.9,-595.7287487066
S22x5/15-1.0,-595.7307792507
S22x5/15-1.2,-595.7303523592
S22x5/15-1.5,-595.7279677171
S22x5/15-2.0,-595.7259328995
S22x5/16-A,-232.107554466
S22x5/16-B,-363.6169650766
S22x5/16-0.9,-595.7198295557
S22x5/16-1.0,-595.7269860421
S22x5/16-1.2,-595.7271518476
S22x5/16-1.5,-595.7250697225
S22x5/16-2.0,-595.7244400845
S22x5/17-A,-264.1816576059
S22x5/17-B,-264.1816488665
S22x5/17-0.9,-528.3603543443
S22x5/17-1.0,-528.3665993951
S22x5/17-1.2,-528.366244906
S22x5/17-1.5,-528.3642563939
S22x5/17-2.0,-528.3635032781
S22x5/18-A,-323.3698444884
S22x5/18-B,-303.4955936228
S22x5/18-0.9,-626.8886670039
S22x5/18-1.0,-626.8910203535
S22x5/18-1.2,-626.8866270492
S22x5/18-1.5,-626.8777389921
S22x5/18-2.0,-626.8702961222
S22x5/19-A,-307.3182820697
S22x5/19-B,-307.3183127789
S22x5/19-0.9,-614.6444840045
S22x5/19-1.0,-614.6457362093
S22x5/19-1.2,-614.6442392751
S22x5/19-1.5,-614.64102104
S22x5/19-2.0,-614.6383819655
S22x5/20-A,-414.6645672064
S22x5/20-B,-414.6645672064
S22x5/20-0.9,-829.3324733868
S22x5/20-1.0,-829.3396283563
S22x5/20-1.2,-829.3365906965
S22x5/20-1.5,-829.3321747533
S22x5/20-2.0,-829.330128123
S22x5/21-A,-414.6637725364
S22x5/21-B,-414.6637725366
S22x5/21-0.9,-829.3566392167
S22x5/21-1.0,-829.3591961573
S22x5/21-1.2,-829.3539138537
S22x5/21-1.5,-829.3434848093
S22x5/21-2.0,-829.3344691369
S22x5/22-A,-232.1075428231
S22x5/22-B,-93.3853436807
S22x5/22-0.9,-325.4977709815
S22x5/22-1.0,-325.4989068923
S22x5/22-1.2,-325.4979925349
S22x5/22-1.5,-325.4958335445
S22x5/22-2.0,-325.4941447546
S66x8/01-A,-76.4133755192
S66x8/01-B,-76.4133536459
S66x8/01-090,-152.8344472726
S66x8/01-095,-152.8348552783
S66x8/01-100,-152.8347988505
S66x8/01-105,-152.8344661728
S66x8/01-110,-152.8339824473
S66x8/01-125,-152.8322943187
S66x8/01-150,-152.8300637441
S66x8/01-200,-152.828067576
S66x8/02-A,-76.4133809062
S66x8/02-B,-115.6801739976
S66x8/02-090,-192.1018360375
S66x8/02-095,-192.1023425333
S66x8/02-100,-192.1023243141
S66x8/02-105,-192.1019894481
S66x8/02-110,-192.1014773641
S66x8/02-125,-192.0996354507
S66x8/02-150,-192.0971557602
S66x8/02-200,-192.0949389439
S66x8/03-A,-76.413386717
S66x8/03-B,-95.8083197499
S66x8/03-090,-172.2320980502
S66x8/03-095,-172.2326276418
S66x8/03-100,-172.2325778729
S66x8/03-105,-172.2321684398
S66x8/03-110,-172.2315508708
S66x8/03-125,-172.2293045183
S66x8/03-150,-172.2261746709
S66x8/03-200,-172.2232702471
S66x8/04-A,-76.4133861523
S66x8/04-B,-248.4141097974
S66x8/04-090,-324.8391540765
S66x8/04-095,-324.8397766919
S66x8/04-100,-324.8397750916
S66x8/04-105,-324.8393825118
S66x8/04-110,-324.8387610914
S66x8/04-125,-324.8364348586
S66x8/04-150,-324.8330834971
S66x8/04-200,-324.8294925306
S66x8/05-A,-115.6800214562
S66x8/05-B,-115.6801800094
S66x8/05-090,-231.3684792418
S66x8/05-095,-231.3690964266
S66x8/05-100,-231.3691572621
S66x8/05-105,-231.3688767896
S66x8/05-110,-231.3684002077
S66x8/05-125,-231.3665903848
S66x8/05-150,-231.3640660929
S66x8/05-200,-231.3617580718
S66x8/06-A,-115.6797493798
S66x8/06-B,-95.8083188306
S66x8/06-090,-211.498636949
S66x8/06-095,-211.499438846
S66x8/06-100,-211.4995580086
S66x8/06-105,-211.4992473646
S66x8/06-110,-211.4986814979
S66x8/06-125,-211.4964264935
S66x8/06-150,-211.4931282062
S66x8/06-200,-211.4900020811
S66x8/07-A,-115.6798474776
S66x8/07-B,-248.4141056496
S66x8/07-090,-364.1054806076
S66x8/07-095,-364.1062718524
S66x8/07-100,-364.1063911184
S66x8/07-105,-364.1060824371
S66x8/07-110,-364.1055154136
S66x8/07-125,-364.1032358012
S66x8/07-150,-364.0993803717
S66x8/07-200,-364.0956226598
S66x8/08-A,-115.6800570705
S66x8/08-B,-76.413357226
S66x8/08-090,-192.1010347515
S66x8/08-095,-192.1015455011
S66x8/08-100,-192.1015619166
S66x8/08-105,-192.1012796272
S66x8/08-110,-192.1008289091
S66x8/08-125,-192.0991756062
S66x8/08-150,-192.09692205
S66x8/08-200,-192.0948811454
S66x8/09-A,-95.8082465109
S66x8/09-B,-115.6801882305
S66x8/09-090,-211.4920759339
S66x8/09-095,-211.4925024684
S66x8/09-100,-211.4925558738
S66x8/09-105,-211.492393907
S66x8/09-110,-211.4921218421
S66x8/09-125,-211.4911507523
S66x8/09-150,-211.4899593706
S66x8/09-200,-211.489030061
S66x8/10-A,-95.8082257347
S66x8/10-B,-95.8082870361
S66x8/10-090,-191.6211217202
S66x8/10-095,-191.6218585099
S66x8/10-100,-191.6220481108
S66x8/10-105,-191.6219127541
S66x8/10-110,-191.6215931357
S66x8/10-125,-191.6202945906
S66x8/10-150,-191.6182828078
S66x8/10-200,-191.6170879965
S66x8/11-A,-95.808015346
S66x8/11-B,-248.4142406048
S66x8/11-090,-344.2283370172
S66x8/11-095,-344.229148942
S66x8/11-100,-344.2293779361
S66x8/11-105,-344.229245223
S66x8/11-110,-344.2289032623
S66x8/11-125,-344.2266440726
S66x8/11-150,-344.224285166
S66x8/11-200,-344.2230972294
S66x8/12-A,-95.808290304
S66x8/12-B,-76.4128821879
S66x8/12-090,-172.2321642503
S66x8/12-095,-172.2328433466
S66x8/12-100,-172.2328740551
S66x8/12-105,-172.232499292
S66x8/12-110,-172.2318861738
S66x8/12-125,-172.2295743366
S66x8/12-150,-172.2263102447
S66x8/12-200,-172.223291966
S66x8/13-A,-248.4141639551
S66x8/13-B,-115.6802001566
S66x8/13-090,-364.1022681164
S66x8/13-095,-364.103015204
S66x8/13-100,-364.1031890046
S66x8/13-105,-364.1030065934
S66x8/13-110,-364.1026141166
S66x8/13-125,-364.1009849752
S66x8/13-150,-364.0985992238
S66x8/13-200,-364.0963073672
S66x8/14-A,-248.4139246769
S66x8/14-B,-95.8082663605
S66x8/14-090,-344.2316404557
S66x8/14-095,-344.2325582125
S66x8/14-100,-344.2328099452
S66x8/14-105,-344.2326343603
S66x8/14-110,-344.2321980662
S66x8/14-125,-344.2302776551
S66x8/14-150,-344.2273220347
S66x8/14-200,-344.2244089933
S66x8/15-A,-248.4139104339
S66x8/15-B,-248.4140820595
S66x8/15-090,-496.8387864866
S66x8/15-095,-496.839696686
S66x8/15-100,-496.8399411339
S66x8/15-105,-496.8397566357
S66x8/15-110,-496.8393069536
S66x8/15-125,-496.8373092269
S66x8/15-150,-496.8341639516
S66x8/15-200,-496.8305610451
S66x8/16-A,-248.4141063507
S66x8/16-B,-76.4133612676
S66x8/16-090,-324.8347140891
S66x8/16-095,-324.8352809742
S66x8/16-100,-324.8353642778
S66x8/16-105,-324.8351524823
S66x8/16-110,-324.8347695544
S66x8/16-125,-324.8332950413
S66x8/16-150,-324.8312246719
S66x8/16-200,-324.8292579835
S66x8/17-A,-414.6639934375
S66x8/17-B,-414.6641180097
S66x8/17-090,-829.3524957976
S66x8/17-095,-829.3542733993
S66x8/17-100,-829.354631866
S66x8/17-105,-829.3540658609
S66x8/17-110,-829.3529254656
S66x8/17-125,-829.3481297902
S66x8/17-150,-829.3406635442
S66x8/17-200,-829.3330981051
S66x8/18-A,-76.4133827881
S66x8/18-B,-248.1465355343
S66x8/18-090,-324.5700550179
S66x8/18-095,-324.5706329532
S66x8/18-100,-324.57061827
S66x8/18-105,-324.570235439
S66x8/18-110,-324.569638571
S66x8/18-125,-324.5674386007
S66x8/18-150,-324.5643694835
S66x8/18-200,-324.5615362222
S66x8/19-A,-115.6797647173
S66x8/19-B,-248.1465302553
S66x8/19-090,-363.8365633922
S66x8/19-095,-363.8373608373
S66x8/19-100,-363.8374911669
S66x8/19-105,-363.8371982663
S66x8/19-110,-363.8367419333
S66x8/19-125,-363.8344420151
S66x8/19-150,-363.8312807812
S66x8/19-200,-363.8281668388
S66x8/20-A,-229.0099761183
S66x8/20-B,-229.0099741731
S66x8/20-090,-458.0482156682
S66x8/20-095,-458.0501071928
S66x8/20-100,-458.0503930542
S66x8/20-105,-458.0496464499
S66x8/20-110,-458.0482665295
S66x8/20-125,-458.042786364
S66x8/20-150,-458.0341722418
S66x8/20-200,-458.0254185474
S66x8/21-A,-209.1334564952
S66x8/21-B,-209.1334596835
S66x8/21-090,-418.2901586678
S66x8/21-095,-418.2918164876
S66x8/21-100,-418.2921271951
S66x8/21-105,-418.2915696431
S66x8/21-110,-418.2904799086
S66x8/21-125,-418.2859713304
S66x8/21-150,-418.2790926453
S66x8/21-200,-418.2715375327
S66x8/22-A,-229.0099076201
S66x8/22-B,-414.6638571839
S66x8/22-090,-643.7022698451
S66x8/22-095,-643.7041345391
S66x8/22-100,-643.7044803832
S66x8/22-105,-643.7038330166
S66x8/22-110,-643.7025639245
S66x8/22-125,-643.6972402999
S66x8/22-150,-643.6888625363
S66x8/22-200,-643.680064497
S66x8/23-A,-209.1333853237
S66x8/23-B,-414.6636838878
S66x8/23-090,-623.824787331
S66x8/23-095,-623.8265729603
S66x8/23-100,-623.826971035
S66x8/23-105,-623.8264497916
S66x8/23-110,-623.8253431319
S66x8/23-125,-623.8205265632
S66x8/23-150,-623.8127222139
S66x8/23-200,-623.8042093379
S66x8/24-A,-232.1076224811
S66x8/24-B,-232.1075856553
S66x8/24-090,-464.2103256291
S66x8/24-095,-464.2141497265
S66x8/24-100,-464.2159378792
S66x8/24-105,-464.2166204417
S66x8/24-110,-464.2167633939
S66x8/24-125,-464.2161604946
S66x8/24-150,-464.2153938818
S66x8/24-200,-464.2151818239
S66x8/25-A,-248.1464935462
S66x8/25-B,-248.1465122991
S66x8/25-090,-496.2899341431
S66x8/25-095,-496.2936732605
S66x8/25-100,-496.2954398336
S66x8/25-105,-496.2960654951
S66x8/25-110,-496.296118949
S66x8/25-125,-496.2952034059
S66x8/25-150,-496.2939242645
S66x8/25-200,-496.2932665272
S66x8/26-A,-414.664567352
S66x8/26-B,-414.6645673521
S66x8/26-090,-829.3346894924
S66x8/26-095,-829.3382833806
S66x8/26-100,-829.3396286349
S66x8/26-105,-829.3397171863
S66x8/26-110,-829.3391658492
S66x8/26-125,-829.3363621378
S66x8/26-150,-829.332931535
S66x8/26-200,-829.3304907868
S66x8/27-A,-232.1076084911
S66x8/27-B,-248.1465240163
S66x8/27-090,-480.2499897141
S66x8/27-095,-480.2540105063
S66x8/27-100,-480.2558340899
S66x8/27-105,-480.25647453
S66x8/27-110,-480.2565375382
S66x8/27-125,-480.2557290823
S66x8/27-150,-480.2546705155
S66x8/27-200,-480.2542266196
S66x8/28-A,-232.1075256611
S66x8/28-B,-414.6651388719
S66x8/28-090,-646.7717309502
S66x8/28-095,-646.7753971311
S66x8/28-100,-646.776998475
S66x8/28-105,-646.7774681371
S66x8/28-110,-646.7772998547
S66x8/28-125,-646.7757468626
S66x8/28-150,-646.7738326906
S66x8/28-200,-646.7728147698
S66x8/29-A,-248.1464829204
S66x8/29-B,-414.6651342566
S66x8/29-090,-662.8108638355
S66x8/29-095,-662.8158615002
S66x8/29-100,-662.817792341
S66x8/29-105,-662.8181894954
S66x8/29-110,-662.8178228007
S66x8/29-125,-662.8157658246
S66x8/29-150,-662.8135374147
S66x8/29-200,-662.8121761963
S66x8/30-A,-232.1076033638
S66x8/30-B,-78.5360725517
S66x8/30-090,-310.6409130524
S66x8/30-095,-310.6427782914
S66x8/30-100,-310.6436522305
S66x8/30-105,-310.6439903487
S66x8/30-110,-310.6440518956
S66x8/30-125,-310.6437953911
S66x8/30-150,-310.6435423256
S66x8/30-200,-310.643586282
S66x8/31-A,-414.665172407
S66x8/31-B,-78.5360167686
S66x8/31-090,-493.2017707258
S66x8/31-095,-493.2033188002
S66x8/31-100,-493.203973328
S66x8/31-105,-493.2041083033
S66x8/31-110,-493.2039736156
S66x8/31-125,-493.2031341485
S66x8/31-150,-493.2020970084
S66x8/31-200,-493.2014346346
S66x8/32-A,-414.6652056573
S66x8/32-B,-77.2863521422
S66x8/32-090,-491.9527835049
S66x8/32-095,-491.9544154038
S66x8/32-100,-491.9550471368
S66x8/32-105,-491.9551237403
S66x8/32-110,-491.9549019044
S66x8/32-125,-491.9537969704
S66x8/32-150,-491.952472459
S66x8/32-200,-491.9516301721
S66x8/33-A,-248.1465397025
S66x8/33-B,-78.5360609979
S66x8/33-090,-326.6809434219
S66x8/33-095,-326.6825534921
S66x8/33-100,-326.6833103205
S66x8/33-105,-326.6835825847
S66x8/33-110,-326.6836083187
S66x8/33-125,-326.6832068582
S66x8/33-150,-326.6827301336
S66x8/33-200,-326.6825865448
S66x8/34-A,-197.633695277
S66x8/34-B,-197.6337666604
S66x8/34-090,-395.2667886809
S66x8/34-095,-395.2687407985
S66x8/34-100,-395.2696002881
S66x8/34-105,-395.2698607031
S66x8/34-110,-395.2697968402
S66x8/34-125,-395.2691559714
S66x8/34-150,-395.2683218638
S66x8/34-200,-395.26787965
S66x8/35-A,-197.6337225538
S66x8/35-B,-197.6382833194
S66x8/35-090,-395.2711317376
S66x8/35-095,-395.2727162385
S66x8/35-100,-395.2733721791
S66x8/35-105,-395.2735475673
S66x8/35-110,-395.2734911513
S66x8/35-125,-395.2730233049
S66x8/35-150,-395.2724852714
S66x8/35-200,-395.2722041603
S66x8/36-A,-197.6382600327
S66x8/36-B,-197.6382502126
S66x8/36-090,-395.275971086
S66x8/36-095,-395.2767525592
S66x8/36-100,-395.277114632
S66x8/36-105,-395.277220091
S66x8/36-110,-395.2772101915
S66x8/36-125,-395.2769571296
S66x8/36-150,-395.2766457677
S66x8/36-200,-395.2764583328
S66x8/37-A,-196.4256944325
S66x8/37-B,-197.6382220009
S66x8/37-090,-394.0627300504
S66x8/37-095,-394.0642943439
S66x8/37-100,-394.0649734587
S66x8/37-105,-394.0652101101
S66x8/37-110,-394.0652168434
S66x8/37-125,-394.0648418778
S66x8/37-150,-394.0643247243
S66x8/37-200,-394.0640361027
S66x8/38-A,-196.4256580566
S66x8/38-B,-196.4256641046
S66x8/38-090,-392.8507421138
S66x8/38-095,-392.8522093107
S66x8/38-100,-392.8529346592
S66x8/38-105,-392.8531313625
S66x8/38-110,-392.853054737
S66x8/38-125,-392.8524509567
S66x8/38-150,-392.8517851362
S66x8/38-200,-392.8514453639
S66x8/39-A,-232.1075913929
S66x8/39-B,-196.42563438
S66x8/39-090,-428.5319128468
S66x8/39-095,-428.5343319595
S66x8/39-100,-428.5354440458
S66x8/39-105,-428.5358071452
S66x8/39-110,-428.5357622695
S66x8/39-125,-428.5349412405
S66x8/39-150,-428.5339295705
S66x8/39-200,-428.5333778656
S66x8/40-A,-232.107581022
S66x8/40-B,-197.6381411879
S66x8/40-090,-429.7449509153
S66x8/40-095,-429.7468120423
S66x8/40-100,-429.7476301543
S66x8/40-105,-429.7478963388
S66x8/40-110,-429.7478504394
S66x8/40-125,-429.7472261865
S66x8/40-150,-429.746440124
S66x8/40-200,-429.7460083404
S66x8/41-A,-414.6651455288
S66x8/41-B,-197.6337955022
S66x8/41-090,-612.2990964804
S66x8/41-095,-612.3012611231
S66x8/41-100,-612.3021944911
S66x8/41-105,-612.3024155766
S66x8/41-110,-612.3021803364
S66x8/41-125,-612.3008603468
S66x8/41-150,-612.299646314
S66x8/41-200,-612.2990838122
S66x8/42-A,-414.6651415985
S66x8/42-B,-196.4256415488
S66x8/42-090,-611.0903206506
S66x8/42-095,-611.0925514647
S66x8/42-100,-611.0934686559
S66x8/42-105,-611.0936721428
S66x8/42-110,-611.0935184851
S66x8/42-125,-611.0925665948
S66x8/42-150,-611.0915193793
S66x8/42-200,-611.0909681384
S66x8/43-A,-414.6651683759
S66x8/43-B,-197.6383038004
S66x8/43-090,-612.3034808644
S66x8/43-095,-612.3052685385
S66x8/43-100,-612.3059704654
S66x8/43-105,-612.306086177
S66x8/43-110,-612.3059047044
S66x8/43-125,-612.3050007866
S66x8/43-150,-612.3040189739
S66x8/43-200,-612.3034603677
S66x8/44-A,-78.5360670754
S66x8/44-B,-197.6336938326
S66x8/44-090,-276.1698343848
S66x8/44-095,-276.1707068803
S66x8/44-100,-276.1710491507
S66x8/44-105,-276.1710950272
S66x8/44-110,-276.1710217668
S66x8/44-125,-276.1706191011
S66x8/44-150,-276.1701965393
S66x8/44-200,-276.1699910486
S66x8/45-A,-77.2863728247
S66x8/45-B,-197.63379843
S66x8/45-090,-274.9194443018
S66x8/45-095,-274.9205938249
S66x8/45-100,-274.9210723793
S66x8/45-105,-274.9212079488
S66x8/45-110,-274.9211749353
S66x8/45-125,-274.9207919122
S66x8/45-150,-274.9203541577
S66x8/45-200,-274.9200933405
S66x8/46-A,-248.4141931452
S66x8/46-B,-197.6337447769
S66x8/46-090,-446.0491028425
S66x8/46-095,-446.0504098392
S66x8/46-100,-446.0509743849
S66x8/46-105,-446.0510872279
S66x8/46-110,-446.0509665645
S66x8/46-125,-446.0501216689
S66x8/46-150,-446.0489102437
S66x8/46-200,-446.0482332242
S66x8/47-A,-232.1075747467
S66x8/47-B,-232.1074861833
S66x8/47-090,-464.2146116432
S66x8/47-095,-464.2165823377
S66x8/47-100,-464.2174299743
S66x8/47-105,-464.2176685205
S66x8/47-110,-464.2176120299
S66x8/47-125,-464.216882447
S66x8/47-150,-464.2159553316
S66x8/47-200,-464.215389281
S66x8/48-A,-248.1465015177
S66x8/48-B,-248.1464426269
S66x8/48-090,-496.2940799194
S66x8/48-095,-496.2957086676
S66x8/48-100,-496.2963887965
S66x8/48-105,-496.2965429511
S66x8/48-110,-496.2964168175
S66x8/48-125,-496.2954939557
S66x8/48-150,-496.2942877512
S66x8/48-200,-496.2934373916
S66x8/49-A,-232.1075715677
S66x8/49-B,-248.14648782
S66x8/49-090,-480.2542687614
S66x8/49-095,-480.2562582887
S66x8/49-100,-480.2570995776
S66x8/49-105,-480.2573040267
S66x8/49-110,-480.25720389
S66x8/49-125,-480.2563342592
S66x8/49-150,-480.2552258534
S66x8/49-200,-480.2544789686
S66x8/50-A,-232.1075713165
S66x8/50-B,-77.2863873815
S66x8/50-090,-309.3950509705
S66x8/50-095,-309.3965176766
S66x8/50-100,-309.3970632544
S66x8/50-105,-309.397116591
S66x8/50-110,-309.3969267282
S66x8/50-125,-309.3960042893
S66x8/50-150,-309.3949208938
S66x8/50-200,-309.3941859209
S66x8/51-A,-77.2863799372
S66x8/51-B,-77.2864023719
S66x8/51-090,-154.5741495765
S66x8/51-095,-154.5746106022
S66x8/51-100,-154.5747331574
S66x8/51-105,-154.5746738259
S66x8/51-110,-154.5745235566
S66x8/51-125,-154.5739659688
S66x8/51-150,-154.57334674
S66x8/51-200,-154.5729327176
S66x8/52-A,-232.1075731517
S66x8/52-B,-229.0119362936
S66x8/52-090,-461.1233559111
S66x8/52-095,-461.1246187346
S66x8/52-100,-461.1250651076
S66x8/52-105,-461.1250427601
S66x8/52-110,-461.1247582363
S66x8/52-125,-461.1234194782
S66x8/52-150,-461.1216300638
S66x8/52-200,-461.1202059866
S66x8/53-A,-232.1075826351
S66x8/53-B,-209.1344180773
S66x8/53-090,-441.245878017
S66x8/53-095,-441.2468394185
S66x8/53-100,-441.2471710257
S66x8/53-105,-441.2471287654
S66x8/53-110,-441.2468720214
S66x8/53-125,-441.2456718537
S66x8/53-150,-441.2440040649
S66x8/53-200,-441.2425585432
S66x8/54-A,-232.1075592046
S66x8/54-B,-76.413304307
S66x8/54-090,-308.5241416273
S66x8/54-095,-308.5249751454
S66x8/54-100,-308.5252150689
S66x8/54-105,-308.5251174766
S66x8/54-110,-308.5248500838
S66x8/54-125,-308.5237972
S66x8/54-150,-308.5224987306
S66x8/54-200,-308.5214483068
S66x8/55-A,-232.1075427733
S66x8/55-B,-115.6801163578
S66x8/55-090,-347.7906402226
S66x8/55-095,-347.7919139533
S66x8/55-100,-347.7924158869
S66x8/55-105,-347.7924664744
S66x8/55-110,-347.7922599181
S66x8/55-125,-347.7911432849
S66x8/55-150,-347.7896135166
S66x8/55-200,-347.788375651
S66x8/56-A,-232.1075741772
S66x8/56-B,-95.8082489178
S66x8/56-090,-327.9169495423
S66x8/56-095,-327.9182520507
S66x8/56-100,-327.9188086027
S66x8/56-105,-327.9189362097
S66x8/56-110,-327.9187935352
S66x8/56-125,-327.9179240848
S66x8/56-150,-327.9168611302
S66x8/56-200,-327.9161431724
S66x8/57-A,-232.1075393664
S66x8/57-B,-248.4141614613
S66x8/57-090,-480.5235128921
S66x8/57-095,-480.5260502435
S66x8/57-100,-480.5270922586
S66x8/57-105,-480.5273050854
S66x8/57-110,-480.5270878881
S66x8/57-125,-480.5257122485
S66x8/57-150,-480.5238989934
S66x8/57-200,-480.5225358571
S66x8/58-A,-248.1464625006
S66x8/58-B,-248.1464358436
S66x8/58-090,-496.2958390536
S66x8/58-095,-496.2975584936
S66x8/58-100,-496.2982352551
S66x8/58-105,-496.2979657389
S66x8/58-110,-496.297399276
S66x8/58-125,-496.295712525
S66x8/58-150,-496.2941939964
S66x8/58-200,-496.2932808227
S66x8/59-A,-77.2863895355
S66x8/59-B,-76.4133569056
S66x8/59-090,-153.7038983677
S66x8/59-095,-153.7042749925
S66x8/59-100,-153.704298092
S66x8/59-105,-153.7041146178
S66x8/59-110,-153.7038220157
S66x8/59-125,-153.7027829203
S66x8/59-150,-153.7014761199
S66x8/59-200,-153.7003757351
S66x8/60-A,-77.2863482573
S66x8/60-B,-229.0119110683
S66x8/60-090,-306.3041225849
S66x8/60-095,-306.3049470032
S66x8/60-100,-306.3051143004
S66x8/60-105,-306.3048890134
S66x8/60-110,-306.3044482755
S66x8/60-125,-306.3027749872
S66x8/60-150,-306.3006177217
S66x8/60-200,-306.2989311401
S66x8/61-A,-197.6337645889
S66x8/61-B,-229.0120158286
S66x8/61-090,-426.6468058307
S66x8/61-095,-426.6474832917
S66x8/61-100,-426.6477633514
S66x8/61-105,-426.6478053236
S66x8/61-110,-426.6477178087
S66x8/61-125,-426.6471736146
S66x8/61-150,-426.6463602836
S66x8/61-200,-426.645938409
S66x8/62-A,-197.6337973716
S66x8/62-B,-209.1344600715
S66x8/62-090,-406.7695231483
S66x8/62-095,-406.7705274594
S66x8/62-100,-406.7709208007
S66x8/62-105,-406.7709632535
S66x8/62-110,-406.7708229416
S66x8/62-125,-406.7700470208
S66x8/62-150,-406.7690998938
S66x8/62-200,-406.7684949095
S66x8/63-A,-232.1076036291
S66x8/63-B,-229.0119573535
S66x8/63-090,-461.1201436893
S66x8/63-095,-461.1220707957
S66x8/63-100,-461.1228498823
S66x8/63-105,-461.1230161246
S66x8/63-110,-461.1228502581
S66x8/63-125,-461.1218349361
S66x8/63-150,-461.1205873382
S66x8/63-200,-461.1198294042
S66x8/64-A,-248.4141914233
S66x8/64-B,-78.5360593968
S66x8/64-090,-326.9520002555
S66x8/64-095,-326.9528193407
S66x8/64-100,-326.9531187752
S66x8/64-105,-326.9531087009
S66x8/64-110,-326.9529351779
S66x8/64-125,-326.9521514232
S66x8/64-150,-326.951115138
S66x8/64-200,-326.9504293175
S66x8/65-A,-248.1465380245
S66x8/65-B,-77.2860126511
S66x8/65-090,-325.4382255252
S66x8/65-095,-325.4387649956
S66x8/65-100,-325.4388553519
S66x8/65-105,-325.4386714745
S66x8/65-110,-325.4383308361
S66x8/65-125,-325.4370192309
S66x8/65-150,-325.4352514266
S66x8/65-200,-325.4337432717
S66x8/66-A,-95.8082576525
S66x8/66-B,-248.1465256577
S66x8/66-090,-343.9578787362
S66x8/66-095,-343.9587969923
S66x8/66-100,-343.95915343
S66x8/66-105,-343.959161343
S66x8/66-110,-343.9589666108
S66x8/66-125,-343.9579617511
