system,B97/def2-QZVP/ORCA
S66x8/07-110,-364.3073732372
S66x8/07-125,-364.3057155693
S66x8/07-150,-364.3024765305
S66x8/07-200,-364.2988477645
S66x8/08-A,-115.7411628385
S66x8/08-B,-76.4436873584
S66x8/08-090,-192.1911267957
S66x8/08-095,-192.1918543351
S66x8/08-100,-192.1920762388
S66x8/08-105,-192.1919730773
S66x8/08-110,-192.1916847292
S66x8/08-125,-192.1903725401
S66x8/08-150,-192.1883554099
S66x8/08-200,-192.1863063137
S66x8/09-A,-95.8720134105
S66x8/09-B,-115.7412451296
S66x8/09-090,-211.6154497173
S66x8/09-095,-211.6162016737
S66x8/09-100,-211.6165331443
S66x8/09-105,-211.6165969277
S66x8/09-110,-211.6165102152
S66x8/09-125,-211.6158701038
S66x8/09-150,-211.6148226672
S66x8/09-200,-211.6138711375
S66x8/10-A,-95.872069556
S66x8/10-B,-95.8720444199
S66x8/10-090,-191.7464895209
S66x8/10-095,-191.747625248
S66x8/10-100,-191.7481898929
S66x8/10-105,-191.7483729295
S66x8/10-110,-191.7483174605
S66x8/10-125,-191.7475500284
S66x8/10-150,-191.7458520318
S66x8/10-200,-191.7446277995
S66x8/11-A,-95.8718796399
S66x8/11-B,-248.5563756869
S66x8/11-090,-344.43103908
S66x8/11-095,-344.4323622637
S66x8/11-100,-344.4330571176
S66x8/11-105,-344.4333460943
S66x8/11-110,-344.4333699502
S66x8/11-125,-344.4321163784
S66x8/11-150,-344.4301673128
S66x8/11-200,-344.4289835746
S66x8/12-A,-95.872016059
S66x8/12-B,-76.4433646509
S66x8/12-090,-172.3246834741
S66x8/12-095,-172.3255719785
S66x8/12-100,-172.3258227835
S66x8/12-105,-172.3256424171
S66x8/12-110,-172.3251993004
S66x8/12-125,-172.3233109313
S66x8/12-150,-172.3203942009
S66x8/12-200,-172.3174427112
S66x8/13-A,-248.5563082707
S66x8/13-B,-115.7412750289
S66x8/13-090,-364.3026573767
S66x8/13-095,-364.3038139302
S66x8/13-100,-364.3043638162
S66x8/13-105,-364.3045258018
S66x8/13-110,-364.3044367834
S66x8/13-125,-364.303472745
S66x8/13-150,-364.3015888996
S66x8/13-200,-364.2994378324
S66x8/14-A,-248.5561129268
S66x8/14-B,-95.8720163857
S66x8/14-090,-344.4350091252
S66x8/14-095,-344.4362706696
S66x8/14-100,-344.4368417834
S66x8/14-105,-344.4369630059
S66x8/14-110,-344.4368062902
S66x8/14-125,-344.4355122549
S66x8/14-150,-344.4330620079
S66x8/14-200,-344.4302873514
S66x8/15-A,-248.5562389254
S66x8/15-B,-248.556325827
S66x8/15-090,-497.1199403873
S66x8/15-095,-497.1212650125
S66x8/15-100,-497.1219072661
S66x8/15-105,-497.12208768
S66x8/15-110,-497.1219938157
S66x8/15-125,-497.120816011
S66x8/15-150,-497.1183624714
S66x8/15-200,-497.1150446247
S66x8/16-A,-248.5564012246
S66x8/16-B,-76.4436892309
S66x8/16-090,-325.005679128
S66x8/16-095,-325.0065260686
S66x8/16-100,-325.0068606401
S66x8/16-105,-325.0068780579
S66x8/16-110,-325.0066936471
S66x8/16-125,-325.0056283278
S66x8/16-150,-325.0038201141
S66x8/16-200,-325.0018573205
S66x8/17-A,-414.8740369852
S66x8/17-B,-414.8741301561
S66x8/17-090,-829.7683570244
S66x8/17-095,-829.7704837674
S66x8/17-100,-829.7711834122
S66x8/17-105,-829.7710011489
S66x8/17-110,-829.7702575008
S66x8/17-125,-829.7665305026
S66x8/17-150,-829.7601673827
S66x8/17-200,-829.753081991
S66x8/18-A,-76.4436929242
S66x8/18-B,-248.3042158044
S66x8/18-090,-324.756665896
S66x8/18-095,-324.757398913
S66x8/18-100,-324.7575643345
S66x8/18-105,-324.7573451417
S66x8/18-110,-324.756898423
S66x8/18-125,-324.7550811854
S66x8/18-150,-324.7523356615
S66x8/18-200,-324.7495574057
S66x8/19-A,-115.7409394293
S66x8/19-B,-248.3042106243
S66x8/19-090,-364.0534902664
S66x8/19-095,-364.0544849863
S66x8/19-100,-364.0548328641
S66x8/19-105,-364.0547452449
S66x8/19-110,-364.054485218
S66x8/19-125,-364.0526562447
S66x8/19-150,-364.04993854
S66x8/19-200,-364.0469663897
S66x8/20-A,-229.1206600914
S66x8/20-B,-229.1206774573
S66x8/20-090,-458.266289468
S66x8/20-095,-458.2684121267
S66x8/20-100,-458.2689991542
S66x8/20-105,-458.2685541991
S66x8/20-110,-458.2674617417
S66x8/20-125,-458.2627068313
S66x8/20-150,-458.2551037787
S66x8/20-200,-458.2468588594
S66x8/21-A,-209.2468829615
S66x8/21-B,-209.2468871708
S66x8/21-090,-418.5134978874
S66x8/21-095,-418.5154951776
S66x8/21-100,-418.5161562326
S66x8/21-105,-418.5159772071
S66x8/21-110,-418.5152348901
S66x8/21-125,-418.5116320821
S66x8/21-150,-418.5056540012
S66x8/21-200,-418.4984065724
S66x8/22-A,-229.1206322192
S66x8/22-B,-414.8738220137
S66x8/22-090,-644.0189838364
S66x8/22-095,-644.0211539542
S66x8/22-100,-644.0218399943
S66x8/22-105,-644.0215384693
S66x8/22-110,-644.0206232659
S66x8/22-125,-644.016263661
S66x8/22-150,-644.0089573272
S66x8/22-200,-644.0007036595
S66x8/23-A,-209.2467339494
S66x8/23-B,-414.8737260005
S66x8/23-090,-624.144221677
S66x8/23-095,-624.1463169527
S66x8/23-100,-624.1470780109
S66x8/23-105,-624.1469182883
S66x8/23-110,-624.1461827637
S66x8/23-125,-624.1423475065
S66x8/23-150,-624.1355613028
S66x8/23-200,-624.1275475051
S66x8/24-A,-232.2658007118
S66x8/24-B,-232.2658073402
S66x8/24-090,-464.5185752604
S66x8/24-095,-464.5241585569
S66x8/24-100,-464.5274946868
S66x8/24-105,-464.5294282119
S66x8/24-110,-464.5304545547
S66x8/24-125,-464.5314598887
S66x8/24-150,-464.5314542347
S66x8/24-200,-464.5314603759
S66x8/25-A,-248.3042121638
S66x8/25-B,-248.3042349145
S66x8/25-090,-496.5966627105
S66x8/25-095,-496.602298419
S66x8/25-100,-496.6056110513
S66x8/25-105,-496.6074741152
S66x8/25-110,-496.6085174635
S66x8/25-125,-496.6093247188
S66x8/25-150,-496.6089668433
S66x8/25-200,-496.6085838565
S66x8/26-A,-414.8745631925
S66x8/26-B,-414.8745632125
S66x8/26-090,-829.7432094291
S66x8/26-095,-829.7490583977
S66x8/26-100,-829.7523486815
S66x8/26-105,-829.7540197515
S66x8/26-110,-829.7547157495
S66x8/26-125,-829.754358591
S66x8/26-150,-829.7522931864
S66x8/26-200,-829.7502954658
S66x8/27-A,-232.2658066532
S66x8/27-B,-248.3042380829
S66x8/27-090,-480.5573474048
S66x8/27-095,-480.5632691321
S66x8/27-100,-480.5666460327
S66x8/27-105,-480.5685945217
S66x8/27-110,-480.5696075752
S66x8/27-125,-480.5704366136
S66x8/27-150,-480.5702085613
S66x8/27-200,-480.5700034698
S66x8/28-A,-232.2657829989
S66x8/28-B,-414.8751383143
S66x8/28-090,-647.1295146322
S66x8/28-095,-647.1353067398
S66x8/28-100,-647.1386780951
S66x8/28-105,-647.1406420084
S66x8/28-110,-647.1416687928
S66x8/28-125,-647.1422379824
S66x8/28-150,-647.14151255
S66x8/28-200,-647.1408622538
S66x8/29-A,-248.3042080679
S66x8/29-B,-414.8750797125
S66x8/29-090,-663.1673759668
S66x8/29-095,-663.17492743
S66x8/29-100,-663.1789534126
S66x8/29-105,-663.1810003969
S66x8/29-110,-663.1818907506
S66x8/29-125,-663.181970523
S66x8/29-150,-663.1807492598
S66x8/29-200,-663.1796995779
S66x8/30-A,-232.2658049205
S66x8/30-B,-78.5960342759
S66x8/30-090,-310.8549430259
S66x8/30-095,-310.8578179083
S66x8/30-100,-310.8595261803
S66x8/30-105,-310.8605037689
S66x8/30-110,-310.8610279839
S66x8/30-125,-310.861561226
S66x8/30-150,-310.8616194628
S66x8/30-200,-310.8617059954
S66x8/31-A,-414.8751654149
S66x8/31-B,-78.596058577
S66x8/31-090,-493.4670298337
S66x8/31-095,-493.4696432491
S66x8/31-100,-493.4711578409
S66x8/31-105,-493.4719964284
S66x8/31-110,-493.4724062413
S66x8/31-125,-493.472523009
S66x8/31-150,-493.4719238929
S66x8/31-200,-493.4713544528
S66x8/32-A,-414.875156477
S66x8/32-B,-77.3370018776
S66x8/32-090,-492.2090412195
S66x8/32-095,-492.2116376101
S66x8/32-100,-492.2130786621
S66x8/32-105,-492.2138036272
S66x8/32-110,-492.2140902287
S66x8/32-125,-492.2138695304
S66x8/32-150,-492.212959159
S66x8/32-200,-492.2121756918
S66x8/33-A,-248.3042370943
S66x8/33-B,-78.5959977423
S66x8/33-090,-326.8943904991
S66x8/33-095,-326.8969589283
S66x8/33-100,-326.8985148585
S66x8/33-105,-326.8994229107
S66x8/33-110,-326.8999334093
S66x8/33-125,-326.9003724522
S66x8/33-150,-326.9002778197
S66x8/33-200,-326.9001968755
S66x8/34-A,-197.7842785834
S66x8/34-B,-197.7842079933
S66x8/34-090,-395.561222506
S66x8/34-095,-395.5646725367
S66x8/34-100,-395.5666718625
S66x8/34-105,-395.5679538457
S66x8/34-110,-395.5687547959
S66x8/34-125,-395.5692911914
S66x8/34-150,-395.5689604768
S66x8/34-200,-395.5686528111
S66x8/35-A,-197.784251709
S66x8/35-B,-197.7855341621
S66x8/35-090,-395.5648545393
S66x8/35-095,-395.5676301625
S66x8/35-100,-395.569092209
S66x8/35-105,-395.5697789243
S66x8/35-110,-395.5701952654
S66x8/35-125,-395.5704926066
S66x8/35-150,-395.57027871
S66x8/35-200,-395.5700614505
S66x8/36-A,-197.7855312075
S66x8/36-B,-197.785589894
S66x8/36-090,-395.5684617338
S66x8/36-095,-395.569916605
S66x8/36-100,-395.5707465508
S66x8/36-105,-395.5712116391
S66x8/36-110,-395.5714736101
S66x8/36-125,-395.5716292112
S66x8/36-150,-395.5714542195
S66x8/36-200,-395.5712988803
S66x8/37-A,-196.5711777319
S66x8/37-B,-197.7853218132
S66x8/37-090,-394.3516376845
S66x8/37-095,-394.3541946256
S66x8/37-100,-394.3556546665
S66x8/37-105,-394.3565127964
S66x8/37-110,-394.35699049
S66x8/37-125,-394.3573705206
S66x8/37-150,-394.3571946279
S66x8/37-200,-394.3569792477
S66x8/38-A,-196.5709623263
S66x8/38-B,-196.5709984449
S66x8/38-090,-393.1364916057
S66x8/38-095,-393.1390504862
S66x8/38-100,-393.1406911281
S66x8/38-105,-393.1416114736
S66x8/38-110,-393.1421920958
S66x8/38-125,-393.1424548847
S66x8/38-150,-393.142179547
S66x8/38-200,-393.1419487768
S66x8/39-A,-232.265806346
S66x8/39-B,-196.5710077762
S66x8/39-090,-428.8289038671
S66x8/39-095,-428.8326936371
S66x8/39-100,-428.8350335284
S66x8/39-105,-428.8363695656
S66x8/39-110,-428.8370469595
S66x8/39-125,-428.8375097462
S66x8/39-150,-428.8371483454
S66x8/39-200,-428.836799781
S66x8/40-A,-232.2658064903
S66x8/40-B,-197.7855769255
S66x8/40-090,-430.0457371045
S66x8/40-095,-430.0487640506
S66x8/40-100,-430.0504870153
S66x8/40-105,-430.0514583448
S66x8/40-110,-430.0519712604
S66x8/40-125,-430.0522758053
S66x8/40-150,-430.0518848865
S66x8/40-200,-430.0515702267
S66x8/41-A,-414.8751935716
S66x8/41-B,-197.7843836154
S66x8/41-090,-612.6516765158
S66x8/41-095,-612.6555810699
S66x8/41-100,-612.6579071587
S66x8/41-105,-612.659269863
S66x8/41-110,-612.6601396128
S66x8/41-125,-612.6604715883
S66x8/41-150,-612.6599204453
S66x8/41-200,-612.6595626219
S66x8/42-A,-414.8751700636
S66x8/42-B,-196.5710329571
S66x8/42-090,-611.4384092804
S66x8/42-095,-611.4422922218
S66x8/42-100,-611.4445647815
S66x8/42-105,-611.4458462349
S66x8/42-110,-611.4465292081
S66x8/42-125,-611.4469701683
S66x8/42-150,-611.446591599
S66x8/42-200,-611.4462474964
S66x8/43-A,-414.8751573309
S66x8/43-B,-197.7854206299
S66x8/43-090,-612.6555367433
S66x8/43-095,-612.6586249199
S66x8/43-100,-612.6603386166
S66x8/43-105,-612.6612706195
S66x8/43-110,-612.6617169084
S66x8/43-125,-612.6618525602
S66x8/43-150,-612.6613290871
S66x8/43-200,-612.6609225541
S66x8/44-A,-78.5960365477
S66x8/44-B,-197.7843252005
S66x8/44-090,-276.3775541369
S66x8/44-095,-276.3791719506
S66x8/44-100,-276.379963526
S66x8/44-105,-276.3804662689
S66x8/44-110,-276.3807353172
S66x8/44-125,-276.3808610037
S66x8/44-150,-276.3806122985
S66x8/44-200,-276.3804105945
S66x8/45-A,-77.3370096959
S66x8/45-B,-197.7842608046
S66x8/45-090,-275.1179024468
S66x8/45-095,-275.1197396092
S66x8/45-100,-275.1207768034
S66x8/45-105,-275.1213492896
S66x8/45-110,-275.1216209758
S66x8/45-125,-275.1217150474
S66x8/45-150,-275.121400054
S66x8/45-200,-275.1211411037
S66x8/46-A,-248.5564591855
S66x8/46-B,-197.7841879011
S66x8/46-090,-446.3360309345
S66x8/46-095,-446.3385039669
S66x8/46-100,-446.340061671
S66x8/46-105,-446.3410437424
S66x8/46-110,-446.3415972362
S66x8/46-125,-446.3419226447
S66x8/46-150,-446.3414234422
S66x8/46-200,-446.3408900143
S66x8/47-A,-232.2658029117
S66x8/47-B,-232.2657847995
S66x8/47-090,-464.5261918464
S66x8/47-095,-464.529159679
S66x8/47-100,-464.5308804081
S66x8/47-105,-464.5317995757
S66x8/47-110,-464.532255157
S66x8/47-125,-464.532469843
S66x8/47-150,-464.5320265299
S66x8/47-200,-464.5316158536
S66x8/48-A,-248.3042287807
S66x8/48-B,-248.3041978219
S66x8/48-090,-496.6046890054
S66x8/48-095,-496.6073038564
S66x8/48-100,-496.6087923607
S66x8/48-105,-496.6096052468
S66x8/48-110,-496.6100031554
S66x8/48-125,-496.6100684375
S66x8/48-150,-496.609392363
S66x8/48-200,-496.6087121772
S66x8/49-A,-232.2658045191
S66x8/49-B,-248.3042045982
S66x8/49-090,-480.5653925584
S66x8/49-095,-480.5683380195
S66x8/49-100,-480.5700454068
S66x8/49-105,-480.5709457342
S66x8/49-110,-480.5713660734
S66x8/49-125,-480.5714704433
S66x8/49-150,-480.5708521425
S66x8/49-200,-480.5702576158
S66x8/50-A,-232.2657987304
S66x8/50-B,-77.3370594923
S66x8/50-090,-309.6010241031
S66x8/50-095,-309.6031282405
S66x8/50-100,-309.6042011905
S66x8/50-105,-309.6047364337
S66x8/50-110,-309.604892324
S66x8/50-125,-309.6045828636
S66x8/50-150,-309.6037713947
S66x8/50-200,-309.6030836479
S66x8/51-A,-77.3370196473
S66x8/51-B,-77.33706973
S66x8/51-090,-154.6748755483
S66x8/51-095,-154.675507001
S66x8/51-100,-154.6757747019
S66x8/51-105,-154.6758237829
S66x8/51-110,-154.6757533181
S66x8/51-125,-154.6753046878
S66x8/51-150,-154.6746712835
S66x8/51-200,-154.6742110494
S66x8/52-A,-232.2657970652
S66x8/52-B,-229.1226203879
S66x8/52-090,-461.3885052474
S66x8/52-095,-461.3904398702
S66x8/52-100,-461.391472544
S66x8/52-105,-461.3919450357
S66x8/52-110,-461.3920834147
S66x8/52-125,-461.3915840705
S66x8/52-150,-461.3903029688
S66x8/52-200,-461.3890050258
S66x8/53-A,-232.2657943945
S66x8/53-B,-209.2478176066
S66x8/53-090,-441.5144063088
S66x8/53-095,-441.5159031547
S66x8/53-100,-441.5167228102
S66x8/53-105,-441.5171039171
S66x8/53-110,-441.5171914954
S66x8/53-125,-441.5166786841
S66x8/53-150,-441.5154295172
S66x8/53-200,-441.514088591
S66x8/54-A,-232.2657977258
S66x8/54-B,-76.4436282232
S66x8/54-090,-308.7105341573
S66x8/54-095,-308.7118145958
S66x8/54-100,-308.7124337859
S66x8/54-105,-308.7126729673
S66x8/54-110,-308.7126579521
S66x8/54-125,-308.7120584379
S66x8/54-150,-308.7109456415
S66x8/54-200,-308.7098935395
S66x8/55-A,-232.2657938295
S66x8/55-B,-115.7412075886
S66x8/55-090,-348.0061838493
S66x8/55-095,-348.0081759141
S66x8/55-100,-348.0092938205
S66x8/55-105,-348.0098432549
S66x8/55-110,-348.0100607915
S66x8/55-125,-348.0097893027
S66x8/55-150,-348.0087223294
S66x8/55-200,-348.0075897481
S66x8/56-A,-232.2658018869
S66x8/56-B,-95.8720198451
S66x8/56-090,-328.1350419502
S66x8/56-095,-328.1371585152
S66x8/56-100,-328.1384090806
S66x8/56-105,-328.1391108351
S66x8/56-110,-328.1394273078
S66x8/56-125,-328.139392945
S66x8/56-150,-328.1387098717
S66x8/56-200,-328.1380761418
S66x8/57-A,-232.2657977505
S66x8/57-B,-248.5564316254
S66x8/57-090,-480.8179926429
S66x8/57-095,-480.8217579378
S66x8/57-100,-480.8238547491
S66x8/57-105,-480.8249547785
S66x8/57-110,-480.8253838051
S66x8/57-125,-480.8252326132
S66x8/57-150,-480.8240462263
S66x8/57-200,-480.8228881481
S66x8/58-A,-248.304214409
S66x8/58-B,-248.3041579077
S66x8/58-090,-496.6080180619
S66x8/58-095,-496.6103356
S66x8/58-100,-496.6117629623
S66x8/58-105,-496.6120631412
S66x8/58-110,-496.6118980071
S66x8/58-125,-496.610839612
S66x8/58-150,-496.6095567153
S66x8/58-200,-496.608707752
S66x8/59-A,-77.337097098
S66x8/59-B,-76.4436821412
S66x8/59-090,-153.7840268631
S66x8/59-095,-153.7845652674
S66x8/59-100,-153.784734734
S66x8/59-105,-153.7846719067
S66x8/59-110,-153.7844808374
S66x8/59-125,-153.7836395639
S66x8/59-150,-153.782398408
S66x8/59-200,-153.7812353252
S66x8/60-A,-77.3370095577
S66x8/60-B,-229.122593185
S66x8/60-090,-306.4638882329
S66x8/60-095,-306.4650097685
S66x8/60-100,-306.4654547405
S66x8/60-105,-306.4654688657
S66x8/60-110,-306.4652482566
S66x8/60-125,-306.4640090179
S66x8/60-150,-306.4620809178
S66x8/60-200,-306.4603393171
S66x8/61-A,-197.7842728249
S66x8/61-B,-229.1226701637
S66x8/61-090,-426.9043276868
S66x8/61-095,-426.9057282212
S66x8/61-100,-426.9066412405
S66x8/61-105,-426.9072220668
S66x8/61-110,-426.9075476147
S66x8/61-125,-426.90774244
S66x8/61-150,-426.9073779895
S66x8/61-200,-426.9070289003
S66x8/62-A,-197.7843213657
S66x8/62-B,-209.2478692889
S66x8/62-090,-407.0291316458
S66x8/62-095,-407.0310506015
S66x8/62-100,-407.0322130104
S66x8/62-105,-407.0329090759
S66x8/62-110,-407.0332651201
S66x8/62-125,-407.0333732322
S66x8/62-150,-407.0328685463
S66x8/62-200,-407.0323358791
S66x8/63-A,-232.2658017234
S66x8/63-B,-229.1225938735
S66x8/63-090,-461.3836833787
S66x8/63-095,-461.3868043
S66x8/63-100,-461.3885134644
S66x8/63-105,-461.3894431955
S66x8/63-110,-461.3898933029
S66x8/63-125,-461.3899252046
S66x8/63-150,-461.389198598
S66x8/63-200,-461.3885643856
S66x8/64-A,-248.5564575655
S66x8/64-B,-78.5960911665
S66x8/64-090,-327.1513608385
S66x8/64-095,-327.1527876843
S66x8/64-100,-327.1536187756
S66x8/64-105,-327.1540348959
S66x8/64-110,-327.1542018532
S66x8/64-125,-327.1540205135
S66x8/64-150,-327.1532808983
S66x8/64-200,-327.1526132963
S66x8/65-A,-248.3042326502
S66x8/65-B,-77.3366231914
S66x8/65-090,-325.6455650828
S66x8/65-095,-325.6462267705
S66x8/65-100,-325.6464545371
S66x8/65-105,-325.6464051311
S66x8/65-110,-325.6461800003
S66x8/65-125,-325.6451308329
S66x8/65-150,-325.6435262177
S66x8/65-200,-325.6420091037
S66x8/66-A,-95.8719493621
S66x8/66-B,-248.3042256025
S66x8/66-090,-344.1757025536
S66x8/66-095,-344.1772273391
S66x8/66-100,-344.1781281951
S66x8/66-105,-344.1786191995
S66x8/66-110,-344.178827533
S66x8/66-125,-344.1786474826
S66x8/66-150,-344.1777526626
