system,LC-DFTB2/ob2-1-1-base/dftb+
S22x5/13-1.0,-30.4433819269
S22x5/13-1.2,-30.4423712105
S22x5/13-1.5,-30.4421597943
S22x5/13-2.0,-30.4420899831
S22x5/14-A,-15.2209740425
S22x5/14-B,-15.2209740425
S22x5/14-0.9,-30.4414761555
S22x5/14-1.0,-30.4416322623
S22x5/14-1.2,-30.4417351777
S22x5/14-1.5,-30.4418677146
S22x5/14-2.0,-30.4419288019
S22x5/15-A,-15.2211086947
S22x5/15-B,-22.7025878828
S22x5/15-0.9,-37.9294548444
S22x5/15-1.0,-37.9282243151
S22x5/15-1.2,-37.9257602074
S22x5/15-1.5,-37.9247071489
S22x5/15-2.0,-37.9241861027
S22x5/16-A,-15.2210074769
S22x5/16-B,-22.7023350254
S22x5/16-0.9,-37.9232260211
S22x5/16-1.0,-37.923459407
S22x5/16-1.2,-37.9231827893
S22x5/16-1.5,-37.9232065995
S22x5/16-2.0,-37.9232708152
S22x5/17-A,-15.8073444437
S22x5/17-B,-15.8073456698
S22x5/17-0.9,-31.6162262505
S22x5/17-1.0,-31.6157298693
S22x5/17-1.2,-31.614984481
S22x5/17-1.5,-31.6147941437
S22x5/17-2.0,-31.6147160079
S22x5/18-A,-19.3953498458
S22x5/18-B,-18.8337010208
S22x5/18-0.9,-38.243421479
S22x5/18-1.0,-38.2495393809
S22x5/18-1.2,-38.2435190358
S22x5/18-1.5,-38.2353460381
S22x5/18-2.0,-38.2318610767
S22x5/19-A,-19.0974475321
S22x5/19-B,-19.0973207643
S22x5/19-0.9,-38.1990315872
S22x5/19-1.0,-38.2007042929
S22x5/19-1.2,-38.1984049426
S22x5/19-1.5,-38.1962590105
S22x5/19-2.0,-38.195413342
S22x5/20-A,-23.6048669116
S22x5/20-B,-23.6048669116
S22x5/20-0.9,-47.2164336898
S22x5/20-1.0,-47.2170253237
S22x5/20-1.2,-47.2139004744
S22x5/20-1.5,-47.2118733801
S22x5/20-2.0,-47.2106463805
S22x5/21-A,-23.6048090637
S22x5/21-B,-23.6048090637
S22x5/21-0.9,-47.2290160117
S22x5/21-1.0,-47.2371788227
S22x5/21-1.2,-47.2313975327
S22x5/21-1.5,-47.2207669314
S22x5/21-2.0,-47.2148870498
S22x5/22-A,-15.2210860595
S22x5/22-B,-5.3478952587
S22x5/22-0.9,-20.5736937498
S22x5/22-1.0,-20.5725205565
S22x5/22-1.2,-20.5705893773
S22x5/22-1.5,-20.5698105948
S22x5/22-2.0,-20.5693727476
S66x8/01-A,-4.7593674235
S66x8/01-B,-4.7593838586
S66x8/01-090,-9.524383711
S66x8/01-095,-9.5250504253
S66x8/01-100,-9.5248912849
S66x8/01-105,-9.5243274105
S66x8/01-110,-9.5236257109
S66x8/01-125,-9.5218241186
S66x8/01-150,-9.5204856535
S66x8/01-200,-9.5196068818
S66x8/02-A,-4.7593931082
S66x8/02-B,-7.7401295622
S66x8/02-090,-12.5044228413
S66x8/02-095,-12.5056085549
S66x8/02-100,-12.5057637202
S66x8/02-105,-12.5053599495
S66x8/02-110,-12.5047126737
S66x8/02-125,-12.5028067104
S66x8/02-150,-12.5012901015
S66x8/02-200,-12.5003572427
S66x8/03-A,-4.7594422164
S66x8/03-B,-7.1785281743
S66x8/03-090,-11.9434191024
S66x8/03-095,-11.944589569
S66x8/03-100,-11.944594082
S66x8/03-105,-11.9439744212
S66x8/03-110,-11.9431044404
S66x8/03-125,-11.9407639251
S66x8/03-150,-11.9392121932
S66x8/03-200,-11.9385093078
S66x8/04-A,-4.7594354452
S66x8/04-B,-16.1325716773
S66x8/04-090,-20.9005275758
S66x8/04-095,-20.9018556217
S66x8/04-100,-20.9020001807
S66x8/04-105,-20.9014638562
S66x8/04-110,-20.9006022699
S66x8/04-125,-20.897895588
S66x8/04-150,-20.895404411
S66x8/04-200,-20.8934863118
S66x8/05-A,-7.7400779348
S66x8/05-B,-7.7401728394
S66x8/05-090,-15.4843070461
S66x8/05-095,-15.4857996607
S66x8/05-100,-15.4861683504
S66x8/05-105,-15.4859010845
S66x8/05-110,-15.4853317116
S66x8/05-125,-15.4834752845
S66x8/05-150,-15.4819375787
S66x8/05-200,-15.4810373893
S66x8/06-A,-7.7399673775
S66x8/06-B,-7.1785427057
S66x8/06-090,-14.9228776963
S66x8/06-095,-14.9246600303
S66x8/06-100,-14.9250729937
S66x8/06-105,-14.924693031
S66x8/06-110,-14.923933833
S66x8/06-125,-14.9215467
S66x8/06-150,-14.9198195676
S66x8/06-200,-14.9191139749
S66x8/07-A,-7.7401013041
S66x8/07-B,-16.1313889458
S66x8/07-090,-23.8789205982
S66x8/07-095,-23.8804992587
S66x8/07-100,-23.8808266702
S66x8/07-105,-23.8804108882
S66x8/07-110,-23.8796187338
S66x8/07-125,-23.8769542611
S66x8/07-150,-23.8742376242
S66x8/07-200,-23.872469652
S66x8/08-A,-7.7400642861
S66x8/08-B,-4.7593978906
S66x8/08-090,-12.5042136337
S66x8/08-095,-12.5051924337
S66x8/08-100,-12.5052435214
S66x8/08-105,-12.5048098032
S66x8/08-110,-12.504180444
S66x8/08-125,-12.5024283797
S66x8/08-150,-12.5010909718
S66x8/08-200,-12.500256421
S66x8/09-A,-7.1783929748
S66x8/09-B,-7.7400721413
S66x8/09-090,-14.9215871087
S66x8/09-095,-14.9214323461
S66x8/09-100,-14.9210086492
S66x8/09-105,-14.9205389913
S66x8/09-110,-14.9201260513
S66x8/09-125,-14.9193836466
S66x8/09-150,-14.918988451
S66x8/09-200,-14.9187260098
S66x8/10-A,-7.1784944792
S66x8/10-B,-7.1784871205
S66x8/10-090,-14.3597072381
S66x8/10-095,-14.3599236897
S66x8/10-100,-14.3596018046
S66x8/10-105,-14.3591028622
S66x8/10-110,-14.35861438
S66x8/10-125,-14.3576963602
S66x8/10-150,-14.3572413029
S66x8/10-200,-14.3570539713
S66x8/11-A,-7.1784924034
S66x8/11-B,-16.1314407277
S66x8/11-090,-23.314699909
S66x8/11-095,-23.3146813677
S66x8/11-100,-23.3142157051
S66x8/11-105,-23.3136078591
S66x8/11-110,-23.3130174265
S66x8/11-125,-23.3113995486
S66x8/11-150,-23.3106160749
S66x8/11-200,-23.3101966448
S66x8/12-A,-7.178487975
S66x8/12-B,-4.7592660351
S66x8/12-090,-11.9415260576
S66x8/12-095,-11.943492827
S66x8/12-100,-11.944049538
S66x8/12-105,-11.9437823432
S66x8/12-110,-11.9431113018
S66x8/12-125,-11.9408819114
S66x8/12-150,-11.9392193527
S66x8/12-200,-11.9384956924
S66x8/13-A,-16.130846941
S66x8/13-B,-7.7401612101
S66x8/13-090,-23.8757294539
S66x8/13-095,-23.8770067991
S66x8/13-100,-23.8772586611
S66x8/13-105,-23.8769615012
S66x8/13-110,-23.876423764
S66x8/13-125,-23.8747798782
S66x8/13-150,-23.873366587
S66x8/13-200,-23.8722914472
S66x8/14-A,-16.1306941766
S66x8/14-B,-7.178543017
S66x8/14-090,-23.3143638285
S66x8/14-095,-23.3156380558
S66x8/14-100,-23.3157254328
S66x8/14-105,-23.3151931953
S66x8/14-110,-23.3144194347
S66x8/14-125,-23.3123423834
S66x8/14-150,-23.3109259129
S66x8/14-200,-23.3101194565
S66x8/15-A,-16.1324430607
S66x8/15-B,-16.1325302502
S66x8/15-090,-32.2736959155
S66x8/15-095,-32.2747858583
S66x8/15-100,-32.2747818782
S66x8/15-105,-32.2741875526
S66x8/15-110,-32.2733404722
S66x8/15-125,-32.2708804575
S66x8/15-150,-32.2686974186
S66x8/15-200,-32.2668339537
S66x8/16-A,-16.1325596187
S66x8/16-B,-4.7594024044
S66x8/16-090,-20.8974192318
S66x8/16-095,-20.898079279
S66x8/16-100,-20.8979657828
S66x8/16-105,-20.8974872648
S66x8/16-110,-20.8968905297
S66x8/16-125,-20.8953658789
S66x8/16-150,-20.8941502776
S66x8/16-200,-20.8931599458
S66x8/17-A,-23.6049925951
S66x8/17-B,-23.6049651944
S66x8/17-090,-47.2264100498
S66x8/17-095,-47.2312859915
S66x8/17-100,-47.2331022463
S66x8/17-105,-47.2329100688
S66x8/17-110,-47.2315306688
S66x8/17-125,-47.2253328768
S66x8/17-150,-47.2182623283
S66x8/17-200,-47.2135946325
S66x8/18-A,-4.7594082087
S66x8/18-B,-15.5153085201
S66x8/18-090,-20.2794741801
S66x8/18-095,-20.2808357036
S66x8/18-100,-20.2809852561
S66x8/18-105,-20.2804666296
S66x8/18-110,-20.2796598889
S66x8/18-125,-20.2773787583
S66x8/18-150,-20.2758440136
S66x8/18-200,-20.2752146972
S66x8/19-A,-7.7399568927
S66x8/19-B,-15.5153221017
S66x8/19-090,-23.2585376248
S66x8/19-095,-23.2605160132
S66x8/19-100,-23.2610786205
S66x8/19-105,-23.2608022512
S66x8/19-110,-23.2605686716
S66x8/19-125,-23.2577467989
S66x8/19-150,-23.2564913195
S66x8/19-200,-23.2558161185
S66x8/20-A,-13.7299821837
S66x8/20-B,-13.7299857458
S66x8/20-090,-27.4774348499
S66x8/20-095,-27.4836306865
S66x8/20-100,-27.4864725847
S66x8/20-105,-27.4869330746
S66x8/20-110,-27.4858289817
S66x8/20-125,-27.4789274544
S66x8/20-150,-27.4697513608
S66x8/20-200,-27.4639722227
S66x8/21-A,-13.1548935405
S66x8/21-B,-13.1548965098
S66x8/21-090,-26.3288579263
S66x8/21-095,-26.3322854323
S66x8/21-100,-26.333003992
S66x8/21-105,-26.3320716334
S66x8/21-110,-26.3302733365
S66x8/21-125,-26.3240536271
S66x8/21-150,-26.3179048746
S66x8/21-200,-26.3133315585
S66x8/22-A,-13.7299569716
S66x8/22-B,-23.6047356002
S66x8/22-090,-37.3530504314
S66x8/22-095,-37.3587681326
S66x8/22-100,-37.361252127
S66x8/22-105,-37.3614990045
S66x8/22-110,-37.360321674
S66x8/22-125,-37.3537122403
S66x8/22-150,-37.3452142083
S66x8/22-200,-37.3394573665
S66x8/23-A,-13.1547252075
S66x8/23-B,-23.6047567732
S66x8/23-090,-36.7796565271
S66x8/23-095,-36.7842039768
S66x8/23-100,-36.7858797019
S66x8/23-105,-36.7856449249
S66x8/23-110,-36.7842559137
S66x8/23-125,-36.7779432576
S66x8/23-150,-36.7703754607
S66x8/23-200,-36.7649089193
S66x8/24-A,-15.2209160282
S66x8/24-B,-15.2210118406
S66x8/24-090,-30.4415611458
S66x8/24-095,-30.4416441789
S66x8/24-100,-30.4416095119
S66x8/24-105,-30.4416072827
S66x8/24-110,-30.4416363722
S66x8/24-125,-30.4417535961
S66x8/24-150,-30.4418663497
S66x8/24-200,-30.4419348281
S66x8/25-A,-15.5151843619
S66x8/25-B,-15.5152466855
S66x8/25-090,-31.0310393468
S66x8/25-095,-31.0309999585
S66x8/25-100,-31.030802509
S66x8/25-105,-31.0306646656
S66x8/25-110,-31.0305966249
S66x8/25-125,-31.0305488049
S66x8/25-150,-31.0305189397
S66x8/25-200,-31.0304744152
S66x8/26-A,-23.6048668942
S66x8/26-B,-23.6048668942
S66x8/26-090,-47.2172632249
S66x8/26-095,-47.2176273106
S66x8/26-100,-47.2170252487
S66x8/26-105,-47.2161879414
S66x8/26-110,-47.2153921188
S66x8/26-125,-47.2136609531
S66x8/26-150,-47.2120928098
S66x8/26-200,-47.2107844213
S66x8/27-A,-15.2209541728
S66x8/27-B,-15.5152246785
S66x8/27-090,-30.7363705684
S66x8/27-095,-30.736374491
S66x8/27-100,-30.736232117
S66x8/27-105,-30.7361490312
S66x8/27-110,-30.7361243233
S66x8/27-125,-30.7361520544
S66x8/27-150,-30.7361893786
S66x8/27-200,-30.7361999708
S66x8/28-A,-15.2211041361
S66x8/28-B,-23.6050783172
S66x8/28-090,-38.8282404773
S66x8/28-095,-38.8282659201
S66x8/28-100,-38.8279236496
S66x8/28-105,-38.8275769637
S66x8/28-110,-38.8273077099
S66x8/28-125,-38.8268290056
S66x8/28-150,-38.8264294346
S66x8/28-200,-38.8261356927
S66x8/29-A,-15.5152816907
S66x8/29-B,-23.6049385607
S66x8/29-090,-39.1248442915
S66x8/29-095,-39.1248067158
S66x8/29-100,-39.1241293851
S66x8/29-105,-39.1234884051
S66x8/29-110,-39.1229983718
S66x8/29-125,-39.1220864844
S66x8/29-150,-39.1212661012
S66x8/29-200,-39.1205908656
S66x8/30-A,-15.2209680115
S66x8/30-B,-5.9334183813
S66x8/30-090,-21.1545752585
S66x8/30-095,-21.154233912
S66x8/30-100,-21.1540734903
S66x8/30-105,-21.1540346774
S66x8/30-110,-21.1540509512
S66x8/30-125,-21.1541501111
S66x8/30-150,-21.1542544821
S66x8/30-200,-21.1543328597
S66x8/31-A,-23.6050275191
S66x8/31-B,-5.933527319
S66x8/31-090,-29.5409582819
S66x8/31-095,-29.540415179
S66x8/31-100,-29.5399606273
S66x8/31-105,-29.5396462898
S66x8/31-110,-29.5394401365
S66x8/31-125,-29.5391143961
S66x8/31-150,-29.5388435376
S66x8/31-200,-29.5386125245
S66x8/32-A,-23.6050314604
S66x8/32-B,-4.9872049568
S66x8/32-090,-28.595159688
S66x8/32-095,-28.5948706687
S66x8/32-100,-28.5944442085
S66x8/32-105,-28.5940665983
S66x8/32-110,-28.5937728228
S66x8/32-125,-28.5932256162
S66x8/32-150,-28.5927520984
S66x8/32-200,-28.5923715619
S66x8/33-A,-15.5151687588
S66x8/33-B,-5.9333569122
S66x8/33-090,-21.4492638936
S66x8/33-095,-21.4487673324
S66x8/33-100,-21.4484944332
S66x8/33-105,-21.4483814763
S66x8/33-110,-21.4483536985
S66x8/33-125,-21.4484075608
S66x8/33-150,-21.4484771937
S66x8/33-200,-21.4485341533
S66x8/34-A,-15.8593507808
S66x8/34-B,-15.8590847286
S66x8/34-090,-31.7243329996
S66x8/34-095,-31.7221503813
S66x8/34-100,-31.7206519568
S66x8/34-105,-31.7197358681
S66x8/34-110,-31.7192231682
S66x8/34-125,-31.7187616375
S66x8/34-150,-31.7187150891
S66x8/34-200,-31.7187191485
S66x8/35-A,-15.8592721811
S66x8/35-B,-15.8560163897
S66x8/35-090,-31.7203816201
S66x8/35-095,-31.7182327159
S66x8/35-100,-31.716866776
S66x8/35-105,-31.7160913068
S66x8/35-110,-31.7156850873
S66x8/35-125,-31.7153434369
S66x8/35-150,-31.7152999505
S66x8/35-200,-31.7152927695
S66x8/36-A,-15.8560006411
S66x8/36-B,-15.8560369508
S66x8/36-090,-31.7152006622
S66x8/36-095,-31.7137367459
S66x8/36-100,-31.7128613125
S66x8/36-105,-31.7123751334
S66x8/36-110,-31.7121207752
S66x8/36-125,-31.7118959736
S66x8/36-150,-31.7118444602
S66x8/36-200,-31.7117966036
S66x8/37-A,-14.9518275983
S66x8/37-B,-15.855592108
S66x8/37-090,-30.8133195341
S66x8/37-095,-30.8111674991
S66x8/37-100,-30.809734562
S66x8/37-105,-30.8088674993
S66x8/37-110,-30.8083779475
S66x8/37-125,-30.8079113103
S66x8/37-150,-30.8078414779
S66x8/37-200,-30.8078317378
S66x8/38-A,-14.9515427767
S66x8/38-B,-14.9515604619
S66x8/38-090,-29.9086721299
S66x8/38-095,-29.9067005063
S66x8/38-100,-29.9051145989
S66x8/38-105,-29.9041196666
S66x8/38-110,-29.9035790075
S66x8/38-125,-29.9031160869
S66x8/38-150,-29.9030761085
S66x8/38-200,-29.9030817505
S66x8/39-A,-15.2209979436
S66x8/39-B,-14.9515556163
S66x8/39-090,-30.1753825393
S66x8/39-095,-30.17430183
S66x8/39-100,-30.1734586807
S66x8/39-105,-30.1729486543
S66x8/39-110,-30.1726970041
S66x8/39-125,-30.172536603
S66x8/39-150,-30.1725524976
S66x8/39-200,-30.1725698624
S66x8/40-A,-15.2210221024
S66x8/40-B,-15.8561460649
S66x8/40-090,-31.0797160178
S66x8/40-095,-31.0785573732
S66x8/40-100,-31.0777862192
S66x8/40-105,-31.0773561993
S66x8/40-110,-31.0771444767
S66x8/40-125,-31.0769881223
S66x8/40-150,-31.076953543
S66x8/40-200,-31.0769066757
S66x8/41-A,-23.6051498801
S66x8/41-B,-15.8593501164
S66x8/41-090,-39.4686587322
S66x8/41-095,-39.4675325815
S66x8/41-100,-39.4666021642
S66x8/41-105,-39.4659545675
S66x8/41-110,-39.4654797771
S66x8/41-125,-39.4649460598
S66x8/41-150,-39.4646837439
S66x8/41-200,-39.4645422973
S66x8/42-A,-23.6051182189
S66x8/42-B,-14.951597111
S66x8/42-090,-38.5606702483
S66x8/42-095,-38.5594838245
S66x8/42-100,-38.5585112014
S66x8/42-105,-38.5578665276
S66x8/42-110,-38.5574809512
S66x8/42-125,-38.5570422666
S66x8/42-150,-38.5568514703
S66x8/42-200,-38.5567456262
S66x8/43-A,-23.6050722302
S66x8/43-B,-15.8558177573
S66x8/43-090,-39.4634914581
S66x8/43-095,-39.4627468088
S66x8/43-100,-39.4621547315
S66x8/43-105,-39.4617744524
S66x8/43-110,-39.4615513832
S66x8/43-125,-39.4612906663
S66x8/43-150,-39.4611608736
S66x8/43-200,-39.4610865924
S66x8/44-A,-5.9334283442
S66x8/44-B,-15.8594806281
S66x8/44-090,-21.7951159439
S66x8/44-095,-21.7941706111
S66x8/44-100,-21.7935473208
S66x8/44-105,-21.7931815564
S66x8/44-110,-21.7929842483
S66x8/44-125,-21.7928102666
S66x8/44-150,-21.7927835387
S66x8/44-200,-21.7927780324
S66x8/45-A,-4.9872045157
S66x8/45-B,-15.8592663318
S66x8/45-090,-20.8474723928
S66x8/45-095,-20.8469627672
S66x8/45-100,-20.8466415987
S66x8/45-105,-20.846473749
S66x8/45-110,-20.8463973292
S66x8/45-125,-20.8463508522
S66x8/45-150,-20.8463449122
S66x8/45-200,-20.8463212349
S66x8/46-A,-16.1326430233
S66x8/46-B,-15.8591225051
S66x8/46-090,-31.9958798099
S66x8/46-095,-31.9946751308
S66x8/46-100,-31.9937705076
S66x8/46-105,-31.9931542472
S66x8/46-110,-31.9927607163
S66x8/46-125,-31.9922740071
S66x8/46-150,-31.992071538
S66x8/46-200,-31.9919756784
S66x8/47-A,-15.2210333199
S66x8/47-B,-15.2211786808
S66x8/47-090,-30.4441838448
S66x8/47-095,-30.4437350694
S66x8/47-100,-30.4431645079
S66x8/47-105,-30.4427336
S66x8/47-110,-30.4424677186
S66x8/47-125,-30.4422007191
S66x8/47-150,-30.4421247928
S66x8/47-200,-30.4420708113
S66x8/48-A,-15.5152958655
S66x8/48-B,-15.5152513197
S66x8/48-090,-31.0330274506
S66x8/48-095,-31.0326365529
S66x8/48-100,-31.0320974142
S66x8/48-105,-31.0316513395
S66x8/48-110,-31.031344226
S66x8/48-125,-31.0309543781
S66x8/48-150,-31.0307817232
S66x8/48-200,-31.0306474401
S66x8/49-A,-15.2210415668
S66x8/49-B,-15.515220864
S66x8/49-090,-30.7386898172
S66x8/49-095,-30.73827921
S66x8/49-100,-30.7376813537
S66x8/49-105,-30.7372073416
S66x8/49-110,-30.7369029193
S66x8/49-125,-30.7365703482
S66x8/49-150,-30.7364493505
S66x8/49-200,-30.7363516853
S66x8/50-A,-15.2210363155
S66x8/50-B,-4.9872486646
S66x8/50-090,-20.2117851379
S66x8/50-095,-20.2111389519
S66x8/50-100,-20.2103598017
S66x8/50-105,-20.20975131
S66x8/50-110,-20.209352339
S66x8/50-125,-20.2088755477
S66x8/50-150,-20.2086574142
S66x8/50-200,-20.2084839619
S66x8/51-A,-4.9872121506
S66x8/51-B,-4.9872534783
S66x8/51-090,-9.9767890526
S66x8/51-095,-9.9760829733
S66x8/51-100,-9.9755282063
S66x8/51-105,-9.9751564842
S66x8/51-110,-9.9749299282
S66x8/51-125,-9.9746709632
S66x8/51-150,-9.9745553478
S66x8/51-200,-9.9744681099
S66x8/52-A,-15.2210304691
S66x8/52-B,-13.7306287728
S66x8/52-090,-28.9589394982
S66x8/52-095,-28.9578050273
S66x8/52-100,-28.9564821519
S66x8/52-105,-28.9553156526
S66x8/52-110,-28.9544203523
S66x8/52-125,-28.9530614424
S66x8/52-150,-28.9524259948
S66x8/52-200,-28.951967387
S66x8/53-A,-15.2210068417
S66x8/53-B,-13.1558107322
S66x8/53-090,-28.3823004598
S66x8/53-095,-28.3814170332
S66x8/53-100,-28.3804557295
S66x8/53-105,-28.3796459248
S66x8/53-110,-28.3790427851
S66x8/53-125,-28.3781169446
S66x8/53-150,-28.3775643598
S66x8/53-200,-28.3770834428
S66x8/54-A,-15.2210602132
S66x8/54-B,-4.7592144397
S66x8/54-090,-19.9851300239
S66x8/54-095,-19.9840690064
S66x8/54-100,-19.9830991087
S66x8/54-105,-19.9823619546
S66x8/54-110,-19.9818567415
S66x8/54-125,-19.9811738121
S66x8/54-150,-19.9808186131
S66x8/54-200,-19.9805051053
S66x8/55-A,-15.2210878172
S66x8/55-B,-7.7400950442
S66x8/55-090,-22.9662138362
S66x8/55-095,-22.9653012423
S66x8/55-100,-22.9643106205
S66x8/55-105,-22.9634800787
S66x8/55-110,-22.9628717656
S66x8/55-125,-22.9620206226
S66x8/55-150,-22.9616597176
S66x8/55-200,-22.9613715006
S66x8/56-A,-15.221033585
S66x8/56-B,-7.1783955205
S66x8/56-090,-22.4025131266
S66x8/56-095,-22.4017412902
S66x8/56-100,-22.4010393494
S66x8/56-105,-22.4004907613
S66x8/56-110,-22.4001401425
S66x8/56-125,-22.3997701543
S66x8/56-150,-22.399645511
S66x8/56-200,-22.3995390582
S66x8/57-A,-15.2210996412
S66x8/57-B,-16.1324978244
S66x8/57-090,-31.3589383351
S66x8/57-095,-31.3580313173
S66x8/57-100,-31.3569454406
S66x8/57-105,-31.3560628252
S66x8/57-110,-31.355449265
S66x8/57-125,-31.3546338624
S66x8/57-150,-31.3542285936
S66x8/57-200,-31.3538807942
S66x8/58-A,-15.5154341714
S66x8/58-B,-15.5152394407
S66x8/58-090,-31.033218195
S66x8/58-095,-31.0338336965
S66x8/58-100,-31.0331625235
S66x8/58-105,-31.0323372627
S66x8/58-110,-31.0317762217
S66x8/58-125,-31.0311385565
S66x8/58-150,-31.0308994092
S66x8/58-200,-31.0307535269
S66x8/59-A,-4.9872762516
S66x8/59-B,-4.7593674129
S66x8/59-090,-9.7498971974
S66x8/59-095,-9.749861284
S66x8/59-100,-9.7494712203
S66x8/59-105,-9.7489822706
S66x8/59-110,-9.7485218667
S66x8/59-125,-9.7476041984
S66x8/59-150,-9.7470083765
S66x8/59-200,-9.7465547165
S66x8/60-A,-4.9872140223
S66x8/60-B,-13.7307561432
S66x8/60-090,-18.7264133139
S66x8/60-095,-18.7254776185
S66x8/60-100,-18.7241395655
S66x8/60-105,-18.7228206037
S66x8/60-110,-18.7217127716
S66x8/60-125,-18.7197970957
S66x8/60-150,-18.7188356333
S66x8/60-200,-18.7182565885
S66x8/61-A,-15.8593319188
S66x8/61-B,-13.7305873324
S66x8/61-090,-29.592518057
S66x8/61-095,-29.591746912
S66x8/61-100,-29.5911803668
S66x8/61-105,-29.5907926195
S66x8/61-110,-29.5905396937
S66x8/61-125,-29.5902066903
S66x8/61-150,-29.5900457554
S66x8/61-200,-29.5899662549
S66x8/62-A,-15.8593158726
S66x8/62-B,-13.1559339504
S66x8/62-090,-29.0188593368
S66x8/62-095,-29.0177750287
S66x8/62-100,-29.01696792
S66x8/62-105,-29.0164180071
S66x8/62-110,-29.0160636418
S66x8/62-125,-29.0156063319
S66x8/62-150,-29.0154030785
S66x8/62-200,-29.0152869867
S66x8/63-A,-15.220966054
S66x8/63-B,-13.7305690489
S66x8/63-090,-28.9544670759
S66x8/63-095,-28.953833383
S66x8/63-100,-28.9532370493
S66x8/63-105,-28.9528096076
S66x8/63-110,-28.9525335066
S66x8/63-125,-28.9521550099
S66x8/63-150,-28.9519007127
S66x8/63-200,-28.9517002064
S66x8/64-A,-16.1324273835
S66x8/64-B,-5.933504086
S66x8/64-090,-22.0681643086
S66x8/64-095,-22.0676778514
S66x8/64-100,-22.0672106416
S66x8/64-105,-22.0668450281
S66x8/64-110,-22.0665858814
S66x8/64-125,-22.0662056182
S66x8/64-150,-22.0659841548
S66x8/64-200,-22.0658379433
S66x8/65-A,-15.5152848356
S66x8/65-B,-4.9869057483
S66x8/65-090,-20.5064557962
S66x8/65-095,-20.5063598666
S66x8/65-100,-20.5057987426
S66x8/65-105,-20.505117569
S66x8/65-110,-20.5044927842
S66x8/65-125,-20.5033463828
S66x8/65-150,-20.5027983769
S66x8/65-200,-20.5024709486
S66x8/66-A,-7.1782956536
S66x8/66-B,-15.5152812057
S66x8/66-090,-22.695890323
S66x8/66-095,-22.6959537684
S66x8/66-100,-22.695649168
S66x8/66-105,-22.6952497429
S66x8/66-110,-22.6948858101
S66x8/66-125,-22.6942564209
