system,r2SCAN/def2-QZVP/Turbomole
S66x8/02-095,-192.1512342635
S66x8/02-100,-192.1511387485
S66x8/02-105,-192.1507392568
S66x8/02-110,-192.1501800008
S66x8/02-125,-192.1482477724
S66x8/02-150,-192.1457100223
S66x8/02-200,-192.143473073
S66x8/03-A,-76.4288047679
S66x8/03-B,-95.842058674
S66x8/03-090,-172.2820350656
S66x8/03-095,-172.2823908799
S66x8/03-100,-172.2822085034
S66x8/03-105,-172.2816928393
S66x8/03-110,-172.2809956887
S66x8/03-125,-172.278602907
S66x8/03-150,-172.2754017029
S66x8/03-200,-172.2724887674
S66x8/04-A,-76.4288063975
S66x8/04-B,-248.5010200939
S66x8/04-090,-324.9425271648
S66x8/04-095,-324.9430098991
S66x8/04-100,-324.9428978997
S66x8/04-105,-324.9424181341
S66x8/04-110,-324.9417225439
S66x8/04-125,-324.9392274683
S66x8/04-150,-324.9356853001
S66x8/04-200,-324.9318997126
S66x8/05-A,-115.7131962404
S66x8/05-B,-115.7132964935
S66x8/05-090,-231.4351865395
S66x8/05-095,-231.4356806526
S66x8/05-100,-231.4356494087
S66x8/05-105,-231.4352955511
S66x8/05-110,-231.4347653265
S66x8/05-125,-231.4328594761
S66x8/05-150,-231.4302810697
S66x8/05-200,-231.4279632826
S66x8/06-A,-115.7129930792
S66x8/06-B,-95.8420568873
S66x8/06-090,-211.5666808713
S66x8/06-095,-211.5672589384
S66x8/06-100,-211.567200288
S66x8/06-105,-211.5667481283
S66x8/06-110,-211.566065058
S66x8/06-125,-211.5635788386
S66x8/06-150,-211.560122416
S66x8/06-200,-211.5569439619
S66x8/07-A,-115.7130954094
S66x8/07-B,-248.5008497673
S66x8/07-090,-364.2264916926
S66x8/07-095,-364.2271032205
S66x8/07-100,-364.2270797799
S66x8/07-105,-364.226659751
S66x8/07-110,-364.2259975455
S66x8/07-125,-364.2235184817
S66x8/07-150,-364.2194486954
S66x8/07-200,-364.2155366122
S66x8/08-A,-115.7132168515
S66x8/08-B,-76.4288095169
S66x8/08-090,-192.1500494748
S66x8/08-095,-192.1504577809
S66x8/08-100,-192.1504013797
S66x8/08-105,-192.1500619419
S66x8/08-110,-192.1495703232
S66x8/08-125,-192.1478472351
S66x8/08-150,-192.1455515349
S66x8/08-200,-192.1434688751
S66x8/09-A,-95.8420128582
S66x8/09-B,-115.7132964056
S66x8/09-090,-211.5591939992
S66x8/09-095,-211.5595541866
S66x8/09-100,-211.5595627998
S66x8/09-105,-211.559368795
S66x8/09-110,-211.5590725674
S66x8/09-125,-211.5580528312
S66x8/09-150,-211.5568278315
S66x8/09-200,-211.5558920795
S66x8/10-A,-95.8420459351
S66x8/10-B,-95.8420436746
S66x8/10-090,-191.6892558099
S66x8/10-095,-191.6898529619
S66x8/10-100,-191.6899371454
S66x8/10-105,-191.6897164451
S66x8/10-110,-191.6893297785
S66x8/10-125,-191.6879084648
S66x8/10-150,-191.6858000559
S66x8/10-200,-191.6845963286
S66x8/11-A,-95.8418993307
S66x8/11-B,-248.5010241296
S66x8/11-090,-344.3496906228
S66x8/11-095,-344.3503542898
S66x8/11-100,-344.3504687687
S66x8/11-105,-344.3502403308
S66x8/11-110,-344.3498150806
S66x8/11-125,-344.3473034694
S66x8/11-150,-344.3448008789
S66x8/11-200,-344.3436143971
S66x8/12-A,-95.8420241088
S66x8/12-B,-76.4285108425
S66x8/12-090,-172.2824155585
S66x8/12-095,-172.282887331
S66x8/12-100,-172.2827514513
S66x8/12-105,-172.2822402346
S66x8/12-110,-172.2815181502
S66x8/12-125,-172.2789871016
S66x8/12-150,-172.2755705892
S66x8/12-200,-172.2724979289
S66x8/13-A,-248.5009581144
S66x8/13-B,-115.7132977293
S66x8/13-090,-364.2222508882
S66x8/13-095,-364.2229303405
S66x8/13-100,-364.2230599572
S66x8/13-105,-364.2228525081
S66x8/13-110,-364.2224407253
S66x8/13-125,-364.2207847936
S66x8/13-150,-364.2183777494
S66x8/13-200,-364.2160834089
S66x8/14-A,-248.5007558248
S66x8/14-B,-95.8420396668
S66x8/14-090,-344.3529475331
S66x8/14-095,-344.3536811094
S66x8/14-100,-344.3537925441
S66x8/14-105,-344.3535095618
S66x8/14-110,-344.3529851505
S66x8/14-125,-344.3509065625
S66x8/14-150,-344.3478462342
S66x8/14-200,-344.3449001183
S66x8/15-A,-248.5009066348
S66x8/15-B,-248.5009643537
S66x8/15-090,-497.0131818302
S66x8/15-095,-497.0139756774
S66x8/15-100,-497.0141392572
S66x8/15-105,-497.0138905644
S66x8/15-110,-497.0133875918
S66x8/15-125,-497.0112824567
S66x8/15-150,-497.0080312687
S66x8/15-200,-497.0043367834
S66x8/16-A,-248.5010709629
S66x8/16-B,-76.4288104549
S66x8/16-090,-324.9371161501
S66x8/16-095,-324.9376548719
S66x8/16-100,-324.9377262044
S66x8/16-105,-324.937511142
S66x8/16-110,-324.9371335499
S66x8/16-125,-324.9356798912
S66x8/16-150,-324.9336205755
S66x8/16-200,-324.9316296358
S66x8/17-A,-414.8041486476
S66x8/17-B,-414.8042475235
S66x8/17-090,-829.6335323571
S66x8/17-095,-829.635014884
S66x8/17-100,-829.6351740583
S66x8/17-105,-829.6344739241
S66x8/17-110,-829.6332488481
S66x8/17-125,-829.6283360778
S66x8/17-150,-829.6208555752
S66x8/17-200,-829.6133109524
S66x8/18-A,-76.4288088225
S66x8/18-B,-248.2436698151
S66x8/18-090,-324.6830733462
S66x8/18-095,-324.6834938451
S66x8/18-100,-324.6833661011
S66x8/18-105,-324.6828995532
S66x8/18-110,-324.6822461154
S66x8/18-125,-324.6799658941
S66x8/18-150,-324.6768979638
S66x8/18-200,-324.6741106636
S66x8/19-A,-115.7130096859
S66x8/19-B,-248.2436630422
S66x8/19-090,-363.9675420279
S66x8/19-095,-363.9681426353
S66x8/19-100,-363.9681252035
S66x8/19-105,-363.967723478
S66x8/19-110,-363.9670986232
S66x8/19-125,-363.9647617715
S66x8/19-150,-363.9614722475
S66x8/19-200,-363.9584033062
S66x8/20-A,-229.0789099206
S66x8/20-B,-229.0789095753
S66x8/20-090,-458.1889800542
S66x8/20-095,-458.1904278628
S66x8/20-100,-458.1903522173
S66x8/20-105,-458.189316937
S66x8/20-110,-458.1877092603
S66x8/20-125,-458.1816337131
S66x8/20-150,-458.1726069667
S66x8/20-200,-458.1634687858
S66x8/21-A,-209.2031016475
S66x8/21-B,-209.2031044259
S66x8/21-090,-418.4305078486
S66x8/21-095,-418.4318882927
S66x8/21-100,-418.4320019068
S66x8/21-105,-418.4313110926
S66x8/21-110,-418.4301208139
S66x8/21-125,-418.4254697063
S66x8/21-150,-418.4185029282
S66x8/21-200,-418.410843321
S66x8/22-A,-229.078827028
S66x8/22-B,-414.8039704606
S66x8/22-090,-643.9129194114
S66x8/22-095,-643.9144177146
S66x8/22-100,-643.9144868396
S66x8/22-105,-643.9136315984
S66x8/22-110,-643.9122079608
S66x8/22-125,-643.9066051243
S66x8/22-150,-643.8980429654
S66x8/22-200,-643.8891025148
S66x8/23-A,-209.2030033637
S66x8/23-B,-414.80384822
S66x8/23-090,-624.0355346922
S66x8/23-095,-624.0370279876
S66x8/23-100,-624.0372097604
S66x8/23-105,-624.0365378842
S66x8/23-110,-624.0353197994
S66x8/23-125,-624.030342489
S66x8/23-150,-624.0224717058
S66x8/23-200,-624.0139239757
S66x8/24-A,-232.2045126547
S66x8/24-B,-232.2044961346
S66x8/24-090,-464.4047196764
S66x8/24-095,-464.4084047589
S66x8/24-100,-464.4100589276
S66x8/24-105,-464.4106301623
S66x8/24-110,-464.4106634005
S66x8/24-125,-464.4098429582
S66x8/24-150,-464.4090004647
S66x8/24-200,-464.4089079133
S66x8/25-A,-248.2436659561
S66x8/25-B,-248.243686303
S66x8/25-090,-496.4848846593
S66x8/25-095,-496.4884761671
S66x8/25-100,-496.4900913833
S66x8/25-105,-496.4905961405
S66x8/25-110,-496.4905317927
S66x8/25-125,-496.4893877828
S66x8/25-150,-496.4880134754
S66x8/25-200,-496.4875045012
S66x8/26-A,-414.8046993002
S66x8/26-B,-414.8046993002
S66x8/26-090,-829.6172384821
S66x8/26-095,-829.6203940371
S66x8/26-100,-829.6213470958
S66x8/26-105,-829.6211015978
S66x8/26-110,-829.6202241196
S66x8/26-125,-829.6167989281
S66x8/26-150,-829.6129693291
S66x8/26-200,-829.6105892811
S66x8/27-A,-232.2045122794
S66x8/27-B,-248.2436942401
S66x8/27-090,-480.4446692866
S66x8/27-095,-480.4485499598
S66x8/27-100,-480.4502219255
S66x8/27-105,-480.4507409254
S66x8/27-110,-480.4506923561
S66x8/27-125,-480.4496637404
S66x8/27-150,-480.4485187089
S66x8/27-200,-480.4482105932
S66x8/28-A,-232.2044290474
S66x8/28-B,-414.8052394538
S66x8/28-090,-647.0100292843
S66x8/28-095,-647.0134281066
S66x8/28-100,-647.0147936116
S66x8/28-105,-647.0150122479
S66x8/28-110,-647.0146513084
S66x8/28-125,-647.0126833688
S66x8/28-150,-647.0105615784
S66x8/28-200,-647.0096694389
S66x8/29-A,-248.2436463303
S66x8/29-B,-414.8052081361
S66x8/29-090,-663.0494667816
S66x8/29-095,-663.0541110252
S66x8/29-100,-663.0557468724
S66x8/29-105,-663.0558673242
S66x8/29-110,-663.0552994496
S66x8/29-125,-663.052845064
S66x8/29-150,-663.050470135
S66x8/29-200,-663.049289466
S66x8/30-A,-232.2045045941
S66x8/30-B,-78.5671302479
S66x8/30-090,-310.7699295408
S66x8/30-095,-310.7716126916
S66x8/30-100,-310.7723210599
S66x8/30-105,-310.7725130805
S66x8/30-110,-310.7724509469
S66x8/30-125,-310.7719222194
S66x8/30-150,-310.7714828381
S66x8/30-200,-310.7715079456
S66x8/31-A,-414.8052547548
S66x8/31-B,-78.5671308271
S66x8/31-090,-493.3740695028
S66x8/31-095,-493.3754215622
S66x8/31-100,-493.3758804067
S66x8/31-105,-493.3758583518
S66x8/31-110,-493.3755904627
S66x8/31-125,-493.3744470165
S66x8/31-150,-493.3732024945
S66x8/31-200,-493.3725356547
S66x8/32-A,-414.8052500971
S66x8/32-B,-77.3111340459
S66x8/32-090,-492.1186375823
S66x8/32-095,-492.1201328656
S66x8/32-100,-492.1206341009
S66x8/32-105,-492.1205802767
S66x8/32-110,-492.1202509402
S66x8/32-125,-492.1188694198
S66x8/32-150,-492.1173262615
S66x8/32-200,-492.1164400163
S66x8/33-A,-248.2437023811
S66x8/33-B,-78.5670977484
S66x8/33-090,-326.8102222701
S66x8/33-095,-326.8116421106
S66x8/33-100,-326.8122384377
S66x8/33-105,-326.8123710685
S66x8/33-110,-326.8122729939
S66x8/33-125,-326.8116051925
S66x8/33-150,-326.8109346953
S66x8/33-200,-326.8107660447
S66x8/34-A,-197.7195458012
S66x8/34-B,-197.7195004307
S66x8/34-090,-395.4393848244
S66x8/34-095,-395.4410085523
S66x8/34-100,-395.4416375101
S66x8/34-105,-395.4417220251
S66x8/34-110,-395.4415324758
S66x8/34-125,-395.4406154192
S66x8/34-150,-395.4396828696
S66x8/34-200,-395.4393274018
S66x8/35-A,-197.7195287806
S66x8/35-B,-197.7246561779
S66x8/35-090,-395.4437378134
S66x8/35-095,-395.445141311
S66x8/35-100,-395.4456569864
S66x8/35-105,-395.4457433264
S66x8/35-110,-395.4456229812
S66x8/35-125,-395.4450506562
S66x8/35-150,-395.4444802281
S66x8/35-200,-395.4442685717
S66x8/36-A,-197.7246649757
S66x8/36-B,-197.7246888099
S66x8/36-090,-395.4488671242
S66x8/36-095,-395.4495813427
S66x8/36-100,-395.4498705714
S66x8/36-105,-395.4499497451
S66x8/36-110,-395.4499186327
S66x8/36-125,-395.4496380469
S66x8/36-150,-395.4493225097
S66x8/36-200,-395.4491907459
S66x8/37-A,-196.5106343162
S66x8/37-B,-197.7245772556
S66x8/37-090,-394.2344302279
S66x8/37-095,-394.2358195926
S66x8/37-100,-394.2363845682
S66x8/37-105,-394.2365227363
S66x8/37-110,-394.2364683958
S66x8/37-125,-394.2360131664
S66x8/37-150,-394.2354927731
S66x8/37-200,-394.2352741927
S66x8/38-A,-196.5106062996
S66x8/38-B,-196.5106110605
S66x8/38-090,-393.0207063629
S66x8/38-095,-393.022048086
S66x8/38-100,-393.022679706
S66x8/38-105,-393.022801385
S66x8/38-110,-393.0226973232
S66x8/38-125,-393.0220751595
S66x8/38-150,-393.0214494626
S66x8/38-200,-393.021226605
S66x8/39-A,-232.2044983348
S66x8/39-B,-196.5105830954
S66x8/39-090,-428.7143269352
S66x8/39-095,-428.7165863797
S66x8/39-100,-428.7175657413
S66x8/39-105,-428.7178081238
S66x8/39-110,-428.7176534747
S66x8/39-125,-428.7166443049
S66x8/39-150,-428.7155541933
S66x8/39-200,-428.7151205711
S66x8/40-A,-232.2044915755
S66x8/40-B,-197.724677142
S66x8/40-090,-429.9286301713
S66x8/40-095,-429.9303901498
S66x8/40-100,-429.9311183507
S66x8/40-105,-429.9312913128
S66x8/40-110,-429.9311787375
S66x8/40-125,-429.9303988365
S66x8/40-150,-429.9295338223
S66x8/40-200,-429.929170956
S66x8/41-A,-414.8052629596
S66x8/41-B,-197.7196077262
S66x8/41-090,-612.5262697286
S66x8/41-095,-612.5281601187
S66x8/41-100,-612.5288253073
S66x8/41-105,-612.5288182549
S66x8/41-110,-612.5283791105
S66x8/41-125,-612.5266827475
S66x8/41-150,-612.5253121059
S66x8/41-200,-612.5248867625
S66x8/42-A,-414.8052671645
S66x8/42-B,-196.5105910624
S66x8/42-090,-611.3162135099
S66x8/42-095,-611.3182149805
S66x8/42-100,-611.3189307258
S66x8/42-105,-611.3189776132
S66x8/42-110,-611.3187069942
S66x8/42-125,-611.3175067126
S66x8/42-150,-611.3163444806
S66x8/42-200,-611.3159000964
S66x8/43-A,-414.805264964
S66x8/43-B,-197.72457725
S66x8/43-090,-612.5308806807
S66x8/43-095,-612.5324902001
S66x8/43-100,-612.5330085859
S66x8/43-105,-612.5329689365
S66x8/43-110,-612.5326767033
S66x8/43-125,-612.5315114221
S66x8/43-150,-612.5303686377
S66x8/43-200,-612.5298733277
S66x8/44-A,-78.5671301515
S66x8/44-B,-197.719585927
S66x8/44-090,-276.2872709785
S66x8/44-095,-276.2879747869
S66x8/44-100,-276.2881815705
S66x8/44-105,-276.2881440729
S66x8/44-110,-276.2879946353
S66x8/44-125,-276.28746297
S66x8/44-150,-276.2869737175
S66x8/44-200,-276.2867877289
S66x8/45-A,-77.3111460888
S66x8/45-B,-197.7195748266
S66x8/45-090,-275.0306242701
S66x8/45-095,-275.0316487862
S66x8/45-100,-275.03202681
S66x8/45-105,-275.0320770757
S66x8/45-110,-275.0319655221
S66x8/45-125,-275.0314113291
S66x8/45-150,-275.0308460408
S66x8/45-200,-275.0305773955
S66x8/46-A,-248.5011118142
S66x8/46-B,-197.7195066912
S66x8/46-090,-446.2230526966
S66x8/46-095,-446.2240972363
S66x8/46-100,-446.2244353004
S66x8/46-105,-446.2243671036
S66x8/46-110,-446.2240868287
S66x8/46-125,-446.2229168806
S66x8/46-150,-446.2214632528
S66x8/46-200,-446.2208229087
S66x8/47-A,-232.204481848
S66x8/47-B,-232.2044129487
S66x8/47-090,-464.4083419988
S66x8/47-095,-464.4102660592
S66x8/47-100,-464.4110817851
S66x8/47-105,-464.4112973396
S66x8/47-110,-464.411211438
S66x8/47-125,-464.4104384989
S66x8/47-150,-464.409534181
S66x8/47-200,-464.4090948236
S66x8/48-A,-248.2436697628
S66x8/48-B,-248.2436391717
S66x8/48-090,-496.4882600135
S66x8/48-095,-496.4898321692
S66x8/48-100,-496.490486811
S66x8/48-105,-496.4906191569
S66x8/48-110,-496.4904700258
S66x8/48-125,-496.4895301759
S66x8/48-150,-496.4883661899
S66x8/48-200,-496.4876544344
S66x8/49-A,-232.204482431
S66x8/49-B,-248.2436600391
S66x8/49-090,-480.4482686492
S66x8/49-095,-480.4502025637
S66x8/49-100,-480.451002228
S66x8/49-105,-480.4511814261
S66x8/49-110,-480.4510510157
S66x8/49-125,-480.4501347984
S66x8/49-150,-480.4490539046
S66x8/49-200,-480.4484420249
S66x8/50-A,-232.2044736216
S66x8/50-B,-77.3111920724
S66x8/50-090,-309.5170223376
S66x8/50-095,-309.5183796546
S66x8/50-100,-309.5188609215
S66x8/50-105,-309.5188571303
S66x8/50-110,-309.5186232135
S66x8/50-125,-309.5176252846
S66x8/50-150,-309.5165196148
S66x8/50-200,-309.5158358943
S66x8/51-A,-77.3111562752
S66x8/51-B,-77.3112045026
S66x8/51-090,-154.6238164911
S66x8/51-095,-154.6242337465
S66x8/51-100,-154.6243303708
S66x8/51-105,-154.6242552156
S66x8/51-110,-154.6240945328
S66x8/51-125,-154.6235232469
S66x8/51-150,-154.6228943293
S66x8/51-200,-154.6224787492
S66x8/52-A,-232.2044723585
S66x8/52-B,-229.080863056
S66x8/52-090,-461.2904739031
S66x8/52-095,-461.2915084866
S66x8/52-100,-461.2917595261
S66x8/52-105,-461.2915702686
S66x8/52-110,-461.2911434252
S66x8/52-125,-461.2894888198
S66x8/52-150,-461.2874421335
S66x8/52-200,-461.2859452464
S66x8/53-A,-232.2044743856
S66x8/53-B,-209.2039973259
S66x8/53-090,-441.4130006885
S66x8/53-095,-441.4138299044
S66x8/53-100,-441.4140642123
S66x8/53-105,-441.41393689
S66x8/53-110,-441.4136080986
S66x8/53-125,-441.4122621747
S66x8/53-150,-441.4104668857
S66x8/53-200,-441.4089771162
S66x8/54-A,-232.204465303
S66x8/54-B,-76.4287646611
S66x8/54-090,-308.6378066069
S66x8/54-095,-308.6384123814
S66x8/54-100,-308.6384570094
S66x8/54-105,-308.6381940243
S66x8/54-110,-308.6377871652
S66x8/54-125,-308.6364298981
S66x8/54-150,-308.6348856856
S66x8/54-200,-308.6337750152
S66x8/55-A,-232.204451284
S66x8/55-B,-115.7132629084
S66x8/55-090,-347.9221045549
S66x8/55-095,-347.9231120253
S66x8/55-100,-347.923389353
S66x8/55-105,-347.9232512937
S66x8/55-110,-347.9228801386
S66x8/55-125,-347.9214151161
S66x8/55-150,-347.9196157351
S66x8/55-200,-347.9183282311
S66x8/56-A,-232.2044799407
S66x8/56-B,-95.8420204289
S66x8/56-090,-328.0486392902
S66x8/56-095,-328.0497572993
S66x8/56-100,-328.0501583485
S66x8/56-105,-328.0501400178
S66x8/56-110,-328.0498638459
S66x8/56-125,-328.0487212971
S66x8/56-150,-328.0474762486
S66x8/56-200,-328.0467670079
S66x8/57-A,-232.2044548129
S66x8/57-B,-248.5010932952
S66x8/57-090,-480.708247659
S66x8/57-095,-480.7105984574
S66x8/57-100,-480.7114627143
S66x8/57-105,-480.7115264013
S66x8/57-110,-480.7111796462
S66x8/57-125,-480.7095145506
S66x8/57-150,-480.7075308137
S66x8/57-200,-480.7062328738
S66x8/58-A,-248.2436369752
S66x8/58-B,-248.2436090801
S66x8/58-090,-496.4891747633
S66x8/58-095,-496.4909345044
S66x8/58-100,-496.4917101812
S66x8/58-105,-496.4915501623
S66x8/58-110,-496.4910845017
S66x8/58-125,-496.4896223799
S66x8/58-150,-496.4883081476
S66x8/58-200,-496.4875379503
S66x8/59-A,-77.3112266419
S66x8/59-B,-76.4288061745
S66x8/59-090,-153.7438631503
S66x8/59-095,-153.7442232781
S66x8/59-100,-153.7442489548
S66x8/59-105,-153.7440817982
S66x8/59-110,-153.7438092492
S66x8/59-125,-153.7428339077
S66x8/59-150,-153.7415744191
S66x8/59-200,-153.7404711152
S66x8/60-A,-77.3111395976
S66x8/60-B,-229.0808303728
S66x8/60-090,-306.3990823502
S66x8/60-095,-306.3997120139
S66x8/60-100,-306.3997198563
S66x8/60-105,-306.3993695803
S66x8/60-110,-306.3988255551
S66x8/60-125,-306.3969202669
S66x8/60-150,-306.3945344546
S66x8/60-200,-306.3926731793
S66x8/61-A,-197.7195640922
S66x8/61-B,-229.0809506734
S66x8/61-090,-426.802439352
S66x8/61-095,-426.8029302559
S66x8/61-100,-426.8030555307
S66x8/61-105,-426.8029680128
S66x8/61-110,-426.8027674459
S66x8/61-125,-426.8019917362
S66x8/61-150,-426.8009956103
S66x8/61-200,-426.8005874512
S66x8/62-A,-197.7195998269
S66x8/62-B,-209.2040200386
S66x8/62-090,-406.925929695
S66x8/62-095,-406.926692482
S66x8/62-100,-406.926891071
S66x8/62-105,-406.9267743013
S66x8/62-110,-406.9265030535
S66x8/62-125,-406.9254781213
S66x8/62-150,-406.9243571582
S66x8/62-200,-406.9237497217
S66x8/63-A,-232.2044991695
S66x8/63-B,-229.0809118558
S66x8/63-090,-461.2870197031
S66x8/63-095,-461.2887391325
S66x8/63-100,-461.289329759
S66x8/63-105,-461.2893230648
S66x8/63-110,-461.2890130522
S66x8/63-125,-461.2877072802
S66x8/63-150,-461.2862980283
S66x8/63-200,-461.2855949605
S66x8/64-A,-248.5010678343
S66x8/64-B,-78.5671865985
S66x8/64-090,-327.0705531015
S66x8/64-095,-327.0712525004
S66x8/64-100,-327.0714469357
S66x8/64-105,-327.0713529624
S66x8/64-110,-327.0711092576
S66x8/64-125,-327.0701621507
S66x8/64-150,-327.0690000755
S66x8/64-200,-327.068317628
S66x8/65-A,-248.2436871219
S66x8/65-B,-77.3107348814
S66x8/65-090,-325.5599353263
S66x8/65-095,-325.5603793433
S66x8/65-100,-325.5604169416
S66x8/65-105,-325.560214319
S66x8/65-110,-325.5598757527
S66x8/65-125,-325.5586321913
S66x8/65-150,-325.5569966423
S66x8/65-200,-325.5556086179
S66x8/66-A,-95.8419910281
S66x8/66-B,-248.2436735991
S66x8/66-090,-344.0895529591
S66x8/66-095,-344.0902856717
S66x8/66-100,-344.0905015017
S66x8/66-105,-344.090399632
S66x8/66-110,-344.0901166561
S66x8/66-125,-344.0889331253
