system,PWP1/def2-QZVP/ORCA
S66x8/02-095,-192.2012456443
S66x8/02-100,-192.2010292679
S66x8/02-105,-192.2005301968
S66x8/02-110,-192.1998819979
S66x8/02-125,-192.1977538975
S66x8/02-150,-192.1950160047
S66x8/02-200,-192.1925262087
S66x8/03-A,-76.4460609267
S66x8/03-B,-95.8749663854
S66x8/03-090,-172.333603179
S66x8/03-095,-172.3338508313
S66x8/03-100,-172.3335559564
S66x8/03-105,-172.3329358082
S66x8/03-110,-172.3321375543
S66x8/03-125,-172.3294787139
S66x8/03-150,-172.3259638948
S66x8/03-200,-172.3227233771
S66x8/04-A,-76.4460601288
S66x8/04-B,-248.5673841493
S66x8/04-090,-325.0272877182
S66x8/04-095,-325.0276186259
S66x8/04-100,-325.0273753949
S66x8/04-105,-325.0267797885
S66x8/04-110,-325.025986909
S66x8/04-125,-325.0232930602
S66x8/04-150,-325.0196230248
S66x8/04-200,-325.0156036779
S66x8/05-A,-115.7450258369
S66x8/05-B,-115.7450476362
S66x8/05-090,-231.4999487107
S66x8/05-095,-231.5003245193
S66x8/05-100,-231.5001865633
S66x8/05-105,-231.4997414609
S66x8/05-110,-231.4991286608
S66x8/05-125,-231.497033351
S66x8/05-150,-231.4942571974
S66x8/05-200,-231.4916861824
S66x8/06-A,-115.7448159212
S66x8/06-B,-95.8749288617
S66x8/06-090,-211.6326683531
S66x8/06-095,-211.633168136
S66x8/06-100,-211.6330274394
S66x8/06-105,-211.632497088
S66x8/06-110,-211.6317440852
S66x8/06-125,-211.6290566385
S66x8/06-150,-211.6253291835
S66x8/06-200,-211.6218220387
S66x8/07-A,-115.744893671
S66x8/07-B,-248.567157386
S66x8/07-090,-364.3258196187
S66x8/07-095,-364.3263047919
S66x8/07-100,-364.3261619755
S66x8/07-105,-364.3256315639
S66x8/07-110,-364.324880699
S66x8/07-125,-364.3222151816
S66x8/07-150,-364.3179693324
S66x8/07-200,-364.3137807506
S66x8/08-A,-115.7450432451
S66x8/08-B,-76.4460367842
S66x8/08-090,-192.2003625867
S66x8/08-095,-192.200627034
S66x8/08-100,-192.2004407521
S66x8/08-105,-192.1999914258
S66x8/08-110,-192.1994027221
S66x8/08-125,-192.1974479722
S66x8/08-150,-192.1949282122
S66x8/08-200,-192.1926124069
S66x8/09-A,-95.8749613717
S66x8/09-B,-115.7450660578
S66x8/09-090,-211.6249318262
S66x8/09-095,-211.6251794274
S66x8/09-100,-211.6250943
S66x8/09-105,-211.6248206432
S66x8/09-110,-211.6244521969
S66x8/09-125,-211.623267554
S66x8/09-150,-211.6218351435
S66x8/09-200,-211.6206756352
S66x8/10-A,-95.8750074855
S66x8/10-B,-95.8749361351
S66x8/10-090,-191.7562249385
S66x8/10-095,-191.7567007657
S66x8/10-100,-191.7566947505
S66x8/10-105,-191.7563985578
S66x8/10-110,-191.7559420682
S66x8/10-125,-191.7543506885
S66x8/10-150,-191.7519870802
S66x8/10-200,-191.7505002714
S66x8/11-A,-95.8747711771
S66x8/11-B,-248.5673146033
S66x8/11-090,-344.4496825785
S66x8/11-095,-344.4502512356
S66x8/11-100,-344.4502938266
S66x8/11-105,-344.4500252058
S66x8/11-110,-344.4495757967
S66x8/11-125,-344.4469675912
S66x8/11-150,-344.4443285555
S66x8/11-200,-344.4428866452
S66x8/12-A,-95.8748953495
S66x8/12-B,-76.4456315765
S66x8/12-090,-172.3337987388
S66x8/12-095,-172.3341847156
S66x8/12-100,-172.3339561784
S66x8/12-105,-172.3333554439
S66x8/12-110,-172.3325484622
S66x8/12-125,-172.3298032351
S66x8/12-150,-172.3261402366
S66x8/12-200,-172.3227709986
S66x8/13-A,-248.567231944
S66x8/13-B,-115.7450722829
S66x8/13-090,-364.3215161273
S66x8/13-095,-364.3220503198
S66x8/13-100,-364.322059966
S66x8/13-105,-364.3217496938
S66x8/13-110,-364.3212554228
S66x8/13-125,-364.3194227572
S66x8/13-150,-364.3168360634
S66x8/13-200,-364.3142861785
S66x8/14-A,-248.567041509
S66x8/14-B,-95.8748861829
S66x8/14-090,-344.4532321864
S66x8/14-095,-344.4538908578
S66x8/14-100,-344.4539319979
S66x8/14-105,-344.4535850132
S66x8/14-110,-344.4530092543
S66x8/14-125,-344.4507740876
S66x8/14-150,-344.4474917421
S66x8/14-200,-344.4442410742
S66x8/15-A,-248.5672937613
S66x8/15-B,-248.5673855274
S66x8/15-090,-497.1470628158
S66x8/15-095,-497.1477251264
S66x8/15-100,-497.1477675491
S66x8/15-105,-497.1474243567
S66x8/15-110,-497.1468546201
S66x8/15-125,-497.1446304108
S66x8/15-150,-497.141241039
S66x8/15-200,-497.1373231724
S66x8/16-A,-248.5674722354
S66x8/16-B,-76.4460402197
S66x8/16-090,-325.0221429835
S66x8/16-095,-325.0225069841
S66x8/16-100,-325.0224280436
S66x8/16-105,-325.022085316
S66x8/16-110,-325.0215960452
S66x8/16-125,-325.0198941884
S66x8/16-150,-325.0176016648
S66x8/16-200,-325.0153659233
S66x8/17-A,-414.8918827693
S66x8/17-B,-414.8920067388
S66x8/17-090,-829.8116777085
S66x8/17-095,-829.8128878461
S66x8/17-100,-829.8127619338
S66x8/17-105,-829.8117991793
S66x8/17-110,-829.8103440007
S66x8/17-125,-829.804966242
S66x8/17-150,-829.7970562143
S66x8/17-200,-829.7890793821
S66x8/18-A,-76.4460553526
S66x8/18-B,-248.308580187
S66x8/18-090,-324.7666364373
S66x8/18-095,-324.7669416869
S66x8/18-100,-324.766695277
S66x8/18-105,-324.7661176931
S66x8/18-110,-324.7653585348
S66x8/18-125,-324.7628104961
S66x8/18-150,-324.7594370307
S66x8/18-200,-324.7563182843
S66x8/19-A,-115.744818482
S66x8/19-B,-248.3085748775
S66x8/19-090,-364.0655754029
S66x8/19-095,-364.0661100975
S66x8/19-100,-364.0660203285
S66x8/19-105,-364.0655411909
S66x8/19-110,-364.0647192451
S66x8/19-125,-364.0623058183
S66x8/19-150,-364.0586111794
S66x8/19-200,-364.0552134118
S66x8/20-A,-229.1292171935
S66x8/20-B,-229.1292330823
S66x8/20-090,-458.2918566728
S66x8/20-095,-458.2931000619
S66x8/20-100,-458.2928098794
S66x8/20-105,-458.2915580363
S66x8/20-110,-458.2897439098
S66x8/20-125,-458.2831871096
S66x8/20-150,-458.2737608909
S66x8/20-200,-458.2643307013
S66x8/21-A,-209.2547517679
S66x8/21-B,-209.2547555974
S66x8/21-090,-418.5364949268
S66x8/21-095,-418.5375991786
S66x8/21-100,-418.5374405568
S66x8/21-105,-418.5364873182
S66x8/21-110,-418.5350711433
S66x8/21-125,-418.5298982181
S66x8/21-150,-418.5224840945
S66x8/21-200,-418.5143731265
S66x8/22-A,-229.1291588865
S66x8/22-B,-414.8917341951
S66x8/22-090,-644.0535403272
S66x8/22-095,-644.054816605
S66x8/22-100,-644.0546553489
S66x8/22-105,-644.0535746895
S66x8/22-110,-644.0519403721
S66x8/22-125,-644.0458395982
S66x8/22-150,-644.0368216828
S66x8/22-200,-644.027489494
S66x8/23-A,-209.2546504249
S66x8/23-B,-414.891576683
S66x8/23-090,-624.1776324325
S66x8/23-095,-624.1788727966
S66x8/23-100,-624.1788115021
S66x8/23-105,-624.1779083916
S66x8/23-110,-624.1764880127
S66x8/23-125,-624.1710218917
S66x8/23-150,-624.1626584847
S66x8/23-200,-624.1536602728
S66x8/24-A,-232.269832042
S66x8/24-B,-232.2697892712
S66x8/24-090,-464.5334013161
S66x8/24-095,-464.5372896627
S66x8/24-100,-464.5392908268
S66x8/24-105,-464.5402201581
S66x8/24-110,-464.5404978176
S66x8/24-125,-464.5402495178
S66x8/24-150,-464.5396559995
S66x8/24-200,-464.5394653522
S66x8/25-A,-248.3085334242
S66x8/25-B,-248.3085694435
S66x8/25-090,-496.6126101893
S66x8/25-095,-496.6165021645
S66x8/25-100,-496.6184278975
S66x8/25-105,-496.6192515763
S66x8/25-110,-496.6194761323
S66x8/25-125,-496.6189309197
S66x8/25-150,-496.6178716424
S66x8/25-200,-496.617242654
S66x8/26-A,-414.8923533733
S66x8/26-B,-414.8923533994
S66x8/26-090,-829.7892001601
S66x8/26-095,-829.7927968157
S66x8/26-100,-829.794243433
S66x8/26-105,-829.7944473497
S66x8/26-110,-829.7939898283
S66x8/26-125,-829.7916034664
S66x8/26-150,-829.7884305839
S66x8/26-200,-829.7859339061
S66x8/27-A,-232.2698242872
S66x8/27-B,-248.3085843725
S66x8/27-090,-480.5728722035
S66x8/27-095,-480.5769998628
S66x8/27-100,-480.5789839455
S66x8/27-105,-480.5798612255
S66x8/27-110,-480.5800876717
S66x8/27-125,-480.579622949
S66x8/27-150,-480.5787484639
S66x8/27-200,-480.5783251412
S66x8/28-A,-232.2696746375
S66x8/28-B,-414.8929782476
S66x8/28-090,-647.1602770233
S66x8/28-095,-647.1640164929
S66x8/28-100,-647.1657565495
S66x8/28-105,-647.1664275706
S66x8/28-110,-647.1664690898
S66x8/28-125,-647.1653036209
S66x8/28-150,-647.1636913861
S66x8/28-200,-647.1626791557
S66x8/29-A,-248.3085045444
S66x8/29-B,-414.8929753044
S66x8/29-090,-663.1992628841
S66x8/29-095,-663.2043217506
S66x8/29-100,-663.2064341558
S66x8/29-105,-663.2070320702
S66x8/29-110,-663.2068530451
S66x8/29-125,-663.2052306039
S66x8/29-150,-663.2032272762
S66x8/29-200,-663.2018741536
S66x8/30-A,-232.2698100589
S66x8/30-B,-78.5931231781
S66x8/30-090,-310.8605117601
S66x8/30-095,-310.8623032708
S66x8/30-100,-310.8631327906
S66x8/30-105,-310.8634445206
S66x8/30-110,-310.8634988351
S66x8/30-125,-310.8632181981
S66x8/30-150,-310.8628855811
S66x8/30-200,-310.8628191117
S66x8/31-A,-414.8930352365
S66x8/31-B,-78.5931065006
S66x8/31-090,-493.4870412478
S66x8/31-095,-493.4885030229
S66x8/31-100,-493.4890899471
S66x8/31-105,-493.4892122055
S66x8/31-110,-493.4890798986
S66x8/31-125,-493.4882235473
S66x8/31-150,-493.4870878662
S66x8/31-200,-493.4862734417
S66x8/32-A,-414.8930859077
S66x8/32-B,-77.3302456541
S66x8/32-090,-492.2249985117
S66x8/32-095,-492.2265247561
S66x8/32-100,-492.227085718
S66x8/32-105,-492.227115756
S66x8/32-110,-492.22688026
S66x8/32-125,-492.2257168227
S66x8/32-150,-492.2242903086
S66x8/32-200,-492.2232750699
S66x8/33-A,-248.3086061496
S66x8/33-B,-78.5930900914
S66x8/33-090,-326.900383975
S66x8/33-095,-326.9018991647
S66x8/33-100,-326.9026171775
S66x8/33-105,-326.9028759934
S66x8/33-110,-326.9028825975
S66x8/33-125,-326.9024646219
S66x8/33-150,-326.9019303503
S66x8/33-200,-326.9016679021
S66x8/34-A,-197.7950385351
S66x8/34-B,-197.7950026769
S66x8/34-090,-395.5902255118
S66x8/34-095,-395.591909533
S66x8/34-100,-395.5925528496
S66x8/34-105,-395.5928439314
S66x8/34-110,-395.5928603015
S66x8/34-125,-395.5920529766
S66x8/34-150,-395.5909468192
S66x8/34-200,-395.5902290977
S66x8/35-A,-197.7950220593
S66x8/35-B,-197.7986864885
S66x8/35-090,-395.5940981724
S66x8/35-095,-395.5955089786
S66x8/35-100,-395.5959737999
S66x8/35-105,-395.5959288731
S66x8/35-110,-395.5957867721
S66x8/35-125,-395.5951825229
S66x8/35-150,-395.5944726462
S66x8/35-200,-395.5939839895
S66x8/36-A,-197.7987080278
S66x8/36-B,-197.7987288095
S66x8/36-090,-395.5980236725
S66x8/36-095,-395.5986702321
S66x8/36-100,-395.5989286059
S66x8/36-105,-395.5989513961
S66x8/36-110,-395.598873023
S66x8/36-125,-395.5984499437
S66x8/36-150,-395.5979354611
S66x8/36-200,-395.5976019556
S66x8/37-A,-196.582791221
S66x8/37-B,-197.798685135
S66x8/37-090,-394.3816344113
S66x8/37-095,-394.3828806822
S66x8/37-100,-394.3833508166
S66x8/37-105,-394.3834905368
S66x8/37-110,-394.3834493539
S66x8/37-125,-394.3829235245
S66x8/37-150,-394.382225193
S66x8/37-200,-394.3817440112
S66x8/38-A,-196.5825930479
S66x8/38-B,-196.5826416728
S66x8/38-090,-393.1655530253
S66x8/38-095,-393.1668461542
S66x8/38-100,-393.1673727653
S66x8/38-105,-393.1674437543
S66x8/38-110,-393.1674193511
S66x8/38-125,-393.1666361032
S66x8/38-150,-393.1657988795
S66x8/38-200,-393.1652692571
S66x8/39-A,-232.2697951126
S66x8/39-B,-196.5826589265
S66x8/39-090,-428.8510629893
S66x8/39-095,-428.8533952387
S66x8/39-100,-428.8545103782
S66x8/39-105,-428.8548822341
S66x8/39-110,-428.8548536911
S66x8/39-125,-428.8540993187
S66x8/39-150,-428.8530912738
S66x8/39-200,-428.8524497825
S66x8/40-A,-232.2697805639
S66x8/40-B,-197.7987187261
S66x8/40-090,-430.0679276802
S66x8/40-095,-430.0697679819
S66x8/40-100,-430.0705461833
S66x8/40-105,-430.0708042572
S66x8/40-110,-430.0707914445
S66x8/40-125,-430.0701687844
S66x8/40-150,-430.0692751992
S66x8/40-200,-430.0687336283
S66x8/41-A,-414.8929949399
S66x8/41-B,-197.7951625039
S66x8/41-090,-612.6883677395
S66x8/41-095,-612.6904504626
S66x8/41-100,-612.6912984937
S66x8/41-105,-612.6915283967
S66x8/41-110,-612.691367419
S66x8/41-125,-612.6901070799
S66x8/41-150,-612.688824308
S66x8/41-200,-612.6881506769
S66x8/42-A,-414.8929709124
S66x8/42-B,-196.5826597637
S66x8/42-090,-611.475007507
S66x8/42-095,-611.4771804251
S66x8/42-100,-611.478091098
S66x8/42-105,-611.4783621632
S66x8/42-110,-611.4782821466
S66x8/42-125,-611.4774308603
S66x8/42-150,-611.476367309
S66x8/42-200,-611.475693308
S66x8/43-A,-414.8930158892
S66x8/43-B,-197.7986134066
S66x8/43-090,-612.6922719162
S66x8/43-095,-612.6939628079
S66x8/43-100,-612.6945857432
S66x8/43-105,-612.6947136036
S66x8/43-110,-612.6945503477
S66x8/43-125,-612.6936529805
S66x8/43-150,-612.6925720284
S66x8/43-200,-612.6918945143
S66x8/44-A,-78.5931210993
S66x8/44-B,-197.7950809093
S66x8/44-090,-276.3893978183
S66x8/44-095,-276.3900205324
S66x8/44-100,-276.3901123924
S66x8/44-105,-276.3900584024
S66x8/44-110,-276.3899145443
S66x8/44-125,-276.3893580727
S66x8/44-150,-276.3887064849
S66x8/44-200,-276.3882765131
S66x8/45-A,-77.3302587333
S66x8/45-B,-197.7950791705
S66x8/45-090,-275.1255620379
S66x8/45-095,-275.12650599
S66x8/45-100,-275.1268677895
S66x8/45-105,-275.1269196501
S66x8/45-110,-275.1268235865
S66x8/45-125,-275.1262902425
S66x8/45-150,-275.125621928
S66x8/45-200,-275.1251830113
S66x8/46-A,-248.5674667829
S66x8/46-B,-197.7949690169
S66x8/46-090,-446.3646420379
S66x8/46-095,-446.3657216221
S66x8/46-100,-446.366147138
S66x8/46-105,-446.3662176106
S66x8/46-110,-446.366056773
S66x8/46-125,-446.3650491014
S66x8/46-150,-446.363671578
S66x8/46-200,-446.3627243189
S66x8/47-A,-232.2697640817
S66x8/47-B,-232.2696379067
S66x8/47-090,-464.5388583366
S66x8/47-095,-464.5407701809
S66x8/47-100,-464.5416500564
S66x8/47-105,-464.5418934908
S66x8/47-110,-464.5418389097
S66x8/47-125,-464.5411715145
S66x8/47-150,-464.5402369214
S66x8/47-200,-464.5395897721
S66x8/48-A,-248.3085366176
S66x8/48-B,-248.308481705
S66x8/48-090,-496.6182263335
S66x8/48-095,-496.6198028864
S66x8/48-100,-496.6204679844
S66x8/48-105,-496.6206056799
S66x8/48-110,-496.6204813667
S66x8/48-125,-496.619599377
S66x8/48-150,-496.618370706
S66x8/48-200,-496.6174056657
S66x8/49-A,-232.2697634247
S66x8/49-B,-248.3085335026
S66x8/49-090,-480.5785348001
S66x8/49-095,-480.5804192799
S66x8/49-100,-480.581262011
S66x8/49-105,-480.5814759403
S66x8/49-110,-480.5813724761
S66x8/49-125,-480.5805659782
S66x8/49-150,-480.5794344094
S66x8/49-200,-480.5785892261
S66x8/50-A,-232.2697514811
S66x8/50-B,-77.3303203714
S66x8/50-090,-309.6017935081
S66x8/50-095,-309.6030848417
S66x8/50-100,-309.6035445034
S66x8/50-105,-309.6035344646
S66x8/50-110,-309.6032838683
S66x8/50-125,-309.6022837708
S66x8/50-150,-309.601072984
S66x8/50-200,-309.6001893863
S66x8/51-A,-77.330271436
S66x8/51-B,-77.3303347036
S66x8/51-090,-154.6630096363
S66x8/51-095,-154.6632960153
S66x8/51-100,-154.66328371
S66x8/51-105,-154.6631143374
S66x8/51-110,-154.6628736916
S66x8/51-125,-154.6621150214
S66x8/51-150,-154.661283233
S66x8/51-200,-154.6607203185
S66x8/52-A,-232.2697507492
S66x8/52-B,-229.1310672081
S66x8/52-090,-461.405492791
S66x8/52-095,-461.4065737765
S66x8/52-100,-461.4069036214
S66x8/52-105,-461.4067842076
S66x8/52-110,-461.4064360354
S66x8/52-125,-461.404986387
S66x8/52-150,-461.4030706163
S66x8/52-200,-461.4014536082
S66x8/53-A,-232.2697582017
S66x8/53-B,-209.2556396347
S66x8/53-090,-441.5302612491
S66x8/53-095,-441.531055992
S66x8/53-100,-441.5312569639
S66x8/53-105,-441.531113121
S66x8/53-110,-441.5307808761
S66x8/53-125,-441.5294200256
S66x8/53-150,-441.5275743478
S66x8/53-200,-441.5259081469
S66x8/54-A,-232.2697349115
S66x8/54-B,-76.4459718024
S66x8/54-090,-308.7200936251
S66x8/54-095,-308.7207278042
S66x8/54-100,-308.7208169135
S66x8/54-105,-308.7206144828
S66x8/54-110,-308.7202541404
S66x8/54-125,-308.7190062892
S66x8/54-150,-308.7174857226
S66x8/54-200,-308.7162190309
S66x8/55-A,-232.2697094608
S66x8/55-B,-115.7450763688
S66x8/55-090,-348.0186723198
S66x8/55-095,-348.019783682
S66x8/55-100,-348.0201557559
S66x8/55-105,-348.0200940223
S66x8/55-110,-348.0198156636
S66x8/55-125,-348.0185957398
S66x8/55-150,-348.0169187808
S66x8/55-200,-348.0154707857
S66x8/56-A,-232.2697612307
S66x8/56-B,-95.8749719285
S66x8/56-090,-328.1464676034
S66x8/56-095,-328.1476514226
S66x8/56-100,-328.1481448609
S66x8/56-105,-328.1481984056
S66x8/56-110,-328.1480110351
S66x8/56-125,-328.1470794661
S66x8/56-150,-328.1458834714
S66x8/56-200,-328.1450038109
S66x8/57-A,-232.2697123695
S66x8/57-B,-248.5674715157
S66x8/57-090,-480.8393312587
S66x8/57-095,-480.8417155025
S66x8/57-100,-480.842699953
S66x8/57-105,-480.8429153559
S66x8/57-110,-480.8426771251
S66x8/57-125,-480.8413109117
S66x8/57-150,-480.8394283553
S66x8/57-200,-480.8379316401
S66x8/58-A,-248.3085156647
S66x8/58-B,-248.3084434534
S66x8/58-090,-496.6210989292
S66x8/58-095,-496.6225235239
S66x8/58-100,-496.6229332157
S66x8/58-105,-496.6225138681
S66x8/58-110,-496.6218543363
S66x8/58-125,-496.620021663
S66x8/58-150,-496.618353091
S66x8/58-200,-496.6173222966
S66x8/59-A,-77.3303725907
S66x8/59-B,-76.446032616
S66x8/59-090,-153.781718303
S66x8/59-095,-153.7818868824
S66x8/59-100,-153.7817457611
S66x8/59-105,-153.7814292266
S66x8/59-110,-153.7810279304
S66x8/59-125,-153.7797746979
S66x8/59-150,-153.7782480461
S66x8/59-200,-153.7769248955
S66x8/60-A,-77.3302542521
S66x8/60-B,-229.131042
S66x8/60-090,-306.4695224454
S66x8/60-095,-306.4699780436
S66x8/60-100,-306.469841459
S66x8/60-105,-306.4693738908
S66x8/60-110,-306.4687392206
S66x8/60-125,-306.4666529136
S66x8/60-150,-306.4641184017
S66x8/60-200,-306.4620823103
S66x8/61-A,-197.7950139879
S66x8/61-B,-229.1311204117
S66x8/61-090,-426.9280147592
S66x8/61-095,-426.9285415303
S66x8/61-100,-426.9287541643
S66x8/61-105,-426.9287633089
S66x8/61-110,-426.9286311977
S66x8/61-125,-426.9279487557
S66x8/61-150,-426.9269308951
S66x8/61-200,-426.9262646138
S66x8/62-A,-197.7950964357
S66x8/62-B,-209.2557126369
S66x8/62-090,-407.0532175333
S66x8/62-095,-407.0539762142
S66x8/62-100,-407.0542287416
S66x8/62-105,-407.0541889376
S66x8/62-110,-407.0539684893
S66x8/62-125,-407.0530389803
S66x8/62-150,-407.0518889624
S66x8/62-200,-407.0509969446
S66x8/63-A,-232.2698023185
S66x8/63-B,-229.1310461312
S66x8/63-090,-461.4017291652
S66x8/63-095,-461.4035893
S66x8/63-100,-461.4042932512
S66x8/63-105,-461.4044050711
S66x8/63-110,-461.4042601642
S66x8/63-125,-461.4032341803
S66x8/63-150,-461.4019170728
S66x8/63-200,-461.4010127154
S66x8/64-A,-248.5674707825
S66x8/64-B,-78.5931915945
S66x8/64-090,-327.1634253825
S66x8/64-095,-327.1640642102
S66x8/64-100,-327.1642404812
S66x8/64-105,-327.1641501177
S66x8/64-110,-327.1639017037
S66x8/64-125,-327.1629443097
S66x8/64-150,-327.1616827359
S66x8/64-200,-327.1607363459
S66x8/65-A,-248.3085846933
S66x8/65-B,-77.3297708146
S66x8/65-090,-325.6455696836
S66x8/65-095,-325.645865209
S66x8/65-100,-325.6457590833
S66x8/65-105,-325.6454181578
S66x8/65-110,-325.6449507409
S66x8/65-125,-325.6433856496
S66x8/65-150,-325.6414075961
S66x8/65-200,-325.6397151277
S66x8/66-A,-95.8749008125
S66x8/66-B,-248.3085612877
S66x8/66-090,-344.1874427902
S66x8/66-095,-344.1881910224
S66x8/66-100,-344.1884301797
S66x8/66-105,-344.1883581253
S66x8/66-110,-344.188104751
S66x8/66-125,-344.1869936335
S66x8/66-150,-344.1854446541
