system,revM11/def2-QZVP/Turbomole7.5.1
S22x5/11-A,-232.160622995
S22x5/11-B,-56.5589881766
S22x5/11-0.9,-288.7233685289
S22x5/11-1.0,-288.7238395716
S22x5/11-1.2,-288.7224147152
S22x5/11-1.5,-288.7206767336
S22x5/11-2.0,-288.7199329498
S22x5/12-A,-232.160646375
S22x5/12-B,-40.5053981537
S22x5/12-0.9,-272.6678720694
S22x5/12-1.0,-272.6685841927
S22x5/12-1.2,-272.6676429207
S22x5/12-1.5,-272.6664153965
S22x5/12-2.0,-272.6660969386
S22x5/13-A,-232.1606225339
S22x5/13-B,-232.1606108447
S22x5/13-0.9,-464.3236815425
S22x5/13-1.0,-464.324957629
S22x5/13-1.2,-464.3241073647
S22x5/13-1.5,-464.3222681634
S22x5/13-2.0,-464.3214791161
S22x5/14-A,-232.1606513026
S22x5/14-B,-232.1606513026
S22x5/14-0.9,-464.3199718635
S22x5/14-1.0,-464.325186731
S22x5/14-1.2,-464.323185414
S22x5/14-1.5,-464.3212260698
S22x5/14-2.0,-464.3212001802
S22x5/15-A,-232.1605416122
S22x5/15-B,-363.7070919253
S22x5/15-0.9,-595.874050863
S22x5/15-1.0,-595.8758591525
S22x5/15-1.2,-595.8744744642
S22x5/15-1.5,-595.8709992082
S22x5/15-2.0,-595.8688257704
S22x5/16-A,-232.1606120002
S22x5/16-B,-363.7070241408
S22x5/16-0.9,-595.8672956925
S22x5/16-1.0,-595.874106944
S22x5/16-1.2,-595.8715626021
S22x5/16-1.5,-595.8675879856
S22x5/16-2.0,-595.8673152565
S22x5/17-A,-264.2501313881
S22x5/17-B,-264.250112796
S22x5/17-0.9,-528.5006288407
S22x5/17-1.0,-528.5065914102
S22x5/17-1.2,-528.5039354886
S22x5/17-1.5,-528.5008564212
S22x5/17-2.0,-528.5003395432
S22x5/18-A,-323.4566746303
S22x5/18-B,-303.5785354427
S22x5/18-0.9,-627.056936857
S22x5/18-1.0,-627.0599301223
S22x5/18-1.2,-627.0564842399
S22x5/18-1.5,-627.0478060159
S22x5/18-2.0,-627.0399979621
S22x5/19-A,-307.3962983614
S22x5/19-B,-307.396274015
S22x5/19-0.9,-614.8024438573
S22x5/19-1.0,-614.8037509686
S22x5/19-1.2,-614.8017950896
S22x5/19-1.5,-614.7975345202
S22x5/19-2.0,-614.7942561397
S22x5/20-A,-414.78629743
S22x5/20-B,-414.78629743
S22x5/20-0.9,-829.5823797468
S22x5/20-1.0,-829.5883561052
S22x5/20-1.2,-829.5812222826
S22x5/20-1.5,-829.5752792155
S22x5/20-2.0,-829.5734720714
S22x5/21-A,-414.7856430474
S22x5/21-B,-414.7856430474
S22x5/21-0.9,-829.5985026618
S22x5/21-1.0,-829.6020066242
S22x5/21-1.2,-829.597974596
S22x5/21-1.5,-829.5877322027
S22x5/21-2.0,-829.578310612
S22x5/22-A,-232.1605516385
S22x5/22-B,-93.4051301748
S22x5/22-0.9,-325.5727240068
S22x5/22-1.0,-325.5737041545
S22x5/22-1.2,-325.5720089911
S22x5/22-1.5,-325.5688735949
S22x5/22-2.0,-325.566945266
S66x8/01-A,-76.4391925525
S66x8/01-B,-76.4391832065
S66x8/01-090,-152.886557618
S66x8/01-095,-152.8870355281
S66x8/01-100,-152.8870273345
S66x8/01-105,-152.8867197529
S66x8/01-110,-152.8862386141
S66x8/01-125,-152.8844617739
S66x8/01-150,-152.8820034863
S66x8/01-200,-152.8798369403
S66x8/02-A,-76.439209684
S66x8/02-B,-115.7240200842
S66x8/02-090,-192.1721730929
S66x8/02-095,-192.1727035977
S66x8/02-100,-192.1726980105
S66x8/02-105,-192.1723601402
S66x8/02-110,-192.1718284816
S66x8/02-125,-192.1698536587
S66x8/02-150,-192.1671085545
S66x8/02-200,-192.1647124041
S66x8/03-A,-76.4392414731
S66x8/03-B,-95.8491849471
S66x8/03-090,-172.2992937727
S66x8/03-095,-172.2998181017
S66x8/03-100,-172.2997773361
S66x8/03-105,-172.2993814596
S66x8/03-110,-172.2987761078
S66x8/03-125,-172.296525101
S66x8/03-150,-172.2932517777
S66x8/03-200,-172.2901148799
S66x8/04-A,-76.4392368671
S66x8/04-B,-248.5018195539
S66x8/04-090,-324.9544391973
S66x8/04-095,-324.9550591518
S66x8/04-100,-324.9550416456
S66x8/04-105,-324.9546117347
S66x8/04-110,-324.9539294896
S66x8/04-125,-324.9513139874
S66x8/04-150,-324.9473640205
S66x8/04-200,-324.9432125404
S66x8/05-A,-115.7239749703
S66x8/05-B,-115.7240479286
S66x8/05-090,-231.4567349972
S66x8/05-095,-231.4573820975
S66x8/05-100,-231.4574643977
S66x8/05-105,-231.4571919433
S66x8/05-110,-231.4567084627
S66x8/05-125,-231.4548077981
S66x8/05-150,-231.4520659473
S66x8/05-200,-231.4496083997
S66x8/06-A,-115.7237601468
S66x8/06-B,-95.8491896674
S66x8/06-090,-211.5846983067
S66x8/06-095,-211.5853345228
S66x8/06-100,-211.5853260261
S66x8/06-105,-211.5849309078
S66x8/06-110,-211.5842745697
S66x8/06-125,-211.5818254224
S66x8/06-150,-211.5782807962
S66x8/06-200,-211.5749319985
S66x8/07-A,-115.7238527638
S66x8/07-B,-248.5019674327
S66x8/07-090,-364.2385426352
S66x8/07-095,-364.239343731
S66x8/07-100,-364.239464218
S66x8/07-105,-364.2391446034
S66x8/07-110,-364.2385488242
S66x8/07-125,-364.2360602181
S66x8/07-150,-364.2316650027
S66x8/07-200,-364.2274868713
S66x8/08-A,-115.7239952209
S66x8/08-B,-76.4391927006
S66x8/08-090,-192.1711547035
S66x8/08-095,-192.1717381854
S66x8/08-100,-192.1718061436
S66x8/08-105,-192.1715525789
S66x8/08-110,-192.1711087556
S66x8/08-125,-192.1693832576
S66x8/08-150,-192.1669244196
S66x8/08-200,-192.1647234565
S66x8/09-A,-95.8490895046
S66x8/09-B,-115.7240464287
S66x8/09-090,-211.5777845793
S66x8/09-095,-211.5781197671
S66x8/09-100,-211.5780693181
S66x8/09-105,-211.577789596
S66x8/09-110,-211.5774131397
S66x8/09-125,-211.576153373
S66x8/09-150,-211.5747368619
S66x8/09-200,-211.573766558
S66x8/10-A,-95.8491524269
S66x8/10-B,-95.8491452655
S66x8/10-090,-191.7046370691
S66x8/10-095,-191.7053022664
S66x8/10-100,-191.7053739057
S66x8/10-105,-191.7050838707
S66x8/10-110,-191.7045973531
S66x8/10-125,-191.7027763325
S66x8/10-150,-191.7001446659
S66x8/10-200,-191.6988337229
S66x8/11-A,-95.8489692635
S66x8/11-B,-248.5021433264
S66x8/11-090,-344.359573463
S66x8/11-095,-344.3603220535
S66x8/11-100,-344.3604351721
S66x8/11-105,-344.3601395335
S66x8/11-110,-344.3595927357
S66x8/11-125,-344.3562936975
S66x8/11-150,-344.3531498422
S66x8/11-200,-344.3518726979
S66x8/12-A,-95.8491601368
S66x8/12-B,-76.4388336433
S66x8/12-090,-172.3000485258
S66x8/12-095,-172.3006382404
S66x8/12-100,-172.3005978603
S66x8/12-105,-172.3001598902
S66x8/12-110,-172.2994891141
S66x8/12-125,-172.2970059024
S66x8/12-150,-172.2934459319
S66x8/12-200,-172.2901471898
S66x8/13-A,-248.5022506654
S66x8/13-B,-115.7240686976
S66x8/13-090,-364.2354201504
S66x8/13-095,-364.2362260005
S66x8/13-100,-364.2364106521
S66x8/13-105,-364.2361958678
S66x8/13-110,-364.235734115
S66x8/13-125,-364.2337623379
S66x8/13-150,-364.2308346362
S66x8/13-200,-364.2282870428
S66x8/14-A,-248.5020713092
S66x8/14-B,-95.8491401493
S66x8/14-090,-344.3617044385
S66x8/14-095,-344.362607778
S66x8/14-100,-344.3628328119
S66x8/14-105,-344.3626147242
S66x8/14-110,-344.3621258853
S66x8/14-125,-344.3599759303
S66x8/14-150,-344.3566194985
S66x8/14-200,-344.3534120093
S66x8/15-A,-248.5017913573
S66x8/15-B,-248.5018149934
S66x8/15-090,-497.0159603068
S66x8/15-095,-497.0169295682
S66x8/15-100,-497.0171998578
S66x8/15-105,-497.0170014251
S66x8/15-110,-497.0164894224
S66x8/15-125,-497.0141158584
S66x8/15-150,-497.0102806661
S66x8/15-200,-497.0061525255
S66x8/16-A,-248.5019364359
S66x8/16-B,-76.4391979848
S66x8/16-090,-324.9488867489
S66x8/16-095,-324.9495821666
S66x8/16-100,-324.9497408738
S66x8/16-105,-324.9495587343
S66x8/16-110,-324.9491678289
S66x8/16-125,-324.9475133172
S66x8/16-150,-324.9451269327
S66x8/16-200,-324.9429851893
S66x8/17-A,-414.7858571355
S66x8/17-B,-414.7860030172
S66x8/17-090,-829.5946413644
S66x8/17-095,-829.5968664773
S66x8/17-100,-829.5976437746
S66x8/17-105,-829.5974455797
S66x8/17-110,-829.5966077305
S66x8/17-125,-829.5923149955
S66x8/17-150,-829.5847963401
S66x8/17-200,-829.576850732
S66x8/18-A,-76.4392189664
S66x8/18-B,-248.2075267292
S66x8/18-090,-324.6571789172
S66x8/18-095,-324.6577483359
S66x8/18-100,-324.6577443874
S66x8/18-105,-324.6573796338
S66x8/18-110,-324.6568013604
S66x8/18-125,-324.6546166872
S66x8/18-150,-324.6514297171
S66x8/18-200,-324.6484309541
S66x8/19-A,-115.7237539405
S66x8/19-B,-248.207525536
S66x8/19-090,-363.9418343361
S66x8/19-095,-363.9426115309
S66x8/19-100,-363.9427464557
S66x8/19-105,-363.9424694234
S66x8/19-110,-363.941796093
S66x8/19-125,-363.9397636968
S66x8/19-150,-363.9362567072
S66x8/19-200,-363.933009082
S66x8/20-A,-229.0827452315
S66x8/20-B,-229.0827483069
S66x8/20-090,-458.1943761872
S66x8/20-095,-458.1963808487
S66x8/20-100,-458.196816078
S66x8/20-105,-458.1962273599
S66x8/20-110,-458.1949915943
S66x8/20-125,-458.1896322794
S66x8/20-150,-458.1808008432
S66x8/20-200,-458.1712297317
S66x8/21-A,-209.2037372432
S66x8/21-B,-209.2037407391
S66x8/21-090,-418.4300084044
S66x8/21-095,-418.4320644613
S66x8/21-100,-418.4327345572
S66x8/21-105,-418.4324787043
S66x8/21-110,-418.4316237681
S66x8/21-125,-418.4274366243
S66x8/21-150,-418.4202998914
S66x8/21-200,-418.4122076152
S66x8/22-A,-229.0826996045
S66x8/22-B,-414.7857394039
S66x8/22-090,-643.8963153793
S66x8/22-095,-643.8984755753
S66x8/22-100,-643.8991212908
S66x8/22-105,-643.8987527985
S66x8/22-110,-643.8977223625
S66x8/22-125,-643.8928161477
S66x8/22-150,-643.8843490477
S66x8/22-200,-643.8749251859
S66x8/23-A,-209.2036009891
S66x8/23-B,-414.7855867227
S66x8/23-090,-624.0157276454
S66x8/23-095,-624.0179099968
S66x8/23-100,-624.0186848914
S66x8/23-105,-624.0184976034
S66x8/23-110,-624.017668664
S66x8/23-125,-624.0133329027
S66x8/23-150,-624.0054873609
S66x8/23-200,-623.9964901972
S66x8/24-A,-232.1606926524
S66x8/24-B,-232.1606430096
S66x8/24-090,-464.3204602729
S66x8/24-095,-464.3239533605
S66x8/24-100,-464.3252022949
S66x8/24-105,-464.3252454395
S66x8/24-110,-464.32472062
S66x8/24-125,-464.3225676291
S66x8/24-150,-464.3212258721
S66x8/24-200,-464.3212191347
S66x8/25-A,-248.2074370539
S66x8/25-B,-248.2074789265
S66x8/25-090,-496.4156421924
S66x8/25-095,-496.4191914958
S66x8/25-100,-496.420506228
S66x8/25-105,-496.4205587975
S66x8/25-110,-496.4199880107
S66x8/25-125,-496.4175155007
S66x8/25-150,-496.415491837
S66x8/25-200,-496.4150819361
S66x8/26-A,-414.786297201
S66x8/26-B,-414.786297201
S66x8/26-090,-829.5845541016
S66x8/26-095,-829.5877258862
S66x8/26-100,-829.5883555349
S66x8/26-105,-829.5875675208
S66x8/26-110,-829.5860613738
S66x8/26-125,-829.5808581857
S66x8/26-150,-829.5760224469
S66x8/26-200,-829.5737585606
S66x8/27-A,-232.1606844447
S66x8/27-B,-248.2074958536
S66x8/27-090,-480.3679539265
S66x8/27-095,-480.3717261368
S66x8/27-100,-480.3730391833
S66x8/27-105,-480.373048519
S66x8/27-110,-480.372446079
S66x8/27-125,-480.3700857657
S66x8/27-150,-480.3683565497
S66x8/27-200,-480.368149537
S66x8/28-A,-232.160507763
S66x8/28-B,-414.7869313655
S66x8/28-090,-646.9523027569
S66x8/28-095,-646.9556148393
S66x8/28-100,-646.95660926
S66x8/28-105,-646.956257555
S66x8/28-110,-646.9552477758
S66x8/28-125,-646.9515291359
S66x8/28-150,-646.9483642293
S66x8/28-200,-646.9474929289
S66x8/29-A,-248.2074162704
S66x8/29-B,-414.7868705815
S66x8/29-090,-662.9988737846
S66x8/29-095,-663.0036976675
S66x8/29-100,-663.0050232236
S66x8/29-105,-663.0045688416
S66x8/29-110,-663.0032570197
S66x8/29-125,-662.9989920426
S66x8/29-150,-662.9958578703
S66x8/29-200,-662.9947005372
S66x8/30-A,-232.1606670848
S66x8/30-B,-78.5613330989
S66x8/30-090,-310.722273694
S66x8/30-095,-310.7238736916
S66x8/30-100,-310.7243471945
S66x8/30-105,-310.7242334282
S66x8/30-110,-310.723844044
S66x8/30-125,-310.7225193222
S66x8/30-150,-310.7218032909
S66x8/30-200,-310.7218743433
S66x8/31-A,-414.7869748263
S66x8/31-B,-78.5613053592
S66x8/31-090,-493.3525233215
S66x8/31-095,-493.353739969
S66x8/31-100,-493.3539278991
S66x8/31-105,-493.3535387457
S66x8/31-110,-493.3528926411
S66x8/31-125,-493.3508121848
S66x8/31-150,-493.3490694088
S66x8/31-200,-493.3484158749
S66x8/32-A,-414.7870164425
S66x8/32-B,-77.3037842451
S66x8/32-090,-492.0951943596
S66x8/32-095,-492.0966016573
S66x8/32-100,-492.0968608276
S66x8/32-105,-492.0964982703
S66x8/32-110,-492.0958223378
S66x8/32-125,-492.0935900149
S66x8/32-150,-492.0916225238
S66x8/32-200,-492.0907624184
S66x8/33-A,-248.2075191801
S66x8/33-B,-78.5612994386
S66x8/33-090,-326.7700570728
S66x8/33-095,-326.7714435823
S66x8/33-100,-326.7718561979
S66x8/33-105,-326.7717304444
S66x8/33-110,-326.7713352962
S66x8/33-125,-326.7699138514
S66x8/33-150,-326.7688653633
S66x8/33-200,-326.7687704994
S66x8/34-A,-197.7148186054
S66x8/34-B,-197.7147709019
S66x8/34-090,-395.4368558435
S66x8/34-095,-395.4377549102
S66x8/34-100,-395.4375297458
S66x8/34-105,-395.4366487971
S66x8/34-110,-395.4355340058
S66x8/34-125,-395.4325456971
S66x8/34-150,-395.4302974088
S66x8/34-200,-395.4298768151
S66x8/35-A,-197.7148025155
S66x8/35-B,-197.7201295638
S66x8/35-090,-395.4387953659
S66x8/35-095,-395.439775399
S66x8/35-100,-395.4397313353
S66x8/35-105,-395.4391912391
S66x8/35-110,-395.4384794948
S66x8/35-125,-395.4365906169
S66x8/35-150,-395.4352743969
S66x8/35-200,-395.4349810727
S66x8/36-A,-197.7201550604
S66x8/36-B,-197.7201473623
S66x8/36-090,-395.4428277234
S66x8/36-095,-395.4431642194
S66x8/36-100,-395.4430563627
S66x8/36-105,-395.4427136374
S66x8/36-110,-395.4423113255
S66x8/36-125,-395.4411826699
S66x8/36-150,-395.4403422064
S66x8/36-200,-395.4401229692
S66x8/37-A,-196.5023410547
S66x8/37-B,-197.7201232277
S66x8/37-090,-394.2258086421
S66x8/37-095,-394.2267585807
S66x8/37-100,-394.2267654151
S66x8/37-105,-394.2263339925
S66x8/37-110,-394.2257299994
S66x8/37-125,-394.2240555167
S66x8/37-150,-394.2227810557
S66x8/37-200,-394.2224263962
S66x8/38-A,-196.5023372925
S66x8/38-B,-196.502339917
S66x8/38-090,-393.0085671407
S66x8/38-095,-393.0095703363
S66x8/38-100,-393.0096392239
S66x8/38-105,-393.0091248611
S66x8/38-110,-393.0083727331
S66x8/38-125,-393.0063725585
S66x8/38-150,-393.0049599737
S66x8/38-200,-393.0046954659
S66x8/39-A,-232.1606496728
S66x8/39-B,-196.5023354596
S66x8/39-090,-428.6664348185
S66x8/39-095,-428.6684493929
S66x8/39-100,-428.6690021692
S66x8/39-105,-428.6686740011
S66x8/39-110,-428.6679278823
S66x8/39-125,-428.6654780657
S66x8/39-150,-428.6635085699
S66x8/39-200,-428.6630167871
S66x8/40-A,-232.1606326479
S66x8/40-B,-197.7201955011
S66x8/40-090,-429.8836026014
S66x8/40-095,-429.8850769065
S66x8/40-100,-429.8854208475
S66x8/40-105,-429.8851269958
S66x8/40-110,-429.8845650448
S66x8/40-125,-429.8826539415
S66x8/40-150,-429.8812175631
S66x8/40-200,-429.880803311
S66x8/41-A,-414.7869630632
S66x8/41-B,-197.714859426
S66x8/41-090,-612.5091532334
S66x8/41-095,-612.5105984738
S66x8/41-100,-612.5105757889
S66x8/41-105,-612.509764439
S66x8/41-110,-612.5082960049
S66x8/41-125,-612.5044755169
S66x8/41-150,-612.5022523088
S66x8/41-200,-612.501832843
S66x8/42-A,-414.7869731959
S66x8/42-B,-196.5023117672
S66x8/42-090,-611.294474758
S66x8/42-095,-611.2961141726
S66x8/42-100,-611.2962201845
S66x8/42-105,-611.2955732019
S66x8/42-110,-611.2945717468
S66x8/42-125,-611.2917324922
S66x8/42-150,-611.2898028217
S66x8/42-200,-611.2893170111
S66x8/43-A,-414.7869955401
S66x8/43-B,-197.7200356571
S66x8/43-090,-612.5118807519
S66x8/43-095,-612.5131209979
S66x8/43-100,-612.5131303756
S66x8/43-105,-612.5124860356
S66x8/43-110,-612.5116332763
S66x8/43-125,-612.5092103773
S66x8/43-150,-612.5075318253
S66x8/43-200,-612.5070357471
S66x8/44-A,-78.5613299782
S66x8/44-B,-197.7148728044
S66x8/44-090,-276.2802414461
S66x8/44-095,-276.2805321535
S66x8/44-100,-276.2802428094
S66x8/44-105,-276.279680452
S66x8/44-110,-276.279054625
S66x8/44-125,-276.2774914185
S66x8/44-150,-276.2764911968
S66x8/44-200,-276.2762548258
S66x8/45-A,-77.3037932188
S66x8/45-B,-197.7148729471
S66x8/45-090,-275.0213036327
S66x8/45-095,-275.0219091299
S66x8/45-100,-275.0218383591
S66x8/45-105,-275.0214494026
S66x8/45-110,-275.0209343905
S66x8/45-125,-275.0195834337
S66x8/45-150,-275.0187219803
S66x8/45-200,-275.0184327171
S66x8/46-A,-248.5020067409
S66x8/46-B,-197.7147651836
S66x8/46-090,-446.2250451958
S66x8/46-095,-446.2255782395
S66x8/46-100,-446.2252653298
S66x8/46-105,-446.2244617094
S66x8/46-110,-446.2234357188
S66x8/46-125,-446.2204451504
S66x8/46-150,-446.2177215085
S66x8/46-200,-446.2169988844
S66x8/47-A,-232.1606127771
S66x8/47-B,-232.1604670301
S66x8/47-090,-464.3231139886
S66x8/47-095,-464.3249469039
S66x8/47-100,-464.3255266657
S66x8/47-105,-464.3254441571
S66x8/47-110,-464.3250026184
S66x8/47-125,-464.3233378678
S66x8/47-150,-464.3218900308
S66x8/47-200,-464.3213997629
S66x8/48-A,-248.2074485075
S66x8/48-B,-248.2073735339
S66x8/48-090,-496.4182976283
S66x8/48-095,-496.4198709568
S66x8/48-100,-496.4203561657
S66x8/48-105,-496.420223093
S66x8/48-110,-496.419737635
S66x8/48-125,-496.417878732
S66x8/48-150,-496.4160646715
S66x8/48-200,-496.4152539418
S66x8/49-A,-232.1606123192
S66x8/49-B,-248.2074364416
S66x8/49-090,-480.3707264005
S66x8/49-095,-480.3725938492
S66x8/49-100,-480.3731687696
S66x8/49-105,-480.373058126
S66x8/49-110,-480.372572832
S66x8/49-125,-480.3707395677
S66x8/49-150,-480.3690768175
S66x8/49-200,-480.3683905277
S66x8/50-A,-232.1605974952
S66x8/50-B,-77.3038883246
S66x8/50-090,-309.467339261
S66x8/50-095,-309.4687503357
S66x8/50-100,-309.4691274578
S66x8/50-105,-309.4689377934
S66x8/50-110,-309.4684640887
S66x8/50-125,-309.466803713
S66x8/50-150,-309.4652671571
S66x8/50-200,-309.464541877
S66x8/51-A,-77.3038101405
S66x8/51-B,-77.3039029424
S66x8/51-090,-154.6094021363
S66x8/51-095,-154.6098757059
S66x8/51-100,-154.6099747083
S66x8/51-105,-154.6098654036
S66x8/51-110,-154.6096517154
S66x8/51-125,-154.6089287123
S66x8/51-150,-154.6082090666
S66x8/51-200,-154.6077871297
S66x8/52-A,-232.1605963978
S66x8/52-B,-229.0845197431
S66x8/52-090,-461.2519526102
S66x8/52-095,-461.2529382822
S66x8/52-100,-461.2530895195
S66x8/52-105,-461.2527494306
S66x8/52-110,-461.2521326387
S66x8/52-125,-461.2498821801
S66x8/52-150,-461.2473217142
S66x8/52-200,-461.2457549845
S66x8/53-A,-232.1606046621
S66x8/53-B,-209.2046417844
S66x8/53-090,-441.371218348
S66x8/53-095,-441.3721031249
S66x8/53-100,-441.3722915126
S66x8/53-105,-441.3720469996
S66x8/53-110,-441.3715625239
S66x8/53-125,-441.3696793351
S66x8/53-150,-441.3673682735
S66x8/53-200,-441.3657595288
S66x8/54-A,-232.1605782814
S66x8/54-B,-76.4390702331
S66x8/54-090,-308.6055404691
S66x8/54-095,-308.6061028606
S66x8/54-100,-308.6060411471
S66x8/54-105,-308.6056404502
S66x8/54-110,-308.6050655955
S66x8/54-125,-308.603247033
S66x8/54-150,-308.6014105026
S66x8/54-200,-308.6002606143
S66x8/55-A,-232.160548693
S66x8/55-B,-115.7240337402
S66x8/55-090,-347.8910568209
S66x8/55-095,-347.8920402852
S66x8/55-100,-347.8921967287
S66x8/55-105,-347.8918713456
S66x8/55-110,-347.8912538542
S66x8/55-125,-347.8890365391
S66x8/55-150,-347.8866409056
S66x8/55-200,-347.8852604652
S66x8/56-A,-232.160609288
S66x8/56-B,-95.8490564542
S66x8/56-090,-328.0142203072
S66x8/56-095,-328.0152376252
S66x8/56-100,-328.0154253974
S66x8/56-105,-328.0151028165
S66x8/56-110,-328.0144815031
S66x8/56-125,-328.012439438
S66x8/56-150,-328.0106898714
S66x8/56-200,-328.0099725932
S66x8/57-A,-232.1605526529
S66x8/57-B,-248.5019853445
S66x8/57-090,-480.6685517661
S66x8/57-095,-480.6707570013
S66x8/57-100,-480.6713233822
S66x8/57-105,-480.6709875108
S66x8/57-110,-480.6702030606
S66x8/57-125,-480.667347474
S66x8/57-150,-480.6646266735
S66x8/57-200,-480.6632771104
S66x8/58-A,-248.2074505856
S66x8/58-B,-248.2073569346
S66x8/58-090,-496.4181992719
S66x8/58-095,-496.4202004826
S66x8/58-100,-496.421028175
S66x8/58-105,-496.4207103222
S66x8/58-110,-496.419989185
S66x8/58-125,-496.4178205054
S66x8/58-150,-496.4160553186
S66x8/58-200,-496.4151471235
S66x8/59-A,-77.3039767765
S66x8/59-B,-76.4391777463
S66x8/59-090,-153.7471420926
S66x8/59-095,-153.7476653556
S66x8/59-100,-153.7477740322
S66x8/59-105,-153.7476296747
S66x8/59-110,-153.7473391851
S66x8/59-125,-153.7462037653
S66x8/59-150,-153.7447481265
S66x8/59-200,-153.7435624443
S66x8/60-A,-77.3038013112
S66x8/60-B,-229.084508939
S66x8/60-090,-306.3957813831
S66x8/60-095,-306.3965590987
S66x8/60-100,-306.3966475664
S66x8/60-105,-306.3963179049
S66x8/60-110,-306.395748108
S66x8/60-125,-306.3936125023
S66x8/60-150,-306.3908921682
S66x8/60-200,-306.3889642609
S66x8/61-A,-197.7148259972
S66x8/61-B,-229.0845526921
S66x8/61-090,-426.805098552
S66x8/61-095,-426.8051802351
S66x8/61-100,-426.8048268341
S66x8/61-105,-426.8042542734
S66x8/61-110,-426.8035702964
S66x8/61-125,-426.8016685143
S66x8/61-150,-426.7999130802
S66x8/61-200,-426.7994544104
S66x8/62-A,-197.7148742876
S66x8/62-B,-209.2046218685
S66x8/62-090,-406.9261190447
S66x8/62-095,-406.9264924209
S66x8/62-100,-406.9261665507
S66x8/62-105,-406.9254865913
S66x8/62-110,-406.9246734237
S66x8/62-125,-406.9223110411
S66x8/62-150,-406.9203332244
S66x8/62-200,-406.9196262874
S66x8/63-A,-232.1606573357
S66x8/63-B,-229.0844858075
S66x8/63-090,-461.2499824041
S66x8/63-095,-461.2515084357
S66x8/63-100,-461.2517584816
S66x8/63-105,-461.2513197505
S66x8/63-110,-461.2505480066
S66x8/63-125,-461.2481383742
S66x8/63-150,-461.246073324
S66x8/63-200,-461.245326122
S66x8/64-A,-248.5020286082
S66x8/64-B,-78.561419808
S66x8/64-090,-327.0680639066
S66x8/64-095,-327.0686155973
S66x8/64-100,-327.0685719953
S66x8/64-105,-327.0681812992
S66x8/64-110,-327.0676421192
S66x8/64-125,-327.0659234721
S66x8/64-150,-327.0642307714
S66x8/64-200,-327.063489437
S66x8/65-A,-248.2075150943
S66x8/65-B,-77.303202916
S66x8/65-090,-325.5160023902
S66x8/65-095,-325.5167651394
S66x8/65-100,-325.5170306212
S66x8/65-105,-325.5169763016
S66x8/65-110,-325.516725675
S66x8/65-125,-325.5155134513
S66x8/65-150,-325.5137007488
S66x8/65-200,-325.5121994615
S66x8/66-A,-95.8490364805
S66x8/66-B,-248.2074835558
S66x8/66-090,-344.0622220869
S66x8/66-095,-344.0629914554
S66x8/66-100,-344.0631273843
S66x8/66-105,-344.0628777132
S66x8/66-110,-344.0624026585
S66x8/66-125,-344.0605905173
