system,cam-QTP-01/def2-QZVP/Turbomole
S22x5/12-A,-232.0556162465
S22x5/12-B,-40.4752784891
S22x5/12-0.9,-272.5313260752
S22x5/12-1.0,-272.5321779071
S22x5/12-1.2,-272.5318843849
S22x5/12-1.5,-272.5311899575
S22x5/12-2.0,-272.530939286
S22x5/13-A,-232.0555779127
S22x5/13-B,-232.0555577452
S22x5/13-0.9,-464.1117512231
S22x5/13-1.0,-464.1132149501
S22x5/13-1.2,-464.1130673981
S22x5/13-1.5,-464.1119681149
S22x5/13-2.0,-464.1113622045
S22x5/14-A,-232.0556106401
S22x5/14-B,-232.0556106401
S22x5/14-0.9,-464.1042125381
S22x5/14-1.0,-464.1106126663
S22x5/14-1.2,-464.1115954965
S22x5/14-1.5,-464.1110647905
S22x5/14-2.0,-464.1111429745
S22x5/15-A,-232.0554166797
S22x5/15-B,-363.545491445
S22x5/15-0.9,-595.6049708652
S22x5/15-1.0,-595.6068889483
S22x5/15-1.2,-595.6063117942
S22x5/15-1.5,-595.6039267328
S22x5/15-2.0,-595.6020968391
S22x5/16-A,-232.0555482568
S22x5/16-B,-363.5455039
S22x5/16-0.9,-595.5935662238
S22x5/16-1.0,-595.6012539859
S22x5/16-1.2,-595.6020803164
S22x5/16-1.5,-595.600742099
S22x5/16-2.0,-595.6007317545
S22x5/17-A,-264.1331366818
S22x5/17-B,-264.1331128059
S22x5/17-0.9,-528.2619107625
S22x5/17-1.0,-528.268448807
S22x5/17-1.2,-528.2683660009
S22x5/17-1.5,-528.2667640002
S22x5/17-2.0,-528.2663418386
S22x5/18-A,-323.3196378136
S22x5/18-B,-303.4430493258
S22x5/18-0.9,-626.7889272272
S22x5/18-1.0,-626.7906297224
S22x5/18-1.2,-626.7851602815
S22x5/18-1.5,-626.7753863822
S22x5/18-2.0,-626.767523337
S22x5/19-A,-307.2651987881
S22x5/19-B,-307.2651727203
S22x5/19-0.9,-614.5400877716
S22x5/19-1.0,-614.540785084
S22x5/19-1.2,-614.538509338
S22x5/19-1.5,-614.5347768502
S22x5/19-2.0,-614.5319999405
S22x5/20-A,-414.6184237601
S22x5/20-B,-414.6184237601
S22x5/20-0.9,-829.2414620006
S22x5/20-1.0,-829.2475605227
S22x5/20-1.2,-829.2436997906
S22x5/20-1.5,-829.2394405152
S22x5/20-2.0,-829.2377467498
S22x5/21-A,-414.6176968505
S22x5/21-B,-414.6176968505
S22x5/21-0.9,-829.2689843202
S22x5/21-1.0,-829.2706581432
S22x5/21-1.2,-829.2639429875
S22x5/21-1.5,-829.25228283
S22x5/21-2.0,-829.2425907783
S22x5/22-A,-232.0554601404
S22x5/22-B,-93.3600054765
S22x5/22-0.9,-325.4216065722
S22x5/22-1.0,-325.4223937776
S22x5/22-1.2,-325.4209868317
S22x5/22-1.5,-325.4184924132
S22x5/22-2.0,-325.4167166165
S66x8/01-A,-76.4054238336
S66x8/01-B,-76.4053957889
S66x8/01-090,-152.8208769522
S66x8/01-095,-152.8209491082
S66x8/01-100,-152.8205972601
S66x8/01-105,-152.8200065087
S66x8/01-110,-152.8193002038
S66x8/01-125,-152.8171234142
S66x8/01-150,-152.814477419
S66x8/01-200,-152.8122277749
S66x8/02-A,-76.4054384646
S66x8/02-B,-115.6669333878
S66x8/02-090,-192.0832092474
S66x8/02-095,-192.0833486475
S66x8/02-100,-192.0830067763
S66x8/02-105,-192.0823876984
S66x8/02-110,-192.0816291686
S66x8/02-125,-192.0792412759
S66x8/02-150,-192.0762925993
S66x8/02-200,-192.0738072992
S66x8/03-A,-76.4054657532
S66x8/03-B,-95.793099595
S66x8/03-090,-172.2112712251
S66x8/03-095,-172.2115020921
S66x8/03-100,-172.2111806515
S66x8/03-105,-172.2105270035
S66x8/03-110,-172.2096933778
S66x8/03-125,-172.2069528781
S66x8/03-150,-172.203379315
S66x8/03-200,-172.2001844028
S66x8/04-A,-76.4054614138
S66x8/04-B,-248.383637702
S66x8/04-090,-324.804196296
S66x8/04-095,-324.8043887563
S66x8/04-100,-324.8040028536
S66x8/04-105,-324.8032685044
S66x8/04-110,-324.8023452564
S66x8/04-125,-324.7993120214
S66x8/04-150,-324.7952800897
S66x8/04-200,-324.791191769
S66x8/05-A,-115.6669173569
S66x8/05-B,-115.6669533824
S66x8/05-090,-231.3445841743
S66x8/05-095,-231.3448506658
S66x8/05-100,-231.3446007615
S66x8/05-105,-231.3440465306
S66x8/05-110,-231.3433317505
S66x8/05-125,-231.3409944113
S66x8/05-150,-231.3380212966
S66x8/05-200,-231.3354702221
S66x8/06-A,-115.6666738544
S66x8/06-B,-95.7930942603
S66x8/06-090,-211.4727772948
S66x8/06-095,-211.4732550664
S66x8/06-100,-211.4730829386
S66x8/06-105,-211.4725104131
S66x8/06-110,-211.4717104249
S66x8/06-125,-211.4689222362
S66x8/06-150,-211.4651553203
S66x8/06-200,-211.4617572116
S66x8/07-A,-115.6667573808
S66x8/07-B,-248.3836056468
S66x8/07-090,-364.0650778081
S66x8/07-095,-364.0654607163
S66x8/07-100,-364.0652125739
S66x8/07-105,-364.0645754223
S66x8/07-110,-364.0637174436
S66x8/07-125,-364.0607626031
S66x8/07-150,-364.056209356
S66x8/07-200,-364.0520543687
S66x8/08-A,-115.6669489188
S66x8/08-B,-76.4054039724
S66x8/08-090,-192.082267206
S66x8/08-095,-192.0824524768
S66x8/08-100,-192.0821803086
S66x8/08-105,-192.0816440115
S66x8/08-110,-192.0809733376
S66x8/08-125,-192.0788355616
S66x8/08-150,-192.0761727783
S66x8/08-200,-192.0738925714
S66x8/09-A,-95.7930587997
S66x8/09-B,-115.666992004
S66x8/09-090,-211.4652726917
S66x8/09-095,-211.4654049588
S66x8/09-100,-211.4652120601
S66x8/09-105,-211.4648459184
S66x8/09-110,-211.4644035563
S66x8/09-125,-211.4630870529
S66x8/09-150,-211.4616548876
S66x8/09-200,-211.4606471489
S66x8/10-A,-95.793053548
S66x8/10-B,-95.7930548505
S66x8/10-090,-191.5926623255
S66x8/10-095,-191.593081872
S66x8/10-100,-191.5929943764
S66x8/10-105,-191.5926148624
S66x8/10-110,-191.5920857241
S66x8/10-125,-191.5903431579
S66x8/10-150,-191.5879424169
S66x8/10-200,-191.5866591291
S66x8/11-A,-95.7928169702
S66x8/11-B,-248.3837481291
S66x8/11-090,-344.1849290061
S66x8/11-095,-344.1853935299
S66x8/11-100,-344.185319701
S66x8/11-105,-344.1849231258
S66x8/11-110,-344.1843499456
S66x8/11-125,-344.1813874598
S66x8/11-150,-344.1786377063
S66x8/11-200,-344.1773984278
S66x8/12-A,-95.7930602714
S66x8/12-B,-76.4048949679
S66x8/12-090,-172.211689692
S66x8/12-095,-172.212021356
S66x8/12-100,-172.2117358804
S66x8/12-105,-172.2110763161
S66x8/12-110,-172.2102112254
S66x8/12-125,-172.207319287
S66x8/12-150,-172.2035310542
S66x8/12-200,-172.2001912997
S66x8/13-A,-248.3837292779
S66x8/13-B,-115.666987455
S66x8/13-090,-364.0607942227
S66x8/13-095,-364.0612434467
S66x8/13-100,-364.0611500587
S66x8/13-105,-364.0607279548
S66x8/13-110,-364.0601228193
S66x8/13-125,-364.0580082949
S66x8/13-150,-364.0551948558
S66x8/13-200,-364.0526871404
S66x8/14-A,-248.3834968565
S66x8/14-B,-95.7930199578
S66x8/14-090,-344.1877472564
S66x8/14-095,-344.1884348811
S66x8/14-100,-344.1884741857
S66x8/14-105,-344.1881045607
S66x8/14-110,-344.1874930448
S66x8/14-125,-344.1851660996
S66x8/14-150,-344.1818512055
S66x8/14-200,-344.1787455856
S66x8/15-A,-248.3834643086
S66x8/15-B,-248.3835987968
S66x8/15-090,-496.7801362015
S66x8/15-095,-496.780744953
S66x8/15-100,-496.780714815
S66x8/15-105,-496.7802814108
S66x8/15-110,-496.77960881
S66x8/15-125,-496.7771009916
S66x8/15-150,-496.7734903638
S66x8/15-200,-496.7696292664
S66x8/16-A,-248.3836735717
S66x8/16-B,-76.4054106396
S66x8/16-090,-324.7982880031
S66x8/16-095,-324.7985876968
S66x8/16-100,-324.7984305505
S66x8/16-105,-324.7980048402
S66x8/16-110,-324.7974365319
S66x8/16-125,-324.7955467267
S66x8/16-150,-324.79311484
S66x8/16-200,-324.7909421127
S66x8/17-A,-414.6179032233
S66x8/17-B,-414.6180682504
S66x8/17-090,-829.2646059076
S66x8/17-095,-829.2659111275
S66x8/17-100,-829.2658253734
S66x8/17-105,-829.2648466192
S66x8/17-110,-829.2633280631
S66x8/17-125,-829.2576073124
S66x8/17-150,-829.2492337445
S66x8/17-200,-829.2410741379
S66x8/18-A,-76.4054457126
S66x8/18-B,-248.0966305879
S66x8/18-090,-324.5144307361
S66x8/18-095,-324.5147030204
S66x8/18-100,-324.5144128688
S66x8/18-105,-324.5137846571
S66x8/18-110,-324.5129732126
S66x8/18-125,-324.5102915204
S66x8/18-150,-324.5067987792
S66x8/18-200,-324.503700034
S66x8/19-A,-115.6666678417
S66x8/19-B,-248.096627866
S66x8/19-090,-363.7758411506
S66x8/19-095,-363.7763675296
S66x8/19-100,-363.7762511508
S66x8/19-105,-363.7757359991
S66x8/19-110,-363.7746733209
S66x8/19-125,-363.7723484677
S66x8/19-150,-363.7683281226
S66x8/19-200,-363.7649629014
S66x8/20-A,-228.9871159057
S66x8/20-B,-228.9871114439
S66x8/20-090,-458.0092167776
S66x8/20-095,-458.0104056195
S66x8/20-100,-458.0100317227
S66x8/20-105,-458.0086721824
S66x8/20-110,-458.0067317466
S66x8/20-125,-457.9998427707
S66x8/20-150,-457.9898339315
S66x8/20-200,-457.9800491691
S66x8/21-A,-209.1089767869
S66x8/21-B,-209.1089806269
S66x8/21-090,-418.2458525999
S66x8/21-095,-418.2469797003
S66x8/21-100,-418.246799403
S66x8/21-105,-418.2457928341
S66x8/21-110,-418.244297808
S66x8/21-125,-418.2388271468
S66x8/21-150,-418.2310053149
S66x8/21-200,-418.2227660588
S66x8/22-A,-228.9870469666
S66x8/22-B,-414.6178287949
S66x8/22-090,-643.6389428974
S66x8/22-095,-643.6402345825
S66x8/22-100,-643.6400390524
S66x8/22-105,-643.6388868748
S66x8/22-110,-643.6371550593
S66x8/22-125,-643.630694871
S66x8/22-150,-643.6211550882
S66x8/22-200,-643.6114999743
S66x8/23-A,-209.1088945295
S66x8/23-B,-414.6175931337
S66x8/23-090,-623.7588945002
S66x8/23-095,-623.7602066409
S66x8/23-100,-623.7601584497
S66x8/23-105,-623.7592205117
S66x8/23-110,-623.7577309807
S66x8/23-125,-623.7519742227
S66x8/23-150,-623.7432025087
S66x8/23-200,-623.7339632484
S66x8/24-A,-232.0557037526
S66x8/24-B,-232.055603527
S66x8/24-090,-464.1046640106
S66x8/24-095,-464.1086990231
S66x8/24-100,-464.1106385002
S66x8/24-105,-464.1114553435
S66x8/24-110,-464.1117007569
S66x8/24-125,-464.1113958919
S66x8/24-150,-464.1110352236
S66x8/24-200,-464.1111431581
S66x8/25-A,-248.0965055193
S66x8/25-B,-248.0965561703
S66x8/25-090,-496.1884748584
S66x8/25-095,-496.1923935665
S66x8/25-100,-496.1942682385
S66x8/25-105,-496.1949973029
S66x8/25-110,-496.1951306894
S66x8/25-125,-496.1944544701
S66x8/25-150,-496.1935388244
S66x8/25-200,-496.19321849
S66x8/26-A,-414.6184235187
S66x8/26-B,-414.6184235187
S66x8/26-090,-829.2434866407
S66x8/26-095,-829.2466004775
S66x8/26-100,-829.2475599711
S66x8/26-105,-829.2473485484
S66x8/26-110,-829.2465534209
S66x8/26-125,-829.2434464205
S66x8/26-150,-829.2400869279
S66x8/26-200,-829.2380215979
S66x8/27-A,-232.0556773306
S66x8/27-B,-248.0965844154
S66x8/27-090,-480.1464697474
S66x8/27-095,-480.1506876661
S66x8/27-100,-480.1526327509
S66x8/27-105,-480.1533827456
S66x8/27-110,-480.1535373811
S66x8/27-125,-480.1529840515
S66x8/27-150,-480.1523068708
S66x8/27-200,-480.1521894691
S66x8/28-A,-232.0553991527
S66x8/28-B,-414.6191095815
S66x8/28-090,-646.6731788306
S66x8/28-095,-646.6767424903
S66x8/28-100,-646.678255715
S66x8/28-105,-646.6786303201
S66x8/28-110,-646.6784218269
S66x8/28-125,-646.6768789352
S66x8/28-150,-646.6752253641
S66x8/28-200,-646.6745835241
S66x8/29-A,-248.0964610537
S66x8/29-B,-414.6191072104
S66x8/29-090,-662.714536425
S66x8/29-095,-662.7194149221
S66x8/29-100,-662.7212237855
S66x8/29-105,-662.721499995
S66x8/29-110,-662.7210779953
S66x8/29-125,-662.7190069225
S66x8/29-150,-662.717006956
S66x8/29-200,-662.7159629131
S66x8/30-A,-232.0556512137
S66x8/30-B,-78.5164075001
S66x8/30-090,-310.5691866981
S66x8/30-095,-310.5709974384
S66x8/30-100,-310.5718174431
S66x8/30-105,-310.5721144543
S66x8/30-110,-310.5721549548
S66x8/30-125,-310.5718959913
S66x8/30-150,-310.571742671
S66x8/30-200,-310.5719234599
S66x8/31-A,-414.6191857026
S66x8/31-B,-78.5163244363
S66x8/31-090,-493.1368600314
S66x8/31-095,-493.1381665271
S66x8/31-100,-493.1386071265
S66x8/31-105,-493.1385814617
S66x8/31-110,-493.1383266971
S66x8/31-125,-493.1372815436
S66x8/31-150,-493.1362097122
S66x8/31-200,-493.1356554445
S66x8/32-A,-414.6192993842
S66x8/32-B,-77.2621143304
S66x8/32-090,-491.8834289946
S66x8/32-095,-491.8848435712
S66x8/32-100,-491.8852801708
S66x8/32-105,-491.8851895588
S66x8/32-110,-491.8848416084
S66x8/32-125,-491.8834958853
S66x8/32-150,-491.8820857896
S66x8/32-200,-491.8813008391
S66x8/33-A,-248.0966305934
S66x8/33-B,-78.5163811027
S66x8/33-090,-326.6113721234
S66x8/33-095,-326.6128963084
S66x8/33-100,-326.6135805963
S66x8/33-105,-326.6138012981
S66x8/33-110,-326.61378449
S66x8/33-125,-326.6133407951
S66x8/33-150,-326.6129512328
S66x8/33-200,-326.6129511792
S66x8/34-A,-197.5971282959
S66x8/34-B,-197.5971869113
S66x8/34-090,-395.1958393621
S66x8/34-095,-395.1971577475
S66x8/34-100,-395.1975215728
S66x8/34-105,-395.1973982575
S66x8/34-110,-395.1970551388
S66x8/34-125,-395.1958737989
S66x8/34-150,-395.1948568272
S66x8/34-200,-395.1945706
S66x8/35-A,-197.5971500488
S66x8/35-B,-197.6018002837
S66x8/35-090,-395.1995852196
S66x8/35-095,-395.200695545
S66x8/35-100,-395.2009858379
S66x8/35-105,-395.2008995723
S66x8/35-110,-395.200656552
S66x8/35-125,-395.1998687699
S66x8/35-150,-395.1992368749
S66x8/35-200,-395.1990717432
S66x8/36-A,-197.6018024458
S66x8/36-B,-197.601784438
S66x8/36-090,-395.2039338057
S66x8/36-095,-395.2044506005
S66x8/36-100,-395.2045923617
S66x8/36-105,-395.2045481817
S66x8/36-110,-395.2044214577
S66x8/36-125,-395.2039861757
S66x8/36-150,-395.2036276702
S66x8/36-200,-395.2035426724
S66x8/37-A,-196.3911982182
S66x8/37-B,-197.6018680458
S66x8/37-090,-393.9931756963
S66x8/37-095,-393.994297217
S66x8/37-100,-393.9946473969
S66x8/37-105,-393.9946295338
S66x8/37-110,-393.9944533877
S66x8/37-125,-393.9937788683
S66x8/37-150,-393.9931676509
S66x8/37-200,-393.992977327
S66x8/38-A,-196.3911628495
S66x8/38-B,-196.391167228
S66x8/38-090,-392.7831739311
S66x8/38-095,-392.7842422507
S66x8/38-100,-392.7846072459
S66x8/38-105,-392.7845192027
S66x8/38-110,-392.7842375729
S66x8/38-125,-392.7832935584
S66x8/38-150,-392.7825308953
S66x8/38-200,-392.7823286474
S66x8/39-A,-232.0556175723
S66x8/39-B,-196.3911480846
S66x8/39-090,-428.4456738924
S66x8/39-095,-428.4478927008
S66x8/39-100,-428.4488503765
S66x8/39-105,-428.4490800332
S66x8/39-110,-428.4489365917
S66x8/39-125,-428.4480026494
S66x8/39-150,-428.4470731032
S66x8/39-200,-428.4467681191
S66x8/40-A,-232.0555867814
S66x8/40-B,-197.6016988269
S66x8/40-090,-429.6567528601
S66x8/40-095,-429.6584353584
S66x8/40-100,-429.6591213568
S66x8/40-105,-429.659276872
S66x8/40-110,-429.6591682143
S66x8/40-125,-429.6584535273
S66x8/40-150,-429.6577340189
S66x8/40-200,-429.6575147159
S66x8/41-A,-414.6190928165
S66x8/41-B,-197.5972180987
S66x8/41-090,-612.2178826179
S66x8/41-095,-612.2195623994
S66x8/41-100,-612.2200785485
S66x8/41-105,-612.2199728777
S66x8/41-110,-612.2194701132
S66x8/41-125,-612.2177832935
S66x8/41-150,-612.216593307
S66x8/41-200,-612.2163029659
S66x8/42-A,-414.6190783743
S66x8/42-B,-196.391136952
S66x8/42-090,-611.0107479389
S66x8/42-095,-611.0125655594
S66x8/42-100,-611.0131482907
S66x8/42-105,-611.0131089649
S66x8/42-110,-611.0127881797
S66x8/42-125,-611.0115780692
S66x8/42-150,-611.0105437792
S66x8/42-200,-611.0102416101
S66x8/43-A,-414.6191644731
S66x8/43-B,-197.6018172604
S66x8/43-090,-612.2220033784
S66x8/43-095,-612.223429621
S66x8/43-100,-612.2238250998
S66x8/43-105,-612.2237110883
S66x8/43-110,-612.2233765859
S66x8/43-125,-612.2222235733
S66x8/43-150,-612.2212224273
S66x8/43-200,-612.2208509873
S66x8/44-A,-78.5163982112
S66x8/44-B,-197.5971395122
S66x8/44-090,-276.1149374341
S66x8/44-095,-276.1154414172
S66x8/44-100,-276.1154875422
S66x8/44-105,-276.1153192752
S66x8/44-110,-276.1150701381
S66x8/44-125,-276.1143623915
S66x8/44-150,-276.1138214583
S66x8/44-200,-276.11367625
S66x8/45-A,-77.2621400282
S66x8/45-B,-197.5972441257
S66x8/45-090,-274.8594777995
S66x8/45-095,-274.8603454827
S66x8/45-100,-274.8606116883
S66x8/45-105,-274.8605811328
S66x8/45-110,-274.860419105
S66x8/45-125,-274.8598293067
S66x8/45-150,-274.859319979
S66x8/45-200,-274.8590935464
S66x8/46-A,-248.3837410848
S66x8/46-B,-197.5971804247
S66x8/46-090,-445.9841125321
S66x8/46-095,-445.9848994667
S66x8/46-100,-445.9850372731
S66x8/46-105,-445.984815512
S66x8/46-110,-445.9844172715
S66x8/46-125,-445.983063888
S66x8/46-150,-445.9816003551
S66x8/46-200,-445.9810719495
S66x8/47-A,-232.055558306
S66x8/47-B,-232.0553150169
S66x8/47-090,-464.1106515738
S66x8/47-095,-464.1125166178
S66x8/47-100,-464.1132812017
S66x8/47-105,-464.1134601914
S66x8/47-110,-464.1133464099
S66x8/47-125,-464.1125481786
S66x8/47-150,-464.1116714301
S66x8/47-200,-464.111275912
S66x8/48-A,-248.0965024131
S66x8/48-B,-248.0964037766
S66x8/48-090,-496.1945307003
S66x8/48-095,-496.1960036201
S66x8/48-100,-496.1965533866
S66x8/48-105,-496.1965925913
S66x8/48-110,-496.1963674282
S66x8/48-125,-496.1952852025
S66x8/48-150,-496.1940498834
S66x8/48-200,-496.1933405904
S66x8/49-A,-232.0555540379
S66x8/49-B,-248.0965125917
S66x8/49-090,-480.1524904752
S66x8/49-095,-480.1543550627
S66x8/49-100,-480.1550877019
S66x8/49-105,-480.1552161786
S66x8/49-110,-480.1550437481
S66x8/49-125,-480.1540697251
S66x8/49-150,-480.1529813139
S66x8/49-200,-480.1523849589
S66x8/50-A,-232.0555387479
S66x8/50-B,-77.262226996
S66x8/50-090,-309.3193541143
S66x8/50-095,-309.3206451775
S66x8/50-100,-309.3210385396
S66x8/50-105,-309.3209646783
S66x8/50-110,-309.3206713378
S66x8/50-125,-309.3195510702
S66x8/50-150,-309.3183840952
S66x8/50-200,-309.3177021329
S66x8/51-A,-77.2621588636
S66x8/51-B,-77.2622508555
S66x8/51-090,-154.5264274458
S66x8/51-095,-154.5267458576
S66x8/51-100,-154.52675028
S66x8/51-105,-154.5265913315
S66x8/51-110,-154.5263595067
S66x8/51-125,-154.5256387112
S66x8/51-150,-154.5249139143
S66x8/51-200,-154.5244771738
S66x8/52-A,-232.0555400347
S66x8/52-B,-228.9889302553
S66x8/52-090,-461.049525754
S66x8/52-095,-461.0504919631
S66x8/52-100,-461.0506974432
S66x8/52-105,-461.0504765684
S66x8/52-110,-461.0500352682
S66x8/52-125,-461.048403882
S66x8/52-150,-461.0464476043
S66x8/52-200,-461.0450484563
S66x8/53-A,-232.0555603944
S66x8/53-B,-209.1099480907
S66x8/53-090,-441.1705494657
S66x8/53-095,-441.1712850812
S66x8/53-100,-441.1714164303
S66x8/53-105,-441.1711964476
S66x8/53-110,-441.1707882657
S66x8/53-125,-441.1692808346
S66x8/53-150,-441.1674091213
S66x8/53-200,-441.1659605268
S66x8/54-A,-232.0555049754
S66x8/54-B,-76.4053033854
S66x8/54-090,-308.4654165749
S66x8/54-095,-308.4659756918
S66x8/54-100,-308.4659886378
S66x8/54-105,-308.4657115925
S66x8/54-110,-308.4652990269
S66x8/54-125,-308.4639600495
S66x8/54-150,-308.4624673857
S66x8/54-200,-308.4613830127
S66x8/55-A,-232.0554567352
S66x8/55-B,-115.6669879052
S66x8/55-090,-347.7266066994
S66x8/55-095,-347.7276265845
S66x8/55-100,-347.7279148023
S66x8/55-105,-347.7277844023
S66x8/55-110,-347.7274303006
S66x8/55-125,-347.7260271089
S66x8/55-150,-347.7243265786
S66x8/55-200,-347.7231219538
S66x8/56-A,-232.0555540435
S66x8/56-B,-95.7930376879
S66x8/56-090,-327.8505270694
S66x8/56-095,-327.8516218189
S66x8/56-100,-327.8520055983
S66x8/56-105,-327.851975814
S66x8/56-110,-327.8517053574
S66x8/56-125,-327.8506137372
S66x8/56-150,-327.8494731762
S66x8/56-200,-327.8488461602
S66x8/57-A,-232.0554562249
S66x8/57-B,-248.3837121566
S66x8/57-090,-480.4417168424
S66x8/57-095,-480.443999047
S66x8/57-100,-480.4448204605
S66x8/57-105,-480.4448661179
S66x8/57-110,-480.444524773
S66x8/57-125,-480.4429366386
S66x8/57-150,-480.4410914996
S66x8/57-200,-480.4399004686
S66x8/58-A,-248.096483111
S66x8/58-B,-248.0963905979
S66x8/58-090,-496.1973616756
S66x8/58-095,-496.1987718458
S66x8/58-100,-496.1990791855
S66x8/58-105,-496.1985384755
S66x8/58-110,-496.1977727866
S66x8/58-125,-496.1957570815
S66x8/58-150,-496.194099155
S66x8/58-200,-496.1932077923
S66x8/59-A,-77.2623111929
S66x8/59-B,-76.4053964872
S66x8/59-090,-153.6732902473
S66x8/59-095,-153.6734184711
S66x8/59-100,-153.6732270676
S66x8/59-105,-153.6728606684
S66x8/59-110,-153.6724130381
S66x8/59-125,-153.6710474214
S66x8/59-150,-153.6694718654
S66x8/59-200,-153.6682317913
S66x8/60-A,-77.2621244759
S66x8/60-B,-228.9889145217
S66x8/60-090,-306.2592404691
S66x8/60-095,-306.2596766007
S66x8/60-100,-306.2595041915
S66x8/60-105,-306.2589891949
S66x8/60-110,-306.2583043822
S66x8/60-125,-306.2561079975
S66x8/60-150,-306.2535385801
S66x8/60-200,-306.2516640286
S66x8/61-A,-197.5971780463
S66x8/61-B,-228.988991147
S66x8/61-090,-426.5886452427
S66x8/61-095,-426.5889691569
S66x8/61-100,-426.5889615294
S66x8/61-105,-426.5887694267
S66x8/61-110,-426.5884879342
S66x8/61-125,-426.5875840908
S66x8/61-150,-426.5865694429
S66x8/61-200,-426.5862391487
S66x8/62-A,-197.5972240316
S66x8/62-B,-209.1099790886
S66x8/62-090,-406.7102266262
S66x8/62-095,-406.7107806049
S66x8/62-100,-406.7108115988
S66x8/62-105,-406.7105635626
S66x8/62-110,-406.7101879097
S66x8/62-125,-406.7089963038
S66x8/62-150,-406.7078433349
S66x8/62-200,-406.7073188787
S66x8/63-A,-232.0556407822
S66x8/63-B,-228.9889134146
S66x8/63-090,-461.0459826433
S66x8/63-095,-461.0476411049
S66x8/63-100,-461.0481975373
S66x8/63-105,-461.0481723665
S66x8/63-110,-461.0478655435
S66x8/63-125,-461.0466132743
S66x8/63-150,-461.0453232534
S66x8/63-200,-461.0446917474
S66x8/64-A,-248.3837438735
S66x8/64-B,-78.5164794483
S66x8/64-090,-326.9033296378
S66x8/64-095,-326.9038413035
S66x8/64-100,-326.9038786559
S66x8/64-105,-326.9036568331
S66x8/64-110,-326.90331075
S66x8/64-125,-326.9021782199
S66x8/64-150,-326.9009307114
S66x8/64-200,-326.9002648086
S66x8/65-A,-248.0966093585
S66x8/65-B,-77.2614223616
S66x8/65-090,-325.3652061712
S66x8/65-095,-325.3655727813
S66x8/65-100,-325.3655096133
S66x8/65-105,-325.3651914034
S66x8/65-110,-325.3647359132
S66x8/65-125,-325.3631793191
S66x8/65-150,-325.3612214257
S66x8/65-200,-325.3596636089
S66x8/66-A,-95.7930561563
S66x8/66-B,-248.0965663683
S66x8/66-090,-343.8938751724
S66x8/66-095,-343.8945767736
S66x8/66-100,-343.894736851
S66x8/66-105,-343.8945731742
S66x8/66-110,-343.894230594
S66x8/66-125,-343.8929105964
