system,B1B95/def2-QZVP/ORCA
S66x8/03-100,-172.2983583893
S66x8/03-105,-172.2980967741
S66x8/03-110,-172.2976461607
S66x8/03-125,-172.2958063548
S66x8/03-150,-172.2931837038
S66x8/03-200,-172.2907674932
S66x8/04-A,-76.4409431675
S66x8/04-B,-248.5274736686
S66x8/04-090,-324.9773428307
S66x8/04-095,-324.9780436993
S66x8/04-100,-324.9782006574
S66x8/04-105,-324.9780290998
S66x8/04-110,-324.9776446724
S66x8/04-125,-324.9757382915
S66x8/04-150,-324.9730958255
S66x8/04-200,-324.9702296643
S66x8/05-A,-115.7272365742
S66x8/05-B,-115.7272807834
S66x8/05-090,-231.4597050703
S66x8/05-095,-231.4605630451
S66x8/05-100,-231.4608709714
S66x8/05-105,-231.4608467566
S66x8/05-110,-231.4605931306
S66x8/05-125,-231.4594049254
S66x8/05-150,-231.4575852458
S66x8/05-200,-231.4558757122
S66x8/06-A,-115.7270139244
S66x8/06-B,-95.8484017787
S66x8/06-090,-211.5831096741
S66x8/06-095,-211.5840447265
S66x8/06-100,-211.58438803
S66x8/06-105,-211.5843054686
S66x8/06-110,-211.5839145243
S66x8/06-125,-211.5821893768
S66x8/06-150,-211.5795671809
S66x8/06-200,-211.5771055796
S66x8/07-A,-115.7271003592
S66x8/07-B,-248.5271702825
S66x8/07-090,-364.2624859946
S66x8/07-095,-364.263432623
S66x8/07-100,-364.2637343532
S66x8/07-105,-364.2636350682
S66x8/07-110,-364.2633009646
S66x8/07-125,-364.2616174618
S66x8/07-150,-364.2586645998
S66x8/07-200,-364.2557557772
S66x8/08-A,-115.7272650371
S66x8/08-B,-76.4409181258
S66x8/08-090,-192.1734921279
S66x8/08-095,-192.1741931805
S66x8/08-100,-192.1744074298
S66x8/08-105,-192.1743240858
S66x8/08-110,-192.1740259798
S66x8/08-125,-192.1728430875
S66x8/08-150,-192.1711823864
S66x8/08-200,-192.1695332394
S66x8/09-A,-95.8483840947
S66x8/09-B,-115.727315972
S66x8/09-090,-211.5767380436
S66x8/09-095,-211.5772924842
S66x8/09-100,-211.5776855228
S66x8/09-105,-211.5778766799
S66x8/09-110,-211.5778164225
S66x8/09-125,-211.5773831225
S66x8/09-150,-211.5767872641
S66x8/09-200,-211.5762066698
S66x8/10-A,-95.8483833801
S66x8/10-B,-95.8483819333
S66x8/10-090,-191.6984678499
S66x8/10-095,-191.6994338117
S66x8/10-100,-191.6999525864
S66x8/10-105,-191.6999326841
S66x8/10-110,-191.6997469964
S66x8/10-125,-191.6991422535
S66x8/10-150,-191.6979653636
S66x8/10-200,-191.6972270432
S66x8/11-A,-95.8481916109
S66x8/11-B,-248.5273114001
S66x8/11-090,-344.3780292221
S66x8/11-095,-344.3789391338
S66x8/11-100,-344.3794930546
S66x8/11-105,-344.3796677162
S66x8/11-110,-344.3795474854
S66x8/11-125,-344.3784088504
S66x8/11-150,-344.3769547149
S66x8/11-200,-344.3762023468
S66x8/12-A,-95.8483658797
S66x8/12-B,-76.4404850579
S66x8/12-090,-172.2971048759
S66x8/12-095,-172.2979608364
S66x8/12-100,-172.2981739892
S66x8/12-105,-172.2979745181
S66x8/12-110,-172.2975633929
S66x8/12-125,-172.2957657632
S66x8/12-150,-172.2931483084
S66x8/12-200,-172.2907309745
S66x8/13-A,-248.5272270711
S66x8/13-B,-115.7273000827
S66x8/13-090,-364.2586898116
S66x8/13-095,-364.259717955
S66x8/13-100,-364.2602473426
S66x8/13-105,-364.2603609513
S66x8/13-110,-364.2601779503
S66x8/13-125,-364.2592749326
S66x8/13-150,-364.2577727319
S66x8/13-200,-364.2562185293
S66x8/14-A,-248.5269905839
S66x8/14-B,-95.848357479
S66x8/14-090,-344.3812309783
S66x8/14-095,-344.3823688014
S66x8/14-100,-344.3828626258
S66x8/14-105,-344.382924484
S66x8/14-110,-344.3826944738
S66x8/14-125,-344.3814587607
S66x8/14-150,-344.3794011472
S66x8/14-200,-344.3772344565
S66x8/15-A,-248.5273336455
S66x8/15-B,-248.5274331069
S66x8/15-090,-497.0615804599
S66x8/15-095,-497.0627614822
S66x8/15-100,-497.0632938375
S66x8/15-105,-497.0633580917
S66x8/15-110,-497.0630906343
S66x8/15-125,-497.0618496991
S66x8/15-150,-497.059642705
S66x8/15-200,-497.0570126089
S66x8/16-A,-248.5275194402
S66x8/16-B,-76.4409217589
S66x8/16-090,-324.9730526099
S66x8/16-095,-324.9738703495
S66x8/16-100,-324.9741748229
S66x8/16-105,-324.9741214304
S66x8/16-110,-324.9739996438
S66x8/16-125,-324.9730887475
S66x8/16-150,-324.9716184678
S66x8/16-200,-324.9701196209
S66x8/17-A,-414.8673493762
S66x8/17-B,-414.8675049492
S66x8/17-090,-829.7540011446
S66x8/17-095,-829.7559952111
S66x8/17-100,-829.7566005888
S66x8/17-105,-829.7563274548
S66x8/17-110,-829.7555046964
S66x8/17-125,-829.7516648336
S66x8/17-150,-829.7455602554
S66x8/17-200,-829.7392889072
S66x8/18-A,-76.4409393445
S66x8/18-B,-248.27674469
S66x8/18-090,-324.7251943162
S66x8/18-095,-324.7259641262
S66x8/18-100,-324.726131979
S66x8/18-105,-324.7259243855
S66x8/18-110,-324.7255288447
S66x8/18-125,-324.7238238826
S66x8/18-150,-324.7213838799
S66x8/18-200,-324.7191136733
S66x8/19-A,-115.7270208937
S66x8/19-B,-248.2767384752
S66x8/19-090,-364.0108173611
S66x8/19-095,-364.0118465754
S66x8/19-100,-364.0122181339
S66x8/19-105,-364.0121430578
S66x8/19-110,-364.0117204911
S66x8/19-125,-364.0102541758
S66x8/19-150,-364.0076261182
S66x8/19-200,-364.0052466457
S66x8/20-A,-229.1114883202
S66x8/20-B,-229.1114891613
S66x8/20-090,-458.2471830703
S66x8/20-095,-458.2492219958
S66x8/20-100,-458.2496971932
S66x8/20-105,-458.249132931
S66x8/20-110,-458.2479606917
S66x8/20-125,-458.2430830635
S66x8/20-150,-458.2354136404
S66x8/20-200,-458.2279507167
S66x8/21-A,-209.2282196772
S66x8/21-B,-209.2282228648
S66x8/21-090,-418.4752686912
S66x8/21-095,-418.4771127856
S66x8/21-100,-418.4776554817
S66x8/21-105,-418.4773559659
S66x8/21-110,-418.4765507307
S66x8/21-125,-418.4729259896
S66x8/21-150,-418.4670873404
S66x8/21-200,-418.4607743649
S66x8/22-A,-229.1114147613
S66x8/22-B,-414.8672497723
S66x8/22-090,-644.0024625404
S66x8/22-095,-644.0045158728
S66x8/22-100,-644.0050740454
S66x8/22-105,-644.0046558697
S66x8/22-110,-644.0036410927
S66x8/22-125,-643.9990929953
S66x8/22-150,-643.9918694139
S66x8/22-200,-643.9844187717
S66x8/23-A,-209.228125395
S66x8/23-B,-414.8670792333
S66x8/23-090,-624.1180523592
S66x8/23-095,-624.1200389189
S66x8/23-100,-624.1206693712
S66x8/23-105,-624.1204038319
S66x8/23-110,-624.119585606
S66x8/23-125,-624.1156316632
S66x8/23-150,-624.1090111466
S66x8/23-200,-624.1017911893
S66x8/24-A,-232.230971066
S66x8/24-B,-232.2309160274
S66x8/24-090,-464.4522092191
S66x8/24-095,-464.4564497104
S66x8/24-100,-464.4587911923
S66x8/24-105,-464.4598047348
S66x8/24-110,-464.4599857287
S66x8/24-125,-464.4606578917
S66x8/24-150,-464.4614724002
S66x8/24-200,-464.4617834135
S66x8/25-A,-248.276699917
S66x8/25-B,-248.2767314648
S66x8/25-090,-496.5455352172
S66x8/25-095,-496.5496187622
S66x8/25-100,-496.5513798666
S66x8/25-105,-496.5528812768
S66x8/25-110,-496.5530428365
S66x8/25-125,-496.5533905341
S66x8/25-150,-496.5535421721
S66x8/25-200,-496.5535859551
S66x8/26-A,-414.8679671104
S66x8/26-B,-414.8679671098
S66x8/26-090,-829.7347955621
S66x8/26-095,-829.7385240289
S66x8/26-100,-829.7403876664
S66x8/26-105,-829.7411289177
S66x8/26-110,-829.7408136773
S66x8/26-125,-829.7398871151
S66x8/26-150,-829.7381611853
S66x8/26-200,-829.7370073665
S66x8/27-A,-232.2309568535
S66x8/27-B,-248.2767485368
S66x8/27-090,-480.498713628
S66x8/27-095,-480.5029821857
S66x8/27-100,-480.5055107359
S66x8/27-105,-480.5062317742
S66x8/27-110,-480.5066339518
S66x8/27-125,-480.5070444003
S66x8/27-150,-480.5074862831
S66x8/27-200,-480.5076832493
S66x8/28-A,-232.2307961258
S66x8/28-B,-414.8685551093
S66x8/28-090,-647.0934484812
S66x8/28-095,-647.0971724537
S66x8/28-100,-647.0996804035
S66x8/28-105,-647.0995747486
S66x8/28-110,-647.1000376493
S66x8/28-125,-647.0994598032
S66x8/28-150,-647.099598304
S66x8/28-200,-647.0993649367
S66x8/29-A,-248.2766658735
S66x8/29-B,-414.8685746211
S66x8/29-090,-663.1390798419
S66x8/29-095,-663.1444070266
S66x8/29-100,-663.1466817779
S66x8/29-105,-663.1470485635
S66x8/29-110,0
S66x8/29-125,-663.1473179885
S66x8/29-150,-663.1461222941
S66x8/29-200,-663.1455997476
S66x8/30-A,-232.2309424624
S66x8/30-B,-78.5737369338
S66x8/30-090,-310.7991064386
S66x8/30-095,-310.8013047767
S66x8/30-100,-310.8023721062
S66x8/30-105,-310.8028244116
S66x8/30-110,-310.8034902448
S66x8/30-125,-310.8039118787
S66x8/30-150,-310.8041539005
S66x8/30-200,-310.8045536005
S66x8/31-A,-414.8685856449
S66x8/31-B,-78.5737006829
S66x8/31-090,-493.4396009701
S66x8/31-095,-493.441503897
S66x8/31-100,-493.4421819175
S66x8/31-105,-493.4425799819
S66x8/31-110,-493.443042585
S66x8/31-125,-493.4428909413
S66x8/31-150,-493.4426438903
S66x8/31-200,-493.4423845665
S66x8/32-A,-414.8686319032
S66x8/32-B,-77.3248240878
S66x8/32-090,-492.1913118864
S66x8/32-095,-492.1933706575
S66x8/32-100,-492.1942423303
S66x8/32-105,-492.1943705102
S66x8/32-110,-492.1946607643
S66x8/32-125,-492.194281028
S66x8/32-150,-492.1938660788
S66x8/32-200,-492.1934037645
S66x8/33-A,-248.276775194
S66x8/33-B,-78.5737081464
S66x8/33-090,-326.8460626336
S66x8/33-095,-326.847589119
S66x8/33-100,-326.8486264936
S66x8/33-105,-326.8494526045
S66x8/33-110,-326.8494842681
S66x8/33-125,-326.8498483953
S66x8/33-150,-326.8502172637
S66x8/33-200,-326.8503973451
S66x8/34-A,-197.7207678431
S66x8/34-B,-197.7208049665
S66x8/34-090,-395.4373647617
S66x8/34-095,-395.4391445231
S66x8/34-100,-395.4397756282
S66x8/34-105,-395.4408443649
S66x8/34-110,-395.4411374683
S66x8/34-125,-395.4419563309
S66x8/34-150,-395.4412924648
S66x8/34-200,-395.4417353681
S66x8/35-A,-197.720781904
S66x8/35-B,-197.7233872624
S66x8/35-090,-395.439551899
S66x8/35-095,-395.4418871019
S66x8/35-100,-395.4426137602
S66x8/35-105,-395.4430423925
S66x8/35-110,-395.4435534303
S66x8/35-125,-395.4439489634
S66x8/35-150,-395.4438759695
S66x8/35-200,0
S66x8/36-A,-197.7233837299
S66x8/36-B,-197.7233849708
S66x8/36-090,-395.4432494828
S66x8/36-095,-395.4443462969
S66x8/36-100,-395.4448737873
S66x8/36-105,-395.4456270771
S66x8/36-110,-395.4456779367
S66x8/36-125,-395.4460955971
S66x8/36-150,-395.4462497198
S66x8/36-200,-395.4464833688
S66x8/37-A,-196.5196774117
S66x8/37-B,-197.7233728445
S66x8/37-090,-394.2380933239
S66x8/37-095,-394.2402031756
S66x8/37-100,-394.2411589071
S66x8/37-105,0
S66x8/37-110,-394.2420936681
S66x8/37-125,-394.2425395224
S66x8/37-150,-394.2427740457
S66x8/37-200,-394.2428991271
S66x8/38-A,-196.5196567604
S66x8/38-B,-196.519670089
S66x8/38-090,-393.0341071649
S66x8/38-095,-393.0363264158
S66x8/38-100,-393.0372112164
S66x8/38-105,-393.0376621607
S66x8/38-110,-393.0386923127
S66x8/38-125,-393.0390815391
S66x8/38-150,-393.038965428
S66x8/38-200,-393.0392508603
S66x8/39-A,-232.2309238489
S66x8/39-B,-196.5196385799
S66x8/39-090,-428.7454779647
S66x8/39-095,-428.7481249499
S66x8/39-100,-428.749714253
S66x8/39-105,-428.7501813495
S66x8/39-110,-428.7501909092
S66x8/39-125,-428.7501203629
S66x8/39-150,-428.7505969816
S66x8/39-200,-428.7505564871
S66x8/40-A,-232.2309065973
S66x8/40-B,-197.7233094543
S66x8/40-090,-429.949868413
S66x8/40-095,-429.9520318648
S66x8/40-100,-429.9534773121
S66x8/40-105,-429.9535481551
S66x8/40-110,-429.9540665398
S66x8/40-125,-429.9542962617
S66x8/40-150,-429.9542583027
S66x8/40-200,-429.954266193
S66x8/41-A,-414.8685523686
S66x8/41-B,-197.7208489136
S66x8/41-090,-612.5854253142
S66x8/41-095,-612.5879274291
S66x8/41-100,-612.5884958183
S66x8/41-105,-612.5891738075
S66x8/41-110,-612.589999757
S66x8/41-125,-612.5898761615
S66x8/41-150,-612.5892237745
S66x8/41-200,-612.5893539438
S66x8/42-A,-414.8685692007
S66x8/42-B,-196.5196303549
S66x8/42-090,-611.3830163772
S66x8/42-095,-611.3859983785
S66x8/42-100,-611.3868910102
S66x8/42-105,-611.3875252418
S66x8/42-110,-611.388149816
S66x8/42-125,-611.3882233136
S66x8/42-150,-611.3880202608
S66x8/42-200,-611.3881454747
S66x8/43-A,-414.8686145366
S66x8/43-B,-197.7233775977
S66x8/43-090,-612.5880066323
S66x8/43-095,-612.590174998
S66x8/43-100,-612.5911483938
S66x8/43-105,-612.5916063164
S66x8/43-110,-612.5920165061
S66x8/43-125,-612.5919221275
S66x8/43-150,-612.5918558478
S66x8/43-200,-612.5917666398
S66x8/44-A,-78.5737325185
S66x8/44-B,-197.7207795757
S66x8/44-090,-276.292427474
S66x8/44-095,-276.2931967349
S66x8/44-100,-276.2935265036
S66x8/44-105,-276.294350513
S66x8/44-110,-276.294071527
S66x8/44-125,-276.2944554918
S66x8/44-150,-276.2944608648
S66x8/44-200,-276.2946015224
S66x8/45-A,-77.3248420465
S66x8/45-B,-197.7208525745
S66x8/45-090,-275.0424064728
S66x8/45-095,-275.0436542051
S66x8/45-100,-275.0445176663
S66x8/45-105,-275.0449428066
S66x8/45-110,-275.0450166405
S66x8/45-125,-275.0453961319
S66x8/45-150,-275.0454271702
S66x8/45-200,-275.0454796666
S66x8/46-A,-248.5275728685
S66x8/46-B,-197.7207968545
S66x8/46-090,-446.2462968165
S66x8/46-095,-446.2472883821
S66x8/46-100,-446.2480426295
S66x8/46-105,-446.2488367944
S66x8/46-110,-446.2486571689
S66x8/46-125,-446.2487910063
S66x8/46-150,-446.2483501099
S66x8/46-200,0
S66x8/47-A,-232.2308902772
S66x8/47-B,-232.2307470367
S66x8/47-090,-464.4581616186
S66x8/47-095,-464.4602293419
S66x8/47-100,-464.46119789
S66x8/47-105,-464.462068264
S66x8/47-110,-464.4619725372
S66x8/47-125,-464.4620185417
S66x8/47-150,-464.4620159847
S66x8/47-200,-464.4618848941
S66x8/48-A,-248.2766969221
S66x8/48-B,-248.2766411887
S66x8/48-090,-496.5510419981
S66x8/48-095,-496.5527376239
S66x8/48-100,-496.5538860413
S66x8/48-105,-496.5542940427
S66x8/48-110,-496.5542479646
S66x8/48-125,-496.5542275674
S66x8/48-150,-496.5539806033
S66x8/48-200,-496.553721727
S66x8/49-A,-232.230887975
S66x8/49-B,-248.2766993869
S66x8/49-090,-480.5046639723
S66x8/49-095,-480.5069221804
S66x8/49-100,-480.507725133
S66x8/49-105,-480.5085313522
S66x8/49-110,-480.5085618551
S66x8/49-125,-480.5083838104
S66x8/49-150,-480.5080904438
S66x8/49-200,-480.5079031821
S66x8/50-A,-232.2308787603
S66x8/50-B,-77.3248933378
S66x8/50-090,-309.5547676676
S66x8/50-095,-309.5562929756
S66x8/50-100,-309.5570539203
S66x8/50-105,-309.5568594655
S66x8/50-110,-309.5572500683
S66x8/50-125,-309.556946274
S66x8/50-150,-309.5561612002
S66x8/50-200,-309.5558229803
S66x8/51-A,-77.3248541132
S66x8/51-B,-77.3249097006
S66x8/51-090,-154.6495923554
S66x8/51-095,-154.6501758999
S66x8/51-100,-154.6505307001
S66x8/51-105,-154.6506078018
S66x8/51-110,-154.6506024652
S66x8/51-125,-154.650414958
S66x8/51-150,-154.6501281934
S66x8/51-200,-154.6498515333
S66x8/52-A,-232.2308792937
S66x8/52-B,-229.1134133841
S66x8/52-090,-461.3453259148
S66x8/52-095,-461.3466822659
S66x8/52-100,-461.3472852483
S66x8/52-105,-461.3473877931
S66x8/52-110,-461.347386777
S66x8/52-125,-461.346686607
S66x8/52-150,-461.3456762544
S66x8/52-200,-461.3448331911
S66x8/53-A,-232.2308905216
S66x8/53-B,-209.2291781307
S66x8/53-090,-441.4608327813
S66x8/53-095,-441.462172659
S66x8/53-100,-441.4628332
S66x8/53-105,-441.4629056037
S66x8/53-110,-441.4627994341
S66x8/53-125,-441.4624813968
S66x8/53-150,-441.4614873101
S66x8/53-200,-441.4604980556
S66x8/54-A,-232.230859343
S66x8/54-B,-76.4408603942
S66x8/54-090,-308.6732814115
S66x8/54-095,-308.6741562399
S66x8/54-100,-308.6744390162
S66x8/54-105,-308.674551043
S66x8/54-110,-308.6743965747
S66x8/54-125,-308.6738013128
S66x8/54-150,-308.6729933239
S66x8/54-200,-308.6722741418
S66x8/55-A,-232.2308311032
S66x8/55-B,-115.7273051043
S66x8/55-090,-347.9586149447
S66x8/55-095,-347.9601163575
S66x8/55-100,-347.9605260111
S66x8/55-105,-347.9606965843
S66x8/55-110,-347.9609159781
S66x8/55-125,-347.9602804743
S66x8/55-150,-347.959379927
S66x8/55-200,-347.9587152635
S66x8/56-A,-232.2308877679
S66x8/56-B,-95.84838181
S66x8/56-090,-328.0777179562
S66x8/56-095,-328.0793393941
S66x8/56-100,-328.0800785941
S66x8/56-105,-328.0801865679
S66x8/56-110,-328.08043269
S66x8/56-125,-328.0801699555
S66x8/56-150,-328.0797766547
S66x8/56-200,-328.0795108566
S66x8/57-A,-232.2308312602
S66x8/57-B,-248.5275340301
S66x8/57-090,-480.756647392
S66x8/57-095,-480.7595584272
S66x8/57-100,-480.7606336192
S66x8/57-105,-480.7608669709
S66x8/57-110,-480.7612035477
S66x8/57-125,-480.7605256648
S66x8/57-150,-480.7597912705
S66x8/57-200,-480.7590306163
S66x8/58-A,-248.2766606306
S66x8/58-B,-248.2766053406
S66x8/58-090,-496.5524467053
S66x8/58-095,-496.554527586
S66x8/58-100,-496.5556654674
S66x8/58-105,-496.5559202232
S66x8/58-110,-496.5556898747
S66x8/58-125,-496.5549070974
S66x8/58-150,-496.5541112887
S66x8/58-200,-496.55356448
S66x8/59-A,-77.3249356621
S66x8/59-B,-76.4409159275
S66x8/59-090,-153.7681357989
S66x8/59-095,-153.768666961
S66x8/59-100,-153.7688659309
S66x8/59-105,-153.7688947394
S66x8/59-110,-153.7687301327
S66x8/59-125,-153.768120168
S66x8/59-150,-153.7672178662
S66x8/59-200,-153.7663328624
S66x8/60-A,-77.3248289592
S66x8/60-B,-229.1133844529
S66x8/60-090,-306.4418884147
S66x8/60-095,-306.4428793876
S66x8/60-100,-306.4430969408
S66x8/60-105,-306.4430656139
S66x8/60-110,-306.4428642483
S66x8/60-125,-306.4416019963
S66x8/60-150,-306.4400299966
S66x8/60-200,-306.4387583837
S66x8/61-A,-197.7208150418
S66x8/61-B,-229.1134946776
S66x8/61-090,-426.8319510433
S66x8/61-095,-426.832879581
S66x8/61-100,-426.8336195915
S66x8/61-105,-426.8340105852
S66x8/61-110,-426.8338871076
S66x8/61-125,-426.8345291515
S66x8/61-150,-426.8341659058
S66x8/61-200,-426.8343234712
S66x8/62-A,-197.7208497983
S66x8/62-B,-209.2292044975
S66x8/62-090,-406.9479992299
S66x8/62-095,-406.9489797348
S66x8/62-100,-406.9499873738
S66x8/62-105,-406.9502967602
S66x8/62-110,-406.9499645118
S66x8/62-125,-406.9503442246
S66x8/62-150,-406.949991762
S66x8/62-200,-406.9501052482
S66x8/63-A,-232.2309364863
S66x8/63-B,-229.1134365747
S66x8/63-090,-461.3417726006
S66x8/63-095,-461.3437634907
S66x8/63-100,-461.3449565926
S66x8/63-105,-461.3452175477
S66x8/63-110,-461.3451580351
S66x8/63-125,-461.3448746145
S66x8/63-150,-461.3448703435
S66x8/63-200,-461.3445028083
S66x8/64-A,-248.5275094973
S66x8/64-B,-78.5737843656
S66x8/64-090,-327.0999575588
S66x8/64-095,-327.1009840665
S66x8/64-100,-327.1014301841
S66x8/64-105,-327.1018671584
S66x8/64-110,-327.1021033715
S66x8/64-125,-327.1019415608
S66x8/64-150,-327.1016142636
S66x8/64-200,-327.1013183313
S66x8/65-A,-248.276749176
S66x8/65-B,-77.3243513947
S66x8/65-090,-325.6046314377
S66x8/65-095,-325.6053489109
S66x8/65-100,-325.6056319981
S66x8/65-105,-325.6056498588
S66x8/65-110,-325.6054678715
S66x8/65-125,-325.6046409355
S66x8/65-150,-325.6034522424
S66x8/65-200,-325.6023678315
S66x8/66-A,-95.8483791411
S66x8/66-B,-248.276726349
S66x8/66-090,-344.1247084782
S66x8/66-095,-344.1257354217
S66x8/66-100,-344.1263003169
S66x8/66-105,-344.1266071665
S66x8/66-110,-344.1267010739
S66x8/66-125,-344.1264349829
S66x8/66-150,-344.1259372305
S66x8/66-200,-344.125498894
