system,OLYP/def2-QZVP/ORCA
S22x5/20-B,-414.8942913724
S22x5/20-0.9,-829.7618687102
S22x5/20-1.0,-829.7804559457
S22x5/20-1.2,-829.7907736099
S22x5/20-1.5,-829.7909194887
S22x5/20-2.0,-829.7894337984
S22x5/21-A,-414.893532091
S22x5/21-B,-414.893532091
S22x5/21-0.9,-829.8025120463
S22x5/21-1.0,-829.8066996312
S22x5/21-1.2,-829.8055655337
S22x5/21-1.5,-829.7999159669
S22x5/21-2.0,-829.793431437
S22x5/22-A,-232.2533986371
S22x5/22-B,-93.4419835259
S22x5/22-0.9,-325.6915904142
S22x5/22-1.0,-325.6948815479
S22x5/22-1.2,-325.6973795703
S22x5/22-1.5,-325.6975019393
S22x5/22-2.0,-325.6964503783
S66x8/01-A,-76.4485136014
S66x8/01-B,-76.4485370868
S66x8/01-090,-152.9004067789
S66x8/01-095,-152.9013853032
S66x8/01-100,-152.901898268
S66x8/01-105,-152.902104414
S66x8/01-110,-152.9021221125
S66x8/01-125,-152.9016035171
S66x8/01-150,-152.9003155056
S66x8/01-200,-152.8985332828
S66x8/02-A,-76.4485128322
S66x8/02-B,-115.7394773047
S66x8/02-090,-192.1905402112
S66x8/02-095,-192.1917470518
S66x8/02-100,-192.1924229843
S66x8/02-105,-192.1927516971
S66x8/02-110,-192.1928518242
S66x8/02-125,-192.192481989
S66x8/02-150,-192.1912681892
S66x8/02-200,-192.1894592143
S66x8/03-A,-76.4485015768
S66x8/03-B,-95.8643741705
S66x8/03-090,-172.3186603385
S66x8/03-095,-172.3195940787
S66x8/03-100,-172.3199854254
S66x8/03-105,-172.320034296
S66x8/03-110,-172.3198742715
S66x8/03-125,-172.3188505921
S66x8/03-150,-172.3169925555
S66x8/03-200,-172.3146598121
S66x8/04-A,-76.4485050869
S66x8/04-B,-248.5502551832
S66x8/04-090,-325.0025764439
S66x8/04-095,-325.0039670025
S66x8/04-100,-325.0047578434
S66x8/04-105,-325.0051561557
S66x8/04-110,-325.0052911247
S66x8/04-125,-325.0048958966
S66x8/04-150,-325.0034894057
S66x8/04-200,-325.0008729638
S66x8/05-A,-115.7394434121
S66x8/05-B,-115.7395023872
S66x8/05-090,-231.4810988745
S66x8/05-095,-231.4824222642
S66x8/05-100,-231.4831854566
S66x8/05-105,-231.4835820522
S66x8/05-110,-231.4837330139
S66x8/05-125,-231.4834460912
S66x8/05-150,-231.4822708542
S66x8/05-200,-231.4804499659
S66x8/06-A,-115.7392912454
S66x8/06-B,-95.8643740237
S66x8/06-090,-211.6076891607
S66x8/06-095,-211.609154853
S66x8/06-100,-211.6099413134
S66x8/06-105,-211.6102781297
S66x8/06-110,-211.610326682
S66x8/06-125,-211.6096429181
S66x8/06-150,-211.6079380476
S66x8/06-200,-211.6056055784
S66x8/07-A,-115.7393929923
S66x8/07-B,-248.5500741185
S66x8/07-090,-364.2925020458
S66x8/07-095,-364.2940612949
S66x8/07-100,-364.294973639
S66x8/07-105,-364.2954626925
S66x8/07-110,-364.2956694507
S66x8/07-125,-364.2954086976
S66x8/07-150,-364.293885979
S66x8/07-200,-364.291099888
S66x8/08-A,-115.7394521689
S66x8/08-B,-76.4485377718
S66x8/08-090,-192.190879397
S66x8/08-095,-192.1919704144
S66x8/08-100,-192.1925701345
S66x8/08-105,-192.1928464505
S66x8/08-110,-192.1929098937
S66x8/08-125,-192.1924785621
S66x8/08-150,-192.1912399697
S66x8/08-200,-192.189476172
S66x8/09-A,-95.8643451482
S66x8/09-B,-115.7394928725
S66x8/09-090,-211.6021519821
S66x8/09-095,-211.6035495111
S66x8/09-100,-211.604470163
S66x8/09-105,-211.6050553943
S66x8/09-110,-211.6054060016
S66x8/09-125,-211.6057068289
S66x8/09-150,-211.6053015463
S66x8/09-200,-211.6044801776
S66x8/10-A,-95.864423471
S66x8/10-B,-95.864370383
S66x8/10-090,-191.7255202748
S66x8/10-095,-191.727416358
S66x8/10-100,-191.7287012013
S66x8/10-105,-191.7295495035
S66x8/10-110,-191.730100541
S66x8/10-125,-191.7307432857
S66x8/10-150,-191.730313012
S66x8/10-200,-191.729313694
S66x8/11-A,-95.864310821
S66x8/11-B,-248.5502552859
S66x8/11-090,-344.409922618
S66x8/11-095,-344.4121555981
S66x8/11-100,-344.4137334069
S66x8/11-105,-344.4148391141
S66x8/11-110,-344.4156034011
S66x8/11-125,-344.4168031435
S66x8/11-150,-344.4162067176
S66x8/11-200,-344.4151962989
S66x8/12-A,-95.8643336886
S66x8/12-B,-76.4484090026
S66x8/12-090,-172.3173046838
S66x8/12-095,-172.3185742182
S66x8/12-100,-172.3192148388
S66x8/12-105,-172.3194494644
S66x8/12-110,-172.3194278422
S66x8/12-125,-172.31865203
S66x8/12-150,-172.3169360552
S66x8/12-200,-172.3146281296
S66x8/13-A,-248.5501726642
S66x8/13-B,-115.7394931564
S66x8/13-090,-364.2889374016
S66x8/13-095,-364.2907391739
S66x8/13-100,-364.2919388609
S66x8/13-105,-364.2927150052
S66x8/13-110,-364.2931960338
S66x8/13-125,-364.2936483801
S66x8/13-150,-364.2930639396
S66x8/13-200,-364.2914922751
S66x8/14-A,-248.5499900983
S66x8/14-B,-95.8643828864
S66x8/14-090,-344.4153718569
S66x8/14-095,-344.4171520929
S66x8/14-100,-344.4182639065
S66x8/14-105,-344.4189239989
S66x8/14-110,-344.4192811812
S66x8/14-125,-344.4193726676
S66x8/14-150,-344.418405934
S66x8/14-200,-344.4164677001
S66x8/15-A,-248.5501721601
S66x8/15-B,-248.5502186511
S66x8/15-090,-497.1004872383
S66x8/15-095,-497.1024798842
S66x8/15-100,-497.103804025
S66x8/15-105,-497.1046638032
S66x8/15-110,-497.1051942145
S66x8/15-125,-497.1056799584
S66x8/15-150,-497.1050145022
S66x8/15-200,-497.1028095022
S66x8/16-A,-248.5502984988
S66x8/16-B,-76.4485358331
S66x8/16-090,-325.0004574775
S66x8/16-095,-325.0017851862
S66x8/16-100,-325.0026008301
S66x8/16-105,-325.0030695148
S66x8/16-110,-325.003309623
S66x8/16-125,-325.0032448567
S66x8/16-150,-325.0022577924
S66x8/16-200,-325.0005921456
S66x8/17-A,-414.8937612599
S66x8/17-B,-414.893858034
S66x8/17-090,-829.798903217
S66x8/17-095,-829.801481672
S66x8/17-100,-829.8027749655
S66x8/17-105,-829.8032339733
S66x8/17-110,-829.803160585
S66x8/17-125,-829.801432421
S66x8/17-150,-829.7975610987
S66x8/17-200,-829.7922883723
S66x8/18-A,-76.4485123109
S66x8/18-B,-248.300230876
S66x8/18-090,-324.7539262575
S66x8/18-095,-324.7549459089
S66x8/18-100,-324.7554117467
S66x8/18-105,-324.7555253185
S66x8/18-110,-324.7554225162
S66x8/18-125,-324.7545327683
S66x8/18-150,-324.7528016752
S66x8/18-200,-324.7505420686
S66x8/19-A,-115.739303552
S66x8/19-B,-248.3002229077
S66x8/19-090,-364.0437440301
S66x8/19-095,-364.0450360371
S66x8/19-100,-364.0457011093
S66x8/19-105,-364.0459591579
S66x8/19-110,-364.0460611443
S66x8/19-125,-364.0452270058
S66x8/19-150,-364.0436671758
S66x8/19-200,-364.0413666706
S66x8/20-A,-229.1289235356
S66x8/20-B,-229.1289248486
S66x8/20-090,-458.2736760702
S66x8/20-095,-458.2761502767
S66x8/20-100,-458.2771468904
S66x8/20-105,-458.2772132798
S66x8/20-110,-458.2767170809
S66x8/20-125,-458.2737886447
S66x8/20-150,-458.2688183368
S66x8/20-200,-458.2629449434
S66x8/21-A,-209.2487822172
S66x8/21-B,-209.2487844201
S66x8/21-090,-418.5085559263
S66x8/21-095,-418.5110360805
S66x8/21-100,-418.5122951991
S66x8/21-105,-418.5127645248
S66x8/21-110,-418.5127242555
S66x8/21-125,-418.5111550365
S66x8/21-150,-418.5075752878
S66x8/21-200,-418.5020576792
S66x8/22-A,-229.1288636647
S66x8/22-B,-414.8935604185
S66x8/22-090,-644.0379108372
S66x8/22-095,-644.0404392134
S66x8/22-100,-644.0415848561
S66x8/22-105,-644.0418354501
S66x8/22-110,-644.0415232793
S66x8/22-125,-644.0390796706
S66x8/22-150,-644.0343766519
S66x8/22-200,-644.0282884076
S66x8/23-A,-209.2486585046
S66x8/23-B,-414.8935184271
S66x8/23-090,-624.1569872369
S66x8/23-095,-624.1595230336
S66x8/23-100,-624.1607942087
S66x8/23-105,-624.1612295912
S66x8/23-110,-624.1611180003
S66x8/23-125,-624.1591972296
S66x8/23-150,-624.1549248718
S66x8/23-200,-624.1488698347
S66x8/24-A,-232.2533681096
S66x8/24-B,-232.2533986627
S66x8/24-090,-464.4821006858
S66x8/24-095,-464.4899915279
S66x8/24-100,-464.4953018659
S66x8/24-105,-464.4989054991
S66x8/24-110,-464.5013793651
S66x8/24-125,-464.5051522981
S66x8/24-150,-464.506558301
S66x8/24-200,-464.5067199328
S66x8/25-A,-248.3002853681
S66x8/25-B,-248.3002982496
S66x8/25-090,-496.5768157897
S66x8/25-095,-496.5845159572
S66x8/25-100,-496.5897913165
S66x8/25-105,-496.5934536103
S66x8/25-110,-496.5959320626
S66x8/25-125,-496.599603326
S66x8/25-150,-496.6008859053
S66x8/25-200,-496.6007446719
S66x8/26-A,-414.8942921692
S66x8/26-B,-414.8942921692
S66x8/26-090,-829.7660625362
S66x8/26-095,-829.7746142517
S66x8/26-100,-829.7804578181
S66x8/26-105,-829.7844745873
S66x8/26-110,-829.7871796582
S66x8/26-125,-829.790840331
S66x8/26-150,-829.7912144926
S66x8/26-200,-829.7897232492
S66x8/27-A,-232.2533860665
S66x8/27-B,-248.3002961019
S66x8/27-090,-480.5289675809
S66x8/27-095,-480.5371616949
S66x8/27-100,-480.5426548673
S66x8/27-105,-480.5463171097
S66x8/27-110,-480.5488124502
S66x8/27-125,-480.5524382107
S66x8/27-150,-480.5537423111
S66x8/27-200,-480.5537287955
S66x8/28-A,-232.2533883135
S66x8/28-B,-414.894755655
S66x8/28-090,-647.1221526217
S66x8/28-095,-647.1303702467
S66x8/28-100,-647.1361340189
S66x8/28-105,-647.140091167
S66x8/28-110,-647.142894095
S66x8/28-125,-647.1470538984
S66x8/28-150,-647.1483857803
S66x8/28-200,-647.1481429278
S66x8/29-A,-248.3002762205
S66x8/29-B,-414.8946985137
S66x8/29-090,-663.1678305691
S66x8/29-095,-663.1781564349
S66x8/29-100,-663.18483151
S66x8/29-105,-663.1891923184
S66x8/29-110,-663.1920585898
S66x8/29-125,-663.1957008226
S66x8/29-150,-663.1962456087
S66x8/29-200,-663.1954513801
S66x8/30-A,-232.2533851959
S66x8/30-B,-78.5891093522
S66x8/30-090,-310.8277638133
S66x8/30-095,-310.8321374136
S66x8/30-100,-310.8351796362
S66x8/30-105,-310.837307364
S66x8/30-110,-310.8388245276
S66x8/30-125,-310.8411560352
S66x8/30-150,-310.8421696827
S66x8/30-200,-310.8423919685
S66x8/31-A,-414.8947379367
S66x8/31-B,-78.5891895459
S66x8/31-090,-493.4709662242
S66x8/31-095,-493.4751503441
S66x8/31-100,-493.4780875854
S66x8/31-105,-493.4801621741
S66x8/31-110,-493.4816211653
S66x8/31-125,-493.4837607789
S66x8/31-150,-493.4843891889
S66x8/31-200,-493.4840687947
S66x8/32-A,-414.8946780352
S66x8/32-B,-77.3380013035
S66x8/32-090,-492.2213417612
S66x8/32-095,-492.2253810288
S66x8/32-100,-492.2281434138
S66x8/32-105,-492.2300339212
S66x8/32-110,-492.2313345483
S66x8/32-125,-492.2331007649
S66x8/32-150,-492.2333594927
S66x8/32-200,-492.2328318821
S66x8/33-A,-248.3002851881
S66x8/33-B,-78.5890623855
S66x8/33-090,-326.8756936222
S66x8/33-095,-326.8796413494
S66x8/33-100,-326.882472533
S66x8/33-105,-326.884521373
S66x8/33-110,-326.885961944
S66x8/33-125,-326.8882628928
S66x8/33-150,-326.8892341301
S66x8/33-200,-326.8893484051
S66x8/34-A,-197.7476094086
S66x8/34-B,-197.74749722
S66x8/34-090,-395.4742484689
S66x8/34-095,-395.4804561735
S66x8/34-100,-395.4848348152
S66x8/34-105,-395.4879843595
S66x8/34-110,-395.4902027877
S66x8/34-125,-395.4938236137
S66x8/34-150,-395.4953555289
S66x8/34-200,-395.4954062145
S66x8/35-A,-197.7475710669
S66x8/35-B,-197.7463631418
S66x8/35-090,-395.4790345207
S66x8/35-095,-395.4838358219
S66x8/35-100,-395.4870518689
S66x8/35-105,-395.4892668265
S66x8/35-110,-395.4907709237
S66x8/35-125,-395.4930906202
S66x8/35-150,-395.49401164
S66x8/35-200,-395.494018427
S66x8/36-A,-197.7463641695
S66x8/36-B,-197.7464618965
S66x8/36-090,-395.4833489553
S66x8/36-095,-395.4861029287
S66x8/36-100,-395.4880511028
S66x8/36-105,-395.4894538767
S66x8/36-110,-395.4904134211
S66x8/36-125,-395.491946717
S66x8/36-150,-395.4926143037
S66x8/36-200,-395.4926022226
S66x8/37-A,-196.5404557236
S66x8/37-B,-197.7461009443
S66x8/37-090,-394.2718238879
S66x8/37-095,-394.2765169236
S66x8/37-100,-394.2796700746
S66x8/37-105,-394.2818420325
S66x8/37-110,-394.2833923309
S66x8/37-125,-394.2857699713
S66x8/37-150,-394.2867876137
S66x8/37-200,-394.286857999
S66x8/38-A,-196.5403349564
S66x8/38-B,-196.5403530209
S66x8/38-090,-393.0649309231
S66x8/38-095,-393.0693939988
S66x8/38-100,-393.0728997335
S66x8/38-105,-393.0753933511
S66x8/38-110,-393.0771576769
S66x8/38-125,-393.0797450675
S66x8/38-150,-393.0807395156
S66x8/38-200,-393.0807184857
S66x8/39-A,-232.2533938676
S66x8/39-B,-196.540307595
S66x8/39-090,-428.7746079314
S66x8/39-095,-428.7804167922
S66x8/39-100,-428.7845895751
S66x8/39-105,-428.7875749318
S66x8/39-110,-428.7896261785
S66x8/39-125,-428.7926886832
S66x8/39-150,-428.7938364672
S66x8/39-200,-428.7937829229
S66x8/40-A,-232.2533994997
S66x8/40-B,-197.7464458867
S66x8/40-090,-429.984976462
S66x8/40-095,-429.9896532147
S66x8/40-100,-429.9928821476
S66x8/40-105,-429.9951088311
S66x8/40-110,-429.9966711076
S66x8/40-125,-429.9990175957
S66x8/40-150,-429.9998421278
S66x8/40-200,-429.9997593504
S66x8/41-A,-414.8948032867
S66x8/41-B,-197.7476439739
S66x8/41-090,-612.6204680249
S66x8/41-095,-612.6269444895
S66x8/41-100,-612.6316064558
S66x8/41-105,-612.6350187097
S66x8/41-110,-612.6378597322
S66x8/41-125,-612.6416535121
S66x8/41-150,-612.6426864796
S66x8/41-200,-612.6424853088
S66x8/42-A,-414.8948137138
S66x8/42-B,-196.5403615831
S66x8/42-090,-611.4149962662
S66x8/42-095,-611.4213718786
S66x8/42-100,-611.4257559484
S66x8/42-105,-611.4288428228
S66x8/42-110,-611.4309922264
S66x8/42-125,-611.434200869
S66x8/42-150,-611.4353361318
S66x8/42-200,-611.4352405189
S66x8/43-A,-414.8947650269
S66x8/43-B,-197.7462169793
S66x8/43-090,-612.6255389496
S66x8/43-095,-612.6306768973
S66x8/43-100,-612.6342025862
S66x8/43-105,-612.6366218867
S66x8/43-110,-612.6382777806
S66x8/43-125,-612.6406476404
S66x8/43-150,-612.6413572696
S66x8/43-200,-612.6411265877
S66x8/44-A,-78.5891174727
S66x8/44-B,-197.7476651778
S66x8/44-090,-276.3266141179
S66x8/44-095,-276.3297607986
S66x8/44-100,-276.3319713547
S66x8/44-105,-276.3335391027
S66x8/44-110,-276.3346077508
S66x8/44-125,-276.3362754131
S66x8/44-150,-276.3368857476
S66x8/44-200,-276.3368118927
S66x8/45-A,-77.3379933008
S66x8/45-B,-197.7475347099
S66x8/45-090,-275.0756108466
S66x8/45-095,-275.0788811956
S66x8/45-100,-275.0811177636
S66x8/45-105,-275.0826548229
S66x8/45-110,-275.0837098442
S66x8/45-125,-275.0852123713
S66x8/45-150,-275.0856452246
S66x8/45-200,-275.0854968409
S66x8/46-A,-248.5503684432
S66x8/46-B,-197.7474860826
S66x8/46-090,-446.2809878582
S66x8/46-095,-446.2856131147
S66x8/46-100,-446.2890912752
S66x8/46-105,-446.2916963814
S66x8/46-110,-446.2936032045
S66x8/46-125,-446.296817977
S66x8/46-150,-446.2982904024
S66x8/46-200,-446.2981073605
S66x8/47-A,-232.2533962709
S66x8/47-B,-232.2534139633
S66x8/47-090,-464.4938602526
S66x8/47-095,-464.4981845567
S66x8/47-100,-464.5010960485
S66x8/47-105,-464.5031115088
S66x8/47-110,-464.5044805293
S66x8/47-125,-464.5065020079
S66x8/47-150,-464.5071340514
S66x8/47-200,-464.5069283552
S66x8/48-A,-248.3002942215
S66x8/48-B,-248.3002978688
S66x8/48-090,-496.589058291
S66x8/48-095,-496.5928931026
S66x8/48-100,-496.5955799008
S66x8/48-105,-496.5974757142
S66x8/48-110,-496.5987914473
S66x8/48-125,-496.6007469844
S66x8/48-150,-496.601311892
S66x8/48-200,-496.6009144282
S66x8/49-A,-232.2534008894
S66x8/49-B,-248.3002733091
S66x8/49-090,-480.5413574292
S66x8/49-095,-480.5456905423
S66x8/49-100,-480.5485879025
S66x8/49-105,-480.5505782028
S66x8/49-110,-480.5519266892
S66x8/49-125,-480.5538481317
S66x8/49-150,-480.5543403509
S66x8/49-200,-480.553976949
S66x8/50-A,-232.2533905966
S66x8/50-B,-77.3380396722
S66x8/50-090,-309.5839210904
S66x8/50-095,-309.5870101965
S66x8/50-100,-309.5890486503
S66x8/50-105,-309.5903640051
S66x8/50-110,-309.5912445359
S66x8/50-125,-309.592315215
S66x8/50-150,-309.592256931
S66x8/50-200,-309.5917061225
S66x8/51-A,-77.3379997993
S66x8/51-B,-77.3380402854
S66x8/51-090,-154.674196385
S66x8/51-095,-154.6753096767
S66x8/51-100,-154.676021919
S66x8/51-105,-154.6764606775
S66x8/51-110,-154.6767160146
S66x8/51-125,-154.676898736
S66x8/51-150,-154.6766004683
S66x8/51-200,-154.6761828858
S66x8/52-A,-232.2533866445
S66x8/52-B,-229.1308065787
S66x8/52-090,-461.3774131885
S66x8/52-095,-461.3802733762
S66x8/52-100,-461.3821970261
S66x8/52-105,-461.383511003
S66x8/52-110,-461.3844108214
S66x8/52-125,-461.3856198271
S66x8/52-150,-461.3856590981
S66x8/52-200,-461.3848015508
S66x8/53-A,-232.2533768388
S66x8/53-B,-209.2496135849
S66x8/53-090,-441.4973195362
S66x8/53-095,-441.4997089396
S66x8/53-100,-441.5013761108
S66x8/53-105,-441.5025239306
S66x8/53-110,-441.5033153315
S66x8/53-125,-441.5044064959
S66x8/53-150,-441.5043984405
S66x8/53-200,-441.5035345538
S66x8/54-A,-232.2533953864
S66x8/54-B,-76.4484977892
S66x8/54-090,-308.698059744
S66x8/54-095,-308.7001494246
S66x8/54-100,-308.701533715
S66x8/54-105,-308.7024490313
S66x8/54-110,-308.7030297047
S66x8/54-125,-308.7036835914
S66x8/54-150,-308.703375617
S66x8/54-200,-308.7024467918
S66x8/55-A,-232.2533976262
S66x8/55-B,-115.7394838018
S66x8/55-090,-347.9849260155
S66x8/55-095,-347.9879705354
S66x8/55-100,-347.9900695698
S66x8/55-105,-347.991559647
S66x8/55-110,-347.9926086345
S66x8/55-125,-347.9940918011
S66x8/55-150,-347.994284752
S66x8/55-200,-347.9934733036
S66x8/56-A,-232.2533947231
S66x8/56-B,-95.8643491607
S66x8/56-090,-328.1076569987
S66x8/56-095,-328.1109610217
S66x8/56-100,-328.1132923263
S66x8/56-105,-328.1150537804
S66x8/56-110,-328.1163102104
S66x8/56-125,-328.1180651102
S66x8/56-150,-328.1184693311
S66x8/56-200,-328.1180304884
S66x8/57-A,-232.2534064465
S66x8/57-B,-248.5503610606
S66x8/57-090,-480.7893968528
S66x8/57-095,-480.7948957271
S66x8/57-100,-480.7985381741
S66x8/57-105,-480.8009712375
S66x8/57-110,-480.8026151307
S66x8/57-125,-480.8048682722
S66x8/57-150,-480.805242841
S66x8/57-200,-480.8044372744
S66x8/58-A,-248.3002707631
S66x8/58-B,-248.3002453629
S66x8/58-090,-496.5935163335
S66x8/58-095,-496.5967705217
S66x8/58-100,-496.5995096061
S66x8/58-105,-496.6009056049
S66x8/58-110,-496.6016137768
S66x8/58-125,-496.6020806738
S66x8/58-150,-496.6015536634
S66x8/58-200,-496.6008184321
S66x8/59-A,-77.3380688351
S66x8/59-B,-76.4485309542
S66x8/59-090,-153.7869747918
S66x8/59-095,-153.7879452283
S66x8/59-100,-153.7885242713
S66x8/59-105,-153.7888413227
S66x8/59-110,-153.7889759653
S66x8/59-125,-153.7888142408
S66x8/59-150,-153.7880208685
S66x8/59-200,-153.7869452722
S66x8/60-A,-77.3380131205
S66x8/60-B,-229.1307779619
S66x8/60-090,-306.4672068639
S66x8/60-095,-306.4689934926
S66x8/60-100,-306.4701013417
S66x8/60-105,-306.4707810552
S66x8/60-110,-306.4711756962
S66x8/60-125,-306.4714071235
S66x8/60-150,-306.4707598563
S66x8/60-200,-306.4695380772
S66x8/61-A,-197.7475918414
S66x8/61-B,-229.1308633295
S66x8/61-090,-426.8677455656
S66x8/61-095,-426.8705908677
S66x8/61-100,-426.8727435027
S66x8/61-105,-426.8743686221
S66x8/61-110,-426.8755867522
S66x8/61-125,-426.8776735495
S66x8/61-150,-426.8786773425
S66x8/61-200,-426.878549647
S66x8/62-A,-197.7476074478
S66x8/62-B,-209.2496157073
S66x8/62-090,-406.9843286706
S66x8/62-095,-406.9880625086
S66x8/62-100,-406.9908283629
S66x8/62-105,-406.9928383897
S66x8/62-110,-406.9942972028
S66x8/62-125,-406.9966619709
S66x8/62-150,-406.9976087509
S66x8/62-200,-406.9974061084
S66x8/63-A,-232.2533790995
S66x8/63-B,-229.1308287117
S66x8/63-090,-461.3702289926
S66x8/63-095,-461.3749675468
S66x8/63-100,-461.3782402696
S66x8/63-105,-461.3804960256
S66x8/63-110,-461.3820364787
S66x8/63-125,-461.384254447
S66x8/63-150,-461.3848157806
S66x8/63-200,-461.3844321469
S66x8/64-A,-248.5503080795
S66x8/64-B,-78.5891874932
S66x8/64-090,-327.131499479
S66x8/64-095,-327.1341088129
S66x8/64-100,-327.1359685368
S66x8/64-105,-327.1373163014
S66x8/64-110,-327.138273733
S66x8/64-125,-327.1396809235
S66x8/64-150,-327.1400194411
S66x8/64-200,-327.1395589169
S66x8/65-A,-248.300267804
S66x8/65-B,-77.3377749588
S66x8/65-090,-325.6392606559
S66x8/65-095,-325.6403013092
S66x8/65-100,-325.6409159644
S66x8/65-105,-325.6412463116
S66x8/65-110,-325.6413836824
S66x8/65-125,-325.6412164539
S66x8/65-150,-325.640368098
S66x8/65-200,-325.6391084948
S66x8/66-A,-95.8642871418
S66x8/66-B,-248.3002653553
S66x8/66-090,-344.1570724158
S66x8/66-095,-344.1595616373
S66x8/66-100,-344.1613966597
S66x8/66-105,-344.1627507376
S66x8/66-110,-344.1637379185
S66x8/66-125,-344.1653071483
S66x8/66-150,-344.1657594956
