system,B1PW/def2-QZVP/ORCA
S66x8/01-105,-152.9072622445
S66x8/01-110,-152.9069006758
S66x8/01-125,-152.9056092472
S66x8/01-150,-152.903936745
S66x8/01-200,-152.9023738766
S66x8/02-A,-76.4505775915
S66x8/02-B,-115.7530286314
S66x8/02-090,-192.2092924944
S66x8/02-095,-192.2099091339
S66x8/02-100,-192.2100296883
S66x8/02-105,-192.2098522812
S66x8/02-110,-192.2095087607
S66x8/02-125,-192.2081925532
S66x8/02-150,-192.2064376562
S66x8/02-200,-192.2048262136
S66x8/03-A,-76.4505839827
S66x8/03-B,-95.883963324
S66x8/03-090,-172.3433502841
S66x8/03-095,-172.3438665539
S66x8/03-100,-172.3438299311
S66x8/03-105,-172.343457374
S66x8/03-110,-172.3428970651
S66x8/03-125,-172.3409005636
S66x8/03-150,-172.3382614308
S66x8/03-200,-172.3359294659
S66x8/04-A,-76.4505833668
S66x8/04-B,-248.5818006078
S66x8/04-090,-325.0409510669
S66x8/04-095,-325.0416410923
S66x8/04-100,-325.0417512535
S66x8/04-105,-325.0415059043
S66x8/04-110,-325.0410539576
S66x8/04-125,-325.0392863206
S66x8/04-150,-325.0368136305
S66x8/04-200,-325.0341687577
S66x8/05-A,-115.7530077507
S66x8/05-B,-115.7530468413
S66x8/05-090,-231.5114104123
S66x8/05-095,-231.5121594811
S66x8/05-100,-231.5123795186
S66x8/05-105,-231.5122771576
S66x8/05-110,-231.5119885486
S66x8/05-125,-231.5107554327
S66x8/05-150,-231.5090211246
S66x8/05-200,-231.5073966786
S66x8/06-A,-115.7527827099
S66x8/06-B,-95.8839577538
S66x8/06-090,-211.644649278
S66x8/06-095,-211.6455395108
S66x8/06-100,-211.6457767254
S66x8/06-105,-211.6455997383
S66x8/06-110,-211.6451725897
S66x8/06-125,-211.6433755759
S66x8/06-150,-211.640782929
S66x8/06-200,-211.638414346
S66x8/07-A,-115.7528766129
S66x8/07-B,-248.5815119047
S66x8/07-090,-364.3424599851
S66x8/07-095,-364.3433272618
S66x8/07-100,-364.3435622935
S66x8/07-105,-364.3434027434
S66x8/07-110,-364.3430084029
S66x8/07-125,-364.3413191955
S66x8/07-150,-364.3385313496
S66x8/07-200,-364.3358477706
S66x8/08-A,-115.7530371344
S66x8/08-B,-76.4505556383
S66x8/08-090,-192.2091123477
S66x8/08-095,-192.2096956005
S66x8/08-100,-192.2098157375
S66x8/08-105,-192.2096580461
S66x8/08-110,-192.2093456685
S66x8/08-125,-192.2081337923
S66x8/08-150,-192.2064943312
S66x8/08-200,-192.2049446792
S66x8/09-A,-95.8839428171
S66x8/09-B,-115.7530816451
S66x8/09-090,-211.6375561566
S66x8/09-095,-211.6382718262
S66x8/09-100,-211.6386261922
S66x8/09-105,-211.6387654012
S66x8/09-110,-211.6387730685
S66x8/09-125,-211.6385142287
S66x8/09-150,-211.6380418276
S66x8/09-200,-211.6375348878
S66x8/10-A,-95.8839507436
S66x8/10-B,-95.8839373986
S66x8/10-090,-191.7688846321
S66x8/10-095,-191.7698420701
S66x8/10-100,-191.7702904568
S66x8/10-105,-191.7704239891
S66x8/10-110,-191.7703823489
S66x8/10-125,-191.7698998848
S66x8/10-150,-191.7690032656
S66x8/10-200,-191.768343749
S66x8/11-A,-95.8837620328
S66x8/11-B,-248.5816587693
S66x8/11-090,-344.4665901132
S66x8/11-095,-344.467698035
S66x8/11-100,-344.4682609419
S66x8/11-105,-344.4684827609
S66x8/11-110,-344.4684973402
S66x8/11-125,-344.4677502959
S66x8/11-150,-344.4667718067
S66x8/11-200,-344.466113664
S66x8/12-A,-95.8839201456
S66x8/12-B,-76.4500943021
S66x8/12-090,-172.3426912346
S66x8/12-095,-172.3434132803
S66x8/12-100,-172.3435145529
S66x8/12-105,-172.3432334876
S66x8/12-110,-172.3427327338
S66x8/12-125,-172.3408169886
S66x8/12-150,-172.338212599
S66x8/12-200,-172.3358959684
S66x8/13-A,-248.5815522278
S66x8/13-B,-115.7530639437
S66x8/13-090,-364.3383004028
S66x8/13-095,-364.3392933139
S66x8/13-100,-364.3397441179
S66x8/13-105,-364.3398528679
S66x8/13-110,-364.3397556071
S66x8/13-125,-364.3389902888
S66x8/13-150,-364.3377012351
S66x8/13-200,-364.3362891124
S66x8/14-A,-248.5813228115
S66x8/14-B,-95.8839154941
S66x8/14-090,-344.4709651128
S66x8/14-095,-344.4720478694
S66x8/14-100,-344.4724909899
S66x8/14-105,-344.4725247267
S66x8/14-110,-344.472307373
S66x8/14-125,-344.4710725026
S66x8/14-150,-344.4690964182
S66x8/14-200,-344.4671230784
S66x8/15-A,-248.5816667135
S66x8/15-B,-248.581759896
S66x8/15-090,-497.1693896049
S66x8/15-095,-497.1705272332
S66x8/15-100,-497.171032668
S66x8/15-105,-497.1711288349
S66x8/15-110,-497.170969167
S66x8/15-125,-497.1698609831
S66x8/15-150,-497.167964358
S66x8/15-200,-497.1656470164
S66x8/16-A,-248.5818546377
S66x8/16-B,-76.4505595531
S66x8/16-090,-325.0369121655
S66x8/16-095,-325.0376349746
S66x8/16-100,-325.037900122
S66x8/16-105,-325.037886334
S66x8/16-110,-325.0377129157
S66x8/16-125,-325.0368451623
S66x8/16-150,-325.0355215438
S66x8/16-200,-325.0340847063
S66x8/17-A,-414.9096664161
S66x8/17-B,-414.9098066183
S66x8/17-090,-829.8397671685
S66x8/17-095,-829.8414357198
S66x8/17-100,-829.8417768911
S66x8/17-105,-829.8412738005
S66x8/17-110,-829.840262342
S66x8/17-125,-829.836101369
S66x8/17-150,-829.82989691
S66x8/17-200,-829.823874143
S66x8/18-A,-76.4505797076
S66x8/18-B,-248.3287423847
S66x8/18-090,-324.7873782487
S66x8/18-095,-324.7879763371
S66x8/18-100,-324.7880111837
S66x8/18-105,-324.7877028242
S66x8/18-110,-324.787201701
S66x8/18-125,-324.7853604351
S66x8/18-150,-324.782907918
S66x8/18-200,-324.7807207653
S66x8/19-A,-115.7527903637
S66x8/19-B,-248.3287362406
S66x8/19-090,-364.0891608964
S66x8/19-095,-364.0900276382
S66x8/19-100,-364.0902531448
S66x8/19-105,-364.0900769637
S66x8/19-110,-364.0895857756
S66x8/19-125,-364.0879229395
S66x8/19-150,-364.0853157234
S66x8/19-200,-364.0829995785
S66x8/20-A,-229.1402131799
S66x8/20-B,-229.1402110949
S66x8/20-090,-458.3063675549
S66x8/20-095,-458.3080014254
S66x8/20-100,-458.3081062111
S66x8/20-105,-458.3072521279
S66x8/20-110,-458.305833976
S66x8/20-125,-458.3004645782
S66x8/20-150,-458.2926603998
S66x8/20-200,-458.2852938957
S66x8/21-A,-209.2666499941
S66x8/21-B,-209.2666532279
S66x8/21-090,-418.553204699
S66x8/21-095,-418.5547279111
S66x8/21-100,-418.554997041
S66x8/21-105,-418.5544780133
S66x8/21-110,-418.5534892951
S66x8/21-125,-418.5495282864
S66x8/21-150,-418.5437579713
S66x8/21-200,-418.5375890953
S66x8/22-A,-229.1401435141
S66x8/22-B,-414.9095327911
S66x8/22-090,-644.0749613849
S66x8/22-095,-644.0766368323
S66x8/22-100,-644.0768760248
S66x8/22-105,-644.0761955151
S66x8/22-110,-644.0749588024
S66x8/22-125,-644.0700147181
S66x8/22-150,-644.0626575031
S66x8/22-200,-644.055355862
S66x8/23-A,-209.2665517469
S66x8/23-B,-414.9093713835
S66x8/23-090,-624.2000312668
S66x8/23-095,-624.2016893776
S66x8/23-100,-624.2020424518
S66x8/23-105,-624.2015475996
S66x8/23-110,-624.200526857
S66x8/23-125,-624.1962128534
S66x8/23-150,-624.1895168006
S66x8/23-200,-624.1824717043
S66x8/24-A,-232.2914697976
S66x8/24-B,-232.2914282122
S66x8/24-090,-464.5686012685
S66x8/24-095,-464.5736115009
S66x8/24-100,-464.5765457003
S66x8/24-105,-464.5782859922
S66x8/24-110,-464.5793879958
S66x8/24-125,-464.5811204095
S66x8/24-150,-464.5822706645
S66x8/24-200,-464.5827578131
S66x8/25-A,-248.3287059329
S66x8/25-B,-248.3287383111
S66x8/25-090,-496.6446177283
S66x8/25-095,-496.6495002688
S66x8/25-100,-496.6523775765
S66x8/25-105,-496.6540970709
S66x8/25-110,-496.6551310144
S66x8/25-125,-496.6565801633
S66x8/25-150,-496.6573856751
S66x8/25-200,-496.6575666522
S66x8/26-A,-414.910262884
S66x8/26-B,-414.9102628841
S66x8/26-090,-829.8129684254
S66x8/26-095,-829.8178297593
S66x8/26-100,-829.8205051325
S66x8/26-105,-829.8219256104
S66x8/26-110,-829.8226417985
S66x8/26-125,-829.8230563258
S66x8/26-150,-829.8225933376
S66x8/26-200,-829.8216044364
S66x8/27-A,-232.2914606733
S66x8/27-B,-248.3287528827
S66x8/27-090,-480.6064012276
S66x8/27-095,-480.611605519
S66x8/27-100,-480.6146119737
S66x8/27-105,-480.6163332711
S66x8/27-110,-480.6173840295
S66x8/27-125,-480.6189104252
S66x8/27-150,-480.6198568414
S66x8/27-200,-480.6201681212
S66x8/28-A,-232.2913252062
S66x8/28-B,-414.9108788389
S66x8/28-090,-647.1896807193
S66x8/28-095,-647.1945575294
S66x8/28-100,-647.1974492163
S66x8/28-105,-647.1990917296
S66x8/28-110,-647.2000592168
S66x8/28-125,-647.2013421645
S66x8/28-150,-647.2019981842
S66x8/28-200,-647.2021570347
S66x8/29-A,-248.3286759875
S66x8/29-B,-414.9108672429
S66x8/29-090,-663.2267406579
S66x8/29-095,-663.2331173634
S66x8/29-100,-663.236472119
S66x8/29-105,-663.2382221176
S66x8/29-110,-663.2391851969
S66x8/29-125,-663.2401597664
S66x8/29-150,-663.2403005625
S66x8/29-200,-663.2399071572
S66x8/30-A,-232.2914483841
S66x8/30-B,-78.6042431702
S66x8/30-090,-310.8874348118
S66x8/30-095,-310.8899535622
S66x8/30-100,-310.8914801364
S66x8/30-105,-310.892445151
S66x8/30-110,-310.8930975646
S66x8/30-125,-310.8942012814
S66x8/30-150,-310.8950430859
S66x8/30-200,-310.8955376991
S66x8/31-A,-414.9109131362
S66x8/31-B,-78.6042230208
S66x8/31-090,-493.5093580837
S66x8/31-095,-493.5115867514
S66x8/31-100,-493.5129246607
S66x8/31-105,-493.5137418871
S66x8/31-110,-493.5142493604
S66x8/31-125,-493.5149458763
S66x8/31-150,-493.5152620264
S66x8/31-200,-493.5152289971
S66x8/32-A,-414.9109618881
S66x8/32-B,-77.3416932431
S66x8/32-090,-492.2480355755
S66x8/32-095,-492.2502738971
S66x8/32-100,-492.2515271425
S66x8/32-105,-492.2522075953
S66x8/32-110,-492.2525785652
S66x8/32-125,-492.2528974403
S66x8/32-150,-492.252849316
S66x8/32-200,-492.2525880013
S66x8/33-A,-248.3287745081
S66x8/33-B,-78.6042106576
S66x8/33-090,-326.9257580142
S66x8/33-095,-326.927966755
S66x8/33-100,-326.9293441547
S66x8/33-105,-326.9302309722
S66x8/33-110,-326.9308167858
S66x8/33-125,-326.9317843469
S66x8/33-150,-326.9325057831
S66x8/33-200,-326.9329014194
S66x8/34-A,-197.813945996
S66x8/34-B,-197.8139497765
S66x8/34-090,-395.6177639696
S66x8/34-095,-395.6207083459
S66x8/34-100,-395.6225794413
S66x8/34-105,-395.6238430999
S66x8/34-110,-395.6247045973
S66x8/34-125,-395.6263769736
S66x8/34-150,-395.6274876328
S66x8/34-200,-395.6280610086
S66x8/35-A,-197.8139487199
S66x8/35-B,-197.8154691403
S66x8/35-090,-395.6218422343
S66x8/35-095,-395.6242584599
S66x8/35-100,-395.6257034399
S66x8/35-105,-395.6266277758
S66x8/35-110,-395.6272254393
S66x8/35-125,-395.6283200635
S66x8/35-150,-395.6290577764
S66x8/35-200,-395.6294253242
S66x8/36-A,-197.8154646619
S66x8/36-B,-197.8154915165
S66x8/36-090,-395.6256549807
S66x8/36-095,-395.6270269754
S66x8/36-100,-395.6279576644
S66x8/36-105,-395.6286033306
S66x8/36-110,-395.6290463574
S66x8/36-125,-395.6298610971
S66x8/36-150,-395.630440072
S66x8/36-200,-395.6307205572
S66x8/37-A,-196.6012178822
S66x8/37-B,-197.8153930545
S66x8/37-090,-394.4089533148
S66x8/37-095,-394.4113258326
S66x8/37-100,-394.4127595149
S66x8/37-105,-394.4136815042
S66x8/37-110,-394.4143362565
S66x8/37-125,-394.4154361377
S66x8/37-150,-394.4161922492
S66x8/37-200,-394.4165734362
S66x8/38-A,-196.6011501123
S66x8/38-B,-196.6011622838
S66x8/38-090,-393.1943158254
S66x8/38-095,-393.1965266429
S66x8/38-100,-393.1980799003
S66x8/38-105,-393.1990894576
S66x8/38-110,-393.1998165293
S66x8/38-125,-393.201018042
S66x8/38-150,0
S66x8/38-200,-393.2022405644
S66x8/39-A,-232.2914340471
S66x8/39-B,-196.6011264084
S66x8/39-090,-428.8830514636
S66x8/39-095,-428.8863326839
S66x8/39-100,-428.8883541097
S66x8/39-105,-428.8896139966
S66x8/39-110,-428.8903917322
S66x8/39-125,-428.8915386356
S66x8/39-150,-428.8922711859
S66x8/39-200,-428.8925519742
S66x8/40-A,-232.2914203759
S66x8/40-B,-197.8154189876
S66x8/40-090,-430.0994737795
S66x8/40-095,-430.1020955379
S66x8/40-100,-430.1036625791
S66x8/40-105,-430.1046084229
S66x8/40-110,-430.105218033
S66x8/40-125,-430.1061284841
S66x8/40-150,-430.1066758729
S66x8/40-200,-430.1068895336
S66x8/41-A,-414.9108790082
S66x8/41-B,-197.8140215371
S66x8/41-090,-612.7144948731
S66x8/41-095,-612.7177562168
S66x8/41-100,-612.719804152
S66x8/41-105,-612.7211501745
S66x8/41-110,-612.7222019742
S66x8/41-125,-612.7237279468
S66x8/41-150,-612.7245982469
S66x8/41-200,-612.7248687365
S66x8/42-A,-414.9108746595
S66x8/42-B,-196.601144578
S66x8/42-090,-611.5019074195
S66x8/42-095,-611.5052662733
S66x8/42-100,-611.5072800952
S66x8/42-105,-611.5085394083
S66x8/42-110,-611.5093891736
S66x8/42-125,-611.5107549656
S66x8/42-150,-611.5116450549
S66x8/42-200,-611.5119989973
S66x8/43-A,-414.9109137023
S66x8/43-B,-197.8154322109
S66x8/43-090,-612.7186616908
S66x8/43-095,-612.7213518886
S66x8/43-100,-612.7229715673
S66x8/43-105,-612.7239522855
S66x8/43-110,-612.7245772149
S66x8/43-125,-612.7255311548
S66x8/43-150,-612.7260800218
S66x8/43-200,-612.7262243896
S66x8/44-A,-78.6042404793
S66x8/44-B,-197.8139669519
S66x8/44-090,-276.4131235436
S66x8/44-095,-276.4145835229
S66x8/44-100,-276.4155095835
S66x8/44-105,-276.4161352107
S66x8/44-110,-276.4165766095
S66x8/44-125,-276.4174077308
S66x8/44-150,-276.4179973877
S66x8/44-200,-276.418270063
S66x8/45-A,-77.3417088029
S66x8/45-B,-197.8139938428
S66x8/45-090,-275.1502800719
S66x8/45-095,-275.1520120558
S66x8/45-100,-275.1530867678
S66x8/45-105,-275.1537661464
S66x8/45-110,-275.1542150731
S66x8/45-125,-275.154960468
S66x8/45-150,-275.1553940916
S66x8/45-200,-275.1554955238
S66x8/46-A,-248.5819222456
S66x8/46-B,-197.8139461283
S66x8/46-090,-446.3881118345
S66x8/46-095,-446.3902634544
S66x8/46-100,-446.3916994269
S66x8/46-105,-446.392688231
S66x8/46-110,-446.393376569
S66x8/46-125,-446.3946291994
S66x8/46-150,-446.3955939833
S66x8/46-200,-446.3959556949
S66x8/47-A,-232.29140607
S66x8/47-B,-232.2912878136
S66x8/47-090,-464.5764650024
S66x8/47-095,-464.5790590661
S66x8/47-100,-464.5805200815
S66x8/47-105,-464.5813743006
S66x8/47-110,-464.5818832686
S66x8/47-125,-464.5825466813
S66x8/47-150,-464.5828744974
S66x8/47-200,-464.5829237147
S66x8/48-A,-248.3287071725
S66x8/48-B,-248.3286570016
S66x8/48-090,-496.6526121822
S66x8/48-095,-496.6547767171
S66x8/48-100,-496.6560282782
S66x8/48-105,-496.6567596768
S66x8/48-110,-496.6571774654
S66x8/48-125,-496.6576638337
S66x8/48-150,-496.6578215026
S66x8/48-200,-496.6576959722
S66x8/49-A,-232.2914048655
S66x8/49-B,-248.3287040515
S66x8/49-090,-480.6145571362
S66x8/49-095,-480.6171466753
S66x8/49-100,-480.6185830812
S66x8/49-105,-480.6193894595
S66x8/49-110,-480.6198549833
S66x8/49-125,-480.6203670362
S66x8/49-150,-480.6205150617
S66x8/49-200,-480.6203887502
S66x8/50-A,-232.2913954265
S66x8/50-B,-77.3417653972
S66x8/50-090,-309.6304789449
S66x8/50-095,-309.6322494386
S66x8/50-100,-309.6331580777
S66x8/50-105,-309.6335872152
S66x8/50-110,-309.6337761763
S66x8/50-125,-309.6338192322
S66x8/50-150,-309.6336026393
S66x8/50-200,-309.6332505022
S66x8/51-A,-77.341721221
S66x8/51-B,-77.3417807905
S66x8/51-090,-154.6832671135
S66x8/51-095,-154.6838573027
S66x8/51-100,-154.6841365546
S66x8/51-105,-154.6842411805
S66x8/51-110,-154.6842515545
S66x8/51-125,-154.6841063306
S66x8/51-150,-154.683850636
S66x8/51-200,-154.6835933282
S66x8/52-A,-232.2913952486
S66x8/52-B,-229.1421671579
S66x8/52-090,-461.4328913601
S66x8/52-095,-461.4345091339
S66x8/52-100,-461.4353277763
S66x8/52-105,-461.4356890471
S66x8/52-110,-461.4357917755
S66x8/52-125,-461.4354950353
S66x8/52-150,-461.434838296
S66x8/52-200,-461.4340994129
S66x8/53-A,-232.2914031589
S66x8/53-B,-209.267626385
S66x8/53-090,-441.5585865835
S66x8/53-095,-441.5598730818
S66x8/53-100,-441.5605643081
S66x8/53-105,-441.5608835317
S66x8/53-110,-441.5609859503
S66x8/53-125,-441.5607856647
S66x8/53-150,-441.5601906297
S66x8/53-200,-441.559443965
S66x8/54-A,-232.291379789
S66x8/54-B,-76.4505004295
S66x8/54-090,-308.7421060059
S66x8/54-095,-308.743176917
S66x8/54-100,-308.7436866276
S66x8/54-105,-308.743877192
S66x8/54-110,-308.7438942149
S66x8/54-125,-308.743604628
S66x8/54-150,-308.7430632456
S66x8/54-200,-308.7424047861
S66x8/55-A,-232.2913562738
S66x8/55-B,-115.7530788275
S66x8/55-090,-348.0424641452
S66x8/55-095,-348.0441414785
S66x8/55-100,-348.045059419
S66x8/55-105,-348.0455545487
S66x8/55-110,-348.0457992628
S66x8/55-125,-348.0458531652
S66x8/55-150,-348.0455458144
S66x8/55-200,-348.045012077
S66x8/56-A,-232.2914037068
S66x8/56-B,-95.883940765
S66x8/56-090,-328.171211727
S66x8/56-095,-328.1730178753
S66x8/56-100,-328.1740862039
S66x8/56-105,-328.1747610581
S66x8/56-110,-328.1751649045
S66x8/56-125,-328.1756095223
S66x8/56-150,-328.1757229783
S66x8/56-200,-328.1755688835
S66x8/57-A,-232.2913578218
S66x8/57-B,-248.5818799696
S66x8/57-090,-480.8679645484
S66x8/57-095,-480.8712084313
S66x8/57-100,-480.872965616
S66x8/57-105,-480.8738730817
S66x8/57-110,-480.8743455381
S66x8/57-125,-480.8746550124
S66x8/57-150,-480.874438281
S66x8/57-200,-480.8738957638
S66x8/58-A,-248.3286765454
S66x8/58-B,-248.328612475
S66x8/58-090,-496.6560949781
S66x8/58-095,-496.6580354873
S66x8/58-100,-496.6591592188
S66x8/58-105,-496.6593749612
S66x8/58-110,-496.6592768084
S66x8/58-125,-496.6586901645
S66x8/58-150,-496.6580662808
S66x8/58-200,-496.6575663058
S66x8/59-A,-77.3418127279
S66x8/59-B,-76.4505545369
S66x8/59-090,-153.7947115767
S66x8/59-095,-153.7951861796
S66x8/59-100,-153.7953383074
S66x8/59-105,-153.795303448
S66x8/59-110,-153.795164589
S66x8/59-125,-153.794564959
S66x8/59-150,-153.7937250149
S66x8/59-200,-153.7928735804
S66x8/60-A,-77.3416999883
S66x8/60-B,-229.1421378869
S66x8/60-090,-306.4872856282
S66x8/60-095,-306.4881609472
S66x8/60-100,-306.4884284024
S66x8/60-105,-306.4883480558
S66x8/60-110,-306.4880824201
S66x8/60-125,-306.4869670116
S66x8/60-150,-306.4855596253
S66x8/60-200,-306.4844023479
S66x8/61-A,-197.813982593
S66x8/61-B,-229.1422418203
S66x8/61-090,-426.9507545737
S66x8/61-095,-426.9520915993
S66x8/61-100,-426.9530258452
S66x8/61-105,-426.9536970656
S66x8/61-110,-426.9541924236
S66x8/61-125,-426.955143289
S66x8/61-150,-426.9559218801
S66x8/61-200,-426.9562393752
S66x8/62-A,-197.8140110155
S66x8/62-B,-209.2676591793
S66x8/62-090,-407.0757611548
S66x8/62-095,-407.0774818956
S66x8/62-100,-407.0786264704
S66x8/62-105,-407.0793816392
S66x8/62-110,-407.0798953431
S66x8/62-125,-407.0808142931
S66x8/62-150,-407.0814350149
S66x8/62-200,-407.0817080028
S66x8/63-A,-232.2914423589
S66x8/63-B,-229.1421754758
S66x8/63-090,-461.4275444638
S66x8/63-095,-461.4301567522
S66x8/63-100,-461.4316634667
S66x8/63-105,-461.4325372246
S66x8/63-110,-461.4330266768
S66x8/63-125,-461.4336330737
S66x8/63-150,-461.4338612433
S66x8/63-200,-461.433758725
S66x8/64-A,-248.5818558611
S66x8/64-B,-78.604300447
S66x8/64-090,-327.1829141523
S66x8/64-095,-327.1842073704
S66x8/64-100,-327.1849862749
S66x8/64-105,-327.1854616622
S66x8/64-110,-327.1857595021
S66x8/64-125,-327.1861378554
S66x8/64-150,-327.1862805736
S66x8/64-200,-327.186182202
S66x8/65-A,-248.3287502003
S66x8/65-B,-77.3412180999
S66x8/65-090,-325.673908205
S66x8/65-095,-325.6744827476
S66x8/65-100,-325.6746496242
S66x8/65-105,-325.674571001
S66x8/65-110,-325.6743553768
S66x8/65-125,-325.6734652988
S66x8/65-150,-325.6722797218
S66x8/65-200,-325.6712200876
S66x8/66-A,-95.8839343757
S66x8/66-B,-248.3287298589
S66x8/66-090,-344.2104995812
S66x8/66-095,-344.211801398
S66x8/66-100,-344.2125756824
S66x8/66-105,-344.2130246738
S66x8/66-110,-344.2132675873
S66x8/66-125,-344.2134395161
S66x8/66-150,-344.2133269134
