system,XLYP/def2-QZVP/ORCA
S66x8/45-125,-275.3196848181
S66x8/45-150,-275.3197680849
S66x8/45-200,-275.319696787
S66x8/46-A,-248.7582974882
S66x8/46-B,-197.9096556199
S66x8/46-090,-446.6604655522
S66x8/46-095,-446.6633032595
S66x8/46-100,-446.6651424355
S66x8/46-105,-446.6662911655
S66x8/46-110,-446.6670450936
S66x8/46-125,-446.6680049146
S66x8/46-150,-446.6682623671
S66x8/46-200,-446.6681482821
S66x8/47-A,-232.4529052703
S66x8/47-B,-232.4529921945
S66x8/47-090,-464.8980792708
S66x8/47-095,-464.9014816909
S66x8/47-100,-464.9034719067
S66x8/47-105,-464.9046154521
S66x8/47-110,-464.9053063306
S66x8/47-125,-464.9059909884
S66x8/47-150,-464.906018944
S66x8/47-200,-464.9058776203
S66x8/48-A,-248.5128681311
S66x8/48-B,-248.5128586721
S66x8/48-090,-497.0198484159
S66x8/48-095,-497.0227307734
S66x8/48-100,-497.0244379222
S66x8/48-105,-497.0254520677
S66x8/48-110,-497.0260306682
S66x8/48-125,-497.0265015084
S66x8/48-150,-497.0263255739
S66x8/48-200,-497.0259640163
S66x8/49-A,-232.4529104813
S66x8/49-B,-248.5128179205
S66x8/49-090,-480.9586450771
S66x8/49-095,-480.9620623034
S66x8/49-100,-480.9640653387
S66x8/49-105,-480.9651829435
S66x8/49-110,-480.9658368522
S66x8/49-125,-480.9664027782
S66x8/49-150,-480.9662768889
S66x8/49-200,-480.9659762901
S66x8/50-A,-232.4529066074
S66x8/50-B,-77.4101095729
S66x8/50-090,-309.859293927
S66x8/50-095,-309.8617353868
S66x8/50-100,-309.8630879452
S66x8/50-105,-309.8637776459
S66x8/50-110,-309.8641150932
S66x8/50-125,-309.8641960007
S66x8/50-150,-309.8637727353
S66x8/50-200,-309.8633192176
S66x8/51-A,-77.4100740762
S66x8/51-B,-77.4101123781
S66x8/51-090,-154.820229164
S66x8/51-095,-154.8209486831
S66x8/51-100,-154.8212873754
S66x8/51-105,-154.8214059925
S66x8/51-110,-154.8214027093
S66x8/51-125,-154.8211192231
S66x8/51-150,-154.8206586972
S66x8/51-200,-154.8203029538
S66x8/52-A,-232.4529028105
S66x8/52-B,-229.3208843506
S66x8/52-090,-461.7714618191
S66x8/52-095,-461.7737340296
S66x8/52-100,-461.775026834
S66x8/52-105,-461.7757249072
S66x8/52-110,-461.7760488016
S66x8/52-125,-461.7759847807
S66x8/52-150,-461.7752064314
S66x8/52-200,-461.7743160781
S66x8/53-A,-232.4528879678
S66x8/53-B,-209.4235477367
S66x8/53-090,-441.8754314484
S66x8/53-095,-441.8771202168
S66x8/53-100,-441.8780865341
S66x8/53-105,-441.8786023903
S66x8/53-110,-441.8788239138
S66x8/53-125,-441.8786534868
S66x8/53-150,-441.8778474061
S66x8/53-200,-441.8769092498
S66x8/54-A,-232.4529211142
S66x8/54-B,-76.509248955
S66x8/54-090,-308.9618659302
S66x8/54-095,-308.9633697783
S66x8/54-100,-308.9641717069
S66x8/54-105,-308.9645351368
S66x8/54-110,-308.9646404944
S66x8/54-125,-308.9643345594
S66x8/54-150,-308.9635435484
S66x8/54-200,-308.9626870425
S66x8/55-A,-232.4529375414
S66x8/55-B,-115.8346102883
S66x8/55-090,-348.2846805078
S66x8/55-095,-348.2868999776
S66x8/55-100,-348.2882156018
S66x8/55-105,-348.2889673753
S66x8/55-110,-348.2893353068
S66x8/55-125,-348.2894380008
S66x8/55-150,-348.2888314596
S66x8/55-200,-348.2880371849
S66x8/56-A,-232.4529053182
S66x8/56-B,-95.9420336176
S66x8/56-090,-328.3901270241
S66x8/56-095,-328.3924839558
S66x8/56-100,-328.3939271691
S66x8/56-105,-328.3948604233
S66x8/56-110,-328.395377823
S66x8/56-125,-328.3957788782
S66x8/56-150,-328.3955717455
S66x8/56-200,-328.3951994715
S66x8/57-A,-232.4529452698
S66x8/57-B,-248.7582685401
S66x8/57-090,-481.2036199934
S66x8/57-095,-481.2079320134
S66x8/57-100,-481.2104317901
S66x8/57-105,-481.2118291371
S66x8/57-110,-481.2125466025
S66x8/57-125,-481.2130375606
S66x8/57-150,-481.2125367207
S66x8/57-200,-481.2117842006
S66x8/58-A,-248.5128749679
S66x8/58-B,-248.5128601573
S66x8/58-090,-497.0240071655
S66x8/58-095,-497.0265350135
S66x8/58-100,-497.0281521537
S66x8/58-105,-497.0285696791
S66x8/58-110,-497.0285072182
S66x8/58-125,-497.0276900287
S66x8/58-150,-497.0266823655
S66x8/58-200,-497.025991453
S66x8/59-A,-77.4101357386
S66x8/59-B,-76.509321387
S66x8/59-090,-153.9220567098
S66x8/59-095,-153.9226202475
S66x8/59-100,-153.9228035621
S66x8/59-105,-153.9227543754
S66x8/59-110,-153.922574889
S66x8/59-125,-153.9217656345
S66x8/59-150,-153.9206111883
S66x8/59-200,-153.9195467691
S66x8/60-A,-77.4100806498
S66x8/60-B,-229.3208785802
S66x8/60-090,-306.7336891362
S66x8/60-095,-306.7350116395
S66x8/60-100,-306.7356178961
S66x8/60-105,-306.7357688795
S66x8/60-110,-306.7356454141
S66x8/60-125,-306.7346631398
S66x8/60-150,-306.7330551082
S66x8/60-200,-306.731633634
S66x8/61-A,-197.909791115
S66x8/61-B,-229.3209005847
S66x8/61-090,-427.22612322
S66x8/61-095,-427.2277198872
S66x8/61-100,-427.2287711128
S66x8/61-105,-427.2294649139
S66x8/61-110,-427.229937132
S66x8/61-125,-427.2305544044
S66x8/61-150,-427.2307551452
S66x8/61-200,-427.2307151252
S66x8/62-A,-197.9098067467
S66x8/62-B,-209.4235030698
S66x8/62-090,-407.3279863188
S66x8/62-095,-407.3301837353
S66x8/62-100,-407.3315514715
S66x8/62-105,-407.3323996494
S66x8/62-110,-407.3329370271
S66x8/62-125,-407.3335081766
S66x8/62-150,-407.3335642467
S66x8/62-200,-407.3333991946
S66x8/63-A,-232.4528640032
S66x8/63-B,-229.3208751935
S66x8/63-090,-461.7662737841
S66x8/63-095,-461.7698007863
S66x8/63-100,-461.7718680546
S66x8/63-105,-461.7730936962
S66x8/63-110,-461.773784277
S66x8/63-125,-461.7744013847
S66x8/63-150,-461.7742510707
S66x8/63-200,-461.7739436086
S66x8/64-A,-248.7582293502
S66x8/64-B,-78.6577329398
S66x8/64-090,-327.413153426
S66x8/64-095,-327.4147554054
S66x8/64-100,-327.4157193418
S66x8/64-105,-327.4162585263
S66x8/64-110,-327.4165370162
S66x8/64-125,-327.4166925532
S66x8/64-150,-327.4163820963
S66x8/64-200,-327.4159958792
S66x8/65-A,-248.5128303111
S66x8/65-B,-77.4098266489
S66x8/65-090,-325.9265874929
S66x8/65-095,-325.9273479177
S66x8/65-100,-325.9276375561
S66x8/65-105,-325.9276315518
S66x8/65-110,-325.9274491879
S66x8/65-125,-325.9264884338
S66x8/65-150,-325.9250011359
S66x8/65-200,-325.9235974599
S66x8/66-A,-95.9419656569
S66x8/66-B,-248.5128337423
S66x8/66-090,-344.45306384
S66x8/66-095,-344.4547313074
S66x8/66-100,-344.455749961
S66x8/66-105,-344.4563295306
S66x8/66-110,-344.4566249612
S66x8/66-125,-344.4566917468
