system,BHLYP/def2-QZVP/TM
S22x5/10-0.9,-308.6296804023
S22x5/10-1.0,-308.6308769025
S22x5/10-1.2,-308.630508401
S22x5/10-1.5,-308.6292605248
S22x5/10-2.0,-308.6283347907
S22x5/11-A,-232.1994303982
S22x5/11-B,-56.5516484834
S22x5/11-0.9,-288.7508140853
S22x5/11-1.0,-288.7522195599
S22x5/11-1.2,-288.752384922
S22x5/11-1.5,-288.7517705651
S22x5/11-2.0,-288.751355205
S22x5/12-A,-232.1994720899
S22x5/12-B,-40.5054817757
S22x5/12-0.9,-272.7028347433
S22x5/12-1.0,-272.7044784258
S22x5/12-1.2,-272.7051232192
S22x5/12-1.5,-272.704993076
S22x5/12-2.0,-272.7049637489
S22x5/13-A,-232.1994307116
S22x5/13-B,-232.1994190062
S22x5/13-0.9,-464.3959103382
S22x5/13-1.0,-464.3984269408
S22x5/13-1.2,-464.3995630643
S22x5/13-1.5,-464.3992777501
S22x5/13-2.0,-464.3990183771
S22x5/14-A,-232.1994558674
S22x5/14-B,-232.1994558674
S22x5/14-0.9,-464.3849469961
S22x5/14-1.0,-464.3942160029
S22x5/14-1.2,-464.3979094119
S22x5/14-1.5,-464.398490846
S22x5/14-2.0,-464.3988186346
S22x5/15-A,-232.1992987221
S22x5/15-B,-363.7464100206
S22x5/15-0.9,-595.9450047083
S22x5/15-1.0,-595.9482572606
S22x5/15-1.2,-595.9493742512
S22x5/15-1.5,-595.9481163305
S22x5/15-2.0,-595.9467972457
S22x5/16-A,-232.1993974949
S22x5/16-B,-363.7464566836
S22x5/16-0.9,-595.9291157956
S22x5/16-1.0,-595.9402689377
S22x5/16-1.2,-595.944668148
S22x5/16-1.5,-595.9450292786
S22x5/16-2.0,-595.9454896146
S22x5/17-A,-264.2663303766
S22x5/17-B,-264.2663065556
S22x5/17-0.9,-528.5206143976
S22x5/17-1.0,-528.5302915211
S22x5/17-1.2,-528.5331940327
S22x5/17-1.5,-528.5328416848
S22x5/17-2.0,-528.5327079343
S22x5/18-A,-323.4717405242
S22x5/18-B,-303.5977704154
S22x5/18-0.9,-627.0901149724
S22x5/18-1.0,-627.092993377
S22x5/18-1.2,-627.0892974198
S22x5/18-1.5,-627.0809883853
S22x5/18-2.0,-627.074011997
S22x5/19-A,-307.4237220705
S22x5/19-B,-307.4237206017
S22x5/19-0.9,-614.8522718153
S22x5/19-1.0,-614.8540710386
S22x5/19-1.2,-614.8533542378
S22x5/19-1.5,-614.8508553697
S22x5/19-2.0,-614.8488197407
S22x5/20-A,-414.780145459
S22x5/20-B,-414.780145459
S22x5/20-0.9,-829.5545510932
S22x5/20-1.0,-829.5649704125
S22x5/20-1.2,-829.56519298
S22x5/20-1.5,-829.5625593425
S22x5/20-2.0,-829.5611951205
S22x5/21-A,-414.7790920729
S22x5/21-B,-414.7790920729
S22x5/21-0.9,-829.5866633888
S22x5/21-1.0,-829.5894365129
S22x5/21-1.2,-829.5844037264
S22x5/21-1.5,-829.5741185172
S22x5/21-2.0,-829.5651936888
S22x5/22-A,-232.1993409743
S22x5/22-B,-93.4076293406
S22x5/22-0.9,-325.610009445
S22x5/22-1.0,-325.6116743589
S22x5/22-1.2,-325.6113833195
S22x5/22-1.5,-325.6096260052
S22x5/22-2.0,-325.6081685284
S66x8/01-A,-76.428496738
S66x8/01-B,-76.4284240062
S66x8/01-090,-152.8644892991
S66x8/01-095,-152.8648980404
S66x8/01-100,-152.8648394139
S66x8/01-105,-152.8645026069
S66x8/01-110,-152.8640142395
S66x8/01-125,-152.8623168326
S66x8/01-150,-152.8600958535
S66x8/01-200,-152.8581288639
S66x8/02-A,-76.4285087472
S66x8/02-B,-115.7143138162
S66x8/02-090,-192.1505885375
S66x8/02-095,-192.1511338366
S66x8/02-100,-192.1511487923
S66x8/02-105,-192.1508413013
S66x8/02-110,-192.1503522475
S66x8/02-125,-192.1485656422
S66x8/02-150,-192.1461596969
S66x8/02-200,-192.1440389109
S66x8/03-A,-76.4285330825
S66x8/03-B,-95.8420350914
S66x8/03-090,-172.2802348102
S66x8/03-095,-172.2808276554
S66x8/03-100,-172.2808276629
S66x8/03-105,-172.2804577513
S66x8/03-110,-172.279871794
S66x8/03-125,-172.2776941835
S66x8/03-150,-172.2746498353
S66x8/03-200,-172.271850388
S66x8/04-A,-76.4285280488
S66x8/04-B,-248.4930098045
S66x8/04-090,-324.9327815894
S66x8/04-095,-324.9334124158
S66x8/04-100,-324.933421622
S66x8/04-105,-324.9330412948
S66x8/04-110,-324.9324315421
S66x8/04-125,-324.9301315089
S66x8/04-150,-324.9268230692
S66x8/04-200,-324.9233238791
S66x8/05-A,-115.7141778266
S66x8/05-B,-115.7143211024
S66x8/05-090,-231.4361123482
S66x8/05-095,-231.4367999747
S66x8/05-100,-231.4369218271
S66x8/05-105,-231.436693463
S66x8/05-110,-231.4362612929
S66x8/05-125,-231.4345578642
S66x8/05-150,-231.4321606616
S66x8/05-200,-231.4299981139
S66x8/06-A,-115.7138214376
S66x8/06-B,-95.8420283944
S66x8/06-090,-211.5652587022
S66x8/06-095,-211.5661978781
S66x8/06-100,-211.5664351628
S66x8/06-105,-211.5662224325
S66x8/06-110,-211.565739113
S66x8/06-125,-211.5636714807
S66x8/06-150,-211.56058111
S66x8/06-200,-211.5576672882
S66x8/07-A,-115.7139221618
S66x8/07-B,-248.4930243095
S66x8/07-090,-364.2177445478
S66x8/07-095,-364.2185864463
S66x8/07-100,-364.2187536255
S66x8/07-105,-364.2184895517
S66x8/07-110,-364.2179630353
S66x8/07-125,-364.2157891283
S66x8/07-150,-364.2120940791
S66x8/07-200,-364.2085633592
S66x8/08-A,-115.714235587
S66x8/08-B,-76.4284307016
S66x8/08-090,-192.1500594335
S66x8/08-095,-192.1505995135
S66x8/08-100,-192.1506380045
S66x8/08-105,-192.1503717749
S66x8/08-110,-192.1499336875
S66x8/08-125,-192.1483099992
S66x8/08-150,-192.1461053079
S66x8/08-200,-192.144131702
S66x8/09-A,-95.841989921
S66x8/09-B,-115.7143708619
S66x8/09-090,-211.5590810852
S66x8/09-095,-211.5596144751
S66x8/09-100,-211.5597590216
S66x8/09-105,-211.5596770197
S66x8/09-110,-211.5594712612
S66x8/09-125,-211.5586553502
S66x8/09-150,-211.5576327274
S66x8/09-200,-211.5568618438
S66x8/10-A,-95.8418939893
S66x8/10-B,-95.8419849719
S66x8/10-090,-191.686993781
S66x8/10-095,-191.6879391511
S66x8/10-100,-191.6883035456
S66x8/10-105,-191.6883101059
S66x8/10-110,-191.688107701
S66x8/10-125,-191.6870748948
S66x8/10-150,-191.6853764454
S66x8/10-200,-191.6844067704
S66x8/11-A,-95.8416018018
S66x8/11-B,-248.4931736891
S66x8/11-090,-344.3390947627
S66x8/11-095,-344.3401423199
S66x8/11-100,-344.3405736833
S66x8/11-105,-344.34061387
S66x8/11-110,-344.3404168203
S66x8/11-125,-344.3386107266
S66x8/11-150,-344.3366261274
S66x8/11-200,-344.3356706373
S66x8/12-A,-95.8419983633
S66x8/12-B,-76.4275674761
S66x8/12-090,-172.280035959
S66x8/12-095,-172.2808060505
S66x8/12-100,-172.2809117428
S66x8/12-105,-172.2805990886
S66x8/12-110,-172.2800381743
S66x8/12-125,-172.2778414008
S66x8/12-150,-172.274707752
S66x8/12-200,-172.2718384234
S66x8/13-A,-248.4930954027
S66x8/13-B,-115.7143677453
S66x8/13-090,-364.2140023937
S66x8/13-095,-364.2149181105
S66x8/13-100,-364.2152364399
S66x8/13-105,-364.2151758537
S66x8/13-110,-364.2148855174
S66x8/13-125,-364.213486599
S66x8/13-150,-364.2113410833
S66x8/13-200,-364.2092977588
S66x8/14-A,-248.4927659255
S66x8/14-B,-95.8419291077
S66x8/14-090,-344.3422284223
S66x8/14-095,-344.3433788815
S66x8/14-100,-344.3438298391
S66x8/14-105,-344.3438247016
S66x8/14-110,-344.3435328381
S66x8/14-125,-344.3419453138
S66x8/14-150,-344.3393433631
S66x8/14-200,-344.3367690532
S66x8/15-A,-248.4927243333
S66x8/15-B,-248.4929822998
S66x8/15-090,-496.9947213378
S66x8/15-095,-496.995818887
S66x8/15-100,-496.9962247383
S66x8/15-105,-496.9961790797
S66x8/15-110,-496.9958497727
S66x8/15-125,-496.9941477829
S66x8/15-150,-496.9913343276
S66x8/15-200,-496.9881284729
S66x8/16-A,-248.4930062703
S66x8/16-B,-76.4284413894
S66x8/16-090,-324.9281753257
S66x8/16-095,-324.9288160238
S66x8/16-100,-324.9289568191
S66x8/16-105,-324.9287903065
S66x8/16-110,-324.9284458962
S66x8/16-125,-324.9270584813
S66x8/16-150,-324.9250854541
S66x8/16-200,-324.9232221586
S66x8/17-A,-414.7793454489
S66x8/17-B,-414.7794971697
S66x8/17-090,-829.5823838354
S66x8/17-095,-829.5842619726
S66x8/17-100,-829.5847085224
S66x8/17-105,-829.584218032
S66x8/17-110,-829.5831399618
S66x8/17-125,-829.5784657132
S66x8/17-150,-829.5711286991
S66x8/17-200,-829.5637252187
S66x8/18-A,-76.4285131603
S66x8/18-B,-248.235129588
S66x8/18-090,-324.6728487024
S66x8/18-095,-324.673500573
S66x8/18-100,-324.6735477182
S66x8/18-105,-324.673217393
S66x8/18-110,-324.6726661579
S66x8/18-125,-324.6705764856
S66x8/18-150,-324.6676403754
S66x8/18-200,-324.6649475589
S66x8/19-A,-115.7138297091
S66x8/19-B,-248.2351262723
S66x8/19-090,-363.9580048058
S66x8/19-095,-363.9589485115
S66x8/19-100,-363.9592048912
S66x8/19-105,-363.9590203826
S66x8/19-110,-363.9584500825
S66x8/19-125,-363.9565880074
S66x8/19-150,-363.9534232943
S66x8/19-200,-363.9505317776
S66x8/20-A,-229.0714942317
S66x8/20-B,-229.0714865982
S66x8/20-090,-458.17167521
S66x8/20-095,-458.1734736945
S66x8/20-100,-458.1736857512
S66x8/20-105,-458.1728779245
S66x8/20-110,-458.1714464434
S66x8/20-125,-458.1659436397
S66x8/20-150,-458.1572254382
S66x8/20-200,-458.1484362248
S66x8/21-A,-209.1953187443
S66x8/21-B,-209.1953232433
S66x8/21-090,-418.4134802506
S66x8/21-095,-418.4151970067
S66x8/21-100,-418.4155556822
S66x8/21-105,-418.415036584
S66x8/21-110,-418.4139759807
S66x8/21-125,-418.409524224
S66x8/21-150,-418.4026990398
S66x8/21-200,-418.3952450825
S66x8/22-A,-229.0714615945
S66x8/22-B,-414.7792257881
S66x8/22-090,-643.879174954
S66x8/22-095,-643.8810468359
S66x8/22-100,-643.8814017234
S66x8/22-105,-643.8807622752
S66x8/22-110,-643.8794988679
S66x8/22-125,-643.8741765134
S66x8/22-150,-643.8657976193
S66x8/22-200,-643.857023753
S66x8/23-A,-209.1952388013
S66x8/23-B,-414.7789439815
S66x8/23-090,-624.001534507
S66x8/23-095,-624.003392756
S66x8/23-100,-624.0038534958
S66x8/23-105,-624.0033836601
S66x8/23-110,-624.0023180008
S66x8/23-125,-623.997582762
S66x8/23-150,-623.9898510377
S66x8/23-200,-623.98140433
S66x8/24-A,-232.1995473604
S66x8/24-B,-232.1994450382
S66x8/24-090,-464.3855682733
S66x8/24-095,-464.3911736314
S66x8/24-100,-464.3943192444
S66x8/24-105,-464.3960649221
S66x8/24-110,-464.3970219673
S66x8/24-125,-464.3980322841
S66x8/24-150,-464.3984700858
S66x8/24-200,-464.3988173887
S66x8/25-A,-248.2350009554
S66x8/25-B,-248.2350440334
S66x8/25-090,-496.4583329936
S66x8/25-095,-496.4638207
S66x8/25-100,-496.4669370054
S66x8/25-105,-496.4686324245
S66x8/25-110,-496.4695147961
S66x8/25-125,-496.4702188651
S66x8/25-150,-496.470205177
S66x8/25-200,-496.4701764271
S66x8/26-A,-414.7801449037
S66x8/26-B,-414.7801449037
S66x8/26-090,-829.5574183222
S66x8/26-095,-829.5624571274
S66x8/26-100,-829.5649693054
S66x8/26-105,-829.5660103216
S66x8/26-110,-829.5662085031
S66x8/26-125,-829.565026045
S66x8/26-150,-829.5629757087
S66x8/26-200,-829.5614358994
S66x8/27-A,-232.1995081992
S66x8/27-B,-248.2350719448
S66x8/27-090,-480.4217131148
S66x8/27-095,-480.4275843095
S66x8/27-100,-480.4307949989
S66x8/27-105,-480.4325150788
S66x8/27-110,-480.4334111439
S66x8/27-125,-480.4341925529
S66x8/27-150,-480.4343667353
S66x8/27-200,-480.4345086038
S66x8/28-A,-232.1993042546
S66x8/28-B,-414.7809048864
S66x8/28-090,-646.9701794232
S66x8/28-095,-646.975561593
S66x8/28-100,-646.9785296321
S66x8/28-105,-646.9800591327
S66x8/28-110,-646.9807619701
S66x8/28-125,-646.9809368264
S66x8/28-150,-646.9804072495
S66x8/28-200,-646.9801897957
S66x8/29-A,-248.2349675504
S66x8/29-B,-414.7809233585
S66x8/29-090,-663.0056523312
S66x8/29-095,-663.0127064073
S66x8/29-100,-663.0161860836
S66x8/29-105,-663.0177350076
S66x8/29-110,-663.01828757
S66x8/29-125,-663.0179346945
S66x8/29-150,-663.0169417101
S66x8/29-200,-663.0162291079
S66x8/30-A,-232.1994932678
S66x8/30-B,-78.5706045151
S66x8/30-090,-310.76289003
S66x8/30-095,-310.7656716738
S66x8/30-100,-310.7672478679
S66x8/30-105,-310.7681304969
S66x8/30-110,-310.7686242359
S66x8/30-125,-310.7691984461
S66x8/30-150,-310.769564212
S66x8/30-200,-310.769944053
S66x8/31-A,-414.7809823114
S66x8/31-B,-78.5704738335
S66x8/31-090,-493.3481245489
S66x8/31-095,-493.3503937507
S66x8/31-100,-493.3516059797
S66x8/31-105,-493.3522008908
S66x8/31-110,-493.3524389354
S66x8/31-125,-493.3523409648
S66x8/31-150,-493.3519123549
S66x8/31-200,-493.3516124349
S66x8/32-A,-414.7811231883
S66x8/32-B,-77.3139048055
S66x8/32-090,-492.0926219057
S66x8/32-095,-492.0949326132
S66x8/32-100,-492.0960898589
S66x8/32-105,-492.0965754023
S66x8/32-110,-492.0966868225
S66x8/32-125,-492.096222049
S66x8/32-150,-492.0954084456
S66x8/32-200,-492.0948625471
S66x8/33-A,-248.2351195901
S66x8/33-B,-78.5705927691
S66x8/33-090,-326.7997054411
S66x8/33-095,-326.8021406316
S66x8/33-100,-326.8035493651
S66x8/33-105,-326.8043423249
S66x8/33-110,-326.8047774666
S66x8/33-125,-326.8051899547
S66x8/33-150,-326.8053726538
S66x8/33-200,-326.8056056664
S66x8/34-A,-197.7198918495
S66x8/34-B,-197.7200920968
S66x8/34-090,-395.4345034115
S66x8/34-095,-395.437219002
S66x8/34-100,-395.4386909857
S66x8/34-105,-395.4394575631
S66x8/34-110,-395.439817695
S66x8/34-125,-395.4400100743
S66x8/34-150,-395.4400235952
S66x8/34-200,-395.4401944292
S66x8/35-A,-197.7199691838
S66x8/35-B,-197.7221297695
S66x8/35-090,-395.4378357769
S66x8/35-095,-395.440000621
S66x8/35-100,-395.4410934836
S66x8/35-105,-395.4416268606
S66x8/35-110,-395.4418627784
S66x8/35-125,-395.4419873978
S66x8/35-150,-395.4420096727
S66x8/35-200,-395.4421376876
S66x8/36-A,-197.722063753
S66x8/36-B,-197.722027414
S66x8/36-090,-395.4412979769
S66x8/36-095,-395.4424121578
S66x8/36-100,-395.4430183826
S66x8/36-105,-395.4433453382
S66x8/36-110,-395.4435126861
S66x8/36-125,-395.4436651984
S66x8/36-150,-395.4437533596
S66x8/36-200,-395.4438767871
S66x8/37-A,-196.5087436274
S66x8/37-B,-197.7220629182
S66x8/37-090,-394.2262027363
S66x8/37-095,-394.2283564223
S66x8/37-100,-394.2294857543
S66x8/37-105,-394.2300626477
S66x8/37-110,-394.2303509215
S66x8/37-125,-394.2305607731
S66x8/37-150,-394.2305888452
S66x8/37-200,-394.2307104266
S66x8/38-A,-196.5086651602
S66x8/38-B,-196.5086721082
S66x8/38-090,-393.0129364935
S66x8/38-095,-393.0149943601
S66x8/38-100,-393.0162406714
S66x8/38-105,-393.0168544332
S66x8/38-110,-393.0171209699
S66x8/38-125,-393.0172041113
S66x8/38-150,-393.0171695118
S66x8/38-200,-393.0172915171
S66x8/39-A,-232.1994604832
S66x8/39-B,-196.5086316773
S66x8/39-090,-428.7008626319
S66x8/39-095,-428.7043444618
S66x8/39-100,-428.7063347014
S66x8/39-105,-428.7074003133
S66x8/39-110,-428.7079006969
S66x8/39-125,-428.7081721362
S66x8/39-150,-428.7080525018
S66x8/39-200,-428.7080780877
S66x8/40-A,-232.1994327651
S66x8/40-B,-197.721784036
S66x8/40-090,-429.9161168778
S66x8/40-095,-429.9188023478
S66x8/40-100,-429.9202704392
S66x8/40-105,-429.9210428584
S66x8/40-110,-429.9214160989
S66x8/40-125,-429.9216239876
S66x8/40-150,-429.9215352373
S66x8/40-200,-429.9215925901
S66x8/41-A,-414.7808755464
S66x8/41-B,-197.7200406392
S66x8/41-090,-612.4948370783
S66x8/41-095,-612.4980184932
S66x8/41-100,-612.4997530075
S66x8/41-105,-612.5006347466
S66x8/41-110,-612.501072851
S66x8/41-125,-612.5010395827
S66x8/41-150,-612.500837814
S66x8/41-200,-612.5008801858
S66x8/42-A,-414.7808610253
S66x8/42-B,-196.5086468484
S66x8/42-090,-611.2832702572
S66x8/42-095,-611.2865139128
S66x8/42-100,-611.2882224483
S66x8/42-105,-611.2890686034
S66x8/42-110,-611.289446972
S66x8/42-125,-611.2895622672
S66x8/42-150,-611.2894285507
S66x8/42-200,-611.2894979352
S66x8/43-A,-414.7809639039
S66x8/43-B,-197.7222700265
S66x8/43-090,-612.4985871865
S66x8/43-095,-612.5011498853
S66x8/43-100,-612.5024363836
S66x8/43-105,-612.503029564
S66x8/43-110,-612.5032500735
S66x8/43-125,-612.5031576573
S66x8/43-150,-612.5028793412
S66x8/43-200,-612.502799858
S66x8/44-A,-78.5705896004
S66x8/44-B,-197.7198431828
S66x8/44-090,-276.2882276468
S66x8/44-095,-276.2894972573
S66x8/44-100,-276.290144099
S66x8/44-105,-276.2904530626
S66x8/44-110,-276.2905786285
S66x8/44-125,-276.2906041909
S66x8/44-150,-276.290593081
S66x8/44-200,-276.2906818464
S66x8/45-A,-77.3139527604
S66x8/45-B,-197.7200617374
S66x8/45-090,-275.0306671888
S66x8/45-095,-275.0322801861
S66x8/45-100,-275.0331249577
S66x8/45-105,-275.0335476617
S66x8/45-110,-275.0337394398
S66x8/45-125,-275.0338136996
S66x8/45-150,-275.0337457169
S66x8/45-200,-275.0336893972
S66x8/46-A,-248.493161635
S66x8/46-B,-197.7200579436
S66x8/46-090,-446.2099086778
S66x8/46-095,-446.2118150116
S66x8/46-100,-446.2128833922
S66x8/46-105,-446.2134357899
S66x8/46-110,-446.2136783313
S66x8/46-125,-446.2136487814
S66x8/46-150,-446.2133124654
S66x8/46-200,-446.2132606773
S66x8/47-A,-232.1994170884
S66x8/47-B,-232.1992069451
S66x8/47-090,-464.3940373214
S66x8/47-095,-464.3968131881
S66x8/47-100,-464.3982954357
S66x8/47-105,-464.3990378129
S66x8/47-110,-464.3993699438
S66x8/47-125,-464.3994148941
S66x8/47-150,-464.3991146841
S66x8/47-200,-464.3989606845
S66x8/48-A,-248.2350038547
S66x8/48-B,-248.2348955149
S66x8/48-090,-496.4672129094
S66x8/48-095,-496.4695075995
S66x8/48-100,-496.470726145
S66x8/48-105,-496.4713086065
S66x8/48-110,-496.4715222421
S66x8/48-125,-496.4713046314
S66x8/48-150,-496.4707039562
S66x8/48-200,-496.4702917234
S66x8/49-A,-232.1994084048
S66x8/49-B,-248.2350035315
S66x8/49-090,-480.4304504401
S66x8/49-095,-480.4332346734
S66x8/49-100,-480.4346956391
S66x8/49-105,-480.4353959873
S66x8/49-110,-480.4356774011
S66x8/49-125,-480.435561146
S66x8/49-150,-480.4350592383
S66x8/49-200,-480.4347096134
S66x8/50-A,-232.1994097637
S66x8/50-B,-77.313994603
S66x8/50-090,-309.5118540013
S66x8/50-095,-309.5138072117
S66x8/50-100,-309.5147280279
S66x8/50-105,-309.5150726349
S66x8/50-110,-309.5151105552
S66x8/50-125,-309.5146230538
S66x8/50-150,-309.5138847777
S66x8/50-200,-309.5133738708
S66x8/51-A,-77.3139690313
S66x8/51-B,-77.3140279258
S66x8/51-090,-154.6288054642
S66x8/51-095,-154.6293635055
S66x8/51-100,-154.6295616107
S66x8/51-105,-154.6295591423
S66x8/51-110,-154.629453138
S66x8/51-125,-154.6289791621
S66x8/51-150,-154.6284335182
S66x8/51-200,-154.6280770022
S66x8/52-A,-232.1994152311
S66x8/52-B,-229.073668141
S66x8/52-090,-461.2739713438
S66x8/52-095,-461.2757053241
S66x8/52-100,-461.2765358941
S66x8/52-105,-461.276825648
S66x8/52-110,-461.2768010986
S66x8/52-125,-461.2760087788
S66x8/52-150,-461.2746900492
S66x8/52-200,-461.2736193571
S66x8/53-A,-232.1994410484
S66x8/53-B,-209.1965610917
S66x8/53-090,-441.3976014444
S66x8/53-095,-441.398910218
S66x8/53-100,-441.3995220987
S66x8/53-105,-441.3997039547
S66x8/53-110,-441.3996284275
S66x8/53-125,-441.3988158428
S66x8/53-150,-441.397508238
S66x8/53-200,-441.3963893606
S66x8/54-A,-232.1993793023
S66x8/54-B,-76.4283648926
S66x8/54-090,-308.6292459242
S66x8/54-095,-308.6303895671
S66x8/54-100,-308.6308734993
S66x8/54-105,-308.6309758803
S66x8/54-110,-308.6308698378
S66x8/54-125,-308.6301404203
S66x8/54-150,-308.6291034355
S66x8/54-200,-308.6282464529
S66x8/55-A,-232.1993399726
S66x8/55-B,-115.7143085257
S66x8/55-090,-347.9133564602
S66x8/55-095,-347.9151903076
S66x8/55-100,-347.9161462545
S66x8/55-105,-347.916562498
S66x8/55-110,-347.9166563646
S66x8/55-125,-347.916157163
S66x8/55-150,-347.9151387484
S66x8/55-200,-347.9142755995
S66x8/56-A,-232.199415932
S66x8/56-B,-95.8419891164
S66x8/56-090,-328.0390313167
S66x8/56-095,-328.0409298022
S66x8/56-100,-328.0419714015
S66x8/56-105,-328.0425135332
S66x8/56-110,-328.042708412
S66x8/56-125,-328.0425004878
S66x8/56-150,-328.0419638225
S66x8/56-200,-328.0415939694
S66x8/57-A,-232.1993294683
S66x8/57-B,-248.4931053052
S66x8/57-090,-480.6890828393
S66x8/57-095,-480.6926062129
S66x8/57-100,-480.6944039048
S66x8/57-105,-480.6952177962
S66x8/57-110,-480.6954801906
S66x8/57-125,-480.6950427971
S66x8/57-150,-480.6939832828
S66x8/57-200,-480.6931301276
S66x8/58-A,-248.234963903
S66x8/58-B,-248.2348686969
S66x8/58-090,-496.4708288829
S66x8/58-095,-496.4728515434
S66x8/58-100,-496.4738536456
S66x8/58-105,-496.473813474
S66x8/58-110,-496.4734181715
S66x8/58-125,-496.4720576963
S66x8/58-150,-496.4708337455
S66x8/58-200,-496.470140792
S66x8/59-A,-77.3140350163
S66x8/59-B,-76.4284379235
S66x8/59-090,-153.746884256
S66x8/59-095,-153.7472420109
S66x8/59-100,-153.74724717
S66x8/59-105,-153.7470483234
S66x8/59-110,-153.7467426788
S66x8/59-125,-153.745684866
S66x8/59-150,-153.7443764082
S66x8/59-200,-153.7433037496
S66x8/60-A,-77.3138983832
S66x8/60-B,-229.0736376757
S66x8/60-090,-306.3927072926
S66x8/60-095,-306.3936521288
S66x8/60-100,-306.3939037149
S66x8/60-105,-306.3937415815
S66x8/60-110,-306.3933490156
S66x8/60-125,-306.3917601868
S66x8/60-150,-306.3896778692
S66x8/60-200,-306.3880799312
S66x8/61-A,-197.7200332366
S66x8/61-B,-229.0737577051
S66x8/61-090,-426.7918917353
S66x8/61-095,-426.7929269399
S66x8/61-100,-426.7935202609
S66x8/61-105,-426.7938324633
S66x8/61-110,-426.7939763713
S66x8/61-125,-426.7939720603
S66x8/61-150,-426.7937900863
S66x8/61-200,-426.7938130869
S66x8/62-A,-197.7200438804
S66x8/62-B,-209.1966482614
S66x8/62-090,-406.914559532
S66x8/62-095,-406.9160409282
S66x8/62-100,-406.9168362804
S66x8/62-105,-406.9172136608
S66x8/62-110,-406.917348627
S66x8/62-125,-406.9172014876
S66x8/62-150,-406.9168628414
S66x8/62-200,-406.9167588628
S66x8/63-A,-232.1994941607
S66x8/63-B,-229.0736439892
S66x8/63-090,-461.2693657827
S66x8/63-095,-461.2721101167
S66x8/63-100,-461.2735297994
S66x8/63-105,-461.2741914339
S66x8/63-110,-461.2744266491
S66x8/63-125,-461.2742049077
S66x8/63-150,-461.2736243744
S66x8/63-200,-461.2732680605
S66x8/64-A,-248.4931726443
S66x8/64-B,-78.5705946136
S66x8/64-090,-327.0633838881
S66x8/64-095,-327.0645134921
S66x8/64-100,-327.0650646949
S66x8/64-105,-327.0652699889
S66x8/64-110,-327.0652752096
S66x8/64-125,-327.0648691751
S66x8/64-150,-327.0642272474
S66x8/64-200,-327.0638462869
S66x8/65-A,-248.2351056986
S66x8/65-B,-77.3132103169
S66x8/65-090,-325.553749385
S66x8/65-095,-325.5543455274
S66x8/65-100,-325.5544819061
S66x8/65-105,-325.5543370081
S66x8/65-110,-325.5540310592
S66x8/65-125,-325.5528088856
S66x8/65-150,-325.5511591149
S66x8/65-200,-325.5498113366
S66x8/66-A,-95.8420529664
S66x8/66-B,-248.2350762428
S66x8/66-090,-344.0771033256
S66x8/66-095,-344.078459091
S66x8/66-100,-344.0791778469
S66x8/66-105,-344.0794884913
S66x8/66-110,-344.07954603
S66x8/66-125,-344.0790828718
S66x8/66-150,-344.078156588
