system,MN15-L/def2-QZVP/Turbomole7.5.1
S22x5/09-0.9,-339.7578800336
S22x5/09-1.0,-339.7633275462
S22x5/09-1.2,-339.7630025204
S22x5/09-1.5,-339.7558995112
S22x5/09-2.0,-339.7481526881
S22x5/10-A,-232.2401454298
S22x5/10-B,-76.4070773
S22x5/10-0.9,-308.6528074598
S22x5/10-1.0,-308.6538195527
S22x5/10-1.2,-308.6521965555
S22x5/10-1.5,-308.6492929914
S22x5/10-2.0,-308.6478300682
S22x5/11-A,-232.2401122802
S22x5/11-B,-56.5381752442
S22x5/11-0.9,-288.7820730349
S22x5/11-1.0,-288.7831294737
S22x5/11-1.2,-288.7818292103
S22x5/11-1.5,-288.7794834018
S22x5/11-2.0,-288.7785727859
S22x5/12-A,-232.2400810354
S22x5/12-B,-40.4959318802
S22x5/12-0.9,-272.7380820399
S22x5/12-1.0,-272.7393567304
S22x5/12-1.2,-272.738472288
S22x5/12-1.5,-272.7365966216
S22x5/12-2.0,-272.7360785131
S22x5/13-A,-232.2400941202
S22x5/13-B,-232.2401015242
S22x5/13-0.9,-464.4828405979
S22x5/13-1.0,-464.4846894952
S22x5/13-1.2,-464.4840400252
S22x5/13-1.5,-464.4816052982
S22x5/13-2.0,-464.4804431476
S22x5/14-A,-232.2400970453
S22x5/14-B,-232.2400970453
S22x5/14-0.9,-464.4816874685
S22x5/14-1.0,-464.4878778145
S22x5/14-1.2,-464.4847692031
S22x5/14-1.5,-464.4804953416
S22x5/14-2.0,-464.4801049201
S22x5/15-A,-232.2401918092
S22x5/15-B,-363.8168425589
S22x5/15-0.9,-596.0638720592
S22x5/15-1.0,-596.0664041144
S22x5/15-1.2,-596.0652561256
S22x5/15-1.5,-596.0609582197
S22x5/15-2.0,-596.0581618707
S22x5/16-A,-232.2401265137
S22x5/16-B,-363.816742201
S22x5/16-0.9,-596.0608104231
S22x5/16-1.0,-596.0689468458
S22x5/16-1.2,-596.0656030572
S22x5/16-1.5,-596.0578955006
S22x5/16-2.0,-596.0566539901
S22x5/17-A,-264.3062193196
S22x5/17-B,-264.3062207767
S22x5/17-0.9,-528.6147224312
S22x5/17-1.0,-528.6217378859
S22x5/17-1.2,-528.6183872931
S22x5/17-1.5,-528.6132868149
S22x5/17-2.0,-528.6125588582
S22x5/18-A,-323.5045212175
S22x5/18-B,-303.6360697859
S22x5/18-0.9,-627.155939306
S22x5/18-1.0,-627.1610112425
S22x5/18-1.2,-627.1605359728
S22x5/18-1.5,-627.1535143112
S22x5/18-2.0,-627.1455345578
S22x5/19-A,-307.4576913688
S22x5/19-B,-307.4575717008
S22x5/19-0.9,-614.9231886019
S22x5/19-1.0,-614.9258249781
S22x5/19-1.2,-614.9251137762
S22x5/19-1.5,-614.9208015396
S22x5/19-2.0,-614.9168169481
S22x5/20-A,-414.8012469299
S22x5/20-B,-414.8012469299
S22x5/20-0.9,-829.6157041606
S22x5/20-1.0,-829.6228529983
S22x5/20-1.2,-829.6140990015
S22x5/20-1.5,-829.6054935199
S22x5/20-2.0,-829.6033965031
S22x5/21-A,-414.8005535279
S22x5/21-B,-414.8005535279
S22x5/21-0.9,-829.6222476412
S22x5/21-1.0,-829.6276517578
S22x5/21-1.2,-829.6263527413
S22x5/21-1.5,-829.6175587929
S22x5/21-2.0,-829.6080016967
S22x5/22-A,-232.240129689
S22x5/22-B,-93.4189059543
S22x5/22-0.9,-325.6651552575
S22x5/22-1.0,-325.6669356334
S22x5/22-1.2,-325.6658603017
S22x5/22-1.5,-325.6623292184
S22x5/22-2.0,-325.6601773924
S66x8/01-A,-76.4070867335
S66x8/01-B,-76.4071076236
S66x8/01-090,-152.8194663344
S66x8/01-095,-152.8205438609
S66x8/01-100,-152.8210400805
S66x8/01-105,-152.8211492241
S66x8/01-110,-152.820998716
S66x8/01-125,-152.8198294982
S66x8/01-150,-152.8176607022
S66x8/01-200,-152.8155912118
S66x8/02-A,-76.4070842817
S66x8/02-B,-115.6926898491
S66x8/02-090,-192.1050397888
S66x8/02-095,-192.1062427715
S66x8/02-100,-192.1068109054
S66x8/02-105,-192.1069569632
S66x8/02-110,-192.1068215517
S66x8/02-125,-192.1056156039
S66x8/02-150,-192.1033451505
S66x8/02-200,-192.1011350559
S66x8/03-A,-76.4070689432
S66x8/03-B,-95.8277261692
S66x8/03-090,-172.2413695881
S66x8/03-095,-172.2426788384
S66x8/03-100,-172.2433213292
S66x8/03-105,-172.2435100801
S66x8/03-110,-172.2433970214
S66x8/03-125,-172.242145937
S66x8/03-150,-172.2395201473
S66x8/03-200,-172.236498832
S66x8/04-A,-76.4070731291
S66x8/04-B,-248.484792034
S66x8/04-090,-324.902118203
S66x8/04-095,-324.9033904153
S66x8/04-100,-324.9039357953
S66x8/04-105,-324.9039744903
S66x8/04-110,-324.9036724891
S66x8/04-125,-324.901790602
S66x8/04-150,-324.8981592025
S66x8/04-200,-324.8939749454
S66x8/05-A,-115.6928027982
S66x8/05-B,-115.6927377174
S66x8/05-090,-231.3905722527
S66x8/05-095,-231.3918580406
S66x8/05-100,-231.3924952851
S66x8/05-105,-231.3926973243
S66x8/05-110,-231.3926102081
S66x8/05-125,-231.3914932161
S66x8/05-150,-231.3892368817
S66x8/05-200,-231.3869319771
S66x8/06-A,-115.6926850175
S66x8/06-B,-95.8277227625
S66x8/06-090,-211.5284761897
S66x8/06-095,-211.5297572908
S66x8/06-100,-211.5303168232
S66x8/06-105,-211.5304449151
S66x8/06-110,-211.530195363
S66x8/06-125,-211.5285958567
S66x8/06-150,-211.5256155174
S66x8/06-200,-211.5223501558
S66x8/07-A,-115.6928048729
S66x8/07-B,-248.4847645946
S66x8/07-090,-364.1871814888
S66x8/07-095,-364.1885936466
S66x8/07-100,-364.1892535334
S66x8/07-105,-364.1894036518
S66x8/07-110,-364.1892023986
S66x8/07-125,-364.1874598512
S66x8/07-150,-364.1834499628
S66x8/07-200,-364.1791241823
S66x8/08-A,-115.6928085839
S66x8/08-B,-76.4071075288
S66x8/08-090,-192.1049833755
S66x8/08-095,-192.1061425282
S66x8/08-100,-192.1067012387
S66x8/08-105,-192.1068594028
S66x8/08-110,-192.1067461342
S66x8/08-125,-192.1056342415
S66x8/08-150,-192.1034784439
S66x8/08-200,-192.101330084
S66x8/09-A,-95.8277133073
S66x8/09-B,-115.6927464349
S66x8/09-090,-211.5238394387
S66x8/09-095,-211.5245724134
S66x8/09-100,-211.5248018953
S66x8/09-105,-211.5247067019
S66x8/09-110,-211.5244961782
S66x8/09-125,-211.5234219779
S66x8/09-150,-211.5220320095
S66x8/09-200,-211.521079397
S66x8/10-A,-95.827855806
S66x8/10-B,-95.8277364329
S66x8/10-090,-191.6602738439
S66x8/10-095,-191.6615153929
S66x8/10-100,-191.6620094554
S66x8/10-105,-191.6620221306
S66x8/10-110,-191.6617548416
S66x8/10-125,-191.6601694045
S66x8/10-150,-191.6573834366
S66x8/10-200,-191.6560376701
S66x8/11-A,-95.8278247763
S66x8/11-B,-248.4850259743
S66x8/11-090,-344.3203950179
S66x8/11-095,-344.3216225199
S66x8/11-100,-344.3221005141
S66x8/11-105,-344.3220693809
S66x8/11-110,-344.321702616
S66x8/11-125,-344.3184174422
S66x8/11-150,-344.3146958637
S66x8/11-200,-344.3133758951
S66x8/12-A,-95.8276669159
S66x8/12-B,-76.4069356554
S66x8/12-090,-172.241940521
S66x8/12-095,-172.2433045702
S66x8/12-100,-172.2439428284
S66x8/12-105,-172.2440865136
S66x8/12-110,-172.2439084638
S66x8/12-125,-172.2424455101
S66x8/12-150,-172.239573383
S66x8/12-200,-172.2364602262
S66x8/13-A,-248.4850962376
S66x8/13-B,-115.6927201672
S66x8/13-090,-364.1847503932
S66x8/13-095,-364.1860683766
S66x8/13-100,-364.1866716066
S66x8/13-105,-364.1868020632
S66x8/13-110,-364.186605161
S66x8/13-125,-364.1850257974
S66x8/13-150,-364.1821305046
S66x8/13-200,-364.1795851893
S66x8/14-A,-248.4849759031
S66x8/14-B,-95.8277698723
S66x8/14-090,-344.3207588946
S66x8/14-095,-344.3222235159
S66x8/14-100,-344.3229238225
S66x8/14-105,-344.3230913734
S66x8/14-110,-344.3229174337
S66x8/14-125,-344.3213060258
S66x8/14-150,-344.3181531663
S66x8/14-200,-344.3148019405
S66x8/15-A,-248.4848741735
S66x8/15-B,-248.4847533096
S66x8/15-090,-496.9807430556
S66x8/15-095,-496.9822225521
S66x8/15-100,-496.9829339694
S66x8/15-105,-496.9830967196
S66x8/15-110,-496.9828446501
S66x8/15-125,-496.9807907415
S66x8/15-150,-496.9767767617
S66x8/15-200,-496.9720932538
S66x8/16-A,-248.4849570317
S66x8/16-B,-76.4071055397
S66x8/16-090,-324.8977196127
S66x8/16-095,-324.8988950891
S66x8/16-100,-324.8994543558
S66x8/16-105,-324.8995912474
S66x8/16-110,-324.8994391334
S66x8/16-125,-324.8981486117
S66x8/16-150,-324.8958454755
S66x8/16-200,-324.8937628497
S66x8/17-A,-414.8007081292
S66x8/17-B,-414.8008902532
S66x8/17-090,-829.618844615
S66x8/17-095,-829.6220376137
S66x8/17-100,-829.6237135218
S66x8/17-105,-829.6243304919
S66x8/17-110,-829.6242072076
S66x8/17-125,-829.6214242701
S66x8/17-150,-829.6148137176
S66x8/17-200,-829.6066634001
S66x8/18-A,-76.407082645
S66x8/18-B,-248.2747815896
S66x8/18-090,-324.6878559522
S66x8/18-095,-324.6892425793
S66x8/18-100,-324.6899501149
S66x8/18-105,-324.6901931828
S66x8/18-110,-324.6901254214
S66x8/18-125,-324.6889699992
S66x8/18-150,-324.6864253953
S66x8/18-200,-324.6835733271
S66x8/19-A,-115.6926922088
S66x8/19-B,-248.2747719949
S66x8/19-090,-363.9734163612
S66x8/19-095,-363.9749531532
S66x8/19-100,-363.9757619544
S66x8/19-105,-363.9760719009
S66x8/19-110,-363.9761673603
S66x8/19-125,-363.9748848342
S66x8/19-150,-363.9723746581
S66x8/19-200,-363.9692612147
S66x8/20-A,-229.0578999114
S66x8/20-B,-229.0579146227
S66x8/20-090,-458.1371172593
S66x8/20-095,-458.1404047247
S66x8/20-100,-458.1420172869
S66x8/20-105,-458.1424911038
S66x8/20-110,-458.1421939015
S66x8/20-125,-458.1386196566
S66x8/20-150,-458.1312859756
S66x8/20-200,-458.1217219882
S66x8/21-A,-209.1861450171
S66x8/21-B,-209.1861473887
S66x8/21-090,-418.3890053594
S66x8/21-095,-418.3921163375
S66x8/21-100,-418.3937431711
S66x8/21-105,-418.3943311672
S66x8/21-110,-418.3942020323
S66x8/21-125,-418.3915042531
S66x8/21-150,-418.3852208673
S66x8/21-200,-418.3769439223
S66x8/22-A,-229.0578220552
S66x8/22-B,-414.8006117624
S66x8/22-090,-643.8795268962
S66x8/22-095,-643.8827890327
S66x8/22-100,-643.8844563153
S66x8/22-105,-643.8850154228
S66x8/22-110,-643.884801717
S66x8/22-125,-643.8816899073
S66x8/22-150,-643.8744696717
S66x8/22-200,-643.8649705974
S66x8/23-A,-209.1859556913
S66x8/23-B,-414.8005508798
S66x8/23-090,-624.0071111672
S66x8/23-095,-624.0102605424
S66x8/23-100,-624.0119293437
S66x8/23-105,-624.0125510623
S66x8/23-110,-624.0124338344
S66x8/23-125,-624.0096390997
S66x8/23-150,-624.0028214432
S66x8/23-200,-623.9937244051
S66x8/24-A,-232.2400298999
S66x8/24-B,-232.2401072087
S66x8/24-090,-464.4822892628
S66x8/24-095,-464.4864575473
S66x8/24-100,-464.4880069347
S66x8/24-105,-464.4881100701
S66x8/24-110,-464.4873442116
S66x8/24-125,-464.483725416
S66x8/24-150,-464.4805351581
S66x8/24-200,-464.4801464412
S66x8/25-A,-248.2748784616
S66x8/25-B,-248.274908484
S66x8/25-090,-496.5528844344
S66x8/25-095,-496.5570575512
S66x8/25-100,-496.5587411234
S66x8/25-105,-496.5588778282
S66x8/25-110,-496.558175291
S66x8/25-125,-496.5545131869
S66x8/25-150,-496.5506787357
S66x8/25-200,-496.5499677643
S66x8/26-A,-414.8012474824
S66x8/26-B,-414.8012474824
S66x8/26-090,-829.618184598
S66x8/26-095,-829.6219867489
S66x8/26-100,-829.6228540612
S66x8/26-105,-829.6221066905
S66x8/26-110,-829.62033634
S66x8/26-125,-829.6136030818
S66x8/26-150,-829.6064722739
S66x8/26-200,-829.6037149618
S66x8/27-A,-232.2400718365
S66x8/27-B,-248.2748961649
S66x8/27-090,-480.5174195774
S66x8/27-095,-480.5218670328
S66x8/27-100,-480.5235549272
S66x8/27-105,-480.5236326093
S66x8/27-110,-480.522832917
S66x8/27-125,-480.5191505626
S66x8/27-150,-480.5155694895
S66x8/27-200,-480.5150463381
S66x8/28-A,-232.2401201203
S66x8/28-B,-414.801703856
S66x8/28-090,-647.050089387
S66x8/28-095,-647.0539443275
S66x8/28-100,-647.0552677342
S66x8/28-105,-647.0549341177
S66x8/28-110,-647.0537786609
S66x8/28-125,-647.048705735
S66x8/28-150,-647.0432108955
S66x8/28-200,-647.041857257
S66x8/29-A,-248.2748751112
S66x8/29-B,-414.8016334191
S66x8/29-090,-663.0840690973
S66x8/29-095,-663.0895647587
S66x8/29-100,-663.0912419942
S66x8/29-105,-663.0908524952
S66x8/29-110,-663.0892744198
S66x8/29-125,-663.0834295006
S66x8/29-150,-663.0784461672
S66x8/29-200,-663.0770058461
S66x8/30-A,-232.2400722177
S66x8/30-B,-78.5706128579
S66x8/30-090,-310.8126122158
S66x8/30-095,-310.8146802948
S66x8/30-100,-310.8154020628
S66x8/30-105,-310.8153382202
S66x8/30-110,-310.8148500465
S66x8/30-125,-310.8127219689
S66x8/30-150,-310.8108678405
S66x8/30-200,-310.8105949681
S66x8/31-A,-414.8016853137
S66x8/31-B,-78.5707689372
S66x8/31-090,-493.377906663
S66x8/31-095,-493.3795577452
S66x8/31-100,-493.3800115647
S66x8/31-105,-493.3796902872
S66x8/31-110,-493.378998088
S66x8/31-125,-493.3762873694
S66x8/31-150,-493.373514493
S66x8/31-200,-493.3725518272
S66x8/32-A,-414.8016261653
S66x8/32-B,-77.3260480367
S66x8/32-090,-492.1330009152
S66x8/32-095,-492.1349731756
S66x8/32-100,-492.1355405416
S66x8/32-105,-492.1353515851
S66x8/32-110,-492.134672032
S66x8/32-125,-492.1319395067
S66x8/32-150,-492.1290101721
S66x8/32-200,-492.1278455443
S66x8/33-A,-248.2748662557
S66x8/33-B,-78.5705453676
S66x8/33-090,-326.8482026795
S66x8/33-095,-326.8500190154
S66x8/33-100,-326.8506557312
S66x8/33-105,-326.8506049591
S66x8/33-110,-326.8501440732
S66x8/33-125,-326.848076333
S66x8/33-150,-326.8458793747
S66x8/33-200,-326.8454340643
S66x8/34-A,-197.7134213521
S66x8/34-B,-197.7130504914
S66x8/34-090,-395.4389067622
S66x8/34-095,-395.4402611848
S66x8/34-100,-395.44015332
S66x8/34-105,-395.4389804263
S66x8/34-110,-395.4373125959
S66x8/34-125,-395.4320997623
S66x8/34-150,-395.4274800366
S66x8/34-200,-395.4268433867
S66x8/35-A,-197.7132729631
S66x8/35-B,-197.7209592206
S66x8/35-090,-395.4407584068
S66x8/35-095,-395.4424161341
S66x8/35-100,-395.4426435219
S66x8/35-105,-395.4419328602
S66x8/35-110,-395.4409087681
S66x8/35-125,-395.4375224294
S66x8/35-150,-395.4347048718
S66x8/35-200,-395.4341724792
S66x8/36-A,-197.721071097
S66x8/36-B,-197.7211810539
S66x8/36-090,-395.4472440923
S66x8/36-095,-395.4478787065
S66x8/36-100,-395.4478171796
S66x8/36-105,-395.4472992723
S66x8/36-110,-395.4466123661
S66x8/36-125,-395.4443048174
S66x8/36-150,-395.4422509465
S66x8/36-200,-395.4417566821
S66x8/37-A,-196.5149839175
S66x8/37-B,-197.7208606769
S66x8/37-090,-394.2418485801
S66x8/37-095,-394.2434535059
S66x8/37-100,-394.2436696159
S66x8/37-105,-394.2431626145
S66x8/37-110,-394.2422814901
S66x8/37-125,-394.2393795791
S66x8/37-150,-394.2366237455
S66x8/37-200,-394.2358907926
S66x8/38-A,-196.5150646894
S66x8/38-B,-196.5150664133
S66x8/38-090,-393.0363560219
S66x8/38-095,-393.0380815223
S66x8/38-100,-393.0384987976
S66x8/38-105,-393.037969274
S66x8/38-110,-393.0369222345
S66x8/38-125,-393.03354481
S66x8/38-150,-393.0305896127
S66x8/38-200,-393.0301831286
S66x8/39-A,-232.240094958
S66x8/39-B,-196.5150437661
S66x8/39-090,-428.7613959499
S66x8/39-095,-428.7640425591
S66x8/39-100,-428.7649293156
S66x8/39-105,-428.7646522893
S66x8/39-110,-428.7636537512
S66x8/39-125,-428.7599576048
S66x8/39-150,-428.7561546479
S66x8/39-200,-428.7552301305
S66x8/40-A,-232.2401111012
S66x8/40-B,-197.7214810007
S66x8/40-090,-429.9658567482
S66x8/40-095,-429.9679319242
S66x8/40-100,-429.9686056313
S66x8/40-105,-429.9683140991
S66x8/40-110,-429.9676370085
S66x8/40-125,-429.9645892745
S66x8/40-150,-429.9617199008
S66x8/40-200,-429.9608795894
S66x8/41-A,-414.801773982
S66x8/41-B,-197.71336643
S66x8/41-090,-612.5271570609
S66x8/41-095,-612.529061254
S66x8/41-100,-612.5290974362
S66x8/41-105,-612.528098999
S66x8/41-110,-612.5260280685
S66x8/41-125,-612.5198790227
S66x8/41-150,-612.5158158307
S66x8/41-200,-612.5151857129
S66x8/42-A,-414.8018192972
S66x8/42-B,-196.5150441648
S66x8/42-090,-611.3253984862
S66x8/42-095,-611.3276479552
S66x8/42-100,-611.3279474387
S66x8/42-105,-611.3271992247
S66x8/42-110,-611.3258356947
S66x8/42-125,-611.3213474868
S66x8/42-150,-611.3177425718
S66x8/42-200,-611.316902861
S66x8/43-A,-414.8017752836
S66x8/43-B,-197.7205771158
S66x8/43-090,-612.530212504
S66x8/43-095,-612.5318562691
S66x8/43-100,-612.5319857273
S66x8/43-105,-612.5311537606
S66x8/43-110,-612.5300013727
S66x8/43-125,-612.5262558658
S66x8/43-150,-612.5234161361
S66x8/43-200,-612.5226846532
S66x8/44-A,-78.5706292878
S66x8/44-B,-197.7135778013
S66x8/44-090,-276.2904029645
S66x8/44-095,-276.2909810282
S66x8/44-100,-276.290688557
S66x8/44-105,-276.289953668
S66x8/44-110,-276.2890298155
S66x8/44-125,-276.2863461797
S66x8/44-150,-276.284439904
S66x8/44-200,-276.2840312672
S66x8/45-A,-77.3260278957
S66x8/45-B,-197.7132725953
S66x8/45-090,-275.043776556
S66x8/45-095,-275.0447072854
S66x8/45-100,-275.0447132748
S66x8/45-105,-275.0442357859
S66x8/45-110,-275.0434945347
S66x8/45-125,-275.0412798818
S66x8/45-150,-275.039667152
S66x8/45-200,-275.0392406686
S66x8/46-A,-248.4849733922
S66x8/46-B,-197.7131163774
S66x8/46-090,-446.2108834439
S66x8/46-095,-446.2117106377
S66x8/46-100,-446.2114399966
S66x8/46-105,-446.2104041584
S66x8/46-110,-446.2089902946
S66x8/46-125,-446.2043241421
S66x8/46-150,-446.1995134887
S66x8/46-200,-446.1984561111
S66x8/47-A,-232.2401079204
S66x8/47-B,-232.2401921007
S66x8/47-090,-464.4824710841
S66x8/47-095,-464.4849412359
S66x8/47-100,-464.4859042462
S66x8/47-105,-464.4860346053
S66x8/47-110,-464.485584232
S66x8/47-125,-464.4834234818
S66x8/47-150,-464.4810792836
S66x8/47-200,-464.480383267
S66x8/48-A,-248.2748981114
S66x8/48-B,-248.2749247048
S66x8/48-090,-496.5532622206
S66x8/48-095,-496.5554903666
S66x8/48-100,-496.556367639
S66x8/48-105,-496.5565129159
S66x8/48-110,-496.5560401773
S66x8/48-125,-496.5538134398
S66x8/48-150,-496.5511630822
S66x8/48-200,-496.5501731485
S66x8/49-A,-232.2401185886
S66x8/49-B,-248.274869869
S66x8/49-090,-480.5178051071
S66x8/49-095,-480.5203450484
S66x8/49-100,-480.5213372084
S66x8/49-105,-480.5214622029
S66x8/49-110,-480.5210156637
S66x8/49-125,-480.5187158242
S66x8/49-150,-480.5161921899
S66x8/49-200,-480.5153329147
S66x8/50-A,-232.2400987249
S66x8/50-B,-77.3261077109
S66x8/50-090,-309.5691196994
S66x8/50-095,-309.5710733049
S66x8/50-100,-309.5718147883
S66x8/50-105,-309.5718001187
S66x8/50-110,-309.5713880115
S66x8/50-125,-309.569433904
S66x8/50-150,-309.5673423685
S66x8/50-200,-309.5665596964
S66x8/51-A,-77.326037171
S66x8/51-B,-77.3261039584
S66x8/51-090,-154.6531744424
S66x8/51-095,-154.6540327773
S66x8/51-100,-154.6543932439
S66x8/51-105,-154.6544519109
S66x8/51-110,-154.6543228984
S66x8/51-125,-154.6536078599
S66x8/51-150,-154.65274727
S66x8/51-200,-154.6522727106
S66x8/52-A,-232.240090127
S66x8/52-B,-229.0597313378
S66x8/52-090,-461.3059846799
S66x8/52-095,-461.3075322283
S66x8/52-100,-461.3081047177
S66x8/52-105,-461.3080516875
S66x8/52-110,-461.3075937876
S66x8/52-125,-461.305356156
S66x8/52-150,-461.3022826199
S66x8/52-200,-461.3004939076
S66x8/53-A,-232.2400662229
S66x8/53-B,-209.1870098947
S66x8/53-090,-441.4325452325
S66x8/53-095,-441.4339769995
S66x8/53-100,-441.4345599361
S66x8/53-105,-441.4345610413
S66x8/53-110,-441.4342238732
S66x8/53-125,-441.4323373814
S66x8/53-150,-441.4295696925
S66x8/53-200,-441.4276808608
S66x8/54-A,-232.2401145032
S66x8/54-B,-76.4070760815
S66x8/54-090,-308.6525169907
S66x8/54-095,-308.6535617714
S66x8/54-100,-308.6538186093
S66x8/54-105,-308.6536161333
S66x8/54-110,-308.6531339933
S66x8/54-125,-308.6512003471
S66x8/54-150,-308.6489629507
S66x8/54-200,-308.647758638
S66x8/55-A,-232.240127952
S66x8/55-B,-115.6928342525
S66x8/55-090,-347.939784194
S66x8/55-095,-347.941217491
S66x8/55-100,-347.9416810802
S66x8/55-105,-347.9415337559
S66x8/55-110,-347.9409576935
S66x8/55-125,-347.9384108163
S66x8/55-150,-347.9352458531
S66x8/55-200,-347.9335559907
S66x8/56-A,-232.2401052019
S66x8/56-B,-95.8277319411
S66x8/56-090,-328.0734233085
S66x8/56-095,-328.07484771
S66x8/56-100,-328.0752668483
S66x8/56-105,-328.0750471761
S66x8/56-110,-328.0743741185
S66x8/56-125,-328.071697087
S66x8/56-150,-328.0690661173
S66x8/56-200,-328.0681671718
S66x8/57-A,-232.2401467783
S66x8/57-B,-248.4850024404
S66x8/57-090,-480.7321850445
S66x8/57-095,-480.7350495059
S66x8/57-100,-480.7360413523
S66x8/57-105,-480.7358532923
S66x8/57-110,-480.7350453347
S66x8/57-125,-480.7314438529
S66x8/57-150,-480.7275207846
S66x8/57-200,-480.7258362477
S66x8/58-A,-248.274899349
S66x8/58-B,-248.2748320892
S66x8/58-090,-496.5496715486
S66x8/58-095,-496.5528056338
S66x8/58-100,-496.5547910139
S66x8/58-105,-496.5551534599
S66x8/58-110,-496.5547695139
S66x8/58-125,-496.5527761006
S66x8/58-150,-496.5508974941
S66x8/58-200,-496.5500439586
S66x8/59-A,-77.3261694921
S66x8/59-B,-76.407102947
S66x8/59-090,-153.735938129
S66x8/59-095,-153.7368007748
S66x8/59-100,-153.7371718643
S66x8/59-105,-153.7372300843
S66x8/59-110,-153.7370852504
S66x8/59-125,-153.7361411543
S66x8/59-150,-153.7347336193
S66x8/59-200,-153.7335772505
S66x8/60-A,-77.3260707591
S66x8/60-B,-229.0597093221
S66x8/60-090,-306.3910380676
S66x8/60-095,-306.3926551086
S66x8/60-100,-306.3933907489
S66x8/60-105,-306.3935549372
S66x8/60-110,-306.3933367639
S66x8/60-125,-306.3916651776
S66x8/60-150,-306.3888026775
S66x8/60-200,-306.3865916517
S66x8/61-A,-197.7132808623
S66x8/61-B,-229.059747392
S66x8/61-090,-426.7816641269
S66x8/61-095,-426.7818782598
S66x8/61-100,-426.7814605781
S66x8/61-105,-426.7807044924
S66x8/61-110,-426.7797634901
S66x8/61-125,-426.776781851
S66x8/61-150,-426.773784609
S66x8/61-200,-426.7731106193
S66x8/62-A,-197.7133542664
S66x8/62-B,-209.1870239276
S66x8/62-090,-406.9101808907
S66x8/62-095,-406.9108729688
S66x8/62-100,-406.9105843072
S66x8/62-105,-406.9097540552
S66x8/62-110,-406.9086836452
S66x8/62-125,-406.9050162446
S66x8/62-150,-406.9015767974
S66x8/62-200,-406.9005347924
S66x8/63-A,-232.2400599896
S66x8/63-B,-229.0596899166
S66x8/63-090,-461.3059376184
S66x8/63-095,-461.307968158
S66x8/63-100,-461.3084890505
S66x8/63-105,-461.3081780258
S66x8/63-110,-461.307292284
S66x8/63-125,-461.3042041873
S66x8/63-150,-461.301005727
S66x8/63-200,-461.3000134231
S66x8/64-A,-248.4849382551
S66x8/64-B,-78.570763888
S66x8/64-090,-327.0609857184
S66x8/64-095,-327.0619544992
S66x8/64-100,-327.0621503668
S66x8/64-105,-327.0618334125
S66x8/64-110,-327.0612678706
S66x8/64-125,-327.0590636376
S66x8/64-150,-327.0566286272
S66x8/64-200,-327.0557108931
S66x8/65-A,-248.2748370231
S66x8/65-B,-77.3257796694
S66x8/65-090,-325.6038210059
S66x8/65-095,-325.6050296791
S66x8/65-100,-325.6056669938
S66x8/65-105,-325.6059097282
S66x8/65-110,-325.6058903148
S66x8/65-125,-325.605057372
S66x8/65-150,-325.603290792
S66x8/65-200,-325.6017082634
S66x8/66-A,-95.8276005583
S66x8/66-B,-248.2748422325
S66x8/66-090,-344.1085264884
S66x8/66-095,-344.1096479325
S66x8/66-100,-344.110000737
S66x8/66-105,-344.1098969478
S66x8/66-110,-344.1094820188
S66x8/66-125,-344.1074876458
