system,LC-BPW91/def2-QZVP/Gaussian
S66x8/08-200,-191.866825795
S66x8/09-A,-95.6710499872
S66x8/09-B,-115.533902682
S66x8/09-090,-211.208881102
S66x8/09-095,-211.209082377
S66x8/09-100,-211.208988527
S66x8/09-105,-211.208744615
S66x8/09-110,-211.208427637
S66x8/09-125,-211.207465049
S66x8/09-150,-211.20640013
S66x8/09-200,-211.205556563
S66x8/10-A,-95.6710583086
S66x8/10-B,-95.6709825063
S66x8/10-090,-191.347704868
S66x8/10-095,-191.348012393
S66x8/10-100,-191.347887966
S66x8/10-105,-191.347526262
S66x8/10-110,-191.347049841
S66x8/10-125,-191.345579097
S66x8/10-150,-191.343676797
S66x8/10-200,-191.34258428
S66x8/11-A,-95.6708258887
S66x8/11-B,-248.065451037
S66x8/11-090,-343.743497265
S66x8/11-095,-343.743842458
S66x8/11-100,-343.743724428
S66x8/11-105,-343.743341287
S66x8/11-110,-343.742824046
S66x8/11-125,-343.740348882
S66x8/11-150,-343.738182018
S66x8/11-200,-343.737097812
S66x8/12-A,-95.6709706435
S66x8/12-B,-76.3307982657
S66x8/12-090,-172.015046442
S66x8/12-095,-172.015224567
S66x8/12-100,-172.014839921
S66x8/12-105,-172.014127678
S66x8/12-110,-172.013247157
S66x8/12-125,-172.010448141
S66x8/12-150,-172.006962518
S66x8/12-200,-172.003975502
S66x8/13-A,-248.06542593
S66x8/13-B,-115.533847941
S66x8/13-090,-363.60813958
S66x8/13-095,-363.608538332
S66x8/13-100,-363.608448385
S66x8/13-105,-363.608071687
S66x8/13-110,-363.607541179
S66x8/13-125,-363.605732418
S66x8/13-150,-363.603408324
S66x8/13-200,-363.601249224
S66x8/14-A,-248.065232128
S66x8/14-B,-95.6709328754
S66x8/14-090,-343.746744194
S66x8/14-095,-343.74729324
S66x8/14-100,-343.747251974
S66x8/14-105,-343.746847524
S66x8/14-110,-343.746234413
S66x8/14-125,-343.744038446
S66x8/14-150,-343.741077682
S66x8/14-200,-343.738355642
S66x8/15-A,-248.065457995
S66x8/15-B,-248.06552605
S66x8/15-090,-496.142950219
S66x8/15-095,-496.143459315
S66x8/15-100,-496.1433857
S66x8/15-105,-496.142953404
S66x8/15-110,-496.142316795
S66x8/15-125,-496.140031608
S66x8/15-150,-496.136888571
S66x8/15-200,-496.133514874
S66x8/16-A,-248.065652933
S66x8/16-B,-76.3313164186
S66x8/16-090,-324.405051835
S66x8/16-095,-324.405360247
S66x8/16-100,-324.405250474
S66x8/16-105,-324.404898659
S66x8/16-110,-324.404420147
S66x8/16-125,-324.402827362
S66x8/16-150,-324.400793264
S66x8/16-200,-324.398852483
S66x8/17-A,-414.088562013
S66x8/17-B,-414.088772416
S66x8/17-090,-828.204910012
S66x8/17-095,-828.205898408
S66x8/17-100,-828.205597758
S66x8/17-105,-828.204489705
S66x8/17-110,-828.202915655
S66x8/17-125,-828.197333898
S66x8/17-150,-828.189571884
S66x8/17-200,-828.182245162
S66x8/18-A,-76.3313529955
S66x8/18-B,-247.719834879
S66x8/18-090,-324.0629176
S66x8/18-095,-324.063083626
S66x8/18-100,-324.062731353
S66x8/18-105,-324.062077998
S66x8/18-110,-324.061270638
S66x8/18-125,-324.058710317
S66x8/18-150,-324.055522913
S66x8/18-200,-324.052761055
S66x8/19-A,-115.533751858
S66x8/19-B,-247.719830881
S66x8/19-090,-363.265646249
S66x8/19-095,-363.266048465
S66x8/19-100,-363.265856699
S66x8/19-105,-363.265307746
S66x8/19-110,-363.263959157
S66x8/19-125,-363.262048926
S66x8/19-150,-363.258040496
S66x8/19-200,-363.255050587
S66x8/20-A,-228.715827641
S66x8/20-B,-228.715825386
S66x8/20-090,-457.466929608
S66x8/20-095,-457.467640406
S66x8/20-100,-457.4668884
S66x8/20-105,-457.465245839
S66x8/20-110,-457.463106022
S66x8/20-125,-457.45597891
S66x8/20-150,-457.446272504
S66x8/20-200,-457.437249096
S66x8/21-A,-208.848251185
S66x8/21-B,-208.848255183
S66x8/21-090,-417.723599514
S66x8/21-095,-417.7244164
S66x8/21-100,-417.724029079
S66x8/21-105,-417.722902055
S66x8/21-110,-417.721357728
S66x8/21-125,-417.716013694
S66x8/21-150,-417.708731745
S66x8/21-200,-417.701233154
S66x8/22-A,-228.715724547
S66x8/22-B,-414.08855261
S66x8/22-090,-642.837939173
S66x8/22-095,-642.838828528
S66x8/22-100,-642.838330893
S66x8/22-105,-642.836967613
S66x8/22-110,-642.83510362
S66x8/22-125,-642.828594753
S66x8/22-150,-642.819503114
S66x8/22-200,-642.810674616
S66x8/23-A,-208.848185794
S66x8/23-B,-414.088296792
S66x8/23-090,-622.968109846
S66x8/23-095,-622.969095823
S66x8/23-100,-622.968815379
S66x8/23-105,-622.967728394
S66x8/23-110,-622.966159838
S66x8/23-125,-622.960460233
S66x8/23-150,-622.952193611
S66x8/23-200,-622.943755994
S66x8/24-A,-231.687436966
S66x8/24-B,-231.687296922
S66x8/24-090,-463.369451301
S66x8/24-095,-463.3724342
S66x8/24-100,-463.373749182
S66x8/24-105,-463.374263593
S66x8/24-110,-463.374391025
S66x8/24-125,-463.37426955
S66x8/24-150,-463.374314852
S66x8/24-200,-463.374555475
S66x8/25-A,-247.719692189
S66x8/25-B,-247.719756809
S66x8/25-090,-495.436283229
S66x8/25-095,-495.43917184
S66x8/25-100,-495.44043473
S66x8/25-105,-495.440794753
S66x8/25-110,-495.440782765
S66x8/25-125,-495.440252617
S66x8/25-150,-495.439780025
S66x8/25-200,-495.439609937
S66x8/26-A,-414.088974122
S66x8/26-B,-414.088974122
S66x8/26-090,-828.184346897
S66x8/26-095,-828.186540919
S66x8/26-100,-828.187017364
S66x8/26-105,-828.186640394
S66x8/26-110,-828.185849309
S66x8/26-125,-828.183337224
S66x8/26-150,-828.180872454
S66x8/26-200,-828.179115373
S66x8/27-A,-231.687405942
S66x8/27-B,-247.719795981
S66x8/27-090,-479.402875724
S66x8/27-095,-479.406002834
S66x8/27-100,-479.407254266
S66x8/27-105,-479.407683614
S66x8/27-110,-479.407715307
S66x8/27-125,-479.407320426
S66x8/27-150,-479.407066995
S66x8/27-200,-479.407089896
S66x8/28-A,-231.686983915
S66x8/28-B,-414.08968413
S66x8/28-090,-645.776573312
S66x8/28-095,-645.779028924
S66x8/28-100,-645.779867955
S66x8/28-105,-645.779910641
S66x8/28-110,-645.779556171
S66x8/28-125,-645.778272308
S66x8/28-150,-645.777218071
S66x8/28-200,-645.776813352
S66x8/29-A,-247.719611893
S66x8/29-B,-414.089723116
S66x8/29-090,-661.809501271
S66x8/29-095,-661.813024117
S66x8/29-100,-661.814094507
S66x8/29-105,-661.814058989
S66x8/29-110,-661.813534464
S66x8/29-125,-661.81188751
S66x8/29-150,-661.810565237
S66x8/29-200,-661.809689679
S66x8/30-A,-231.68736355
S66x8/30-B,-78.3923963874
S66x8/30-090,-310.077166465
S66x8/30-095,-310.07847237
S66x8/30-100,-310.079010179
S66x8/30-105,-310.079203474
S66x8/30-110,-310.079207789
S66x8/30-125,-310.079140348
S66x8/30-150,-310.07934257
S66x8/30-200,-310.079622981
S66x8/31-A,-414.089790801
S66x8/31-B,-78.3923053441
S66x8/31-090,-492.483121655
S66x8/31-095,-492.484027144
S66x8/31-100,-492.484277657
S66x8/31-105,-492.484201756
S66x8/31-110,-492.483959386
S66x8/31-125,-492.483238399
S66x8/31-150,-492.482591855
S66x8/31-200,-492.48220204
S66x8/32-A,-414.089945981
S66x8/32-B,-77.1313216825
S66x8/32-090,-491.222942051
S66x8/32-095,-491.223953782
S66x8/32-100,-491.224189455
S66x8/32-105,-491.224035408
S66x8/32-110,-491.223699342
S66x8/32-125,-491.222670253
S66x8/32-150,-491.221694477
S66x8/32-200,-491.221078223
S66x8/33-A,-247.719862777
S66x8/33-B,-78.3923620177
S66x8/33-090,-326.110723364
S66x8/33-095,-326.111789072
S66x8/33-100,-326.112237311
S66x8/33-105,-326.112328553
S66x8/33-110,-326.11230091
S66x8/33-125,-326.112054226
S66x8/33-150,-326.11201777
S66x8/33-200,-326.112160078
S66x8/34-A,-197.312679778
S66x8/34-B,-197.312716929
S66x8/34-090,-394.625354252
S66x8/34-095,-394.626360261
S66x8/34-100,-394.626665093
S66x8/34-105,-394.626643692
S66x8/34-110,-394.626487605
S66x8/34-125,-394.625989594
S66x8/34-150,-394.625673435
S66x8/34-200,-394.625619232
S66x8/35-A,-197.312694208
S66x8/35-B,-197.317847436
S66x8/35-090,-394.630063852
S66x8/35-095,-394.630981057
S66x8/35-100,-394.631264909
S66x8/35-105,-394.631281588
S66x8/35-110,-394.631187933
S66x8/35-125,-394.630873161
S66x8/35-150,-394.630683868
S66x8/35-200,-394.630646127
S66x8/36-A,-197.31788378
S66x8/36-B,-197.317855683
S66x8/36-090,-394.634926027
S66x8/36-095,-394.63548965
S66x8/36-100,-394.635729853
S66x8/36-105,-394.63582743
S66x8/36-110,-394.635834413
S66x8/36-125,-394.635755777
S66x8/36-150,-394.635713491
S66x8/36-200,-394.635723983
S66x8/37-A,-196.108849615
S66x8/37-B,-197.318082564
S66x8/37-090,-393.425821675
S66x8/37-095,-393.426749446
S66x8/37-100,-393.427092437
S66x8/37-105,-393.427160891
S66x8/37-110,-393.427122039
S66x8/37-125,-393.42689156
S66x8/37-150,-393.426707122
S66x8/37-200,-393.426676026
S66x8/38-A,-196.10886734
S66x8/38-B,-196.108869711
S66x8/38-090,-392.217136358
S66x8/38-095,-392.218011879
S66x8/38-100,-392.218367662
S66x8/38-105,-392.218391596
S66x8/38-110,-392.218304574
S66x8/38-125,-392.217966492
S66x8/38-150,-392.217747755
S66x8/38-200,-392.217717654
S66x8/39-A,-231.687315893
S66x8/39-B,-196.108870886
S66x8/39-090,-427.795265854
S66x8/39-095,-427.796866332
S66x8/39-100,-427.797479321
S66x8/39-105,-427.797561151
S66x8/39-110,-427.797404464
S66x8/39-125,-427.796769762
S66x8/39-150,-427.796311234
S66x8/39-200,-427.796161183
S66x8/40-A,-231.687271293
S66x8/40-B,-197.317804262
S66x8/40-090,-429.004529118
S66x8/40-095,-429.005790448
S66x8/40-100,-429.00625926
S66x8/40-105,-429.006333869
S66x8/40-110,-429.006232053
S66x8/40-125,-429.005771134
S66x8/40-150,-429.005409718
S66x8/40-200,-429.005299863
S66x8/41-A,-414.089647014
S66x8/41-B,-197.312746448
S66x8/41-090,-611.403102811
S66x8/41-095,-611.404257781
S66x8/41-100,-611.404544517
S66x8/41-105,-611.404414133
S66x8/41-110,-611.404043852
S66x8/41-125,-611.403069182
S66x8/41-150,-611.402547192
S66x8/41-200,-611.402379873
S66x8/42-A,-414.089626313
S66x8/42-B,-196.108812103
S66x8/42-090,-610.198039306
S66x8/42-095,-610.199393655
S66x8/42-100,-610.199806504
S66x8/42-105,-610.199781866
S66x8/42-110,-610.19959414
S66x8/42-125,-610.198984246
S66x8/42-150,-610.198582653
S66x8/42-200,-610.198451894
S66x8/43-A,-414.089757329
S66x8/43-B,-197.317856083
S66x8/43-090,-611.407774055
S66x8/43-095,-611.408882821
S66x8/43-100,-611.409182425
S66x8/43-105,-611.409109167
S66x8/43-110,-611.408895007
S66x8/43-125,-611.408231492
S66x8/43-150,-611.407728492
S66x8/43-200,-611.4074822
S66x8/44-A,-78.3923862305
S66x8/44-B,-197.312705932
S66x8/44-090,-275.705392344
S66x8/44-095,-275.705786999
S66x8/44-100,-275.705852803
S66x8/44-105,-275.705786326
S66x8/44-110,-275.705669475
S66x8/44-125,-275.705381049
S66x8/44-150,-275.705228836
S66x8/44-200,-275.705185494
S66x8/45-A,-77.1313408496
S66x8/45-B,-197.312807908
S66x8/45-090,-274.443485269
S66x8/45-095,-274.444211221
S66x8/45-100,-274.444465541
S66x8/45-105,-274.444492471
S66x8/45-110,-274.444431294
S66x8/45-125,-274.444172908
S66x8/45-150,-274.443969801
S66x8/45-200,-274.443809981
S66x8/46-A,-248.06566655
S66x8/46-B,-197.312706987
S66x8/46-090,-445.380069731
S66x8/46-095,-445.380609521
S66x8/46-100,-445.38067963
S66x8/46-105,-445.380516746
S66x8/46-110,-445.380251685
S66x8/46-125,-445.379485136
S66x8/46-150,-445.378796709
S66x8/46-200,-445.378523471
S66x8/47-A,-231.687225334
S66x8/47-B,-231.686874807
S66x8/47-090,-463.374418961
S66x8/47-095,-463.375766283
S66x8/47-100,-463.376236656
S66x8/47-105,-463.376278949
S66x8/47-110,-463.376129888
S66x8/47-125,-463.37550657
S66x8/47-150,-463.3749596
S66x8/47-200,-463.374653056
S66x8/48-A,-247.719668886
S66x8/48-B,-247.719565541
S66x8/48-090,-495.440893936
S66x8/48-095,-495.441949438
S66x8/48-100,-495.442265972
S66x8/48-105,-495.442203823
S66x8/48-110,-495.441967647
S66x8/48-125,-495.441122004
S66x8/48-150,-495.440287817
S66x8/48-200,-495.43970178
S66x8/49-A,-231.687221534
S66x8/49-B,-247.719705132
S66x8/49-090,-479.407866315
S66x8/49-095,-479.409192285
S66x8/49-100,-479.409611242
S66x8/49-105,-479.40958521
S66x8/49-110,-479.409365579
S66x8/49-125,-479.408553291
S66x8/49-150,-479.407788788
S66x8/49-200,-479.407269908
S66x8/50-A,-231.687192304
S66x8/50-B,-77.1314659743
S66x8/50-090,-308.821550486
S66x8/50-095,-308.821357443
S66x8/50-100,-308.821033809
S66x8/50-105,-308.820050733
S66x8/50-110,-308.819116272
S66x8/50-125,-308.818477593
S66x8/50-150,-308.820536643
S66x8/50-200,-308.821405994
S66x8/51-A,-77.1313641498
S66x8/51-B,-77.1314891405
S66x8/51-090,-154.264362152
S66x8/51-095,-154.264656771
S66x8/51-100,-154.264676325
S66x8/51-105,-154.264558569
S66x8/51-110,-154.264383449
S66x8/51-125,-154.263843552
S66x8/51-150,-154.263286394
S66x8/51-200,-154.262894157
S66x8/52-A,-231.687192145
S66x8/52-B,-228.71749086
S66x8/52-090,-460.410263801
S66x8/52-095,-460.410828663
S66x8/52-100,-460.410777962
S66x8/52-105,-460.410401701
S66x8/52-110,-460.409878833
S66x8/52-125,-460.40828313
S66x8/52-150,-460.40658635
S66x8/52-200,-460.405291561
S66x8/53-A,-231.687218003
S66x8/53-B,-208.849144519
S66x8/53-090,-440.540980332
S66x8/53-095,-440.541527296
S66x8/53-100,-440.541565865
S66x8/53-105,-440.541323053
S66x8/53-110,-440.540939095
S66x8/53-125,-440.539639007
S66x8/53-150,-440.538107946
S66x8/53-200,-440.536816584
S66x8/54-A,-231.687143876
S66x8/54-B,-76.3311998373
S66x8/54-090,-308.02305395
S66x8/54-095,-308.023346168
S66x8/54-100,-308.023204555
S66x8/54-105,-308.022853642
S66x8/54-110,-308.022426913
S66x8/54-125,-308.021222974
S66x8/54-150,-308.019976424
S66x8/54-200,-308.018960428
S66x8/55-A,-231.687073037
S66x8/55-B,-115.53399275
S66x8/55-090,-347.22540537
S66x8/55-095,-347.2260519
S66x8/55-100,-347.226112778
S66x8/55-105,-347.225864755
S66x8/55-110,-347.225470296
S66x8/55-125,-347.224209975
S66x8/55-150,-347.22285787
S66x8/55-200,-347.221796357
S66x8/56-A,-231.687217915
S66x8/56-B,-95.6710214478
S66x8/56-090,-327.360190842
S66x8/56-095,-327.360933278
S66x8/56-100,-327.361114961
S66x8/56-105,-327.360992696
S66x8/56-110,-327.360718722
S66x8/56-125,-327.359852428
S66x8/56-150,-327.359060346
S66x8/56-200,-327.358531028
S66x8/57-A,-231.687076997
S66x8/57-B,-248.065642331
S66x8/57-090,-479.756077586
S66x8/57-095,-479.75766825
S66x8/57-100,-479.758070277
S66x8/57-105,-479.757892002
S66x8/57-110,-479.757460137
S66x8/57-125,-479.756026183
S66x8/57-150,-479.754581339
S66x8/57-200,-479.753515116
S66x8/58-A,-247.719644072
S66x8/58-B,-247.719538314
S66x8/58-090,-495.443174038
S66x8/58-095,-495.444327972
S66x8/58-100,-495.444493799
S66x8/58-105,-495.443975239
S66x8/58-110,-495.443307517
S66x8/58-125,-495.441669915
S66x8/58-150,-495.440344595
S66x8/58-200,-495.439532926
S66x8/59-A,-77.1315904444
S66x8/59-B,-76.3313002394
S66x8/59-090,-153.467387433
S66x8/59-095,-153.467578194
S66x8/59-100,-153.467471222
S66x8/59-105,-153.467201118
S66x8/59-110,-153.466855443
S66x8/59-125,-153.465772913
S66x8/59-150,-153.464485838
S66x8/59-200,-153.463355561
S66x8/60-A,-77.131342043
S66x8/60-B,-228.717476231
S66x8/60-090,-305.856689218
S66x8/60-095,-305.856910719
S66x8/60-100,-305.856614983
S66x8/60-105,-305.856042806
S66x8/60-110,-305.855350844
S66x8/60-125,-305.853301133
S66x8/60-150,-305.851074018
S66x8/60-200,-305.84942286
S66x8/61-A,-197.312680741
S66x8/61-B,-228.717548975
S66x8/61-090,-426.031161505
S66x8/61-095,-426.031467004
S66x8/61-100,-426.031526277
S66x8/61-105,-426.031454436
S66x8/61-110,-426.031317799
S66x8/61-125,-426.030897233
S66x8/61-150,-426.030475882
S66x8/61-200,-426.030316897
S66x8/62-A,-197.312761157
S66x8/62-B,-208.849162891
S66x8/62-090,-406.163466053
S66x8/62-095,-406.1638928
S66x8/62-100,-406.163926566
S66x8/62-105,-406.163766926
S66x8/62-110,-406.163534411
S66x8/62-125,-406.162869838
S66x8/62-150,-406.162315217
S66x8/62-200,-406.162023551
S66x8/63-A,-231.687343355
S66x8/63-B,-228.717476367
S66x8/63-090,-460.406447678
S66x8/63-095,-460.407562073
S66x8/63-100,-460.407812832
S66x8/63-105,-460.407651846
S66x8/63-110,-460.407329909
S66x8/63-125,-460.406324561
S66x8/63-150,-460.405448492
S66x8/63-200,-460.404935692
S66x8/64-A,-248.065637095
S66x8/64-B,-78.3925259929
S66x8/64-090,-326.460098207
S66x8/64-095,-326.460525303
S66x8/64-100,-326.460573288
S66x8/64-105,-326.460424222
S66x8/64-110,-326.460186642
S66x8/64-125,-326.459451204
S66x8/64-150,-326.458666348
S66x8/64-200,-326.458153389
S66x8/65-A,-247.719811324
S66x8/65-B,-77.130523603
S66x8/65-090,-324.856917566
S66x8/65-095,-324.857262183
S66x8/65-100,-324.857208378
S66x8/65-105,-324.856923289
S66x8/65-110,-324.856517971
S66x8/65-125,-324.855159063
S66x8/65-150,-324.853501653
S66x8/65-200,-324.852155517
S66x8/66-A,-95.671034362
S66x8/66-B,-247.719748113
S66x8/66-090,-343.394310262
S66x8/66-095,-343.394806257
S66x8/66-100,-343.394862949
S66x8/66-105,-343.394674019
S66x8/66-110,-343.39436449
S66x8/66-125,-343.393323789
S66x8/66-150,-343.39215156
S66x8/66-200,-343.391292718
NCIBLIND10/01-A,-231.682935791
NCIBLIND10/01-B,-40.4178182925
NCIBLIND10/01-1,-272.099662471
NCIBLIND10/01-2,-272.101644598
NCIBLIND10/01-3,-272.101035491
NCIBLIND10/01-4,-272.100843228
NCIBLIND10/01-5,-272.100792915
NCIBLIND10/01-6,-272.100772632
NCIBLIND10/01-7,-272.100763632
NCIBLIND10/02-A,-231.686008087
NCIBLIND10/02-B,-76.3310052837
NCIBLIND10/02-1,-308.011787325
NCIBLIND10/02-2,-308.021617154
NCIBLIND10/02-3,-308.020987933
NCIBLIND10/02-4,-308.01964954
NCIBLIND10/02-5,-308.018788412
NCIBLIND10/02-6,-308.018252093
NCIBLIND10/02-7,-308.017654803
NCIBLIND10/02-8,-308.017383795
NCIBLIND10/02-9,-308.017244168
NCIBLIND10/03-A,-154.762101711
NCIBLIND10/03-B,-154.762057559
NCIBLIND10/03-1,-309.525412846
NCIBLIND10/03-2,-309.526915737
NCIBLIND10/03-3,-309.525297677
NCIBLIND10/03-4,-309.524609225
NCIBLIND10/03-5,-309.524383153
NCIBLIND10/03-6,-309.524288205
NCIBLIND10/03-7,-309.524243047
NCIBLIND10/04-A,-598.557189855
NCIBLIND10/04-B,-598.55875471
NCIBLIND10/04-1,-1197.12563442
