system,PBE0-2/def2-QZVP/ORCA
S66x8/18-110,-324.4092346237
S66x8/18-125,-324.4069491894
S66x8/18-150,-324.4038654521
S66x8/18-200,-324.4010086674
S66x8/19-A,-115.6257076314
S66x8/19-B,-248.0212346845
S66x8/19-090,-363.6581842388
S66x8/19-095,-363.6587900421
S66x8/19-100,-363.6587673101
S66x8/19-105,-363.6583545973
S66x8/19-110,-363.6576950692
S66x8/19-125,-363.6553610819
S66x8/19-150,-363.6519994595
S66x8/19-200,-363.648820771
S66x8/20-A,-228.8989939498
S66x8/20-B,-228.898991536
S66x8/20-090,-457.828500536
S66x8/20-095,-457.8299115191
S66x8/20-100,-457.8298093191
S66x8/20-105,-457.8287515292
S66x8/20-110,-457.827127516
S66x8/20-125,-457.8212187844
S66x8/20-150,-457.812402462
S66x8/20-200,-457.803607505
S66x8/21-A,-209.0327753038
S66x8/21-B,-209.0327788649
S66x8/21-090,-418.090647198
S66x8/21-095,-418.091892279
S66x8/21-100,-418.0918793304
S66x8/21-105,-418.0910729389
S66x8/21-110,-418.0897937882
S66x8/21-125,-418.0849714423
S66x8/21-150,-418.0779483887
S66x8/21-200,-418.0702952984
S66x8/22-A,-228.8988909331
S66x8/22-B,-414.45933845
S66x8/22-090,-643.3888882453
S66x8/22-095,-643.3902861993
S66x8/22-100,-643.3902554206
S66x8/22-105,-643.3893085072
S66x8/22-110,-643.3878073458
S66x8/22-125,-643.3820771269
S66x8/22-150,-643.3735185512
S66x8/22-200,-643.364677504
S66x8/23-A,-209.0327187863
S66x8/23-B,-414.4591326433
S66x8/23-090,-623.5216661551
S66x8/23-095,-623.5230110532
S66x8/23-100,-623.523055061
S66x8/23-105,-623.5222524432
S66x8/23-110,-623.5209265618
S66x8/23-125,-623.5157218372
S66x8/23-150,-623.5077261219
S66x8/23-200,-623.4991408999
S66x8/24-A,-231.9914678444
S66x8/24-B,-231.9914088103
S66x8/24-090,-463.9829487358
S66x8/24-095,-463.9855312865
S66x8/24-100,-463.9864223011
S66x8/24-105,-463.9864477081
S66x8/24-110,-463.9860897098
S66x8/24-125,-463.9846488147
S66x8/24-150,-463.9833486341
S66x8/24-200,-463.9828708905
S66x8/25-A,-248.0211993617
S66x8/25-B,-248.0212260214
S66x8/25-090,-496.0444864891
S66x8/25-095,-496.0470053492
S66x8/25-100,-496.0478366833
S66x8/25-105,-496.0478130997
S66x8/25-110,-496.047359028
S66x8/25-125,-496.0455886063
S66x8/25-150,-496.0437075178
S66x8/25-200,-496.0427382265
S66x8/26-A,-414.4600450141
S66x8/26-B,-414.4600450134
S66x8/26-090,-828.930940015
S66x8/26-095,-828.933337391
S66x8/26-100,-828.9338077747
S66x8/26-105,-828.9332525078
S66x8/26-110,-828.9321987661
S66x8/26-125,-828.9285700487
S66x8/26-150,-828.9245062714
S66x8/26-200,-828.921560038
S66x8/27-A,-231.9914488155
S66x8/27-B,-248.0212433519
S66x8/27-090,-480.013681514
S66x8/27-095,-480.0163981912
S66x8/27-100,-480.0172880917
S66x8/27-105,-480.0172475947
S66x8/27-110,-480.0168059763
S66x8/27-125,-480.0151617996
S66x8/27-150,-480.0135349919
S66x8/27-200,-480.0128052438
S66x8/28-A,-231.9913018607
S66x8/28-B,-414.4606480167
S66x8/28-090,-646.4566110669
S66x8/28-095,-646.4589784939
S66x8/28-100,-646.4596503052
S66x8/28-105,-646.4593502641
S66x8/28-110,-646.4586444234
S66x8/28-125,-646.4561556291
S66x8/28-150,-646.4536414807
S66x8/28-200,-646.4522014428
S66x8/29-A,-248.0211679111
S66x8/29-B,-414.4606737808
S66x8/29-090,-662.486841025
S66x8/29-095,-662.4902875693
S66x8/29-100,-662.4911341443
S66x8/29-105,-662.4907273633
S66x8/29-110,-662.4898586623
S66x8/29-125,-662.4869344315
S66x8/29-150,-662.4841231164
S66x8/29-200,-662.4824206051
S66x8/30-A,-231.9914369965
S66x8/30-B,-78.4948733159
S66x8/30-090,-310.4862373174
S66x8/30-095,-310.4874389792
S66x8/30-100,-310.4878218598
S66x8/30-105,-310.487805172
S66x8/30-110,-310.487617872
S66x8/30-125,-310.4869220999
S66x8/30-150,-310.4863643629
S66x8/30-200,-310.4862406346
S66x8/31-A,-414.4606936048
S66x8/31-B,-78.4947988232
S66x8/31-090,-492.9586054594
S66x8/31-095,-492.9595852973
S66x8/31-100,-492.9597999783
S66x8/31-105,-492.9596249219
S66x8/31-110,-492.9592709365
S66x8/31-125,-492.9580150282
S66x8/31-150,-492.956658141
S66x8/31-200,-492.9557690709
S66x8/32-A,-414.4607683589
S66x8/32-B,-77.2405001275
S66x8/32-090,-491.7047992646
S66x8/32-095,-491.7058861649
S66x8/32-100,-491.7061093714
S66x8/32-105,-491.7058784172
S66x8/32-110,-491.705448679
S66x8/32-125,-491.7039681245
S66x8/32-150,-491.7023726635
S66x8/32-200,-491.7013292174
S66x8/33-A,-248.0212715029
S66x8/33-B,-78.4948657546
S66x8/33-090,-326.5170941156
S66x8/33-095,-326.5180821275
S66x8/33-100,-326.5183832292
S66x8/33-105,-326.5183286362
S66x8/33-110,-326.5180980645
S66x8/33-125,-326.5172607801
S66x8/33-150,-326.516485037
S66x8/33-200,-326.5161487441
S66x8/34-A,-197.5495794026
S66x8/34-B,-197.5496610658
S66x8/34-090,-395.1015039712
S66x8/34-095,-395.1028033595
S66x8/34-100,-395.1032108024
S66x8/34-105,-395.1031713946
S66x8/34-110,-395.1028999755
S66x8/34-125,-395.1018430477
S66x8/34-150,-395.1005624398
S66x8/34-200,-395.0997542752
S66x8/35-A,-197.5496106528
S66x8/35-B,-197.5555744821
S66x8/35-090,-395.1064371542
S66x8/35-095,-395.1075439325
S66x8/35-100,-395.107865165
S66x8/35-105,-395.1078247383
S66x8/35-110,-395.1076137304
S66x8/35-125,-395.1068514037
S66x8/35-150,-395.1060017793
S66x8/35-200,-395.105470027
S66x8/36-A,-197.555568464
S66x8/36-B,-197.5555372285
S66x8/36-090,-395.1119161164
S66x8/36-095,-395.1124676443
S66x8/36-100,-395.1126548736
S66x8/36-105,-395.1126550203
S66x8/36-110,-395.1125402087
S66x8/36-125,-395.1120850401
S66x8/36-150,-395.1115413337
S66x8/36-200,-395.1111766859
S66x8/37-A,-196.3432614825
S66x8/37-B,-197.555637676
S66x8/37-090,-393.8996608237
S66x8/37-095,-393.9007548642
S66x8/37-100,-393.9011187541
S66x8/37-105,-393.9011261554
S66x8/37-110,-393.900987663
S66x8/37-125,-393.9003190106
S66x8/37-150,-393.8995199231
S66x8/37-200,-393.8989790298
S66x8/38-A,-196.343269365
S66x8/38-B,-196.3432718994
S66x8/38-090,-392.6880877185
S66x8/38-095,-392.6891206684
S66x8/38-100,-392.6894953575
S66x8/38-105,-392.689444101
S66x8/38-110,-392.6892376014
S66x8/38-125,-392.6883371062
S66x8/38-150,-392.6873521421
S66x8/38-200,-392.6867398887
S66x8/39-A,-231.9914175207
S66x8/39-B,-196.3432571534
S66x8/39-090,-428.337015597
S66x8/39-095,-428.3386149874
S66x8/39-100,-428.3391186714
S66x8/39-105,-428.3390081903
S66x8/39-110,-428.338614944
S66x8/39-125,-428.3372024089
S66x8/39-150,-428.3357552862
S66x8/39-200,-428.334879901
S66x8/40-A,-231.9914001997
S66x8/40-B,-197.5554397153
S66x8/40-090,-429.5489545435
S66x8/40-095,-429.5501866039
S66x8/40-100,-429.5505503213
S66x8/40-105,-429.5504550709
S66x8/40-110,-429.5501691439
S66x8/40-125,-429.5490808096
S66x8/40-150,-429.5479175987
S66x8/40-200,-429.5472191957
S66x8/41-A,-414.4606223031
S66x8/41-B,-197.5496755574
S66x8/41-090,-612.0142050342
S66x8/41-095,-612.015566853
S66x8/41-100,-612.0158782408
S66x8/41-105,-612.0156615845
S66x8/41-110,-612.015078779
S66x8/41-125,-612.0131360807
S66x8/41-150,-612.0113944678
S66x8/41-200,-612.0104979704
S66x8/42-A,-414.4606104269
S66x8/42-B,-196.3432326221
S66x8/42-090,-610.806677347
S66x8/42-095,-610.8081511164
S66x8/42-100,-610.8085048185
S66x8/42-105,-610.8083227913
S66x8/42-110,-610.8079151502
S66x8/42-125,-610.8064766712
S66x8/42-150,-610.8049939198
S66x8/42-200,-610.804101995
S66x8/43-A,-414.460677276
S66x8/43-B,-197.5556103659
S66x8/43-090,-612.0189311752
S66x8/43-095,-612.0201203459
S66x8/43-100,-612.0203893186
S66x8/43-105,-612.0201982375
S66x8/43-110,-612.0198133489
S66x8/43-125,-612.0185081229
S66x8/43-150,-612.0171601935
S66x8/43-200,-612.0163278547
S66x8/44-A,-78.4948662886
S66x8/44-B,-197.54958035
S66x8/44-090,-276.0460208276
S66x8/44-095,-276.0465627671
S66x8/44-100,-276.0466719228
S66x8/44-105,-276.0465850795
S66x8/44-110,-276.0463962523
S66x8/44-125,-276.0457799567
S66x8/44-150,-276.0451216847
S66x8/44-200,-276.0447240386
S66x8/45-A,-77.2405197719
S66x8/45-B,-197.5497144073
S66x8/45-090,-274.7910822621
S66x8/45-095,-274.7918712505
S66x8/45-100,-274.7921153569
S66x8/45-105,-274.7920720667
S66x8/45-110,-274.7918975928
S66x8/45-125,-274.7912705655
S66x8/45-150,-274.7906010107
S66x8/45-200,-274.7901845524
S66x8/46-A,-248.296542163
S66x8/46-B,-197.5496456772
S66x8/46-090,-445.8500501984
S66x8/46-095,-445.85082505
S66x8/46-100,-445.8510035982
S66x8/46-105,-445.8508537228
S66x8/46-110,-445.8505109933
S66x8/46-125,-445.8492658954
S66x8/46-150,-445.8476092498
S66x8/46-200,-445.8465616388
S66x8/47-A,-231.9913868838
S66x8/47-B,-231.9912460824
S66x8/47-090,-463.9850869278
S66x8/47-095,-463.986397954
S66x8/47-100,-463.9867646067
S66x8/47-105,-463.9866681941
S66x8/47-110,-463.9863490504
S66x8/47-125,-463.9851751
S66x8/47-150,-463.9839093026
S66x8/47-200,-463.9830897918
S66x8/48-A,-248.0211950675
S66x8/48-B,-248.0211339233
S66x8/48-090,-496.0460522546
S66x8/48-095,-496.0471198044
S66x8/48-100,-496.0473961614
S66x8/48-105,-496.0472536692
S66x8/48-110,-496.0468949998
S66x8/48-125,-496.0455840108
S66x8/48-150,-496.0440535464
S66x8/48-200,-496.0429275813
S66x8/49-A,-231.991383085
S66x8/49-B,-248.0211983754
S66x8/49-090,-480.0156773048
S66x8/49-095,-480.017004377
S66x8/49-100,-480.0173520201
S66x8/49-105,-480.0172165682
S66x8/49-110,-480.0168559713
S66x8/49-125,-480.0155342223
S66x8/49-150,-480.0140798088
S66x8/49-200,-480.0130734165
S66x8/50-A,-231.991378493
S66x8/50-B,-77.2405388641
S66x8/50-090,-309.235044468
S66x8/50-095,-309.2360231962
S66x8/50-100,-309.2362182685
S66x8/50-105,-309.2360097
S66x8/50-110,-309.2356398081
S66x8/50-125,-309.234396798
S66x8/50-150,-309.2330684427
S66x8/50-200,-309.2321388274
S66x8/51-A,-77.2405273804
S66x8/51-B,-77.2405536363
S66x8/51-090,-154.4830217143
S66x8/51-095,-154.4833617176
S66x8/51-100,-154.4834002886
S66x8/51-105,-154.4832770318
S66x8/51-110,-154.4830807066
S66x8/51-125,-154.482439221
S66x8/51-150,-154.4817379743
S66x8/51-200,-154.4812449495
S66x8/52-A,-231.9913803618
S66x8/52-B,-228.9009892916
S66x8/52-090,-460.8987188136
S66x8/52-095,-460.8995039622
S66x8/52-100,-460.8995776658
S66x8/52-105,-460.899260495
S66x8/52-110,-460.898753228
S66x8/52-125,-460.8969933555
S66x8/52-150,-460.8948723297
S66x8/52-200,-460.8931612418
S66x8/53-A,-231.991393933
S66x8/53-B,-209.0337733851
S66x8/53-090,-441.0308395051
S66x8/53-095,-441.0314876355
S66x8/53-100,-441.0315766195
S66x8/53-105,-441.0313361343
S66x8/53-110,-441.0309238995
S66x8/53-125,-441.0294454269
S66x8/53-150,-441.02751487
S66x8/53-200,-441.0258009655
S66x8/54-A,-231.9913590022
S66x8/54-B,-76.3781059279
S66x8/54-090,-308.3742528377
S66x8/54-095,-308.3747663916
S66x8/54-100,-308.3747647409
S66x8/54-105,-308.3744932247
S66x8/54-110,-308.3740912307
S66x8/54-125,-308.3728057214
S66x8/54-150,-308.3713137051
S66x8/54-200,-308.3700983795
S66x8/55-A,-231.9913319473
S66x8/55-B,-115.6260533348
S66x8/55-090,-347.6227580694
S66x8/55-095,-347.6235677015
S66x8/55-100,-347.6237058314
S66x8/55-105,-347.6234815884
S66x8/55-110,-347.6230692599
S66x8/55-125,-347.6215614103
S66x8/55-150,-347.619715423
S66x8/55-200,-347.6182073713
S66x8/56-A,-231.9913851971
S66x8/56-B,-95.7650500007
S66x8/56-090,-327.7599132608
S66x8/56-095,-327.7607379142
S66x8/56-100,-327.7609271724
S66x8/56-105,-327.7607516706
S66x8/56-110,-327.7603861534
S66x8/56-125,-327.7591211858
S66x8/56-150,-327.757750876
S66x8/56-200,-327.7567994839
S66x8/57-A,-231.991329015
S66x8/57-B,-248.296515185
S66x8/57-090,-480.2934132856
S66x8/57-095,-480.2951233878
S66x8/57-100,-480.2955364277
S66x8/57-105,-480.2952844579
S66x8/57-110,-480.2947396578
S66x8/57-125,-480.2927605218
S66x8/57-150,-480.2904982994
S66x8/57-200,-480.2887918459
S66x8/58-A,-248.0211447978
S66x8/58-B,-248.0211078079
S66x8/58-090,-496.0467076454
S66x8/58-095,-496.0480667449
S66x8/58-100,-496.0483999265
S66x8/58-105,-496.0479362057
S66x8/58-110,-496.0472544161
S66x8/58-125,-496.0454063885
S66x8/58-150,-496.0437419397
S66x8/58-200,-496.0426826197
S66x8/59-A,-77.2405455044
S66x8/59-B,-76.3781432252
S66x8/59-090,-153.6231756403
S66x8/59-095,-153.6234921048
S66x8/59-100,-153.6234799646
S66x8/59-105,-153.623278226
S66x8/59-110,-153.6229753503
S66x8/59-125,-153.621934669
S66x8/59-150,-153.6206144544
S66x8/59-200,-153.6194522418
S66x8/60-A,-77.2404975297
S66x8/60-B,-228.9009537498
S66x8/60-090,-306.148630299
S66x8/60-095,-306.1491845311
S66x8/60-100,-306.1491395911
S66x8/60-105,-306.1487584672
S66x8/60-110,-306.1482042544
S66x8/60-125,-306.1463205493
S66x8/60-150,-306.1440206149
S66x8/60-200,-306.1421808355
S66x8/61-A,-197.5496409512
S66x8/61-B,-228.9010874156
S66x8/61-090,-426.4534356982
S66x8/61-095,-426.4538405371
S66x8/61-100,-426.4539198425
S66x8/61-105,-426.4538074924
S66x8/61-110,-426.4535881358
S66x8/61-125,-426.4527970533
S66x8/61-150,-426.451648805
S66x8/61-200,-426.450951699
S66x8/62-A,-197.5496879975
S66x8/62-B,-209.0338365243
S66x8/62-090,-406.5868328608
S66x8/62-095,-406.5874316285
S66x8/62-100,-406.5875516509
S66x8/62-105,-406.5873855809
S66x8/62-110,-406.5870711313
S66x8/62-125,-406.5860083229
S66x8/62-150,-406.5847483008
S66x8/62-200,-406.5838398473
S66x8/63-A,-231.9914341568
S66x8/63-B,-228.9010255208
S66x8/63-090,-460.8960919667
S66x8/63-095,-460.8973169991
S66x8/63-100,-460.8975875728
S66x8/63-105,-460.8973682887
S66x8/63-110,-460.8969225909
S66x8/63-125,-460.895413502
S66x8/63-150,-460.8937970249
S66x8/63-200,-460.8927630918
S66x8/64-A,-248.2965359293
S66x8/64-B,-78.4948654882
S66x8/64-090,-326.7945649117
S66x8/64-095,-326.7951153919
S66x8/64-100,-326.7952102149
S66x8/64-105,-326.7950612968
S66x8/64-110,-326.7947885097
S66x8/64-125,-326.7937941254
S66x8/64-150,-326.792526613
S66x8/64-200,-326.7916153557
S66x8/65-A,-248.0212466
S66x8/65-B,-77.2401494151
S66x8/65-090,-325.2677433937
S66x8/65-095,-325.2681543857
S66x8/65-100,-325.2681483812
S66x8/65-105,-325.2678912164
S66x8/65-110,-325.2674968388
S66x8/65-125,-325.2660984626
S66x8/65-150,-325.2642818284
S66x8/65-200,-325.2627010854
S66x8/66-A,-95.7650645694
S66x8/66-B,-248.0212286117
S66x8/66-090,-343.7911298157
S66x8/66-095,-343.7917089413
S66x8/66-100,-343.7918039452
S66x8/66-105,-343.7916175604
S66x8/66-110,-343.7912738073
S66x8/66-125,-343.7899891988
S66x8/66-150,-343.7883284443
S66x8/66-200,-343.7869382208
