system,MN12-sx/def2-QZVP/Turbomole7.5.1
S22x5/10-1.0,-308.5694389523
S22x5/10-1.2,-308.5679575937
S22x5/10-1.5,-308.5662530427
S22x5/10-2.0,-308.5653398827
S22x5/11-A,-232.1537874988
S22x5/11-B,-56.5334276284
S22x5/11-0.9,-288.6895480964
S22x5/11-1.0,-288.6901576935
S22x5/11-1.2,-288.6889970152
S22x5/11-1.5,-288.6879516217
S22x5/11-2.0,-288.6875544141
S22x5/12-A,-232.1538168354
S22x5/12-B,-40.48572339
S22x5/12-0.9,-272.6403968693
S22x5/12-1.0,-272.6411193038
S22x5/12-1.2,-272.640301009
S22x5/12-1.5,-272.6396595197
S22x5/12-2.0,-272.6396308302
S22x5/13-A,-232.1537950506
S22x5/13-B,-232.1537833051
S22x5/13-0.9,-464.3084907838
S22x5/13-1.0,-464.3099779767
S22x5/13-1.2,-464.30929604
S22x5/13-1.5,-464.3080127972
S22x5/13-2.0,-464.307843001
S22x5/14-A,-232.153816314
S22x5/14-B,-232.153816314
S22x5/14-0.9,-464.3057317158
S22x5/14-1.0,-464.310820864
S22x5/14-1.2,-464.308677398
S22x5/14-1.5,-464.3074544912
S22x5/14-2.0,-464.3075764491
S22x5/15-A,-232.1537194258
S22x5/15-B,-363.6900291526
S22x5/15-0.9,-595.8481585755
S22x5/15-1.0,-595.8500940209
S22x5/15-1.2,-595.8489128319
S22x5/15-1.5,-595.8462181542
S22x5/15-2.0,-595.8449461574
S22x5/16-A,-232.1537880563
S22x5/16-B,-363.6900036007
S22x5/16-0.9,-595.8427046121
S22x5/16-1.0,-595.8494324212
S22x5/16-1.2,-595.8464255572
S22x5/16-1.5,-595.8433292599
S22x5/16-2.0,-595.8436000204
S22x5/17-A,-264.2236152775
S22x5/17-B,-264.2235985555
S22x5/17-0.9,-528.4459942198
S22x5/17-1.0,-528.4518422649
S22x5/17-1.2,-528.449296633
S22x5/17-1.5,-528.4476049026
S22x5/17-2.0,-528.4473551164
S22x5/18-A,-323.4167102715
S22x5/18-B,-303.5441493642
S22x5/18-0.9,-626.98016957
S22x5/18-1.0,-626.9834657533
S22x5/18-1.2,-626.9807084768
S22x5/18-1.5,-626.9722409325
S22x5/18-2.0,-626.965289709
S22x5/19-A,-307.3702634922
S22x5/19-B,-307.3700961201
S22x5/19-0.9,-614.7473228593
S22x5/19-1.0,-614.7489736464
S22x5/19-1.2,-614.7473665684
S22x5/19-1.5,-614.743685231
S22x5/19-2.0,-614.741764215
S22x5/20-A,-414.7124814231
S22x5/20-B,-414.7124814231
S22x5/20-0.9,-829.4318097099
S22x5/20-1.0,-829.4376594735
S22x5/20-1.2,-829.4311611007
S22x5/20-1.5,-829.4274079018
S22x5/20-2.0,-829.4258854417
S22x5/21-A,-414.7117736308
S22x5/21-B,-414.7117736308
S22x5/21-0.9,-829.4495975188
S22x5/21-1.0,-829.4529899056
S22x5/21-1.2,-829.4489768169
S22x5/21-1.5,-829.4385664204
S22x5/21-2.0,-829.4300832412
S22x5/22-A,-232.153723479
S22x5/22-B,-93.3925621087
S22x5/22-0.9,-325.5516210315
S22x5/22-1.0,-325.5526918467
S22x5/22-1.2,-325.5511473269
S22x5/22-1.5,-325.548724159
S22x5/22-2.0,-325.5474751514
S66x8/01-A,-76.4109982821
S66x8/01-B,-76.4109815904
S66x8/01-090,-152.8284940786
S66x8/01-095,-152.8291736108
S66x8/01-100,-152.8293282453
S66x8/01-105,-152.8291458207
S66x8/01-110,-152.8287555721
S66x8/01-125,-152.8271585509
S66x8/01-150,-152.8250664668
S66x8/01-200,-152.8233966026
S66x8/02-A,-76.4110083731
S66x8/02-B,-115.6835302731
S66x8/02-090,-192.1009728064
S66x8/02-095,-192.1018078772
S66x8/02-100,-192.102059615
S66x8/02-105,-192.1019334809
S66x8/02-110,-192.1015670391
S66x8/02-125,-192.0999223711
S66x8/02-150,-192.0976356007
S66x8/02-200,-192.0958954452
S66x8/03-A,-76.4110242077
S66x8/03-B,-95.811240278
S66x8/03-090,-172.2302198827
S66x8/03-095,-172.2311407291
S66x8/03-100,-172.2314576946
S66x8/03-105,-172.2313692489
S66x8/03-110,-172.2310187346
S66x8/03-125,-172.2292486005
S66x8/03-150,-172.2263421489
S66x8/03-200,-172.2237783481
S66x8/04-A,-76.4110221389
S66x8/04-B,-248.4336087453
S66x8/04-090,-324.8549827273
S66x8/04-095,-324.8558633678
S66x8/04-100,-324.8560815078
S66x8/04-105,-324.8558598437
S66x8/04-110,-324.8553521748
S66x8/04-125,-324.8531051156
S66x8/04-150,-324.8497077812
S66x8/04-200,-324.8466360005
S66x8/05-A,-115.6836904934
S66x8/05-B,-115.6835628595
S66x8/05-090,-231.3737265654
S66x8/05-095,-231.3746404082
S66x8/05-100,-231.3749539855
S66x8/05-105,-231.3748744997
S66x8/05-110,-231.3745441984
S66x8/05-125,-231.3729429279
S66x8/05-150,-231.3705952766
S66x8/05-200,-231.3687593109
S66x8/06-A,-115.6835256089
S66x8/06-B,-95.8112279856
S66x8/06-090,-211.503361463
S66x8/06-095,-211.5044118603
S66x8/06-100,-211.5047922209
S66x8/06-105,-211.5047079293
S66x8/06-110,-211.5043695226
S66x8/06-125,-211.5025448201
S66x8/06-150,-211.499463373
S66x8/06-200,-211.4966324579
S66x8/07-A,-115.6835948512
S66x8/07-B,-248.4336125552
S66x8/07-090,-364.1274925984
S66x8/07-095,-364.1285237651
S66x8/07-100,-364.1288514678
S66x8/07-105,-364.1287010006
S66x8/07-110,-364.1282421567
S66x8/07-125,-364.1260385469
S66x8/07-150,-364.1220583856
S66x8/07-200,-364.1188762008
S66x8/08-A,-115.6837080145
S66x8/08-B,-76.4109875957
S66x8/08-090,-192.1012475751
S66x8/08-095,-192.101999946
S66x8/08-100,-192.1022063362
S66x8/08-105,-192.1020611159
S66x8/08-110,-192.1016948237
S66x8/08-125,-192.1001160153
S66x8/08-150,-192.0979607736
S66x8/08-200,-192.0962435376
S66x8/09-A,-95.8112588487
S66x8/09-B,-115.6836364824
S66x8/09-090,-211.4977441562
S66x8/09-095,-211.4982536092
S66x8/09-100,-211.4983473217
S66x8/09-105,-211.498217146
S66x8/09-110,-211.4979451821
S66x8/09-125,-211.4970435121
S66x8/09-150,-211.4961825845
S66x8/09-200,-211.4955406464
S66x8/10-A,-95.8113031527
S66x8/10-B,-95.8112177183
S66x8/10-090,-191.6266975281
S66x8/10-095,-191.6275420803
S66x8/10-100,-191.6277808822
S66x8/10-105,-191.627627068
S66x8/10-110,-191.6272385006
S66x8/10-125,-191.6257419149
S66x8/10-150,-191.6239136057
S66x8/10-200,-191.6230696914
S66x8/11-A,-95.8111500309
S66x8/11-B,-248.4337943327
S66x8/11-090,-344.2513081227
S66x8/11-095,-344.2521412984
S66x8/11-100,-344.2523098034
S66x8/11-105,-344.2520577654
S66x8/11-110,-344.2515509598
S66x8/11-125,-344.248585222
S66x8/11-150,-344.2465529666
S66x8/11-200,-344.245689728
S66x8/12-A,-95.8111704907
S66x8/12-B,-76.4105509452
S66x8/12-090,-172.2303709563
S66x8/12-095,-172.2314009589
S66x8/12-100,-172.2317659341
S66x8/12-105,-172.2316878093
S66x8/12-110,-172.23132079
S66x8/12-125,-172.2294399918
S66x8/12-150,-172.2263683539
S66x8/12-200,-172.2237284888
S66x8/13-A,-248.4338277841
S66x8/13-B,-115.6835864542
S66x8/13-090,-364.1244279344
S66x8/13-095,-364.1253532818
S66x8/13-100,-364.1256454555
S66x8/13-105,-364.1255250839
S66x8/13-110,-364.1251318641
S66x8/13-125,-364.1233561523
S66x8/13-150,-364.1209864373
S66x8/13-200,-364.1192963283
S66x8/14-A,-248.4336493217
S66x8/14-B,-95.8111991639
S66x8/14-090,-344.2531386342
S66x8/14-095,-344.2542393417
S66x8/14-100,-344.2546724464
S66x8/14-105,-344.2546392777
S66x8/14-110,-344.2542902542
S66x8/14-125,-344.2524471558
S66x8/14-150,-344.2494015884
S66x8/14-200,-344.2468974623
S66x8/15-A,-248.4335670937
S66x8/15-B,-248.4335718898
S66x8/15-090,-496.877476152
S66x8/15-095,-496.8785314608
S66x8/15-100,-496.8788743815
S66x8/15-105,-496.8787287145
S66x8/15-110,-496.8782548969
S66x8/15-125,-496.8760049167
S66x8/15-150,-496.8725705203
S66x8/15-200,-496.8696023482
S66x8/16-A,-248.433728852
S66x8/16-B,-76.4109921435
S66x8/16-090,-324.8513366252
S66x8/16-095,-324.8520624252
S66x8/16-100,-324.8522433777
S66x8/16-105,-324.8520658673
S66x8/16-110,-324.8516748089
S66x8/16-125,-324.8501148079
S66x8/16-150,-324.8481657906
S66x8/16-200,-324.8465733287
S66x8/17-A,-414.7119424459
S66x8/17-B,-414.7121320121
S66x8/17-090,-829.4457150525
S66x8/17-095,-829.4478712414
S66x8/17-100,-829.4486487759
S66x8/17-105,-829.4484803337
S66x8/17-110,-829.4476720798
S66x8/17-125,-829.4433475785
S66x8/17-150,-829.4357145997
S66x8/17-200,-829.4287528509
S66x8/18-A,-76.4110131886
S66x8/18-B,-248.1903991227
S66x8/18-090,-324.6087510493
S66x8/18-095,-324.6097503624
S66x8/18-100,-324.6101264552
S66x8/18-105,-324.6100815648
S66x8/18-110,-324.6097631803
S66x8/18-125,-324.6080585679
S66x8/18-150,-324.6052656315
S66x8/18-200,-324.602917275
S66x8/19-A,-115.6835133652
S66x8/19-B,-248.1903932359
S66x8/19-090,-363.881583284
S66x8/19-095,-363.8827547642
S66x8/19-100,-363.8832494891
S66x8/19-105,-363.8832864213
S66x8/19-110,-363.8828392356
S66x8/19-125,-363.8813240934
S66x8/19-150,-363.8781276742
S66x8/19-200,-363.8754905042
S66x8/20-A,-229.0251459372
S66x8/20-B,-229.0251449338
S66x8/20-090,-458.0757767743
S66x8/20-095,-458.0781099093
S66x8/20-100,-458.0788773291
S66x8/20-105,-458.0786055546
S66x8/20-110,-458.0776522926
S66x8/20-125,-458.072819933
S66x8/20-150,-458.0641869484
S66x8/20-200,-458.0554803937
S66x8/21-A,-209.148055463
S66x8/21-B,-209.1480589749
S66x8/21-090,-418.3169494331
S66x8/21-095,-418.3190259901
S66x8/21-100,-418.3197653406
S66x8/21-105,-418.3195842113
S66x8/21-110,-418.3187881122
S66x8/21-125,-418.3146183709
S66x8/21-150,-418.3075119928
S66x8/21-200,-418.3006040173
S66x8/22-A,-229.0251131977
S66x8/22-B,-414.7118638854
S66x8/22-090,-643.7626317915
S66x8/22-095,-643.7649064289
S66x8/22-100,-643.7657072785
S66x8/22-105,-643.7655040125
S66x8/22-110,-643.7646205038
S66x8/22-125,-643.7599532347
S66x8/22-150,-643.7514958802
S66x8/22-200,-643.7429726689
S66x8/23-A,-209.1479279585
S66x8/23-B,-414.7117319236
S66x8/23-090,-623.8847563791
S66x8/23-095,-623.8868895582
S66x8/23-100,-623.88767389
S66x8/23-105,-623.8875227367
S66x8/23-110,-623.8867315676
S66x8/23-125,-623.8824111612
S66x8/23-150,-623.8745037647
S66x8/23-200,-623.8664473853
S66x8/24-A,-232.153860954
S66x8/24-B,-232.1538168877
S66x8/24-090,-464.306270642
S66x8/24-095,-464.3097349749
S66x8/24-100,-464.3108837726
S66x8/24-105,-464.3108164364
S66x8/24-110,-464.3102074
S66x8/24-125,-464.3080430886
S66x8/24-150,-464.3074712031
S66x8/24-200,-464.3076080008
S66x8/25-A,-248.1903569095
S66x8/25-B,-248.1904000384
S66x8/25-090,-496.3803822704
S66x8/25-095,-496.3839266986
S66x8/25-100,-496.3852103558
S66x8/25-105,-496.3852246802
S66x8/25-110,-496.3846124203
S66x8/25-125,-496.3823033599
S66x8/25-150,-496.3811066238
S66x8/25-200,-496.3809382643
S66x8/26-A,-414.7124815031
S66x8/26-B,-414.7124815032
S66x8/26-090,-829.4339417473
S66x8/26-095,-829.4370422262
S66x8/26-100,-829.4376596187
S66x8/26-105,-829.436919953
S66x8/26-110,-829.4354687904
S66x8/26-125,-829.4308829924
S66x8/26-150,-829.4277402666
S66x8/26-200,-829.4262440008
S66x8/27-A,-232.1538564495
S66x8/27-B,-248.1904154226
S66x8/27-090,-480.3432076478
S66x8/27-095,-480.3469681112
S66x8/27-100,-480.3482201629
S66x8/27-105,-480.3481503471
S66x8/27-110,-480.3474959348
S66x8/27-125,-480.3452277061
S66x8/27-150,-480.3443127885
S66x8/27-200,-480.3442775017
S66x8/28-A,-232.1536798159
S66x8/28-B,-414.7130993747
S66x8/28-090,-646.8696597192
S66x8/28-095,-646.8729000984
S66x8/28-100,-646.8738463342
S66x8/28-105,-646.8734722375
S66x8/28-110,-646.8724658309
S66x8/28-125,-646.8690623067
S66x8/28-150,-646.8671999418
S66x8/28-200,-646.8669251623
S66x8/29-A,-248.1903189434
S66x8/29-B,-414.7131033048
S66x8/29-090,-662.9059007853
S66x8/29-095,-662.9105374921
S66x8/29-100,-662.9117493554
S66x8/29-105,-662.9111986275
S66x8/29-110,-662.9099571614
S66x8/29-125,-662.9062032092
S66x8/29-150,-662.9045993705
S66x8/29-200,-662.9038357564
S66x8/30-A,-232.15383842
S66x8/30-B,-78.5458854004
S66x8/30-090,-310.6996417375
S66x8/30-095,-310.7012255756
S66x8/30-100,-310.7016384028
S66x8/30-105,-310.7014383788
S66x8/30-110,-310.7009652388
S66x8/30-125,-310.6996473459
S66x8/30-150,-310.6993924449
S66x8/30-200,-310.6996426989
S66x8/31-A,-414.713149444
S66x8/31-B,-78.5458868223
S66x8/31-090,-493.2618792926
S66x8/31-095,-493.2630968076
S66x8/31-100,-493.263260718
S66x8/31-105,-493.2628897662
S66x8/31-110,-493.2622679898
S66x8/31-125,-493.260467143
S66x8/31-150,-493.259513099
S66x8/31-200,-493.2591918779
S66x8/32-A,-414.7132170313
S66x8/32-B,-77.2993097671
S66x8/32-090,-492.0156440706
S66x8/32-095,-492.017086054
S66x8/32-100,-492.0173676576
S66x8/32-105,-492.0170146496
S66x8/32-110,-492.0163715702
S66x8/32-125,-492.0143624848
S66x8/32-150,-492.0130774387
S66x8/32-200,-492.0125379331
S66x8/33-A,-248.1904384113
S66x8/33-B,-78.5458380678
S66x8/33-090,-326.7369202923
S66x8/33-095,-326.7383085446
S66x8/33-100,-326.7386837221
S66x8/33-105,-326.7384986215
S66x8/33-110,-326.7380575222
S66x8/33-125,-326.7366447914
S66x8/33-150,-326.7361630036
S66x8/33-200,-326.7362894
S66x8/34-A,-197.6537745438
S66x8/34-B,-197.6537088232
S66x8/34-090,-395.3110601367
S66x8/34-095,-395.3120457568
S66x8/34-100,-395.3118417099
S66x8/34-105,-395.3110694885
S66x8/34-110,-395.3100295459
S66x8/34-125,-395.3076813325
S66x8/34-150,-395.3076144565
S66x8/34-200,-395.3078793725
S66x8/35-A,-197.6537499738
S66x8/35-B,-197.6588537877
S66x8/35-090,-395.3138708522
S66x8/35-095,-395.3149433789
S66x8/35-100,-395.3149110717
S66x8/35-105,-395.3144101695
S66x8/35-110,-395.3137412662
S66x8/35-125,-395.3124231197
S66x8/35-150,-395.3124994346
S66x8/35-200,-395.3126391517
S66x8/36-A,-197.6588770635
S66x8/36-B,-197.6589087257
S66x8/36-090,-395.3183711006
S66x8/36-095,-395.3187127687
S66x8/36-100,-395.3185229251
S66x8/36-105,-395.3181713301
S66x8/36-110,-395.3177518595
S66x8/36-125,-395.3170965108
S66x8/36-150,-395.3172937632
S66x8/36-200,-395.3174258512
S66x8/37-A,-196.4521394114
S66x8/37-B,-197.6588365456
S66x8/37-090,-394.1116505104
S66x8/37-095,-394.1128183423
S66x8/37-100,-394.1129626547
S66x8/37-105,-394.1125827559
S66x8/37-110,-394.1120647442
S66x8/37-125,-394.1108272082
S66x8/37-150,-394.1107103522
S66x8/37-200,-394.1109045179
S66x8/38-A,-196.4521375786
S66x8/38-B,-196.4521459469
S66x8/38-090,-392.905344968
S66x8/38-095,-392.9065443948
S66x8/38-100,-392.9067091907
S66x8/38-105,-392.9061995244
S66x8/38-110,-392.9055321143
S66x8/38-125,-392.9040018662
S66x8/38-150,-392.9041472835
S66x8/38-200,-392.904350979
S66x8/39-A,-232.1538225813
S66x8/39-B,-196.4521130369
S66x8/39-090,-428.6075191249
S66x8/39-095,-428.6096140407
S66x8/39-100,-428.61015468
S66x8/39-105,-428.6098201692
S66x8/39-110,-428.6090386004
S66x8/39-125,-428.6068632839
S66x8/39-150,-428.6060327813
S66x8/39-200,-428.6060253206
S66x8/40-A,-232.1538065593
S66x8/40-B,-197.6589005021
S66x8/40-090,-429.8139406905
S66x8/40-095,-429.8154639587
S66x8/40-100,-429.8157679372
S66x8/40-105,-429.8154308395
S66x8/40-110,-429.8148124931
S66x8/40-125,-429.8131459365
S66x8/40-150,-429.8126304174
S66x8/40-200,-429.8126453473
S66x8/41-A,-414.7131057242
S66x8/41-B,-197.6538311862
S66x8/41-090,-612.3705698458
S66x8/41-095,-612.3720208928
S66x8/41-100,-612.3720249683
S66x8/41-105,-612.3712895308
S66x8/41-110,-612.370049146
S66x8/41-125,-612.3672995927
S66x8/41-150,-612.3670869922
S66x8/41-200,-612.3670092286
S66x8/42-A,-414.7131176725
S66x8/42-B,-196.4521056761
S66x8/42-090,-611.1670979761
S66x8/42-095,-611.1688243423
S66x8/42-100,-611.1690240237
S66x8/42-105,-611.1684531379
S66x8/42-110,-611.1676310386
S66x8/42-125,-611.1655840869
S66x8/42-150,-611.1652729877
S66x8/42-200,-611.1653099623
S66x8/43-A,-414.7131736267
S66x8/43-B,-197.6587687457
S66x8/43-090,-612.3740314144
S66x8/43-095,-612.3753098199
S66x8/43-100,-612.3753368459
S66x8/43-105,-612.3747791448
S66x8/43-110,-612.3740303896
S66x8/43-125,-612.3723226145
S66x8/43-150,-612.3719942775
S66x8/43-200,-612.3718556513
S66x8/44-A,-78.5458842183
S66x8/44-B,-197.6538195037
S66x8/44-090,-276.2016609416
S66x8/44-095,-276.2019743401
S66x8/44-100,-276.201697363
S66x8/44-105,-276.201200477
S66x8/44-110,-276.2006313349
S66x8/44-125,-276.1996818707
S66x8/44-150,-276.199802673
S66x8/44-200,-276.1998376822
S66x8/45-A,-77.2993237489
S66x8/45-B,-197.6538034516
S66x8/45-090,-274.9540945151
S66x8/45-095,-274.954853734
S66x8/45-100,-274.9548771504
S66x8/45-105,-274.9545724612
S66x8/45-110,-274.9541611725
S66x8/45-125,-274.9532067425
S66x8/45-150,-274.9530863929
S66x8/45-200,-274.9529694708
S66x8/46-A,-248.4337679475
S66x8/46-B,-197.6537552263
S66x8/46-090,-446.092162598
S66x8/46-095,-446.092680038
S66x8/46-100,-446.0923759647
S66x8/46-105,-446.0916534996
S66x8/46-110,-446.0907614031
S66x8/46-125,-446.0885716585
S66x8/46-150,-446.0878178857
S66x8/46-200,-446.0877969825
S66x8/47-A,-232.1537857722
S66x8/47-B,-232.1536455434
S66x8/47-090,-464.3078546775
S66x8/47-095,-464.3097586109
S66x8/47-100,-464.3103822973
S66x8/47-105,-464.3103140174
S66x8/47-110,-464.309930568
S66x8/47-125,-464.308528839
S66x8/47-150,-464.3079175863
S66x8/47-200,-464.307777273
S66x8/48-A,-248.1903572272
S66x8/48-B,-248.1903044887
S66x8/48-090,-496.3822426326
S66x8/48-095,-496.3838576792
S66x8/48-100,-496.3843657608
S66x8/48-105,-496.3842557263
S66x8/48-110,-496.3838120646
S66x8/48-125,-496.3822194131
S66x8/48-150,-496.3813904875
S66x8/48-200,-496.3811087295
S66x8/49-A,-232.1537863403
S66x8/49-B,-248.1903612358
S66x8/49-090,-480.3450595555
S66x8/49-095,-480.3470078802
S66x8/49-100,-480.3476542569
S66x8/49-105,-480.3475700475
S66x8/49-110,-480.3471629348
S66x8/49-125,-480.3456187176
S66x8/49-150,-480.3448099276
S66x8/49-200,-480.344497416
S66x8/50-A,-232.1537691957
S66x8/50-B,-77.2993966658
S66x8/50-090,-309.4548257946
S66x8/50-095,-309.4562349903
S66x8/50-100,-309.4565956355
S66x8/50-105,-309.456398875
S66x8/50-110,-309.4559498884
S66x8/50-125,-309.4546056392
S66x8/50-150,-309.4538199546
S66x8/50-200,-309.4532661072
S66x8/51-A,-77.2993383195
S66x8/51-B,-77.2994124726
S66x8/51-090,-154.5999567307
S66x8/51-095,-154.6004835021
S66x8/51-100,-154.6006019596
S66x8/51-105,-154.6005021324
S66x8/51-110,-154.6003007752
S66x8/51-125,-154.5996977416
S66x8/51-150,-154.5992628944
S66x8/51-200,-154.5988829168
S66x8/52-A,-232.1537672513
S66x8/52-B,-229.026922354
S66x8/52-090,-461.1850522681
S66x8/52-095,-461.1863128135
S66x8/52-100,-461.1866659426
S66x8/52-105,-461.1864837205
S66x8/52-110,-461.1860122701
S66x8/52-125,-461.1841562416
S66x8/52-150,-461.1823498923
S66x8/52-200,-461.1813354112
S66x8/53-A,-232.1537734681
S66x8/53-B,-209.1490324423
S66x8/53-090,-441.3068383999
S66x8/53-095,-441.3078800016
S66x8/53-100,-441.3081753254
S66x8/53-105,-441.3080052251
S66x8/53-110,-441.307570561
S66x8/53-125,-441.3059440708
S66x8/53-150,-441.3042944394
S66x8/53-200,-441.3033420902
S66x8/54-A,-232.1537510351
S66x8/54-B,-76.4109051105
S66x8/54-090,-308.5685380253
S66x8/54-095,-308.5693248389
S66x8/54-100,-308.5694406765
S66x8/54-105,-308.5691737514
S66x8/54-110,-308.5687378985
S66x8/54-125,-308.5673371259
S66x8/54-150,-308.5661208292
S66x8/54-200,-308.5652372763
S66x8/55-A,-232.153722131
S66x8/55-B,-115.6837218202
S66x8/55-090,-347.8417693659
S66x8/55-095,-347.8429252996
S66x8/55-100,-347.8432020974
S66x8/55-105,-347.8429656233
S66x8/55-110,-347.8424554785
S66x8/55-125,-347.8406073563
S66x8/55-150,-347.8390103146
S66x8/55-200,-347.8381475572
S66x8/56-A,-232.1537819221
S66x8/56-B,-95.811241503
S66x8/56-090,-327.9679152015
S66x8/56-095,-327.9689852393
S66x8/56-100,-327.9692169377
S66x8/56-105,-327.9689468451
S66x8/56-110,-327.968393577
S66x8/56-125,-327.9667535032
S66x8/56-150,-327.9657953246
S66x8/56-200,-327.9653513579
S66x8/57-A,-232.1537279873
S66x8/57-B,-248.4337849252
S66x8/57-090,-480.5915645769
S66x8/57-095,-480.593811589
S66x8/57-100,-480.5944018059
S66x8/57-105,-480.5940859615
S66x8/57-110,-480.5933360325
S66x8/57-125,-480.5908373732
S66x8/57-150,-480.5891121047
S66x8/57-200,-480.5882782787
S66x8/58-A,-248.1903436847
S66x8/58-B,-248.1902553041
S66x8/58-090,-496.3814377448
S66x8/58-095,-496.3837277074
S66x8/58-100,-496.3848302365
S66x8/58-105,-496.384672197
S66x8/58-110,-496.3840767638
S66x8/58-125,-496.3823829201
S66x8/58-150,-496.3815153064
S66x8/58-200,-496.380944587
S66x8/59-A,-77.2994615915
S66x8/59-B,-76.4109812854
S66x8/59-090,-153.7140510036
S66x8/59-095,-153.7145190419
S66x8/59-100,-153.7145760261
S66x8/59-105,-153.7143916326
S66x8/59-110,-153.7140789549
S66x8/59-125,-153.7130260132
S66x8/59-150,-153.7119435457
S66x8/59-200,-153.7109904576
S66x8/60-A,-77.2993205042
S66x8/60-B,-229.0269195683
S66x8/60-090,-306.3319309938
S66x8/60-095,-306.3330366734
S66x8/60-100,-306.3333519812
S66x8/60-105,-306.3331718775
S66x8/60-110,-306.3326964387
S66x8/60-125,-306.3307243192
S66x8/60-150,-306.3283777968
S66x8/60-200,-306.3269769699
S66x8/61-A,-197.6537986046
S66x8/61-B,-229.0269395103
S66x8/61-090,-426.6833655537
S66x8/61-095,-426.6835319453
S66x8/61-100,-426.6833060112
S66x8/61-105,-426.6828377022
S66x8/61-110,-426.6823240292
S66x8/61-125,-426.6810909693
S66x8/61-150,-426.680846122
S66x8/61-200,-426.6808681336
S66x8/62-A,-197.6538249158
S66x8/62-B,-209.1490622544
S66x8/62-090,-406.806432346
S66x8/62-095,-406.8068301427
S66x8/62-100,-406.8065735138
S66x8/62-105,-406.8059701629
S66x8/62-110,-406.8052626912
S66x8/62-125,-406.8035784288
S66x8/62-150,-406.803104876
S66x8/62-200,-406.8031072639
S66x8/63-A,-232.1538271344
S66x8/63-B,-229.0268408138
S66x8/63-090,-461.1836048162
S66x8/63-095,-461.1851657756
S66x8/63-100,-461.1854457712
S66x8/63-105,-461.1850629904
S66x8/63-110,-461.1843639455
S66x8/63-125,-461.1822970436
S66x8/63-150,-461.1812584489
S66x8/63-200,-461.1808808287
S66x8/64-A,-248.4337699531
S66x8/64-B,-78.5459910154
S66x8/64-090,-326.9825703977
S66x8/64-095,-326.9831540087
S66x8/64-100,-326.9831283647
S66x8/64-105,-326.9827718608
S66x8/64-110,-326.9822661636
S66x8/64-125,-326.9808971184
S66x8/64-150,-326.9801942769
S66x8/64-200,-326.9798230054
S66x8/65-A,-248.1904065121
S66x8/65-B,-77.2987791708
S66x8/65-090,-325.4937582537
S66x8/65-095,-325.4945476837
S66x8/65-100,-325.4948319043
S66x8/65-105,-325.4947806274
S66x8/65-110,-325.4945217568
S66x8/65-125,-325.493295668
S66x8/65-150,-325.4917329905
S66x8/65-200,-325.490612448
S66x8/66-A,-95.8111954057
S66x8/66-B,-248.1903798044
S66x8/66-090,-344.0052230092
S66x8/66-095,-344.0061244113
S66x8/66-100,-344.006377599
S66x8/66-105,-344.0062222221
S66x8/66-110,-344.0058288896
S66x8/66-125,-344.0042681047
