system,X3LYP/def2-QZVP/ORCA
S22x5/16-1.5,-595.7819343015
S22x5/16-2.0,-595.7822168249
S22x5/17-A,-264.2091718075
S22x5/17-B,-264.2091624393
S22x5/17-0.9,-528.406024251
S22x5/17-1.0,-528.4157113265
S22x5/17-1.2,-528.4189456835
S22x5/17-1.5,-528.418644313
S22x5/17-2.0,-528.4184106469
S22x5/18-A,-323.4034754566
S22x5/18-B,-303.5256694254
S22x5/18-0.9,-626.9495786633
S22x5/18-1.0,-626.9525029697
S22x5/18-1.2,-626.9489200993
S22x5/18-1.5,-626.9407223414
S22x5/18-2.0,-626.9337351107
S22x5/19-A,-307.3487306973
S22x5/19-B,-307.3487617382
S22x5/19-0.9,-614.7016027868
S22x5/19-1.0,-614.703578154
S22x5/19-1.2,-614.7031346802
S22x5/19-1.5,-614.700857242
S22x5/19-2.0,-614.6988777962
S22x5/20-A,-414.7057854573
S22x5/20-B,-414.7057854574
S22x5/20-0.9,-829.4040102304
S22x5/20-1.0,-829.4151054021
S22x5/20-1.2,-829.4162647185
S22x5/20-1.5,-829.4138449869
S22x5/20-2.0,-829.4124326924
S22x5/21-A,-414.7050102469
S22x5/21-B,-414.7050102469
S22x5/21-0.9,-829.4370220637
S22x5/21-1.0,-829.4400497096
S22x5/21-1.2,-829.4354078669
S22x5/21-1.5,-829.4255013323
S22x5/21-2.0,-829.4167865874
S22x5/22-A,-232.1316528588
S22x5/22-B,-93.3927762811
S22x5/22-0.9,-325.5265953625
S22x5/22-1.0,-325.5284124883
S22x5/22-1.2,-325.5284035981
S22x5/22-1.5,-325.5268863207
S22x5/22-2.0,-325.5255231863
S66x8/01-A,-76.417977538
S66x8/01-B,-76.4179747826
S66x8/01-090,-152.8436567517
S66x8/01-095,-152.8440958841
S66x8/01-100,-152.844061035
S66x8/01-105,-152.8437437015
S66x8/01-110,-152.8432695365
S66x8/01-125,-152.8415902868
S66x8/01-150,-152.8393511258
S66x8/01-200,-152.8373323603
S66x8/02-A,-76.4179868613
S66x8/02-B,-115.6900626333
S66x8/02-090,-192.1158642594
S66x8/02-095,-192.1164559992
S66x8/02-100,-192.1165071207
S66x8/02-105,-192.1162286423
S66x8/02-110,-192.1157631144
S66x8/02-125,-192.1140132215
S66x8/02-150,-192.1116051971
S66x8/02-200,-192.109428575
S66x8/03-A,-76.4180002123
S66x8/03-B,-95.8160883845
S66x8/03-090,-172.2443395247
S66x8/03-095,-172.2449280365
S66x8/03-100,-172.2449241159
S66x8/03-105,-172.2445488774
S66x8/03-110,-172.2439550922
S66x8/03-125,-172.2417437312
S66x8/03-150,-172.2386219148
S66x8/03-200,-172.2357073535
S66x8/04-A,-76.4179989042
S66x8/04-B,-248.4365350161
S66x8/04-090,-324.8654677281
S66x8/04-095,-324.866187019
S66x8/04-100,-324.8662711092
S66x8/04-105,-324.8659530349
S66x8/04-110,-324.8653971761
S66x8/04-125,-324.8632302462
S66x8/04-150,-324.8600302314
S66x8/04-200,-324.8565445388
S66x8/05-A,-115.6899243141
S66x8/05-B,-115.6900810785
S66x8/05-090,-231.3874980958
S66x8/05-095,-231.388230386
S66x8/05-100,-231.3883878998
S66x8/05-105,-231.388187857
S66x8/05-110,-231.3877791075
S66x8/05-125,-231.3861111773
S66x8/05-150,-231.3837104536
S66x8/05-200,-231.3814822228
S66x8/06-A,-115.6896903817
S66x8/06-B,-95.8160926598
S66x8/06-090,-211.5153896493
S66x8/06-095,-211.5163516633
S66x8/06-100,-211.5166032089
S66x8/06-105,-211.5164024871
S66x8/06-110,-211.5159271905
S66x8/06-125,-211.5138528465
S66x8/06-150,-211.510695837
S66x8/06-200,-211.5076538709
S66x8/07-A,-115.6897896246
S66x8/07-B,-248.4364100891
S66x8/07-090,-364.1365605526
S66x8/07-095,-364.1374784548
S66x8/07-100,-364.1377119084
S66x8/07-105,-364.1375047203
S66x8/07-110,-364.1370277138
S66x8/07-125,-364.1349669324
S66x8/07-150,-364.1313657759
S66x8/07-200,-364.1277842312
S66x8/08-A,-115.6899467632
S66x8/08-B,-76.4179804321
S66x8/08-090,-192.1152875311
S66x8/08-095,-192.1158544829
S66x8/08-100,-192.1159146283
S66x8/08-105,-192.1156662194
S66x8/08-110,-192.1152420602
S66x8/08-125,-192.1136347695
S66x8/08-150,-192.1114089703
S66x8/08-200,-192.1093709387
S66x8/09-A,-95.8160108905
S66x8/09-B,-115.6900618356
S66x8/09-090,-211.5088085041
S66x8/09-095,-211.5093856925
S66x8/09-100,-211.5095639818
S66x8/09-105,-211.5095042789
S66x8/09-110,-211.509318498
S66x8/09-125,-211.5085274678
S66x8/09-150,-211.5074777459
S66x8/09-200,-211.506633861
S66x8/10-A,-95.8160408684
S66x8/10-B,-95.8160582105
S66x8/10-090,-191.635166794
S66x8/10-095,-191.6361320409
S66x8/10-100,-191.6365150348
S66x8/10-105,-191.6365463561
S66x8/10-110,-191.6363705267
S66x8/10-125,-191.6353776813
S66x8/10-150,-191.6336586326
S66x8/10-200,-191.6325914314
S66x8/11-A,-95.8158430691
S66x8/11-B,-248.4365717872
S66x8/11-090,-344.256114598
S66x8/11-095,-344.2572310539
S66x8/11-100,-344.2577255855
S66x8/11-105,-344.2578234941
S66x8/11-110,-344.2576844329
S66x8/11-125,-344.2560735512
S66x8/11-150,-344.25415299
S66x8/11-200,-344.2531367787
S66x8/12-A,-95.8160623029
S66x8/12-B,-76.4176639879
S66x8/12-090,-172.2440031359
S66x8/12-095,-172.2447934585
S66x8/12-100,-172.2449158807
S66x8/12-105,-172.2446161842
S66x8/12-110,-172.244062425
S66x8/12-125,-172.2418652623
S66x8/12-150,-172.2386809412
S66x8/12-200,-172.2357073795
S66x8/13-A,-248.4365033284
S66x8/13-B,-115.6900960205
S66x8/13-090,-364.1327326864
S66x8/13-095,-364.1336990107
S66x8/13-100,-364.1340631455
S66x8/13-105,-364.1340488557
S66x8/13-110,-364.1338055569
S66x8/13-125,-364.1325221795
S66x8/13-150,-364.1304661403
S66x8/13-200,-364.1284065247
S66x8/14-A,-248.4362824485
S66x8/14-B,-95.8160557398
S66x8/14-090,-344.2598220326
S66x8/14-095,-344.2609892836
S66x8/14-100,-344.2614578578
S66x8/14-105,-344.2614716497
S66x8/14-110,-344.261200599
S66x8/14-125,-344.2596577204
S66x8/14-150,-344.2570580774
S66x8/14-200,-344.2544012744
S66x8/15-A,-248.4363792235
S66x8/15-B,-248.4364935573
S66x8/15-090,-496.8812122516
S66x8/15-095,-496.8823811121
S66x8/15-100,-496.8828602129
S66x8/15-105,-496.8828884523
S66x8/15-110,-496.882632366
S66x8/15-125,-496.8811011672
S66x8/15-150,-496.8784462307
S66x8/15-200,-496.8752653861
S66x8/16-A,-248.4365541654
S66x8/16-B,-76.4179833622
S66x8/16-090,-324.8610354363
S66x8/16-095,-324.8617092148
S66x8/16-100,-324.8618847415
S66x8/16-105,-324.861753496
S66x8/16-110,-324.8614382398
S66x8/16-125,-324.860115144
S66x8/16-150,-324.8581720983
S66x8/16-200,-324.856279007
S66x8/17-A,-414.7052645238
S66x8/17-B,-414.705359273
S66x8/17-090,-829.4330407708
S66x8/17-095,-829.4350400811
S66x8/17-100,-829.4355945768
S66x8/17-105,-829.4352032723
S66x8/17-110,-829.4342180229
S66x8/17-125,-829.4297976285
S66x8/17-150,-829.4227089305
S66x8/17-200,-829.415445716
S66x8/18-A,-76.4179916272
S66x8/18-B,-248.1723117287
S66x8/18-090,-324.6001240685
S66x8/18-095,-324.6007588259
S66x8/18-100,-324.6007916523
S66x8/18-105,-324.6004481398
S66x8/18-110,-324.5998825696
S66x8/18-125,-324.5977482458
S66x8/18-150,-324.594736704
S66x8/18-200,-324.5919423037
S66x8/19-A,-115.6896940058
S66x8/19-B,-248.1723087889
S66x8/19-090,-363.8713217762
S66x8/19-095,-363.8722434374
S66x8/19-100,-363.8724810376
S66x8/19-105,-363.8722812608
S66x8/19-110,-363.8718501669
S66x8/19-125,-363.8697826493
S66x8/19-150,-363.8667315617
S66x8/19-200,-363.8637449098
S66x8/20-A,-229.0308030658
S66x8/20-B,-229.0308010681
S66x8/20-090,-458.0889249279
S66x8/20-095,-458.0909786409
S66x8/20-100,-458.0913906326
S66x8/20-105,-458.0907469386
S66x8/20-110,-458.0894522711
S66x8/20-125,-458.0840685662
S66x8/20-150,-458.0756148
S66x8/20-200,-458.0670078487
S66x8/21-A,-209.1530424487
S66x8/21-B,-209.1530453914
S66x8/21-090,-418.3278986424
S66x8/21-095,-418.3297339221
S66x8/21-100,-418.330200538
S66x8/21-105,-418.3297798539
S66x8/21-110,-418.3288102045
S66x8/21-125,-418.3245890191
S66x8/21-150,-418.3180015607
S66x8/21-200,-418.3106496427
S66x8/22-A,-229.0307694622
S66x8/22-B,-414.7050819075
S66x8/22-090,-643.7628759299
S66x8/22-095,-643.7649358591
S66x8/22-100,-643.765446924
S66x8/22-105,-643.7649406878
S66x8/22-110,-643.7637915706
S66x8/22-125,-643.7587406363
S66x8/22-150,-643.7506320977
S66x8/22-200,-643.74205286
S66x8/23-A,-209.1529330084
S66x8/23-B,-414.7049479395
S66x8/23-090,-623.8838577078
S66x8/23-095,-623.8858564128
S66x8/23-100,-623.8864408948
S66x8/23-105,-623.8860831647
S66x8/23-110,-623.8851199119
S66x8/23-125,-623.8806420876
S66x8/23-150,-623.8731821759
S66x8/23-200,-623.8649195719
S66x8/24-A,-232.1317156012
S66x8/24-B,-232.1316928711
S66x8/24-090,-464.2499305563
S66x8/24-095,-464.2555402119
S66x8/24-100,-464.2587446977
S66x8/24-105,-464.2605334643
S66x8/24-110,-464.261567648
S66x8/24-125,-464.2626859342
S66x8/24-150,-464.2630551011
S66x8/24-200,-464.263291106
S66x8/25-A,-248.1722607287
S66x8/25-B,-248.1722875023
S66x8/25-090,-496.3325672641
S66x8/25-095,-496.3380527568
S66x8/25-100,-496.341245714
S66x8/25-105,-496.343001627
S66x8/25-110,-496.3439687095
S66x8/25-125,-496.3448200752
S66x8/25-150,-496.3448049216
S66x8/25-200,-496.3446806863
S66x8/26-A,-414.7057858489
S66x8/26-B,-414.7057858489
S66x8/26-090,-829.4069851285
S66x8/26-095,-829.412312857
S66x8/26-100,-829.4151062786
S66x8/26-105,-829.4164061117
S66x8/26-110,-829.4168688392
S66x8/26-125,-829.4161329771
S66x8/26-150,-829.414283804
S66x8/26-200,-829.4126788365
S66x8/27-A,-232.1317100245
S66x8/27-B,-248.1722967587
S66x8/27-090,-480.2909744416
S66x8/27-095,-480.2968461643
S66x8/27-100,-480.3001366428
S66x8/27-105,-480.3019223202
S66x8/27-110,-480.3028950397
S66x8/27-125,-480.3038100635
S66x8/27-150,-480.3039519057
S66x8/27-200,-480.3039910761
S66x8/28-A,-232.1316337995
S66x8/28-B,-414.7063697308
S66x8/28-090,-646.8269985521
S66x8/28-095,-646.8325197299
S66x8/28-100,-646.8356466072
S66x8/28-105,-646.8373744292
S66x8/28-110,-646.8382233533
S66x8/28-125,-646.838720729
S66x8/28-150,-646.8382647059
S66x8/28-200,-646.8379649623
S66x8/29-A,-248.1722561328
S66x8/29-B,-414.7063285713
S66x8/29-090,-662.8673976559
S66x8/29-095,-662.8745801657
S66x8/29-100,-662.8782390626
S66x8/29-105,-662.8800117307
S66x8/29-110,-662.880714386
S66x8/29-125,-662.8806865254
S66x8/29-150,-662.8797846543
S66x8/29-200,-662.8790046963
S66x8/30-A,-232.1317041198
S66x8/30-B,-78.5460023025
S66x8/30-090,-310.6705670722
S66x8/30-095,-310.6733385607
S66x8/30-100,-310.6749383841
S66x8/30-105,-310.6758596054
S66x8/30-110,-310.6763758879
S66x8/30-125,-310.6769818689
S66x8/30-150,-310.6772908083
S66x8/30-200,-310.6775660622
S66x8/31-A,-414.7063964413
S66x8/31-B,-78.5459903597
S66x8/31-090,-493.2484551629
S66x8/31-095,-493.2508317096
S66x8/31-100,-493.2521801677
S66x8/31-105,-493.2528680668
S66x8/31-110,-493.2531866079
S66x8/31-125,-493.2532513145
S66x8/31-150,-493.2528706318
S66x8/31-200,-493.2525188799
S66x8/32-A,-414.7064084918
S66x8/32-B,-77.2951565007
S66x8/32-090,-491.9986914814
S66x8/32-095,-492.001096749
S66x8/32-100,-492.0023704978
S66x8/32-105,-492.0029768234
S66x8/32-110,-492.0031721709
S66x8/32-125,-492.0028985354
S66x8/32-150,-492.0021447484
S66x8/32-200,-492.0015664164
S66x8/33-A,-248.1723065672
S66x8/33-B,-78.545970026
S66x8/33-090,-326.7123024569
S66x8/33-095,-326.7147520138
S66x8/33-100,-326.7161909475
S66x8/33-105,-326.7170136893
S66x8/33-110,-326.7174919434
S66x8/33-125,-326.7179630498
S66x8/33-150,-326.7180866394
S66x8/33-200,-326.7182147209
S66x8/34-A,-197.6468019762
S66x8/34-B,-197.6467984909
S66x8/34-090,-395.2873751972
S66x8/34-095,-395.2903195038
S66x8/34-100,-395.2919777274
S66x8/34-105,-395.2928744109
S66x8/34-110,-395.2933049014
S66x8/34-125,-395.29377717
S66x8/34-150,-395.2937782118
S66x8/34-200,-395.2938106552
S66x8/35-A,-197.6468005849
S66x8/35-B,-197.648588105
S66x8/35-090,-395.2906651069
S66x8/35-095,-395.2929958144
S66x8/35-100,-395.2942390675
S66x8/35-105,-395.2948657561
S66x8/35-110,-395.295149317
S66x8/35-125,-395.2953928049
S66x8/35-150,-395.2953889724
S66x8/35-200,-395.2954181951
S66x8/36-A,-197.6485709499
S66x8/36-B,-197.648608426
S66x8/36-090,-395.294233774
S66x8/36-095,-395.2954063276
S66x8/36-100,-395.2961074453
S66x8/36-105,-395.2964730272
S66x8/36-110,-395.2966781394
S66x8/36-125,-395.2968687
S66x8/36-150,-395.2969157339
S66x8/36-200,-395.2969384492
S66x8/37-A,-196.4376642539
S66x8/37-B,-197.6484211915
S66x8/37-090,-394.081264973
S66x8/37-095,-394.0835664009
S66x8/37-100,-394.0848018917
S66x8/37-105,-394.0854760688
S66x8/37-110,-394.0858276542
S66x8/37-125,-394.0861442778
S66x8/37-150,-394.0861525618
S66x8/37-200,-394.0861768818
S66x8/38-A,-196.4375707956
S66x8/38-B,-196.4375840737
S66x8/38-090,-392.8704264444
S66x8/38-095,-392.8725803798
S66x8/38-100,-392.8739330051
S66x8/38-105,-392.874637655
S66x8/38-110,-392.8749578473
S66x8/38-125,-392.875166037
S66x8/38-150,-392.875108103
S66x8/38-200,-392.875114647
S66x8/39-A,-232.1316962479
S66x8/39-B,-196.437538141
S66x8/39-090,-428.5615605278
S66x8/39-095,-428.5651406344
S66x8/39-100,-428.567214804
S66x8/39-105,-428.5683886308
S66x8/39-110,-428.5689957383
S66x8/39-125,-428.5694252087
S66x8/39-150,-428.5693211481
S66x8/39-200,-428.5692512478
S66x8/40-A,-232.1316887004
S66x8/40-B,-197.648534115
S66x8/40-090,-429.7744947793
S66x8/40-095,-429.7772688882
S66x8/40-100,-429.7788131198
S66x8/40-105,-429.7796795176
S66x8/40-110,-429.7801008001
S66x8/40-125,-429.7804182348
S66x8/40-150,-429.7803285276
S66x8/40-200,-429.7802682523
S66x8/41-A,-414.7064007911
S66x8/41-B,-197.6468811679
S66x8/41-090,-612.3461667442
S66x8/41-095,-612.3495717823
S66x8/41-100,-612.3515627101
S66x8/41-105,-612.3526665951
S66x8/41-110,-612.3532654129
S66x8/41-125,-612.3535153111
S66x8/41-150,-612.3533377386
S66x8/41-200,-612.3532646137
S66x8/42-A,-414.7064021785
S66x8/42-B,-196.4375799398
S66x8/42-090,-611.136944202
S66x8/42-095,-611.140404096
S66x8/42-100,-611.1423224063
S66x8/42-105,-611.1433280653
S66x8/42-110,-611.1438111991
S66x8/42-125,-611.1441356539
S66x8/42-150,-611.1440325593
S66x8/42-200,-611.1439858311
S66x8/43-A,-414.706404979
S66x8/43-B,-197.648539208
S66x8/43-090,-612.3499230338
S66x8/43-095,-612.352656412
S66x8/43-100,-612.3541446093
S66x8/43-105,-612.3548866242
S66x8/43-110,-612.3551969552
S66x8/43-125,-612.3552852831
S66x8/43-150,-612.355035421
S66x8/43-200,-612.3548623739
S66x8/44-A,-78.5460003288
S66x8/44-B,-197.6468214963
S66x8/44-090,-276.1901616885
S66x8/44-095,-276.1915436807
S66x8/44-100,-276.1922945791
S66x8/44-105,-276.192645879
S66x8/44-110,-276.1928292431
S66x8/44-125,-276.1929432793
S66x8/44-150,-276.1929020884
S66x8/44-200,-276.1929012269
S66x8/45-A,-77.2951742528
S66x8/45-B,-197.6468302918
S66x8/45-090,-274.9385606734
S66x8/45-095,-274.9402538137
S66x8/45-100,-274.9411545919
S66x8/45-105,-274.9416309412
S66x8/45-110,-274.9418730158
S66x8/45-125,-274.9420038194
S66x8/45-150,-274.9419135938
S66x8/45-200,-274.9418107751
S66x8/46-A,-248.4366350336
S66x8/46-B,-197.646786996
S66x8/46-090,-446.0793349751
S66x8/46-095,-446.0814767967
S66x8/46-100,-446.0827417189
S66x8/46-105,-446.0834280205
S66x8/46-110,-446.0837968652
S66x8/46-125,-446.0840051493
S66x8/46-150,-446.0837401775
S66x8/46-200,-446.0835548647
S66x8/47-A,-232.1316811748
S66x8/47-B,-232.131609561
S66x8/47-090,-464.2581058512
S66x8/47-095,-464.2609771233
S66x8/47-100,-464.262538224
S66x8/47-105,-464.2633449507
S66x8/47-110,-464.2637577793
S66x8/47-125,-464.2639368885
S66x8/47-150,-464.263673605
S66x8/47-200,-464.2634679059
S66x8/48-A,-248.1722776476
S66x8/48-B,-248.1722200184
S66x8/48-090,-496.3411984586
S66x8/48-095,-496.3435876596
S66x8/48-100,-496.3448890344
S66x8/48-105,-496.3455623015
S66x8/48-110,-496.3458623651
S66x8/48-125,-496.3458012918
S66x8/48-150,-496.3452801879
S66x8/48-200,-496.3448241256
S66x8/49-A,-232.1316802372
S66x8/49-B,-248.1722560638
S66x8/49-090,-480.2994294993
S66x8/49-095,-480.3023078411
S66x8/49-100,-480.3038661211
S66x8/49-105,-480.3046366155
S66x8/49-110,-480.30500448
S66x8/49-125,-480.3050408453
S66x8/49-150,-480.3045995121
S66x8/49-200,-480.3042151292
S66x8/50-A,-232.1316755013
S66x8/50-B,-77.2952230994
S66x8/50-090,-309.4250248935
S66x8/50-095,-309.4270491834
S66x8/50-100,-309.4280512398
S66x8/50-105,-309.4284646805
S66x8/50-110,-309.4285744918
S66x8/50-125,-309.42822837
S66x8/50-150,-309.4275521231
S66x8/50-200,-309.427029893
S66x8/51-A,-77.2951859112
S66x8/51-B,-77.2952391304
S66x8/51-090,-154.5911777159
S66x8/51-095,-154.5917469397
S66x8/51-100,-154.591959755
S66x8/51-105,-154.5919749151
S66x8/51-110,-154.5918868115
S66x8/51-125,-154.591444433
S66x8/51-150,-154.5908966032
S66x8/51-200,-154.5905231612
S66x8/52-A,-232.1316755434
S66x8/52-B,-229.0326760342
S66x8/52-090,-461.1646353671
S66x8/52-095,-461.1664535917
S66x8/52-100,-461.1673623494
S66x8/52-105,-461.1677346187
S66x8/52-110,-461.1677851486
S66x8/52-125,-461.1671576922
S66x8/52-150,-461.1659605978
S66x8/52-200,-461.1648981276
S66x8/53-A,-232.1316802844
S66x8/53-B,-209.1539690345
S66x8/53-090,-441.2867871496
S66x8/53-095,-441.2881359609
S66x8/53-100,-441.2888028928
S66x8/53-105,-441.2890537523
S66x8/53-110,-441.2890473281
S66x8/53-125,-441.2883919499
S66x8/53-150,-441.2872036823
S66x8/53-200,-441.2860935344
S66x8/54-A,-232.1316663689
S66x8/54-B,-76.4178965991
S66x8/54-090,-308.5508763617
S66x8/54-095,-308.5520573169
S66x8/54-100,-308.5525886564
S66x8/54-105,-308.5527298913
S66x8/54-110,-308.5526562936
S66x8/54-125,-308.5519985538
S66x8/54-150,-308.5509888695
S66x8/54-200,-308.55008772
S66x8/55-A,-232.1316524685
S66x8/55-B,-115.689993404
S66x8/55-090,-347.8210760912
S66x8/55-095,-347.8229092839
S66x8/55-100,-347.8238863618
S66x8/55-105,-347.8243472004
S66x8/55-110,-347.8244770869
S66x8/55-125,-347.8240799144
S66x8/55-150,-347.8231241067
S66x8/55-200,-347.8222185299
S66x8/56-A,-232.1316799518
S66x8/56-B,-95.8159947178
S66x8/56-090,-327.9450509256
S66x8/56-095,-327.9469887301
S66x8/56-100,-327.9480756469
S66x8/56-105,-327.9486858587
S66x8/56-110,-327.9489408976
S66x8/56-125,-327.9488476072
S66x8/56-150,-327.9483458345
S66x8/56-200,-327.9479144885
S66x8/57-A,-232.1316530148
S66x8/57-B,-248.436600221
S66x8/57-090,-480.5641589314
S66x8/57-095,-480.567771942
S66x8/57-100,-480.5696935703
S66x8/57-105,-480.5706200685
S66x8/57-110,-480.5709710801
S66x8/57-125,-480.5707447257
S66x8/57-150,-480.5697922068
S66x8/57-200,-480.5689014445
S66x8/58-A,-248.1722656448
S66x8/58-B,-248.1722059856
S66x8/58-090,-496.3449552001
S66x8/58-095,-496.3470542053
S66x8/58-100,-496.348178432
S66x8/58-105,-496.3482411569
S66x8/58-110,-496.3479246651
S66x8/58-125,-496.3466911461
S66x8/58-150,-496.3454841276
S66x8/58-200,-496.3447551544
S66x8/59-A,-77.2952627202
S66x8/59-B,-76.4179710719
S66x8/59-090,-153.7170377386
S66x8/59-095,-153.7174361321
S66x8/59-100,-153.7174798362
S66x8/59-105,-153.7173142333
S66x8/59-110,-153.7170384897
S66x8/59-125,-153.7160361995
S66x8/59-150,-153.7147511216
S66x8/59-200,-153.7136529734
S66x8/60-A,-77.2951609115
S66x8/60-B,-229.0326600712
S66x8/60-090,-306.3325369193
S66x8/60-095,-306.3335345829
S66x8/60-100,-306.3338537405
S66x8/60-105,-306.3337573456
S66x8/60-110,-306.3334243909
S66x8/60-125,-306.3319884015
S66x8/60-150,-306.3300249995
S66x8/60-200,-306.3284472344
S66x8/61-A,-197.6468428922
S66x8/61-B,-229.0327223354
S66x8/61-090,-426.6772220467
S66x8/61-095,-426.6783914453
S66x8/61-100,-426.6790879466
S66x8/61-105,-426.6794854448
S66x8/61-110,-426.679708105
S66x8/61-125,-426.6798382075
S66x8/61-150,-426.6796780414
S66x8/61-200,-426.6795954938
S66x8/62-A,-197.6468649498
S66x8/62-B,-209.1539785305
S66x8/62-090,-406.7981797031
S66x8/62-095,-406.7998218239
S66x8/62-100,-406.8007424994
S66x8/62-105,-406.8012233375
S66x8/62-110,-406.8014569628
S66x8/62-125,-406.8014592209
S66x8/62-150,-406.8011520866
S66x8/62-200,-406.8009268595
S66x8/63-A,-232.131701422
S66x8/63-B,-229.0326567213
S66x8/63-090,-461.1598653101
S66x8/63-095,-461.1627452303
S66x8/63-100,-461.1642923636
S66x8/63-105,-461.1650938018
S66x8/63-110,-461.1654409462
S66x8/63-125,-461.1654294502
S66x8/63-150,-461.1649143055
S66x8/63-200,-461.1645243093
S66x8/64-A,-248.4365975615
S66x8/64-B,-78.5460460081
S66x8/64-090,-326.9817972265
S66x8/64-095,-326.9830233541
S66x8/64-100,-326.9836689145
S66x8/64-105,-326.9839459437
S66x8/64-110,-326.9840111731
S66x8/64-125,-326.9837374176
S66x8/64-150,-326.9831347
S66x8/64-200,-326.9826911224
S66x8/65-A,-248.1723118518
S66x8/65-B,-77.2946963277
S66x8/65-090,-325.4721666034
S66x8/65-095,-325.4727654224
S66x8/65-100,-325.4729124818
S66x8/65-105,-325.4727823147
S66x8/65-110,-325.472492736
S66x8/65-125,-325.4713061335
S66x8/65-150,-325.4696604009
S66x8/65-200,-325.4682436377
S66x8/66-A,-95.815984465
S66x8/66-B,-248.1722960123
S66x8/66-090,-343.9882977632
S66x8/66-095,-343.989659005
S66x8/66-100,-343.9904029243
S66x8/66-105,-343.9907448323
S66x8/66-110,-343.9908368945
S66x8/66-125,-343.9904646085
S66x8/66-150,-343.9895787689
