system,HSE06/def2-QZVP/Turbomole
S22x5/18-A,-323.3215869417
S22x5/18-B,-303.4548289106
S22x5/18-0.9,-626.7996742409
S22x5/18-1.0,-626.8016403932
S22x5/18-1.2,-626.79693533
S22x5/18-1.5,-626.7883138555
S22x5/18-2.0,-626.7811853335
S22x5/19-A,-307.2751151095
S22x5/19-B,-307.2750287231
S22x5/19-0.9,-614.5557889521
S22x5/19-1.0,-614.5572245627
S22x5/19-1.2,-614.5563090076
S22x5/19-1.5,-614.5539139391
S22x5/19-2.0,-614.5516954414
S22x5/20-A,-414.5937430674
S22x5/20-B,-414.5937430674
S22x5/20-0.9,-829.184772979
S22x5/20-1.0,-829.1932010947
S22x5/20-1.2,-829.1931308696
S22x5/20-1.5,-829.1900845556
S22x5/20-2.0,-829.1883697468
S22x5/21-A,-414.5929596083
S22x5/21-B,-414.5929596083
S22x5/21-0.9,-829.2151134135
S22x5/21-1.0,-829.2172119158
S22x5/21-1.2,-829.2115542017
S22x5/21-1.5,-829.2014335323
S22x5/21-2.0,-829.1927455797
S22x5/22-A,-232.0808029883
S22x5/22-B,-93.3588797927
S22x5/22-0.9,-325.4439230976
S22x5/22-1.0,-325.4450350284
S22x5/22-1.2,-325.444374789
S22x5/22-1.5,-325.4425279087
S22x5/22-2.0,-325.4408914516
S66x8/01-A,-76.393696751
S66x8/01-B,-76.3936801344
S66x8/01-090,-152.7953809538
S66x8/01-095,-152.7956859867
S66x8/01-100,-152.7955546904
S66x8/01-105,-152.7951747009
S66x8/01-110,-152.7946658246
S66x8/01-125,-152.7929921052
S66x8/01-150,-152.7908143471
S66x8/01-200,-152.7887503471
S66x8/02-A,-76.3937030875
S66x8/02-B,-115.6578139003
S66x8/02-090,-192.0597230273
S66x8/02-095,-192.060164688
S66x8/02-100,-192.0601030692
S66x8/02-105,-192.0597458421
S66x8/02-110,-192.059231318
S66x8/02-125,-192.0574616544
S66x8/02-150,-192.0551160002
S66x8/02-200,-192.0528977124
S66x8/03-A,-76.393710593
S66x8/03-B,-95.7949720783
S66x8/03-090,-172.1997532046
S66x8/03-095,-172.2001468445
S66x8/03-100,-172.1999792352
S66x8/03-105,-172.1994701516
S66x8/03-110,-172.1987730247
S66x8/03-125,-172.1963963263
S66x8/03-150,-172.1932473736
S66x8/03-200,-172.1902948831
S66x8/04-A,-76.3937098739
S66x8/04-B,-248.3754314931
S66x8/04-090,-324.7808063213
S66x8/04-095,-324.7813361955
S66x8/04-100,-324.7812715126
S66x8/04-105,-324.7808427568
S66x8/04-110,-324.7802103139
S66x8/04-125,-324.777943378
S66x8/04-150,-324.7747624351
S66x8/04-200,-324.7711742572
S66x8/05-A,-115.657814804
S66x8/05-B,-115.6578347764
S66x8/05-090,-231.3237044032
S66x8/05-095,-231.3242640988
S66x8/05-100,-231.3242898778
S66x8/05-105,-231.3239942551
S66x8/05-110,-231.3235208226
S66x8/05-125,-231.3217971754
S66x8/05-150,-231.3194380521
S66x8/05-200,-231.3171628385
S66x8/06-A,-115.6576029388
S66x8/06-B,-95.7949664784
S66x8/06-090,-211.4635039274
S66x8/06-095,-211.4642125703
S66x8/06-100,-211.4642563292
S66x8/06-105,-211.4638846338
S66x8/06-110,-211.4632666269
S66x8/06-125,-211.4609300686
S66x8/06-150,-211.4576506616
S66x8/06-200,-211.4545192279
S66x8/07-A,-115.6576949559
S66x8/07-B,-248.3751518803
S66x8/07-090,-364.0442787332
S66x8/07-095,-364.0449659888
S66x8/07-100,-364.0450110161
S66x8/07-105,-364.0446552253
S66x8/07-110,-364.0440660291
S66x8/07-125,-364.0418337212
S66x8/07-150,-364.0382010516
S66x8/07-200,-364.0344735049
S66x8/08-A,-115.6578414296
S66x8/08-B,-76.393684212
S66x8/08-090,-192.0593256244
S66x8/08-095,-192.0597410622
S66x8/08-100,-192.0596893431
S66x8/08-105,-192.0593649661
S66x8/08-110,-192.0588935325
S66x8/08-125,-192.057265979
S66x8/08-150,-192.0550900185
S66x8/08-200,-192.0530052987
S66x8/09-A,-95.7949582927
S66x8/09-B,-115.6578704047
S66x8/09-090,-211.456089076
S66x8/09-095,-211.4565405679
S66x8/09-100,-211.456638616
S66x8/09-105,-211.4565345068
S66x8/09-110,-211.4563216139
S66x8/09-125,-211.4554971048
S66x8/09-150,-211.4543784491
S66x8/09-200,-211.4534189585
S66x8/10-A,-95.7949779096
S66x8/10-B,-95.7949474942
S66x8/10-090,-191.5941625943
S66x8/10-095,-191.5948550886
S66x8/10-100,-191.5950428953
S66x8/10-105,-191.5949319943
S66x8/10-110,-191.5946566396
S66x8/10-125,-191.5935358652
S66x8/10-150,-191.5916784184
S66x8/10-200,-191.5904486692
S66x8/11-A,-95.7947945928
S66x8/11-B,-248.3753034627
S66x8/11-090,-344.1751134752
S66x8/11-095,-344.1759275348
S66x8/11-100,-344.176207794
S66x8/11-105,-344.1761622021
S66x8/11-110,-344.1759248148
S66x8/11-125,-344.1741530889
S66x8/11-150,-344.1720276338
S66x8/11-200,-344.1708383503
S66x8/12-A,-95.7949272373
S66x8/12-B,-76.393251423
S66x8/12-090,-172.1995303587
S66x8/12-095,-172.2001009052
S66x8/12-100,-172.2000384553
S66x8/12-105,-172.1995886992
S66x8/12-110,-172.1989191045
S66x8/12-125,-172.1965347473
S66x8/12-150,-172.1933125651
S66x8/12-200,-172.1902828516
S66x8/13-A,-248.3752119195
S66x8/13-B,-115.6578512032
S66x8/13-090,-364.040062883
S66x8/13-095,-364.0408211517
S66x8/13-100,-364.0410354099
S66x8/13-105,-364.0409168315
S66x8/13-110,-364.040604052
S66x8/13-125,-364.0392479105
S66x8/13-150,-364.0371579183
S66x8/13-200,-364.034942083
S66x8/14-A,-248.374995177
S66x8/14-B,-95.794925386
S66x8/14-090,-344.1790262169
S66x8/14-095,-344.1799007997
S66x8/14-100,-344.1801288863
S66x8/14-105,-344.1799461057
S66x8/14-110,-344.1795170667
S66x8/14-125,-344.1776859208
S66x8/14-150,-344.1749285717
S66x8/14-200,-344.1720841454
S66x8/15-A,-248.3753161817
S66x8/15-B,-248.3753844923
S66x8/15-090,-496.7605133987
S66x8/15-095,-496.7614165738
S66x8/15-100,-496.7616808343
S66x8/15-105,-496.761538881
S66x8/15-110,-496.7611441426
S66x8/15-125,-496.7594003618
S66x8/15-150,-496.7566316679
S66x8/15-200,-496.7531992346
S66x8/16-A,-248.3754958634
S66x8/16-B,-76.3936879027
S66x8/16-090,-324.7761982152
S66x8/16-095,-324.7767225146
S66x8/16-100,-324.7767949225
S66x8/16-105,-324.7765966743
S66x8/16-110,-324.7762474293
S66x8/16-125,-324.7749137369
S66x8/16-150,-324.7729694448
S66x8/16-200,-324.7709683712
S66x8/17-A,-414.5931968343
S66x8/17-B,-414.5933204572
S66x8/17-090,-829.2110032929
S66x8/17-095,-829.2125268328
S66x8/17-100,-829.2126873346
S66x8/17-105,-829.2119773007
S66x8/17-110,-829.2107401167
S66x8/17-125,-829.2058879062
S66x8/17-150,-829.1987409397
S66x8/17-200,-829.1914584114
S66x8/18-A,-76.3937056678
S66x8/18-B,-248.1131037395
S66x8/18-090,-324.5172392337
S66x8/18-095,-324.5176991809
S66x8/18-100,-324.5175896413
S66x8/18-105,-324.5171318871
S66x8/18-110,-324.5164820408
S66x8/18-125,-324.5142318999
S66x8/18-150,-324.5112377482
S66x8/18-200,-324.5084160199
S66x8/19-A,-115.6576076225
S66x8/19-B,-248.1130980019
S66x8/19-090,-363.7810625631
S66x8/19-095,-363.78177427
S66x8/19-100,-363.7818361186
S66x8/19-105,-363.781493125
S66x8/19-110,-363.7808141469
S66x8/19-125,-363.7787025797
S66x8/19-150,-363.7754578513
S66x8/19-200,-363.7724155651
S66x8/20-A,-228.9650540196
S66x8/20-B,-228.9650523792
S66x8/20-090,-457.9600259628
S66x8/20-095,-457.9615919229
S66x8/20-100,-457.9615860765
S66x8/20-105,-457.960587454
S66x8/20-110,-457.9589951602
S66x8/20-125,-457.9529989985
S66x8/20-150,-457.9443126838
S66x8/20-200,-457.9356920746
S66x8/21-A,-209.0978263918
S66x8/21-B,-209.0978295593
S66x8/21-090,-418.2195696358
S66x8/21-095,-418.2209379741
S66x8/21-100,-418.2210198244
S66x8/21-105,-418.2202869335
S66x8/21-110,-418.2190758996
S66x8/21-125,-418.2144617319
S66x8/21-150,-418.2077909305
S66x8/21-200,-418.2003325317
S66x8/22-A,-228.9649810442
S66x8/22-B,-414.5930531528
S66x8/22-090,-643.5873718051
S66x8/22-095,-643.5889445597
S66x8/22-100,-643.5890428294
S66x8/22-105,-643.5881910918
S66x8/22-110,-643.5867590332
S66x8/22-125,-643.5811867795
S66x8/22-150,-643.5729328103
S66x8/22-200,-643.5643721455
S66x8/23-A,-209.0977292618
S66x8/23-B,-414.5928919208
S66x8/23-090,-623.7188187041
S66x8/23-095,-623.7203443615
S66x8/23-100,-623.720531693
S66x8/23-105,-623.719845552
S66x8/23-110,-623.718618612
S66x8/23-125,-623.7136717253
S66x8/23-150,-623.7060777081
S66x8/23-200,-623.6977852593
S66x8/24-A,-232.0809151982
S66x8/24-B,-232.080875882
S66x8/24-090,-464.1525757508
S66x8/24-095,-464.1569057108
S66x8/24-100,-464.1592263306
S66x8/24-105,-464.1604587265
S66x8/24-110,-464.1611108196
S66x8/24-125,-464.1616859455
S66x8/24-150,-464.1616376532
S66x8/24-200,-464.1616733898
S66x8/25-A,-248.1130653087
S66x8/25-B,-248.1131002402
S66x8/25-090,-496.2185550427
S66x8/25-095,-496.222801577
S66x8/25-100,-496.2250896817
S66x8/25-105,-496.2262729529
S66x8/25-110,-496.2268460742
S66x8/25-125,-496.2271451159
S66x8/25-150,-496.2266850458
S66x8/25-200,-496.2263261193
S66x8/26-A,-414.5937431649
S66x8/26-B,-414.5937431649
S66x8/26-090,-829.1871437856
S66x8/26-095,-829.1912327717
S66x8/26-100,-829.1932013384
S66x8/26-105,-829.1939777049
S66x8/26-110,-829.1941044175
S66x8/26-125,-829.1929844365
S66x8/26-150,-829.1906749953
S66x8/26-200,-829.1886636111
S66x8/27-A,-232.0809083416
S66x8/27-B,-248.1131143674
S66x8/27-090,-480.1854083032
S66x8/27-095,-480.1899457773
S66x8/27-100,-480.1923108501
S66x8/27-105,-480.1935061237
S66x8/27-110,-480.1940985921
S66x8/27-125,-480.1944718603
S66x8/27-150,-480.1941778189
S66x8/27-200,-480.1940036626
S66x8/28-A,-232.0807679184
S66x8/28-B,-414.5943533118
S66x8/28-090,-646.6688331456
S66x8/28-095,-646.6730172515
S66x8/28-100,-646.6752109065
S66x8/28-105,-646.6762795399
S66x8/28-110,-646.6767300974
S66x8/28-125,-646.6766677298
S66x8/28-150,-646.6757757399
S66x8/28-200,-646.6751437477
S66x8/29-A,-248.1130362499
S66x8/29-B,-414.5943421478
S66x8/29-090,-662.7010554956
S66x8/29-095,-662.7066017392
S66x8/29-100,-662.7091945828
S66x8/29-105,-662.7102881462
S66x8/29-110,-662.7106417936
S66x8/29-125,-662.7101502252
S66x8/29-150,-662.7088015513
S66x8/29-200,-662.7077816551
S66x8/30-A,-232.0808950497
S66x8/30-B,-78.5256945958
S66x8/30-090,-310.6020360737
S66x8/30-095,-310.6040737795
S66x8/30-100,-310.6051603163
S66x8/30-105,-310.6057367064
S66x8/30-110,-310.6060405389
S66x8/30-125,-310.606317949
S66x8/30-150,-310.6063454944
S66x8/30-200,-310.6064617888
S66x8/31-A,-414.5943873069
S66x8/31-B,-78.5256829049
S66x8/31-090,-493.1184366336
S66x8/31-095,-493.1201888779
S66x8/31-100,-493.1210937271
S66x8/31-105,-493.121514568
S66x8/31-110,-493.1216642059
S66x8/31-125,-493.1214465724
S66x8/31-150,-493.1207686411
S66x8/31-200,-493.1202082252
S66x8/32-A,-414.5944362308
S66x8/32-B,-77.2688766609
S66x8/32-090,-491.8626073867
S66x8/32-095,-491.864402407
S66x8/32-100,-491.8652450095
S66x8/32-105,-491.8655628366
S66x8/32-110,-491.8655950701
S66x8/32-125,-491.8650630182
S66x8/32-150,-491.8640659561
S66x8/32-200,-491.8632953913
S66x8/33-A,-248.1131350938
S66x8/33-B,-78.5256602722
S66x8/33-090,-326.6353055145
S66x8/33-095,-326.6370703309
S66x8/33-100,-326.6380275454
S66x8/33-105,-326.6385393945
S66x8/33-110,-326.6387954504
S66x8/33-125,-326.6389522428
S66x8/33-150,-326.6388096678
S66x8/33-200,-326.6387553433
S66x8/34-A,-197.617455636
S66x8/34-B,-197.6174276364
S66x8/34-090,-395.2312239982
S66x8/34-095,-395.2334589177
S66x8/34-100,-395.2347415091
S66x8/34-105,-395.2354445095
S66x8/34-110,-395.2357936877
S66x8/34-125,-395.2359102776
S66x8/34-150,-395.2354836742
S66x8/34-200,-395.2351615932
S66x8/35-A,-197.6174450435
S66x8/35-B,-197.6202801111
S66x8/35-090,-395.2350024687
S66x8/35-095,-395.2367994554
S66x8/35-100,-395.2377238455
S66x8/35-105,-395.2381915025
S66x8/35-110,-395.2383872197
S66x8/35-125,-395.2383795674
S66x8/35-150,-395.238039315
S66x8/35-200,-395.2378226167
S66x8/36-A,-197.6202932035
S66x8/36-B,-197.6203201608
S66x8/36-090,-395.2389460575
S66x8/36-095,-395.2399161687
S66x8/36-100,-395.2404519756
S66x8/36-105,-395.2407333828
S66x8/36-110,-395.2408619472
S66x8/36-125,-395.2408530248
S66x8/36-150,-395.2406265404
S66x8/36-200,-395.2404752667
S66x8/37-A,-196.410760503
S66x8/37-B,-197.6202476615
S66x8/37-090,-394.0279801711
S66x8/37-095,-394.0297628456
S66x8/37-100,-394.0307183929
S66x8/37-105,-394.0312165006
S66x8/37-110,-394.031464768
S66x8/37-125,-394.0315549405
S66x8/37-150,-394.0312668213
S66x8/37-200,-394.0310380033
S66x8/38-A,-196.4107055461
S66x8/38-B,-196.4107136562
S66x8/38-090,-392.8184894417
S66x8/38-095,-392.8201903736
S66x8/38-100,-392.8212434688
S66x8/38-105,-392.8217967501
S66x8/38-110,-392.8220510062
S66x8/38-125,-392.8220645638
S66x8/38-150,-392.8216789933
S66x8/38-200,-392.8214324193
S66x8/39-A,-232.0808812537
S66x8/39-B,-196.4106851842
S66x8/39-090,-428.487087141
S66x8/39-095,-428.4897959145
S66x8/39-100,-428.4912914864
S66x8/39-105,-428.4920610957
S66x8/39-110,-428.4923996592
S66x8/39-125,-428.4924368237
S66x8/39-150,-428.4919484583
S66x8/39-200,-428.4916041549
S66x8/40-A,-232.0808677605
S66x8/40-B,-197.6202881066
S66x8/40-090,-429.6979627754
S66x8/40-095,-429.7000817206
S66x8/40-100,-429.701196693
S66x8/40-105,-429.7017498507
S66x8/40-110,-429.7019895768
S66x8/40-125,-429.7019595784
S66x8/40-150,-429.7015058905
S66x8/40-200,-429.7012045619
S66x8/41-A,-414.5943514134
S66x8/41-B,-197.6175188514
S66x8/41-090,-612.2078686114
S66x8/41-095,-612.2104547745
S66x8/41-100,-612.2118825558
S66x8/41-105,-612.2126407187
S66x8/41-110,-612.2130370476
S66x8/41-125,-612.2129196468
S66x8/41-150,-612.212229071
S66x8/41-200,-612.2118824735
S66x8/42-A,-414.5943434295
S66x8/42-B,-196.4106949821
S66x8/42-090,-611.0006631757
S66x8/42-095,-611.0033324495
S66x8/42-100,-611.0047604758
S66x8/42-105,-611.0055086765
S66x8/42-110,-611.0058632954
S66x8/42-125,-611.0059215049
S66x8/42-150,-611.0054170876
S66x8/42-200,-611.0050831637
S66x8/43-A,-414.5943874166
S66x8/43-B,-197.6202157199
S66x8/43-090,-612.21183922
S66x8/43-095,-612.2139731034
S66x8/43-100,-612.2150586694
S66x8/43-105,-612.2155711756
S66x8/43-110,-612.2157743889
S66x8/43-125,-612.2156071849
S66x8/43-150,-612.2149967462
S66x8/43-200,-612.2145928276
S66x8/44-A,-78.5256929407
S66x8/44-B,-197.6174906127
S66x8/44-090,-276.1418965112
S66x8/44-095,-276.1429206559
S66x8/44-100,-276.1434658484
S66x8/44-105,-276.1437329662
S66x8/44-110,-276.1438407549
S66x8/44-125,-276.1437645775
S66x8/44-150,-276.143456774
S66x8/44-200,-276.1432664209
S66x8/45-A,-77.2688890186
S66x8/45-B,-197.6174948366
S66x8/45-090,-274.8844965387
S66x8/45-095,-274.8857826688
S66x8/45-100,-274.8864487316
S66x8/45-105,-274.8867762366
S66x8/45-110,-274.8869062868
S66x8/45-125,-274.8868193838
S66x8/45-150,-274.8864680387
S66x8/45-200,-274.8862133667
S66x8/46-A,-248.3755398667
S66x8/46-B,-197.6174322972
S66x8/46-090,-445.9911822
S66x8/46-095,-445.992759474
S66x8/46-100,-445.993677594
S66x8/46-105,-445.9941851611
S66x8/46-110,-445.9944284315
S66x8/46-125,-445.9943981305
S66x8/46-150,-445.9936993713
S66x8/46-200,-445.9931666333
S66x8/47-A,-232.0808522493
S66x8/47-B,-232.0807338426
S66x8/47-090,-464.1589409528
S66x8/47-095,-464.1611308657
S66x8/47-100,-464.1622361149
S66x8/47-105,-464.1627562741
S66x8/47-110,-464.162956787
S66x8/47-125,-464.1628272803
S66x8/47-150,-464.1622761881
S66x8/47-200,-464.1618579239
S66x8/48-A,-248.1130678395
S66x8/48-B,-248.1130164657
S66x8/48-090,-496.2250112088
S66x8/48-095,-496.2267965288
S66x8/48-100,-496.2277078359
S66x8/48-105,-496.2281224639
S66x8/48-110,-496.2282553831
S66x8/48-125,-496.2279654827
S66x8/48-150,-496.2271731479
S66x8/48-200,-496.226480916
S66x8/49-A,-232.0808517287
S66x8/49-B,-248.1130642185
S66x8/49-090,-480.1919613376
S66x8/49-095,-480.1941536907
S66x8/49-100,-480.1952317749
S66x8/49-105,-480.1957095152
S66x8/49-110,-480.1958581874
S66x8/49-125,-480.1955769382
S66x8/49-150,-480.1948412779
S66x8/49-200,-480.1942384855
S66x8/50-A,-232.080840294
S66x8/50-B,-77.2689500421
S66x8/50-090,-309.3498617208
S66x8/50-095,-309.3513574661
S66x8/50-100,-309.3519966219
S66x8/50-105,-309.3521721215
S66x8/50-110,-309.3521231272
S66x8/50-125,-309.3515238595
S66x8/50-150,-309.3506038775
S66x8/50-200,-309.3499062703
S66x8/51-A,-77.2689015099
S66x8/51-B,-77.2689639034
S66x8/51-090,-154.5393182923
S66x8/51-095,-154.5397272819
S66x8/51-100,-154.5398323989
S66x8/51-105,-154.5397734715
S66x8/51-110,-154.5396341456
S66x8/51-125,-154.5390953745
S66x8/51-150,-154.5384332279
S66x8/51-200,-154.5379733093
S66x8/52-A,-232.0808395146
S66x8/52-B,-228.9669413671
S66x8/52-090,-461.0503953159
S66x8/52-095,-461.0517212237
S66x8/52-100,-461.0522683223
S66x8/52-105,-461.0523644026
S66x8/52-110,-461.0522096083
S66x8/52-125,-461.0512305386
S66x8/52-150,-461.0497398976
S66x8/52-200,-461.0483933437
S66x8/53-A,-232.0808462809
S66x8/53-B,-209.0987589484
S66x8/53-090,-441.1824464101
S66x8/53-095,-441.1834556681
S66x8/53-100,-441.1838726
S66x8/53-105,-441.1839349659
S66x8/53-110,-441.1837930868
S66x8/53-125,-441.1829139996
S66x8/53-150,-441.1814932137
S66x8/53-200,-441.1801092553
S66x8/54-A,-232.0808248332
S66x8/54-B,-76.3936239778
S66x8/54-090,-308.4772524096
S66x8/54-095,-308.4780901335
S66x8/54-100,-308.4783677689
S66x8/54-105,-308.4783358703
S66x8/54-110,-308.4781445151
S66x8/54-125,-308.477286794
S66x8/54-150,-308.4760752093
S66x8/54-200,-308.4750101989
S66x8/55-A,-232.0808009782
S66x8/55-B,-115.6578780767
S66x8/55-090,-347.7403106358
S66x8/55-095,-347.7416582238
S66x8/55-100,-347.7422845839
S66x8/55-105,-347.7424827709
S66x8/55-110,-347.742434251
S66x8/55-125,-347.741729828
S66x8/55-150,-347.74049511
S66x8/55-200,-347.7393302279
S66x8/56-A,-232.0808495385
S66x8/56-B,-95.7949547628
S66x8/56-090,-327.8753114671
S66x8/56-095,-327.8767485917
S66x8/56-100,-327.8774865788
S66x8/56-105,-327.8778241069
S66x8/56-110,-327.8778930343
S66x8/56-125,-327.877503
S66x8/56-150,-327.8767087307
S66x8/56-200,-327.8760677323
S66x8/57-A,-232.0808039145
S66x8/57-B,-248.3755107167
S66x8/57-090,-480.4556023519
S66x8/57-095,-480.458361259
S66x8/57-100,-480.4596699271
S66x8/57-105,-480.4601835521
S66x8/57-110,-480.4602606586
S66x8/57-125,-480.4595773716
S66x8/57-150,-480.4582245769
S66x8/57-200,-480.4570331129
S66x8/58-A,-248.1130447374
S66x8/58-B,-248.1129728006
S66x8/58-090,-496.2280214786
S66x8/58-095,-496.2296677183
S66x8/58-100,-496.2303875422
S66x8/58-105,-496.2302629908
S66x8/58-110,-496.2298676294
S66x8/58-125,-496.2285513505
S66x8/58-150,-496.2271946865
S66x8/58-200,-496.2263331264
S66x8/59-A,-77.2690013194
S66x8/59-B,-76.3936815886
S66x8/59-090,-153.666843818
S66x8/59-095,-153.6671466215
S66x8/59-100,-153.6671355297
S66x8/59-105,-153.6669476212
S66x8/59-110,-153.6666683809
S66x8/59-125,-153.665687728
S66x8/59-150,-153.6643799794
S66x8/59-200,-153.6632057924
S66x8/60-A,-77.2688853403
S66x8/60-B,-228.9669166172
S66x8/60-090,-306.2421295732
S66x8/60-095,-306.2427816832
S66x8/60-100,-306.2428317834
S66x8/60-105,-306.2425360665
S66x8/60-110,-306.2420604883
S66x8/60-125,-306.2403889883
S66x8/60-150,-306.2382676936
S66x8/60-200,-306.2364914343
S66x8/61-A,-197.6174722433
S66x8/61-B,-228.9670065749
S66x8/61-090,-426.5835244826
S66x8/61-095,-426.5844349031
S66x8/61-100,-426.5849845466
S66x8/61-105,-426.5852936716
S66x8/61-110,-426.5854430592
S66x8/61-125,-426.585405226
S66x8/61-150,-426.5849063364
S66x8/61-200,-426.5845587092
S66x8/62-A,-197.6175091711
S66x8/62-B,-209.0987838938
S66x8/62-090,-406.7153997692
S66x8/62-095,-406.7166258082
S66x8/62-100,-406.7173023383
S66x8/62-105,-406.7176436408
S66x8/62-110,-406.7177779594
S66x8/62-125,-406.7175956004
S66x8/62-150,-406.7169601465
S66x8/62-200,-406.7164317164
S66x8/63-A,-232.0808876808
S66x8/63-B,-228.9669411745
S66x8/63-090,-461.046063677
S66x8/63-095,-461.0482086275
S66x8/63-100,-461.0492620567
S66x8/63-105,-461.0497145813
S66x8/63-110,-461.0498396872
S66x8/63-125,-461.0494852595
S66x8/63-150,-461.0486411472
S66x8/63-200,-461.0480095602
S66x8/64-A,-248.3754772645
S66x8/64-B,-78.5257618981
S66x8/64-090,-326.9016497979
S66x8/64-095,-326.9025882397
S66x8/64-100,-326.9030476979
S66x8/64-105,-326.9032221036
S66x8/64-110,-326.9032273621
S66x8/64-125,-326.9028163499
S66x8/64-150,-326.9019687218
S66x8/64-200,-326.9012977015
S66x8/65-A,-248.1131113141
S66x8/65-B,-77.2684103907
S66x8/65-090,-325.3874887169
S66x8/65-095,-325.3879059129
S66x8/65-100,-325.3879145649
S66x8/65-105,-325.3876827176
S66x8/65-110,-325.3873224852
S66x8/65-125,-325.3860490736
S66x8/65-150,-325.3843618113
S66x8/65-200,-325.3828598812
S66x8/66-A,-95.7949413522
S66x8/66-B,-248.1130894027
S66x8/66-090,-343.9096142091
S66x8/66-095,-343.9105971033
S66x8/66-100,-343.9110664886
S66x8/66-105,-343.9112225799
S66x8/66-110,-343.9111921973
S66x8/66-125,-343.9106486794
