system,B3LYP/def2-QZVP/TM
S22x5/08-2.0,-379.5463661595
S22x5/09-A,-169.8950630409
S22x5/09-B,-169.8950630409
S22x5/09-0.9,-339.8094485788
S22x5/09-1.0,-339.8126155076
S22x5/09-1.2,-339.8094535054
S22x5/09-1.5,-339.8018991934
S22x5/09-2.0,-339.7953575063
S22x5/10-A,-232.2000707474
S22x5/10-B,-76.4358105083
S22x5/10-0.9,-308.6367563544
S22x5/10-1.0,-308.638177872
S22x5/10-1.2,-308.6381947972
S22x5/10-1.5,-308.6372601917
S22x5/10-2.0,-308.636477409
S22x5/11-A,-232.2000814838
S22x5/11-B,-56.5571317073
S22x5/11-0.9,-288.7558734045
S22x5/11-1.0,-288.7575129175
S22x5/11-1.2,-288.7580641547
S22x5/11-1.5,-288.757743802
S22x5/11-2.0,-288.7574487502
S22x5/12-A,-232.200094023
S22x5/12-B,-40.5064344031
S22x5/12-0.9,-272.7033789629
S22x5/12-1.0,-272.7052755417
S22x5/12-1.2,-272.7063051152
S22x5/12-1.5,-272.7064459674
S22x5/12-2.0,-272.7065200332
S22x5/13-A,-232.2000824393
S22x5/13-B,-232.2000819942
S22x5/13-0.9,-464.3957595901
S22x5/13-1.0,-464.398585303
S22x5/13-1.2,-464.4002261455
S22x5/13-1.5,-464.4003465646
S22x5/13-2.0,-464.4002760058
S22x5/14-A,-232.2000834057
S22x5/14-B,-232.2000834057
S22x5/14-0.9,-464.3845397166
S22x5/14-1.0,-464.394234113
S22x5/14-1.2,-464.3987114716
S22x5/14-1.5,-464.3996943879
S22x5/14-2.0,-464.4000806253
S22x5/15-A,-232.2000466956
S22x5/15-B,-363.7516869979
S22x5/15-0.9,-595.949066626
S22x5/15-1.0,-595.9526453658
S22x5/15-1.2,-595.9543702858
S22x5/15-1.5,-595.9536776895
S22x5/15-2.0,-595.9526813474
S22x5/16-A,-232.2000644487
S22x5/16-B,-363.7516573248
S22x5/16-0.9,-595.9326791913
S22x5/16-1.0,-595.9443737151
S22x5/16-1.2,-595.9498208579
S22x5/16-1.5,-595.9508267401
S22x5/16-2.0,-595.9514010259
S22x5/17-A,-264.2791424635
S22x5/17-B,-264.2791346988
S22x5/17-0.9,-528.5442854037
S22x5/17-1.0,-528.5543809708
S22x5/17-1.2,-528.5582013543
S22x5/17-1.5,-528.5583755734
S22x5/17-2.0,-528.558344202
S22x5/18-A,-323.4866178412
S22x5/18-B,-303.6078979573
S22x5/18-0.9,-627.1134348942
S22x5/18-1.0,-627.1165538971
S22x5/18-1.2,-627.1133098894
S22x5/18-1.5,-627.1055098408
S22x5/18-2.0,-627.0988898803
S22x5/19-A,-307.4309762585
S22x5/19-B,-307.4310168055
S22x5/19-0.9,-614.8647094965
S22x5/19-1.0,-614.8668696032
S22x5/19-1.2,-614.8667544312
S22x5/19-1.5,-614.8648421241
S22x5/19-2.0,-614.8631970718
S22x5/20-A,-414.8033967879
S22x5/20-B,-414.8033967879
S22x5/20-0.9,-829.5967539827
S22x5/20-1.0,-829.6084838377
S22x5/20-1.2,-829.610528899
S22x5/20-1.5,-829.6087860149
S22x5/20-2.0,-829.6076447503
S22x5/21-A,-414.8026172987
S22x5/21-B,-414.8026172987
S22x5/21-0.9,-829.6306001107
S22x5/21-1.0,-829.6338440152
S22x5/21-1.2,-829.6295723765
S22x5/21-1.5,-829.6200807707
S22x5/21-2.0,-829.6117625855
S22x5/22-A,-232.2000597695
S22x5/22-B,-93.4176623183
S22x5/22-0.9,-325.6188773919
S22x5/22-1.0,-325.6208448711
S22x5/22-1.2,-325.6211153921
S22x5/22-1.5,-325.6198873886
S22x5/22-2.0,-325.6187450033
S66x8/01-A,-76.4359063558
S66x8/01-B,-76.4359064981
S66x8/01-090,-152.8787579583
S66x8/01-095,-152.8792580232
S66x8/01-100,-152.879281673
S66x8/01-105,-152.8790191215
S66x8/01-110,-152.8785976634
S66x8/01-125,-152.8770610867
S66x8/01-150,-152.8750020913
S66x8/01-200,-152.8731498661
S66x8/02-A,-76.4359152709
S66x8/02-B,-115.7207311127
S66x8/02-090,-192.1635778163
S66x8/02-095,-192.1642399912
S66x8/02-100,-192.1643590009
S66x8/02-105,-192.1641446354
S66x8/02-110,-192.1637387801
S66x8/02-125,-192.1621511977
S66x8/02-150,-192.1599463806
S66x8/02-200,-192.1579688375
S66x8/03-A,-76.4359274921
S66x8/03-B,-95.8460204435
S66x8/03-090,-172.2914127633
S66x8/03-095,-172.2920575262
S66x8/03-100,-172.2921051951
S66x8/03-105,-172.2917793526
S66x8/03-110,-172.2912336933
S66x8/03-125,-172.2891564478
S66x8/03-150,-172.2862200681
S66x8/03-200,-172.2835006558
S66x8/04-A,-76.435926452
S66x8/04-B,-248.5028532052
S66x8/04-090,-324.9486428731
S66x8/04-095,-324.9494318335
S66x8/04-100,-324.9495860103
S66x8/04-105,-324.9493392355
S66x8/04-110,-324.9488518094
S66x8/04-125,-324.9468600318
S66x8/04-150,-324.9438969983
S66x8/04-200,-324.940705343
S66x8/05-A,-115.7205814055
S66x8/05-B,-115.7207494076
S66x8/05-090,-231.4479009741
S66x8/05-095,-231.4487042257
S66x8/05-100,-231.448929732
S66x8/05-105,-231.4487948274
S66x8/05-110,-231.4484465041
S66x8/05-125,-231.4469447354
S66x8/05-150,-231.4447518361
S66x8/05-200,-231.4427339741
S66x8/06-A,-115.7203494145
S66x8/06-B,-95.8460253034
S66x8/06-090,-211.5749706472
S66x8/06-095,-211.5760057981
S66x8/06-100,-211.5763291427
S66x8/06-105,-211.5761930078
S66x8/06-110,-211.5757786103
S66x8/06-125,-211.5738741546
S66x8/06-150,-211.5709463774
S66x8/06-200,-211.5681458924
S66x8/07-A,-115.7204505357
S66x8/07-B,-248.5027340043
S66x8/07-090,-364.2323996656
S66x8/07-095,-364.2333937723
S66x8/07-100,-364.2337007814
S66x8/07-105,-364.2335656896
S66x8/07-110,-364.2331575653
S66x8/07-125,-364.2312831334
S66x8/07-150,-364.2279583462
S66x8/07-200,-364.2246946995
S66x8/08-A,-115.7206025004
S66x8/08-B,-76.4359119567
S66x8/08-090,-192.1630743848
S66x8/08-095,-192.1637038266
S66x8/08-100,-192.1638239387
S66x8/08-105,-192.1636321042
S66x8/08-110,-192.1632614685
S66x8/08-125,-192.1618010421
S66x8/08-150,-192.1597603398
S66x8/08-200,-192.157899821
S66x8/09-A,-95.8459381663
S66x8/09-B,-115.7207237657
S66x8/09-090,-211.5685268203
S66x8/09-095,-211.5691845111
S66x8/09-100,-211.569442562
S66x8/09-105,-211.5694625861
S66x8/09-110,-211.569346201
S66x8/09-125,-211.5687310132
S66x8/09-150,-211.5678774112
S66x8/09-200,-211.5671937555
S66x8/10-A,-95.8459726913
S66x8/10-B,-95.8459909525
S66x8/10-090,-191.6939847448
S66x8/10-095,-191.695039544
S66x8/10-100,-191.6955135232
S66x8/10-105,-191.6956252698
S66x8/10-110,-191.6955206231
S66x8/10-125,-191.6947280485
S66x8/10-150,-191.6932911489
S66x8/10-200,-191.6924243396
S66x8/11-A,-95.8457773553
S66x8/11-B,-248.5028942991
S66x8/11-090,-344.3511127759
S66x8/11-095,-344.3523257941
S66x8/11-100,-344.3529205855
S66x8/11-105,-344.3531171034
S66x8/11-110,-344.3530663072
S66x8/11-125,-344.3517801925
S66x8/11-150,-344.3501815391
S66x8/11-200,-344.349363752
S66x8/12-A,-95.8459955331
S66x8/12-B,-76.4356181329
S66x8/12-090,-172.2909320831
S66x8/12-095,-172.2917871396
S66x8/12-100,-172.2919702605
S66x8/12-105,-172.2917286669
S66x8/12-110,-172.2912324823
S66x8/12-125,-172.2891958215
S66x8/12-150,-172.2862333552
S66x8/12-200,-172.2834924095
S66x8/13-A,-248.5028249669
S66x8/13-B,-115.720762376
S66x8/13-090,-364.228584689
S66x8/13-095,-364.2296406657
S66x8/13-100,-364.230095361
S66x8/13-105,-364.2301649431
S66x8/13-110,-364.2299965064
S66x8/13-125,-364.2289067537
S66x8/13-150,-364.2270912303
S66x8/13-200,-364.2252920443
S66x8/14-A,-248.5026047718
S66x8/14-B,-95.8459915425
S66x8/14-090,-344.3549413636
S66x8/14-095,-344.3561909918
S66x8/14-100,-344.3567401962
S66x8/14-105,-344.3568304956
S66x8/14-110,-344.3566291528
S66x8/14-125,-344.3552768741
S66x8/14-150,-344.3529287507
S66x8/14-200,-344.3505398352
S66x8/15-A,-248.502701674
S66x8/15-B,-248.5028155666
S66x8/15-090,-497.0125534801
S66x8/15-095,-497.0138176051
S66x8/15-100,-497.0143856582
S66x8/15-105,-497.0144959005
S66x8/15-110,-497.0143142966
S66x8/15-125,-497.0129976072
S66x8/15-150,-497.0106190553
S66x8/15-200,-497.0077864715
S66x8/16-A,-248.5028730998
S66x8/16-B,-76.4359145007
S66x8/16-090,-324.9443979678
S66x8/16-095,-324.9451445739
S66x8/16-100,-324.9453881988
S66x8/16-105,-324.9453193156
S66x8/16-110,-324.945065733
S66x8/16-125,-324.9439038342
S66x8/16-150,-324.9421604388
S66x8/16-200,-324.9404639566
S66x8/17-A,-414.8028752916
S66x8/17-B,-414.8029630054
S66x8/17-090,-829.6266828934
S66x8/17-095,-829.6287898491
S66x8/17-100,-829.6294490996
S66x8/17-105,-829.6291592322
S66x8/17-110,-829.6282699657
S66x8/17-125,-829.6240873305
S66x8/17-150,-829.6173323348
S66x8/17-200,-829.6104453718
S66x8/18-A,-76.4359198736
S66x8/18-B,-248.2414642785
S66x8/18-090,-324.6863956058
S66x8/18-095,-324.687088919
S66x8/18-100,-324.6871770298
S66x8/18-105,-324.6868866387
S66x8/18-110,-324.6863736267
S66x8/18-125,-324.6843851867
S66x8/18-150,-324.6815661253
S66x8/18-200,-324.6789606055
S66x8/19-A,-115.7203538917
S66x8/19-B,-248.2414613877
S66x8/19-090,-363.9702149985
S66x8/19-095,-363.9712012027
S66x8/19-100,-363.9714998262
S66x8/19-105,-363.9713564828
S66x8/19-110,-363.971001803
S66x8/19-125,-363.9690659534
S66x8/19-150,-363.9662453366
S66x8/19-200,-363.9634762218
S66x8/20-A,-229.0853316803
S66x8/20-B,-229.085330092
S66x8/20-090,-458.1964064859
S66x8/20-095,-458.1985691045
S66x8/20-100,-458.1990840646
S66x8/20-105,-458.1985354512
S66x8/20-110,-458.1973304391
S66x8/20-125,-458.192176399
S66x8/20-150,-458.1840541938
S66x8/20-200,-458.1758198434
S66x8/21-A,-209.2068047186
S66x8/21-B,-209.2068077142
S66x8/21-090,-418.4339738631
S66x8/21-095,-418.4359084807
S66x8/21-100,-418.4364697087
S66x8/21-105,-418.4361410716
S66x8/21-110,-418.4352589531
S66x8/21-125,-418.4312721185
S66x8/21-150,-418.4249869853
S66x8/21-200,-418.4180155003
S66x8/22-A,-229.0853002289
S66x8/22-B,-414.8026827974
S66x8/22-090,-643.9134296058
S66x8/22-095,-643.9155904299
S66x8/22-100,-643.9161980721
S66x8/22-105,-643.9157843327
S66x8/22-110,-643.9147242948
S66x8/22-125,-643.9099121184
S66x8/22-150,-643.9021360543
S66x8/22-200,-643.893938499
S66x8/23-A,-209.2066909908
S66x8/23-B,-414.8025576095
S66x8/23-090,-624.0336803169
S66x8/23-095,-624.0357781704
S66x8/23-100,-624.0364579883
S66x8/23-105,-624.036191426
S66x8/23-110,-624.0353147709
S66x8/23-125,-624.0310729001
S66x8/23-150,-624.0239349552
S66x8/23-200,-624.0160460012
S66x8/24-A,-232.2001086745
S66x8/24-B,-232.2000920242
S66x8/24-090,-464.3852057714
S66x8/24-095,-464.3910019736
S66x8/24-100,-464.394374218
S66x8/24-105,-464.3963446918
S66x8/24-110,-464.3975064093
S66x8/24-125,-464.3989648905
S66x8/24-150,-464.3996839964
S66x8/24-200,-464.4000817103
S66x8/25-A,-248.2414189046
S66x8/25-B,-248.2414438319
S66x8/25-090,-496.4692089953
S66x8/25-095,-496.4749740517
S66x8/25-100,-496.4783317799
S66x8/25-105,-496.4802688976
S66x8/25-110,-496.4813733777
S66x8/25-125,-496.4825707616
S66x8/25-150,-496.4829151651
S66x8/25-200,-496.482983626
S66x8/26-A,-414.8033972373
S66x8/26-B,-414.8033972373
S66x8/26-090,-829.5998372915
S66x8/26-095,-829.6054346506
S66x8/26-100,-829.6084848511
S66x8/26-105,-829.6100207669
S66x8/26-110,-829.6106516433
S66x8/26-125,-829.6104190229
S66x8/26-150,-829.6090859692
S66x8/26-200,-829.607858796
S66x8/27-A,-232.2001050646
S66x8/27-B,-248.2414515801
S66x8/27-090,-480.4269492243
S66x8/27-095,-480.4330291861
S66x8/27-100,-480.4364873882
S66x8/27-105,-480.438452318
S66x8/27-110,-480.4395699054
S66x8/27-125,-480.4408260987
S66x8/27-150,-480.4413232633
S66x8/27-200,-480.4415372545
S66x8/28-A,-232.2000425153
S66x8/28-B,-414.8039700202
S66x8/28-090,-646.9910094253
S66x8/28-095,-646.996770052
S66x8/28-100,-647.0001273195
S66x8/28-105,-647.00202291
S66x8/28-110,-647.0030550053
S66x8/28-125,-647.003957166
S66x8/28-150,-647.0039660641
S66x8/28-200,-647.0039441107
S66x8/29-A,-248.2414172519
S66x8/29-B,-414.8039244332
S66x8/29-090,-663.0320869162
S66x8/29-095,-663.0395475818
S66x8/29-100,-663.0434675745
S66x8/29-105,-663.0454318864
S66x8/29-110,-663.0463536156
S66x8/29-125,-663.046771239
S66x8/29-150,-663.0462863554
S66x8/29-200,-663.0457525714
S66x8/30-A,-232.2001004272
S66x8/30-B,-78.5726743015
S66x8/30-090,-310.7645548819
S66x8/30-095,-310.7674684346
S66x8/30-100,-310.7691935031
S66x8/30-105,-310.7702201599
S66x8/30-110,-310.7708427276
S66x8/30-125,-310.7716896296
S66x8/30-150,-310.7722209822
S66x8/30-200,-310.7726299006
S66x8/31-A,-414.8039927834
S66x8/31-B,-78.572669881
S66x8/31-090,-493.3714272453
S66x8/31-095,-493.3739717689
S66x8/31-100,-493.375440055
S66x8/31-105,-493.3762664615
S66x8/31-110,-493.3767053369
S66x8/31-125,-493.3770404032
S66x8/31-150,-493.3769370456
S66x8/31-200,-493.3767770117
S66x8/32-A,-414.8039949119
S66x8/32-B,-77.3192068509
S66x8/32-090,-492.1191234716
S66x8/32-095,-492.1216758736
S66x8/32-100,-492.1230742175
S66x8/32-105,-492.1237844621
S66x8/32-110,-492.1240958401
S66x8/32-125,-492.1240711958
S66x8/32-150,-492.1235946929
S66x8/32-200,-492.1231978923
S66x8/33-A,-248.241458424
S66x8/33-B,-78.5726407517
S66x8/33-090,-326.8070337714
S66x8/33-095,-326.8096066405
S66x8/33-100,-326.8111654592
S66x8/33-105,-326.8121029131
S66x8/33-110,-326.8126694599
S66x8/33-125,-326.8133825359
S66x8/33-150,-326.8137485736
S66x8/33-200,-326.8140272571
S66x8/34-A,-197.7135243334
S66x8/34-B,-197.7135143413
S66x8/34-090,-395.4187609461
S66x8/34-095,-395.421934983
S66x8/34-100,-395.4238131885
S66x8/34-105,-395.4249321248
S66x8/34-110,-395.4255853959
S66x8/34-125,-395.4263842932
S66x8/34-150,-395.4268555805
S66x8/34-200,-395.4272109027
S66x8/35-A,-197.7135209429
S66x8/35-B,-197.7149114952
S66x8/35-090,-395.4222473238
S66x8/35-095,-395.42475765
S66x8/35-100,-395.4261458365
S66x8/35-105,-395.4269262425
S66x8/35-110,-395.4273622411
S66x8/35-125,-395.4278900019
S66x8/35-150,-395.4281957228
S66x8/35-200,-395.4284407447
S66x8/36-A,-197.714892982
S66x8/36-B,-197.7149359334
S66x8/36-090,-395.4259042701
S66x8/36-095,-395.4272505094
S66x8/36-100,-395.4280232427
S66x8/36-105,-395.4284784919
S66x8/36-110,-395.4287692925
S66x8/36-125,-395.4291804288
S66x8/36-150,-395.4294423738
S66x8/36-200,-395.429630643
S66x8/37-A,-196.5012719722
S66x8/37-B,-197.7147224844
S66x8/37-090,-394.2097488802
S66x8/37-095,-394.2122384195
S66x8/37-100,-394.2136495996
S66x8/37-105,-394.2144566057
S66x8/37-110,-394.2149359931
S66x8/37-125,-394.2155315866
S66x8/37-150,-394.2158357317
S66x8/37-200,-394.2160789834
S66x8/38-A,-196.5011685498
S66x8/38-B,-196.5011778979
S66x8/38-090,-392.9959732804
S66x8/38-095,-392.9983262581
S66x8/38-100,-392.9998682323
S66x8/38-105,-393.0007400093
S66x8/38-110,-393.0012247539
S66x8/38-125,-393.0017495388
S66x8/38-150,-393.0020281091
S66x8/38-200,-393.0022773165
S66x8/39-A,-232.2000945337
S66x8/39-B,-196.5011337464
S66x8/39-090,-428.6919243693
S66x8/39-095,-428.6956923935
S66x8/39-100,-428.6979715792
S66x8/39-105,-428.6993099072
S66x8/39-110,-428.7000445747
S66x8/39-125,-428.7008152278
S66x8/39-150,-428.7010567357
S66x8/39-200,-428.7012217615
S66x8/40-A,-232.2000887102
S66x8/40-B,-197.7148642373
S66x8/40-090,-429.9078568316
S66x8/40-095,-429.9108047519
S66x8/40-100,-429.9125136527
S66x8/40-105,-429.9135010833
S66x8/40-110,-429.9140570273
S66x8/40-125,-429.9146484461
S66x8/40-150,-429.9148256253
S66x8/40-200,-429.9149579433
S66x8/41-A,-414.8040067946
S66x8/41-B,-197.7136047561
S66x8/41-090,-612.508438297
S66x8/41-095,-612.5121162297
S66x8/41-100,-612.5143017666
S66x8/41-105,-612.5155798769
S66x8/41-110,-612.5164246367
S66x8/41-125,-612.5171567829
S66x8/41-150,-612.5174019175
S66x8/41-200,-612.5175807558
S66x8/42-A,-414.8040097753
S66x8/42-B,-196.5011797283
S66x8/42-090,-611.2963055289
S66x8/42-095,-611.2999965255
S66x8/42-100,-611.3021079343
S66x8/42-105,-611.3033022927
S66x8/42-110,-611.3039734708
S66x8/42-125,-611.3046829177
S66x8/42-150,-611.3049497666
S66x8/42-200,-611.3051664917
S66x8/43-A,-414.8040046175
S66x8/43-B,-197.7148550538
S66x8/43-090,-612.5122955237
S66x8/43-095,-612.5152530405
S66x8/43-100,-612.5168876001
S66x8/43-105,-612.5177816019
S66x8/43-110,-612.5182535969
S66x8/43-125,-612.5186678249
S66x8/43-150,-612.5187267676
S66x8/43-200,-612.5187742066
S66x8/44-A,-78.5726730883
S66x8/44-B,-197.7135448798
S66x8/44-090,-276.2823661054
S66x8/44-095,-276.2838823172
S66x8/44-100,-276.2847447636
S66x8/44-105,-276.2852397461
S66x8/44-110,-276.2855198619
S66x8/44-125,-276.2858676386
S66x8/44-150,-276.2860879222
S66x8/44-200,-276.2862720675
S66x8/45-A,-77.3192233494
S66x8/45-B,-197.7135437742
S66x8/45-090,-275.0282582256
S66x8/45-095,-275.0300762224
S66x8/45-100,-275.0311074668
S66x8/45-105,-275.0316950717
S66x8/45-110,-275.0320269909
S66x8/45-125,-275.032388436
S66x8/45-150,-275.0325227075
S66x8/45-200,-275.0325670378
S66x8/46-A,-248.5029589446
S66x8/46-B,-197.7135054137
S66x8/46-090,-446.21054371
S66x8/46-095,-446.2128471573
S66x8/46-100,-446.214273986
S66x8/46-105,-446.2151443481
S66x8/46-110,-446.2156639685
S66x8/46-125,-446.2162406946
S66x8/46-150,-446.2164235513
S66x8/46-200,-446.2165664555
S66x8/47-A,-232.2000824658
S66x8/47-B,-232.2000232895
S66x8/47-090,-464.3936959964
S66x8/47-095,-464.396695835
S66x8/47-100,-464.3983959081
S66x8/47-105,-464.399336852
S66x8/47-110,-464.3998453845
S66x8/47-125,-464.4002745136
S66x8/47-150,-464.4002690045
S66x8/47-200,-464.4002460017
S66x8/48-A,-248.241437295
S66x8/48-B,-248.2413831749
S66x8/48-090,-496.4782850989
S66x8/48-095,-496.4807963171
S66x8/48-100,-496.4822308168
S66x8/48-105,-496.483016577
S66x8/48-110,-496.4834115362
S66x8/48-125,-496.4836049172
S66x8/48-150,-496.4833468834
S66x8/48-200,-496.4831078
S66x8/49-A,-232.2000819055
S66x8/49-B,-248.2414137237
S66x8/49-090,-480.4357503627
S66x8/49-095,-480.4387681564
S66x8/49-100,-480.4404577133
S66x8/49-105,-480.4413666759
S66x8/49-110,-480.4418339099
S66x8/49-125,-480.442124605
S66x8/49-150,-480.4419430305
S66x8/49-200,-480.4417479201
S66x8/50-A,-232.2000775382
S66x8/50-B,-77.3192711468
S66x8/50-090,-309.5165116093
S66x8/50-095,-309.5186422711
S66x8/50-100,-309.5197443583
S66x8/50-105,-309.5202579565
S66x8/50-110,-309.5204488011
S66x8/50-125,-309.5203106947
S66x8/50-150,-309.5198530481
S66x8/50-200,-309.5194767119
S66x8/51-A,-77.3192346256
S66x8/51-B,-77.319286345
S66x8/51-090,-154.6387394887
S66x8/51-095,-154.6393649132
S66x8/51-100,-154.6396338291
S66x8/51-105,-154.6396996619
S66x8/51-110,-154.6396567748
S66x8/51-125,-154.6393291371
S66x8/51-150,-154.6389056113
S66x8/51-200,-154.6386124874
S66x8/52-A,-232.2000773698
S66x8/52-B,-229.0872125244
S66x8/52-090,-461.2863546229
S66x8/52-095,-461.2882930745
S66x8/52-100,-461.2893238547
S66x8/52-105,-461.2898030818
S66x8/52-110,-461.2899526586
S66x8/52-125,-461.2895706951
S66x8/52-150,-461.2886292333
S66x8/52-200,-461.2877863281
S66x8/53-A,-232.2000807479
S66x8/53-B,-209.2077263073
S66x8/53-090,-441.4078427626
S66x8/53-095,-441.4092956056
S66x8/53-100,-441.410063803
S66x8/53-105,-441.4104027691
S66x8/53-110,-441.4104771574
S66x8/53-125,-441.4100393673
S66x8/53-150,-441.4090969322
S66x8/53-200,-441.4082089432
S66x8/54-A,-232.200070231
S66x8/54-B,-76.4358289957
S66x8/54-090,-308.6362665856
S66x8/54-095,-308.6375501129
S66x8/54-100,-308.6381704372
S66x8/54-105,-308.6383995516
S66x8/54-110,-308.6384088403
S66x8/54-125,-308.6379460628
S66x8/54-150,-308.6371357699
S66x8/54-200,-308.6363979497
S66x8/55-A,-232.2000587564
S66x8/55-B,-115.7206494945
S66x8/55-090,-347.9188568592
S66x8/55-095,-347.9208241298
S66x8/55-100,-347.9219269439
S66x8/55-105,-347.9224923671
S66x8/55-110,-347.9227287924
S66x8/55-125,-347.9225841569
S66x8/55-150,-347.9219017813
S66x8/55-200,-347.9212317401
S66x8/56-A,-232.2000813931
S66x8/56-B,-95.8459227051
S66x8/56-090,-328.0421407345
S66x8/56-095,-328.0442153924
S66x8/56-100,-328.0454361018
S66x8/56-105,-328.0461628208
S66x8/56-110,-328.0465267347
S66x8/56-125,-328.0466965479
S66x8/56-150,-328.0464554975
S66x8/56-200,-328.046217649
S66x8/57-A,-232.2000596568
S66x8/57-B,-248.5029204824
S66x8/57-090,-480.6972953115
S66x8/57-095,-480.7011089987
S66x8/57-100,-480.7031915716
S66x8/57-105,-480.7042697861
S66x8/57-110,-480.7047647692
S66x8/57-125,-480.7048496936
S66x8/57-150,-480.7042154301
S66x8/57-200,-480.7035790621
S66x8/58-A,-248.2414266955
S66x8/58-B,-248.2413702338
S66x8/58-090,-496.4822047343
S66x8/58-095,-496.4844151127
S66x8/58-100,-496.4856831038
S66x8/58-105,-496.48586831
S66x8/58-110,-496.4856565584
S66x8/58-125,-496.4846474865
S66x8/58-150,-496.4836539998
S66x8/58-200,-496.4830650361
S66x8/59-A,-77.3193092365
S66x8/59-B,-76.4359021916
S66x8/59-090,-153.7583642235
S66x8/59-095,-153.7588191558
S66x8/59-100,-153.7589177858
S66x8/59-105,-153.7588062457
S66x8/59-110,-153.7585799011
S66x8/59-125,-153.7577091533
S66x8/59-150,-153.7565712979
S66x8/59-200,-153.7555947105
S66x8/60-A,-77.3192114189
S66x8/60-B,-229.0871961079
S66x8/60-090,-306.4101692133
S66x8/60-095,-306.4112539841
S66x8/60-100,-306.4116505779
S66x8/60-105,-306.4116306291
S66x8/60-110,-306.4113721467
S66x8/60-125,-306.4101163469
S66x8/60-150,-306.40836296
S66x8/60-200,-306.4069817126
S66x8/61-A,-197.7135677472
S66x8/61-B,-229.0872592089
S66x8/61-090,-426.7970668269
S66x8/61-095,-426.7983662203
S66x8/61-100,-426.7991995934
S66x8/61-105,-426.7997250008
S66x8/61-110,-426.8000562703
S66x8/61-125,-426.8004653949
S66x8/61-150,-426.8006638065
S66x8/61-200,-426.8008323521
S66x8/62-A,-197.7135840901
S66x8/62-B,-209.2077358989
S66x8/62-090,-406.9171119214
S66x8/62-095,-406.9189035457
S66x8/62-100,-406.919980236
S66x8/62-105,-406.9206054918
S66x8/62-110,-406.9209550929
S66x8/62-125,-406.9212743423
S66x8/62-150,-406.9213020576
S66x8/62-200,-406.921364686
S66x8/63-A,-232.2000980223
S66x8/63-B,-229.0871956362
S66x8/63-090,-461.2813512824
S66x8/63-095,-461.2844160652
S66x8/63-100,-461.2861365278
S66x8/63-105,-461.2870693152
S66x8/63-110,-461.2875398703
S66x8/63-125,-461.2878241279
S66x8/63-150,-461.2876339019
S66x8/63-200,-461.2874446789
S66x8/64-A,-248.5029199196
S66x8/64-B,-78.5727188711
S66x8/64-090,-327.0736216925
S66x8/64-095,-327.0749635829
S66x8/64-100,-327.075713897
S66x8/64-105,-327.0761007213
S66x8/64-110,-327.0762664006
S66x8/64-125,-327.0762220968
S66x8/64-150,-327.0758996457
S66x8/64-200,-327.0756707864
S66x8/65-A,-248.2414659987
S66x8/65-B,-77.318762095
S66x8/65-090,-325.5647039599
S66x8/65-095,-325.5653556375
S66x8/65-100,-325.5655546251
S66x8/65-105,-325.5654745298
S66x8/65-110,-325.5652320666
S66x8/65-125,-325.5641729401
S66x8/65-150,-325.5626811016
S66x8/65-200,-325.5614031634
S66x8/66-A,-95.8459091981
S66x8/66-B,-248.2414518517
S66x8/66-090,-344.0862186619
S66x8/66-095,-344.0876757011
S66x8/66-100,-344.0885136321
S66x8/66-105,-344.0889480372
S66x8/66-110,-344.0891258676
S66x8/66-125,-344.0889711057
