system,mPW1PW/def2-QZVP/ORCA
S66x8/13-200,-364.332024424
S66x8/14-A,-248.5789388738
S66x8/14-B,-95.8812494576
S66x8/14-090,-344.4677453918
S66x8/14-095,-344.4687195625
S66x8/14-100,-344.4690576351
S66x8/14-105,-344.4689894378
S66x8/14-110,-344.468673855
S66x8/14-125,-344.4671653912
S66x8/14-150,-344.4648060863
S66x8/14-200,-344.4623443264
S66x8/15-A,-248.5792603218
S66x8/15-B,-248.5793498823
S66x8/15-090,-497.166623835
S66x8/15-095,-497.1676489544
S66x8/15-100,-497.1680446196
S66x8/15-105,-497.1680334965
S66x8/15-110,-497.1677698492
S66x8/15-125,-497.1663681161
S66x8/15-150,-497.1640535456
S66x8/15-200,-497.1611201073
S66x8/16-A,-248.5794478219
S66x8/16-B,-76.4491771801
S66x8/16-090,-325.0345399133
S66x8/16-095,-325.0351715554
S66x8/16-100,-325.0353479656
S66x8/16-105,-325.035247938
S66x8/16-110,-325.0349908527
S66x8/16-125,-325.0338904623
S66x8/16-150,-325.0322492069
S66x8/16-200,-325.0304464878
S66x8/17-A,-414.909309628
S66x8/17-B,-414.9094467096
S66x8/17-090,-829.841293772
S66x8/17-095,-829.8428521727
S66x8/17-100,-829.8430850292
S66x8/17-105,-829.8424747513
S66x8/17-110,-829.8413581394
S66x8/17-125,-829.8368946628
S66x8/17-150,-829.8302433776
S66x8/17-200,-829.8236009189
S66x8/18-A,-76.4491981608
S66x8/18-B,-248.3261568986
S66x8/18-090,-324.7847394093
S66x8/18-095,-324.7852577406
S66x8/18-100,-324.7852157783
S66x8/18-105,-324.784833183
S66x8/18-110,-324.7842603007
S66x8/18-125,-324.7822190853
S66x8/18-150,-324.7794854855
S66x8/18-200,-324.7769390956
S66x8/19-A,-115.7506820341
S66x8/19-B,-248.3261508925
S66x8/19-090,-364.0859921305
S66x8/19-095,-364.0867685823
S66x8/19-100,-364.0869069987
S66x8/19-105,-364.0866469861
S66x8/19-110,-364.0860617891
S66x8/19-125,-364.0841879046
S66x8/19-150,-364.0812519883
S66x8/19-200,-364.0785305941
S66x8/20-A,-229.1387743772
S66x8/20-B,-229.1387718093
S66x8/20-090,-458.305660903
S66x8/20-095,-458.3071949274
S66x8/20-100,-458.3072015481
S66x8/20-105,-458.3062514927
S66x8/20-110,-458.3047391388
S66x8/20-125,-458.2991016961
S66x8/20-150,-458.2908933148
S66x8/20-200,-458.2829317647
S66x8/21-A,-209.2647203655
S66x8/21-B,-209.2647234248
S66x8/21-090,-418.5514439381
S66x8/21-095,-418.5528620168
S66x8/21-100,-418.5530277606
S66x8/21-105,-418.5524071995
S66x8/21-110,-418.5513189826
S66x8/21-125,-418.5470728692
S66x8/21-150,-418.5408844461
S66x8/21-200,-418.534075935
S66x8/22-A,-229.1387028247
S66x8/22-B,-414.9091751396
S66x8/22-090,-644.0753634613
S66x8/22-095,-644.0769366039
S66x8/22-100,-644.077075431
S66x8/22-105,-644.0762961342
S66x8/22-110,-644.0749624515
S66x8/22-125,-644.0697391316
S66x8/22-150,-644.0619639676
S66x8/22-200,-644.0540551677
S66x8/23-A,-209.2646250209
S66x8/23-B,-414.9090100739
S66x8/23-090,-624.1999287461
S66x8/23-095,-624.2014841801
S66x8/23-100,-624.2017362549
S66x8/23-105,-624.2011419047
S66x8/23-110,-624.2000233063
S66x8/23-125,-624.1954278922
S66x8/23-150,-624.1883124258
S66x8/23-200,-624.180664031
S66x8/24-A,-232.2883746348
S66x8/24-B,-232.2883294116
S66x8/24-090,-464.5649329903
S66x8/24-095,-464.5696849673
S66x8/24-100,-464.5723761882
S66x8/24-105,-464.5738876754
S66x8/24-110,-464.5747778861
S66x8/24-125,-464.5759535322
S66x8/24-150,-464.5764902999
S66x8/24-200,-464.5765950932
S66x8/25-A,-248.326115865
S66x8/25-B,-248.3261490529
S66x8/25-090,-496.6420285677
S66x8/25-095,-496.6466605372
S66x8/25-100,-496.6493000898
S66x8/25-105,-496.6507932338
S66x8/25-110,-496.6516163892
S66x8/25-125,-496.6525211702
S66x8/25-150,-496.6526859658
S66x8/25-200,-496.6524336248
S66x8/26-A,-414.9098954925
S66x8/26-B,-414.9098954925
S66x8/26-090,-829.81582517
S66x8/26-095,-829.8203885072
S66x8/26-100,-829.8227756781
S66x8/26-105,-829.8239188691
S66x8/26-110,-829.8243715786
S66x8/26-125,-829.8240785047
S66x8/26-150,-829.8227553467
S66x8/26-200,-829.8210050957
S66x8/27-A,-232.2883642868
S66x8/27-B,-248.3261644396
S66x8/27-090,-480.6032936976
S66x8/27-095,-480.6082351933
S66x8/27-100,-480.6109944759
S66x8/27-105,-480.6124838248
S66x8/27-110,-480.6133188249
S66x8/27-125,-480.6142971883
S66x8/27-150,-480.6146114912
S66x8/27-200,-480.6145188445
S66x8/28-A,-232.288220969
S66x8/28-B,-414.9105126918
S66x8/28-090,-647.1893061845
S66x8/28-095,-647.1939073569
S66x8/28-100,-647.1965332968
S66x8/28-105,-647.1979242539
S66x8/28-110,-647.1986516354
S66x8/28-125,-647.1993039137
S66x8/28-150,-647.1992226734
S66x8/28-200,-647.1987815669
S66x8/29-A,-248.3260851596
S66x8/29-B,-414.9105039428
S66x8/29-090,-663.2269622336
S66x8/29-095,-663.2330223484
S66x8/29-100,-663.236076475
S66x8/29-105,-663.2375435589
S66x8/29-110,-663.2382398077
S66x8/29-125,-663.2385344297
S66x8/29-150,-663.2379289837
S66x8/29-200,-663.2370046624
S66x8/30-A,-232.2883512841
S66x8/30-B,-78.6013718341
S66x8/30-090,-310.8833349096
S66x8/30-095,-310.8856619229
S66x8/30-100,-310.8870070129
S66x8/30-105,-310.8878014587
S66x8/30-110,-310.888294296
S66x8/30-125,-310.8889968454
S66x8/30-150,-310.8894126328
S66x8/30-200,-310.8896018285
S66x8/31-A,-414.9105497665
S66x8/31-B,-78.6013469894
S66x8/31-090,-493.5082437129
S66x8/31-095,-493.5102820184
S66x8/31-100,-493.5114378846
S66x8/31-105,-493.5120807542
S66x8/31-110,-493.512422925
S66x8/31-125,-493.5126887646
S66x8/31-150,-493.5125032573
S66x8/31-200,-493.5120572417
S66x8/32-A,-414.9106023572
S66x8/32-B,-77.3392182894
S66x8/32-090,-492.247191779
S66x8/32-095,-492.2492553874
S66x8/32-100,-492.2503408685
S66x8/32-105,-492.2508610932
S66x8/32-110,-492.2510790118
S66x8/32-125,-492.2509959683
S66x8/32-150,-492.2504728411
S66x8/32-200,-492.249815856
S66x8/33-A,-248.326187613
S66x8/33-B,-78.6013404224
S66x8/33-090,-326.9221823969
S66x8/33-095,-326.924213625
S66x8/33-100,-326.9254211777
S66x8/33-105,-326.9261461315
S66x8/33-110,-326.9265810823
S66x8/33-125,-326.9271583246
S66x8/33-150,-326.9274434076
S66x8/33-200,-326.9274958708
S66x8/34-A,-197.8093828477
S66x8/34-B,-197.809388543
S66x8/34-090,-395.6119139539
S66x8/34-095,-395.6145706983
S66x8/34-100,-395.616168776
S66x8/34-105,-395.6171731956
S66x8/34-110,-395.6177900597
S66x8/34-125,-395.6188315823
S66x8/34-150,-395.6191878418
S66x8/34-200,-395.619088594
S66x8/35-A,-197.8093858526
S66x8/35-B,-197.8115148419
S66x8/35-090,-395.6157805768
S66x8/35-095,-395.6179475498
S66x8/35-100,-395.6191655866
S66x8/35-105,-395.6198810001
S66x8/35-110,-395.6202866428
S66x8/35-125,-395.620902
S66x8/35-150,-395.621097795
S66x8/35-200,-395.6210054281
S66x8/36-A,-197.8115128776
S66x8/36-B,-197.8115342472
S66x8/36-090,-395.6196270043
S66x8/36-095,-395.6208098044
S66x8/36-100,-395.6215679958
S66x8/36-105,-395.6220530107
S66x8/36-110,-395.6223494093
S66x8/36-125,-395.622794726
S66x8/36-150,-395.6229559065
S66x8/36-200,-395.6228867161
S66x8/37-A,-196.5973773877
S66x8/37-B,-197.811458744
S66x8/37-090,-394.4035247042
S66x8/37-095,-394.4056559145
S66x8/37-100,-394.4068714554
S66x8/37-105,-394.4075950622
S66x8/37-110,-394.4080681585
S66x8/37-125,-394.4087154686
S66x8/37-150,-394.4089598879
S66x8/37-200,-394.408890536
S66x8/38-A,-196.5973149758
S66x8/38-B,-196.5973275635
S66x8/38-090,-393.1892332051
S66x8/38-095,-393.1912309547
S66x8/38-100,-393.192558093
S66x8/38-105,-393.1933492277
S66x8/38-110,-393.1938728582
S66x8/38-125,-393.1945602781
S66x8/38-150,-393.1947896584
S66x8/38-200,-393.1946827623
S66x8/39-A,-232.2883357693
S66x8/39-B,-196.5972925621
S66x8/39-090,-428.8786732402
S66x8/39-095,-428.8817250587
S66x8/39-100,-428.8835201142
S66x8/39-105,-428.8845605592
S66x8/39-110,-428.88513449
S66x8/39-125,-428.8857602875
S66x8/39-150,-428.8858994034
S66x8/39-200,-428.8856921216
S66x8/40-A,-232.2883210822
S66x8/40-B,-197.8114654582
S66x8/40-090,-430.0945999879
S66x8/40-095,-430.0970095888
S66x8/40-100,-430.0983781281
S66x8/40-105,-430.0991395907
S66x8/40-110,-430.0995768764
S66x8/40-125,-430.1000484691
S66x8/40-150,-430.1001001845
S66x8/40-200,-430.0999095761
S66x8/41-A,-414.9105108947
S66x8/41-B,-197.8094557308
S66x8/41-090,-612.7127894833
S66x8/41-095,-612.7157771687
S66x8/41-100,-612.7175613865
S66x8/41-105,-612.7186517494
S66x8/41-110,-612.7194098255
S66x8/41-125,-612.7201983973
S66x8/41-150,-612.7202804818
S66x8/41-200,-612.7199967354
S66x8/42-A,-414.9105051809
S66x8/42-B,-196.5973064494
S66x8/42-090,-611.5006027519
S66x8/42-095,-611.5036957948
S66x8/42-100,-611.505457537
S66x8/42-105,-611.5064765963
S66x8/42-110,-611.5070995054
S66x8/42-125,-611.5078778574
S66x8/42-150,-611.5080883668
S66x8/42-200,-611.5078816799
S66x8/43-A,-414.9105479831
S66x8/43-B,-197.8114807697
S66x8/43-090,-612.7168335611
S66x8/43-095,-612.7192888387
S66x8/43-100,-612.7206864941
S66x8/43-105,-612.7214570215
S66x8/43-110,-612.7218837222
S66x8/43-125,-612.7223289322
S66x8/43-150,-612.7222953246
S66x8/43-200,-612.7219728983
S66x8/44-A,-78.6013686902
S66x8/44-B,-197.8094043783
S66x8/44-090,-276.4076821082
S66x8/44-095,-276.4089617471
S66x8/44-100,-276.4097166738
S66x8/44-105,-276.4101787088
S66x8/44-110,-276.410468217
S66x8/44-125,-276.4109052422
S66x8/44-150,-276.4110325978
S66x8/44-200,-276.410909566
S66x8/45-A,-77.3392346602
S66x8/45-B,-197.8094369826
S66x8/45-090,-275.1450920528
S66x8/45-095,-275.1466391453
S66x8/45-100,-275.1475389582
S66x8/45-105,-275.1480550569
S66x8/45-110,-275.1483524982
S66x8/45-125,-275.1487132544
S66x8/45-150,-275.1487228901
S66x8/45-200,-275.1485057849
S66x8/46-A,-248.5795084644
S66x8/46-B,-197.8093852473
S66x8/46-090,-446.3841627269
S66x8/46-095,-446.3860866951
S66x8/46-100,-446.3873003908
S66x8/46-105,-446.3880725928
S66x8/46-110,-446.3885541354
S66x8/46-125,-446.3892473048
S66x8/46-150,-446.3894280461
S66x8/46-200,-446.389105207
S66x8/47-A,-232.2883060633
S66x8/47-B,-232.2881805442
S66x8/47-090,-464.5721490357
S66x8/47-095,-464.5745745447
S66x8/47-100,-464.5758753835
S66x8/47-105,-464.5765769586
S66x8/47-110,-464.576942922
S66x8/47-125,-464.5772309314
S66x8/47-150,-464.5771160635
S66x8/47-200,-464.5767904641
S66x8/48-A,-248.3261166627
S66x8/48-B,-248.3260635056
S66x8/48-090,-496.6493364538
S66x8/48-095,-496.6513513772
S66x8/48-100,-496.6524570405
S66x8/48-105,-496.6530474529
S66x8/48-110,-496.653330567
S66x8/48-125,-496.6534528562
S66x8/48-150,-496.6531574013
S66x8/48-200,-496.6526066255
S66x8/49-A,-232.2883046159
S66x8/49-B,-248.3261143978
S66x8/49-090,-480.6107636522
S66x8/49-095,-480.6131852202
S66x8/49-100,-480.614462176
S66x8/49-105,-480.6151161443
S66x8/49-110,-480.6154384646
S66x8/49-125,-480.6155735836
S66x8/49-150,-480.6152747233
S66x8/49-200,-480.614767147
S66x8/50-A,-232.2882950241
S66x8/50-B,-77.339290943
S66x8/50-090,-309.6263774534
S66x8/50-095,-309.6280263109
S66x8/50-100,-309.6288156917
S66x8/50-105,-309.6291296885
S66x8/50-110,-309.6292074281
S66x8/50-125,-309.6289504194
S66x8/50-150,-309.6283676827
S66x8/50-200,-309.6277101631
S66x8/51-A,-77.3392471823
S66x8/51-B,-77.3393067895
S66x8/51-090,-154.6792693375
S66x8/51-095,-154.6797764109
S66x8/51-100,-154.6799755759
S66x8/51-105,-154.680003592
S66x8/51-110,-154.6799411906
S66x8/51-125,-154.6796026455
S66x8/51-150,-154.679116115
S66x8/51-200,-154.67867192
S66x8/52-A,-232.2882949884
S66x8/52-B,-229.1407084024
S66x8/52-090,-461.4301342626
S66x8/52-095,-461.431611076
S66x8/52-100,-461.4322951004
S66x8/52-105,-461.4325280724
S66x8/52-110,-461.432508574
S66x8/52-125,-461.4318833702
S66x8/52-150,-461.430808523
S66x8/52-200,-461.4296524799
S66x8/53-A,-232.2883037325
S66x8/53-B,-209.2656887908
S66x8/53-090,-441.5552926675
S66x8/53-095,-441.5564551653
S66x8/53-100,-441.5570252945
S66x8/53-105,-441.5572269519
S66x8/53-110,-441.5572156716
S66x8/53-125,-441.5567014131
S66x8/53-150,-441.5556981649
S66x8/53-200,-441.5545194965
S66x8/54-A,-232.2882783133
S66x8/54-B,-76.4491161777
S66x8/54-090,-308.7390745847
S66x8/54-095,-308.7400313085
S66x8/54-100,-308.7404309202
S66x8/54-105,-308.7405147587
S66x8/54-110,-308.7404294832
S66x8/54-125,-308.7398616064
S66x8/54-150,-308.7389673043
S66x8/54-200,-308.7379762957
S66x8/55-A,-232.2882533903
S66x8/55-B,-115.7509691706
S66x8/55-090,-348.0392047293
S66x8/55-095,-348.0407333259
S66x8/55-100,-348.0415080886
S66x8/55-105,-348.0418650931
S66x8/55-110,-348.0419767098
S66x8/55-125,-348.0416706191
S66x8/55-150,-348.0409029164
S66x8/55-200,-348.039912093
S66x8/56-A,-232.2883036223
S66x8/56-B,-95.8812779113
S66x8/56-090,-328.1673786794
S66x8/56-095,-328.1690272305
S66x8/56-100,-328.1699434986
S66x8/56-105,-328.1704622722
S66x8/56-110,-328.1707140431
S66x8/56-125,-328.1707649893
S66x8/56-150,-328.1704159679
S66x8/56-200,-328.1698689262
S66x8/57-A,-232.288254687
S66x8/57-B,-248.579471917
S66x8/57-090,-480.8648489008
S66x8/57-095,-480.8678798892
S66x8/57-100,-480.86943722
S66x8/57-105,-480.8701560936
S66x8/57-110,-480.8704506555
S66x8/57-125,-480.8702959725
S66x8/57-150,-480.8695244958
S66x8/57-200,-480.8684885828
S66x8/58-A,-248.3260863235
S66x8/58-B,-248.3260209186
S66x8/58-090,-496.652561755
S66x8/58-095,-496.6543798598
S66x8/58-100,-496.6553341953
S66x8/58-105,-496.6553971239
S66x8/58-110,-496.6551608592
S66x8/58-125,-496.6542338225
S66x8/58-150,-496.6532381096
S66x8/58-200,-496.652438628
S66x8/59-A,-77.3393381781
S66x8/59-B,-76.4491718252
S66x8/59-090,-153.7919142432
S66x8/59-095,-153.7923101717
S66x8/59-100,-153.7923860449
S66x8/59-105,-153.792277266
S66x8/59-110,-153.7920674518
S66x8/59-125,-153.7912738204
S66x8/59-150,-153.7901831221
S66x8/59-200,-153.7890814974
S66x8/60-A,-77.3392247178
S66x8/60-B,-229.1406800775
S66x8/60-090,-306.4848743474
S66x8/60-095,-306.4856446174
S66x8/60-100,-306.4858108168
S66x8/60-105,-306.4856322388
S66x8/60-110,-306.4852719722
S66x8/60-125,-306.4838969668
S66x8/60-150,-306.4821437113
S66x8/60-200,-306.480606692
S66x8/61-A,-197.8094170539
S66x8/61-B,-229.1407813507
S66x8/61-090,-426.947112948
S66x8/61-095,-426.9482689092
S66x8/61-100,-426.9490277041
S66x8/61-105,-426.949529577
S66x8/61-110,-426.9498635561
S66x8/61-125,-426.9503787688
S66x8/61-150,-426.9505189125
S66x8/61-200,-426.9503015107
S66x8/62-A,-197.8094489759
S66x8/62-B,-209.2657205087
S66x8/62-090,-407.0718438182
S66x8/62-095,-407.0733576679
S66x8/62-100,-407.0743027647
S66x8/62-105,-407.0748671961
S66x8/62-110,-407.0752004118
S66x8/62-125,-407.0756369245
S66x8/62-150,-407.075661599
S66x8/62-200,-407.0753453521
S66x8/63-A,-232.288345128
S66x8/63-B,-229.1407148923
S66x8/63-090,-461.4252380317
S66x8/63-095,-461.4276451887
S66x8/63-100,-461.4289559123
S66x8/63-105,-461.4296440797
S66x8/63-110,-461.42995832
S66x8/63-125,-461.4301082973
S66x8/63-150,-461.4297950483
S66x8/63-200,-461.4292587758
S66x8/64-A,-248.5794467405
S66x8/64-B,-78.6014277528
S66x8/64-090,-327.1795651251
S66x8/64-095,-327.1807115673
S66x8/64-100,-327.18134793
S66x8/64-105,-327.1816843963
S66x8/64-110,-327.1818486789
S66x8/64-125,-327.1818666148
S66x8/64-150,-327.1815188315
S66x8/64-200,-327.1809546781
S66x8/65-A,-248.3261632021
S66x8/65-B,-77.3387374876
S66x8/65-090,-325.6699697733
S66x8/65-095,-325.6704680468
S66x8/65-100,-325.6705612128
S66x8/65-105,-325.6704111885
S66x8/65-110,-325.6701268046
S66x8/65-125,-325.6690469411
S66x8/65-150,-325.6676065481
S66x8/65-200,-325.6662629801
S66x8/66-A,-95.8812720512
S66x8/66-B,-248.3261417432
S66x8/66-090,-344.2071727449
S66x8/66-095,-344.2083449522
S66x8/66-100,-344.208992252
S66x8/66-105,-344.2093170817
S66x8/66-110,-344.2094397657
S66x8/66-125,-344.2092798697
S66x8/66-150,-344.2087264012
