system,DSDPBE/def2-QZVP/ORCA
S22x5/11-A,-231.9239061735
S22x5/11-B,-56.4981190985
S22x5/11-0.9,-288.4238188625
S22x5/11-1.0,-288.4246538703
S22x5/11-1.2,-288.4242139954
S22x5/11-1.5,-288.4231673091
S22x5/11-2.0,-288.4224069499
S22x5/12-A,-231.9239170351
S22x5/12-B,-40.4573559962
S22x5/12-0.9,-272.3813207449
S22x5/12-1.0,-272.3823639633
S22x5/12-1.2,-272.382359765
S22x5/12-1.5,-272.3817677919
S22x5/12-2.0,-272.3813937346
S22x5/13-A,-231.923905846
S22x5/13-B,-231.9239050656
S22x5/13-0.9,-463.8487746273
S22x5/13-1.0,-463.850249078
S22x5/13-1.2,-463.8501922388
S22x5/13-1.5,-463.8490871697
S22x5/13-2.0,-463.8482231183
S22x5/14-A,-231.923907541
S22x5/14-B,-231.9239075411
S22x5/14-0.9,-463.8433835015
S22x5/14-1.0,-463.8489822386
S22x5/14-1.2,-463.8493708764
S22x5/14-1.5,-463.8482188439
S22x5/14-2.0,-463.8478403666
S22x5/15-A,-231.9238721046
S22x5/15-B,-363.3346532147
S22x5/15-0.9,-595.2631439382
S22x5/15-1.0,-595.2650576931
S22x5/15-1.2,-595.2645867569
S22x5/15-1.5,-595.2622101969
S22x5/15-2.0,-595.2600348862
S22x5/16-A,-231.9238902782
S22x5/16-B,-363.3346237757
S22x5/16-0.9,-595.2548379669
S22x5/16-1.0,-595.2614536714
S22x5/16-1.2,-595.2614496051
S22x5/16-1.5,-595.2592737524
S22x5/16-2.0,-595.2584451309
S22x5/17-A,-263.9795052856
S22x5/17-B,-263.9794999043
S22x5/17-0.9,-527.9566656428
S22x5/17-1.0,-527.9625469025
S22x5/17-1.2,-527.9621568098
S22x5/17-1.5,-527.9600926138
S22x5/17-2.0,-527.9592077979
S22x5/18-A,-323.1279197607
S22x5/18-B,-303.2641692666
S22x5/18-0.9,-626.4143510864
S22x5/18-1.0,-626.4167998185
S22x5/18-1.2,-626.4127177793
S22x5/18-1.5,-626.4042466473
S22x5/18-2.0,-626.3970052548
S22x5/19-A,-307.0847723383
S22x5/19-B,-307.084775057
S22x5/19-0.9,-614.1768553987
S22x5/19-1.0,-614.1782422756
S22x5/19-1.2,-614.1770122824
S22x5/19-1.5,-614.17405156
S22x5/19-2.0,-614.1714193434
S22x5/20-A,-414.3638469814
S22x5/20-B,-414.3638469815
S22x5/20-0.9,-828.7307553348
S22x5/20-1.0,-828.7378571116
S22x5/20-1.2,-828.7352366912
S22x5/20-1.5,-828.7308465987
S22x5/20-2.0,-828.7286553848
S22x5/21-A,-414.3630897392
S22x5/21-B,-414.3630897394
S22x5/21-0.9,-828.7535154348
S22x5/21-1.0,-828.7562564978
S22x5/21-1.2,-828.7514733277
S22x5/21-1.5,-828.7416775794
S22x5/21-2.0,-828.7330188378
S22x5/22-A,-231.9238829246
S22x5/22-B,-93.3146470983
S22x5/22-0.9,-325.2435768774
S22x5/22-1.0,-325.2446372485
S22x5/22-1.2,-325.2437359853
S22x5/22-1.5,-325.2416072971
S22x5/22-2.0,-325.2398267765
S66x8/01-A,-76.3639496545
S66x8/01-B,-76.3639395754
S66x8/01-090,-152.7350522828
S66x8/01-095,-152.7355300014
S66x8/01-100,-152.735544873
S66x8/01-105,-152.7352821768
S66x8/01-110,-152.7348653434
S66x8/01-125,-152.7333410364
S66x8/01-150,-152.7312513873
S66x8/01-200,-152.7292671708
S66x8/02-A,-76.3639520665
S66x8/02-B,-115.6014410568
S66x8/02-090,-191.973040076
S66x8/02-095,-191.9736202575
S66x8/02-100,-191.9736792227
S66x8/02-105,-191.9734203633
S66x8/02-110,-191.9729806911
S66x8/02-125,-191.9713229279
S66x8/02-150,-191.9690103768
S66x8/02-200,-191.966819799
S66x8/03-A,-76.3639502872
S66x8/03-B,-95.7413328408
S66x8/03-090,-172.1152583865
S66x8/03-095,-172.1158259597
S66x8/03-100,-172.1158182948
S66x8/03-105,-172.1154548196
S66x8/03-110,-172.114885113
S66x8/03-125,-172.1127727326
S66x8/03-150,-172.1097892083
S66x8/03-200,-172.1069286362
S66x8/04-A,-76.3639513152
S66x8/04-B,-248.2362889431
S66x8/04-090,-324.6111217862
S66x8/04-095,-324.6118203366
S66x8/04-100,-324.6119020239
S66x8/04-105,-324.611596615
S66x8/04-110,-324.6110604364
S66x8/04-125,-324.6089503193
S66x8/04-150,-324.6058288947
S66x8/04-200,-324.602303565
S66x8/05-A,-115.6013449819
S66x8/05-B,-115.6014526227
S66x8/05-090,-231.2104168934
S66x8/05-095,-231.2111024667
S66x8/05-100,-231.2112360335
S66x8/05-105,-231.2110286423
S66x8/05-110,-231.2106221593
S66x8/05-125,-231.2089943134
S66x8/05-150,-231.2066387538
S66x8/05-200,-231.2043618413
S66x8/06-A,-115.601112347
S66x8/06-B,-95.741331156
S66x8/06-090,-211.3525869846
S66x8/06-095,-211.3534241694
S66x8/06-100,-211.3535883535
S66x8/06-105,-211.3533250299
S66x8/06-110,-211.3528037358
S66x8/06-125,-211.3506786456
S66x8/06-150,-211.3475178847
S66x8/06-200,-211.3444231017
S66x8/07-A,-115.6012156763
S66x8/07-B,-248.2362688128
S66x8/07-090,-363.8482048079
S66x8/07-095,-363.8490671168
S66x8/07-100,-363.8492621008
S66x8/07-105,-363.8490326006
S66x8/07-110,-363.8485443586
S66x8/07-125,-363.846477397
S66x8/07-150,-363.8428727335
S66x8/07-200,-363.8391552026
S66x8/08-A,-115.6013736643
S66x8/08-B,-76.3639417177
S66x8/08-090,-191.9723553845
S66x8/08-095,-191.9729321368
S66x8/08-100,-191.9730177126
S66x8/08-105,-191.9728037958
S66x8/08-110,-191.9724187828
S66x8/08-125,-191.9709295508
S66x8/08-150,-191.9688195286
S66x8/08-200,-191.9667920754
S66x8/09-A,-95.7412737324
S66x8/09-B,-115.6014631412
S66x8/09-090,-211.3460481866
S66x8/09-095,-211.3465486154
S66x8/09-100,-211.3466762681
S66x8/09-105,-211.3465839549
S66x8/09-110,-211.3463673039
S66x8/09-125,-211.3455060069
S66x8/09-150,-211.3443532309
S66x8/09-200,-211.343364921
S66x8/10-A,-95.7412891365
S66x8/10-B,-95.7413114337
S66x8/10-090,-191.486871645
S66x8/10-095,-191.4876589848
S66x8/10-100,-191.4879094637
S66x8/10-105,-191.4878277362
S66x8/10-110,-191.4875600066
S66x8/10-125,-191.4863982798
S66x8/10-150,-191.4844580499
S66x8/10-200,-191.4831785068
S66x8/11-A,-95.7411292511
S66x8/11-B,-248.2364086924
S66x8/11-090,-343.983062484
S66x8/11-095,-343.9839340861
S66x8/11-100,-343.9842365279
S66x8/11-105,-343.9841814898
S66x8/11-110,-343.9839115642
S66x8/11-125,-343.981901011
S66x8/11-150,-343.9796010921
S66x8/11-200,-343.9783229754
S66x8/12-A,-95.7412983711
S66x8/12-B,-76.3635523794
S66x8/12-090,-172.1152635247
S66x8/12-095,-172.1159874819
S66x8/12-100,-172.1160679859
S66x8/12-105,-172.1157465837
S66x8/12-110,-172.1151889707
S66x8/12-125,-172.1130299338
S66x8/12-150,-172.109929327
S66x8/12-200,-172.1069510655
S66x8/13-A,-248.2363458243
S66x8/13-B,-115.6014615312
S66x8/13-090,-363.8451474625
S66x8/13-095,-363.8459648189
S66x8/13-100,-363.8462161568
S66x8/13-105,-363.8461094266
S66x8/13-110,-363.8457873578
S66x8/13-125,-363.8443368758
S66x8/13-150,-363.8420989412
S66x8/13-200,-363.8397846822
S66x8/14-A,-248.2361372588
S66x8/14-B,-95.7413007479
S66x8/14-090,-343.9866020869
S66x8/14-095,-343.9875427483
S66x8/14-100,-343.9878267474
S66x8/14-105,-343.9876888771
S66x8/14-110,-343.9872912512
S66x8/14-125,-343.9854856846
S66x8/14-150,-343.9826410357
S66x8/14-200,-343.9797030106
S66x8/15-A,-248.2361608467
S66x8/15-B,-248.236273833
S66x8/15-090,-496.482682541
S66x8/15-095,-496.4836547044
S66x8/15-100,-496.4839662381
S66x8/15-105,-496.4838483656
S66x8/15-110,-496.4834622647
S66x8/15-125,-496.4816408782
S66x8/15-150,-496.4786669663
S66x8/15-200,-496.4750498529
S66x8/16-A,-248.2363260013
S66x8/16-B,-76.3639439117
S66x8/16-090,-324.6070318395
S66x8/16-095,-324.6076675305
S66x8/16-100,-324.6078198278
S66x8/16-105,-324.6076744826
S66x8/16-110,-324.6073567189
S66x8/16-125,-324.6060326245
S66x8/16-150,-324.6040709698
S66x8/16-200,-324.6020778595
S66x8/17-A,-414.3632883726
S66x8/17-B,-414.3634300101
S66x8/17-090,-828.7494280393
S66x8/17-095,-828.751304264
S66x8/17-100,-828.7517761505
S66x8/17-105,-828.7513354641
S66x8/17-110,-828.7503263289
S66x8/17-125,-828.7459164232
S66x8/17-150,-828.7389304355
S66x8/17-200,-828.7316711815
S66x8/18-A,-76.3639524986
S66x8/18-B,-247.9535483205
S66x8/18-090,-324.327152778
S66x8/18-095,-324.3277777157
S66x8/18-100,-324.3278136669
S66x8/18-105,-324.3274841893
S66x8/18-110,-324.3269421444
S66x8/18-125,-324.3248908527
S66x8/18-150,-324.3219790577
S66x8/18-200,-324.3191913854
S66x8/19-A,-115.6011304317
S66x8/19-B,-247.9535407312
S66x8/19-090,-363.5644373995
S66x8/19-095,-363.5652742642
S66x8/19-100,-363.5654486456
S66x8/19-105,-363.5652030551
S66x8/19-110,-363.564785539
S66x8/19-125,-363.562641143
S66x8/19-150,-363.5596299497
S66x8/19-200,-363.5565695556
S66x8/20-A,-228.8500319783
S66x8/20-B,-228.8500321372
S66x8/20-090,-457.7269267792
S66x8/20-095,-457.7288782031
S66x8/20-100,-457.729243146
S66x8/20-105,-457.7285895632
S66x8/20-110,-457.727313247
S66x8/20-125,-457.7220835287
S66x8/20-150,-457.7139372946
S66x8/20-200,-457.7055414566
S66x8/21-A,-208.9847134253
S66x8/21-B,-208.9847165836
S66x8/21-090,-417.9915099846
S66x8/21-095,-417.9932244014
S66x8/21-100,-417.9936123516
S66x8/21-105,-417.9931477966
S66x8/21-110,-417.9921582625
S66x8/21-125,-417.9879565344
S66x8/21-150,-417.9814453303
S66x8/21-200,-417.9740793022
S66x8/22-A,-228.8499468786
S66x8/22-B,-414.3631660166
S66x8/22-090,-643.2400057533
S66x8/22-095,-643.2419414603
S66x8/22-100,-643.2423756925
S66x8/22-105,-643.2418304719
S66x8/22-110,-643.2406737839
S66x8/22-125,-643.2357042882
S66x8/22-150,-643.2278122377
S66x8/22-200,-643.2193758769
S66x8/23-A,-208.98462714
S66x8/23-B,-414.3630194105
S66x8/23-090,-623.3738790202
S66x8/23-095,-623.375731448
S66x8/23-100,-623.3762140706
S66x8/23-105,-623.3757904847
S66x8/23-110,-623.3747898721
S66x8/23-125,-623.3703029878
S66x8/23-150,-623.3629360296
S66x8/23-200,-623.3547345289
S66x8/24-A,-231.9239316264
S66x8/24-B,-231.9239169511
S66x8/24-090,-463.8438211513
S66x8/24-095,-463.8473874865
S66x8/24-100,-463.8490344409
S66x8/24-105,-463.8496372206
S66x8/24-110,-463.8497225581
S66x8/24-125,-463.8490619423
S66x8/24-150,-463.8481780893
S66x8/24-200,-463.8478369396
S66x8/25-A,-247.9535486673
S66x8/25-B,-247.9535670997
S66x8/25-090,-495.9048162738
S66x8/25-095,-495.9083161039
S66x8/25-100,-495.9099288453
S66x8/25-105,-495.9105046618
S66x8/25-110,-495.9105159487
S66x8/25-125,-495.9095713039
S66x8/25-150,-495.9081819264
S66x8/25-200,-495.9073859433
S66x8/26-A,-414.3638469723
S66x8/26-B,-414.3638469725
S66x8/26-090,-828.7329185765
S66x8/26-095,-828.7364666503
S66x8/26-100,-828.7378570894
S66x8/26-105,-828.7380358339
S66x8/26-110,-828.7375675574
S66x8/26-125,-828.7350211068
S66x8/26-150,-828.7316508206
S66x8/26-200,-828.7290367136
S66x8/27-A,-231.9239296115
S66x8/27-B,-247.9535744434
S66x8/27-090,-479.874198055
S66x8/27-095,-479.87794746
S66x8/27-100,-479.8796312906
S66x8/27-105,-479.8801937496
S66x8/27-110,-479.8802112616
S66x8/27-125,-479.8793609336
S66x8/27-150,-479.8781874673
S66x8/27-200,-479.8776106979
S66x8/28-A,-231.9238649275
S66x8/28-B,-414.3643750169
S66x8/28-090,-646.2878367651
S66x8/28-095,-646.2912934414
S66x8/28-100,-646.2928283266
S66x8/28-105,-646.2932227932
S66x8/28-110,-646.2930528636
S66x8/28-125,-646.2915458952
S66x8/28-150,-646.2896080965
S66x8/28-200,-646.2884050849
S66x8/29-A,-247.9535340334
S66x8/29-B,-414.3643573004
S66x8/29-090,-662.3175342554
S66x8/29-095,-662.3222974425
S66x8/29-100,-662.3241470005
S66x8/29-105,-662.3245095377
S66x8/29-110,-662.3242052335
S66x8/29-125,-662.3222508859
S66x8/29-150,-662.3199568188
S66x8/29-200,-662.318457464
S66x8/30-A,-231.9239244692
S66x8/30-B,-78.4760313869
S66x8/30-090,-310.3976294407
S66x8/30-095,-310.3993923031
S66x8/30-100,-310.4002068445
S66x8/30-105,-310.4005162745
S66x8/30-110,-310.4005722539
S66x8/30-125,-310.4002881638
S66x8/30-150,-310.3999361635
S66x8/30-200,-310.3998721882
S66x8/31-A,-414.3643995446
S66x8/31-B,-78.4760215471
S66x8/31-090,-492.8410712046
S66x8/31-095,-492.8425912903
S66x8/31-100,-492.8432347868
S66x8/31-105,-492.8433910724
S66x8/31-110,-492.8432917409
S66x8/31-125,-492.842500969
S66x8/31-150,-492.8414208329
S66x8/31-200,-492.8406490483
S66x8/32-A,-414.3644195563
S66x8/32-B,-77.2242406538
S66x8/32-090,-491.5899299978
S66x8/32-095,-491.5915345133
S66x8/32-100,-491.5921678588
S66x8/32-105,-491.5922590136
S66x8/32-110,-491.5920754879
S66x8/32-125,-491.5910409844
S66x8/32-150,-491.5897039861
S66x8/32-200,-491.5887660398
S66x8/33-A,-247.9535823236
S66x8/33-B,-78.4760120477
S66x8/33-090,-326.4282947959
S66x8/33-095,-326.4298165409
S66x8/33-100,-326.4305326723
S66x8/33-105,-326.4307975194
S66x8/33-110,-326.4308133035
S66x8/33-125,-326.4304109126
S66x8/33-150,-326.4298626422
S66x8/33-200,-326.4296019139
S66x8/34-A,-197.4899528851
S66x8/34-B,-197.4899277041
S66x8/34-090,-394.9790036308
S66x8/34-095,-394.9810293305
S66x8/34-100,-394.98198781
S66x8/34-105,-394.9823649424
S66x8/34-110,-394.9824047434
S66x8/34-125,-394.9819181087
S66x8/34-150,-394.9809794058
S66x8/34-200,-394.9803292171
S66x8/35-A,-197.4899448768
S66x8/35-B,-197.4944996125
S66x8/35-090,-394.9834770635
S66x8/35-095,-394.985138206
S66x8/35-100,-394.9858650452
S66x8/35-105,-394.9861184231
S66x8/35-110,-394.9861216283
S66x8/35-125,-394.9857309478
S66x8/35-150,-394.9850965201
S66x8/35-200,-394.984666447
S66x8/36-A,-197.494507691
S66x8/36-B,-197.4945223675
S66x8/36-090,-394.9885101116
S66x8/36-095,-394.989362522
S66x8/36-100,-394.9897790112
S66x8/36-105,-394.9899469135
S66x8/36-110,-394.9899616299
S66x8/36-125,-394.9897318697
S66x8/36-150,-394.9893244092
S66x8/36-200,-394.9890184642
S66x8/37-A,-196.2826232224
S66x8/37-B,-197.4944475316
S66x8/37-090,-393.7757864256
S66x8/37-095,-393.7774278091
S66x8/37-100,-393.7781864962
S66x8/37-105,-393.7784853628
S66x8/37-110,-393.7785601263
S66x8/37-125,-393.7782642721
S66x8/37-150,-393.777687169
S66x8/37-200,-393.7772505094
S66x8/38-A,-196.2826000279
S66x8/38-B,-196.2826051538
S66x8/38-090,-392.5643327615
S66x8/38-095,-392.5658924954
S66x8/38-100,-392.5667189814
S66x8/38-105,-392.5670124686
S66x8/38-110,-392.5670525653
S66x8/38-125,-392.5665833084
S66x8/38-150,-392.5658482205
S66x8/38-200,-392.5653518097
S66x8/39-A,-231.9239190937
S66x8/39-B,-196.2825842231
S66x8/39-090,-428.2055039622
S66x8/39-095,-428.2078383784
S66x8/39-100,-428.208931241
S66x8/39-105,-428.2092925316
S66x8/39-110,-428.2092565834
S66x8/39-125,-428.2084678636
S66x8/39-150,-428.2073876085
S66x8/39-200,-428.206674391
S66x8/40-A,-231.9239135301
S66x8/40-B,-197.4945004795
S66x8/40-090,-429.4178557023
S66x8/40-095,-429.4196583168
S66x8/40-100,-429.4204624546
S66x8/40-105,-429.420710772
S66x8/40-110,-429.4206814597
S66x8/40-125,-429.4200560102
S66x8/40-150,-429.4191651264
S66x8/40-200,-429.4185742701
S66x8/41-A,-414.3643900951
S66x8/41-B,-197.4900159125
S66x8/41-090,-611.8544949424
S66x8/41-095,-611.8566814416
S66x8/41-100,-611.8576536046
S66x8/41-105,-611.8579546627
S66x8/41-110,-611.8578357029
S66x8/41-125,-611.8566512244
S66x8/41-150,-611.8552991288
S66x8/41-200,-611.8545611586
S66x8/42-A,-414.364388573
S66x8/42-B,-196.2825847349
S66x8/42-090,-610.6464056685
S66x8/42-095,-610.6486695337
S66x8/42-100,-610.6496330929
S66x8/42-105,-610.6499130298
S66x8/42-110,-610.6498507084
S66x8/42-125,-610.6490252841
S66x8/42-150,-610.6479035781
S66x8/42-200,-610.6471755708
S66x8/43-A,-414.364404153
S66x8/43-B,-197.4944362197
S66x8/43-090,-611.8589723892
S66x8/43-095,-611.8607792095
S66x8/43-100,-611.8615261122
S66x8/43-105,-611.8616977265
S66x8/43-110,-611.8615830109
S66x8/43-125,-611.8607586722
S66x8/43-150,-611.8596950857
S66x8/43-200,-611.8589929795
S66x8/44-A,-78.4760311883
S66x8/44-B,-197.4899902004
S66x8/44-090,-275.9659508576
S66x8/44-095,-275.9668712811
S66x8/44-100,-275.9672653039
S66x8/44-105,-275.9673853015
S66x8/44-110,-275.9673538436
S66x8/44-125,-275.9670091939
S66x8/44-150,-275.9665062648
S66x8/44-200,-275.9661788767
S66x8/45-A,-77.2242474282
S66x8/45-B,-197.4900042739
S66x8/45-090,-274.7136432795
S66x8/45-095,-274.7148020283
S66x8/45-100,-274.7153200159
S66x8/45-105,-274.7154842737
S66x8/45-110,-274.7154658221
S66x8/45-125,-274.715099563
S66x8/45-150,-274.7145747389
S66x8/45-200,-274.7142253102
S66x8/46-A,-248.2363994895
S66x8/46-B,-197.4899209906
S66x8/46-090,-445.7273183563
S66x8/46-095,-445.7286778442
S66x8/46-100,-445.7293251935
S66x8/46-105,-445.7295445778
S66x8/46-110,-445.7294987175
S66x8/46-125,-445.728817017
S66x8/46-150,-445.727561234
S66x8/46-200,-445.7266801433
S66x8/47-A,-231.9239066274
S66x8/47-B,-231.9238481952
S66x8/47-090,-463.8476002876
S66x8/47-095,-463.8494697113
S66x8/47-100,-463.8502681811
S66x8/47-105,-463.8505049581
S66x8/47-110,-463.8504459581
S66x8/47-125,-463.8497372878
S66x8/47-150,-463.8487556241
S66x8/47-200,-463.8480691426
S66x8/48-A,-247.9535530556
S66x8/48-B,-247.9535179916
S66x8/48-090,-495.9082848828
S66x8/48-095,-495.9098638665
S66x8/48-100,-495.9105452007
S66x8/48-105,-495.9107240254
S66x8/48-110,-495.9106196529
S66x8/48-125,-495.9097774286
S66x8/48-150,-495.9085532421
S66x8/48-200,-495.9075787414
S66x8/49-A,-231.9239065351
S66x8/49-B,-247.9535415343
S66x8/49-090,-479.8779776484
S66x8/49-095,-479.8798677343
S66x8/49-100,-479.8806552304
S66x8/49-105,-479.8808578322
S66x8/49-110,-479.880761093
S66x8/49-125,-479.8799147841
S66x8/49-150,-479.878753865
S66x8/49-200,-479.87788671
S66x8/50-A,-231.923900917
S66x8/50-B,-77.2242731917
S66x8/50-090,-309.1495420704
S66x8/50-095,-309.1509348223
S66x8/50-100,-309.1514529513
S66x8/50-105,-309.1514946057
S66x8/50-110,-309.1513169032
S66x8/50-125,-309.1504165023
S66x8/50-150,-309.1492897305
S66x8/50-200,-309.1484552791
S66x8/51-A,-77.2242536236
S66x8/51-B,-77.2242808895
S66x8/51-090,-154.4498666675
S66x8/51-095,-154.450342779
S66x8/51-100,-154.4504879786
S66x8/51-105,-154.4504482173
S66x8/51-110,-154.4503159238
S66x8/51-125,-154.4497881451
S66x8/51-150,-154.4491519337
S66x8/51-200,-154.4486923457
S66x8/52-A,-231.9239003446
S66x8/52-B,-228.8519800047
S66x8/52-090,-460.7799935638
S66x8/52-095,-460.7812035315
S66x8/52-100,-460.7816225151
S66x8/52-105,-460.7815874991
S66x8/52-110,-460.781307145
S66x8/52-125,-460.7799908111
S66x8/52-150,-460.7781792893
S66x8/52-200,-460.7766265384
S66x8/53-A,-231.9239028797
S66x8/53-B,-208.9856380687
S66x8/53-090,-440.9133817358
S66x8/53-095,-440.9143589568
S66x8/53-100,-440.9147210148
S66x8/53-105,-440.9147075145
S66x8/53-110,-440.9144813531
S66x8/53-125,-440.9133728289
S66x8/53-150,-440.9117163708
S66x8/53-200,-440.9101542247
S66x8/54-A,-231.9238938597
S66x8/54-B,-76.3638995887
S66x8/54-090,-308.2912240227
S66x8/54-095,-308.2920239949
S66x8/54-100,-308.2922518429
S66x8/54-105,-308.2921608012
S66x8/54-110,-308.2919008869
S66x8/54-125,-308.2908769675
S66x8/54-150,-308.2895475283
S66x8/54-200,-308.2884065481
S66x8/55-A,-231.9238823338
S66x8/55-B,-115.6014269361
S66x8/55-090,-347.528490407
S66x8/55-095,-347.5297175906
S66x8/55-100,-347.5301950257
S66x8/55-105,-347.530246374
S66x8/55-110,-347.5300558036
S66x8/55-125,-347.5289759985
S66x8/55-150,-347.5274199381
S66x8/55-200,-347.5260524033
S66x8/56-A,-231.9239053474
S66x8/56-B,-95.7412831226
S66x8/56-090,-327.6665620472
S66x8/56-095,-327.6678183449
S66x8/56-100,-327.6683550257
S66x8/56-105,-327.6684770514
S66x8/56-110,-327.6683477804
S66x8/56-125,-327.6675025405
S66x8/56-150,-327.666381346
S66x8/56-200,-327.6655396217
S66x8/57-A,-231.9238841634
S66x8/57-B,-248.2363767918
S66x8/57-090,-480.162544573
S66x8/57-095,-480.1649576008
S66x8/57-100,-480.165924801
S66x8/57-105,-480.1661031765
S66x8/57-110,-480.1658903069
S66x8/57-125,-480.1645236253
S66x8/57-150,-480.1626460364
S66x8/57-200,-480.1611228752
S66x8/58-A,-247.9535127799
S66x8/58-B,-247.953491122
S66x8/58-090,-495.909569209
S66x8/58-095,-495.911333783
S66x8/58-100,-495.9121030567
S66x8/58-105,-495.911931089
S66x8/58-110,-495.9114479992
S66x8/58-125,-495.9099025355
S66x8/58-150,-495.9083876688
S66x8/58-200,-495.9073960711
S66x8/59-A,-77.2242836102
S66x8/59-B,-76.3639410241
S66x8/59-090,-153.5918899952
S66x8/59-095,-153.5923409585
S66x8/59-100,-153.592436278
S66x8/59-105,-153.5923197392
S66x8/59-110,-153.5920841247
S66x8/59-125,-153.5911673616
S66x8/59-150,-153.5899231409
S66x8/59-200,-153.5887935606
S66x8/60-A,-77.2242434631
S66x8/60-B,-228.8519502678
S66x8/60-090,-306.0817957177
S66x8/60-095,-306.0826495367
S66x8/60-100,-306.082852488
S66x8/60-105,-306.082674103
S66x8/60-110,-306.0822842918
S66x8/60-125,-306.0807287889
S66x8/60-150,-306.0786580418
S66x8/60-200,-306.0769267385
S66x8/61-A,-197.4899718426
S66x8/61-B,-228.85205812
S66x8/61-090,-426.3429040013
S66x8/61-095,-426.3436581789
S66x8/61-100,-426.3440194158
S66x8/61-105,-426.3441347977
S66x8/61-110,-426.3441001634
S66x8/61-125,-426.3436652811
S66x8/61-150,-426.3427920079
S66x8/61-200,-426.3422108739
S66x8/62-A,-197.4900141428
S66x8/62-B,-208.9856821309
S66x8/62-090,-406.4767404637
S66x8/62-095,-406.4778147233
S66x8/62-100,-406.4783074313
S66x8/62-105,-406.4784358292
S66x8/62-110,-406.4783551695
S66x8/62-125,-406.477720751
S66x8/62-150,-406.4767381232
S66x8/62-200,-406.4759616938
S66x8/63-A,-231.9239212472
S66x8/63-B,-228.8520076949
S66x8/63-090,-460.7767797596
S66x8/63-095,-460.7786256062
S66x8/63-100,-460.7793827508
S66x8/63-105,-460.7795460703
S66x8/63-110,-460.7793927896
S66x8/63-125,-460.7784123534
S66x8/63-150,-460.7771134614
S66x8/63-200,-460.7762189052
S66x8/64-A,-248.2363894502
S66x8/64-B,-78.4760466292
S66x8/64-090,-326.7139698982
S66x8/64-095,-326.7148448801
S66x8/64-100,-326.7152019509
S66x8/64-105,-326.7152605836
S66x8/64-110,-326.7151516861
S66x8/64-125,-326.7144712779
S66x8/64-150,-326.7134198223
S66x8/64-200,-326.7126098759
S66x8/65-A,-247.9535667162
S66x8/65-B,-77.2239739946
S66x8/65-090,-325.182845076
S66x8/65-095,-325.1834295192
S66x8/65-100,-325.1835678182
S66x8/65-105,-325.1834301954
S66x8/65-110,-325.1831332185
S66x8/65-125,-325.1819274803
S66x8/65-150,-325.1802385334
S66x8/65-200,-325.1787014916
S66x8/66-A,-95.7412614295
S66x8/66-B,-247.9535582814
S66x8/66-090,-343.6977996927
S66x8/66-095,-343.6987305223
S66x8/66-100,-343.6991174528
S66x8/66-105,-343.6991702388
S66x8/66-110,-343.6990233884
S66x8/66-125,-343.6981310281
