system,mPW1LYP/def2-QZVP/ORCA
S66x8/08-A,-115.7255693078
S66x8/08-B,-76.4399568022
S66x8/08-090,-192.173342564
S66x8/08-095,-192.173914728
S66x8/08-100,-192.173972827
S66x8/08-105,-192.1737163921
S66x8/08-110,-192.1732796349
S66x8/08-125,-192.17161671
S66x8/08-150,-192.1692810484
S66x8/08-200,-192.1670771946
S66x8/09-A,-95.8462130925
S66x8/09-B,-115.7257025726
S66x8/09-090,-211.5752347162
S66x8/09-095,-211.5757984017
S66x8/09-100,-211.5759556056
S66x8/09-105,-211.5758694236
S66x8/09-110,-211.5756544253
S66x8/09-125,-211.574768545
S66x8/09-150,-211.5735729699
S66x8/09-200,-211.5725456566
S66x8/10-A,-95.8462275256
S66x8/10-B,-95.84626303
S66x8/10-090,-191.6961039992
S66x8/10-095,-191.6970813843
S66x8/10-100,-191.6974642931
S66x8/10-105,-191.6974869513
S66x8/10-110,-191.6972955479
S66x8/10-125,-191.6962303296
S66x8/10-150,-191.6943393684
S66x8/10-200,-191.6930641036
S66x8/11-A,-95.8460183753
S66x8/11-B,-248.5180641358
S66x8/11-090,-344.3684818011
S66x8/11-095,-344.3696086314
S66x8/11-100,-344.370100742
S66x8/11-105,-344.3701866926
S66x8/11-110,-344.3700287371
S66x8/11-125,-344.3682834836
S66x8/11-150,-344.3661368373
S66x8/11-200,-344.3648949951
S66x8/12-A,-95.8462706078
S66x8/12-B,-76.4395843443
S66x8/12-090,-172.2965553993
S66x8/12-095,-172.2973657959
S66x8/12-100,-172.2975006066
S66x8/12-105,-172.2972066786
S66x8/12-110,-172.2966526092
S66x8/12-125,-172.2944290761
S66x8/12-150,-172.2911576772
S66x8/12-200,-172.2880110753
S66x8/13-A,-248.5180002438
S66x8/13-B,-115.7257390998
S66x8/13-090,-364.2505201089
S66x8/13-095,-364.2514914104
S66x8/13-100,-364.2518504268
S66x8/13-105,-364.2518234937
S66x8/13-110,-364.2515619237
S66x8/13-125,-364.250201792
S66x8/13-150,-364.2479998002
S66x8/13-200,-364.2457152174
S66x8/14-A,-248.517764408
S66x8/14-B,-95.8462568299
S66x8/14-090,-344.3720319278
S66x8/14-095,-344.3732165813
S66x8/14-100,-344.3736932103
S66x8/14-105,-344.3737070542
S66x8/14-110,-344.3734297891
S66x8/14-125,-344.3718409654
S66x8/14-150,-344.3691280592
S66x8/14-200,-344.3662659275
S66x8/15-A,-248.517794116
S66x8/15-B,-248.5179333857
S66x8/15-090,-497.0447545425
S66x8/15-095,-497.0459339047
S66x8/15-100,-497.0464136115
S66x8/15-105,-497.0464345056
S66x8/15-110,-497.0461650879
S66x8/15-125,-497.0445678565
S66x8/15-150,-497.041772065
S66x8/15-200,-497.0383195461
S66x8/16-A,-248.51798148
S66x8/16-B,-76.4399605463
S66x8/16-090,-324.9649910454
S66x8/16-095,-324.9656636063
S66x8/16-100,-324.9658299403
S66x8/16-105,-324.9656835849
S66x8/16-110,-324.9653483316
S66x8/16-125,-324.9639505993
S66x8/16-150,-324.9618758778
S66x8/16-200,-324.9597970137
S66x8/17-A,-414.8439456129
S66x8/17-B,-414.8440431446
S66x8/17-090,-829.7109331919
S66x8/17-095,-829.7129896781
S66x8/17-100,-829.7135854626
S66x8/17-105,-829.7132206982
S66x8/17-110,-829.7122493397
S66x8/17-125,-829.7078143709
S66x8/17-150,-829.7006089636
S66x8/17-200,-829.6930878741
S66x8/18-A,-76.4399754107
S66x8/18-B,-248.2605033685
S66x8/18-090,-324.7106344703
S66x8/18-095,-324.7112865266
S66x8/18-100,-324.7113294907
S66x8/18-105,-324.7109898689
S66x8/18-110,-324.7104225964
S66x8/18-125,-324.7082601576
S66x8/18-150,-324.7051644695
S66x8/18-200,-324.7022119395
S66x8/19-A,-115.7252933148
S66x8/19-B,-248.2605005144
S66x8/19-090,-363.9955059535
S66x8/19-095,-363.9964476921
S66x8/19-100,-363.9966972527
S66x8/19-105,-363.9965027196
S66x8/19-110,-363.9960835145
S66x8/19-125,-363.9939745874
S66x8/19-150,-363.9908475156
S66x8/19-200,-363.9876882818
S66x8/20-A,-229.1041393115
S66x8/20-B,-229.1041364523
S66x8/20-090,-458.2359412686
S66x8/20-095,-458.2380516706
S66x8/20-100,-458.2385104971
S66x8/20-105,-458.2379039703
S66x8/20-110,-458.2366358395
S66x8/20-125,-458.231306546
S66x8/20-150,-458.2227915287
S66x8/20-200,-458.2139727351
S66x8/21-A,-209.2209793058
S66x8/21-B,-209.2209822471
S66x8/21-090,-418.4642285043
S66x8/21-095,-418.4661197569
S66x8/21-100,-418.4666262922
S66x8/21-105,-418.4662316769
S66x8/21-110,-418.4652759832
S66x8/21-125,-418.4610437951
S66x8/21-150,-418.4543523151
S66x8/21-200,-418.4467421761
S66x8/22-A,-229.1041102737
S66x8/22-B,-414.84376464
S66x8/22-090,-643.9753568653
S66x8/22-095,-643.9774740801
S66x8/22-100,-643.9780300046
S66x8/22-105,-643.9775567641
S66x8/22-110,-643.9764293283
S66x8/22-125,-643.9713893148
S66x8/22-150,-643.9631951019
S66x8/22-200,-643.9543794764
S66x8/23-A,-209.2208719399
S66x8/23-B,-414.8436158189
S66x8/23-090,-624.0909660729
S66x8/23-095,-624.0930193031
S66x8/23-100,-624.0936444156
S66x8/23-105,-624.0933147241
S66x8/23-110,-624.0923679858
S66x8/23-125,-624.0878878566
S66x8/23-150,-624.0803308135
S66x8/23-200,-624.0718281298
S66x8/24-A,-232.2154415659
S66x8/24-B,-232.2154133218
S66x8/24-090,-464.4179072605
S66x8/24-095,-464.4235932015
S66x8/24-100,-464.4268242238
S66x8/24-105,-464.4286086612
S66x8/24-110,-464.4296182275
S66x8/24-125,-464.4306033074
S66x8/24-150,-464.4307461466
S66x8/24-200,-464.4307672342
S66x8/25-A,-248.2604451794
S66x8/25-B,-248.2604716605
S66x8/25-090,-496.5094737953
S66x8/25-095,-496.5150413366
S66x8/25-100,-496.5182690852
S66x8/25-105,-496.5200235178
S66x8/25-110,-496.5209694831
S66x8/25-125,-496.5216965533
S66x8/25-150,-496.5214517328
S66x8/25-200,-496.5210925566
S66x8/26-A,-414.844504869
S66x8/26-B,-414.844504869
S66x8/26-090,-829.6854253018
S66x8/26-095,-829.690820878
S66x8/26-100,-829.6936303216
S66x8/26-105,-829.6949103464
S66x8/26-110,-829.695330483
S66x8/26-125,-829.6944044973
S66x8/26-150,-829.6922345124
S66x8/26-200,-829.6902362048
S66x8/27-A,-232.2154323589
S66x8/27-B,-248.2604820507
S66x8/27-090,-480.4634110782
S66x8/27-095,-480.4693706314
S66x8/27-100,-480.4726914911
S66x8/27-105,-480.4744752757
S66x8/27-110,-480.4754238079
S66x8/27-125,-480.4762089926
S66x8/27-150,-480.4761196836
S66x8/27-200,-480.4759344651
S66x8/28-A,-232.2153558141
S66x8/28-B,-414.8451044975
S66x8/28-090,-647.0501983933
S66x8/28-095,-647.0557998742
S66x8/28-100,-647.0589509116
S66x8/28-105,-647.0606745095
S66x8/28-110,-647.06149429
S66x8/28-125,-647.0618378296
S66x8/28-150,-647.0611122751
S66x8/28-200,-647.0604999601
S66x8/29-A,-248.260441043
S66x8/29-B,-414.8450663939
S66x8/29-090,-663.0950431709
S66x8/29-095,-663.1023385807
S66x8/29-100,-663.1060343008
S66x8/29-105,-663.1077979958
S66x8/29-110,-663.1084587545
S66x8/29-125,-663.1082470176
S66x8/29-150,-663.1070580828
S66x8/29-200,-663.1059742624
S66x8/30-A,-232.2154270856
S66x8/30-B,-78.5730128714
S66x8/30-090,-310.7817710282
S66x8/30-095,-310.7845746016
S66x8/30-100,-310.7861777716
S66x8/30-105,-310.7870835437
S66x8/30-110,-310.7875721736
S66x8/30-125,-310.7880712358
S66x8/30-150,-310.7882216271
S66x8/30-200,-310.7883303217
S66x8/31-A,-414.8451356228
S66x8/31-B,-78.5729863819
S66x8/31-090,-493.4148650934
S66x8/31-095,-493.4172552249
S66x8/31-100,-493.4185942215
S66x8/31-105,-493.4192562232
S66x8/31-110,-493.4195391279
S66x8/31-125,-493.4194755981
S66x8/31-150,-493.4188982772
S66x8/31-200,-493.4183204781
S66x8/32-A,-414.8451572116
S66x8/32-B,-77.3232529417
S66x8/32-090,-492.1661558145
S66x8/32-095,-492.168579777
S66x8/32-100,-492.169848331
S66x8/32-105,-492.1704334817
S66x8/32-110,-492.1705960108
S66x8/32-125,-492.1702009096
S66x8/32-150,-492.1692563231
S66x8/32-200,-492.1684599196
S66x8/33-A,-248.2604942136
S66x8/33-B,-78.5729841742
S66x8/33-090,-326.8279885782
S66x8/33-095,-326.8304692674
S66x8/33-100,-326.8319121378
S66x8/33-105,-326.8327208312
S66x8/33-110,-326.8331750434
S66x8/33-125,-326.8335445933
S66x8/33-150,-326.8335091979
S66x8/33-200,-326.8334586599
S66x8/34-A,-197.7131757271
S66x8/34-B,-197.7131998049
S66x8/34-090,-395.421201974
S66x8/34-095,-395.4241523953
S66x8/34-100,-395.4257869396
S66x8/34-105,-395.4266395335
S66x8/34-110,-395.4270168871
S66x8/34-125,-395.4272979345
S66x8/34-150,-395.4270261904
S66x8/34-200,-395.4267159113
S66x8/35-A,-197.7131849677
S66x8/35-B,-197.7150937475
S66x8/35-090,-395.4243640821
S66x8/35-095,-395.4266839957
S66x8/35-100,-395.4278972088
S66x8/35-105,-395.4284814084
S66x8/35-110,-395.4287186947
S66x8/35-125,-395.4288114372
S66x8/35-150,-395.4286010514
S66x8/35-200,-395.428385601
S66x8/36-A,-197.715066474
S66x8/36-B,-197.7150947567
S66x8/36-090,-395.4278824308
S66x8/36-095,-395.4290288535
S66x8/36-100,-395.4296942029
S66x8/36-105,-395.4300188398
S66x8/36-110,-395.4301832823
S66x8/36-125,-395.4302518303
S66x8/36-150,-395.4301344774
S66x8/36-200,-395.4299664022
S66x8/37-A,-196.5046489012
S66x8/37-B,-197.7149200315
S66x8/37-090,-394.2155074846
S66x8/37-095,-394.2178008266
S66x8/37-100,-394.2190095143
S66x8/37-105,-394.2196466052
S66x8/37-110,-394.2199532633
S66x8/37-125,-394.2201313694
S66x8/37-150,-394.2199460373
S66x8/37-200,-394.2197415567
S66x8/38-A,-196.5045531834
S66x8/38-B,-196.5045668947
S66x8/38-090,-393.0052369577
S66x8/38-095,-393.0073937668
S66x8/38-100,-393.0087271079
S66x8/38-105,-393.0093954334
S66x8/38-110,-393.0096656995
S66x8/38-125,-393.0097163694
S66x8/38-150,-393.0094356725
S66x8/38-200,-393.0091746613
S66x8/39-A,-232.2154176535
S66x8/39-B,-196.50451882
S66x8/39-090,-428.712962093
S66x8/39-095,-428.716577923
S66x8/39-100,-428.7186547244
S66x8/39-105,-428.7198077803
S66x8/39-110,-428.7203798779
S66x8/39-125,-428.7206697329
S66x8/39-150,-428.7203449253
S66x8/39-200,-428.7200174167
S66x8/40-A,-232.2154091048
S66x8/40-B,-197.7149966011
S66x8/40-090,-429.9253553437
S66x8/40-095,-429.928140932
S66x8/40-100,-429.9296727674
S66x8/40-105,-429.9305148258
S66x8/40-110,-429.9309008195
S66x8/40-125,-429.931095522
S66x8/40-150,-429.9308216276
S66x8/40-200,-429.9305515937
S66x8/41-A,-414.8451333826
S66x8/41-B,-197.7132636508
S66x8/41-090,-612.5522848695
S66x8/41-095,-612.5557090709
S66x8/41-100,-612.5576863645
S66x8/41-105,-612.5587519715
S66x8/41-110,-612.5592862504
S66x8/41-125,-612.5593138307
S66x8/41-150,-612.5588283967
S66x8/41-200,-612.5584362776
S66x8/42-A,-414.8451339682
S66x8/42-B,-196.5045607729
S66x8/42-090,-611.3435692717
S66x8/42-095,-611.3470435966
S66x8/42-100,-611.3489452589
S66x8/42-105,-611.3499130597
S66x8/42-110,-611.3503441245
S66x8/42-125,-611.3504912324
S66x8/42-150,-611.3501267276
S66x8/42-200,-611.3497776843
S66x8/43-A,-414.845142663
S66x8/43-B,-197.7150694123
S66x8/43-090,-612.5559731025
S66x8/43-095,-612.5587070676
S66x8/43-100,-612.5601685901
S66x8/43-105,-612.5608697198
S66x8/43-110,-612.561130233
S66x8/43-125,-612.5610563375
S66x8/43-150,-612.5605753265
S66x8/43-200,-612.5601425853
S66x8/44-A,-78.5730093294
S66x8/44-B,-197.7131855562
S66x8/44-090,-276.2842592657
S66x8/44-095,-276.2856334908
S66x8/44-100,-276.286360501
S66x8/44-105,-276.2866771217
S66x8/44-110,-276.286821503
S66x8/44-125,-276.2868076316
S66x8/44-150,-276.2865843516
S66x8/44-200,-276.28636334
S66x8/45-A,-77.3232752544
S66x8/45-B,-197.7132205475
S66x8/45-090,-275.033671019
S66x8/45-095,-275.0353571496
S66x8/45-100,-275.0362328126
S66x8/45-105,-275.0366749291
S66x8/45-110,-275.0368783723
S66x8/45-125,-275.0368836927
S66x8/45-150,-275.0366196022
S66x8/45-200,-275.0363291479
S66x8/46-A,-248.518077174
S66x8/46-B,-197.713183099
S66x8/46-090,-446.2281880324
S66x8/46-095,-446.2303285345
S66x8/46-100,-446.231570991
S66x8/46-105,-446.2322194323
S66x8/46-110,-446.232542946
S66x8/46-125,-446.2325865179
S66x8/46-150,-446.2320300125
S66x8/46-200,-446.2314894423
S66x8/47-A,-232.2154024451
S66x8/47-B,-232.2153252699
S66x8/47-090,-464.4260934212
S66x8/47-095,-464.4289921677
S66x8/47-100,-464.4305564853
S66x8/47-105,-464.4313476259
S66x8/47-110,-464.4317353916
S66x8/47-125,-464.4318102654
S66x8/47-150,-464.4313772632
S66x8/47-200,-464.4309683102
S66x8/48-A,-248.2604622412
S66x8/48-B,-248.2603989942
S66x8/48-090,-496.5181394036
S66x8/48-095,-496.520556458
S66x8/48-100,-496.5218610336
S66x8/48-105,-496.522521044
S66x8/48-110,-496.5227984036
S66x8/48-125,-496.5226377903
S66x8/48-150,-496.5219464073
S66x8/48-200,-496.5212692956
S66x8/49-A,-232.2154005079
S66x8/49-B,-248.2604402085
S66x8/49-090,-480.4718854235
S66x8/49-095,-480.4747931215
S66x8/49-100,-480.4763561045
S66x8/49-105,-480.4771118803
S66x8/49-110,-480.4774543456
S66x8/49-125,-480.4773861772
S66x8/49-150,-480.4767726729
S66x8/49-200,-480.4761806807
S66x8/50-A,-232.2153980075
S66x8/50-B,-77.3233196797
S66x8/50-090,-309.5372878291
S66x8/50-095,-309.5393405152
S66x8/50-100,-309.5403474871
S66x8/50-105,-309.540751379
S66x8/50-110,-309.5408408541
S66x8/50-125,-309.5404073673
S66x8/50-150,-309.5395819459
S66x8/50-200,-309.5388808939
S66x8/51-A,-77.3232871048
S66x8/51-B,-77.3233380435
S66x8/51-090,-154.6477512477
S66x8/51-095,-154.6483154838
S66x8/51-100,-154.648515447
S66x8/51-105,-154.6485129208
S66x8/51-110,-154.6484040329
S66x8/51-125,-154.6478919832
S66x8/51-150,-154.6472386926
S66x8/51-200,-154.6467484312
S66x8/52-A,-232.2153988695
S66x8/52-B,-229.1060609537
S66x8/52-090,-461.3222740922
S66x8/52-095,-461.324114472
S66x8/52-100,-461.3250276874
S66x8/52-105,-461.3253914931
S66x8/52-110,-461.3254238655
S66x8/52-125,-461.3247142187
S66x8/52-150,-461.3233648753
S66x8/52-200,-461.3220949792
S66x8/53-A,-232.2154056105
S66x8/53-B,-209.2219483165
S66x8/53-090,-441.4390590918
S66x8/53-095,-441.4404206485
S66x8/53-100,-441.4410848075
S66x8/53-105,-441.4413224202
S66x8/53-110,-441.441294894
S66x8/53-125,-441.4405500226
S66x8/53-150,-441.4392057606
S66x8/53-200,-441.4378803355
S66x8/54-A,-232.215387822
S66x8/54-B,-76.4398743955
S66x8/54-090,-308.6570458178
S66x8/54-095,-308.6582392175
S66x8/54-100,-308.658768727
S66x8/54-105,-308.6588974081
S66x8/54-110,-308.6588043772
S66x8/54-125,-308.658066597
S66x8/54-150,-308.6569166667
S66x8/54-200,-308.6558307862
S66x8/55-A,-232.215373212
S66x8/55-B,-115.7256219531
S66x8/55-090,-347.9409986216
S66x8/55-095,-347.9428598583
S66x8/55-100,-347.9438459077
S66x8/55-105,-347.9442989464
S66x8/55-110,-347.9444097121
S66x8/55-125,-347.9439237263
S66x8/55-150,-347.9427997635
S66x8/55-200,-347.9416612313
S66x8/56-A,-232.2154015681
S66x8/56-B,-95.8461989405
S66x8/56-090,-328.0595593882
S66x8/56-095,-328.0615148979
S66x8/56-100,-328.0626006072
S66x8/56-105,-328.0631938885
S66x8/56-110,-328.0634202148
S66x8/56-125,-328.0632160287
S66x8/56-150,-328.0625356787
S66x8/56-200,-328.0618897285
S66x8/57-A,-232.2153719251
S66x8/57-B,-248.5180411209
S66x8/57-090,-480.7299675193
S66x8/57-095,-480.7336245776
S66x8/57-100,-480.7355577976
S66x8/57-105,-480.7364737028
S66x8/57-110,-480.7367977649
S66x8/57-125,-480.7364543639
S66x8/57-150,-480.7352988942
S66x8/57-200,-480.7341514398
S66x8/58-A,-248.2604467366
S66x8/58-B,-248.260386714
S66x8/58-090,-496.5218168111
S66x8/58-095,-496.5239457654
S66x8/58-100,-496.525076063
S66x8/58-105,-496.5251195495
S66x8/58-110,-496.524771827
S66x8/58-125,-496.5234276469
S66x8/58-150,-496.5220649232
S66x8/58-200,-496.5211653475
S66x8/59-A,-77.3233557142
S66x8/59-B,-76.4399490852
S66x8/59-090,-153.7676117293
S66x8/59-095,-153.7680000497
S66x8/59-100,-153.7680276526
S66x8/59-105,-153.7678415291
S66x8/59-110,-153.7675426671
S66x8/59-125,-153.7664640912
S66x8/59-150,-153.7650622357
S66x8/59-200,-153.7638218887
S66x8/60-A,-77.3232549957
S66x8/60-B,-229.1060436582
S66x8/60-090,-306.4344691017
S66x8/60-095,-306.4354881069
S66x8/60-100,-306.4358145925
S66x8/60-105,-306.4357140742
S66x8/60-110,-306.4353688099
S66x8/60-125,-306.4338699474
S66x8/60-150,-306.4317798153
S66x8/60-200,-306.4300177824
S66x8/61-A,-197.7132316513
S66x8/61-B,-229.1061121117
S66x8/61-090,-426.817892675
S66x8/61-095,-426.8190406551
S66x8/61-100,-426.8197053658
S66x8/61-105,-426.8200641029
S66x8/61-110,-426.8202438251
S66x8/61-125,-426.8202322749
S66x8/61-150,-426.8198217529
S66x8/61-200,-426.8194482948
S66x8/62-A,-197.713250554
S66x8/62-B,-209.2219676096
S66x8/62-090,-406.9334493817
S66x8/62-095,-406.9350850959
S66x8/62-100,-406.935980222
S66x8/62-105,-406.9364254282
S66x8/62-110,-406.93661717
S66x8/62-125,-406.9364721374
S66x8/62-150,-406.9359414097
S66x8/62-200,-406.9354158573
S66x8/63-A,-232.2154258713
S66x8/63-B,-229.1060411117
S66x8/63-090,-461.3176661178
S66x8/63-095,-461.3205676184
S66x8/63-100,-461.3221073349
S66x8/63-105,-461.3228835465
S66x8/63-110,-461.323195266
S66x8/63-125,-461.323048668
S66x8/63-150,-461.3223184567
S66x8/63-200,-461.3216874229
S66x8/64-A,-248.5180527933
S66x8/64-B,-78.5730436677
S66x8/64-090,-327.0909663919
S66x8/64-095,-327.0921862968
S66x8/64-100,-327.0928133888
S66x8/64-105,-327.0930624816
S66x8/64-110,-327.093093527
S66x8/64-125,-327.0927045239
S66x8/64-150,-327.09190606
S66x8/64-200,-327.0912013758
S66x8/65-A,-248.2605008259
S66x8/65-B,-77.3227717734
S66x8/65-090,-325.5888391004
S66x8/65-095,-325.5894430069
S66x8/65-100,-325.5895875073
S66x8/65-105,-325.58944886
S66x8/65-110,-325.5891464487
S66x8/65-125,-325.5879057966
S66x8/65-150,-325.5861591407
S66x8/65-200,-325.5845977954
S66x8/66-A,-95.8461974814
S66x8/66-B,-248.2604853594
S66x8/66-090,-344.1072695838
S66x8/66-095,-344.1086535145
S66x8/66-100,-344.1094027507
S66x8/66-105,-344.1097368587
S66x8/66-110,-344.1098119483
S66x8/66-125,-344.1093592661
