system,HSE03/def2-QZVP/ORCA5.0.1
S22x5/09-A,-170.064292706
S22x5/09-B,-170.064292706
S22x5/09-0.9,-340.1519846129
S22x5/09-1.0,-340.1540048451
S22x5/09-1.2,-340.1494563819
S22x5/09-1.5,-340.1412166629
S22x5/09-2.0,-340.1341679954
S22x5/10-A,-232.5306582474
S22x5/10-B,-76.5026952684
S22x5/10-0.9,-309.0365857152
S22x5/10-1.0,-309.0373440351
S22x5/10-1.2,-309.0366538936
S22x5/10-1.5,-309.0352078152
S22x5/10-2.0,-309.0340452619
S22x5/11-A,-232.5306867468
S22x5/11-B,-56.6326831397
S22x5/11-0.9,-289.1642632312
S22x5/11-1.0,-289.1652686148
S22x5/11-1.2,-289.1651621608
S22x5/11-1.5,-289.1643351063
S22x5/11-2.0,-289.1636818368
S22x5/12-A,-232.5307129167
S22x5/12-B,-40.5877101889
S22x5/12-0.9,-273.1174721722
S22x5/12-1.0,-273.1187169828
S22x5/12-1.2,-273.119087935
S22x5/12-1.5,-273.118745575
S22x5/12-2.0,-273.1184802053
S22x5/13-A,-232.5306924645
S22x5/13-B,-232.5306837477
S22x5/13-0.9,-465.0601336992
S22x5/13-1.0,-465.0620496807
S22x5/13-1.2,-465.0627105958
S22x5/13-1.5,-465.0621752479
S22x5/13-2.0,-465.0616191534
S22x5/14-A,-232.5307045061
S22x5/14-B,-232.5307045063
S22x5/14-0.9,-465.0518155874
S22x5/14-1.0,-465.0588631646
S22x5/14-1.2,-465.0613628919
S22x5/14-1.5,-465.0613395485
S22x5/14-2.0,-465.0613433265
S22x5/15-A,-232.5306036462
S22x5/15-B,-364.2408190257
S22x5/15-0.9,-596.7730268344
S22x5/15-1.0,-596.7754997849
S22x5/15-1.2,-596.7759262669
S22x5/15-1.5,-596.7743428122
S22x5/15-2.0,-596.772637278
S22x5/16-A,-232.5306684257
S22x5/16-B,-364.2408077269
S22x5/16-0.9,-596.7603437856
S22x5/16-1.0,-596.7687490141
S22x5/16-1.2,-596.7715606914
S22x5/16-1.5,-596.771266789
S22x5/16-2.0,-596.7711937376
S22x5/17-A,-264.594608146
S22x5/17-B,-264.5945944336
S22x5/17-0.9,-529.181290621
S22x5/17-1.0,-529.1887043642
S22x5/17-1.2,-529.1906044843
S22x5/17-1.5,-529.1897501024
S22x5/17-2.0,-529.1892952045
S22x5/18-A,-323.8617229641
S22x5/18-B,-303.9931494443
S22x5/18-0.9,-627.8784834463
S22x5/18-1.0,-627.8803733888
S22x5/18-1.2,-627.8755436513
S22x5/18-1.5,-627.866825764
S22x5/18-2.0,-627.8596408335
S22x5/19-A,-307.8135767462
S22x5/19-B,-307.8135064829
S22x5/19-0.9,-615.6329005268
S22x5/19-1.0,-615.6342923779
S22x5/19-1.2,-615.6333368275
S22x5/19-1.5,-615.6308955004
S22x5/19-2.0,-615.6286422301
S22x5/20-A,-415.2242756773
S22x5/20-B,-415.2242756721
S22x5/20-0.9,-830.4458985697
S22x5/20-1.0,-830.4543391298
S22x5/20-1.2,-830.4542499443
S22x5/20-1.5,-830.4511567945
S22x5/20-2.0,-830.4494344841
S22x5/21-A,-415.2234645529
S22x5/21-B,-415.2234645547
S22x5/21-0.9,-830.4764886642
S22x5/21-1.0,-830.4785008328
S22x5/21-1.2,-830.4727471153
S22x5/21-1.5,-830.4625272405
S22x5/21-2.0,-830.4537782988
S22x5/22-A,-232.5306313848
S22x5/22-B,-93.5102143328
S22x5/22-0.9,-326.0451575225
S22x5/22-1.0,-326.0462548109
S22x5/22-1.2,-326.045563559
S22x5/22-1.5,-326.0436975598
S22x5/22-2.0,-326.0420515546
S66x8/01-A,-76.5028087586
S66x8/01-B,-76.5027875418
S66x8/01-090,-153.0137069226
S66x8/01-095,-153.0139957848
S66x8/01-100,-153.0138500757
S66x8/01-105,-153.0134570687
S66x8/01-110,-153.0129366219
S66x8/01-125,-153.0112346313
S66x8/01-150,-153.0090313218
S66x8/01-200,-153.0069552077
S66x8/02-A,-76.5028148904
S66x8/02-B,-115.852340453
S66x8/02-090,-192.3634896913
S66x8/02-095,-192.3639148856
S66x8/02-100,-192.3638379378
S66x8/02-105,-192.3634679614
S66x8/02-110,-192.3629407599
S66x8/02-125,-192.3611401249
S66x8/02-150,-192.3587637477
S66x8/02-200,-192.3565252175
S66x8/03-A,-76.5028226291
S66x8/03-B,-95.9876951747
S66x8/03-090,-172.5017329802
S66x8/03-095,-172.5021062837
S66x8/03-100,-172.5019186246
S66x8/03-105,-172.5013928373
S66x8/03-110,-172.5006794154
S66x8/03-125,-172.4982627684
S66x8/03-150,-172.495076527
S66x8/03-200,-172.4921049717
S66x8/04-A,-76.5028217625
S66x8/04-B,-248.8069290254
S66x8/04-090,-325.3215675696
S66x8/04-095,-325.3220791154
S66x8/04-100,-325.321997234
S66x8/04-105,-325.3215526916
S66x8/04-110,-325.3209056997
S66x8/04-125,-325.3186012628
S66x8/04-150,-325.3153828489
S66x8/04-200,-325.3117680417
S66x8/05-A,-115.8523322638
S66x8/05-B,-115.8523584909
S66x8/05-090,-231.7128749087
S66x8/05-095,-231.7134213205
S66x8/05-100,-231.7134332379
S66x8/05-105,-231.7131254533
S66x8/05-110,-231.712640785
S66x8/05-125,-231.7108891988
S66x8/05-150,-231.7085012233
S66x8/05-200,-231.7062067729
S66x8/06-A,-115.852106551
S66x8/06-B,-95.9876873853
S66x8/06-090,-211.8508976703
S66x8/06-095,-211.8515886817
S66x8/06-100,-211.8516147647
S66x8/06-105,-211.8512201177
S66x8/06-110,-211.8505852561
S66x8/06-125,-211.848210786
S66x8/06-150,-211.8448928313
S66x8/06-200,-211.8417382546
S66x8/07-A,-115.8521986061
S66x8/07-B,-248.8066391486
S66x8/07-090,-364.6704371281
S66x8/07-095,-364.6711064757
S66x8/07-100,-364.6711352955
S66x8/07-105,-364.6707646922
S66x8/07-110,-364.6701629936
S66x8/07-125,-364.6678951276
S66x8/07-150,-364.6642196148
S66x8/07-200,-364.6604671329
S66x8/08-A,-115.8523587448
S66x8/08-B,-76.5027915048
S66x8/08-090,-192.3630650813
S66x8/08-095,-192.3634669085
S66x8/08-100,-192.3634015548
S66x8/08-105,-192.36306432
S66x8/08-110,-192.3625823488
S66x8/08-125,-192.3609273558
S66x8/08-150,-192.3587268702
S66x8/08-200,-192.3566288119
S66x8/09-A,-95.9876811501
S66x8/09-B,-115.8523978618
S66x8/09-090,-211.8434352272
S66x8/09-095,-211.8438746373
S66x8/09-100,-211.843958531
S66x8/09-105,-211.8438424715
S66x8/09-110,-211.8436176682
S66x8/09-125,-211.8427695489
S66x8/09-150,-211.8416288915
S66x8/09-200,-211.840658843
S66x8/10-A,-95.9876849277
S66x8/10-B,-95.9876674349
S66x8/10-090,-191.9797071918
S66x8/10-095,-191.9803840843
S66x8/10-100,-191.9805582164
S66x8/10-105,-191.980435152
S66x8/10-110,-191.9801510345
S66x8/10-125,-191.9790019391
S66x8/10-150,-191.977116937
S66x8/10-200,-191.975879311
S66x8/11-A,-95.9874908127
S66x8/11-B,-248.8067867454
S66x8/11-090,-344.7994289573
S66x8/11-095,-344.8002296151
S66x8/11-100,-344.8004955152
S66x8/11-105,-344.8004371936
S66x8/11-110,-344.8001889312
S66x8/11-125,-344.7983858786
S66x8/11-150,-344.7962304589
S66x8/11-200,-344.7950358179
S66x8/12-A,-95.98764902
S66x8/12-B,-76.5023240568
S66x8/12-090,-172.5015072547
S66x8/12-095,-172.5020580895
S66x8/12-100,-172.501978382
S66x8/12-105,-172.5015112821
S66x8/12-110,-172.5008265181
S66x8/12-125,-172.498402696
S66x8/12-150,-172.4951432042
S66x8/12-200,-172.4920933455
S66x8/13-A,-248.806684846
S66x8/13-B,-115.8523776137
S66x8/13-090,-364.6661889785
S66x8/13-095,-364.6669320774
S66x8/13-100,-364.6671333195
S66x8/13-105,-364.6670041491
S66x8/13-110,-364.6666806063
S66x8/13-125,-364.6652953152
S66x8/13-150,-364.6631790586
S66x8/13-200,-364.6609422144
S66x8/14-A,-248.8064592408
S66x8/14-B,-95.9876405649
S66x8/14-090,-344.8033670675
S66x8/14-095,-344.8042221925
S66x8/14-100,-344.8044309707
S66x8/14-105,-344.8042325953
S66x8/14-110,-344.8037881546
S66x8/14-125,-344.8019196326
S66x8/14-150,-344.7991266088
S66x8/14-200,-344.7962613344
S66x8/15-A,-248.806792417
S66x8/15-B,-248.8068826436
S66x8/15-090,-497.6236531654
S66x8/15-095,-497.6245364532
S66x8/15-100,-497.6247836783
S66x8/15-105,-497.6246257421
S66x8/15-110,-497.6242211829
S66x8/15-125,-497.6224435863
S66x8/15-150,-497.6196365546
S66x8/15-200,-497.616174713
S66x8/16-A,-248.806982115
S66x8/16-B,-76.5027958291
S66x8/16-090,-325.3169002808
S66x8/16-095,-325.3174098295
S66x8/16-100,-325.3174676041
S66x8/16-105,-325.3172591336
S66x8/16-110,-325.31689815
S66x8/16-125,-325.3155415027
S66x8/16-150,-325.3135759493
S66x8/16-200,-325.3115615246
S66x8/17-A,-415.2237110422
S66x8/17-B,-415.22383515
S66x8/17-090,-830.4723676588
S66x8/17-095,-830.4738548218
S66x8/17-100,-830.473985234
S66x8/17-105,-830.4732431774
S66x8/17-110,-830.4719747788
S66x8/17-125,-830.4670445854
S66x8/17-150,-830.4598327799
S66x8/17-200,-830.4524945578
S66x8/18-A,-76.5028173294
S66x8/18-B,-248.5645739138
S66x8/18-090,-325.0779675183
S66x8/18-095,-325.0784082399
S66x8/18-100,-325.0782779063
S66x8/18-105,-325.0778027222
S66x8/18-110,-325.0771375294
S66x8/18-125,-325.0748494159
S66x8/18-150,-325.071818199
S66x8/18-200,-325.0689769635
S66x8/19-A,-115.8521122107
S66x8/19-B,-248.5645680988
S66x8/19-090,-364.4272105464
S66x8/19-095,-364.4279030071
S66x8/19-100,-364.4279458637
S66x8/19-105,-364.4275849282
S66x8/19-110,-364.4268856731
S66x8/19-125,-364.4247435103
S66x8/19-150,-364.4214550238
S66x8/19-200,-364.4183873873
S66x8/20-A,-229.3128491513
S66x8/20-B,-229.3128447191
S66x8/20-090,-458.6559565142
S66x8/20-095,-458.6574830541
S66x8/20-100,-458.6574455863
S66x8/20-105,-458.6564127684
S66x8/20-110,-458.6547908277
S66x8/20-125,-458.6487399543
S66x8/20-150,-458.6399775747
S66x8/20-200,-458.6312924517
S66x8/21-A,-209.4439086856
S66x8/21-B,-209.4439121361
S66x8/21-090,-418.9120751507
S66x8/21-095,-418.9134061185
S66x8/21-100,-418.9134515305
S66x8/21-105,-418.9126848109
S66x8/21-110,-418.9114426294
S66x8/21-125,-418.9067539649
S66x8/21-150,-418.9000148343
S66x8/21-200,-418.892495082
S66x8/22-A,-229.3127731681
S66x8/22-B,-415.2235644984
S66x8/22-090,-644.5660417301
S66x8/22-095,-644.5675746984
S66x8/22-100,-644.5676366128
S66x8/22-105,-644.5667500701
S66x8/22-110,-644.5652891634
S66x8/22-125,-644.5596454591
S66x8/22-150,-644.5513103422
S66x8/22-200,-644.5426880547
S66x8/23-A,-209.4438185446
S66x8/23-B,-415.223397131
S66x8/23-090,-624.6957612665
S66x8/23-095,-624.6972492785
S66x8/23-100,-624.6974020939
S66x8/23-105,-624.6966834571
S66x8/23-110,-624.6954261781
S66x8/23-125,-624.6904078297
S66x8/23-150,-624.6827372653
S66x8/23-200,-624.6743850878
S66x8/24-A,-232.5307582394
S66x8/24-B,-232.530709564
S66x8/24-090,-465.0523072756
S66x8/24-095,-465.0566144604
S66x8/24-100,-465.0589291389
S66x8/24-105,-465.0601693985
S66x8/24-110,-465.0608109497
S66x8/24-125,-465.061382475
S66x8/24-150,-465.0613107767
S66x8/24-200,-465.0613413007
S66x8/25-A,-248.5645279373
S66x8/25-B,-248.5645618522
S66x8/25-090,-497.1215473759
S66x8/25-095,-497.1257756334
S66x8/25-100,-497.128064048
S66x8/25-105,-497.1292339049
S66x8/25-110,-497.1298059789
S66x8/25-125,-497.1301006004
S66x8/25-150,-497.1296124192
S66x8/25-200,-497.1292458087
S66x8/26-A,-415.2242757851
S66x8/26-B,-415.2242757857
S66x8/26-090,-830.4482728717
S66x8/26-095,-830.4523681955
S66x8/26-100,-830.4543394222
S66x8/26-105,-830.4550987302
S66x8/26-110,-830.455216745
S66x8/26-125,-830.4540920716
S66x8/26-150,-830.4517526504
S66x8/26-200,-830.4497258608
S66x8/27-A,-232.530746864
S66x8/27-B,-248.5645780085
S66x8/27-090,-481.0867580948
S66x8/27-095,-481.0912989894
S66x8/27-100,-481.0936373872
S66x8/27-105,-481.0948474443
S66x8/27-110,-481.0954281345
S66x8/27-125,-481.0957983969
S66x8/27-150,-481.0954765263
S66x8/27-200,-481.0952969508
S66x8/28-A,-232.5305955781
S66x8/28-B,-415.2248982345
S66x8/28-090,-647.7492350953
S66x8/28-095,-647.7534246119
S66x8/28-100,-647.7556089752
S66x8/28-105,-647.7566889458
S66x8/28-110,-647.7571391268
S66x8/28-125,-647.7570814452
S66x8/28-150,-647.7561552546
S66x8/28-200,-647.755516413
S66x8/29-A,-248.5644967849
S66x8/29-B,-415.2248902314
S66x8/29-090,-663.7831040838
S66x8/29-095,-663.7886570382
S66x8/29-100,-663.7912559065
S66x8/29-105,-663.7923505284
S66x8/29-110,-663.7926887746
S66x8/29-125,-663.7921824572
S66x8/29-150,-663.7908154623
S66x8/29-200,-663.7897855103
S66x8/30-A,-232.5307331167
S66x8/30-B,-78.6960838153
S66x8/30-090,-311.2223263195
S66x8/30-095,-311.2243564981
S66x8/30-100,-311.225434541
S66x8/30-105,-311.2260026933
S66x8/30-110,-311.2263059315
S66x8/30-125,-311.2265669314
S66x8/30-150,-311.226577361
S66x8/30-200,-311.2266878645
S66x8/31-A,-415.2249360472
S66x8/31-B,-78.6960562656
S66x8/31-090,-493.9194276125
S66x8/31-095,-493.9211829292
S66x8/31-100,-493.9220757067
S66x8/31-105,-493.9224921767
S66x8/31-110,-493.9226402657
S66x8/31-125,-493.9224041539
S66x8/31-150,-493.9217108798
S66x8/31-200,-493.9211317329
S66x8/32-A,-415.2249919203
S66x8/32-B,-77.4184907218
S66x8/32-090,-492.6428433467
S66x8/32-095,-492.6446287574
S66x8/32-100,-492.6454640751
S66x8/32-105,-492.6457719622
S66x8/32-110,-492.6458008281
S66x8/32-125,-492.6452521563
S66x8/32-150,-492.6442376198
S66x8/32-200,-492.6434533241
S66x8/33-A,-248.5646024712
S66x8/33-B,-78.6960525926
S66x8/33-090,-327.2572243279
S66x8/33-095,-327.2589781751
S66x8/33-100,-327.2599364341
S66x8/33-105,-327.2604371475
S66x8/33-110,-327.2606919698
S66x8/33-125,-327.2608357059
S66x8/33-150,-327.2606777368
S66x8/33-200,-327.2606120114
S66x8/34-A,-198.0645227017
S66x8/34-B,-198.0645304115
S66x8/34-090,-396.1254977512
S66x8/34-095,-396.1277662382
S66x8/34-100,-396.1290076891
S66x8/34-105,-396.1296890371
S66x8/34-110,-396.1300602173
S66x8/34-125,-396.1301369364
S66x8/34-150,-396.129683269
S66x8/34-200,-396.1293344894
S66x8/35-A,-198.0645257931
S66x8/35-B,-198.0672063072
S66x8/35-090,-396.1291784763
S66x8/35-095,-396.1309375093
S66x8/35-100,-396.1318401478
S66x8/35-105,-396.1322871481
S66x8/35-110,-396.1324827131
S66x8/35-125,-396.1324379564
S66x8/35-150,-396.1320766869
S66x8/35-200,-396.1318467832
S66x8/36-A,-198.0672081181
S66x8/36-B,-198.0672244011
S66x8/36-090,-396.1329448566
S66x8/36-095,-396.1338969972
S66x8/36-100,-396.1344143202
S66x8/36-105,-396.1346784539
S66x8/36-110,-396.1347918471
S66x8/36-125,-396.1347493485
S66x8/36-150,-396.1345058282
S66x8/36-200,-396.1343457784
S66x8/37-A,-196.8372235138
S66x8/37-B,-198.0671774897
S66x8/37-090,-394.9015145144
S66x8/37-095,-394.9032727815
S66x8/37-100,-394.9042078306
S66x8/37-105,-394.9047011492
S66x8/37-110,-394.9049341246
S66x8/37-125,-394.9049922685
S66x8/37-150,-394.9046745263
S66x8/37-200,-394.9044311445
S66x8/38-A,-196.8371648549
S66x8/38-B,-196.8371702589
S66x8/38-090,-393.6715616196
S66x8/38-095,-393.6732362907
S66x8/38-100,-393.6742722762
S66x8/38-105,-393.674815935
S66x8/38-110,-393.675059143
S66x8/38-125,-393.6750381718
S66x8/38-150,-393.6746192125
S66x8/38-200,-393.6743540366
S66x8/39-A,-232.5307163933
S66x8/39-B,-196.8371437992
S66x8/39-090,-429.3634584717
S66x8/39-095,-429.3661518672
S66x8/39-100,-429.3676375918
S66x8/39-105,-429.3683951503
S66x8/39-110,-429.3687345162
S66x8/39-125,-429.3687577696
S66x8/39-150,-429.3682425581
S66x8/39-200,-429.3678918959
S66x8/40-A,-232.5307007451
S66x8/40-B,-198.0671596674
S66x8/40-090,-430.5948234899
S66x8/40-095,-430.5969295564
S66x8/40-100,-430.5980291557
S66x8/40-105,-430.5985702872
S66x8/40-110,-430.5988062411
S66x8/40-125,-430.598752791
S66x8/40-150,-430.5982789659
S66x8/40-200,-430.5979774642
S66x8/41-A,-415.224891076
S66x8/41-B,-198.0646033674
S66x8/41-090,-613.2855795929
S66x8/41-095,-613.2881709181
S66x8/41-100,-613.2895848481
S66x8/41-105,-613.290334019
S66x8/41-110,-613.2907237838
S66x8/41-125,-613.2905688549
S66x8/41-150,-613.2898613105
S66x8/41-200,-613.2895036547
S66x8/42-A,-415.2248804351
S66x8/42-B,-196.8371542963
S66x8/42-090,-612.0577513781
S66x8/42-095,-612.0604126122
S66x8/42-100,-612.0618326928
S66x8/42-105,-612.0625745767
S66x8/42-110,-612.0629178605
S66x8/42-125,-612.0629565847
S66x8/42-150,-612.0624206421
S66x8/42-200,-612.0620811224
S66x8/43-A,-415.2249277346
S66x8/43-B,-198.067175166
S66x8/43-090,-613.2893877467
S66x8/43-095,-613.2915189496
S66x8/43-100,-613.2925857714
S66x8/43-105,-613.2930961135
S66x8/43-110,-613.2932919385
S66x8/43-125,-613.2930980723
S66x8/43-150,-613.2924635061
S66x8/43-200,-613.292054936
S66x8/44-A,-78.6960803498
S66x8/44-B,-198.0645436752
S66x8/44-090,-276.7594517783
S66x8/44-095,-276.76046266
S66x8/44-100,-276.7609946454
S66x8/44-105,-276.7612600822
S66x8/44-110,-276.7613631744
S66x8/44-125,-276.7612613667
S66x8/44-150,-276.7609328881
S66x8/44-200,-276.7607349139
S66x8/45-A,-77.4185073613
S66x8/45-B,-198.0645826811
S66x8/45-090,-275.4812836353
S66x8/45-095,-275.482562529
S66x8/45-100,-275.4832245144
S66x8/45-105,-275.4835330169
S66x8/45-110,-275.4836560089
S66x8/45-125,-275.4835423137
S66x8/45-150,-275.4831707795
S66x8/45-200,-275.4829078412
S66x8/46-A,-248.8070315012
S66x8/46-B,-198.0645289094
S66x8/46-090,-446.869856633
S66x8/46-095,-446.8714205976
S66x8/46-100,-446.8723283935
S66x8/46-105,-446.872837644
S66x8/46-110,-446.8730765799
S66x8/46-125,-446.8730258149
S66x8/46-150,-446.8722925397
S66x8/46-200,-446.8717419553
S66x8/47-A,-232.5306849711
S66x8/47-B,-232.5305524537
S66x8/47-090,-465.0586681599
S66x8/47-095,-465.0608478971
S66x8/47-100,-465.0619485345
S66x8/47-105,-465.0624604812
S66x8/47-110,-465.0626523923
S66x8/47-125,-465.0625120323
S66x8/47-150,-465.0619428924
S66x8/47-200,-465.0615169767
S66x8/48-A,-248.5645283739
S66x8/48-B,-248.5644723633
S66x8/48-090,-497.1280152116
S66x8/48-095,-497.1297866346
S66x8/48-100,-497.1306896401
S66x8/48-105,-497.1310894973
S66x8/48-110,-497.1312135485
S66x8/48-125,-497.1309113735
S66x8/48-150,-497.1300949738
S66x8/48-200,-497.1293926433
S66x8/49-A,-232.5306833313
S66x8/49-B,-248.5645270019
S66x8/49-090,-481.093325719
S66x8/49-095,-481.0955085024
S66x8/49-100,-481.0965792502
S66x8/49-105,-481.0970461473
S66x8/49-110,-481.0971833671
S66x8/49-125,-481.0968896835
S66x8/49-150,-481.0961377903
S66x8/49-200,-481.0955267854
S66x8/50-A,-232.5306734641
S66x8/50-B,-77.4185640108
S66x8/50-090,-309.9493560897
S66x8/50-095,-309.9508422914
S66x8/50-100,-309.9514731109
S66x8/50-105,-309.9516380542
S66x8/50-110,-309.9515785234
S66x8/50-125,-309.9509667367
S66x8/50-150,-309.9500366259
S66x8/50-200,-309.9493333392
S66x8/51-A,-77.4185199992
S66x8/51-B,-77.4185800444
S66x8/51-090,-154.838646478
S66x8/51-095,-154.8390367467
S66x8/51-100,-154.8391265351
S66x8/51-105,-154.8390558059
S66x8/51-110,-154.8389049286
S66x8/51-125,-154.8383452211
S66x8/51-150,-154.8376685352
S66x8/51-200,-154.8372055966
S66x8/52-A,-232.5306735258
S66x8/52-B,-229.3147625939
S66x8/52-090,-461.8481453968
S66x8/52-095,-461.8494587425
S66x8/52-100,-461.8499926834
S66x8/52-105,-461.8500748659
S66x8/52-110,-461.8499060693
S66x8/52-125,-461.84890649
S66x8/52-150,-461.8473942987
S66x8/52-200,-461.846039918
S66x8/53-A,-232.5306829947
S66x8/53-B,-209.4448604728
S66x8/53-090,-441.9784922557
S66x8/53-095,-441.9794842218
S66x8/53-100,-441.9798834921
S66x8/53-105,-441.9799343486
S66x8/53-110,-441.9797810055
S66x8/53-125,-441.9788755943
S66x8/53-150,-441.977427916
S66x8/53-200,-441.9760345265
S66x8/54-A,-232.530655734
S66x8/54-B,-76.5027344427
S66x8/54-090,-309.0362519656
S66x8/54-095,-309.0370769146
S66x8/54-100,-309.0373425436
S66x8/54-105,-309.0373024024
S66x8/54-110,-309.0371034421
S66x8/54-125,-309.0362307988
S66x8/54-150,-309.0350069226
S66x8/54-200,-309.0339414445
S66x8/55-A,-232.5306294348
S66x8/55-B,-115.8523978574
S66x8/55-090,-348.3847276434
S66x8/55-095,-348.3860673257
S66x8/55-100,-348.3866897123
S66x8/55-105,-348.3868748727
S66x8/55-110,-348.3868234468
S66x8/55-125,-348.3861035311
S66x8/55-150,-348.3848527055
S66x8/55-200,-348.3836787011
S66x8/56-A,-232.530682429
S66x8/56-B,-95.9876780191
S66x8/56-090,-328.5179211275
S66x8/56-095,-328.5193487714
S66x8/56-100,-328.5200842033
S66x8/56-105,-328.5204082204
S66x8/56-110,-328.5204733213
S66x8/56-125,-328.5200697112
S66x8/56-150,-328.5192625089
S66x8/56-200,-328.5186135531
S66x8/57-A,-232.5306305814
S66x8/57-B,-248.8069992472
S66x8/57-090,-481.3370046776
S66x8/57-095,-481.3397521324
S66x8/57-100,-481.3410499212
S66x8/57-105,-481.3415466637
S66x8/57-110,-481.3416175453
S66x8/57-125,-481.3409136464
S66x8/57-150,-481.3395421016
S66x8/57-200,-481.3383414662
S66x8/58-A,-248.5644995673
S66x8/58-B,-248.5644325322
S66x8/58-090,-497.1311096938
S66x8/58-095,-497.1327268451
S66x8/58-100,-497.133407997
S66x8/58-105,-497.1332592147
S66x8/58-110,-497.1328431506
S66x8/58-125,-497.1314928825
S66x8/58-150,-497.1301121198
S66x8/58-200,-497.1292435118
S66x8/59-A,-77.4186116876
S66x8/59-B,-76.5027901877
S66x8/59-090,-153.9256656549
S66x8/59-095,-153.9259562954
S66x8/59-100,-153.9259345603
S66x8/59-105,-153.9257372434
S66x8/59-110,-153.9254488119
S66x8/59-125,-153.9244519355
S66x8/59-150,-153.9231293381
S66x8/59-200,-153.92195204
S66x8/60-A,-77.4184971401
S66x8/60-B,-229.3147350967
S66x8/60-090,-306.7397269451
S66x8/60-095,-306.7403499341
S66x8/60-100,-306.7403753029
S66x8/60-105,-306.7400609115
S66x8/60-110,-306.7395672543
S66x8/60-125,-306.7378555545
S66x8/60-150,-306.735701293
S66x8/60-200,-306.7339061487
S66x8/61-A,-198.0645564643
S66x8/61-B,-229.3148322252
S66x8/61-090,-427.3785405515
S66x8/61-095,-427.3794333892
S66x8/61-100,-427.3799713829
S66x8/61-105,-427.3802725434
S66x8/61-110,-427.3804136942
S66x8/61-125,-427.3803537184
S66x8/61-150,-427.3798281156
S66x8/61-200,-427.3794657643
S66x8/62-A,-198.0645918313
S66x8/62-B,-209.444888641
S66x8/62-090,-407.5086965846
S66x8/62-095,-407.5099141629
S66x8/62-100,-407.5105764379
S66x8/62-105,-407.5109066717
S66x8/62-110,-407.5110326161
S66x8/62-125,-407.5108216187
S66x8/62-150,-407.5101601532
S66x8/62-200,-407.5096168706
S66x8/63-A,-232.5307267485
S66x8/63-B,-229.3147628977
S66x8/63-090,-461.8437763644
S66x8/63-095,-461.8459253976
S66x8/63-100,-461.8469653731
S66x8/63-105,-461.8474115079
S66x8/63-110,-461.8475390176
S66x8/63-125,-461.8471714796
S66x8/63-150,-461.8463016159
S66x8/63-200,-461.8456625288
S66x8/64-A,-248.806971276
S66x8/64-B,-78.6961403306
S66x8/64-090,-327.5036311778
S66x8/64-095,-327.5045494649
S66x8/64-100,-327.5049971512
S66x8/64-105,-327.5051612824
S66x8/64-110,-327.5051578626
S66x8/64-125,-327.5047228752
S66x8/64-150,-327.50385134
S66x8/64-200,-327.5031735632
S66x8/65-A,-248.5645785062
S66x8/65-B,-77.4180053323
S66x8/65-090,-325.988681778
S66x8/65-095,-325.9890820354
S66x8/65-100,-325.9890752377
S66x8/65-105,-325.9888277711
S66x8/65-110,-325.988456375
S66x8/65-125,-325.9871550141
S66x8/65-150,-325.9854434082
S66x8/65-200,-325.9839307475
S66x8/66-A,-95.9876740414
S66x8/66-B,-248.5645556554
S66x8/66-090,-344.5538773872
S66x8/66-095,-344.5548533734
S66x8/66-100,-344.5553160679
S66x8/66-105,-344.5554661332
S66x8/66-110,-344.555428486
S66x8/66-125,-344.554865428
