system,PWPB95/def2-QZVP/ORCA
S22x5/10-B,-76.4263989912
S22x5/10-0.9,-308.6007829021
S22x5/10-1.0,-308.6014372031
S22x5/10-1.2,-308.6005351828
S22x5/10-1.5,-308.5988778995
S22x5/10-2.0,-308.5976292711
S22x5/11-A,-232.170524427
S22x5/11-B,-56.5468854891
S22x5/11-0.9,-288.7192009392
S22x5/11-1.0,-288.7200795541
S22x5/11-1.2,-288.7195530067
S22x5/11-1.5,-288.7185880983
S22x5/11-2.0,-288.7177670051
S22x5/12-A,-232.1705304614
S22x5/12-B,-40.4953218426
S22x5/12-0.9,-272.6659187308
S22x5/12-1.0,-272.6671572231
S22x5/12-1.2,-272.6671540694
S22x5/12-1.5,-272.66630482
S22x5/12-2.0,-272.6659724692
S22x5/13-A,-232.1705040484
S22x5/13-B,-232.1704988372
S22x5/13-0.9,-464.3416218775
S22x5/13-1.0,-464.3429606623
S22x5/13-1.2,-464.3429660258
S22x5/13-1.5,-464.3423442875
S22x5/13-2.0,-464.3413628742
S22x5/14-A,-232.1705287128
S22x5/14-B,-232.1705287116
S22x5/14-0.9,-464.3362952466
S22x5/14-1.0,-464.3419213992
S22x5/14-1.2,-464.3423869838
S22x5/14-1.5,-464.3413192803
S22x5/14-2.0,-464.3410292373
S22x5/15-A,-232.1704729863
S22x5/15-B,-363.7165972372
S22x5/15-0.9,-595.8910941482
S22x5/15-1.0,-595.8929779492
S22x5/15-1.2,-595.8925223843
S22x5/15-1.5,-595.8906172143
S22x5/15-2.0,-595.8884662355
S22x5/16-A,-232.1705075562
S22x5/16-B,-363.7165866975
S22x5/16-0.9,-595.8833458446
S22x5/16-1.0,-595.8896210516
S22x5/16-1.2,-595.8898227501
S22x5/16-1.5,-595.8876600806
S22x5/16-2.0,-595.8869350046
S22x5/17-A,-264.2498653153
S22x5/17-B,-264.2498551349
S22x5/17-0.9,-528.4969332305
S22x5/17-1.0,-528.502823066
S22x5/17-1.2,-528.502349486
S22x5/17-1.5,-528.5005947241
S22x5/17-2.0,-528.4999005086
S22x5/18-A,-323.4519642274
S22x5/18-B,-303.5737451153
S22x5/18-0.9,-627.0460859332
S22x5/18-1.0,-627.0490190405
S22x5/18-1.2,-627.0455202908
S22x5/18-1.5,-627.0375146799
S22x5/18-2.0,-627.0305432897
S22x5/19-A,-307.3969682432
S22x5/19-B,-307.3969909292
S22x5/19-0.9,-614.8006470579
S22x5/19-1.0,-614.8023858002
S22x5/19-1.2,-614.8010747148
S22x5/19-1.5,-614.7982360374
S22x5/19-2.0,-614.7956863029
S22x5/20-A,-414.7649784884
S22x5/20-B,-414.7649784922
S22x5/20-0.9,-829.5335356204
S22x5/20-1.0,-829.540149032
S22x5/20-1.2,-829.5372608188
S22x5/20-1.5,-829.5329445811
S22x5/20-2.0,0
S22x5/21-A,-414.7641837415
S22x5/21-B,-414.7641837466
S22x5/21-0.9,-829.5543367346
S22x5/21-1.0,-829.5574637738
S22x5/21-1.2,-829.5531350772
S22x5/21-1.5,-829.543734519
S22x5/21-2.0,-829.5352070689
S22x5/22-A,-232.1704580528
S22x5/22-B,-93.4078912263
S22x5/22-0.9,-325.5836338432
S22x5/22-1.0,-325.5846054411
S22x5/22-1.2,-325.583677174
S22x5/22-1.5,-325.5814049242
S22x5/22-2.0,-325.5796318665
S66x8/01-A,-76.4265001566
S66x8/01-B,-76.4264832216
S66x8/01-090,-152.8599136885
S66x8/01-095,-152.8604518457
S66x8/01-100,-152.8605160664
S66x8/01-105,-152.8602874157
S66x8/01-110,-152.8598897076
S66x8/01-125,-152.8584073787
S66x8/01-150,-152.8563925021
S66x8/01-200,-152.8543749742
S66x8/02-A,-76.4265050939
S66x8/02-B,-115.704579697
S66x8/02-090,-192.1383083367
S66x8/02-095,-192.1389597393
S66x8/02-100,-192.1390869574
S66x8/02-105,-192.1388827457
S66x8/02-110,-192.1384788434
S66x8/02-125,-192.1369069138
S66x8/02-150,-192.1346783138
S66x8/02-200,-192.1325121531
S66x8/03-A,-76.4265095768
S66x8/03-B,-95.8299189581
S66x8/03-090,-172.2658705714
S66x8/03-095,-172.2665333678
S66x8/03-100,-172.2665990312
S66x8/03-105,-172.266299483
S66x8/03-110,-172.2657943409
S66x8/03-125,-172.2637948598
S66x8/03-150,-172.2608813646
S66x8/03-200,-172.2580609211
S66x8/04-A,-76.426509363
S66x8/04-B,-248.4727962949
S66x8/04-090,-324.9101130029
S66x8/04-095,-324.910793318
S66x8/04-100,-324.9108977891
S66x8/04-105,-324.9106439352
S66x8/04-110,-324.9101606317
S66x8/04-125,-324.9080022082
S66x8/04-150,-324.9049137784
S66x8/04-200,-324.9013831805
S66x8/05-A,-115.7044835427
S66x8/05-B,-115.7045897263
S66x8/05-090,-231.4161406454
S66x8/05-095,-231.4169115027
S66x8/05-100,-231.4171268198
S66x8/05-105,-231.4169917997
S66x8/05-110,-231.4166369367
S66x8/05-125,-231.4151334995
S66x8/05-150,-231.4128731489
S66x8/05-200,-231.4106543271
S66x8/06-A,-115.7042395896
S66x8/06-B,-95.8299155793
S66x8/06-090,-211.5437326596
S66x8/06-095,-211.5446027998
S66x8/06-100,-211.5448568018
S66x8/06-105,-211.5446897339
S66x8/06-110,-211.544207344
S66x8/06-125,-211.542201824
S66x8/06-150,-211.5391479971
S66x8/06-200,-211.5361332979
S66x8/07-A,-115.7043358292
S66x8/07-B,-248.4726778865
S66x8/07-090,-364.1873713509
S66x8/07-095,-364.1882773868
S66x8/07-100,-364.1885175849
S66x8/07-105,-364.1883369488
S66x8/07-110,-364.1878987665
S66x8/07-125,-364.185916797
S66x8/07-150,-364.1824010815
S66x8/07-200,-364.178718974
S66x8/08-A,-115.7045147182
S66x8/08-B,-76.4264865943
S66x8/08-090,-192.1377125861
S66x8/08-095,-192.1383609263
S66x8/08-100,-192.1385083041
S66x8/08-105,-192.1383448396
S66x8/08-110,-192.1379840893
S66x8/08-125,-192.1365619423
S66x8/08-150,-192.1345443214
S66x8/08-200,-192.1325034499
S66x8/09-A,-95.8298652576
S66x8/09-B,-115.7046076552
S66x8/09-090,-211.5375255965
S66x8/09-095,-211.5379724385
S66x8/09-100,-211.5381885922
S66x8/09-105,-211.5381963404
S66x8/09-110,-211.537994082
S66x8/09-125,-211.5371678616
S66x8/09-150,-211.5360901652
S66x8/09-200,-211.5350907919
S66x8/10-A,-95.8298608949
S66x8/10-B,-95.829892985
S66x8/10-090,-191.6637579933
S66x8/10-095,-191.6646055654
S66x8/10-100,-191.664961957
S66x8/10-105,-191.6648222691
S66x8/10-110,-191.664510158
S66x8/10-125,-191.6634585356
S66x8/10-150,-191.6615950065
S66x8/10-200,-191.6603361561
S66x8/11-A,-95.829678798
S66x8/11-B,-248.4728156635
S66x8/11-090,-344.3079317718
S66x8/11-095,-344.3087252425
S66x8/11-100,-344.3090927772
S66x8/11-105,-344.3090817603
S66x8/11-110,-344.3087922028
S66x8/11-125,-344.3068802562
S66x8/11-150,-344.3045911182
S66x8/11-200,-344.3033005864
S66x8/12-A,-95.8298841011
S66x8/12-B,-76.4260508384
S66x8/12-090,-172.2658253909
S66x8/12-095,-172.2666309608
S66x8/12-100,-172.2667837143
S66x8/12-105,-172.2665224583
S66x8/12-110,-172.2660317459
S66x8/12-125,-172.2639974343
S66x8/12-150,-172.2609944861
S66x8/12-200,-172.2580729848
S66x8/13-A,-248.4727571411
S66x8/13-B,-115.7046059152
S66x8/13-090,-364.1841622142
S66x8/13-095,-364.1850609222
S66x8/13-100,-364.185418442
S66x8/13-105,-364.185376068
S66x8/13-110,-364.1850613345
S66x8/13-125,-364.1837032542
S66x8/13-150,-364.1815899918
S66x8/13-200,-364.1793512369
S66x8/14-A,-248.4725223314
S66x8/14-B,-95.8298734495
S66x8/14-090,-344.310806584
S66x8/14-095,-344.3118313517
S66x8/14-100,-344.3122024506
S66x8/14-105,-344.3121379761
S66x8/14-110,-344.3117850151
S66x8/14-125,-344.3101431599
S66x8/14-150,-344.3074873904
S66x8/14-200,-344.3046363045
S66x8/15-A,-248.4726433416
S66x8/15-B,-248.4727711625
S66x8/15-090,-496.9552119216
S66x8/15-095,-496.9562766224
S66x8/15-100,-496.9566638126
S66x8/15-105,-496.956572427
S66x8/15-110,-496.9561750739
S66x8/15-125,-496.9544611317
S66x8/15-150,-496.9515773005
S66x8/15-200,-496.9480385594
S66x8/16-A,-248.472825646
S66x8/16-B,-76.42649003
S66x8/16-090,-324.9057372406
S66x8/16-095,-324.9064568389
S66x8/16-100,-324.9066559971
S66x8/16-105,-324.9065175915
S66x8/16-110,-324.9062702829
S66x8/16-125,-324.9050336953
S66x8/16-150,-324.9031209445
S66x8/16-200,-324.9011554562
S66x8/17-A,-414.7643703386
S66x8/17-B,-414.7645203354
S66x8/17-090,-829.5503462157
S66x8/17-095,-829.5523910453
S66x8/17-100,-829.5530026921
S66x8/17-105,-829.5526990141
S66x8/17-110,-829.5518120866
S66x8/17-125,-829.5476800849
S66x8/17-150,-829.5409684395
S66x8/17-200,-829.5338484309
S66x8/18-A,-76.4265068496
S66x8/18-B,-248.2120591669
S66x8/18-090,-324.6475467499
S66x8/18-095,-324.6482752592
S66x8/18-100,-324.6483955138
S66x8/18-105,-324.6481351753
S66x8/18-110,-324.6476679318
S66x8/18-125,-324.6457507481
S66x8/18-150,-324.6429519461
S66x8/18-200,-324.6402267532
S66x8/19-A,-115.7042537076
S66x8/19-B,-248.2120522706
S66x8/19-090,-363.9251735543
S66x8/19-095,-363.9261389751
S66x8/19-100,-363.9264307159
S66x8/19-105,-363.9262775484
S66x8/19-110,-363.9258628159
S66x8/19-125,-363.9240138246
S66x8/19-150,-363.9210697686
S66x8/19-200,-363.9181402133
S66x8/20-A,-229.060734739
S66x8/20-B,-229.060736567
S66x8/20-090,-458.1474126892
S66x8/20-095,-458.1495179748
S66x8/20-100,-458.1500300361
S66x8/20-105,-458.1494879207
S66x8/20-110,-458.1483005903
S66x8/20-125,-458.1433015145
S66x8/20-150,-458.1352563785
S66x8/20-200,-458.1270134721
S66x8/21-A,-209.1813887489
S66x8/21-B,-209.1813919532
S66x8/21-090,-418.3838407372
S66x8/21-095,-418.3857119081
S66x8/21-100,-418.3862395807
S66x8/21-105,-418.3858966574
S66x8/21-110,-418.3850062088
S66x8/21-125,-418.381074356
S66x8/21-150,-418.3746863481
S66x8/21-200,-418.3674980966
S66x8/22-A,-229.060656123
S66x8/22-B,-414.7642690647
S66x8/22-090,-643.8507371748
S66x8/22-095,-643.8528472242
S66x8/22-100,-643.8534294173
S66x8/22-105,-643.8530080616
S66x8/22-110,-643.8519615884
S66x8/22-125,-643.8472168679
S66x8/22-150,-643.8395151335
S66x8/22-200,-643.8312500622
S66x8/23-A,-209.1813037317
S66x8/23-B,-414.7640955655
S66x8/23-090,-623.9704642959
S66x8/23-095,-623.9724874906
S66x8/23-100,-623.9731229849
S66x8/23-105,-623.9728282776
S66x8/23-110,-623.9719476535
S66x8/23-125,-623.9677323229
S66x8/23-150,-623.9605774531
S66x8/23-200,-623.9525392655
S66x8/24-A,-232.1705600564
S66x8/24-B,-232.1705174987
S66x8/24-090,-464.3366764924
S66x8/24-095,-464.3402858588
S66x8/24-100,-464.3420322934
S66x8/24-105,-464.3425362495
S66x8/24-110,-464.3423450421
S66x8/24-125,-464.3417606974
S66x8/24-150,-464.3413305888
S66x8/24-200,-464.341040201
S66x8/25-A,-248.2120297492
S66x8/25-B,-248.212053388
S66x8/25-090,-496.4215010826
S66x8/25-095,-496.4250277318
S66x8/25-100,-496.4263324626
S66x8/25-105,-496.427208125
S66x8/25-110,-496.4269918027
S66x8/25-125,-496.4261254574
S66x8/25-150,-496.4249863491
S66x8/25-200,-496.4243282243
S66x8/26-A,-414.7649786138
S66x8/26-B,-414.764978613
S66x8/26-090,-829.5356763941
S66x8/26-095,-829.5388801306
S66x8/26-100,-829.5401490537
S66x8/26-105,-829.5402886389
S66x8/26-110,-829.5394747664
S66x8/26-125,-829.5369920795
S66x8/26-150,-829.5336578765
S66x8/26-200,-829.5312423754
S66x8/27-A,-232.170547576
S66x8/27-B,-248.2120670086
S66x8/27-090,-480.3789878665
S66x8/27-095,-480.3826854162
S66x8/27-100,-480.3845156155
S66x8/27-105,-480.3848497029
S66x8/27-110,-480.3847764724
S66x8/27-125,-480.3839725358
S66x8/27-150,-480.3831631114
S66x8/27-200,-480.3826790158
S66x8/28-A,-232.1704298996
S66x8/28-B,-414.7655313416
S66x8/28-090,-646.9361707969
S66x8/28-095,-646.9393777575
S66x8/28-100,-646.941214655
S66x8/28-105,-646.9407227577
S66x8/28-110,-646.9405935321
S66x8/28-125,-646.9387203074
S66x8/28-150,-646.9373035901
S66x8/28-200,-646.9361168595
S66x8/29-A,-248.2120055437
S66x8/29-B,-414.7655412104
S66x8/29-090,-662.9776779428
S66x8/29-095,-662.9823332991
S66x8/29-100,-662.9840268239
S66x8/29-105,-662.9838574614
S66x8/29-110,-662.98405925
S66x8/29-125,-662.981834125
S66x8/29-150,-662.9794272803
S66x8/29-200,-662.9780385341
S66x8/30-A,-232.1705380101
S66x8/30-B,-78.5569857945
S66x8/30-090,-310.7251964805
S66x8/30-095,-310.7270350984
S66x8/30-100,-310.7277578822
S66x8/30-105,-310.7279595656
S66x8/30-110,-310.728220955
S66x8/30-125,-310.7279139174
S66x8/30-150,-310.7274828816
S66x8/30-200,-310.7274454703
S66x8/31-A,-414.7655618399
S66x8/31-B,-78.5569475015
S66x8/31-090,-493.3234597584
S66x8/31-095,-493.325021295
S66x8/31-100,-493.3254288282
S66x8/31-105,-493.3254643672
S66x8/31-110,-493.3255593495
S66x8/31-125,-493.3245943362
S66x8/31-150,-493.323554446
S66x8/31-200,-493.3227287542
S66x8/32-A,-414.7656011312
S66x8/32-B,-77.3071674724
S66x8/32-090,-492.0740713132
S66x8/32-095,-492.075756788
S66x8/32-100,-492.0763245095
S66x8/32-105,-492.0762400945
S66x8/32-110,-492.0761436485
S66x8/32-125,-492.0750407114
S66x8/32-150,-492.0738108231
S66x8/32-200,-492.07283661
S66x8/33-A,-248.2120871453
S66x8/33-B,-78.5569664725
S66x8/33-090,-326.7678206583
S66x8/33-095,-326.7691578422
S66x8/33-100,-326.7698506583
S66x8/33-105,-326.7702818745
S66x8/33-110,-326.7701213751
S66x8/33-125,-326.7697377331
S66x8/33-150,-326.7693445468
S66x8/33-200,-326.7690493152
S66x8/34-A,-197.6839553953
S66x8/34-B,-197.6839866324
S66x8/34-090,-395.3687092689
S66x8/34-095,-395.3701619488
S66x8/34-100,-395.3705770964
S66x8/34-105,-395.371032971
S66x8/34-110,-395.3709489132
S66x8/34-125,-395.3705458358
S66x8/34-150,-395.3688951182
S66x8/34-200,-395.3683478783
S66x8/35-A,-197.6839677295
S66x8/35-B,-197.6881511853
S66x8/35-090,-395.3714089099
S66x8/35-095,-395.3732388801
S66x8/35-100,-395.3736854211
S66x8/35-105,-395.3738098768
S66x8/35-110,-395.3739156833
S66x8/35-125,-395.3735031219
S66x8/35-150,-395.3726467063
S66x8/35-200,-395.3722403915
S66x8/36-A,-197.6881480536
S66x8/36-B,-197.68813993
S66x8/36-090,-395.3757055288
S66x8/36-095,-395.3765192148
S66x8/36-100,-395.3768092165
S66x8/36-105,-395.3772281566
S66x8/36-110,-395.3770840184
S66x8/36-125,-395.3768964057
S66x8/36-150,-395.3764260703
S66x8/36-200,-395.3761574517
S66x8/37-A,-196.4790511193
S66x8/37-B,-197.6881341618
S66x8/37-090,-394.166023207
S66x8/37-095,-394.1676953455
S66x8/37-100,-394.1683213481
S66x8/37-105,-394.1684171559
S66x8/37-110,-394.1686136356
S66x8/37-125,-394.168292581
S66x8/37-150,-394.1677200057
S66x8/37-200,-394.1672218768
S66x8/38-A,-196.4790433557
S66x8/38-B,-196.4790518121
S66x8/38-090,-392.9571458301
S66x8/38-095,-392.9589148157
S66x8/38-100,-392.9594932342
S66x8/38-105,-392.9596105375
S66x8/38-110,-392.9601269477
S66x8/38-125,-392.9596240979
S66x8/38-150,-392.9586342231
S66x8/38-200,-392.958192666
S66x8/39-A,-232.1705237492
S66x8/39-B,-196.4790277301
S66x8/39-090,-428.6489807001
S66x8/39-095,-428.6512508945
S66x8/39-100,-428.6523471359
S66x8/39-105,-428.6524564298
S66x8/39-110,-428.6521879077
S66x8/39-125,-428.6511578473
S66x8/39-150,-428.6504399005
S66x8/39-200,-428.6496800066
S66x8/40-A,-232.1705107328
S66x8/40-B,-197.6880803842
S66x8/40-090,-429.8580817981
S66x8/40-095,-429.8598595323
S66x8/40-100,-429.8608377996
S66x8/40-105,-429.8607091315
S66x8/40-110,-429.8608043052
S66x8/40-125,-429.8602223155
S66x8/40-150,-429.8593457232
S66x8/40-200,-429.8587558298
S66x8/41-A,-414.7655362543
S66x8/41-B,-197.6840342097
S66x8/41-090,-612.4511669625
S66x8/41-095,-612.4530932557
S66x8/41-100,-612.4533696788
S66x8/41-105,-612.4535939256
S66x8/41-110,-612.4536462904
S66x8/41-125,-612.4521659332
S66x8/41-150,-612.4503712178
S66x8/41-200,-612.4496607292
S66x8/42-A,-414.7655490398
S66x8/42-B,-196.4790156649
S66x8/42-090,-611.2445981572
S66x8/42-095,-611.2469757263
S66x8/42-100,-611.2474741743
S66x8/42-105,-611.2476566308
S66x8/42-110,-611.2477356219
S66x8/42-125,-611.2467345837
S66x8/42-150,-611.2454550775
S66x8/42-200,-611.2446860925
S66x8/43-A,-414.7655844824
S66x8/43-B,-197.6881368565
S66x8/43-090,-612.4541555216
S66x8/43-095,-612.4558661015
S66x8/43-100,-612.4564407612
S66x8/43-105,-612.4564854251
S66x8/43-110,-612.4564805863
S66x8/43-125,-612.4554894439
S66x8/43-150,-612.4544010057
S66x8/43-200,-612.4536669058
S66x8/44-A,-78.5569819149
S66x8/44-B,-197.6839730116
S66x8/44-090,-276.2417428216
S66x8/44-095,-276.2423371895
S66x8/44-100,-276.2424500984
S66x8/44-105,-276.2428627772
S66x8/44-110,-276.2424916687
S66x8/44-125,-276.2421734935
S66x8/44-150,-276.2415245523
S66x8/44-200,0
S66x8/45-A,-77.3071840574
S66x8/45-B,-197.6840473744
S66x8/45-090,-274.9908095847
S66x8/45-095,-274.9918113171
S66x8/45-100,-274.9923545513
S66x8/45-105,-274.9925089148
S66x8/45-110,-274.9923507749
S66x8/45-125,-274.9920672103
S66x8/45-150,-274.9914986316
S66x8/45-200,-274.9911312642
S66x8/46-A,-248.4728949558
S66x8/46-B,-197.6839751638
S66x8/46-090,-446.1594991778
S66x8/46-095,-446.1602642166
S66x8/46-100,-446.1606502109
S66x8/46-105,-446.1609988901
S66x8/46-110,-446.1605672529
S66x8/46-125,-446.1596901589
S66x8/46-150,-446.1580304898
S66x8/46-200,-446.1571556148
S66x8/47-A,-232.1704995629
S66x8/47-B,-232.1703888946
S66x8/47-090,-464.3407348629
S66x8/47-095,-464.3425289443
S66x8/47-100,-464.343202361
S66x8/47-105,-464.3436821649
S66x8/47-110,-464.3434192328
S66x8/47-125,-464.3427412732
S66x8/47-150,-464.3418914363
S66x8/47-200,-464.3412444052
S66x8/48-A,-248.2120293713
S66x8/48-B,-248.2119781546
S66x8/48-090,-496.4251066018
S66x8/48-095,-496.4265522031
S66x8/48-100,-496.4273415559
S66x8/48-105,-496.4275816394
S66x8/48-110,-496.4272655224
S66x8/48-125,-496.4265257366
S66x8/48-150,-496.4254336128
S66x8/48-200,-496.4245347132
S66x8/49-A,-232.1704972205
S66x8/49-B,-248.2120253273
S66x8/49-090,-480.3829845452
S66x8/49-095,-480.3849062033
S66x8/49-100,-480.3854767602
S66x8/49-105,-480.3858955229
S66x8/49-110,-480.3857300651
S66x8/49-125,-480.3848739296
S66x8/49-150,-480.3837326029
S66x8/49-200,-480.38295493
S66x8/50-A,-232.1704919531
S66x8/50-B,-77.3072154566
S66x8/50-090,-309.4790381245
S66x8/50-095,-309.4804230016
S66x8/50-100,-309.4810073731
S66x8/50-105,-309.4806913539
S66x8/50-110,-309.4808479048
S66x8/50-125,-309.4799303496
S66x8/50-150,-309.4787436066
S66x8/50-200,-309.477885591
S66x8/51-A,-77.3071929089
S66x8/51-B,-77.3072293912
S66x8/51-090,-154.6154703438
S66x8/51-095,-154.6159753156
S66x8/51-100,-154.6162157836
S66x8/51-105,-154.6161861453
S66x8/51-110,-154.6160871845
S66x8/51-125,-154.6156275457
S66x8/51-150,-154.615047385
S66x8/51-200,-154.614561031
S66x8/52-A,-232.1704928388
S66x8/52-B,-229.0626844661
S66x8/52-090,-461.2371666318
S66x8/52-095,-461.2383493839
S66x8/52-100,-461.2387296322
S66x8/52-105,-461.2386158486
S66x8/52-110,-461.2383932142
S66x8/52-125,-461.2370833647
S66x8/52-150,-461.2353907778
S66x8/52-200,-461.2338934809
S66x8/53-A,-232.1705022203
S66x8/53-B,-209.1823437212
S66x8/53-090,-441.3563718738
S66x8/53-095,-441.3574956619
S66x8/53-100,-441.3579418273
S66x8/53-105,-441.3578569786
S66x8/53-110,-441.3575795405
S66x8/53-125,-441.3566883629
S66x8/53-150,-441.3550223748
S66x8/53-200,-441.3534370968
S66x8/54-A,-232.1704770253
S66x8/54-B,-76.426433983
S66x8/54-090,-308.6005546347
S66x8/54-095,-308.6012850024
S66x8/54-100,-308.6014365476
S66x8/54-105,-308.6013835811
S66x8/54-110,-308.601046035
S66x8/54-125,-308.6000270684
S66x8/54-150,-308.5986789276
S66x8/54-200,-308.5975381962
S66x8/55-A,-232.1704556035
S66x8/55-B,-115.7045670785
S66x8/55-090,-347.8785282898
S66x8/55-095,-347.8797514793
S66x8/55-100,-347.8800298415
S66x8/55-105,-347.880024952
S66x8/55-110,-347.8799427991
S66x8/55-125,-347.878739569
S66x8/55-150,-347.8770926098
S66x8/55-200,-347.8757647201
S66x8/56-A,-232.170497968
S66x8/56-B,-95.8298700729
S66x8/56-090,-328.0019849759
S66x8/56-095,-328.0032840212
S66x8/56-100,-328.0037607232
S66x8/56-105,-328.0036930995
S66x8/56-110,-328.0036240348
S66x8/56-125,-328.0026827176
S66x8/56-150,-328.001524613
S66x8/56-200,-328.0007035347
S66x8/57-A,-232.1704546105
S66x8/57-B,-248.4728635004
S66x8/57-090,-480.6457952564
S66x8/57-095,-480.6482820666
S66x8/57-100,-480.6490304508
S66x8/57-105,-480.6490086244
S66x8/57-110,-480.6489162704
S66x8/57-125,-480.6474140789
S66x8/57-150,-480.6456644216
S66x8/57-200,-480.6441429771
S66x8/58-A,-248.2119852067
S66x8/58-B,-248.2119527791
S66x8/58-090,-496.4257469759
S66x8/58-095,-496.4276681353
S66x8/58-100,-496.4285458428
S66x8/58-105,-496.428527833
S66x8/58-110,-496.4280603402
S66x8/58-125,-496.4266740781
S66x8/58-150,-496.4252912788
S66x8/58-200,-496.4243235656
S66x8/59-A,-77.3072352259
S66x8/59-B,-76.4264853569
S66x8/59-090,-153.7372297666
S66x8/59-095,-153.7377075782
S66x8/59-100,-153.7378406729
S66x8/59-105,-153.7377756595
S66x8/59-110,-153.7375365286
S66x8/59-125,-153.7366800814
S66x8/59-150,-153.7354691233
S66x8/59-200,-153.7343079294
S66x8/60-A,-77.3071684805
S66x8/60-B,-229.0626562298
S66x8/60-090,-306.3752322013
S66x8/60-095,-306.3761544258
S66x8/60-100,-306.3763278825
S66x8/60-105,-306.3761968623
S66x8/60-110,-306.3758757563
S66x8/60-125,-306.3743024283
S66x8/60-150,-306.3722670237
S66x8/60-200,-306.3705455897
S66x8/61-A,-197.6840016034
S66x8/61-B,-229.0627699375
S66x8/61-090,-426.7481730372
S66x8/61-095,-426.7488074585
S66x8/61-100,-426.7491978708
S66x8/61-105,-426.7492996348
S66x8/61-110,-426.748990216
S66x8/61-125,-426.7487446837
S66x8/61-150,-426.7475014254
S66x8/61-200,-426.746916158
S66x8/62-A,-197.6840406891
S66x8/62-B,-209.1823825468
S66x8/62-090,-406.8683425035
S66x8/62-095,-406.8690839655
S66x8/62-100,-406.869672383
S66x8/62-105,-406.869685249
S66x8/62-110,-406.8691827892
S66x8/62-125,-406.8686446454
S66x8/62-150,-406.8674088364
S66x8/62-200,-406.8666672189
S66x8/63-A,-232.1705348161
S66x8/63-B,-229.0627155097
S66x8/63-090,-461.2345059538
S66x8/63-095,-461.2362313391
S66x8/63-100,-461.2369592258
S66x8/63-105,-461.2369105397
S66x8/63-110,-461.2366282477
S66x8/63-125,-461.2354777444
S66x8/63-150,-461.2344766753
S66x8/63-200,-461.233486819
S66x8/64-A,-248.4728692212
S66x8/64-B,-78.5570005654
S66x8/64-090,-327.0315300579
S66x8/64-095,-327.0323271726
S66x8/64-100,-327.0325677245
S66x8/64-105,-327.0327525269
S66x8/64-110,-327.032715947
S66x8/64-125,-327.0319776544
S66x8/64-150,-327.0308983732
S66x8/64-200,-327.0300133034
S66x8/65-A,-248.2120677429
S66x8/65-B,-77.3067919074
S66x8/65-090,-325.523665243
S66x8/65-095,-325.5243403283
S66x8/65-100,-325.5245626104
S66x8/65-105,-325.5244976143
S66x8/65-110,-325.5242453464
S66x8/65-125,-325.5231633492
S66x8/65-150,-325.5216098153
S66x8/65-200,-325.5201394491
S66x8/66-A,-95.8298649305
S66x8/66-B,-248.2120520608
S66x8/66-090,-344.0446524581
S66x8/66-095,-344.0455195907
S66x8/66-100,-344.0458760394
S66x8/66-105,-344.0459538829
S66x8/66-110,-344.0458374852
S66x8/66-125,-344.0449701729
S66x8/66-150,-344.0437082286
